travel_intl_arrival_year,travel_intl_arrival_month,travel_intl_port_of_entry_air_sea,travel_intl_visitor_country_code,travel_intl_visitor_region_code,travel_intl_purpose_of_trip_code,travel_intl_length_of_stay_days_median,travel_intl_visitor_spend_usd_total,travel_intl_visitor_spend_retail_usd,travel_intl_visitor_spend_lodging_usd,travel_intl_visitor_spend_food_usd,travel_intl_visitor_spend_entertainment_usd,travel_intl_payment_method_share_cash,travel_intl_payment_method_share_card,travel_intl_group_tour_flag,travel_intl_business_travel_flag,travel_intl_visa_waiver_eligible_flag,travel_intl_repeat_visitor_flag,travel_intl_satisfaction_score,travel_intl_exchange_rate_index
2017,8,SFO,AE,EU,VISITING_FRIENDS_FAMILY,48.98,9039.12,2224.0,3481.43,2260.84,1249.52,0.8431,0.1081,0,0,0,1,7.135,110.4
2024,10,EWR,AU,SAS,BUSINESS,1.38,5030.21,1085.57,1485.71,1324.96,414.5,0.9594,0.0326,0,1,0,1,2.578,99.999
2024,6,FLL,MX,NA,LEISURE,28.13,6169.25,647.22,2237.44,904.73,863.74,0.1695,0.8514,0,0,0,0,9.146,74.207
2014,8,LAX,ES,MENA,LEISURE,35.34,23160.41,5695.8,6571.06,4521.35,2777.48,0.8373,0.1638,0,0,0,0,8.676,126.196
2016,6,EWR,TR,EAP,LEISURE,1.26,10189.8,1479.61,2286.05,2564.53,872.68,0.6568,0.3249,0,0,1,0,1.097,103.859
2013,7,BOS,NZ,EU,BUSINESS,54.07,19979.9,4609.62,5177.1,3909.82,2045.06,0.7315,0.2212,1,1,0,0,8.694,101.456
2015,10,DFW,SA,NA,LEISURE,4.68,22572.08,2147.17,7983.64,2891.73,2290.68,0.2412,0.7849,0,0,1,0,9.253,79.386
2018,4,ORD,MX,LATAM,LEISURE,52.61,23214.65,2126.46,10351.51,3003.48,3331.31,0.7785,0.2602,0,0,0,1,7.988,98.831
2019,8,ORD,BR,LATAM,BUSINESS,13.26,6231.6,758.74,2668.86,1742.72,1004.6,0.9717,0.032,0,1,1,1,8.235,98.58
2023,11,BOS,GB,MENA,LEISURE,12.12,3978.26,967.36,932.3,888.84,699.94,0.3661,0.6144,0,0,1,0,9.85,138.135
2022,1,BOS,AU,EAP,LEISURE,51.34,18355.27,1888.99,6843.33,5090.52,2991.36,0.784,0.1723,0,0,1,0,7.834,105.966
2024,6,EWR,ES,NA,OTHER,54.04,7604.39,1150.44,3296.74,1359.72,530.6,0.7511,0.2879,0,0,1,0,8.066,74.601
2016,7,LAX,BR,SAS,BUSINESS,7.0,22322.49,4032.52,9517.31,3492.32,3575.04,0.0215,0.9523,0,1,0,0,7.433,72.499
2022,1,ATL,IN,EAP,LEISURE,15.25,22160.18,4217.5,5140.73,4581.27,3833.18,0.2505,0.7055,0,0,1,0,4.461,130.771
2025,9,BOS,JP,EU,BUSINESS,4.68,2821.76,668.74,942.5,820.95,205.7,0.2161,0.7365,0,1,0,0,9.63,132.286
2014,4,JFK,BR,MENA,LEISURE,15.35,11567.54,1598.42,2590.14,3379.45,1308.7,0.7016,0.3186,0,0,1,0,9.491,77.663
2019,7,JFK,SA,EAP,MEDICAL,23.91,5311.14,550.9,1782.17,1528.85,763.13,0.1777,0.782,0,0,0,1,6.219,138.065
2019,10,JFK,MX,EAP,LEISURE,59.89,22500.84,3550.12,5706.76,5527.0,3923.67,0.1919,0.8436,0,0,1,0,4.926,96.284
2014,2,EWR,MX,EU,LEISURE,59.08,902.91,93.7,257.92,159.82,103.95,0.7342,0.3108,0,0,1,1,9.278,120.268
2018,10,LAX,AE,MENA,LEISURE,26.71,8775.42,1762.69,1806.99,1702.33,541.95,0.408,0.5684,0,0,0,1,5.827,89.655
2020,12,HOU,KR,NA,LEISURE,21.81,13912.82,1627.93,2862.06,3378.33,1104.91,0.9,0.0965,0,1,1,1,8.317,132.155
2015,12,LAX,GB,EU,LEISURE,8.71,9906.37,951.73,2511.87,2661.68,806.95,0.4596,0.5505,0,0,1,0,3.682,74.801
2025,12,JFK,IN,LATAM,LEISURE,16.41,12467.5,2966.9,5458.58,1681.76,1671.21,0.3556,0.6859,1,0,0,0,2.18,131.401
2025,4,EWR,MX,LATAM,LEISURE,18.22,13967.74,2644.37,3785.37,2127.27,2215.48,0.9118,0.1037,1,0,0,0,4.567,114.395
2012,6,JFK,CO,LATAM,LEISURE,9.78,1369.87,334.98,355.91,313.44,104.88,0.1405,0.8172,0,0,1,0,8.336,108.834
2025,11,LAX,ES,EAP,BUSINESS,40.65,16779.09,1632.51,5150.14,2530.3,2916.78,0.3655,0.6195,0,1,0,0,5.676,83.22
2014,2,EWR,NZ,EU,STUDY,19.31,9903.72,2416.09,3061.32,2182.66,1750.62,0.6098,0.3889,1,0,0,0,6.782,115.424
2012,1,FLL,MX,SAS,VISITING_FRIENDS_FAMILY,38.14,2359.66,298.84,838.82,675.12,123.57,0.0452,0.9411,0,0,0,0,2.884,114.039
2019,12,ORD,ES,SAS,LEISURE,28.16,17145.59,2463.39,6936.02,3015.99,1833.71,0.5246,0.4913,1,0,1,0,8.012,105.203
2012,11,EWR,JP,EU,LEISURE,45.77,1889.79,468.52,749.45,422.83,113.76,0.1746,0.8669,1,0,0,0,8.549,79.915
2013,7,SFO,JP,NA,BUSINESS,17.57,16777.86,2041.64,4751.73,3479.82,2694.57,0.5101,0.5331,0,1,1,0,3.402,102.671
2013,9,JFK,AR,EAP,TRANSIT,34.88,13847.21,2706.56,2919.84,1735.06,2059.93,0.7373,0.3095,0,0,0,0,4.544,119.425
2014,9,BOS,MX,NA,LEISURE,3.41,4721.85,757.03,1965.16,957.17,520.33,0.3569,0.6193,0,0,0,0,4.885,125.757
2025,10,DFW,DE,LATAM,LEISURE,54.17,23654.59,2416.42,8981.0,4102.78,3270.08,0.4251,0.5448,0,0,1,0,1.783,131.737
2018,12,FLL,DE,EU,LEISURE,4.99,13503.98,2578.43,4749.51,3707.77,2428.17,0.6922,0.3191,0,0,1,0,3.417,98.851
2017,3,ATL,GB,EAP,LEISURE,12.92,3015.9,296.8,1155.14,603.16,300.34,0.0178,1.0,0,0,0,1,9.608,70.467
2025,7,MIA,SA,NA,VISITING_FRIENDS_FAMILY,28.91,4432.25,896.7,1080.22,1223.6,628.94,0.3138,0.6791,0,1,0,0,5.595,127.206
2021,11,ATL,AU,EAP,LEISURE,31.64,24268.46,3711.97,10080.38,4478.68,4152.3,0.0076,0.9857,0,0,0,0,5.025,85.092
2022,2,JFK,FR,EU,VISITING_FRIENDS_FAMILY,2.21,1370.27,322.44,600.74,306.99,69.54,0.5211,0.4447,0,0,0,1,8.007,102.889
2014,1,SEA,NZ,EAP,LEISURE,32.6,15412.69,3250.38,5814.65,3496.75,832.87,0.0325,0.9933,0,0,1,1,9.422,119.291
2023,7,ATL,KR,NA,BUSINESS,17.07,24139.49,3805.94,10633.27,3344.29,3415.05,0.662,0.374,0,1,0,0,8.345,106.392
2023,12,SEA,MX,MENA,LEISURE,37.1,3514.22,532.97,1349.08,580.37,508.06,0.7672,0.2643,0,0,0,1,4.097,126.688
2019,12,ORD,TR,SAS,BUSINESS,26.66,3041.49,275.64,1335.32,768.66,374.29,0.9136,0.1156,0,1,0,1,8.331,81.529
2015,6,BOS,JP,NA,LEISURE,30.21,15518.3,2458.06,4655.33,4353.09,1372.77,0.8188,0.1693,0,0,0,1,1.977,78.272
2024,5,HOU,GB,NA,VISITING_FRIENDS_FAMILY,46.12,19404.59,2049.37,4765.34,4355.79,1463.98,0.1374,0.8211,0,0,0,0,8.918,115.678
2019,8,ORD,IT,EAP,BUSINESS,34.13,14115.95,1661.29,4700.41,3685.14,796.82,0.3615,0.6764,0,1,0,0,9.64,131.94
2012,1,HOU,SA,SAS,LEISURE,25.11,13129.7,2183.51,4927.67,3925.47,1176.96,0.3079,0.7193,0,0,1,0,1.549,129.197
2019,10,ORD,JP,SAS,BUSINESS,52.09,22661.53,5211.25,6457.91,4503.92,2257.74,0.27,0.7716,1,1,1,0,9.794,85.601
2018,6,BOS,AU,EU,BUSINESS,23.98,10655.05,2031.75,4246.63,1811.92,1359.68,0.9334,0.1158,0,1,1,0,1.916,92.125
2012,12,DFW,GB,MENA,LEISURE,21.05,22452.13,5181.89,6862.72,6478.91,2239.25,0.4521,0.5926,0,0,1,0,8.141,131.883
2022,10,SEA,CO,EU,LEISURE,43.18,22664.76,4553.57,8977.61,6221.29,2494.52,0.8415,0.1304,0,0,1,1,7.365,71.488
2023,9,HOU,IN,EU,LEISURE,23.06,9059.86,1518.55,2993.32,1715.0,734.04,0.2492,0.7607,0,0,1,1,1.187,85.475
2025,2,LAX,DE,SSA,LEISURE,6.9,3738.29,387.7,839.66,602.96,471.04,0.4787,0.5365,0,0,1,0,2.954,98.794
2013,6,SEA,CN,EU,LEISURE,52.67,20060.98,4970.97,8113.65,4947.01,2111.0,0.3425,0.6346,0,0,1,0,9.398,99.322
2014,2,SFO,NZ,NA,STUDY,30.21,12045.84,1932.19,3630.8,2238.37,942.92,0.368,0.6053,0,0,1,0,2.784,89.955
2016,1,JFK,BR,EU,MEDICAL,17.06,14619.7,2715.67,4103.48,2357.56,1581.34,0.0949,0.8642,1,0,0,0,1.565,90.579
2022,5,SEA,AU,SSA,BUSINESS,8.04,8187.74,1982.89,2627.48,1657.23,883.68,0.1476,0.8768,0,1,1,0,9.583,127.035
2020,5,ATL,AR,SSA,LEISURE,54.61,4817.5,1110.68,1621.83,701.0,744.08,0.5244,0.4555,1,0,0,1,4.855,83.919
2015,4,LAX,JP,MENA,VISITING_FRIENDS_FAMILY,16.13,919.6,191.84,253.0,172.68,82.69,0.3002,0.6876,0,0,0,0,4.286,80.826
2025,12,MIA,KR,EU,LEISURE,38.87,15016.12,3073.95,3213.86,2437.76,1840.07,0.2402,0.758,0,0,1,0,9.008,106.083
2022,11,ORD,NZ,LATAM,TRANSIT,31.67,1431.83,238.15,456.21,197.9,197.77,0.24,0.799,0,0,0,1,2.891,136.291
2013,5,FLL,GB,NA,BUSINESS,30.35,1779.63,389.3,460.21,316.77,307.04,0.542,0.4379,0,1,0,0,6.411,116.128
2020,4,SEA,FR,NA,LEISURE,19.4,17343.89,3353.81,4553.15,4559.75,2470.83,0.1911,0.8383,1,0,0,1,3.916,82.582
2018,5,HOU,CO,EAP,BUSINESS,17.96,3973.36,487.7,887.88,1023.38,552.9,0.6792,0.3557,0,1,1,1,2.866,94.02
2017,6,JFK,ZA,LATAM,LEISURE,46.2,13281.35,1464.72,4858.92,1730.85,1767.87,0.7455,0.2672,0,0,1,1,3.443,73.298
2020,12,JFK,SA,LATAM,LEISURE,56.62,9888.63,1723.64,3329.59,1719.58,1763.11,0.028,0.9319,0,0,1,0,8.381,120.887
2015,2,EWR,CA,NA,LEISURE,43.67,5159.81,1144.79,1154.58,722.07,663.59,0.3997,0.6092,0,0,1,0,9.573,107.543
2021,3,LAX,TR,LATAM,LEISURE,58.92,24220.45,3724.29,5143.5,6327.59,3995.42,0.6183,0.3931,0,0,1,0,5.383,90.506
2022,3,JFK,SA,SSA,VISITING_FRIENDS_FAMILY,18.6,8682.32,1437.0,2742.08,2511.93,743.86,0.2269,0.8048,1,0,0,0,4.33,76.724
2023,2,MIA,AU,EU,LEISURE,16.08,16445.25,1539.26,3409.94,2746.65,2153.98,0.0784,0.8854,0,0,0,0,2.915,123.563
2020,4,LAX,CN,EU,LEISURE,32.32,20044.67,3154.23,7894.39,5949.75,1101.07,0.6903,0.3055,0,0,1,0,9.469,73.218
2025,3,SFO,CN,LATAM,BUSINESS,16.08,13752.35,3123.44,4244.02,3623.5,1966.4,0.6418,0.3767,1,1,0,0,1.839,73.586
2023,1,FLL,DE,LATAM,LEISURE,26.34,16803.91,3390.18,4740.31,2023.22,2546.05,0.3284,0.7124,1,0,1,1,4.163,123.78
2016,6,ORD,AE,EU,LEISURE,37.16,20810.6,1958.87,6854.51,3554.36,2417.76,0.7585,0.2911,0,0,1,1,4.617,139.025
2023,12,LAX,FR,LATAM,BUSINESS,23.45,16648.19,3644.78,5958.62,4612.79,2305.81,0.1056,0.9322,0,1,1,1,3.566,94.127
2014,11,BOS,FR,SSA,LEISURE,41.96,2686.81,265.54,978.16,508.49,196.7,0.1054,0.8792,1,0,1,0,9.623,77.204
2014,5,HOU,CO,LATAM,LEISURE,5.59,21533.57,2426.97,4581.55,4483.82,3611.2,0.9324,0.0282,0,0,1,0,5.734,87.56
2022,5,EWR,IT,EAP,LEISURE,8.73,10039.98,1350.2,4069.73,2934.69,1438.51,0.8662,0.1692,1,0,1,0,9.694,89.646
2014,5,ORD,MX,LATAM,BUSINESS,34.19,22720.4,5449.5,9862.72,3034.27,2803.85,0.1095,0.9047,1,1,0,0,7.039,115.756
2022,3,JFK,CA,MENA,LEISURE,40.15,13037.16,3224.19,2832.79,1691.07,929.53,0.6035,0.4433,1,0,1,0,9.577,76.265
2025,12,ORD,ZA,LATAM,LEISURE,31.58,22687.26,5057.01,5317.49,3489.73,2657.09,0.164,0.7959,0,0,1,0,9.601,88.888
2025,8,HOU,AE,SSA,LEISURE,5.48,19113.86,4264.52,3974.68,4107.6,2341.4,0.4097,0.6249,0,1,0,0,1.545,101.221
2024,7,SFO,MX,MENA,BUSINESS,28.73,16905.0,3440.14,5308.16,2421.23,1066.11,0.8673,0.1762,0,1,1,0,4.183,92.396
2020,10,ATL,AR,LATAM,LEISURE,58.92,2824.72,528.3,977.06,758.46,471.78,0.6045,0.4112,0,0,0,1,6.797,74.897
2025,1,MIA,BR,EAP,LEISURE,37.49,6777.79,1391.34,2338.53,1980.12,691.54,0.7827,0.2075,0,0,1,0,8.216,70.573
2018,8,JFK,AE,EU,BUSINESS,6.73,18092.92,3971.39,4527.14,3375.27,3085.22,0.7269,0.2337,0,1,0,1,7.096,91.657
2016,10,SEA,KR,NA,LEISURE,52.25,12989.63,2288.53,3802.06,1693.14,1126.77,0.2068,0.8324,0,0,1,1,4.586,116.851
2012,6,LAX,IT,NA,STUDY,41.11,8862.63,1074.99,2898.76,2599.99,459.98,0.2815,0.7446,0,0,1,1,7.102,84.586
2014,11,LAX,BR,NA,LEISURE,18.66,20753.58,2377.93,7086.94,3838.8,1116.69,0.1003,0.9046,1,0,0,0,6.876,122.008
2013,3,DFW,ZA,EAP,LEISURE,25.9,4494.41,587.71,1882.55,1074.17,502.82,0.4972,0.5427,0,0,0,1,4.894,115.163
2016,11,BOS,ES,LATAM,VISITING_FRIENDS_FAMILY,21.16,22957.16,2061.93,6818.96,4908.91,2337.45,0.8567,0.1799,0,0,1,0,7.413,91.153
2015,11,EWR,CO,NA,LEISURE,41.13,15507.64,3367.23,3508.74,3314.56,2652.51,0.7038,0.2888,1,0,0,0,3.689,94.276
2018,6,HOU,FR,EU,LEISURE,9.07,594.18,143.53,194.74,132.88,99.4,0.9075,0.0603,0,0,0,1,5.367,129.262
2016,1,BOS,NZ,EU,LEISURE,12.28,18320.8,3691.37,5059.68,3884.5,2480.26,0.598,0.3585,0,0,0,0,3.521,92.865
2017,1,HOU,SA,EAP,MEDICAL,17.57,22538.01,5400.71,8327.36,5752.92,1309.36,0.6972,0.3354,0,0,0,0,5.815,97.21
2013,5,JFK,CN,EU,BUSINESS,13.34,4128.71,551.88,916.29,1223.03,400.89,0.2688,0.7689,0,1,1,1,5.704,91.206
2019,10,BOS,NZ,NA,LEISURE,37.17,21130.83,4785.65,8760.42,5371.28,3736.04,0.8451,0.1651,0,0,0,0,5.194,114.413
2019,2,MIA,MX,LATAM,LEISURE,54.77,5206.92,971.63,1842.64,1039.63,260.4,0.8438,0.1143,1,0,0,1,4.803,139.06
2020,5,JFK,CO,NA,LEISURE,24.85,18906.17,4442.5,4156.64,5128.05,1641.67,0.9332,0.0174,1,0,1,0,2.768,122.259
2019,4,SFO,SA,MENA,LEISURE,31.04,9412.32,2196.56,3066.76,2418.03,1274.1,0.6352,0.3398,0,0,1,0,9.804,123.246
2012,2,SFO,BR,LATAM,LEISURE,36.17,9002.4,941.59,4010.85,1227.27,785.14,0.2062,0.7609,0,0,0,0,1.775,139.046
2023,7,JFK,CO,EU,LEISURE,8.17,8514.4,1781.34,3415.06,1698.95,553.84,0.9271,0.0663,0,0,0,0,2.048,113.323
2013,10,ATL,CN,LATAM,LEISURE,22.87,8634.76,2033.9,2387.03,1658.35,740.05,0.5435,0.4895,1,0,1,0,4.709,130.448
2014,10,EWR,JP,EU,LEISURE,41.38,9267.48,875.4,2361.1,1685.69,1124.34,0.761,0.2682,0,0,0,0,3.953,82.87
2014,3,FLL,AR,EAP,LEISURE,39.31,3150.99,728.71,1222.98,646.65,298.9,0.086,0.9023,1,1,1,0,5.856,109.715
2022,5,ATL,DE,LATAM,LEISURE,48.32,2856.47,342.41,869.49,505.52,220.44,0.9769,0.009,0,1,0,0,7.748,73.254
2022,6,LAX,ZA,EU,LEISURE,58.42,20790.14,3863.52,7400.61,3091.24,1118.94,0.2587,0.7105,1,1,1,0,5.578,132.257
2021,8,SFO,BR,LATAM,BUSINESS,14.95,15898.0,1411.92,4142.09,4304.79,2100.68,0.0484,0.9297,1,1,0,0,9.827,127.409
2017,6,DFW,CA,EAP,LEISURE,51.92,672.74,132.39,297.19,192.96,52.87,0.3626,0.6453,0,0,0,0,8.324,87.418
2019,5,ATL,AU,EU,LEISURE,21.93,15278.41,2630.14,3466.96,3149.51,1624.23,0.8328,0.1491,0,0,1,0,7.714,97.023
2019,5,ORD,CO,NA,STUDY,23.06,17794.5,1859.88,7041.57,2793.11,1369.11,0.5124,0.5282,0,0,0,0,7.496,70.372
2020,12,SEA,BR,SAS,LEISURE,22.42,5248.13,421.71,2169.02,939.57,688.13,0.1349,0.8703,1,0,0,0,1.763,74.784
2015,8,LAX,NZ,LATAM,VISITING_FRIENDS_FAMILY,9.26,14293.26,2804.55,4649.44,4050.95,1076.09,0.7569,0.2207,1,0,1,0,2.39,131.452
2015,1,BOS,ES,EU,LEISURE,31.79,14818.7,3173.51,6221.21,3524.22,2433.91,0.3123,0.6438,0,0,0,1,5.339,108.81
2018,7,SFO,BR,LATAM,LEISURE,23.03,19370.24,2766.46,7249.25,2880.88,1606.5,0.0271,0.9905,0,0,0,1,1.528,97.283
2023,9,ORD,BR,MENA,LEISURE,15.62,10949.0,2118.16,4662.97,2055.52,684.87,0.5415,0.498,0,1,1,1,3.086,104.793
2025,12,ATL,CA,LATAM,BUSINESS,42.36,8384.18,1504.22,2498.74,1361.94,440.03,0.5966,0.4189,0,1,0,0,4.395,109.413
2013,6,SEA,IN,EU,BUSINESS,4.63,13141.54,1722.54,5720.93,2448.28,1805.92,0.9706,0.0271,0,1,1,0,6.417,90.15
2023,11,HOU,TR,LATAM,STUDY,52.49,20017.8,4561.23,6256.78,2660.96,2131.16,0.9197,0.0755,0,0,0,0,6.058,132.798
2021,10,JFK,AE,NA,TRANSIT,47.64,6749.71,1239.22,1539.91,1369.31,1179.99,0.4846,0.4844,0,0,1,0,1.507,128.869
2015,3,ATL,GB,LATAM,LEISURE,48.02,2848.94,453.09,894.22,830.93,274.21,0.1841,0.8275,0,0,1,0,6.566,119.609
2016,10,DFW,IT,EU,LEISURE,39.93,18551.35,2714.38,6091.65,4866.2,927.59,0.7988,0.1737,0,0,1,0,4.038,117.223
2014,7,SFO,ZA,LATAM,LEISURE,8.76,23453.42,2010.01,6909.49,4649.56,3042.35,0.3867,0.6068,1,0,1,1,6.343,112.505
2016,4,DFW,NZ,NA,LEISURE,12.7,6746.61,884.25,2403.01,2008.62,474.39,0.958,0.027,0,0,0,0,2.591,113.657
2019,4,JFK,BR,EU,TRANSIT,16.51,16226.24,1546.17,6309.13,4028.34,2050.02,0.0711,0.9416,0,0,0,0,1.323,79.821
2024,1,FLL,IN,LATAM,LEISURE,9.79,10226.48,1290.98,3613.95,1886.22,862.93,0.7398,0.2719,0,0,1,0,6.156,106.936
2015,10,DFW,MX,EAP,LEISURE,9.16,10005.42,2237.86,4369.39,2564.71,1669.89,0.7664,0.2203,1,0,1,0,3.153,74.698
2022,12,LAX,FR,EAP,LEISURE,36.05,10945.85,1304.34,3257.65,1504.9,882.28,0.4313,0.587,0,0,0,0,3.354,109.008
2014,1,HOU,CO,EU,LEISURE,19.95,6906.27,1278.68,2058.39,1927.6,806.04,0.9927,0.0144,0,0,1,0,8.472,133.422
2023,8,ORD,CA,EAP,LEISURE,56.27,20879.47,3437.79,4738.75,3910.52,1281.64,0.588,0.371,0,0,1,1,2.594,95.938
2023,10,FLL,IN,EU,BUSINESS,21.2,19807.18,4334.1,7981.35,4286.83,1151.69,0.9154,0.05,0,1,1,1,5.505,131.323
2020,6,MIA,CO,MENA,LEISURE,3.16,17069.12,1738.17,6911.63,3590.86,1934.75,0.9371,0.0238,0,1,0,0,6.302,114.233
2022,5,HOU,SA,EAP,VISITING_FRIENDS_FAMILY,11.51,6720.58,1223.16,2118.53,963.42,1167.02,0.9785,0.0,0,0,1,0,2.182,83.437
2016,2,SEA,GB,EAP,LEISURE,43.36,9030.93,1924.46,2231.15,1696.74,563.72,0.1971,0.7677,0,0,1,1,9.755,104.166
2019,9,HOU,AU,LATAM,LEISURE,42.89,4970.7,843.0,1874.35,1184.98,503.19,0.4335,0.5577,0,0,1,0,3.561,90.116
2023,9,SFO,KR,EAP,OTHER,27.73,17006.04,4133.82,3577.22,3523.97,2817.15,0.0915,0.8888,0,0,1,0,2.834,131.79
2022,9,ATL,JP,EU,VISITING_FRIENDS_FAMILY,20.42,24781.43,2452.98,8805.67,3531.45,2796.5,0.0058,1.0,0,1,1,0,6.187,74.35
2015,4,ORD,CN,EU,BUSINESS,47.8,18706.26,1960.15,6449.5,4814.63,2907.72,0.1294,0.8934,1,1,0,1,2.209,139.315
2020,1,HOU,TR,SAS,OTHER,51.28,20700.45,4770.47,4477.3,4239.13,2607.3,0.4882,0.5474,0,0,0,0,1.018,88.611
2024,1,MIA,BR,NA,BUSINESS,26.93,14185.32,2116.36,6139.65,2720.64,1348.5,0.482,0.5272,0,1,1,0,1.831,77.206
2023,8,BOS,AU,MENA,STUDY,30.61,2583.63,308.63,938.49,418.52,461.83,0.8674,0.1711,0,0,0,1,1.092,73.245
2024,7,ATL,AE,LATAM,LEISURE,53.69,15337.21,3028.58,3210.71,2820.94,2237.28,0.2907,0.684,1,0,0,0,5.387,113.13
2023,6,DFW,CA,NA,LEISURE,44.41,363.43,33.52,157.48,68.45,35.6,0.8798,0.1344,0,0,0,1,9.518,99.26
2017,10,SFO,NZ,EU,LEISURE,30.21,18150.96,3496.26,3938.54,4008.14,1828.26,0.3203,0.6661,0,0,0,1,7.013,104.033
2013,4,LAX,MX,EAP,LEISURE,4.86,5414.31,1339.24,2347.43,862.38,944.4,0.2122,0.7623,0,1,0,0,3.581,70.85
2020,1,FLL,GB,NA,LEISURE,38.83,12604.9,3122.15,5012.28,2571.37,780.15,0.979,0.011,0,0,1,0,7.89,135.672
2024,12,SFO,MX,EU,BUSINESS,39.42,8223.79,1077.24,3129.39,1515.59,426.55,0.9651,0.0342,0,1,1,1,3.562,125.008
2015,6,HOU,NZ,LATAM,LEISURE,4.53,3042.76,436.05,1235.19,499.22,211.91,0.0243,0.9415,0,1,0,1,1.901,119.003
2022,9,DFW,IT,NA,LEISURE,3.43,20316.37,3249.7,6014.64,5622.05,2874.6,0.6323,0.3178,0,0,1,1,4.579,125.035
2013,8,BOS,JP,LATAM,LEISURE,18.81,1523.86,170.89,611.44,399.18,188.51,0.7872,0.1952,0,1,1,0,7.196,73.37
2021,8,ATL,KR,LATAM,LEISURE,28.69,3567.13,775.03,925.24,524.52,396.39,0.8333,0.1428,0,0,1,0,9.288,95.413
2022,12,BOS,IT,LATAM,VISITING_FRIENDS_FAMILY,16.41,8166.78,1415.33,2295.96,981.27,1086.3,0.3535,0.6895,1,0,1,1,3.733,95.865
2023,1,JFK,BR,LATAM,BUSINESS,10.51,5127.84,799.95,2251.82,860.47,314.02,0.3065,0.6607,0,1,1,1,9.802,126.5
2023,4,FLL,AE,SSA,LEISURE,26.95,3953.34,960.68,930.64,1021.65,372.34,0.9818,0.0607,0,0,0,0,4.523,82.854
2018,4,MIA,KR,LATAM,LEISURE,28.98,11290.44,2686.05,2273.11,2272.56,1152.86,0.5592,0.3981,0,0,1,0,1.229,108.194
2022,5,HOU,TR,LATAM,BUSINESS,20.51,9061.45,895.63,2360.96,1421.31,600.79,0.9004,0.0711,0,1,0,0,7.855,112.365
2015,9,HOU,ZA,LATAM,VISITING_FRIENDS_FAMILY,27.8,15659.97,1362.08,6578.34,4271.55,922.56,0.0898,0.9448,1,0,0,0,4.301,82.622
2017,1,MIA,ZA,NA,LEISURE,4.58,18436.93,2449.35,4102.24,2549.36,1238.48,0.1583,0.8622,0,0,0,0,5.785,107.587
2018,3,DFW,IT,NA,LEISURE,30.97,623.14,142.99,145.18,168.61,52.18,0.6808,0.2931,0,0,0,0,4.853,110.429
2023,9,DFW,MX,LATAM,LEISURE,1.65,11687.08,2287.59,3775.01,2878.33,768.16,0.542,0.4416,0,0,0,0,6.076,112.97
2014,1,FLL,DE,LATAM,LEISURE,54.19,23024.55,4673.31,6633.51,5936.16,2836.37,0.7097,0.2682,0,0,0,0,2.034,139.534
2019,3,SFO,AR,NA,STUDY,46.76,9768.71,1327.38,2803.99,1933.33,986.35,0.6471,0.3675,0,0,1,1,7.354,85.022
2017,10,BOS,FR,MENA,LEISURE,24.98,4989.28,976.76,2105.17,811.91,799.97,0.8592,0.1714,1,0,0,0,6.141,83.593
2013,9,HOU,DE,EAP,LEISURE,35.74,566.58,70.93,133.73,158.99,79.18,0.9039,0.0497,0,0,0,1,5.301,80.936
2024,12,FLL,CO,EAP,LEISURE,14.89,10568.68,999.81,2343.67,1369.53,1405.66,0.2383,0.7773,0,0,1,1,7.222,106.454
2024,11,SFO,KR,NA,LEISURE,59.2,19885.17,2396.49,5515.38,4271.13,1898.88,0.3331,0.6944,0,1,0,0,6.383,136.813
2020,11,SFO,MX,NA,LEISURE,1.87,13196.97,3148.7,4122.22,2221.46,2080.4,0.8024,0.1794,0,0,0,0,7.585,133.125
2013,10,ORD,JP,EU,LEISURE,58.72,2138.01,313.8,813.41,606.48,230.46,0.7823,0.2543,1,0,1,0,9.291,116.701
2018,4,SEA,MX,LATAM,BUSINESS,30.55,4461.06,721.93,1022.02,556.1,680.73,0.9055,0.116,1,1,1,0,1.118,110.509
2022,7,SEA,AU,LATAM,LEISURE,51.78,5540.18,1262.19,2008.44,1386.91,330.52,0.8207,0.1497,0,0,1,0,3.131,117.863
2022,12,SEA,KR,MENA,LEISURE,44.51,22606.8,1851.75,5500.15,6514.89,3070.06,0.7079,0.3313,0,0,1,0,8.951,72.743
2024,12,DFW,CN,LATAM,BUSINESS,25.02,12923.63,2313.11,3908.27,2496.07,1513.51,0.5533,0.4697,0,1,1,0,6.733,98.954
2015,1,EWR,CA,NA,LEISURE,3.8,23880.71,2045.08,10628.64,5940.68,2690.49,0.8235,0.1767,0,0,1,0,3.143,115.507
2022,4,DFW,TR,SAS,LEISURE,40.48,8914.07,1034.68,1859.69,1990.09,543.46,0.3069,0.658,1,0,0,0,8.145,92.884
2017,6,ORD,JP,LATAM,LEISURE,11.45,22844.82,2270.06,5958.83,6601.21,3907.64,0.7739,0.2334,0,0,0,1,6.931,115.587
2025,8,HOU,NZ,EU,BUSINESS,27.58,1243.16,144.98,305.31,226.69,212.26,0.0703,0.9573,0,1,0,1,8.518,90.339
2013,10,BOS,IN,SSA,VISITING_FRIENDS_FAMILY,12.78,6424.92,1169.4,2786.09,1525.98,936.62,0.7807,0.2373,0,0,0,0,5.692,135.316
2022,2,EWR,IN,EU,LEISURE,40.81,6598.8,1287.37,1632.33,1050.57,551.97,0.0705,0.9178,0,0,0,0,2.996,78.531
