qol_ncoial_survey_cycle_id,qol_ncoial_neighborhood_cluster_id,qol_ncoial_neighborliness_score,qol_ncoial_belonging_score,qol_ncoial_participation_local_events_rate,qol_ncoial_mutual_aid_participation_rate,qol_ncoial_intergroup_contact_score,qol_ncoial_civic_pride_score,qol_ncoial_shared_norms_score,qol_ncoial_conflict_resolution_score,qol_ncoial_online_community_engagement_rate,qol_ncoial_hate_incident_awareness_score,qol_ncoial_trust_local_institutions_score,qol_ncoial_youth_engagement_score,qol_ncoial_senior_engagement_score,qol_ncoial_newcomer_integration_score,qol_ncoial_language_inclusion_score,qol_ncoial_public_space_comfort_score,qol_ncoial_community_problem_solving_score,qol_ncoial_survey_sampling_weight
CYC2024_1,NBH1384,4.18,6.26,30.25,5.09,4.57,4.38,5.08,3.33,0.81,3.74,2.73,4.95,0.86,7.17,7.62,6.85,7.8,1.2966
CYC2021_2,NBH1671,4.2,0.43,32.48,71.71,4.78,7.42,7.45,8.09,79.88,6.73,5.86,0.86,1.9,8.57,8.35,5.34,8.05,1.2766
CYC2020_2,NBH5435,0.47,1.04,35.94,35.04,5.27,5.16,0.37,5.44,11.74,7.05,9.42,9.96,4.43,6.48,5.34,1.77,4.74,3.7829
CYC2024_3,NBH8445,0.69,9.42,13.43,72.74,2.99,3.13,5.15,4.65,8.6,1.63,9.26,4.27,3.84,5.1,2.31,0.9,8.97,0.7211
CYC2018_3,NBH9871,0.09,7.35,98.35,84.82,3.98,0.14,9.1,8.32,93.96,9.84,2.29,2.74,3.87,0.85,9.63,7.46,0.46,2.7899
CYC2022_4,NBH9257,2.68,6.66,24.57,90.42,1.93,9.42,7.5,6.08,39.95,2.86,6.47,2.58,7.46,9.66,2.8,4.76,4.25,1.972
CYC2025_3,NBH4136,8.31,1.69,38.98,12.18,0.15,7.05,4.1,9.26,75.8,8.61,3.35,6.47,0.25,6.93,4.01,3.1,8.98,3.9799
CYC2020_4,NBH3770,8.26,9.19,33.42,22.52,5.15,9.65,1.47,6.0,9.74,3.09,1.46,1.02,9.88,1.38,2.31,1.93,8.85,1.6647
CYC2023_2,NBH2786,1.66,6.78,42.91,58.57,9.49,6.28,0.68,7.86,80.69,8.93,3.81,2.23,5.53,6.25,5.29,7.47,5.05,3.8626
CYC2025_4,NBH8556,1.81,1.87,70.35,81.53,1.57,9.81,6.64,3.76,30.07,7.48,5.24,3.55,1.2,6.09,4.87,7.17,9.83,1.9103
CYC2026_4,NBH7175,8.27,3.11,74.39,64.49,7.25,5.84,4.19,0.57,43.52,0.11,0.0,2.48,7.86,2.37,7.21,5.52,7.23,0.6908
CYC2022_3,NBH2969,7.9,5.76,2.2,95.67,7.55,9.88,4.61,0.09,24.22,0.8,9.14,6.29,5.31,3.14,2.33,7.55,2.6,2.5938
CYC2025_2,NBH3773,4.88,2.03,26.06,90.25,0.08,1.25,1.94,0.32,45.98,4.83,2.78,4.58,6.17,0.93,4.49,2.46,6.27,3.5341
CYC2025_2,NBH7381,1.67,5.5,3.2,88.47,2.55,4.11,3.94,2.32,69.69,5.48,2.38,9.05,4.14,4.77,4.65,0.69,0.83,3.2894
CYC2019_2,NBH7460,8.08,2.59,94.0,4.62,5.46,5.58,4.43,7.15,32.11,3.36,0.82,9.95,6.41,5.34,0.79,2.85,5.61,2.9651
CYC2025_4,NBH6481,2.6,8.35,71.55,6.13,3.51,9.98,1.46,1.43,58.02,7.64,0.27,2.61,4.61,6.83,3.22,5.27,4.11,2.1834
CYC2026_4,NBH3076,1.96,3.77,27.88,35.41,3.53,0.41,8.29,4.17,90.01,6.56,9.2,9.27,0.32,4.49,2.33,3.31,1.64,0.3171
CYC2018_2,NBH4493,4.44,1.43,11.64,52.78,1.99,8.11,8.96,6.97,23.54,7.79,0.5,6.36,9.26,5.97,9.2,6.44,7.87,1.9211
CYC2018_1,NBH4831,1.34,5.23,80.57,83.29,9.46,2.87,9.18,8.18,40.04,3.99,7.85,5.97,6.07,2.89,7.98,6.7,1.42,1.918
CYC2024_1,NBH7921,9.86,7.26,92.17,38.15,5.57,2.16,4.18,2.37,54.15,5.84,1.77,8.66,1.98,4.33,1.63,1.87,4.88,2.5087
CYC2021_4,NBH1745,7.66,8.71,77.55,44.84,4.42,0.12,9.81,5.5,72.87,2.18,6.12,8.7,1.5,5.92,2.53,6.23,3.33,3.428
CYC2026_1,NBH6612,0.74,4.26,81.89,43.99,6.01,2.76,5.11,8.88,50.8,9.04,7.18,6.73,8.88,2.1,8.53,2.2,8.11,1.3183
CYC2022_1,NBH9169,9.6,0.79,1.89,97.5,0.95,7.12,4.74,7.76,15.27,6.93,0.58,8.87,7.1,3.68,1.21,4.29,6.34,2.8359
CYC2021_2,NBH6273,1.88,2.37,82.25,79.64,5.07,8.17,9.88,1.47,29.39,7.52,7.54,3.61,2.71,0.95,1.77,8.79,6.44,2.9265
CYC2026_2,NBH3661,8.85,6.78,81.36,64.79,8.13,5.3,1.0,5.19,99.53,0.91,9.03,3.67,0.91,5.35,9.57,5.39,4.29,0.2742
CYC2019_2,NBH4684,8.73,3.52,93.42,21.24,9.74,3.44,1.0,1.02,73.3,2.87,0.9,1.15,9.16,1.76,5.1,9.52,6.22,3.958
CYC2026_1,NBH3493,2.68,4.07,28.27,21.55,3.79,2.1,9.01,4.11,49.23,7.31,8.46,7.75,6.18,0.22,0.33,1.94,9.43,1.7656
CYC2018_2,NBH1988,5.11,5.83,49.83,29.52,0.74,6.29,2.02,6.02,67.91,3.67,5.9,1.83,1.54,1.32,0.4,5.98,2.19,0.4608
CYC2019_3,NBH7670,7.52,7.85,43.12,53.28,3.22,0.38,0.11,7.98,13.35,6.27,3.17,5.78,1.27,5.54,0.29,5.78,3.34,1.1829
CYC2026_2,NBH1052,2.84,8.65,2.74,64.57,5.32,6.77,5.25,9.61,33.95,2.78,2.77,4.93,6.64,0.8,9.14,2.64,0.13,3.7173
CYC2019_3,NBH2518,0.35,6.17,26.94,19.95,0.63,8.93,9.29,8.27,29.4,0.0,2.41,5.88,3.3,1.33,2.0,8.05,3.14,0.7111
CYC2022_2,NBH4566,5.48,7.63,37.45,66.72,1.97,2.25,7.49,9.97,30.72,2.48,6.24,6.27,8.84,2.41,7.26,3.58,5.42,1.5652
CYC2022_2,NBH7134,7.11,1.99,33.15,85.43,2.72,6.68,6.01,6.43,98.51,5.93,8.4,6.68,2.9,1.19,3.47,0.06,7.26,0.5246
CYC2025_1,NBH7153,8.82,1.88,77.63,9.16,8.19,3.73,6.7,9.43,80.2,2.09,7.12,3.56,6.56,0.87,0.08,9.32,9.45,0.7604
CYC2023_1,NBH8189,2.7,3.28,24.01,61.68,7.18,5.63,0.35,9.13,89.2,4.18,5.23,2.42,4.67,6.89,5.91,9.09,0.08,3.916
CYC2020_4,NBH6977,0.66,8.13,45.08,93.62,6.9,3.35,2.65,9.33,16.16,5.55,3.3,9.02,9.91,5.53,0.62,9.71,4.33,1.8821
CYC2025_2,NBH4763,8.3,2.55,46.45,21.84,0.15,5.23,1.88,3.43,22.62,5.94,8.36,0.64,1.29,5.17,2.42,8.54,6.59,3.1294
CYC2021_3,NBH8864,7.75,1.57,90.51,55.92,3.42,0.37,4.98,9.95,0.23,6.01,0.26,7.53,2.3,1.27,1.05,7.57,0.16,1.7939
CYC2019_3,NBH8138,9.82,2.92,83.6,95.25,1.49,5.6,2.39,8.49,70.98,7.48,7.12,9.25,6.53,8.83,6.12,2.93,1.99,1.4421
CYC2025_1,NBH7403,8.89,8.38,85.59,7.8,0.29,4.67,2.64,8.14,87.26,4.67,6.47,2.32,5.78,6.83,3.67,6.24,0.35,3.1894
CYC2019_1,NBH6961,7.35,3.36,69.74,28.25,2.01,9.45,8.66,6.48,24.59,7.54,9.23,5.59,9.29,6.3,9.24,4.49,5.44,3.9487
CYC2020_3,NBH5931,7.43,7.97,87.05,66.1,5.1,4.49,2.97,9.17,22.06,8.5,5.11,1.21,7.05,5.92,0.96,0.15,1.22,2.709
CYC2021_1,NBH3404,8.06,5.92,3.17,67.57,3.07,9.94,2.83,3.22,27.39,6.56,3.38,7.2,3.45,9.33,2.6,2.92,4.29,3.8394
CYC2023_2,NBH6438,3.91,5.22,75.61,67.05,9.45,6.1,4.68,5.24,18.77,7.02,4.09,8.4,2.54,5.59,2.56,6.62,8.22,1.7716
CYC2026_3,NBH8405,4.66,2.11,18.84,19.52,3.07,1.29,6.93,4.75,68.93,3.16,4.18,5.44,4.44,0.82,2.21,5.27,9.24,1.2998
CYC2021_1,NBH6506,3.23,1.33,13.96,10.44,7.33,4.45,1.58,9.43,53.96,5.4,5.31,3.86,1.43,4.06,4.72,7.92,7.31,2.8977
CYC2026_2,NBH9663,2.8,1.08,42.7,28.0,5.55,9.35,1.74,9.33,80.01,6.38,5.17,5.52,3.01,5.69,4.9,4.51,0.63,2.5451
CYC2025_4,NBH9009,2.9,8.99,66.89,27.51,9.24,5.62,4.24,1.82,32.64,0.42,4.38,2.02,3.06,8.65,3.38,8.1,8.7,1.8082
CYC2023_4,NBH4794,8.14,9.53,0.89,35.55,7.7,8.3,8.53,7.61,32.76,8.03,5.66,1.96,2.0,2.22,1.67,3.01,7.37,3.7262
CYC2024_1,NBH8997,1.51,1.24,97.07,83.72,5.49,4.67,3.42,5.34,95.74,0.66,5.86,9.5,7.71,7.87,6.43,9.29,9.32,2.1664
CYC2020_1,NBH4541,3.58,1.1,66.73,14.03,5.53,0.6,9.95,6.62,5.51,7.17,6.09,6.96,8.12,7.06,1.7,2.67,1.87,2.8956
CYC2025_2,NBH6753,4.87,4.49,56.26,91.35,8.08,7.59,2.06,9.07,36.72,4.42,0.33,6.51,9.43,2.59,2.2,1.94,3.07,3.0287
CYC2022_1,NBH9353,3.42,3.81,13.22,90.99,8.53,5.42,9.84,8.37,5.44,1.47,2.14,1.53,6.07,7.02,9.01,8.09,1.58,0.3274
CYC2019_4,NBH7382,2.65,2.69,14.31,14.03,1.02,0.25,2.23,2.58,56.99,2.63,9.26,0.45,4.26,1.73,0.44,3.82,6.73,3.6398
CYC2019_4,NBH6225,6.9,8.93,6.45,51.86,6.7,7.05,0.49,8.66,32.36,2.95,0.66,5.89,4.11,9.48,1.14,2.64,2.57,3.785
CYC2019_3,NBH5438,1.6,8.02,5.89,12.48,6.02,9.94,9.2,6.15,39.88,3.87,8.66,0.34,2.9,1.41,2.04,0.79,2.58,1.117
CYC2026_2,NBH9278,2.25,8.17,73.02,68.52,2.38,5.99,7.49,2.1,41.76,5.73,2.51,7.3,5.8,3.05,3.63,3.66,4.7,2.2679
CYC2023_1,NBH3893,6.65,1.04,16.75,65.49,4.48,5.7,2.77,0.68,93.96,5.2,4.59,9.34,9.84,0.55,3.2,6.37,8.94,2.4217
CYC2021_2,NBH7203,0.11,4.91,95.55,17.96,9.36,2.68,9.13,6.1,36.78,9.11,0.88,7.38,5.93,3.79,5.36,7.63,1.17,1.2055
CYC2019_1,NBH2359,8.81,9.11,25.38,14.45,8.82,7.92,0.26,7.37,33.66,4.29,6.04,9.55,1.06,0.12,6.55,0.04,9.94,0.4644
CYC2019_4,NBH6153,4.05,7.47,80.69,55.9,8.1,7.95,9.88,2.89,87.71,6.69,1.73,1.59,7.87,4.08,8.77,5.14,3.07,3.4446
CYC2023_2,NBH9762,4.9,9.15,34.07,63.54,0.43,9.99,1.35,1.78,15.34,0.47,7.76,4.51,4.65,9.73,2.19,0.56,6.08,1.8726
CYC2020_3,NBH9940,9.56,8.95,52.27,44.93,2.82,7.24,1.38,7.38,45.61,5.65,6.88,7.3,6.8,3.08,1.49,2.98,1.75,3.4658
CYC2024_4,NBH6588,9.74,8.85,50.03,61.37,1.48,2.12,2.21,5.35,55.43,2.16,1.9,7.55,2.47,5.84,2.07,5.09,6.21,3.9102
CYC2019_2,NBH6071,3.33,9.68,73.12,38.44,2.2,7.77,6.66,6.39,88.33,2.58,1.48,8.74,0.3,9.9,2.52,5.3,9.07,1.7
CYC2018_4,NBH5500,3.12,2.93,21.0,89.78,8.56,6.55,8.08,7.08,6.9,8.16,4.59,5.07,9.79,9.53,2.88,3.72,0.25,1.8074
CYC2024_2,NBH5896,0.37,8.58,4.22,1.27,4.13,0.05,1.52,3.48,34.85,1.26,7.53,5.1,7.26,4.15,0.51,9.19,1.35,0.743
CYC2026_2,NBH7562,2.65,3.67,70.06,23.12,4.95,0.46,6.1,4.97,46.6,2.24,7.08,9.04,3.09,9.87,1.09,2.8,2.85,2.7909
CYC2024_4,NBH2140,9.91,8.36,26.35,16.52,0.6,3.3,9.45,5.64,34.35,0.06,5.75,9.65,9.95,5.48,8.27,1.19,9.91,2.2413
CYC2022_2,NBH6894,8.11,9.33,97.21,59.78,5.39,2.99,6.93,1.46,99.11,8.85,6.18,4.31,8.53,6.1,9.01,3.63,8.53,0.2157
CYC2024_3,NBH2894,6.11,4.72,34.43,68.55,6.92,5.82,0.77,0.14,80.94,1.09,3.84,2.27,8.1,1.53,4.23,9.27,9.43,2.3405
CYC2022_1,NBH7865,1.42,8.25,80.69,43.15,5.56,3.78,5.16,0.29,57.41,5.59,3.74,8.04,6.13,4.66,3.62,2.78,8.0,2.4225
CYC2025_4,NBH8612,7.83,5.78,43.7,21.77,7.37,4.32,2.83,1.45,63.03,6.0,9.77,7.16,5.25,3.47,7.14,3.19,2.7,3.2589
CYC2018_1,NBH2617,1.83,5.47,80.05,23.14,6.0,0.32,4.51,1.21,98.18,4.24,1.81,7.59,2.01,0.15,3.82,6.16,2.92,1.8174
CYC2018_4,NBH2460,7.81,1.72,18.5,23.65,9.99,5.45,5.1,8.07,35.98,4.39,4.75,6.26,1.21,2.25,6.93,0.56,5.18,3.1701
CYC2024_3,NBH8613,3.52,3.57,27.99,61.66,7.3,6.6,5.85,3.33,16.03,2.48,1.59,1.45,1.56,4.86,7.57,6.29,9.94,1.9629
CYC2019_3,NBH7734,0.56,1.09,45.61,48.45,0.97,0.87,6.07,5.41,73.19,7.11,2.84,6.65,5.72,0.09,4.23,6.95,9.1,0.6817
CYC2026_2,NBH1046,7.34,1.8,92.23,19.37,9.55,1.45,1.29,1.86,37.12,4.87,6.23,3.08,4.85,1.41,6.21,9.53,3.87,2.3568
CYC2025_4,NBH5890,4.75,9.18,66.34,36.75,6.96,8.57,6.77,7.04,42.03,9.1,1.95,8.28,6.23,3.13,4.13,6.43,4.41,1.7144
CYC2023_3,NBH2421,9.19,4.06,73.84,19.89,0.2,7.32,9.02,5.67,16.89,6.97,9.43,9.66,5.2,8.49,7.56,3.67,4.07,1.7657
CYC2018_1,NBH9138,9.93,8.83,83.38,14.81,2.64,0.76,6.38,6.66,98.97,5.11,1.68,0.77,1.46,4.21,6.57,3.9,6.42,1.2133
CYC2020_3,NBH6535,4.61,4.87,65.91,12.24,6.68,3.64,0.28,7.79,93.93,5.75,3.63,6.96,9.05,3.15,5.61,2.41,6.42,3.2038
CYC2023_4,NBH8097,4.74,6.75,3.27,74.29,3.56,5.62,4.65,7.79,74.27,0.03,1.46,2.39,5.14,3.01,1.18,0.83,3.87,1.6942
CYC2021_2,NBH9285,7.94,9.99,81.26,19.26,3.2,8.67,0.62,1.48,82.18,0.03,3.34,7.8,0.93,4.31,5.03,6.21,6.89,0.7124
CYC2025_1,NBH6611,2.53,6.08,9.44,62.89,5.33,1.38,4.99,7.13,56.86,8.85,9.49,3.64,2.6,4.06,4.61,1.86,7.42,3.6748
CYC2019_4,NBH5033,2.36,2.09,3.41,80.81,8.53,3.77,1.46,1.09,13.17,1.29,0.57,9.34,2.58,1.09,7.29,9.08,8.03,3.4411
CYC2024_1,NBH6287,7.63,9.19,17.53,6.6,3.95,5.4,3.02,6.37,0.43,0.55,7.96,2.03,8.59,9.89,7.33,8.34,4.69,1.3847
CYC2024_1,NBH2210,9.48,1.57,87.45,77.91,2.42,9.96,2.61,4.97,72.46,0.04,3.48,5.7,5.95,7.63,5.43,9.9,6.52,2.6647
CYC2019_1,NBH1434,5.93,1.12,40.88,44.13,4.05,1.24,9.29,8.95,85.88,8.14,5.58,6.02,7.88,2.12,4.64,3.81,5.16,1.9403
CYC2021_3,NBH3187,5.4,7.93,28.01,69.44,3.28,2.35,5.61,2.99,40.45,6.18,7.05,1.93,7.58,2.56,6.47,9.74,0.11,1.333
CYC2025_2,NBH7025,1.39,4.93,77.32,64.22,4.21,0.29,3.43,2.73,23.19,3.93,6.88,7.44,1.89,6.16,3.23,2.36,9.97,0.4391
CYC2025_4,NBH3097,9.42,1.97,99.59,75.32,5.63,7.59,7.35,3.41,93.29,9.38,2.73,2.57,8.59,3.06,9.18,6.61,9.65,3.3035
CYC2019_1,NBH4060,6.73,8.02,38.83,57.69,3.7,5.91,7.53,4.87,95.87,3.48,5.53,3.98,5.87,5.03,4.04,2.88,6.83,1.5946
CYC2020_1,NBH5485,2.93,4.83,64.03,88.3,7.19,6.48,5.4,3.18,71.49,4.52,1.05,8.06,6.75,4.94,8.85,7.27,5.86,3.0993
CYC2022_1,NBH8365,6.71,5.64,44.82,14.68,0.16,2.19,1.93,2.26,35.37,4.62,8.31,3.7,2.33,9.89,9.98,7.63,3.67,1.7373
CYC2026_4,NBH2059,6.75,5.85,46.04,62.0,4.84,9.56,8.56,7.6,10.09,4.73,6.13,0.88,9.11,2.16,0.05,4.14,1.24,2.9645
CYC2021_3,NBH9514,4.15,5.25,38.63,44.09,0.52,2.38,9.37,5.69,1.09,9.97,3.4,9.44,9.52,5.28,4.46,4.18,4.86,2.5242
CYC2022_2,NBH6103,3.99,4.68,41.84,54.38,4.47,7.3,0.1,4.7,57.51,0.31,1.08,3.76,3.42,9.2,0.12,8.17,0.54,3.3899
CYC2025_2,NBH3349,7.98,4.87,4.7,79.88,7.41,7.66,4.73,0.18,87.53,6.35,8.89,2.16,6.95,9.47,9.96,3.22,6.56,1.7657
CYC2020_1,NBH1578,3.78,1.13,89.62,44.94,7.01,2.46,9.56,5.06,99.39,5.27,0.06,7.57,2.51,8.86,3.02,7.29,8.27,0.5705
CYC2022_1,NBH8580,8.99,0.48,7.01,38.71,1.65,7.53,2.35,2.84,25.79,8.99,8.23,5.4,0.02,3.28,4.77,5.21,2.47,2.6069
CYC2018_2,NBH1828,3.84,3.51,37.59,44.66,2.46,2.48,2.06,6.65,25.56,0.26,4.36,4.95,9.57,6.31,1.06,4.51,7.49,3.3453
CYC2026_1,NBH8814,7.29,6.02,69.73,79.1,9.27,3.37,6.82,9.76,12.17,6.68,0.24,1.83,7.84,7.36,8.43,5.06,8.91,2.5689
CYC2023_1,NBH3737,8.25,9.22,51.96,63.64,4.17,8.45,9.83,0.49,25.65,8.69,6.69,5.19,0.42,5.33,2.78,0.97,0.87,3.4606
CYC2024_4,NBH8514,2.27,4.51,79.58,48.35,5.12,4.69,4.6,9.51,79.18,6.54,5.96,0.34,7.76,5.01,9.97,5.19,6.79,3.3572
CYC2018_3,NBH2373,2.52,9.7,85.09,80.02,1.48,1.35,8.35,6.31,54.2,9.44,1.49,9.45,5.51,1.45,4.37,7.6,0.92,3.6995
CYC2025_3,NBH2303,6.94,4.42,28.27,54.74,2.49,0.06,4.56,4.71,22.09,4.04,7.55,9.35,7.34,3.89,3.87,0.97,1.19,3.6752
CYC2024_1,NBH5099,2.2,6.31,59.19,86.59,4.54,1.83,3.95,3.23,14.61,0.55,2.74,3.64,9.3,2.94,7.97,7.37,4.41,2.2141
CYC2020_1,NBH4309,4.12,0.48,50.54,56.8,9.92,4.42,3.78,8.35,0.28,4.77,6.54,7.94,2.99,4.24,0.46,2.23,8.48,2.82
CYC2023_4,NBH7825,3.8,8.66,65.79,32.48,0.2,7.18,0.71,1.43,84.46,0.73,2.58,1.28,4.15,5.86,2.17,7.72,0.73,2.7828
CYC2019_1,NBH2824,7.55,9.57,77.63,4.15,2.56,2.79,5.28,3.61,61.53,9.21,7.39,0.05,9.47,1.84,3.53,0.67,1.74,3.7823
CYC2023_2,NBH3795,5.85,5.34,76.97,10.98,4.91,8.72,5.03,9.88,66.6,2.2,1.88,4.97,4.87,8.36,0.87,6.27,9.85,1.9873
CYC2023_4,NBH8019,7.09,3.64,72.32,7.12,3.75,6.5,6.84,0.99,35.72,2.1,0.43,1.28,3.56,3.83,7.85,0.92,3.39,3.7328
CYC2024_2,NBH4507,1.57,9.63,50.98,64.14,0.99,4.22,5.13,4.86,86.02,2.03,3.94,6.33,7.94,5.02,6.99,0.51,2.16,0.2664
CYC2018_4,NBH4052,1.2,0.17,76.88,76.51,0.12,1.87,4.66,9.94,11.59,1.56,9.31,2.74,7.79,0.78,6.91,5.27,3.67,2.9059
CYC2023_1,NBH4068,9.21,5.06,66.48,77.48,5.93,2.08,1.09,1.3,21.92,3.13,8.43,3.57,1.3,1.97,5.85,3.44,3.85,1.5577
CYC2023_4,NBH2772,0.93,2.78,34.29,25.11,2.14,9.99,8.16,2.18,89.59,3.94,0.8,5.95,5.31,4.58,1.82,7.61,5.19,3.3205
CYC2019_3,NBH6656,6.74,4.89,75.57,59.72,4.24,7.77,3.37,0.26,79.19,2.99,6.1,8.93,2.6,8.94,1.8,2.49,5.6,2.2273
CYC2023_4,NBH6038,6.29,0.14,99.63,34.73,4.85,0.44,4.73,0.9,96.62,8.41,7.15,5.39,7.91,1.73,1.17,0.19,5.01,2.8121
CYC2026_3,NBH4707,6.94,8.19,7.86,11.65,4.36,6.75,3.32,4.15,43.48,4.32,7.47,3.56,8.99,2.34,9.32,1.25,5.29,1.0327
CYC2023_4,NBH1505,1.57,7.03,1.88,51.02,4.31,1.74,0.81,3.55,33.11,9.73,1.96,4.93,4.9,4.9,9.48,3.66,0.88,0.5085
CYC2020_3,NBH9822,8.24,0.06,84.81,42.57,7.18,3.85,9.16,2.55,22.08,7.89,0.09,0.58,2.62,7.86,2.06,5.75,1.66,3.745
CYC2018_2,NBH6453,7.2,1.41,57.0,87.51,4.63,5.46,5.89,6.64,62.88,5.07,3.52,3.77,3.28,7.79,4.69,1.05,2.84,0.9162
CYC2024_3,NBH5749,3.53,0.1,61.82,35.0,0.03,8.14,0.92,4.13,1.45,8.55,2.61,7.16,1.83,9.55,8.18,0.57,0.98,0.7185
CYC2024_3,NBH7715,2.56,4.71,21.94,94.64,9.02,9.55,9.74,1.08,95.57,6.18,2.79,4.96,0.86,2.7,6.58,2.8,3.34,2.8218
CYC2024_4,NBH3325,8.04,1.49,55.77,11.63,6.66,1.11,2.94,1.32,35.7,3.15,2.72,1.49,5.2,2.01,8.35,6.57,8.56,3.4705
CYC2018_4,NBH1146,2.54,4.41,94.19,45.29,9.47,7.73,4.71,8.68,90.38,4.35,8.14,8.67,4.3,4.73,2.67,4.52,4.89,2.6461
CYC2019_2,NBH3332,1.38,2.39,91.62,6.12,6.98,0.84,2.21,8.06,35.9,4.8,7.83,5.82,2.76,9.51,4.4,1.15,0.65,3.2985
CYC2023_1,NBH2831,6.82,4.45,28.96,48.99,8.23,5.95,0.71,6.09,6.25,0.6,6.23,0.71,6.9,7.37,1.07,5.33,9.56,1.3527
CYC2025_4,NBH8472,6.59,4.45,65.36,68.79,0.07,5.17,1.02,2.29,85.15,6.82,4.75,4.3,2.92,4.24,1.57,5.59,4.56,3.42
CYC2022_4,NBH5962,9.23,5.55,66.21,95.91,3.11,0.36,2.69,0.81,78.32,2.83,1.33,9.78,0.24,9.85,6.6,5.39,6.42,3.7793
CYC2022_1,NBH2817,4.54,8.43,44.14,41.15,9.31,7.98,2.21,4.68,71.0,2.38,7.25,8.04,7.91,0.88,3.49,9.9,7.46,3.2345
CYC2019_4,NBH3445,5.79,6.34,48.61,13.54,2.24,1.26,7.81,4.53,38.5,2.54,1.35,4.24,3.15,1.99,2.43,8.72,3.35,3.5182
CYC2023_1,NBH1206,3.93,9.89,96.19,36.13,1.84,1.96,9.61,2.99,34.3,5.31,2.05,8.19,7.15,7.76,4.87,3.09,4.26,0.6563
CYC2025_2,NBH9359,2.41,9.73,63.22,72.61,9.82,5.51,4.72,4.73,72.14,9.08,7.76,5.25,2.63,8.39,8.3,2.22,6.87,2.3083
CYC2023_4,NBH5363,7.29,9.5,64.86,97.38,5.46,8.55,9.74,0.29,4.24,2.51,2.83,5.56,5.0,8.35,5.53,2.76,2.19,1.3077
CYC2020_4,NBH8478,2.42,8.66,96.51,38.97,9.3,8.7,5.17,1.82,58.22,7.74,1.24,9.36,7.58,8.33,5.68,2.44,0.3,1.9751
CYC2019_1,NBH1813,7.66,4.96,66.41,98.83,7.99,4.93,3.77,8.83,15.06,2.64,8.7,2.57,1.79,8.14,4.39,8.84,3.09,2.4161
CYC2024_1,NBH9454,1.6,2.94,18.72,80.1,1.29,0.95,2.58,3.39,36.39,0.29,3.96,2.64,5.55,2.14,7.6,7.25,0.85,1.2218
CYC2023_1,NBH3242,9.28,7.53,24.24,28.98,8.03,5.14,1.32,0.64,16.64,4.44,0.43,0.93,7.33,9.27,0.53,2.02,1.17,2.3776
CYC2019_2,NBH9252,0.33,3.76,16.73,27.55,1.12,3.63,5.54,7.84,38.07,0.02,6.71,6.93,1.3,4.86,0.51,6.21,8.98,1.7612
CYC2025_4,NBH4268,6.92,4.62,66.76,89.83,7.13,4.3,9.64,7.09,79.88,1.56,6.38,8.28,6.27,0.82,0.72,3.46,5.79,3.2557
CYC2022_1,NBH1554,2.86,8.41,41.39,2.38,7.72,5.68,1.37,4.87,5.15,9.05,2.36,8.35,7.57,4.7,1.63,8.92,2.11,0.8924
CYC2025_1,NBH2802,6.12,6.74,14.29,0.74,1.18,2.07,5.53,2.46,47.69,8.25,5.74,5.6,9.49,3.18,7.78,8.71,8.54,1.8535
CYC2020_2,NBH3778,3.92,2.18,1.76,73.37,0.27,5.26,9.75,6.01,3.02,6.92,7.65,3.27,0.49,3.03,0.34,3.29,7.9,3.6621
CYC2020_4,NBH8558,8.59,4.57,89.5,51.27,6.81,0.07,6.39,6.56,31.68,8.28,2.46,5.79,5.06,4.65,0.21,9.68,7.44,0.2959
CYC2023_1,NBH4337,5.4,0.16,18.86,16.2,2.57,8.51,0.42,2.89,91.2,8.28,6.05,2.53,6.57,8.07,3.34,0.54,9.88,1.5832
CYC2025_3,NBH7029,2.89,1.57,32.5,20.38,7.28,9.6,3.19,3.15,70.68,6.84,4.36,3.14,4.81,7.03,4.15,8.69,6.7,2.6884
CYC2018_4,NBH5339,3.72,4.69,8.0,27.96,3.13,9.91,4.12,1.88,93.69,4.41,2.66,8.73,5.81,6.35,2.85,6.73,8.42,2.5939
CYC2020_2,NBH3861,1.17,9.23,43.95,8.46,7.01,7.16,1.05,0.63,95.89,6.7,2.62,5.14,6.44,4.75,2.07,0.68,8.19,2.5007
CYC2023_1,NBH8310,7.14,6.67,77.36,48.61,1.74,2.66,6.61,1.77,22.24,7.93,5.23,0.47,5.57,2.83,3.13,1.7,1.8,2.176
CYC2021_3,NBH2198,2.35,6.0,71.1,94.14,9.16,8.77,1.9,8.78,28.47,2.93,3.92,0.05,6.81,4.98,5.83,7.49,8.6,0.315
CYC2021_2,NBH1805,8.26,6.4,27.35,79.52,1.53,2.07,1.0,5.91,4.51,7.03,2.05,6.56,6.17,1.3,0.45,0.4,1.45,2.2481
CYC2025_4,NBH5097,8.11,5.12,73.98,51.79,6.63,7.06,0.36,5.81,4.52,1.1,4.9,6.37,9.51,7.57,6.76,8.93,8.74,2.5463
CYC2019_4,NBH6226,6.06,4.47,56.04,93.6,0.7,2.25,4.92,2.38,55.61,1.52,7.54,5.87,4.0,7.46,8.37,9.74,9.04,3.8512
CYC2023_1,NBH9803,0.15,4.51,70.04,32.73,7.05,2.43,5.01,4.74,70.5,6.62,4.36,2.02,7.52,6.58,0.71,4.7,5.9,3.6695
CYC2018_2,NBH4191,8.96,3.82,87.03,24.57,4.76,5.88,4.95,4.31,14.48,8.87,5.1,8.33,5.1,4.97,0.81,0.43,4.57,0.4632
