qol_trust_reference_year,qol_trust_country_iso2,qol_trust_region_nuts_code,qol_trust_trust_in_parliament_score,qol_trust_trust_in_government_score,qol_trust_trust_in_police_score,qol_trust_trust_in_media_score,qol_trust_corruption_perception_score,qol_trust_satisfaction_with_democracy_score,qol_trust_sense_of_safety_night_pct,qol_trust_victimisation_rate_pct,qol_trust_social_capital_index,qol_trust_volunteering_rate_pct,qol_trust_civic_participation_rate_pct,qol_trust_hate_speech_exposure_rate_pct,qol_trust_disinformation_exposure_index,qol_trust_institutional_quality_index,qol_trust_survey_source,qol_trust_survey_weight,qol_trust_data_extract_date
2012,GR,ES743,4.23,3.98,4.66,4.12,65.37,5.2,55.74,13.34,51.23,27.85,14.64,17.19,26.18,52.58,EUQLS,3.155,2025-02-04
2013,LT,EE7,4.98,5.56,6.22,5.29,67.79,4.65,60.18,12.6,55.88,19.0,36.03,19.53,27.67,72.88,ESS,3.0433,2024-02-07
2014,PT,LU301,6.27,2.17,6.59,5.34,57.64,6.75,66.67,14.17,66.73,21.7,36.3,18.9,39.85,63.09,EUROBAROMETER,1.3613,2025-07-04
2015,SE,FR492,3.14,2.35,6.14,5.34,66.16,4.83,89.28,12.7,55.81,37.2,21.06,17.37,40.01,81.66,NATIONAL_TRUST_SURVEY,1.0429,2025-11-08
2016,CY,AT4,5.41,3.57,4.52,5.62,62.43,6.56,84.46,16.46,53.0,24.95,16.2,8.89,66.84,36.43,EUQLS,1.882,2024-04-22
2017,FR,HU61,4.59,4.54,6.05,3.73,77.14,5.91,79.98,14.58,43.09,24.89,13.56,15.72,27.93,72.89,ESS,0.5078,2025-07-05
2018,IT,PL1,3.28,5.82,5.18,3.13,70.29,5.16,70.15,13.44,49.01,12.54,14.72,17.74,57.17,70.78,EUROBAROMETER,2.7892,2024-04-28
2019,NL,EE771,3.38,2.47,4.9,2.74,82.97,8.4,71.14,12.79,50.55,33.33,18.94,23.58,36.74,73.77,NATIONAL_TRUST_SURVEY,3.0837,2024-03-01
2020,SI,DE48,3.75,3.0,4.98,2.21,77.63,3.99,51.31,19.31,43.29,11.76,19.25,15.26,45.02,68.69,EUQLS,1.6941,2026-02-11
2021,BG,EE264,2.19,5.73,7.3,5.18,64.94,5.41,56.86,9.54,60.18,15.94,15.1,13.09,71.78,55.61,ESS,0.2464,2024-05-30
2022,EE,FI151,5.92,5.0,5.9,3.46,64.64,3.85,74.93,13.6,48.48,20.57,13.95,11.13,73.8,33.84,EUROBAROMETER,2.1503,2024-12-13
2023,HU,SK751,3.76,3.07,4.47,2.1,68.83,6.07,48.59,16.08,57.18,24.11,33.17,16.45,40.55,57.59,NATIONAL_TRUST_SURVEY,2.683,2025-07-16
2024,LU,CY98,4.43,6.82,5.82,5.05,77.42,8.71,94.58,12.1,74.32,36.58,37.38,6.48,55.27,53.95,EUQLS,2.5082,2024-06-13
2025,RO,IT80,5.59,3.74,4.94,3.62,41.15,4.85,67.0,12.88,64.66,18.78,29.26,7.86,53.23,70.65,ESS,3.5674,2026-01-03
2006,AT,SK38,5.41,5.69,6.6,1.85,74.21,3.57,52.03,14.04,61.04,9.46,34.85,24.86,43.84,61.43,EUROBAROMETER,2.0333,2024-07-22
2007,CZ,GR500,4.57,5.51,3.63,5.74,61.58,5.69,74.51,10.11,40.42,19.24,11.12,6.67,56.49,70.06,NATIONAL_TRUST_SURVEY,3.556,2025-06-05
2008,DE,LT514,2.71,3.0,5.56,1.94,52.64,3.41,46.37,11.75,58.82,21.11,25.7,18.6,73.42,48.99,EUQLS,3.9455,2024-02-25
2009,LV,HR2,5.31,2.47,4.78,3.82,61.7,4.21,49.92,16.24,60.53,11.58,14.12,14.73,20.6,34.59,ESS,0.6262,2024-09-26
2010,PL,CZ2,3.22,3.52,4.65,4.13,76.0,4.74,66.01,13.14,33.1,5.64,24.14,10.06,36.32,43.38,EUROBAROMETER,4.071,2025-01-25
2011,ES,FR736,5.9,4.0,6.54,3.91,48.63,5.13,55.46,11.48,67.85,5.84,31.04,6.94,52.12,37.29,NATIONAL_TRUST_SURVEY,2.3078,2025-02-01
2012,HR,IT490,3.69,2.28,4.01,2.62,79.53,3.85,77.45,8.18,62.2,27.13,23.85,18.55,65.36,65.85,EUQLS,2.6448,2024-11-21
2013,FI,NL85,5.61,2.45,8.42,2.43,82.64,3.75,77.52,8.66,52.13,17.47,10.6,22.08,29.59,98.9,ESS,3.2806,2025-03-16
2014,IE,BE66,6.46,5.34,7.62,4.44,67.92,3.85,69.89,11.06,72.67,25.15,18.92,9.87,24.62,46.23,EUROBAROMETER,1.533,2025-09-17
2015,MT,MT63,2.44,5.6,6.63,3.88,57.99,7.04,52.07,6.86,36.35,5.66,28.14,20.13,31.07,57.27,NATIONAL_TRUST_SURVEY,3.8991,2025-05-06
2016,SK,HU80,6.14,5.98,7.72,5.83,61.29,4.24,51.77,16.58,35.29,7.09,35.63,7.98,58.82,56.58,EUQLS,1.7576,2025-11-30
2017,BE,BG509,4.71,2.04,3.86,4.47,43.11,6.49,84.93,9.67,51.67,19.65,11.25,5.45,71.95,32.82,ESS,1.5474,2025-02-14
2018,DK,MT9,7.21,4.01,5.24,4.61,51.28,3.51,96.24,10.41,89.95,21.62,43.8,11.04,75.11,61.94,EUROBAROMETER,2.5954,2024-11-22
2019,GR,CZ268,3.26,6.24,5.36,4.59,37.44,4.88,47.07,15.46,47.83,12.73,27.83,4.33,59.1,34.94,NATIONAL_TRUST_SURVEY,2.6429,2024-01-17
2020,LT,BG278,2.69,2.66,6.65,5.51,50.34,6.93,52.18,8.47,48.47,15.45,27.2,12.66,33.63,41.28,EUQLS,4.1311,2024-12-08
2021,PT,BG54,3.04,2.09,6.62,5.18,62.84,7.4,48.53,18.52,67.36,23.56,9.09,20.17,61.04,46.98,ESS,1.3959,2025-04-10
2022,SE,BG23,5.83,4.94,8.33,4.18,60.24,6.43,76.45,10.1,89.96,8.42,15.89,8.29,48.82,83.34,EUROBAROMETER,1.2912,2024-07-16
2023,CY,SK8,4.48,5.25,3.86,2.31,42.66,3.71,66.69,6.94,41.98,10.37,37.87,9.76,54.74,34.3,NATIONAL_TRUST_SURVEY,2.2538,2026-02-01
2024,FR,SK39,3.91,5.63,4.84,3.26,38.43,6.81,47.1,8.98,50.05,12.86,37.63,16.29,76.41,60.02,EUQLS,4.1539,2026-01-08
2025,IT,IT519,5.52,4.76,7.12,3.83,46.14,2.92,75.47,11.06,71.28,23.74,45.96,18.67,68.21,80.16,ESS,3.4657,2025-11-18
2006,NL,CZ782,2.56,3.07,4.42,3.98,42.7,3.99,97.74,11.43,70.8,21.66,35.94,9.95,32.32,70.34,EUROBAROMETER,3.0066,2024-05-13
2007,SI,CZ6,2.85,4.86,7.42,3.06,78.68,6.24,50.53,14.8,62.64,7.96,11.71,6.99,63.88,80.85,NATIONAL_TRUST_SURVEY,4.0285,2024-03-19
2008,BG,PT52,5.42,3.6,6.13,4.55,69.36,6.96,79.59,7.21,74.04,15.85,38.74,18.54,28.38,65.8,EUQLS,2.3539,2024-02-18
2009,EE,FI107,2.52,2.81,5.68,3.52,45.71,5.61,85.39,11.4,59.42,26.33,36.07,20.28,53.44,32.36,ESS,4.6877,2024-05-30
2010,HU,DE993,3.51,5.26,4.26,1.92,32.58,5.72,82.49,12.09,38.68,7.15,15.02,13.1,29.07,50.01,EUROBAROMETER,0.3057,2024-01-10
2011,LU,AT535,7.72,6.07,8.49,3.69,85.31,8.22,90.71,12.44,77.46,23.67,33.25,10.74,23.43,46.2,NATIONAL_TRUST_SURVEY,1.0308,2025-12-14
2012,RO,FR6,2.46,5.62,6.54,1.98,52.26,3.28,76.53,9.56,64.93,21.98,25.4,9.81,59.64,75.37,EUQLS,2.4667,2024-03-31
2013,AT,LV2,3.93,5.27,6.86,5.62,77.43,7.28,74.92,13.5,74.31,9.25,24.75,12.43,41.42,35.03,ESS,3.1422,2024-08-27
2014,CZ,LU982,3.62,4.76,7.9,4.49,79.72,5.59,61.39,13.15,76.17,20.7,33.45,14.74,55.37,41.62,EUROBAROMETER,4.5882,2025-08-23
2015,DE,SK21,2.33,3.01,4.54,2.92,35.14,6.54,86.76,13.84,73.65,8.5,27.8,11.13,73.06,54.49,NATIONAL_TRUST_SURVEY,3.5817,2025-05-01
2016,LV,LU8,5.96,4.87,5.66,3.69,79.82,3.83,60.15,16.51,35.14,22.58,10.04,12.71,67.83,39.54,EUQLS,2.3768,2025-04-29
2017,PL,HR537,4.7,3.51,7.36,3.23,41.26,6.28,73.77,13.97,52.65,10.25,24.95,4.42,61.81,73.22,ESS,3.1269,2024-07-16
2018,ES,DE685,4.42,3.64,6.17,4.21,59.63,6.51,59.91,6.03,62.43,23.41,20.48,16.04,46.02,78.01,EUROBAROMETER,4.2454,2026-01-18
2019,HR,HR53,3.61,2.61,4.98,2.66,44.81,6.76,72.22,12.59,72.83,20.69,38.27,6.25,54.71,45.62,NATIONAL_TRUST_SURVEY,1.6313,2025-08-30
2020,FI,LT4,6.82,6.02,6.83,5.75,88.42,5.23,67.19,11.68,93.55,25.56,23.12,10.98,66.46,80.66,EUQLS,2.1651,2025-01-21
2021,IE,BE106,3.4,6.24,6.94,3.23,76.37,3.97,87.24,7.25,57.18,17.05,19.32,19.75,73.75,57.99,ESS,4.0783,2024-10-06
2022,MT,HR451,2.94,4.58,7.02,2.9,49.99,3.77,43.65,14.92,80.46,5.15,10.67,25.16,94.57,37.37,EUROBAROMETER,2.667,2024-07-10
2023,SK,BE99,6.1,2.56,4.75,5.36,38.41,4.04,44.37,15.15,54.72,6.58,13.93,20.91,58.68,80.07,NATIONAL_TRUST_SURVEY,0.4626,2024-07-11
2024,BE,BE995,3.73,2.98,4.42,4.77,61.3,5.83,84.11,13.42,37.36,16.62,8.06,5.69,62.92,40.43,EUQLS,2.1046,2025-02-01
2025,DK,FI71,4.03,4.32,5.44,3.02,95.31,7.57,85.38,7.53,43.55,32.02,29.24,7.76,63.49,49.91,ESS,0.3166,2024-04-23
2006,GR,IE964,4.51,4.07,7.64,2.51,75.73,6.25,80.83,15.71,56.35,13.21,29.47,21.1,25.29,46.06,EUROBAROMETER,2.0661,2024-05-11
2007,LT,LT142,3.81,4.97,6.99,5.79,42.54,6.47,60.13,6.22,44.17,21.05,25.27,21.82,51.01,73.99,NATIONAL_TRUST_SURVEY,3.1831,2025-10-22
2008,PT,LT703,4.53,2.16,6.33,4.03,65.45,6.23,78.59,9.76,46.6,24.45,24.14,16.37,49.23,62.7,EUQLS,2.5817,2024-07-31
2009,SE,BE2,7.0,3.12,4.74,2.72,44.39,4.38,69.16,13.37,78.38,36.38,22.13,21.94,74.55,95.46,ESS,1.4064,2024-03-30
2010,CY,LV732,3.47,3.65,6.44,4.21,40.21,4.71,60.49,9.97,49.27,10.65,33.23,10.26,35.21,54.44,EUROBAROMETER,2.081,2024-09-05
2011,FR,SI76,4.01,4.62,3.86,2.36,53.57,6.89,84.08,10.29,59.89,20.37,12.77,13.15,74.44,79.75,NATIONAL_TRUST_SURVEY,3.9646,2024-03-14
2012,IT,ES78,5.97,5.24,5.51,5.41,72.51,3.61,57.67,13.15,51.75,20.81,29.97,6.06,52.89,39.04,EUQLS,1.4838,2025-08-05
2013,NL,EE30,5.44,6.5,9.57,4.89,43.9,4.68,97.42,7.44,68.56,26.38,41.73,17.16,43.88,49.51,ESS,0.7919,2024-12-17
2014,SI,SK70,2.59,3.6,7.41,2.28,70.11,3.2,77.76,13.7,73.05,22.68,21.72,17.59,32.34,72.81,EUROBAROMETER,3.1339,2026-01-15
2015,BG,BE4,2.32,1.95,4.59,6.16,78.17,4.97,82.03,10.19,47.08,12.48,16.19,18.6,48.31,81.58,NATIONAL_TRUST_SURVEY,0.5752,2024-09-07
2016,EE,EE9,2.34,3.78,4.95,5.93,58.33,3.08,77.44,13.09,55.55,13.98,29.36,20.57,73.28,72.88,EUQLS,3.4916,2024-03-17
2017,HU,DE910,5.8,5.82,4.75,4.66,61.18,6.2,66.38,15.93,44.41,9.07,21.17,6.26,30.89,76.84,ESS,3.6184,2026-01-29
2018,LU,IT32,5.65,4.35,6.0,2.39,93.37,8.66,91.7,9.9,39.71,22.58,30.21,20.3,37.22,93.0,EUROBAROMETER,0.7669,2025-08-25
2019,RO,BE136,3.3,4.71,3.76,4.55,45.28,3.52,67.35,16.59,58.28,8.68,19.6,18.25,78.99,68.75,NATIONAL_TRUST_SURVEY,1.5184,2024-07-04
2020,AT,MT3,2.9,1.95,5.85,4.12,46.9,3.72,58.49,9.0,71.46,20.66,41.46,9.33,68.15,36.26,EUQLS,0.8384,2025-07-27
2021,CZ,LV540,5.92,6.12,4.82,3.02,71.36,4.94,67.21,17.56,76.46,13.92,37.36,19.36,33.05,82.33,ESS,1.9115,2024-02-20
2022,DE,AT3,4.06,4.15,6.18,2.62,36.96,6.67,65.63,13.07,73.25,19.83,32.31,9.72,49.46,58.91,EUROBAROMETER,2.8754,2025-09-08
2023,LV,AT98,2.75,3.85,4.47,5.79,43.21,5.55,59.45,14.8,61.38,13.46,45.88,20.17,76.58,77.96,NATIONAL_TRUST_SURVEY,1.8783,2024-10-15
2024,PL,MT890,3.32,5.54,4.97,3.98,56.12,5.97,63.34,7.87,54.62,24.78,31.4,6.67,38.19,37.85,EUQLS,2.0884,2024-08-31
2025,ES,LV6,6.02,1.93,4.79,3.69,59.69,4.59,57.14,13.46,67.09,28.1,34.65,17.57,39.59,51.8,ESS,3.1553,2025-10-14
2006,HR,SE651,2.85,2.2,6.03,6.07,50.79,2.87,48.58,16.94,75.61,15.19,25.11,8.93,53.8,68.41,EUROBAROMETER,2.7434,2024-02-12
2007,FI,PT851,6.77,3.74,4.7,4.94,46.81,6.5,91.21,15.97,83.6,10.23,39.09,16.3,34.73,53.94,NATIONAL_TRUST_SURVEY,4.2569,2025-02-04
2008,IE,RO7,4.08,3.25,5.65,5.7,68.91,6.01,59.76,16.33,71.44,18.47,32.73,15.52,54.66,76.1,EUQLS,2.5583,2024-08-18
2009,MT,DK44,2.32,2.08,6.12,5.69,53.01,6.85,53.64,12.87,33.46,14.09,32.08,4.01,30.89,51.78,ESS,2.7854,2025-03-25
2010,SK,IT7,3.28,5.67,4.23,4.55,42.66,7.18,76.85,17.0,67.31,21.57,27.01,17.27,60.4,53.71,EUROBAROMETER,0.4176,2025-11-27
2011,BE,IE11,6.19,4.35,5.26,3.0,70.22,4.3,64.43,6.04,49.35,10.57,28.53,12.34,70.55,67.01,NATIONAL_TRUST_SURVEY,0.3339,2024-08-19
2012,DK,IE376,3.79,4.49,7.45,2.52,91.19,4.63,83.69,7.9,85.07,19.06,28.97,7.61,66.8,47.26,EUQLS,3.2923,2024-01-26
2013,GR,FR704,3.9,5.88,5.39,2.08,62.49,4.1,70.46,9.84,68.74,23.11,11.21,16.02,57.58,52.26,ESS,4.6997,2024-09-21
2014,LT,SE12,2.67,3.58,7.92,2.93,72.01,4.6,63.31,9.87,50.09,16.3,19.41,19.7,41.11,45.99,EUROBAROMETER,3.6989,2025-07-06
2015,PT,EE71,4.37,6.15,4.63,6.19,36.91,4.12,85.94,10.97,60.41,15.14,15.57,6.82,40.44,71.11,NATIONAL_TRUST_SURVEY,2.3684,2024-03-14
2016,SE,HU12,3.97,7.48,4.66,5.11,43.4,6.1,55.79,17.05,49.74,35.68,9.02,18.86,76.87,94.35,EUQLS,2.2978,2024-03-31
2017,CY,PT902,2.82,3.21,5.87,3.08,77.45,3.97,63.91,6.88,62.64,16.76,27.14,15.03,63.9,35.75,ESS,4.5666,2026-02-08
2018,FR,PL3,3.3,2.3,4.51,2.09,50.18,5.54,80.14,17.1,48.78,10.06,18.19,6.51,44.66,42.08,EUROBAROMETER,1.9594,2025-12-20
2019,IT,PL83,5.2,4.03,6.63,2.96,32.87,6.74,57.34,9.22,63.91,16.97,36.32,7.84,56.96,46.32,NATIONAL_TRUST_SURVEY,1.6755,2024-12-24
2020,NL,LV73,4.55,5.62,9.3,3.7,77.53,3.8,63.54,18.8,76.86,11.48,33.74,17.25,77.79,100.0,EUQLS,4.1578,2024-11-20
2021,SI,MT305,4.63,4.11,6.35,4.19,35.16,7.02,44.15,10.4,35.36,24.81,17.52,5.77,57.54,40.39,ESS,1.792,2024-01-02
2022,BG,RO410,3.62,4.98,4.43,3.82,48.16,5.07,44.13,15.0,74.29,12.66,23.07,8.9,56.22,39.88,EUROBAROMETER,3.7646,2025-11-02
2023,EE,CY4,2.58,6.11,7.96,3.65,55.65,4.19,73.41,8.81,72.38,13.42,16.18,20.77,60.43,46.44,NATIONAL_TRUST_SURVEY,1.778,2024-11-25
2024,HU,AT454,4.86,5.74,7.3,2.14,37.92,7.15,77.22,16.06,74.27,20.94,22.44,11.07,85.97,69.28,EUQLS,3.6385,2025-02-19
2025,LU,SK42,5.41,4.03,7.03,4.45,65.66,6.05,51.78,13.59,43.12,10.3,28.09,13.03,31.71,69.83,ESS,4.1621,2025-12-10
2006,RO,DK205,2.25,2.57,4.53,2.16,42.5,4.69,85.84,7.51,48.86,5.86,34.95,17.84,62.19,43.38,EUROBAROMETER,0.6465,2025-07-09
2007,AT,IT8,2.49,6.24,5.7,2.37,44.5,3.63,54.42,13.66,57.22,22.14,7.9,4.94,50.97,73.81,NATIONAL_TRUST_SURVEY,1.9401,2025-07-11
2008,CZ,EE8,4.47,5.57,7.82,3.26,62.22,7.19,80.75,6.79,37.61,22.49,10.15,17.3,56.0,72.97,EUQLS,3.0766,2024-01-24
2009,DE,AT51,3.69,5.03,7.32,5.95,67.83,3.42,43.25,7.92,70.4,18.75,25.59,21.72,22.69,62.16,ESS,1.2691,2024-12-13
2010,LV,SI142,4.12,3.43,6.92,5.81,35.27,6.23,80.88,6.7,51.18,29.57,25.19,16.16,28.44,51.09,EUROBAROMETER,1.93,2025-12-11
2011,PL,LU386,3.28,3.01,3.75,5.33,60.12,5.85,78.62,9.96,45.98,11.84,34.1,21.3,40.66,76.34,NATIONAL_TRUST_SURVEY,2.3748,2025-10-30
2012,ES,SE59,5.92,5.18,5.32,2.72,43.32,7.38,73.74,6.88,52.89,11.34,32.21,18.06,51.87,56.98,EUQLS,1.7105,2024-01-30
2013,HR,DE12,6.41,5.41,7.23,1.87,45.6,7.24,69.65,14.12,50.32,8.14,18.62,15.3,29.51,56.68,ESS,0.9966,2024-07-02
2014,FI,SK11,6.69,4.38,7.37,3.45,42.45,5.64,100.0,10.02,89.11,31.68,43.11,13.59,73.34,99.28,EUROBAROMETER,1.7955,2024-04-04
2015,IE,EE471,5.33,5.45,4.4,3.51,70.91,7.07,53.78,6.77,44.31,19.8,14.58,6.78,53.9,78.01,NATIONAL_TRUST_SURVEY,4.7289,2025-12-22
2016,MT,RO9,3.02,4.64,5.06,3.06,40.65,7.28,60.19,14.25,62.72,7.19,34.91,13.84,72.46,61.78,EUQLS,2.8646,2024-03-16
2017,SK,EE57,3.13,3.17,5.07,4.14,59.65,4.41,85.93,10.01,61.15,18.85,27.31,20.28,45.05,81.31,ESS,4.3557,2025-05-31
2018,BE,IT758,2.12,2.9,4.17,5.56,36.76,6.57,73.85,7.81,50.86,20.53,12.51,5.67,37.44,72.35,EUROBAROMETER,2.0621,2025-01-24
2019,DK,LU670,4.13,2.6,8.72,5.74,54.58,7.77,100.0,8.69,73.31,19.98,33.02,14.15,42.1,82.88,NATIONAL_TRUST_SURVEY,0.9823,2024-02-06
2020,GR,LT932,6.33,2.23,5.85,5.48,68.89,7.23,68.2,18.92,77.48,8.99,23.29,10.18,33.04,41.26,EUQLS,3.5992,2024-08-24
2021,LT,LU332,6.34,2.98,7.86,3.66,71.45,5.95,61.28,15.22,70.74,22.13,15.79,5.5,47.91,72.66,ESS,3.2032,2024-12-01
2022,PT,BG122,4.68,2.93,5.72,2.41,53.67,6.19,82.81,12.35,76.08,25.29,30.23,21.65,69.9,69.59,EUROBAROMETER,4.5053,2024-05-12
2023,SE,LU734,4.52,3.42,6.26,2.29,62.3,5.86,63.76,6.44,42.79,14.9,10.53,18.07,59.58,40.61,NATIONAL_TRUST_SURVEY,1.1391,2025-08-17
2024,CY,LU10,4.84,2.03,3.83,4.94,36.9,3.85,71.81,10.19,51.71,21.16,31.01,16.15,39.69,43.69,EUQLS,4.5343,2025-11-06
2025,FR,DK63,5.43,3.85,7.91,4.97,75.56,6.24,52.5,12.82,56.93,7.33,32.82,15.4,52.2,52.01,ESS,0.6007,2024-03-13
2006,IT,LV980,5.13,3.48,6.07,2.66,76.69,5.04,51.39,9.82,68.94,21.63,10.6,9.24,51.85,56.87,EUROBAROMETER,2.3308,2025-01-11
2007,NL,FI281,3.11,6.87,6.95,2.33,85.36,8.96,69.21,9.65,81.01,41.25,31.07,10.29,27.05,91.73,NATIONAL_TRUST_SURVEY,4.2702,2025-04-15
2008,SI,BG9,6.21,2.45,5.55,3.6,49.6,6.4,50.11,14.23,42.78,20.8,34.35,7.83,48.06,82.17,EUQLS,0.8372,2026-01-28
2009,BG,ES859,4.08,3.96,5.7,2.78,64.6,6.19,85.08,10.31,73.41,26.2,18.9,9.56,61.77,56.62,ESS,4.4348,2024-05-08
2010,EE,LT40,6.45,3.59,5.65,3.01,34.58,3.44,54.34,7.11,68.3,9.8,20.31,14.49,49.34,83.17,EUROBAROMETER,0.8307,2024-01-20
2011,HU,SE488,2.45,4.03,7.15,3.06,54.92,5.46,79.73,15.35,66.79,17.73,15.49,9.56,54.76,83.27,NATIONAL_TRUST_SURVEY,3.8914,2025-03-29
2012,LU,EE633,5.01,3.94,6.97,2.36,68.48,7.06,62.58,8.47,80.33,28.94,29.47,18.25,27.64,76.43,EUQLS,3.5847,2025-07-14
2013,RO,LV54,5.92,4.12,4.3,3.83,44.03,6.19,64.29,6.07,54.65,19.64,24.91,3.87,24.05,55.32,ESS,2.5199,2024-08-25
2014,AT,LV259,4.22,4.44,6.74,5.97,60.01,3.28,65.66,6.82,72.77,20.76,14.31,15.78,45.82,63.09,EUROBAROMETER,1.71,2025-11-14
2015,CZ,LT832,2.99,3.33,5.6,2.13,44.84,5.72,60.05,8.69,74.91,28.09,17.65,6.22,52.6,65.57,NATIONAL_TRUST_SURVEY,1.2741,2024-11-02
2016,DE,LU66,5.3,4.28,4.42,5.3,43.89,3.31,80.73,13.46,59.23,15.84,9.31,21.49,66.56,78.81,EUQLS,2.0075,2024-01-15
2017,LV,SK257,4.7,2.49,4.33,2.12,43.75,6.8,69.54,10.09,70.36,26.89,17.26,19.41,64.26,34.5,ESS,2.6399,2024-03-14
2018,PL,SE256,4.71,5.36,4.52,2.5,71.66,7.36,54.32,16.45,80.82,5.18,29.71,15.7,87.26,32.25,EUROBAROMETER,3.2246,2025-09-01
2019,ES,HU2,4.17,2.19,5.49,3.56,53.32,3.72,80.0,15.34,62.6,6.78,20.24,22.36,81.5,32.21,NATIONAL_TRUST_SURVEY,4.4466,2024-10-15
2020,HR,IT952,5.21,4.35,4.93,4.65,72.34,6.05,61.1,11.49,77.79,26.14,21.12,6.21,77.21,41.87,EUQLS,4.4523,2024-01-29
2021,FI,FI6,3.28,2.77,6.38,3.35,48.56,5.8,93.28,8.4,90.17,11.56,36.47,17.33,56.61,65.33,ESS,1.4702,2025-05-21
2022,IE,AT305,5.46,5.3,7.02,4.87,59.48,6.11,48.93,8.86,34.76,18.13,23.8,3.99,41.65,46.46,EUROBAROMETER,3.0253,2024-07-23
2023,MT,IE6,2.49,5.94,7.88,5.09,74.24,4.5,59.87,15.08,74.03,26.78,31.76,17.38,79.48,78.2,NATIONAL_TRUST_SURVEY,2.3985,2024-08-01
2024,SK,FR541,6.17,4.84,6.61,2.75,72.59,4.61,84.17,5.9,77.15,6.69,40.52,25.04,81.98,67.44,EUQLS,1.8266,2025-07-17
2025,BE,PL494,2.23,4.1,7.47,3.76,53.3,3.3,73.08,8.43,53.24,15.56,28.42,21.13,80.73,36.52,ESS,0.3813,2025-12-23
2006,DK,IT546,7.13,4.38,8.33,2.01,95.47,7.88,55.6,8.35,41.76,12.74,27.18,13.89,25.13,52.49,EUROBAROMETER,4.171,2024-01-26
2007,GR,PL88,2.69,6.04,4.66,2.61,72.42,3.38,52.23,13.77,53.57,8.64,36.59,19.58,31.35,48.77,NATIONAL_TRUST_SURVEY,3.921,2025-02-16
2008,LT,IT16,5.2,3.3,6.45,2.61,42.7,5.62,76.61,6.85,44.47,12.71,16.54,23.87,32.09,74.1,EUQLS,2.9364,2024-02-10
2009,PT,LT57,2.13,5.01,4.35,5.92,77.88,6.57,56.03,7.5,39.9,8.5,8.66,17.17,32.03,64.8,ESS,1.9793,2025-10-04
2010,SE,RO2,2.97,6.53,4.72,1.81,50.03,4.16,64.24,15.84,79.44,27.47,34.92,19.89,43.68,49.67,EUROBAROMETER,3.4747,2025-03-29
2011,CY,GR73,2.2,4.62,7.92,4.6,36.99,6.13,75.31,11.17,58.36,18.02,37.21,18.06,20.85,49.03,NATIONAL_TRUST_SURVEY,3.8084,2024-07-27
2012,FR,CY7,2.52,1.89,6.17,2.29,64.03,7.17,43.9,7.75,52.39,18.37,14.44,12.26,29.22,82.92,EUQLS,2.3896,2024-10-27
2013,IT,EE5,4.17,3.72,4.89,3.31,61.56,4.75,50.31,14.97,69.14,24.54,34.42,13.05,60.03,41.27,ESS,1.0778,2025-02-08
2014,NL,SI381,4.99,3.42,4.38,2.35,46.19,8.33,64.82,11.62,67.32,9.93,12.24,17.63,51.07,64.51,EUROBAROMETER,1.4813,2026-02-22
2015,SI,DE292,5.91,2.34,3.82,1.96,65.79,3.65,58.94,12.31,52.39,16.05,26.89,21.63,29.83,33.09,NATIONAL_TRUST_SURVEY,3.5124,2024-10-24
2016,BG,CY993,2.97,5.71,5.62,3.8,48.08,5.25,75.11,12.63,78.33,14.51,10.62,19.84,26.29,35.87,EUQLS,2.6115,2025-06-25
2017,EE,SK98,5.26,2.3,3.77,3.73,42.96,6.24,64.34,7.93,48.17,21.86,22.4,7.43,63.63,54.41,ESS,4.3694,2025-07-23
2018,HU,ES549,3.83,5.82,4.74,3.13,71.59,3.09,52.4,12.44,44.48,27.45,7.94,17.67,87.66,57.14,EUROBAROMETER,2.1522,2025-11-30
2019,LU,EE409,6.12,5.42,6.69,3.19,48.92,7.65,94.32,15.83,52.84,24.81,27.9,14.69,65.06,55.91,NATIONAL_TRUST_SURVEY,1.561,2024-12-27
2020,RO,DK57,5.0,3.03,5.35,1.81,55.48,3.76,69.54,13.6,51.14,6.03,10.37,25.55,56.01,79.94,EUQLS,2.5061,2024-07-20
2021,AT,SI512,3.83,3.1,5.25,3.92,48.63,5.92,85.76,19.48,49.71,28.09,15.66,18.18,37.71,59.83,ESS,1.0034,2025-12-12
2022,CZ,IE127,2.54,3.04,5.52,4.86,73.72,5.24,49.71,6.47,62.04,29.52,38.3,11.98,29.09,66.83,EUROBAROMETER,4.5507,2025-04-29
2023,DE,CZ99,4.3,5.13,4.25,5.96,46.06,7.18,54.56,12.84,60.81,25.63,32.75,15.23,69.01,59.91,NATIONAL_TRUST_SURVEY,3.2081,2025-05-29
2024,LV,SI50,2.84,6.16,7.83,4.28,62.43,4.34,86.61,12.44,44.32,7.61,9.18,16.01,34.89,35.7,EUQLS,2.7779,2024-03-10
2025,PL,FI2,3.3,5.76,5.01,2.8,79.89,6.43,63.61,6.24,65.34,17.08,27.14,24.42,94.04,43.28,ESS,3.961,2025-12-16
2006,ES,DE933,4.64,5.25,6.19,2.23,75.66,3.45,70.56,15.04,47.51,15.4,26.48,21.66,63.17,42.57,EUROBAROMETER,1.5616,2025-07-21
2007,HR,NL8,4.03,5.65,6.55,5.47,65.05,4.33,78.08,6.19,35.03,8.63,7.6,21.76,60.19,55.97,NATIONAL_TRUST_SURVEY,0.7164,2025-03-10
