qol_cost_index_month,qol_cost_city_geo_id,qol_cost_cost_of_living_index,qol_cost_housing_cost_index,qol_cost_grocery_cost_index,qol_cost_utilities_cost_index,qol_cost_transport_cost_index,qol_cost_healthcare_cost_index,qol_cost_childcare_cost_index,qol_cost_tax_burden_estimate,qol_cost_median_wage_local,qol_cost_purchasing_power_index,qol_cost_inflation_local_estimate,qol_cost_rent_to_income_ratio_local,qol_cost_commute_cost_share_pct,qol_cost_essential_basket_inr,qol_cost_price_dispersion_score,qol_cost_low_income_adjusted_index,qol_cost_seniors_adjusted_index,qol_cost_methodology_release_tag
2021-08,CITY59695,95.8,151.8,115.3,57.8,181.9,129.1,105.0,4.53,30170,42.1,4.18,33.92,22.05,62460,62.9,133.1,198.0,rel_2.6.7
2026-06,CITY20985,62.3,191.2,75.9,196.2,134.5,160.2,62.1,15.79,59396,105.3,6.54,42.47,2.14,24941,16.4,68.5,197.0,rel_4.6.1
2024-06,CITY49807,77.7,185.5,66.9,153.0,101.3,163.4,232.9,3.83,15093,121.0,2.52,19.68,20.98,40172,24.6,136.5,91.2,rel_7.7.1
2025-06,CITY12340,165.0,54.5,121.8,82.1,97.7,167.7,78.4,12.21,74040,106.2,8.06,43.13,15.14,47690,54.9,151.8,141.2,rel_6.3.0
2019-12,CITY55667,137.4,166.9,101.0,89.4,156.4,166.0,131.1,11.79,76523,109.7,4.39,52.42,20.81,21488,45.9,146.3,152.0,rel_4.6.4
2023-01,CITY71836,127.5,58.0,64.5,87.6,146.6,177.8,151.8,10.51,68851,56.2,0.01,44.23,23.33,15216,8.4,57.8,88.0,rel_6.5.0
2024-03,CITY41126,142.1,185.1,72.4,130.0,64.2,180.9,141.5,14.93,68381,139.7,5.23,25.67,18.33,45525,56.0,53.3,128.1,rel_2.5.0
2024-12,CITY80153,178.2,73.5,107.3,113.7,108.4,149.6,138.0,10.28,69819,135.3,6.78,46.86,14.58,37037,99.7,93.9,103.7,rel_6.6.6
2021-07,CITY77470,162.3,181.7,103.2,125.7,115.0,88.0,141.0,2.49,33256,125.8,2.53,33.15,4.46,48210,37.0,161.1,167.6,rel_7.0.8
2023-07,CITY72821,116.4,106.2,143.0,99.4,69.4,109.9,236.0,5.61,40180,77.9,-1.41,14.59,15.83,63559,51.3,180.8,93.3,rel_7.5.3
2020-08,CITY92501,155.0,105.1,138.8,70.3,90.8,71.7,202.2,5.56,76315,134.3,6.97,34.3,12.6,47136,62.4,134.4,110.3,rel_8.6.1
2023-01,CITY81596,175.3,201.8,139.1,137.7,146.5,190.9,90.0,10.56,21915,92.1,2.57,44.95,14.7,50041,47.5,169.0,104.0,rel_8.9.9
2020-05,CITY95961,121.4,174.8,105.2,103.3,107.0,111.4,148.8,10.7,84467,89.6,0.87,15.68,23.45,12260,31.8,86.0,133.5,rel_6.1.2
2024-08,CITY37920,175.2,189.5,153.9,75.8,87.9,92.8,94.2,15.69,66333,47.6,2.66,18.99,7.33,12306,93.5,51.3,57.2,rel_9.8.5
2020-01,CITY43719,144.3,172.6,140.1,50.0,183.5,172.1,220.8,2.25,45289,121.0,12.23,14.2,18.99,18579,15.3,125.8,112.0,rel_7.3.7
2026-03,CITY38016,69.1,135.2,135.6,168.8,131.6,186.3,228.4,3.03,54607,71.8,5.67,21.11,20.17,63689,58.9,129.8,90.0,rel_6.2.5
2026-12,CITY76266,148.4,130.9,73.5,189.2,113.6,160.2,113.4,2.3,35434,73.9,0.15,28.65,2.34,59445,69.9,155.6,123.9,rel_2.4.4
2024-09,CITY38391,108.2,171.9,156.4,82.4,163.0,163.6,111.4,17.83,40133,65.5,11.13,29.56,9.61,37551,76.5,167.9,135.0,rel_5.9.1
2020-08,CITY24404,151.0,88.2,68.4,171.6,186.7,146.7,95.6,17.95,15420,91.3,12.03,46.71,23.5,63432,73.2,141.6,173.0,rel_4.1.1
2019-05,CITY60639,173.8,203.4,156.3,170.2,182.1,64.8,93.0,9.92,43770,74.1,-0.91,18.08,19.61,14369,73.2,74.7,102.7,rel_5.5.0
2019-10,CITY84420,119.2,183.6,164.2,103.4,85.0,142.4,139.8,17.83,53552,137.7,12.34,18.02,22.81,38926,76.6,116.2,157.5,rel_9.4.4
2023-12,CITY13188,130.8,168.2,97.8,154.1,173.8,120.8,116.6,6.02,62304,72.5,4.74,28.3,14.9,12615,87.6,80.2,61.7,rel_9.5.7
2020-01,CITY19114,73.6,142.9,138.0,57.5,59.7,170.4,201.8,5.92,40767,84.3,8.76,48.83,3.84,47335,49.3,134.6,148.1,rel_2.3.0
2021-11,CITY57606,145.8,154.5,65.2,181.9,163.8,149.7,107.8,3.13,20888,112.7,4.43,10.36,2.21,54864,12.9,129.0,109.4,rel_3.2.0
2025-10,CITY45285,71.5,100.5,66.0,139.5,62.2,155.3,50.5,2.95,54460,104.1,11.09,16.37,21.18,43876,21.3,142.4,106.3,rel_9.4.4
2022-10,CITY23587,159.4,189.9,80.8,155.2,90.7,94.6,99.3,13.61,78299,40.1,10.16,17.7,4.4,33423,38.0,121.4,56.7,rel_9.9.1
2023-04,CITY69768,113.8,156.5,76.1,78.3,170.3,88.4,116.0,15.94,15664,139.0,-0.71,39.78,12.31,44899,48.7,172.0,193.2,rel_3.3.4
2023-07,CITY59167,115.8,167.3,157.2,81.0,178.5,172.3,235.8,16.08,46129,50.6,-0.09,23.11,16.13,38415,89.9,143.6,50.8,rel_7.3.4
2026-04,CITY45326,95.5,170.8,78.6,174.8,130.1,137.6,82.0,3.19,25429,61.5,6.78,43.12,14.81,32491,54.5,192.5,76.9,rel_2.0.5
2021-05,CITY36398,175.0,74.1,93.5,173.4,80.6,86.4,168.5,6.42,54485,79.5,3.48,37.47,23.6,42810,28.5,104.5,119.7,rel_2.4.8
2019-02,CITY76617,172.0,111.7,152.9,112.8,111.7,145.1,194.9,2.54,82210,46.9,1.58,23.06,20.09,64477,33.4,66.1,71.8,rel_6.9.9
2022-08,CITY67874,73.9,210.9,140.7,145.6,140.3,174.0,61.4,10.08,48996,118.6,12.99,47.74,15.39,39915,53.4,106.9,101.0,rel_1.9.9
2022-08,CITY79306,97.4,198.2,77.1,81.0,146.2,102.9,182.6,4.52,58365,45.1,1.76,22.34,14.6,61322,13.4,191.6,170.6,rel_8.5.3
2024-08,CITY91447,139.2,125.8,84.7,159.0,149.1,73.0,223.0,3.03,74345,64.2,4.77,10.86,19.77,14940,22.8,123.5,103.7,rel_2.3.2
2022-10,CITY82358,148.5,169.0,87.1,185.5,64.6,197.4,212.0,13.01,62969,112.2,1.24,29.9,3.64,50575,91.8,108.1,134.4,rel_3.5.0
2021-04,CITY22460,174.8,193.4,135.7,94.2,177.9,91.3,200.2,16.69,42121,83.8,-1.63,31.76,13.52,42921,9.3,126.2,74.3,rel_7.7.2
2019-07,CITY26292,94.5,77.5,87.4,83.7,122.7,134.4,229.0,5.13,68313,133.1,2.6,28.02,22.02,13922,3.9,95.8,161.7,rel_1.5.2
2021-06,CITY75516,142.3,160.4,106.7,113.7,69.7,127.0,157.4,9.62,58870,112.2,-0.73,51.15,2.47,49890,45.1,92.8,94.7,rel_3.0.9
2026-01,CITY11218,107.2,193.9,107.0,132.8,82.3,161.5,146.4,14.94,18560,60.0,6.61,40.24,22.97,57197,17.3,50.4,117.6,rel_8.1.5
2019-01,CITY26101,110.6,75.0,112.7,52.6,152.7,61.0,165.8,14.69,74188,86.2,10.14,43.12,5.18,41049,33.7,133.2,136.3,rel_4.2.4
2024-03,CITY95674,62.2,103.0,130.2,51.4,54.6,177.8,176.8,6.25,33801,74.9,9.4,38.91,23.41,16427,34.5,66.0,123.8,rel_3.3.5
2022-03,CITY47321,69.6,61.9,130.4,190.9,50.3,158.9,171.4,13.72,15591,103.4,10.94,54.37,6.15,29905,82.3,90.7,77.8,rel_8.2.6
2025-02,CITY82999,90.8,55.9,105.1,66.0,176.8,56.2,126.3,2.84,27779,104.7,-1.44,10.05,3.81,38924,58.5,55.7,123.2,rel_4.5.0
2022-09,CITY85012,109.8,208.2,146.3,80.0,68.3,151.4,152.0,14.63,33494,65.6,8.09,10.71,7.97,34007,82.8,87.8,166.6,rel_5.6.6
2022-09,CITY26473,103.7,110.0,130.0,162.7,145.0,79.8,138.8,14.67,54425,93.7,11.11,39.76,11.41,62278,71.9,140.5,187.5,rel_4.0.6
2019-06,CITY56111,179.6,183.8,105.0,173.5,145.3,168.5,203.0,3.36,13778,40.7,-1.26,50.68,14.13,16747,57.4,179.5,122.2,rel_2.7.6
2024-05,CITY31348,104.0,145.1,133.2,196.7,152.0,146.6,107.0,2.55,49260,57.5,2.86,33.26,8.06,57343,17.2,89.2,124.4,rel_1.7.1
2024-01,CITY49015,127.9,112.1,163.0,58.2,144.3,183.7,200.8,4.94,77839,111.7,-0.57,46.53,18.53,44847,79.4,195.3,136.0,rel_9.3.8
2025-03,CITY28676,171.6,108.4,166.0,186.5,138.3,137.0,114.0,2.29,67965,85.1,13.95,15.51,6.88,16090,90.8,95.7,131.5,rel_1.7.0
2023-09,CITY95177,88.1,148.4,131.2,153.0,158.7,96.7,153.6,17.71,62897,40.3,3.16,14.89,12.87,26892,8.3,173.6,151.6,rel_8.7.3
2023-08,CITY73379,90.4,106.3,89.7,126.7,111.6,126.9,174.5,8.19,35401,56.6,3.94,43.38,19.4,32388,79.2,196.7,168.0,rel_6.9.1
2026-06,CITY29995,127.9,171.6,72.1,162.4,69.0,60.0,235.2,17.31,62406,115.0,12.33,31.15,10.96,47797,95.1,145.1,103.1,rel_4.6.5
2025-01,CITY47010,133.0,87.4,112.7,151.3,95.3,61.9,156.7,17.17,65276,130.6,12.2,16.63,18.29,55832,39.7,82.6,106.0,rel_4.1.4
2026-11,CITY12682,172.0,103.9,163.3,105.3,57.6,164.4,180.7,11.57,76442,43.2,8.62,28.76,14.88,12244,10.1,89.0,76.6,rel_8.6.7
2022-08,CITY44678,148.3,75.9,160.3,183.9,141.5,150.8,41.1,17.76,28352,135.9,1.54,24.0,19.71,28108,10.0,188.3,71.1,rel_3.9.7
2021-11,CITY83927,104.1,54.3,130.7,183.9,173.9,154.9,133.2,10.19,84867,87.7,5.61,44.88,14.12,36464,53.7,159.2,68.2,rel_2.7.5
2022-04,CITY37201,168.0,189.1,168.9,78.8,62.1,100.6,65.8,10.37,23937,84.2,-1.03,54.03,15.53,39032,34.8,157.8,165.0,rel_6.5.0
2020-04,CITY18050,72.9,160.5,94.4,102.2,118.2,196.8,233.1,8.66,56528,64.1,0.86,53.74,16.2,15980,40.8,81.7,122.4,rel_4.6.8
2021-03,CITY58929,80.1,94.7,63.9,155.7,118.9,64.1,74.3,3.64,69797,131.6,14.29,10.47,24.78,30895,89.1,157.8,60.9,rel_8.1.7
2024-09,CITY49963,112.2,84.1,71.8,116.0,67.3,123.0,165.0,15.24,73086,95.3,-1.46,31.12,23.27,50059,37.0,60.7,184.1,rel_2.7.8
2022-04,CITY20534,88.8,97.6,65.8,169.3,108.4,84.4,86.4,16.42,60738,95.4,8.47,31.34,11.01,57434,3.4,151.2,110.7,rel_2.7.5
2019-02,CITY66063,76.8,137.2,86.7,77.6,59.1,164.4,125.5,12.03,22223,87.1,4.59,26.92,16.72,19970,84.9,181.2,75.6,rel_9.1.4
2026-01,CITY78835,141.6,64.6,110.7,161.5,188.0,150.1,89.0,13.46,60226,61.2,12.47,29.23,24.13,14631,78.9,75.1,54.3,rel_5.3.6
2019-06,CITY97342,74.2,147.0,159.7,167.6,137.2,97.3,148.4,3.46,40004,136.5,2.43,10.83,14.55,26568,67.2,141.1,112.4,rel_4.3.4
2023-08,CITY41514,137.7,126.8,166.6,62.6,98.6,112.9,43.4,7.84,18955,73.6,10.35,32.95,4.98,13225,78.7,197.6,53.0,rel_2.4.0
2026-05,CITY48187,108.3,209.0,61.3,138.2,120.2,181.0,56.8,12.9,73455,106.9,14.02,47.04,2.97,28488,5.4,104.0,172.0,rel_3.4.9
2023-09,CITY96682,64.9,149.3,65.3,140.6,162.1,137.7,239.4,9.29,61107,106.7,14.85,42.09,5.77,64979,61.9,71.6,128.4,rel_6.5.1
2023-03,CITY56326,164.9,111.0,65.0,176.8,177.6,173.1,65.6,17.97,49697,111.3,-1.94,12.09,2.1,55532,30.9,196.5,92.2,rel_5.0.4
2026-08,CITY38522,111.3,144.3,68.8,168.5,109.2,170.1,90.8,8.76,15515,64.2,5.04,20.47,13.3,43889,71.2,137.0,63.4,rel_2.2.8
2020-06,CITY22875,102.1,196.0,73.9,134.8,69.9,155.7,221.0,8.95,43821,132.7,6.86,31.94,15.3,35606,28.5,164.8,120.6,rel_9.2.4
2024-06,CITY83511,72.0,157.7,156.8,183.2,184.1,180.2,40.4,8.08,12440,74.6,3.75,46.36,4.86,28126,90.4,125.5,119.7,rel_3.2.1
2023-04,CITY30875,66.0,195.4,132.4,115.2,98.5,52.9,205.0,4.28,21428,126.8,13.19,49.89,14.46,50289,47.1,192.3,177.1,rel_3.8.8
2026-08,CITY75687,135.1,98.8,166.6,141.3,105.9,146.8,119.1,15.08,13659,99.1,8.37,16.93,20.26,15603,95.0,60.9,94.3,rel_4.3.1
2022-10,CITY80678,110.2,145.1,80.6,117.2,134.1,99.1,196.2,15.45,16595,114.7,12.4,26.94,8.82,63322,8.3,146.3,120.8,rel_2.5.7
2026-11,CITY20662,112.0,74.5,150.5,189.7,137.3,101.5,70.8,6.24,49830,79.4,9.51,31.42,24.86,33649,60.0,92.6,182.1,rel_2.5.5
2019-09,CITY51150,120.6,139.3,167.1,186.7,72.6,105.3,124.8,7.77,27174,45.2,5.41,38.04,21.33,52274,20.8,119.3,186.6,rel_6.2.3
2019-03,CITY10434,90.3,120.5,69.1,141.0,64.5,175.4,202.9,10.54,34578,40.9,2.0,16.2,16.08,59950,50.9,162.1,119.4,rel_7.0.3
2021-06,CITY93512,123.8,60.6,144.3,157.9,173.4,145.9,53.4,6.05,52728,95.6,3.56,29.91,16.88,13600,32.2,133.7,179.2,rel_8.5.5
2022-11,CITY34660,109.5,179.9,124.1,60.7,174.9,54.6,189.7,14.14,83310,79.8,3.14,45.81,9.72,14024,9.0,134.4,121.9,rel_6.3.0
2022-09,CITY45200,98.5,162.0,128.5,124.2,79.6,107.3,148.7,9.49,27958,98.3,10.75,32.95,4.41,29184,31.0,195.7,67.7,rel_3.9.5
2024-09,CITY29336,123.0,142.5,103.1,96.5,85.2,101.5,132.0,5.07,42484,67.2,5.64,39.38,21.69,42917,82.4,111.5,198.6,rel_9.1.0
2022-05,CITY99001,79.3,104.6,84.7,181.7,117.5,134.5,158.7,12.23,60328,126.0,9.9,34.65,16.02,19425,5.7,134.6,81.6,rel_9.0.1
2025-02,CITY96058,137.8,198.1,142.3,180.3,125.1,162.8,68.0,7.57,69435,91.1,13.79,49.34,5.09,17538,35.8,93.6,142.2,rel_4.6.9
2019-06,CITY36485,85.0,139.2,121.1,161.4,80.8,105.2,112.8,17.35,36680,133.2,10.19,44.41,5.86,14268,48.5,88.4,129.3,rel_6.1.5
2019-12,CITY34408,179.1,165.5,163.0,174.0,168.2,135.4,116.5,16.95,16329,67.5,10.42,47.46,18.44,30448,88.2,116.7,138.3,rel_9.6.9
2026-06,CITY63270,115.4,93.6,140.0,61.0,81.2,162.3,127.4,13.28,61451,58.8,2.85,31.42,23.95,39494,14.3,188.7,65.6,rel_2.7.0
2023-02,CITY24039,89.2,173.3,67.5,193.3,77.0,182.4,201.9,17.49,80315,114.5,0.27,15.98,2.51,25698,16.6,197.3,64.4,rel_5.2.6
2024-02,CITY97778,139.5,69.8,121.1,93.1,181.6,164.3,234.5,2.6,43949,135.0,7.83,26.46,23.84,39385,23.1,126.4,183.2,rel_8.1.7
2019-01,CITY29014,103.7,194.9,143.2,141.6,101.0,81.5,195.2,9.78,66800,59.5,0.81,44.97,7.27,13799,7.9,148.5,52.8,rel_7.8.4
2019-06,CITY14297,126.9,160.7,76.9,147.0,75.6,162.6,107.8,13.36,72263,133.5,14.61,43.29,7.8,29787,63.1,138.1,103.0,rel_2.8.5
2023-05,CITY84526,84.3,86.4,60.6,95.1,154.8,169.1,80.5,17.34,34940,131.7,10.02,42.51,3.96,34189,23.2,184.6,179.4,rel_9.4.7
2021-01,CITY22020,83.5,164.1,87.8,52.8,147.9,146.7,122.2,10.41,80078,138.6,-0.49,23.11,10.57,50309,53.9,166.5,98.2,rel_9.2.2
2024-05,CITY58566,129.3,201.3,137.0,80.3,110.2,124.1,51.0,17.27,40793,121.7,9.14,32.82,9.89,21765,52.4,84.3,68.2,rel_3.4.4
2020-09,CITY19966,128.0,117.7,144.9,55.8,106.2,169.9,144.5,10.8,39215,98.7,13.11,52.2,3.23,46353,49.3,178.6,65.7,rel_5.4.0
2024-04,CITY55134,126.8,119.9,110.6,67.4,144.2,114.9,203.4,5.14,44145,115.4,6.93,26.59,3.51,33711,99.9,198.5,161.7,rel_5.4.2
2021-12,CITY60658,72.0,208.5,101.2,62.1,104.2,140.0,142.7,13.11,24818,104.5,1.99,42.92,7.91,16076,9.2,175.2,104.1,rel_1.8.0
2020-02,CITY77346,174.7,186.1,133.5,130.7,160.9,124.2,100.0,4.57,23094,81.5,12.32,20.35,2.13,48807,29.4,88.1,143.0,rel_2.9.6
2022-02,CITY42683,93.0,171.9,125.4,98.7,53.6,162.5,83.0,15.35,21321,120.5,1.91,21.52,2.74,56226,20.9,166.3,115.0,rel_7.1.4
2024-12,CITY20991,63.1,53.4,128.5,149.3,93.5,98.0,107.9,12.88,49282,130.6,14.69,25.75,7.99,58303,22.3,62.1,181.2,rel_1.4.9
2020-02,CITY97267,139.3,117.1,141.9,184.6,179.7,106.8,74.7,16.61,49403,59.5,4.64,52.6,7.67,57015,92.3,50.4,184.1,rel_4.3.9
2022-06,CITY74509,131.1,199.4,99.3,95.0,79.9,55.7,48.6,15.92,59941,106.1,8.45,48.21,13.05,27976,83.6,163.3,162.9,rel_5.2.6
2024-11,CITY55266,170.1,142.9,115.7,83.4,126.3,71.1,213.9,12.81,70513,75.7,6.72,40.41,24.09,43566,46.6,179.1,128.3,rel_7.1.6
2025-04,CITY63619,68.6,170.1,63.7,176.4,115.2,64.0,181.4,9.83,13600,40.2,5.07,42.77,20.37,58477,60.9,88.2,188.6,rel_6.9.3
2026-08,CITY96120,104.2,171.2,64.4,108.0,106.9,75.0,44.6,4.13,64433,53.2,8.12,30.22,11.71,28388,37.2,66.2,87.7,rel_6.5.4
2025-02,CITY30977,65.9,106.9,116.0,129.9,87.5,186.7,113.7,2.73,67822,93.1,4.94,22.32,5.02,62138,6.1,73.4,116.3,rel_8.8.6
2024-04,CITY96388,168.6,145.2,109.5,147.0,183.4,169.2,48.0,7.32,45550,71.5,9.9,47.18,18.82,31523,27.3,181.2,165.0,rel_9.5.2
2025-03,CITY67290,123.9,99.7,132.1,146.2,79.3,54.6,126.7,11.11,33143,132.8,6.99,43.92,12.1,27715,95.7,105.2,146.9,rel_3.4.4
2024-09,CITY19664,168.3,136.4,105.2,179.9,153.9,192.3,228.0,8.12,27065,130.0,9.7,54.37,19.64,27510,11.6,80.7,62.6,rel_7.0.1
2019-12,CITY40194,163.5,195.2,62.5,141.4,101.5,112.3,206.4,6.96,43644,44.8,14.31,13.23,15.33,25421,83.5,164.3,99.4,rel_6.0.4
2021-10,CITY51230,134.7,85.8,97.3,134.3,133.0,105.8,96.0,6.38,83880,43.1,10.3,50.75,20.3,18389,38.3,98.9,85.6,rel_6.6.8
2020-10,CITY72059,102.2,60.7,128.5,78.3,129.7,160.9,196.7,6.83,66033,62.7,4.62,37.29,19.37,61581,0.8,115.6,88.4,rel_6.4.3
2020-02,CITY76198,95.3,59.7,65.8,114.1,180.5,92.9,125.4,3.63,63542,131.5,5.03,29.06,18.16,45170,1.0,145.5,109.1,rel_1.0.6
2023-11,CITY61500,82.4,136.7,118.2,181.4,114.7,91.9,86.2,15.99,12511,82.6,1.18,44.8,12.91,48244,34.8,102.0,139.4,rel_9.4.0
2026-07,CITY86614,168.1,146.9,100.3,174.4,106.0,55.1,204.2,10.73,49690,83.8,10.35,50.27,17.51,54596,93.3,89.7,72.5,rel_7.6.6
2021-07,CITY71339,158.0,179.4,88.9,86.8,185.2,51.2,215.9,5.2,73331,74.2,5.49,41.82,15.52,42932,47.5,83.6,178.0,rel_9.8.0
2025-09,CITY42309,85.7,123.6,81.7,132.3,66.2,53.5,50.2,17.27,68967,138.8,6.05,46.11,18.94,12868,46.5,192.7,191.7,rel_2.2.0
2022-05,CITY42602,173.7,152.5,123.7,84.8,56.5,191.8,102.7,9.08,80354,116.6,-0.84,47.19,8.02,51023,88.7,159.5,74.7,rel_2.9.7
2020-11,CITY55073,163.1,118.6,103.8,75.5,103.6,180.7,112.6,17.23,27115,54.5,1.01,48.82,11.03,54800,96.4,110.6,148.0,rel_7.6.7
2024-10,CITY61843,151.0,113.2,86.9,159.4,108.8,197.2,109.9,16.75,53521,97.8,-0.89,29.54,5.11,22707,45.0,161.6,120.0,rel_4.1.1
2020-11,CITY16416,105.7,53.2,139.7,102.5,93.9,139.7,127.2,17.69,45682,101.4,3.3,54.58,12.24,29430,25.4,164.5,153.2,rel_4.7.8
2025-08,CITY59607,165.7,121.6,152.4,138.5,76.9,137.2,141.2,8.38,18589,119.1,-0.31,47.02,17.54,38732,30.5,188.8,106.4,rel_5.2.4
2020-01,CITY54845,113.6,168.1,68.8,139.2,132.5,152.6,114.0,9.18,68955,102.7,14.65,30.9,20.8,21461,88.7,113.9,99.8,rel_6.4.5
2021-05,CITY97073,175.2,157.6,121.0,155.8,108.4,163.7,118.6,15.22,44294,92.2,5.32,39.17,10.38,36091,30.7,185.8,180.4,rel_4.6.8
2026-09,CITY69486,63.9,72.7,135.5,81.9,170.1,58.8,83.1,17.98,16942,94.0,1.79,28.32,24.72,20347,31.4,174.3,140.5,rel_5.7.3
2021-02,CITY79939,90.0,147.5,163.8,158.4,146.5,195.2,199.8,4.19,52168,94.7,-1.09,27.94,8.23,39967,69.7,199.6,98.6,rel_4.5.5
2026-10,CITY37821,173.9,133.0,115.3,143.2,50.5,189.7,112.3,8.35,39757,102.8,4.39,16.35,18.31,63312,40.3,156.3,126.1,rel_2.1.0
2020-10,CITY26829,73.3,192.5,121.1,153.5,186.0,62.6,220.2,4.02,74175,62.4,4.0,39.04,14.58,21431,33.9,117.8,65.3,rel_1.3.1
2019-05,CITY64610,74.6,197.1,122.3,156.8,167.9,119.6,192.2,10.39,16132,126.1,11.97,15.5,21.52,38296,33.7,68.4,62.7,rel_6.3.9
2021-01,CITY37115,82.6,201.0,148.9,128.1,151.4,104.9,47.4,16.47,82393,104.7,13.6,40.59,20.65,49019,50.2,53.5,103.3,rel_5.2.1
2025-04,CITY14158,163.6,139.3,118.1,194.2,94.9,121.9,202.3,14.14,72558,65.8,13.69,15.82,9.32,47194,80.6,106.6,168.3,rel_5.2.5
2025-03,CITY31652,160.6,195.4,151.4,169.8,100.7,82.6,225.8,6.91,15006,131.8,0.37,34.83,8.3,43139,79.1,140.3,135.9,rel_7.1.0
2022-12,CITY24735,130.1,97.9,68.5,71.8,147.9,53.4,211.3,13.11,56588,123.6,0.09,47.01,13.61,57246,72.7,90.4,65.0,rel_7.9.3
2019-12,CITY23690,90.3,114.8,115.1,192.7,156.7,114.4,50.9,4.7,26708,121.4,4.47,34.23,22.51,48153,79.5,167.3,103.3,rel_3.3.3
2019-03,CITY34194,62.5,107.2,75.9,84.9,176.8,55.5,84.0,6.95,19504,97.9,4.19,13.61,22.4,44094,50.3,90.7,192.1,rel_9.5.9
2022-09,CITY30872,99.5,161.1,90.8,135.6,158.1,189.2,92.2,7.36,22782,51.7,1.05,53.66,14.69,25986,49.6,66.0,101.8,rel_2.3.1
2026-07,CITY68465,83.6,52.7,119.1,134.2,103.8,90.3,170.4,4.15,44548,71.1,0.06,48.91,13.35,26281,1.9,196.1,79.0,rel_1.5.1
2025-04,CITY36558,96.8,130.8,109.4,156.3,137.3,146.7,182.8,6.68,40570,116.9,8.06,23.97,24.87,45959,16.5,50.8,56.4,rel_7.0.3
2022-04,CITY78340,85.9,117.9,115.9,171.5,167.5,186.5,141.8,13.11,74197,121.7,12.76,38.77,12.29,23170,25.7,57.8,51.5,rel_1.4.9
2024-02,CITY89314,178.4,102.0,74.0,131.8,170.1,151.7,99.2,10.99,64499,110.4,10.11,14.26,18.84,55923,57.9,114.5,146.2,rel_1.0.3
2024-03,CITY18262,130.5,126.4,143.5,60.2,144.2,199.6,196.0,6.65,66957,139.3,14.91,15.17,18.7,24572,71.5,155.3,195.0,rel_7.6.3
2026-07,CITY68177,86.6,108.3,145.1,135.6,62.9,114.5,157.3,16.55,61334,121.8,2.94,25.29,23.53,42694,87.7,79.9,168.0,rel_2.9.6
2024-10,CITY30998,136.1,193.4,88.7,64.7,136.2,115.2,125.3,10.43,75783,102.6,-1.48,53.65,23.27,30910,36.5,129.8,193.1,rel_4.1.7
2026-12,CITY30426,155.1,178.9,160.2,52.2,163.3,190.8,197.9,4.08,58339,118.6,10.35,41.57,18.48,24943,39.8,99.8,143.7,rel_9.6.0
2019-01,CITY73969,162.8,133.4,83.8,75.5,50.0,157.7,62.2,5.9,48672,96.0,4.77,40.36,3.28,43423,6.4,169.4,86.1,rel_3.3.3
2021-12,CITY33814,74.6,61.1,167.2,152.2,108.4,155.3,191.3,14.48,22965,62.8,-0.27,28.66,21.7,18218,20.3,187.9,187.2,rel_5.6.1
2024-06,CITY69478,98.2,80.1,71.3,160.6,113.1,98.5,211.3,11.5,18360,96.6,-0.68,17.32,10.93,61007,77.2,127.7,155.7,rel_6.0.4
2024-04,CITY18083,159.2,106.8,90.0,132.4,151.1,199.0,66.3,2.79,34068,123.2,12.39,40.53,23.94,25663,36.0,56.8,73.7,rel_7.0.3
2021-05,CITY60775,125.6,121.8,128.1,116.6,84.5,151.9,214.6,7.97,81810,55.8,12.63,30.14,23.09,33148,80.8,149.5,72.7,rel_4.7.5
2023-12,CITY98517,146.9,120.0,62.1,55.1,145.9,175.7,181.5,8.49,45542,40.5,12.85,23.83,23.59,33400,54.1,183.9,152.0,rel_1.9.2
2026-09,CITY52734,168.5,139.4,147.1,67.3,179.9,173.2,85.0,15.99,76512,102.4,-0.76,47.65,6.01,16389,40.0,136.5,178.2,rel_6.2.1
2026-11,CITY26066,90.3,212.8,63.3,193.7,80.3,57.3,98.5,14.58,14589,95.7,1.52,38.06,10.23,45706,45.3,159.0,64.3,rel_4.0.2
2019-10,CITY15950,93.3,106.1,131.5,163.5,154.9,126.5,202.2,8.99,53753,41.7,7.77,19.56,6.79,15656,19.0,54.8,151.1,rel_3.1.7
2024-07,CITY74480,176.7,61.6,106.0,86.9,116.7,188.1,184.8,12.59,33832,107.1,-1.45,36.38,14.74,40029,21.1,61.1,93.3,rel_3.0.4
2023-10,CITY89624,136.1,181.3,95.7,161.1,170.7,101.8,108.0,16.4,81081,105.9,4.92,21.79,24.53,20129,30.2,177.1,163.8,rel_1.2.4
2020-01,CITY71102,171.9,170.2,158.5,85.5,98.4,162.9,124.9,15.4,73683,74.9,5.72,36.77,24.4,21047,51.8,84.0,136.9,rel_3.4.7
2026-02,CITY49491,98.1,89.5,156.7,175.4,82.2,55.3,200.9,11.85,84553,136.1,9.39,17.88,12.9,52280,2.8,52.2,69.4,rel_6.0.7
2023-07,CITY55166,140.8,151.3,92.4,52.0,60.9,108.8,70.8,8.03,49664,134.7,2.19,46.14,16.08,24559,86.1,163.0,133.0,rel_6.1.5
2025-08,CITY58503,178.6,162.9,134.9,55.7,134.8,122.7,61.2,6.45,14674,100.4,5.44,47.04,23.25,64342,51.0,115.1,139.0,rel_6.0.5
2019-12,CITY24333,169.6,194.0,112.7,188.6,185.7,125.4,75.1,12.54,33236,46.8,-1.79,50.42,15.37,33471,77.6,157.7,89.7,rel_3.2.2
