house_build_permit_issue_date,house_build_permit_jurisdiction_id,house_build_permit_type_code,house_build_project_valuation_inr,house_build_units_authorized_count,house_build_square_footage_authorized,house_build_building_height_feet,house_build_stories_count,house_build_construction_type_code,house_build_energy_code_version,house_build_solar_ready_flag,house_build_accessory_dwelling_flag,house_build_mixed_use_flag,house_build_zoning_district_code,house_build_setback_variance_flag,house_build_impact_fee_inr,house_build_inspection_pass_rate_pct,house_build_average_permit_cycle_days,house_build_contractor_license_id,house_build_stop_work_order_flag
2025-12-23,JUR-cbd1b93214da,ChangeOfUse,674681113,589,1601815,247.6,28,Precast,GreenRatingAligned,N,N,Y,M2,N,5063808,55.85,190,LIC-10b082ea93ed,Y
2025-09-14,JUR-09a1597e6cd1,Addition,884563049,495,1165804,388.1,55,LoadBearing,ECBC2021,N,Y,Y,R1,N,332526,55.99,100,LIC-61d0f0175f0f,Y
2022-06-21,JUR-3fb0232fa9d2,ChangeOfUse,857656632,393,2362635,217.5,36,Precast,LegacyCode,N,Y,N,M1,Y,4083075,84.38,35,LIC-eff96449a1d8,Y
2021-11-15,JUR-5198971be1d6,Addition,119787554,292,1132904,46.2,1,SteelFrame,ECBC2017,N,N,N,C2,N,5582234,87.01,213,LIC-76a6257ebd44,N
2019-10-16,JUR-23de695cf294,NewBuild,841505736,515,2022620,16.4,65,Modular,ECBC2017,Y,Y,Y,R2,Y,4350983,66.75,22,LIC-30ec07acccac,N
2023-02-15,JUR-f2935e194d08,Demolition,548436209,33,2024751,82.2,61,Precast,GreenRatingAligned,N,Y,N,R2,N,563172,85.07,154,LIC-31e2389ad503,N
2019-09-07,JUR-659884c7153b,NewBuild,934908520,345,1532450,428.3,1,Modular,GreenRatingAligned,N,Y,Y,MixedUse,N,1438103,98.01,118,LIC-e55e6b06e569,Y
2024-08-02,JUR-6e049a9e8a13,ChangeOfUse,231454781,337,1378499,225.7,29,SteelFrame,ECBC2017,Y,Y,Y,R3,Y,8100399,55.09,171,LIC-1ff0f8643408,Y
2022-01-23,JUR-903ca28798c6,Demolition,338642068,39,920605,367.5,25,SteelFrame,GreenRatingAligned,N,Y,N,R2,N,2634819,83.46,26,LIC-e8d17d34a4ab,Y
2024-11-02,JUR-402811b89663,Occupancy,534609233,149,1715756,11.7,28,Modular,ECBC2021,N,Y,N,MixedUse,Y,7919431,81.19,152,LIC-bd00fbdc788e,N
2023-09-21,JUR-3057ccb34d37,Occupancy,673931193,94,1347902,87.1,41,LoadBearing,GreenRatingAligned,N,N,N,C1,Y,4294376,98.09,17,LIC-004835099f89,Y
2021-11-16,JUR-4ef6b48204b3,Occupancy,308595559,452,705574,489.3,61,Composite,ECBC2017,Y,N,N,MixedUse,Y,5329127,85.14,87,LIC-4073c058fb89,N
2021-03-13,JUR-b187e8a1c110,Addition,331219657,349,1175504,362.5,5,Precast,StateECBC,N,N,Y,R1,N,7038470,63.85,111,LIC-7454b379d6fd,N
2025-06-21,JUR-60fc2b751cbf,Occupancy,519641539,375,2451760,38.6,43,RCC,GreenRatingAligned,N,Y,N,R1,Y,5350354,92.26,79,LIC-ad49f721b9ec,Y
2020-04-13,JUR-430d83510185,NewBuild,1038910555,195,685635,478.6,7,Modular,ECBC2021,N,Y,Y,R1,N,2452390,97.87,215,LIC-c08d8936e990,Y
2019-08-24,JUR-fec13c93662e,Demolition,143556358,120,1474695,343.6,63,LoadBearing,StateECBC,N,Y,Y,M1,Y,521073,88.84,219,LIC-8cc1526e9237,Y
2023-06-07,JUR-046491389056,NewBuild,1188411444,17,818890,363.4,59,LoadBearing,GreenRatingAligned,Y,Y,N,C2,N,1943546,61.65,127,LIC-c9aaead8fdcf,Y
2022-12-16,JUR-65a7cf934559,Occupancy,420856654,455,905168,351.2,21,LoadBearing,GreenRatingAligned,N,Y,N,MixedUse,N,5335256,86.85,214,LIC-bf37abe5435f,N
2025-10-06,JUR-6e31e36d19de,NewBuild,1065938917,400,1160697,473.5,18,Composite,StateECBC,Y,N,Y,R2,Y,3459912,96.56,212,LIC-cfee75388368,Y
2019-11-07,JUR-fac4863bc761,Addition,898682639,119,1197766,511.0,59,SteelFrame,ECBC2017,N,N,N,R2,N,5912618,63.45,35,LIC-71e4a04a964c,N
2021-02-06,JUR-0e5e600ae691,ChangeOfUse,613084584,233,368556,377.7,37,LoadBearing,GreenRatingAligned,Y,N,Y,C1,N,2044173,77.3,161,LIC-11de2a56e02c,N
2021-12-30,JUR-a0a93452c23a,Addition,111481657,181,1590065,214.6,28,Modular,LegacyCode,Y,N,Y,C2,Y,3735955,86.86,202,LIC-85585b639cb2,N
2022-03-25,JUR-1017b03f9694,NewBuild,283891952,81,2136675,331.0,41,Composite,ECBC2021,N,Y,N,C1,N,5566537,92.27,33,LIC-66e489df6f0a,Y
2022-07-12,JUR-bdc3839a111b,Addition,657741340,581,945141,277.8,11,Precast,StateECBC,Y,Y,N,C2,Y,6779737,75.27,166,LIC-1f7ee5988ff4,Y
2023-07-13,JUR-b0739caa0f10,NewBuild,722710498,39,1965839,427.2,60,Composite,ECBC2017,N,Y,N,C2,Y,2556871,87.41,169,LIC-915b19105b07,Y
2019-04-03,JUR-656e6b976f06,Demolition,269617392,381,1531725,22.6,32,Composite,ECBC2021,Y,Y,N,R3,N,3119763,72.33,169,LIC-a853a0e55e4e,Y
2024-02-29,JUR-244c019337c1,Occupancy,1145429643,251,1531321,272.8,51,SteelFrame,StateECBC,Y,N,N,C1,Y,2308069,93.86,216,LIC-d81e5169fbdc,N
2020-08-24,JUR-55612201735c,NewBuild,675436987,516,577835,143.4,61,RCC,LegacyCode,N,Y,N,R2,N,3196432,81.7,111,LIC-af3c48de6179,N
2024-01-23,JUR-5de61a7db424,Occupancy,422742671,275,1973669,53.5,22,Composite,ECBC2017,N,Y,Y,R3,N,940337,59.84,15,LIC-1b74f2a7fa11,Y
2023-03-29,JUR-0c586e44afda,Demolition,111337460,430,688952,400.0,61,Modular,LegacyCode,N,Y,N,C1,Y,2028716,61.57,163,LIC-32919e0bf4df,Y
2020-09-10,JUR-628e9886dbce,Occupancy,366520070,56,813131,444.1,6,Modular,ECBC2021,Y,Y,N,C2,Y,7089558,59.54,173,LIC-e90a4fac0059,Y
2024-03-01,JUR-046b7ebdd71c,Renovation,637420287,395,479521,233.9,19,Composite,ECBC2017,Y,N,N,R3,N,4261978,82.28,104,LIC-5419ff76d93a,N
2024-12-24,JUR-f9d6ca9a0f41,Addition,588005982,469,1896252,153.9,24,LoadBearing,ECBC2021,N,N,N,R2,Y,4507610,65.21,58,LIC-1c27aa19b045,Y
2022-09-30,JUR-4f64ad8e06e7,ChangeOfUse,824695476,586,792348,298.2,49,Precast,GreenRatingAligned,Y,Y,N,M2,N,8300327,80.45,50,LIC-1568998fcedf,Y
2024-02-18,JUR-b3bb2968d284,Renovation,358243526,256,1658758,195.6,10,RCC,ECBC2017,Y,N,Y,M1,N,916191,76.12,201,LIC-c4c3f62df555,Y
2021-06-19,JUR-cc38240ea946,Occupancy,665910081,244,479477,192.0,39,Precast,StateECBC,N,N,N,R3,N,4536419,67.75,203,LIC-853972047f7a,Y
2025-12-01,JUR-a99ff23994e3,ChangeOfUse,1185888589,175,1931229,371.4,3,LoadBearing,LegacyCode,Y,Y,Y,C1,N,4221315,99.65,76,LIC-9f7520144de6,Y
2022-09-28,JUR-674da5e88140,Demolition,186894902,294,1948344,223.8,51,RCC,ECBC2021,N,Y,N,R1,Y,1324999,88.51,9,LIC-708889fdfc8f,N
2023-07-18,JUR-abfd5dba9602,Occupancy,1005249510,343,728443,419.6,26,RCC,StateECBC,Y,N,N,M2,N,7756628,96.5,76,LIC-ec20c574822c,Y
2019-12-24,JUR-207db9bde08f,ChangeOfUse,1063280346,296,2378097,234.1,68,Modular,ECBC2017,N,N,N,C2,N,4053462,67.66,45,LIC-39acae785716,Y
2025-08-06,JUR-53abde8eb46d,Renovation,815386463,379,2082423,438.1,63,SteelFrame,GreenRatingAligned,Y,Y,Y,M2,Y,2503467,76.14,95,LIC-939884392aeb,Y
2019-03-08,JUR-2a3f72097232,Demolition,211186902,243,420563,390.1,14,SteelFrame,LegacyCode,N,Y,N,R2,Y,7670848,80.01,63,LIC-93352d3d7165,N
2023-01-11,JUR-f7c836270a26,ChangeOfUse,132083056,551,889020,40.4,9,Modular,GreenRatingAligned,N,N,Y,R3,Y,5327198,90.44,38,LIC-e56aaa94543d,N
2023-12-08,JUR-b75c37baaef7,Addition,21276939,332,824226,461.9,45,Composite,StateECBC,Y,Y,Y,MixedUse,Y,5114059,68.8,65,LIC-2eeddca9301f,Y
2024-08-31,JUR-b56c263aa031,Addition,781224271,591,542836,493.4,51,RCC,LegacyCode,N,Y,N,R3,Y,4988524,91.27,75,LIC-bb50a9c3b011,N
2024-12-29,JUR-deffa2c5756a,Occupancy,164459321,128,448308,159.4,45,Composite,ECBC2017,N,Y,Y,R2,Y,662708,92.63,62,LIC-dec362916ed0,N
2023-11-06,JUR-4f269719191f,Demolition,106764045,505,1189547,111.0,20,Precast,GreenRatingAligned,Y,Y,Y,R3,Y,3999866,76.2,61,LIC-fdf5ba7b431a,N
2021-12-31,JUR-96efaff07d28,Addition,931465985,72,1668366,291.3,61,LoadBearing,StateECBC,N,Y,Y,R3,Y,1354317,92.42,51,LIC-7b0aaca5bae0,Y
2020-11-22,JUR-a8634e5a16c3,Occupancy,556902532,18,1152631,232.2,8,Composite,StateECBC,Y,Y,Y,C2,Y,7419386,59.49,95,LIC-a1316f8ec478,Y
2023-03-01,JUR-ce50974f7a2b,ChangeOfUse,1112699439,535,1447597,407.3,69,LoadBearing,ECBC2017,N,N,Y,R2,N,5077243,62.53,81,LIC-39419bcc16ae,N
2020-08-27,JUR-73af48e2034d,Addition,713429478,437,299638,281.3,35,RCC,ECBC2021,Y,Y,N,M2,N,4293358,62.02,110,LIC-1f575baaec3e,N
2019-09-29,JUR-bb7d07e20cba,Occupancy,422023857,533,617436,254.4,59,RCC,ECBC2017,N,N,N,M1,N,7326523,89.62,72,LIC-75e11e018d0b,Y
2023-01-31,JUR-ca3cce4537bc,ChangeOfUse,1183136968,104,948235,269.6,11,Modular,LegacyCode,Y,Y,N,R1,N,6233375,64.02,191,LIC-9b73cf0452bc,Y
2025-06-11,JUR-c71be271db42,Demolition,176206002,390,28434,442.6,17,LoadBearing,GreenRatingAligned,Y,Y,Y,M2,Y,7295500,69.53,57,LIC-5f9245c388b4,N
2022-02-21,JUR-44a3af1aef3d,NewBuild,320147879,17,1719632,41.7,50,Modular,LegacyCode,Y,Y,Y,R2,Y,2341633,91.3,109,LIC-1bb67054e2fd,Y
2023-02-02,JUR-7f8d5ceef7a2,Renovation,154466845,79,1753888,434.2,64,RCC,LegacyCode,N,N,N,MixedUse,N,7765716,81.4,107,LIC-1192c9899e26,Y
2021-11-25,JUR-9fad9cc5e471,Addition,217263597,149,2159414,30.6,21,Composite,LegacyCode,N,Y,N,C2,N,992168,56.14,1,LIC-117936080e6a,N
2023-04-29,JUR-389d6abfa1ec,Addition,1005003150,86,1005977,402.0,3,LoadBearing,ECBC2021,Y,N,Y,M1,Y,1644401,81.79,99,LIC-e0b8f75be8e3,Y
2020-10-01,JUR-4b2080712249,NewBuild,334492323,5,2035263,110.4,41,Modular,StateECBC,Y,Y,N,MixedUse,Y,8255041,69.67,167,LIC-1d29744eac40,N
2019-11-15,JUR-2669b1176c3c,NewBuild,479049486,361,2131226,29.6,2,RCC,GreenRatingAligned,Y,N,Y,C2,N,121723,99.11,158,LIC-87f53148ab94,N
2022-11-03,JUR-1ce6eb0f5f5a,NewBuild,1023907959,424,164873,176.4,28,SteelFrame,LegacyCode,N,N,Y,R2,Y,3833256,75.51,88,LIC-77c3f89ea29b,N
2025-08-31,JUR-a79ab34770a0,Renovation,655472652,409,626980,355.9,1,LoadBearing,GreenRatingAligned,Y,N,Y,R2,Y,8012937,61.68,123,LIC-6794e775045b,N
2024-12-26,JUR-239e73d32e55,Occupancy,967007931,154,1486852,128.8,64,SteelFrame,LegacyCode,N,N,Y,M1,N,8305267,73.79,185,LIC-07096a3b147e,Y
2023-04-16,JUR-1562a6057724,ChangeOfUse,784577476,162,1020813,448.4,43,LoadBearing,ECBC2017,N,N,Y,R2,Y,951701,96.42,182,LIC-d890f5c6dba3,N
2022-02-25,JUR-3781360dcade,NewBuild,888512286,367,1554621,458.2,27,Precast,GreenRatingAligned,Y,Y,N,R1,Y,2716,84.83,214,LIC-48cdda0d1d28,N
2024-09-03,JUR-cd1c4fcd8596,Occupancy,1183590965,47,866925,324.5,35,Composite,ECBC2021,Y,Y,Y,R1,Y,1755920,72.63,183,LIC-c27fc532c580,Y
2022-03-31,JUR-b2c20a7dde20,Demolition,18256000,489,1941026,323.6,32,SteelFrame,GreenRatingAligned,N,N,Y,C2,N,308728,63.17,21,LIC-069a2cc98c93,Y
2020-02-27,JUR-3211e2416fe9,Occupancy,42539614,256,544259,269.6,20,Precast,LegacyCode,Y,Y,Y,R2,Y,6025984,79.19,39,LIC-6885842fa89b,N
2025-01-09,JUR-24619598abe5,Renovation,620609415,485,718313,275.7,41,RCC,GreenRatingAligned,N,Y,N,R1,Y,5586923,67.67,101,LIC-b93db71c6f80,N
2020-03-07,JUR-5dab006b90db,NewBuild,751329608,4,435734,135.1,22,Modular,GreenRatingAligned,Y,N,N,M2,Y,7923354,62.87,207,LIC-1c099032eac5,N
2019-11-02,JUR-29af3c8e6ad9,Demolition,320620019,394,1478585,149.3,32,RCC,ECBC2017,Y,N,Y,C1,Y,4727285,63.75,73,LIC-20ecbf4e9315,Y
2022-12-07,JUR-f00b4c4d4408,Demolition,262144482,90,1795753,324.3,23,SteelFrame,LegacyCode,Y,Y,Y,R1,Y,1888520,71.21,159,LIC-a74f7185a1b7,Y
2025-10-27,JUR-c3778e0bccf2,ChangeOfUse,874577617,416,177184,180.6,68,RCC,ECBC2021,Y,Y,Y,C1,Y,7423697,92.6,29,LIC-0a5b9f848f4c,N
2024-04-01,JUR-fce0dc217343,Demolition,727413554,228,2039259,280.7,38,Precast,StateECBC,Y,Y,Y,C1,Y,2434451,90.39,62,LIC-e8ee2ceeb429,Y
2024-09-23,JUR-c1722911bbcc,NewBuild,389096401,37,1594212,442.7,9,Composite,LegacyCode,N,N,N,R1,N,4019654,95.01,78,LIC-d5bc947ed854,Y
2024-07-17,JUR-0e91274f4cb8,ChangeOfUse,805001646,291,872390,193.7,67,Precast,LegacyCode,N,N,N,M1,N,5209030,55.15,196,LIC-5dbc1edb6165,Y
2020-09-14,JUR-500045848d1c,ChangeOfUse,517482575,156,1999422,486.5,50,Precast,GreenRatingAligned,Y,Y,Y,R3,Y,967964,73.4,88,LIC-91145213c379,N
2022-11-14,JUR-e3689500c71c,NewBuild,965781687,192,2077446,383.9,51,Composite,StateECBC,Y,Y,Y,M2,N,102747,74.99,61,LIC-cd58e59c0add,Y
2021-10-31,JUR-aa4b92f1ecdd,ChangeOfUse,1147222536,28,752543,44.6,54,SteelFrame,GreenRatingAligned,Y,N,N,C1,Y,347803,88.23,144,LIC-522510113033,Y
2021-08-30,JUR-77d04f309db3,Occupancy,265940949,62,1164995,155.2,46,RCC,StateECBC,Y,N,N,M1,N,851601,98.31,61,LIC-f79dfd259984,N
2025-07-06,JUR-b587674fa7b0,Addition,810102967,277,1832499,15.7,15,SteelFrame,ECBC2021,N,N,N,M1,N,3037706,88.87,148,LIC-f0fc17cbfb8b,N
2023-01-28,JUR-eab3e3a23f3b,NewBuild,715702807,372,1294506,417.6,33,RCC,StateECBC,N,N,N,M1,Y,4634170,80.84,94,LIC-afb6e172f878,N
2024-03-15,JUR-130c4a14fa2e,Occupancy,198644416,16,1902050,504.7,42,Precast,StateECBC,Y,Y,Y,C2,Y,7053485,87.28,208,LIC-ff4ae8779a1a,N
2020-10-17,JUR-9ebd52ae32be,Renovation,745852045,197,2085469,317.2,24,Composite,StateECBC,N,N,Y,M1,Y,7736842,87.13,95,LIC-90b5e5d274cc,N
2024-12-24,JUR-7b495594c2a8,ChangeOfUse,509296768,235,1978394,182.6,43,Modular,LegacyCode,N,N,Y,R2,Y,4708599,60.87,77,LIC-070f24719139,N
2020-12-28,JUR-6e4a24a6faa6,NewBuild,357986290,426,1419182,439.4,59,SteelFrame,StateECBC,Y,Y,N,M1,Y,2595936,66.59,77,LIC-a68764787ec5,N
2020-07-08,JUR-19154fef5130,Addition,656047428,562,2245733,27.2,34,SteelFrame,ECBC2017,N,N,N,R1,N,614034,68.5,152,LIC-1247224f7dc3,Y
2023-11-05,JUR-67778c1a0a5b,ChangeOfUse,757456091,460,680962,418.1,43,Precast,ECBC2021,Y,N,N,C2,N,153931,90.85,143,LIC-145b71678ad2,N
2025-01-31,JUR-3a5bd5b84a36,NewBuild,1154339812,473,1183384,309.3,43,SteelFrame,ECBC2017,Y,Y,N,M2,Y,2690107,68.69,216,LIC-9c413f2d0c3a,Y
2019-01-11,JUR-7a85f66569b9,Demolition,642023586,395,2082386,48.9,56,RCC,StateECBC,N,N,N,R1,N,3932279,96.03,136,LIC-9b3516d16ce4,Y
2023-10-09,JUR-b80d8475b112,Demolition,179751778,237,770494,129.5,67,Precast,GreenRatingAligned,N,Y,N,C2,N,7551268,93.0,196,LIC-cadc0be54ce1,Y
2019-07-15,JUR-c7b650b1e9a3,Renovation,1020603146,495,1540335,42.2,17,Composite,ECBC2017,Y,Y,Y,M2,N,1400247,90.35,126,LIC-096b1522c08c,Y
2023-07-01,JUR-a318d1644c0b,ChangeOfUse,622727398,67,1472117,365.0,44,Modular,ECBC2021,N,Y,N,R2,N,6451011,71.14,24,LIC-dff458914cd6,Y
2025-01-19,JUR-5abb50588315,Occupancy,925147844,595,382394,180.7,18,Precast,ECBC2021,N,Y,Y,M2,N,1263323,80.45,177,LIC-581f652f1d19,Y
2025-04-28,JUR-5c2847c245d2,Demolition,771103170,215,2077651,110.4,21,Modular,GreenRatingAligned,Y,N,Y,M1,N,560472,92.5,197,LIC-b8f332c869ff,Y
2021-02-27,JUR-ad35af0ddf1b,Addition,985543008,490,2112382,87.0,54,LoadBearing,ECBC2017,Y,N,N,MixedUse,N,202514,68.44,200,LIC-36b40c19c201,Y
2019-11-18,JUR-05718a860906,ChangeOfUse,599686077,164,896088,250.7,25,Precast,GreenRatingAligned,N,Y,Y,R2,N,2613911,88.15,157,LIC-856f377b321e,N
2020-01-19,JUR-d6e963918e5a,Renovation,924586050,375,581004,48.4,58,RCC,StateECBC,Y,N,Y,C2,N,3713603,82.9,60,LIC-ea9b9e4bc1cb,Y
2023-08-08,JUR-908703e8d625,Renovation,928670556,117,722774,507.5,19,Modular,StateECBC,N,N,Y,R3,N,6503244,77.65,210,LIC-a5cc72069ab5,Y
2019-05-17,JUR-27e247ab9161,Occupancy,473283433,36,396755,517.9,49,Modular,GreenRatingAligned,Y,N,Y,MixedUse,N,2998195,98.49,44,LIC-2263f50301f8,Y
2022-01-15,JUR-0c56b0a32628,Renovation,143247314,202,2061653,188.9,68,Modular,GreenRatingAligned,Y,Y,Y,R1,N,6479669,92.64,184,LIC-481db9c20d2b,N
2019-12-31,JUR-186e5adbefd5,Addition,1036892406,302,2220421,161.2,56,Modular,GreenRatingAligned,Y,N,N,M2,N,1504836,87.31,196,LIC-da137b6e510a,Y
2025-06-15,JUR-3acdbec67578,Addition,1177079966,53,2090881,234.1,51,SteelFrame,StateECBC,Y,N,N,R2,N,6343346,74.9,67,LIC-fd9180b9effa,Y
2025-06-07,JUR-8cc61197eb34,NewBuild,379411532,434,1834294,436.3,37,Modular,ECBC2017,Y,Y,Y,C2,Y,7998473,64.23,46,LIC-55a7697a3b61,Y
2021-10-19,JUR-b44f0f341f58,ChangeOfUse,1062490584,350,1369563,510.5,11,Modular,StateECBC,Y,Y,N,M2,Y,5289346,60.46,40,LIC-3adf1b6a2e68,Y
2025-05-31,JUR-6ca6942d3318,Occupancy,521496411,207,1632166,16.8,58,RCC,ECBC2017,Y,Y,N,MixedUse,Y,5372798,70.07,207,LIC-459ac31dda9a,N
2023-12-02,JUR-e6758e9e6c10,ChangeOfUse,833730963,54,143507,506.1,14,SteelFrame,ECBC2021,N,Y,Y,R3,N,4657616,86.33,104,LIC-7c9a2aa88968,N
2021-03-14,JUR-759076ff599a,Addition,273383749,444,872454,433.7,9,Composite,ECBC2021,N,Y,Y,C2,Y,7038195,86.26,181,LIC-14a828591134,Y
2019-02-28,JUR-7c704f39b00d,Demolition,181677292,407,176205,315.9,13,Composite,StateECBC,Y,Y,N,C2,N,8223538,80.58,44,LIC-9fd7990feb88,Y
2022-08-05,JUR-384129d5752b,Demolition,174986719,271,839543,425.6,65,Modular,ECBC2021,N,N,N,C2,N,4302763,77.95,76,LIC-ab3571969538,N
2025-10-10,JUR-6793ccc4bcbb,Occupancy,744432514,362,1724217,74.2,45,LoadBearing,GreenRatingAligned,N,Y,Y,M2,N,1350293,81.98,117,LIC-966da31b07e7,N
2023-04-10,JUR-37e36dc92eb2,Renovation,769902902,521,750659,517.1,42,LoadBearing,ECBC2017,Y,Y,Y,C2,Y,188206,87.87,173,LIC-12cf904926b8,Y
2022-03-21,JUR-686fc98681b6,Occupancy,233088916,480,2134829,515.2,40,Composite,ECBC2021,Y,Y,N,C2,N,6892447,93.14,175,LIC-1d0e7c65c3ba,Y
2022-11-15,JUR-db57950368f1,Demolition,301993605,501,1321406,200.4,52,Precast,ECBC2021,N,Y,N,M2,Y,6862357,67.28,81,LIC-043e09731052,N
2024-04-01,JUR-24160e7125b3,NewBuild,299183438,535,389709,324.2,51,SteelFrame,ECBC2021,N,Y,N,M2,N,3478863,97.32,8,LIC-738a6d4ac01c,Y
2025-03-31,JUR-fb88f5f3977b,Addition,347854933,177,553717,341.9,38,SteelFrame,StateECBC,Y,N,Y,M1,Y,6502962,83.06,85,LIC-23a4f8a4e91f,Y
2024-04-24,JUR-400165569f12,ChangeOfUse,573670287,13,813338,125.7,66,Precast,ECBC2017,Y,N,N,R3,N,5887760,88.83,51,LIC-f61a42118cdd,N
2020-07-02,JUR-9289b6ad3fd0,Addition,726833405,196,300286,295.8,14,LoadBearing,LegacyCode,N,Y,N,MixedUse,Y,451297,57.51,127,LIC-80aaae14bf6f,N
2021-04-13,JUR-cb3896e73c06,Addition,13908594,328,2016360,137.0,65,Composite,ECBC2017,N,Y,Y,R3,Y,5634492,79.55,191,LIC-1e2ab56b032b,N
2021-06-10,JUR-793fbfa23cf2,Renovation,408496993,559,1548307,243.5,53,Composite,ECBC2017,Y,N,N,R1,Y,2896656,57.41,75,LIC-e61fed6f4022,N
2020-07-06,JUR-600d526079e6,Addition,232535646,71,1412292,141.5,68,Precast,ECBC2017,N,N,Y,MixedUse,Y,5397411,99.19,138,LIC-0bfdf6db1833,N
2025-10-27,JUR-cc168445dc7a,Renovation,260598138,508,1821562,174.2,13,LoadBearing,GreenRatingAligned,N,Y,Y,R2,N,5643564,55.31,8,LIC-50b6e4c3d2de,Y
2024-01-06,JUR-94a7fd8ace29,ChangeOfUse,299307497,588,1254315,18.2,18,LoadBearing,StateECBC,Y,N,N,R2,N,5086892,76.44,80,LIC-b7e87682d25f,Y
2024-11-02,JUR-4e2297529ac2,Demolition,205587022,405,1854749,23.7,28,RCC,GreenRatingAligned,N,Y,N,MixedUse,N,3582715,82.99,50,LIC-fd63ce3e4843,N
2024-12-02,JUR-bec644dd81a7,Addition,651169590,315,873750,61.1,9,Precast,LegacyCode,Y,Y,Y,C2,Y,4700648,58.32,113,LIC-36dcf3044a74,N
2019-09-18,JUR-921a728b34dc,Demolition,1091235759,468,42163,369.7,22,Precast,ECBC2017,Y,N,N,R1,N,6091782,60.84,124,LIC-df4189edaa35,Y
2019-06-20,JUR-f4dd2a67931a,Renovation,398494955,1,24620,368.9,30,Composite,LegacyCode,N,Y,N,M1,N,752342,56.89,214,LIC-8b4fbc13a432,N
2025-11-16,JUR-a77eb8791fce,Occupancy,1031256741,115,1240209,491.1,20,Composite,StateECBC,N,Y,Y,M2,Y,3033850,74.23,218,LIC-27d044514370,Y
2024-08-29,JUR-ec0d32f11bd1,Occupancy,495690538,418,1999024,455.5,39,Composite,ECBC2017,N,Y,N,MixedUse,Y,7933902,69.32,200,LIC-92afeae7cbe0,Y
2025-02-18,JUR-f32c32b26151,Renovation,1087632657,485,1395657,387.4,61,LoadBearing,ECBC2021,Y,Y,Y,R2,N,3974931,96.26,172,LIC-bcf141747af9,Y
2020-11-18,JUR-fa97242d8a15,Demolition,561996535,257,1486040,368.4,60,SteelFrame,ECBC2017,N,Y,Y,R1,N,4586001,70.79,81,LIC-0d3dede94b27,N
2019-12-17,JUR-20ec5bcd01ab,ChangeOfUse,782693203,472,320938,460.2,2,SteelFrame,LegacyCode,Y,N,Y,C1,Y,2390499,63.6,124,LIC-3211ea7a3c24,Y
2025-02-23,JUR-c3514fc95240,Addition,377839114,518,1569964,35.1,20,Composite,GreenRatingAligned,Y,Y,Y,C1,N,3846697,98.21,87,LIC-2dbdc5bd939d,N
2024-09-18,JUR-aea26d826018,Renovation,633347913,350,1269940,495.3,51,Modular,ECBC2021,N,Y,Y,MixedUse,Y,3485257,72.98,140,LIC-6b8b534ac37a,Y
2025-09-15,JUR-14c2eb829567,Addition,149745675,310,1404082,29.3,69,RCC,StateECBC,Y,N,Y,R1,Y,8064878,76.56,104,LIC-0fb787bbc5fc,Y
2023-08-08,JUR-6ddce8bd465c,Addition,1042357343,263,1221834,372.6,62,Precast,LegacyCode,Y,Y,Y,MixedUse,Y,3048128,88.05,65,LIC-40c7fa02804a,Y
2021-04-01,JUR-8f7a2cf71278,NewBuild,364293188,187,733000,291.6,15,LoadBearing,ECBC2021,Y,Y,Y,C2,N,8301799,91.6,114,LIC-ed166ae1efbb,N
2025-07-31,JUR-d590206cf6a0,Addition,466132490,275,65252,494.0,39,Modular,GreenRatingAligned,Y,N,N,R2,N,8469900,88.98,206,LIC-e220f25631ce,Y
2023-10-13,JUR-200bf2eb6ebc,Renovation,1106095511,234,11273,319.1,42,SteelFrame,StateECBC,Y,Y,N,M2,Y,1626667,79.97,118,LIC-ece021c13c0e,Y
2024-06-17,JUR-7b4f01f56e09,Occupancy,950441334,76,1917675,340.2,27,RCC,StateECBC,Y,N,Y,MixedUse,Y,2408633,65.85,90,LIC-3e756a6ab0c2,Y
2019-05-09,JUR-0c24b0dd0d54,NewBuild,230577423,214,239771,324.0,15,Precast,StateECBC,Y,Y,N,M2,Y,7918252,77.05,144,LIC-dc2797bb8ea7,N
2021-02-24,JUR-0f17a15a4f02,Renovation,923947706,181,830183,355.8,67,SteelFrame,ECBC2017,Y,Y,Y,R3,N,5736983,85.95,193,LIC-049ab4b50f12,N
2020-09-04,JUR-441ca07365be,Renovation,627143773,181,1249745,261.6,38,SteelFrame,LegacyCode,Y,N,N,MixedUse,N,1063272,63.85,211,LIC-4fbfd9c5df96,N
2021-01-08,JUR-75c12270ba3c,Occupancy,1178679325,357,1141670,84.2,35,LoadBearing,ECBC2021,N,Y,N,R1,N,1255511,68.9,161,LIC-8a718c98abc2,Y
2023-12-24,JUR-1b858f608409,ChangeOfUse,786020286,478,1617778,340.1,7,RCC,ECBC2021,N,N,N,C2,N,6221783,75.37,196,LIC-84d941082c92,Y
2020-02-11,JUR-5d465ea558b2,Renovation,521220133,491,1428292,353.6,5,SteelFrame,LegacyCode,Y,Y,Y,C2,N,3834264,64.05,85,LIC-3fb45a9576cd,N
2025-09-27,JUR-451c6c7917d9,Addition,789219031,109,1697033,133.3,40,Precast,LegacyCode,Y,N,Y,M1,Y,2024989,61.93,75,LIC-408c0df5757d,N
2019-06-25,JUR-cfd67d9f7d77,NewBuild,244817282,81,354651,323.5,13,Precast,LegacyCode,N,Y,N,R1,Y,2604939,95.27,177,LIC-cf60dcc7b263,Y
