gov_grants_award_fiscal_year,gov_grants_grant_program_code,gov_grants_grant_competitive_flag,gov_grants_allocation_formula_type,gov_grants_eligible_entity_type,gov_grants_match_rate_required_pct,gov_grants_award_min_usd,gov_grants_award_max_usd,gov_grants_award_median_usd,gov_grants_application_count,gov_grants_award_count,gov_grants_award_total_usd,gov_grants_performance_measure_code,gov_grants_reporting_compliance_rate,gov_grants_closeout_timeliness_rate,gov_grants_indirect_cost_rate_cap,gov_grants_technical_assistance_available_flag,gov_grants_overlap_duplication_risk_score,gov_grants_single_audit_findings_count,gov_grants_grant_portal_system
2017,BROADBAND,0,NEED_BASED,NONPROFIT,26.91,880284.79,217523863.17,109202073.98,2881,896,105966153016.65,EQUITY_D,46.1,69.57,13.0,1,0.1101,4,CUSTOM_PORTAL_B
2009,EDU_BLOCK,0,POPULATION,SCHOOL_DISTRICT,11.43,716645.67,332210086.08,166463365.88,2086,665,103815826356.07,OUTPUT_A,73.4,52.23,10.46,0,0.0377,4,GRANTS_GOV
2011,WATER_SR,0,COMPETITIVE,STATE,37.38,45511.6,4240456.43,2142984.01,3067,436,798139992.25,OUTCOME_B,56.52,41.31,6.92,1,0.1751,44,GRANTS_GOV
2014,TRANS_FORMULA,1,OTHER,UNIVERSITY,4.54,710636.93,37648210.43,19179423.68,1400,541,11811408976.12,OUTCOME_B,55.33,51.06,13.57,1,0.8307,31,STATE_PORTAL
2015,JUSTICE_ASSIST,0,OTHER,NONPROFIT,59.49,783737.77,139461313.76,70122525.76,3567,1387,94864621879.82,OUTPUT_A,80.19,73.51,14.72,1,0.6075,46,STATE_PORTAL
2012,ENERGY_EFF,0,POPULATION,STATE,39.33,624811.91,264739934.35,132682373.13,2647,571,75216785643.11,NONE,58.92,53.11,15.78,0,0.9198,25,STATE_PORTAL
2013,BROADBAND,0,POPULATION,LOCAL,44.06,451830.97,127588843.79,64020337.38,4665,490,29174176325.21,OUTPUT_A,46.71,37.56,6.79,0,0.8615,7,GRANTS_GOV
2015,BROADBAND,1,NEED_BASED,STATE,1.98,57466.15,6799966.04,3428716.1,5746,441,1546658250.08,OUTCOME_B,78.19,57.3,7.83,1,0.1115,14,GRANTS_GOV
2017,TRANS_FORMULA,0,OTHER,LOCAL,37.5,594051.41,264951436.63,132772744.02,5971,2322,297756420529.76,QUALITY_C,48.48,85.59,14.27,0,0.1111,23,GRANTS_GOV
2025,TRANS_FORMULA,0,POPULATION,STATE,15.66,131920.19,18057971.92,9094946.06,5884,532,4658434537.93,ACCESS_E,91.75,59.51,12.59,1,0.4161,14,GRANTS_GOV
2009,TRANS_FORMULA,1,POPULATION,SCHOOL_DISTRICT,53.98,646817.68,58719941.36,29683379.52,5601,1109,28871059899.09,OUTPUT_A,47.97,53.48,16.59,1,0.387,19,CUSTOM_PORTAL_B
2018,TRANS_FORMULA,0,POPULATION,LOCAL,15.93,418128.58,171406957.33,85912542.96,323,114,8770753586.91,QUALITY_C,41.27,55.18,3.29,1,0.9061,4,CUSTOM_PORTAL_A
2020,WATER_SR,1,COMPETITIVE,STATE,51.34,861681.02,340323256.92,170592468.97,5640,591,95638517389.27,OUTPUT_A,53.05,71.49,6.11,0,0.4981,11,STATE_PORTAL
2015,TRANS_FORMULA,0,NEED_BASED,NONPROFIT,43.42,383640.74,173674684.8,87029162.77,3703,781,71629932203.3,OUTPUT_A,88.98,51.82,14.16,0,0.3869,38,GRANTS_GOV
2023,BROADBAND,0,POPULATION,LOCAL,6.94,367483.78,92928546.53,46648015.16,1984,598,26331782540.55,EQUITY_D,74.52,33.25,10.76,1,0.8431,12,CUSTOM_PORTAL_A
2018,WATER_SR,0,COMPETITIVE,SCHOOL_DISTRICT,55.39,607496.68,109573058.81,55090277.74,1041,119,6002825370.2,OUTPUT_A,75.23,41.04,7.67,0,0.8546,49,GRANTS_GOV
2022,ENERGY_EFF,0,POPULATION,HOSPITAL,12.87,290051.53,93785185.51,47037618.52,1866,482,23934797763.85,OUTCOME_B,46.35,27.19,4.13,1,0.4455,6,STATE_PORTAL
2021,HEALTH_MCH,0,POPULATION,LOCAL,14.67,741767.65,303511669.61,152126718.63,1648,629,82287260846.65,OUTPUT_A,78.65,41.72,2.94,1,0.9803,49,GRANTS_GOV
2016,BROADBAND,1,COMPETITIVE,UNIVERSITY,3.98,104741.06,42020483.1,21062612.08,3924,387,9057751308.62,QUALITY_C,50.16,38.51,9.01,0,0.7867,32,GRANTS_GOV
2018,ENERGY_EFF,0,EQUAL_SHARE,LOCAL,57.67,345572.22,49305634.16,24825603.19,5666,2310,56380104883.87,OUTPUT_A,89.71,94.93,8.67,1,0.3696,12,GRANTS_GOV
2021,WATER_SR,0,COMPETITIVE,LOCAL,47.62,166915.25,24626848.88,12396882.06,2496,131,1502215411.19,QUALITY_C,77.87,92.83,19.05,1,0.1431,49,CUSTOM_PORTAL_A
2020,TRANS_FORMULA,0,NEED_BASED,LOCAL,58.27,202014.1,82638463.04,41420238.57,2338,478,17598380810.17,OUTPUT_A,70.59,98.21,18.29,1,0.4118,45,CUSTOM_PORTAL_B
2020,BROADBAND,0,NEED_BASED,SCHOOL_DISTRICT,32.34,815282.7,96153330.35,48484306.52,1419,336,14693750893.89,NONE,54.65,91.73,2.39,0,0.2594,25,GRANTS_GOV
2013,BROADBAND,1,MATCHING,STATE,43.42,645799.55,153372572.58,77009186.07,4129,726,62260724189.33,ACCESS_E,74.02,89.18,4.83,1,0.2911,2,CUSTOM_PORTAL_A
2021,HOUSING_CDBG,0,MATCHING,TRIBAL,35.52,700233.89,17695995.42,9198114.66,1063,299,2904859182.91,QUALITY_C,43.31,50.03,8.08,0,0.8564,10,CUSTOM_PORTAL_A
2013,HOUSING_CDBG,0,EQUAL_SHARE,NONPROFIT,19.06,135262.7,26769733.44,13452498.07,4090,1070,15374528395.75,NONE,45.57,49.59,13.13,0,0.5429,35,STATE_PORTAL
2020,HEALTH_MCH,0,MATCHING,LOCAL,22.82,830611.98,335469260.94,168149936.46,3132,1274,191795853900.65,OUTCOME_B,55.04,83.47,2.32,0,0.8475,44,GRANTS_GOV
2015,HOUSING_CDBG,1,MATCHING,STATE,59.03,313875.93,106280964.05,53297419.99,300,87,4514990281.92,QUALITY_C,76.33,98.99,12.23,1,0.0328,25,GRANTS_GOV
2014,HEALTH_MCH,1,NEED_BASED,UNIVERSITY,17.91,200698.83,24596689.78,12398694.3,4203,492,5398858795.54,NONE,51.17,65.46,17.4,1,0.4908,35,STATE_PORTAL
2015,WATER_SR,1,COMPETITIVE,SCHOOL_DISTRICT,42.63,245932.87,76469274.11,38357603.49,2271,824,30634049959.1,ACCESS_E,94.3,61.42,10.74,1,0.9044,29,STATE_PORTAL
2012,JUSTICE_ASSIST,0,EQUAL_SHARE,NONPROFIT,8.44,530046.2,59172887.51,29851466.86,3587,884,25847087515.26,NONE,94.92,82.34,15.79,1,0.8446,14,CUSTOM_PORTAL_B
2021,BROADBAND,0,POPULATION,UNIVERSITY,24.36,720104.72,297619423.13,149169763.93,283,95,12545109690.87,QUALITY_C,67.84,47.99,2.1,0,0.4266,35,GRANTS_GOV
2010,TRANS_FORMULA,0,COMPETITIVE,NONPROFIT,40.83,627343.0,38365289.65,19496316.32,2255,825,16103555411.05,NONE,55.7,69.81,3.25,1,0.1128,37,CUSTOM_PORTAL_A
2024,JUSTICE_ASSIST,1,COMPETITIVE,NONPROFIT,57.64,625833.46,200681340.47,100653586.96,2772,909,104418087745.09,NONE,99.78,32.94,11.44,0,0.9733,45,GRANTS_GOV
2016,ENERGY_EFF,1,COMPETITIVE,STATE,13.86,899429.54,262725360.48,131812395.01,3919,1037,133762365984.49,QUALITY_C,90.54,74.33,16.9,0,0.8764,41,STATE_PORTAL
2022,ENERGY_EFF,1,MATCHING,STATE,1.1,393920.42,136961382.29,68677651.35,3966,646,48060872265.44,OUTPUT_A,51.15,48.01,0.97,1,0.5202,28,STATE_PORTAL
2019,WATER_SR,0,OTHER,NONPROFIT,47.84,610415.93,208084538.77,104347477.35,609,224,25811777999.22,OUTPUT_A,66.41,83.42,9.04,0,0.6463,26,GRANTS_GOV
2019,HEALTH_MCH,1,POPULATION,NONPROFIT,26.69,939944.98,443725197.52,222332571.25,3733,564,128634955011.03,QUALITY_C,70.4,70.23,18.43,0,0.4533,48,GRANTS_GOV
2020,ENERGY_EFF,1,OTHER,NONPROFIT,48.89,644826.91,49282468.99,24963647.95,2835,322,7054680782.12,OUTPUT_A,56.96,89.9,19.49,0,0.3938,35,GRANTS_GOV
2019,JUSTICE_ASSIST,0,NEED_BASED,LOCAL,39.33,533043.36,143411308.8,71972176.08,556,186,11844666392.46,OUTCOME_B,49.93,82.71,18.63,0,0.8815,45,GRANTS_GOV
2011,HEALTH_MCH,1,NEED_BASED,LOCAL,52.65,409047.3,183348547.88,91878797.59,200,17,1766735827.62,QUALITY_C,48.49,39.75,14.31,1,0.3601,29,CUSTOM_PORTAL_A
2017,BROADBAND,1,OTHER,STATE,0.7,415982.08,182375233.84,91395607.96,5966,2124,192894417696.2,OUTCOME_B,70.75,54.59,16.69,1,0.2665,23,CUSTOM_PORTAL_A
2014,BROADBAND,0,MATCHING,SCHOOL_DISTRICT,11.24,457147.12,88030289.89,44243718.5,4415,1023,43318719779.42,EQUITY_D,71.85,60.19,1.2,0,0.9598,49,GRANTS_GOV
2024,HEALTH_MCH,0,POPULATION,UNIVERSITY,19.41,914912.15,295051579.08,147983245.61,2574,531,80131244387.69,EQUITY_D,83.87,76.95,4.93,1,0.5181,3,CUSTOM_PORTAL_A
2009,WATER_SR,0,EQUAL_SHARE,STATE,25.96,145868.31,71492767.43,35819317.87,16,6,198670416.81,QUALITY_C,90.24,74.31,11.02,1,0.2353,10,GRANTS_GOV
2010,JUSTICE_ASSIST,1,NEED_BASED,SCHOOL_DISTRICT,54.4,722525.52,289884494.14,145303509.83,4073,954,133812903366.21,NONE,87.01,81.36,5.98,0,0.2154,36,CUSTOM_PORTAL_B
2015,HOUSING_CDBG,0,MATCHING,STATE,35.75,385719.22,163717021.42,82051370.32,4688,1854,172871812068.76,OUTCOME_B,68.47,80.58,5.94,0,0.5031,30,GRANTS_GOV
2011,TRANS_FORMULA,0,COMPETITIVE,TRIBAL,57.38,110093.52,53496240.43,26803166.98,1747,723,21363336439.53,NONE,69.0,39.02,0.06,1,0.8944,45,GRANTS_GOV
2015,HEALTH_MCH,1,POPULATION,SCHOOL_DISTRICT,18.29,316409.33,118847388.56,59581898.94,4976,801,47688445123.83,OUTPUT_A,98.93,96.25,19.16,1,0.6724,20,CUSTOM_PORTAL_A
2016,TRANS_FORMULA,0,NEED_BASED,SCHOOL_DISTRICT,10.03,595717.79,74491125.86,37543421.83,4019,1623,66946944563.66,EQUITY_D,84.74,78.54,2.75,0,0.7119,26,CUSTOM_PORTAL_B
2025,WATER_SR,1,NEED_BASED,STATE,2.43,125854.96,27996163.36,14061009.16,681,167,2111022495.22,EQUITY_D,90.81,79.25,1.37,1,0.301,7,CUSTOM_PORTAL_B
2023,JUSTICE_ASSIST,1,MATCHING,UNIVERSITY,55.34,790964.88,101692892.04,51241928.46,4037,1162,51716474863.87,EQUITY_D,90.77,91.34,18.1,1,0.4374,32,GRANTS_GOV
2016,EDU_BLOCK,0,NEED_BASED,NONPROFIT,17.28,101554.16,6659718.6,3380636.38,3417,1265,4632243113.24,OUTCOME_B,71.42,76.59,11.19,1,0.148,14,CUSTOM_PORTAL_A
2017,WATER_SR,1,POPULATION,TRIBAL,26.5,114077.38,38081988.36,19098032.87,1107,150,3169956674.18,EQUITY_D,68.24,74.03,9.48,0,0.3121,30,GRANTS_GOV
2025,WATER_SR,1,EQUAL_SHARE,LOCAL,34.32,923775.53,230437367.46,115680571.5,4438,302,37458341584.97,OUTCOME_B,70.33,56.36,0.18,1,0.875,19,CUSTOM_PORTAL_B
2014,JUSTICE_ASSIST,0,COMPETITIVE,STATE,33.39,167348.22,69135199.2,34651273.71,4037,515,15924702996.91,QUALITY_C,57.65,61.04,1.79,1,0.2787,3,GRANTS_GOV
2016,EDU_BLOCK,1,POPULATION,STATE,50.3,39913.01,5345803.15,2692858.08,2857,798,1991403872.68,ACCESS_E,57.34,46.17,12.84,0,0.9526,11,CUSTOM_PORTAL_A
2013,ENERGY_EFF,1,OTHER,UNIVERSITY,48.87,855518.04,25106866.23,12981192.14,5119,1161,14333169159.66,OUTPUT_A,56.35,68.17,11.83,0,0.9266,49,CUSTOM_PORTAL_B
2011,WATER_SR,1,EQUAL_SHARE,TRIBAL,39.0,664477.16,175394608.74,88029542.95,1978,441,33490357469.38,ACCESS_E,95.21,85.15,19.64,1,0.7327,28,CUSTOM_PORTAL_A
2023,HEALTH_MCH,1,MATCHING,STATE,58.29,562068.99,133792169.99,67177119.49,307,70,4013814218.73,QUALITY_C,88.38,73.03,0.24,1,0.7018,19,CUSTOM_PORTAL_B
2016,BROADBAND,1,MATCHING,NONPROFIT,14.28,472228.47,130565154.49,65518691.48,2171,430,30299051638.14,NONE,44.32,82.79,18.33,1,0.1076,3,GRANTS_GOV
2020,JUSTICE_ASSIST,0,MATCHING,UNIVERSITY,51.77,469961.2,66967322.47,33718641.84,5309,660,20720846578.72,QUALITY_C,80.45,79.18,16.74,1,0.4243,37,STATE_PORTAL
2021,JUSTICE_ASSIST,1,NEED_BASED,STATE,18.56,507214.03,238795135.48,119651174.76,1434,424,47496501921.35,OUTPUT_A,61.06,46.96,13.83,1,0.0983,48,GRANTS_GOV
2020,WATER_SR,0,NEED_BASED,UNIVERSITY,39.95,936038.91,138559811.31,69747925.11,3799,1356,86831209654.77,OUTPUT_A,95.05,36.36,10.24,0,0.7337,5,GRANTS_GOV
2024,HEALTH_MCH,0,EQUAL_SHARE,STATE,24.11,138309.64,42545977.24,21342143.44,3956,343,7800820179.0,OUTCOME_B,62.07,58.4,12.35,0,0.469,6,GRANTS_GOV
2015,BROADBAND,1,COMPETITIVE,NONPROFIT,38.51,714688.25,260309302.26,130511995.26,60,6,854514135.49,OUTCOME_B,98.01,72.66,17.93,1,0.7442,43,GRANTS_GOV
2016,EDU_BLOCK,1,POPULATION,NONPROFIT,13.27,372537.6,97635016.21,49003776.9,3486,667,31417234536.38,OUTPUT_A,57.85,84.5,8.08,1,0.897,1,STATE_PORTAL
2025,HOUSING_CDBG,0,NEED_BASED,STATE,13.06,131960.26,46966700.57,23549330.42,5872,1885,46934504694.02,EQUITY_D,56.62,38.64,9.7,1,0.0617,44,STATE_PORTAL
2019,WATER_SR,0,OTHER,NONPROFIT,25.26,288991.66,144163080.68,72226036.17,5042,1957,139712789271.24,OUTCOME_B,83.85,62.19,6.24,1,0.5991,43,GRANTS_GOV
2023,HOUSING_CDBG,0,POPULATION,LOCAL,25.68,422898.22,161815965.7,81119431.96,5867,1688,126527183621.91,EQUITY_D,46.03,54.14,5.03,1,0.9411,36,GRANTS_GOV
2021,HEALTH_MCH,1,POPULATION,STATE,0.44,766314.2,121797292.39,61281803.3,2627,437,25170863035.06,EQUITY_D,79.15,92.11,16.28,1,0.6077,40,CUSTOM_PORTAL_A
2011,WATER_SR,1,NEED_BASED,UNIVERSITY,19.15,887293.33,345618388.98,173252841.16,5658,1883,278206334307.12,OUTPUT_A,90.9,95.56,9.23,1,0.6014,40,STATE_PORTAL
2015,HOUSING_CDBG,1,POPULATION,NONPROFIT,22.22,922398.9,7223986.41,4073192.66,4563,757,2633926743.22,NONE,60.55,35.89,12.23,0,0.0638,0,GRANTS_GOV
2023,HEALTH_MCH,1,EQUAL_SHARE,UNIVERSITY,10.08,443328.15,20934938.52,10689133.33,5007,1276,13157294017.33,OUTCOME_B,85.56,29.82,4.92,0,0.354,17,CUSTOM_PORTAL_A
2022,HOUSING_CDBG,0,OTHER,UNIVERSITY,52.74,348070.89,157756106.52,79052088.7,4160,1561,106980938709.33,EQUITY_D,93.13,63.65,1.52,1,0.977,5,STATE_PORTAL
2018,HOUSING_CDBG,0,POPULATION,STATE,41.28,555185.34,86034345.43,43294765.39,1119,436,18990562085.29,QUALITY_C,64.38,46.32,5.73,1,0.1427,10,GRANTS_GOV
2022,WATER_SR,1,COMPETITIVE,NONPROFIT,51.66,894932.82,189888783.74,95391858.28,1227,365,30805836115.13,QUALITY_C,90.16,72.09,16.79,1,0.4992,4,GRANTS_GOV
2010,EDU_BLOCK,1,NEED_BASED,LOCAL,41.96,763595.43,255906848.54,128335221.98,5317,791,112607329758.88,QUALITY_C,80.49,25.33,18.35,0,0.6705,1,STATE_PORTAL
2024,BROADBAND,0,NEED_BASED,STATE,58.43,765013.7,338325921.22,169545467.46,2378,343,57807346144.89,EQUITY_D,90.65,59.01,18.05,0,0.1018,22,CUSTOM_PORTAL_B
2017,EDU_BLOCK,0,NEED_BASED,STATE,17.27,467881.34,178074895.89,89271388.62,4291,1560,135783179417.79,EQUITY_D,53.6,41.63,8.42,0,0.6364,17,STATE_PORTAL
2018,ENERGY_EFF,1,POPULATION,LOCAL,2.39,144614.91,55307212.59,27725913.75,4717,1380,38779660905.03,OUTPUT_A,76.7,32.53,5.53,1,0.5257,23,GRANTS_GOV
2017,JUSTICE_ASSIST,1,POPULATION,LOCAL,52.57,365020.72,27078237.62,13721629.17,827,203,2753464112.79,ACCESS_E,52.71,40.47,17.93,0,0.1617,49,STATE_PORTAL
2013,HOUSING_CDBG,0,OTHER,STATE,52.29,284366.86,6207392.58,3245879.72,4415,1164,3328960202.09,EQUITY_D,51.96,62.23,0.54,1,0.9233,35,STATE_PORTAL
2009,EDU_BLOCK,1,POPULATION,UNIVERSITY,2.24,235309.24,39808948.67,20022128.96,3050,1185,23278685858.24,EQUITY_D,92.15,50.67,7.49,1,0.9091,28,GRANTS_GOV
2024,JUSTICE_ASSIST,0,POPULATION,NONPROFIT,43.04,103087.68,38038042.03,19070564.86,1255,412,8703989758.18,OUTPUT_A,56.6,70.09,13.9,0,0.4175,21,CUSTOM_PORTAL_A
2009,WATER_SR,0,POPULATION,LOCAL,38.03,236040.05,42611872.12,21423956.08,4443,637,15478564095.7,ACCESS_E,51.85,28.94,19.16,1,0.9775,9,GRANTS_GOV
2021,ENERGY_EFF,0,EQUAL_SHARE,SCHOOL_DISTRICT,47.15,637442.83,33223497.68,16930470.26,3871,1402,25904489979.67,OUTCOME_B,46.76,62.72,4.5,1,0.0502,7,STATE_PORTAL
2022,BROADBAND,1,NEED_BASED,NONPROFIT,45.97,138453.81,18337849.62,9238151.72,1837,663,5417621054.27,OUTCOME_B,64.55,61.9,5.69,1,0.955,22,CUSTOM_PORTAL_B
2016,WATER_SR,1,EQUAL_SHARE,STATE,36.73,469375.88,161631821.69,81050598.78,3383,1121,98595739671.51,EQUITY_D,83.02,67.04,8.73,1,0.9341,19,STATE_PORTAL
2010,HOUSING_CDBG,1,POPULATION,HOSPITAL,42.33,244784.84,31862424.73,16053604.78,1334,288,4585395534.4,EQUITY_D,79.85,43.55,17.22,0,0.3792,37,GRANTS_GOV
2017,TRANS_FORMULA,0,POPULATION,HOSPITAL,52.86,69692.3,8467530.96,4268611.63,1522,331,1281889051.2,OUTCOME_B,79.7,44.7,15.06,0,0.7759,46,STATE_PORTAL
2010,JUSTICE_ASSIST,0,NEED_BASED,LOCAL,6.97,235594.08,11249578.19,5742586.14,3098,158,774648369.39,OUTCOME_B,58.47,81.23,13.7,1,0.785,24,GRANTS_GOV
2021,HOUSING_CDBG,1,MATCHING,TRIBAL,5.31,851535.39,25619662.18,13235598.78,4239,778,10775146380.06,OUTPUT_A,47.26,98.18,6.41,0,0.8414,39,CUSTOM_PORTAL_B
2018,ENERGY_EFF,1,POPULATION,SCHOOL_DISTRICT,56.48,342236.52,1399232.45,870734.48,3793,280,272846791.0,OUTPUT_A,51.37,56.73,4.14,1,0.3185,25,GRANTS_GOV
2024,JUSTICE_ASSIST,0,OTHER,SCHOOL_DISTRICT,51.14,546573.96,45560812.14,23053693.05,3729,1318,26722600624.99,OUTCOME_B,50.7,31.92,18.24,1,0.7107,42,STATE_PORTAL
2017,WATER_SR,0,POPULATION,STATE,45.52,541959.91,244155302.56,122348631.24,1651,575,60884549638.27,ACCESS_E,50.44,41.99,16.57,0,0.6765,14,CUSTOM_PORTAL_B
2020,HEALTH_MCH,0,POPULATION,NONPROFIT,47.53,198445.55,6109292.86,3153869.2,3883,548,1699859032.17,EQUITY_D,89.91,43.16,2.23,0,0.4309,9,GRANTS_GOV
2009,HEALTH_MCH,1,EQUAL_SHARE,UNIVERSITY,26.24,45011.54,17434966.06,8739988.8,2614,338,2792390329.85,EQUITY_D,65.39,30.67,0.22,0,0.4192,30,STATE_PORTAL
2017,TRANS_FORMULA,0,NEED_BASED,LOCAL,33.98,998015.84,101105796.75,51051906.3,14,1,44720133.82,ACCESS_E,91.1,31.26,0.13,1,0.7477,32,STATE_PORTAL
2016,HOUSING_CDBG,0,MATCHING,HOSPITAL,18.98,754479.08,37414733.24,19084606.16,2955,1130,22576320934.59,QUALITY_C,42.57,72.37,14.93,1,0.0542,1,STATE_PORTAL
2015,BROADBAND,0,NEED_BASED,NONPROFIT,42.46,768078.12,328028946.89,164398512.5,2823,531,84757176376.58,OUTPUT_A,70.68,34.42,6.06,1,0.2906,28,GRANTS_GOV
2015,HOUSING_CDBG,1,NEED_BASED,NONPROFIT,52.08,175695.08,10711250.49,5443472.78,1977,650,3950467876.51,OUTCOME_B,60.47,90.12,1.55,0,0.9446,46,STATE_PORTAL
2012,WATER_SR,1,POPULATION,STATE,31.82,794285.89,159565040.79,80179663.34,4566,1176,92727850317.93,QUALITY_C,46.15,60.01,13.01,1,0.8895,23,GRANTS_GOV
2017,HEALTH_MCH,0,MATCHING,UNIVERSITY,48.57,357069.05,149278236.15,74817652.6,5177,1099,90230096757.84,NONE,66.47,95.32,0.89,1,0.8489,17,GRANTS_GOV
2024,HOUSING_CDBG,1,NEED_BASED,STATE,2.81,305421.4,120704439.31,60504930.36,893,152,10431991093.89,QUALITY_C,76.71,53.96,15.24,1,0.4684,48,GRANTS_GOV
2025,TRANS_FORMULA,1,NEED_BASED,LOCAL,47.27,41132.13,4370965.11,2206048.62,3279,991,2224957499.31,EQUITY_D,64.55,55.23,1.55,0,0.08,12,CUSTOM_PORTAL_A
2025,EDU_BLOCK,0,POPULATION,NONPROFIT,22.85,260669.66,95624607.42,47942638.54,3392,633,32236357463.21,ACCESS_E,52.71,39.45,13.74,0,0.5662,20,CUSTOM_PORTAL_A
2012,HEALTH_MCH,1,POPULATION,NONPROFIT,22.97,146570.55,68373767.54,34260169.04,1658,710,24318474996.56,EQUITY_D,76.55,28.92,13.47,0,0.3125,5,GRANTS_GOV
2009,HOUSING_CDBG,1,MATCHING,TRIBAL,7.99,82676.89,25009919.46,12546298.18,3268,784,10117363587.39,OUTPUT_A,57.19,65.18,1.4,0,0.6471,0,CUSTOM_PORTAL_A
2011,HOUSING_CDBG,1,COMPETITIVE,UNIVERSITY,56.47,238191.12,108409918.58,54324054.85,3399,331,16890235789.3,ACCESS_E,96.83,64.41,8.51,1,0.2414,18,GRANTS_GOV
2016,EDU_BLOCK,0,COMPETITIVE,STATE,42.86,885160.82,175323246.56,88104203.69,2112,323,26638402975.76,EQUITY_D,70.96,92.39,7.39,0,0.7932,24,STATE_PORTAL
2018,JUSTICE_ASSIST,1,COMPETITIVE,SCHOOL_DISTRICT,8.4,411234.24,56435419.71,28423326.98,2946,948,26363296387.68,OUTCOME_B,57.17,99.37,17.01,1,0.5487,2,GRANTS_GOV
2013,EDU_BLOCK,0,POPULATION,LOCAL,38.61,687422.06,189129036.49,94908229.28,379,132,14087125525.83,OUTPUT_A,79.68,62.71,17.74,1,0.2821,44,GRANTS_GOV
2022,TRANS_FORMULA,1,POPULATION,NONPROFIT,43.98,925904.09,230105080.65,115515492.37,4416,1497,174048056424.73,QUALITY_C,80.43,60.37,10.65,1,0.2246,27,GRANTS_GOV
2013,ENERGY_EFF,0,NEED_BASED,STATE,32.92,630506.8,37424124.54,19027315.67,4933,1661,35626567931.84,QUALITY_C,78.87,79.47,16.94,1,0.3306,41,CUSTOM_PORTAL_B
2009,ENERGY_EFF,0,POPULATION,STATE,24.5,280912.91,97311529.19,48796221.05,3675,1045,54837667953.91,ACCESS_E,57.74,25.52,15.25,1,0.248,39,GRANTS_GOV
2023,ENERGY_EFF,0,MATCHING,HOSPITAL,5.21,840934.5,217753144.89,109297039.7,5302,1114,106760839333.55,ACCESS_E,89.68,69.48,11.98,1,0.1687,11,STATE_PORTAL
2018,ENERGY_EFF,0,NEED_BASED,LOCAL,17.21,252789.21,65288620.84,32770705.02,4289,666,22865219209.2,ACCESS_E,55.35,36.31,15.19,0,0.5842,42,GRANTS_GOV
2020,BROADBAND,1,MATCHING,STATE,44.28,904820.93,396604756.28,198754788.6,989,78,17025520063.04,OUTCOME_B,56.45,56.27,1.52,1,0.7083,2,GRANTS_GOV
2018,ENERGY_EFF,1,POPULATION,NONPROFIT,35.44,221682.95,33852758.62,17037220.78,1776,772,11228012335.39,QUALITY_C,86.27,56.29,2.23,0,0.4858,16,STATE_PORTAL
2009,HOUSING_CDBG,1,POPULATION,UNIVERSITY,37.58,261425.18,125224753.25,62743089.22,2075,402,22909800423.9,ACCESS_E,78.34,90.95,5.24,0,0.6956,20,STATE_PORTAL
2009,WATER_SR,0,COMPETITIVE,NONPROFIT,45.8,469381.56,49697555.65,25083468.6,5362,1808,50404864269.56,EQUITY_D,65.19,64.42,13.13,1,0.3048,48,GRANTS_GOV
2023,BROADBAND,1,POPULATION,SCHOOL_DISTRICT,31.58,307809.31,49538987.51,24923398.41,3951,1191,33322944697.64,ACCESS_E,65.25,35.81,18.88,0,0.7365,39,GRANTS_GOV
2009,HEALTH_MCH,1,EQUAL_SHARE,TRIBAL,46.59,275589.4,20883995.17,10579792.28,1510,602,6547409376.9,ACCESS_E,60.85,72.75,11.68,1,0.5349,35,STATE_PORTAL
2019,EDU_BLOCK,0,COMPETITIVE,LOCAL,48.15,865421.41,131039117.59,65952269.5,3066,846,58426424985.3,OUTCOME_B,55.12,28.87,5.13,0,0.2304,11,STATE_PORTAL
2022,BROADBAND,1,NEED_BASED,LOCAL,47.8,804805.53,69443866.18,35124335.86,1321,224,6942489205.98,QUALITY_C,92.78,74.76,19.94,1,0.4273,41,GRANTS_GOV
2013,HEALTH_MCH,0,NEED_BASED,LOCAL,47.91,816377.58,180219716.67,90518047.12,327,131,10512374318.37,OUTCOME_B,99.19,79.46,3.06,1,0.7599,26,GRANTS_GOV
2009,BROADBAND,0,POPULATION,UNIVERSITY,6.97,66615.83,8234723.24,4150669.54,1361,499,1820782730.44,QUALITY_C,62.8,30.5,10.4,0,0.9014,11,CUSTOM_PORTAL_B
2011,JUSTICE_ASSIST,1,COMPETITIVE,UNIVERSITY,48.5,574747.18,148024459.94,74299603.56,2627,1081,90332621049.98,EQUITY_D,97.34,27.86,11.04,0,0.7923,26,GRANTS_GOV
2015,WATER_SR,1,NEED_BASED,NONPROFIT,21.66,430361.85,141267608.15,70848985.0,5456,344,27045535588.21,OUTCOME_B,66.19,26.89,9.09,1,0.7522,45,GRANTS_GOV
2016,TRANS_FORMULA,1,POPULATION,SCHOOL_DISTRICT,46.41,276107.55,14209214.17,7242660.86,1991,355,2202525821.18,OUTPUT_A,60.51,89.23,11.05,0,0.8308,13,STATE_PORTAL
2018,HEALTH_MCH,1,COMPETITIVE,TRIBAL,58.0,532264.1,220979474.39,110755869.24,5779,1358,136039679763.23,QUALITY_C,84.34,76.07,5.52,0,0.7796,48,GRANTS_GOV
2023,ENERGY_EFF,0,OTHER,LOCAL,44.03,365602.47,18389930.75,9377766.61,2636,202,1722137688.76,QUALITY_C,89.46,65.22,0.91,1,0.9791,43,CUSTOM_PORTAL_B
