civic_ballot_election_cycle_year,civic_ballot_measure_id,civic_ballot_measure_type_code,civic_ballot_measure_topic_code,civic_ballot_ballot_title_short,civic_ballot_signature_requirement_count,civic_ballot_signatures_verified_count,civic_ballot_qualification_status_code,civic_ballot_campaign_spend_support_usd,civic_ballot_campaign_spend_oppose_usd,civic_ballot_endorsement_count_support,civic_ballot_endorsement_count_oppose,civic_ballot_media_mentions_count,civic_ballot_polling_support_pct,civic_ballot_polling_oppose_pct,civic_ballot_vote_yes_total,civic_ballot_vote_no_total,civic_ballot_measure_passed_flag,civic_ballot_implementation_start_date,civic_ballot_legal_challenge_flag
2015,MEAS000000366,INITIATIVE,TAX,TAX_TITLE000366,1009023,1003257,QUALIFIED,105327492.54,224514453.82,1531,995,56638,66.75,30.37,1849853,1634872,1,2008-09-10,0
2012,MEAS000000367,AMENDMENT,LABOR,LABOR_TITLE000367,382461,370830,QUALIFIED,105101125.69,190874047.42,1317,2281,15838,79.42,21.85,779883,773852,1,2006-10-07,0
2020,MEAS000000368,BOND,TRANSPORT,TRANSPORT_TITLE000368,592857,598987,QUALIFIED,240892509.89,191516615.17,479,2091,92973,29.02,74.25,861756,409495,1,2018-03-26,1
2018,MEAS000000369,BOND,TRANSPORT,TRANSPORT_TITLE000369,300449,301156,LITIGATED,27531278.64,141192188.61,757,349,1953,37.45,58.98,1436145,766953,1,2013-06-01,0
2001,MEAS000000370,INITIATIVE,HEALTH,HEALTH_TITLE000370,965072,964683,QUALIFIED,63111867.65,177095336.53,62,1959,115367,58.37,42.58,1039106,1547278,0,2000-04-29,0
2017,MEAS000000371,INITIATIVE,HEALTH,HEALTH_TITLE000371,20781,16022,FAILED,24266535.04,179890379.17,255,172,63694,74.18,29.51,1514298,2153873,0,2005-06-13,0
2006,MEAS000000372,AMENDMENT,LABOR,LABOR_TITLE000372,1418349,1405272,FAILED,159158784.68,27732874.05,784,502,113662,68.77,29.1,2144548,1160677,1,2017-12-04,0
2023,MEAS000000373,AMENDMENT,LABOR,LABOR_TITLE000373,770843,782081,LITIGATED,209249975.79,46920648.93,1575,1803,80947,70.92,29.62,2025479,1055006,1,2024-10-03,1
2006,MEAS000000374,CHARTER,TAX,TAX_TITLE000374,1484261,1470950,QUALIFIED,247498287.17,239589816.42,2061,603,8285,54.24,42.63,1566401,3165769,0,2015-07-29,1
2008,MEAS000000375,REFERENDUM,TAX,TAX_TITLE000375,977876,995654,QUALIFIED,233550171.98,18206072.08,1819,1489,25612,28.16,73.39,951838,1648425,0,2009-04-29,0
2001,MEAS000000376,CHARTER,EDU,EDU_TITLE000376,690298,671943,PENDING,76922956.62,189003838.15,542,2101,19283,47.67,48.74,1054485,2153462,0,2017-09-23,1
2013,MEAS000000377,AMENDMENT,HOUSING,HOUSING_TITLE000377,524613,510333,FAILED,91538520.16,248792771.4,768,152,74159,58.61,42.16,1268735,921622,1,2020-05-28,0
2004,MEAS000000378,AMENDMENT,PUBLIC_SAFETY,PUBLIC_SAFETY_TITLE000378,237607,255479,QUALIFIED,179270229.67,182260791.62,1026,1578,93502,35.1,63.79,1001838,1464553,0,2000-12-02,0
2015,MEAS000000379,REFERENDUM,ENVIRONMENT,ENVIRONMENT_TITLE000379,573226,576387,FAILED,103653164.15,199102829.85,1913,885,85321,41.15,57.23,47486,55280,0,2017-09-01,0
2006,MEAS000000380,INITIATIVE,PUBLIC_SAFETY,PUBLIC_SAFETY_TITLE000380,595022,609565,QUALIFIED,69317243.95,69576749.32,1075,1095,110187,77.91,23.42,1944727,1502874,1,2025-06-04,0
2015,MEAS000000381,INITIATIVE,EDU,EDU_TITLE000381,1062340,1072573,QUALIFIED,52716825.06,233767817.89,1373,2182,92043,52.19,52.11,211453,477588,0,2024-10-27,1
2013,MEAS000000382,AMENDMENT,ELECTIONS,ELECTIONS_TITLE000382,182377,198341,QUALIFIED,65005329.19,74106056.85,73,2118,65035,56.07,44.78,1269538,1174460,1,2012-07-13,0
2012,MEAS000000383,INITIATIVE,TAX,TAX_TITLE000383,553894,573581,FAILED,151441074.28,47800182.47,2494,281,128822,52.74,48.8,929266,402464,1,2003-07-30,0
2019,MEAS000000384,BOND,TAX,TAX_TITLE000384,17108,0,LITIGATED,126398969.98,76873650.65,1029,1981,4194,74.16,21.94,1000311,703360,1,2013-08-15,0
2014,MEAS000000385,BOND,TRANSPORT,TRANSPORT_TITLE000385,1067629,1078814,FAILED,167240221.66,193122063.23,325,2419,138963,52.14,46.08,441103,439193,1,2011-06-16,0
2017,MEAS000000386,BOND,HEALTH,HEALTH_TITLE000386,471470,455693,FAILED,40866798.79,5383511.44,48,345,91276,33.31,70.67,1634591,1264195,1,2007-09-12,0
2002,MEAS000000387,AMENDMENT,EDU,EDU_TITLE000387,1252694,1241803,LITIGATED,145878847.44,162717773.4,800,202,44757,51.73,44.13,1222397,1438421,0,2004-04-20,0
2018,MEAS000000388,INITIATIVE,ELECTIONS,ELECTIONS_TITLE000388,829083,823490,PENDING,207900869.07,27150004.11,1899,1148,37948,70.15,28.67,3380033,1582077,1,2007-07-06,0
2018,MEAS000000389,REFERENDUM,PUBLIC_SAFETY,PUBLIC_SAFETY_TITLE000389,813696,810080,QUALIFIED,113110040.63,3894263.91,1527,1935,69299,25.79,71.29,349373,288002,1,2013-03-22,0
2019,MEAS000000390,REFERENDUM,OTHER,OTHER_TITLE000390,312506,296780,FAILED,95616693.14,126884701.63,1560,982,14941,20.08,84.28,1928514,2770040,0,2015-01-05,0
2019,MEAS000000391,INITIATIVE,TRANSPORT,TRANSPORT_TITLE000391,205670,195584,PENDING,158283685.23,78007333.97,2065,2277,108546,56.46,45.64,2451804,1190258,1,2021-08-06,0
2021,MEAS000000392,INITIATIVE,EDU,EDU_TITLE000392,621414,640166,LITIGATED,2032560.98,48278668.49,1996,2374,149422,31.17,65.36,1313204,1416882,0,2013-12-04,0
2003,MEAS000000393,AMENDMENT,EDU,EDU_TITLE000393,1291313,1274512,QUALIFIED,9444813.51,113205440.7,2344,1190,97365,51.26,49.33,1676472,2317256,0,2024-09-22,0
2015,MEAS000000394,BOND,TAX,TAX_TITLE000394,1492833,1483043,QUALIFIED,81187977.86,190447394.07,306,1110,143138,67.79,36.48,2382120,1100901,1,2016-10-04,0
2006,MEAS000000395,CHARTER,ENVIRONMENT,ENVIRONMENT_TITLE000395,168243,167459,QUALIFIED,163298667.31,192805898.88,40,1079,11566,61.99,38.69,1105334,1505205,0,2022-03-11,0
2021,MEAS000000396,BOND,EDU,EDU_TITLE000396,1216138,1222526,LITIGATED,7643249.63,151730894.96,203,2171,56270,52.01,43.36,1298045,623069,1,2023-12-06,0
2009,MEAS000000397,AMENDMENT,ELECTIONS,ELECTIONS_TITLE000397,1180957,1189571,QUALIFIED,75828799.77,218969622.58,839,608,127610,62.85,40.97,1346785,2208679,0,2007-09-10,0
2019,MEAS000000398,AMENDMENT,ELECTIONS,ELECTIONS_TITLE000398,727603,738666,PENDING,71070931.11,38441753.83,2453,349,115454,31.61,66.65,1799321,1125393,1,2008-01-20,0
2007,MEAS000000399,AMENDMENT,ELECTIONS,ELECTIONS_TITLE000399,786803,781134,FAILED,249777745.0,248788432.51,1108,1421,35230,57.18,45.6,206060,203638,1,2008-12-13,0
2024,MEAS000000400,REFERENDUM,HOUSING,HOUSING_TITLE000400,434221,450123,FAILED,190948007.79,187802749.49,2274,2225,31003,34.47,64.96,91453,58001,1,2023-02-09,1
2001,MEAS000000401,INITIATIVE,HOUSING,HOUSING_TITLE000401,247450,253415,QUALIFIED,140656100.86,213454033.64,33,944,148488,45.1,54.61,231589,118704,1,2005-05-04,1
2014,MEAS000000402,INITIATIVE,TRANSPORT,TRANSPORT_TITLE000402,1430623,1419420,PENDING,134757112.7,95775945.13,1062,1397,81496,33.63,67.12,1569026,2990414,0,2024-09-14,0
2002,MEAS000000403,REFERENDUM,TAX,TAX_TITLE000403,614205,615110,FAILED,223241127.76,220688392.87,702,2232,139924,41.44,56.75,2620690,1140126,1,2022-01-28,0
2005,MEAS000000404,REFERENDUM,ELECTIONS,ELECTIONS_TITLE000404,890624,883375,PENDING,16701843.53,88165010.61,758,246,118748,45.03,56.89,1806695,3076941,0,2004-12-16,0
2023,MEAS000000405,BOND,HEALTH,HEALTH_TITLE000405,215571,230590,QUALIFIED,71974418.22,193010001.02,1623,2075,68737,38.54,63.57,2206820,2130315,1,2012-03-31,0
2006,MEAS000000406,INITIATIVE,ENVIRONMENT,ENVIRONMENT_TITLE000406,831719,828546,LITIGATED,12744938.72,222744897.86,750,2100,44640,53.2,48.66,2907710,1568922,1,2003-03-17,0
2008,MEAS000000407,INITIATIVE,TAX,TAX_TITLE000407,267707,248054,FAILED,22125573.86,147310802.49,1672,257,24262,62.93,39.57,688382,582400,1,2019-02-05,0
2025,MEAS000000408,BOND,ENVIRONMENT,ENVIRONMENT_TITLE000408,596078,576332,FAILED,179940707.35,219015843.63,1353,2214,138878,24.11,75.62,1281035,2755956,0,2003-04-21,0
2022,MEAS000000409,INITIATIVE,HEALTH,HEALTH_TITLE000409,793605,789168,FAILED,131307991.28,65279349.51,1401,1264,852,53.24,47.62,293010,161038,1,2024-09-21,1
2011,MEAS000000410,AMENDMENT,ELECTIONS,ELECTIONS_TITLE000410,1185600,1177936,QUALIFIED,30225629.19,70168549.64,535,1843,115456,74.48,20.79,2458302,1651439,1,2003-11-18,0
2004,MEAS000000411,AMENDMENT,TRANSPORT,TRANSPORT_TITLE000411,126258,125050,FAILED,52167509.62,76056990.83,1436,53,97978,57.76,44.9,1059305,460962,1,2008-05-04,0
2015,MEAS000000412,CHARTER,TAX,TAX_TITLE000412,1183751,1184414,FAILED,231976566.92,231377308.58,1087,462,94432,45.87,52.86,286253,405113,0,2015-07-03,0
2010,MEAS000000413,INITIATIVE,HEALTH,HEALTH_TITLE000413,461323,462422,QUALIFIED,51376512.07,112924648.29,1880,169,93604,20.82,77.49,865649,864812,1,2008-09-09,0
2003,MEAS000000414,REFERENDUM,EDU,EDU_TITLE000414,328544,310347,LITIGATED,60038346.48,181926078.24,1689,316,57812,77.99,26.54,1248285,2024589,0,2009-04-18,0
2002,MEAS000000415,AMENDMENT,ELECTIONS,ELECTIONS_TITLE000415,597951,588784,QUALIFIED,75287640.84,24337784.08,962,2335,51607,20.21,81.82,1594436,2840983,0,2023-05-02,0
2019,MEAS000000416,REFERENDUM,OTHER,OTHER_TITLE000416,702626,696572,QUALIFIED,86222923.71,171191006.05,472,1194,128978,49.49,51.55,2088570,2273527,0,2004-12-09,0
2019,MEAS000000417,AMENDMENT,OTHER,OTHER_TITLE000417,1367730,1361137,FAILED,30554115.29,63206020.13,481,1070,73166,68.4,32.92,1296221,1058092,1,2004-09-07,0
2006,MEAS000000418,AMENDMENT,EDU,EDU_TITLE000418,844127,844538,WITHDRAWN,123142947.65,26194973.89,1081,2299,103632,33.71,63.4,1011478,2001478,0,2010-09-29,0
2000,MEAS000000419,INITIATIVE,LABOR,LABOR_TITLE000419,378564,397655,QUALIFIED,102821533.19,1630414.49,1658,1845,54063,32.18,71.81,1057156,2309732,0,2019-04-25,0
2015,MEAS000000420,BOND,LABOR,LABOR_TITLE000420,1478041,1463301,FAILED,24542906.94,106043803.36,1769,962,70648,39.13,58.8,3067863,1443463,1,2012-10-15,0
2013,MEAS000000421,INITIATIVE,ENVIRONMENT,ENVIRONMENT_TITLE000421,1235928,1235594,FAILED,188426451.05,126249173.15,120,23,51867,41.63,62.02,2185265,1193798,1,2007-06-03,0
2005,MEAS000000422,AMENDMENT,ENVIRONMENT,ENVIRONMENT_TITLE000422,313603,313882,QUALIFIED,21085733.65,182566535.12,1510,2355,39567,67.82,35.3,2777903,1633804,1,2015-10-18,0
2020,MEAS000000423,AMENDMENT,PUBLIC_SAFETY,PUBLIC_SAFETY_TITLE000423,45696,50667,QUALIFIED,82455394.92,191925291.36,1510,10,39595,62.87,35.55,346598,300125,1,2010-04-02,0
2010,MEAS000000424,INITIATIVE,TRANSPORT,TRANSPORT_TITLE000424,1471278,1468972,PENDING,75033690.78,221875279.3,441,1111,89549,38.12,58.05,1536599,2513423,0,2025-05-08,1
2018,MEAS000000425,AMENDMENT,HOUSING,HOUSING_TITLE000425,740969,760526,PENDING,150298811.48,212067964.74,1077,403,111184,60.72,39.51,303659,506671,0,2010-09-24,0
2015,MEAS000000426,AMENDMENT,TRANSPORT,TRANSPORT_TITLE000426,360224,379004,QUALIFIED,167211800.49,176423137.86,1258,103,125461,37.9,63.29,1157856,948456,1,2006-08-10,0
2003,MEAS000000427,INITIATIVE,ENVIRONMENT,ENVIRONMENT_TITLE000427,34115,14356,PENDING,96382070.02,62604703.8,2004,649,42072,67.93,30.45,1060853,2036489,0,2015-08-28,0
2012,MEAS000000428,INITIATIVE,EDU,EDU_TITLE000428,890789,904968,FAILED,87191041.59,222748523.92,230,1359,100985,33.09,69.55,1095801,1439204,0,2003-08-27,0
2005,MEAS000000429,AMENDMENT,ELECTIONS,ELECTIONS_TITLE000429,129699,117719,QUALIFIED,148497331.3,124747249.59,2331,611,96912,22.37,73.66,3054241,1746878,1,2025-08-27,1
2016,MEAS000000430,RECALL,TAX,TAX_TITLE000430,1233098,1234991,QUALIFIED,67950259.92,215485762.69,1548,114,38889,72.15,25.26,984957,1871915,0,2006-10-02,0
2021,MEAS000000431,INITIATIVE,HOUSING,HOUSING_TITLE000431,898713,904007,FAILED,80944217.12,74946875.7,922,205,56856,74.52,23.43,2940079,1264286,1,2002-01-05,0
2005,MEAS000000432,INITIATIVE,ENVIRONMENT,ENVIRONMENT_TITLE000432,1195879,1177193,FAILED,137009410.93,110255428.83,399,2175,103426,79.81,23.86,808073,872188,0,2025-10-14,0
2005,MEAS000000433,INITIATIVE,ELECTIONS,ELECTIONS_TITLE000433,382829,382839,QUALIFIED,239435829.63,36720217.12,1200,1023,12024,65.46,39.54,1578217,2066948,0,2011-07-25,0
2002,MEAS000000434,INITIATIVE,HEALTH,HEALTH_TITLE000434,527769,509836,QUALIFIED,208327990.22,157467904.09,2205,2065,126303,34.52,66.53,1141131,1478023,0,2025-04-22,0
2001,MEAS000000435,BOND,HOUSING,HOUSING_TITLE000435,1263589,1245631,QUALIFIED,155675896.13,197357988.34,1557,67,72776,47.21,56.32,2471980,2304679,1,2005-03-14,1
2016,MEAS000000436,AMENDMENT,HEALTH,HEALTH_TITLE000436,1110477,1128834,PENDING,119214327.77,2059928.11,2194,1873,94822,21.74,81.15,1201327,2008988,0,2004-11-04,0
2011,MEAS000000437,INITIATIVE,OTHER,OTHER_TITLE000437,536779,549860,QUALIFIED,95251046.43,192777149.72,2277,1177,128112,72.2,27.31,1276897,608328,1,2019-04-10,1
2018,MEAS000000438,INITIATIVE,TRANSPORT,TRANSPORT_TITLE000438,1070524,1080696,PENDING,73284007.71,140033583.0,2264,823,52157,33.8,62.25,151411,302662,0,2021-07-17,0
2007,MEAS000000439,AMENDMENT,HOUSING,HOUSING_TITLE000439,596097,608174,PENDING,123302684.07,88754930.16,2003,1062,142410,53.44,42.4,1098736,536902,1,2000-02-19,0
2015,MEAS000000440,INITIATIVE,TAX,TAX_TITLE000440,645479,659119,QUALIFIED,214403550.18,14080705.59,64,1557,9918,38.17,61.66,1624413,1202146,1,2009-03-11,0
2011,MEAS000000441,BOND,TRANSPORT,TRANSPORT_TITLE000441,1127773,1128551,LITIGATED,170263841.68,216291134.39,305,1630,142056,41.47,56.35,811824,656914,1,2020-06-08,0
2001,MEAS000000442,BOND,HOUSING,HOUSING_TITLE000442,134829,135446,QUALIFIED,230270470.62,113156099.25,1590,2335,121271,24.14,79.72,1205544,1122641,1,2001-11-24,0
2008,MEAS000000443,REFERENDUM,EDU,EDU_TITLE000443,1201630,1219004,QUALIFIED,115378977.27,84196475.25,4,809,144504,25.3,72.71,599291,1053039,0,2000-06-12,1
2013,MEAS000000444,REFERENDUM,EDU,EDU_TITLE000444,96664,111648,PENDING,185168420.73,168901226.55,135,1222,17169,24.12,80.83,313917,548853,0,2001-02-11,0
2012,MEAS000000445,AMENDMENT,HEALTH,HEALTH_TITLE000445,583851,602475,QUALIFIED,34581857.01,235719850.31,253,870,30336,67.26,34.98,3297418,1648640,1,2001-11-22,0
2013,MEAS000000446,INITIATIVE,ENVIRONMENT,ENVIRONMENT_TITLE000446,403823,391648,PENDING,191625268.8,218721787.03,388,1658,124911,59.66,41.18,335448,395136,0,2015-02-22,0
2022,MEAS000000447,REFERENDUM,HEALTH,HEALTH_TITLE000447,677149,672801,QUALIFIED,158333641.71,33861088.98,2349,251,12780,34.62,70.18,2294566,1541369,1,2016-01-31,0
2002,MEAS000000448,AMENDMENT,TRANSPORT,TRANSPORT_TITLE000448,1164708,1164347,QUALIFIED,231414548.59,189691766.65,385,1427,85658,44.65,56.2,1054558,798996,1,2003-08-26,0
2019,MEAS000000449,INITIATIVE,HOUSING,HOUSING_TITLE000449,734531,726923,QUALIFIED,72397242.09,108548937.69,2320,764,108765,36.52,62.91,2400763,1338396,1,2013-07-03,0
2018,MEAS000000450,AMENDMENT,EDU,EDU_TITLE000450,1041936,1026477,FAILED,50134283.24,21321237.51,589,2333,139959,37.71,65.54,123486,254107,0,2014-08-15,0
2016,MEAS000000451,INITIATIVE,ELECTIONS,ELECTIONS_TITLE000451,693329,678029,QUALIFIED,236738380.45,5841560.07,1753,2099,16450,35.25,61.13,156359,81636,1,2021-12-05,0
2012,MEAS000000452,BOND,PUBLIC_SAFETY,PUBLIC_SAFETY_TITLE000452,659760,648133,QUALIFIED,155210924.28,26940409.85,22,310,47142,55.37,42.96,1117811,761607,1,2001-01-02,0
2023,MEAS000000453,AMENDMENT,PUBLIC_SAFETY,PUBLIC_SAFETY_TITLE000453,1326101,1333018,QUALIFIED,166140282.39,63623597.89,1586,1524,88779,74.6,25.24,1107588,1983134,0,2005-02-17,0
2004,MEAS000000454,CHARTER,ELECTIONS,ELECTIONS_TITLE000454,223011,221545,FAILED,166422957.27,137066871.47,1936,146,5147,70.06,28.34,2746451,1579319,1,2019-10-19,1
2014,MEAS000000455,INITIATIVE,ELECTIONS,ELECTIONS_TITLE000455,334778,317850,FAILED,235075496.02,206700509.89,1850,1447,4737,71.92,30.32,310921,684133,0,2009-09-08,1
2025,MEAS000000456,AMENDMENT,LABOR,LABOR_TITLE000456,201957,182581,FAILED,115053905.06,26645516.1,313,321,21190,42.73,55.37,293802,179467,1,2010-07-23,0
2022,MEAS000000457,REFERENDUM,TAX,TAX_TITLE000457,605352,606560,QUALIFIED,68906457.7,157415816.05,2377,409,138261,37.14,62.32,1500788,697690,1,2002-06-17,0
2009,MEAS000000458,AMENDMENT,HOUSING,HOUSING_TITLE000458,354503,361854,PENDING,196641256.91,42833403.53,2201,1394,16576,21.56,79.13,1723977,1237286,1,2025-07-08,0
2008,MEAS000000459,BOND,OTHER,OTHER_TITLE000459,1358416,1350378,QUALIFIED,115617580.98,248710251.45,611,1182,6391,30.34,69.4,573066,344850,1,2002-10-24,0
2008,MEAS000000460,BOND,LABOR,LABOR_TITLE000460,724137,741398,WITHDRAWN,48614532.51,40169971.8,1502,455,133603,63.62,37.23,1061408,1873810,0,2023-05-28,0
2020,MEAS000000461,BOND,ELECTIONS,ELECTIONS_TITLE000461,329402,325072,QUALIFIED,23545717.98,217718632.01,2151,1755,144976,78.42,22.76,1503733,3098059,0,2023-09-03,0
2004,MEAS000000462,AMENDMENT,TRANSPORT,TRANSPORT_TITLE000462,1212551,1204043,QUALIFIED,7701950.67,28406337.6,876,958,11851,35.7,64.63,113033,187107,0,2022-02-02,0
2018,MEAS000000463,REFERENDUM,TAX,TAX_TITLE000463,1059364,1065246,FAILED,230118028.72,45667061.66,1778,724,47042,61.08,40.42,1386534,1335876,1,2001-03-15,0
2012,MEAS000000464,INITIATIVE,LABOR,LABOR_TITLE000464,678558,689644,QUALIFIED,178396588.3,106016910.95,1929,2136,43725,27.5,67.71,1126158,1668962,0,2020-05-12,0
2022,MEAS000000465,INITIATIVE,EDU,EDU_TITLE000465,1345411,1330126,QUALIFIED,91448960.04,185231447.37,1201,687,20627,26.95,68.32,73181,45416,1,2019-12-17,0
2010,MEAS000000466,REFERENDUM,HEALTH,HEALTH_TITLE000466,1310923,1317564,QUALIFIED,161588305.05,105939408.84,2113,1105,38082,20.79,79.28,2108366,2770529,0,2012-07-16,0
2023,MEAS000000467,BOND,OTHER,OTHER_TITLE000467,615980,629442,FAILED,127011858.89,66829104.55,1535,2275,66899,68.88,32.37,650052,858162,0,2003-03-01,0
2025,MEAS000000468,BOND,LABOR,LABOR_TITLE000468,1120845,1137796,QUALIFIED,26142355.37,110290170.82,858,825,139383,67.08,33.4,837888,525111,1,2013-03-23,0
2008,MEAS000000469,AMENDMENT,EDU,EDU_TITLE000469,164137,166571,PENDING,169346265.23,183020401.71,299,719,70547,20.26,77.59,80604,47934,1,2010-10-14,1
2019,MEAS000000470,CHARTER,TAX,TAX_TITLE000470,727549,734322,QUALIFIED,229307154.01,207473494.84,441,2396,129712,59.86,35.2,361027,178486,1,2012-04-23,1
2000,MEAS000000471,AMENDMENT,LABOR,LABOR_TITLE000471,982401,993301,PENDING,126159500.69,8894385.16,80,370,89745,35.88,60.0,2192429,1326127,1,2019-12-01,1
2013,MEAS000000472,AMENDMENT,TAX,TAX_TITLE000472,1245215,1227328,QUALIFIED,144376254.52,86742534.97,197,2295,72469,75.79,22.94,1408690,3205928,0,2005-02-06,0
2024,MEAS000000473,CHARTER,HOUSING,HOUSING_TITLE000473,1283905,1283186,FAILED,190629455.28,48278211.22,2422,542,17238,73.3,24.6,494472,222140,1,2014-01-27,0
2017,MEAS000000474,CHARTER,TAX,TAX_TITLE000474,48393,59740,QUALIFIED,191337514.01,165012243.44,2332,1076,149540,37.28,67.41,73468,49314,1,2022-06-08,0
2025,MEAS000000475,BOND,LABOR,LABOR_TITLE000475,337761,332856,FAILED,57206323.25,145331201.05,1730,1843,10264,42.89,60.23,1051082,638934,1,2023-02-20,0
2015,MEAS000000476,AMENDMENT,ELECTIONS,ELECTIONS_TITLE000476,1215531,1227261,QUALIFIED,52112463.72,80367104.23,1865,821,88600,38.66,58.12,941529,1049588,0,2017-05-27,1
2023,MEAS000000477,BOND,HEALTH,HEALTH_TITLE000477,1116704,1101979,QUALIFIED,133950861.82,231250757.75,721,903,58907,54.0,45.91,1309312,1653985,0,2003-03-10,0
2002,MEAS000000478,CHARTER,TRANSPORT,TRANSPORT_TITLE000478,897504,893863,QUALIFIED,25034494.62,4278480.35,750,1760,132533,48.21,53.92,1160890,573767,1,2014-03-03,0
2018,MEAS000000479,RECALL,PUBLIC_SAFETY,PUBLIC_SAFETY_TITLE000479,1136978,1125845,FAILED,192073045.73,14620660.51,1071,1466,138362,58.4,39.36,488517,371519,1,2011-10-30,0
2006,MEAS000000480,INITIATIVE,OTHER,OTHER_TITLE000480,388364,391981,FAILED,151093501.24,9864712.43,1529,352,128706,36.78,59.24,2039592,1753076,1,2012-11-18,0
2014,MEAS000000481,INITIATIVE,ENVIRONMENT,ENVIRONMENT_TITLE000481,239063,235898,QUALIFIED,73116162.64,225286797.6,890,719,117008,35.59,61.94,3064627,1652232,1,2016-04-12,0
2011,MEAS000000482,REFERENDUM,ELECTIONS,ELECTIONS_TITLE000482,96446,84847,QUALIFIED,44273622.06,203321900.59,2420,817,51186,51.71,52.36,2022287,2798519,0,2021-11-07,0
2015,MEAS000000483,AMENDMENT,TRANSPORT,TRANSPORT_TITLE000483,1329073,1320390,QUALIFIED,161632254.86,67160323.21,1715,1400,139769,42.45,61.28,1199284,1447447,0,2024-02-22,0
2023,MEAS000000484,RECALL,LABOR,LABOR_TITLE000484,529683,510567,PENDING,111787182.5,98064371.68,11,468,34066,76.15,25.15,3027198,1437427,1,2005-08-27,1
2012,MEAS000000485,BOND,ELECTIONS,ELECTIONS_TITLE000485,510502,524984,FAILED,175221858.28,12793302.82,208,432,20960,72.32,24.4,943602,1902555,0,2008-11-16,0
2014,MEAS000000486,BOND,ENVIRONMENT,ENVIRONMENT_TITLE000486,684060,677009,FAILED,118665019.27,90579734.04,537,1410,54488,38.79,66.18,2148335,2789358,0,2008-02-19,1
2014,MEAS000000487,REFERENDUM,EDU,EDU_TITLE000487,893857,888867,QUALIFIED,136357015.11,211900975.46,1532,1063,147991,48.51,48.16,947164,1992855,0,2005-08-03,0
2000,MEAS000000488,INITIATIVE,ELECTIONS,ELECTIONS_TITLE000488,1495745,1491881,QUALIFIED,12478154.15,24743839.24,1858,746,47393,36.56,61.7,2499207,1981391,1,2008-03-26,0
2017,MEAS000000489,REFERENDUM,TRANSPORT,TRANSPORT_TITLE000489,1243703,1239518,QUALIFIED,232871826.63,202567088.29,408,2004,43255,45.86,55.83,140551,266281,0,2016-08-23,0
2014,MEAS000000490,INITIATIVE,OTHER,OTHER_TITLE000490,186745,193307,QUALIFIED,42699360.39,134712402.89,2075,1093,89443,75.7,23.4,896420,495944,1,2024-04-09,1
2003,MEAS000000491,REFERENDUM,HOUSING,HOUSING_TITLE000491,108420,115805,FAILED,182000576.64,70097640.75,2002,1580,88549,25.72,76.17,462128,268650,1,2025-03-30,0
2014,MEAS000000492,BOND,ENVIRONMENT,ENVIRONMENT_TITLE000492,1470291,1452347,QUALIFIED,212174574.14,24566379.97,1978,2130,73016,46.63,48.96,816957,1838008,0,2025-03-07,0
2020,MEAS000000493,CHARTER,ELECTIONS,ELECTIONS_TITLE000493,263506,261537,QUALIFIED,127599944.39,190842489.14,1965,190,141210,72.72,32.05,189219,165387,1,2021-12-13,0
2017,MEAS000000494,BOND,LABOR,LABOR_TITLE000494,653617,646573,FAILED,201371732.45,115346044.38,1501,1781,86493,78.52,22.77,556348,1064161,0,2008-10-21,0
2013,MEAS000000495,BOND,TAX,TAX_TITLE000495,535928,544281,QUALIFIED,57941527.63,100405724.3,622,391,65539,67.52,35.93,504556,326544,1,2004-02-10,0
2023,MEAS000000496,INITIATIVE,ELECTIONS,ELECTIONS_TITLE000496,1061092,1071761,QUALIFIED,20484535.09,113313110.9,244,240,130521,61.37,38.6,1075326,2426796,0,2021-07-15,0
2004,MEAS000000497,INITIATIVE,PUBLIC_SAFETY,PUBLIC_SAFETY_TITLE000497,776118,757509,QUALIFIED,136939828.23,197248523.29,1530,145,10407,71.61,29.74,521701,870287,0,2015-01-01,1
2014,MEAS000000498,AMENDMENT,LABOR,LABOR_TITLE000498,1430932,1431910,QUALIFIED,121071284.18,76731494.42,2203,2457,98257,45.79,49.87,927171,641809,1,2016-07-08,1
2018,MEAS000000499,INITIATIVE,ELECTIONS,ELECTIONS_TITLE000499,1273548,1254560,PENDING,122469052.26,52465650.74,1625,256,114676,36.51,59.06,2094071,1655730,1,2017-08-20,0
2002,MEAS000000500,INITIATIVE,TAX,TAX_TITLE000500,1214333,1228490,QUALIFIED,31780428.57,130330311.33,543,1895,141062,31.28,64.67,1362507,2286652,0,2006-05-19,0
2021,MEAS000000501,AMENDMENT,LABOR,LABOR_TITLE000501,1070770,1077526,FAILED,90801933.03,161462592.94,18,79,36722,76.43,22.49,323024,342902,0,2016-06-13,0
2024,MEAS000000502,AMENDMENT,TRANSPORT,TRANSPORT_TITLE000502,361375,373760,QUALIFIED,243005301.04,106925503.92,957,2191,54235,40.51,56.8,1840595,1168832,1,2014-07-16,0
2014,MEAS000000503,RECALL,EDU,EDU_TITLE000503,847022,862245,QUALIFIED,213823011.47,242983402.03,1879,1653,99733,47.93,50.11,1401229,696126,1,2013-04-09,0
2018,MEAS000000504,INITIATIVE,TAX,TAX_TITLE000504,1239322,1257455,QUALIFIED,205314382.54,233285746.96,403,2499,74012,42.2,55.75,2053347,2653591,0,2000-05-16,0
