energy_eff_program_year,energy_eff_program_id,energy_eff_measure_type_code,energy_eff_rebate_amount_usd,energy_eff_participant_count,energy_eff_kwh_savings_first_year,energy_eff_kw_savings_peak,energy_eff_therm_savings_first_year,energy_eff_lifetime_savings_mwh,energy_eff_cost_effectiveness_trc,energy_eff_cost_effectiveness_pac,energy_eff_net_to_gross_ratio,energy_eff_free_ridership_rate,energy_eff_spillover_rate,energy_eff_verification_method_code,energy_eff_evaluation_report_link_id,energy_eff_income_qualification_flag,energy_eff_contractor_network_size,energy_eff_market_transformation_score,energy_eff_measure_installation_time_days
2014,PROG0000327,HEAT_PUMP,5958.86,73097,7545.55,523.46,26520.16,95.788,0.38,2.303,0.43,0.067,0.228,METERED,RPT00000327,1,10813,18.35,104
2022,PROG0000328,HEAT_PUMP,2950.82,21779,148310.73,2286.22,37148.37,1384.433,0.268,2.163,0.592,0.078,0.407,DEEMED,RPT00000328,1,3981,0.44,68
2025,PROG0000329,OTHER,6285.85,157605,196559.97,216.65,1876.69,2585.873,0.704,0.861,0.41,0.185,0.154,BILLING_ANALYSIS,RPT00000329,0,10949,36.7,117
2023,PROG0000330,WEATHERIZATION,4320.35,194465,118468.01,829.88,36666.97,1002.774,2.342,0.52,0.37,0.531,0.272,DEEMED,RPT00000330,0,10349,78.69,33
2020,PROG0000331,WEATHERIZATION,615.7,112281,8437.98,4066.1,40955.49,48.457,0.749,2.285,0.759,0.252,0.129,DEEMED,RPT00000331,1,467,59.65,56
2019,PROG0000332,APPLIANCE,6701.78,177928,187476.95,3207.74,15240.87,3097.048,0.297,1.922,0.91,0.591,0.447,DEEMED,RPT00000332,0,10585,95.55,4
2020,PROG0000333,BUILDING_CONTROLS,2622.81,40338,100898.38,2910.88,22414.45,1597.584,2.528,0.746,0.422,0.529,0.311,BILLING_ANALYSIS,RPT00000333,1,4164,43.14,31
2020,PROG0000334,WEATHERIZATION,3870.36,22258,61463.48,3828.39,1220.22,610.809,2.951,1.783,0.527,0.306,0.109,BILLING_ANALYSIS,RPT00000334,0,9549,50.95,144
2018,PROG0000335,LED,7222.11,197512,171757.8,2232.05,51635.32,1800.311,1.092,0.894,1.009,0.406,0.08,EQUIPMENT_TRACKING,RPT00000335,0,9520,63.21,170
2009,PROG0000336,SOLAR_WATER_HEAT,1731.74,77334,72748.44,885.21,92966.09,294.176,2.749,0.225,0.663,0.165,0.155,INSPECTION,RPT00000336,0,253,53.27,107
2019,PROG0000337,INDUSTRIAL_PROCESS,5452.91,116831,190463.88,326.23,34518.34,1508.378,1.475,0.919,0.968,0.124,0.039,BILLING_ANALYSIS,RPT00000337,1,4922,1.99,75
2012,PROG0000338,INSULATION,3868.03,48828,36890.35,4160.66,34569.75,190.62,1.504,1.051,0.398,0.29,0.163,BILLING_ANALYSIS,RPT00000338,0,2061,70.46,3
2019,PROG0000339,INDUSTRIAL_PROCESS,2245.47,166515,60183.43,3456.2,78558.46,782.999,3.454,0.869,0.971,0.231,0.001,INSPECTION,RPT00000339,1,2137,3.12,8
2012,PROG0000340,HVAC,7489.7,122591,54443.1,2066.19,50380.85,632.731,2.404,1.598,0.919,0.54,0.329,BILLING_ANALYSIS,RPT00000340,0,900,35.61,79
2012,PROG0000341,APPLIANCE,5546.75,82925,5863.9,538.37,84948.81,65.293,2.564,1.36,1.017,0.186,0.045,DEEMED,RPT00000341,1,2297,86.56,12
2016,PROG0000342,WEATHERIZATION,6487.5,189944,213345.92,1046.29,91413.11,1320.816,2.739,1.324,0.815,0.412,0.474,BILLING_ANALYSIS,RPT00000342,0,9883,69.49,86
2023,PROG0000343,HEAT_PUMP,6020.47,132826,180353.58,520.56,89506.72,2548.221,1.298,2.868,0.435,0.545,0.105,DEEMED,RPT00000343,1,2958,70.35,16
2015,PROG0000344,INDUSTRIAL_PROCESS,4258.41,130771,192636.81,1604.31,18638.76,1601.606,1.742,2.524,0.82,0.13,0.115,EQUIPMENT_TRACKING,RPT00000344,0,291,0.7,81
2022,PROG0000345,WEATHERIZATION,321.78,45741,12531.75,4645.5,23254.53,110.23,1.218,0.389,0.392,0.578,0.469,INSPECTION,RPT00000345,0,8438,57.9,65
2009,PROG0000346,BUILDING_CONTROLS,7160.85,171447,157173.06,4100.78,13876.86,2302.402,3.397,1.158,0.648,0.289,0.155,EQUIPMENT_TRACKING,RPT00000346,1,5667,60.88,37
2022,PROG0000347,APPLIANCE,1467.16,148031,22128.72,3059.38,73860.75,215.565,1.588,1.605,0.67,0.025,0.04,BILLING_ANALYSIS,RPT00000347,0,10523,43.04,80
2021,PROG0000348,INDUSTRIAL_PROCESS,1285.34,56262,98226.56,3447.62,10129.23,310.054,1.151,1.101,0.514,0.363,0.449,BILLING_ANALYSIS,RPT00000348,1,2322,4.6,107
2025,PROG0000349,BUILDING_CONTROLS,5265.82,10363,63913.3,2386.09,89898.0,1123.126,3.494,0.128,0.965,0.561,0.154,EQUIPMENT_TRACKING,RPT00000349,1,747,80.02,88
2011,PROG0000350,BUILDING_CONTROLS,756.54,54462,58238.62,193.66,69747.21,654.364,3.31,1.964,0.825,0.015,0.423,DEEMED,RPT00000350,0,9170,56.9,114
2016,PROG0000351,HVAC,3525.4,200531,39493.72,1682.32,40954.12,410.407,0.675,2.581,1.007,0.358,0.437,EQUIPMENT_TRACKING,RPT00000351,1,10005,69.81,123
2009,PROG0000352,OTHER,7344.78,221397,7976.85,4252.39,76286.12,88.212,0.58,0.665,0.562,0.377,0.021,EQUIPMENT_TRACKING,RPT00000352,1,11162,33.88,30
2011,PROG0000353,APPLIANCE,1243.84,174772,209352.11,1301.39,85257.5,2475.005,0.394,1.08,0.53,0.563,0.157,BILLING_ANALYSIS,RPT00000353,1,8931,72.3,1
2023,PROG0000354,LED,5718.93,137626,228837.16,482.7,54984.28,2580.803,0.67,0.575,0.364,0.131,0.211,DEEMED,RPT00000354,0,6533,78.16,143
2013,PROG0000355,HVAC,7478.79,136518,143781.63,1736.68,90296.23,682.291,0.681,2.393,0.579,0.572,0.16,BILLING_ANALYSIS,RPT00000355,0,8330,79.17,175
2025,PROG0000356,WEATHERIZATION,4267.56,103627,75502.53,1913.32,26925.78,888.435,1.094,0.898,0.418,0.571,0.048,INSPECTION,RPT00000356,1,7930,18.34,172
2009,PROG0000357,OTHER,6645.08,188216,220351.82,498.08,21967.09,1358.712,0.905,2.937,0.505,0.232,0.479,DEEMED,RPT00000357,0,6016,67.39,108
2009,PROG0000358,OTHER,719.42,61778,91985.11,3150.5,82955.63,532.32,1.135,1.849,0.426,0.012,0.267,BILLING_ANALYSIS,RPT00000358,1,10917,50.21,106
2022,PROG0000359,INDUSTRIAL_PROCESS,6606.82,205237,186474.3,977.34,43868.1,3139.041,0.673,2.739,1.078,0.583,0.243,METERED,RPT00000359,0,9147,99.5,34
2018,PROG0000360,SOLAR_WATER_HEAT,1767.53,190810,61294.93,3335.21,43872.24,596.601,3.342,1.621,0.832,0.114,0.006,BILLING_ANALYSIS,RPT00000360,1,4259,62.1,15
2021,PROG0000361,INDUSTRIAL_PROCESS,1711.64,233278,224790.64,1979.87,44.15,3860.685,1.394,2.499,1.005,0.421,0.463,DEEMED,RPT00000361,1,392,67.53,143
2010,PROG0000362,WEATHERIZATION,6470.13,220903,207270.4,478.91,42767.49,2129.076,1.17,0.943,0.542,0.086,0.149,METERED,RPT00000362,0,2256,79.56,10
2023,PROG0000363,BUILDING_CONTROLS,5416.44,71460,23674.48,2537.74,80900.55,96.066,0.439,0.875,0.941,0.018,0.182,BILLING_ANALYSIS,RPT00000363,1,5427,50.02,57
2012,PROG0000364,SOLAR_WATER_HEAT,4525.89,212346,222815.63,756.05,63623.39,3210.665,1.08,0.347,0.535,0.416,0.256,DEEMED,RPT00000364,0,7490,44.43,158
2023,PROG0000365,WEATHERIZATION,1202.89,239986,163545.73,558.88,31525.72,1690.572,3.275,0.535,0.736,0.478,0.063,DEEMED,RPT00000365,0,5379,99.89,58
2018,PROG0000366,BUILDING_CONTROLS,2669.16,50857,11854.14,488.1,36644.19,106.31,3.252,1.483,1.038,0.339,0.127,BILLING_ANALYSIS,RPT00000366,0,733,26.77,51
2011,PROG0000367,APPLIANCE,5568.83,149392,212520.43,4924.64,25799.64,908.931,0.92,1.607,0.88,0.051,0.063,EQUIPMENT_TRACKING,RPT00000367,0,899,46.8,46
2013,PROG0000368,HEAT_PUMP,2274.5,61983,237953.66,2555.22,27788.99,4186.636,2.605,2.075,0.879,0.591,0.343,DEEMED,RPT00000368,0,982,66.42,58
2025,PROG0000369,SOLAR_WATER_HEAT,4729.28,213357,16524.81,4209.65,32683.31,188.865,3.262,2.023,1.042,0.092,0.46,INSPECTION,RPT00000369,1,5471,72.89,45
2018,PROG0000370,HEAT_PUMP,847.63,177020,191605.63,3114.8,879.96,1383.201,1.464,1.0,0.448,0.033,0.087,METERED,RPT00000370,1,6037,6.05,141
2013,PROG0000371,OTHER,3691.09,238761,21685.65,4757.41,66933.5,225.254,0.264,1.954,0.787,0.187,0.486,DEEMED,RPT00000371,1,11036,32.86,19
2017,PROG0000372,APPLIANCE,1756.78,61915,80163.01,3767.62,19252.79,1348.341,2.322,1.605,0.557,0.493,0.226,EQUIPMENT_TRACKING,RPT00000372,1,1133,30.2,56
2011,PROG0000373,WEATHERIZATION,6511.23,18459,13305.63,1156.1,9868.99,91.854,3.019,1.719,1.071,0.284,0.049,BILLING_ANALYSIS,RPT00000373,0,1421,57.56,135
2009,PROG0000374,HVAC,4727.67,229935,190045.14,4565.83,65081.85,1074.032,0.799,1.494,0.303,0.566,0.383,DEEMED,RPT00000374,0,7271,83.1,105
2024,PROG0000375,WEATHERIZATION,4072.42,178243,174060.76,2612.4,50419.27,2441.836,2.396,1.163,1.008,0.238,0.443,INSPECTION,RPT00000375,0,10664,50.75,15
2023,PROG0000376,WEATHERIZATION,6458.39,158982,86488.37,4283.35,14699.7,1410.196,1.086,0.486,0.666,0.257,0.447,DEEMED,RPT00000376,0,7543,57.65,173
2024,PROG0000377,APPLIANCE,6672.5,80703,63863.26,1747.84,61220.48,732.185,2.138,2.283,0.637,0.45,0.284,INSPECTION,RPT00000377,1,11599,50.86,22
2009,PROG0000378,LED,2132.09,2569,34971.67,2795.74,76526.78,227.417,2.991,2.362,0.865,0.241,0.198,INSPECTION,RPT00000378,0,4126,38.68,130
2019,PROG0000379,OTHER,4320.78,160586,161847.53,4831.84,22510.95,2146.727,0.632,2.504,0.502,0.434,0.381,EQUIPMENT_TRACKING,RPT00000379,1,605,72.7,151
2011,PROG0000380,APPLIANCE,4455.34,38694,193571.7,4554.36,74291.74,2994.228,2.567,2.835,0.342,0.076,0.333,INSPECTION,RPT00000380,0,9380,44.65,80
2011,PROG0000381,APPLIANCE,3768.99,1492,106371.13,3876.08,37466.39,1663.771,1.412,1.84,0.471,0.181,0.37,EQUIPMENT_TRACKING,RPT00000381,1,5987,92.2,14
2014,PROG0000382,INSULATION,712.42,111258,119222.97,1947.9,10791.23,765.481,0.699,0.463,0.866,0.126,0.25,BILLING_ANALYSIS,RPT00000382,0,5860,82.11,151
2022,PROG0000383,INSULATION,4518.6,69784,66331.8,1664.61,85500.13,353.216,2.991,2.925,0.331,0.207,0.057,EQUIPMENT_TRACKING,RPT00000383,0,5595,27.88,83
2017,PROG0000384,HEAT_PUMP,235.65,179096,142487.92,2669.36,62758.67,1281.109,0.937,0.944,0.364,0.243,0.472,BILLING_ANALYSIS,RPT00000384,0,11489,81.69,23
2024,PROG0000385,BUILDING_CONTROLS,3037.4,193749,61126.64,522.55,32469.71,419.225,0.513,1.69,1.092,0.106,0.294,EQUIPMENT_TRACKING,RPT00000385,1,11475,21.59,71
2021,PROG0000386,HVAC,491.29,184724,176235.52,1365.99,57078.01,1994.152,2.455,1.134,0.617,0.479,0.231,DEEMED,RPT00000386,0,7212,80.32,39
2024,PROG0000387,BUILDING_CONTROLS,7388.85,130716,157265.4,3789.95,83841.37,1745.875,2.014,0.193,0.748,0.038,0.263,DEEMED,RPT00000387,1,1497,28.81,142
2020,PROG0000388,OTHER,4419.28,38465,11179.03,2323.47,65812.71,78.067,1.573,2.131,0.71,0.258,0.261,INSPECTION,RPT00000388,0,2410,60.78,165
2015,PROG0000389,WEATHERIZATION,7271.9,198879,156877.86,3978.52,91783.94,1547.913,3.003,1.725,0.78,0.345,0.103,DEEMED,RPT00000389,0,4885,68.22,89
2012,PROG0000390,LED,161.86,10374,64440.43,200.02,68215.53,578.799,1.067,1.611,0.539,0.532,0.107,BILLING_ANALYSIS,RPT00000390,1,6778,45.65,112
2020,PROG0000391,INSULATION,2688.57,176068,198463.25,4789.79,25975.71,3338.344,2.243,0.127,0.369,0.373,0.001,BILLING_ANALYSIS,RPT00000391,1,11711,95.2,106
2010,PROG0000392,HVAC,6353.22,30552,188624.18,3830.52,30769.41,1332.371,1.345,0.111,0.962,0.024,0.053,EQUIPMENT_TRACKING,RPT00000392,0,10222,26.98,78
2019,PROG0000393,LED,5465.64,110061,166744.6,2390.24,52808.03,1711.623,1.278,2.386,1.057,0.399,0.04,METERED,RPT00000393,0,4446,52.42,24
2011,PROG0000394,APPLIANCE,2664.73,33195,44496.03,4951.48,10889.7,445.739,2.254,1.954,0.452,0.5,0.046,METERED,RPT00000394,0,8693,13.31,85
2017,PROG0000395,HEAT_PUMP,3283.02,174205,206850.45,2828.18,94797.36,2588.465,0.715,0.426,0.715,0.033,0.262,INSPECTION,RPT00000395,0,3389,7.5,9
2014,PROG0000396,HVAC,4665.61,204436,26058.27,1819.21,49605.07,447.227,0.636,2.3,0.752,0.384,0.403,BILLING_ANALYSIS,RPT00000396,0,10284,79.26,102
2016,PROG0000397,INSULATION,7184.76,113154,43889.01,933.74,19767.92,276.527,0.873,1.894,0.366,0.17,0.039,INSPECTION,RPT00000397,1,5329,42.3,53
2013,PROG0000398,WEATHERIZATION,5787.44,132282,226745.86,2318.16,76572.15,3309.027,1.312,0.224,0.719,0.418,0.259,EQUIPMENT_TRACKING,RPT00000398,1,1157,43.76,0
2023,PROG0000399,SOLAR_WATER_HEAT,7056.32,59402,174392.59,2367.04,30555.03,2056.959,0.476,0.392,0.495,0.499,0.495,BILLING_ANALYSIS,RPT00000399,1,290,28.67,52
2025,PROG0000400,BUILDING_CONTROLS,4074.97,162862,7230.6,4523.06,92519.03,64.291,2.886,0.912,0.611,0.102,0.112,EQUIPMENT_TRACKING,RPT00000400,1,11401,37.16,11
2014,PROG0000401,SOLAR_WATER_HEAT,2090.62,21156,2301.71,292.51,965.81,23.731,2.988,0.551,0.404,0.116,0.354,EQUIPMENT_TRACKING,RPT00000401,0,8474,26.25,119
2014,PROG0000402,INDUSTRIAL_PROCESS,7044.4,56835,38035.18,2992.63,71284.29,291.729,2.391,1.996,0.782,0.32,0.167,EQUIPMENT_TRACKING,RPT00000402,0,8805,16.81,4
2015,PROG0000403,INSULATION,7449.88,88097,194965.49,4124.92,90476.41,3443.975,3.133,1.303,0.858,0.412,0.489,DEEMED,RPT00000403,1,5514,18.78,158
2021,PROG0000404,BUILDING_CONTROLS,6016.08,224312,28734.37,2821.68,13208.21,319.265,1.276,2.948,0.597,0.366,0.376,INSPECTION,RPT00000404,0,4357,64.92,86
2013,PROG0000405,OTHER,3021.28,221402,196239.8,2592.76,17003.55,2840.957,1.664,2.198,0.937,0.184,0.234,INSPECTION,RPT00000405,1,5691,20.95,160
2022,PROG0000406,APPLIANCE,1690.89,160237,65790.51,4552.16,93763.52,1074.246,0.525,0.99,0.344,0.024,0.247,DEEMED,RPT00000406,1,300,41.45,18
2009,PROG0000407,BUILDING_CONTROLS,2197.24,177392,33095.78,4400.37,82457.0,381.896,0.574,0.717,0.65,0.534,0.182,METERED,RPT00000407,0,4514,45.49,20
2019,PROG0000408,APPLIANCE,5723.1,40511,137825.4,237.12,46636.35,1432.077,1.341,1.985,1.007,0.529,0.229,BILLING_ANALYSIS,RPT00000408,1,6278,36.02,111
2014,PROG0000409,BUILDING_CONTROLS,4961.7,161241,184429.81,4759.62,89819.45,1131.112,0.388,1.484,0.481,0.509,0.402,DEEMED,RPT00000409,0,434,21.05,112
2025,PROG0000410,WEATHERIZATION,5453.31,50127,74994.6,1204.03,52093.21,935.552,1.789,1.012,0.412,0.357,0.421,METERED,RPT00000410,1,9239,9.17,35
2022,PROG0000411,APPLIANCE,711.01,60563,74848.1,4349.71,51337.48,1107.036,0.422,1.913,0.838,0.151,0.294,INSPECTION,RPT00000411,1,9312,53.34,6
2010,PROG0000412,LED,4593.85,83806,239820.18,41.12,74888.16,1781.879,2.425,2.774,0.654,0.222,0.352,INSPECTION,RPT00000412,0,11536,36.05,39
2009,PROG0000413,HEAT_PUMP,5404.69,153704,155538.69,1885.6,63671.6,1656.0,0.481,2.836,0.333,0.508,0.465,METERED,RPT00000413,0,11892,52.84,7
2012,PROG0000414,LED,5693.54,182977,73150.71,4439.57,25276.2,922.383,0.421,1.385,0.551,0.414,0.283,DEEMED,RPT00000414,1,8420,59.18,72
2022,PROG0000415,SOLAR_WATER_HEAT,6385.48,165931,132253.3,4960.41,1361.13,645.714,2.064,2.627,0.75,0.48,0.03,EQUIPMENT_TRACKING,RPT00000415,0,4398,0.94,80
2021,PROG0000416,WEATHERIZATION,4389.28,84090,26974.7,3697.04,79346.13,153.086,1.969,2.405,0.958,0.028,0.191,EQUIPMENT_TRACKING,RPT00000416,0,397,43.27,64
2024,PROG0000417,HVAC,2662.13,157262,96597.39,2689.14,73388.96,1506.353,2.055,1.383,0.457,0.329,0.078,DEEMED,RPT00000417,0,7387,36.73,29
2021,PROG0000418,BUILDING_CONTROLS,1229.4,194981,27292.04,1158.4,73217.08,126.142,0.926,2.391,0.408,0.334,0.24,DEEMED,RPT00000418,0,3832,0.38,61
2025,PROG0000419,SOLAR_WATER_HEAT,2598.88,135397,180263.39,1441.44,56899.64,643.315,2.718,0.203,0.854,0.04,0.175,DEEMED,RPT00000419,0,3854,60.77,75
2013,PROG0000420,SOLAR_WATER_HEAT,5867.56,217026,198602.93,4365.77,43909.18,655.506,1.667,0.941,0.586,0.25,0.155,INSPECTION,RPT00000420,1,7881,64.72,50
2009,PROG0000421,SOLAR_WATER_HEAT,326.76,232692,118455.04,2824.89,12978.84,1656.863,0.37,0.396,0.384,0.356,0.181,BILLING_ANALYSIS,RPT00000421,0,3181,31.4,34
2015,PROG0000422,HEAT_PUMP,2872.62,88700,203967.33,821.77,14945.43,2434.52,0.755,1.347,0.406,0.227,0.215,INSPECTION,RPT00000422,1,10022,78.53,136
2020,PROG0000423,LED,4413.67,155640,48534.43,598.98,31614.39,373.535,1.967,1.438,0.563,0.597,0.098,INSPECTION,RPT00000423,0,10090,32.92,125
2025,PROG0000424,WEATHERIZATION,6729.63,149648,40583.82,2648.15,79678.55,325.557,2.906,1.442,1.057,0.593,0.262,EQUIPMENT_TRACKING,RPT00000424,0,172,50.31,51
2011,PROG0000425,SOLAR_WATER_HEAT,553.8,245789,161813.05,4236.55,78874.97,2008.56,1.927,0.984,0.5,0.316,0.475,METERED,RPT00000425,0,6250,62.66,64
2019,PROG0000426,INSULATION,2004.44,35775,95388.68,611.51,57898.24,541.722,2.04,2.586,0.398,0.28,0.298,DEEMED,RPT00000426,0,9610,77.21,110
2010,PROG0000427,WEATHERIZATION,6709.7,48478,180351.65,828.21,79559.44,1001.0,1.048,2.581,0.512,0.599,0.194,BILLING_ANALYSIS,RPT00000427,0,5089,42.07,157
2025,PROG0000428,HEAT_PUMP,6446.91,135492,19857.36,4108.58,30044.48,162.018,2.821,1.393,1.042,0.546,0.002,METERED,RPT00000428,0,11216,1.63,30
2017,PROG0000429,SOLAR_WATER_HEAT,967.1,157388,115208.14,1780.5,9041.04,2001.936,0.443,2.692,0.577,0.014,0.259,METERED,RPT00000429,0,10131,99.7,39
2017,PROG0000430,HVAC,2939.37,178586,74492.08,4283.46,5603.15,809.504,0.818,0.118,0.654,0.173,0.241,EQUIPMENT_TRACKING,RPT00000430,1,6667,74.97,105
2013,PROG0000431,INDUSTRIAL_PROCESS,6227.83,249597,182358.32,4145.59,6984.65,1401.461,2.407,2.146,0.814,0.297,0.336,METERED,RPT00000431,0,3175,22.51,148
2025,PROG0000432,HVAC,2653.07,61224,190348.57,51.06,71599.23,3377.437,0.921,0.585,0.489,0.206,0.386,DEEMED,RPT00000432,0,8660,35.04,67
2018,PROG0000433,BUILDING_CONTROLS,4463.22,34989,145640.11,3853.69,10899.96,1041.316,2.717,1.717,0.692,0.159,0.342,METERED,RPT00000433,0,2814,70.72,145
2019,PROG0000434,WEATHERIZATION,6617.74,226938,156866.86,1499.81,7207.99,1299.662,2.053,0.89,0.859,0.179,0.23,DEEMED,RPT00000434,0,10780,28.21,57
2011,PROG0000435,BUILDING_CONTROLS,7257.46,243694,123377.26,3220.64,6668.74,372.302,1.735,0.288,0.967,0.299,0.185,DEEMED,RPT00000435,1,7305,40.07,128
2011,PROG0000436,INSULATION,1153.27,126728,164906.58,744.24,62322.95,1409.434,0.786,2.394,0.72,0.436,0.305,EQUIPMENT_TRACKING,RPT00000436,1,10281,96.11,51
2019,PROG0000437,HVAC,889.59,11692,59185.67,2808.66,86929.4,388.243,2.488,2.067,0.914,0.143,0.279,METERED,RPT00000437,0,8952,37.0,179
2025,PROG0000438,HVAC,6954.09,193778,57735.95,145.04,24710.04,899.015,0.225,2.521,0.421,0.228,0.223,EQUIPMENT_TRACKING,RPT00000438,0,9481,28.69,27
2022,PROG0000439,HVAC,7412.91,196932,60147.11,1477.29,40396.91,259.022,1.518,0.565,0.635,0.325,0.167,METERED,RPT00000439,0,6548,93.85,63
2022,PROG0000440,INDUSTRIAL_PROCESS,6629.51,49210,76829.52,445.79,34824.26,915.361,1.113,1.547,0.921,0.556,0.348,DEEMED,RPT00000440,1,10220,47.16,13
2012,PROG0000441,LED,3302.24,45415,19230.79,2256.59,30464.49,276.814,1.208,0.771,1.039,0.023,0.392,BILLING_ANALYSIS,RPT00000441,0,6770,11.56,51
2011,PROG0000442,WEATHERIZATION,900.92,216255,1188.25,185.34,88138.53,8.888,2.423,2.372,0.647,0.316,0.027,INSPECTION,RPT00000442,0,783,71.31,65
2025,PROG0000443,LED,6456.51,31489,174540.16,4365.77,39288.78,2336.826,2.924,0.277,0.503,0.546,0.162,BILLING_ANALYSIS,RPT00000443,1,11200,83.27,6
2014,PROG0000444,INDUSTRIAL_PROCESS,6796.09,174339,188416.27,3588.3,25833.06,2388.401,1.555,0.983,0.651,0.543,0.257,INSPECTION,RPT00000444,0,11241,71.42,3
2009,PROG0000445,HVAC,6404.72,213134,50587.65,4731.27,57510.56,239.115,1.008,2.02,0.611,0.145,0.129,DEEMED,RPT00000445,1,4254,53.43,44
2017,PROG0000446,WEATHERIZATION,7094.13,143449,127317.43,1045.41,56622.02,2121.593,1.397,0.562,0.859,0.564,0.189,BILLING_ANALYSIS,RPT00000446,0,3777,80.8,45
2013,PROG0000447,WEATHERIZATION,3220.47,75305,33344.58,4517.84,43009.46,234.582,0.617,0.657,0.73,0.023,0.251,METERED,RPT00000447,0,11374,89.57,90
2010,PROG0000448,SOLAR_WATER_HEAT,6522.07,86341,235454.69,346.45,91581.45,2623.841,0.361,1.948,0.538,0.097,0.037,METERED,RPT00000448,0,5184,91.5,159
2011,PROG0000449,HVAC,3235.19,122889,93170.2,135.34,53519.44,394.851,1.057,0.694,0.379,0.076,0.185,EQUIPMENT_TRACKING,RPT00000449,0,10994,39.97,75
2016,PROG0000450,INSULATION,5038.72,232330,86046.63,4098.06,30479.42,1264.493,1.819,2.523,0.76,0.157,0.427,METERED,RPT00000450,1,4878,91.64,7
2011,PROG0000451,LED,1997.91,25714,146873.72,1355.1,72125.93,1500.87,0.884,2.822,0.956,0.169,0.364,EQUIPMENT_TRACKING,RPT00000451,0,1062,4.68,51
2012,PROG0000452,APPLIANCE,7204.85,78301,208478.1,4490.3,60998.04,2917.33,0.267,2.217,0.36,0.498,0.031,INSPECTION,RPT00000452,1,53,97.94,30
2025,PROG0000453,LED,290.08,203829,842.18,2584.76,81521.59,12.11,2.879,0.231,0.792,0.388,0.131,METERED,RPT00000453,1,3598,44.86,54
2023,PROG0000454,APPLIANCE,5679.79,15669,239079.85,3657.51,75483.84,1743.829,0.81,1.195,1.052,0.113,0.108,BILLING_ANALYSIS,RPT00000454,0,6998,47.56,5
2017,PROG0000455,LED,3001.72,16748,4120.95,631.2,73135.58,45.845,1.832,1.894,1.099,0.358,0.008,INSPECTION,RPT00000455,0,5861,19.58,112
2023,PROG0000456,OTHER,5565.09,52752,159591.56,1556.05,1571.18,2630.424,3.434,0.833,0.476,0.022,0.029,METERED,RPT00000456,0,7301,6.73,80
2012,PROG0000457,HVAC,6648.25,29906,72359.9,3793.89,29076.95,1258.901,0.871,1.09,0.304,0.432,0.212,BILLING_ANALYSIS,RPT00000457,1,6752,18.51,164
2019,PROG0000458,WEATHERIZATION,6918.34,68395,21177.18,2753.92,23173.76,259.474,0.491,2.622,0.544,0.311,0.388,METERED,RPT00000458,0,8399,80.01,65
2023,PROG0000459,SOLAR_WATER_HEAT,1240.52,183799,113611.41,3221.93,92685.91,971.025,2.749,1.155,0.969,0.427,0.347,INSPECTION,RPT00000459,0,8443,17.39,97
2015,PROG0000460,HVAC,89.82,37126,186192.33,2948.69,76198.63,602.165,2.317,0.54,0.517,0.168,0.425,BILLING_ANALYSIS,RPT00000460,1,322,47.25,58
2009,PROG0000461,BUILDING_CONTROLS,811.6,179142,59331.34,4329.77,86387.35,424.266,3.003,0.564,0.318,0.162,0.494,DEEMED,RPT00000461,0,1160,20.4,16
2023,PROG0000462,INSULATION,4878.9,233725,196898.74,4853.45,15493.32,1816.904,3.19,2.94,0.73,0.266,0.214,DEEMED,RPT00000462,0,4098,1.6,69
2011,PROG0000463,HEAT_PUMP,2058.68,68276,54281.56,1437.21,43618.55,772.68,3.495,2.298,1.003,0.139,0.063,INSPECTION,RPT00000463,1,3771,74.58,80
2023,PROG0000464,HEAT_PUMP,3272.16,211228,81634.73,313.77,47972.76,1085.79,1.2,2.124,0.644,0.397,0.489,METERED,RPT00000464,0,8243,40.93,60
2025,PROG0000465,WEATHERIZATION,1671.12,192902,186899.03,1789.86,76922.67,1512.544,0.548,2.796,0.72,0.557,0.414,INSPECTION,RPT00000465,0,894,10.98,1
2010,PROG0000466,INSULATION,2602.1,93602,158756.85,2470.46,66598.71,2686.215,2.563,1.814,1.041,0.32,0.291,BILLING_ANALYSIS,RPT00000466,0,11700,83.94,25
2022,PROG0000467,LED,7326.83,3041,200224.97,203.22,40223.3,2807.139,0.53,2.043,1.021,0.024,0.429,INSPECTION,RPT00000467,0,1866,64.74,53
2017,PROG0000468,OTHER,6321.18,101253,19742.62,4475.73,84104.71,107.584,1.284,2.339,0.878,0.454,0.016,BILLING_ANALYSIS,RPT00000468,1,9768,77.35,118
2017,PROG0000469,HVAC,6281.95,167126,192157.44,2398.8,27891.32,2349.8,1.772,2.172,0.7,0.277,0.04,INSPECTION,RPT00000469,0,7277,0.25,103
2013,PROG0000470,INSULATION,6729.76,147346,245826.91,1272.75,77053.11,2747.71,3.074,2.496,0.375,0.516,0.262,DEEMED,RPT00000470,0,3664,30.78,75
2016,PROG0000471,WEATHERIZATION,2039.87,162479,144754.3,1912.05,18384.29,1100.651,2.954,0.348,0.428,0.403,0.484,EQUIPMENT_TRACKING,RPT00000471,0,8231,63.94,73
2023,PROG0000472,LED,4726.95,33026,18554.22,3085.22,89591.72,317.719,2.372,2.831,0.751,0.054,0.29,EQUIPMENT_TRACKING,RPT00000472,0,6487,79.35,19
2024,PROG0000473,APPLIANCE,1067.0,185547,92242.6,4990.22,23932.2,833.349,0.45,2.478,0.389,0.195,0.371,METERED,RPT00000473,0,3008,14.98,58
