gov_budget_budget_fiscal_year,gov_budget_government_unit_id,gov_budget_fund_type_code,gov_budget_revenue_taxes_total,gov_budget_revenue_fees_total,gov_budget_revenue_intergov_total,gov_budget_revenue_charges_services,gov_budget_expenditure_public_safety,gov_budget_expenditure_education,gov_budget_expenditure_health,gov_budget_expenditure_transport,gov_budget_expenditure_housing,gov_budget_expenditure_general_gov,gov_budget_capital_outlay_total,gov_budget_debt_service_total,gov_budget_pension_contribution_total,gov_budget_rainy_day_fund_balance,gov_budget_general_fund_balance,gov_budget_audit_opinion_code,gov_budget_cash_flow_stress_index
2019,GOV0000259,ENTERPRISE,152811371692.28,11951150506.04,45840924145.83,20350397598.79,47188070928.26,6797737043.62,29143016106.83,11264204723.86,17080277404.18,2813260316.17,20812259292.21,541588390.57,21324047223.78,9220890020.97,32230802104.29,UNQUALIFIED,0.0764
2014,GOV0000260,DEBT_SERVICE,213982250268.26,5893450226.78,112472226244.18,1830772664.09,75793167120.01,6888953657.9,42569373867.57,7439321556.0,5227242460.97,50632952180.84,62751884017.9,18973089162.31,23563329810.67,30026037782.02,24936546525.71,QUALIFIED,0.091
2013,GOV0000261,CAPITAL,147304763450.27,15609079069.62,53551884869.24,3220746253.66,46119202022.32,40911887687.97,140768163392.16,35895352204.96,34307191427.12,21325405912.97,525290697.19,27926923133.74,18353643670.19,231416735.41,50892044952.83,QUALIFIED,0.2718
2025,GOV0000262,HEALTH,177691344077.07,3420370609.47,119357000783.44,12980059978.95,19767843546.1,96009152228.89,80435411097.15,45452454734.89,34168961372.14,45594706116.25,11974855926.67,4111665284.93,11878193165.15,38907003177.4,37936923911.99,UNQUALIFIED,0.6301
2008,GOV0000263,TRANSPORT,44048439155.43,42853628074.15,10046454674.88,19572248851.55,72558743390.23,6876134926.67,61422098417.05,49855246827.61,35368218991.23,39511944807.42,39105237128.8,34665004759.18,16605996847.57,20911121617.38,46144116187.25,QUALIFIED,0.8343
2019,GOV0000264,EDUCATION,21418891486.92,3841477997.01,79548981731.23,34524202558.69,887098014.61,138970818817.05,122764490933.52,7360491141.41,29302352494.13,13184808748.6,62388378465.87,25351030753.13,773941344.75,27571314536.35,38985813534.11,UNQUALIFIED,0.452
2019,GOV0000265,HEALTH,210419502862.49,41458330349.48,99725803389.85,20093043428.43,41017947111.22,27555006406.59,8384323681.51,47528613960.64,25235211777.33,43285068492.7,10295331882.45,2026038266.99,16359342987.3,28582462111.27,20036340494.22,UNQUALIFIED,0.9697
2008,GOV0000266,SPECIAL_REVENUE,233431396649.16,28301183268.94,50584200812.94,33929867834.91,14077189089.16,117138344293.57,24430214147.86,33896158688.58,31891892674.68,25383587995.95,50539388446.56,3052012874.39,13612454192.78,33850357192.33,41988854514.65,DISCLAIMER,0.9663
2008,GOV0000267,DEBT_SERVICE,62150791055.04,31394825363.95,80488553810.88,20025169448.01,45056469413.92,8026100056.2,102432476371.56,16537981746.43,35856586459.01,8079081317.4,33945804060.2,23706395323.36,4800863720.27,26897452096.24,41352382553.37,QUALIFIED,0.8666
2016,GOV0000268,CAPITAL,239908270262.92,23693212228.22,72296310611.71,26013603183.77,52510035200.84,137923110855.38,76141031056.94,29125490200.94,6904194123.96,48284341574.62,6923521075.3,6604906364.72,9538998067.48,10984575385.5,35848482960.06,UNQUALIFIED,0.95
2018,GOV0000269,CAPITAL,226977224987.59,14861280956.26,117017212312.11,18515499253.45,24468632875.8,103320427318.98,13583305516.39,36394831930.31,19424274278.45,47526519229.76,12561399233.31,6114362046.89,128273770.88,3773649787.34,29206489705.4,UNQUALIFIED,0.2531
2020,GOV0000270,SPECIAL_REVENUE,36353274162.58,9304546606.86,61068827482.34,5248622831.51,3449870314.51,9912234337.54,10902621324.62,9568243831.83,12707381983.13,4727779144.22,49741902818.33,13676847303.98,2384747595.82,35360587192.89,11971985950.11,UNQUALIFIED,0.8927
2015,GOV0000271,DEBT_SERVICE,73245276383.36,19152103938.59,64700427512.75,26294619680.74,52675226591.19,75267058703.05,98391704191.21,37595166682.39,13544421520.32,48781877710.78,30357151601.36,34209215052.73,17931508023.23,31343705096.91,3041957697.5,UNQUALIFIED,0.8676
2017,GOV0000272,EDUCATION,153954903762.64,43679286922.09,66733714656.5,22156754611.2,71938516939.37,68017743509.48,104604357585.73,56650684546.38,35152738727.37,53029054193.21,29397281388.22,3764919764.88,24030138454.04,29727831182.55,69005687640.68,UNQUALIFIED,0.2443
2013,GOV0000273,ENTERPRISE,123141008910.28,8181850847.9,5418040488.17,8678975584.42,5513777575.3,40353845325.81,66564141026.07,17309013781.62,12230846043.22,52344817015.96,31946005652.31,20942162581.14,11783699032.69,13123114546.75,63228214338.04,UNQUALIFIED,0.8387
2009,GOV0000274,TRANSPORT,228643180412.85,30170636699.9,61375642258.18,3001081609.11,37891003619.36,134601727563.29,22671717912.23,14847331006.41,36273003244.74,52356471486.27,43221702057.82,14413308785.62,21990909195.71,1362309297.01,1423385131.51,UNQUALIFIED,0.2093
2015,GOV0000275,CAPITAL,75500039019.16,30587952706.35,74232419459.53,19900331797.06,52300695891.24,135246316749.83,72198772628.16,29450422876.72,21884682448.47,40606516849.6,41003000159.38,29832617992.3,18007260561.43,11919411636.96,52717998309.0,DISCLAIMER,0.0461
2013,GOV0000276,CAPITAL,148253146860.46,22443490442.88,117016998258.81,26291413047.25,35978486671.46,25548019825.6,126081660264.81,35317090965.48,18595122104.53,20439105817.44,38337547039.42,607129028.31,4121678102.08,18712665172.47,1928546623.32,UNQUALIFIED,0.5131
2012,GOV0000277,GENERAL,131243642688.98,22474350348.06,53323985016.95,31537557952.99,44903284625.04,20200873440.81,116518755206.0,34460397410.43,31888029417.04,23001676167.51,29685030815.18,18895005179.81,4358236586.63,37515228013.11,57256746976.25,QUALIFIED,0.4296
2016,GOV0000278,HEALTH,45953512308.97,18637408089.89,58190214331.96,14589192040.44,72794403014.16,115666379828.63,123169986990.6,57573149156.75,29502189827.37,19766911519.38,52338448914.14,3719357787.78,1105349684.78,36364396394.48,53328066983.0,UNQUALIFIED,0.6842
2020,GOV0000279,HEALTH,161736536841.69,29605075216.59,53117190238.3,32052273298.11,64008854618.24,80234040325.93,98887374985.57,48915532865.48,38923188515.57,54662838422.54,26872210090.51,2952651190.13,7754854232.0,20145748264.13,16243205460.79,UNQUALIFIED,0.8694
2023,GOV0000280,CAPITAL,109953107717.07,25430588110.08,10397841285.53,5464985074.9,3978784551.32,106057069844.13,103206024596.17,27452333210.32,34642043441.55,39495262715.57,9463505395.67,33280125127.61,23889389373.87,20822882492.14,9456156596.82,UNQUALIFIED,0.4742
2022,GOV0000281,CAPITAL,130827394600.34,14316749033.67,71611438907.87,6916666443.24,59649939699.52,107576655508.86,3806623093.09,56240279355.14,1523575901.68,4256267516.84,41560751668.16,27794214315.93,24813360320.13,28228264052.32,25405906913.26,QUALIFIED,0.7768
2024,GOV0000282,DEBT_SERVICE,127440739385.42,37932321800.55,32501098194.69,5514199484.32,73196186658.47,114910129021.31,146986127017.23,57502347906.16,31599661255.71,43863855451.06,52940367891.99,1080246795.1,20502844030.52,25435268073.13,21514115924.89,UNQUALIFIED,0.6247
2021,GOV0000283,EDUCATION,53307257816.75,12283838999.02,70673214603.24,9354330924.21,24520829482.06,21884216017.05,112204846366.72,25507198547.99,10793968174.29,54065366982.57,6734973594.87,21939328604.14,20017551073.82,16741724212.09,35228130425.37,UNQUALIFIED,0.6145
2008,GOV0000284,SPECIAL_REVENUE,40373264088.81,25886323835.51,93994424347.58,8661114015.32,15220504077.81,14871059583.14,26229769163.92,49034599898.44,25487907427.64,11388476969.16,54609175145.82,5929021193.62,18156567906.2,4118163234.4,16052846487.39,UNQUALIFIED,0.0517
2020,GOV0000285,CAPITAL,148094804667.94,43163708410.32,46595036256.29,31298730408.61,71851472912.29,139906720293.79,147415710848.59,3741113782.19,377621117.5,54375885434.64,15726583542.59,19329811652.45,4741963549.75,12552616743.65,57280587629.41,QUALIFIED,0.1571
2021,GOV0000286,GENERAL,74931468030.35,21413836657.94,102894559189.49,15479419107.81,51428306414.43,137968586823.0,138775873096.79,7524553652.83,422154742.0,26486403926.0,6451853092.58,11202196767.01,19938903355.89,25080075280.41,-2667776070.68,DISCLAIMER,0.2336
2015,GOV0000287,EDUCATION,40712395362.73,37000367560.64,65267637745.85,4022279293.11,9589494664.86,3867504716.37,139009736329.21,33612677168.14,17840128518.05,51673228116.03,27036240735.9,16385122810.83,13514533640.96,28713799278.78,67665884757.76,UNQUALIFIED,0.9453
2013,GOV0000288,EDUCATION,105487212552.64,28398801232.79,39471323666.81,8014650127.75,57108497851.88,114158836649.57,2149212124.12,790317417.14,16251288025.02,40551948496.07,47362977791.55,5808879652.72,13297422623.13,8945532130.64,56850639551.3,UNQUALIFIED,0.6142
2014,GOV0000289,SPECIAL_REVENUE,126787609346.75,11147515109.82,14882558964.98,14902984126.95,72091989706.92,24988302995.65,36193737118.28,1042511868.76,29983209047.96,30709884954.06,30285789910.16,20305289431.21,11016509859.22,7185593082.15,11547432613.78,UNQUALIFIED,0.6238
2012,GOV0000290,DEBT_SERVICE,122873461326.49,4622679941.98,102996994835.98,32205993666.68,25733283771.31,62811491829.86,157510809341.68,383838544.42,26930585318.99,30279684990.29,1218267369.12,8881967179.97,11868481831.95,24680802242.3,18783100683.85,UNQUALIFIED,0.5094
2018,GOV0000291,EDUCATION,137146968858.1,8160063860.18,112802317883.82,3055762021.44,16507313673.69,129588128570.13,40124415584.44,4839864374.48,6885325047.46,33713767864.57,57741538298.58,15978151407.69,265922096.99,3994471091.64,-3788623430.1,UNQUALIFIED,0.8311
2010,GOV0000292,DEBT_SERVICE,8062551658.39,41620795897.11,35705973010.17,26143971726.8,73815896783.25,116841154266.06,84720816485.76,46364270697.7,291290078.17,10298609410.52,56702642027.43,15821125591.58,22288654138.31,11181021199.58,47554440690.54,UNQUALIFIED,0.3361
2016,GOV0000293,CAPITAL,205732915936.76,3863795709.58,32615739982.47,20197243730.56,32949563783.44,54043353736.56,141879032447.24,8648822118.83,15244388845.49,5064798510.17,52178303890.51,24497924926.37,8085441470.35,29785679260.27,4610787931.67,UNQUALIFIED,0.8779
2016,GOV0000294,ENTERPRISE,204352153438.51,39509918197.58,97546094660.56,28461762311.66,18047359516.36,22552306644.32,56337045878.52,11873895358.13,1380898339.49,15156770055.48,24032569503.14,14326609557.2,4349886938.97,873375221.33,17122461338.68,UNQUALIFIED,0.0913
2014,GOV0000295,HEALTH,160267056750.37,2370083380.58,435141956.6,20474785832.88,50526242642.51,138545095219.53,6845856545.65,32278572932.41,29269498697.65,52570167794.71,31176356485.5,3860499982.6,18530496688.58,9579775581.53,30902000341.16,QUALIFIED,0.2477
2024,GOV0000296,CAPITAL,47322927347.71,38230605253.88,111461606849.48,12782073722.37,40018734637.96,62143821738.92,157899953120.0,5596711690.84,11243442607.45,9479305977.33,7867557841.19,6213056544.94,19459350375.11,10723710491.93,25846722576.29,UNQUALIFIED,0.7177
2013,GOV0000297,CAPITAL,47221109372.96,26958540224.38,59269737702.11,23016133795.89,44435818967.34,91419489919.23,107323091452.02,44439588421.25,5253527080.65,4620205931.84,1794119035.16,863443444.76,9403274409.77,22989122595.54,49439653877.0,UNQUALIFIED,0.2725
2013,GOV0000298,EDUCATION,40540385000.98,28611053844.29,34069400406.66,29351477981.01,6439110574.5,76410985315.41,56491106371.74,40651628094.6,6722729803.92,19018529690.24,6805923145.81,5026079595.57,15804501931.17,10316870655.49,24314754633.27,UNQUALIFIED,0.6037
2011,GOV0000299,SPECIAL_REVENUE,72115104551.48,5984337274.9,56275655487.02,3466752250.0,12599359591.8,78210154603.62,145330399659.53,39670896487.78,956214946.91,24351831350.14,14289140308.77,6373477603.59,11824559628.42,6084734565.41,15855759786.72,UNQUALIFIED,0.0389
2025,GOV0000300,HEALTH,32948132526.17,5268365295.88,69592706639.19,13743408081.85,19259350213.49,46242176118.09,74771810961.64,32659582544.57,21712730115.88,50560359878.12,14334931866.66,29782208328.21,22268527765.93,28443965841.15,908224403.71,UNQUALIFIED,0.331
2022,GOV0000301,GENERAL,206446134670.38,11590689636.71,115023980752.41,30258411723.38,50570152375.72,43304658431.8,18016220443.35,3285922235.23,15834935096.08,41279487984.48,33238772745.18,1816209207.37,8368195356.84,36701255627.34,11480123298.45,QUALIFIED,0.8711
2012,GOV0000302,SPECIAL_REVENUE,175429684235.94,41132231105.55,31872192111.35,30131898075.08,45646791818.81,117828726737.5,109530880186.46,15026960821.59,25048797799.7,30754152141.31,35226445133.4,750544675.32,4382743328.96,1702439868.2,15245078766.01,UNQUALIFIED,0.8781
2014,GOV0000303,CAPITAL,57009250517.12,11460350747.93,68973478955.42,10700890889.83,70696947069.74,22492595995.62,97970795618.91,57796554878.17,7543190928.96,1876320256.59,49400442420.07,22159598250.47,15417551059.62,6277918434.46,52614461526.18,UNQUALIFIED,0.3661
2016,GOV0000304,DEBT_SERVICE,161404404848.14,20521822840.18,107680649834.85,31154558742.66,6767974197.39,45009795270.23,107289814406.08,56407552835.0,5861833639.31,32656053230.63,51896982280.66,12288571070.34,13578499842.67,37988953057.75,42684130867.25,UNQUALIFIED,0.9761
2023,GOV0000305,CAPITAL,59668130592.32,39845186318.89,19679356246.55,32321355373.61,28099736594.21,101682502787.08,145965166941.38,55037542322.77,36454629576.99,16228423599.35,38216468499.01,22665529570.64,8159380312.55,38872119256.58,17111079597.28,ADVERSE,0.4729
2010,GOV0000306,ENTERPRISE,202390999441.31,17940004954.14,24812597572.97,10073840255.15,60329849479.73,91741719924.68,112528308312.17,44867243602.96,3697286968.05,15265422745.33,39340778610.3,30021385730.08,19449127598.02,35231675737.91,50229071562.44,UNQUALIFIED,0.2621
2009,GOV0000307,TRANSPORT,139259545278.58,16989770394.83,3859570774.99,24272603872.3,14188916066.77,795123030.96,146194656476.35,53449109589.42,39324009401.29,41959415760.88,58823687070.65,25049753126.77,15083569738.22,12502801387.4,-2429570677.04,UNQUALIFIED,0.8677
2016,GOV0000308,EDUCATION,177955203756.89,37537905386.35,97912422109.95,31217012971.98,16129735887.45,108944303508.41,133220814963.39,35844074447.43,14953153986.88,1286891081.84,12960574404.05,18695036883.45,7908922856.38,210902256.17,11517348308.61,UNQUALIFIED,0.1998
2013,GOV0000309,EDUCATION,135881874820.18,28944037468.52,100958314581.18,29474298764.82,79872259478.26,131181799139.12,130429205558.05,6703730663.84,29038670425.67,53996514147.06,47438474572.19,32237829638.5,20280871562.46,35050097712.05,69558771913.13,UNQUALIFIED,0.5341
2012,GOV0000310,EDUCATION,65857628232.96,9264730462.54,24063844608.93,7314840804.27,57392170462.6,13764030071.68,78546951239.78,30668547799.49,23804076269.74,53363585896.61,21836827041.51,34628964393.74,2343309105.86,23024922663.23,31879647851.86,UNQUALIFIED,0.1578
2013,GOV0000311,HEALTH,162495310297.18,13267153828.12,98562270143.26,1077029803.6,7558010004.46,116883536720.91,129360856658.23,32273330185.56,16873180139.89,27112518972.24,530211081.3,27014594987.47,17672853497.93,38980353568.63,48435723934.5,UNQUALIFIED,0.7992
2016,GOV0000312,ENTERPRISE,199541342511.01,5327363730.32,107698074023.14,18234904582.71,68825904927.7,14248030105.8,11449447491.01,8422844565.05,19630480622.23,40188642611.97,38959365583.12,1399884140.02,3474235756.14,24749981067.98,7764639194.57,DISCLAIMER,0.578
2017,GOV0000313,EDUCATION,53080820805.22,18824841872.18,70932826611.02,16616529404.92,42790628991.31,74223326311.08,21722954154.43,6508856567.22,4478781386.92,50588498847.32,32537060323.49,30478622629.83,20552786760.82,18039996382.04,28284315460.14,UNQUALIFIED,0.3554
2019,GOV0000314,SPECIAL_REVENUE,41786918423.56,8121661174.69,101994156859.39,33426580553.09,39161364853.2,126109238467.22,29826054357.03,47128050683.61,29232414397.99,40908341045.1,21397431609.38,34407674580.09,24853904779.09,23866011169.72,11875743497.45,UNQUALIFIED,0.2951
2009,GOV0000315,ENTERPRISE,185434442481.83,16250923246.06,101617956919.52,18821695388.61,15039493420.46,188085434.04,159234947821.93,33970569452.69,20024978148.22,15779094550.7,37076031771.4,10333227656.77,4458732563.39,20601813847.15,63875797565.45,UNQUALIFIED,0.3937
2018,GOV0000316,TRANSPORT,52281166400.5,966194602.38,115258799623.55,15837111279.4,48536403658.16,132875161885.82,126658303743.85,7285453653.96,28550478151.96,46866825156.66,58665594452.02,17626892537.84,21571266897.03,31847428604.16,26607353064.97,UNQUALIFIED,0.8822
2021,GOV0000317,ENTERPRISE,224941329015.69,7819012714.59,60122323256.87,27916027712.3,8224894904.07,85535741841.3,13373933777.23,5538721545.29,25510448269.85,47098962632.9,15313772874.21,8289181378.38,5865371129.25,7185818638.73,67504962087.37,QUALIFIED,0.7053
2021,GOV0000318,SPECIAL_REVENUE,183966541617.3,6421190178.75,59505111674.78,3144713121.21,47630052992.78,121369105631.49,43691586513.7,43688213928.59,25171988290.04,12573242090.16,29670771924.77,2858505512.63,13512399730.81,5135673373.5,2926681755.52,UNQUALIFIED,0.9168
2008,GOV0000319,ENTERPRISE,61819062206.85,44176760439.85,77305290707.74,20521853828.38,40917938496.97,104665928749.33,117692584215.83,54000350875.39,14862300367.4,26069970326.8,50082276751.37,2841525875.61,18459721097.37,31061045090.29,122329818.42,UNQUALIFIED,0.5575
2019,GOV0000320,ENTERPRISE,200179410115.75,30315237331.64,36792314408.53,26868508954.06,1876290831.73,107406874587.3,52859033430.73,58241098029.08,22723213817.39,48491076443.4,58500387653.58,24487204506.06,13410482065.27,29241531664.6,584715112.53,DISCLAIMER,0.5145
2014,GOV0000321,CAPITAL,107776277392.96,2758775431.48,6835315289.52,33178357074.94,77946917532.83,129720222683.72,29540291544.58,46807413810.71,33072969330.75,2704974137.23,48580193880.83,22803457108.11,24766171735.38,37661229215.55,36214544739.54,UNQUALIFIED,0.1438
2021,GOV0000322,EDUCATION,53370048429.07,27907098437.21,95858146081.68,24626517080.11,18684341204.65,87950596022.65,138528658658.25,6005879930.28,7115528894.26,3979416361.01,28531820484.31,2660122519.39,21795990225.01,24256227117.49,36137132243.79,ADVERSE,0.5901
2016,GOV0000323,ENTERPRISE,44228103036.93,741225760.73,41713122763.29,9900792304.65,4426932123.13,33752273125.4,1972261358.64,15770853222.27,20827245035.59,54494242042.95,53373688333.46,3896210204.13,11282292161.14,34683253447.18,30460950983.78,UNQUALIFIED,0.3533
2020,GOV0000324,SPECIAL_REVENUE,234462726385.36,32855713231.84,103141457301.72,20841447519.46,15708512106.66,80029497019.58,56179949042.5,19720626356.71,17150616460.15,53967866363.32,17763013163.9,23267084819.45,3612562659.55,34229199783.61,48691838284.6,DISCLAIMER,0.7134
2025,GOV0000325,ENTERPRISE,69932645426.9,15105013344.08,92691338474.6,9430903412.17,39510060725.63,6366114421.83,94875540362.35,40762292015.88,29504282458.53,3683841758.51,60279747763.58,28682401554.3,15703157462.04,28571897310.88,54564556633.7,UNQUALIFIED,0.2745
2024,GOV0000326,CAPITAL,185344601391.65,20337011238.42,75298580207.82,13093722913.76,61936538119.97,123269180242.8,55487890532.49,45721555829.76,5614175973.05,17738909846.68,12660576083.87,27425004965.62,12547550850.47,9170212100.97,54801335765.88,UNQUALIFIED,0.7152
2016,GOV0000327,EDUCATION,42908768329.66,7684404974.95,109903897372.21,32571587206.45,39269517932.77,106805379658.19,107958899900.34,52842286779.24,13462502680.15,37124962861.29,10097876612.32,30474791657.68,15034699272.05,900409974.62,24567165852.15,UNQUALIFIED,0.3332
2021,GOV0000328,HEALTH,130537469461.04,2082518885.7,111925515198.54,21862872083.74,9909020216.93,127274423311.07,110082188913.14,21724735668.08,29026163956.24,36255012126.44,53915545902.52,24725672342.67,17095193286.94,16148683206.71,29593855127.04,UNQUALIFIED,0.8929
2014,GOV0000329,CAPITAL,209503301752.18,8223795054.74,74035967167.39,31776443552.61,28161733401.47,104869404687.81,48092798096.42,31360436103.34,34741965527.57,15066592790.15,49565333613.17,17187588376.17,9540688311.64,10821603522.78,13634980658.76,UNQUALIFIED,0.4417
2024,GOV0000330,SPECIAL_REVENUE,87244670507.04,13581470642.3,57154728630.38,20634363277.54,38463309326.99,52106176823.54,16112527319.23,59517898993.2,34120759916.62,14318288722.02,13810716152.52,11491338135.43,18580341141.9,35242392469.71,62340659679.46,UNQUALIFIED,0.4815
2010,GOV0000331,HEALTH,218007958106.79,27024361357.77,37409862373.47,10968710271.13,10044413326.42,4955053553.62,48618381679.8,47339502634.69,18165717059.41,45853826358.11,6754281085.72,34923311547.97,7136999898.09,30685430947.89,7159676686.21,QUALIFIED,0.1832
2011,GOV0000332,CAPITAL,195899350909.72,30697503751.54,3282133998.73,26946232628.92,74855694726.44,39085011175.63,156039159783.38,21964431616.34,7279675438.14,54280407178.35,10563066418.39,19128292660.05,14876567622.22,38559243577.03,66425762859.5,UNQUALIFIED,0.9151
2015,GOV0000333,GENERAL,131644139846.54,22621475901.85,7556479791.03,26316205677.9,50499911925.66,10913877344.78,152494730634.26,44877465852.08,11460071191.76,16450677365.4,45735169994.67,26186929836.85,1756356593.81,15761079959.99,52920010538.55,QUALIFIED,0.6098
2020,GOV0000334,GENERAL,89308409436.41,3099213525.58,4106278416.95,20356132053.11,50372853289.93,64655933573.0,57994225134.35,2442188442.66,23997664898.75,43050397246.53,20697247147.7,10430057298.08,9633162920.34,5412418362.97,16486222150.86,UNQUALIFIED,0.6643
2013,GOV0000335,ENTERPRISE,179299599015.17,44403772911.36,37304506824.99,14872013155.66,2127898389.47,31805530388.72,113047608816.87,35464288189.47,8088595931.91,18859443914.33,18905345586.88,23717303144.76,10568720252.05,11387494879.72,7642431979.86,UNQUALIFIED,0.8052
2008,GOV0000336,CAPITAL,201424527001.69,17708820253.22,26291263653.45,10824470037.03,79316207594.81,67862309634.92,159966528127.43,56172249445.32,11377552558.24,16031181469.41,36005139759.44,9954540181.35,22820301100.99,37024866336.82,62251564550.02,UNQUALIFIED,0.4145
2013,GOV0000337,DEBT_SERVICE,134967664227.14,19576291883.37,42984705379.63,26996802979.41,2788684276.18,129135932777.57,60887181349.16,19668221213.31,14077671720.65,28921214633.37,6970821687.11,14035697337.71,24131380211.53,16410126212.01,49794199084.15,UNQUALIFIED,0.7938
2012,GOV0000338,TRANSPORT,89660144479.94,6779084892.28,45355439799.71,33636373254.85,72938353363.44,83365559838.34,148068280429.39,464405707.65,27843942930.61,4835400703.27,26494761988.59,14194436742.29,24036153353.15,37226939162.54,53798616703.23,UNQUALIFIED,0.9734
2022,GOV0000339,TRANSPORT,219880513859.99,42032897172.0,25409188264.27,12109456956.62,53761551517.31,119450504286.29,12867036632.76,34447813063.95,33660869378.93,34493373331.09,54446693616.81,33619407565.3,24289477031.12,34398150642.53,41999334056.27,UNQUALIFIED,0.8936
2018,GOV0000340,ENTERPRISE,190476514186.9,43089399977.5,92618469878.74,285073482.76,77996424834.8,120940476524.2,135644487482.86,40844006964.89,11995571650.98,22446546971.83,34742214102.43,19869697831.26,7773710439.3,29858277507.12,56389889710.13,UNQUALIFIED,0.9586
2021,GOV0000341,SPECIAL_REVENUE,75755120682.02,32582466346.62,75971592648.24,2601321607.59,36352638293.72,126747134102.6,125570309913.87,14792198484.73,24036197641.56,12868379040.38,43143945089.61,29197016202.54,5296694191.58,19015669568.79,13074759126.35,UNQUALIFIED,0.9217
2020,GOV0000342,HEALTH,14804083296.09,17718259873.25,4495377697.3,25581647755.82,73175945213.96,21906226247.0,2123995724.31,49875554466.58,10161214325.76,51201089387.99,44850791791.82,30078759563.07,21677599156.06,22841996255.85,28032871486.27,DISCLAIMER,0.1823
2009,GOV0000343,EDUCATION,61688224053.2,15594026843.14,62470970237.21,7306082779.78,42180019203.49,70137337991.99,81977551568.41,3241993266.83,10320832251.14,23311457295.11,53725775375.91,6159228564.55,19937882839.53,23668872111.48,26383753162.38,UNQUALIFIED,0.9315
2021,GOV0000344,GENERAL,187337296733.41,38083073595.98,26774870769.66,3927873806.31,58533502289.75,69168782871.06,35618812840.5,853135507.43,37187303541.65,36120057333.15,44274376259.95,22732341329.37,9067647881.88,11945869192.82,41099291825.03,UNQUALIFIED,0.745
2021,GOV0000345,SPECIAL_REVENUE,249349424112.26,33693262456.64,99525422480.78,17255337546.61,7701212231.8,83788607199.98,644949394.39,49540670273.01,21489221286.46,2200706267.13,28232483912.15,9279870459.59,10005385400.59,34548464376.82,57225142733.0,UNQUALIFIED,0.144
2018,GOV0000346,SPECIAL_REVENUE,50084406645.57,19600828459.41,30793792328.93,5730475633.03,23409368590.17,50604606426.93,92719821437.21,34190830611.98,7901437165.7,19050795630.78,33818105268.23,3288614622.81,1945937857.34,21570238941.47,12973163782.79,QUALIFIED,0.9907
2019,GOV0000347,SPECIAL_REVENUE,229918018425.61,30573214149.61,69273509868.64,11522263447.78,33148187924.01,90544246555.34,115605734137.62,46296927547.24,27920161885.79,13624249196.21,21360021433.39,34082332314.28,18562270339.39,30899531811.29,25193468963.22,DISCLAIMER,0.5352
2016,GOV0000348,SPECIAL_REVENUE,154806736824.78,17140648464.64,9064395561.81,30450412183.12,73299547702.88,8282835090.86,36254538436.66,8567149817.41,18516736604.43,40099085955.11,9874625346.49,14360995630.24,18773809163.15,39641055366.37,47802211801.58,QUALIFIED,0.5582
2025,GOV0000349,GENERAL,172687666400.9,7388881584.95,74498079759.51,11727320992.68,51363032927.36,111077621309.63,79792702740.03,27547436140.17,37900682134.98,4287306791.28,42629215515.14,22966552139.17,19402126511.64,12854736018.42,28308105025.03,UNQUALIFIED,0.4346
2021,GOV0000350,HEALTH,71085950583.28,39547738657.06,36931176364.4,11402061356.54,14781838157.92,21472736753.84,27554953369.3,41036804772.49,10107253576.11,48002288405.8,1823323939.58,27321988425.28,12481596974.1,5075574828.93,43561702339.83,UNQUALIFIED,0.6946
2021,GOV0000351,SPECIAL_REVENUE,164282307353.49,6573520395.05,117905143980.3,26110628278.96,15626415607.16,2659717938.68,106451957706.68,55841023893.95,815796941.06,39923884286.11,997655015.88,19799802630.29,15387983069.26,27014748796.08,2271524163.0,DISCLAIMER,0.6235
2021,GOV0000352,DEBT_SERVICE,189012552197.87,2126381330.03,81619475953.73,21999817118.52,77620806642.44,89624099160.31,129676503138.8,58234455303.36,33079546511.83,27051777437.64,52061006481.65,18821658552.14,357676889.63,5651516615.53,17748909595.04,UNQUALIFIED,0.5674
2020,GOV0000353,CAPITAL,43827696846.21,27411366037.74,81921486574.88,28914263270.91,16465262740.24,33312798935.45,80868056859.42,33838579814.91,11115004011.25,4790121194.07,25366335041.99,16762273266.62,22689218421.98,38193891446.98,30778191241.37,UNQUALIFIED,0.4245
2011,GOV0000354,CAPITAL,151273014526.55,24537263199.99,38471098271.2,6720119855.74,44525590786.77,16815720864.87,99958369522.43,34068799421.87,3575934218.64,5699985227.67,1193865813.79,29214466619.06,16262056278.83,18528417512.4,42466613853.21,UNQUALIFIED,0.1953
2025,GOV0000355,HEALTH,204677930081.72,44315471463.58,40832269538.7,20798358042.67,35537032923.48,118540854386.75,137383800531.01,19722889235.22,10554874826.45,37735345335.75,31073086365.61,17707143164.47,15404477004.97,20539231814.48,54707078645.07,UNQUALIFIED,0.9534
2020,GOV0000356,ENTERPRISE,1244787086.11,10669689282.36,94992144581.35,22369166121.05,48400514486.64,81133035531.15,44957154341.68,30354842440.55,16692447590.05,33926742330.7,59713813192.51,20373782681.37,3764578003.97,22199481933.35,32024700027.75,UNQUALIFIED,0.4186
2020,GOV0000357,SPECIAL_REVENUE,147116679818.94,35060810923.27,100182822435.92,17943780778.09,22515637479.2,20681246294.05,97979061637.0,48411737115.5,19002808894.13,21293751046.97,57464549038.14,34357460583.81,8349051801.26,11067122825.82,-1290518719.05,UNQUALIFIED,0.3804
