biz_dyn_reference_year,biz_dyn_firm_id_hash,biz_dyn_establishment_id_hash,biz_dyn_firm_age_years,biz_dyn_firm_size_employment_class,biz_dyn_industry_naics_6,biz_dyn_births_establishments_count,biz_dyn_deaths_establishments_count,biz_dyn_job_creation_births,biz_dyn_job_destruction_deaths,biz_dyn_expansion_jobs,biz_dyn_contraction_jobs,biz_dyn_turnover_rate_pct,biz_dyn_survival_rate_1yr,biz_dyn_survival_rate_5yr,biz_dyn_high_growth_firm_flag,biz_dyn_multi_state_operation_flag,biz_dyn_ownership_structure_code,biz_dyn_productivity_sales_per_worker,biz_dyn_confidentiality_suppression_flag
2016,4d345ef34c6e6d9d,6364e2a7511eaa4c,25,1_4,770266,2074,3905,6930,6792,22921,6705,45.928,98.77,72.51,0,0,COOP,169483.35,0
2006,f9ecb6d21899f1cb,37be5e0860d00c01,58,50_99,117799,2825,1676,11168,8053,28752,34295,195.454,87.47,32.48,0,1,PARTNERSHIP,691170.99,0
2016,fe4adc1522e0fde9,c9ca8292b334315b,88,20_49,790806,136,490,1120,4715,26068,29528,194.33,79.84,42.89,0,0,LLC,375832.46,0
2008,584b4ca919806b7d,856189c235ade5b3,80,10_19,986779,1910,4880,21149,18194,45372,29933,86.957,68.33,19.91,1,1,LLC,1854604.38,0
2018,5a38cb63759a874e,07255c2825c3ceab,25,50_99,186690,679,2478,13018,20841,6749,31096,124.003,30.22,6.03,0,1,NONPROFIT,86980.2,0
2018,01b7ed0a38f10fbd,9e4172a118850ddb,58,100_249,510686,3931,3132,19664,5838,28605,16414,161.416,47.04,28.5,1,0,NONPROFIT,1127174.54,0
2022,3179614ed0ca2a43,423aa66691fc3550,55,1_4,193938,4134,181,18406,17367,46032,27195,121.042,22.61,17.39,0,1,OTHER,1233615.88,0
2017,a9594f6429e95557,af0d76b2241ff2a3,7,10_19,870938,3932,1638,13401,20375,27577,40545,0.207,48.58,13.9,0,0,SOLE_PROP,856530.04,0
2008,e8450d279391701c,a3b4f21056d1ec67,5,20_49,198224,821,155,11200,3579,32461,38237,144.809,13.09,11.86,0,0,LLC,1503327.79,0
2024,919adc9bd7a559de,0ee072fed2553756,86,10_19,986716,1630,395,2988,4196,36916,37936,61.99,16.49,12.56,0,0,PARTNERSHIP,794920.92,0
2020,d49338e0a9df95b6,d211c4be5d1de0b2,38,500_999,743725,3548,3749,4079,14164,19783,3641,189.073,25.21,15.61,1,0,SOLE_PROP,355656.19,0
2015,72117a1b6bb94d5c,da745ed6dd29bc0e,80,500_999,983091,2802,1917,14064,1539,667,43381,153.056,55.51,46.58,0,1,LLC,645804.47,0
2023,2307ad21599ebe48,1f323dffffc50110,56,1_4,547062,4701,2784,14495,3047,48805,35342,55.646,90.13,23.36,0,1,CORPORATION,1887557.6,0
2025,492a7c197987a386,bd649e9ff2794d4a,37,1000_PLUS,860899,188,758,23779,15378,6731,31578,106.32,86.46,13.77,0,1,NONPROFIT,1412108.76,0
2013,e1b1b4f9bf1efa0c,6c6f9ef3a631de8c,98,10_19,808606,3331,1550,3292,13625,21475,19985,94.569,82.67,34.69,0,1,CORPORATION,506575.93,0
2006,389eaf403dc2ef37,fb53cf33992b3a23,42,250_499,552667,1185,3021,9042,24622,32935,42186,186.541,35.19,6.3,0,0,LLC,349430.93,0
2019,602991cf9b3e816e,07b2664bb889d18c,18,100_249,482249,4534,3522,15257,7626,24593,37388,6.473,25.35,16.65,0,0,LLC,213821.7,0
2019,0d8a25e748671625,d53067a8ab8efb45,38,50_99,264596,4048,614,7018,6399,17504,45496,127.909,23.81,7.45,1,0,NONPROFIT,1505180.87,0
2025,2185b440136742a2,43b1fae809b940a7,83,10_19,286112,1766,3372,17726,24962,44805,48578,144.358,92.35,32.03,0,1,SOLE_PROP,551075.19,0
2018,456805d77d7e9f6e,01aaac031c2ae515,18,5_9,440431,2177,1858,578,20207,28876,25594,51.721,11.47,6.38,0,0,SOLE_PROP,710558.16,0
2020,ac3bbf8c8f800e51,f3b032aaa9d63748,68,1000_PLUS,822202,2334,4156,14407,10873,11802,7706,134.277,49.94,23.63,0,0,LLC,1162237.93,1
2017,69c4a6cdc46f50ec,1643f852f8b9f38e,42,10_19,832371,2814,4045,23994,23541,8480,42078,31.329,53.22,10.3,0,0,CORPORATION,1604453.25,0
2016,a59454a29015782b,de6e33839a233ec3,82,1_4,925489,3420,3449,19859,9320,45965,215,90.318,65.87,8.88,0,1,LLC,607519.56,0
2008,36f74407997a18ba,3db7d9091133aa7d,67,1_4,960835,861,4328,4526,23490,12097,1969,121.541,93.33,88.57,1,1,LLC,1137332.07,0
2019,6cea65fd90fd5524,e93437b3f9a9c164,71,250_499,468777,971,2090,10704,3864,33947,29183,72.187,8.07,6.07,0,1,LLC,989697.47,0
2021,141e746991813862,617c7ab6ab5194a6,85,100_249,252238,1773,3945,17981,6467,39767,28038,41.166,93.11,88.06,0,1,LLC,335839.81,0
2013,e6e5323d9cfa962a,6fc42d2314ad763f,96,100_249,656416,4609,4560,8810,20519,10245,29817,158.119,91.62,27.09,0,0,CORPORATION,2332910.01,0
2025,249e866ffd9b6109,063794b780366216,62,50_99,596117,1882,3998,21278,24886,48995,24004,149.61,47.02,19.95,1,1,SOLE_PROP,2034182.52,0
2009,aca8cf36e2c6c918,85b276d1aa8f0882,36,250_499,252866,2962,2257,8542,14113,3160,39725,16.308,35.5,6.96,0,0,LLC,526996.32,0
2014,3aa6dfcb29fae7cc,f714a37ea1391ef7,42,1_4,171589,2870,1538,1133,23313,34595,14269,163.088,87.73,27.84,1,0,LLC,234740.61,0
2006,994e3a8d6589b2c7,ec44f794d7f01991,51,5_9,230746,2239,1658,5901,15613,18241,34800,42.376,68.62,61.18,0,1,LLC,1609022.24,0
2024,34a18d21eef7c783,90b100d8558c610f,5,1_4,783657,3922,2779,2367,12358,11050,30439,63.054,57.68,31.92,0,1,LLC,820150.24,0
2006,0f4d27441baf39f3,187f0dbdcca8bbf2,26,50_99,293964,4629,3984,14666,7519,15235,37638,197.829,86.88,76.63,0,0,OTHER,968806.02,0
2021,6b51a4af9b4113a7,9181ecb535b80699,95,20_49,746271,2595,1106,19364,13148,42892,33883,113.987,22.34,10.25,0,0,CORPORATION,2462906.36,0
2009,14ae36aa6ac6b07f,24132980d6269318,4,50_99,539197,2425,4994,21883,4724,19517,10880,158.924,57.62,9.9,0,0,PARTNERSHIP,251458.19,1
2008,7e032d10cd331b4f,e7467a028f05130f,39,250_499,601092,1932,1827,16100,8915,16838,11020,188.392,54.34,17.43,0,1,LLC,1710801.97,0
2024,7e12f9d0e0c634c8,6a73d136ef0b3de3,19,5_9,302307,4109,3794,21593,24332,30083,41635,156.824,76.33,38.79,0,0,PARTNERSHIP,1391619.36,0
2020,997abbc131cbd088,612ba3d97c9d2575,84,50_99,231861,1002,144,19460,24659,7464,26511,144.714,63.14,32.8,0,0,CORPORATION,1740684.96,0
2020,741e838880d77bee,4c2eaeb36bf9e297,63,1000_PLUS,825949,2100,3673,12119,20546,3336,21385,81.914,60.33,53.45,0,0,CORPORATION,129376.28,0
2015,2cbdffb9da693938,2b9a674216c154ac,29,20_49,321393,1875,2529,15138,20057,8517,26783,168.658,32.61,20.36,0,1,SOLE_PROP,2436080.97,0
2011,bafa906f37c15ee8,8749bb8ab93e5e62,21,50_99,817720,3360,3257,16810,18899,4791,21109,107.727,64.21,46.65,0,0,SOLE_PROP,1866783.24,0
2024,b0aa8276e5f861c6,caeb4ca9ce7d7675,51,20_49,128824,884,965,16941,2510,41122,28545,1.009,15.12,4.51,0,0,SOLE_PROP,290354.98,1
2022,cbd5325063f96dab,b9695ca6aa37546b,51,20_49,773587,3133,4857,15754,9260,43119,42193,184.04,54.27,40.57,0,0,PARTNERSHIP,531715.66,1
2020,024217436d289988,7d6f780f126c494b,87,5_9,957087,67,2598,8401,5784,40955,35716,23.606,27.49,25.01,0,0,PARTNERSHIP,2021481.43,0
2020,71675d8ed687911d,b9999b5b6ed768b4,79,10_19,901641,4939,608,23318,1628,23727,47691,69.473,28.3,26.8,0,0,LLC,2467944.84,0
2019,37c9ba49df8d9ec7,05bd6584dd72d2f5,91,1_4,901382,3233,564,6077,14236,33535,7834,97.362,46.67,21.32,0,1,SOLE_PROP,946553.09,0
2021,e1fd491cd5ec2560,f38cf00c9376ed42,83,250_499,960497,3323,4813,24237,22806,37340,17605,45.879,87.34,55.07,1,0,SOLE_PROP,1474037.85,0
2006,d60419460e656494,012996db945e62d2,77,50_99,899779,2052,1636,3163,3027,2860,28558,4.186,48.85,24.38,0,1,LLC,101825.53,1
2025,e517342eafb71b4a,0b4a4fcfbf765029,96,20_49,546479,4622,570,1000,12564,22471,30033,197.457,64.3,11.06,0,0,NONPROFIT,2233514.24,0
2019,4618f4077786941e,b1f99c41e8aee73f,90,20_49,278070,1656,2862,20974,3406,15091,34821,75.907,16.39,9.75,0,0,PARTNERSHIP,249226.16,1
2022,93ee8d7b0695c6d8,aa4e31a72b3104c4,47,250_499,576026,587,266,10537,2645,5151,27618,34.765,90.88,82.97,0,0,OTHER,2177715.22,0
2016,4863c5542d02964c,9e685e9139afaec0,53,20_49,391339,3916,55,6027,15625,44172,32375,194.84,7.79,1.77,0,1,LLC,1589992.92,0
2021,5cfecfc9297e3fdb,a4b05094969b983e,18,20_49,687940,1094,4344,1484,2124,13368,4336,111.214,16.19,12.66,0,0,CORPORATION,367959.0,0
2023,8eee5de3861eaa31,7f9511c8ae04e88b,76,500_999,636741,1012,23,15423,6128,13088,20604,3.086,39.88,5.31,0,0,OTHER,1973209.46,0
2006,ec945b6d8e95a14a,5adbd9488af35e61,89,250_499,684723,1236,3638,22107,6338,27273,24403,180.42,5.12,3.51,0,1,LLC,1803551.12,0
2013,2efb3d759ad8137b,91c97fb70689d050,87,20_49,835896,3436,4667,12458,2231,47467,48491,95.929,37.4,29.44,0,0,SOLE_PROP,1231312.26,0
2008,3aa0e90e144b7f09,00bc85683b4f426f,8,10_19,750236,1272,4360,7716,15500,45085,31853,185.909,87.93,53.74,0,1,LLC,2362921.06,0
2020,8bb0fda71c8e67ab,52ad80e9242e1bee,36,10_19,967818,2688,1378,17335,20436,37755,43798,70.48,18.63,14.2,0,0,LLC,473070.99,0
2019,281deeb79c10adfe,d6f09d5936bc80d4,71,250_499,662069,127,3334,153,21317,37344,12029,187.896,45.86,39.74,0,0,NONPROFIT,19562.66,0
2018,c5abc58e050bbf7f,58e4aa0404a75309,6,20_49,817876,2978,3759,3577,13923,31071,37466,114.029,18.97,11.19,0,0,SOLE_PROP,397811.85,0
2012,c71e02c60ef13482,89f917d9de0c4be8,85,100_249,332587,2953,1248,8244,9701,40802,36957,20.824,91.54,46.67,0,1,COOP,405931.71,0
2021,95802eaf90a13372,57e2838b7f924391,62,20_49,996677,3038,2572,13605,19292,42172,44552,157.748,32.32,11.76,0,0,LLC,1629736.94,0
2007,a8f10706b7642e7a,f40be7159bd03089,41,20_49,394346,173,1757,12622,23670,10891,22225,183.19,40.61,5.94,0,0,CORPORATION,1717785.06,0
2011,e7682497c01ad868,43311ccf45e11d7a,60,1_4,740824,2221,3053,519,23578,39242,32328,153.072,15.83,10.5,0,0,NONPROFIT,1478369.63,0
2013,f9c681af0808b2b7,635b581705d33a10,11,1000_PLUS,562788,1830,1024,110,24761,12150,9563,99.806,70.79,17.48,0,0,LLC,908091.23,0
2009,eff1687aa392392e,5360bcae158ddb94,19,100_249,628892,2889,543,6147,14919,2756,11134,7.266,57.1,51.36,0,1,CORPORATION,1729467.25,0
2006,da9c2efd61e03728,0fddbc2ea55ee422,71,5_9,480620,3320,3108,9207,16153,13901,7556,33.702,28.26,19.86,1,0,SOLE_PROP,58941.79,0
2018,510350c0fa3641f1,63325e176681289b,4,20_49,980942,2520,2780,23361,19024,20685,27636,14.813,22.05,9.28,1,0,OTHER,1846430.47,0
2022,aece0eea33207944,1babc4f7cdbef239,63,1_4,819923,4462,3398,2467,2707,4178,26000,16.402,37.42,16.61,0,1,CORPORATION,2299623.55,0
2011,9ff33bb3d792b8ef,38f7d57ff810441d,18,20_49,996518,109,3520,23115,12226,23510,2368,55.957,60.08,40.68,0,0,NONPROFIT,1874270.14,0
2014,9de5a4d9ad70ad78,a54d7ea3f61556e9,14,10_19,583175,590,1553,9049,8215,25682,5572,80.461,10.43,3.99,0,0,CORPORATION,1943536.21,0
2021,aedc69e8a9a48af7,c97f45a4f21af924,36,10_19,599285,4781,3745,12657,9858,33318,42920,23.332,94.53,21.31,1,1,PARTNERSHIP,2027656.64,0
2015,1ed1d0b5998d0349,014e9f3cc2ddbfd6,88,1000_PLUS,612215,4879,547,5082,1956,18163,7024,64.548,10.98,5.35,0,0,SOLE_PROP,17183.81,0
2013,c2e527450cfd0ed5,827901723bb95218,8,50_99,538382,2961,4514,9399,17795,8313,2277,151.033,71.18,34.38,1,0,LLC,2053713.53,0
2018,52d44844f1d6d026,f31a3a98f227318c,28,10_19,339857,2073,4347,7191,2222,35926,40886,119.93,85.18,22.25,0,0,SOLE_PROP,413695.63,0
2021,b7e914f6d0e455eb,e51113e5230f17a7,67,50_99,589171,2859,865,20891,23667,34371,15458,168.015,54.33,19.77,0,0,CORPORATION,1110758.63,0
2011,15ae9f95961ee8d6,cd6c6080b391db93,89,500_999,462578,2667,485,4078,8602,26925,49298,136.919,49.14,44.97,0,1,LLC,1463724.16,0
2006,c7f4aff6e0175f8b,0eb72c85613acced,28,500_999,823024,1857,3860,7655,656,4896,18632,128.203,22.74,18.05,0,0,PARTNERSHIP,841983.59,0
2023,f0b103aa55bf5528,54ef361934963409,65,1_4,450838,814,4530,58,4436,43032,8462,5.78,48.93,17.84,0,0,NONPROFIT,475024.66,0
2013,7d071057f5dbaede,23b7f627bb1549d7,60,100_249,236184,1864,3161,13336,17660,8332,33072,69.512,33.13,26.38,0,1,SOLE_PROP,1446556.87,0
2009,2db8ae11f6e3be9a,b2f95e6619984447,93,1000_PLUS,485140,1172,1041,9311,20436,20418,12537,177.635,40.31,23.77,0,0,CORPORATION,1186115.73,0
2023,27ab48147646bb76,115cbd06a5afc97d,34,10_19,771747,3390,4665,23819,817,12859,1722,36.39,1.38,0.84,0,0,CORPORATION,63541.95,0
2009,7545cae2c009b359,c8cdb93e19ed3133,9,5_9,468355,54,4130,23822,15595,34573,46883,22.347,24.95,9.87,0,0,CORPORATION,502904.23,0
2022,535e2065a92d428c,06f87846fc7293dd,71,500_999,837362,3710,430,15885,24982,39830,49325,60.977,62.95,19.94,0,1,PARTNERSHIP,602052.71,0
2025,c68bb3bc35db0157,96370863a10ff044,8,1_4,165857,4631,1968,24718,8383,48041,2676,54.979,76.73,51.5,0,1,LLC,195833.15,0
2023,26b4ce56e35f588b,bee375440c3c56f7,29,10_19,758251,70,1708,9701,9774,13978,10740,6.775,27.52,4.72,1,0,LLC,2266307.33,0
2015,87b6e232440e1692,5d90eee2abf141bd,60,500_999,163521,3133,4326,16043,10556,48680,21308,39.336,27.23,5.73,0,0,LLC,2262989.87,0
2017,6afa2a7221afd440,813e0a4b35dcea85,13,10_19,753078,1963,457,4221,17668,1655,4337,173.908,92.29,59.81,0,1,SOLE_PROP,37639.87,0
2014,be431a6539e568a7,e5497605296fbafa,81,20_49,491549,596,4580,18053,12881,41681,33249,124.044,66.75,25.21,0,0,COOP,710700.7,0
2017,599b9c9cedebf079,add1a0cfd2328531,88,20_49,971532,4565,3255,8775,20473,1042,39766,110.903,51.18,44.28,1,0,SOLE_PROP,2124287.95,0
2009,6e304db6a86cf166,a60407ccee80ca8e,36,5_9,193508,2987,4649,23883,22494,49850,37399,86.693,44.63,35.43,0,0,LLC,1482270.0,0
2010,7ce92b28d2de77a6,c17b937bbca205bf,99,500_999,824105,1581,561,23814,1144,27330,4064,19.547,25.24,23.64,0,0,CORPORATION,606624.33,0
2011,08b4501d765e35dc,115fa671b90d0872,76,250_499,479934,118,1156,3592,388,4986,32637,37.41,62.79,19.87,0,1,COOP,373429.61,0
2024,e0d20ac950ce92ae,2e67a653c41101e8,76,10_19,166311,3779,2187,6646,12001,32040,39782,169.408,47.01,33.23,0,1,SOLE_PROP,1164416.97,0
2018,0042f64274cad38c,fcbf9e5e2c1005b7,62,5_9,857661,2050,3309,8097,10118,22940,16154,93.164,96.42,35.05,0,0,SOLE_PROP,2311864.76,0
2019,33ebc4fd6c113c81,0372cf9914baba3a,3,1_4,166003,358,1937,7369,11297,851,4936,199.354,5.19,2.69,1,0,CORPORATION,2003309.44,0
2020,f1172b65223915ce,f6058fea2d5df14b,41,10_19,605444,736,2246,21632,20132,3686,10771,116.605,23.86,18.86,0,0,LLC,1761620.72,0
2024,e7d133dfda75ad29,5e918d2a57108741,46,10_19,814178,2290,3988,17897,23032,25677,38861,50.96,60.99,17.1,0,0,SOLE_PROP,940255.54,0
2009,6d96a8f0fa90c50c,e5992a1980c82c90,85,1000_PLUS,301587,4317,2025,14025,10101,20946,10195,55.913,43.37,32.89,0,0,OTHER,2268093.94,0
2012,24f6a0e39a0dacbb,e3365a3a89c1a892,80,10_19,165527,4472,3916,22697,6297,23265,22974,182.26,18.87,14.32,0,1,CORPORATION,1732228.92,0
2023,4a8b1edbd5e1e9f2,aaeee046e3cf76bd,16,100_249,419557,2400,287,11900,20554,37468,31901,63.422,81.54,59.54,0,0,LLC,1767256.68,0
2018,ed27caeb7f753074,ad10be697fa9fc73,18,20_49,728217,3245,2937,24829,9136,30826,39549,23.359,33.97,18.53,0,0,SOLE_PROP,282942.45,0
2012,65afe6da1e8389b4,7f9e3bbda441cc1d,71,10_19,268711,1381,2824,1061,1883,20075,24112,192.047,45.67,31.81,0,1,OTHER,1648963.73,0
2021,2e05e786b8540bfe,7b82124f2562a617,72,1_4,739950,1666,3343,20614,18760,28200,43387,148.164,95.96,88.46,0,1,CORPORATION,1018887.88,1
2015,fdf725f4cb2da5e4,51a742b3bf2cbc3c,46,50_99,963492,4870,3692,17161,15828,28730,32952,70.674,26.91,9.71,0,0,SOLE_PROP,1629525.39,0
2023,e23cc35d2d7f3715,311750e0aba1574a,31,1_4,887080,1164,1711,20236,23332,22430,195,173.809,94.13,76.13,0,0,LLC,1832272.88,0
2013,a0ae670265575264,ecbdc41ce28ef284,0,1_4,747733,1799,3441,19540,7686,21052,42774,150.778,15.28,6.81,0,1,CORPORATION,317042.32,0
2025,447946e82d481f79,cc1cc50ca7513e2c,5,5_9,260587,2871,1659,20365,434,47798,6440,131.109,39.03,36.91,1,1,LLC,432296.91,0
2010,91890dff80fceed5,0f99e99d959577b5,49,20_49,734237,3608,2519,4579,11367,19333,4527,185.59,70.67,63.67,0,0,OTHER,1616544.34,0
2013,a34ef4382bfb5449,ce8d00c72d90a78e,94,10_19,319039,2119,1576,5954,1870,35938,12180,30.687,51.39,31.34,0,1,SOLE_PROP,253302.03,0
2024,22077588edd20fa2,899f5213e8efa79a,21,250_499,999611,3895,2145,20069,18387,8791,26447,80.412,7.31,6.35,0,0,CORPORATION,1622502.62,0
2010,a4c84a24247397d3,45dbc6a42271288b,56,100_249,440723,1044,3663,9949,277,43503,2500,35.993,10.51,3.05,0,0,SOLE_PROP,1722020.45,0
2015,ca38db32dfd121a8,e6be275a25643619,84,1_4,502677,2428,4771,18065,19761,10454,37169,21.804,34.5,7.87,0,0,OTHER,1021954.51,0
2015,db4b0c3267f0fb23,f27c1f588be891a3,59,20_49,897334,4978,4100,11737,24292,25291,23645,173.855,36.07,4.54,0,0,CORPORATION,1609640.38,0
2007,1ce6818162aa1ef6,18c1def7a694d461,14,1000_PLUS,472198,328,2551,595,7618,8917,19175,93.89,55.7,5.98,0,0,LLC,676489.46,0
2023,aba9edda0b90001b,2f2582010a09129f,9,100_249,879303,4316,2915,15850,2770,40584,21591,20.233,88.13,17.48,0,0,CORPORATION,1116824.98,0
2019,2e8b81e048211d7c,f4fb8c0ebb873106,59,50_99,334196,4127,2486,19914,16001,46170,16033,45.957,93.33,39.18,0,0,LLC,1648277.4,0
2012,4f9d9c41389f99e0,5c8e4540f5010ee7,17,5_9,707533,4061,2880,14221,481,3210,31063,80.529,47.13,33.1,0,0,PARTNERSHIP,171351.52,0
2018,27c0ec4531f54f0d,d01d7f3aa1761adf,90,20_49,659995,3054,924,13231,7629,16004,40352,8.32,79.08,20.58,0,0,CORPORATION,1647836.69,0
2025,4d66149eb31ca636,583ce22b368f7380,97,1000_PLUS,483256,3142,1626,20446,15264,45351,48172,150.044,50.42,31.64,0,0,CORPORATION,294973.21,0
2021,5f33cf104fc7a9c4,e434e7427a95428e,15,100_249,307927,248,4345,21887,23244,17748,706,135.199,36.13,18.49,1,0,CORPORATION,1760772.14,0
2013,617e81b3462dfe23,784b88f2244713bf,81,1_4,335160,4509,2502,8613,13689,14661,25792,155.651,16.65,13.89,0,0,LLC,2446759.6,0
2018,d5e58fe6bd5bf7f9,35fe79ae23b4013d,21,1000_PLUS,879372,4658,122,6715,19921,37107,48108,124.693,85.88,13.5,0,0,NONPROFIT,854455.41,0
2011,b63e094aaf77f49d,d079836fd508959a,34,50_99,572527,15,2668,24786,14771,20446,30254,163.098,98.87,82.9,0,0,LLC,2130469.79,0
2016,5edead242fff7ef7,a2b031076306c061,85,500_999,914512,2345,3716,21152,2376,44827,32811,120.393,1.05,0.87,1,0,CORPORATION,1940375.53,0
2007,1d893ae126986dd2,6344bcb4f97385f6,74,50_99,287406,4872,894,10690,10774,16715,31268,168.126,94.96,66.53,0,0,PARTNERSHIP,807810.79,0
2006,44fba004b536f5c8,11b88fd333e7bfd1,65,10_19,945810,1591,4161,24609,21838,22702,37281,132.34,69.68,32.92,0,1,CORPORATION,332894.09,0
2019,1a9fe791ba7b30a8,6b45d7a27caac1d4,35,20_49,288293,2749,2696,9219,11866,1920,37297,126.774,39.49,16.97,0,0,SOLE_PROP,405875.53,0
2013,985e7e9e7a4fb20d,85133afcd5b2dbda,15,250_499,571496,1469,2953,19248,24070,408,43785,103.478,31.19,7.96,0,0,CORPORATION,2073296.39,0
2019,5d7916c1d3abcf1a,f9204b63896dce49,5,50_99,353534,2358,487,14319,5653,43928,22260,10.454,93.06,55.69,0,1,LLC,200937.81,0
2018,0556a531ea10a29a,8121c715f07830ac,14,20_49,375266,2703,1107,506,9937,41175,46452,68.002,25.51,14.61,0,0,OTHER,2366012.49,0
2007,2b56efc692127348,b106839ddb82cbcd,42,10_19,407249,283,4341,23988,18951,21734,41996,181.598,22.87,9.97,0,0,LLC,1496225.56,1
2020,62270d94c8825657,ae1ae798ed30df52,35,20_49,335633,3866,4921,14098,18577,4162,19734,151.457,51.1,26.02,1,0,COOP,984302.14,0
2009,1744d184f66e4803,4ca82cc6b39d2217,98,100_249,654719,168,82,6176,8948,48275,44656,147.69,2.06,1.69,0,1,LLC,114063.75,0
2021,fa89eab4f6ad95cb,706c5e19e85c302d,3,5_9,803853,4268,1482,8247,3225,31610,26763,33.695,55.86,18.47,0,0,SOLE_PROP,295205.33,0
2006,fcb5cc9fa0183551,e51a1ddaf01bc324,90,50_99,380697,2853,4227,20420,21782,21636,48351,62.511,15.9,11.75,0,0,LLC,335772.68,0
2007,9602d85576c03181,d94cfe7737010cd5,38,250_499,796926,2541,403,22662,20948,28170,18121,50.227,51.82,38.77,0,0,SOLE_PROP,1303474.63,0
2017,700295b886be0b25,48e912586f70ec5b,41,20_49,355124,1981,3328,16118,13429,48505,10335,92.264,90.45,12.43,1,0,PARTNERSHIP,455895.89,0
2011,3211243c29f12e4f,57ce6fc2a9b5a366,92,10_19,466769,1098,358,15780,10918,40191,14485,141.366,45.19,17.31,0,1,OTHER,1559625.88,0
2018,938e4a40d7f09e58,36f4de4c76497fbe,48,10_19,678824,1154,3387,9486,13366,24508,15459,64.838,42.58,5.09,0,0,PARTNERSHIP,987540.43,0
2020,61faa758d75ce49f,354aeb339025f513,55,20_49,117906,2997,376,24650,6466,20234,6337,191.411,5.07,2.2,0,1,SOLE_PROP,2340359.75,0
2020,7e09aa822c6a8710,5a09414b4fd98bc3,24,100_249,751632,1807,2627,7134,16824,17103,39129,184.101,5.94,5.06,1,0,LLC,734143.11,0
2014,a0419a691b2cf8ac,b5781b14089dbac9,32,100_249,460500,2175,4248,17898,19802,43634,17078,116.454,45.24,41.54,0,0,PARTNERSHIP,2000356.64,0
2011,508a3a6e8c502bae,04dc44900dfbf783,24,20_49,651156,4698,851,3407,21336,23518,8425,39.353,6.21,5.4,0,0,LLC,357897.04,0
2017,37f23e7faa762e99,4b99cd58a514943f,94,10_19,388689,999,1078,12244,955,36941,31297,60.48,95.39,64.57,0,0,SOLE_PROP,294380.87,0
2012,3859c6734e30febf,33767a0865faf0e9,84,1_4,356387,4930,3114,7055,24708,15565,27347,2.743,56.88,46.34,0,0,LLC,2427572.93,0
2010,5b65132078390c7a,b712901e88e4fcc7,18,500_999,177123,724,4293,359,12939,26425,45038,12.312,65.14,55.06,0,1,SOLE_PROP,848856.08,0
2015,1c6dafd7bca1af25,3ad04fb8dde2c973,83,1000_PLUS,892461,1744,642,17320,11307,1802,30465,54.646,27.97,3.75,0,0,PARTNERSHIP,976247.2,0
2024,665abee7360755ea,26025ebf99cfcbcd,3,1000_PLUS,210827,4170,507,5987,16453,6159,14399,45.789,54.1,26.6,1,0,COOP,930873.36,0
2011,70faf3572774cfcd,4aaf75cbde71c57e,32,20_49,957120,1355,4096,20630,6646,42829,47317,69.99,34.77,24.35,0,0,PARTNERSHIP,1058988.18,0
2024,bf440e23ff6bba6a,b3bf345af129f7b0,60,10_19,901372,3590,2269,2611,15673,1821,10235,85.752,89.38,39.71,0,0,PARTNERSHIP,593945.41,0
2016,c8c6687f39138b32,958b435c6b96287a,28,5_9,891511,501,172,2041,4297,25501,18173,178.392,82.44,28.27,0,0,OTHER,2423696.34,0
2020,38d9e108e5ca2673,dd4b8065228f5373,32,20_49,943058,4413,2294,24263,2943,2487,44694,5.263,85.5,47.36,0,1,SOLE_PROP,1918663.44,0
2006,090e3a3e26032ae7,89f6ad601bf9e4be,64,20_49,762998,2223,2880,9456,5707,35550,48018,92.952,39.5,10.87,0,0,LLC,2347736.15,0
2016,c92dad2546815a95,6ba37fc36e829168,9,1_4,815794,2735,3123,8737,13064,14223,39756,183.273,95.13,65.22,0,0,LLC,1552068.62,0
2019,6f48d0fcd2212a0c,cdca857c5446761d,14,20_49,606580,1629,1447,3104,135,30448,40450,99.264,8.98,6.39,0,1,SOLE_PROP,1957664.58,0
2020,a0a25e0004cb7c5e,f9b63a518adfb83c,9,1_4,655453,1475,3195,13580,17958,23491,7442,151.168,42.74,39.66,0,1,PARTNERSHIP,1102702.5,0
2023,849efedc83b75381,c693193db2cdceac,64,5_9,117505,2903,2176,2039,2122,16674,16929,9.304,56.88,12.43,0,0,CORPORATION,2388629.76,1
2007,13d513f1f5011ad5,d92b30dba2184b86,44,5_9,418599,474,4446,20018,8704,9545,9253,48.858,83.58,53.3,0,1,CORPORATION,2308040.48,0
2008,6ee639b3d5b397bc,d1ca5eb268a89c48,17,50_99,505533,2317,2716,4752,12128,35166,4673,180.221,37.6,32.47,0,1,SOLE_PROP,1436072.14,0
2007,2b92e2fffe94c918,eb15abfd9cda6746,42,50_99,788214,3541,1066,20043,21957,43152,31967,131.997,33.91,18.88,0,0,LLC,259586.66,0
2013,ecb756b9668d9908,277d2504b9a23206,26,5_9,219584,1657,2211,8296,22889,41270,24453,104.636,88.31,10.84,0,1,LLC,718141.34,0
2021,e709335e249a8e3a,6ba8df49c511e2a4,32,1000_PLUS,735642,2490,760,9237,24530,49635,42296,81.39,72.83,31.17,0,0,LLC,2198785.53,0
2018,f8922ec7819a21e4,ca481cea70d278e8,51,5_9,923084,4884,3347,22058,4660,23174,38917,102.586,53.03,27.21,1,0,CORPORATION,1488685.76,0
