civ_part_reference_year,civ_part_instrument_type_code,civ_part_topic_policy_area_code,civ_part_submission_date,civ_part_member_state_iso2,civ_part_petition_id_hash,civ_part_signatures_count,civ_part_signature_threshold_reached_flag,civ_part_eci_registration_decision_code,civ_part_response_publication_date,civ_part_consultation_id_hash,civ_part_responses_count,civ_part_stakeholder_group_code,civ_part_ngos_participation_count,civ_part_business_participation_count,civ_part_citizen_participation_count,civ_part_feedback_summary_published_flag,civ_part_follow_up_action_code,civ_part_source_portal,civ_part_data_extract_date
2013,PETITION,ENERGY,2013-10-19,RO,344ec4e9da8ae28c6bf979f5,1003000,0,,2015-02-26,,118696,BUSINESS,388,2280,134641,1,FUNDING_CALL,YOUR_VOICE_EUROPE,2025-12-27
2014,PETITION,CONSUMER,2014-06-18,DK,66563ce7c40be88e852c4426,194922,0,,,,11381,CITIZENS,4,394,32244,0,NO_ACTION,EUROPA_FORUMS,2025-06-02
2015,PETITION,HEALTH,2015-02-20,LU,b0770cd670ba674aaa5a420f,27235,0,,2015-09-22,,38623,MIXED,1338,1430,295198,1,LEGISLATIVE_PROPOSAL,ECI_REGISTER,2024-05-02
2016,PETITION,COMPETITION,2016-02-16,BE,35a28fca1625c7a7860755cf,698383,0,,2017-05-17,,94503,PUBLIC_AUTHORITY,653,416,98444,0,COMMUNICATION,EU_PETITIONS_PORTAL,2025-03-29
2017,PETITION,TRANSPORT,2017-06-07,HU,49f8432bfc137bbe2c32ac63,973558,1,,,,40982,ACADEMIA,321,506,91301,1,IMPLEMENTATION,OPEN_DATA_PORTAL,2025-03-28
2018,PETITION,DATA_GOV,2018-05-05,SK,4d292227fe9daaada3fc5bc7,1399925,0,,2018-07-07,,148337,NGO,246,1019,78317,1,REVIEW,YOUR_VOICE_EUROPE,2025-01-26
2019,PETITION,FINANCE,2019-07-08,EE,cd5bee5ea8bb02ddbdd1ec05,69557,0,,2020-03-13,,110416,BUSINESS,169,1170,129625,0,FUNDING_CALL,EUROPA_FORUMS,2024-12-11
2020,PETITION,SPACE,2020-02-12,MT,afb2fd3100eae2c05a5f1506,852266,1,,2020-11-26,,81018,CITIZENS,319,696,84618,1,NO_ACTION,ECI_REGISTER,2026-02-03
2021,PETITION,AGRICULTURE,2021-04-14,BG,d44963a6f790dc1b729fa52c,1585268,1,,2022-03-23,,144468,MIXED,662,298,212400,1,LEGISLATIVE_PROPOSAL,EU_PETITIONS_PORTAL,2024-05-05
2022,PETITION,DIGITAL,2022-10-20,IE,80738b548fdf3926784287e6,1030015,0,,2024-01-17,,61287,PUBLIC_AUTHORITY,528,323,69258,1,COMMUNICATION,OPEN_DATA_PORTAL,2024-01-09
2023,PETITION,MIGRATION,2023-06-23,SI,b017021a584ed69191ae23e8,98971,0,,,,55593,ACADEMIA,100,226,100264,1,IMPLEMENTATION,YOUR_VOICE_EUROPE,2024-11-04
2024,PETITION,CLIMATE,2024-05-06,FI,187da254aea1683bd21380fc,242224,0,,2024-12-12,,25723,NGO,478,614,23664,1,REVIEW,EUROPA_FORUMS,2024-04-03
2025,PETITION,SECURITY,2025-12-06,NL,77038dc8441cb7ce7a1553e8,229229,1,,,,39154,BUSINESS,772,112,56681,0,FUNDING_CALL,ECI_REGISTER,2025-11-08
2012,PETITION,ENERGY,2012-10-22,HR,266324cf40bb1a1010a88359,1306151,0,,,,116920,CITIZENS,556,184,92228,1,NO_ACTION,EU_PETITIONS_PORTAL,2025-08-31
2013,PETITION,CONSUMER,2013-10-02,IT,9e3fef746cedd2dc59f83469,689436,0,,2014-09-02,,65971,MIXED,1458,174,293398,1,LEGISLATIVE_PROPOSAL,OPEN_DATA_PORTAL,2025-09-12
2014,PETITION,HEALTH,2014-02-04,ES,c1ffc7acc35a9dde20c33582,217661,0,,,,34418,PUBLIC_AUTHORITY,567,111,110008,0,COMMUNICATION,YOUR_VOICE_EUROPE,2026-02-02
2015,PETITION,COMPETITION,2015-12-02,FR,1f41346db5fbe62882186580,102551,0,,2016-08-31,,145341,ACADEMIA,390,569,131102,0,IMPLEMENTATION,EUROPA_FORUMS,2024-05-11
2016,PETITION,TRANSPORT,2016-05-20,PL,33999b86e260e5ba925d184c,1671,0,,2017-02-15,,105514,NGO,344,1103,109819,1,REVIEW,ECI_REGISTER,2025-04-19
2017,PETITION,DATA_GOV,2017-07-10,CY,b28f35340b771de602bf0963,853927,0,,,,4677,BUSINESS,60,2112,98384,1,FUNDING_CALL,EU_PETITIONS_PORTAL,2025-06-13
2018,PETITION,FINANCE,2018-02-05,LV,abe104169acf99a00853cf95,727324,0,,,,122463,CITIZENS,180,414,223650,0,NO_ACTION,OPEN_DATA_PORTAL,2025-08-23
2019,PETITION,SPACE,2019-05-04,SE,f16fb6ad3d2e6f5dbe4cf42b,1611517,0,,2020-07-01,,148430,MIXED,82,2154,93490,1,LEGISLATIVE_PROPOSAL,YOUR_VOICE_EUROPE,2026-02-07
2020,PETITION,AGRICULTURE,2020-02-04,DE,b58fc7bb53f5c362950121a4,1166640,0,,2020-04-17,,124503,PUBLIC_AUTHORITY,324,682,26882,1,COMMUNICATION,EUROPA_FORUMS,2024-05-24
2021,PETITION,DIGITAL,2021-10-16,PT,403659cbc6a9bb661177aa01,1158008,0,,2022-02-10,,105700,ACADEMIA,203,35,142942,1,IMPLEMENTATION,ECI_REGISTER,2024-04-15
2022,PETITION,MIGRATION,2022-10-25,CZ,70a3a1d2cdb6c48fb7fd309c,81083,0,,2023-10-20,,23983,NGO,104,212,113747,1,REVIEW,EU_PETITIONS_PORTAL,2026-01-08
2023,PETITION,CLIMATE,2023-01-17,LT,7198b8c51ef68cb25c22d502,1303383,0,,2023-02-24,,54800,BUSINESS,227,124,100714,1,FUNDING_CALL,OPEN_DATA_PORTAL,2025-06-07
2024,PETITION,SECURITY,2024-03-01,AT,2404f49f93324f7a02f5bfe8,364156,0,,2024-05-18,,14901,CITIZENS,574,1107,220264,1,NO_ACTION,YOUR_VOICE_EUROPE,2025-04-21
2025,PETITION,ENERGY,2025-04-18,GR,4ed94914845c655851a5192e,1040621,1,,,,68679,MIXED,134,902,24592,0,LEGISLATIVE_PROPOSAL,EUROPA_FORUMS,2025-11-07
2012,PETITION,CONSUMER,2012-11-22,RO,00ef7d336410f7159768289b,550821,1,,,,124147,PUBLIC_AUTHORITY,325,1098,148964,1,COMMUNICATION,ECI_REGISTER,2024-02-14
2013,PETITION,HEALTH,2013-08-14,DK,dd52422f5010f4613b99c9cc,561746,1,,2013-10-01,,41873,ACADEMIA,30,570,13957,1,IMPLEMENTATION,EU_PETITIONS_PORTAL,2025-07-16
2014,PETITION,COMPETITION,2014-03-13,LU,7700a35b190570f7115b5dc3,1181012,0,,,,71908,NGO,274,16,52115,0,REVIEW,OPEN_DATA_PORTAL,2025-05-21
2015,PETITION,TRANSPORT,2015-07-06,BE,523e690596e62f02486f0cec,1096209,1,,,,48588,BUSINESS,360,1854,75662,1,FUNDING_CALL,YOUR_VOICE_EUROPE,2024-04-02
2016,PETITION,DATA_GOV,2016-07-27,HU,a3a0a42beec37531814e23dd,351775,0,,2017-04-02,,2296,CITIZENS,406,69,229588,0,NO_ACTION,EUROPA_FORUMS,2024-04-24
2017,PETITION,FINANCE,2017-12-11,SK,ef99001e828aad9219db80bc,851403,0,,2018-08-22,,45620,MIXED,1378,1346,19514,1,LEGISLATIVE_PROPOSAL,ECI_REGISTER,2025-06-12
2018,PETITION,SPACE,2018-08-17,EE,a3c1782055d760cbf9f70260,588858,0,,2019-07-18,,96944,PUBLIC_AUTHORITY,762,636,22216,1,COMMUNICATION,EU_PETITIONS_PORTAL,2024-07-02
2019,PETITION,AGRICULTURE,2019-06-26,MT,f8c10f8014d095decff3a89d,473758,0,,2020-01-24,,136590,ACADEMIA,657,302,132066,1,IMPLEMENTATION,OPEN_DATA_PORTAL,2024-04-21
2020,PETITION,DIGITAL,2020-09-20,BG,512f8c01c36236f8aad37b40,550504,1,,2022-01-05,,12394,NGO,818,195,76643,0,REVIEW,YOUR_VOICE_EUROPE,2025-06-20
2021,PETITION,MIGRATION,2021-08-25,IE,c18d001510ee6751beeb6d29,467085,0,,2022-04-25,,84702,BUSINESS,45,768,58915,0,FUNDING_CALL,EUROPA_FORUMS,2024-02-06
2022,PETITION,CLIMATE,2022-03-03,SI,36396b9ea99221a2b9847190,481901,0,,2023-05-16,,110769,CITIZENS,753,808,179322,0,NO_ACTION,ECI_REGISTER,2025-06-18
2023,PETITION,SECURITY,2023-08-21,FI,876814e0d753e78d5cfc8f60,570062,0,,2025-01-06,,62665,MIXED,1100,296,166724,0,LEGISLATIVE_PROPOSAL,EU_PETITIONS_PORTAL,2026-02-08
2024,PETITION,ENERGY,2024-12-20,NL,3083bedc95d7974b435b966d,1051903,1,,,,96214,PUBLIC_AUTHORITY,292,331,94114,0,COMMUNICATION,OPEN_DATA_PORTAL,2025-11-07
2025,PETITION,CONSUMER,2025-07-19,HR,514f54bfe39aea9b8e540e1b,373053,0,,,,17054,ACADEMIA,581,1080,18222,1,IMPLEMENTATION,YOUR_VOICE_EUROPE,2024-10-06
2012,PETITION,HEALTH,2012-07-18,IT,2ff43dfdf61c118a5653c694,1262595,0,,,,18883,NGO,660,416,30479,0,REVIEW,EUROPA_FORUMS,2025-06-19
2013,PETITION,COMPETITION,2013-02-07,ES,0fe5f7a16acb0001321a136e,1177503,0,,2013-08-11,,5777,BUSINESS,137,1362,69604,1,FUNDING_CALL,ECI_REGISTER,2025-04-06
2014,PETITION,TRANSPORT,2014-11-20,FR,d9cebe6c99fc015200197394,1352194,0,,2015-09-19,,13955,CITIZENS,27,769,92672,0,NO_ACTION,EU_PETITIONS_PORTAL,2025-06-12
2015,PETITION,DATA_GOV,2015-06-09,PL,1e61e8010e5ec72aa844c9c9,15615,0,,2015-10-31,,119095,MIXED,1426,2000,221262,1,LEGISLATIVE_PROPOSAL,OPEN_DATA_PORTAL,2024-01-02
2016,PETITION,FINANCE,2016-09-01,CY,c0875554a3b1e9bf81e7ec93,1106954,1,,2018-01-21,,82469,PUBLIC_AUTHORITY,724,1072,26361,1,COMMUNICATION,YOUR_VOICE_EUROPE,2024-09-04
2017,PETITION,SPACE,2017-08-15,LV,491d8f64bd7f2a2d0376c308,775514,0,,2018-01-21,,94182,ACADEMIA,289,694,111378,1,IMPLEMENTATION,EUROPA_FORUMS,2024-10-05
2018,PETITION,AGRICULTURE,2018-04-17,SE,80dcf023d77046c10344e979,1036858,1,,2019-03-13,,27753,NGO,1346,68,85187,1,REVIEW,ECI_REGISTER,2024-09-19
2019,PETITION,DIGITAL,2019-08-12,DE,1dc4d08f4e5346d35000b21d,267487,0,,2020-08-01,,59399,BUSINESS,637,2024,119154,1,FUNDING_CALL,EU_PETITIONS_PORTAL,2024-02-03
2020,PETITION,MIGRATION,2020-06-18,PT,397cf95139d40ca98eac642d,15584,0,,,,72982,CITIZENS,227,879,31638,0,NO_ACTION,OPEN_DATA_PORTAL,2025-04-01
2021,PETITION,CLIMATE,2021-04-23,CZ,256d7655de5a08ece8f97fa5,683989,0,,2022-04-09,,83430,MIXED,1078,1292,156132,1,LEGISLATIVE_PROPOSAL,YOUR_VOICE_EUROPE,2025-01-19
2022,PETITION,SECURITY,2022-10-19,LT,2b5c2e6280b3cd96be2565bd,1219544,0,,2023-10-08,,97906,PUBLIC_AUTHORITY,493,328,34825,0,COMMUNICATION,EUROPA_FORUMS,2025-10-13
2023,PETITION,ENERGY,2023-02-08,AT,e38312a6cf774f021fdc24b4,309782,0,,,,93091,ACADEMIA,399,1057,71740,1,IMPLEMENTATION,ECI_REGISTER,2025-12-26
2024,PETITION,CONSUMER,2024-05-22,GR,3229fdad735533a63c65ca3b,248989,0,,2025-01-13,,137556,NGO,92,605,5416,1,REVIEW,EU_PETITIONS_PORTAL,2024-03-16
2025,PETITION,HEALTH,2025-08-14,RO,d7eb83753810c10754187633,193092,0,,,,59460,BUSINESS,318,1146,31539,0,FUNDING_CALL,OPEN_DATA_PORTAL,2025-08-16
2012,PETITION,COMPETITION,2012-11-11,DK,531670026ee4d865e9564402,1113634,0,,,,91469,CITIZENS,92,930,106406,0,NO_ACTION,YOUR_VOICE_EUROPE,2025-06-22
2013,PETITION,TRANSPORT,2013-02-12,LU,32afe64c8cbfe26842fbd069,423818,1,,,,75756,MIXED,866,720,173932,0,LEGISLATIVE_PROPOSAL,EUROPA_FORUMS,2025-07-04
2014,PETITION,DATA_GOV,2014-09-17,BE,5b58fd02b46fd7f2b76f9a8b,93964,0,,,,146877,PUBLIC_AUTHORITY,223,1053,34373,1,COMMUNICATION,ECI_REGISTER,2026-02-01
2015,PETITION,FINANCE,2015-10-20,HU,5799cda3812c0e09c07d433f,490932,0,,2016-03-18,,45376,ACADEMIA,648,923,95806,0,IMPLEMENTATION,EU_PETITIONS_PORTAL,2025-03-29
2016,PETITION,SPACE,2016-11-15,SK,13b1c74549205fc1c7882acd,75317,0,,2018-04-14,,139279,NGO,1462,780,47157,0,REVIEW,OPEN_DATA_PORTAL,2024-05-20
2017,PETITION,AGRICULTURE,2017-04-01,EE,bb68be1461538ee9cba94e80,1298007,1,,2017-05-03,,15081,BUSINESS,458,502,96328,0,FUNDING_CALL,YOUR_VOICE_EUROPE,2025-07-24
2018,PETITION,DIGITAL,2018-09-12,MT,68e80c2c0e4211a82f36f9f1,618375,0,,,,298,CITIZENS,255,143,169228,0,NO_ACTION,EUROPA_FORUMS,2024-01-07
2019,PETITION,MIGRATION,2019-09-09,BG,b93d0a381f38740e3d66d5bb,1361314,0,,2020-02-26,,4221,MIXED,1468,730,135434,1,LEGISLATIVE_PROPOSAL,ECI_REGISTER,2024-06-10
2020,PETITION,CLIMATE,2020-03-02,IE,d4ea454ec507b6af2044f945,23926,0,,2021-06-01,,48117,PUBLIC_AUTHORITY,463,579,30513,1,COMMUNICATION,EU_PETITIONS_PORTAL,2025-11-28
2021,PETITION,SECURITY,2021-01-21,SI,ead69e4ca6597d6507289b12,830942,0,,,,30297,ACADEMIA,674,880,19707,0,IMPLEMENTATION,OPEN_DATA_PORTAL,2024-06-21
2022,PETITION,ENERGY,2022-05-14,FI,241f983835f1bd79c8c2349a,11080,0,,2022-08-20,,113995,NGO,518,853,73154,0,REVIEW,YOUR_VOICE_EUROPE,2026-01-10
2023,PETITION,CONSUMER,2023-11-01,NL,c6d3f29babd8f09e0d021c96,1446601,1,,2024-02-08,,114561,BUSINESS,503,2256,1274,0,FUNDING_CALL,EUROPA_FORUMS,2025-10-22
2024,PETITION,HEALTH,2024-03-15,HR,20fccf5e9ab2a2e5c917b9a9,848257,0,,2025-06-17,,46609,CITIZENS,562,967,286594,0,NO_ACTION,ECI_REGISTER,2024-09-29
2025,PETITION,COMPETITION,2025-01-20,IT,f0efc9c41be70673b90869f6,777604,0,,,,137935,MIXED,1580,1504,12026,1,LEGISLATIVE_PROPOSAL,EU_PETITIONS_PORTAL,2024-08-22
2012,PETITION,TRANSPORT,2012-09-17,ES,ca01cea2d2828a563bae6a00,1057574,1,,2013-11-05,,149202,PUBLIC_AUTHORITY,453,484,11455,1,COMMUNICATION,OPEN_DATA_PORTAL,2024-09-16
2013,PETITION,DATA_GOV,2013-01-05,FR,672f426a0ca8eda133ce5d62,1626388,0,,,,100511,ACADEMIA,448,702,102989,0,IMPLEMENTATION,YOUR_VOICE_EUROPE,2026-01-23
2014,PETITION,FINANCE,2014-04-19,PL,e347758592904550594eb83a,257302,1,,2015-07-24,,65558,NGO,516,402,147759,0,REVIEW,EUROPA_FORUMS,2025-05-23
2015,PETITION,SPACE,2015-10-07,CY,a5012fd310792338b44d0ea3,1289181,1,,,,35767,BUSINESS,568,2072,4978,1,FUNDING_CALL,ECI_REGISTER,2025-09-26
2016,PETITION,AGRICULTURE,2016-05-16,LV,b20f0ee70f0b4f2b4705a3d3,1675814,0,,,,110308,CITIZENS,552,801,132752,0,NO_ACTION,EU_PETITIONS_PORTAL,2024-04-18
2017,PETITION,DIGITAL,2017-12-27,SE,7f7ac59918b7a8e92df3acb7,34411,0,,2019-03-12,,149482,MIXED,1488,1130,56430,1,LEGISLATIVE_PROPOSAL,OPEN_DATA_PORTAL,2025-12-16
2018,PETITION,MIGRATION,2018-01-28,DE,97b3ba0171aab585f7f75a51,381703,1,,2018-08-01,,12031,PUBLIC_AUTHORITY,734,432,57755,1,COMMUNICATION,YOUR_VOICE_EUROPE,2025-10-20
2019,PETITION,CLIMATE,2019-02-28,PT,eda52241deeaeb3e924bba03,602159,1,,,,53053,ACADEMIA,632,94,131760,0,IMPLEMENTATION,EUROPA_FORUMS,2024-05-01
2020,PETITION,SECURITY,2020-05-14,CZ,f6935ae246f55667f3a77b02,549145,1,,,,22459,NGO,60,5,95219,0,REVIEW,ECI_REGISTER,2024-11-19
2021,PETITION,ENERGY,2021-05-13,LT,676cd41e565c1607260c8d90,731758,1,,,,124,BUSINESS,381,742,93615,0,FUNDING_CALL,EU_PETITIONS_PORTAL,2026-01-12
2022,PETITION,CONSUMER,2022-09-06,AT,2a12ee369d2369994c16e08c,863168,0,,,,9564,CITIZENS,260,170,273770,0,NO_ACTION,OPEN_DATA_PORTAL,2025-04-30
2023,PETITION,HEALTH,2023-03-17,GR,3f28c3cd6c3553083a8ce5a2,820074,0,,2023-04-27,,82271,MIXED,996,1440,230800,1,LEGISLATIVE_PROPOSAL,YOUR_VOICE_EUROPE,2024-08-21
2024,PETITION,COMPETITION,2024-03-26,RO,f422056fb215f1fa33bb4a20,133707,0,,,,107043,PUBLIC_AUTHORITY,612,278,35740,1,COMMUNICATION,EUROPA_FORUMS,2025-04-22
2025,PETITION,TRANSPORT,2025-07-19,DK,5d3ae03370507be0a59e74ad,1202978,1,,,,34430,ACADEMIA,381,705,99445,0,IMPLEMENTATION,ECI_REGISTER,2024-09-23
2012,PETITION,DATA_GOV,2012-12-26,LU,d4f8ca04b0b95d556d3411c2,1521754,1,,2014-03-10,,28513,NGO,1478,862,89354,1,REVIEW,EU_PETITIONS_PORTAL,2025-10-04
2013,PETITION,FINANCE,2013-05-20,BE,9e0e93fd3bf77a844283264b,509540,0,,,,97270,BUSINESS,14,1972,82294,0,FUNDING_CALL,OPEN_DATA_PORTAL,2025-10-12
2014,PETITION,SPACE,2014-07-24,HU,b9f2394a64cbcc61378f0501,401882,0,,,,114490,CITIZENS,58,847,10090,1,NO_ACTION,YOUR_VOICE_EUROPE,2025-05-09
2015,PETITION,AGRICULTURE,2015-02-11,SK,9677bb23edd482f9e054a202,1016409,0,,,,79254,MIXED,286,2038,232724,0,LEGISLATIVE_PROPOSAL,EUROPA_FORUMS,2024-12-04
2016,PETITION,DIGITAL,2016-07-22,EE,f1ee6d1c673779e5c2ffa5b0,1679447,0,,2016-08-30,,129011,PUBLIC_AUTHORITY,515,523,7221,0,COMMUNICATION,ECI_REGISTER,2025-01-16
2017,PETITION,MIGRATION,2017-07-14,MT,8d09c22b928d95937783c593,386866,0,,2017-10-02,,56272,ACADEMIA,735,1044,87027,1,IMPLEMENTATION,EU_PETITIONS_PORTAL,2025-04-15
2018,PETITION,CLIMATE,2018-07-05,BG,b3ad3e44134882085910331e,1180253,1,,,,20814,NGO,722,952,34550,1,REVIEW,OPEN_DATA_PORTAL,2025-06-20
2019,PETITION,SECURITY,2019-04-09,IE,9b1d65d7487e9f58a2afb1ac,1181997,1,,,,123508,BUSINESS,583,1580,5851,0,FUNDING_CALL,YOUR_VOICE_EUROPE,2025-05-12
2020,PETITION,ENERGY,2020-06-05,SI,fec8f6021444b564764fc236,1643232,0,,2021-05-20,,139625,CITIZENS,785,1098,259344,0,NO_ACTION,EUROPA_FORUMS,2024-07-26
2021,PETITION,CONSUMER,2021-09-18,FI,786353d3ea9d96268ba6aaea,1444218,0,,,,16227,MIXED,1548,636,173226,1,LEGISLATIVE_PROPOSAL,ECI_REGISTER,2025-06-11
2022,PETITION,HEALTH,2022-08-28,NL,3271ea3f8fd95fc7221672e0,284614,0,,2023-07-26,,52881,PUBLIC_AUTHORITY,422,938,42052,1,COMMUNICATION,EU_PETITIONS_PORTAL,2024-03-22
2023,PETITION,COMPETITION,2023-03-18,HR,155cbb041596355a29ef2984,139578,0,,,,96346,ACADEMIA,757,36,47670,1,IMPLEMENTATION,OPEN_DATA_PORTAL,2024-12-26
2024,PETITION,TRANSPORT,2024-10-09,IT,7d40ce6b66f431bb748d73a9,871573,1,,2026-01-08,,109392,NGO,248,930,144419,0,REVIEW,YOUR_VOICE_EUROPE,2026-01-30
2025,PETITION,DATA_GOV,2025-12-15,ES,e6691013e47f7d560d1c5733,777335,0,,,,54780,BUSINESS,658,178,9106,1,FUNDING_CALL,EUROPA_FORUMS,2024-07-31
2012,PETITION,FINANCE,2012-02-18,FR,f2d118ec29e9b68414194085,853902,0,,2012-10-27,,30415,CITIZENS,402,808,160550,1,NO_ACTION,ECI_REGISTER,2025-09-03
2013,PETITION,SPACE,2013-09-20,PL,3a85ac5e6a2dec23ccaab1ac,860273,0,,2014-03-23,,12698,MIXED,1358,1334,87970,1,LEGISLATIVE_PROPOSAL,EU_PETITIONS_PORTAL,2024-03-20
2014,PETITION,AGRICULTURE,2014-11-12,CY,4f48d8884cdbee825143b146,956027,0,,2015-08-02,,5811,PUBLIC_AUTHORITY,400,13,122621,1,COMMUNICATION,OPEN_DATA_PORTAL,2024-01-06
2015,PETITION,DIGITAL,2015-04-13,LV,0afe6d64fba2009dba68e437,1130735,0,,2016-05-14,,80551,ACADEMIA,599,1199,83860,1,IMPLEMENTATION,YOUR_VOICE_EUROPE,2025-01-20
2016,PETITION,MIGRATION,2016-10-18,SE,d4dba53488e76ee7c2b43a3c,98439,0,,2016-12-08,,137451,NGO,588,366,116738,0,REVIEW,EUROPA_FORUMS,2025-07-16
2017,PETITION,CLIMATE,2017-05-11,DE,21f1c38ee414b145c61cb889,853422,0,,2018-07-09,,144147,BUSINESS,197,1904,129392,1,FUNDING_CALL,ECI_REGISTER,2025-01-29
2018,PETITION,SECURITY,2018-12-09,PT,39e28d48e3964ff3a5753c60,1176325,0,,2020-04-15,,120663,CITIZENS,288,1094,173138,1,NO_ACTION,EU_PETITIONS_PORTAL,2026-01-15
2019,PETITION,ENERGY,2019-11-18,CZ,7ec9cf1f71805147dcd9dbb0,754060,0,,2020-06-16,,108297,MIXED,1352,2314,205936,1,LEGISLATIVE_PROPOSAL,OPEN_DATA_PORTAL,2024-09-08
2020,PETITION,CONSUMER,2020-03-04,LT,43ee3d7325ca448837d22a10,341791,0,,2020-05-17,,16932,PUBLIC_AUTHORITY,441,371,58409,1,COMMUNICATION,YOUR_VOICE_EUROPE,2024-04-23
2021,PETITION,HEALTH,2021-02-01,AT,aa48fa26536d893e24791fee,817939,0,,,,2588,ACADEMIA,454,185,122343,1,IMPLEMENTATION,EUROPA_FORUMS,2025-05-03
2022,PETITION,COMPETITION,2022-08-17,GR,b32346a94be75f3531cf22b9,416785,0,,,,92600,NGO,1572,116,115923,0,REVIEW,ECI_REGISTER,2024-07-23
2023,PETITION,TRANSPORT,2023-11-19,RO,e6292e18cf1abc24756dd2cc,827402,0,,,,5716,BUSINESS,73,424,21164,0,FUNDING_CALL,EU_PETITIONS_PORTAL,2025-05-10
2024,PETITION,DATA_GOV,2024-03-13,DK,54c2d8370840f0949377acbd,1130586,0,,2024-06-20,,136014,CITIZENS,519,827,215668,1,NO_ACTION,OPEN_DATA_PORTAL,2024-09-20
2025,PETITION,FINANCE,2025-06-01,LU,1ce557989ccd5febfdf5b741,1680870,0,,,,21099,MIXED,1078,1062,189284,0,LEGISLATIVE_PROPOSAL,YOUR_VOICE_EUROPE,2025-10-29
2012,PETITION,SPACE,2012-04-21,BE,a1d29641a544f536b0a42b92,692094,0,,2013-09-15,,118138,PUBLIC_AUTHORITY,9,960,35892,1,COMMUNICATION,EUROPA_FORUMS,2024-07-10
2013,PETITION,AGRICULTURE,2013-09-25,HU,5c9ed68fe87d5dcc52facf90,1436761,1,,2014-11-12,,132559,ACADEMIA,324,862,94614,1,IMPLEMENTATION,ECI_REGISTER,2025-10-23
2014,PETITION,DIGITAL,2014-02-05,SK,e90b9d0611165b376a3d611f,1007349,0,,2014-10-28,,140793,NGO,1406,902,115904,1,REVIEW,EU_PETITIONS_PORTAL,2024-05-21
2015,PETITION,MIGRATION,2015-12-21,EE,d6cf7ec0692200d163083320,249890,1,,,,30938,BUSINESS,681,230,43760,1,FUNDING_CALL,OPEN_DATA_PORTAL,2025-10-24
2016,PETITION,CLIMATE,2016-09-03,MT,6dbbc8d4733d9a3f886fb1e6,4076,0,,,,5955,CITIZENS,693,429,196362,0,NO_ACTION,YOUR_VOICE_EUROPE,2026-01-08
2017,PETITION,SECURITY,2017-03-25,BG,19864a674a8015533b7afa3e,1365910,0,,2018-04-15,,29295,MIXED,142,338,168902,0,LEGISLATIVE_PROPOSAL,EUROPA_FORUMS,2025-03-03
2018,PETITION,ENERGY,2018-01-05,IE,887fc9a228f5c32e95677d46,1152447,0,,2019-02-15,,118939,PUBLIC_AUTHORITY,164,190,134971,1,COMMUNICATION,ECI_REGISTER,2024-12-16
2019,PETITION,CONSUMER,2019-02-14,SI,5af6330117d240e560f82c8d,34408,0,,2020-01-19,,70457,ACADEMIA,612,926,103095,1,IMPLEMENTATION,EU_PETITIONS_PORTAL,2024-05-13
2020,PETITION,HEALTH,2020-04-02,FI,56a9585473eda319df32c6c8,377192,1,,,,100932,NGO,1160,729,139457,1,REVIEW,OPEN_DATA_PORTAL,2025-04-24
2021,PETITION,COMPETITION,2021-03-07,NL,d46b03c0957d15f33bebc2af,1398996,0,,2022-02-08,,16938,BUSINESS,671,1208,127009,0,FUNDING_CALL,YOUR_VOICE_EUROPE,2024-07-16
2022,PETITION,TRANSPORT,2022-05-20,HR,15faa7455b92e3e753711de8,1039509,1,,2022-11-28,,3593,CITIZENS,670,7,65658,0,NO_ACTION,EUROPA_FORUMS,2024-05-22
2023,PETITION,DATA_GOV,2023-01-03,IT,824df81b715e7505a9a31fef,1301288,0,,2024-03-29,,38617,MIXED,470,1176,107842,1,LEGISLATIVE_PROPOSAL,ECI_REGISTER,2025-02-17
2024,PETITION,FINANCE,2024-01-19,ES,1073bcb7998052df1725f8f6,456982,0,,,,59772,PUBLIC_AUTHORITY,425,136,61253,1,COMMUNICATION,EU_PETITIONS_PORTAL,2024-06-20
2025,PETITION,SPACE,2025-05-11,FR,42c6c315056a58142f82329a,1647921,1,,2025-10-08,,74359,ACADEMIA,512,223,68355,1,IMPLEMENTATION,OPEN_DATA_PORTAL,2025-05-09
2012,PETITION,AGRICULTURE,2012-11-22,PL,9c2bb7d74cbd0be72bfd1317,108344,1,,2013-06-21,,795,NGO,600,595,65527,1,REVIEW,YOUR_VOICE_EUROPE,2024-05-20
2013,PETITION,DIGITAL,2013-08-24,CY,2e76f42cb2c4896c0c57e095,451591,0,,,,60465,BUSINESS,738,2064,134805,1,FUNDING_CALL,EUROPA_FORUMS,2025-04-06
2014,PETITION,MIGRATION,2014-01-15,LV,c278a290ead6c4f654fc24b3,160230,0,,2014-03-09,,55481,CITIZENS,514,391,164248,1,NO_ACTION,ECI_REGISTER,2026-02-20
2015,PETITION,CLIMATE,2015-12-14,SE,40447b5ff2e8bc8796007d53,1048900,0,,2016-01-17,,118591,MIXED,676,360,277634,1,LEGISLATIVE_PROPOSAL,EU_PETITIONS_PORTAL,2024-08-03
2016,PETITION,SECURITY,2016-01-17,DE,04d5c17390f7230bac8df9da,261844,1,,2017-03-09,,99459,PUBLIC_AUTHORITY,423,103,17676,1,COMMUNICATION,OPEN_DATA_PORTAL,2025-09-02
