health_cb_reference_year,health_cb_country_of_treatment_iso2,health_cb_country_of_affiliation_iso2,health_cb_treatment_type_code,health_cb_prior_authorisation_required_flag,health_cb_cases_count,health_cb_reimbursement_amount_eur,health_cb_out_of_pocket_amount_eur,health_cb_waiting_time_avoidance_days,health_cb_patient_satisfaction_score,health_cb_denied_cases_count,health_cb_denial_reason_code,health_cb_appeals_count,health_cb_successful_appeals_count,health_cb_ehds_ready_flag,health_cb_ehealth_interoperability_flag,health_cb_data_source,health_cb_methodology_version,health_cb_last_update_date,health_cb_data_extract_date
2023,BE,LU,DIAGNOSTICS,0,20504,4687234.81,551033.93,124.84,2.98,1598,CAPACITY_LIMITS,818,572,1,1,INSURANCE_FUND_ADMIN,CBHC_V3,2015-11-20,2024-08-05
2024,FI,BE,REHABILITATION,1,5331,2377166.23,769511.06,65.3,4.27,792,INCOMPLETE_DOCUMENTS,400,305,1,0,EHDS_PILOT,CBHC_V2,2015-12-09,2024-02-18
2025,LV,HU,CANCER_CARE,1,30069,70394958.05,16318627.83,21.94,4.2,2278,ALTERNATIVE_AVAILABLE,872,285,1,1,PATIENT_SURVEY,CBHC_V1,2015-12-28,2024-04-21
2006,RO,SK,PLANNED_SURGERY,1,31175,64756638.64,24340751.5,237.78,2.58,2136,MEDICAL_JUSTIFICATION,239,76,0,0,NCP_REPORTING,CBHC_V3,2016-01-16,2025-12-05
2007,BG,EE,DENTAL,0,11285,1715335.75,114162.75,117.37,4.79,979,OTHER,116,46,0,1,INSURANCE_FUND_ADMIN,CBHC_V2,2016-02-04,2024-02-25
2008,FR,MT,RARE_DISEASE_CARE,0,6072,7943401.93,1319983.55,136.0,2.59,218,NOT_COVERED,68,32,0,0,EHDS_PILOT,CBHC_V1,2016-02-23,2025-04-08
2009,LT,BG,TELECONSULTATION,0,26091,35263299.76,13240810.22,175.96,2.86,505,NO_PRIOR_AUTHORISATION,236,179,0,0,PATIENT_SURVEY,CBHC_V3,2016-03-13,2025-07-10
2010,SK,IE,MATERNITY,0,384,87689.53,20837.84,178.89,4.44,40,CAPACITY_LIMITS,12,7,0,0,NCP_REPORTING,CBHC_V2,2016-04-01,2025-09-18
2011,HR,SI,DIAGNOSTICS,1,4165,8805642.14,2513859.34,96.23,5.08,780,INCOMPLETE_DOCUMENTS,387,110,0,0,INSURANCE_FUND_ADMIN,CBHC_V1,2016-04-20,2025-07-05
2012,DE,FI,REHABILITATION,1,55817,90616601.68,28126828.72,10.56,3.55,5783,ALTERNATIVE_AVAILABLE,679,201,0,1,EHDS_PILOT,CBHC_V3,2016-05-09,2025-10-26
2013,LU,NL,CANCER_CARE,0,25633,20347462.08,4144190.18,148.23,3.53,3634,MEDICAL_JUSTIFICATION,1380,388,0,0,PATIENT_SURVEY,CBHC_V2,2016-05-28,2024-10-14
2014,SI,HR,PLANNED_SURGERY,1,27642,61041776.72,6970062.62,21.81,3.91,5697,OTHER,994,543,0,1,NCP_REPORTING,CBHC_V1,2016-06-16,2024-10-27
2015,CY,IT,DENTAL,0,3152,2102383.24,299950.76,152.09,2.83,187,NOT_COVERED,95,67,0,0,INSURANCE_FUND_ADMIN,CBHC_V3,2016-07-05,2025-05-15
2016,GR,ES,RARE_DISEASE_CARE,1,23709,42480899.6,10501605.24,55.66,4.26,1044,NO_PRIOR_AUTHORISATION,342,257,0,0,EHDS_PILOT,CBHC_V2,2016-07-24,2026-01-16
2017,MT,FR,TELECONSULTATION,0,27400,41476956.01,2506419.25,196.72,3.05,1073,CAPACITY_LIMITS,516,329,0,0,PATIENT_SURVEY,CBHC_V1,2016-08-12,2024-10-16
2018,ES,PL,MATERNITY,0,9536,3544885.19,695785.44,133.23,2.63,207,INCOMPLETE_DOCUMENTS,65,34,1,0,NCP_REPORTING,CBHC_V3,2016-08-31,2025-06-14
2019,CZ,CY,DIAGNOSTICS,0,34487,27357387.9,7590980.37,217.16,4.3,631,ALTERNATIVE_AVAILABLE,153,76,1,1,INSURANCE_FUND_ADMIN,CBHC_V2,2016-09-19,2025-10-04
2020,HU,LV,REHABILITATION,1,7829,3775783.39,1264384.19,154.71,4.12,705,MEDICAL_JUSTIFICATION,346,237,1,1,EHDS_PILOT,CBHC_V1,2016-10-08,2025-09-11
2021,NL,SE,CANCER_CARE,1,40172,76133339.13,6193112.73,132.29,3.55,7615,OTHER,2287,1030,0,0,PATIENT_SURVEY,CBHC_V3,2016-10-27,2025-12-16
2022,SE,DE,PLANNED_SURGERY,0,27172,62477871.09,22929084.67,4.7,3.72,1393,NOT_COVERED,651,206,0,1,NCP_REPORTING,CBHC_V2,2016-11-15,2025-08-16
2023,DK,PT,DENTAL,0,24231,27048878.84,7902633.04,147.16,4.3,3206,NO_PRIOR_AUTHORISATION,1249,762,1,1,INSURANCE_FUND_ADMIN,CBHC_V1,2016-12-04,2025-06-22
2024,IE,CZ,RARE_DISEASE_CARE,1,11627,31111386.76,3259836.25,75.22,4.81,1352,CAPACITY_LIMITS,287,127,0,1,EHDS_PILOT,CBHC_V3,2016-12-23,2025-05-29
2025,PL,LT,TELECONSULTATION,0,24295,10206545.79,978606.82,66.19,4.88,2374,INCOMPLETE_DOCUMENTS,925,600,0,0,PATIENT_SURVEY,CBHC_V2,2017-01-11,2024-02-14
2006,AT,AT,MATERNITY,0,53645,38290779.93,2273617.66,173.86,4.87,6015,ALTERNATIVE_AVAILABLE,2952,2160,0,0,NCP_REPORTING,CBHC_V1,2017-01-30,2024-09-25
2007,EE,GR,DIAGNOSTICS,0,32308,41401489.71,13694554.0,24.89,2.74,1225,MEDICAL_JUSTIFICATION,148,45,0,0,INSURANCE_FUND_ADMIN,CBHC_V3,2017-02-18,2025-01-12
2008,IT,RO,REHABILITATION,1,17288,25063256.15,6656262.7,167.85,4.79,993,OTHER,229,59,0,0,EHDS_PILOT,CBHC_V2,2017-03-09,2025-12-06
2009,PT,DK,CANCER_CARE,1,11191,15007334.15,5679440.59,1.94,4.55,1238,NOT_COVERED,196,80,0,0,PATIENT_SURVEY,CBHC_V1,2017-03-28,2024-04-14
2010,BE,LU,PLANNED_SURGERY,1,4036,6429176.18,1797296.91,205.06,3.6,163,NO_PRIOR_AUTHORISATION,84,29,1,0,NCP_REPORTING,CBHC_V3,2017-04-16,2024-08-15
2011,FI,BE,DENTAL,0,10783,2742892.11,857341.26,132.85,4.11,1472,CAPACITY_LIMITS,154,73,0,0,INSURANCE_FUND_ADMIN,CBHC_V2,2017-05-05,2024-06-20
2012,LV,HU,RARE_DISEASE_CARE,0,1434,3160666.03,746571.91,200.12,2.54,179,INCOMPLETE_DOCUMENTS,80,50,0,1,EHDS_PILOT,CBHC_V1,2017-05-24,2025-03-20
2013,RO,SK,TELECONSULTATION,0,19145,27490261.92,2144368.09,2.31,2.37,2418,ALTERNATIVE_AVAILABLE,1284,353,0,0,PATIENT_SURVEY,CBHC_V3,2017-06-12,2024-09-18
2014,BG,EE,MATERNITY,0,16241,19784320.68,4758746.7,200.23,3.88,1092,MEDICAL_JUSTIFICATION,499,258,1,0,NCP_REPORTING,CBHC_V2,2017-07-01,2025-05-21
2015,FR,MT,DIAGNOSTICS,0,56572,58386974.19,14303995.57,137.11,4.02,3915,OTHER,1874,728,0,0,INSURANCE_FUND_ADMIN,CBHC_V1,2017-07-20,2025-11-12
2016,LT,BG,REHABILITATION,0,32114,41477363.46,11166751.4,117.62,4.07,3541,NOT_COVERED,1183,379,1,0,EHDS_PILOT,CBHC_V3,2017-08-08,2025-11-07
2017,SK,IE,CANCER_CARE,1,27666,79509132.4,28869146.52,79.2,4.3,5758,NO_PRIOR_AUTHORISATION,1927,1287,0,0,PATIENT_SURVEY,CBHC_V2,2017-08-27,2024-01-01
2018,HR,SI,PLANNED_SURGERY,1,6414,6576028.06,2344413.06,159.31,4.26,453,CAPACITY_LIMITS,32,20,0,0,NCP_REPORTING,CBHC_V1,2017-09-15,2025-10-12
2019,DE,FI,DENTAL,0,29740,53739451.27,7154265.92,191.19,5.0,1516,INCOMPLETE_DOCUMENTS,637,247,0,1,INSURANCE_FUND_ADMIN,CBHC_V3,2017-10-04,2026-02-25
2020,LU,NL,RARE_DISEASE_CARE,1,10044,35650111.3,4447334.01,114.58,3.41,1205,ALTERNATIVE_AVAILABLE,517,155,1,0,EHDS_PILOT,CBHC_V2,2017-10-23,2024-04-11
2021,SI,HR,TELECONSULTATION,0,6179,2195934.73,690056.79,34.43,3.49,619,MEDICAL_JUSTIFICATION,262,100,0,1,PATIENT_SURVEY,CBHC_V1,2017-11-11,2024-07-21
2022,CY,IT,MATERNITY,1,20555,32048601.53,1927770.85,160.21,3.97,1942,OTHER,689,302,1,1,NCP_REPORTING,CBHC_V3,2017-11-30,2025-03-25
2023,GR,ES,DIAGNOSTICS,0,20101,15147236.56,4814057.97,109.22,3.65,1301,NOT_COVERED,693,413,1,0,INSURANCE_FUND_ADMIN,CBHC_V2,2017-12-19,2024-01-19
2024,MT,FR,REHABILITATION,1,32677,40853773.16,4876801.38,143.04,3.84,6499,NO_PRIOR_AUTHORISATION,467,123,1,0,EHDS_PILOT,CBHC_V1,2018-01-07,2025-09-08
2025,ES,PL,CANCER_CARE,1,47289,14275414.17,3663849.26,92.07,4.6,2502,CAPACITY_LIMITS,1126,521,1,1,PATIENT_SURVEY,CBHC_V3,2018-01-26,2025-10-28
2006,CZ,CY,PLANNED_SURGERY,0,13989,35800361.11,11574271.5,50.68,2.61,2041,INCOMPLETE_DOCUMENTS,687,344,0,0,NCP_REPORTING,CBHC_V2,2018-02-14,2024-03-22
2007,HU,LV,DENTAL,0,35992,53222786.2,6543054.61,126.99,3.11,1617,ALTERNATIVE_AVAILABLE,260,140,0,0,INSURANCE_FUND_ADMIN,CBHC_V1,2018-03-05,2026-02-24
2008,NL,SE,RARE_DISEASE_CARE,1,29164,42848407.48,3535620.24,44.2,3.71,3876,MEDICAL_JUSTIFICATION,1885,1362,0,0,EHDS_PILOT,CBHC_V3,2018-03-24,2025-08-12
2009,SE,DE,TELECONSULTATION,0,21012,4119165.59,1418870.75,148.87,4.25,1787,OTHER,567,361,0,1,PATIENT_SURVEY,CBHC_V2,2018-04-12,2024-11-29
2010,DK,PT,MATERNITY,0,16419,21908931.72,7769903.57,126.78,4.5,873,NOT_COVERED,198,108,0,0,NCP_REPORTING,CBHC_V1,2018-05-01,2024-07-18
2011,IE,CZ,DIAGNOSTICS,0,31090,26505037.06,4721714.52,262.85,2.7,3224,NO_PRIOR_AUTHORISATION,1187,789,0,0,INSURANCE_FUND_ADMIN,CBHC_V3,2018-05-20,2024-03-19
2012,PL,LT,REHABILITATION,1,29681,23999724.46,5166682.77,133.09,4.59,1704,CAPACITY_LIMITS,270,103,0,0,EHDS_PILOT,CBHC_V2,2018-06-08,2025-05-30
2013,AT,AT,CANCER_CARE,1,32514,66439487.31,16308003.31,77.64,4.59,694,INCOMPLETE_DOCUMENTS,260,186,0,0,PATIENT_SURVEY,CBHC_V1,2018-06-27,2024-03-01
2014,EE,GR,PLANNED_SURGERY,1,27319,66831756.06,12089784.42,113.05,4.31,3883,ALTERNATIVE_AVAILABLE,1678,1240,0,1,NCP_REPORTING,CBHC_V3,2018-07-16,2025-07-07
2015,IT,RO,DENTAL,0,2383,426800.28,80506.42,13.84,3.5,336,MEDICAL_JUSTIFICATION,37,24,0,0,INSURANCE_FUND_ADMIN,CBHC_V2,2018-08-04,2025-07-21
2016,PT,DK,RARE_DISEASE_CARE,1,4457,3960582.97,1237302.31,76.27,3.45,88,OTHER,12,3,0,0,EHDS_PILOT,CBHC_V1,2018-08-23,2025-05-04
2017,BE,LU,TELECONSULTATION,0,35057,49615561.93,5951759.55,68.17,2.64,4917,NOT_COVERED,2414,1447,0,0,PATIENT_SURVEY,CBHC_V3,2018-09-11,2025-10-21
2018,FI,BE,MATERNITY,1,19554,12709612.69,1651468.97,165.84,3.17,2074,NO_PRIOR_AUTHORISATION,452,170,0,0,NCP_REPORTING,CBHC_V2,2018-09-30,2024-01-20
2019,LV,HU,DIAGNOSTICS,0,11429,16976440.86,5952948.19,180.23,3.46,1120,CAPACITY_LIMITS,512,161,0,0,INSURANCE_FUND_ADMIN,CBHC_V1,2018-10-19,2025-10-24
2020,RO,SK,REHABILITATION,1,30513,17206189.75,1986130.57,69.89,2.71,5925,INCOMPLETE_DOCUMENTS,1023,405,0,0,EHDS_PILOT,CBHC_V3,2018-11-07,2024-11-26
2021,BG,EE,CANCER_CARE,1,25985,18836705.78,4041225.87,191.41,3.55,1335,ALTERNATIVE_AVAILABLE,167,105,0,1,PATIENT_SURVEY,CBHC_V2,2018-11-26,2025-02-21
2022,FR,MT,PLANNED_SURGERY,1,44345,151984781.88,27217767.06,109.52,4.46,7278,MEDICAL_JUSTIFICATION,996,306,1,1,NCP_REPORTING,CBHC_V1,2018-12-15,2024-11-06
2023,LT,BG,DENTAL,1,24351,11198194.86,3000489.29,25.68,3.79,432,OTHER,148,89,0,0,INSURANCE_FUND_ADMIN,CBHC_V3,2019-01-03,2025-07-24
2024,SK,IE,RARE_DISEASE_CARE,0,10052,8247318.1,2236695.2,175.53,2.6,542,NOT_COVERED,227,67,1,1,EHDS_PILOT,CBHC_V2,2019-01-22,2024-06-07
2025,HR,SI,TELECONSULTATION,0,17302,5159308.06,692881.51,94.12,4.78,2072,NO_PRIOR_AUTHORISATION,821,624,1,1,PATIENT_SURVEY,CBHC_V1,2019-02-10,2025-01-04
2006,DE,FI,MATERNITY,0,36796,9221062.89,1417221.02,117.09,2.92,362,CAPACITY_LIMITS,177,77,0,0,NCP_REPORTING,CBHC_V3,2019-03-01,2024-03-08
2007,LU,NL,DIAGNOSTICS,0,27204,28836376.52,4676629.59,238.09,2.92,620,INCOMPLETE_DOCUMENTS,213,94,0,1,INSURANCE_FUND_ADMIN,CBHC_V2,2019-03-20,2024-01-10
2008,SI,HR,REHABILITATION,1,30184,36282831.81,4681603.95,53.19,4.8,5182,ALTERNATIVE_AVAILABLE,585,432,0,0,EHDS_PILOT,CBHC_V1,2019-04-08,2025-02-18
2009,CY,IT,CANCER_CARE,1,18563,35636043.46,9737782.14,49.15,4.12,2793,MEDICAL_JUSTIFICATION,1129,536,0,0,PATIENT_SURVEY,CBHC_V3,2019-04-27,2024-01-12
2010,GR,ES,PLANNED_SURGERY,1,4169,791178.21,184830.3,165.28,2.74,310,OTHER,79,46,1,0,NCP_REPORTING,CBHC_V2,2019-05-16,2024-05-18
2011,MT,FR,DENTAL,0,19737,26748294.01,5951334.0,3.15,3.41,1635,NOT_COVERED,377,223,0,0,INSURANCE_FUND_ADMIN,CBHC_V1,2019-06-04,2024-07-29
2012,ES,PL,RARE_DISEASE_CARE,1,22382,28589809.38,2542894.43,201.21,4.29,4575,NO_PRIOR_AUTHORISATION,2500,1034,0,0,EHDS_PILOT,CBHC_V3,2019-06-23,2024-08-06
2013,CZ,CY,TELECONSULTATION,0,3217,2062356.76,272623.29,183.31,5.03,490,CAPACITY_LIMITS,67,32,0,0,PATIENT_SURVEY,CBHC_V2,2019-07-12,2025-11-26
2014,HU,LV,MATERNITY,0,29927,4941272.33,795580.93,73.02,4.35,2874,INCOMPLETE_DOCUMENTS,241,132,0,0,NCP_REPORTING,CBHC_V1,2019-07-31,2024-06-16
2015,NL,SE,DIAGNOSTICS,0,2123,2435706.14,436544.0,6.12,3.22,264,ALTERNATIVE_AVAILABLE,35,9,0,0,INSURANCE_FUND_ADMIN,CBHC_V3,2019-08-19,2024-10-29
2016,SE,DE,REHABILITATION,1,24519,19395001.73,3874530.57,97.22,4.0,5034,MEDICAL_JUSTIFICATION,2257,1611,0,0,EHDS_PILOT,CBHC_V2,2019-09-07,2024-04-05
2017,DK,PT,CANCER_CARE,1,24160,24062055.43,4506392.41,167.69,4.04,1914,OTHER,355,169,0,0,PATIENT_SURVEY,CBHC_V1,2019-09-26,2024-12-06
2018,IE,CZ,PLANNED_SURGERY,1,12927,29308730.5,5889924.07,259.64,4.89,1795,NOT_COVERED,845,346,0,0,NCP_REPORTING,CBHC_V3,2019-10-15,2025-12-23
2019,PL,LT,DENTAL,0,10069,7218835.65,2016375.38,101.03,4.77,1334,NO_PRIOR_AUTHORISATION,605,189,0,1,INSURANCE_FUND_ADMIN,CBHC_V2,2019-11-03,2025-09-27
2020,AT,AT,RARE_DISEASE_CARE,1,51292,90283096.79,22557552.79,105.9,2.7,1383,CAPACITY_LIMITS,362,253,0,0,EHDS_PILOT,CBHC_V1,2019-11-22,2024-09-01
2021,EE,GR,TELECONSULTATION,0,20458,34587258.97,10819206.5,8.7,3.8,2828,INCOMPLETE_DOCUMENTS,1012,542,0,1,PATIENT_SURVEY,CBHC_V3,2019-12-11,2025-02-05
2022,IT,RO,MATERNITY,1,20896,5473315.4,1914202.15,79.59,3.91,395,ALTERNATIVE_AVAILABLE,84,50,0,1,NCP_REPORTING,CBHC_V2,2019-12-30,2025-04-20
2023,PT,DK,DIAGNOSTICS,0,1222,972170.1,209673.14,178.64,2.93,104,MEDICAL_JUSTIFICATION,48,31,1,1,INSURANCE_FUND_ADMIN,CBHC_V1,2020-01-18,2024-07-02
2024,BE,LU,REHABILITATION,1,17017,10836065.4,2631232.83,199.53,4.6,1919,OTHER,590,456,1,1,EHDS_PILOT,CBHC_V3,2020-02-06,2024-10-02
2025,FI,BE,CANCER_CARE,1,633,1974394.44,464247.53,36.44,3.44,70,NOT_COVERED,35,16,1,1,PATIENT_SURVEY,CBHC_V2,2020-02-25,2024-04-02
2006,LV,HU,PLANNED_SURGERY,1,21882,53317419.13,6653352.57,150.77,4.18,4707,NO_PRIOR_AUTHORISATION,1453,414,0,0,NCP_REPORTING,CBHC_V1,2020-03-15,2024-04-25
2007,RO,SK,DENTAL,0,35553,67609560.5,25121807.87,93.2,2.98,4458,CAPACITY_LIMITS,1352,970,0,0,INSURANCE_FUND_ADMIN,CBHC_V3,2020-04-03,2024-04-06
2008,BG,EE,RARE_DISEASE_CARE,0,4807,5795740.05,380127.77,48.51,4.22,705,INCOMPLETE_DOCUMENTS,319,126,0,0,EHDS_PILOT,CBHC_V2,2020-04-22,2024-02-24
2009,FR,MT,TELECONSULTATION,1,28449,16851319.38,5395062.68,73.02,2.95,2187,ALTERNATIVE_AVAILABLE,616,249,0,0,PATIENT_SURVEY,CBHC_V1,2020-05-11,2025-05-05
2010,LT,BG,MATERNITY,0,27137,44267494.61,14674159.25,144.43,5.04,972,MEDICAL_JUSTIFICATION,166,123,0,0,NCP_REPORTING,CBHC_V3,2020-05-30,2024-05-02
2011,SK,IE,DIAGNOSTICS,0,16052,7174633.96,1772042.98,185.04,3.11,1951,OTHER,431,189,0,0,INSURANCE_FUND_ADMIN,CBHC_V2,2020-06-18,2025-11-18
2012,HR,SI,REHABILITATION,1,29436,46356396.98,5085987.99,50.35,4.51,1276,NOT_COVERED,321,174,0,0,EHDS_PILOT,CBHC_V1,2020-07-07,2024-03-20
2013,DE,FI,CANCER_CARE,1,49047,25209156.92,2129196.43,152.63,4.12,7807,NO_PRIOR_AUTHORISATION,1730,1200,0,0,PATIENT_SURVEY,CBHC_V3,2020-07-26,2025-07-20
2014,LU,NL,PLANNED_SURGERY,1,3562,1623667.9,341061.78,211.17,2.83,564,CAPACITY_LIMITS,129,55,0,0,NCP_REPORTING,CBHC_V2,2020-08-14,2025-01-19
2015,SI,HR,DENTAL,0,1681,2015898.94,631408.38,72.86,3.03,229,INCOMPLETE_DOCUMENTS,20,7,0,0,INSURANCE_FUND_ADMIN,CBHC_V1,2020-09-02,2024-09-28
2016,CY,IT,RARE_DISEASE_CARE,1,2143,1941568.64,137405.78,106.91,4.61,65,ALTERNATIVE_AVAILABLE,35,14,0,0,EHDS_PILOT,CBHC_V3,2020-09-21,2025-09-02
2017,GR,ES,TELECONSULTATION,0,20341,4726675.19,1073137.72,46.9,2.94,1863,MEDICAL_JUSTIFICATION,731,309,0,0,PATIENT_SURVEY,CBHC_V2,2020-10-10,2024-02-17
2018,MT,FR,MATERNITY,0,15191,9392243.42,3472407.15,115.37,4.16,1298,OTHER,112,51,0,0,NCP_REPORTING,CBHC_V1,2020-10-29,2025-05-01
2019,ES,PL,DIAGNOSTICS,0,47856,21582797.92,1256858.22,259.16,3.92,2207,NOT_COVERED,638,275,0,1,INSURANCE_FUND_ADMIN,CBHC_V3,2020-11-17,2024-12-06
2020,CZ,CY,REHABILITATION,1,6236,11714889.56,915271.08,151.47,3.69,1154,NO_PRIOR_AUTHORISATION,251,145,0,1,EHDS_PILOT,CBHC_V2,2020-12-06,2024-03-30
2021,HU,LV,CANCER_CARE,1,19267,27400495.51,5398256.64,163.55,2.92,3577,CAPACITY_LIMITS,868,347,0,0,PATIENT_SURVEY,CBHC_V1,2020-12-25,2025-11-02
2022,NL,SE,PLANNED_SURGERY,1,49679,125883661.88,18481399.0,3.86,2.84,8230,INCOMPLETE_DOCUMENTS,1390,510,1,0,NCP_REPORTING,CBHC_V3,2021-01-13,2025-07-22
2023,SE,DE,DENTAL,0,33315,4183575.36,1418188.09,150.08,3.9,2822,ALTERNATIVE_AVAILABLE,894,485,1,1,INSURANCE_FUND_ADMIN,CBHC_V2,2021-02-01,2025-04-23
2024,DK,PT,RARE_DISEASE_CARE,0,26787,67666095.16,6061503.45,2.79,3.23,825,MEDICAL_JUSTIFICATION,185,83,1,1,EHDS_PILOT,CBHC_V1,2021-02-20,2025-10-13
2025,IE,CZ,TELECONSULTATION,0,20956,8660129.4,1566006.7,115.12,2.68,249,OTHER,115,76,0,0,PATIENT_SURVEY,CBHC_V3,2021-03-11,2024-11-28
2006,PL,LT,MATERNITY,0,314,567326.6,211127.11,149.28,2.54,44,NOT_COVERED,19,13,0,0,NCP_REPORTING,CBHC_V2,2021-03-30,2024-02-17
2007,AT,AT,DIAGNOSTICS,0,26078,24693142.24,5618622.88,229.2,3.7,1503,NO_PRIOR_AUTHORISATION,805,474,0,0,INSURANCE_FUND_ADMIN,CBHC_V1,2021-04-18,2024-12-20
2008,EE,GR,REHABILITATION,1,29616,59636916.01,17622781.7,36.03,3.1,4853,CAPACITY_LIMITS,2243,609,0,0,EHDS_PILOT,CBHC_V3,2021-05-07,2024-11-07
2009,IT,RO,CANCER_CARE,1,39240,40175176.12,7206287.12,29.96,3.28,4249,INCOMPLETE_DOCUMENTS,2266,948,0,0,PATIENT_SURVEY,CBHC_V2,2021-05-26,2025-11-20
2010,PT,DK,PLANNED_SURGERY,0,11983,18290015.72,4701516.42,12.0,4.61,138,ALTERNATIVE_AVAILABLE,48,19,0,0,NCP_REPORTING,CBHC_V1,2021-06-14,2026-01-13
2011,BE,LU,DENTAL,1,34496,20924361.65,1436519.21,64.2,5.12,2084,MEDICAL_JUSTIFICATION,401,197,0,0,INSURANCE_FUND_ADMIN,CBHC_V3,2021-07-03,2024-01-25
2012,FI,BE,RARE_DISEASE_CARE,0,6644,17385517.9,4219210.1,135.9,4.0,357,OTHER,143,74,0,0,EHDS_PILOT,CBHC_V2,2021-07-22,2024-09-30
2013,LV,HU,TELECONSULTATION,0,26368,34031469.71,6359061.87,2.41,4.1,2157,NOT_COVERED,726,553,1,0,PATIENT_SURVEY,CBHC_V1,2021-08-10,2024-04-23
2014,RO,SK,MATERNITY,0,23286,25389654.21,9585763.0,193.89,3.95,2894,NO_PRIOR_AUTHORISATION,1537,751,0,0,NCP_REPORTING,CBHC_V3,2021-08-29,2025-06-02
2015,BG,EE,DIAGNOSTICS,0,11415,10695126.9,2588328.9,97.47,3.54,992,CAPACITY_LIMITS,318,152,0,0,INSURANCE_FUND_ADMIN,CBHC_V2,2021-09-17,2024-06-30
2016,FR,MT,REHABILITATION,1,506,234840.16,75363.98,145.36,4.82,95,INCOMPLETE_DOCUMENTS,25,14,0,0,EHDS_PILOT,CBHC_V1,2021-10-06,2024-06-07
2017,LT,BG,CANCER_CARE,1,14255,13624088.06,1065343.68,94.64,4.46,2832,ALTERNATIVE_AVAILABLE,1195,930,0,0,PATIENT_SURVEY,CBHC_V3,2021-10-25,2025-03-30
2018,SK,IE,PLANNED_SURGERY,1,18814,23587767.22,1241422.6,174.95,3.93,3843,MEDICAL_JUSTIFICATION,1756,447,0,1,NCP_REPORTING,CBHC_V2,2021-11-13,2025-03-15
2019,HR,SI,DENTAL,0,26490,30711727.77,9876995.62,32.68,3.96,2196,OTHER,255,145,0,1,INSURANCE_FUND_ADMIN,CBHC_V1,2021-12-02,2025-04-01
2020,DE,FI,RARE_DISEASE_CARE,1,10749,11245925.47,2920244.49,26.02,3.31,1549,NOT_COVERED,298,161,0,1,EHDS_PILOT,CBHC_V3,2021-12-21,2024-07-28
2021,LU,NL,TELECONSULTATION,0,16541,11206677.89,3029822.52,148.83,4.15,2298,NO_PRIOR_AUTHORISATION,388,289,0,0,PATIENT_SURVEY,CBHC_V2,2022-01-09,2025-05-10
2022,SI,HR,MATERNITY,0,10517,5233862.58,1501535.0,55.49,5.0,1305,CAPACITY_LIMITS,244,107,0,0,NCP_REPORTING,CBHC_V1,2022-01-28,2024-05-10
2023,CY,IT,DIAGNOSTICS,0,35452,51536260.33,3929183.58,18.14,3.87,3464,INCOMPLETE_DOCUMENTS,1628,664,0,1,INSURANCE_FUND_ADMIN,CBHC_V3,2022-02-16,2024-10-04
2024,GR,ES,REHABILITATION,1,25419,15197199.75,5102336.31,150.64,3.57,2179,ALTERNATIVE_AVAILABLE,430,214,1,0,EHDS_PILOT,CBHC_V2,2022-03-07,2024-06-19
2025,MT,FR,CANCER_CARE,1,8105,19850464.96,2327374.12,130.63,4.53,1656,MEDICAL_JUSTIFICATION,235,157,0,0,PATIENT_SURVEY,CBHC_V1,2022-03-26,2024-09-17
2006,ES,PL,PLANNED_SURGERY,1,59148,154725194.06,35713593.27,168.71,5.0,7978,OTHER,909,646,1,0,NCP_REPORTING,CBHC_V3,2022-04-14,2024-11-16
2007,CZ,CY,DENTAL,0,30096,46555561.49,6396427.8,142.6,4.5,619,NOT_COVERED,190,65,0,0,INSURANCE_FUND_ADMIN,CBHC_V2,2022-05-03,2024-08-01
2008,HU,LV,RARE_DISEASE_CARE,1,3478,13637806.48,2685514.22,126.58,3.13,267,NO_PRIOR_AUTHORISATION,146,109,0,0,EHDS_PILOT,CBHC_V1,2022-05-22,2024-02-01
2009,NL,SE,TELECONSULTATION,0,15381,15487796.26,5530085.19,164.73,3.5,617,CAPACITY_LIMITS,46,29,0,0,PATIENT_SURVEY,CBHC_V3,2022-06-10,2026-01-31
2010,SE,DE,MATERNITY,0,20377,9856305.14,667014.85,149.93,4.39,2097,INCOMPLETE_DOCUMENTS,616,298,0,0,NCP_REPORTING,CBHC_V2,2022-06-29,2024-01-11
2011,DK,PT,DIAGNOSTICS,0,6149,8871778.46,2455723.83,143.73,4.26,765,ALTERNATIVE_AVAILABLE,158,42,0,0,INSURANCE_FUND_ADMIN,CBHC_V1,2022-07-18,2024-05-31
2012,IE,CZ,REHABILITATION,0,3391,1070356.74,331646.72,126.68,3.1,100,MEDICAL_JUSTIFICATION,22,11,0,0,EHDS_PILOT,CBHC_V3,2022-08-06,2024-07-06
2013,PL,LT,CANCER_CARE,0,20138,39053579.04,3307998.32,31.48,4.47,1341,OTHER,545,394,1,0,PATIENT_SURVEY,CBHC_V2,2022-08-25,2024-08-01
2014,AT,AT,PLANNED_SURGERY,1,13255,10950271.99,3853650.41,44.35,2.92,2525,NOT_COVERED,1173,782,1,0,NCP_REPORTING,CBHC_V1,2022-09-13,2024-06-26
2015,EE,GR,DENTAL,0,27757,37572483.37,5476793.27,8.85,3.83,3442,NO_PRIOR_AUTHORISATION,1217,712,0,0,INSURANCE_FUND_ADMIN,CBHC_V3,2022-10-02,2025-02-14
