demo_popproj_projection_year,demo_popproj_geography_lgd_code,demo_popproj_age_cohort_5yr,demo_popproj_sex_at_birth,demo_popproj_race_ethnicity_group,demo_popproj_population_base_estimate,demo_popproj_population_projected_mid,demo_popproj_population_projected_low,demo_popproj_population_projected_high,demo_popproj_net_births_assumption,demo_popproj_net_deaths_assumption,demo_popproj_domestic_migration_assumption,demo_popproj_international_migration_assumption,demo_popproj_housing_units_baseline,demo_popproj_group_quarters_population,demo_popproj_cohort_survival_rate,demo_popproj_fertility_rate_assumption,demo_popproj_migration_rate_assumption,demo_popproj_release_vintage,demo_popproj_methodology_code
2036,64752078,50-54,M,OBC,1450390,1266667,1141458,1388676,9113,8101,-41922,1067,118448,27037,0.9295,3.33,-0.0111,2020-Q%q,COHORTCOMP
2041,12053897,35-39,F,General,446155,514068,488468,564261,10358,43457,-31583,-4375,516779,47382,0.9445,1.42,0.0053,2023-Q%q,COHORTCOMP
2041,55280775,75-79,M,OBC,1533289,1550955,1392515,1704467,31872,51649,34467,-8452,490283,42863,0.9632,1.61,0.0258,2022-Q%q,TREND
2032,57668948,45-49,X,Other,1362200,1526529,1388837,1664076,27363,33310,14640,-2391,251182,32169,0.9402,1.74,0.0113,2020-Q%q,TREND
2037,89844694,20-24,M,SC,917008,986267,934301,1086431,3967,45326,43636,-9885,422357,5711,0.9181,1.59,0.0436,2018-Q%q,COHORTCOMP
2024,58823900,55-59,M,Other,693585,842147,784407,924390,20089,7069,-1722,-5762,564977,28706,0.9198,2.06,0.0406,2022-Q%q,CENSUS_ADJ
2026,87974660,00-04,M,SC,1404592,1706167,1615880,1781140,50051,32785,-40770,-6084,531287,38199,0.9375,1.76,0.0026,2019-Q%q,TREND
2026,89979743,75-79,M,General,566456,668452,628389,722764,42613,42243,733,6062,532858,39368,0.8907,2.37,0.0395,2025-Q%q,COHORTCOMP
2034,25247368,50-54,F,Other,498515,461768,411225,496358,36863,26579,-8307,6337,298921,12204,0.8822,2.52,0.0219,2022-Q%q,CENSUS_ADJ
2035,99164586,80-84,F,SC,968965,1062133,988844,1175389,3775,55352,45940,5701,192360,36422,0.8853,2.54,-0.0056,2022-Q%q,CENSUS_ADJ
2037,14694426,05-09,F,Other,1441877,1258355,1117588,1360928,43525,29151,-48447,-2437,379176,47359,0.9895,3.01,0.0441,2019-Q%q,COHORTCOMP
2024,18277964,05-09,X,SC,792379,847851,800551,909702,4375,41456,746,478,343283,7053,0.8853,1.79,0.0339,2025-Q%q,TREND
2022,57666713,75-79,F,SC,1668320,1870443,1721186,2022262,924,10142,-49156,-1082,323693,925,0.9626,2.05,0.0351,2019-Q%q,BAYES
2035,20206170,60-64,X,General,1643059,1958390,1855752,2147599,66183,30145,35152,1832,432843,3460,0.9096,3.71,0.0157,2022-Q%q,CENSUS_ADJ
2033,91441985,30-34,M,OBC,1796118,2012339,1816017,2222111,34286,10136,-20003,-717,294811,8739,0.8822,2.52,-0.0152,2023-Q%q,BAYES
2041,48488196,35-39,M,SC,1190044,1352615,1258115,1432186,53701,13079,16901,-528,148336,15409,0.9708,2.89,0.0387,2021-Q%q,HYBRID
2023,79956072,05-09,F,OBC,1670000,1495278,1384719,1611970,25599,18648,-27355,-929,85385,43986,0.9214,3.0,0.0218,2021-Q%q,COHORTCOMP
2035,59794492,55-59,M,SC,1781582,1805785,1650895,1996917,26909,33660,-30114,5639,334916,18278,0.9407,2.14,0.0008,2023-Q%q,HYBRID
2035,91951422,30-34,X,General,1354655,1338393,1227182,1500389,60740,9462,-41500,-532,318517,40692,0.9845,2.11,-0.0065,2020-Q%q,BAYES
2032,42476586,00-04,M,Other,1869208,2256690,2046143,2418226,56062,39554,32936,9757,525140,17033,0.9719,2.4,-0.0053,2023-Q%q,HYBRID
2034,67621986,25-29,F,OBC,680772,783806,717610,841564,38843,19554,2322,-9327,4845,5860,0.9199,1.83,0.0065,2024-Q%q,CENSUS_ADJ
2038,52282781,10-14,F,General,972726,1082756,969529,1137504,64055,20368,-5026,-7609,551307,34721,0.9159,2.69,0.0072,2019-Q%q,CENSUS_ADJ
2026,69460403,55-59,X,General,1243836,1264496,1118737,1379049,38290,48872,17614,6406,325299,23058,0.9127,3.15,0.0114,2022-Q%q,TREND
2032,32646885,45-49,F,OBC,1586011,1550737,1383246,1635804,8071,31564,37338,283,79948,15711,0.8973,2.53,0.0104,2025-Q%q,BAYES
2023,48124613,50-54,X,General,1104273,1069887,1013417,1143662,63530,24553,-34129,8099,432463,45263,0.8986,3.79,0.0126,2025-Q%q,BAYES
2036,29977667,80-84,X,Other,582165,551609,510704,608646,39210,52839,37682,-5546,235155,19640,0.9612,3.58,-0.0034,2020-Q%q,TREND
2030,23831270,80-84,F,ST,177344,162404,152579,178666,48503,47671,-17661,9122,581435,34557,0.9782,1.7,0.0167,2020-Q%q,TREND
2036,69433342,30-34,M,Other,391146,391904,352801,431490,49061,53458,-45920,-329,421346,26956,0.9833,1.37,0.0253,2022-Q%q,HYBRID
2031,77161262,80-84,F,General,957764,1175153,1064046,1234659,23291,34861,14572,-4126,252015,30277,0.9849,3.38,0.0435,2025-Q%q,TREND
2040,50481003,00-04,X,Other,963123,1054659,947101,1131072,2582,52603,-46848,-1556,494733,11531,0.971,2.21,-0.0176,2019-Q%q,CENSUS_ADJ
2034,67363545,45-49,X,OBC,517530,526182,482009,582080,3422,19551,-40601,4277,362083,11570,0.9647,2.06,0.0258,2024-Q%q,HYBRID
2026,42831333,20-24,X,OBC,1055238,1080114,1024171,1140796,40641,12897,18180,-1152,297750,13191,0.9006,2.76,0.0176,2020-Q%q,COHORTCOMP
2025,73118680,50-54,X,Other,1768708,1828598,1703284,2000723,44431,51137,9709,-3291,589400,24578,0.9101,1.36,0.0155,2018-Q%q,BAYES
2033,86935611,45-49,X,SC,1541770,1465710,1336257,1601778,68818,20973,27078,-3909,338696,16877,0.8818,1.58,0.0387,2025-Q%q,BAYES
2028,98481695,05-09,X,ST,1956839,2157705,1937564,2389394,31191,24919,-2573,7786,231944,6767,0.9306,2.92,-0.0013,2023-Q%q,TREND
2027,68157454,40-44,F,SC,1283822,1321299,1254640,1391149,24090,54205,-3002,8894,313389,28565,0.9595,2.12,0.0346,2023-Q%q,CENSUS_ADJ
2035,61148772,20-24,F,ST,1773978,2184587,2033903,2355404,31829,32477,43506,6177,65926,41181,0.9878,2.95,0.0469,2025-Q%q,BAYES
2036,51277978,10-14,F,OBC,1807328,1941626,1766894,2152801,57302,12210,-49426,-8724,241876,27479,0.9889,3.25,0.017,2022-Q%q,HYBRID
2026,88784321,30-34,F,OBC,302488,322964,288613,355086,47330,51733,43713,9301,158076,4536,0.9758,2.87,0.0211,2025-Q%q,HYBRID
2025,12897550,00-04,X,SC,1622104,1913289,1719242,2065183,31380,46325,-9209,-5102,392863,48958,0.9814,3.57,0.0432,2025-Q%q,TREND
2036,96579572,55-59,X,SC,869504,961581,899951,1065838,10788,4764,47072,-2716,224131,1234,0.9294,2.51,0.044,2024-Q%q,TREND
2021,75269863,00-04,F,OBC,1629876,1500155,1308789,1656029,7390,1949,-15737,-7551,596913,18929,0.9133,2.81,0.0494,2026-Q%q,BAYES
2029,79946982,60-64,X,SC,289902,336650,310215,361411,44481,10095,16244,5236,258118,9394,0.9821,3.02,0.0412,2023-Q%q,HYBRID
2034,12931762,10-14,X,General,1173369,1430443,1362234,1525614,13819,3425,-34875,-949,575928,37424,0.8937,3.51,-0.0076,2025-Q%q,HYBRID
2029,82638844,00-04,F,Other,1829009,1599169,1384490,1798350,40464,39105,-22638,-468,69715,25442,0.9186,3.76,-0.0118,2020-Q%q,HYBRID
2023,79865009,60-64,X,General,612341,566147,508344,609290,40685,56416,3088,5904,581051,34789,0.9652,1.3,-0.0088,2021-Q%q,COHORTCOMP
2040,40326442,10-14,F,Other,1380382,1279366,1184039,1408610,9149,12220,-34415,-7074,95548,22746,0.8852,2.04,0.0195,2021-Q%q,COHORTCOMP
2024,69789845,40-44,F,SC,1800727,2007017,1875988,2112783,1988,25058,17567,5635,405760,35839,0.8831,3.64,0.0254,2020-Q%q,CENSUS_ADJ
2034,33597185,35-39,F,OBC,1597788,1552329,1398079,1645958,2438,13161,-7707,8635,105679,2373,0.9888,3.24,0.024,2020-Q%q,COHORTCOMP
2026,95589200,25-29,M,SC,17068,19801,18069,21181,39386,2162,-48596,-3379,41730,20698,0.986,2.54,0.0114,2021-Q%q,CENSUS_ADJ
2024,78069484,85+,M,ST,727860,885650,806353,959230,51956,47630,-22156,-6228,428644,2018,0.896,1.84,0.0224,2022-Q%q,COHORTCOMP
2031,78019588,75-79,M,OBC,1405778,1297066,1225733,1376946,29766,59426,-21941,8447,263030,33064,0.9881,1.41,0.01,2019-Q%q,CENSUS_ADJ
2025,53284725,00-04,M,ST,614098,553854,493084,585720,31404,35195,35208,-317,162320,31818,0.8825,2.53,-0.0052,2020-Q%q,HYBRID
2023,52910358,70-74,F,OBC,734744,772961,708791,816714,41928,32136,-38442,9870,2236,21615,0.8822,2.9,-0.0136,2023-Q%q,BAYES
2039,12971945,15-19,X,General,1613100,1471207,1390213,1594162,25589,6154,10231,-9073,221310,3339,0.9708,1.27,-0.0143,2021-Q%q,HYBRID
2037,81020853,85+,F,Other,1252548,1068745,931284,1216701,108,27257,-9984,-6663,453753,407,0.9468,3.75,-0.017,2023-Q%q,COHORTCOMP
2021,49798419,05-09,F,ST,762746,879458,815688,934515,27410,50418,-1963,-2870,506634,30530,0.9643,2.3,-0.0159,2025-Q%q,BAYES
2026,14519385,65-69,F,SC,1432941,1493577,1400371,1582844,8618,56588,-32901,-2043,59246,21633,0.9429,3.16,0.0256,2025-Q%q,TREND
2039,31058389,65-69,M,Other,1326420,1402759,1272696,1480211,8228,7661,-19770,-549,239683,38805,0.8993,1.76,0.0379,2020-Q%q,TREND
2036,76676695,80-84,M,ST,1715481,1908773,1810085,2093424,27209,2012,39848,4094,143203,43693,0.9471,3.67,0.0271,2022-Q%q,HYBRID
2025,88646941,10-14,M,ST,1866391,1818353,1674271,1984814,65803,36569,-20150,2670,48611,3820,0.9195,2.76,0.0138,2025-Q%q,HYBRID
2037,43015229,35-39,X,ST,1506066,1458804,1366858,1613978,55286,492,36417,-7318,220798,39288,0.9511,3.5,0.0057,2024-Q%q,BAYES
2026,93472178,25-29,X,Other,742499,749643,680616,826965,45959,53419,25138,6133,99756,25354,0.8916,1.65,0.0065,2021-Q%q,CENSUS_ADJ
2031,30858513,15-19,X,OBC,1781546,2156456,1999817,2284496,4463,58137,-20476,1554,362059,32303,0.9385,2.93,0.0493,2023-Q%q,HYBRID
2038,11892091,25-29,X,SC,251023,296911,268339,314116,36693,49715,-19346,-6506,441765,18401,0.9019,3.25,0.0238,2023-Q%q,HYBRID
2024,83577384,55-59,F,OBC,263320,227611,213362,248005,65195,34332,-28813,-4689,484563,26810,0.8801,3.24,0.0375,2020-Q%q,COHORTCOMP
2025,11420618,60-64,X,Other,1171341,1300079,1225158,1394657,31642,59451,-19311,-971,310495,27544,0.9792,1.3,0.0083,2022-Q%q,CENSUS_ADJ
2033,64143758,80-84,M,SC,376840,436685,400730,479295,21073,19242,43469,-1037,575299,456,0.9085,2.74,0.0195,2021-Q%q,HYBRID
2038,97967547,55-59,X,ST,1763853,1595466,1394397,1704676,35366,50508,35055,-8036,540663,31516,0.9043,2.27,0.0241,2025-Q%q,BAYES
2041,56513456,45-49,F,ST,53444,57393,51432,62526,48674,2708,29177,-2799,89006,10419,0.8826,3.69,0.0194,2024-Q%q,BAYES
2028,94141815,45-49,M,Other,1221392,1449573,1336138,1584131,79056,59144,-4883,-4322,319219,49266,0.9784,2.08,0.0259,2020-Q%q,HYBRID
2027,26948695,70-74,F,SC,1551614,1514388,1361720,1630096,26533,40631,13851,-7864,338452,41622,0.9792,2.16,0.0461,2021-Q%q,BAYES
2035,76284116,65-69,F,General,1118423,1227587,1101960,1324919,19931,58893,14773,-7204,114305,1063,0.9272,2.11,-0.0101,2025-Q%q,COHORTCOMP
2041,41684347,75-79,X,SC,1466639,1750276,1676629,1826962,7884,607,3685,2592,563328,3319,0.896,3.4,0.0095,2021-Q%q,HYBRID
2025,43588691,80-84,X,General,721284,788393,712102,844776,49168,27583,-8764,-1327,320794,6424,0.9378,2.89,-0.0035,2024-Q%q,COHORTCOMP
2032,85286603,40-44,X,SC,1549286,1376324,1273617,1469382,56836,36643,27822,-8298,572435,21911,0.9278,3.43,0.0392,2024-Q%q,CENSUS_ADJ
2030,15561608,20-24,M,SC,925640,1002552,950465,1109774,45590,3421,6314,2683,538661,22740,0.8996,2.66,0.0123,2024-Q%q,COHORTCOMP
2037,43009440,70-74,M,General,1367376,1612846,1535943,1718061,506,43011,18549,-6734,42656,45413,0.9636,2.67,-0.0192,2020-Q%q,CENSUS_ADJ
2031,70733472,75-79,X,Other,476090,515194,464953,554599,47264,39907,-37850,4724,480019,927,0.93,3.71,0.0204,2023-Q%q,CENSUS_ADJ
2027,30434786,85+,M,ST,1141772,1166171,1075407,1242566,73383,49262,-44132,-7175,45349,36136,0.8919,2.04,-0.0017,2019-Q%q,HYBRID
2022,31355734,65-69,M,ST,1727267,2011239,1864230,2144906,65828,4913,4839,9084,358149,4947,0.9074,3.56,0.0463,2020-Q%q,TREND
2040,64308409,65-69,F,General,816814,810251,751463,904327,17453,59359,12993,-1786,123064,27239,0.8905,2.84,-0.011,2022-Q%q,COHORTCOMP
2021,12395364,80-84,M,OBC,367332,445052,403820,467315,38391,32389,30922,-9972,509438,382,0.9723,1.89,0.0221,2024-Q%q,COHORTCOMP
2021,58070601,65-69,F,ST,208404,179979,161601,192681,1778,46298,-35437,1718,274897,32976,0.9178,2.37,0.0144,2018-Q%q,COHORTCOMP
2037,37698445,20-24,X,SC,1832479,1880242,1667318,2067671,47307,11893,-6176,-378,546597,48073,0.9897,1.61,-0.0029,2021-Q%q,HYBRID
2040,62618770,35-39,F,SC,585116,525738,456305,577788,36975,11680,26714,-9777,7030,39235,0.9253,2.56,-0.0147,2025-Q%q,TREND
2025,86877434,70-74,M,Other,320050,388437,354261,414759,34384,42367,-14681,6692,63233,19291,0.8803,2.24,0.0302,2019-Q%q,CENSUS_ADJ
2025,66070534,55-59,F,General,1327673,1403334,1313238,1482529,28072,9048,-32823,4461,126331,41291,0.9836,3.61,0.0493,2018-Q%q,COHORTCOMP
2021,69604733,00-04,M,OBC,1015565,1213224,1104635,1289966,15440,1605,32150,-8130,560529,40690,0.9455,2.26,0.0139,2024-Q%q,HYBRID
2040,71257659,25-29,X,ST,1019713,1272654,1193128,1362986,69754,3752,-46140,1867,284625,1808,0.9086,2.94,-0.0009,2018-Q%q,BAYES
2026,52420049,40-44,X,General,1126349,1237910,1122206,1351359,61429,50783,11238,7397,217871,30804,0.9796,1.76,-0.0005,2022-Q%q,COHORTCOMP
2027,25994583,70-74,F,ST,442666,540370,514174,563030,58037,2557,-607,5965,137475,33904,0.9255,2.14,0.0431,2023-Q%q,HYBRID
2031,49668988,00-04,M,SC,932173,1136274,1076020,1224049,4347,32598,-34378,-179,591774,32482,0.968,1.53,0.0384,2022-Q%q,CENSUS_ADJ
2024,75147111,70-74,F,SC,490221,572758,542966,600613,54600,47361,2078,-9576,284745,21500,0.9218,3.0,0.0395,2025-Q%q,COHORTCOMP
2029,76847488,65-69,M,Other,1626301,1654114,1506779,1759054,12556,37997,21921,-1407,351779,37620,0.9042,2.29,-0.0094,2019-Q%q,CENSUS_ADJ
2023,80646715,05-09,F,SC,1379883,1398233,1291054,1488049,36086,45201,-6894,5798,498647,47159,0.9859,3.06,0.0221,2025-Q%q,TREND
2026,12829369,60-64,X,OBC,1535716,1549184,1430508,1678959,15466,44669,8940,-3159,323767,11006,0.9152,1.97,0.0493,2022-Q%q,BAYES
2035,73435944,55-59,M,Other,119294,113636,106288,122027,28996,7899,-20863,-5546,241844,23802,0.9719,3.04,0.0262,2023-Q%q,BAYES
2039,82451946,60-64,F,General,1655480,1638799,1519784,1779920,67446,18906,-8001,-1311,253375,37655,0.9103,2.43,-0.0148,2019-Q%q,CENSUS_ADJ
2036,54579738,35-39,F,SC,141003,175158,167387,188458,71939,48170,14286,-2777,169929,46636,0.9396,1.81,-0.0042,2025-Q%q,HYBRID
2041,80650764,70-74,M,Other,1560238,1851784,1679046,1941064,74705,23283,-19276,4158,577358,39569,0.9305,3.63,0.0377,2020-Q%q,CENSUS_ADJ
2025,19555751,20-24,X,General,85187,87028,80011,95849,41786,46060,15350,-3302,129052,6021,0.9735,1.2,0.0165,2018-Q%q,COHORTCOMP
2023,70734739,65-69,M,SC,1224734,1369015,1265820,1477555,19961,32766,-33788,-1096,135384,40009,0.9376,2.26,0.0218,2024-Q%q,HYBRID
2023,89157199,75-79,X,General,1955500,1918882,1729607,2024057,75822,51149,-36730,-6874,407845,39841,0.9187,3.09,-0.0132,2022-Q%q,HYBRID
2037,65468786,45-49,F,General,495327,460882,420368,497041,71066,51903,-45056,-6560,590588,31306,0.9743,2.91,0.0398,2023-Q%q,BAYES
2023,70504945,85+,X,Other,1811858,1894607,1718096,2047519,29646,54639,-19812,9346,88275,28532,0.9678,2.67,0.046,2021-Q%q,CENSUS_ADJ
2026,88169129,30-34,F,ST,1174383,1020479,912468,1079647,64486,28470,-9209,6123,158529,9797,0.9671,3.49,0.0053,2018-Q%q,COHORTCOMP
2035,58254965,80-84,M,SC,1437029,1699647,1594392,1847796,62224,49952,985,-9765,54501,26115,0.886,3.64,0.0164,2022-Q%q,COHORTCOMP
2022,80583222,20-24,F,SC,1921903,1933897,1773297,2142382,36669,32627,-14852,18,239260,39535,0.9186,2.28,-0.014,2023-Q%q,HYBRID
2033,71673241,25-29,M,ST,1198760,1295539,1235312,1385948,52947,1338,26833,-9154,379615,20219,0.9116,2.76,0.0422,2024-Q%q,CENSUS_ADJ
2038,19767141,65-69,M,Other,1364096,1186167,1038685,1305909,57489,2929,-33399,2176,473928,18437,0.9668,2.88,0.0371,2024-Q%q,HYBRID
2035,40760417,55-59,M,OBC,1869167,1667947,1532682,1821496,65421,53734,-48033,-6991,319816,48630,0.8891,2.2,0.0369,2025-Q%q,TREND
2039,95516553,00-04,F,ST,91145,92082,83979,97915,60448,34439,16158,6564,358570,13918,0.8853,1.76,-0.003,2025-Q%q,COHORTCOMP
2032,96292703,45-49,X,SC,311465,385732,362461,401753,53832,2414,-7304,521,276516,14633,0.9097,2.17,0.0478,2019-Q%q,CENSUS_ADJ
2022,15300426,55-59,M,General,899374,916404,856922,991210,36452,54247,-45780,-9703,74333,33928,0.9298,2.12,0.0188,2022-Q%q,TREND
2022,66387540,40-44,X,OBC,1156587,1355772,1243549,1477638,12913,38273,38406,4133,240227,16133,0.9374,2.87,0.0458,2021-Q%q,HYBRID
2033,82719540,70-74,X,General,1543573,1548143,1367704,1707272,46561,25061,6482,-9700,597366,41803,0.9789,2.15,-0.0123,2021-Q%q,CENSUS_ADJ
2023,80730397,70-74,X,General,21779,21496,19872,23667,63105,36796,20593,5128,150652,49052,0.9578,1.91,0.0225,2024-Q%q,COHORTCOMP
2035,88453074,55-59,X,ST,1392884,1578217,1463736,1714217,22275,27991,-26362,7244,491501,39334,0.9357,3.8,0.0387,2019-Q%q,TREND
2024,94769684,50-54,M,General,1620721,1954806,1809508,2133744,53739,44053,47657,-9029,229411,31786,0.8892,1.6,0.0318,2025-Q%q,CENSUS_ADJ
2030,18097375,50-54,F,General,882203,822753,763181,867698,76156,11198,45079,-5993,405097,25367,0.972,1.73,0.0487,2023-Q%q,TREND
2029,20332253,70-74,F,OBC,1948619,2103063,1948823,2268018,56851,39704,-22857,2649,336184,30380,0.9842,3.39,0.0091,2021-Q%q,COHORTCOMP
2023,95231224,75-79,F,ST,564685,635010,595960,668772,31676,26535,-34649,-2939,258435,6851,0.8933,2.67,-0.0063,2021-Q%q,HYBRID
2038,84636341,75-79,F,SC,1591192,1678618,1508016,1832282,76805,57760,36900,6710,208021,23001,0.9287,2.14,0.0238,2025-Q%q,TREND
2024,68979231,25-29,X,OBC,704947,649397,573842,697765,43602,15822,-31025,-8968,374734,38096,0.9755,2.62,-0.0059,2025-Q%q,HYBRID
2026,67926134,55-59,M,Other,1088577,1171071,1088542,1277911,30652,42775,20002,3938,108951,26552,0.9161,2.71,0.0408,2020-Q%q,BAYES
2035,15556037,80-84,X,SC,471952,414140,372285,470119,43481,16960,4042,-5056,502509,30152,0.899,1.41,0.0344,2021-Q%q,CENSUS_ADJ
2029,60061148,30-34,F,Other,1041612,929588,848603,1054074,37102,2417,-23693,7159,47187,15637,0.8807,1.74,-0.0071,2020-Q%q,HYBRID
2028,12703608,00-04,F,Other,102380,102649,93233,111872,60178,39447,-40751,-1740,499830,46464,0.8804,2.65,0.031,2019-Q%q,COHORTCOMP
2030,71389799,50-54,X,SC,1129309,1048361,975317,1149976,9244,10625,-1794,4972,293448,22524,0.9374,1.75,0.0063,2025-Q%q,BAYES
2025,28645713,15-19,M,General,1435333,1789088,1666503,1944821,22914,28286,39231,5699,309498,44959,0.9152,3.74,-0.0136,2024-Q%q,HYBRID
2035,73400344,05-09,X,Other,152012,150329,138924,167985,10627,4458,34460,-5184,415156,33532,0.9142,3.52,0.0085,2018-Q%q,TREND
2040,95256541,25-29,F,General,1814017,2027265,1893956,2137985,55686,26765,35711,-298,582069,34878,0.9305,3.66,0.045,2023-Q%q,COHORTCOMP
2032,92550538,25-29,M,SC,481428,518495,475668,565090,8100,13948,-13073,4734,452767,22975,0.9686,1.54,0.0128,2024-Q%q,HYBRID
2022,44511951,65-69,F,Other,1605011,1450445,1284046,1562319,67444,45161,46372,-7387,273858,30864,0.9522,1.38,0.0408,2021-Q%q,TREND
2035,24087428,35-39,X,OBC,52252,62602,56965,68685,9954,29213,49167,1784,34163,30372,0.9331,2.01,0.0025,2024-Q%q,CENSUS_ADJ
2026,58824279,15-19,M,SC,644552,673352,599090,738372,38415,47945,-22931,1430,232978,37102,0.8878,3.75,-0.0173,2019-Q%q,COHORTCOMP
2033,98787841,05-09,M,SC,1678012,1431250,1341490,1548280,5551,37683,47014,3410,180084,30674,0.9731,1.48,-0.0089,2025-Q%q,HYBRID
2039,16858051,70-74,X,OBC,1065654,989550,916469,1095679,36700,57581,-49282,-9668,472409,48483,0.9906,3.55,0.0011,2020-Q%q,HYBRID
2025,97047365,80-84,X,Other,621727,601360,546758,632737,16962,24881,-8534,2947,43529,1086,0.9079,1.85,0.015,2024-Q%q,TREND
2027,10905513,30-34,M,General,417411,439278,412329,483019,41176,427,32363,2609,234838,45810,0.9002,2.1,0.0172,2019-Q%q,CENSUS_ADJ
2026,81961922,35-39,X,Other,1512210,1813692,1698743,1983249,53543,3189,-297,-357,520895,45730,0.9424,1.74,0.0161,2022-Q%q,CENSUS_ADJ
2041,87716680,70-74,F,OBC,26823,31947,30127,33970,75182,43846,4529,-5335,40856,7682,0.9708,3.38,0.0446,2021-Q%q,BAYES
2031,79489647,80-84,X,SC,379302,460653,433158,503672,68278,27669,48083,2500,133176,6254,0.9099,1.58,0.0124,2019-Q%q,CENSUS_ADJ
2039,63319143,20-24,F,Other,1418597,1592318,1488931,1725981,68775,4577,-24295,-5616,132256,25648,0.9492,2.59,0.0437,2021-Q%q,COHORTCOMP
2033,22472247,55-59,X,Other,148333,161672,146055,173944,629,44461,1213,9156,125387,40192,0.995,3.12,-0.0039,2019-Q%q,HYBRID
2022,44729384,40-44,M,ST,545721,670367,635049,725849,21629,33225,15386,8886,447545,14912,0.9064,3.44,0.0395,2024-Q%q,COHORTCOMP
2039,60124351,25-29,F,OBC,241400,210755,195892,226171,53427,59863,-22269,-1842,169851,11537,0.917,2.24,0.0239,2022-Q%q,HYBRID
2036,75029679,45-49,X,General,1023523,1010347,896491,1072294,32069,57408,-4881,7592,288065,47934,0.9871,1.86,0.0403,2022-Q%q,TREND
2033,62659677,15-19,X,SC,1277086,1345352,1209447,1462548,13103,10417,23228,-9990,127391,49823,0.8853,1.33,0.0194,2021-Q%q,TREND
2033,52144715,75-79,M,Other,1475559,1523659,1383767,1619111,45256,50457,36026,-1758,108064,37331,0.8974,1.78,0.0308,2019-Q%q,CENSUS_ADJ
2035,87042722,45-49,M,SC,136127,161648,153292,176613,49881,15495,-31462,2661,90324,6910,0.9253,3.67,-0.0163,2019-Q%q,TREND
2034,85113295,10-14,X,SC,90697,87115,77662,95750,76461,9707,-43358,1495,380340,13643,0.9731,3.57,0.0458,2025-Q%q,HYBRID
2021,22505775,60-64,M,Other,512400,514225,475379,556790,5882,1938,1292,1454,42833,1492,0.8936,2.42,0.0323,2025-Q%q,BAYES
2031,82884195,65-69,F,ST,977031,976458,864150,1089096,1545,17403,-27883,9049,340506,13812,0.9179,3.62,-0.0167,2018-Q%q,CENSUS_ADJ
2021,97987764,60-64,X,OBC,1902342,1673205,1537945,1811014,65186,41225,48962,-6045,300668,41924,0.9226,1.31,-0.0164,2025-Q%q,TREND
2033,55930153,75-79,M,Other,1247051,1486990,1404795,1570578,31230,9206,47972,-8907,200803,19114,0.907,1.72,-0.009,2019-Q%q,HYBRID
2035,16882852,50-54,M,General,815744,786473,707244,838729,55877,3139,12637,-741,80939,15018,0.9586,1.94,0.0499,2022-Q%q,CENSUS_ADJ
2025,29931289,45-49,F,ST,1773419,1690056,1492435,1818671,14417,21590,18862,3566,38680,20554,0.9116,2.8,0.0115,2026-Q%q,TREND
2037,83557990,25-29,F,Other,195729,215452,192061,233780,32786,29177,38741,7194,568761,4589,0.9385,3.38,-0.0071,2018-Q%q,TREND
2037,71228930,70-74,M,General,549616,521056,484821,573064,55222,56506,-11295,-3918,85972,46950,0.9827,2.91,0.0309,2022-Q%q,CENSUS_ADJ
2041,29551802,70-74,M,OBC,419920,419212,373641,461833,42470,38113,6392,2961,520867,23590,0.9782,3.58,0.0122,2025-Q%q,TREND
2025,78980890,00-04,M,General,1387305,1677926,1594163,1799320,15601,44689,-17769,-9830,215854,42692,0.9093,2.48,0.0329,2026-Q%q,HYBRID
2039,97242402,35-39,F,Other,712220,867183,811755,921828,12906,16810,27759,2663,549095,39449,0.9134,1.88,0.0059,2023-Q%q,CENSUS_ADJ
2026,33765830,70-74,F,Other,1531737,1333801,1199299,1503264,46375,216,-18041,2334,221536,1145,0.916,3.33,0.0063,2019-Q%q,TREND
2026,31290688,10-14,X,General,171263,149900,133411,167670,53339,9762,22035,5840,415621,37095,0.9394,2.13,-0.0006,2022-Q%q,BAYES
2022,35319880,50-54,F,OBC,1412465,1446909,1278206,1581303,52479,58120,-32291,-8954,567151,39703,0.8829,3.31,0.0023,2024-Q%q,COHORTCOMP
2035,75673416,75-79,F,SC,1695883,1669032,1535306,1785014,63922,54026,40988,9629,451169,25771,0.9366,3.48,0.0417,2025-Q%q,COHORTCOMP
2036,75450307,10-14,X,SC,1578612,1430506,1301207,1518602,24648,21461,49849,-9176,307388,31369,0.9281,2.51,0.0033,2022-Q%q,COHORTCOMP
2021,75336315,70-74,X,General,510977,501839,466703,532939,16233,11919,-9948,67,286643,36518,0.9123,1.3,0.001,2026-Q%q,CENSUS_ADJ
2037,75288440,10-14,X,Other,1732483,1915371,1712668,2105681,48526,11966,-6809,3112,432482,39449,0.9852,2.64,0.0353,2022-Q%q,TREND
2023,35092730,60-64,X,OBC,1673188,1748265,1627550,1926393,6061,30676,-41726,4150,2625,45071,0.964,3.7,-0.0111,2023-Q%q,HYBRID
2037,25447925,10-14,X,General,106594,93582,86534,105894,9714,51399,45671,-6776,7454,22637,0.9832,3.22,0.0485,2023-Q%q,TREND
2022,23774008,15-19,F,General,1175086,1334632,1226508,1399754,70239,11094,-5067,-3255,397440,28037,0.99,2.1,0.0484,2019-Q%q,TREND
