lab_cond_reference_year,lab_cond_country_iso2,lab_cond_region_nuts_code,lab_cond_sector_nace_section,lab_cond_contract_type_code,lab_cond_working_hours_week_mean,lab_cond_overtime_share_pct,lab_cond_shift_work_share_pct,lab_cond_remote_work_share_pct,lab_cond_right_to_disconnect_policy_flag,lab_cond_work_accidents_rate_per_100k,lab_cond_work_related_illness_rate_per_100k,lab_cond_job_satisfaction_score,lab_cond_work_life_balance_score,lab_cond_burnout_risk_index,lab_cond_training_provided_share_pct,lab_cond_union_membership_share_pct,lab_cond_eurofound_source_flag,lab_cond_survey_weight,lab_cond_data_extract_date
2017,FI,BE423,E,APPRENTICE,26.06,4.4,28.67,19.02,0,929.06,655.18,7.34,8.23,45.92,88.28,24.84,1,2.0158,2024-03-07
2018,LV,PT607,P,TEMPORARY,38.97,7.33,24.99,18.64,1,456.82,868.8,6.31,7.48,29.66,35.05,57.05,1,4.0783,2025-11-30
2019,RO,DK32,F,PLATFORM,33.32,14.8,26.52,20.26,0,822.0,816.31,5.81,7.58,61.72,39.98,46.27,1,3.2143,2024-11-05
2020,BG,IT23,Q,SELF_EMPLOYED,32.75,19.67,20.29,28.97,0,90.51,1629.07,8.58,6.92,23.41,13.58,5.42,1,3.8672,2024-04-14
2021,FR,DK195,G,PERMANENT,42.76,13.48,22.95,33.13,0,323.26,1238.73,6.42,5.74,48.49,48.42,47.13,1,3.7512,2025-07-09
2022,LT,RO478,R,APPRENTICE,30.88,6.14,8.77,8.43,0,125.32,397.78,6.63,5.04,44.56,22.91,43.05,1,2.087,2025-10-12
2023,SK,RO375,H,TEMPORARY,26.93,3.58,29.45,22.4,0,1057.73,133.6,7.1,8.23,20.83,31.22,22.2,1,2.6626,2024-07-17
2024,HR,AT677,S,PLATFORM,32.92,6.14,22.34,7.78,0,96.71,183.22,6.76,7.21,44.43,34.53,35.47,0,2.9223,2025-06-03
2025,DE,LV58,I,SELF_EMPLOYED,44.19,15.93,28.9,7.09,0,540.76,957.74,5.93,5.36,48.88,69.15,9.61,1,1.7777,2024-03-04
2006,LU,FR90,T,PERMANENT,27.12,18.99,22.92,5.51,0,640.13,418.53,8.11,5.12,30.95,40.32,12.61,0,4.7244,2025-10-11
2007,SI,SI409,J,APPRENTICE,36.05,18.04,23.21,7.83,0,410.21,675.8,8.03,5.12,73.91,35.78,40.01,1,1.3165,2024-03-14
2008,CY,ES706,U,TEMPORARY,29.44,6.3,24.43,19.69,0,145.57,352.09,7.91,7.21,55.89,32.41,34.19,1,2.135,2024-06-28
2009,GR,RO189,K,PLATFORM,45.23,7.61,34.49,4.09,0,355.84,1301.42,6.27,7.02,44.54,30.35,14.61,1,2.9858,2024-08-15
2010,MT,NL1,A,SELF_EMPLOYED,44.2,12.27,28.71,5.23,0,181.6,441.79,7.57,5.14,52.0,35.92,32.05,0,4.0303,2025-07-15
2011,ES,FI71,L,PERMANENT,27.99,18.08,16.59,12.56,0,337.7,1324.81,6.74,7.54,41.6,35.31,49.54,1,2.4779,2024-01-20
2012,CZ,IT917,B,APPRENTICE,26.61,3.98,10.22,18.75,1,657.72,219.02,5.87,6.78,31.35,33.64,3.92,1,3.0535,2024-10-22
2013,HU,LU33,M,TEMPORARY,27.07,8.92,4.38,18.47,0,50.43,601.78,8.07,5.91,46.2,51.36,6.35,1,4.0475,2025-05-23
2014,NL,DK71,C,PLATFORM,34.53,9.15,14.25,11.67,0,782.8,186.58,6.1,7.08,31.08,21.17,35.04,0,0.6692,2025-04-11
2015,SE,SK85,N,SELF_EMPLOYED,47.59,25.41,7.43,6.42,0,304.27,802.18,7.13,6.38,58.13,64.45,78.56,1,0.9971,2025-12-26
2016,DK,HU78,D,PERMANENT,36.12,9.02,31.56,12.72,0,994.45,542.46,7.63,7.17,42.36,58.09,31.79,1,1.892,2024-03-22
2017,IE,FI81,O,APPRENTICE,22.91,18.08,24.4,13.04,0,376.77,1176.67,7.16,6.71,41.3,13.0,42.47,1,4.1227,2025-02-26
2018,PL,BG950,E,TEMPORARY,30.37,13.85,12.61,15.54,0,299.81,856.66,5.5,6.69,41.02,12.3,8.94,0,1.9667,2024-12-13
2019,AT,MT485,P,PLATFORM,29.39,11.4,21.91,7.16,0,311.73,176.71,6.8,5.35,49.49,55.64,38.53,1,1.7353,2025-06-02
2020,EE,PT697,F,SELF_EMPLOYED,48.0,6.52,21.09,33.22,1,1054.25,275.0,6.74,6.93,20.89,16.87,29.12,0,0.2018,2026-01-06
2021,IT,IT5,Q,PERMANENT,40.16,7.09,4.55,3.63,0,554.38,668.84,6.94,4.85,40.04,29.27,34.89,0,0.7208,2024-07-01
2022,PT,DE77,G,APPRENTICE,24.77,10.08,13.26,22.31,1,45.76,1632.12,7.24,7.73,60.37,71.4,40.45,1,0.2981,2024-09-28
2023,BE,LU709,R,TEMPORARY,25.56,12.97,14.14,2.87,0,423.74,211.57,6.08,7.21,42.59,24.37,23.55,1,1.0344,2024-11-10
2024,FI,LV9,H,PLATFORM,32.18,18.02,10.12,8.45,0,331.54,775.93,5.12,7.63,78.33,53.96,40.18,1,2.5989,2024-05-14
2025,LV,CZ23,S,SELF_EMPLOYED,40.51,13.5,17.74,21.02,0,387.2,355.9,7.63,4.74,48.9,40.13,10.82,1,4.3386,2025-11-05
2006,RO,IT950,I,PERMANENT,28.32,19.62,36.29,17.42,0,568.0,130.11,6.31,5.29,70.28,59.61,23.48,0,3.9495,2024-04-11
2007,BG,HU100,T,APPRENTICE,32.49,14.6,6.68,22.27,0,164.69,1679.54,6.73,8.1,41.28,59.85,13.38,1,3.6756,2024-07-29
2008,FR,CY555,J,TEMPORARY,41.09,13.49,6.61,12.8,0,88.12,967.49,5.29,7.8,40.64,33.06,44.08,1,3.5005,2025-03-23
2009,LT,EE1,U,PLATFORM,43.55,20.53,5.85,20.26,0,470.59,1207.85,6.25,6.87,29.74,28.38,44.64,1,0.8558,2024-08-09
2010,SK,LT285,K,SELF_EMPLOYED,41.74,14.67,18.47,21.83,0,412.14,1172.09,8.21,5.42,37.13,58.94,53.5,1,2.062,2025-07-03
2011,HR,FR89,A,PERMANENT,35.4,7.6,9.4,14.54,0,621.76,215.6,5.81,7.49,38.97,47.95,4.05,0,4.3307,2025-12-16
2012,DE,FI837,L,APPRENTICE,30.13,15.02,15.54,18.67,0,200.19,834.04,6.14,6.1,59.4,75.83,17.77,1,1.3919,2024-03-07
2013,LU,EE163,B,TEMPORARY,32.58,1.97,18.43,4.22,0,361.33,181.87,6.46,7.83,20.43,61.41,14.06,1,0.6768,2026-01-10
2014,SI,BG52,M,PLATFORM,28.46,11.1,12.14,5.18,0,706.78,242.21,4.94,5.53,20.38,21.9,42.17,0,3.9804,2025-11-19
2015,CY,IT27,C,SELF_EMPLOYED,29.94,19.62,23.0,11.24,0,179.94,133.7,5.89,5.5,29.55,63.26,6.27,1,2.3243,2025-08-01
2016,GR,EE692,N,PERMANENT,34.46,14.25,23.58,26.13,0,180.87,699.29,5.81,7.23,39.92,64.49,30.91,1,4.043,2025-05-16
2017,MT,RO59,D,APPRENTICE,25.16,5.61,27.71,20.68,0,497.51,368.15,5.62,5.68,17.91,39.57,33.19,1,2.3148,2024-06-12
2018,ES,LU99,O,TEMPORARY,39.4,10.14,22.58,13.76,0,83.24,788.14,5.41,6.02,44.33,52.24,27.77,1,3.4466,2024-12-28
2019,CZ,CZ3,E,PLATFORM,32.8,3.21,28.24,10.2,0,1024.11,1083.28,5.94,6.19,60.22,15.4,10.32,0,2.7701,2024-06-30
2020,HU,AT97,P,SELF_EMPLOYED,41.78,12.24,16.55,27.56,0,636.51,1070.1,5.73,7.46,87.85,48.67,29.44,0,4.1015,2025-06-29
2021,NL,FI64,F,PERMANENT,29.93,5.01,28.86,32.14,1,808.58,1597.07,7.31,8.74,70.31,72.06,49.38,1,1.6427,2025-02-21
2022,SE,ES934,Q,APPRENTICE,35.28,3.38,18.09,19.56,1,434.22,401.66,6.76,6.12,44.44,48.15,34.31,1,0.9047,2024-04-01
2023,DK,IE252,G,TEMPORARY,37.51,16.23,10.5,9.65,0,297.06,1164.74,7.24,5.68,51.24,70.41,12.81,1,3.4735,2024-05-28
2024,IE,SI96,R,PLATFORM,40.43,17.86,26.49,23.21,0,423.13,1500.92,7.53,4.89,48.83,42.93,45.66,0,1.8518,2025-05-31
2025,PL,ES73,H,SELF_EMPLOYED,39.06,13.77,17.79,20.17,0,709.18,702.37,7.97,8.5,32.27,23.47,29.2,0,3.2449,2025-06-04
2006,AT,RO77,S,PERMANENT,35.43,4.28,28.7,4.11,0,203.39,281.78,6.08,4.92,31.48,78.16,55.33,0,2.5504,2025-02-04
2007,EE,GR4,I,APPRENTICE,35.36,10.55,7.38,15.12,1,205.95,730.3,7.04,6.24,49.78,71.16,18.25,1,2.3377,2025-04-23
2008,IT,SE43,T,TEMPORARY,40.05,11.74,19.79,9.11,0,594.04,1244.65,6.44,4.51,37.84,25.41,47.56,0,1.8185,2024-11-19
2009,PT,EE96,J,PLATFORM,35.7,9.99,13.79,17.17,0,648.94,1179.01,5.89,5.24,38.19,32.2,23.58,1,2.0196,2024-01-12
2010,BE,CY783,U,SELF_EMPLOYED,30.69,5.14,11.93,27.36,0,267.94,1029.17,8.14,6.36,38.04,57.77,45.41,1,0.7999,2025-06-29
2011,FI,HR76,K,PERMANENT,26.15,3.73,24.98,19.1,0,241.22,697.39,8.77,8.67,16.83,39.97,76.14,0,1.519,2025-07-31
2012,LV,LU595,A,APPRENTICE,34.4,7.24,7.75,16.72,0,245.5,135.22,5.46,7.07,44.71,21.58,57.55,1,1.9984,2025-02-28
2013,RO,RO9,L,TEMPORARY,41.23,10.37,3.72,2.54,0,425.89,160.53,7.76,5.24,57.1,30.47,45.08,1,1.3502,2024-11-27
2014,BG,LT13,B,PLATFORM,39.66,16.71,13.03,9.15,0,1037.62,1052.52,6.24,7.22,57.89,33.28,47.27,1,0.7233,2026-01-25
2015,FR,RO486,M,SELF_EMPLOYED,49.24,11.08,16.59,2.44,0,546.52,1046.13,5.91,5.13,64.83,69.99,51.46,1,3.0889,2025-10-01
2016,LT,PL168,C,PERMANENT,42.8,27.58,16.91,12.02,0,685.7,1215.76,6.58,7.84,74.42,36.88,28.64,0,1.4496,2025-08-27
2017,SK,FR794,N,APPRENTICE,31.69,9.67,14.3,6.28,0,96.94,886.1,7.64,6.93,23.25,42.1,56.19,1,2.9188,2025-01-19
2018,HR,SE66,D,TEMPORARY,32.31,6.42,31.26,20.27,1,116.09,958.06,6.85,7.37,38.29,19.25,9.51,1,3.4884,2025-05-17
2019,DE,DK642,O,PLATFORM,47.64,15.32,20.25,14.38,1,283.48,1126.94,5.76,7.01,59.69,18.24,32.78,1,1.8805,2025-11-10
2020,LU,RO534,E,SELF_EMPLOYED,33.92,15.65,9.79,13.08,1,888.49,251.64,6.97,5.15,81.85,65.42,4.91,1,3.0256,2024-03-11
2021,SI,BG32,P,PERMANENT,35.6,14.26,25.24,10.18,1,172.61,444.96,6.12,7.7,63.65,46.17,32.47,0,3.1593,2026-01-02
2022,CY,CY31,F,APPRENTICE,27.73,12.58,11.79,5.15,0,625.22,982.35,6.77,7.71,49.49,54.72,26.74,1,3.5034,2024-08-22
2023,GR,GR778,Q,TEMPORARY,41.32,2.28,12.46,11.4,0,315.33,1817.39,7.95,4.3,63.14,26.59,13.41,1,4.7386,2024-01-28
2024,MT,LU468,G,PLATFORM,46.16,2.64,27.78,18.39,0,732.2,571.13,5.86,7.0,25.79,13.64,40.22,1,2.6236,2024-07-09
2025,ES,DK727,R,SELF_EMPLOYED,28.9,9.81,23.09,2.19,0,70.61,1893.81,7.74,6.98,61.92,57.07,56.33,1,3.4375,2026-01-17
2006,CZ,CZ453,H,PERMANENT,40.87,4.54,9.31,13.52,0,424.92,442.48,5.37,6.61,36.01,36.78,50.2,0,2.0254,2025-10-21
2007,HU,PT76,S,APPRENTICE,28.42,7.57,16.95,5.71,0,559.39,1489.65,5.95,6.76,55.41,57.95,51.9,1,3.3505,2025-06-13
2008,NL,DK936,I,TEMPORARY,24.49,6.72,23.26,13.31,1,404.74,1210.32,5.83,5.69,51.86,11.68,44.49,0,4.1178,2024-01-11
2009,SE,CY653,T,PLATFORM,40.28,11.41,16.18,5.61,0,390.98,1514.76,5.35,5.09,47.53,48.97,32.07,0,2.4556,2025-05-13
2010,DK,BG93,J,SELF_EMPLOYED,41.0,21.33,35.89,7.33,1,168.43,661.94,5.2,5.46,30.98,22.82,69.14,1,3.0208,2025-01-10
2011,IE,PT22,U,PERMANENT,41.73,25.38,14.99,7.85,0,474.91,224.62,6.86,5.83,74.86,33.0,14.17,1,4.0525,2024-05-09
2012,PL,ES916,K,APPRENTICE,27.86,4.09,16.14,14.44,0,78.35,797.5,7.69,6.18,25.38,74.31,45.71,1,0.9991,2024-08-08
2013,AT,DE330,A,TEMPORARY,33.7,18.79,24.88,6.96,0,328.96,956.51,5.44,7.0,37.42,57.26,36.05,1,4.7306,2024-02-22
2014,EE,LU762,L,PLATFORM,29.52,18.51,6.14,7.71,0,236.01,1329.79,6.23,4.85,48.38,13.42,43.65,1,1.7257,2024-08-10
2015,IT,BE281,B,SELF_EMPLOYED,36.27,10.44,17.75,2.21,0,619.02,649.75,6.99,7.19,43.09,43.92,11.44,1,0.7817,2024-01-13
2016,PT,FI898,M,PERMANENT,33.72,14.54,15.97,19.44,0,474.14,1145.09,7.17,8.57,40.79,39.87,8.38,1,4.0547,2024-06-09
2017,BE,LV377,C,APPRENTICE,23.3,4.73,25.62,20.65,0,1045.44,1436.52,5.65,6.47,28.96,72.97,62.73,1,3.6322,2024-04-10
2018,FI,NL849,N,TEMPORARY,38.53,7.81,4.35,35.26,0,524.88,789.33,5.48,7.7,23.07,14.99,46.17,1,1.4412,2025-11-04
2019,LV,AT47,D,PLATFORM,37.55,1.91,34.41,6.02,0,1034.45,458.7,6.49,7.47,35.76,39.01,53.32,0,3.2891,2024-05-24
2020,RO,CY19,O,SELF_EMPLOYED,39.51,5.92,9.08,16.75,1,283.03,1501.3,7.52,7.39,70.77,53.74,7.23,1,3.8188,2024-02-27
2021,BG,AT3,E,PERMANENT,30.22,5.46,14.82,14.9,1,340.64,1081.74,5.19,8.54,44.39,24.86,5.62,1,3.3339,2025-12-02
2022,FR,AT5,P,APPRENTICE,26.89,2.05,9.59,12.93,1,613.89,331.32,5.88,5.49,63.63,21.78,57.3,1,4.5948,2024-05-08
2023,LT,ES121,F,TEMPORARY,40.71,13.67,20.87,10.13,0,1237.77,1314.84,8.08,6.17,76.58,28.08,44.08,1,0.3189,2024-06-13
2024,SK,GR5,Q,PLATFORM,30.02,7.86,11.43,6.87,0,575.72,290.13,4.86,5.23,23.54,47.4,18.1,0,2.344,2025-04-02
2025,HR,BE505,G,SELF_EMPLOYED,46.22,6.53,22.6,5.64,0,222.1,250.57,7.57,4.28,54.55,23.8,49.27,1,2.5158,2025-02-22
2006,DE,CY531,R,PERMANENT,28.47,2.34,18.13,18.96,0,640.43,910.72,7.62,6.98,34.98,79.53,25.22,1,0.5061,2025-09-30
2007,LU,IT454,H,APPRENTICE,21.76,13.92,24.35,21.43,0,712.32,588.48,6.0,7.05,22.83,24.97,50.17,1,3.6905,2025-03-27
2008,SI,FR8,S,TEMPORARY,38.81,7.24,15.51,19.17,0,61.6,843.27,7.29,7.46,29.03,61.82,45.96,1,1.238,2024-11-26
2009,CY,NL6,I,PLATFORM,45.29,12.98,25.86,8.99,1,704.21,1416.12,7.35,4.99,31.86,56.86,14.98,1,3.0353,2024-12-01
2010,GR,RO893,T,SELF_EMPLOYED,46.73,15.61,9.62,20.56,0,487.94,184.65,6.19,7.08,27.35,59.16,6.06,1,1.6922,2024-08-18
2011,MT,AT149,J,PERMANENT,38.73,4.8,25.48,8.01,0,569.57,1181.73,5.1,5.91,59.88,58.0,46.67,1,2.1885,2025-05-03
2012,ES,PL4,U,APPRENTICE,33.54,3.85,20.99,8.51,1,168.78,200.35,7.65,7.24,55.16,71.69,38.33,1,1.1462,2024-09-13
2013,CZ,RO40,K,TEMPORARY,24.2,12.31,18.64,24.8,0,136.15,894.44,7.18,8.11,70.55,60.24,46.53,1,2.9297,2025-05-10
2014,HU,SI163,A,PLATFORM,49.38,12.32,17.12,10.83,0,495.59,553.44,6.39,6.99,62.63,62.04,14.3,0,2.0319,2024-12-03
2015,NL,AT463,L,SELF_EMPLOYED,37.39,20.19,20.23,15.77,0,221.7,1358.43,8.55,5.83,30.56,59.6,55.48,0,1.8316,2024-03-01
2016,SE,DK531,B,PERMANENT,39.01,14.77,25.92,19.36,0,753.64,470.2,8.0,8.32,43.23,47.78,31.14,0,3.6276,2024-02-19
2017,DK,LU955,M,APPRENTICE,32.84,11.35,4.3,9.26,1,383.72,112.34,7.98,7.42,61.66,71.86,19.21,1,4.0621,2025-07-07
2018,IE,HU2,C,TEMPORARY,41.98,22.71,8.85,21.78,0,1116.06,887.23,7.06,7.72,41.45,34.64,51.83,1,3.9413,2024-07-08
2019,PL,RO30,N,PLATFORM,39.06,4.09,23.12,5.35,0,463.01,802.97,7.09,7.64,60.52,38.78,5.52,0,4.0733,2025-11-30
2020,AT,RO2,D,SELF_EMPLOYED,46.51,9.38,8.21,15.2,1,153.12,755.29,8.59,7.79,19.48,25.79,54.77,1,0.5807,2026-01-23
2021,EE,NL33,O,PERMANENT,39.89,12.39,18.22,25.68,1,98.14,854.43,6.86,7.06,87.56,30.86,48.49,1,1.253,2024-10-19
2022,IT,LU1,E,APPRENTICE,28.0,4.94,33.87,4.92,0,1051.27,1548.7,5.91,6.68,41.02,71.23,24.12,1,4.0076,2024-03-17
2023,PT,HR32,P,TEMPORARY,31.35,9.32,24.98,3.04,0,322.92,1267.72,5.67,6.35,62.11,12.66,33.53,1,4.1737,2024-09-17
2024,BE,IT76,F,PLATFORM,31.82,14.81,6.51,27.68,1,426.29,1266.3,7.21,5.54,71.25,46.4,33.67,1,3.5129,2024-04-09
2025,FI,PT671,Q,SELF_EMPLOYED,47.49,22.1,8.83,16.23,1,345.58,926.87,7.38,6.71,73.35,27.32,18.94,1,2.7263,2025-02-20
2006,LV,AT58,G,PERMANENT,33.68,16.66,9.88,8.36,0,192.28,277.94,7.35,5.77,31.41,76.96,53.73,0,1.3529,2026-01-31
2007,RO,GR254,R,APPRENTICE,25.33,4.33,26.31,16.62,0,51.52,980.91,6.88,7.27,56.17,17.36,15.03,1,0.29,2025-03-12
2008,BG,DE819,H,TEMPORARY,37.41,16.65,35.45,1.86,0,954.68,1286.98,5.48,5.38,46.7,38.7,24.93,1,1.4332,2024-09-20
2009,FR,DK51,S,PLATFORM,31.86,2.29,7.43,11.66,0,79.74,800.36,5.52,5.01,54.05,59.06,7.34,1,3.801,2025-06-23
2010,LT,LU59,I,SELF_EMPLOYED,40.15,17.5,23.68,5.39,0,315.12,1205.39,7.95,4.6,29.75,42.75,54.65,0,3.7746,2024-10-26
2011,SK,MT232,T,PERMANENT,33.94,9.8,12.33,6.11,0,122.55,420.76,6.28,6.1,38.05,54.42,24.29,1,3.6965,2025-02-12
2012,HR,ES2,J,APPRENTICE,31.03,3.08,32.46,5.23,0,532.41,109.46,7.96,7.83,39.26,49.56,8.31,0,3.9565,2024-01-11
2013,DE,LV66,U,TEMPORARY,37.59,3.99,17.74,21.93,0,302.14,1616.94,7.95,5.6,37.59,72.68,54.14,0,3.5537,2024-06-02
2014,LU,PT17,K,PLATFORM,43.8,11.34,9.55,11.47,0,147.65,698.11,4.93,4.85,59.78,49.05,22.08,1,0.7702,2025-04-30
2015,SI,EE601,A,SELF_EMPLOYED,44.89,12.38,7.32,8.31,0,294.35,214.7,7.21,7.19,73.07,38.61,30.74,1,4.0345,2025-07-21
2016,CY,AT83,L,PERMANENT,27.73,9.11,11.25,27.52,0,124.83,223.88,6.6,8.55,40.18,47.89,14.11,1,4.0277,2024-11-05
2017,GR,SE3,B,APPRENTICE,23.25,2.24,14.32,13.99,1,706.87,109.31,5.98,7.48,34.38,44.38,24.11,1,3.8657,2024-07-23
2018,MT,FI207,M,TEMPORARY,32.31,12.91,24.12,14.79,0,687.93,1168.6,5.8,5.67,31.37,54.2,35.91,0,2.8157,2024-09-18
2019,ES,LT5,C,PLATFORM,41.93,21.06,6.24,20.6,1,993.9,604.71,5.84,5.23,73.27,19.41,21.62,1,3.3359,2025-10-13
2020,CZ,CZ4,N,SELF_EMPLOYED,30.1,16.18,10.18,9.58,0,640.88,1376.0,6.89,7.24,24.43,15.21,29.33,1,2.1333,2024-08-31
2021,HU,MT109,D,PERMANENT,28.68,18.92,24.55,20.7,1,965.45,1552.31,8.02,5.2,72.01,30.56,19.54,0,4.7203,2025-10-20
2022,NL,SK9,O,APPRENTICE,25.87,6.63,12.94,21.93,1,633.15,970.73,7.57,5.5,41.7,39.17,21.85,1,3.6334,2024-12-04
2023,SE,SE90,E,TEMPORARY,31.14,5.28,6.65,23.16,0,432.8,503.05,7.47,8.71,58.96,65.69,12.02,0,3.1119,2024-10-31
2024,DK,SI88,P,PLATFORM,48.21,12.94,12.2,9.51,0,227.54,1243.87,6.29,5.45,47.78,26.67,47.81,1,2.5665,2025-10-22
2025,IE,GR828,F,SELF_EMPLOYED,37.5,4.2,37.58,8.69,0,592.35,1500.94,7.44,4.97,35.99,12.7,55.38,1,1.0352,2024-07-03
2006,PL,CY5,Q,PERMANENT,40.83,12.83,4.0,12.84,0,613.2,1338.01,6.56,6.75,81.61,13.88,54.96,1,1.2851,2026-01-16
2007,AT,SK4,G,APPRENTICE,28.5,1.85,27.07,20.14,0,638.46,685.45,6.2,8.15,28.63,73.58,40.77,0,2.8481,2024-07-18
2008,EE,IE89,R,TEMPORARY,25.33,8.97,21.04,12.35,0,147.96,159.4,5.51,5.35,17.06,66.46,37.71,1,4.2459,2024-12-01
2009,IT,NL970,H,PLATFORM,44.86,7.78,17.55,19.17,0,836.29,1328.71,5.19,5.79,47.12,15.15,40.12,0,3.5479,2026-01-11
2010,PT,SK45,S,SELF_EMPLOYED,41.12,19.24,16.25,19.69,0,501.51,1244.09,7.43,4.63,82.0,22.37,48.48,1,3.3472,2025-08-08
2011,BE,NL8,I,PERMANENT,36.66,15.43,22.31,8.12,0,277.76,628.3,5.8,4.96,26.63,68.98,56.01,1,4.7208,2025-08-01
2012,FI,FR22,T,APPRENTICE,31.91,9.3,25.13,27.15,0,479.17,1006.93,6.82,6.43,51.35,59.71,8.12,1,2.3264,2026-02-15
2013,LV,BG3,J,TEMPORARY,24.17,7.68,38.14,13.37,0,446.88,134.26,5.8,6.07,22.84,16.23,16.85,1,4.0847,2025-04-25
2014,RO,BG96,U,PLATFORM,46.52,19.05,17.61,5.04,0,190.95,1558.17,5.08,4.4,49.49,53.62,35.27,0,4.6307,2024-07-04
2015,BG,HU465,K,SELF_EMPLOYED,32.01,13.95,6.26,6.89,0,497.98,328.81,7.47,7.38,64.04,63.28,52.43,1,0.9954,2025-01-22
2016,FR,HR29,A,PERMANENT,36.67,6.1,20.9,16.39,0,204.23,914.01,5.87,5.33,22.48,33.42,28.95,1,4.5844,2025-10-15
2017,LT,BE7,L,APPRENTICE,21.69,2.2,20.51,14.27,0,158.77,1347.04,7.66,7.32,36.22,50.47,8.77,0,3.503,2024-06-07
2018,SK,BE87,B,TEMPORARY,29.35,13.34,9.65,21.51,1,409.83,554.27,7.6,7.79,33.24,11.24,23.67,1,3.2969,2025-08-17
2019,HR,HR81,M,PLATFORM,43.68,17.42,24.08,9.71,0,691.35,1254.52,4.73,4.98,58.57,45.42,39.73,1,4.0571,2025-11-11
2020,DE,AT816,C,SELF_EMPLOYED,39.93,14.42,11.46,11.87,1,361.36,274.55,7.34,5.52,56.18,71.66,18.41,1,3.0095,2025-11-04
2021,LU,MT937,N,PERMANENT,28.25,9.86,24.12,10.99,0,123.95,1515.52,7.14,6.93,50.19,34.3,53.0,1,2.5903,2025-01-02
2022,SI,AT431,D,APPRENTICE,24.81,16.77,21.0,11.17,1,883.37,438.81,5.37,7.88,77.6,76.71,45.71,1,2.257,2024-07-31
2023,CY,GR848,O,TEMPORARY,31.2,4.13,15.94,4.86,1,54.55,955.5,5.99,7.76,50.99,37.03,4.51,1,2.0748,2026-02-20
2024,GR,SK69,E,PLATFORM,30.24,18.8,6.53,3.35,0,774.42,803.77,6.0,6.64,26.72,33.55,53.36,0,2.0336,2024-06-04
2025,MT,HU326,P,SELF_EMPLOYED,44.51,23.09,16.38,22.27,0,180.01,764.88,5.74,6.47,40.33,33.71,28.42,0,1.2298,2025-11-08
2006,ES,SE619,F,PERMANENT,25.46,12.13,9.89,2.89,0,512.46,422.67,6.09,5.06,31.98,51.46,48.56,0,2.6662,2024-10-06
2007,CZ,HR8,Q,APPRENTICE,22.34,3.62,6.19,14.05,0,109.31,1209.29,7.53,7.52,64.36,34.39,27.87,1,1.4498,2025-05-19
2008,HU,PL42,G,TEMPORARY,31.79,17.28,8.05,21.71,0,390.25,839.43,8.45,5.92,68.59,62.66,11.02,1,3.9475,2025-12-21
2009,NL,BG365,R,PLATFORM,42.31,2.37,18.1,3.22,0,675.5,1191.71,6.1,6.03,32.84,67.82,33.8,0,0.4915,2024-06-11
2010,SE,CZ5,H,SELF_EMPLOYED,37.32,7.47,38.58,20.29,0,501.83,145.18,7.49,6.02,19.5,55.29,71.96,1,2.3062,2024-04-19
2011,DK,LV533,S,PERMANENT,30.51,6.04,14.21,5.93,0,77.53,431.8,6.35,5.49,44.59,30.07,73.15,1,0.6117,2026-01-19
2012,IE,IT885,I,APPRENTICE,25.3,11.37,16.97,6.86,0,265.79,213.02,6.66,5.53,25.09,48.43,52.86,1,0.8966,2024-05-26
2013,PL,PT359,T,TEMPORARY,42.99,14.76,12.54,21.53,0,515.99,961.65,7.59,4.79,22.25,37.52,54.94,1,2.3897,2025-06-21
2014,AT,HR19,J,PLATFORM,47.26,15.56,7.41,20.96,0,727.79,1241.99,6.95,6.77,31.11,31.49,55.4,1,0.5835,2024-01-17
2015,EE,CZ1,U,SELF_EMPLOYED,28.94,4.32,24.09,11.89,0,611.36,1516.13,5.68,7.75,17.18,62.1,35.42,1,0.5578,2025-09-25
2016,IT,FR28,K,PERMANENT,37.59,16.83,17.07,12.25,0,123.78,1331.61,8.14,7.36,37.35,18.19,39.16,1,2.9748,2024-10-16
2017,PT,LU3,A,APPRENTICE,25.78,3.03,14.61,13.75,0,441.5,1401.24,6.81,8.47,33.93,22.28,17.19,1,3.0694,2025-08-16
2018,BE,CY864,L,TEMPORARY,24.85,8.92,17.76,20.56,0,197.74,576.48,6.98,6.71,48.15,29.1,81.18,1,4.2355,2025-02-04
2019,FI,AT662,B,PLATFORM,36.41,15.62,7.13,8.52,0,342.86,260.77,6.52,5.59,33.96,38.98,9.53,1,2.3343,2024-02-02
2020,LV,EE73,M,SELF_EMPLOYED,46.52,24.44,27.34,31.84,0,127.45,1212.62,7.14,7.02,77.32,37.7,5.87,0,3.0115,2026-01-15
2021,RO,PL73,C,PERMANENT,42.6,26.18,37.14,7.47,0,836.44,321.59,5.45,6.12,73.22,37.83,48.13,0,0.8527,2025-05-08
2022,BG,LV61,N,APPRENTICE,24.86,11.09,6.99,15.34,1,453.37,1638.76,8.7,8.03,28.06,23.31,32.63,0,3.3093,2024-10-24
2023,FR,LV729,D,TEMPORARY,32.69,13.56,11.48,6.04,0,317.42,804.8,6.03,5.18,54.24,57.84,13.14,0,3.2477,2025-02-09
2024,LT,SK36,O,PLATFORM,34.65,5.63,14.63,14.68,1,498.07,848.45,6.15,5.69,57.21,10.41,23.94,0,2.8851,2024-12-20
2025,SK,MT37,E,SELF_EMPLOYED,35.9,2.97,38.12,5.24,0,370.98,382.63,7.14,6.6,54.78,50.33,9.22,1,3.9259,2024-05-26
