house_permits_reference_month,house_permits_country_iso2,house_permits_region_nuts_code,house_permits_building_type_code,house_permits_dwellings_authorised_count,house_permits_floor_area_authorised_m2,house_permits_construction_cost_index,house_permits_construction_time_months_median,house_permits_material_cost_index,house_permits_labor_shortage_index,house_permits_green_building_standard_flag,house_permits_social_housing_quota_flag,house_permits_renovation_permits_count,house_permits_demolition_permits_count,house_permits_land_use_planning_code,house_permits_flood_risk_zone_flag,house_permits_epbd_compliance_flag,house_permits_data_source,house_permits_revision_round,house_permits_data_extract_date
2020-01,SI,ES706,RESIDENTIAL_SINGLE_FAMILY,5258,453251.78,106.64,34.31,125.18,2.5903,0,0,11324,784,URBAN_REGEN,0,0,EUROSTAT_BUILD_PERMITS,FLASH,2024-05-12
2020-02,CY,RO189,MIXED_USE,3008,301111.72,123.46,10.75,121.69,0.2407,0,0,10481,347,FAST_TRACK,0,1,MUNICIPAL_PERMIT_SYSTEM,BENCHMARK,2025-07-30
2020-03,GR,NL1,INDUSTRIAL,3540,457759.65,112.64,8.58,129.41,1.0319,1,0,8968,1907,ZONING_PLAN_B,0,0,CONSTRUCTION_ASSOCIATION,SECOND,2024-03-16
2020-04,MT,FI71,PUBLIC,1362,147762.28,104.19,35.65,105.48,2.2708,1,0,147,732,ZONING_PLAN_A,0,1,SATELLITE_DERIVED_ESTIMATE,FIRST,2024-02-23
2020-05,ES,IT917,COMMERCIAL,3132,318044.18,112.59,18.28,96.38,1.4358,0,0,2706,1571,FLOODPLAIN_CONTROL,0,1,EUROSTAT_BUILD_PERMITS,FLASH,2026-01-31
2020-06,CZ,LU33,RESIDENTIAL_MULTI_FAMILY,2450,353984.14,128.09,10.22,115.32,2.6299,1,1,13015,1516,COASTAL_CONTROL,0,0,MUNICIPAL_PERMIT_SYSTEM,BENCHMARK,2024-08-11
2020-07,HU,DK71,RESIDENTIAL_SINGLE_FAMILY,8736,1362073.76,116.44,23.68,117.01,2.9274,0,0,14880,441,BROWNFIELD_REUSE,0,1,CONSTRUCTION_ASSOCIATION,SECOND,2025-06-04
2020-08,NL,SK85,MIXED_USE,2676,394571.92,110.59,36.22,126.06,1.5788,1,0,8965,593,URBAN_REGEN,0,1,SATELLITE_DERIVED_ESTIMATE,FIRST,2024-09-24
2020-09,SE,HU78,INDUSTRIAL,778,55705.5,121.23,29.07,135.03,1.6436,0,1,8997,1691,FAST_TRACK,0,1,EUROSTAT_BUILD_PERMITS,FLASH,2026-02-12
2020-10,DK,FI81,PUBLIC,2818,302263.11,113.07,21.34,113.58,3.025,0,1,3738,798,ZONING_PLAN_B,0,1,MUNICIPAL_PERMIT_SYSTEM,BENCHMARK,2024-10-06
2020-11,IE,BG950,COMMERCIAL,2685,237411.15,112.46,30.47,118.56,1.7871,0,1,8861,1523,ZONING_PLAN_A,1,0,CONSTRUCTION_ASSOCIATION,SECOND,2025-04-13
2020-12,PL,MT485,RESIDENTIAL_MULTI_FAMILY,4245,370313.97,122.63,15.2,111.05,1.0299,1,0,13714,688,FLOODPLAIN_CONTROL,0,1,SATELLITE_DERIVED_ESTIMATE,FIRST,2026-02-13
2021-01,AT,PT697,RESIDENTIAL_SINGLE_FAMILY,349,30165.86,113.05,32.81,137.36,3.0009,1,0,13467,149,COASTAL_CONTROL,0,1,EUROSTAT_BUILD_PERMITS,FLASH,2025-01-18
2021-02,EE,IT5,MIXED_USE,3965,354965.88,123.25,18.64,147.01,2.5935,0,0,172,998,BROWNFIELD_REUSE,0,0,MUNICIPAL_PERMIT_SYSTEM,BENCHMARK,2025-10-26
2021-03,IT,DE77,INDUSTRIAL,2411,149486.55,111.8,10.44,113.36,0.8435,0,1,10950,540,URBAN_REGEN,0,0,CONSTRUCTION_ASSOCIATION,SECOND,2025-05-18
2021-04,PT,LU709,PUBLIC,843,40307.44,123.35,37.14,116.76,2.2891,1,0,14037,1775,FAST_TRACK,1,1,SATELLITE_DERIVED_ESTIMATE,FIRST,2025-02-26
2021-05,BE,LV9,COMMERCIAL,5372,318853.33,120.71,17.69,127.79,2.6983,1,0,9814,987,ZONING_PLAN_B,0,1,EUROSTAT_BUILD_PERMITS,FLASH,2025-05-20
2021-06,FI,CZ23,RESIDENTIAL_MULTI_FAMILY,629,36428.17,117.97,34.86,131.95,1.5569,0,0,1370,1952,ZONING_PLAN_A,1,0,MUNICIPAL_PERMIT_SYSTEM,BENCHMARK,2025-06-23
2021-07,LV,IT950,RESIDENTIAL_SINGLE_FAMILY,722,91863.93,125.12,10.76,123.3,1.4347,1,0,5509,960,FLOODPLAIN_CONTROL,0,1,CONSTRUCTION_ASSOCIATION,SECOND,2024-05-19
2021-08,RO,HU100,MIXED_USE,1373,106669.18,117.52,17.77,113.54,0.658,0,0,12889,1207,COASTAL_CONTROL,0,1,SATELLITE_DERIVED_ESTIMATE,FIRST,2025-05-18
2021-09,BG,CY555,INDUSTRIAL,3563,393475.32,128.19,18.18,129.69,1.3048,0,0,7260,1879,BROWNFIELD_REUSE,0,1,EUROSTAT_BUILD_PERMITS,FLASH,2025-09-06
2021-10,FR,EE1,PUBLIC,3716,239692.51,108.74,16.46,101.72,1.2432,0,0,14633,837,URBAN_REGEN,0,0,MUNICIPAL_PERMIT_SYSTEM,BENCHMARK,2025-07-04
2021-11,LT,LT285,COMMERCIAL,2209,315964.48,130.44,35.75,111.83,3.0081,0,0,8875,632,FAST_TRACK,0,1,CONSTRUCTION_ASSOCIATION,SECOND,2025-09-25
2021-12,SK,FR89,RESIDENTIAL_MULTI_FAMILY,1746,201282.41,117.88,20.55,118.95,1.1152,1,0,12720,152,ZONING_PLAN_B,0,1,SATELLITE_DERIVED_ESTIMATE,FIRST,2024-10-26
2022-01,HR,FI837,RESIDENTIAL_SINGLE_FAMILY,1431,215355.1,110.6,32.45,129.49,2.5668,0,0,6972,726,ZONING_PLAN_A,0,1,EUROSTAT_BUILD_PERMITS,FLASH,2024-12-29
2022-02,DE,EE163,MIXED_USE,3329,280256.45,128.18,21.16,105.89,1.9112,0,0,13195,1291,FLOODPLAIN_CONTROL,0,0,MUNICIPAL_PERMIT_SYSTEM,BENCHMARK,2024-12-06
2022-03,LU,BG52,INDUSTRIAL,5702,591600.89,131.98,22.74,111.9,1.4744,0,0,14888,1057,COASTAL_CONTROL,0,1,CONSTRUCTION_ASSOCIATION,SECOND,2024-04-15
2022-04,SI,IT27,PUBLIC,4463,405284.83,125.75,14.88,124.71,0.269,0,0,7405,1516,BROWNFIELD_REUSE,0,0,SATELLITE_DERIVED_ESTIMATE,FIRST,2026-01-05
2022-05,CY,EE692,COMMERCIAL,4246,523981.18,117.08,27.47,127.83,1.9211,0,0,5368,1057,URBAN_REGEN,0,1,EUROSTAT_BUILD_PERMITS,FLASH,2025-05-01
2022-06,GR,RO59,RESIDENTIAL_MULTI_FAMILY,10601,1409641.96,131.57,25.06,130.26,1.1953,0,0,2880,862,FAST_TRACK,0,0,MUNICIPAL_PERMIT_SYSTEM,BENCHMARK,2025-08-12
2022-07,MT,LU99,RESIDENTIAL_SINGLE_FAMILY,4171,513709.19,113.92,13.55,129.81,0.7147,1,0,568,438,ZONING_PLAN_B,0,0,CONSTRUCTION_ASSOCIATION,SECOND,2024-07-03
2022-08,ES,CZ3,MIXED_USE,3037,231099.55,106.77,28.25,142.39,2.847,1,0,1499,536,ZONING_PLAN_A,0,1,SATELLITE_DERIVED_ESTIMATE,FIRST,2025-08-06
2022-09,CZ,AT97,INDUSTRIAL,4248,429772.67,109.56,16.06,127.07,0.9385,1,0,2316,1136,FLOODPLAIN_CONTROL,0,1,EUROSTAT_BUILD_PERMITS,FLASH,2025-01-02
2022-10,HU,FI64,PUBLIC,2120,148103.84,121.42,9.72,102.19,2.7521,1,0,5367,282,COASTAL_CONTROL,0,1,MUNICIPAL_PERMIT_SYSTEM,BENCHMARK,2025-10-06
2022-11,NL,ES934,COMMERCIAL,918,100742.14,126.57,12.76,129.82,2.5434,1,0,8242,308,BROWNFIELD_REUSE,0,0,CONSTRUCTION_ASSOCIATION,SECOND,2025-12-15
2022-12,SE,IE252,RESIDENTIAL_MULTI_FAMILY,4068,397471.06,129.53,27.46,131.86,3.0975,0,0,13102,504,URBAN_REGEN,0,0,SATELLITE_DERIVED_ESTIMATE,FIRST,2024-10-21
2023-01,DK,SI96,RESIDENTIAL_SINGLE_FAMILY,6471,658151.69,113.36,27.68,144.57,2.9262,0,1,7124,246,FAST_TRACK,0,0,EUROSTAT_BUILD_PERMITS,FLASH,2025-05-22
2023-02,IE,ES73,MIXED_USE,2060,196196.54,132.27,25.11,125.52,0.8106,0,0,7519,62,ZONING_PLAN_B,1,0,MUNICIPAL_PERMIT_SYSTEM,BENCHMARK,2026-02-21
2023-03,PL,RO77,INDUSTRIAL,3497,436221.0,140.53,21.43,134.44,2.2903,0,0,5562,1178,ZONING_PLAN_A,0,1,CONSTRUCTION_ASSOCIATION,SECOND,2024-11-09
2023-04,AT,GR4,PUBLIC,5701,671679.85,127.9,24.44,118.76,2.8543,1,0,4122,1295,FLOODPLAIN_CONTROL,1,1,SATELLITE_DERIVED_ESTIMATE,FIRST,2024-08-16
2023-05,EE,SE43,COMMERCIAL,2470,184322.22,121.01,29.98,138.62,1.552,0,1,9919,1691,COASTAL_CONTROL,0,1,EUROSTAT_BUILD_PERMITS,FLASH,2025-10-27
2023-06,IT,EE96,RESIDENTIAL_MULTI_FAMILY,4359,297719.71,118.7,13.49,121.38,1.5763,0,0,1216,1756,BROWNFIELD_REUSE,0,0,MUNICIPAL_PERMIT_SYSTEM,BENCHMARK,2024-03-14
2023-07,PT,CY783,RESIDENTIAL_SINGLE_FAMILY,1684,180424.26,138.51,21.86,131.97,3.0238,1,0,1361,1268,URBAN_REGEN,0,1,CONSTRUCTION_ASSOCIATION,SECOND,2024-05-04
2023-08,BE,HR76,MIXED_USE,1458,167095.48,103.1,9.39,128.8,1.7029,0,1,12621,1671,FAST_TRACK,0,1,SATELLITE_DERIVED_ESTIMATE,FIRST,2025-01-28
2023-09,FI,LU595,INDUSTRIAL,3990,544068.13,140.6,19.81,148.11,2.5864,1,0,9924,1698,ZONING_PLAN_B,0,1,EUROSTAT_BUILD_PERMITS,FLASH,2025-01-27
2023-10,LV,RO9,PUBLIC,367,53286.62,125.94,11.73,137.27,0.4014,1,0,5696,1970,ZONING_PLAN_A,0,0,MUNICIPAL_PERMIT_SYSTEM,BENCHMARK,2025-10-15
2023-11,RO,LT13,COMMERCIAL,2092,178948.58,126.54,16.39,132.37,1.87,0,0,12321,1273,FLOODPLAIN_CONTROL,0,1,CONSTRUCTION_ASSOCIATION,SECOND,2024-06-26
2023-12,BG,RO486,RESIDENTIAL_MULTI_FAMILY,5277,465078.62,114.85,22.63,136.79,2.2338,1,0,5385,1360,COASTAL_CONTROL,0,1,SATELLITE_DERIVED_ESTIMATE,FIRST,2024-08-18
2024-01,FR,PL168,RESIDENTIAL_SINGLE_FAMILY,10172,599538.62,137.25,20.63,130.3,2.4416,1,0,3283,1406,BROWNFIELD_REUSE,0,1,EUROSTAT_BUILD_PERMITS,FLASH,2025-07-13
2024-02,LT,FR794,MIXED_USE,3984,487675.8,137.72,30.03,130.62,1.9281,1,0,6563,1918,URBAN_REGEN,0,1,MUNICIPAL_PERMIT_SYSTEM,BENCHMARK,2024-02-18
2024-03,SK,SE66,INDUSTRIAL,485,53840.03,133.54,33.46,134.86,1.8635,1,0,7986,955,FAST_TRACK,0,1,CONSTRUCTION_ASSOCIATION,SECOND,2024-09-30
2024-04,HR,DK642,PUBLIC,1412,172967.8,120.24,24.41,141.13,0.5374,1,1,9529,1781,ZONING_PLAN_B,0,1,SATELLITE_DERIVED_ESTIMATE,FIRST,2024-11-25
2024-05,DE,RO534,COMMERCIAL,1407,90067.82,112.0,35.31,101.41,2.5637,0,1,6942,26,ZONING_PLAN_A,0,0,EUROSTAT_BUILD_PERMITS,FLASH,2025-10-11
2024-06,LU,BG32,RESIDENTIAL_MULTI_FAMILY,1741,168633.88,124.83,24.39,160.21,2.4426,1,0,11053,234,FLOODPLAIN_CONTROL,1,1,MUNICIPAL_PERMIT_SYSTEM,BENCHMARK,2024-06-14
2024-07,SI,CY31,RESIDENTIAL_SINGLE_FAMILY,3525,354029.05,117.42,25.33,134.17,0.607,0,1,254,1891,COASTAL_CONTROL,0,0,CONSTRUCTION_ASSOCIATION,SECOND,2025-05-06
2024-08,CY,GR778,MIXED_USE,1522,195792.92,116.61,35.07,141.02,1.4836,0,0,3130,13,BROWNFIELD_REUSE,0,1,SATELLITE_DERIVED_ESTIMATE,FIRST,2025-03-30
2024-09,GR,LU468,INDUSTRIAL,3135,398963.24,112.22,30.94,143.74,2.3567,1,0,9098,721,URBAN_REGEN,0,0,EUROSTAT_BUILD_PERMITS,FLASH,2026-02-12
2024-10,MT,DK727,PUBLIC,214,12466.23,105.32,7.83,131.27,0.1949,0,1,8864,239,FAST_TRACK,0,0,MUNICIPAL_PERMIT_SYSTEM,BENCHMARK,2025-07-28
2024-11,ES,CZ453,COMMERCIAL,3116,164165.85,119.43,13.13,149.05,2.8763,0,0,346,1258,ZONING_PLAN_B,0,0,CONSTRUCTION_ASSOCIATION,SECOND,2024-06-28
2024-12,CZ,PT76,RESIDENTIAL_MULTI_FAMILY,5995,408251.89,142.5,9.23,149.63,2.4446,1,1,10422,1829,ZONING_PLAN_A,1,1,SATELLITE_DERIVED_ESTIMATE,FIRST,2024-02-15
2025-01,HU,DK936,RESIDENTIAL_SINGLE_FAMILY,8781,736515.48,114.91,9.43,143.02,2.523,0,0,1139,1917,FLOODPLAIN_CONTROL,0,1,EUROSTAT_BUILD_PERMITS,FLASH,2025-08-13
2025-02,NL,CY653,MIXED_USE,4395,630477.69,123.24,13.63,135.09,1.2292,0,0,13695,924,COASTAL_CONTROL,1,0,MUNICIPAL_PERMIT_SYSTEM,BENCHMARK,2026-02-04
2025-03,SE,BG93,INDUSTRIAL,1825,126520.23,134.65,24.28,145.02,1.0795,0,0,8541,1096,BROWNFIELD_REUSE,0,0,CONSTRUCTION_ASSOCIATION,SECOND,2026-01-27
2025-04,DK,PT22,PUBLIC,4950,554085.49,141.84,26.16,143.27,2.9918,1,0,5158,105,URBAN_REGEN,0,1,SATELLITE_DERIVED_ESTIMATE,FIRST,2024-10-13
2025-05,IE,ES916,COMMERCIAL,6055,738569.65,138.29,7.59,154.79,0.3734,0,0,11430,448,FAST_TRACK,0,0,EUROSTAT_BUILD_PERMITS,FLASH,2025-01-22
2025-06,PL,DE330,RESIDENTIAL_MULTI_FAMILY,60,3629.55,113.26,7.66,159.23,0.759,0,0,6702,918,ZONING_PLAN_B,1,0,MUNICIPAL_PERMIT_SYSTEM,BENCHMARK,2024-08-08
2025-07,AT,LU762,RESIDENTIAL_SINGLE_FAMILY,9965,940172.03,108.78,26.75,118.16,0.2382,1,0,9264,391,ZONING_PLAN_A,1,1,CONSTRUCTION_ASSOCIATION,SECOND,2024-06-12
2025-08,EE,BE281,MIXED_USE,4507,331667.43,145.76,36.51,154.36,1.8597,0,0,5136,1708,FLOODPLAIN_CONTROL,0,1,SATELLITE_DERIVED_ESTIMATE,FIRST,2025-07-03
2025-09,IT,FI898,INDUSTRIAL,2552,155090.26,120.05,21.16,152.24,1.2851,0,0,10823,1574,COASTAL_CONTROL,0,0,EUROSTAT_BUILD_PERMITS,FLASH,2025-02-09
2025-10,PT,LV377,PUBLIC,5441,432617.86,122.24,9.11,121.21,1.6236,0,1,10267,947,BROWNFIELD_REUSE,0,0,MUNICIPAL_PERMIT_SYSTEM,BENCHMARK,2024-06-21
2025-11,BE,NL849,COMMERCIAL,3601,224832.13,112.71,16.69,141.22,1.1956,0,0,4599,2316,URBAN_REGEN,0,0,CONSTRUCTION_ASSOCIATION,SECOND,2024-11-23
2025-12,FI,AT47,RESIDENTIAL_MULTI_FAMILY,9605,1521971.84,138.44,33.25,124.22,1.5506,1,0,7047,1421,FAST_TRACK,0,1,SATELLITE_DERIVED_ESTIMATE,FIRST,2024-07-14
2026-01,LV,CY19,RESIDENTIAL_SINGLE_FAMILY,9313,954083.0,150.96,14.78,126.88,0.1851,0,1,8725,913,ZONING_PLAN_B,0,0,EUROSTAT_BUILD_PERMITS,FLASH,2024-03-22
2026-02,RO,AT3,MIXED_USE,2710,332717.85,148.1,22.13,143.77,0.4092,1,1,13969,461,ZONING_PLAN_A,0,1,MUNICIPAL_PERMIT_SYSTEM,BENCHMARK,2025-02-19
2026-03,BG,AT5,INDUSTRIAL,4811,358493.5,123.55,21.91,162.15,0.8916,0,0,13130,271,FLOODPLAIN_CONTROL,0,0,CONSTRUCTION_ASSOCIATION,SECOND,2025-08-09
2026-04,FR,ES121,PUBLIC,6004,600589.62,142.27,34.53,122.47,1.4628,0,0,6897,1209,COASTAL_CONTROL,0,1,SATELLITE_DERIVED_ESTIMATE,FIRST,2024-12-27
2026-05,LT,GR5,COMMERCIAL,3960,262411.49,116.35,18.7,154.2,0.5693,1,0,8546,258,BROWNFIELD_REUSE,0,0,EUROSTAT_BUILD_PERMITS,FLASH,2026-02-09
2026-06,SK,BE505,RESIDENTIAL_MULTI_FAMILY,6244,534782.22,141.03,10.18,119.56,3.0141,1,0,10205,2479,URBAN_REGEN,1,1,MUNICIPAL_PERMIT_SYSTEM,BENCHMARK,2025-09-23
2026-07,HR,CY531,RESIDENTIAL_SINGLE_FAMILY,7787,647551.62,118.43,6.45,142.21,0.2672,1,0,3789,122,FAST_TRACK,0,1,CONSTRUCTION_ASSOCIATION,SECOND,2025-06-27
2026-08,DE,IT454,MIXED_USE,4449,523386.39,125.16,21.69,114.75,0.4651,0,0,14165,1832,ZONING_PLAN_B,0,1,SATELLITE_DERIVED_ESTIMATE,FIRST,2025-05-14
2026-09,LU,FR8,INDUSTRIAL,6002,333784.65,137.1,26.14,140.54,1.7659,0,0,12453,1621,ZONING_PLAN_A,0,1,EUROSTAT_BUILD_PERMITS,FLASH,2025-05-19
2026-10,SI,NL6,PUBLIC,3524,285016.09,136.37,33.91,125.61,1.5557,0,0,10876,885,FLOODPLAIN_CONTROL,0,0,MUNICIPAL_PERMIT_SYSTEM,BENCHMARK,2024-07-15
2026-11,CY,RO893,COMMERCIAL,2092,266394.93,107.66,9.01,165.94,0.3777,1,1,5528,1431,COASTAL_CONTROL,0,1,CONSTRUCTION_ASSOCIATION,SECOND,2025-02-26
2026-12,GR,AT149,RESIDENTIAL_MULTI_FAMILY,8965,615146.89,133.98,34.17,135.17,2.09,1,0,11864,975,BROWNFIELD_REUSE,0,0,SATELLITE_DERIVED_ESTIMATE,FIRST,2024-02-28
2016-01,MT,PL4,RESIDENTIAL_SINGLE_FAMILY,5291,657304.51,115.11,23.9,103.95,1.1504,1,0,4634,1566,URBAN_REGEN,0,0,EUROSTAT_BUILD_PERMITS,FLASH,2025-03-09
2016-02,ES,RO40,MIXED_USE,2142,201609.3,113.12,20.13,107.58,0.1082,0,0,8862,1734,FAST_TRACK,0,0,MUNICIPAL_PERMIT_SYSTEM,BENCHMARK,2025-07-21
2016-03,CZ,SI163,INDUSTRIAL,2746,233107.79,103.68,27.31,117.31,1.5071,0,0,2215,390,ZONING_PLAN_B,0,0,CONSTRUCTION_ASSOCIATION,SECOND,2025-01-22
2016-04,HU,AT463,PUBLIC,2356,174283.12,103.21,9.63,113.65,0.9714,1,0,5060,1264,ZONING_PLAN_A,0,0,SATELLITE_DERIVED_ESTIMATE,FIRST,2025-07-30
2016-05,NL,DK531,COMMERCIAL,2372,134829.79,104.05,25.32,110.1,1.5896,0,0,8518,535,FLOODPLAIN_CONTROL,0,0,EUROSTAT_BUILD_PERMITS,FLASH,2025-07-22
2016-06,SE,LU955,RESIDENTIAL_MULTI_FAMILY,887,78627.52,96.14,20.68,96.22,0.7281,0,0,1379,414,COASTAL_CONTROL,0,1,MUNICIPAL_PERMIT_SYSTEM,BENCHMARK,2025-08-02
2016-07,DK,HU2,RESIDENTIAL_SINGLE_FAMILY,3680,426582.63,109.87,8.01,104.79,1.0087,1,0,1921,104,BROWNFIELD_REUSE,0,0,CONSTRUCTION_ASSOCIATION,SECOND,2024-05-14
2016-08,IE,RO30,MIXED_USE,1639,90969.05,94.3,10.28,102.13,1.4976,0,1,7547,1566,URBAN_REGEN,0,0,SATELLITE_DERIVED_ESTIMATE,FIRST,2024-08-09
2016-09,PL,RO2,INDUSTRIAL,4801,235614.26,110.8,11.03,99.71,0.2996,0,1,3562,932,FAST_TRACK,1,0,EUROSTAT_BUILD_PERMITS,FLASH,2025-08-13
2016-10,AT,NL33,PUBLIC,3654,318698.52,103.69,22.15,112.22,0.811,0,0,8473,980,ZONING_PLAN_B,0,0,MUNICIPAL_PERMIT_SYSTEM,BENCHMARK,2024-05-15
2016-11,EE,LU1,COMMERCIAL,4752,449485.62,95.64,16.65,113.77,0.4358,0,1,6189,160,ZONING_PLAN_A,0,0,CONSTRUCTION_ASSOCIATION,SECOND,2024-12-05
2016-12,IT,HR32,RESIDENTIAL_MULTI_FAMILY,5898,764593.42,102.18,25.08,95.68,1.4029,1,1,521,716,FLOODPLAIN_CONTROL,1,0,SATELLITE_DERIVED_ESTIMATE,FIRST,2024-07-01
2017-01,PT,IT76,RESIDENTIAL_SINGLE_FAMILY,5630,557763.46,106.4,20.3,122.27,0.1865,0,0,5022,1895,COASTAL_CONTROL,0,0,EUROSTAT_BUILD_PERMITS,FLASH,2024-07-02
2017-02,BE,PT671,MIXED_USE,2283,200819.13,107.83,17.42,100.83,1.7949,1,0,2801,1801,BROWNFIELD_REUSE,0,0,MUNICIPAL_PERMIT_SYSTEM,BENCHMARK,2025-11-06
2017-03,FI,AT58,INDUSTRIAL,5854,439351.46,103.99,21.25,115.47,1.195,0,0,7841,431,URBAN_REGEN,0,0,CONSTRUCTION_ASSOCIATION,SECOND,2025-12-02
2017-04,LV,GR254,PUBLIC,1692,168890.83,104.35,26.92,99.98,1.5842,0,1,5519,1680,FAST_TRACK,0,0,SATELLITE_DERIVED_ESTIMATE,FIRST,2024-08-06
2017-05,RO,DE819,COMMERCIAL,447,33097.56,110.57,23.49,106.45,1.5896,1,0,1020,230,ZONING_PLAN_B,1,0,EUROSTAT_BUILD_PERMITS,FLASH,2025-05-02
2017-06,BG,DK51,RESIDENTIAL_MULTI_FAMILY,4700,549459.84,96.18,21.4,114.53,1.1196,0,0,2944,1587,ZONING_PLAN_A,0,0,MUNICIPAL_PERMIT_SYSTEM,BENCHMARK,2025-09-19
2017-07,FR,LU59,RESIDENTIAL_SINGLE_FAMILY,2385,277047.81,115.03,26.11,113.89,0.3059,0,0,1786,1234,FLOODPLAIN_CONTROL,0,0,CONSTRUCTION_ASSOCIATION,SECOND,2025-05-22
2017-08,LT,MT232,MIXED_USE,379,30712.47,104.13,16.41,107.55,1.2941,0,1,5376,1786,COASTAL_CONTROL,1,1,SATELLITE_DERIVED_ESTIMATE,FIRST,2024-08-13
2017-09,SK,ES2,INDUSTRIAL,2849,281521.62,106.99,13.26,124.67,0.9616,1,0,3244,1759,BROWNFIELD_REUSE,0,0,EUROSTAT_BUILD_PERMITS,FLASH,2026-02-09
2017-10,HR,LV66,PUBLIC,1427,83358.27,120.23,25.37,111.19,1.8424,1,0,8754,626,URBAN_REGEN,0,0,MUNICIPAL_PERMIT_SYSTEM,BENCHMARK,2025-04-13
2017-11,DE,PT17,COMMERCIAL,377,27585.32,101.19,19.95,120.63,0.5222,1,0,4009,1355,FAST_TRACK,1,0,CONSTRUCTION_ASSOCIATION,SECOND,2025-04-26
2017-12,LU,EE601,RESIDENTIAL_MULTI_FAMILY,9760,1011698.18,118.54,22.2,115.77,0.1247,0,0,1804,1322,ZONING_PLAN_B,1,0,SATELLITE_DERIVED_ESTIMATE,FIRST,2025-09-23
2018-01,SI,AT83,RESIDENTIAL_SINGLE_FAMILY,860,73226.49,109.02,16.21,108.56,1.6426,0,1,2572,265,ZONING_PLAN_A,0,0,EUROSTAT_BUILD_PERMITS,FLASH,2026-01-09
2018-02,CY,SE3,MIXED_USE,456,26775.23,115.46,12.52,110.03,0.4768,0,0,6614,1359,FLOODPLAIN_CONTROL,0,0,MUNICIPAL_PERMIT_SYSTEM,BENCHMARK,2024-03-05
2018-03,GR,FI207,INDUSTRIAL,5198,440359.59,100.14,11.94,99.29,1.027,0,1,2999,577,COASTAL_CONTROL,1,0,CONSTRUCTION_ASSOCIATION,SECOND,2024-04-01
2018-04,MT,LT5,PUBLIC,1636,151462.66,114.98,16.7,98.63,0.9966,0,0,3068,1593,BROWNFIELD_REUSE,0,0,SATELLITE_DERIVED_ESTIMATE,FIRST,2026-01-13
2018-05,ES,CZ4,COMMERCIAL,4502,322199.53,100.77,25.4,104.45,0.4869,1,1,417,1003,URBAN_REGEN,0,0,EUROSTAT_BUILD_PERMITS,FLASH,2024-01-14
2018-06,CZ,MT109,RESIDENTIAL_MULTI_FAMILY,6369,764945.07,117.98,13.13,103.49,1.1773,1,0,4006,565,FAST_TRACK,0,0,MUNICIPAL_PERMIT_SYSTEM,BENCHMARK,2024-03-04
2018-07,HU,SK9,RESIDENTIAL_SINGLE_FAMILY,5613,529756.06,110.27,20.7,125.8,1.2325,1,1,6189,1096,ZONING_PLAN_B,0,0,CONSTRUCTION_ASSOCIATION,SECOND,2025-02-27
2018-08,NL,SE90,MIXED_USE,1307,94261.27,116.9,12.08,116.84,1.0989,1,0,5168,60,ZONING_PLAN_A,1,0,SATELLITE_DERIVED_ESTIMATE,FIRST,2025-01-28
2018-09,SE,SI88,INDUSTRIAL,4767,359104.05,108.47,13.3,122.98,1.8201,1,1,7257,954,FLOODPLAIN_CONTROL,0,0,EUROSTAT_BUILD_PERMITS,FLASH,2025-08-03
2018-10,DK,GR828,PUBLIC,1162,128409.2,117.61,18.62,107.18,1.5402,1,0,7201,1930,COASTAL_CONTROL,0,0,MUNICIPAL_PERMIT_SYSTEM,BENCHMARK,2024-06-24
2018-11,IE,CY5,COMMERCIAL,1903,133279.86,119.62,26.13,101.56,0.2374,0,0,5153,1361,BROWNFIELD_REUSE,0,1,CONSTRUCTION_ASSOCIATION,SECOND,2024-01-28
2018-12,PL,SK4,RESIDENTIAL_MULTI_FAMILY,9653,1212309.11,113.03,11.89,114.53,1.1324,0,0,2584,972,URBAN_REGEN,0,0,SATELLITE_DERIVED_ESTIMATE,FIRST,2025-01-21
2019-01,AT,IE89,RESIDENTIAL_SINGLE_FAMILY,7320,408279.49,101.73,13.29,117.24,1.3394,0,0,2171,1108,FAST_TRACK,0,0,EUROSTAT_BUILD_PERMITS,FLASH,2024-07-11
2019-02,EE,NL970,MIXED_USE,6323,494258.04,110.71,7.99,126.05,0.9072,0,1,1201,1729,ZONING_PLAN_B,0,0,MUNICIPAL_PERMIT_SYSTEM,BENCHMARK,2026-01-03
2019-03,IT,SK45,INDUSTRIAL,90,9620.09,112.38,14.44,119.27,0.2316,1,0,7115,1423,ZONING_PLAN_A,0,0,CONSTRUCTION_ASSOCIATION,SECOND,2024-05-25
2019-04,PT,NL8,PUBLIC,3629,436288.63,107.37,26.13,116.99,1.3508,1,1,1709,290,FLOODPLAIN_CONTROL,0,0,SATELLITE_DERIVED_ESTIMATE,FIRST,2024-04-28
2019-05,BE,FR22,COMMERCIAL,1402,150093.09,109.47,10.82,132.4,1.4817,0,1,1407,402,COASTAL_CONTROL,0,0,EUROSTAT_BUILD_PERMITS,FLASH,2024-07-20
2019-06,FI,BG3,RESIDENTIAL_MULTI_FAMILY,8081,587557.9,112.64,25.79,120.33,1.433,1,0,6893,961,BROWNFIELD_REUSE,0,0,MUNICIPAL_PERMIT_SYSTEM,BENCHMARK,2024-09-03
