lab_dialogue_reference_year,lab_dialogue_country_iso2,lab_dialogue_sector_nace_section,lab_dialogue_collective_bargaining_coverage_pct,lab_dialogue_union_density_pct,lab_dialogue_employer_organisation_density_pct,lab_dialogue_wage_setting_level_code,lab_dialogue_minimum_wage_directive_alignment_flag,lab_dialogue_agreements_signed_count,lab_dialogue_disputes_count,lab_dialogue_strike_days_lost_per_1k,lab_dialogue_mediation_cases_count,lab_dialogue_social_partner_consultations_count,lab_dialogue_tripartite_body_flag,lab_dialogue_gender_equality_clause_share_pct,lab_dialogue_platform_work_clause_share_pct,lab_dialogue_telework_clause_share_pct,lab_dialogue_training_clause_share_pct,lab_dialogue_data_source,lab_dialogue_last_update_date
2014,SE,E,83.14,74.75,19.26,COMPANY,0,129,18,1.73,115,375,0,39.93,9.32,38.82,53.94,EUROFOUND_EWCS,2011-09-15
2015,DK,P,83.74,26.15,38.32,SECTOR,0,473,54,50.99,42,230,0,55.78,17.54,29.36,86.01,NATIONAL_LABOUR_MINISTRY,2011-10-14
2016,IE,F,10.87,19.39,20.94,NATIONAL,1,34,4,32.22,59,47,1,30.51,8.48,11.82,33.35,SOCIAL_PARTNER_REGISTRY,2011-11-12
2017,PL,Q,31.09,42.62,53.51,MIXED,0,83,85,24.07,79,403,1,51.39,12.78,39.54,16.96,ILO_EXPORT,2011-12-11
2018,AT,G,32.13,23.82,58.31,COMPANY,0,204,38,20.77,114,278,1,70.9,18.28,2.74,23.29,EUROFOUND_EWCS,2012-01-09
2019,EE,R,25.95,53.86,20.47,SECTOR,0,88,19,11.18,122,397,0,7.3,15.77,17.39,26.04,NATIONAL_LABOUR_MINISTRY,2012-02-07
2020,IT,H,55.76,57.31,25.25,NATIONAL,0,379,99,7.87,66,312,1,80.29,24.56,59.62,26.71,SOCIAL_PARTNER_REGISTRY,2012-03-07
2021,PT,S,16.07,39.76,55.17,MIXED,0,257,8,32.77,28,74,0,77.59,14.16,63.18,39.52,ILO_EXPORT,2012-04-05
2022,BE,I,54.06,19.32,13.24,COMPANY,1,178,58,21.37,96,7,1,61.23,36.08,14.45,63.47,EUROFOUND_EWCS,2012-05-04
2023,FI,T,41.25,85.37,49.57,SECTOR,0,332,88,31.34,122,184,1,45.33,37.9,47.18,32.51,NATIONAL_LABOUR_MINISTRY,2012-06-02
2024,LV,J,15.28,57.9,39.75,NATIONAL,1,358,64,14.66,109,186,1,9.99,8.81,45.1,27.43,SOCIAL_PARTNER_REGISTRY,2012-07-01
2025,RO,U,69.89,26.54,69.56,MIXED,0,281,48,19.68,119,280,0,74.17,39.77,51.9,88.12,ILO_EXPORT,2012-07-30
2006,BG,K,51.71,47.63,31.89,COMPANY,0,393,30,55.77,53,232,1,44.83,2.96,25.48,37.14,EUROFOUND_EWCS,2012-08-28
2007,FR,A,80.54,25.06,50.9,SECTOR,0,256,61,34.31,34,384,1,33.22,13.77,37.47,14.62,NATIONAL_LABOUR_MINISTRY,2012-09-26
2008,LT,L,66.24,12.46,25.65,NATIONAL,0,307,0,25.32,72,215,0,18.09,15.62,5.71,31.0,SOCIAL_PARTNER_REGISTRY,2012-10-25
2009,SK,B,59.51,10.09,45.26,MIXED,0,81,42,27.13,22,309,1,43.97,9.38,35.12,57.55,ILO_EXPORT,2012-11-23
2010,HR,M,14.92,43.64,19.97,COMPANY,0,71,68,39.37,51,267,1,21.65,9.13,31.2,15.96,EUROFOUND_EWCS,2012-12-22
2011,DE,C,9.93,32.65,20.48,SECTOR,0,215,88,43.26,28,438,1,14.25,12.64,25.35,68.29,NATIONAL_LABOUR_MINISTRY,2013-01-20
2012,LU,N,41.8,17.02,31.57,NATIONAL,0,244,88,41.61,103,97,1,11.17,9.15,27.61,47.21,SOCIAL_PARTNER_REGISTRY,2013-02-18
2013,SI,D,68.74,42.26,69.55,MIXED,0,241,59,44.6,2,526,1,51.16,8.79,34.89,73.01,ILO_EXPORT,2013-03-19
2014,CY,O,55.51,56.34,53.79,COMPANY,0,23,10,11.52,62,514,1,35.21,6.21,28.69,31.05,EUROFOUND_EWCS,2013-04-17
2015,GR,E,15.94,31.93,11.42,SECTOR,0,124,46,15.45,12,266,1,39.24,4.29,30.01,49.49,NATIONAL_LABOUR_MINISTRY,2013-05-16
2016,MT,P,65.93,15.22,20.52,NATIONAL,0,142,73,51.35,50,0,1,35.94,10.51,16.96,30.57,SOCIAL_PARTNER_REGISTRY,2013-06-14
2017,ES,F,61.96,24.7,70.93,MIXED,0,251,69,43.16,71,338,1,11.18,11.46,31.06,53.97,ILO_EXPORT,2013-07-13
2018,CZ,Q,62.6,40.36,77.67,COMPANY,0,306,35,3.86,107,125,0,16.54,14.54,25.19,28.16,EUROFOUND_EWCS,2013-08-11
2019,HU,G,67.92,28.97,62.33,SECTOR,0,248,34,17.43,113,535,1,40.58,12.58,44.6,31.47,NATIONAL_LABOUR_MINISTRY,2013-09-09
2020,NL,R,62.49,51.23,75.96,NATIONAL,0,17,60,23.62,88,279,1,70.59,37.11,45.33,56.31,SOCIAL_PARTNER_REGISTRY,2013-10-08
2021,SE,H,93.92,73.25,17.85,MIXED,0,89,64,18.06,135,493,1,17.2,10.2,66.49,35.69,ILO_EXPORT,2013-11-06
2022,DK,S,78.03,13.58,26.66,COMPANY,1,422,75,10.21,132,532,0,31.62,25.42,9.91,75.64,EUROFOUND_EWCS,2013-12-05
2023,IE,I,10.14,40.46,40.34,SECTOR,1,245,78,4.76,134,367,1,80.13,20.16,22.52,58.74,NATIONAL_LABOUR_MINISTRY,2014-01-03
2024,PL,T,24.45,38.6,50.19,NATIONAL,0,129,78,38.33,13,87,0,56.23,4.82,47.17,19.3,SOCIAL_PARTNER_REGISTRY,2014-02-01
2025,AT,J,29.27,49.85,43.08,MIXED,1,290,79,4.07,80,411,0,77.93,35.18,19.17,69.5,ILO_EXPORT,2014-03-02
2006,EE,U,39.1,51.43,31.31,COMPANY,0,251,64,18.91,104,155,0,35.69,2.58,6.09,36.67,EUROFOUND_EWCS,2014-03-31
2007,IT,K,36.06,36.32,24.81,SECTOR,0,272,58,42.77,27,273,1,5.77,8.85,3.94,9.56,NATIONAL_LABOUR_MINISTRY,2014-04-29
2008,PT,A,34.22,37.22,14.46,NATIONAL,0,48,81,40.04,21,387,1,4.58,4.02,26.78,70.28,SOCIAL_PARTNER_REGISTRY,2014-05-28
2009,BE,L,26.1,45.61,35.25,MIXED,0,283,89,36.55,70,231,1,25.48,17.91,28.39,13.12,ILO_EXPORT,2014-06-26
2010,FI,B,69.09,26.18,49.8,COMPANY,0,185,52,40.79,13,205,1,19.12,12.47,40.94,66.53,EUROFOUND_EWCS,2014-07-25
2011,LV,M,62.02,15.97,16.73,SECTOR,0,411,49,17.53,82,500,1,10.04,10.71,9.09,71.4,NATIONAL_LABOUR_MINISTRY,2014-08-23
2012,RO,C,20.88,45.63,51.86,NATIONAL,0,226,21,28.36,28,41,0,10.26,9.02,43.27,72.4,SOCIAL_PARTNER_REGISTRY,2014-09-21
2013,BG,N,74.22,47.35,69.79,MIXED,0,217,70,2.71,47,304,0,24.67,1.25,22.37,67.47,ILO_EXPORT,2014-10-20
2014,FR,D,72.79,49.92,39.59,COMPANY,0,184,31,45.0,105,78,1,4.98,3.27,17.02,21.57,EUROFOUND_EWCS,2014-11-18
2015,LT,O,57.92,53.4,37.43,SECTOR,0,543,77,7.57,82,470,0,46.76,5.03,15.6,78.41,NATIONAL_LABOUR_MINISTRY,2014-12-17
2016,SK,E,69.32,19.58,46.15,NATIONAL,0,196,53,15.83,127,265,1,32.88,8.49,7.79,81.37,SOCIAL_PARTNER_REGISTRY,2015-01-15
2017,HR,P,15.37,12.67,22.06,MIXED,0,35,56,11.95,75,13,1,36.96,6.34,25.13,13.56,ILO_EXPORT,2015-02-13
2018,DE,F,42.17,41.05,9.41,COMPANY,0,92,29,19.98,86,164,1,72.94,8.87,28.19,72.95,EUROFOUND_EWCS,2015-03-14
2019,LU,Q,62.63,23.26,79.05,SECTOR,0,130,73,26.26,89,505,1,44.05,4.96,37.54,86.48,NATIONAL_LABOUR_MINISTRY,2015-04-12
2020,SI,G,41.69,59.22,63.42,NATIONAL,0,191,6,5.03,54,390,1,21.61,39.99,73.96,28.02,SOCIAL_PARTNER_REGISTRY,2015-05-11
2021,CY,R,40.4,31.89,62.33,MIXED,0,203,37,27.7,26,96,1,61.51,7.05,9.23,12.14,ILO_EXPORT,2015-06-09
2022,GR,H,70.2,21.27,25.39,COMPANY,1,225,97,37.1,31,443,1,73.93,34.73,19.85,10.79,EUROFOUND_EWCS,2015-07-08
2023,MT,S,35.74,6.41,19.25,SECTOR,1,209,3,3.4,54,162,1,78.19,41.21,13.19,11.33,NATIONAL_LABOUR_MINISTRY,2015-08-06
2024,ES,I,31.06,40.09,41.49,NATIONAL,1,230,48,34.3,9,69,1,54.93,27.43,42.46,11.65,SOCIAL_PARTNER_REGISTRY,2015-09-04
2025,CZ,T,76.7,17.23,26.58,MIXED,1,486,78,27.55,51,346,1,17.85,11.92,22.48,64.8,ILO_EXPORT,2015-10-03
2006,HU,J,36.78,4.32,50.5,COMPANY,0,9,57,34.84,43,86,1,42.12,3.46,9.64,40.72,EUROFOUND_EWCS,2015-11-01
2007,NL,U,44.74,49.97,19.28,SECTOR,0,121,16,27.8,44,93,1,18.61,3.64,24.81,50.03,NATIONAL_LABOUR_MINISTRY,2015-11-30
2008,SE,K,66.52,62.17,62.92,NATIONAL,0,498,13,29.08,47,378,1,28.8,16.74,21.89,67.5,SOCIAL_PARTNER_REGISTRY,2015-12-29
2009,DK,A,100.0,13.16,8.81,MIXED,0,427,40,10.51,134,329,1,33.14,17.76,36.21,52.49,ILO_EXPORT,2016-01-27
2010,IE,L,65.43,36.87,30.56,COMPANY,0,21,50,24.93,43,405,1,51.51,11.09,11.0,59.27,EUROFOUND_EWCS,2016-02-25
2011,PL,B,51.74,16.2,61.35,SECTOR,0,148,25,21.53,119,4,0,29.54,7.16,14.17,50.58,NATIONAL_LABOUR_MINISTRY,2016-03-25
2012,AT,M,55.48,20.24,72.49,NATIONAL,0,171,18,20.23,81,4,1,18.55,4.65,24.5,56.46,SOCIAL_PARTNER_REGISTRY,2016-04-23
2013,EE,C,38.24,59.13,56.38,MIXED,0,271,7,32.8,20,116,1,27.82,11.85,6.26,38.91,ILO_EXPORT,2016-05-22
2014,IT,N,52.8,23.13,32.51,COMPANY,0,352,51,28.17,27,86,1,6.6,12.28,16.99,28.27,EUROFOUND_EWCS,2016-06-20
2015,PT,D,23.24,24.38,12.98,SECTOR,0,353,61,31.64,58,151,0,5.15,9.68,4.9,45.26,NATIONAL_LABOUR_MINISTRY,2016-07-19
2016,BE,O,82.85,22.52,27.67,NATIONAL,0,436,16,15.95,24,214,1,67.99,17.48,35.17,37.8,SOCIAL_PARTNER_REGISTRY,2016-08-17
2017,FI,E,78.05,67.51,18.13,MIXED,1,82,22,41.7,17,589,0,28.03,15.18,27.23,15.42,ILO_EXPORT,2016-09-15
2018,LV,P,24.67,39.39,16.63,COMPANY,0,166,64,40.2,97,180,1,34.92,2.63,15.21,21.71,EUROFOUND_EWCS,2016-10-14
2019,RO,F,9.96,18.74,37.42,SECTOR,0,15,87,11.52,6,359,1,11.23,6.25,7.27,33.14,NATIONAL_LABOUR_MINISTRY,2016-11-12
2020,BG,Q,39.61,12.82,20.77,NATIONAL,0,151,55,26.95,9,315,0,10.08,12.91,70.42,72.66,SOCIAL_PARTNER_REGISTRY,2016-12-11
2021,FR,G,21.15,20.13,15.95,MIXED,0,100,75,7.17,107,295,1,33.82,1.4,69.49,27.04,ILO_EXPORT,2017-01-09
2022,LT,R,54.63,16.3,56.68,COMPANY,0,276,14,18.65,88,284,1,34.89,33.2,22.76,78.29,EUROFOUND_EWCS,2017-02-07
2023,SK,H,21.48,35.23,59.21,SECTOR,1,332,13,5.13,20,66,0,28.0,29.32,13.88,76.42,NATIONAL_LABOUR_MINISTRY,2017-03-08
2024,HR,S,74.27,7.94,23.07,NATIONAL,0,343,64,49.74,55,499,1,38.67,21.53,16.49,83.08,SOCIAL_PARTNER_REGISTRY,2017-04-06
2025,DE,I,71.97,51.47,66.09,MIXED,1,310,59,24.38,132,346,0,31.21,38.83,5.5,20.93,ILO_EXPORT,2017-05-05
2006,LU,T,73.56,32.87,13.65,COMPANY,1,455,39,40.17,68,279,0,23.44,12.14,15.38,28.71,EUROFOUND_EWCS,2017-06-03
2007,SI,J,57.74,35.87,54.08,SECTOR,0,485,18,32.97,103,17,1,45.13,8.26,18.61,66.46,NATIONAL_LABOUR_MINISTRY,2017-07-02
2008,CY,U,57.09,48.13,41.82,NATIONAL,0,358,5,12.32,64,46,1,48.06,10.61,28.07,48.37,SOCIAL_PARTNER_REGISTRY,2017-07-31
2009,GR,K,39.73,36.47,24.51,MIXED,1,41,49,52.42,81,140,1,42.46,10.88,28.59,75.73,ILO_EXPORT,2017-08-29
2010,MT,A,62.46,40.51,27.34,COMPANY,0,75,59,10.5,85,567,0,11.04,11.35,4.47,64.02,EUROFOUND_EWCS,2017-09-27
2011,ES,L,77.91,37.38,27.94,SECTOR,0,143,86,37.06,53,454,0,42.82,4.11,11.63,46.38,NATIONAL_LABOUR_MINISTRY,2017-10-26
2012,CZ,B,11.97,49.81,40.91,NATIONAL,0,54,1,18.53,4,359,0,16.55,18.9,42.84,62.99,SOCIAL_PARTNER_REGISTRY,2017-11-24
2013,HU,M,53.88,36.55,37.82,MIXED,0,124,1,13.29,67,590,1,42.02,16.03,42.83,18.34,ILO_EXPORT,2017-12-23
2014,NL,C,75.82,14.99,54.4,COMPANY,0,360,72,51.27,102,530,1,6.29,1.79,22.73,52.17,EUROFOUND_EWCS,2018-01-21
2015,SE,N,39.61,21.43,20.56,SECTOR,0,15,54,20.24,123,414,1,7.88,9.28,24.02,69.46,NATIONAL_LABOUR_MINISTRY,2018-02-19
2016,DK,D,100.0,63.41,42.34,NATIONAL,1,7,77,25.61,40,189,1,39.15,11.07,44.18,35.75,SOCIAL_PARTNER_REGISTRY,2018-03-20
2017,IE,O,52.61,38.61,38.82,MIXED,0,246,17,14.4,5,411,0,22.67,11.6,33.6,70.89,ILO_EXPORT,2018-04-18
2018,PL,E,32.1,26.42,52.84,COMPANY,0,138,47,48.78,129,100,0,20.93,7.36,21.8,62.36,EUROFOUND_EWCS,2018-05-17
2019,AT,P,56.9,58.31,11.94,SECTOR,0,403,40,18.73,40,483,1,39.48,5.83,8.05,14.95,NATIONAL_LABOUR_MINISTRY,2018-06-15
2020,EE,F,75.01,57.68,11.47,NATIONAL,0,374,5,30.77,9,160,1,76.87,45.96,65.13,71.86,SOCIAL_PARTNER_REGISTRY,2018-07-14
2021,IT,Q,64.72,27.62,60.63,MIXED,0,415,85,10.94,101,582,1,68.66,13.68,53.9,21.0,ILO_EXPORT,2018-08-12
2022,PT,G,41.59,47.76,45.7,COMPANY,0,129,63,52.95,123,261,0,16.2,17.8,71.34,50.97,EUROFOUND_EWCS,2018-09-10
2023,BE,R,100.0,40.35,22.53,SECTOR,0,214,44,18.59,124,190,0,14.35,11.89,29.81,69.06,NATIONAL_LABOUR_MINISTRY,2018-10-09
2024,FI,H,95.42,24.8,62.98,NATIONAL,1,73,0,4.48,49,77,1,7.37,20.9,7.79,24.84,SOCIAL_PARTNER_REGISTRY,2018-11-07
2025,LV,S,72.05,57.01,51.87,MIXED,0,250,68,28.04,58,489,1,37.19,15.82,5.78,57.44,ILO_EXPORT,2018-12-06
2006,RO,I,62.82,54.88,34.46,COMPANY,0,265,37,10.09,7,172,0,11.39,7.41,6.3,33.66,EUROFOUND_EWCS,2019-01-04
2007,BG,T,50.02,30.24,46.58,SECTOR,0,425,35,33.04,22,85,1,42.81,16.13,32.56,49.99,NATIONAL_LABOUR_MINISTRY,2019-02-02
2008,FR,J,73.38,43.57,71.11,NATIONAL,0,200,24,25.89,133,56,1,36.88,13.53,16.93,65.86,SOCIAL_PARTNER_REGISTRY,2019-03-03
2009,LT,U,34.93,26.1,53.86,MIXED,0,71,33,21.37,1,365,1,55.41,4.7,34.43,28.08,ILO_EXPORT,2019-04-01
2010,SK,K,43.02,37.25,13.65,COMPANY,0,177,46,28.82,27,90,0,48.45,9.81,33.59,66.54,EUROFOUND_EWCS,2019-04-30
2011,HR,A,65.03,30.7,68.75,SECTOR,0,89,82,46.5,53,250,1,15.81,8.51,24.77,15.4,NATIONAL_LABOUR_MINISTRY,2019-05-29
2012,DE,L,45.53,17.97,30.07,NATIONAL,0,222,39,28.11,49,184,1,33.86,17.51,13.76,55.85,SOCIAL_PARTNER_REGISTRY,2019-06-27
2013,LU,B,11.6,5.19,41.98,MIXED,0,43,82,35.69,36,66,1,30.73,12.5,40.88,15.85,ILO_EXPORT,2019-07-26
2014,SI,M,9.06,14.07,32.67,COMPANY,0,51,77,1.98,68,164,0,40.06,16.36,38.64,58.28,EUROFOUND_EWCS,2019-08-24
2015,CY,C,73.58,50.03,10.88,SECTOR,0,343,80,11.53,76,517,0,5.46,16.29,27.07,35.13,NATIONAL_LABOUR_MINISTRY,2019-09-22
2016,GR,N,69.11,38.75,12.79,NATIONAL,0,186,61,46.53,0,388,1,63.03,1.15,17.28,78.51,SOCIAL_PARTNER_REGISTRY,2019-10-21
2017,MT,D,73.77,56.12,69.72,MIXED,0,149,40,41.35,12,146,0,17.66,3.11,2.01,88.96,ILO_EXPORT,2019-11-19
2018,ES,O,63.47,57.87,52.64,COMPANY,0,258,52,15.35,137,76,0,68.77,12.56,39.05,61.64,EUROFOUND_EWCS,2019-12-18
2019,CZ,E,34.66,12.17,15.6,SECTOR,0,171,18,5.58,37,132,1,53.92,3.4,38.04,29.1,NATIONAL_LABOUR_MINISTRY,2020-01-16
2020,HU,P,16.15,39.69,32.18,NATIONAL,0,241,31,25.45,98,77,1,69.36,3.45,47.58,67.99,SOCIAL_PARTNER_REGISTRY,2020-02-14
2021,NL,F,63.62,35.69,25.22,MIXED,0,80,67,24.07,15,447,0,58.83,40.92,28.22,87.5,ILO_EXPORT,2020-03-14
2022,SE,Q,41.6,40.87,48.42,COMPANY,1,37,41,9.87,122,65,0,44.78,22.03,23.61,24.76,EUROFOUND_EWCS,2020-04-12
2023,DK,G,100.0,24.57,29.29,SECTOR,0,262,7,1.97,63,227,1,39.92,45.05,23.19,38.65,NATIONAL_LABOUR_MINISTRY,2020-05-11
2024,IE,R,14.01,58.84,29.15,NATIONAL,1,216,30,21.13,2,288,1,56.3,1.47,16.84,17.14,SOCIAL_PARTNER_REGISTRY,2020-06-09
2025,PL,H,44.7,32.06,42.25,MIXED,0,40,72,44.08,66,288,0,61.53,34.14,74.08,17.45,ILO_EXPORT,2020-07-08
2006,AT,S,55.68,35.36,70.27,COMPANY,0,354,77,1.7,102,304,1,30.19,13.52,25.41,55.27,EUROFOUND_EWCS,2020-08-06
2007,EE,I,39.48,30.64,40.1,SECTOR,0,10,39,20.02,132,273,1,14.94,16.28,40.98,12.5,NATIONAL_LABOUR_MINISTRY,2020-09-04
2008,IT,T,81.87,52.58,50.13,NATIONAL,0,531,18,37.76,11,255,1,5.11,6.82,20.42,56.95,SOCIAL_PARTNER_REGISTRY,2020-10-03
2009,PT,J,30.83,8.93,11.43,MIXED,1,200,16,19.56,42,88,1,35.02,17.7,12.43,40.01,ILO_EXPORT,2020-11-01
2010,BE,U,20.52,20.78,35.54,COMPANY,1,55,81,37.54,104,71,1,35.45,13.91,18.25,69.18,EUROFOUND_EWCS,2020-11-30
2011,FI,K,87.85,19.73,46.82,SECTOR,0,343,45,41.55,64,276,0,44.54,9.17,16.83,54.79,NATIONAL_LABOUR_MINISTRY,2020-12-29
2012,LV,A,75.9,45.43,28.49,NATIONAL,0,109,67,47.14,36,206,1,6.62,13.53,38.5,25.56,SOCIAL_PARTNER_REGISTRY,2021-01-27
2013,RO,L,73.02,13.86,72.13,MIXED,0,391,10,11.66,77,495,1,38.09,8.85,30.13,87.86,ILO_EXPORT,2021-02-25
2014,BG,B,18.51,52.77,22.91,COMPANY,0,335,81,39.65,56,69,1,28.99,10.33,34.82,40.99,EUROFOUND_EWCS,2021-03-26
2015,FR,M,100.0,11.59,20.31,SECTOR,0,446,19,24.98,111,43,0,27.12,5.99,39.32,38.11,NATIONAL_LABOUR_MINISTRY,2021-04-24
2016,LT,C,34.96,12.37,13.51,NATIONAL,0,54,11,7.31,137,269,1,79.14,13.27,23.54,67.38,SOCIAL_PARTNER_REGISTRY,2021-05-23
2017,SK,N,40.72,56.76,35.17,MIXED,0,129,53,7.56,57,294,1,48.46,10.95,12.62,76.04,ILO_EXPORT,2021-06-21
2018,HR,D,18.2,50.27,16.11,COMPANY,1,112,64,12.73,101,236,1,79.99,14.33,44.39,64.12,EUROFOUND_EWCS,2021-07-20
2019,DE,O,23.42,24.65,27.65,SECTOR,0,56,21,24.05,78,12,1,24.25,14.66,38.99,70.34,NATIONAL_LABOUR_MINISTRY,2021-08-18
2020,LU,E,16.99,44.63,33.24,NATIONAL,0,100,11,24.06,127,395,0,38.66,25.74,25.31,67.64,SOCIAL_PARTNER_REGISTRY,2021-09-16
2021,SI,P,65.23,53.64,69.7,MIXED,0,440,92,44.72,84,486,0,51.16,34.62,60.69,15.05,ILO_EXPORT,2021-10-15
2022,CY,F,48.38,9.97,33.61,COMPANY,1,120,10,3.66,69,538,1,77.37,32.7,8.27,48.21,EUROFOUND_EWCS,2021-11-13
2023,GR,Q,73.33,13.25,36.42,SECTOR,1,104,9,31.59,11,231,1,44.94,27.28,5.17,18.44,NATIONAL_LABOUR_MINISTRY,2021-12-12
2024,MT,G,74.0,57.0,60.93,NATIONAL,1,367,70,10.97,23,14,1,50.46,2.48,39.84,71.31,SOCIAL_PARTNER_REGISTRY,2022-01-10
2025,ES,R,59.06,40.71,46.07,MIXED,1,409,48,14.89,76,527,1,73.05,21.17,63.62,19.65,ILO_EXPORT,2022-02-08
2006,CZ,H,21.9,48.89,36.9,COMPANY,0,20,60,48.2,32,263,0,16.05,19.19,30.02,24.67,EUROFOUND_EWCS,2022-03-09
2007,HU,S,29.32,46.51,48.37,SECTOR,0,262,42,33.66,70,1,1,43.16,16.64,23.51,46.11,NATIONAL_LABOUR_MINISTRY,2022-04-07
2008,NL,I,72.1,16.87,32.44,NATIONAL,0,198,0,24.22,69,270,0,20.64,2.7,41.61,35.49,SOCIAL_PARTNER_REGISTRY,2022-05-06
2009,SE,T,15.26,53.19,30.63,MIXED,0,44,21,8.45,63,381,1,28.67,8.26,7.12,24.89,ILO_EXPORT,2022-06-04
2010,DK,J,23.36,7.05,32.4,COMPANY,0,230,50,46.87,70,43,0,5.34,12.6,31.11,73.06,EUROFOUND_EWCS,2022-07-03
2011,IE,U,32.69,8.3,21.5,SECTOR,0,261,56,37.43,119,360,0,41.25,6.16,41.42,62.32,NATIONAL_LABOUR_MINISTRY,2022-08-01
2012,PL,K,34.37,41.57,48.4,NATIONAL,0,181,61,19.09,55,353,0,31.78,3.14,28.42,10.39,SOCIAL_PARTNER_REGISTRY,2022-08-30
2013,AT,A,17.7,27.75,23.21,MIXED,0,235,83,50.37,81,264,1,11.39,13.15,24.66,38.35,ILO_EXPORT,2022-09-28
2014,EE,L,13.99,8.9,54.66,COMPANY,0,162,26,49.45,46,226,1,20.77,8.31,15.14,11.64,EUROFOUND_EWCS,2022-10-27
2015,IT,B,58.95,11.34,50.39,SECTOR,0,436,78,55.47,81,483,1,10.31,4.86,43.49,54.68,NATIONAL_LABOUR_MINISTRY,2022-11-25
2016,PT,M,75.23,54.86,28.95,NATIONAL,1,147,48,52.21,84,395,1,71.4,15.62,20.87,50.48,SOCIAL_PARTNER_REGISTRY,2022-12-24
2017,BE,C,100.0,11.57,73.27,MIXED,0,379,66,8.51,105,432,0,76.03,17.48,13.75,42.71,ILO_EXPORT,2023-01-22
2018,FI,N,100.0,50.85,78.68,COMPANY,0,153,61,55.38,42,90,1,76.63,17.65,16.28,59.88,EUROFOUND_EWCS,2023-02-20
2019,LV,D,38.96,43.83,44.35,SECTOR,1,340,36,22.38,18,8,1,60.39,3.41,31.79,56.05,NATIONAL_LABOUR_MINISTRY,2023-03-21
2020,RO,O,48.37,47.17,32.42,NATIONAL,0,86,32,51.83,5,153,1,21.49,6.68,5.15,42.59,SOCIAL_PARTNER_REGISTRY,2023-04-19
2021,BG,E,24.28,49.81,16.58,MIXED,0,90,14,0.55,90,365,1,55.24,16.78,11.01,13.46,ILO_EXPORT,2023-05-18
2022,FR,P,36.43,25.68,58.49,COMPANY,0,226,54,18.44,100,386,1,50.72,42.98,7.07,56.83,EUROFOUND_EWCS,2023-06-16
2023,LT,F,64.67,13.79,41.47,SECTOR,1,14,79,11.43,93,132,0,20.29,28.29,11.57,23.78,NATIONAL_LABOUR_MINISTRY,2023-07-15
2024,SK,Q,25.7,49.71,24.57,NATIONAL,1,69,20,7.92,91,419,1,70.53,16.25,32.21,67.58,SOCIAL_PARTNER_REGISTRY,2023-08-13
2025,HR,G,41.24,28.81,32.29,MIXED,0,147,60,18.44,106,249,1,11.7,30.05,9.67,57.08,ILO_EXPORT,2023-09-11
2006,DE,R,63.07,26.05,58.35,COMPANY,0,237,25,23.08,45,579,1,45.74,17.1,39.23,64.64,EUROFOUND_EWCS,2023-10-10
2007,LU,H,76.45,43.49,10.93,SECTOR,0,458,83,27.28,29,313,0,18.46,3.51,4.72,22.08,NATIONAL_LABOUR_MINISTRY,2023-11-08
2008,SI,S,77.13,17.76,66.98,NATIONAL,1,51,78,54.22,62,545,1,5.63,4.49,42.58,54.79,SOCIAL_PARTNER_REGISTRY,2023-12-07
2009,CY,I,58.87,5.55,52.56,MIXED,0,385,82,46.67,100,210,1,7.13,8.69,12.72,68.41,ILO_EXPORT,2024-01-05
2010,GR,T,62.33,16.24,76.24,COMPANY,0,204,1,37.5,74,207,1,34.16,1.46,37.56,30.43,EUROFOUND_EWCS,2024-02-03
2011,MT,J,38.33,25.47,46.31,SECTOR,0,198,88,10.61,43,363,1,48.58,19.21,5.66,67.64,NATIONAL_LABOUR_MINISTRY,2024-03-03
2012,ES,U,69.99,29.7,62.8,NATIONAL,0,457,52,37.05,75,145,1,50.06,6.28,41.99,76.38,SOCIAL_PARTNER_REGISTRY,2024-04-01
2013,CZ,K,46.65,27.15,47.39,MIXED,0,214,12,35.94,118,249,1,19.11,17.99,25.08,70.61,ILO_EXPORT,2024-04-30
2014,HU,A,39.39,20.29,56.59,COMPANY,0,134,52,27.21,106,73,1,13.47,7.26,26.12,51.23,EUROFOUND_EWCS,2024-05-29
2015,NL,L,9.09,57.84,23.16,SECTOR,0,206,84,25.39,83,200,0,45.45,18.72,10.67,30.61,NATIONAL_LABOUR_MINISTRY,2024-06-27
2016,SE,B,93.92,19.29,16.39,NATIONAL,0,217,86,40.01,63,394,1,24.42,9.71,36.05,68.83,SOCIAL_PARTNER_REGISTRY,2024-07-26
2017,DK,M,100.0,27.87,44.01,MIXED,0,135,29,32.99,16,489,1,80.49,16.71,23.06,18.69,ILO_EXPORT,2024-08-24
2018,IE,C,76.81,12.51,43.26,COMPANY,0,312,22,6.21,120,253,1,68.05,7.96,21.73,44.98,EUROFOUND_EWCS,2024-09-22
2019,PL,N,33.12,19.75,13.67,SECTOR,0,36,75,39.43,126,360,0,53.49,11.23,33.42,62.76,NATIONAL_LABOUR_MINISTRY,2024-10-21
2020,AT,D,9.64,59.03,14.24,NATIONAL,0,288,37,49.75,17,147,1,50.65,37.81,11.73,30.42,SOCIAL_PARTNER_REGISTRY,2024-11-19
2021,EE,O,52.11,27.8,7.73,MIXED,0,473,98,21.38,24,106,1,14.72,3.74,38.17,84.45,ILO_EXPORT,2024-12-18
