civic_engage_measurement_year,civic_engage_community_area_id,civic_engage_volunteering_rate_pct,civic_engage_charitable_giving_rate_pct,civic_engage_civic_meeting_attendance_rate,civic_engage_contacted_official_rate,civic_engage_petition_signed_rate,civic_engage_protest_participation_rate,civic_engage_news_consumption_frequency,civic_engage_local_news_availability_index,civic_engage_library_membership_rate,civic_engage_public_hearing_participation,civic_engage_school_board_turnout_rate,civic_engage_trust_in_government_score,civic_engage_ncoial_capital_index,civic_engage_neighbor_helpfulness_score,civic_engage_cross_partisan_contact_rate,civic_engage_community_org_density,civic_engage_broadband_access_for_civic,civic_engage_civic_tech_usage_rate
2017,MZ-CA0072,13.76,10.05,15.03,5.78,3.25,6.46,RARE,87.5,34.71,6.82,28.38,2.93,35.2,3.02,13.75,8.07,65.97,13.0
2023,MP-CA0216,37.4,13.23,4.76,15.91,18.09,2.25,3X_WEEK,75.0,41.78,10.36,26.72,5.3,50.4,8.9,13.59,13.24,95.35,38.55
2019,MP-CA0060,11.73,16.94,8.76,16.5,32.86,6.57,WEEKLY,83.0,26.02,9.81,33.69,2.09,60.0,6.95,14.56,4.37,60.81,4.81
2015,UK-CA0864,30.16,12.3,4.88,6.42,14.54,4.9,MONTHLY,42.2,18.77,6.04,43.02,6.93,91.9,3.24,17.72,3.56,65.38,20.06
2018,MZ-CA0521,29.84,16.0,6.89,1.93,12.37,8.2,MONTHLY,52.6,39.89,7.64,58.93,7.11,82.2,4.34,5.13,7.72,91.32,7.23
2019,HP-CA0420,33.37,21.27,5.95,8.84,29.63,2.92,WEEKLY,93.2,11.52,4.36,47.98,3.37,22.3,8.65,11.63,8.44,46.34,29.97
2014,AN-CA0237,28.14,14.97,11.07,13.98,11.3,6.09,MONTHLY,22.6,17.89,7.74,47.18,2.14,61.8,8.34,4.02,10.15,48.8,6.02
2016,UP-CA0072,25.61,3.12,1.6,17.11,5.12,0.47,DAILY,42.1,44.83,7.35,64.93,2.47,50.7,7.6,21.08,10.2,90.27,12.63
2021,AS-CA0894,11.1,10.05,3.9,17.77,16.0,9.72,MONTHLY,81.5,32.48,6.02,38.75,7.85,45.9,6.17,7.86,1.41,58.9,15.5
2014,GJ-CA0377,13.09,7.71,9.75,4.22,33.11,9.53,RARE,30.9,32.05,3.79,58.57,6.91,28.4,7.36,20.25,5.33,69.07,7.67
2019,JH-CA0735,15.1,2.19,11.3,15.83,15.96,3.11,RARE,48.2,8.74,11.67,45.16,4.1,37.9,4.05,26.38,9.73,87.7,38.55
2023,LD-CA1341,23.34,20.34,9.86,15.93,24.21,8.88,MONTHLY,91.1,9.21,1.45,31.23,7.6,51.2,8.0,19.85,11.8,70.14,20.6
2023,MZ-CA1489,4.39,12.79,16.36,1.8,28.09,3.4,WEEKLY,62.3,50.0,8.39,31.39,4.58,60.4,5.87,10.52,9.08,75.0,31.24
2016,OD-CA1388,33.63,8.12,8.72,19.15,11.96,7.34,DAILY,26.0,30.09,8.0,62.65,2.26,48.1,3.7,6.66,11.8,91.04,2.14
2022,GJ-CA1374,5.19,20.64,1.02,1.16,10.5,6.27,MONTHLY,26.1,28.32,6.36,56.01,5.49,92.0,7.96,9.05,2.49,39.75,10.2
2016,CH-CA1754,25.1,5.14,8.15,16.39,31.25,1.31,WEEKLY,69.4,20.1,6.62,27.84,5.57,72.9,3.23,24.89,10.35,81.05,16.38
2021,HP-CA0869,18.03,16.32,3.84,2.6,23.82,8.34,MONTHLY,34.5,41.03,4.13,41.06,3.18,67.9,6.55,16.95,2.18,51.52,17.71
2020,JK-CA0057,23.38,12.24,12.88,18.83,32.37,5.69,DAILY,67.2,19.98,4.27,40.07,4.75,25.3,5.79,7.09,12.13,68.61,30.47
2015,WB-CA0653,15.87,3.55,15.76,13.08,15.85,9.79,MONTHLY,34.7,21.44,6.46,58.8,5.76,79.6,4.45,26.41,8.95,59.98,25.35
2023,GJ-CA1401,21.21,11.52,2.2,13.15,18.18,8.89,MONTHLY,86.7,18.42,8.54,74.08,3.51,34.7,3.38,20.29,10.95,79.74,35.32
2018,ML-CA1072,23.63,12.57,17.81,7.01,28.21,0.41,MONTHLY,49.2,9.47,3.89,60.26,3.84,18.1,6.93,7.13,9.16,36.64,35.89
2021,LD-CA1799,25.27,21.37,4.58,7.07,11.79,0.58,WEEKLY,47.2,44.25,2.64,42.29,6.65,85.0,8.63,11.95,2.16,39.09,4.41
2015,JH-CA0318,35.08,19.31,14.67,14.13,17.69,3.33,RARE,64.4,26.43,7.59,34.84,7.54,55.7,6.81,23.13,3.95,57.32,6.82
2023,AR-CA0251,18.59,16.32,13.64,1.05,21.68,9.66,RARE,72.6,28.81,5.66,34.68,8.04,91.2,4.17,6.65,4.73,54.94,30.39
2015,MH-CA0800,25.83,17.53,4.78,19.5,22.84,7.05,DAILY,23.5,43.55,3.03,59.79,6.02,59.5,9.37,18.49,7.57,83.02,25.35
2019,ML-CA0582,34.01,13.96,8.38,7.54,15.66,5.78,MONTHLY,69.1,44.43,10.05,61.02,6.81,34.6,8.81,5.8,11.99,88.47,32.0
2024,NL-CA0831,17.44,19.67,1.74,5.67,35.0,2.28,3X_WEEK,47.1,44.82,3.33,63.52,8.15,22.1,9.05,15.87,8.91,52.29,21.18
2017,AP-CA1233,31.33,8.17,12.8,16.88,32.7,1.6,DAILY,36.5,41.41,10.97,28.99,3.6,84.8,3.9,18.3,0.81,50.64,12.33
2016,NL-CA1562,28.81,14.41,8.99,11.01,8.0,9.82,3X_WEEK,82.6,38.2,11.53,74.12,3.82,64.2,5.33,25.99,4.56,81.38,37.84
2022,MZ-CA1040,8.7,2.71,6.48,16.85,6.67,2.11,3X_WEEK,32.7,37.01,1.05,56.62,4.46,82.8,7.58,21.1,9.41,89.88,34.22
2025,DN-CA1585,28.66,2.47,4.52,10.72,27.39,7.57,DAILY,82.3,22.57,3.01,65.05,5.54,22.7,3.04,26.35,12.1,72.36,38.38
2017,MN-CA0555,27.37,16.73,16.51,3.96,18.16,8.75,DAILY,78.7,33.58,1.4,27.46,6.12,42.3,4.9,8.71,12.7,76.45,32.47
2015,MZ-CA1020,13.7,20.39,17.41,13.46,29.06,5.17,WEEKLY,61.7,33.45,3.1,64.0,7.47,53.7,5.23,20.42,8.18,36.1,36.84
2020,AS-CA0986,20.66,19.72,17.48,4.43,28.67,8.1,MONTHLY,43.6,7.37,0.87,55.98,7.65,24.4,5.02,27.54,5.74,81.65,12.36
2020,TS-CA0412,27.54,12.65,2.31,8.82,18.91,9.56,MONTHLY,68.1,36.88,10.94,26.04,4.68,52.6,7.06,26.23,0.94,37.71,16.45
2016,AS-CA0646,10.9,13.34,3.37,7.37,34.66,2.76,WEEKLY,75.4,40.63,4.88,47.32,7.45,22.4,7.8,17.2,13.4,66.62,20.48
2016,TS-CA0745,23.92,4.26,15.86,19.57,33.39,7.69,DAILY,82.0,39.68,4.58,72.15,5.22,57.6,3.6,10.5,13.08,49.75,36.22
2015,CH-CA0772,17.24,15.98,8.16,16.53,8.11,1.74,3X_WEEK,42.6,30.67,1.85,58.15,7.71,70.3,6.28,24.42,5.96,58.34,29.65
2022,MP-CA0615,33.18,16.59,2.0,9.25,30.59,9.24,3X_WEEK,52.7,9.81,1.25,30.75,8.07,57.1,4.63,14.72,1.42,56.4,13.3
2016,SK-CA1953,16.53,21.1,6.53,2.38,27.58,1.81,3X_WEEK,50.7,19.06,3.2,73.64,4.1,64.8,8.31,22.16,4.12,96.08,6.9
2025,OD-CA1404,14.01,11.48,8.3,7.42,4.28,6.59,WEEKLY,81.9,5.64,10.18,28.25,2.83,35.2,8.91,26.95,9.3,63.28,12.61
2016,GA-CA0437,13.19,3.85,11.43,10.72,32.25,8.89,MONTHLY,39.2,12.94,3.94,39.53,2.0,76.3,8.59,12.36,3.23,55.98,34.45
2020,GA-CA0246,35.99,9.57,14.88,7.58,28.68,9.2,RARE,64.8,51.67,3.51,36.43,3.23,86.1,6.9,11.81,5.21,70.38,2.02
2017,MH-CA1314,10.54,5.83,16.02,14.69,33.94,4.85,RARE,32.8,33.05,8.11,68.56,4.18,28.9,7.29,12.31,13.75,75.38,21.85
2015,UK-CA0530,9.99,9.01,9.97,18.47,17.67,4.81,MONTHLY,59.8,20.51,6.25,43.82,7.55,79.7,6.77,17.34,9.19,69.27,7.19
2025,PY-CA1237,6.61,15.82,12.52,17.56,24.5,0.75,MONTHLY,74.5,20.46,1.47,73.81,8.56,90.7,4.25,11.29,14.29,75.83,16.11
2022,SK-CA0314,33.62,16.4,6.1,3.07,23.01,0.47,DAILY,22.7,27.43,8.89,42.55,2.06,90.3,4.83,24.03,8.97,61.84,17.15
2018,ML-CA0045,18.4,14.62,11.93,8.4,5.22,1.03,WEEKLY,84.2,15.49,9.28,31.48,8.42,26.0,3.06,22.1,12.88,59.45,3.09
2015,LD-CA1676,28.4,14.2,8.0,6.0,24.54,6.31,RARE,51.9,40.31,1.7,49.92,4.91,56.2,8.87,26.76,11.76,56.42,2.24
2016,AR-CA0998,8.31,20.66,17.83,5.28,13.46,7.85,MONTHLY,48.0,54.32,2.42,29.39,2.63,47.2,3.44,12.42,8.62,47.04,6.07
2022,CH-CA1205,16.18,14.13,3.38,1.22,15.76,8.35,3X_WEEK,42.1,37.57,1.37,61.86,3.96,36.3,4.21,24.77,5.36,96.9,33.61
2014,MZ-CA0636,19.19,21.87,2.23,16.9,22.22,9.22,RARE,24.5,28.18,10.79,69.23,3.89,55.9,6.71,26.55,9.88,92.83,6.19
2025,CG-CA1061,10.5,6.17,6.05,1.75,12.8,8.26,WEEKLY,78.2,9.9,4.32,72.24,3.27,55.6,7.15,8.49,5.18,91.79,25.75
2018,LA-CA1341,17.42,4.55,4.56,11.56,31.42,2.28,RARE,67.3,17.78,4.2,35.32,8.51,73.5,7.67,26.98,10.14,44.1,31.82
2023,GJ-CA0559,15.23,16.77,10.67,1.47,8.45,4.45,MONTHLY,84.4,28.12,5.5,52.42,2.48,62.6,7.21,19.97,11.87,62.92,18.15
2019,AN-CA0891,29.01,21.87,3.56,4.48,24.79,4.15,DAILY,44.9,28.96,9.48,60.18,7.31,61.0,7.97,18.33,13.18,51.44,38.69
2024,DD-CA0933,6.75,18.18,15.97,7.2,21.48,7.73,RARE,76.7,13.26,5.53,25.8,6.08,29.9,8.94,10.78,7.07,50.84,21.51
2023,JK-CA1272,24.91,19.72,14.78,7.6,8.08,5.89,3X_WEEK,24.1,34.92,5.83,43.27,3.11,73.9,9.19,7.95,5.74,49.06,39.9
2016,CG-CA0541,12.96,4.47,11.7,8.8,32.77,3.42,3X_WEEK,55.6,43.22,3.71,28.94,5.45,57.2,7.67,17.82,11.23,91.1,29.77
2019,DD-CA0013,10.5,5.59,7.63,3.39,19.92,6.06,MONTHLY,42.4,54.75,9.51,63.14,6.37,35.0,4.29,7.9,11.47,57.16,10.1
2014,TS-CA0381,37.98,2.5,12.81,18.89,16.78,5.86,RARE,41.3,28.98,11.02,28.76,7.44,33.9,6.71,12.12,3.07,92.32,36.21
2019,HR-CA1884,26.58,7.93,5.51,18.78,24.49,7.36,MONTHLY,37.6,42.89,9.14,51.7,7.11,87.8,5.01,16.22,7.62,43.45,6.65
2023,KA-CA0615,36.72,17.77,14.5,12.41,7.3,2.45,MONTHLY,54.1,14.3,7.17,35.1,5.99,61.8,3.36,26.74,14.39,38.3,26.45
2023,AP-CA1960,15.39,19.44,15.2,6.16,23.81,0.58,3X_WEEK,81.9,18.44,10.43,52.96,7.62,80.8,7.59,16.23,4.84,36.67,12.89
2020,BR-CA1424,10.27,6.54,12.14,18.12,15.42,5.64,3X_WEEK,68.6,11.32,7.52,50.12,6.93,47.5,5.02,17.0,4.23,77.09,27.75
2024,PB-CA0872,15.55,16.46,14.31,19.64,8.31,7.87,RARE,47.3,24.64,6.71,44.52,5.61,54.1,3.68,4.57,1.52,77.92,28.91
2021,UK-CA0240,10.23,15.78,3.84,16.14,19.72,0.55,WEEKLY,46.5,51.1,7.84,68.2,7.09,69.7,3.38,16.81,5.82,68.34,15.11
2015,BR-CA1943,35.79,19.58,4.66,14.29,30.25,6.19,WEEKLY,78.9,31.88,6.07,58.96,3.96,84.1,5.05,5.41,10.35,91.79,16.25
2019,TN-CA1608,33.15,14.19,10.19,19.12,18.72,2.28,MONTHLY,42.2,29.27,5.23,46.15,4.5,88.3,3.01,18.46,11.12,69.51,34.83
2015,CH-CA1950,9.28,9.16,7.52,18.25,26.04,8.43,3X_WEEK,87.2,5.63,4.1,34.19,8.72,44.4,6.63,6.25,8.26,82.5,27.48
2025,BR-CA1061,11.15,15.61,2.21,3.39,12.42,2.62,RARE,40.4,24.02,1.26,46.8,6.36,63.7,3.41,12.61,6.98,42.14,25.81
2025,KL-CA1841,4.26,18.65,11.33,1.1,24.18,8.2,3X_WEEK,85.8,29.88,4.59,42.16,2.49,36.9,4.3,19.17,2.87,78.36,26.8
2018,MP-CA1965,4.54,9.5,3.01,16.27,30.33,0.62,DAILY,55.8,42.27,4.06,51.96,7.62,48.8,3.91,26.14,6.0,56.91,25.21
2016,MN-CA0472,36.91,14.72,6.86,9.33,24.88,9.68,MONTHLY,93.8,38.48,4.66,46.79,8.38,72.0,5.17,16.37,7.3,87.31,2.56
2023,CH-CA1650,10.09,8.27,12.33,16.41,26.45,2.94,MONTHLY,59.0,20.74,5.82,55.69,2.4,88.9,6.51,14.61,7.18,86.74,6.49
2017,PB-CA0447,18.59,7.22,12.23,11.0,22.28,5.71,WEEKLY,62.7,40.46,1.06,38.04,5.6,29.2,3.98,4.11,14.44,70.52,13.43
2022,ML-CA0927,13.53,16.5,15.33,9.51,25.32,2.23,RARE,28.8,28.06,11.34,70.17,4.66,60.4,7.95,21.17,7.62,84.74,9.31
2021,GA-CA0274,21.45,20.09,13.02,3.43,25.16,6.04,3X_WEEK,79.0,9.09,11.53,28.12,5.18,69.1,7.62,10.34,9.48,38.22,15.11
2024,JH-CA0018,19.58,19.12,3.48,9.66,22.54,3.25,WEEKLY,93.5,30.46,3.69,58.15,7.75,42.0,5.89,26.73,2.42,46.86,39.95
2018,MP-CA1290,23.01,12.29,11.73,9.5,14.27,3.87,3X_WEEK,66.6,26.66,5.35,41.2,7.61,30.1,6.87,27.33,3.22,60.87,29.28
2021,UK-CA1837,4.35,16.16,13.19,15.33,19.31,3.17,WEEKLY,78.5,18.35,2.82,38.37,3.73,43.8,9.36,6.59,6.64,91.68,2.26
2014,UP-CA1615,4.06,4.92,2.12,9.12,17.48,1.77,MONTHLY,41.9,53.93,0.65,44.91,8.19,60.8,4.31,26.45,7.62,59.31,33.33
2023,AP-CA0493,19.47,11.86,12.68,12.43,10.86,0.83,MONTHLY,83.3,35.85,6.93,34.22,8.48,69.7,7.24,12.93,7.51,82.19,15.7
2025,HR-CA1952,7.11,20.4,1.26,16.52,8.12,9.96,DAILY,78.5,50.79,4.39,74.44,6.11,68.8,3.92,26.38,6.72,71.08,16.48
2019,DL-CA0971,29.32,11.9,4.94,5.93,9.64,6.19,3X_WEEK,92.5,32.29,0.58,50.81,3.04,21.8,7.61,18.26,8.89,66.57,33.2
2021,UP-CA1451,22.64,3.42,10.23,18.45,23.71,8.74,3X_WEEK,77.3,33.43,6.68,49.66,5.99,62.1,6.21,25.02,12.07,77.07,15.58
2018,JH-CA0112,18.7,18.63,6.71,4.4,14.02,5.28,3X_WEEK,85.7,34.42,3.08,52.02,3.21,35.5,8.75,19.64,11.25,63.56,6.04
2022,MN-CA0047,16.1,3.76,6.13,18.43,30.83,0.75,3X_WEEK,75.4,26.31,7.22,48.52,7.04,42.2,7.52,18.2,12.82,64.1,19.97
2022,UK-CA1646,10.14,6.5,14.38,17.87,24.42,7.48,MONTHLY,33.4,6.01,2.4,32.84,6.01,51.7,5.52,22.09,5.8,43.46,38.36
2023,TR-CA1692,5.9,3.73,14.88,3.78,14.45,5.64,RARE,57.5,35.4,11.27,29.43,5.8,57.7,7.99,11.48,0.64,42.02,34.49
2018,TN-CA0452,8.71,15.25,3.92,17.6,28.23,7.3,DAILY,45.6,39.54,7.82,39.75,2.54,76.2,3.15,9.11,4.72,42.74,8.19
2015,MP-CA1902,36.82,14.71,13.88,7.87,26.59,5.91,3X_WEEK,77.8,42.96,8.05,60.05,4.94,58.7,4.25,12.1,8.67,53.5,19.77
2018,MN-CA0453,37.25,13.21,11.57,2.4,17.07,6.89,RARE,35.5,14.1,11.62,26.72,8.26,86.9,7.55,5.68,7.56,42.73,3.31
2020,OD-CA0427,30.34,4.55,11.19,18.92,8.94,6.78,WEEKLY,94.1,25.12,1.14,42.22,8.38,48.0,6.71,5.48,11.15,82.15,24.25
2014,TN-CA0830,23.85,2.06,17.55,12.99,6.74,0.35,3X_WEEK,37.7,44.71,4.4,66.65,3.26,82.6,6.38,23.42,3.61,81.45,38.0
2020,OD-CA0781,21.55,20.98,1.82,9.34,30.86,1.17,RARE,87.0,31.52,6.54,28.35,8.05,36.3,6.61,25.45,14.28,47.69,27.26
2023,LD-CA0586,13.46,11.19,12.18,18.32,14.04,5.11,MONTHLY,27.6,27.0,9.27,29.35,8.68,80.6,5.26,26.18,11.1,66.47,37.1
2022,KL-CA0224,11.53,2.66,1.68,11.42,16.56,9.37,MONTHLY,36.0,37.4,4.16,65.44,8.07,56.3,7.31,25.26,6.33,66.43,6.44
2022,KL-CA0669,21.35,8.97,16.03,16.66,10.2,9.24,WEEKLY,59.5,28.97,6.4,27.79,5.93,23.1,3.96,26.33,13.53,39.7,25.14
2024,MH-CA1838,37.98,18.16,3.38,5.14,4.32,7.29,DAILY,43.5,11.02,8.37,54.64,8.29,44.0,7.7,6.31,12.49,79.18,6.42
2022,RJ-CA0827,5.19,20.66,14.03,12.25,29.17,0.4,3X_WEEK,37.8,33.99,4.57,25.6,7.34,32.6,9.3,10.24,2.96,46.33,25.06
2018,TR-CA0926,35.73,8.96,5.09,17.27,30.53,6.63,3X_WEEK,38.7,15.69,5.25,63.48,7.67,77.3,4.46,9.64,1.54,37.13,7.45
2015,CG-CA0085,17.46,14.43,5.58,14.21,21.08,0.35,DAILY,44.1,15.88,11.23,26.56,6.76,29.3,3.96,6.19,12.92,95.12,25.44
2023,DN-CA0284,36.21,21.11,9.21,2.06,27.73,8.16,RARE,35.2,42.51,8.69,68.94,7.36,30.3,3.91,12.32,10.57,75.2,7.85
2024,MN-CA1968,12.14,21.38,5.82,19.49,8.09,1.43,DAILY,42.1,30.68,9.87,74.99,5.15,85.5,8.83,5.57,11.84,61.66,17.08
2018,TR-CA1964,33.43,10.43,11.91,14.33,25.77,4.25,RARE,40.0,37.49,7.99,42.46,2.17,68.2,5.2,10.02,8.99,89.68,20.27
2021,AS-CA1211,29.41,2.82,12.0,6.45,24.22,0.81,RARE,71.0,35.89,0.67,48.73,4.81,34.3,5.76,20.39,12.86,78.31,3.96
2014,SK-CA1270,13.95,9.19,12.46,4.03,5.73,2.66,WEEKLY,87.9,27.77,7.94,44.79,7.32,54.8,5.56,6.17,6.21,83.91,29.84
2022,NL-CA0194,11.66,21.32,12.58,14.97,4.05,2.01,WEEKLY,65.1,18.41,8.59,62.81,3.42,44.7,8.89,26.16,14.37,90.57,3.74
2014,MN-CA0067,17.14,13.25,12.14,11.84,8.44,1.28,DAILY,35.6,19.15,8.97,43.88,2.64,38.3,3.14,24.17,12.32,74.38,29.56
2019,ML-CA0152,23.11,18.1,6.67,12.73,20.89,2.33,RARE,80.7,11.66,4.06,50.97,5.77,74.6,3.45,20.14,8.33,52.29,39.92
2018,DN-CA1434,4.45,16.92,12.09,10.43,33.84,5.07,DAILY,43.9,23.79,10.45,30.67,3.44,32.7,8.02,8.02,5.0,47.4,13.74
2014,MH-CA1652,20.5,11.05,16.8,18.59,5.06,3.82,RARE,62.0,31.94,8.11,29.85,4.09,25.2,9.35,8.17,8.42,78.02,39.62
2017,AN-CA0223,18.7,9.79,8.56,16.88,27.78,9.41,DAILY,68.9,51.03,11.91,53.06,6.94,33.5,9.25,13.1,10.57,66.3,4.05
2021,AN-CA0876,35.58,4.62,6.51,5.75,18.52,7.38,RARE,21.9,20.28,6.43,43.22,7.45,81.4,3.62,17.26,4.25,45.44,31.01
2022,UP-CA0740,25.47,13.55,8.01,9.2,16.9,7.54,MONTHLY,28.1,24.28,6.15,30.06,3.03,82.3,6.15,19.59,2.92,75.29,2.58
2025,TN-CA1375,32.96,5.08,1.18,6.43,4.27,4.2,RARE,53.6,43.97,10.72,35.21,7.77,42.3,5.82,11.28,8.9,87.34,13.44
2019,TN-CA1939,14.19,12.46,16.5,13.83,5.29,0.99,WEEKLY,86.1,46.55,11.35,41.63,5.34,69.8,5.02,10.25,3.21,88.25,31.53
2022,KA-CA0467,34.12,21.73,3.01,7.1,30.59,6.67,MONTHLY,65.0,32.73,5.82,61.5,2.3,60.8,7.11,12.78,7.47,45.27,32.55
2022,PB-CA1952,22.85,20.03,8.39,10.21,17.95,2.63,DAILY,38.3,42.72,1.5,63.25,5.13,19.6,4.38,24.49,11.93,36.37,38.19
2024,HP-CA0530,32.26,19.24,12.28,7.79,16.14,5.83,MONTHLY,83.8,51.65,11.69,34.26,6.02,18.0,9.13,24.01,0.93,62.39,2.95
2015,UK-CA0642,5.54,21.54,12.61,11.09,8.78,6.08,RARE,91.3,41.44,7.19,43.56,6.68,87.8,8.1,24.38,13.69,57.59,12.48
2025,PB-CA1417,6.19,12.33,1.09,5.25,16.25,7.35,MONTHLY,81.7,21.51,1.16,49.45,3.31,20.2,4.78,14.09,3.72,60.42,5.73
2015,HR-CA0166,25.23,6.45,10.92,10.96,23.57,6.94,MONTHLY,68.3,7.6,5.91,64.66,6.76,77.0,7.14,20.79,10.47,52.35,25.0
2021,LA-CA1178,29.24,10.39,17.15,10.64,14.94,1.02,MONTHLY,56.0,15.53,4.09,72.42,3.86,40.2,6.09,21.61,5.09,46.96,26.92
2025,ML-CA0180,25.57,17.74,11.92,9.47,25.96,0.38,3X_WEEK,62.6,31.56,11.83,61.75,4.53,52.6,3.6,7.88,10.7,81.18,13.79
2024,JH-CA1728,25.9,3.14,11.58,10.02,24.05,1.02,3X_WEEK,44.8,33.31,10.57,55.27,3.14,44.5,3.3,17.67,2.88,76.16,31.59
2024,LD-CA1801,5.61,15.07,16.24,19.92,4.25,8.51,MONTHLY,77.5,5.08,7.91,59.08,2.49,45.6,6.93,11.43,8.21,48.9,26.54
2025,PY-CA1038,6.88,16.85,17.14,13.23,33.48,0.5,WEEKLY,74.4,31.81,7.17,36.78,6.85,51.9,8.48,15.41,9.72,46.78,35.29
2022,WB-CA0331,37.45,10.63,6.25,14.39,7.19,2.03,MONTHLY,22.4,12.17,8.14,52.98,8.29,75.6,8.41,15.75,2.63,74.57,36.42
2024,JH-CA0802,36.52,16.93,4.17,18.34,28.76,3.88,3X_WEEK,32.5,34.67,2.89,70.6,6.05,19.8,5.95,22.91,8.05,68.51,29.49
2014,SK-CA0225,18.47,3.16,15.94,6.3,13.54,3.63,RARE,79.7,40.37,10.93,45.22,6.25,71.0,4.7,20.37,11.91,72.3,34.09
2023,DL-CA0752,25.26,4.63,5.31,17.83,11.95,8.7,3X_WEEK,47.7,45.93,6.23,72.68,2.76,57.4,3.19,24.18,3.85,85.29,29.48
2025,PB-CA1937,34.54,3.04,1.63,4.78,12.44,4.06,3X_WEEK,92.6,9.81,11.94,56.14,4.82,23.5,3.61,26.34,6.75,69.04,20.05
2020,TS-CA1418,17.69,21.13,9.97,14.06,18.95,2.28,DAILY,44.4,52.81,6.55,72.55,4.34,91.3,7.16,23.44,2.09,89.78,2.77
2020,BR-CA0339,20.06,6.54,10.02,2.53,17.38,6.9,WEEKLY,76.9,6.44,9.26,69.98,3.32,53.6,7.6,15.02,14.14,96.82,24.01
2019,AN-CA0059,31.3,17.75,9.07,18.12,14.08,4.53,3X_WEEK,30.9,37.66,7.28,46.75,8.64,50.7,5.35,12.32,4.11,68.15,2.07
2021,HP-CA1589,12.87,12.33,15.17,3.2,8.95,6.27,MONTHLY,41.3,30.93,11.02,57.13,7.14,73.0,7.87,27.47,3.28,61.42,9.87
2015,LA-CA0187,7.47,21.05,13.05,4.56,24.42,4.51,3X_WEEK,25.2,14.83,7.41,70.05,7.0,65.0,6.0,16.54,1.1,69.45,6.64
2023,UP-CA1479,16.26,11.01,14.84,10.26,13.65,1.63,MONTHLY,62.7,52.55,8.58,35.88,6.24,38.4,6.58,24.92,5.02,95.86,19.23
2023,JK-CA0014,9.15,6.24,8.99,9.84,17.03,9.17,WEEKLY,52.3,13.93,1.03,67.67,7.12,60.3,4.18,17.63,5.02,58.51,16.63
2020,MH-CA1110,9.69,10.52,8.53,6.35,18.66,6.6,DAILY,69.2,8.65,6.49,27.51,3.34,59.0,6.31,23.46,6.07,80.31,12.13
2016,MH-CA1331,15.79,20.15,11.3,18.28,25.29,9.71,3X_WEEK,45.6,50.55,8.78,39.52,2.63,81.0,7.19,14.87,10.27,53.06,18.7
2022,DN-CA0378,31.21,12.34,3.66,7.91,27.41,0.63,RARE,71.0,44.83,6.83,39.9,6.21,61.0,8.64,23.03,7.18,77.94,8.16
2021,LA-CA0228,5.63,8.83,3.82,4.8,26.45,3.85,DAILY,26.2,53.29,9.17,74.69,2.92,89.0,3.39,13.19,9.03,65.52,18.63
2023,MH-CA1051,12.69,2.0,3.49,3.41,12.5,5.06,DAILY,83.1,37.05,8.8,49.35,4.84,57.4,4.52,22.74,11.13,84.13,15.31
2024,KA-CA0547,8.14,13.8,9.4,3.65,9.52,1.47,MONTHLY,67.3,14.22,7.97,49.39,3.45,20.0,3.63,12.04,8.85,40.43,21.61
2023,DD-CA0325,32.29,4.74,17.84,19.72,21.04,5.96,MONTHLY,40.4,18.62,3.16,49.26,7.81,51.8,6.4,26.35,4.96,83.68,20.15
2020,AP-CA1024,9.9,9.09,13.81,10.2,13.21,7.09,RARE,57.7,35.34,9.16,36.51,5.05,86.4,7.66,6.71,1.74,81.4,26.46
2020,SK-CA1347,21.49,15.99,16.61,9.11,34.97,5.18,RARE,37.6,42.53,8.16,47.68,7.21,86.7,3.41,24.97,6.8,67.21,3.38
2018,PB-CA1760,22.01,3.53,5.23,2.9,30.12,6.21,3X_WEEK,70.5,40.66,9.11,36.51,8.66,89.0,7.46,25.77,8.79,72.95,31.35
2019,BR-CA1379,14.41,21.51,5.73,15.77,14.1,9.51,WEEKLY,21.6,42.55,6.16,65.17,2.04,32.2,7.86,19.49,5.83,81.26,11.71
2025,MN-CA1805,36.58,12.2,15.36,10.53,3.89,0.42,RARE,76.6,9.76,11.54,44.91,4.83,32.5,7.57,24.83,4.92,84.51,35.45
2017,TN-CA0322,9.29,18.5,4.23,8.29,15.59,6.22,MONTHLY,67.4,21.46,6.94,53.68,2.7,25.7,8.41,22.86,12.78,39.28,11.53
2022,JK-CA0899,36.01,7.73,14.66,11.6,20.01,4.44,MONTHLY,33.5,40.03,9.8,68.88,2.33,54.8,6.57,14.13,11.85,69.05,12.42
2024,MZ-CA1112,6.84,14.18,5.84,6.81,14.16,3.5,DAILY,90.3,23.6,6.33,57.08,8.67,72.5,6.84,11.32,12.93,80.69,6.79
2019,WB-CA0152,5.62,18.85,14.77,15.91,21.34,1.52,RARE,91.7,28.71,6.16,55.91,4.4,67.1,7.35,26.76,2.77,67.4,24.52
2024,MH-CA1586,5.68,5.47,1.83,10.64,30.36,6.58,RARE,60.0,5.52,2.01,54.64,3.64,90.6,5.57,11.1,8.15,42.35,21.79
2015,DN-CA1077,11.99,6.75,1.71,17.93,28.11,4.31,RARE,57.5,11.41,9.19,30.68,5.38,19.7,5.48,12.91,1.78,51.58,15.28
2024,UP-CA0962,10.86,17.69,12.96,8.33,23.81,8.75,DAILY,76.4,30.29,11.42,47.66,6.68,62.8,5.45,21.68,9.76,35.64,3.61
