gov_cohesion_programme_period_code,gov_cohesion_fund_code,gov_cohesion_programme_id,gov_cohesion_region_nuts_code,gov_cohesion_thematic_objective_code,gov_cohesion_priority_axis_code,gov_cohesion_allocated_eur,gov_cohesion_committed_eur,gov_cohesion_spent_eur,gov_cohesion_absorption_rate_pct,gov_cohesion_project_count,gov_cohesion_beneficiary_type_code,gov_cohesion_state_aid_flag,gov_cohesion_green_spending_share_pct,gov_cohesion_digital_spending_share_pct,gov_cohesion_urban_dimension_flag,gov_cohesion_audit_irregularities_eur,gov_cohesion_anti_fraud_cases_count,gov_cohesion_data_source,gov_cohesion_data_extract_date
2021_2027,ERDF,2021_2027_ERDF_PRG_130,FR94,TO1_RDI,PA_10,511300382.91,369261421.01,301471684.07,58.96,892,TRANSPORT_OPERATOR,0,38.52,9.33,1,61534416.32,43,MANAGING_AUTHORITY_REPORTING,2025-09-10
2014_2020,ERDF,2014_2020_ERDF_PRG_131,SK618,TO1_RDI,PA_11,3177366052.16,2094271492.68,459910734.51,14.47,433,MUNICIPALITY,0,29.68,5.22,1,115889075.9,22,ECA_AUDIT_SUMMARY,2024-03-05
2021_2027,ERDF,2021_2027_ERDF_PRG_132,LV54,TO1_RDI,PA_12,6335172536.17,4606350868.58,3881559262.18,61.27,872,UNIVERSITY,0,42.43,36.92,0,26564536.03,45,OLAF_CASES_DB,2025-06-01
2014_2020,ERDF,2014_2020_ERDF_PRG_133,FR348,TO1_RDI,PA_01,2623412615.05,2495137934.67,1587958654.04,60.53,1070,HEALTH_PROVIDER,0,30.49,18.51,0,3000597.35,31,COHESION_OPEN_DATA,2024-04-29
2021_2027,ERDF,2021_2027_ERDF_PRG_134,EE8,TO1_RDI,PA_02,8264850467.62,7047014762.8,2059200298.41,24.92,988,OTHER,1,43.16,32.59,0,3228252.09,10,MANAGING_AUTHORITY_REPORTING,2024-08-03
2014_2020,ERDF,2014_2020_ERDF_PRG_135,RO98,TO1_RDI,PA_03,3092349207.08,2570002824.94,753596828.32,24.37,682,SME,0,55.23,36.22,1,90317467.8,40,ECA_AUDIT_SUMMARY,2024-03-12
2021_2027,ERDF,2021_2027_ERDF_PRG_136,BG18,TO1_RDI,PA_04,2029842633.73,943774043.0,506120028.78,24.93,1074,UTILITY,1,11.88,48.09,0,25435706.53,59,OLAF_CASES_DB,2025-06-28
2014_2020,ERDF,2014_2020_ERDF_PRG_137,SE29,TO1_RDI,PA_05,611488926.8,345178266.14,92564311.92,15.14,1129,MINISTRY,0,17.16,44.77,0,60066994.46,34,COHESION_OPEN_DATA,2025-03-21
2021_2027,ERDF,2021_2027_ERDF_PRG_138,LT863,TO1_RDI,PA_06,177029726.58,91664500.75,73795422.69,41.69,1092,REGIONAL_AUTHORITY,0,45.64,6.1,0,13787663.96,30,MANAGING_AUTHORITY_REPORTING,2024-09-28
2014_2020,ERDF,2014_2020_ERDF_PRG_139,SE369,TO1_RDI,PA_07,6703186595.77,4027426028.06,2949108364.75,44.0,443,NGO,0,15.74,14.2,0,54261234.41,60,ECA_AUDIT_SUMMARY,2024-10-04
2021_2027,ERDF,2021_2027_ERDF_PRG_140,FI105,TO1_RDI,PA_08,6417492345.78,5720821330.48,4051381966.03,63.13,744,TRANSPORT_OPERATOR,0,57.16,37.05,0,67333466.69,49,OLAF_CASES_DB,2025-11-07
2014_2020,ERDF,2014_2020_ERDF_PRG_141,DK153,TO1_RDI,PA_09,9913829531.79,5099288291.14,1045100307.72,10.54,853,MUNICIPALITY,0,59.74,31.88,0,80726803.61,49,COHESION_OPEN_DATA,2024-06-21
2021_2027,ERDF,2021_2027_ERDF_PRG_142,HU248,TO1_RDI,PA_10,4686615565.41,2811836173.4,721887339.78,15.4,778,UNIVERSITY,0,7.86,51.28,1,36364213.77,27,MANAGING_AUTHORITY_REPORTING,2024-04-06
2014_2020,ERDF,2014_2020_ERDF_PRG_143,RO2,TO1_RDI,PA_11,5321877009.53,3019700400.58,2111236188.48,39.67,998,HEALTH_PROVIDER,0,34.12,49.47,0,117579661.83,25,ECA_AUDIT_SUMMARY,2025-02-09
2021_2027,ERDF,2021_2027_ERDF_PRG_144,DE92,TO1_RDI,PA_12,9771664216.58,6266869665.67,2517203046.84,25.76,615,OTHER,0,48.32,44.68,0,115576143.56,26,OLAF_CASES_DB,2024-06-14
2014_2020,ERDF,2014_2020_ERDF_PRG_145,CY86,TO1_RDI,PA_01,3254528232.73,2524347282.11,1810869398.33,55.64,732,SME,0,52.12,17.54,1,111644405.9,28,COHESION_OPEN_DATA,2024-12-20
2021_2027,ERDF,2021_2027_ERDF_PRG_146,HU29,TO1_RDI,PA_02,8875280223.67,4312280569.54,3902549610.39,43.97,533,UTILITY,1,21.43,20.67,1,172186110.26,57,MANAGING_AUTHORITY_REPORTING,2026-01-05
2014_2020,ERDF,2014_2020_ERDF_PRG_147,LU30,TO1_RDI,PA_03,283546708.57,187182151.78,37573300.22,13.25,402,MINISTRY,0,36.65,16.58,1,18970985.21,39,ECA_AUDIT_SUMMARY,2024-12-21
2021_2027,ERDF,2021_2027_ERDF_PRG_148,PL34,TO1_RDI,PA_04,3493341903.19,2272958952.85,1427517396.99,40.86,1216,REGIONAL_AUTHORITY,0,11.34,28.93,0,85202258.48,1,OLAF_CASES_DB,2024-05-26
2014_2020,ERDF,2014_2020_ERDF_PRG_149,AT13,TO1_RDI,PA_05,8005060982.34,5698704366.58,3895646930.44,48.66,732,NGO,0,41.36,47.15,0,49145638.97,44,COHESION_OPEN_DATA,2024-06-21
2021_2027,ERDF,2021_2027_ERDF_PRG_150,IT85,TO1_RDI,PA_06,5864946914.03,3788544597.65,2970311863.62,50.65,441,TRANSPORT_OPERATOR,1,9.8,26.34,0,178011551.38,39,MANAGING_AUTHORITY_REPORTING,2025-02-24
2014_2020,ERDF,2014_2020_ERDF_PRG_151,BE844,TO1_RDI,PA_07,4369763985.83,1936754427.16,1592643315.8,36.45,900,MUNICIPALITY,0,37.21,36.45,1,62210048.52,57,ECA_AUDIT_SUMMARY,2024-08-07
2021_2027,ERDF,2021_2027_ERDF_PRG_152,BE854,TO1_RDI,PA_08,4377662606.04,2226343088.28,2092137348.03,47.79,582,UNIVERSITY,1,17.38,16.65,1,61760351.03,34,OLAF_CASES_DB,2024-08-30
2014_2020,ERDF,2014_2020_ERDF_PRG_153,RO478,TO1_RDI,PA_09,7007998131.29,3467263095.56,3019599624.04,43.09,954,HEALTH_PROVIDER,0,50.14,10.48,0,45563068.55,51,COHESION_OPEN_DATA,2026-01-08
2021_2027,ERDF,2021_2027_ERDF_PRG_154,ES64,TO1_RDI,PA_10,4690188840.05,1817347481.59,597489945.81,12.74,886,OTHER,0,19.16,48.22,0,31186336.81,27,MANAGING_AUTHORITY_REPORTING,2026-02-24
2014_2020,ERDF,2014_2020_ERDF_PRG_155,ES12,TO1_RDI,PA_11,7554336634.3,6952558229.16,1608994424.41,21.3,622,SME,1,45.87,24.67,1,163743056.91,50,ECA_AUDIT_SUMMARY,2026-01-10
2021_2027,ERDF,2021_2027_ERDF_PRG_156,EE73,TO1_RDI,PA_12,4846157369.59,3424131926.74,2076140094.47,42.84,1163,UTILITY,1,28.87,8.78,0,86518469.64,10,OLAF_CASES_DB,2025-06-24
2014_2020,ERDF,2014_2020_ERDF_PRG_157,HU318,TO1_RDI,PA_01,4816905172.28,2476472719.8,1797307874.01,37.31,1143,MINISTRY,0,48.13,35.23,0,63557981.09,46,COHESION_OPEN_DATA,2026-01-12
2021_2027,ERDF,2021_2027_ERDF_PRG_158,LV656,TO1_RDI,PA_02,4090813503.91,2321727188.93,546815985.81,13.37,1213,REGIONAL_AUTHORITY,0,8.18,42.63,0,97315700.87,58,MANAGING_AUTHORITY_REPORTING,2025-02-02
2014_2020,ERDF,2014_2020_ERDF_PRG_159,HR817,TO1_RDI,PA_03,5926030567.96,4734378855.9,2903325080.54,48.99,412,NGO,0,29.4,18.94,0,51778571.82,26,ECA_AUDIT_SUMMARY,2025-07-10
2021_2027,ERDF,2021_2027_ERDF_PRG_160,SK93,TO1_RDI,PA_04,7349622560.43,7395839746.59,6644498814.76,90.41,954,TRANSPORT_OPERATOR,1,32.37,29.77,0,199712249.12,35,OLAF_CASES_DB,2025-10-28
2014_2020,ERDF,2014_2020_ERDF_PRG_161,DE957,TO1_RDI,PA_05,1257199962.09,1184336319.82,398633085.83,31.71,1004,MUNICIPALITY,1,44.05,9.42,1,117268136.98,8,COHESION_OPEN_DATA,2025-12-02
2021_2027,ERDF,2021_2027_ERDF_PRG_162,SE868,TO1_RDI,PA_06,3759630603.42,2934579887.57,719384501.91,19.13,675,UNIVERSITY,0,15.82,34.05,1,44609282.22,20,MANAGING_AUTHORITY_REPORTING,2024-07-01
2014_2020,ERDF,2014_2020_ERDF_PRG_163,PT51,TO1_RDI,PA_07,5093148487.69,2736413334.58,1528049948.22,30.0,1044,HEALTH_PROVIDER,1,38.7,38.65,0,80309988.22,53,ECA_AUDIT_SUMMARY,2025-07-17
2021_2027,ERDF,2021_2027_ERDF_PRG_164,SI81,TO1_RDI,PA_08,7609063309.54,3751322855.75,981664692.91,12.9,930,OTHER,0,7.97,22.05,0,90128048.39,50,OLAF_CASES_DB,2025-05-30
2014_2020,ERDF,2014_2020_ERDF_PRG_165,SE54,TO1_RDI,PA_09,1200237040.9,762323633.63,473681828.79,39.47,495,SME,0,31.7,27.68,1,46222892.31,6,COHESION_OPEN_DATA,2026-01-03
2021_2027,ERDF,2021_2027_ERDF_PRG_166,BG593,TO1_RDI,PA_10,6708069543.98,3213691287.82,2111727473.25,31.48,608,UTILITY,0,43.67,53.45,1,113966090.19,39,MANAGING_AUTHORITY_REPORTING,2024-09-29
2014_2020,ERDF,2014_2020_ERDF_PRG_167,EE220,TO1_RDI,PA_11,8503607443.48,7988027743.39,1463785775.61,17.21,926,MINISTRY,0,62.84,12.94,0,93219929.93,42,ECA_AUDIT_SUMMARY,2024-12-09
2021_2027,ERDF,2021_2027_ERDF_PRG_168,AT130,TO1_RDI,PA_12,6949547163.52,3277633410.33,739914552.09,10.65,708,REGIONAL_AUTHORITY,0,59.8,18.57,0,73341811.4,15,OLAF_CASES_DB,2024-09-18
2014_2020,ERDF,2014_2020_ERDF_PRG_169,PT2,TO1_RDI,PA_01,168842268.45,92803777.39,49193976.32,29.14,1012,NGO,0,55.82,28.0,0,101116641.32,46,COHESION_OPEN_DATA,2024-11-21
2021_2027,ERDF,2021_2027_ERDF_PRG_170,RO74,TO1_RDI,PA_02,4023917554.37,3073479071.79,1683075233.05,41.83,522,TRANSPORT_OPERATOR,0,60.76,18.3,0,109546304.82,31,MANAGING_AUTHORITY_REPORTING,2025-05-01
2014_2020,ERDF,2014_2020_ERDF_PRG_171,LT280,TO1_RDI,PA_03,6892843792.01,4266766334.6,2245187512.91,32.57,662,MUNICIPALITY,1,20.76,6.13,0,191699773.59,34,ECA_AUDIT_SUMMARY,2025-10-09
2021_2027,ERDF,2021_2027_ERDF_PRG_172,RO5,TO1_RDI,PA_04,6678241344.16,3572945189.3,3036560899.62,45.47,800,UNIVERSITY,0,39.61,45.32,1,29258052.97,56,OLAF_CASES_DB,2025-02-02
2014_2020,ERDF,2014_2020_ERDF_PRG_173,DK29,TO1_RDI,PA_05,4985233919.38,4862565805.9,2773193441.32,55.63,1304,HEALTH_PROVIDER,0,42.84,13.97,0,100349404.9,1,COHESION_OPEN_DATA,2024-04-11
2021_2027,ERDF,2021_2027_ERDF_PRG_174,GR267,TO1_RDI,PA_06,4036704903.88,3172126111.94,2417554394.85,59.89,834,OTHER,0,54.51,41.31,0,10049103.07,9,MANAGING_AUTHORITY_REPORTING,2024-07-06
2014_2020,ERDF,2014_2020_ERDF_PRG_175,HR652,TO1_RDI,PA_07,4609232922.04,4517001602.13,2547268068.95,55.26,1258,SME,0,15.2,21.18,1,25506418.5,19,ECA_AUDIT_SUMMARY,2024-08-28
2021_2027,ERDF,2021_2027_ERDF_PRG_176,LV415,TO1_RDI,PA_08,7250174289.46,5307731466.36,4870190568.45,67.17,1205,UTILITY,1,21.81,10.3,0,109412075.71,0,OLAF_CASES_DB,2025-07-28
2014_2020,ERDF,2014_2020_ERDF_PRG_177,IE170,TO1_RDI,PA_09,7007756574.01,6330205501.56,4194848706.1,59.86,830,MINISTRY,0,60.99,49.07,0,56819922.0,51,COHESION_OPEN_DATA,2024-01-21
2021_2027,ERDF,2021_2027_ERDF_PRG_178,DK17,TO1_RDI,PA_10,649589304.44,317905864.19,108258392.67,16.67,454,REGIONAL_AUTHORITY,0,9.72,42.81,0,17323975.48,30,MANAGING_AUTHORITY_REPORTING,2026-02-09
2014_2020,ERDF,2014_2020_ERDF_PRG_179,MT2,TO1_RDI,PA_11,2788539311.49,2557867951.28,2344126768.94,84.06,1157,NGO,0,45.33,41.95,0,119734584.86,44,ECA_AUDIT_SUMMARY,2024-05-30
2021_2027,ERDF,2021_2027_ERDF_PRG_180,DK80,TO1_RDI,PA_12,4288733219.94,1793627561.62,533913183.59,12.45,581,TRANSPORT_OPERATOR,1,19.31,7.53,0,190276839.84,33,OLAF_CASES_DB,2025-07-21
2014_2020,ERDF,2014_2020_ERDF_PRG_181,SK87,TO1_RDI,PA_01,1668864782.81,673820656.5,428065273.47,25.65,967,MUNICIPALITY,0,52.19,8.6,0,46227367.21,59,COHESION_OPEN_DATA,2024-05-16
2021_2027,ERDF,2021_2027_ERDF_PRG_182,PT9,TO1_RDI,PA_02,7419015159.51,4621056046.1,1384472982.4,18.66,877,UNIVERSITY,1,53.53,47.3,0,19446203.56,53,MANAGING_AUTHORITY_REPORTING,2025-06-20
2014_2020,ERDF,2014_2020_ERDF_PRG_183,LT2,TO1_RDI,PA_03,4784145865.15,4480043793.42,1439373616.96,30.09,764,HEALTH_PROVIDER,0,51.59,10.96,0,22748657.9,26,ECA_AUDIT_SUMMARY,2025-11-05
2021_2027,ERDF,2021_2027_ERDF_PRG_184,SI1,TO1_RDI,PA_04,5801334346.97,5281099467.71,1572512934.02,27.11,1046,OTHER,0,16.09,52.67,0,110042267.77,38,OLAF_CASES_DB,2025-10-30
2014_2020,ERDF,2014_2020_ERDF_PRG_185,PT86,TO1_RDI,PA_05,6165486629.21,2889882026.19,1038404126.35,16.84,522,SME,0,18.18,9.17,0,58888559.31,40,COHESION_OPEN_DATA,2025-11-29
2021_2027,ERDF,2021_2027_ERDF_PRG_186,HU45,TO1_RDI,PA_06,2964646775.49,2881369566.5,2579097710.21,87.0,626,UTILITY,0,39.81,9.82,0,51787720.35,44,MANAGING_AUTHORITY_REPORTING,2025-10-03
2014_2020,ERDF,2014_2020_ERDF_PRG_187,CY20,TO1_RDI,PA_07,1094501448.78,806958337.6,440072029.17,40.21,1079,MINISTRY,0,36.6,8.73,0,50941670.33,6,ECA_AUDIT_SUMMARY,2026-01-23
2021_2027,ERDF,2021_2027_ERDF_PRG_188,AT3,TO1_RDI,PA_08,7521415743.45,3098691408.58,881135398.0,11.72,639,REGIONAL_AUTHORITY,0,43.28,37.68,1,119158716.98,60,OLAF_CASES_DB,2026-02-21
2014_2020,ERDF,2014_2020_ERDF_PRG_189,SI716,TO1_RDI,PA_09,1333094561.46,918680794.07,473596881.45,35.53,959,NGO,0,47.21,10.02,1,41425855.87,24,COHESION_OPEN_DATA,2026-02-23
2021_2027,ERDF,2021_2027_ERDF_PRG_190,AT415,TO1_RDI,PA_10,5539472790.65,5444249757.92,2132108824.34,38.49,810,TRANSPORT_OPERATOR,1,39.36,6.92,1,61895670.14,17,MANAGING_AUTHORITY_REPORTING,2024-03-03
2014_2020,ERDF,2014_2020_ERDF_PRG_191,FI30,TO1_RDI,PA_11,648830712.2,332726576.43,272732632.52,42.03,972,MUNICIPALITY,0,55.77,50.96,0,29549750.35,16,ECA_AUDIT_SUMMARY,2025-04-23
2021_2027,ERDF,2021_2027_ERDF_PRG_192,DK93,TO1_RDI,PA_12,8596248560.41,7635174782.76,4025710515.85,46.83,963,UNIVERSITY,0,18.36,52.87,0,116449092.28,43,OLAF_CASES_DB,2024-05-01
2014_2020,ERDF,2014_2020_ERDF_PRG_193,PL49,TO1_RDI,PA_01,2317468449.02,1612268901.91,1379701197.67,59.53,752,HEALTH_PROVIDER,0,50.54,25.92,1,76827184.56,68,COHESION_OPEN_DATA,2025-07-13
2021_2027,ERDF,2021_2027_ERDF_PRG_194,PL80,TO1_RDI,PA_02,7455031305.59,6994505170.39,4135525400.57,55.47,1013,OTHER,0,15.23,20.95,0,85795369.12,18,MANAGING_AUTHORITY_REPORTING,2024-09-01
2014_2020,ERDF,2014_2020_ERDF_PRG_195,DK82,TO1_RDI,PA_03,8169177675.77,5757889569.41,4878523476.52,59.72,962,SME,0,29.12,51.52,0,40334876.01,33,ECA_AUDIT_SUMMARY,2025-07-21
2021_2027,ERDF,2021_2027_ERDF_PRG_196,NL68,TO1_RDI,PA_04,6256555644.81,3466885363.01,1777577370.16,28.41,790,UTILITY,1,16.49,30.54,0,85224750.14,22,OLAF_CASES_DB,2024-06-22
2014_2020,ERDF,2014_2020_ERDF_PRG_197,LV28,TO1_RDI,PA_05,2209422091.6,1381430325.92,1042754710.63,47.2,809,MINISTRY,0,5.0,8.58,0,90141761.55,42,COHESION_OPEN_DATA,2025-03-23
2021_2027,ERDF,2021_2027_ERDF_PRG_198,IT975,TO1_RDI,PA_06,2934913432.89,1774420830.78,1671025952.0,56.94,727,REGIONAL_AUTHORITY,0,21.92,20.46,0,20768699.74,30,MANAGING_AUTHORITY_REPORTING,2024-07-19
2014_2020,ERDF,2014_2020_ERDF_PRG_199,LT391,TO1_RDI,PA_07,8831214334.55,3287049405.7,847736076.74,9.6,770,NGO,0,10.98,43.91,0,91739535.0,29,ECA_AUDIT_SUMMARY,2024-07-17
2021_2027,ERDF,2021_2027_ERDF_PRG_200,DK9,TO1_RDI,PA_08,2567442344.27,1770330372.79,1678560777.13,65.38,996,TRANSPORT_OPERATOR,0,52.45,5.86,0,12015058.13,22,OLAF_CASES_DB,2025-01-20
2014_2020,ERDF,2014_2020_ERDF_PRG_201,NL435,TO1_RDI,PA_09,404816011.71,216751095.99,149279687.2,36.88,793,MUNICIPALITY,1,26.11,7.5,0,72400857.97,11,COHESION_OPEN_DATA,2025-05-03
2021_2027,ERDF,2021_2027_ERDF_PRG_202,IE3,TO1_RDI,PA_10,3638443562.98,2915179664.11,2340020966.18,64.31,1324,UNIVERSITY,0,21.09,16.64,0,98209722.0,29,MANAGING_AUTHORITY_REPORTING,2024-09-15
2014_2020,ERDF,2014_2020_ERDF_PRG_203,LV63,TO1_RDI,PA_11,4406145407.52,3219131104.88,1594593841.72,36.19,1225,HEALTH_PROVIDER,1,16.14,44.2,0,49913782.54,43,ECA_AUDIT_SUMMARY,2024-12-26
2021_2027,ERDF,2021_2027_ERDF_PRG_204,CZ160,TO1_RDI,PA_12,40075901.68,35065069.16,15525284.98,38.74,451,OTHER,0,53.31,3.95,0,21187761.99,7,OLAF_CASES_DB,2024-12-12
2014_2020,ERDF,2014_2020_ERDF_PRG_205,DK3,TO1_RDI,PA_01,6336942109.97,3690395350.58,2088432954.75,32.96,761,SME,1,64.47,46.67,0,140048175.36,12,COHESION_OPEN_DATA,2025-11-10
2021_2027,ERDF,2021_2027_ERDF_PRG_206,SK995,TO1_RDI,PA_02,6763912264.23,5871054384.76,3388628980.75,50.1,752,UTILITY,0,21.39,5.54,0,112653546.11,44,MANAGING_AUTHORITY_REPORTING,2024-06-22
2014_2020,ERDF,2014_2020_ERDF_PRG_207,SK35,TO1_RDI,PA_03,2996487165.18,2941828131.15,1934680917.4,64.56,797,MINISTRY,0,5.68,52.9,0,11381052.15,9,ECA_AUDIT_SUMMARY,2024-02-20
2021_2027,ERDF,2021_2027_ERDF_PRG_208,RO8,TO1_RDI,PA_04,1709223532.07,1581512249.68,1173849396.11,68.68,1135,REGIONAL_AUTHORITY,0,8.79,17.22,0,2366477.22,41,OLAF_CASES_DB,2024-10-01
2014_2020,ERDF,2014_2020_ERDF_PRG_209,PT85,TO1_RDI,PA_05,5714129666.26,5237925348.67,4462019324.43,78.09,1331,NGO,0,58.32,38.79,1,82295327.06,53,COHESION_OPEN_DATA,2025-09-03
2021_2027,ERDF,2021_2027_ERDF_PRG_210,IE642,TO1_RDI,PA_06,7405291515.55,4002539596.94,1438241015.79,19.42,684,TRANSPORT_OPERATOR,0,34.9,39.6,0,112986891.05,52,MANAGING_AUTHORITY_REPORTING,2024-03-02
2014_2020,ERDF,2014_2020_ERDF_PRG_211,FI39,TO1_RDI,PA_07,11076973462.38,6199432098.68,2724541547.7,24.6,739,MUNICIPALITY,0,64.43,20.69,1,97147130.18,55,ECA_AUDIT_SUMMARY,2025-08-03
2021_2027,ERDF,2021_2027_ERDF_PRG_212,LV48,TO1_RDI,PA_08,5433425271.56,2566735594.57,2062236395.0,37.95,925,UNIVERSITY,0,57.37,18.32,0,3055027.11,55,OLAF_CASES_DB,2025-05-28
2014_2020,ERDF,2014_2020_ERDF_PRG_213,CZ855,TO1_RDI,PA_09,2813477272.22,2390597857.82,1373025273.76,48.8,906,HEALTH_PROVIDER,0,18.68,37.61,1,48470043.43,23,COHESION_OPEN_DATA,2024-06-09
2021_2027,ERDF,2021_2027_ERDF_PRG_214,SK1,TO1_RDI,PA_10,4361323506.58,3392510604.78,3051990708.13,69.98,1203,OTHER,0,27.1,5.69,0,62406333.44,41,MANAGING_AUTHORITY_REPORTING,2025-12-10
2014_2020,ERDF,2014_2020_ERDF_PRG_215,HR80,TO1_RDI,PA_11,1879223492.49,1579381174.21,1282287204.2,68.23,846,SME,0,27.79,34.85,0,10834544.42,2,ECA_AUDIT_SUMMARY,2025-01-09
2021_2027,ERDF,2021_2027_ERDF_PRG_216,CZ78,TO1_RDI,PA_12,1704816397.27,1017279427.89,381976308.11,22.41,643,UTILITY,0,27.87,49.38,1,13135063.59,33,OLAF_CASES_DB,2025-10-30
2014_2020,ERDF,2014_2020_ERDF_PRG_217,FI95,TO1_RDI,PA_01,798055531.34,766759155.04,533024461.41,66.79,841,MINISTRY,0,58.59,53.12,0,14938335.75,29,COHESION_OPEN_DATA,2025-06-01
2021_2027,ERDF,2021_2027_ERDF_PRG_218,NL9,TO1_RDI,PA_02,8055859208.15,8082111686.36,1504928979.1,18.68,545,REGIONAL_AUTHORITY,0,31.66,9.65,1,2923378.26,59,MANAGING_AUTHORITY_REPORTING,2024-05-31
2014_2020,ERDF,2014_2020_ERDF_PRG_219,DK910,TO1_RDI,PA_03,3661418126.74,3403069807.81,1013003600.71,27.67,747,NGO,0,49.16,26.26,0,90562239.53,51,ECA_AUDIT_SUMMARY,2025-08-31
2021_2027,ERDF,2021_2027_ERDF_PRG_220,SK601,TO1_RDI,PA_04,6198445513.28,3784830339.63,3228436907.87,52.08,1202,TRANSPORT_OPERATOR,1,55.16,5.36,0,18765627.35,22,OLAF_CASES_DB,2025-09-29
2014_2020,ERDF,2014_2020_ERDF_PRG_221,RO807,TO1_RDI,PA_05,7227176893.95,7184380329.91,6089982797.29,84.27,1145,MUNICIPALITY,0,42.19,17.84,1,22548878.0,22,COHESION_OPEN_DATA,2025-11-10
2021_2027,ERDF,2021_2027_ERDF_PRG_222,CY51,TO1_RDI,PA_06,3296429934.39,2213403187.15,403253509.54,12.23,552,UNIVERSITY,0,20.1,18.02,0,13196880.17,1,MANAGING_AUTHORITY_REPORTING,2024-01-09
2014_2020,ERDF,2014_2020_ERDF_PRG_223,ES266,TO1_RDI,PA_07,8220049796.86,8023868787.74,4837314024.05,58.85,539,HEALTH_PROVIDER,1,52.56,11.87,0,32810237.25,4,ECA_AUDIT_SUMMARY,2024-12-20
2021_2027,ERDF,2021_2027_ERDF_PRG_224,EE7,TO1_RDI,PA_08,7879052332.99,7862799219.51,5684321644.46,72.14,607,OTHER,0,22.43,15.04,0,65508211.38,50,OLAF_CASES_DB,2024-08-28
2014_2020,ERDF,2014_2020_ERDF_PRG_225,SE9,TO1_RDI,PA_09,4950456890.84,3638947891.62,3086543043.09,62.35,1092,SME,0,20.75,12.66,0,3423694.7,32,COHESION_OPEN_DATA,2024-01-15
2021_2027,ERDF,2021_2027_ERDF_PRG_226,CY353,TO1_RDI,PA_10,7605889203.43,2772131254.95,1108279321.6,14.57,485,UTILITY,0,60.47,19.54,0,30180478.44,20,MANAGING_AUTHORITY_REPORTING,2024-10-24
2014_2020,ERDF,2014_2020_ERDF_PRG_227,LU36,TO1_RDI,PA_11,8093999318.36,7680739883.35,4577929882.91,56.56,718,MINISTRY,0,37.89,5.66,0,10593888.85,23,ECA_AUDIT_SUMMARY,2024-02-14
2021_2027,ERDF,2021_2027_ERDF_PRG_228,CY50,TO1_RDI,PA_12,10930180760.02,10068165051.31,4447870650.85,40.69,511,REGIONAL_AUTHORITY,0,19.36,54.55,1,49956390.87,16,OLAF_CASES_DB,2024-08-25
2014_2020,ERDF,2014_2020_ERDF_PRG_229,FR7,TO1_RDI,PA_01,6787733180.68,6310530270.88,2986221576.43,43.99,576,NGO,0,46.46,43.25,0,32155377.85,20,COHESION_OPEN_DATA,2024-09-06
2021_2027,ERDF,2021_2027_ERDF_PRG_230,CY92,TO1_RDI,PA_02,8626073795.59,5816654704.62,2817810963.07,32.67,602,TRANSPORT_OPERATOR,1,31.39,39.26,1,20105208.06,60,MANAGING_AUTHORITY_REPORTING,2024-08-27
2014_2020,ERDF,2014_2020_ERDF_PRG_231,GR63,TO1_RDI,PA_03,2593754311.92,1452736082.95,432058007.17,16.66,915,MUNICIPALITY,0,10.75,48.26,0,118825526.27,56,ECA_AUDIT_SUMMARY,2024-03-31
2021_2027,ERDF,2021_2027_ERDF_PRG_232,BE955,TO1_RDI,PA_04,2310583220.28,940074626.08,672443164.92,29.1,1303,UNIVERSITY,0,27.7,29.98,1,57595183.78,29,OLAF_CASES_DB,2026-02-18
2014_2020,ERDF,2014_2020_ERDF_PRG_233,MT4,TO1_RDI,PA_05,6708804365.89,3088306860.33,692211807.1,10.32,1138,HEALTH_PROVIDER,0,13.41,5.04,0,44383348.14,16,COHESION_OPEN_DATA,2025-03-14
2021_2027,ERDF,2021_2027_ERDF_PRG_234,SK2,TO1_RDI,PA_06,3661784789.98,2852111062.44,1766840189.33,48.25,714,OTHER,0,45.92,16.45,0,69490404.47,53,MANAGING_AUTHORITY_REPORTING,2024-11-25
2014_2020,ERDF,2014_2020_ERDF_PRG_235,IE764,TO1_RDI,PA_07,3204751731.71,1574602210.82,1077027451.37,33.61,1207,SME,1,5.25,18.48,1,22003480.34,31,ECA_AUDIT_SUMMARY,2024-03-30
2021_2027,ERDF,2021_2027_ERDF_PRG_236,EE41,TO1_RDI,PA_08,3012284821.52,2450486914.26,1823226599.91,60.53,1194,UTILITY,0,64.79,50.58,0,120575595.26,9,OLAF_CASES_DB,2024-04-22
2014_2020,ERDF,2014_2020_ERDF_PRG_237,EE412,TO1_RDI,PA_09,9424285085.03,5801043817.75,5095871979.37,54.07,900,MINISTRY,0,43.2,27.51,1,31589985.25,4,COHESION_OPEN_DATA,2024-10-12
2021_2027,ERDF,2021_2027_ERDF_PRG_238,RO344,TO1_RDI,PA_10,251501958.18,173699368.84,81518906.61,32.41,729,REGIONAL_AUTHORITY,0,14.72,37.29,1,4136444.24,54,MANAGING_AUTHORITY_REPORTING,2024-03-11
2014_2020,ERDF,2014_2020_ERDF_PRG_239,BE82,TO1_RDI,PA_11,6973834637.59,6471448076.88,4176809399.91,59.89,776,NGO,0,55.42,51.49,0,62542003.09,33,ECA_AUDIT_SUMMARY,2025-01-20
