soc_case_report_month,soc_case_program_code,soc_case_case_id_hash,soc_case_household_size,soc_case_eligible_persons_count,soc_case_participants_count,soc_case_new_applications_count,soc_case_approved_applications_count,soc_case_denied_applications_count,soc_case_recertification_due_count,soc_case_churn_rate_pct,soc_case_average_benefit_usd,soc_case_benefit_duration_months,soc_case_overpayment_rate_pct,soc_case_underpayment_rate_pct,soc_case_fraud_referral_rate,soc_case_appeals_filed_count,soc_case_call_center_wait_minutes,soc_case_online_portal_usage_rate,soc_case_data_latency_days
2055-06,LIHEAP,8ab79afa23317521,5,11,10,2988,2988,0,8148,35.078,956.649,14,6.95,8.737,1.0593,2498,26.02,52.9,25
2055-07,SNAP,df6a907afb95cc87,1,9,9,5649,308,4356,2536,40.272,942.63,53,3.786,1.514,0.521,57,28.62,41.11,32
2055-08,MEDICAID,f8b251dd75ee3ccd,6,4,4,6499,6499,0,5113,4.027,1005.791,19,12.291,8.958,1.1667,2292,66.43,56.8,48
2055-09,MEDICAID,022d477b0f7da848,1,5,4,10420,1106,8731,5020,10.718,882.372,47,3.929,8.429,1.287,498,58.92,68.63,3
2055-10,LIHEAP,48f72f4405fb1fe3,4,8,8,844,844,0,7097,12.403,230.403,54,0.09,0.962,4.7741,967,35.49,67.97,17
2055-11,SNAP,461e6d049e67994d,1,4,4,1386,1386,0,3442,20.106,597.964,40,7.307,1.522,4.117,1546,88.24,8.79,12
2055-12,SNAP,280025c80dfcafc1,1,3,1,8100,6358,1026,4967,22.274,515.925,9,1.794,4.305,3.4438,1088,116.79,35.41,12
2056-01,MEDICAID,963c17076f875096,4,10,10,1336,1336,0,1648,17.673,544.906,9,10.163,11.009,1.5207,1082,145.51,55.45,48
2056-02,SECTION8,4b779372cf79b9bd,3,8,1,640,640,0,750,29.744,459.877,15,11.138,11.287,4.0892,1476,41.27,22.92,53
2056-03,SNAP,09abcb5a044f8ac4,6,7,0,2176,2132,0,4711,14.286,214.678,63,10.43,12.283,4.0788,1257,121.14,47.17,26
2056-04,SECTION8,a87ad11c83244dd1,1,3,2,11914,6716,4084,7865,4.129,457.709,45,7.658,12.796,2.9255,1252,166.22,86.94,40
2056-05,WIC,86a49ea2646bd400,4,4,2,2779,2779,0,4783,52.546,61.27,20,12.334,4.854,4.099,2020,31.87,5.46,9
2056-06,SNAP,3587c0540366f229,3,1,1,8509,4366,3520,5517,3.723,105.671,6,13.998,5.981,0.7098,3,39.12,14.29,60
2056-07,SNAP,2da8e5983c2b0568,8,10,10,10563,3703,5179,1898,58.884,707.042,19,8.168,14.134,0.4999,1403,132.64,19.21,28
2056-08,CHIP,6b5d0783e7fefd1d,2,5,1,7655,5659,1214,7386,22.136,453.803,10,5.55,8.776,3.3742,1516,94.77,53.5,12
2056-09,CHIP,9f7c34eae05561e6,3,8,8,2878,2878,0,1144,52.2,1047.274,19,2.313,14.74,3.5796,1926,150.42,68.97,42
2056-10,SNAP,1a43eefc3c694500,5,9,9,6903,3295,3058,3592,55.874,329.265,13,10.881,9.952,2.2882,398,168.62,52.88,28
2056-11,CHIP,8fb87f28c4e8b5ec,6,1,1,2951,2951,0,4203,59.656,680.726,4,12.536,6.641,0.5932,944,71.51,11.59,34
2056-12,SECTION8,7b8f24c1d986d00c,4,4,4,2204,2204,0,7999,20.104,786.547,23,6.885,5.032,1.6869,1607,74.0,62.74,5
2057-01,SNAP,7fc40340a9c1530c,7,11,11,6926,4777,253,772,12.05,822.378,15,14.34,6.366,0.4669,160,38.33,68.32,43
2057-02,CHIP,72e9d3f6ef0dc006,6,9,9,4569,3693,0,4630,58.53,654.039,55,12.919,7.593,0.9287,1895,112.54,88.73,52
2057-03,CHIP,aaf89391b1544dab,6,4,4,10733,4567,6128,3138,21.099,592.2,45,12.215,5.565,3.6298,426,97.8,72.31,32
2057-04,MEDICAID,72090a2451234d83,8,7,7,4818,4818,0,1687,28.187,406.271,54,6.031,0.749,1.9421,564,130.91,38.35,54
2057-05,MEDICAID,ba05db14aa744d1f,1,7,7,11039,5384,3985,4890,19.709,511.672,39,9.166,3.696,2.2701,640,78.29,71.73,21
2057-06,WIC,121baa561f8e7048,5,10,5,4309,4309,0,953,7.635,879.783,53,4.095,12.312,2.2193,154,171.08,25.25,16
2057-07,SNAP,1961981e684e2c77,4,8,8,9854,5342,3503,7565,12.764,1037.414,30,10.289,6.555,3.5431,457,123.12,98.8,34
2057-08,SNAP,635b30328a5048b3,1,6,1,5681,5681,0,6720,53.112,334.675,32,3.688,1.797,1.6047,2278,140.12,24.39,1
2057-09,MEDICAID,d6ca510d4fba3a98,8,5,5,812,812,0,7206,52.022,235.906,24,1.91,0.831,1.2109,885,103.4,44.53,27
2057-10,UI,d0a847979c651bfa,5,5,5,7734,2738,4177,7064,11.367,584.477,71,6.345,6.281,2.2992,849,32.96,56.12,8
2057-11,LIHEAP,c8c8916d8ba6c8c4,4,7,7,9698,192,9070,5020,13.41,368.758,20,9.188,1.095,3.2084,613,94.44,30.8,43
2057-12,SECTION8,fdeff2c02dd1d31c,7,8,8,2642,2642,0,7175,8.202,1131.509,12,14.776,3.662,4.7872,468,120.61,80.27,7
2058-01,SNAP,31c1d3798a06ad1a,8,7,7,4560,895,3564,4580,39.735,906.36,50,3.865,8.176,3.4767,464,142.01,59.88,17
2058-02,TANF,597d6f7c39651b85,1,10,1,7273,7273,0,934,33.836,503.881,40,0.555,3.121,0.6259,134,151.94,88.42,5
2058-03,SSI,400620ffecb132d5,8,12,8,5235,5235,0,485,53.84,612.712,39,3.966,13.832,1.3947,2315,78.73,79.61,45
2058-04,CHIP,9ed0484203188ce0,4,8,8,5724,5724,0,4176,46.508,191.233,62,12.666,1.856,4.7828,569,139.08,61.23,3
2058-05,MEDICAID,40e685b6b23c7670,2,10,5,6665,3260,1493,291,30.308,1179.404,68,5.748,12.879,1.2165,126,7.63,39.72,34
2058-06,SNAP,6b5090c9f08e70bc,1,2,2,10830,3930,4969,6756,24.11,1144.465,11,2.397,3.537,0.3064,621,128.64,91.43,38
2058-07,SNAP,afd84380b2b5ebd4,5,11,5,4304,4304,0,6468,37.649,219.576,22,11.643,0.184,1.5706,299,152.27,78.46,16
2058-08,MEDICAID,5de25dfd6adf18fd,5,2,0,1603,1603,0,8059,42.951,672.967,18,13.637,12.894,2.5239,1811,106.97,80.99,48
2058-09,SNAP,3ed5623c744b103b,6,9,6,4666,4666,0,2483,15.852,794.948,49,8.764,10.921,0.0496,214,97.44,88.75,4
2058-10,SSI,3f068ff6e90a38cf,5,4,4,3931,3931,0,8545,48.018,207.239,64,0.325,14.543,1.8076,656,148.89,52.08,0
2058-11,SSI,9263caa21c5b1fc8,7,5,5,2694,2694,0,7272,31.675,994.86,48,9.063,7.556,3.5453,90,36.21,32.68,6
2058-12,WIC,c9f6587094723e76,3,9,9,7173,4078,1165,1539,4.758,1087.351,67,6.999,1.481,1.3818,2332,129.95,10.75,54
2059-01,SSI,3fff2e18af092198,8,3,3,1054,1054,0,6490,24.833,203.762,42,14.247,0.033,3.5094,223,31.73,42.41,0
2059-02,LIHEAP,a44f00826ecf4ac0,2,11,4,5950,1418,4144,4220,14.668,856.703,45,4.141,9.099,2.4938,2070,179.19,77.13,21
2059-03,WIC,ed8b60534006aec9,1,9,7,6135,4249,1271,3739,36.348,1010.934,15,11.075,5.946,2.2309,249,165.45,10.05,3
2059-04,CHILD_CARE,5ced67196028b56c,6,3,3,7307,5808,0,5521,18.605,693.655,43,8.466,2.65,3.7404,1999,16.29,76.48,12
2059-05,SNAP,2ee59a6911dd0fa4,8,11,4,5307,2142,2993,7526,16.863,92.346,46,9.639,9.089,1.917,71,0.78,5.67,4
2059-06,SNAP,e52785a9a60deb0a,6,4,4,3870,3870,0,3966,28.253,764.657,9,11.36,2.968,3.7661,1937,24.09,42.21,45
2059-07,LIHEAP,365c7e2df603743d,8,3,2,11688,9572,337,7030,33.551,69.418,62,8.426,12.535,2.044,1761,94.16,94.58,7
2059-08,MEDICAID,19d83b9c2d9986ee,4,11,4,1491,1491,0,5228,28.63,341.939,39,14.884,6.163,4.7698,1533,107.22,52.96,56
2059-09,WIC,57724dda79d181ab,6,9,4,1008,1008,0,1132,30.359,1161.21,1,14.087,6.448,3.8469,2004,62.32,31.78,9
2059-10,SECTION8,1795fb3e86d89c35,5,3,3,3344,3344,0,4994,27.858,346.421,71,9.245,9.223,3.5436,1252,38.58,86.93,31
2059-11,SSI,c0b25e5748cf582a,8,1,1,1399,1399,0,5362,42.711,730.062,43,8.072,14.406,3.9553,305,86.11,67.94,22
2059-12,MEDICAID,7ca651931e6e920d,5,7,7,614,614,0,5495,51.307,310.693,70,11.697,10.407,4.2259,2038,130.16,52.79,18
2060-01,LIHEAP,c56fc4c559597968,6,1,1,4457,4457,0,8895,47.283,303.554,37,12.544,0.234,0.229,196,51.11,29.97,18
2060-02,CHILD_CARE,8b86df3a4e1ecc6f,3,4,4,6431,4577,0,1461,44.428,911.485,13,3.367,6.963,3.2279,2429,176.29,71.96,19
2060-03,SNAP,8e1fcdd36b662b58,5,5,4,298,298,0,7887,19.644,875.256,71,14.333,12.714,3.039,1594,153.99,11.07,46
2060-04,LIHEAP,1c90819f79bdcf41,8,3,3,3510,3510,0,678,11.085,1119.657,60,12.685,3.484,3.7718,1560,17.42,89.46,17
2060-05,SNAP,ec0e27a3240f27af,3,2,2,1256,1256,0,1528,33.913,350.118,14,0.352,6.814,4.1133,2302,171.33,12.72,58
2060-06,SNAP,59cd00774c865672,2,9,9,6485,6485,0,4668,3.028,98.209,48,5.212,13.024,4.2275,279,26.38,14.81,1
2060-07,TANF,d13cb60b33d754d2,1,7,7,8478,4587,2640,7967,34.857,1102.94,38,10.925,1.036,0.487,554,118.74,94.22,51
2060-08,CHIP,101b6998523cac6f,8,11,8,10629,10629,0,1723,46.763,308.001,40,6.174,10.263,4.7113,1942,112.63,31.04,46
2060-09,UI,03d18311533a4fff,7,6,0,9917,2925,5418,5069,38.166,806.502,47,2.568,0.933,1.4785,437,147.69,72.55,19
2060-10,SNAP,5a69594130bb8172,2,1,1,8718,2943,5537,1754,35.126,979.643,62,8.977,4.661,0.6504,180,110.19,98.73,41
2060-11,SSI,1030279a5f3a76a2,7,7,7,1634,889,0,3419,55.578,1133.194,32,7.358,0.943,1.4072,2359,144.63,12.88,39
2060-12,MEDICAID,43bea43c17c21eea,4,1,1,9058,7276,795,8580,0.252,928.435,71,1.655,2.32,0.0466,700,19.48,92.54,29
2061-01,MEDICAID,656e089379000812,3,6,4,9598,141,9024,4576,39.104,990.476,63,3.581,2.565,1.226,2036,83.03,75.93,59
2061-02,MEDICAID,3239df82481184d4,5,8,3,363,363,0,7757,2.882,1075.297,14,5.558,5.77,3.312,499,121.99,72.69,21
2061-03,SECTION8,b37e24ca5fe92c77,7,1,1,1523,1523,0,7961,34.091,281.078,48,2.731,14.708,3.0388,114,52.5,13.11,32
2061-04,MEDICAID,9773b5f9b284477f,5,6,5,4852,269,2989,2808,33.731,1006.579,54,3.054,8.628,4.5593,2072,97.04,48.46,56
2061-05,SNAP,db24709855cef4a6,2,11,6,3746,3746,0,2351,9.206,1149.62,4,1.689,8.151,2.557,1873,160.89,82.96,34
2061-06,SSI,6a75d6337b97131c,2,3,3,7522,7224,0,7060,33.271,454.821,51,12.115,0.383,0.3022,1981,116.61,98.37,56
2061-07,SECTION8,ed6536c3df67a7e4,8,1,1,1693,1693,0,3302,22.833,240.682,13,7.212,0.1,2.5456,249,21.48,35.97,31
2061-08,LIHEAP,66832b464783a456,2,7,3,9983,377,8275,6290,43.839,1173.273,2,2.593,7.857,0.4258,1380,111.48,44.76,36
2061-09,SNAP,9d250d0630218d95,7,11,11,4139,2350,1750,3575,52.449,581.464,43,8.014,9.553,4.4617,78,8.51,82.99,17
2061-10,SNAP,ea1382d53d037933,4,7,2,2618,2618,0,4092,19.152,34.065,53,1.843,13.115,1.302,1885,3.2,37.72,22
2061-11,SECTION8,87b527246dfdaf48,8,2,2,1439,1439,0,1910,49.906,472.066,54,2.743,1.282,3.3385,2304,90.88,78.71,60
2061-12,SNAP,7d8b28d18550c98a,4,4,4,7044,6505,0,968,9.3,135.607,54,6.188,2.767,0.069,2268,43.77,64.4,11
2062-01,SNAP,e96bb5ca3070a2cb,5,1,0,8298,1864,4664,4605,53.611,410.668,71,7.031,6.081,4.6359,1006,123.83,91.17,29
2062-02,MEDICAID,e8ad021c441cae15,1,4,4,8457,7047,624,8780,9.745,999.369,26,5.112,12.097,1.3801,24,122.38,80.72,25
2062-03,SNAP,a20ed2027e869ac5,7,8,2,2010,2010,0,5398,41.822,834.48,51,7.164,6.543,4.2714,170,15.03,23.26,28
2062-04,TANF,adc7ea09e2ff70f8,3,4,4,2980,2980,0,1443,40.338,403.291,46,6.745,1.363,2.2123,1040,125.9,3.67,47
2062-05,LIHEAP,7e2556e71965d0f8,6,7,7,4895,4895,0,8894,6.894,150.332,19,7.227,5.514,1.0778,223,148.78,15.72,29
2062-06,SECTION8,044da44d41522eab,7,8,8,5293,5293,0,1701,24.56,758.653,67,14.836,5.079,4.2274,886,94.06,16.01,15
2062-07,LIHEAP,aac0b6cb81a4d933,7,2,2,5275,1872,1524,342,38.117,590.154,54,3.887,0.472,3.5668,1980,167.86,17.37,12
2062-08,SNAP,5e3f059d413c7fbf,7,2,2,6289,6289,0,5255,38.85,273.845,45,12.449,6.933,2.7926,2344,174.08,73.14,0
2062-09,MEDICAID,9d4541e4ffa1b9f6,6,3,3,11196,11016,0,8915,14.67,429.306,38,0.929,3.029,4.1989,1949,35.5,12.08,13
2062-10,CHILD_CARE,ed2debb6950ad337,5,12,3,2951,2951,0,1579,52.004,179.797,37,4.435,8.586,3.8264,1254,53.62,36.7,12
2062-11,MEDICAID,ea9126021d4f2f27,1,7,3,11995,11514,161,2350,36.448,994.508,50,14.373,7.583,2.3807,1137,41.49,19.63,59
2062-12,SNAP,017f13e006a8cb29,4,1,1,11912,800,11023,8572,6.458,434.689,19,2.595,2.728,0.9047,668,88.43,82.46,9
2063-01,LIHEAP,d4b809da5bf99bbb,2,12,6,8402,5190,2843,1006,3.259,590.61,60,9.131,0.731,1.8545,1692,73.25,68.98,47
2063-02,WIC,1c841471ea931678,1,8,8,10006,3827,6072,8000,3.548,1126.581,8,12.941,11.479,2.2201,480,126.07,73.4,19
2063-03,WIC,e8a60088d28f1bb3,1,2,2,221,221,0,2815,34.735,88.962,72,7.456,12.774,3.7847,320,101.94,24.03,18
2063-04,SSI,bd30b34f19df10c1,1,3,3,7528,7528,0,6268,54.596,663.333,4,9.805,11.592,3.9312,1340,148.6,39.43,14
2063-05,CHILD_CARE,7ee2c824f6f9ec0f,8,11,6,11680,11268,0,469,45.439,386.044,19,6.105,3.886,4.5666,2099,166.73,57.26,59
2063-06,CHIP,a5d004373635a2d6,8,8,8,11566,11566,0,630,40.185,742.225,65,14.045,12.473,3.9655,2209,80.75,95.76,55
2063-07,LIHEAP,1d11bd951f8f1557,6,12,10,3753,1385,1806,157,11.6,474.836,67,6.141,6.929,4.9509,371,97.27,40.75,48
2063-08,WIC,d895da82471a645d,2,7,7,1307,1307,0,5804,44.194,505.057,61,2.329,1.406,3.4531,979,65.3,95.06,53
2063-09,SNAP,6b79781c534c051d,3,7,7,6881,6881,0,239,24.998,873.858,26,6.066,9.878,3.9015,385,58.47,68.64,9
2063-10,TANF,b5a64a98fe104fee,6,10,1,6686,6686,0,7415,12.03,430.599,67,6.18,4.67,2.4024,640,81.03,1.33,26
2063-11,TANF,0627278ca77ce541,3,12,11,8138,8138,0,4744,46.017,582.01,28,3.129,1.55,0.03,1631,90.86,37.55,36
2063-12,SNAP,4097569ab2468d58,3,8,8,11382,7292,3620,719,20.061,550.611,62,5.46,3.448,3.8211,960,145.77,11.79,38
2064-01,SECTION8,69719da87a312596,3,12,8,11249,2895,7566,8905,32.638,678.902,5,2.997,12.629,4.974,1780,96.42,34.9,23
2064-02,UI,9ac0310e4218cf61,1,11,4,4890,1468,2375,775,15.718,727.913,20,5.409,12.375,4.9871,2158,127.59,27.46,0
2064-03,MEDICAID,44924d463ab83451,1,3,2,5942,5942,0,8813,24.546,1191.504,17,7.487,1.346,2.9289,767,63.79,78.44,7
2064-04,CHILD_CARE,6a91463f9491810b,2,12,7,3729,3729,0,8194,58.311,342.785,36,7.979,11.35,2.0243,1833,37.71,48.25,25
2064-05,UI,39d1c25c8d35ab43,8,5,2,4882,4882,0,2004,46.995,1153.166,29,1.16,0.331,2.8846,2351,13.71,99.9,23
2064-06,MEDICAID,d608d769c8099892,1,3,3,1951,1951,0,3053,21.268,206.677,20,13.935,10.606,3.4693,1631,97.6,40.84,45
2064-07,MEDICAID,bd7f100920ab6141,7,10,3,4961,4961,0,4342,42.503,1194.008,33,11.402,11.632,4.1282,140,140.06,39.49,30
2064-08,TANF,de6464525d939c51,3,1,1,6164,246,4993,5351,39.103,1076.779,70,9.366,6.197,1.0088,1727,110.45,11.21,51
2064-09,SSI,8eafa0106d6c248b,1,12,11,11686,4395,5291,8061,59.315,808.7,32,7.919,1.99,2.9787,1575,83.55,62.38,50
2064-10,MEDICAID,d913a0d945dbd35d,3,4,4,2290,2290,0,2777,40.354,315.721,53,2.76,1.75,4.9275,2142,78.23,68.45,2
2064-11,MEDICAID,2c4a0db0833bacc1,2,1,1,8021,7763,144,787,39.802,416.272,4,9.848,13.58,1.6837,2306,114.56,0.94,3
2064-12,MEDICAID,21a3f66437b67fc1,7,11,7,9787,251,9395,1615,5.717,605.063,65,13.795,8.401,0.6803,460,105.57,63.64,27
2065-01,SSI,0bb9160f620a2c60,5,11,3,1560,1560,0,4559,11.367,724.044,39,9.322,0.594,1.0577,1568,136.84,46.88,9
2065-02,WIC,db0dcde9e2fbfb8f,7,7,3,11449,1760,9104,7007,22.056,951.615,9,7.081,0.254,2.4323,2457,58.12,48.1,4
2065-03,UI,8782ce1bc0681f4c,2,8,5,3942,3942,0,93,57.747,120.426,65,12.623,6.173,3.0238,2217,39.86,71.48,31
2065-04,SNAP,8a405764a670a113,2,12,8,7738,7738,0,3137,24.488,395.537,19,0.783,11.594,3.6237,780,35.86,5.29,35
2065-05,SSI,4ab06a85341215dc,5,2,2,8099,2990,4123,8346,28.717,906.898,13,8.623,10.047,4.8522,1128,79.39,38.2,10
2065-06,SECTION8,c6090ccbf4ee772f,8,11,1,10068,4539,4058,4471,32.617,427.169,20,10.578,6.031,3.7322,2405,43.96,23.76,38
2065-07,MEDICAID,821b880aead5d3fa,8,1,0,6690,3083,2273,1651,34.808,622.85,5,12.61,10.242,1.115,2305,114.25,58.03,3
2065-08,WIC,2931974d00c8a9f9,2,2,0,6381,6381,0,624,44.285,769.811,68,12.2,6.179,2.3608,2271,23.18,51.58,44
2065-09,SNAP,28d08d268790b5f3,2,8,5,174,174,0,87,26.978,1095.272,41,8.994,5.025,3.8317,482,17.41,56.39,36
2065-10,CHIP,1e496d534b733bf5,2,1,1,9641,2812,5413,2782,15.971,507.913,16,10.121,4.975,1.1872,1213,115.63,31.05,37
2065-11,UI,04e727cd46dca907,6,6,6,3055,3055,0,7979,6.662,447.374,65,12.55,8.54,4.4825,1406,71.96,42.89,51
2065-12,MEDICAID,29a23fb62b51b6ae,7,1,1,3004,3004,0,7977,28.551,145.815,19,12.746,9.438,0.3957,752,165.96,83.73,60
2066-01,LIHEAP,564cff6f89990293,1,5,4,11790,11311,0,2692,43.07,1146.326,62,13.616,11.504,4.8272,574,128.41,56.72,51
2066-02,CHILD_CARE,efdeb6abeadd15a7,5,11,2,4127,4127,0,4301,19.397,751.457,36,7.532,14.517,0.3121,7,128.11,94.22,11
2066-03,SSI,26a80b795e5c122f,6,3,3,4036,4036,0,7039,19.109,410.018,6,10.991,10.076,3.7061,113,35.56,54.11,55
2066-04,MEDICAID,9269bd3d6d0498ca,5,1,1,1754,1754,0,6310,16.773,1148.199,26,5.725,4.616,4.9144,743,37.65,60.13,17
2066-05,SSI,7e23d7431630752d,7,1,1,148,148,0,2958,11.271,100.83,15,11.077,2.657,3.05,139,45.49,25.99,49
2066-06,TANF,af419d82da032bc6,5,9,3,3201,3201,0,6510,52.323,846.461,46,2.108,1.56,2.5799,211,157.92,50.05,59
2066-07,SECTION8,c36f310947fed9fd,5,11,0,8338,5662,2277,8016,1.869,970.582,28,10.793,0.254,0.4411,4,115.29,64.96,35
2066-08,MEDICAID,44af0964377cf5b2,1,5,5,9135,2347,5414,6248,26.903,113.583,32,11.937,14.129,0.9373,743,24.97,40.48,51
2066-09,WIC,d2328e967c91884b,6,7,7,4564,936,2588,8102,16.063,22.564,56,8.535,4.683,1.3527,890,25.38,26.4,52
2066-10,SNAP,0018aa0959ad791b,4,6,6,11746,9677,1471,2292,12.356,763.215,55,1.706,6.885,3.549,2296,44.72,83.85,54
2066-11,CHIP,336977c1d87215b6,3,4,0,834,834,0,1953,49.161,932.176,13,9.188,8.556,3.1843,1337,85.83,35.6,58
2066-12,MEDICAID,b29bfa7314bfa98d,1,4,4,2488,2007,0,3042,24.517,687.937,62,3.754,1.563,0.5136,878,53.91,2.91,24
2067-01,LIHEAP,59ebaf2309d1a31f,4,4,4,304,304,0,4083,24.928,420.508,54,4.663,1.373,0.101,471,44.37,82.71,11
2067-02,WIC,451291731aae7c0f,5,4,4,6839,6839,0,2699,7.609,353.909,10,5.686,14.31,2.5495,2298,75.01,13.27,40
2067-03,TANF,3dae3742985a56af,3,4,4,6344,6344,0,6901,35.52,75.86,26,6.349,12.234,4.8114,2484,26.38,81.28,60
2067-04,SSI,630ae016b0b55a11,7,4,0,903,903,0,4542,48.697,972.871,40,7.357,2.179,4.2345,1940,142.37,97.12,40
2067-05,CHIP,8c76c676454f713a,5,11,2,8014,8014,0,1760,54.589,168.672,11,2.035,0.278,2.6763,886,74.35,51.95,34
2067-06,WIC,b0e62484d7de0a2d,4,8,8,4025,4025,0,6227,5.288,691.813,42,0.061,8.711,1.797,2101,90.7,54.58,36
2067-07,TANF,023029a7ef20d954,1,2,2,3012,3012,0,8715,28.029,692.634,5,6.14,8.054,3.3777,1047,179.04,7.52,39
2067-08,WIC,4fbcf639bcaec744,5,7,2,4772,1863,2901,2462,56.191,942.895,12,10.157,2.303,1.2749,513,27.72,8.39,11
2067-09,UI,d156fdec4c878249,2,5,5,9159,8857,0,616,54.268,82.846,28,3.413,12.155,4.1973,2276,53.92,97.72,56
2067-10,WIC,608a34d8d49aab1e,2,6,6,8897,8897,0,1754,48.21,233.337,26,12.957,2.432,0.0348,408,43.94,23.82,33
2067-11,MEDICAID,ec1ad51c9fa7023e,5,2,2,1710,1710,0,5044,33.953,329.738,28,12.994,5.647,3.4642,1867,91.09,39.82,52
2067-12,CHILD_CARE,aeed7e2e4bcdfc1e,2,3,1,3386,3386,0,1860,19.131,420.959,25,8.606,3.558,1.3881,2421,116.55,58.41,33
2068-01,MEDICAID,03ede03afbb3ff53,4,4,4,6548,6548,0,6150,18.902,1094.18,45,7.573,3.638,0.7278,1625,58.65,13.7,34
2068-02,MEDICAID,3bf024ee43ac17b1,1,2,2,1294,1294,0,975,27.97,979.021,52,5.604,4.306,3.7827,2099,171.22,51.21,2
2068-03,SECTION8,e9e8ea55d1a9191c,1,9,4,3624,3624,0,1542,13.552,219.612,19,2.483,0.381,4.2089,1680,124.08,59.02,23
2068-04,MEDICAID,102ac36b6943c11d,6,6,6,1048,1048,0,8766,12.071,307.813,46,12.512,5.812,4.7025,1869,73.53,49.98,8
2068-05,SNAP,7c21d137dc5fce44,1,9,9,3163,3163,0,7158,6.117,734.134,58,8.589,3.506,4.7901,1916,134.97,31.58,34
2068-06,SECTION8,7b12dabba0a7394c,1,6,6,4433,4433,0,6062,11.532,198.475,42,11.437,8.69,4.0577,1782,29.41,90.77,10
2068-07,LIHEAP,b741dc8497659944,1,9,2,1580,1580,0,5197,3.019,911.456,38,3.936,14.486,1.0779,270,35.82,44.29,0
2068-08,SNAP,a31aa181dc3484f1,5,10,4,69,69,0,8408,12.344,32.017,65,1.641,12.08,1.5786,1859,17.72,78.23,41
2068-09,SNAP,928154db8a6824d2,7,6,6,6706,6300,0,4680,38.0,972.398,71,6.895,3.471,4.3487,1770,8.46,67.86,12
2068-10,SNAP,409fff4268111a52,2,2,2,8887,8887,0,7643,17.99,53.779,53,13.376,8.039,0.8017,221,177.35,88.86,34
2068-11,CHIP,0b25a99ce7778736,2,6,6,3395,3395,0,4318,0.988,1052.52,29,14.991,1.623,1.2467,1703,122.17,46.07,11
2068-12,SNAP,4bedfb602fed43c8,4,2,2,10439,7995,2102,2041,19.589,124.911,65,6.937,14.769,1.0095,1905,102.98,57.11,3
2069-01,LIHEAP,b5c11c8644bf983c,3,10,10,8231,7902,0,2734,51.096,1009.312,30,2.962,6.601,0.2282,2272,78.55,31.31,11
2069-02,SNAP,5a4862a1205a2d58,4,6,2,8052,2631,4654,8601,23.538,768.813,53,11.933,5.724,2.7934,1979,88.27,16.98,17
2069-03,SNAP,a948ed33bfd71e60,6,2,2,5065,410,3247,7809,37.866,1033.604,69,3.998,0.961,4.84,257,43.17,33.38,15
2069-04,SECTION8,2ebdcf80a4a50bbe,3,6,4,2087,493,0,3180,35.191,591.105,1,5.032,8.5,3.8188,770,151.94,9.76,43
2069-05,SNAP,77f33fb9b0484c13,2,10,1,6396,3140,2844,5809,34.245,804.016,17,5.737,4.57,3.096,1315,62.13,52.0,28
2069-06,SNAP,d5de5c23a3a40cb3,6,7,7,10814,7705,2685,798,5.586,104.977,34,1.636,3.089,4.2402,56,74.3,56.27,19
2069-07,SSI,38e7f9129bf956e8,7,11,11,10802,7878,1541,5490,38.478,1118.378,12,12.019,9.069,2.5812,2025,145.61,44.4,3
2069-08,MEDICAID,3aa8d60d4938cc3a,8,11,1,5385,1202,2331,6663,48.501,1072.169,16,7.908,14.887,4.6891,1723,25.31,57.69,38
2069-09,SSI,b587e1c9432344e1,8,10,9,3132,3064,0,7464,31.271,670.99,65,8.135,13.799,1.1097,948,141.05,11.04,11
2069-10,MEDICAID,d2dd16c94c984a51,6,9,9,6874,5800,177,4286,39.537,1066.631,34,7.215,7.069,4.6325,1418,52.7,58.46,22
2069-11,MEDICAID,1ebcb0d0d90f9234,4,4,4,5254,5254,0,3813,9.848,339.722,64,8.679,6.956,1.7082,1764,44.28,87.65,15
2069-12,LIHEAP,d1b8059d91349c49,5,12,10,101,101,0,4166,19.463,381.173,6,7.309,0.654,3.7346,1104,86.56,27.4,14
2070-01,SNAP,89d808cafe175b55,2,1,1,6961,2427,2594,1228,42.434,64.824,49,14.48,13.435,1.1831,761,162.06,89.35,7
2070-02,MEDICAID,31d11d84fc9a8e92,6,5,5,9991,2933,6025,3838,1.564,357.455,66,4.96,0.819,2.3649,1347,99.44,9.63,24
2070-03,SSI,2ccbc22d9d8799e2,3,9,9,10540,5077,4041,8289,28.333,898.056,32,6.68,11.592,1.3195,2372,111.51,30.55,3
2070-04,SNAP,a014f4ff888a49f4,6,9,6,3450,3450,0,5025,30.871,432.927,36,12.815,6.315,2.7749,2311,59.19,53.62,60
2070-05,WIC,b5f587e5be53da9a,5,5,5,2620,2620,0,5029,14.93,764.758,2,10.194,3.805,2.1117,2490,122.95,93.18,44
2070-06,WIC,0a94e05832827e26,3,2,2,5243,616,3937,3811,19.094,27.809,40,8.411,2.714,4.194,550,115.76,90.45,23
2070-07,TANF,ce545578e255c139,3,5,3,443,443,0,6016,24.294,1104.03,64,13.329,1.953,4.8505,49,10.12,52.47,18
2070-08,CHILD_CARE,05fe87a3a2ea6f2a,4,2,2,9274,9274,0,70,49.671,490.241,2,11.581,4.728,4.2707,964,157.03,4.62,21
2070-09,WIC,fcd1c4ef56b91592,2,1,1,10131,3042,6202,957,57.808,84.432,25,12.371,10.964,2.6617,383,7.01,29.57,23
