safe_survey_survey_wave_id,safe_survey_respondent_household_id,safe_survey_perceived_safety_night_score,safe_survey_perceived_safety_day_score,safe_survey_victimization_any_flag,safe_survey_victimization_property_flag,safe_survey_victimization_violent_flag,safe_survey_reporting_to_police_flag,safe_survey_reason_not_reported_code,safe_survey_trust_in_police_score,safe_survey_fear_of_crime_index,safe_survey_neighborhood_disorder_index,safe_survey_ncoial_cohesion_score,safe_survey_collective_efficacy_score,safe_survey_gun_heard_frequency,safe_survey_drug_activity_observed_frequency,safe_survey_lighting_adequacy_score,safe_survey_public_space_usage_score,safe_survey_survey_mode_type,safe_survey_weight_calibration_factor
WAVE-47,HH-7b6724961d10f3,6.24,8.04,Y,N,Y,N,TooMinor,8.83,77.36,14.09,4.12,0.07,Rarely,Sometimes,0.86,4.98,Web,1.365474
WAVE-42,HH-4fc2bc4b6ed513,0.82,3.23,Y,N,N,N,NotWorthIt,5.54,75.93,43.04,5.82,4.74,Never,VeryOften,4.5,9.83,IVR,1.237142
WAVE-09,HH-b385250e0c37f1,9.67,1.21,N,N,N,N,DistrustPolice,4.08,42.77,36.09,6.09,4.95,Monthly,Rarely,0.61,2.23,InPerson,1.734826
WAVE-34,HH-ccdc6d9698504f,9.39,2.45,Y,Y,Y,N,NoEvidence,2.9,13.61,97.81,9.79,9.58,Rarely,Rarely,0.18,9.55,Phone,0.637253
WAVE-03,HH-35c2a3ae70aca5,0.74,2.12,Y,Y,Y,Y,Other,3.23,84.68,72.47,2.06,3.16,Monthly,VeryOften,8.98,6.4,InPerson,3.605162
WAVE-01,HH-3dfe178f76c146,5.18,8.06,Y,Y,N,N,Other,1.34,97.23,88.24,1.62,9.99,Never,Sometimes,8.0,9.15,Web,3.901049
WAVE-59,HH-cea771d0c9ccc4,3.04,2.95,Y,Y,Y,N,FearRetaliation,5.46,87.01,36.24,4.29,8.9,Rarely,Never,6.66,5.66,IVR,1.252784
WAVE-17,HH-b046565caafe53,1.92,4.43,Y,Y,N,Y,Other,7.25,38.42,79.84,0.02,1.15,Never,VeryOften,4.66,1.6,IVR,3.17045
WAVE-54,HH-bad1d302a138e4,9.52,9.02,Y,N,N,N,FearRetaliation,3.04,67.71,68.72,1.83,3.31,Never,Rarely,8.48,0.7,Phone,0.828854
WAVE-55,HH-16ebee8fd058a4,6.18,9.49,Y,Y,N,Y,NotWorthIt,0.21,87.4,77.55,5.65,0.58,Never,Never,0.8,3.57,IVR,1.509012
WAVE-27,HH-85454b07a8c26a,4.34,6.55,N,Y,Y,Y,Other,7.82,33.9,77.04,5.47,8.68,Never,VeryOften,3.26,7.58,Phone,2.585318
WAVE-37,HH-80e1bc0893adc4,8.2,9.36,Y,N,Y,Y,DistrustPolice,9.21,85.11,95.33,4.56,2.11,Rarely,VeryOften,7.84,0.17,InPerson,2.273635
WAVE-38,HH-85c83ff90a3412,3.86,2.75,Y,Y,N,N,TooMinor,3.05,92.68,85.81,5.4,1.97,Monthly,Often,3.53,7.7,Web,2.123733
WAVE-42,HH-8ac42c5656d9ad,0.23,6.77,Y,Y,N,N,NotWorthIt,4.05,45.96,0.2,8.08,8.61,Never,Sometimes,8.02,1.37,Paper,2.043229
WAVE-32,HH-7ad6648555261e,8.54,2.99,N,N,N,N,DistrustPolice,0.76,76.46,12.2,5.74,2.24,Rarely,Sometimes,4.69,6.07,InPerson,4.497588
WAVE-20,HH-aa2e7ca0d88ac4,8.2,9.82,N,Y,N,N,NoEvidence,4.09,68.45,26.34,5.6,7.46,Never,VeryOften,5.47,5.04,Paper,3.539147
WAVE-03,HH-de766b0c4dcabd,4.94,4.82,N,Y,N,Y,NotWorthIt,3.24,38.22,19.52,9.1,6.34,Rarely,Never,1.02,2.96,IVR,0.814236
WAVE-51,HH-50f8983aa9b066,8.53,6.39,N,N,Y,N,NotWorthIt,5.69,54.0,45.65,2.35,6.31,Never,Sometimes,9.79,8.24,Paper,0.38624
WAVE-40,HH-a919b2060b0fe6,3.94,2.68,Y,N,Y,Y,TooMinor,4.54,83.61,16.16,9.34,7.83,Never,Sometimes,1.74,0.13,InPerson,3.987847
WAVE-44,HH-3e6dd4170ef91f,2.16,9.76,Y,N,N,Y,DistrustPolice,3.31,5.59,26.34,4.95,4.95,Rarely,VeryOften,9.77,6.32,Paper,2.728592
WAVE-30,HH-b2701cd236415b,3.63,0.36,Y,N,Y,N,NoEvidence,1.57,46.85,51.83,6.3,8.4,Daily,Never,4.06,6.57,Phone,3.348351
WAVE-32,HH-977b50e0ff5683,8.81,6.26,N,N,Y,Y,FearRetaliation,6.23,69.35,76.67,8.78,8.78,Never,Sometimes,7.44,5.33,Web,2.059962
WAVE-53,HH-dcd328d95c6f9c,8.17,7.07,N,Y,Y,Y,NotWorthIt,2.65,92.91,65.44,5.39,6.51,Never,Never,5.13,5.73,InPerson,2.404248
WAVE-23,HH-eb87bd69bf2c95,5.29,7.12,N,Y,N,N,NoEvidence,7.64,3.36,68.05,9.17,5.12,Monthly,Often,8.57,3.8,IVR,2.849644
WAVE-40,HH-fa8041ed06aedd,8.6,6.05,Y,N,N,N,DistrustPolice,4.7,85.46,94.66,9.28,4.91,Never,VeryOften,4.87,3.69,Paper,4.488665
WAVE-16,HH-da0f1f9e93319e,7.67,1.31,Y,N,N,Y,NotWorthIt,3.89,62.45,86.26,4.17,9.22,Weekly,Rarely,8.83,1.93,IVR,2.677353
WAVE-29,HH-251408e2234dc9,3.52,0.2,N,Y,N,Y,TooMinor,2.9,19.56,84.69,1.38,9.89,Rarely,Sometimes,6.61,7.44,Phone,0.315707
WAVE-58,HH-b3bfd5d44a4a0d,4.46,9.95,Y,N,Y,Y,TooMinor,8.48,63.27,23.84,4.99,4.73,Rarely,Rarely,8.57,8.14,Web,1.135621
WAVE-08,HH-9cd09932b327d2,7.6,7.74,N,Y,Y,N,NoEvidence,5.49,11.19,74.24,1.84,2.36,Weekly,Sometimes,1.61,6.92,Phone,0.844448
WAVE-53,HH-7735aa7c4133ef,7.42,6.33,N,Y,Y,N,FearRetaliation,5.87,42.34,69.46,6.5,8.37,Rarely,Rarely,4.68,2.36,Paper,2.947802
WAVE-01,HH-8b2c4a22702ca1,5.27,3.5,Y,Y,Y,N,NotWorthIt,2.14,99.25,44.77,6.23,7.87,Never,Never,7.09,9.81,InPerson,2.390991
WAVE-18,HH-e8dfaf79bb16a8,4.68,7.13,Y,Y,N,N,Other,9.56,15.25,26.9,1.56,2.22,Daily,Rarely,7.37,4.75,InPerson,3.663363
WAVE-57,HH-aa6b756a31d603,8.69,9.97,N,N,Y,N,NoEvidence,8.51,66.49,30.66,1.03,7.69,Rarely,Often,4.26,9.88,Paper,2.616341
WAVE-32,HH-6f3e271ef41bbc,0.43,5.35,Y,N,Y,Y,Other,3.58,54.69,3.09,2.53,7.4,Never,Rarely,6.82,9.2,Paper,2.28612
WAVE-41,HH-fa662d8fd642e2,1.2,4.9,N,N,Y,N,DistrustPolice,9.81,33.59,78.28,7.2,0.6,Never,Never,7.43,7.19,Phone,2.787503
WAVE-15,HH-48f86ebeb5a1ad,3.68,4.58,Y,N,Y,N,NoEvidence,2.37,90.36,42.85,9.53,2.78,Never,VeryOften,2.65,1.8,IVR,4.167749
WAVE-12,HH-c847d573dde968,3.63,8.94,N,Y,Y,N,Other,5.2,13.21,84.33,8.65,4.79,Never,Rarely,4.38,9.01,Phone,2.72368
WAVE-37,HH-b1faadfb71220e,5.11,6.93,N,N,N,Y,Other,2.59,90.7,88.94,5.27,7.47,Never,Rarely,7.93,9.67,Phone,4.162893
WAVE-26,HH-ed645f763bf7cf,1.96,2.16,Y,N,N,Y,Other,4.97,16.44,83.04,8.84,0.0,Never,Never,8.1,2.66,InPerson,2.696382
WAVE-39,HH-6d2da890744dd5,4.93,3.89,N,Y,N,Y,DistrustPolice,2.81,20.1,44.26,3.26,8.53,Daily,Often,0.14,7.06,Paper,2.120076
WAVE-01,HH-3cbb6d9cc8f07a,5.94,9.7,N,Y,Y,Y,TooMinor,3.3,81.01,28.51,4.96,9.67,Rarely,Sometimes,9.01,7.23,IVR,3.480059
WAVE-14,HH-32c58d107fa34e,5.54,9.14,N,N,N,Y,NoEvidence,2.59,75.98,2.12,7.2,0.49,Monthly,Sometimes,3.91,7.36,InPerson,0.856125
WAVE-04,HH-6245e453ba3fbb,4.37,5.58,N,Y,N,N,TooMinor,3.92,20.02,53.58,3.44,1.27,Rarely,Rarely,0.48,5.11,Paper,0.824485
WAVE-48,HH-c389437e1e10e5,4.35,1.79,Y,N,Y,Y,FearRetaliation,2.8,31.7,23.43,0.56,6.89,Rarely,Rarely,5.96,4.81,Phone,3.18405
WAVE-10,HH-175d2f85181052,3.85,7.14,Y,Y,Y,N,DistrustPolice,1.62,96.1,79.39,9.82,7.93,Rarely,Rarely,3.46,4.38,Paper,2.761885
WAVE-33,HH-fb618c05bf848e,6.15,4.65,Y,Y,Y,Y,NotWorthIt,6.14,57.76,74.99,5.7,2.04,Monthly,Often,6.66,3.05,Phone,0.721258
WAVE-53,HH-e98b8441fd49f5,2.97,2.85,Y,Y,Y,N,NoEvidence,5.21,78.29,28.2,2.55,5.14,Never,VeryOften,0.31,7.27,InPerson,2.350903
WAVE-26,HH-36e6ab928d08df,2.77,6.04,Y,Y,Y,Y,FearRetaliation,8.42,39.45,98.05,4.31,3.83,Monthly,VeryOften,2.88,0.31,IVR,4.003166
WAVE-25,HH-9cfff013b20682,5.94,4.52,Y,N,Y,N,DistrustPolice,7.16,68.06,90.14,3.15,2.2,Rarely,Rarely,5.09,6.52,IVR,1.34808
WAVE-49,HH-e5e95102a622cd,4.91,7.3,N,Y,N,N,DistrustPolice,4.49,70.46,35.99,5.56,7.05,Never,Rarely,1.85,9.29,InPerson,2.975839
WAVE-50,HH-0eb8b1e0d65e32,4.33,1.53,Y,Y,N,Y,TooMinor,2.87,76.85,74.96,6.51,5.67,Rarely,VeryOften,6.13,8.07,Phone,1.97964
WAVE-09,HH-9b958a40f7216e,1.92,0.5,N,N,Y,Y,DistrustPolice,2.69,89.45,92.2,3.74,4.2,Monthly,Often,4.86,9.91,InPerson,2.396384
WAVE-27,HH-cea17e3fb0f68e,1.45,6.83,Y,Y,Y,N,Other,4.56,80.66,62.22,7.81,1.95,Monthly,Rarely,7.74,3.47,Phone,4.430749
WAVE-47,HH-0d110188dff560,1.12,6.49,N,N,Y,N,NoEvidence,8.07,63.25,7.91,3.12,0.24,Never,VeryOften,3.71,5.8,IVR,3.84118
WAVE-47,HH-66ce3795860cb9,2.59,8.08,N,N,Y,N,FearRetaliation,3.88,92.81,17.15,0.07,4.68,Never,Never,2.39,0.62,Phone,3.292441
WAVE-11,HH-2014761cbd0ef8,8.3,8.59,N,N,Y,Y,Other,6.39,66.43,38.63,9.57,1.01,Weekly,Rarely,4.35,9.29,Web,1.344023
WAVE-55,HH-5fc1358836fc26,5.52,0.43,N,Y,N,Y,DistrustPolice,5.4,44.47,55.55,3.6,4.63,Never,Sometimes,7.8,9.9,Web,1.796828
WAVE-42,HH-2cb083c0c43995,8.38,8.41,N,N,N,Y,FearRetaliation,7.91,28.9,19.99,4.05,1.4,Never,Often,8.92,3.07,Paper,2.366631
WAVE-22,HH-e4fa5bdb8cb615,3.42,0.02,N,N,N,Y,FearRetaliation,7.4,17.35,49.37,3.19,6.66,Monthly,Never,8.15,1.19,Web,0.874246
WAVE-31,HH-2f19bdbb46971b,3.48,0.12,Y,N,Y,Y,DistrustPolice,5.0,20.52,69.44,4.33,6.5,Rarely,Sometimes,2.31,3.47,InPerson,1.67382
WAVE-53,HH-15db5e2eb190de,6.78,4.54,N,Y,Y,Y,NotWorthIt,3.91,14.24,16.78,2.48,7.64,Rarely,Often,4.75,7.63,Phone,2.683087
WAVE-52,HH-d2bcc88c37d438,5.18,7.19,Y,Y,N,N,DistrustPolice,7.81,36.33,81.72,8.73,0.07,Weekly,VeryOften,2.44,0.78,Web,4.209736
WAVE-54,HH-02d86e293a2693,4.05,0.81,N,Y,Y,Y,DistrustPolice,8.35,3.08,97.2,7.47,0.92,Weekly,Sometimes,7.2,5.45,Phone,4.3994
WAVE-07,HH-c42db2c6b31981,0.61,10.0,N,N,N,Y,NoEvidence,5.52,66.15,57.13,1.8,6.18,Rarely,Often,8.22,0.13,Web,1.456447
WAVE-08,HH-4193bdad9db734,9.87,4.98,Y,N,Y,N,TooMinor,2.3,35.07,45.44,0.43,2.64,Never,Rarely,1.54,6.37,Paper,2.831706
WAVE-15,HH-1ef79d234c38c3,9.49,6.55,N,N,Y,Y,FearRetaliation,0.96,47.81,64.66,1.25,5.47,Never,Rarely,2.63,7.3,InPerson,1.464718
WAVE-13,HH-3f77c95639de84,7.04,8.57,N,N,Y,Y,TooMinor,9.19,74.35,50.92,5.22,4.77,Never,Sometimes,6.02,5.79,Paper,3.954131
WAVE-44,HH-84114011495d3b,4.37,2.54,Y,N,N,Y,TooMinor,3.98,20.99,63.98,7.76,2.32,Never,Sometimes,8.54,9.85,IVR,1.113748
WAVE-12,HH-119e9135da1de8,0.41,4.44,Y,Y,N,Y,FearRetaliation,8.78,47.4,42.56,3.33,7.68,Rarely,Rarely,6.51,2.07,IVR,0.882511
WAVE-57,HH-82b268df3dfa3e,4.2,1.47,Y,Y,N,Y,NoEvidence,2.23,49.09,28.69,8.33,3.56,Never,Rarely,3.6,9.75,Paper,2.072124
WAVE-01,HH-d4f51f664fb19b,1.7,7.36,N,N,N,N,Other,1.12,66.15,84.15,2.91,8.99,Never,Sometimes,9.57,7.22,IVR,2.287735
WAVE-49,HH-b109fbe641fbfa,7.61,5.75,N,N,Y,N,NotWorthIt,5.81,66.01,38.38,8.84,9.03,Rarely,Rarely,2.37,6.94,IVR,1.355925
WAVE-07,HH-71d9af6f506a5d,0.02,9.72,N,Y,N,Y,TooMinor,2.17,60.35,5.57,1.8,5.56,Monthly,Rarely,1.16,3.16,Phone,1.384856
WAVE-32,HH-867f8e202fb784,5.31,1.61,N,N,N,Y,TooMinor,7.29,55.6,44.8,5.49,3.33,Weekly,Often,8.22,0.32,Web,2.240516
WAVE-45,HH-9944aebdb29c2b,3.47,4.48,N,N,N,Y,TooMinor,3.42,26.35,56.72,3.22,4.01,Rarely,Never,4.34,9.09,Paper,1.496681
WAVE-54,HH-78033cecf7afb0,7.62,4.82,N,Y,Y,Y,Other,7.41,29.43,19.37,5.74,2.22,Rarely,Often,3.2,5.65,InPerson,1.571409
WAVE-42,HH-551d31d497519a,4.08,3.85,N,Y,Y,N,FearRetaliation,4.18,35.2,16.56,2.15,8.12,Never,Often,7.72,6.37,Phone,2.066135
WAVE-06,HH-b635ece9c214a7,1.06,3.43,N,N,N,Y,FearRetaliation,8.9,71.2,54.01,9.83,5.99,Monthly,Sometimes,2.34,3.31,Paper,2.410022
WAVE-54,HH-21915f20f73370,4.24,6.55,Y,N,N,Y,TooMinor,0.59,67.23,63.76,0.77,8.13,Monthly,VeryOften,8.6,6.33,IVR,3.832003
WAVE-59,HH-8d7ce4ea9afcde,9.93,0.7,Y,Y,N,N,TooMinor,0.96,63.82,15.66,7.03,4.65,Rarely,Never,6.91,9.22,Paper,0.443306
WAVE-26,HH-aff7bb907997e5,0.17,5.99,N,Y,Y,N,FearRetaliation,8.66,28.66,25.8,1.96,3.75,Never,Often,4.22,8.25,InPerson,2.688095
WAVE-56,HH-0f469f2a629c09,1.46,8.84,Y,Y,N,N,DistrustPolice,1.28,18.1,99.43,7.01,9.01,Daily,Sometimes,0.78,1.49,IVR,0.912157
WAVE-11,HH-e2406a7f7b003b,5.42,1.35,N,N,Y,N,NoEvidence,9.24,64.77,11.41,1.21,0.66,Weekly,Often,3.36,1.87,IVR,1.765723
WAVE-01,HH-6d90227151dcd8,3.38,9.22,Y,Y,Y,N,FearRetaliation,0.52,63.37,47.91,6.54,6.09,Never,Never,5.6,2.49,Web,3.086981
WAVE-11,HH-aa25531ac316ac,4.75,9.74,N,Y,N,N,NotWorthIt,3.62,39.46,98.65,8.69,9.46,Daily,VeryOften,2.32,9.33,Paper,3.590132
WAVE-43,HH-8a1fb70be8cf19,8.1,2.65,Y,N,Y,N,Other,7.06,55.51,65.47,7.84,1.25,Never,Sometimes,8.08,5.67,IVR,1.001023
WAVE-19,HH-17feb07097b23c,9.33,5.28,N,Y,Y,Y,FearRetaliation,8.39,77.74,11.92,4.41,8.33,Rarely,VeryOften,9.13,9.14,Paper,1.274285
WAVE-51,HH-3dde2e87de64bc,7.73,7.57,N,N,N,N,TooMinor,5.68,98.39,92.28,7.8,2.66,Never,Rarely,7.39,8.59,Web,0.604032
WAVE-41,HH-28df4175f098b0,6.94,3.82,N,Y,N,Y,FearRetaliation,4.69,45.45,32.51,2.3,3.43,Monthly,Never,6.63,9.65,InPerson,4.02919
WAVE-07,HH-f9317cdab165f6,8.85,6.06,Y,Y,N,Y,NoEvidence,8.26,33.35,43.01,8.99,7.36,Never,VeryOften,4.69,0.47,Phone,2.042949
WAVE-29,HH-25608e44f9dcc0,7.83,4.61,Y,N,Y,Y,NotWorthIt,3.85,36.84,52.24,2.64,5.41,Never,Never,4.58,3.58,Paper,2.071082
WAVE-38,HH-e6b440a5f5982b,5.76,4.78,N,N,N,N,NotWorthIt,2.27,92.94,28.36,9.9,0.9,Never,Often,1.88,0.44,Phone,3.516839
WAVE-42,HH-4b2e1d94a96a58,9.25,2.33,N,Y,N,N,NotWorthIt,0.53,33.28,61.5,4.77,8.78,Never,Often,7.63,5.63,Web,1.191764
WAVE-27,HH-1ea7b641addb16,0.26,1.94,Y,N,Y,N,NotWorthIt,6.94,51.81,31.59,3.72,2.72,Never,Never,2.72,0.8,Web,2.616584
WAVE-18,HH-0023f2dda4b68f,6.41,4.88,Y,N,Y,Y,NoEvidence,6.6,78.38,4.5,6.69,9.22,Never,Sometimes,9.24,5.05,IVR,3.361939
WAVE-25,HH-d2f4cfad4a2c95,8.72,8.4,N,Y,Y,N,TooMinor,2.54,2.32,35.14,9.63,8.2,Rarely,Never,1.59,1.87,Paper,0.500397
WAVE-09,HH-8db6c3b0cf809d,8.85,3.71,Y,N,Y,N,NotWorthIt,0.04,58.22,95.57,6.27,7.44,Never,Sometimes,7.81,2.86,IVR,3.390369
WAVE-05,HH-ba74769eccd93d,1.6,8.82,N,Y,Y,N,NotWorthIt,5.21,72.65,88.35,5.95,1.71,Rarely,Often,4.98,3.78,Paper,2.907974
WAVE-48,HH-0078e3a44e340f,4.2,1.29,Y,Y,Y,N,Other,5.15,95.19,99.69,6.94,1.73,Rarely,VeryOften,0.37,3.67,Phone,2.245095
WAVE-57,HH-b3b98c373413c6,6.5,3.13,N,N,N,N,DistrustPolice,3.77,46.69,19.29,2.2,5.29,Never,Never,4.66,1.79,Web,2.50537
WAVE-38,HH-29fd860b0e223c,5.87,1.76,N,N,N,Y,TooMinor,5.76,25.21,3.63,4.3,2.03,Monthly,VeryOften,1.34,4.45,Paper,1.561302
WAVE-32,HH-c7c0cdbf313348,5.7,4.58,Y,Y,Y,N,NotWorthIt,4.43,4.56,49.3,0.89,7.45,Never,Never,0.48,6.68,InPerson,2.938037
WAVE-40,HH-6ef50f267b9464,7.7,6.61,Y,Y,N,Y,Other,9.87,92.96,39.21,2.2,4.87,Never,VeryOften,3.45,8.84,Phone,2.993086
WAVE-38,HH-b68270e6884506,8.88,0.94,N,Y,Y,Y,DistrustPolice,6.88,28.62,39.53,1.13,1.62,Never,VeryOften,6.32,2.62,Web,1.426507
WAVE-46,HH-513a5b44efb2b0,6.1,4.2,Y,Y,Y,Y,Other,4.61,31.93,30.18,8.94,9.25,Never,Rarely,9.2,3.62,Paper,2.063678
WAVE-39,HH-1d20a9459f58ad,3.64,7.72,Y,Y,N,N,TooMinor,6.81,68.59,20.51,7.88,7.31,Never,Never,8.03,1.37,IVR,2.019211
WAVE-23,HH-d4b153d5e8f46b,2.04,2.35,Y,N,N,Y,TooMinor,7.59,91.02,41.43,4.95,7.1,Rarely,Often,9.7,9.95,InPerson,1.223541
WAVE-54,HH-11950d07559fd6,7.71,3.57,N,Y,N,Y,DistrustPolice,6.61,93.27,25.07,6.45,5.51,Weekly,Often,3.45,3.31,Web,2.488477
WAVE-01,HH-fc90958d63227f,3.41,6.71,Y,N,Y,N,DistrustPolice,2.0,41.63,55.81,7.15,1.97,Weekly,Often,2.68,3.52,Phone,1.752431
WAVE-34,HH-ef175e389dc70e,5.71,0.23,N,N,N,Y,TooMinor,7.73,11.36,71.51,2.63,1.88,Rarely,Never,5.97,2.14,Phone,2.644554
WAVE-37,HH-5858c071fc4b5e,0.39,3.44,Y,N,N,Y,NotWorthIt,9.44,52.58,4.62,8.86,5.27,Monthly,Never,5.97,2.56,InPerson,1.250541
WAVE-05,HH-f4e4618e4ced4d,6.58,2.89,Y,N,N,Y,DistrustPolice,5.67,2.97,9.97,3.61,3.28,Never,Rarely,8.62,8.38,Paper,1.667738
WAVE-42,HH-ad3d8799d4eb69,2.6,3.7,N,N,Y,N,TooMinor,2.74,22.82,13.42,5.03,6.42,Rarely,Often,7.24,8.5,InPerson,2.392346
WAVE-46,HH-83d64697e963a7,3.41,2.83,Y,N,N,N,NoEvidence,8.82,57.24,67.54,0.54,5.04,Rarely,Often,3.45,9.28,Paper,4.017113
WAVE-24,HH-7f5ef057ab9e14,3.54,1.16,Y,Y,Y,N,NoEvidence,7.91,80.13,56.6,7.48,7.48,Weekly,Rarely,7.22,1.25,Web,2.103229
WAVE-20,HH-5a088c3af1397e,6.03,4.99,N,Y,N,N,TooMinor,9.53,4.85,59.74,7.75,7.2,Never,Rarely,2.09,8.49,Paper,4.018497
WAVE-25,HH-31d488a366d7e6,5.55,4.26,Y,Y,Y,N,DistrustPolice,5.74,57.99,1.3,7.74,3.86,Monthly,Often,6.84,2.85,Phone,0.292839
WAVE-28,HH-de4ed5d116c262,8.9,6.43,N,N,Y,Y,NoEvidence,1.18,62.0,13.75,9.62,1.62,Never,Often,2.44,1.39,Phone,0.982093
WAVE-57,HH-79b88c6977a3d7,5.16,7.12,N,N,Y,Y,NotWorthIt,3.12,53.7,80.61,4.99,1.69,Never,Sometimes,2.95,5.35,Web,4.06171
WAVE-33,HH-91593b721ae4bc,1.3,5.92,Y,Y,N,Y,FearRetaliation,5.78,92.58,82.3,5.54,8.29,Daily,Often,6.72,4.44,IVR,1.375373
WAVE-31,HH-ef6eea2677c764,5.31,6.62,Y,N,N,N,NotWorthIt,7.18,29.17,48.43,5.56,5.91,Rarely,Never,5.95,4.52,Phone,2.853732
WAVE-02,HH-02abef8fee26dd,6.78,3.47,Y,Y,N,Y,FearRetaliation,7.25,26.03,31.62,8.35,1.29,Never,Rarely,8.8,1.85,Web,2.863433
WAVE-58,HH-0ba111359c23b4,9.47,9.05,Y,N,N,Y,FearRetaliation,1.19,91.82,74.27,1.24,6.41,Never,Often,3.73,5.9,Phone,2.743618
WAVE-28,HH-99f355181d5283,4.07,3.06,Y,Y,N,N,NotWorthIt,5.92,40.48,45.25,3.6,9.23,Never,Rarely,5.9,5.71,IVR,2.923576
WAVE-43,HH-db05bf0cb7a686,6.0,5.68,N,Y,Y,Y,NotWorthIt,4.13,18.99,58.44,7.07,2.76,Never,VeryOften,5.24,1.85,IVR,3.332632
WAVE-26,HH-68be4723bb75e4,2.68,4.61,Y,Y,N,N,NoEvidence,9.41,65.81,12.06,3.32,4.9,Monthly,Often,9.17,1.28,IVR,2.233275
WAVE-05,HH-735d60937f0951,6.58,1.4,N,N,N,Y,TooMinor,3.6,87.48,47.11,8.06,7.29,Never,Sometimes,4.58,9.53,InPerson,1.314518
WAVE-44,HH-7f39ccd25444bb,3.07,7.44,Y,N,Y,N,DistrustPolice,1.45,68.52,66.02,2.82,8.31,Never,VeryOften,4.66,0.58,InPerson,4.159788
WAVE-02,HH-a42a7013c30896,9.27,1.87,N,Y,N,N,NotWorthIt,1.42,38.83,87.94,0.84,0.04,Never,Often,7.77,3.3,IVR,2.914228
WAVE-24,HH-bc0b1642696fec,0.78,7.92,N,N,Y,Y,FearRetaliation,1.62,66.55,89.26,6.44,1.27,Never,Never,7.52,7.55,InPerson,3.724011
WAVE-12,HH-61be104b8bba76,8.69,4.75,N,Y,Y,N,NotWorthIt,2.71,93.82,49.59,0.77,8.2,Never,Rarely,3.57,4.31,InPerson,2.201778
WAVE-50,HH-8a16c4245beb41,1.43,6.76,Y,N,Y,Y,FearRetaliation,0.04,57.43,95.97,8.32,1.3,Never,VeryOften,7.43,6.29,Web,0.641292
WAVE-52,HH-48f749c6a15239,2.68,0.91,Y,N,N,Y,TooMinor,4.01,16.36,64.31,4.66,1.68,Rarely,Sometimes,5.95,5.32,Paper,3.247451
WAVE-21,HH-19833320984595,6.53,5.28,Y,Y,Y,N,TooMinor,7.01,96.04,13.15,3.12,6.76,Never,Never,7.44,9.03,IVR,2.585091
WAVE-49,HH-79a42e4e6a2501,6.37,8.25,N,N,Y,Y,FearRetaliation,7.17,82.39,84.8,8.09,0.85,Never,Rarely,0.09,3.19,Phone,0.233695
WAVE-59,HH-86d8ae700c9251,9.35,1.77,Y,N,N,Y,NotWorthIt,8.45,69.33,61.82,8.16,2.09,Never,Sometimes,5.12,7.28,Phone,0.502925
WAVE-48,HH-362287c6e2b39c,5.81,0.46,Y,N,N,Y,TooMinor,1.51,2.58,57.94,5.18,4.15,Never,Sometimes,1.91,8.33,Phone,0.52468
WAVE-53,HH-bd5ee9fcc73723,8.9,1.88,Y,N,Y,Y,FearRetaliation,7.88,26.05,60.11,1.12,2.09,Never,VeryOften,0.05,8.25,IVR,4.341766
WAVE-34,HH-cf1c460d75ef2d,1.31,8.74,N,Y,N,Y,DistrustPolice,9.07,16.87,1.17,1.98,4.99,Rarely,Never,7.37,3.05,IVR,3.412198
WAVE-53,HH-f3d89242afc0c2,9.06,5.29,Y,N,Y,N,DistrustPolice,4.59,81.69,8.04,8.49,9.56,Rarely,Rarely,1.17,0.75,Paper,2.356297
WAVE-57,HH-bd0cfd419de408,4.65,9.64,Y,N,N,Y,TooMinor,6.41,67.58,66.25,3.68,6.94,Never,Sometimes,9.53,0.48,Web,1.658768
WAVE-56,HH-7d89c308c8f255,2.69,2.65,N,Y,Y,N,FearRetaliation,7.38,17.79,61.03,9.73,0.89,Never,VeryOften,8.69,6.13,Paper,4.174067
WAVE-10,HH-4517b4e6253abf,8.05,9.21,Y,N,N,Y,TooMinor,4.97,6.61,32.67,6.74,9.47,Rarely,VeryOften,2.23,2.43,Web,1.117867
WAVE-38,HH-26be018caef0f9,7.45,5.78,Y,N,Y,N,TooMinor,9.84,42.66,20.96,7.76,6.2,Never,Never,3.05,7.09,InPerson,0.206654
WAVE-10,HH-e9af0645a9f7fc,1.15,6.71,Y,N,N,Y,NotWorthIt,0.97,32.23,59.2,4.88,1.85,Never,VeryOften,8.57,7.28,InPerson,0.891978
WAVE-49,HH-9130467382f398,9.97,3.3,N,N,N,Y,TooMinor,3.65,0.93,21.95,5.44,3.19,Never,Often,4.31,1.24,InPerson,4.217419
WAVE-29,HH-f7be410f3490b1,6.61,6.5,Y,Y,N,Y,NoEvidence,0.99,87.15,29.81,2.62,4.08,Weekly,Rarely,10.0,2.21,InPerson,1.431258
WAVE-36,HH-c7640514af59a7,7.45,5.18,Y,N,Y,N,NoEvidence,8.56,9.58,16.85,5.84,0.09,Weekly,Rarely,4.53,9.26,IVR,3.274318
WAVE-29,HH-94327b1ac2fe3c,9.81,2.82,N,N,N,Y,FearRetaliation,8.14,1.08,8.35,4.22,5.9,Never,Often,4.89,0.01,Paper,0.603102
WAVE-19,HH-6aa659e2ad82a9,9.78,6.54,N,N,N,Y,DistrustPolice,0.29,48.58,27.13,6.86,9.25,Never,Rarely,4.91,2.57,Phone,1.508402
