gov_mff_reference_year,gov_mff_mff_period_code,gov_mff_heading_code,gov_mff_programme_code,gov_mff_commitments_eur,gov_mff_payments_eur,gov_mff_execution_rate_pct,gov_mff_revenue_own_resources_eur,gov_mff_gni_based_resource_eur,gov_mff_vat_based_resource_eur,gov_mff_customs_duties_resource_eur,gov_mff_plastic_own_resource_eur,gov_mff_rebates_eur,gov_mff_unspent_commitments_ral_eur,gov_mff_audits_findings_count,gov_mff_irregularities_amount_eur,gov_mff_anti_fraud_olaf_cases_count,gov_mff_transparency_portal_url_hash,gov_mff_data_source,gov_mff_data_extract_date
2021,2021_2027,H4_MIGRATION_BORDER,NDICI,50871077013.3,40174233469.22,78.97,14519463375.59,20918651814.35,4517403584.87,3249562874.89,1295737165.73,7515808989.63,16942241685.44,124,447804458.66,27,04f784734edf362b58fcaeb6fbf5,OLAF_ANNUAL_REPORT,2025-11-20
2022,2021_2027,H2_COHESION_RESILIENCE,CEF_DIGITAL,46963884437.03,38506447504.61,81.99,29906419504.81,28612342218.26,4053038632.31,11153541178.36,614797323.08,6664445258.94,10920552635.34,41,175484232.28,10,314397ea134dbcc617ca0d98cbda,ECA_AUDIT_SUMMARY,2026-01-10
2023,2021_2027,H7_PUBLIC_ADMIN,IPA,62344151788.87,51263094668.23,82.23,3087681422.11,44604602863.67,5739580230.14,3624490101.76,2424096906.66,2524338884.07,14322376915.19,139,275409277.07,3,9ac4f7dd4576d433c514b71c1a3a,OPEN_DATA_PORTAL_BUDGET,2024-06-01
2024,2021_2027,H5_SECURITY_DEFENCE,DIGITAL_EUROPE,8738439908.27,8084456075.42,92.52,14969941573.42,3547065279.32,7504903696.4,10700101308.88,2433929919.37,2662661650.03,1021682968.55,133,106010672.67,57,3e0853fd73b3a68c3be2810693de,EU_BUDGET_FINANCIAL_REPORT,2025-10-13
2025,2021_2027,H3_NATURAL_RESOURCES,JUST_TRANSITION,61892193360.91,26481487098.87,42.79,19505258938.75,25817794118.53,17022580005.36,673280302.33,655984590.15,7591071153.37,33859403043.94,47,144305852.22,31,79a5af27da11a1c9fe6a462e90a4,OLAF_ANNUAL_REPORT,2025-11-28
2026,2021_2027,H1_SINGLE_MARKET,LIFE,67528807118.8,56420873853.82,83.55,17911059130.0,35116268556.76,12101116717.5,7807620476.32,1112926781.18,5201153395.78,15587137100.58,65,303296907.05,40,c3f12b2d6624593dec7ff4b322f9,ECA_AUDIT_SUMMARY,2025-09-02
2014,2014_2020,H6_NEIGHBOURHOOD_WORLD,HORIZON_EUROPE,8799189487.58,7027983277.0,79.87,11695560501.66,7853883262.21,7695437346.48,6553904993.37,548138379.14,5166104642.15,2782783598.15,120,535673097.31,57,cc8dbc51c57271959a9f8b859482,OPEN_DATA_PORTAL_BUDGET,2025-11-08
2015,2014_2020,H4_MIGRATION_BORDER,EU4HEALTH,28074436539.86,15847489531.56,56.45,24210554378.46,32145901565.69,8004822000.66,7738832800.06,279133171.0,3777390418.98,12796508828.81,107,191148018.77,85,6452067cc6763615e84509342032,EU_BUDGET_FINANCIAL_REPORT,2025-04-23
2016,2014_2020,H2_COHESION_RESILIENCE,ERDF,19542421844.8,13730221149.3,70.26,33262381032.97,17779277315.95,5293987758.95,12851718146.72,223522372.21,3772667687.19,6802308808.83,127,243009767.2,39,ef2e8f25d94188601d3013a81d05,OLAF_ANNUAL_REPORT,2024-10-28
2017,2014_2020,H7_PUBLIC_ADMIN,AMIF,12500242454.43,4709006418.49,37.67,17283678953.78,14368783470.61,12936074642.16,500912559.69,450506968.37,7910580960.92,11632725288.92,140,531923892.7,55,fbc4f0acd7ce75f7919eed696d16,ECA_AUDIT_SUMMARY,2025-01-14
2018,2014_2020,H5_SECURITY_DEFENCE,ESF_PLUS,31029767120.47,14507524764.7,46.75,15473989618.76,12519503751.4,4602960519.42,731333165.02,523845980.63,159547479.96,17334269232.25,105,302919304.53,0,ff022b44ec89343b81f38ce83642,OPEN_DATA_PORTAL_BUDGET,2025-10-14
2019,2014_2020,H3_NATURAL_RESOURCES,ISF,42366451983.17,29042232535.75,68.55,22506048702.8,75330744832.94,7382533765.87,10140979256.79,598776750.76,3660931203.88,20482542628.67,94,231664635.83,30,086d2b8fd5510345d05fb6b7722a,EU_BUDGET_FINANCIAL_REPORT,2025-05-21
2020,2014_2020,H1_SINGLE_MARKET,CAP,23791567930.8,19480481631.13,81.88,28746122281.05,5467471186.24,17730292322.95,11726328062.47,61383709.15,505251529.95,6080545783.57,43,71945901.76,53,fcd2f07c389f1411c21313282512,OLAF_ANNUAL_REPORT,2024-03-16
2021,2021_2027,H6_NEIGHBOURHOOD_WORLD,NDICI,4997136128.57,3270977901.92,65.46,15843869415.5,37408134917.01,4465669270.49,254551462.19,1620672354.33,1567849802.44,2479658829.97,65,283774700.75,81,f9df6abb3ccefe121e3d44315cc5,ECA_AUDIT_SUMMARY,2025-03-11
2022,2021_2027,H4_MIGRATION_BORDER,CEF_DIGITAL,86765347671.12,82247245504.18,94.79,20180201820.13,63120142557.92,12982691943.26,5650112046.66,1256802963.82,5133453874.77,7205278318.07,85,10657576.44,15,64c8d0e70e1f3cf695082c5c1919,OPEN_DATA_PORTAL_BUDGET,2024-02-28
2023,2021_2027,H2_COHESION_RESILIENCE,IPA,13087766938.11,6679730945.58,51.04,1510635755.39,9214147255.95,3836918530.9,9525546876.39,2392425726.66,3808339232.96,8718777553.38,77,576361690.23,62,bc7b38c91aa7c9928dbacf1771e3,EU_BUDGET_FINANCIAL_REPORT,2024-11-29
2024,2021_2027,H7_PUBLIC_ADMIN,DIGITAL_EUROPE,67552233440.24,39334133817.38,58.23,47443282098.13,54797214443.45,11281207674.23,8500341747.17,1816416676.76,8975536374.19,26252052191.47,122,507911076.41,5,e8941b98b05d4f26600591768c45,OLAF_ANNUAL_REPORT,2024-07-09
2025,2021_2027,H5_SECURITY_DEFENCE,JUST_TRANSITION,22731238291.38,14078109172.55,61.93,46335660605.64,48725163150.67,3895437512.69,1803347714.4,2005873816.7,3669318649.72,9939130596.24,64,289745958.42,46,ca745e787d38fc974b1f47d85a4b,ECA_AUDIT_SUMMARY,2024-10-29
2026,2021_2027,H3_NATURAL_RESOURCES,LIFE,57902649054.9,35512497002.45,61.33,28498388665.58,13607743536.74,19267918311.9,1833776302.19,1973224092.5,1810077794.55,24847125471.5,17,176621338.73,21,a3cee8ece89c3225b43836242e41,OPEN_DATA_PORTAL_BUDGET,2026-02-19
2014,2014_2020,H1_SINGLE_MARKET,HORIZON_EUROPE,19989795326.14,15441129236.6,77.25,27458795897.71,37600025602.42,6754549235.59,5363452727.62,438991910.94,5923775511.62,4224847159.85,69,415093090.78,23,d16f23be32bb7814ea5140b34de1,EU_BUDGET_FINANCIAL_REPORT,2024-01-14
2015,2014_2020,H6_NEIGHBOURHOOD_WORLD,EU4HEALTH,50698107271.25,25185334699.59,49.68,8377082902.87,19657495005.35,12860277096.98,607888127.25,198399430.35,7886622183.0,27284172047.61,12,33444264.92,6,b7b2e503a8f903e2b15afb710b18,OLAF_ANNUAL_REPORT,2025-01-27
2016,2014_2020,H4_MIGRATION_BORDER,ERDF,11309092924.24,7624276291.65,67.42,30333740112.16,29646025152.23,4458300381.8,6652240322.61,218138731.23,1003404743.06,4977293223.62,138,531965058.72,6,5f070f23509c159cfff8aece4e6e,ECA_AUDIT_SUMMARY,2024-08-23
2017,2014_2020,H2_COHESION_RESILIENCE,AMIF,64095528309.23,24834953747.09,38.75,38431578415.49,43348653849.21,3263528249.23,8819454613.32,233578389.0,2050138287.22,45887952675.99,19,213226206.63,24,8b501f0ffda2cb6298f2bd5837b7,OPEN_DATA_PORTAL_BUDGET,2024-08-17
2018,2014_2020,H7_PUBLIC_ADMIN,ESF_PLUS,30994222592.89,29316817919.71,94.59,3415380711.6,77531212131.33,12044675382.1,8817556892.17,35088569.19,5392628669.88,2120736233.09,140,231357190.78,82,a3cd155c76ddcc995fa0e2b80501,EU_BUDGET_FINANCIAL_REPORT,2026-01-08
2019,2014_2020,H5_SECURITY_DEFENCE,ISF,12327648111.82,9073665283.45,73.6,5972855036.79,37826331250.4,18730292671.68,14990425341.22,469512368.78,3295230444.73,3516702817.0,42,115470579.96,46,c877ac39d0dc2ff9866b26049cda,OLAF_ANNUAL_REPORT,2025-12-22
2020,2014_2020,H3_NATURAL_RESOURCES,CAP,58752393936.57,37853558957.59,64.43,11435127385.1,47319686901.64,4863225645.61,8054204670.04,287755268.01,2829572540.39,17468024278.28,85,266142384.51,77,3f621b7c9cd33d7b61c8f0cd3b6b,ECA_AUDIT_SUMMARY,2025-03-11
2021,2021_2027,H1_SINGLE_MARKET,NDICI,10660621971.95,7007246696.34,65.73,15306689161.33,12558665510.18,19862560168.93,6020901532.43,1533679995.03,4843242387.26,4213976135.93,25,192514144.54,59,69274d474db779405bcd46f25d00,OPEN_DATA_PORTAL_BUDGET,2024-07-17
2022,2021_2027,H6_NEIGHBOURHOOD_WORLD,CEF_DIGITAL,14349643119.41,11514242350.17,80.24,23338462659.22,69560397717.43,12734566441.1,5192524662.82,1327190469.21,8197677568.34,2271733580.77,29,114852161.4,27,cefb0bd594f92c3a89dc5bbe49c4,EU_BUDGET_FINANCIAL_REPORT,2024-08-14
2023,2021_2027,H4_MIGRATION_BORDER,IPA,26880432498.77,23877919207.36,88.83,22580711282.12,34324599618.62,2548226320.13,4249951745.98,1431427026.66,3471246047.47,2496731081.62,77,445299254.85,12,4bb5f75860ebc164b027f41270a4,OLAF_ANNUAL_REPORT,2024-11-14
2024,2021_2027,H2_COHESION_RESILIENCE,DIGITAL_EUROPE,44946939006.28,27544269013.95,61.28,30000148097.27,57539677132.51,7690488191.9,4761442491.92,680212679.77,5047460968.29,26262650743.82,123,516614353.01,42,ffc27cbc1685daa66bd725234423,ECA_AUDIT_SUMMARY,2025-05-29
2025,2021_2027,H7_PUBLIC_ADMIN,JUST_TRANSITION,34210993512.46,25340212550.4,74.07,30089351178.27,41474728639.7,3387265053.81,5032550753.81,2027987234.41,782418946.32,7884080433.17,105,257733286.77,11,221c9ae412b9ff47cf25c19b07d9,OPEN_DATA_PORTAL_BUDGET,2026-01-20
2026,2021_2027,H5_SECURITY_DEFENCE,LIFE,11483164686.98,7142583827.48,62.2,33378163323.7,54655739934.05,806319324.56,8710100537.19,496625804.44,5576218191.22,5781537621.47,124,98826350.54,42,1db70979604dbdc7ef75c5e90096,EU_BUDGET_FINANCIAL_REPORT,2025-09-24
2014,2014_2020,H3_NATURAL_RESOURCES,HORIZON_EUROPE,52385962300.65,19480683872.86,37.19,30167899778.46,67990919274.21,3895763311.45,9744765843.3,282626984.32,6147637870.95,27206284154.6,0,204204743.04,27,2b425faed8463337b851073faccd,OLAF_ANNUAL_REPORT,2024-01-05
2015,2014_2020,H1_SINGLE_MARKET,EU4HEALTH,48528094171.3,41136470414.24,84.77,24287692297.31,46265051539.43,6642334279.81,5870073818.78,372846357.29,5141193304.57,7157723176.48,136,62542250.88,16,f56bdb812f0baafca34449029fce,ECA_AUDIT_SUMMARY,2025-05-14
2016,2014_2020,H6_NEIGHBOURHOOD_WORLD,ERDF,694557911.0,275061754.92,39.6,25128827485.18,74911704112.44,6548111215.84,8942212199.43,300793112.51,8769828630.91,638363704.87,137,466699804.43,23,31351fa501d2e6402e359730d3b9,OPEN_DATA_PORTAL_BUDGET,2025-10-06
2017,2014_2020,H4_MIGRATION_BORDER,AMIF,48795722988.19,39082253672.86,80.09,15806465929.2,26830410738.25,9446993401.49,12738024544.9,675223089.33,5272007559.75,15401012117.17,117,345519282.74,6,7c532762d3f842fe191bb8d3e139,EU_BUDGET_FINANCIAL_REPORT,2025-10-25
2018,2014_2020,H2_COHESION_RESILIENCE,ESF_PLUS,25260066283.16,15233887290.31,60.31,1932105325.2,55975643310.13,7782438451.5,5129003334.18,529707089.95,3001838282.05,10438992596.01,54,7915597.76,17,dc773a3a37038e5e7d61d2811b10,OLAF_ANNUAL_REPORT,2024-12-10
2019,2014_2020,H7_PUBLIC_ADMIN,ISF,81566282329.99,66334236090.0,81.33,23199844098.51,79981257383.35,4624522382.73,2280348369.26,217703002.64,3762669565.9,17121640386.25,60,106555216.32,20,8d8850aa4cd1e3cd1da1b6d9a3f8,ECA_AUDIT_SUMMARY,2025-10-01
2020,2014_2020,H5_SECURITY_DEFENCE,CAP,11718065397.05,11243086028.64,95.95,10550471588.67,56312159503.29,9335806526.67,1682200386.64,130277185.49,1691313905.86,577738038.38,23,218670512.1,1,b51542309d3f6aeed6fae452c53a,OPEN_DATA_PORTAL_BUDGET,2025-03-21
2021,2021_2027,H3_NATURAL_RESOURCES,NDICI,30583389678.48,23717903741.68,77.55,26432488335.36,67818697805.82,7223407487.57,12249050402.08,581068005.93,1796017765.98,10304876291.1,124,616108579.84,60,9c768dabc5bb7c56cb5fc4041e4d,EU_BUDGET_FINANCIAL_REPORT,2024-03-23
2022,2021_2027,H1_SINGLE_MARKET,CEF_DIGITAL,36220851977.93,33132501359.47,91.47,21447482574.32,37588089608.45,19826041840.14,6479246195.77,892406683.23,1595893746.51,3765517644.61,10,131153397.73,50,f2b3c268d310adee145cbabbf333,OLAF_ANNUAL_REPORT,2024-02-13
2023,2021_2027,H6_NEIGHBOURHOOD_WORLD,IPA,51705807559.2,49560490089.86,95.85,6294156902.2,7199736118.87,8881836338.23,12320911928.58,1978084554.03,4277649561.88,2176458659.53,98,418183542.04,25,93a267ee6be758c2df64ade92a49,ECA_AUDIT_SUMMARY,2024-10-23
2024,2021_2027,H4_MIGRATION_BORDER,DIGITAL_EUROPE,15091361505.34,11625539522.84,77.03,17906926000.18,24982843896.51,6841577373.08,624620142.71,1044128764.28,494062937.8,5357269563.93,46,91242235.75,25,645dfeccbfba459a7c602c9c5b1f,OPEN_DATA_PORTAL_BUDGET,2024-09-03
2025,2021_2027,H2_COHESION_RESILIENCE,JUST_TRANSITION,16370619807.54,7398119626.62,45.19,41799344185.4,62592726717.96,16532350147.35,7750305745.34,3162390423.36,3896058915.81,14056864894.73,138,469113088.23,75,32a1ee2a61807ab3b9c6f4dd086d,EU_BUDGET_FINANCIAL_REPORT,2024-07-06
2026,2021_2027,H7_PUBLIC_ADMIN,LIFE,16919639680.47,16517985786.19,97.63,25575268844.24,28669641573.83,17755554574.08,6384841903.96,1597827857.16,4567492225.36,382749878.39,106,541766819.66,64,1525e6f2d0788393899d9111155c,OLAF_ANNUAL_REPORT,2025-08-20
2014,2014_2020,H5_SECURITY_DEFENCE,HORIZON_EUROPE,1025238732.49,640342035.91,62.46,31811857065.26,6116076468.87,2434201978.2,13146880167.49,442682604.03,3019845271.7,499633094.13,60,173020337.38,79,448deb3f7be8c0fa822a5d3e5a72,ECA_AUDIT_SUMMARY,2025-04-03
2015,2014_2020,H3_NATURAL_RESOURCES,EU4HEALTH,17331462686.82,13272324153.78,76.58,7122929448.45,9776650787.05,14138596692.99,7148194620.21,699187152.84,8694337621.34,5939144978.79,103,121155944.33,75,cee9555b3e46b066350ba7a67347,OPEN_DATA_PORTAL_BUDGET,2025-09-11
2016,2014_2020,H1_SINGLE_MARKET,ERDF,63023318504.15,58518730138.36,92.85,29465267248.59,37283668817.39,14424424259.54,7493697687.52,143371055.87,1557188595.43,5405603585.03,4,224020872.14,77,9d2887bf986aa68349198780fff0,EU_BUDGET_FINANCIAL_REPORT,2024-10-19
2017,2014_2020,H6_NEIGHBOURHOOD_WORLD,AMIF,8267478525.17,3915585282.0,47.36,22389013567.38,10596735274.13,5391722222.08,1167769933.59,309125455.2,1755352218.91,5873601666.27,76,239404294.9,77,34e3b0f0c72323856d4ff53bd617,OLAF_ANNUAL_REPORT,2025-08-15
2018,2014_2020,H4_MIGRATION_BORDER,ESF_PLUS,5190870220.34,1855171551.43,35.74,17284581966.02,43971839669.78,14596068314.23,8743197618.53,373901055.74,3248933078.23,2799620980.21,75,282709668.46,9,0eab854ded4c178e2abb9e42e639,ECA_AUDIT_SUMMARY,2024-09-15
2019,2014_2020,H2_COHESION_RESILIENCE,ISF,33638066141.12,18838014987.14,56.0,30674638803.81,45203905619.55,11741611065.96,10659453742.73,87272675.79,1843058520.29,13759522899.92,116,227455326.46,18,25203be5d5aded4ba110bb687118,OPEN_DATA_PORTAL_BUDGET,2025-10-18
2020,2014_2020,H7_PUBLIC_ADMIN,CAP,37043218306.06,32186613799.42,86.89,14542492579.77,67073219918.14,6584417427.66,7886733453.99,283780491.91,2392642092.75,4055293422.56,15,120251212.91,8,22b363fa5a3a993f7377c76b800c,EU_BUDGET_FINANCIAL_REPORT,2025-05-22
2021,2021_2027,H5_SECURITY_DEFENCE,NDICI,41353582037.04,16038309235.32,38.78,18452769803.98,61757143513.64,16231878151.57,4238899859.47,821035419.43,3711141622.65,33735803526.11,69,534934273.41,2,7c58cde620392c6fad6d04a4266b,OLAF_ANNUAL_REPORT,2025-04-06
2022,2021_2027,H3_NATURAL_RESOURCES,CEF_DIGITAL,40781738610.78,38587905983.49,94.62,26290955712.55,7066552956.23,16357864001.64,12299979039.19,1607893234.23,1012378373.21,2083718766.27,113,608986652.47,55,be2c0f9cd22750d5d979c4a21ef5,ECA_AUDIT_SUMMARY,2025-02-10
2023,2021_2027,H1_SINGLE_MARKET,IPA,55071640517.7,29514999943.33,53.59,21792894682.55,20198736462.57,6103602798.9,5391839016.78,13724087.64,3843135615.24,33686785598.64,78,558282865.72,43,9ca93c7b4c5d58c010c0bb672c18,OPEN_DATA_PORTAL_BUDGET,2025-06-01
2024,2021_2027,H6_NEIGHBOURHOOD_WORLD,DIGITAL_EUROPE,43683642006.07,21320188721.39,48.81,8996800887.55,21102939619.88,6937358862.79,6821572108.14,1674494540.58,3168670329.09,19778436233.05,128,462345431.53,88,b37569aebe4dfbd183014c5b1701,EU_BUDGET_FINANCIAL_REPORT,2025-11-10
2025,2021_2027,H4_MIGRATION_BORDER,JUST_TRANSITION,22499633740.12,21234071399.0,94.38,12954874702.96,40774745079.96,18156374778.91,2504336198.91,639401876.08,6672323242.16,1662744861.71,49,38825970.3,21,1c14673a1fca12716a03efc4e286,OLAF_ANNUAL_REPORT,2025-09-30
2026,2021_2027,H2_COHESION_RESILIENCE,LIFE,2241261114.89,1931137316.92,86.16,40031765993.49,18554992931.61,6309041136.95,1743222899.16,2576899982.8,2670393226.0,356873339.4,14,250475939.88,22,f3b78f8c4c9685a345d56b57459c,ECA_AUDIT_SUMMARY,2024-10-04
2014,2014_2020,H7_PUBLIC_ADMIN,HORIZON_EUROPE,23732063870.1,23149475267.84,97.55,28079232813.33,12607583948.76,4836434778.23,12004905006.07,524613411.37,938627582.17,756568057.71,79,500589705.94,1,59dcef6198b18849d84ade02aeb3,OPEN_DATA_PORTAL_BUDGET,2024-09-30
2015,2014_2020,H5_SECURITY_DEFENCE,EU4HEALTH,22857446975.12,17648598813.33,77.21,26288994342.39,5433639089.34,9826011800.01,9712714827.63,261325211.3,3197313411.7,5633928187.43,127,170762916.52,87,87d50d6035b87f09a579892d88b1,EU_BUDGET_FINANCIAL_REPORT,2024-09-02
2016,2014_2020,H3_NATURAL_RESOURCES,ERDF,9320724347.46,5852903074.34,62.79,2341869512.72,52154979477.05,8071044597.02,3238198410.25,301144285.46,847946243.75,4624891977.26,106,332214917.42,44,5917b38256a7f36e3d92f6f97c78,OLAF_ANNUAL_REPORT,2025-09-04
2017,2014_2020,H1_SINGLE_MARKET,AMIF,31221419712.6,17026512014.63,54.53,43274315328.17,29985126442.07,16034878815.79,15344086192.83,488717834.49,2374213652.94,20192044252.84,70,176371784.43,75,8b7b3455b05d0e09032483ffc654,ECA_AUDIT_SUMMARY,2024-12-17
2018,2014_2020,H6_NEIGHBOURHOOD_WORLD,ESF_PLUS,9100541532.75,4888113999.58,53.71,20950563953.08,68526382002.24,15113481617.92,7535146875.28,184761153.79,777228780.86,4744279866.76,72,439100889.67,7,bf65c0e9ff13bf4ba69faa73d2fe,OPEN_DATA_PORTAL_BUDGET,2025-03-21
2019,2014_2020,H4_MIGRATION_BORDER,ISF,45115452662.71,23941966623.81,53.07,1284983399.99,36345143035.44,19060607597.35,469509781.74,461033470.16,6665359725.29,25866153412.47,43,147340436.28,41,d37a74d34e4e1b6ce8745ed2ca01,EU_BUDGET_FINANCIAL_REPORT,2025-11-19
2020,2014_2020,H2_COHESION_RESILIENCE,CAP,6068725937.44,3693636069.36,60.86,15406644259.43,23113731119.04,1218053390.72,7551085861.41,302687856.75,1114165363.42,3080098947.5,125,553404467.14,64,e0c29a4af6ac976c7985637d8d26,OLAF_ANNUAL_REPORT,2025-07-11
2021,2021_2027,H7_PUBLIC_ADMIN,NDICI,23967768436.08,15511397916.5,64.72,20152063552.5,19569490038.59,6789702862.93,13477319124.28,1021729380.23,1866753255.05,7078701841.31,104,33165424.57,19,86f7723349cf48fb6c832a51b080,ECA_AUDIT_SUMMARY,2024-06-30
2022,2021_2027,H5_SECURITY_DEFENCE,CEF_DIGITAL,16020786431.94,10472733588.17,65.37,12498009590.5,52701317107.46,10428555898.55,9232554625.5,2547459277.28,9337410952.34,5639615119.81,39,113961797.1,21,9d21a7e1ea6daf926bcc59cc8f3b,OPEN_DATA_PORTAL_BUDGET,2024-07-10
2023,2021_2027,H3_NATURAL_RESOURCES,IPA,7468999774.06,4234980410.39,56.7,7852453536.78,41301069852.43,13882224298.13,2863428298.69,978280000.45,2624996319.17,3889215753.58,51,34956888.92,50,34c1d87894ccd2b3cf3a70fb8e49,EU_BUDGET_FINANCIAL_REPORT,2025-10-05
2024,2021_2027,H1_SINGLE_MARKET,DIGITAL_EUROPE,9385232576.22,7336364369.39,78.17,11620978683.7,5496798910.34,15577347115.87,7805457364.24,2591926214.26,3515981988.28,3207090907.64,85,328379758.68,34,1dbd2207374c64861b31b4b0607e,OLAF_ANNUAL_REPORT,2024-01-20
2025,2021_2027,H6_NEIGHBOURHOOD_WORLD,JUST_TRANSITION,22040131661.83,13800591510.42,62.62,40704685549.06,7264819714.37,14356629517.99,6618738921.9,328705824.22,5821091276.4,7523651380.73,58,188128760.5,81,3b82ca187e0a29c989798784b5a2,ECA_AUDIT_SUMMARY,2025-07-18
2026,2021_2027,H4_MIGRATION_BORDER,LIFE,21356583292.67,10524043913.66,49.28,21330845822.04,24294978627.58,11229801849.25,902539595.23,1853802991.34,7441184986.02,12114472442.9,68,16530887.26,9,975c1b03ee519b7ecc02cd5b5381,OPEN_DATA_PORTAL_BUDGET,2025-10-25
2014,2014_2020,H2_COHESION_RESILIENCE,HORIZON_EUROPE,49706732838.15,27312785037.49,54.95,16214865484.52,26202963267.21,20312488642.35,6852307580.54,449974955.48,5618682163.22,28727695090.66,39,13618079.64,1,5e615e1ac9db2bdf7a0ded3398cd,EU_BUDGET_FINANCIAL_REPORT,2025-07-11
2015,2014_2020,H7_PUBLIC_ADMIN,EU4HEALTH,16553153529.02,11680399970.35,70.56,25205219466.81,17409591855.18,2694396352.73,10967525164.58,114045965.85,6640623249.21,7719943694.91,139,228799809.41,85,770d32b87ca58241a4b142ae7cc8,OLAF_ANNUAL_REPORT,2025-05-06
2016,2014_2020,H5_SECURITY_DEFENCE,ERDF,25959456355.93,22863918114.02,88.08,19481058802.78,49514686344.47,1392150825.82,5515662322.62,248503402.06,3094592693.76,4807050858.24,23,237880370.24,62,c8a80a20039d09337e6cdadeafa9,ECA_AUDIT_SUMMARY,2024-05-13
2017,2014_2020,H3_NATURAL_RESOURCES,AMIF,30023628853.9,15072917086.32,50.2,22707565350.37,53419184339.96,5568753975.91,2472228614.29,639269041.39,1470983295.81,12517366479.84,52,93530471.33,56,0e2aa2bd96d084a1a6e8143039e5,OPEN_DATA_PORTAL_BUDGET,2025-11-10
2018,2014_2020,H1_SINGLE_MARKET,ESF_PLUS,49202196235.65,43516199324.72,88.44,33457519933.5,10780292367.93,6227567351.94,7239838405.27,44650306.83,786454663.32,5949762774.48,37,172384248.26,62,38bd7f8d19dac4c4b009f5eaed1f,EU_BUDGET_FINANCIAL_REPORT,2025-07-05
2019,2014_2020,H6_NEIGHBOURHOOD_WORLD,ISF,47441025740.15,43122319924.11,90.9,24979082098.55,19035125248.64,405239133.22,8528951620.61,306662522.28,2201244483.6,6012690099.14,77,579940749.71,31,f0ed8cad16c68be2b318cb83806f,OLAF_ANNUAL_REPORT,2024-05-03
2020,2014_2020,H4_MIGRATION_BORDER,CAP,531041519.0,273042150.71,51.42,7403492422.08,22625689108.46,5591643273.07,13745415650.53,67247829.39,830402842.39,395706936.71,80,419004803.56,72,7212ac8911fff20833544a02a711,ECA_AUDIT_SUMMARY,2024-09-03
2021,2021_2027,H2_COHESION_RESILIENCE,NDICI,27354920286.85,23476968495.98,85.82,7932037692.38,36863672517.92,10672642891.09,7635978133.62,1748862007.8,97567361.94,3573761821.58,49,19226986.64,26,420c6e19f9aedc4199ec13cbede4,OPEN_DATA_PORTAL_BUDGET,2025-04-26
2022,2021_2027,H7_PUBLIC_ADMIN,CEF_DIGITAL,20073608824.52,16199503102.87,80.7,14671922160.25,53629809339.12,16810018615.67,12813559631.87,798959037.34,9840209985.9,5081382886.88,33,168117920.96,75,74f7eb55e30ed455ccd88db84b6d,EU_BUDGET_FINANCIAL_REPORT,2024-10-28
2023,2021_2027,H5_SECURITY_DEFENCE,IPA,21949146146.89,16524791916.48,75.29,24381520717.72,33497184349.91,12046547540.08,9092958276.25,1488157340.66,2147954189.74,7185419876.5,123,343900295.78,21,92bf1d652e0cf2911bed3186e56d,OLAF_ANNUAL_REPORT,2024-03-18
2024,2021_2027,H3_NATURAL_RESOURCES,DIGITAL_EUROPE,222676611.7,135038924.47,60.64,23043161200.03,16291481532.89,15478442236.04,4813536722.29,2530439320.72,88626660.42,108556999.86,11,141095101.27,33,441839ad2bc7cf4cd50bd9a9b9b9,ECA_AUDIT_SUMMARY,2026-01-04
2025,2021_2027,H1_SINGLE_MARKET,JUST_TRANSITION,54970813421.51,52004251751.72,94.6,5702267818.56,35316142084.17,14544551960.94,884073364.99,2381505603.7,1194389804.99,2549062921.23,28,54723946.36,37,38ff262cf55c67e2af495dc78160,OPEN_DATA_PORTAL_BUDGET,2024-01-20
2026,2021_2027,H6_NEIGHBOURHOOD_WORLD,LIFE,18909869794.44,11433459384.43,60.46,36315700022.01,31859044124.73,13596957704.82,15981372517.99,1737481038.71,1023413660.92,11430475204.83,50,144414505.55,4,c958e383dda25ca21f7cd2df9085,EU_BUDGET_FINANCIAL_REPORT,2025-02-09
2014,2014_2020,H4_MIGRATION_BORDER,HORIZON_EUROPE,45261155591.77,41249232015.78,91.14,9207998484.7,15749186828.87,1563999405.73,6111432423.68,299580084.01,4416829531.21,4568941327.25,109,254722992.55,26,fe20f2fd517d92b6d27fb9937074,OLAF_ANNUAL_REPORT,2025-08-15
2015,2014_2020,H2_COHESION_RESILIENCE,EU4HEALTH,15900552070.19,13007539397.82,81.81,21832213492.25,42032340251.05,19810714935.16,5555116329.22,475960196.3,7515484385.85,2371642859.22,55,89060023.66,73,fd430d3def0516df1cb056e57b27,ECA_AUDIT_SUMMARY,2024-08-24
2016,2014_2020,H7_PUBLIC_ADMIN,ERDF,9252604501.74,6347570191.73,68.6,20463566679.57,69672384905.72,598806746.42,2177881673.78,435564404.6,2519561154.43,4582498348.89,137,489833144.56,42,5c68bb92494b1963d1b13a705e73,OPEN_DATA_PORTAL_BUDGET,2025-12-02
2017,2014_2020,H5_SECURITY_DEFENCE,AMIF,17659946650.74,8190915629.73,46.38,7927777796.98,33927597293.3,5465763342.13,9573198225.67,153947591.16,6079659683.15,9601406600.32,10,94746976.91,16,9621df62e89a36dba6edff3b26c9,EU_BUDGET_FINANCIAL_REPORT,2024-01-28
