ag_crops_crop_year,ag_crops_district_fsa_code,ag_crops_crop_type_code,ag_crops_acres_planted,ag_crops_acres_harvested,ag_crops_yield_per_acre,ag_crops_production_total_bushels,ag_crops_irrigation_share_pct,ag_crops_seed_variety_code,ag_crops_planting_date_median,ag_crops_harvest_date_median,ag_crops_growing_degree_days,ag_crops_soil_moisture_index,ag_crops_fertilizer_rate_lbs_acre,ag_crops_pesticide_application_rate,ag_crops_crop_insurance_coverage_pct,ag_crops_price_received_inr_unit,ag_crops_revenue_per_acre_inr,ag_crops_loss_due_to_weather_pct,ag_crops_practice_conservation_tillage_flag
2014,100518,SPICES,1288.17,1083.62,49.92,54094,36.45,OPV_69,2014-03-10,2014-06-05,3174,0.656,137.41,1.68,74.71,841.83,42024.15,53.01,0
2013,100519,MILLET,1460.25,1080.74,55.16,59614,33.12,HYB_21,2013-06-20,2013-10-08,3076,0.96,295.05,1.43,48.91,4368.09,240943.84,40.9,1
2022,100520,TEA,3643.67,3361.53,100.47,337733,13.14,HYB_03,2022-02-02,2022-05-12,1626,0.014,208.49,0.62,82.98,3893.59,391188.99,35.83,1
2025,100521,PULSES,1447.01,1048.77,56.04,58773,61.76,BT_66,2025-02-17,2025-06-20,1475,0.115,86.42,8.41,66.63,3889.94,217992.24,28.43,0
2013,100522,TEA,3074.95,2326.51,103.75,241375,62.89,OPV_30,2013-01-31,2013-05-04,1763,0.274,65.73,1.75,1.77,2237.43,232133.36,51.86,1
2026,100523,PULSES,3515.79,3494.83,32.84,114770,42.61,HYB_66,2026-04-20,2026-07-02,1530,0.269,91.36,4.21,41.81,3102.85,101897.59,2.85,1
2011,100524,SPICES,3736.54,2853.2,60.87,173674,90.85,HYB_56,2011-02-17,2011-06-21,3076,0.364,98.26,1.16,1.37,4772.73,290516.08,51.72,1
2021,100525,COFFEE,2667.87,2164.92,80.83,174990,21.0,DT_12,2021-01-28,2021-05-01,2311,0.602,21.9,11.62,88.4,6685.35,540376.84,11.58,1
2013,100526,WHEAT,4712.0,4173.43,41.77,174324,47.42,ORG_26,2013-05-17,2013-08-24,905,0.192,169.64,3.03,87.71,6944.76,290082.63,54.41,0
2021,100527,OILSEEDS,3167.83,2329.08,56.85,132408,48.28,HT_65,2021-01-06,2021-04-18,2238,0.697,47.39,0.55,56.62,6519.61,370639.83,41.63,0
2022,100528,OILSEEDS,3439.24,3305.37,116.81,386100,16.55,ORG_66,2022-04-09,2022-10-29,2670,0.401,88.73,2.21,16.0,2368.22,276631.78,41.8,0
2026,100529,OILSEEDS,2543.9,2330.65,36.99,86211,85.25,IR_91,2026-03-10,2026-09-27,1086,0.224,164.73,3.5,63.96,7582.73,280485.18,16.67,1
2011,100530,SPICES,4901.12,4885.73,31.52,153998,11.62,BT_45,2011-06-11,2012-01-11,3133,0.325,284.46,10.61,26.4,1762.0,55538.24,53.9,1
2011,100531,SPICES,4088.81,3872.84,32.56,126100,96.52,OPV_33,2011-01-05,2011-07-21,2378,0.868,282.31,7.0,72.26,5754.43,187364.24,56.74,1
2016,100532,OILSEEDS,1142.16,891.61,73.15,65221,80.77,ORG_51,2016-02-09,2016-08-01,1356,0.726,116.91,10.83,9.37,2106.9,154119.74,11.1,0
2016,100533,COFFEE,2478.07,2276.96,80.53,183364,2.1,OPV_23,2016-04-10,2016-11-11,1251,0.144,133.65,5.46,64.51,3698.03,297802.36,43.46,1
2010,100534,COFFEE,543.66,443.19,20.32,9006,1.36,ORG_83,2010-01-12,2010-04-15,1396,0.084,51.36,7.53,1.35,7757.8,157638.5,57.46,1
2020,100535,WHEAT,1051.49,887.59,71.04,63054,44.43,OPV_40,2020-03-25,2020-09-23,1171,0.056,210.69,7.53,12.31,6739.46,478771.24,6.17,1
2026,100536,SUGARCANE,752.08,732.26,10.69,7828,42.71,OPV_46,2026-06-17,2026-10-28,1342,0.879,121.58,10.61,82.28,1609.34,17203.84,10.17,1
2013,100537,PULSES,1818.67,1608.99,21.26,34207,92.33,HYB_06,2013-06-04,2013-09-10,1227,0.53,183.89,8.15,15.02,5604.37,119148.91,18.09,0
2021,100538,WHEAT,1391.91,1182.81,49.34,58360,26.54,BT_10,2021-01-01,2021-04-09,2667,0.147,52.86,5.36,79.69,7829.64,386314.44,48.88,1
2023,100539,PULSES,766.11,610.53,22.28,13603,76.75,IR_41,2023-05-07,2023-10-22,1955,0.973,184.51,7.64,13.82,7597.02,169261.61,55.3,1
2025,100540,TEA,2692.16,2314.56,100.0,231456,38.46,HT_92,2025-04-18,2025-10-29,2187,0.693,227.0,8.44,23.52,820.64,82064.0,59.63,1
2025,100541,MAIZE,4608.48,3308.3,47.13,155920,84.88,ORG_18,2025-03-17,2025-09-10,1146,0.853,291.83,10.96,24.25,6760.32,318613.88,3.35,1
2014,100542,SUGARCANE,3678.75,3343.38,55.57,185792,5.41,HYB_85,2014-05-29,2014-08-15,1944,0.594,55.87,1.76,14.13,2564.33,142499.82,0.75,0
2023,100543,MAIZE,3838.82,3228.18,23.69,76476,52.75,IR_61,2023-04-16,2023-09-09,1866,0.645,13.83,1.34,6.0,5425.67,128534.12,36.25,1
2015,100544,RICE,2012.13,1664.21,114.2,190053,45.43,BT_34,2015-05-27,2015-12-01,1534,0.227,280.12,3.26,9.19,3518.43,401804.71,57.06,0
2022,100545,COFFEE,327.18,267.53,100.12,26785,97.6,HT_10,2022-06-27,2022-12-23,1946,0.653,127.48,4.57,5.47,3474.64,347880.96,25.45,1
2013,100546,WHEAT,1845.37,1722.91,45.57,78513,23.95,OPV_70,2013-01-28,2013-04-14,1309,0.011,273.81,2.25,20.17,7490.25,341330.69,14.42,1
2011,100547,COFFEE,4933.15,4169.21,13.38,55784,9.32,IR_02,2011-04-02,2011-08-12,3101,0.5,101.2,4.69,35.58,1732.52,23181.12,40.48,1
2026,100548,WHEAT,2535.78,2364.66,10.65,25184,79.61,DT_76,2026-01-10,2026-05-24,1187,0.682,32.84,7.51,95.28,2467.3,26276.75,12.94,0
2014,100549,MAIZE,4967.41,4224.71,119.14,503332,60.87,HT_99,2014-03-29,2014-09-19,2685,0.339,114.49,10.27,43.09,7212.9,859344.91,46.45,1
2016,100550,COFFEE,3054.04,3015.57,71.49,215583,99.44,HYB_02,2016-02-06,2016-06-24,2113,0.969,236.62,1.05,9.41,3058.77,218671.47,56.04,1
2018,100551,COFFEE,1848.47,1343.41,28.07,37710,77.19,IR_61,2018-03-07,2018-08-27,2361,0.14,45.95,6.82,3.96,6984.82,196063.9,24.06,0
2014,100552,OILSEEDS,1865.32,1778.49,114.63,203868,37.37,BT_53,2014-05-10,2014-11-01,1431,0.876,207.94,7.45,64.39,6135.51,703313.51,14.69,0
2010,100553,MAIZE,4272.65,3363.42,25.72,86507,39.93,HYB_29,2010-04-10,2010-10-05,2406,0.349,145.86,6.42,81.83,1585.66,40783.18,10.82,1
2022,100554,SUGARCANE,1037.38,828.47,43.54,36072,99.64,DT_28,2022-06-29,2022-12-27,1074,0.455,168.07,11.38,14.55,2336.99,101752.54,34.09,0
2022,100555,RICE,4685.48,3787.97,56.17,212770,47.34,HYB_28,2022-01-06,2022-06-23,1448,0.636,34.24,0.83,40.51,2948.02,165590.28,42.73,0
2026,100556,MILLET,3364.74,2617.21,101.02,264391,9.24,DT_44,2026-03-18,2026-06-28,1277,0.942,149.67,6.43,78.39,7752.25,783132.29,26.21,0
2022,100557,RICE,2826.5,2736.43,30.24,82750,72.27,HT_79,2022-02-07,2022-06-29,2394,0.824,222.96,9.9,73.31,902.14,27280.71,53.79,0
2025,100558,COTTON,612.35,606.83,53.52,32478,52.07,HYB_58,2025-02-02,2025-07-27,2333,0.578,20.58,8.95,18.77,5814.41,311187.22,46.46,0
2016,100559,COTTON,1088.33,824.24,84.12,69335,95.51,IR_47,2016-01-05,2016-05-21,2952,0.502,261.65,8.39,64.89,4083.18,343477.1,24.62,1
2023,100560,TEA,4871.65,3900.96,111.75,435932,45.88,IR_23,2023-05-22,2023-12-20,1190,0.436,92.66,7.92,68.03,5365.57,599602.45,42.13,0
2013,100561,WHEAT,4039.4,2953.38,80.76,238515,61.63,DT_14,2013-05-08,2013-12-13,3025,0.1,138.79,6.97,3.26,2887.31,233179.16,25.24,1
2024,100562,TEA,1936.35,1469.05,60.59,89010,12.44,ORG_60,2024-04-15,2024-09-23,818,0.375,74.94,3.4,87.96,2704.39,163858.99,50.31,0
2023,100563,SPICES,1245.69,1208.39,54.43,65773,1.55,OPV_48,2023-05-13,2023-12-12,1562,0.17,175.93,5.16,55.57,3617.81,196917.4,36.98,1
2011,100564,COFFEE,2174.06,2134.53,51.73,110419,72.81,DT_41,2011-05-13,2011-08-21,1850,0.1,242.34,6.05,63.14,6446.83,333494.52,50.58,0
2018,100565,TEA,837.31,667.1,18.44,12301,2.56,HYB_81,2018-06-01,2018-09-08,867,0.708,276.97,0.95,38.24,6144.85,113311.03,7.83,0
2021,100566,MAIZE,1236.62,1198.75,41.26,49460,53.54,OPV_93,2021-04-07,2021-08-11,2382,0.275,281.14,7.53,63.84,4971.35,205117.9,6.21,0
2013,100567,WHEAT,752.09,585.58,28.23,16531,7.74,ORG_47,2013-02-23,2013-08-02,1042,0.795,129.99,5.84,62.57,2314.13,65327.89,25.19,0
2024,100568,MAIZE,940.04,660.89,28.01,18512,56.73,HT_05,2024-01-31,2024-06-26,3185,0.484,188.06,6.56,15.84,6140.22,171987.56,55.59,1
2010,100569,TEA,164.04,140.01,25.06,3509,86.69,HYB_28,2010-01-08,2010-05-31,1133,0.083,210.56,1.52,27.37,2234.51,55996.82,5.52,0
2019,100570,OILSEEDS,3738.71,3173.19,65.42,207590,39.99,OPV_33,2019-02-14,2019-06-04,2449,0.887,91.51,4.71,58.36,6318.43,413351.69,18.7,0
2025,100571,SUGARCANE,4420.14,3655.99,91.67,335145,81.59,HT_14,2025-06-05,2025-11-10,1830,0.567,118.45,7.59,6.43,2004.19,183724.1,2.03,0
2023,100572,PULSES,3039.22,2927.3,114.44,335000,53.05,DT_04,2023-01-30,2023-05-16,2742,0.429,63.92,2.94,21.52,3475.95,397787.72,8.7,1
2010,100573,COTTON,3457.05,3163.34,31.94,101037,56.75,IR_30,2010-05-24,2010-08-08,1725,0.602,162.91,1.24,27.8,5176.91,165350.51,53.0,0
2012,100574,COFFEE,4468.69,3693.48,92.69,342349,31.78,IR_26,2012-02-20,2012-05-02,2727,0.499,297.18,5.05,12.41,2032.21,188365.54,19.61,1
2010,100575,PULSES,138.29,129.3,72.48,9372,0.46,DT_37,2010-02-03,2010-07-16,889,0.533,162.98,4.05,1.63,4183.23,303200.51,49.79,1
2019,100576,PULSES,1620.09,1302.14,16.93,22045,77.46,DT_79,2019-01-13,2019-06-22,1516,0.984,153.07,7.69,91.05,6870.14,116311.47,56.26,1
2017,100577,RICE,4136.01,3067.35,119.28,365874,86.14,BT_56,2017-02-27,2017-06-10,1011,0.724,245.56,9.79,53.76,835.58,99667.98,41.29,1
2011,100578,WHEAT,287.62,227.59,37.54,8544,68.79,ORG_49,2011-03-11,2011-06-22,3020,0.583,44.77,3.83,14.8,5005.74,187915.48,51.01,0
2024,100579,SPICES,655.75,562.81,72.72,40928,66.13,IR_42,2024-05-03,2024-08-28,1020,0.766,216.3,4.24,83.55,2545.11,185080.4,38.83,0
2012,100580,WHEAT,4860.24,3490.04,9.47,33051,21.61,ORG_50,2012-02-18,2012-08-20,1051,0.209,181.25,6.33,85.85,6275.51,59429.08,18.71,0
2014,100581,TEA,573.02,423.47,110.67,46865,38.56,DT_80,2014-05-12,2014-08-31,2672,0.188,90.57,1.97,30.71,7062.79,781638.97,38.9,1
2013,100582,WHEAT,1240.78,1201.36,28.95,34779,2.86,BT_68,2013-04-26,2013-09-23,1437,0.927,34.38,5.18,15.06,4415.77,127836.54,30.48,1
2018,100583,COTTON,534.17,477.86,89.98,42998,42.26,IR_25,2018-04-14,2018-07-28,2226,0.53,153.15,5.2,68.12,5453.68,490722.13,57.54,1
2011,100584,RICE,2897.39,2235.71,67.6,151134,27.55,HT_90,2011-04-14,2011-09-21,1743,0.22,248.98,8.3,49.52,2031.41,137323.32,12.21,0
2019,100585,RICE,516.5,439.53,86.45,37997,47.68,IR_89,2019-03-03,2019-06-14,1556,0.069,64.33,10.8,14.18,891.69,77086.6,28.48,1
2015,100586,PULSES,4412.22,3314.54,93.15,308749,0.97,IR_61,2015-05-30,2015-07-29,1972,0.248,41.72,9.83,56.73,7930.97,738769.86,50.12,0
2015,100587,MAIZE,3887.52,2837.88,98.04,278226,33.57,DT_95,2015-03-31,2015-10-16,1418,0.486,115.64,0.16,35.26,5913.13,579723.27,53.48,0
2025,100588,WHEAT,1386.19,1186.29,79.66,94500,14.79,DT_29,2025-06-18,2025-09-22,1657,0.031,177.5,8.35,43.07,2285.41,182055.76,5.36,0
2022,100589,SPICES,584.26,456.99,78.21,35741,54.49,DT_68,2022-02-14,2022-06-21,2985,0.349,106.05,7.07,94.53,2788.98,218126.13,11.43,0
2020,100590,COFFEE,658.66,618.22,71.47,44184,79.25,IR_37,2020-01-29,2020-03-31,1997,0.686,145.23,1.8,96.67,5291.32,378170.64,39.86,1
2019,100591,WHEAT,4008.94,2825.01,12.59,35567,28.3,HT_16,2019-01-14,2019-07-18,1534,0.43,201.47,0.01,25.14,3321.57,41818.57,17.0,0
2014,100592,WHEAT,3580.33,2659.45,90.1,239616,43.21,HYB_38,2014-02-26,2014-05-05,1936,0.355,245.4,7.64,42.26,7761.73,699331.87,5.89,1
2019,100593,COFFEE,1588.14,1380.37,84.04,116006,32.25,HT_18,2019-06-24,2019-10-13,1400,0.416,67.86,3.66,29.73,7475.25,628220.01,27.67,1
2023,100594,WHEAT,736.12,612.87,43.09,26409,93.49,BT_46,2023-04-30,2023-09-27,1826,0.421,128.98,0.33,55.89,7693.94,331531.87,25.26,0
2019,100595,MILLET,2922.6,2372.96,77.54,183999,89.99,IR_07,2019-04-11,2019-07-12,1767,0.006,244.17,10.5,46.02,1191.29,92372.63,3.28,0
2013,100596,COTTON,2991.98,2832.15,71.33,202017,69.06,ORG_08,2013-02-01,2013-08-29,2419,0.739,25.38,2.46,14.42,6131.05,437327.8,29.72,1
2014,100597,PULSES,3159.79,2893.55,112.89,326653,80.56,HT_89,2014-02-21,2014-05-21,961,0.153,265.17,6.24,24.72,1545.97,174524.55,1.48,0
2022,100598,RICE,4633.92,3660.69,62.18,227622,18.4,OPV_70,2022-03-08,2022-10-10,2435,0.859,188.98,5.19,63.62,2130.62,132481.95,49.11,0
2015,100599,TEA,3721.24,3215.17,61.33,197186,29.0,BT_13,2015-05-31,2015-12-03,1682,0.275,121.89,9.6,46.4,6657.15,408283.01,8.89,1
2013,100600,COFFEE,1977.68,1728.81,11.82,20435,65.04,BT_80,2013-04-24,2013-07-03,2979,0.355,50.4,10.59,45.84,865.66,10232.1,9.5,0
2026,100601,MILLET,1776.73,1620.14,51.75,83842,6.28,BT_20,2026-04-01,2026-10-22,1614,0.715,238.14,3.34,76.26,2981.1,154271.92,23.64,0
2025,100602,SUGARCANE,4814.65,4245.33,28.2,119718,70.85,HT_85,2025-05-15,2025-09-18,1111,0.324,287.01,4.18,61.75,3707.17,104542.19,2.7,0
2015,100603,MILLET,527.88,386.34,112.63,43513,47.64,ORG_30,2015-03-02,2015-05-27,2960,0.174,268.82,9.07,42.01,1263.46,142303.5,36.71,1
2012,100604,OILSEEDS,3828.59,3376.66,102.16,344960,92.36,IR_14,2012-06-27,2012-12-19,1706,0.989,176.4,2.4,25.25,3950.11,403543.24,17.17,1
2015,100605,SUGARCANE,4078.5,3844.4,29.54,113564,58.21,BT_86,2015-01-25,2015-05-17,880,0.141,11.52,9.29,56.83,7024.34,207499.0,20.44,0
2026,100606,OILSEEDS,991.18,755.52,100.69,76073,50.09,IR_80,2026-05-24,2026-08-27,2724,0.439,191.39,10.49,56.92,1715.79,172762.9,31.03,1
2025,100607,MILLET,304.82,262.8,10.52,2765,82.13,IR_33,2025-04-10,2025-09-08,963,0.871,290.75,0.9,57.54,6943.01,73040.47,55.91,0
2022,100608,COFFEE,330.41,300.43,20.42,6135,47.1,IR_84,2022-01-08,2022-03-17,1611,0.261,107.02,9.18,13.93,4739.03,96770.99,44.03,0
2011,100609,MILLET,2493.1,2347.75,71.15,167042,61.0,ORG_98,2011-01-10,2011-06-07,3155,0.95,183.46,7.35,8.06,4770.26,339404.0,56.8,1
2011,100610,WHEAT,226.22,192.8,80.84,15586,43.15,IR_30,2011-01-06,2011-03-21,863,0.782,66.89,7.3,37.94,5721.88,462556.78,1.09,0
2022,100611,SUGARCANE,3492.43,2894.93,55.81,161566,13.78,DT_16,2022-06-07,2022-11-08,1644,0.343,276.24,2.86,9.2,872.36,48686.41,24.78,0
2011,100612,RICE,4372.62,3388.68,14.37,48695,5.67,DT_24,2011-03-14,2011-05-24,1554,0.602,268.22,11.98,12.97,3664.29,52655.85,39.45,0
2012,100613,PULSES,4694.93,3576.4,86.99,311111,81.34,ORG_29,2012-04-23,2012-09-07,3059,0.78,94.88,7.84,52.68,2726.25,237156.49,41.87,0
2011,100614,COTTON,4507.11,4108.91,77.65,319057,27.98,OPV_18,2011-05-14,2011-09-10,1532,0.553,45.6,8.7,78.79,1058.25,82173.11,14.11,1
2024,100615,WHEAT,155.38,147.75,38.27,5654,58.82,IR_11,2024-01-16,2024-05-26,2851,0.384,15.47,4.59,44.4,2416.03,92461.47,22.76,0
2011,100616,SPICES,1560.48,1345.86,46.95,63188,2.6,HT_97,2011-03-28,2011-08-02,2745,0.591,229.6,4.09,82.92,3925.35,184295.18,25.65,0
2011,100617,WHEAT,2788.81,2749.05,112.44,309103,28.74,HT_60,2011-04-19,2011-11-11,2526,0.769,85.43,11.52,46.73,7946.81,893539.32,14.29,0
2018,100618,SPICES,4757.29,3452.18,35.99,124244,54.28,IR_74,2018-04-12,2018-06-20,2277,0.362,201.18,9.39,81.03,5177.59,186341.46,7.46,0
2020,100619,PULSES,4245.58,3537.17,9.93,35124,0.89,HYB_46,2020-05-02,2020-11-20,1323,0.059,282.26,3.32,61.03,3060.99,30395.63,3.84,1
2018,100620,PULSES,4351.82,3212.37,78.6,252492,14.69,HT_84,2018-01-13,2018-05-12,1075,0.039,208.49,10.33,57.99,1102.08,86623.49,43.04,1
2018,100621,PULSES,129.78,123.74,103.13,12761,54.04,HYB_77,2018-03-02,2018-07-29,1062,0.507,42.82,0.93,20.4,4906.63,506020.75,49.75,0
2012,100622,SPICES,2161.05,1696.26,10.77,18269,60.7,IR_43,2012-04-14,2012-09-16,1930,0.974,190.36,1.92,4.46,7498.22,80755.83,54.71,1
2016,100623,COTTON,2578.44,2408.94,64.92,156388,58.15,IR_28,2016-04-06,2016-11-01,878,0.726,120.52,11.97,7.84,1356.64,88073.07,56.13,1
2026,100624,COFFEE,3170.11,2917.09,68.36,199412,12.12,HT_07,2026-06-05,2026-12-02,2382,0.52,101.91,2.34,57.52,7359.7,503109.09,19.72,0
2021,100625,MILLET,2306.31,2132.08,20.93,44624,24.1,BT_53,2021-04-03,2021-06-22,1645,0.506,275.24,7.84,60.52,4032.57,84401.69,25.13,0
2014,100626,TEA,1262.47,1228.11,83.5,102547,66.59,HT_34,2014-03-15,2014-08-09,1553,0.082,132.1,11.8,57.6,5354.93,447136.66,46.36,0
2024,100627,RICE,875.52,722.82,93.74,67757,71.14,DT_96,2024-01-26,2024-04-27,2887,0.834,16.94,2.0,7.3,4507.26,422510.55,31.76,1
2023,100628,COTTON,680.89,618.98,35.04,21689,29.34,IR_44,2023-06-01,2024-01-02,2280,0.994,23.12,8.86,35.5,4032.05,141283.03,24.53,1
2023,100629,PULSES,3800.42,3458.51,90.15,311785,72.37,HT_66,2023-01-22,2023-04-30,2949,0.594,117.26,7.79,37.94,3957.83,356798.37,30.52,0
2013,100630,MILLET,1521.88,1221.06,71.18,86915,89.73,HT_66,2013-04-20,2013-08-31,1575,0.319,61.74,1.72,81.4,6089.31,433437.09,59.35,1
2026,100631,PULSES,2896.93,2562.75,19.14,49051,28.48,HYB_37,2026-03-12,2026-09-12,1853,0.885,93.66,11.01,98.88,6224.98,119146.12,55.47,0
2014,100632,WHEAT,1073.87,1021.93,92.54,94569,2.74,HYB_70,2014-05-18,2014-09-04,816,0.833,17.48,2.44,94.18,4912.39,454592.57,43.93,0
2024,100633,PULSES,4594.08,4203.01,110.95,466324,11.99,DT_64,2024-03-08,2024-05-29,2875,0.993,222.17,1.4,35.37,1369.28,151921.62,47.6,0
2020,100634,MAIZE,2559.95,2004.01,78.63,157575,51.28,ORG_10,2020-06-29,2020-11-16,2941,0.038,39.13,8.46,52.13,2170.87,170695.51,33.49,0
2011,100635,SPICES,3155.06,2441.3,73.67,179851,87.21,OPV_87,2011-02-20,2011-06-27,1928,0.485,64.26,5.96,13.18,5370.36,395634.42,5.32,0
2016,100636,RICE,2199.88,1863.75,76.46,142502,71.0,HYB_54,2016-06-25,2016-10-30,2272,0.631,78.07,4.18,53.05,7671.21,586540.72,52.67,0
2019,100637,SPICES,2451.05,2301.59,51.93,119522,35.71,DT_38,2019-01-25,2019-05-21,1070,0.881,228.94,3.45,96.94,3142.86,163208.72,39.75,1
2024,100638,COTTON,3320.03,2670.21,52.59,140426,12.81,DT_63,2024-06-02,2024-11-14,2449,0.029,87.7,2.58,85.1,3744.84,196941.14,33.74,1
2020,100639,SUGARCANE,1987.32,1654.61,52.65,87115,91.24,IR_63,2020-02-26,2020-07-21,2327,0.046,139.81,2.66,87.56,4659.29,245311.62,46.77,1
2020,100640,MAIZE,3044.56,2149.39,88.89,191059,80.24,HYB_91,2020-03-26,2020-08-23,2640,0.553,199.93,6.22,36.21,2228.77,198115.37,9.42,0
2017,100641,PULSES,4016.36,3908.71,45.13,176400,21.56,BT_32,2017-01-04,2017-03-14,2829,0.755,162.7,6.02,79.13,1104.45,49843.83,16.99,1
2017,100642,RICE,1398.67,1030.95,95.81,98775,65.53,OPV_95,2017-03-11,2017-05-31,984,0.505,214.01,8.79,2.02,6147.09,588952.69,32.5,0
2013,100643,COFFEE,3973.47,3013.02,75.84,228507,31.22,IR_55,2013-05-12,2013-07-16,1525,0.459,38.91,11.63,57.62,3511.38,266303.06,25.77,1
2023,100644,TEA,1428.86,1122.12,86.72,97310,50.66,DT_03,2023-05-08,2023-10-15,3083,0.763,217.23,5.43,57.79,979.22,84917.96,46.27,1
2025,100645,COFFEE,589.29,467.41,24.1,11265,62.99,HYB_13,2025-05-24,2025-09-04,1298,0.942,182.09,1.01,40.32,6834.11,164702.05,31.4,0
2017,100646,RICE,3848.67,2985.06,42.88,127999,33.79,OPV_05,2017-03-24,2017-10-14,2237,0.871,87.76,2.51,56.24,4318.83,185191.43,29.99,0
2017,100647,COTTON,2333.79,1971.82,70.14,138303,73.97,BT_11,2017-01-27,2017-07-14,2478,0.376,229.5,1.95,74.81,1996.62,140042.93,26.26,0
2011,100648,SUGARCANE,2501.16,2220.65,66.75,148228,13.99,ORG_71,2011-04-18,2011-09-27,822,0.118,298.77,8.64,88.02,2751.97,183694.0,19.34,0
2015,100649,MAIZE,1486.47,1346.01,97.92,131801,95.2,IR_67,2015-06-04,2015-10-06,1933,0.211,105.75,8.96,99.62,7480.46,732486.64,9.85,0
2025,100650,RICE,1622.56,1223.03,60.7,74238,99.33,HYB_40,2025-06-29,2025-10-15,1278,0.094,142.99,1.14,62.5,5080.07,308360.25,4.01,0
2017,100651,COTTON,3162.67,3094.24,38.75,119902,82.08,ORG_55,2017-05-30,2017-10-15,1681,0.767,280.95,6.73,64.16,2258.63,87521.91,35.56,1
2016,100652,PULSES,932.71,810.62,22.19,17988,52.23,BT_99,2016-04-08,2016-08-30,2182,0.853,185.38,11.6,73.73,5234.39,116151.11,54.55,1
2010,100653,MILLET,4945.98,3597.71,97.98,352504,14.65,OPV_61,2010-01-01,2010-05-23,987,0.97,49.72,9.69,42.54,4196.16,411139.76,18.15,0
2017,100654,TEA,1996.57,1861.15,87.1,162106,35.5,ORG_67,2017-03-23,2017-10-04,988,0.605,72.03,1.99,63.38,2799.7,243853.87,8.57,1
2024,100655,OILSEEDS,3490.74,2705.89,21.47,58095,89.98,BT_45,2024-02-15,2024-04-21,2879,0.855,233.52,4.15,42.41,5242.21,112550.25,52.58,0
2016,100656,SUGARCANE,1902.32,1864.19,119.49,222752,19.58,IR_68,2016-02-19,2016-04-20,2207,0.328,274.2,10.99,50.28,893.56,106771.48,16.38,0
2025,100657,SUGARCANE,267.39,242.96,36.34,8829,62.53,HT_04,2025-05-01,2025-12-02,2317,0.49,147.3,10.5,75.06,6613.5,240334.59,2.29,1
2014,100658,MAIZE,4361.02,3224.95,54.99,177340,84.58,HYB_57,2014-06-13,2014-08-27,1554,0.858,90.47,10.23,65.51,6109.67,335970.75,19.96,0
2020,100659,MAIZE,4533.34,3971.45,113.76,451792,51.63,BT_52,2020-04-16,2020-06-30,956,0.825,155.44,8.75,8.4,3992.47,454183.39,16.53,1
2026,100660,SUGARCANE,906.19,837.36,101.84,85277,0.32,IR_72,2026-03-31,2026-06-29,1619,0.568,211.92,6.79,46.3,1637.08,166720.23,5.43,0
2015,100661,COTTON,2976.19,2945.62,93.87,276505,78.87,OPV_82,2015-04-06,2015-09-30,995,0.724,81.55,10.05,64.23,7290.65,684373.32,11.47,0
2014,100662,PULSES,314.01,286.31,27.94,8000,14.04,IR_53,2014-02-27,2014-06-15,1455,0.199,293.99,3.11,43.96,1465.37,40942.44,21.31,1
2026,100663,OILSEEDS,4156.03,3765.83,27.09,102016,94.97,HT_50,2026-02-09,2026-08-25,2165,0.994,135.82,7.75,68.2,2878.56,77980.19,20.53,0
2018,100664,WHEAT,2590.7,1977.27,32.44,64143,26.08,HYB_67,2018-06-18,2018-10-03,1941,0.467,103.67,6.77,65.83,7289.18,236461.0,19.34,1
2021,100665,RICE,835.81,704.29,45.71,32193,90.3,OPV_46,2021-03-20,2021-06-29,1920,0.186,16.31,9.71,45.64,4946.95,226125.08,26.1,1
2017,100666,PULSES,3630.69,3196.03,62.05,198314,40.12,HYB_30,2017-05-10,2017-08-05,1810,0.774,286.65,4.81,2.86,4487.87,278472.33,55.34,0
2026,100667,MILLET,4759.89,4142.99,23.63,97899,66.34,ORG_07,2026-01-24,2026-06-12,2703,0.141,110.37,4.75,46.06,5541.98,130956.99,12.02,1
2019,100668,WHEAT,963.74,922.62,56.89,52488,72.41,OPV_88,2019-05-23,2019-10-25,812,0.159,38.97,6.6,39.4,2329.94,132550.29,28.34,1
2024,100669,MILLET,3827.13,2789.01,22.39,62446,76.3,OPV_52,2024-03-24,2024-08-03,2767,0.73,133.13,4.73,7.17,4315.83,96631.43,44.43,0
2017,100670,COFFEE,931.89,718.07,48.58,34884,50.15,HYB_79,2017-06-03,2017-11-11,2995,0.646,50.04,2.26,21.12,3934.88,191156.47,20.38,0
2023,100671,MAIZE,1460.57,1191.89,99.98,119165,3.48,DT_23,2023-02-11,2023-07-22,2438,0.834,144.83,0.99,68.61,1530.12,152981.4,51.75,0
2010,100672,MAIZE,1629.18,1421.3,51.01,72501,45.47,DT_84,2010-06-21,2010-11-30,1814,0.055,133.24,8.9,11.6,6611.3,337242.41,54.49,0
2025,100673,COTTON,4228.63,4192.82,20.51,85995,17.88,DT_69,2025-04-09,2025-06-28,1161,0.337,280.91,7.08,19.76,6652.41,136440.93,43.66,0
2011,100674,OILSEEDS,1444.48,1063.81,62.84,66850,36.71,HT_88,2011-04-05,2011-08-07,1822,0.675,232.38,0.28,26.72,2911.33,182947.98,25.02,1
2019,100675,SPICES,226.29,165.98,89.97,14933,53.13,DT_32,2019-02-14,2019-05-06,2084,0.126,51.95,5.92,89.27,3286.78,295711.6,27.48,0
