energy_price_rate_effective_date,energy_price_utility_id,energy_price_tariff_code,energy_price_customer_class,energy_price_fixed_charge_usd,energy_price_energy_charge_cents_kwh,energy_price_demand_charge_usd_kw,energy_price_fuel_adjustment_cents_kwh,energy_price_riders_surcharges_usd,energy_price_bill_amount_avg_usd,energy_price_bill_amount_p95_usd,energy_price_arrears_rate_pct,energy_price_disconnection_rate_pct,energy_price_reconnection_rate_pct,energy_price_payment_plan_enrollment,energy_price_assistance_program_uptake,energy_price_net_metering_credit_rate,energy_price_time_variant_pricing_flag,energy_price_low_income_discount_flag,energy_price_regulatory_docket_id
2019-12-31,UTIL000366,C_GEN,RES,48.83,30.117,41.618,4.459,101.32,47.25,88.38,21.94,11.97,5.25,183971,36.95,2.898,0,0,DOCKET0000366
2020-01-07,UTIL000367,R_STD,IND,49.9,8.247,2.952,3.895,38.76,385.77,944.48,11.9,6.45,17.53,606031,14.09,12.484,1,1,DOCKET0000367
2020-01-14,UTIL000368,I_LARGE,OTHER,34.04,9.378,36.626,-4.967,99.85,293.19,414.51,1.56,5.58,13.29,475487,3.8,24.287,0,0,DOCKET0000368
2020-01-21,UTIL000369,SOLAR_RIDER,RES,14.39,16.637,43.336,-3.646,39.56,345.67,868.88,6.71,11.83,1.74,402476,21.4,13.102,0,0,DOCKET0000369
2020-01-28,UTIL000370,I_LARGE,RES,79.3,12.882,33.286,11.342,31.14,85.22,193.25,20.79,9.89,13.17,510647,66.5,9.95,0,1,DOCKET0000370
2020-02-04,UTIL000371,I_LARGE,GOV,62.37,11.931,40.602,-4.399,-11.7,274.06,577.74,8.16,0.97,7.37,513882,50.74,1.442,0,1,DOCKET0000371
2020-02-11,UTIL000372,R_LI,COM,40.48,30.502,6.469,1.596,87.74,366.53,443.46,14.6,5.71,0.86,817186,27.58,4.529,0,0,DOCKET0000372
2020-02-18,UTIL000373,SOLAR_RIDER,IND,34.65,7.335,17.486,-4.268,119.61,32.41,54.45,23.08,7.58,23.82,7494,4.73,23.938,0,0,DOCKET0000373
2020-02-25,UTIL000374,I_LARGE,RES,33.97,6.496,24.774,-0.997,111.15,373.91,750.36,1.06,4.58,19.4,133903,13.19,5.524,0,0,DOCKET0000374
2020-03-03,UTIL000375,R_LI,IND,0.79,6.017,32.081,8.788,7.2,173.86,411.08,5.59,10.79,1.25,286877,59.45,16.868,1,0,DOCKET0000375
2020-03-10,UTIL000376,I_LARGE,RES,15.99,28.884,21.2,-2.307,-22.2,134.51,276.33,11.61,10.8,10.16,348474,50.67,21.112,0,1,DOCKET0000376
2020-03-17,UTIL000377,R_TOU,IND,67.06,33.707,9.498,11.659,92.28,201.07,273.58,18.61,1.07,0.98,131674,9.89,3.003,1,0,DOCKET0000377
2020-03-24,UTIL000378,SOLAR_RIDER,COM,49.57,33.109,40.818,3.263,55.81,30.39,66.74,18.02,0.7,0.59,233500,60.62,14.089,1,0,DOCKET0000378
2020-03-31,UTIL000379,R_STD,RES,25.29,35.342,20.597,-3.68,32.71,339.1,590.25,11.06,11.66,15.61,313194,26.51,7.671,1,0,DOCKET0000379
2020-04-07,UTIL000380,SOLAR_RIDER,IND,78.76,14.095,17.369,10.74,49.28,203.79,362.59,16.48,7.02,22.52,533141,63.24,9.525,0,0,DOCKET0000380
2020-04-14,UTIL000381,C_GEN,RES,21.8,29.482,37.957,9.404,15.94,348.42,700.79,27.18,9.82,2.35,326815,52.18,28.402,0,1,DOCKET0000381
2020-04-21,UTIL000382,C_DEM,IND,33.89,11.418,21.035,9.792,33.92,417.26,1046.97,9.72,1.06,22.9,362570,12.75,9.65,0,0,DOCKET0000382
2020-04-28,UTIL000383,I_LARGE,GOV,15.21,25.333,28.876,-2.725,-18.22,288.9,688.56,23.29,0.0,9.22,742200,61.17,11.949,1,0,DOCKET0000383
2020-05-05,UTIL000384,R_TOU,COM,33.82,20.798,6.233,1.855,21.11,208.69,507.84,11.19,8.06,22.45,427365,60.07,25.642,1,1,DOCKET0000384
2020-05-12,UTIL000385,SOLAR_RIDER,RES,33.19,18.472,7.048,2.214,46.65,267.13,362.76,23.17,10.06,3.61,789782,41.38,26.536,0,0,DOCKET0000385
2020-05-19,UTIL000386,C_DEM,COM,42.43,35.744,23.871,-4.169,20.03,70.46,178.11,4.51,3.69,8.61,41905,66.28,27.209,1,1,DOCKET0000386
2020-05-26,UTIL000387,I_LARGE,IND,63.11,18.21,20.078,6.777,-17.05,207.57,350.35,5.48,2.33,3.23,251911,35.13,0.422,0,0,DOCKET0000387
2020-06-02,UTIL000388,C_DEM,COM,5.7,7.03,4.059,3.346,107.75,111.68,206.61,22.56,8.46,8.92,302144,26.18,12.504,1,0,DOCKET0000388
2020-06-09,UTIL000389,R_TOU,COM,63.42,24.56,26.787,-1.685,34.95,335.24,537.52,13.62,2.72,2.39,30840,3.04,13.552,1,0,DOCKET0000389
2020-06-16,UTIL000390,SOLAR_RIDER,GOV,51.42,12.344,29.727,-3.794,17.49,176.94,326.43,20.84,11.85,22.68,359491,30.75,0.897,0,0,DOCKET0000390
2020-06-23,UTIL000391,EV_TOU,IND,12.59,27.6,41.853,1.152,36.8,92.56,177.15,8.15,10.74,23.89,248768,42.2,8.011,1,1,DOCKET0000391
2020-06-30,UTIL000392,C_GEN,COM,30.43,20.183,13.487,11.027,52.05,52.53,81.34,15.39,2.56,22.54,193894,51.52,13.151,0,0,DOCKET0000392
2020-07-07,UTIL000393,C_DEM,RES,7.71,30.058,32.573,-0.327,62.16,93.81,203.66,17.69,0.85,23.1,817313,44.54,24.937,0,0,DOCKET0000393
2020-07-14,UTIL000394,C_DEM,RES,83.35,22.565,34.292,5.469,9.04,90.69,141.57,3.91,2.04,1.89,105302,59.98,6.706,1,0,DOCKET0000394
2020-07-21,UTIL000395,R_LI,RES,53.14,31.757,28.798,3.304,-5.36,290.63,413.29,2.18,6.79,18.24,134448,10.69,22.258,0,0,DOCKET0000395
2020-07-28,UTIL000396,C_GEN,RES,14.82,31.092,18.279,9.809,56.92,101.48,218.81,12.74,9.48,20.33,664473,14.08,26.376,0,0,DOCKET0000396
2020-08-04,UTIL000397,EV_TOU,IND,57.82,10.668,20.241,9.505,47.54,299.47,590.65,27.11,7.86,12.43,207346,24.9,24.169,0,0,DOCKET0000397
2020-08-11,UTIL000398,R_STD,IND,35.8,36.268,6.739,-3.194,70.03,55.49,127.63,16.03,10.91,18.9,471600,31.23,3.409,0,0,DOCKET0000398
2020-08-18,UTIL000399,R_STD,RES,84.5,32.839,13.057,-0.277,43.97,257.32,385.26,17.0,10.36,18.57,716505,74.89,14.984,0,0,DOCKET0000399
2020-08-25,UTIL000400,C_GEN,IND,60.44,12.31,28.549,2.212,87.91,387.89,806.93,12.39,4.39,14.85,836622,3.23,15.479,0,0,DOCKET0000400
2020-09-01,UTIL000401,EV_TOU,COM,27.82,9.801,41.552,-2.847,106.45,158.85,213.25,0.54,2.31,15.29,519013,59.71,0.593,0,1,DOCKET0000401
2020-09-08,UTIL000402,SOLAR_RIDER,RES,36.81,24.848,9.428,8.183,-12.51,272.87,392.91,20.17,3.5,3.95,344171,50.47,15.011,1,0,DOCKET0000402
2020-09-15,UTIL000403,C_GEN,COM,15.89,9.073,39.264,6.778,57.77,211.42,522.01,20.4,11.85,13.42,614708,66.7,24.636,0,1,DOCKET0000403
2020-09-22,UTIL000404,EV_TOU,RES,76.77,14.252,28.938,4.516,18.03,249.01,548.46,15.8,2.46,16.58,590279,53.14,19.955,1,0,DOCKET0000404
2020-09-29,UTIL000405,R_STD,RES,20.12,7.507,24.803,0.49,110.15,168.17,304.67,23.49,1.57,8.85,707200,66.38,8.565,1,1,DOCKET0000405
2020-10-06,UTIL000406,R_LI,RES,47.04,25.46,34.932,-0.857,39.38,222.42,428.41,9.13,9.67,4.24,472121,29.49,25.547,1,0,DOCKET0000406
2020-10-13,UTIL000407,EV_TOU,COM,60.08,25.022,40.051,8.447,78.35,392.52,706.06,19.39,2.67,0.64,271801,28.5,10.697,0,0,DOCKET0000407
2020-10-20,UTIL000408,R_STD,COM,15.48,6.588,1.999,-2.116,54.53,386.24,829.01,21.25,8.53,6.97,330613,46.68,15.6,1,0,DOCKET0000408
2020-10-27,UTIL000409,I_LARGE,COM,56.82,8.541,36.129,-3.485,-3.38,131.84,325.19,26.01,1.28,24.71,658581,22.96,0.189,0,0,DOCKET0000409
2020-11-03,UTIL000410,R_STD,COM,29.81,13.868,23.482,10.133,116.91,191.7,415.95,25.12,11.82,22.3,533487,23.02,29.681,0,1,DOCKET0000410
2020-11-10,UTIL000411,C_GEN,RES,62.0,37.141,40.2,-2.311,-13.24,382.41,684.27,0.67,9.04,8.05,67059,72.85,9.315,0,0,DOCKET0000411
2020-11-17,UTIL000412,R_TOU,RES,59.06,22.585,17.932,-4.63,88.55,253.62,400.01,24.67,9.07,0.1,274756,10.3,14.283,0,0,DOCKET0000412
2020-11-24,UTIL000413,R_STD,RES,29.9,24.019,37.363,4.229,66.12,211.59,532.81,14.65,3.91,16.62,79331,29.61,2.548,0,1,DOCKET0000413
2020-12-01,UTIL000414,R_STD,IND,29.09,21.269,25.7,4.925,92.95,208.06,502.75,7.3,6.32,22.6,494623,31.12,19.888,0,1,DOCKET0000414
2020-12-08,UTIL000415,EV_TOU,COM,55.05,23.797,9.007,7.084,90.67,138.94,290.53,4.98,5.65,10.04,104161,12.72,20.781,1,1,DOCKET0000415
2020-12-15,UTIL000416,C_DEM,COM,47.76,32.44,23.475,-4.608,-12.64,229.59,570.45,26.72,9.92,13.93,813064,59.25,14.039,0,0,DOCKET0000416
2020-12-22,UTIL000417,R_LI,COM,82.28,35.829,17.103,7.996,29.89,67.38,95.26,17.35,3.3,2.12,179951,2.64,15.306,0,1,DOCKET0000417
2020-12-29,UTIL000418,R_TOU,RES,15.47,29.797,35.921,-3.053,38.5,284.36,448.75,27.59,3.96,6.93,314247,43.97,5.338,0,0,DOCKET0000418
2021-01-05,UTIL000419,C_GEN,IND,72.62,8.98,27.047,10.914,15.37,110.85,183.52,10.0,1.88,13.98,369451,59.49,20.811,0,0,DOCKET0000419
2021-01-12,UTIL000420,EV_TOU,RES,1.89,30.683,44.369,7.351,34.46,318.21,502.39,21.72,10.9,10.24,82840,67.1,4.027,1,0,DOCKET0000420
2021-01-19,UTIL000421,I_LARGE,OTHER,26.93,10.817,22.274,-2.783,43.59,379.07,516.9,0.23,0.62,2.73,755394,73.0,9.681,0,0,DOCKET0000421
2021-01-26,UTIL000422,I_LARGE,RES,5.85,18.2,9.688,-0.231,107.56,368.42,761.48,5.49,8.75,11.86,846085,9.01,20.307,1,1,DOCKET0000422
2021-02-02,UTIL000423,I_LARGE,COM,21.33,22.741,25.783,2.129,46.45,169.0,314.1,15.48,6.17,10.16,777713,22.19,6.854,0,0,DOCKET0000423
2021-02-09,UTIL000424,SOLAR_RIDER,RES,37.12,20.08,39.306,7.702,-12.45,238.36,577.06,4.93,6.12,19.01,510117,33.83,15.534,0,1,DOCKET0000424
2021-02-16,UTIL000425,C_GEN,COM,13.18,8.762,25.105,5.308,87.15,319.19,710.35,21.91,1.05,2.58,441903,13.1,13.856,0,0,DOCKET0000425
2021-02-23,UTIL000426,R_STD,RES,76.35,6.726,4.726,5.511,30.02,40.73,85.92,24.6,11.54,20.79,232932,19.0,13.066,1,0,DOCKET0000426
2021-03-02,UTIL000427,R_STD,RES,44.11,23.02,43.003,8.904,1.86,103.37,202.89,7.91,3.39,9.06,282459,27.44,8.154,0,0,DOCKET0000427
2021-03-09,UTIL000428,R_LI,RES,78.91,32.113,20.169,9.221,24.83,83.03,161.28,3.69,10.64,24.42,704705,20.02,7.268,1,0,DOCKET0000428
2021-03-16,UTIL000429,R_STD,COM,2.89,34.942,4.013,3.606,66.34,156.08,286.56,9.71,9.72,24.58,636881,72.73,28.208,0,1,DOCKET0000429
2021-03-23,UTIL000430,R_LI,RES,44.78,16.769,44.519,9.921,72.89,412.71,808.27,23.47,2.57,11.05,634865,8.53,21.99,0,0,DOCKET0000430
2021-03-30,UTIL000431,C_GEN,RES,39.65,6.983,28.146,10.112,58.2,116.61,229.48,6.98,8.93,18.2,185032,40.01,0.81,1,0,DOCKET0000431
2021-04-06,UTIL000432,I_LARGE,RES,68.16,37.344,43.032,6.159,13.27,386.03,743.66,4.54,0.81,5.76,795987,11.02,1.821,1,1,DOCKET0000432
2021-04-13,UTIL000433,R_TOU,RES,53.86,19.502,39.021,8.564,65.23,401.94,758.83,0.13,11.03,13.89,751665,50.6,18.401,1,0,DOCKET0000433
2021-04-20,UTIL000434,EV_TOU,RES,32.25,28.091,23.375,-2.775,25.05,166.66,353.53,27.15,1.1,12.51,298092,71.39,10.636,0,1,DOCKET0000434
2021-04-27,UTIL000435,C_GEN,RES,61.41,37.804,44.88,-0.8,23.44,209.61,414.98,25.18,0.83,18.04,540646,45.99,25.136,1,0,DOCKET0000435
2021-05-04,UTIL000436,C_GEN,IND,47.79,20.105,37.722,11.73,55.22,217.74,551.19,4.15,5.33,8.0,742141,53.88,24.254,0,0,DOCKET0000436
2021-05-11,UTIL000437,C_DEM,COM,56.05,11.636,8.218,8.379,87.48,109.26,250.16,26.37,3.34,24.98,509995,64.16,17.31,0,1,DOCKET0000437
2021-05-18,UTIL000438,R_TOU,RES,75.43,31.349,41.137,10.619,3.96,55.44,128.83,10.77,0.44,0.19,418338,45.71,29.262,1,0,DOCKET0000438
2021-05-25,UTIL000439,C_GEN,GOV,27.31,24.951,3.688,6.659,97.02,31.54,73.83,13.44,1.45,9.95,477070,20.68,13.701,0,0,DOCKET0000439
2021-06-01,UTIL000440,R_LI,RES,28.09,33.744,16.772,4.494,96.7,178.08,437.53,14.86,5.52,12.12,43957,23.98,11.537,1,1,DOCKET0000440
2021-06-08,UTIL000441,I_LARGE,IND,72.13,36.129,1.217,-3.426,95.4,54.59,83.74,9.73,0.39,22.68,840015,36.64,16.529,1,1,DOCKET0000441
2021-06-15,UTIL000442,I_LARGE,RES,30.93,13.438,5.597,5.911,13.25,49.29,91.74,15.0,10.22,21.41,547374,27.09,14.298,0,0,DOCKET0000442
2021-06-22,UTIL000443,C_DEM,RES,47.86,25.386,9.509,9.347,33.27,298.68,591.07,4.66,1.39,11.66,223249,9.9,16.512,0,0,DOCKET0000443
2021-06-29,UTIL000444,C_DEM,RES,78.24,34.409,44.822,9.912,27.53,203.07,276.13,5.34,8.3,14.18,182702,17.39,3.499,1,0,DOCKET0000444
2021-07-06,UTIL000445,I_LARGE,RES,83.06,8.026,18.021,-4.31,-17.32,212.63,410.41,5.61,4.09,19.57,372617,28.01,25.709,0,0,DOCKET0000445
2021-07-13,UTIL000446,R_STD,IND,14.78,17.723,2.445,5.716,99.32,333.42,566.87,14.55,0.55,17.5,108051,54.45,17.824,1,0,DOCKET0000446
2021-07-20,UTIL000447,R_STD,RES,36.51,33.51,21.807,3.967,65.97,146.27,345.07,4.32,8.9,24.76,399487,39.37,19.546,1,1,DOCKET0000447
2021-07-27,UTIL000448,R_STD,COM,46.86,36.757,28.748,-4.913,-12.83,145.72,191.2,22.21,11.31,17.11,339902,61.9,26.144,1,0,DOCKET0000448
2021-08-03,UTIL000449,EV_TOU,RES,20.1,34.54,19.874,3.423,76.48,143.19,315.34,3.35,8.48,4.8,183357,18.81,0.218,1,0,DOCKET0000449
2021-08-10,UTIL000450,R_LI,RES,83.12,27.449,32.241,11.184,100.66,130.2,323.42,22.73,0.88,10.19,116798,40.43,25.428,1,1,DOCKET0000450
2021-08-17,UTIL000451,R_LI,IND,49.88,18.199,4.903,-4.963,105.25,412.74,868.99,22.92,4.07,16.12,7820,41.19,14.833,0,1,DOCKET0000451
2021-08-24,UTIL000452,C_GEN,IND,45.27,31.609,4.203,10.153,12.52,65.33,168.95,24.71,5.34,7.57,691637,29.97,7.235,0,0,DOCKET0000452
2021-08-31,UTIL000453,C_GEN,COM,38.82,35.005,1.939,9.055,77.76,412.46,946.65,4.61,1.13,1.85,295156,64.81,9.156,0,0,DOCKET0000453
2021-09-07,UTIL000454,C_GEN,RES,4.53,33.111,36.313,8.424,94.56,351.43,568.41,21.2,6.32,14.14,380484,50.6,1.448,0,0,DOCKET0000454
2021-09-14,UTIL000455,R_STD,RES,32.66,24.568,39.323,6.674,27.96,122.27,157.41,7.93,2.17,4.12,750992,16.86,13.345,0,1,DOCKET0000455
2021-09-21,UTIL000456,C_GEN,RES,25.18,24.897,24.128,-1.859,16.25,229.44,576.31,24.15,10.32,21.37,150673,38.53,12.73,0,0,DOCKET0000456
2021-09-28,UTIL000457,I_LARGE,RES,3.04,9.116,28.133,4.455,83.55,297.53,553.74,6.01,6.51,10.29,252276,16.63,0.792,0,0,DOCKET0000457
2021-10-05,UTIL000458,R_LI,RES,59.02,13.358,43.503,-1.905,-10.41,389.23,901.92,2.2,11.5,17.87,215593,18.28,0.518,0,1,DOCKET0000458
2021-10-12,UTIL000459,C_DEM,COM,78.74,15.378,10.148,4.63,-5.52,385.66,849.88,19.97,10.81,4.05,643962,64.43,23.952,0,0,DOCKET0000459
2021-10-19,UTIL000460,C_DEM,RES,69.74,26.343,30.148,10.549,46.65,153.43,357.86,8.97,0.59,6.27,480390,3.82,27.729,0,0,DOCKET0000460
2021-10-26,UTIL000461,R_LI,RES,53.35,33.622,17.977,-4.408,-5.05,240.06,525.66,5.95,7.1,20.78,516171,55.08,22.808,0,1,DOCKET0000461
2021-11-02,UTIL000462,R_LI,RES,32.67,27.396,21.645,-1.594,9.23,251.02,606.55,5.23,9.29,1.32,513231,31.37,20.654,0,0,DOCKET0000462
2021-11-09,UTIL000463,C_GEN,RES,0.48,8.49,35.713,5.406,25.07,211.4,414.55,21.03,0.68,16.64,785151,21.4,13.887,0,0,DOCKET0000463
2021-11-16,UTIL000464,EV_TOU,RES,57.21,21.687,3.553,9.218,6.93,41.28,56.72,26.51,2.17,3.83,459564,49.86,14.655,1,1,DOCKET0000464
2021-11-23,UTIL000465,EV_TOU,RES,81.96,23.971,3.772,2.686,92.9,347.06,854.15,14.18,11.17,11.29,210853,66.09,8.712,0,1,DOCKET0000465
2021-11-30,UTIL000466,C_GEN,RES,52.57,37.248,11.017,1.813,-4.63,90.92,208.14,6.46,7.0,23.7,691842,70.53,4.616,0,1,DOCKET0000466
2021-12-07,UTIL000467,C_DEM,IND,67.21,7.966,33.818,11.625,-0.37,53.89,75.59,11.06,7.91,1.89,446617,35.17,1.199,0,0,DOCKET0000467
2021-12-14,UTIL000468,C_DEM,IND,20.43,33.116,33.84,1.076,105.78,134.6,275.68,13.16,9.01,16.29,127498,14.58,0.427,1,1,DOCKET0000468
2021-12-21,UTIL000469,I_LARGE,RES,5.53,7.506,40.064,-4.545,27.05,177.03,269.7,10.67,1.69,23.89,701373,13.87,13.433,0,1,DOCKET0000469
2021-12-28,UTIL000470,I_LARGE,RES,64.24,11.317,11.914,1.965,44.64,216.61,394.4,17.24,5.63,20.1,292056,69.61,14.108,1,0,DOCKET0000470
2022-01-04,UTIL000471,EV_TOU,COM,57.51,10.431,21.803,5.621,11.06,186.37,432.58,27.67,10.22,4.56,265325,17.52,18.323,1,0,DOCKET0000471
2022-01-11,UTIL000472,C_GEN,IND,80.19,12.548,37.445,-1.959,-7.29,166.4,398.19,27.58,1.57,18.95,510786,57.1,4.603,0,0,DOCKET0000472
2022-01-18,UTIL000473,R_STD,RES,0.15,22.49,15.705,6.098,76.53,309.04,422.95,5.66,3.68,8.78,736207,23.36,2.622,0,0,DOCKET0000473
2022-01-25,UTIL000474,I_LARGE,COM,17.36,6.318,35.738,1.841,65.26,138.22,221.12,2.5,9.8,19.62,631623,67.01,24.377,0,0,DOCKET0000474
2022-02-01,UTIL000475,R_STD,RES,52.74,13.928,25.046,3.117,9.22,55.55,77.52,25.06,11.46,5.74,180062,27.48,12.27,0,0,DOCKET0000475
2022-02-08,UTIL000476,C_GEN,COM,51.78,31.159,20.66,8.763,56.21,325.79,760.6,0.24,1.88,17.97,204523,23.14,2.855,1,0,DOCKET0000476
2022-02-15,UTIL000477,R_LI,COM,58.98,25.445,35.484,6.61,7.97,290.81,428.32,16.91,5.58,14.06,829622,22.77,15.283,1,0,DOCKET0000477
2022-02-22,UTIL000478,I_LARGE,RES,17.8,31.758,18.654,2.579,82.22,178.56,272.55,18.08,2.37,12.0,576641,58.1,10.271,1,0,DOCKET0000478
2022-03-01,UTIL000479,I_LARGE,COM,14.6,33.065,26.264,2.106,-1.01,259.74,454.68,13.18,1.44,6.28,111229,31.37,8.005,0,0,DOCKET0000479
2022-03-08,UTIL000480,C_DEM,RES,14.08,17.984,10.332,11.256,-9.3,222.66,445.56,11.91,6.62,8.25,217799,49.05,13.26,1,0,DOCKET0000480
2022-03-15,UTIL000481,EV_TOU,RES,39.86,6.657,31.432,1.747,25.7,82.09,113.3,10.62,1.17,14.73,817131,56.78,20.379,0,0,DOCKET0000481
2022-03-22,UTIL000482,C_DEM,IND,26.44,7.828,20.04,3.392,54.97,315.24,460.85,9.59,9.24,20.9,71868,59.23,2.869,0,0,DOCKET0000482
2022-03-29,UTIL000483,R_LI,COM,73.23,13.2,2.063,10.516,23.59,170.67,406.07,13.91,6.2,1.64,689471,12.05,4.632,0,0,DOCKET0000483
2022-04-05,UTIL000484,C_DEM,RES,11.04,13.321,8.517,-0.111,92.66,240.0,524.54,10.85,9.12,19.24,612141,17.35,1.2,0,1,DOCKET0000484
2022-04-12,UTIL000485,EV_TOU,COM,11.09,28.727,38.947,9.25,72.6,355.55,682.67,20.26,9.48,10.76,824865,1.44,7.318,0,0,DOCKET0000485
2022-04-19,UTIL000486,R_TOU,RES,29.94,16.037,20.372,3.037,43.85,28.28,68.67,5.05,1.7,17.94,196376,51.07,4.059,0,0,DOCKET0000486
2022-04-26,UTIL000487,SOLAR_RIDER,RES,32.33,30.941,24.402,0.395,62.52,130.53,201.0,22.46,4.9,8.34,52570,65.95,22.848,0,0,DOCKET0000487
2022-05-03,UTIL000488,I_LARGE,COM,53.86,21.979,38.931,5.916,53.12,405.85,616.34,12.79,7.39,4.91,547056,15.44,29.58,1,0,DOCKET0000488
2022-05-10,UTIL000489,R_STD,COM,42.73,28.924,15.838,8.181,74.85,338.3,478.62,6.16,6.42,9.1,739134,5.01,22.878,1,0,DOCKET0000489
2022-05-17,UTIL000490,EV_TOU,GOV,65.74,10.924,42.959,10.033,93.35,235.22,496.7,14.79,4.67,5.47,453527,11.02,6.434,0,0,DOCKET0000490
2022-05-24,UTIL000491,EV_TOU,COM,59.39,27.114,27.01,-0.748,51.94,220.37,543.92,11.68,8.69,2.43,558875,1.1,26.505,1,1,DOCKET0000491
2022-05-31,UTIL000492,EV_TOU,RES,76.15,33.275,36.981,-1.79,87.87,150.09,255.96,2.52,3.18,17.71,577749,23.92,13.397,1,0,DOCKET0000492
2022-06-07,UTIL000493,I_LARGE,RES,58.23,8.797,17.395,5.028,74.74,413.35,1037.92,15.38,6.03,6.14,299531,19.65,7.307,0,0,DOCKET0000493
2022-06-14,UTIL000494,C_GEN,COM,55.53,36.841,29.494,4.996,73.33,213.41,344.82,6.03,6.0,11.86,402867,19.94,6.889,1,1,DOCKET0000494
2022-06-21,UTIL000495,C_GEN,COM,73.27,21.77,19.997,4.344,90.23,269.01,497.03,18.2,5.85,12.8,28724,56.44,10.166,1,0,DOCKET0000495
2022-06-28,UTIL000496,R_TOU,COM,53.41,28.285,33.997,2.863,3.82,378.09,772.22,22.65,10.98,23.87,620933,59.28,10.936,0,0,DOCKET0000496
2022-07-05,UTIL000497,R_TOU,RES,33.99,6.841,0.054,3.199,42.54,165.99,350.31,12.2,7.56,13.45,9182,19.35,26.286,0,0,DOCKET0000497
2022-07-12,UTIL000498,C_DEM,RES,38.02,23.735,44.481,7.285,32.09,129.35,194.16,25.06,7.83,20.74,402304,4.64,22.932,0,1,DOCKET0000498
2022-07-19,UTIL000499,EV_TOU,RES,15.46,25.546,18.42,1.836,-13.97,61.15,149.29,0.31,11.86,23.04,756141,3.49,18.059,1,1,DOCKET0000499
2022-07-26,UTIL000500,C_DEM,IND,29.51,33.594,25.518,5.101,41.85,238.19,395.51,13.01,0.7,21.17,392750,31.07,25.124,0,1,DOCKET0000500
2022-08-02,UTIL000501,R_LI,RES,40.86,22.207,42.523,6.529,63.15,234.95,371.42,5.38,0.57,17.99,200910,11.44,12.15,0,0,DOCKET0000501
2022-08-09,UTIL000502,I_LARGE,RES,76.51,26.157,6.266,7.696,63.13,328.98,689.83,17.64,4.66,1.09,613457,21.2,1.846,0,0,DOCKET0000502
2022-08-16,UTIL000503,SOLAR_RIDER,RES,46.18,36.066,21.022,1.413,109.65,79.46,175.06,8.86,11.04,19.46,488086,41.37,0.707,0,0,DOCKET0000503
2022-08-23,UTIL000504,C_GEN,IND,29.79,35.161,17.083,0.861,75.04,417.49,759.37,9.99,7.49,18.33,838605,33.44,7.728,0,0,DOCKET0000504
2022-08-30,UTIL000505,R_LI,IND,26.47,33.46,40.931,1.613,91.29,283.6,515.48,22.88,7.05,4.42,177777,74.69,5.606,0,1,DOCKET0000505
2022-09-06,UTIL000506,SOLAR_RIDER,COM,51.04,37.493,28.88,2.202,107.8,399.08,877.2,3.05,10.19,10.36,305334,3.55,15.802,1,1,DOCKET0000506
2022-09-13,UTIL000507,C_GEN,RES,37.75,16.85,24.709,1.634,-16.86,69.49,164.43,1.19,9.44,15.09,105358,45.09,18.277,0,0,DOCKET0000507
2022-09-20,UTIL000508,R_TOU,RES,66.51,34.393,33.985,4.548,14.44,67.64,101.06,26.33,6.73,9.51,310034,0.62,8.349,1,0,DOCKET0000508
2022-09-27,UTIL000509,SOLAR_RIDER,COM,24.95,19.817,8.26,-3.821,109.36,373.41,859.83,12.18,7.02,17.02,64564,19.55,29.468,0,0,DOCKET0000509
2022-10-04,UTIL000510,R_STD,RES,39.78,18.674,11.653,-2.319,104.62,402.07,536.42,23.76,10.63,1.01,633985,2.53,26.651,1,1,DOCKET0000510
2022-10-11,UTIL000511,C_GEN,COM,18.97,36.69,39.517,8.209,-13.97,293.96,756.75,6.03,11.04,4.63,827800,26.43,28.064,0,0,DOCKET0000511
2022-10-18,UTIL000512,R_STD,RES,81.64,36.292,38.716,0.837,77.93,411.98,1042.08,1.59,4.42,16.01,5713,46.98,4.012,0,0,DOCKET0000512
2022-10-25,UTIL000513,C_DEM,RES,34.26,31.493,9.5,-3.71,7.53,353.65,475.58,18.87,4.21,22.13,273217,54.95,24.596,0,1,DOCKET0000513
2022-11-01,UTIL000514,SOLAR_RIDER,RES,48.53,27.149,29.688,2.308,111.44,85.74,201.88,8.51,11.73,19.87,486963,10.91,29.161,0,1,DOCKET0000514
2022-11-08,UTIL000515,SOLAR_RIDER,RES,36.73,7.5,37.494,9.448,39.78,85.31,188.82,2.19,3.72,21.29,702098,41.92,9.329,1,0,DOCKET0000515
2022-11-15,UTIL000516,I_LARGE,RES,47.14,6.639,32.136,9.019,60.61,300.83,423.82,12.86,5.73,13.66,212743,31.08,24.237,0,0,DOCKET0000516
2022-11-22,UTIL000517,EV_TOU,RES,25.49,34.08,13.244,1.572,98.31,142.52,183.07,20.49,8.45,22.44,343490,11.78,28.906,0,0,DOCKET0000517
2022-11-29,UTIL000518,R_STD,COM,14.01,14.318,21.928,-4.779,-17.85,245.42,615.45,17.99,7.17,24.7,558889,34.12,13.42,0,0,DOCKET0000518
2022-12-06,UTIL000519,SOLAR_RIDER,RES,80.56,26.525,4.847,3.76,12.9,149.44,282.75,18.54,11.9,12.5,541312,24.9,30.0,1,0,DOCKET0000519
2022-12-13,UTIL000520,I_LARGE,RES,28.55,13.25,23.119,-3.045,-14.2,314.17,676.88,5.03,9.51,16.04,504925,54.36,26.851,1,1,DOCKET0000520
