imm_refugee_arrival_month,imm_refugee_resettlement_agency_id,imm_refugee_case_size,imm_refugee_nationality_code,imm_refugee_refugee_category_code,imm_refugee_special_immigrant_visa_flag,imm_refugee_screening_completed_flag,imm_refugee_medical_clearance_flag,imm_refugee_travel_loan_amount_usd,imm_refugee_initial_cash_assistance_usd,imm_refugee_housing_placement_days,imm_refugee_school_enrollment_within_30d,imm_refugee_employment_within_90d,imm_refugee_english_training_enrollment,imm_refugee_healthcare_linkage_within_30d,imm_refugee_trauma_services_referral_flag,imm_refugee_secondary_migration_within_1yr,imm_refugee_public_benefit_uptake_rate,imm_refugee_self_sufficiency_score,imm_refugee_followup_contact_count
2058-08,AGY0000512,6,GT,MEDICAL,1,1,1,1679.411,938.19,41,0.8401,0.2068,0.4674,0.4471,0,0,0.4317,20.96,7
2058-09,AGY0000513,6,MM,MEDICAL,0,1,1,4509.592,1693.42,9,0.9464,0.4808,0.2139,0.8728,0,0,0.0908,78.43,13
2058-10,AGY0000514,4,ER,P3,0,1,1,1346.173,109.35,25,0.4197,0.8916,0.5785,0.2697,1,0,0.1276,99.51,3
2058-11,AGY0000515,4,BY,USRAP_SPECIAL,0,1,0,2389.444,198.4,57,0.9014,0.0623,0.6147,0.2319,0,0,0.1598,5.33,16
2058-12,AGY0000516,2,ER,OTHER,0,1,1,4347.835,1868.43,67,0.7193,0.7079,0.3988,0.7879,0,0,0.5929,22.54,0
2059-01,AGY0000517,1,AF,P1,0,1,1,5724.966,1376.33,82,0.883,0.6477,0.0676,0.0826,0,0,0.9885,43.33,11
2059-02,AGY0000518,3,ER,MEDICAL,0,1,1,3290.997,507.0,31,0.1206,0.5292,0.5834,0.3897,1,0,0.1527,37.56,18
2059-03,AGY0000519,3,GT,FAMILY_REUNION,0,1,0,2550.098,2102.07,24,0.9341,0.77,0.3211,0.3819,1,0,0.1168,74.5,7
2059-04,AGY0000520,7,HN,P3,0,1,1,3984.209,1622.98,80,0.6433,0.7148,0.634,0.863,1,0,0.1804,10.46,1
2059-05,AGY0000521,5,SS,P1,0,1,0,5040.49,2097.85,19,0.5391,0.7928,0.0527,0.9326,1,1,0.7962,68.68,1
2059-06,AGY0000522,1,IQ,P2,0,1,1,4961.161,109.94,88,0.0163,0.5836,0.638,0.6327,1,0,0.1666,67.96,6
2059-07,AGY0000523,7,BY,P1,1,1,1,252.252,1963.49,89,0.7113,0.9699,0.6602,0.019,1,0,0.4256,18.72,10
2059-08,AGY0000524,5,GT,MEDICAL,0,1,1,1407.843,1742.94,25,0.5875,0.203,0.1407,0.424,0,0,0.1064,93.81,1
2059-09,AGY0000525,3,CM,SIV_REF,0,1,1,3566.874,217.2,81,0.9847,0.6792,0.675,0.7096,0,0,0.7963,96.06,4
2059-10,AGY0000526,8,ET,P3,0,1,1,5316.815,2079.88,48,0.4765,0.8104,0.8436,0.5872,0,0,0.4105,51.1,16
2059-11,AGY0000527,5,IQ,OTHER,0,1,1,5199.216,1179.11,5,0.2392,0.9287,0.3739,0.4901,0,0,0.548,5.69,10
2059-12,AGY0000528,4,ET,OTHER,0,1,0,2247.667,1058.35,13,0.8638,0.9457,0.8211,0.1833,1,0,0.0656,29.53,15
2060-01,AGY0000529,4,BY,FAMILY_REUNION,0,1,1,1388.448,785.83,22,0.6225,0.3099,0.1279,0.6068,0,0,0.9815,55.21,15
2060-02,AGY0000530,2,BY,P1,0,1,1,4676.239,1817.98,71,0.4479,0.4679,0.7169,0.3951,0,0,0.5447,40.93,17
2060-03,AGY0000531,7,CM,P1,0,1,1,1251.02,2484.46,85,0.1919,0.3181,0.0901,0.2387,0,0,0.7318,44.6,14
2060-04,AGY0000532,8,HN,P1,0,0,1,1155.521,1487.63,40,0.7603,0.4999,0.5125,0.9934,0,0,0.9388,56.72,0
2060-05,AGY0000533,5,ET,FAMILY_REUNION,0,1,1,65.382,1253.81,85,0.7344,0.2159,0.4159,0.075,0,0,0.2046,21.27,4
2060-06,AGY0000534,2,UA,P3,1,1,1,124.943,972.72,63,0.6282,0.7917,0.2094,0.8894,1,1,0.8523,86.01,8
2060-07,AGY0000535,1,ER,P2,0,1,1,2912.124,2457.92,18,0.7753,0.3594,0.3622,0.0479,0,1,0.8218,0.06,5
2060-08,AGY0000536,1,ER,P2,0,1,1,494.945,17.83,22,0.6155,0.0896,0.5042,0.3161,0,0,0.7625,30.6,20
2060-09,AGY0000537,8,BY,OTHER,1,1,1,4814.606,1689.66,16,0.3847,0.3013,0.538,0.1145,1,1,0.0836,10.91,10
2060-10,AGY0000538,6,SO,USRAP_SPECIAL,0,1,0,2285.377,1109.19,8,0.4278,0.1745,0.5703,0.6321,1,0,0.7951,66.39,8
2060-11,AGY0000539,4,IQ,USRAP_SPECIAL,0,1,1,5040.858,384.35,34,0.2228,0.4676,0.2499,0.1761,0,0,0.8955,77.64,9
2060-12,AGY0000540,3,SY,OTHER,0,1,1,2020.909,1068.82,54,0.488,0.5653,0.6113,0.9683,1,0,0.6996,80.91,1
2061-01,AGY0000541,2,CM,P3,0,1,1,3395.33,1374.31,35,0.2694,0.2024,0.7624,0.9638,1,1,0.4836,53.46,12
2061-02,AGY0000542,8,MM,P1,0,1,1,3268.221,766.32,16,0.4939,0.6384,0.623,0.8583,0,0,0.3803,22.4,11
2061-03,AGY0000543,2,SO,MEDICAL,0,1,0,727.562,18.6,56,0.6131,0.489,0.7389,0.2583,0,0,0.5776,80.1,8
2061-04,AGY0000544,3,IR,P1,0,0,1,1617.083,1986.03,56,0.2612,0.4102,0.2758,0.4489,0,0,0.83,27.35,6
2061-05,AGY0000545,6,HN,FAMILY_REUNION,0,1,1,3409.864,1539.26,22,0.611,0.0601,0.2281,0.3008,0,0,0.1235,92.68,11
2061-06,AGY0000546,1,HT,P1,0,0,1,5812.575,2342.11,6,0.2067,0.8634,0.0245,0.1161,0,0,0.1243,85.54,4
2061-07,AGY0000547,3,SV,FAMILY_REUNION,0,1,0,243.456,834.14,83,0.4601,0.8987,0.5768,0.2856,0,0,0.3004,12.41,16
2061-08,AGY0000548,4,IQ,P2,0,1,1,1341.667,1283.24,50,0.6195,0.1313,0.4038,0.5275,0,0,0.2441,40.84,6
2061-09,AGY0000549,3,SO,P3,0,1,1,2361.058,364.87,66,0.2069,0.7125,0.032,0.3322,0,0,0.3476,64.94,15
2061-10,AGY0000550,8,CD,P3,0,1,1,1215.809,357.99,4,0.4372,0.4305,0.8136,0.229,0,0,0.1459,62.16,11
2061-11,AGY0000551,8,HT,P1,0,0,1,4254.32,1373.14,65,0.9636,0.651,0.7638,0.7749,0,1,0.7777,94.19,2
2061-12,AGY0000552,5,SO,SIV_REF,0,1,1,539.201,2413.55,15,0.6493,0.8203,0.0495,0.608,1,1,0.1003,45.58,1
2062-01,AGY0000553,8,SS,USRAP_SPECIAL,0,1,1,2479.492,1057.35,27,0.4361,0.1042,0.6917,0.9452,0,0,0.3951,20.09,8
2062-02,AGY0000554,5,ER,FAMILY_REUNION,0,1,1,2677.633,1260.41,45,0.4349,0.5925,0.418,0.7295,0,0,0.5328,31.42,0
2062-03,AGY0000555,2,SD,USRAP_SPECIAL,0,1,1,5320.154,2406.91,25,0.8092,0.7437,0.5215,0.6369,1,0,0.7406,46.28,14
2062-04,AGY0000556,8,BY,P2,0,0,1,5837.855,837.31,27,0.901,0.5522,0.6023,0.8578,0,1,0.998,36.65,19
2062-05,AGY0000557,2,MM,P1,0,1,1,1969.476,1818.64,0,0.9364,0.1626,0.2373,0.1115,0,0,0.0312,11.83,16
2062-06,AGY0000558,2,SD,OTHER,0,1,1,4261.327,1130.49,5,0.1351,0.1912,0.5838,0.8903,0,1,0.1197,76.51,10
2062-07,AGY0000559,2,ET,P1,0,1,1,1115.878,2115.08,35,0.3405,0.1902,0.166,0.8847,0,0,0.8507,28.65,19
2062-08,AGY0000560,5,SS,OTHER,0,1,1,240.149,469.94,77,0.3576,0.4147,0.1727,0.2512,0,0,0.6087,38.69,12
2062-09,AGY0000561,8,SO,OTHER,1,1,1,3279.14,744.8,30,0.3943,0.47,0.5125,0.2385,0,0,0.3482,60.79,16
2062-10,AGY0000562,8,IQ,P2,0,1,1,5844.851,1638.81,73,0.7525,0.8777,0.8655,0.4364,0,0,0.3478,70.84,13
2062-11,AGY0000563,4,VE,MEDICAL,0,1,1,203.522,641.95,45,0.0351,0.1346,0.284,0.218,0,0,0.2357,70.64,18
2062-12,AGY0000564,7,IR,P3,0,1,1,4219.113,116.46,30,0.4707,0.579,0.0898,0.916,0,0,0.9582,86.32,20
2063-01,AGY0000565,2,SO,P2,0,1,0,247.394,1799.37,58,0.8064,0.3322,0.445,0.8125,0,0,0.7445,30.48,15
2063-02,AGY0000566,2,CD,P2,0,1,1,1096.655,1615.9,79,0.3819,0.3114,0.6851,0.9995,0,0,0.0975,60.23,13
2063-03,AGY0000567,3,IR,FAMILY_REUNION,0,1,1,379.856,917.04,84,0.984,0.7959,0.0179,0.5142,0,0,0.172,70.06,1
2063-04,AGY0000568,3,SD,SIV_REF,0,1,1,1758.367,2162.65,13,0.656,0.0694,0.872,0.8167,0,0,0.7671,61.74,6
2063-05,AGY0000569,8,HT,P1,0,1,1,5481.078,771.51,1,0.0845,0.9728,0.5548,0.034,0,0,0.2208,61.79,14
2063-06,AGY0000570,8,IQ,P2,0,1,1,4655.049,1633.73,37,0.7546,0.082,0.2777,0.5303,0,0,0.2305,62.04,6
2063-07,AGY0000571,8,BY,OTHER,0,1,1,5137.66,1993.07,82,0.3168,0.6738,0.8047,0.1612,0,0,0.3595,60.19,11
2063-08,AGY0000572,7,BY,P1,0,1,1,3665.111,2135.5,81,0.3821,0.8991,0.217,0.0363,1,0,0.1468,50.4,14
2063-09,AGY0000573,6,ER,P2,0,1,1,2465.422,1141.87,2,0.3944,0.7156,0.3942,0.8554,0,1,0.8379,15.07,7
2063-10,AGY0000574,8,SY,P1,0,1,1,1796.423,819.54,87,0.3699,0.7921,0.8432,0.3189,0,0,0.5068,97.09,13
2063-11,AGY0000575,8,HT,SIV_REF,0,1,1,1361.704,2393.15,86,0.0581,0.7456,0.6729,0.2856,0,0,0.8164,20.28,18
2063-12,AGY0000576,3,ET,OTHER,0,1,1,3963.755,1753.63,40,0.3452,0.5603,0.0275,0.565,0,0,0.8395,0.29,17
2064-01,AGY0000577,5,AF,P3,0,1,1,4064.106,1520.25,16,0.9521,0.0491,0.2515,0.8056,1,0,0.9388,15.7,19
2064-02,AGY0000578,4,ET,OTHER,0,1,1,1977.847,191.27,11,0.1891,0.2072,0.5002,0.6386,0,0,0.6296,72.96,4
2064-03,AGY0000579,7,SD,SIV_REF,1,1,1,3074.508,1125.97,40,0.1784,0.03,0.4173,0.5799,0,0,0.3034,71.32,1
2064-04,AGY0000580,5,AF,P2,0,1,1,783.759,2061.52,64,0.9613,0.2391,0.3814,0.6421,0,0,0.7524,84.55,18
2064-05,AGY0000581,4,MM,P1,0,0,1,248.59,816.7,29,0.8676,0.7008,0.517,0.0429,0,0,0.2992,28.32,13
2064-06,AGY0000582,5,IQ,P3,0,1,1,1208.981,1391.71,56,0.3513,0.6613,0.5646,0.7382,0,0,0.3917,28.66,16
2064-07,AGY0000583,2,ET,USRAP_SPECIAL,1,1,1,1284.412,2059.01,8,0.6386,0.6864,0.0417,0.2603,0,0,0.4455,52.97,4
2064-08,AGY0000584,2,VE,P3,0,1,1,1766.473,1463.53,11,0.1621,0.2183,0.908,0.282,1,0,0.7257,51.35,6
2064-09,AGY0000585,3,ER,SIV_REF,0,1,0,2383.444,1162.01,55,0.1301,0.0569,0.2065,0.4195,0,1,0.2983,39.65,1
2064-10,AGY0000586,7,ER,SIV_REF,0,1,1,2996.585,1672.2,45,0.964,0.976,0.5236,0.6666,0,0,0.1672,20.19,7
2064-11,AGY0000587,6,BY,P1,0,1,1,2325.606,892.95,23,0.9425,0.6689,0.9829,0.833,0,0,0.8272,85.27,0
2064-12,AGY0000588,7,CD,FAMILY_REUNION,0,1,1,1099.597,928.06,50,0.06,0.8929,0.0771,0.3955,0,0,0.9835,88.51,16
2065-01,AGY0000589,7,IQ,OTHER,0,1,1,2384.678,967.31,59,0.0099,0.7159,0.6356,0.7259,0,0,0.319,79.24,12
2065-02,AGY0000590,4,CD,P2,0,1,1,6.909,1694.38,1,0.1667,0.8809,0.8888,0.3175,0,0,0.7933,7.35,3
2065-03,AGY0000591,5,GT,P1,0,1,1,3274.29,2186.25,3,0.6121,0.3782,0.4933,0.1617,0,0,0.874,22.55,17
2065-04,AGY0000592,7,CD,P1,1,1,0,4324.141,2173.13,56,0.0015,0.7533,0.5242,0.4822,1,0,0.4227,81.48,4
2065-05,AGY0000593,5,SD,P3,0,1,1,1977.762,741.18,68,0.8677,0.5476,0.6164,0.9278,1,0,0.534,94.42,13
2065-06,AGY0000594,4,IR,P2,1,1,1,2627.463,2407.24,40,0.5604,0.7525,0.532,0.7402,0,0,0.9982,8.56,3
2065-07,AGY0000595,2,BY,P1,0,1,1,4237.144,961.06,54,0.5741,0.1394,0.2284,0.3945,0,0,0.3486,32.39,15
2065-08,AGY0000596,3,SY,USRAP_SPECIAL,0,0,0,3571.335,1874.71,7,0.8024,0.6539,0.3398,0.3333,1,1,0.8432,10.62,9
2065-09,AGY0000597,5,CM,P3,1,1,1,4419.516,471.3,57,0.2388,0.9232,0.4522,0.4778,1,1,0.4858,66.32,9
2065-10,AGY0000598,6,IR,P1,0,0,1,5678.667,1893.36,38,0.578,0.0578,0.8701,0.7871,0,0,0.3861,22.69,1
2065-11,AGY0000599,2,CD,P1,0,1,1,4953.498,971.43,81,0.7891,0.0698,0.0752,0.819,0,0,0.7823,23.78,10
2065-12,AGY0000600,7,SO,P1,0,1,1,4089.089,2381.28,47,0.2928,0.7628,0.8218,0.9064,0,0,0.3109,75.03,11
2066-01,AGY0000601,2,HN,OTHER,1,1,1,4074.84,1879.7,86,0.1086,0.1529,0.8603,0.2659,0,0,0.769,75.28,14
2066-02,AGY0000602,2,IR,FAMILY_REUNION,0,1,1,3305.321,42.59,79,0.2193,0.5842,0.783,0.2348,0,0,0.9217,19.75,5
2066-03,AGY0000603,8,AF,OTHER,1,1,1,959.762,1426.72,4,0.058,0.057,0.1457,0.9974,0,0,0.0111,72.32,13
2066-04,AGY0000604,6,YE,MEDICAL,0,1,1,4978.503,1417.28,35,0.4999,0.4178,0.7427,0.9897,1,0,0.2901,61.11,1
2066-05,AGY0000605,6,MM,P3,0,1,1,515.094,119.88,58,0.558,0.069,0.7077,0.5232,0,0,0.8821,2.61,19
2066-06,AGY0000606,4,MM,P1,0,1,1,5827.565,1919.01,65,0.7867,0.3831,0.1223,0.5577,0,0,0.6545,23.78,3
2066-07,AGY0000607,8,SS,P2,0,1,1,1846.416,1477.75,78,0.503,0.2775,0.2267,0.4265,0,0,0.549,63.53,2
2066-08,AGY0000608,4,BY,OTHER,1,1,1,4503.297,907.07,32,0.3321,0.9195,0.2512,0.4596,0,0,0.4736,29.82,16
2066-09,AGY0000609,1,VE,P3,0,1,1,4970.458,894.69,66,0.935,0.0617,0.9321,0.1285,1,0,0.8347,15.62,6
2066-10,AGY0000610,7,BY,P3,1,1,1,1928.349,1283.41,85,0.9159,0.0709,0.4358,0.4001,1,0,0.1119,65.32,3
2066-11,AGY0000611,8,HN,SIV_REF,0,0,1,5294.12,31.85,80,0.6027,0.1665,0.6926,0.4867,1,0,0.21,38.55,10
2066-12,AGY0000612,5,SV,P2,0,1,1,2761.571,1116.67,50,0.1835,0.5226,0.2639,0.7104,0,0,0.4498,22.14,15
2067-01,AGY0000613,1,IQ,SIV_REF,1,1,1,1308.442,1991.76,84,0.6486,0.5509,0.9928,0.0809,0,0,0.7289,73.5,12
2067-02,AGY0000614,4,AF,FAMILY_REUNION,0,1,1,5360.653,459.23,31,0.8657,0.0361,0.5973,0.1845,0,0,0.9958,70.79,12
2067-03,AGY0000615,2,SY,FAMILY_REUNION,0,1,1,222.004,1166.55,28,0.4928,0.496,0.4153,0.9558,0,0,0.3323,47.28,2
2067-04,AGY0000616,1,CD,P1,0,1,1,662.555,466.75,4,0.8258,0.6044,0.0242,0.5593,0,0,0.5783,11.6,4
2067-05,AGY0000617,6,HT,FAMILY_REUNION,0,1,0,236.086,1088.14,54,0.1829,0.9899,0.7528,0.6355,0,0,0.624,16.94,4
2067-06,AGY0000618,3,SD,MEDICAL,0,0,1,1161.707,1228.7,8,0.7749,0.9342,0.7124,0.5086,0,0,0.6446,65.91,3
2067-07,AGY0000619,8,SD,SIV_REF,0,1,1,1399.998,270.68,26,0.9271,0.108,0.4594,0.6916,0,0,0.4777,82.69,5
2067-08,AGY0000620,7,HN,P1,0,0,1,778.679,1266.46,63,0.4783,0.2847,0.0656,0.0647,0,1,0.4457,64.84,19
2067-09,AGY0000621,3,MM,P3,0,1,1,3660.79,1240.15,81,0.9733,0.959,0.6053,0.7659,0,1,0.0336,71.68,1
2067-10,AGY0000622,4,SS,USRAP_SPECIAL,0,1,1,5993.581,671.36,83,0.1009,0.9467,0.4973,0.4895,0,0,0.0048,46.44,11
2067-11,AGY0000623,4,YE,FAMILY_REUNION,0,1,0,5703.942,946.27,67,0.9785,0.5148,0.4975,0.732,0,0,0.1956,42.44,8
2067-12,AGY0000624,6,CM,P1,0,0,1,2229.473,1630.54,41,0.6114,0.8287,0.6062,0.9062,0,1,0.4762,76.26,3
2068-01,AGY0000625,4,IQ,P2,0,1,1,5570.584,1677.28,68,0.5482,0.6278,0.4108,0.2987,1,0,0.7935,23.33,3
2068-02,AGY0000626,7,MM,OTHER,1,1,1,991.125,1693.73,66,0.8241,0.011,0.094,0.451,1,0,0.1719,79.59,3
2068-03,AGY0000627,2,IR,P1,0,1,1,5755.996,1958.65,26,0.6208,0.9988,0.7882,0.2127,0,0,0.6017,49.94,8
2068-04,AGY0000628,3,SD,P3,0,1,0,4899.547,1647.24,36,0.906,0.7673,0.0869,0.1585,0,0,0.9324,4.52,14
2068-05,AGY0000629,3,HT,P2,1,0,1,5810.608,677.24,60,0.7835,0.5333,0.7275,0.8876,0,0,0.7961,76.15,5
2068-06,AGY0000630,3,HT,P3,0,1,1,5116.219,427.21,10,0.3167,0.3742,0.6414,0.7264,0,0,0.9199,75.6,6
2068-07,AGY0000631,2,GT,P3,0,1,1,5109.75,113.79,54,0.5115,0.4666,0.8452,0.1577,1,0,0.1622,19.27,18
2068-08,AGY0000632,8,HN,P1,0,1,1,2568.011,1254.67,77,0.9054,0.7391,0.5319,0.2711,0,1,0.8883,51.19,12
2068-09,AGY0000633,2,SS,USRAP_SPECIAL,0,1,1,2111.672,866.76,88,0.1471,0.3065,0.4213,0.1769,0,0,0.0789,75.41,2
2068-10,AGY0000634,7,HT,SIV_REF,0,1,1,907.913,622.64,29,0.1208,0.9862,0.3041,0.9548,0,0,0.5169,28.19,3
2068-11,AGY0000635,3,VE,P1,0,0,1,614.914,1091.45,53,0.9975,0.4214,0.24,0.2308,0,0,0.856,31.16,3
2068-12,AGY0000636,3,SV,P2,0,1,1,137.395,1500.54,78,0.7235,0.7254,0.0528,0.1641,0,0,0.4003,9.25,19
2069-01,AGY0000637,3,IR,P3,0,1,1,4560.326,865.17,64,0.8123,0.5859,0.534,0.8058,0,0,0.9994,59.23,5
2069-02,AGY0000638,4,ER,MEDICAL,0,1,1,1693.127,1895.8,81,0.5379,0.8851,0.8253,0.3722,1,0,0.7228,0.38,5
2069-03,AGY0000639,7,SD,P2,0,1,1,3944.498,1723.88,77,0.335,0.8771,0.9308,0.8913,0,0,0.5742,75.22,4
2069-04,AGY0000640,1,YE,P3,0,1,1,1671.899,1600.12,8,0.878,0.292,0.064,0.1772,0,0,0.9758,83.82,3
2069-05,AGY0000641,3,CM,P1,0,1,1,116.62,1981.95,26,0.5904,0.8921,0.7488,0.9768,1,0,0.541,77.46,10
2069-06,AGY0000642,6,SS,P1,0,1,1,4920.061,153.62,9,0.0843,0.9351,0.9089,0.0585,0,0,0.4245,53.99,16
2069-07,AGY0000643,3,CM,SIV_REF,0,0,1,723.972,2338.29,67,0.5685,0.9699,0.6778,0.5951,0,0,0.9925,4.89,13
2069-08,AGY0000644,5,UA,OTHER,0,1,1,3761.663,2026.74,44,0.3837,0.1847,0.5974,0.3445,0,0,0.1963,93.89,17
2069-09,AGY0000645,5,UA,P2,0,1,1,929.034,1351.65,27,0.2083,0.7219,0.4836,0.6648,0,1,0.951,37.18,13
2069-10,AGY0000646,2,IR,MEDICAL,1,0,1,788.715,1257.36,83,0.5724,0.6081,0.6498,0.2239,0,0,0.6687,5.38,4
2069-11,AGY0000647,4,IR,SIV_REF,0,0,0,2104.136,665.04,77,0.5688,0.1971,0.7113,0.1128,1,0,0.1469,79.19,7
2069-12,AGY0000648,4,HN,P3,0,1,1,1362.547,1321.29,52,0.694,0.4586,0.5226,0.8444,0,1,0.1693,65.07,4
2070-01,AGY0000649,3,IQ,P2,0,1,1,3395.568,1758.88,9,0.7078,0.2564,0.4297,0.7664,0,0,0.9635,62.52,4
2070-02,AGY0000650,8,IQ,MEDICAL,0,1,1,5056.149,292.73,12,0.5989,0.6526,0.7154,0.0857,1,0,0.2544,75.25,19
2070-03,AGY0000651,3,SO,USRAP_SPECIAL,0,1,0,946.97,476.55,47,0.973,0.3572,0.0788,0.4764,0,0,0.4093,52.09,0
2070-04,AGY0000652,7,HT,MEDICAL,0,1,1,4829.551,682.39,88,0.8084,0.9472,0.5253,0.4141,0,0,0.4888,19.42,7
2070-05,AGY0000653,8,HT,P1,0,1,1,2168.232,1953.35,10,0.0458,0.8429,0.7596,0.5509,1,0,0.9981,77.99,4
2070-06,AGY0000654,4,AF,P3,0,1,1,1981.673,2282.07,5,0.3349,0.0751,0.1344,0.8863,0,0,0.1091,77.36,15
2070-07,AGY0000655,1,YE,SIV_REF,1,1,1,1601.024,252.2,37,0.6805,0.1542,0.1726,0.4834,0,0,0.7597,14.17,3
2070-08,AGY0000656,3,VE,P1,1,1,1,2333.885,284.6,18,0.7614,0.4459,0.0662,0.4269,1,1,0.0427,51.29,8
2070-09,AGY0000657,2,SS,P1,0,1,1,4893.396,2315.74,7,0.9131,0.1221,0.5839,0.5871,0,0,0.7721,92.11,7
2070-10,AGY0000658,7,ET,P3,0,1,1,5319.577,1063.14,0,0.52,0.5042,0.0899,0.7357,1,1,0.8439,12.47,11
2070-11,AGY0000659,8,HN,USRAP_SPECIAL,0,1,1,4156.168,1450.67,2,0.6184,0.6425,0.1184,0.2445,0,0,0.6623,58.74,7
2070-12,AGY0000660,6,CM,P1,0,1,1,1281.989,2183.71,47,0.7186,0.2162,0.3905,0.3732,0,0,0.9225,28.87,11
2071-01,AGY0000661,8,YE,P3,0,1,1,1340.21,1273.43,6,0.3481,0.7701,0.2737,0.5224,0,0,0.4062,10.64,20
2071-02,AGY0000662,4,GT,FAMILY_REUNION,0,0,1,468.161,1085.23,86,0.6784,0.933,0.7351,0.6481,0,0,0.8627,8.34,13
2071-03,AGY0000663,6,HT,P2,0,1,1,1368.082,1113.98,12,0.0866,0.4784,0.359,0.2454,1,0,0.3518,43.01,15
2071-04,AGY0000664,3,HN,FAMILY_REUNION,0,1,1,3239.873,932.15,87,0.0891,0.9233,0.7134,0.3983,0,0,0.4259,0.98,6
2071-05,AGY0000665,7,SO,FAMILY_REUNION,0,1,1,3153.624,1781.45,40,0.4568,0.6031,0.4372,0.0024,0,1,0.1898,81.95,11
2071-06,AGY0000666,5,AF,P3,0,1,1,2597.035,807.43,86,0.1456,0.3813,0.0775,0.7527,0,0,0.464,38.85,1
2071-07,AGY0000667,3,CD,SIV_REF,0,1,1,263.356,25.04,37,0.5305,0.5571,0.6035,0.1128,0,0,0.8121,78.92,14
2071-08,AGY0000668,8,MM,MEDICAL,0,0,1,664.627,1798.24,35,0.0694,0.1608,0.3261,0.0607,0,0,0.7743,18.82,0
2071-09,AGY0000669,8,VE,SIV_REF,0,1,1,5519.598,1258.26,65,0.8186,0.5277,0.199,0.9188,0,0,0.9902,75.51,15
2071-10,AGY0000670,6,CD,P2,1,1,1,1293.759,2402.09,67,0.3906,0.0211,0.9458,0.7817,0,0,0.6675,18.81,7
2071-11,AGY0000671,4,SV,P1,0,1,1,807.08,123.51,86,0.0827,0.1118,0.5848,0.0287,0,0,0.389,74.61,8
2071-12,AGY0000672,7,UA,OTHER,0,1,0,2015.141,681.34,72,0.2488,0.7561,0.9026,0.5323,0,0,0.181,29.58,1
2072-01,AGY0000673,5,SO,USRAP_SPECIAL,0,1,1,688.782,1888.36,48,0.4017,0.3526,0.2671,0.3289,0,0,0.982,17.48,7
2072-02,AGY0000674,5,AF,P1,0,1,1,655.853,1158.87,3,0.8592,0.614,0.2819,0.4053,0,0,0.3674,90.09,16
2072-03,AGY0000675,5,BY,P2,1,1,1,2520.574,2375.73,2,0.2451,0.9248,0.4807,0.8567,0,0,0.9585,55.51,15
2072-04,AGY0000676,4,SS,P1,1,1,1,2602.485,302.43,0,0.2487,0.2978,0.7591,0.0466,1,0,0.4223,34.26,8
2072-05,AGY0000677,6,CD,SIV_REF,0,1,1,2867.746,1681.23,15,0.0258,0.034,0.2842,0.1318,0,0,0.5686,25.98,14
2072-06,AGY0000678,4,MM,P2,0,1,1,1965.247,899.13,86,0.5235,0.6865,0.0682,0.991,0,0,0.9776,86.97,18
2072-07,AGY0000679,7,CM,P2,0,0,1,444.468,353.64,31,0.1453,0.3586,0.0474,0.6088,0,1,0.5565,16.75,17
2072-08,AGY0000680,3,GT,MEDICAL,0,1,1,1713.719,1043.12,54,0.0322,0.118,0.4357,0.6277,0,1,0.6537,87.13,4
2072-09,AGY0000681,3,IR,P2,1,0,1,2382.37,199.86,66,0.1669,0.3903,0.534,0.5959,0,0,0.8546,30.45,8
2072-10,AGY0000682,7,UA,SIV_REF,0,1,1,310.261,576.7,58,0.8032,0.3374,0.1061,0.7385,0,0,0.9567,41.12,3
2072-11,AGY0000683,4,HT,P2,0,1,1,4732.762,102.07,82,0.9212,0.6229,0.4489,0.9754,0,0,0.4937,86.53,6
2072-12,AGY0000684,6,SY,FAMILY_REUNION,0,1,1,3945.543,1215.62,57,0.0848,0.41,0.403,0.1322,0,0,0.7334,37.7,18
2073-01,AGY0000685,6,CD,OTHER,0,1,1,3101.044,2489.19,14,0.2216,0.3519,0.8036,0.3708,0,1,0.0623,75.64,10
2073-02,AGY0000686,4,MM,P2,0,1,1,4817.445,1500.91,61,0.6091,0.7358,0.9544,0.6134,0,0,0.0637,38.13,15
2073-03,AGY0000687,2,IR,P1,0,1,1,1367.826,1778.63,60,0.8808,0.7286,0.1589,0.4358,1,0,0.7782,12.96,12
2073-04,AGY0000688,3,HN,P3,0,1,1,390.597,495.81,84,0.9872,0.3413,0.218,0.2,0,1,0.5664,0.67,14
2073-05,AGY0000689,3,SO,SIV_REF,1,1,1,2026.828,895.66,86,0.735,0.2066,0.9304,0.7518,0,1,0.4966,22.2,16
2073-06,AGY0000690,1,GT,USRAP_SPECIAL,0,1,1,4281.859,501.99,46,0.8772,0.7117,0.1977,0.0097,0,0,0.9139,23.05,14
2073-07,AGY0000691,6,IQ,P1,0,1,1,1850.42,1752.59,57,0.1394,0.1869,0.6991,0.3316,0,0,0.2434,43.5,0
2073-08,AGY0000692,2,HT,SIV_REF,1,1,1,1810.721,2187.35,86,0.3274,0.5039,0.7998,0.8568,0,0,0.3251,13.52,14
2073-09,AGY0000693,7,SY,P1,0,0,1,2051.432,1356.65,2,0.576,0.4755,0.8035,0.0831,1,0,0.0556,47.69,0
2073-10,AGY0000694,4,SV,USRAP_SPECIAL,0,1,1,4239.943,223.88,75,0.8575,0.6936,0.6976,0.0138,0,0,0.5485,56.81,9
