trans_transit_service_date,trans_transit_agency_gtfs_id,trans_transit_route_id,trans_transit_route_type,trans_transit_scheduled_trips_count,trans_transit_actual_trips_count,trans_transit_on_time_performance_pct,trans_transit_headway_minutes_avg,trans_transit_passenger_boardings,trans_transit_passenger_alightings,trans_transit_load_factor_peak,trans_transit_vehicle_km_traveled,trans_transit_vehicle_hours_traveled,trans_transit_revenue_km_traveled,trans_transit_farebox_revenue_inr,trans_transit_fare_evasion_estimate_pct,trans_transit_service_disruption_minutes,trans_transit_accessibility_compliance_pct,trans_transit_operator_absence_rate,trans_transit_customer_complaints_count
2022-09-02,IN-MUMBAI-MMRDA,R7282,METRO,123,112,73.05,12.92,75182,69905,0.738,2316.3,165.08,2258.8,993643,2.06,5,100.0,3.55,4
2023-08-18,IN-DELHI-DMRC,R4002,TRAM,255,242,64.88,10.19,34157,33539,1.043,2035.7,109.49,1924.9,283624,3.39,130,54.4,2.59,4
2023-11-04,IN-HYD-TSRTC,R4449,SUBURBAN_RAIL,346,340,79.5,20.53,465825,474658,0.766,1742.8,83.97,1671.2,9092145,1.36,226,90.84,3.12,7
2024-12-23,IN-MUMBAI-MMRDA,R4257,BUS,187,167,99.9,7.77,48977,47696,1.038,2629.6,203.42,2448.6,1157725,3.7,118,69.28,3.3,4
2024-02-20,IN-KOL-CTC,R2194,METRO,127,121,89.12,16.07,89573,87692,0.754,2823.6,145.95,2643.2,1997251,1.03,230,75.85,2.19,5
2022-11-02,IN-AHM-AMTS,R0806,TRAM,245,231,71.8,7.24,36065,33718,0.299,6043.0,227.63,5417.5,349959,1.07,225,74.5,2.32,3
2020-01-26,IN-CHN-MTC,R6960,METRO,278,275,87.75,4.2,385142,366930,0.905,3791.1,152.39,3377.6,7428437,1.42,217,71.7,0.34,12
2020-12-15,IN-PUNE-PMPML,R1730,BUS,372,350,74.56,12.64,196560,199178,1.198,4856.4,233.73,4630.1,1660654,5.55,86,79.27,0.27,6
2025-12-04,IN-DELHI-DTC,R6850,FERRY,47,42,77.14,14.67,7233,7326,0.911,351.3,22.52,313.7,99898,1.99,230,87.93,0.2,1
2019-07-24,IN-DELHI-DTC,R9618,BRT,299,288,84.44,19.65,186773,173826,0.662,5577.2,200.97,5403.8,2695773,2.9,196,56.64,3.69,10
2019-08-10,IN-MUMBAI-MMRDA,R9648,SUBURBAN_RAIL,193,177,94.7,9.58,165970,158056,0.576,3801.8,271.25,3503.7,3817299,4.47,59,99.36,3.25,7
2021-08-10,IN-DELHI-DMRC,R9125,BRT,364,357,85.34,19.71,147118,141048,0.803,3228.2,153.91,3127.8,1645058,4.67,102,89.91,4.24,4
2023-05-28,IN-MUMBAI-BEST,R8033,FERRY,116,97,75.71,16.86,1843,1712,0.725,1345.9,95.7,1273.7,36536,4.26,178,76.31,4.89,3
2024-10-14,IN-BLR-BMTC,R3626,SUBURBAN_RAIL,365,358,83.92,11.53,380395,377637,0.451,3681.6,147.09,3232.7,3665451,1.12,150,75.1,3.25,19
2022-09-08,IN-MUMBAI-MMRDA,R7518,FERRY,52,33,83.08,21.7,2812,2704,0.838,240.9,13.39,208.8,65618,1.1,95,93.95,4.14,0
2025-09-24,IN-HYD-TSRTC,R2412,FERRY,83,77,80.4,5.37,13180,12805,0.632,649.5,34.67,569.9,233156,0.53,212,76.66,3.04,3
2025-10-27,IN-MUMBAI-BEST,R6170,METRO,92,82,72.37,8.29,22178,21290,0.75,1510.5,56.91,1461.2,262377,2.94,125,70.66,4.19,3
2019-11-07,IN-MUMBAI-MMRDA,R4390,TRAM,241,226,89.45,13.96,80239,79116,1.151,2243.7,102.39,2116.4,1352907,4.13,168,84.72,1.79,4
2025-01-12,IN-MUMBAI-BEST,R2602,TRAM,260,252,70.62,9.57,29583,27276,1.387,5434.3,351.56,5130.5,571174,0.92,129,88.42,3.11,3
2025-01-10,IN-CHN-MTC,R8236,FERRY,269,264,77.3,18.11,37558,37378,1.395,3496.6,191.2,3089.3,436263,0.94,139,74.81,3.54,3
2026-01-30,IN-PUNE-PMPML,R8266,TRAM,191,171,91.91,9.93,87834,84530,1.088,3933.1,153.8,3605.8,750285,2.63,239,90.29,0.0,4
2019-12-14,IN-MUMBAI-MMRDA,R6246,METRO,125,105,84.84,13.36,13857,13368,0.827,2051.1,92.68,1911.6,166166,2.52,27,66.16,0.1,1
2022-03-03,IN-MUMBAI-BEST,R5266,BRT,41,17,98.74,14.62,13589,13117,0.466,115.9,6.93,105.1,131682,1.66,143,65.18,0.96,2
2024-08-14,IN-MUMBAI-MMRDA,R1829,FERRY,284,279,78.93,20.37,45204,43421,0.382,2649.3,220.19,2296.8,904808,1.12,239,75.43,5.4,1
2019-04-06,IN-MUMBAI-BEST,R6953,BRT,323,309,88.34,7.09,206580,195903,0.651,3276.1,206.59,2826.2,3006300,1.52,5,78.4,1.85,6
2021-12-17,IN-CHN-MTC,R8364,TRAM,17,9,76.55,10.79,6578,6226,0.67,94.4,5.93,85.0,79125,1.6,199,59.39,3.13,3
2019-06-27,IN-CHN-MTC,R0195,SUBURBAN_RAIL,144,133,58.91,13.02,36573,36297,0.953,3150.0,206.19,2942.6,348503,1.51,77,67.1,5.82,3
2023-03-21,IN-DELHI-DTC,R9051,SUBURBAN_RAIL,390,379,89.61,2.0,215143,217446,0.814,4189.3,167.49,3685.1,4329814,1.82,193,89.1,2.36,11
2023-10-21,IN-BLR-BMTC,R4090,TRAM,281,264,83.96,11.07,60310,57453,1.147,4423.3,213.35,3930.3,952525,3.23,158,100.0,6.16,3
2021-04-01,IN-KOL-CTC,R3690,METRO,199,176,87.67,5.87,174511,179207,0.848,907.2,49.87,806.5,1461449,0.75,99,96.28,3.86,6
2020-06-12,IN-CHN-MTC,R5460,BUS,361,339,55.65,11.5,259910,265160,0.732,4264.1,238.79,3862.5,4747470,3.83,34,75.34,3.21,5
2025-09-18,IN-MUMBAI-MMRDA,R4424,SUBURBAN_RAIL,396,378,87.25,14.61,107151,102097,0.51,8095.4,293.11,7218.7,1073479,0.04,229,89.67,4.46,7
2021-10-10,IN-HYD-TSRTC,R2065,TRAM,104,97,79.78,14.88,47029,46670,0.907,1302.4,89.67,1266.4,565757,2.79,133,93.35,5.4,3
2024-04-22,IN-AHM-AMTS,R3113,BUS,94,86,67.5,19.67,16388,16323,1.182,1393.0,61.04,1312.6,386856,3.92,94,59.65,4.79,2
2024-07-26,IN-PUNE-PMPML,R7412,SUBURBAN_RAIL,394,393,82.08,20.07,96355,92011,0.79,7106.2,330.06,6997.7,1360175,1.58,16,93.55,4.71,6
2025-08-09,IN-HYD-TSRTC,R5823,SUBURBAN_RAIL,333,326,75.83,12.84,82271,79367,0.785,8991.6,355.08,8517.2,1594871,0.17,92,47.77,0.51,6
2021-01-20,IN-CHN-MTC,R3416,BUS,349,334,91.53,16.83,254209,247061,1.047,2736.8,216.32,2583.6,3975132,2.38,110,100.0,3.85,5
2025-08-16,IN-MUMBAI-BEST,R7469,FERRY,156,148,69.47,8.26,23835,24425,0.994,3708.3,183.47,3268.0,434364,1.39,56,91.63,2.27,3
2022-08-18,IN-DELHI-DTC,R9629,METRO,132,131,94.48,16.84,18047,17026,0.894,2265.8,103.26,1999.0,339484,4.42,51,82.58,6.12,2
2020-12-04,IN-DELHI-DMRC,R4748,TRAM,253,229,76.17,12.89,53827,51856,0.464,5525.9,407.87,4830.6,679727,3.85,124,78.0,2.18,2
2026-01-05,IN-PUNE-PMPML,R0521,BRT,355,335,92.87,17.33,123437,116162,1.388,7838.1,506.71,7294.0,1034253,5.55,129,65.98,2.59,4
2021-10-17,IN-BLR-BMTC,R6325,TRAM,143,138,78.65,10.2,87705,84406,0.692,1822.0,112.78,1716.4,1440402,0.0,181,84.35,2.19,6
2023-08-22,IN-KOL-CTC,R1149,TRAM,273,251,85.29,11.01,183435,172480,0.999,5016.2,329.93,4835.6,2984103,3.87,228,82.31,0.0,5
2019-08-10,IN-MUMBAI-MMRDA,R4339,TRAM,139,125,85.33,9.62,80211,82491,0.852,1767.9,90.42,1743.4,1794123,0.97,194,90.9,2.91,1
2020-06-05,IN-PUNE-PMPML,R7919,TRAM,200,178,73.44,14.33,89019,87503,0.947,1396.4,67.94,1261.7,1537470,0.0,8,83.29,2.47,6
2019-05-08,IN-DELHI-DTC,R1777,BRT,114,104,72.5,2.0,44384,43212,0.523,2552.0,182.07,2359.5,454935,0.0,252,60.88,3.44,2
2019-06-19,IN-KOL-CTC,R8260,BUS,199,191,65.69,16.13,117610,118818,1.139,4974.1,381.15,4860.0,2540135,1.87,43,77.99,3.52,8
2023-11-25,IN-KOL-CTC,R5199,BUS,253,241,71.07,19.87,70329,70854,0.558,3942.0,207.38,3586.0,1516521,1.61,220,47.74,2.52,3
2021-05-12,IN-DELHI-DTC,R6605,BRT,286,284,86.07,15.39,147445,139287,1.198,1850.0,78.0,1577.2,3356755,2.41,55,78.44,2.71,4
2020-01-07,IN-KOL-CTC,R0434,METRO,408,402,67.01,10.75,416584,418718,1.286,11095.4,401.96,10570.3,8355435,1.61,175,76.36,1.01,10
2025-02-06,IN-CHN-MTC,R4512,BUS,85,72,96.91,4.3,67193,68480,0.389,609.0,26.8,524.7,856319,2.56,38,75.46,5.31,1
2020-06-15,IN-CHN-MTC,R3748,BRT,184,173,96.13,15.51,76814,75149,1.61,2982.7,132.05,2620.9,1342334,1.62,226,85.77,6.21,4
2021-01-23,IN-HYD-TSRTC,R9151,BRT,200,193,89.75,12.28,97687,92064,0.969,3691.4,190.95,3417.9,1954979,2.89,221,53.4,0.53,6
2022-05-19,IN-DELHI-DTC,R8851,TRAM,50,41,70.05,19.05,6621,6500,0.912,750.6,41.83,724.7,111735,0.0,141,65.7,3.65,1
2019-11-29,IN-PUNE-PMPML,R0582,METRO,191,177,67.46,14.03,192841,189407,0.938,1752.0,132.13,1716.4,2385616,0.87,21,100.0,3.18,4
2019-02-21,IN-CHN-MTC,R4450,SUBURBAN_RAIL,23,2,74.46,12.19,25399,25941,1.112,29.5,1.61,26.6,531757,4.2,108,77.36,0.81,2
2019-12-23,IN-DELHI-DTC,R5062,METRO,84,61,85.53,11.39,107691,107090,1.252,983.1,40.39,971.0,1373475,1.61,63,55.75,0.0,4
2024-01-04,IN-HYD-TSRTC,R2669,FERRY,304,282,83.45,12.31,8696,8562,0.903,7357.5,317.15,7252.4,201145,3.59,59,75.25,3.98,1
2022-01-03,IN-KOL-CTC,R7451,SUBURBAN_RAIL,211,189,68.64,4.86,60409,56278,0.938,3534.1,267.1,3188.1,993099,3.57,167,75.87,2.14,4
2024-12-10,IN-DELHI-DMRC,R6631,TRAM,164,151,85.3,2.52,76781,72050,0.906,3404.1,123.47,3126.6,1189992,3.11,236,68.55,5.16,3
2025-03-24,IN-CHN-MTC,R3734,TRAM,226,205,74.96,3.02,156041,156808,0.823,4555.6,349.49,4053.9,1406197,2.5,174,97.2,4.15,4
2020-12-17,IN-MUMBAI-MMRDA,R5966,SUBURBAN_RAIL,17,7,88.48,2.69,16242,16398,1.622,56.1,2.6,55.4,375559,2.66,109,71.03,6.1,0
2021-05-18,IN-CHN-MTC,R0398,TRAM,329,320,81.62,5.84,165561,158205,0.879,5047.5,250.13,4711.2,2434927,1.04,73,77.31,2.67,5
2023-03-31,IN-BLR-BMTC,R5636,TRAM,24,5,78.54,15.38,1491,1441,0.441,78.1,2.84,77.2,20500,0.11,219,86.28,5.72,1
2020-05-05,IN-HYD-TSRTC,R9721,TRAM,129,110,73.29,12.64,25959,26704,0.897,1442.7,53.22,1334.5,253348,4.13,5,82.43,3.61,1
2020-01-02,IN-HYD-TSRTC,R7301,TRAM,329,329,78.9,3.55,103885,104058,1.338,3511.7,183.98,3380.3,2310395,2.99,163,67.45,2.87,5
2026-01-03,IN-AHM-AMTS,R8057,FERRY,352,348,84.48,13.65,22950,21253,0.927,4473.8,322.05,4283.0,221858,0.82,141,69.78,4.53,2
2019-10-28,IN-CHN-MTC,R6567,METRO,348,324,95.62,4.01,459110,433326,0.981,7189.8,463.19,6111.9,6940970,3.07,85,91.07,4.84,11
2020-12-31,IN-BLR-BMTC,R1483,BUS,352,330,76.44,14.68,156626,154247,0.798,4500.9,167.49,4381.4,1507494,2.34,55,77.99,0.75,5
2021-01-14,IN-MUMBAI-MMRDA,R8533,BUS,248,225,72.99,8.16,18447,18975,0.682,2664.3,116.82,2528.5,160754,2.98,253,72.09,2.71,2
2023-09-04,IN-PUNE-PMPML,R1797,TRAM,269,245,97.69,12.99,157557,145616,0.481,1786.5,111.12,1594.0,3428389,0.6,145,74.03,2.96,6
2021-09-23,IN-DELHI-DMRC,R3135,BRT,286,272,88.84,16.0,74179,70492,1.135,6411.5,352.89,5599.4,1223999,1.63,226,84.33,5.01,3
2023-12-25,IN-AHM-AMTS,R4756,BUS,317,309,83.5,10.65,205198,190463,0.335,7073.5,285.02,6378.7,4119007,3.93,161,73.97,5.24,5
2019-06-07,IN-BLR-BMTC,R6012,SUBURBAN_RAIL,239,222,68.07,12.36,220178,208426,1.362,2275.4,92.18,2030.8,5022920,2.94,203,77.15,4.69,6
2021-08-30,IN-CHN-MTC,R5058,BUS,377,369,58.67,11.11,211712,208254,0.236,6820.7,462.86,5821.4,4898620,1.18,12,73.47,5.28,6
2019-01-03,IN-MUMBAI-BEST,R1801,BUS,43,19,91.13,19.48,28926,28214,0.912,526.7,34.12,510.2,275214,1.95,67,89.51,4.21,2
2022-07-23,IN-CHN-MTC,R8384,FERRY,59,43,67.56,2.0,13740,13001,0.909,284.8,22.69,281.3,282257,1.15,64,76.36,5.44,2
2023-06-02,IN-DELHI-DTC,R6545,BRT,385,382,85.96,13.08,29335,28450,1.026,8202.7,385.25,7002.5,427276,2.5,140,84.74,6.35,2
2021-02-14,IN-AHM-AMTS,R8053,BUS,278,267,81.52,16.25,141928,136548,1.17,3743.8,178.08,3322.6,2604208,4.87,90,76.99,3.42,9
2025-03-30,IN-PUNE-PMPML,R4241,METRO,52,33,79.82,10.91,20940,21480,0.324,523.3,20.47,497.3,477130,1.62,94,97.47,4.1,2
2019-11-18,IN-BLR-BMTC,R3460,SUBURBAN_RAIL,275,251,80.14,6.4,56901,52943,1.083,6772.8,420.38,6139.0,529815,2.57,83,55.83,2.54,3
2020-06-22,IN-MUMBAI-MMRDA,R4728,SUBURBAN_RAIL,384,383,88.9,19.78,222025,210573,1.342,4815.7,197.63,4709.9,4570446,5.13,253,72.78,3.71,9
2020-08-29,IN-PUNE-PMPML,R2688,TRAM,69,60,76.06,12.87,20998,19904,1.477,798.5,63.06,758.9,414576,3.23,90,80.12,0.65,2
2025-10-01,IN-KOL-CTC,R4909,BUS,133,116,85.56,14.4,66687,64227,1.498,1899.6,111.83,1670.8,667972,6.35,80,81.43,4.63,5
2022-09-05,IN-MUMBAI-MMRDA,R6652,METRO,339,327,84.8,25.38,104215,106959,1.048,7579.0,360.62,6872.6,2358107,3.32,64,77.23,4.01,4
2021-05-17,IN-AHM-AMTS,R4233,SUBURBAN_RAIL,77,61,74.69,5.69,56444,53195,1.2,1265.3,57.64,1224.5,641281,3.63,139,80.81,1.72,4
2019-05-12,IN-HYD-TSRTC,R3524,BRT,414,396,92.19,10.77,284000,291113,1.301,7749.7,279.69,6918.1,4967383,4.33,88,76.44,2.78,6
2023-03-02,IN-MUMBAI-BEST,R5491,BRT,376,362,76.61,2.68,79843,78840,1.741,6152.6,230.9,6086.1,1259412,1.49,234,91.65,4.73,2
2021-06-05,IN-BLR-BMTC,R4248,TRAM,401,399,80.3,4.78,228132,216035,1.128,2561.5,128.25,2442.5,3920093,2.51,144,93.2,3.91,7
2020-07-24,IN-CHN-MTC,R8981,BUS,161,161,76.27,13.34,86616,82130,1.033,2588.5,111.87,2386.1,731978,4.54,199,64.7,2.25,2
2023-09-18,IN-BLR-BMTC,R6114,FERRY,89,74,72.09,11.7,10877,10834,0.685,690.3,36.03,674.8,183796,2.86,172,58.37,3.61,1
2020-09-29,IN-CHN-MTC,R1929,BUS,186,178,78.84,14.37,9794,9677,0.623,1680.7,78.57,1480.6,79041,2.65,44,85.55,6.47,2
2020-09-24,IN-BLR-BMTC,R9433,TRAM,183,167,87.37,10.39,62659,60270,1.587,932.1,46.12,885.7,1356473,2.52,115,74.33,6.9,3
2021-03-06,IN-MUMBAI-BEST,R1380,BRT,373,373,81.56,16.51,262390,255291,0.94,9210.7,367.18,8233.6,3010449,0.0,8,86.62,0.0,5
2024-05-24,IN-DELHI-DMRC,R7344,SUBURBAN_RAIL,11,0,91.61,8.67,11340,10911,0.789,0.0,0.0,0.0,196796,0.22,104,71.7,3.25,1
2022-02-01,IN-DELHI-DTC,R0994,TRAM,407,407,83.97,2.16,85069,87193,0.591,4885.1,352.51,4544.6,1432747,2.22,107,73.02,1.98,3
2020-08-08,IN-KOL-CTC,R5329,SUBURBAN_RAIL,49,38,78.7,17.69,60876,58795,0.64,365.6,25.83,328.7,1137040,5.54,108,74.05,3.46,2
2022-03-04,IN-DELHI-DMRC,R2575,METRO,392,373,82.61,25.12,588754,594252,0.452,7527.0,527.33,6883.2,6783400,4.4,181,79.15,2.71,25
2024-10-21,IN-MUMBAI-BEST,R3202,FERRY,205,183,80.89,14.57,31961,31425,1.061,4016.8,153.3,3616.3,681532,1.93,204,75.85,4.17,1
2022-12-07,IN-AHM-AMTS,R4506,TRAM,45,28,87.73,7.75,32391,32558,1.34,403.3,27.34,369.3,442923,1.91,139,60.94,4.88,2
2021-08-30,IN-MUMBAI-BEST,R3570,METRO,370,370,76.87,13.19,625899,628782,1.219,7673.7,279.37,7041.9,5166461,4.93,214,84.05,3.81,13
2024-06-12,IN-CHN-MTC,R4392,BRT,110,96,71.53,11.06,16538,16614,1.435,2266.4,103.85,1993.3,236150,4.57,176,87.31,2.48,1
2020-01-29,IN-PUNE-PMPML,R1054,BUS,57,33,82.54,17.6,19450,19446,1.361,368.0,14.71,354.3,433950,1.38,113,87.4,2.77,2
2024-11-29,IN-DELHI-DTC,R4698,TRAM,358,339,82.28,10.5,93022,91273,0.905,5958.7,228.84,5871.0,1953175,0.95,22,70.66,3.82,2
2022-01-18,IN-CHN-MTC,R9941,TRAM,385,368,82.49,17.69,96036,95051,0.823,6440.4,394.0,6019.1,1717109,4.37,45,90.44,6.69,3
2021-03-23,IN-HYD-TSRTC,R2930,BRT,418,409,70.76,23.68,100848,99650,0.921,6306.4,313.76,5831.9,2347070,0.75,72,73.4,2.93,3
2019-06-09,IN-MUMBAI-BEST,R5900,SUBURBAN_RAIL,174,167,84.97,11.2,164026,166362,1.278,1228.9,49.55,1096.9,2856725,1.58,173,62.22,4.6,4
2021-03-07,IN-KOL-CTC,R6769,SUBURBAN_RAIL,144,135,77.05,11.36,127376,120916,0.856,3122.8,123.22,2912.5,1384045,2.15,208,92.89,2.62,4
2023-07-20,IN-HYD-TSRTC,R5522,TRAM,160,143,84.9,12.19,107454,99844,1.308,3225.2,195.08,3004.2,2570523,5.34,42,86.86,1.99,3
2022-04-22,IN-DELHI-DTC,R3388,TRAM,99,80,89.56,18.65,53212,52957,1.157,403.5,25.28,383.9,579435,1.61,223,76.5,2.82,1
2020-08-20,IN-DELHI-DMRC,R0876,BUS,110,87,88.76,6.68,44569,44902,1.08,509.4,18.7,480.0,1040194,2.48,159,73.28,3.54,2
2023-08-02,IN-KOL-CTC,R6185,BRT,104,86,84.54,8.91,10510,10260,0.732,1126.1,61.91,962.3,224397,3.56,196,62.98,0.05,2
2023-04-28,IN-MUMBAI-BEST,R6581,TRAM,171,168,83.52,22.31,49689,47985,1.451,4482.7,185.04,4122.1,933529,2.09,171,81.78,2.12,5
2019-08-05,IN-KOL-CTC,R0736,FERRY,297,273,76.1,5.39,19373,18925,1.275,6120.4,220.16,5279.9,400018,3.28,149,91.23,0.78,2
2023-06-16,IN-MUMBAI-BEST,R4197,FERRY,266,256,95.07,23.74,13752,13151,0.685,2551.4,102.07,2384.5,213661,3.87,130,88.27,3.48,3
2023-02-25,IN-BLR-BMTC,R6939,TRAM,234,228,85.2,7.96,15989,15190,0.894,3484.5,211.76,3365.7,205764,0.18,235,86.65,1.39,4
2025-09-23,IN-MUMBAI-MMRDA,R6399,METRO,297,295,86.66,2.0,201190,204013,0.466,5787.7,227.76,5294.4,1824805,4.02,74,77.83,1.79,5
2025-08-06,IN-HYD-TSRTC,R6339,SUBURBAN_RAIL,190,172,77.69,13.6,68318,69437,1.036,4140.3,243.27,3521.5,1157391,1.31,222,84.67,2.81,3
2019-09-15,IN-MUMBAI-BEST,R8471,BRT,119,104,90.57,3.85,83723,77570,0.766,2322.8,184.18,2259.0,1489619,0.53,11,80.95,1.5,4
2019-05-20,IN-MUMBAI-BEST,R5617,SUBURBAN_RAIL,245,228,79.06,11.21,63884,64404,0.974,3386.9,213.03,3282.7,791986,4.66,37,54.94,0.0,2
2022-05-18,IN-BLR-BMTC,R9429,BUS,327,318,70.23,12.0,129483,121673,1.2,5786.3,367.2,4943.4,1838012,0.08,132,93.6,2.52,10
2024-07-17,IN-CHN-MTC,R1261,SUBURBAN_RAIL,57,52,88.97,10.69,72708,71796,0.819,447.9,26.91,405.7,592079,2.25,176,81.75,0.0,3
2023-10-09,IN-PUNE-PMPML,R1897,METRO,69,62,93.14,20.22,16507,16747,0.984,1064.4,43.49,940.3,213054,2.58,63,77.96,2.03,3
2022-12-26,IN-HYD-TSRTC,R2178,SUBURBAN_RAIL,28,17,91.63,13.1,32349,29962,0.672,149.0,11.75,135.1,625396,1.04,127,93.64,2.39,2
2019-12-20,IN-BLR-BMTC,R3263,BRT,234,232,70.99,17.6,11400,11297,1.199,2420.3,124.27,2077.9,185717,4.46,193,73.89,6.16,2
2025-10-24,IN-CHN-MTC,R6081,SUBURBAN_RAIL,15,0,79.3,2.0,8652,8477,1.32,0.0,0.0,0.0,117871,3.53,201,53.48,5.03,3
2024-09-09,IN-MUMBAI-BEST,R6453,SUBURBAN_RAIL,400,397,93.52,19.9,274133,269289,0.618,5609.3,297.66,5536.5,5495119,0.03,248,51.32,3.94,6
2020-11-18,IN-BLR-BMTC,R1531,BUS,298,285,89.18,18.52,67840,66073,1.023,4760.3,391.01,4391.5,824494,3.45,134,100.0,1.81,3
2024-12-08,IN-DELHI-DMRC,R1599,FERRY,262,253,78.48,19.98,18081,17267,0.151,2335.6,156.03,2071.7,241084,3.66,96,79.06,4.39,3
2024-09-16,IN-MUMBAI-BEST,R2553,METRO,117,104,92.49,14.74,73881,74275,0.923,1863.8,142.57,1589.1,794405,2.91,184,88.93,0.76,3
2022-01-17,IN-HYD-TSRTC,R7571,BUS,45,25,79.81,13.2,10679,9909,1.199,443.7,17.19,388.9,244139,4.59,67,74.92,0.0,3
2024-03-17,IN-DELHI-DTC,R6910,BRT,339,319,79.65,2.12,157981,155046,1.207,7480.6,281.1,7370.3,2598057,1.13,189,94.92,1.31,3
2020-09-17,IN-DELHI-DTC,R6446,BRT,334,331,72.85,9.36,176687,178304,1.268,1787.0,68.64,1593.3,2870768,2.16,73,96.17,3.63,4
2023-08-28,IN-AHM-AMTS,R0085,TRAM,220,203,66.82,23.81,13763,13739,1.3,1861.0,85.31,1794.9,164914,0.0,175,99.16,1.83,1
2023-10-22,IN-KOL-CTC,R6370,SUBURBAN_RAIL,54,32,72.81,12.3,71937,67173,0.818,881.9,40.08,835.6,1661014,2.59,85,73.84,1.87,4
2021-03-30,IN-CHN-MTC,R4370,FERRY,234,231,84.5,11.29,43629,40216,0.242,1304.2,79.18,1172.2,948482,3.33,212,77.68,3.06,4
2021-03-24,IN-KOL-CTC,R6507,FERRY,207,189,81.56,4.34,3674,3741,0.679,4540.9,266.69,3976.7,59906,0.0,45,99.99,2.18,2
2023-06-16,IN-PUNE-PMPML,R1128,FERRY,213,207,66.67,16.11,21535,21582,0.805,2306.8,116.15,2110.9,329395,3.52,148,70.65,2.04,2
2024-08-23,IN-KOL-CTC,R9809,FERRY,181,177,78.98,5.17,10289,9782,0.535,4627.1,188.15,4319.5,137891,3.68,160,79.15,2.26,1
2021-03-31,IN-MUMBAI-MMRDA,R6506,BUS,140,122,83.58,16.82,100244,94893,0.942,3315.8,125.42,3144.3,2204274,2.82,234,62.06,3.29,4
2019-10-10,IN-DELHI-DMRC,R5482,BRT,115,91,82.25,17.99,31767,30293,0.939,883.9,43.82,806.0,729219,2.92,35,96.86,0.59,2
2020-02-27,IN-MUMBAI-MMRDA,R5480,BRT,135,123,93.82,12.51,76660,72872,1.469,2793.1,130.89,2611.6,1376932,2.29,160,67.06,0.0,3
2024-11-26,IN-PUNE-PMPML,R4464,TRAM,260,251,96.07,18.39,40437,38029,1.121,2890.2,240.56,2696.3,930297,1.39,158,70.51,4.75,2
2020-07-27,IN-BLR-BMTC,R7429,METRO,417,394,77.09,13.27,644288,608977,1.174,5768.6,222.61,5219.5,11933992,1.29,93,79.01,2.73,10
2021-01-04,IN-HYD-TSRTC,R8507,BRT,150,142,87.04,13.04,74790,69337,1.362,2723.7,106.82,2568.9,1470204,1.43,202,93.41,3.4,5
2019-07-15,IN-AHM-AMTS,R0972,BRT,417,405,85.15,16.27,156163,155957,1.068,9892.4,588.36,9352.8,1666662,0.0,247,85.88,3.37,6
2025-02-09,IN-PUNE-PMPML,R9889,METRO,319,301,80.58,7.55,352949,340275,1.411,7413.8,422.33,7229.7,4847595,3.2,154,76.72,8.02,12
2022-08-25,IN-MUMBAI-MMRDA,R0407,METRO,258,244,72.9,9.36,333647,340906,1.06,3516.5,197.26,3315.9,5334609,0.0,62,60.53,1.79,14
2021-03-19,IN-KOL-CTC,R0501,SUBURBAN_RAIL,193,184,75.64,2.58,113853,106287,0.88,2583.3,148.56,2303.3,1730074,5.41,228,79.17,2.45,3
2022-07-22,IN-KOL-CTC,R7035,SUBURBAN_RAIL,115,98,74.54,2.0,116159,106944,1.26,1084.5,48.68,1061.0,951944,1.47,175,84.36,6.18,3
2019-06-01,IN-DELHI-DMRC,R1057,METRO,330,309,90.57,16.37,70673,68041,1.442,7667.2,374.63,6609.7,1527007,2.98,9,66.14,1.12,4
2023-03-10,IN-MUMBAI-BEST,R8155,BRT,228,212,82.38,18.04,11524,10873,1.228,3379.5,121.75,3014.7,266969,3.57,64,85.21,0.45,3
2024-04-13,IN-HYD-TSRTC,R6776,TRAM,20,5,83.57,6.15,11105,10259,1.457,73.5,2.7,65.2,219241,2.11,80,70.58,2.02,1
2019-02-26,IN-PUNE-PMPML,R2459,TRAM,87,75,79.68,20.27,23266,23401,1.139,2012.1,131.99,1983.6,437156,5.9,253,77.86,4.2,1
2019-06-13,IN-KOL-CTC,R0751,SUBURBAN_RAIL,41,31,64.38,18.82,52249,49926,0.895,325.6,13.77,279.3,680318,3.27,140,82.04,5.83,4
2023-03-28,IN-HYD-TSRTC,R0182,TRAM,247,235,80.78,22.26,125202,119718,1.127,5356.2,238.62,4945.9,1026217,0.57,88,70.0,3.81,2
2023-11-04,IN-CHN-MTC,R4225,METRO,135,115,81.55,21.05,205171,202784,0.572,1332.2,51.86,1243.8,2710464,2.86,31,65.27,3.78,6
2021-04-16,IN-MUMBAI-MMRDA,R9642,METRO,384,361,57.61,18.23,138122,130167,1.115,4348.8,255.01,3835.1,2750181,1.02,113,79.42,4.88,3
2025-02-24,IN-DELHI-DTC,R8608,SUBURBAN_RAIL,361,353,76.14,5.76,92270,92747,0.571,4709.8,349.99,4361.0,1360224,4.53,251,84.22,0.84,5
2021-02-28,IN-BLR-BMTC,R2079,BUS,281,268,73.21,3.52,189497,175216,1.386,2759.4,123.66,2512.5,2208141,3.67,106,72.96,1.83,6
2021-06-12,IN-MUMBAI-MMRDA,R6002,FERRY,281,265,90.82,9.92,47542,46601,1.104,5980.6,342.71,5296.0,562571,2.09,85,89.39,1.01,2
