edu_res_reference_year,edu_res_country_iso2,edu_res_region_nuts_code,edu_res_school_level_code,edu_res_student_teacher_ratio,edu_res_teacher_salary_index,edu_res_school_infrastructure_index,edu_res_devices_per_100_students,edu_res_high_speed_internet_school_pct,edu_res_digital_learning_platform_usage_pct,edu_res_special_needs_support_staff_per_1k,edu_res_meals_programme_coverage_pct,edu_res_language_support_programmes_count,edu_res_dropout_prevention_programmes_count,edu_res_safety_incidents_count,edu_res_budget_per_student_eur,edu_res_r_and_r_rf_education_investment_eur,edu_res_data_source,edu_res_methodology_version,edu_res_data_extract_date
2006,SE,HR438,PRIMARY,21.52,102.38,118.53,69.57,78.08,29.71,19.0,18.77,45,67,403,15653.92,233895443.84,EURYDICE_EXPORT,RES_V3,2026-01-27
2007,CY,DE506,MIXED,12.54,92.4,113.86,26.28,53.92,14.96,14.44,29.33,174,39,12,15363.55,207070972.08,NATIONAL_EDU_MINISTRY,RES_V2,2025-08-04
2008,FR,EE13,UPPER_SECONDARY,19.38,97.83,115.53,110.34,29.9,26.56,4.99,30.71,238,30,696,5951.09,122522906.53,SCHOOL_CENSUS,RES_V1,2025-10-15
2009,IT,IT10,LOWER_SECONDARY,11.29,117.21,78.91,105.86,36.36,35.3,16.19,63.16,156,18,557,10842.73,247969950.37,RRF_MONITORING,RES_V3,2024-08-30
2010,NL,SK2,PRIMARY,20.95,132.46,118.64,41.93,43.95,54.77,7.79,64.57,16,46,635,9096.2,247697282.54,EURYDICE_EXPORT,RES_V2,2024-01-30
2011,SI,LV149,MIXED,19.46,108.5,77.26,82.18,54.38,31.05,10.21,85.09,15,135,16,14226.48,131552291.87,NATIONAL_EDU_MINISTRY,RES_V1,2025-07-01
2012,BG,MT273,UPPER_SECONDARY,20.74,105.8,72.52,82.62,56.32,40.17,16.04,37.27,160,2,275,13421.5,84851391.42,SCHOOL_CENSUS,RES_V3,2024-06-02
2013,EE,MT8,LOWER_SECONDARY,10.41,83.04,104.74,103.97,67.84,34.17,1.63,16.59,242,31,418,15274.8,38869914.94,RRF_MONITORING,RES_V2,2024-09-25
2014,HU,HU3,PRIMARY,9.7,97.84,73.62,64.4,75.37,26.25,6.33,18.27,195,15,551,4183.01,3333061.09,EURYDICE_EXPORT,RES_V1,2025-04-01
2015,LU,LU960,MIXED,15.14,137.2,106.6,111.39,36.22,67.46,10.18,25.26,253,199,320,8340.44,421976328.55,NATIONAL_EDU_MINISTRY,RES_V3,2024-01-06
2016,RO,LV1,UPPER_SECONDARY,12.38,87.52,111.56,125.86,51.84,47.22,12.96,28.78,216,21,559,2858.26,330933866.84,SCHOOL_CENSUS,RES_V2,2025-03-22
2017,AT,SE331,LOWER_SECONDARY,9.71,91.77,81.41,72.68,33.87,76.01,7.3,30.38,267,274,505,15299.65,210694409.55,RRF_MONITORING,RES_V1,2025-02-07
2018,CZ,PL33,PRIMARY,22.66,116.58,125.64,117.11,77.85,82.67,4.84,86.89,148,131,392,11122.86,372585310.41,EURYDICE_EXPORT,RES_V3,2025-09-20
2019,DE,CY99,MIXED,14.03,113.97,75.06,43.88,88.36,35.05,6.71,26.44,19,62,69,5215.71,176961241.59,NATIONAL_EDU_MINISTRY,RES_V2,2025-12-11
2020,LV,HU9,UPPER_SECONDARY,14.63,115.78,110.86,158.31,100.0,28.3,13.96,44.48,278,212,343,12420.05,337366589.91,SCHOOL_CENSUS,RES_V1,2025-02-21
2021,PL,ES85,LOWER_SECONDARY,17.29,96.42,108.9,162.83,46.3,63.12,16.52,80.49,178,24,199,10702.29,1434408853.69,RRF_MONITORING,RES_V3,2025-03-22
2022,ES,DK35,PRIMARY,18.2,120.8,130.82,85.02,95.4,63.87,1.98,50.52,127,197,511,2821.14,1175434014.58,EURYDICE_EXPORT,RES_V2,2025-04-12
2023,HR,CZ625,MIXED,16.72,113.28,120.35,49.89,41.93,68.89,1.45,74.27,213,282,592,4757.32,328877975.36,NATIONAL_EDU_MINISTRY,RES_V1,2024-09-11
2024,FI,MT464,UPPER_SECONDARY,13.21,91.3,129.88,34.77,97.29,84.64,4.24,44.19,118,103,810,10431.63,1827792672.92,SCHOOL_CENSUS,RES_V3,2024-11-28
2025,IE,NL563,LOWER_SECONDARY,12.39,98.8,99.45,63.41,47.05,61.63,3.02,44.13,57,241,248,6269.81,489053964.71,RRF_MONITORING,RES_V2,2025-10-04
2006,MT,IT910,PRIMARY,22.78,125.95,105.39,96.48,35.58,67.24,15.69,68.8,128,118,23,17054.63,53043103.5,EURYDICE_EXPORT,RES_V1,2025-02-17
2007,SK,CZ59,MIXED,12.51,105.83,91.0,56.07,40.21,69.2,6.37,15.69,163,155,587,3953.58,51470546.8,NATIONAL_EDU_MINISTRY,RES_V3,2024-01-09
2008,BE,IT5,UPPER_SECONDARY,13.9,102.04,107.81,104.99,35.94,48.19,1.17,65.65,77,200,1000,14199.6,92758666.07,SCHOOL_CENSUS,RES_V2,2025-06-14
2009,DK,FI8,LOWER_SECONDARY,13.18,115.54,87.5,128.54,56.0,74.4,6.81,63.02,221,184,443,8117.77,171747850.12,RRF_MONITORING,RES_V1,2024-11-01
2010,GR,DK88,PRIMARY,14.51,107.1,82.16,80.69,37.38,72.23,1.19,78.78,38,40,557,15478.77,65470937.15,EURYDICE_EXPORT,RES_V3,2026-02-05
2011,LT,LU2,MIXED,12.28,90.01,82.67,36.44,32.28,35.07,1.25,53.91,208,153,57,4384.35,416736963.13,NATIONAL_EDU_MINISTRY,RES_V2,2024-01-03
2012,PT,RO33,UPPER_SECONDARY,16.89,109.22,103.07,39.97,61.53,11.21,16.38,73.88,30,211,198,14403.41,46472944.24,SCHOOL_CENSUS,RES_V1,2024-01-06
2013,SE,LU97,LOWER_SECONDARY,19.55,113.68,102.93,54.42,67.43,72.08,13.29,35.24,106,9,490,6605.49,309748677.33,RRF_MONITORING,RES_V3,2024-05-14
2014,CY,PL622,PRIMARY,21.88,94.87,93.25,116.06,78.35,12.66,4.63,63.84,42,102,12,14410.74,397081873.23,EURYDICE_EXPORT,RES_V2,2024-01-16
2015,FR,CY82,MIXED,13.83,81.98,98.89,50.0,66.02,36.99,16.1,82.61,30,216,1024,9293.82,202368875.83,NATIONAL_EDU_MINISTRY,RES_V1,2025-10-07
2016,IT,LT380,UPPER_SECONDARY,10.23,116.91,92.43,48.28,44.34,36.76,15.41,50.57,317,254,1014,5843.46,217391216.79,SCHOOL_CENSUS,RES_V3,2025-06-29
2017,NL,PT763,LOWER_SECONDARY,10.73,137.4,96.84,40.7,74.93,35.18,13.01,74.84,272,276,139,16927.44,188282865.49,RRF_MONITORING,RES_V2,2025-08-15
2018,SI,IT824,PRIMARY,14.65,110.23,86.15,33.52,78.67,72.78,18.95,74.67,18,73,655,14690.99,269651574.43,EURYDICE_EXPORT,RES_V1,2024-01-28
2019,BG,ES31,MIXED,12.82,116.2,83.77,87.83,73.97,54.04,6.95,61.12,207,259,157,6371.85,309361517.0,NATIONAL_EDU_MINISTRY,RES_V3,2024-12-30
2020,EE,FI3,UPPER_SECONDARY,8.63,109.45,120.8,155.44,49.88,28.02,16.75,73.9,110,138,533,8742.0,286313733.71,SCHOOL_CENSUS,RES_V2,2025-02-28
2021,HU,BG49,LOWER_SECONDARY,20.49,87.32,96.22,120.49,50.81,62.23,5.92,51.68,37,195,715,7586.39,1238728120.04,RRF_MONITORING,RES_V1,2026-02-12
2022,LU,SK444,PRIMARY,15.14,124.93,95.79,68.33,100.0,48.29,15.68,58.46,281,69,130,16258.94,1487613921.95,EURYDICE_EXPORT,RES_V3,2026-02-02
2023,RO,DK75,MIXED,17.45,127.64,111.11,134.3,100.0,56.48,4.06,52.02,275,208,25,9250.54,1953922471.46,NATIONAL_EDU_MINISTRY,RES_V2,2025-03-22
2024,AT,RO852,UPPER_SECONDARY,9.53,103.87,127.93,103.46,51.21,71.87,4.11,63.83,331,137,393,9984.98,53986148.82,SCHOOL_CENSUS,RES_V1,2024-03-28
2025,CZ,FI597,LOWER_SECONDARY,20.88,126.01,92.24,79.71,66.72,43.17,11.58,87.24,60,273,415,11341.41,1364908098.54,RRF_MONITORING,RES_V3,2024-10-13
2006,DE,ES666,PRIMARY,21.93,101.67,90.87,123.61,37.46,35.57,14.35,50.62,72,16,521,2999.94,253851302.96,EURYDICE_EXPORT,RES_V2,2025-09-01
2007,LV,FR717,MIXED,13.39,99.14,112.81,59.75,54.01,38.61,4.1,35.53,240,71,780,7247.02,385438107.26,NATIONAL_EDU_MINISTRY,RES_V1,2024-06-17
2008,PL,LT47,UPPER_SECONDARY,11.93,89.56,109.29,43.19,40.4,45.67,2.25,44.85,232,196,392,7193.57,125134593.72,SCHOOL_CENSUS,RES_V3,2024-04-13
2009,ES,DK7,LOWER_SECONDARY,14.32,92.27,70.17,84.08,47.79,25.07,9.08,45.41,101,129,244,6027.13,241867127.58,RRF_MONITORING,RES_V2,2025-05-25
2010,HR,PT191,PRIMARY,15.48,124.62,101.85,135.57,48.61,41.17,12.85,25.12,45,75,563,12109.71,222525081.35,EURYDICE_EXPORT,RES_V1,2025-09-07
2011,FI,HR99,MIXED,15.13,96.17,77.92,57.36,38.51,74.22,6.01,19.47,233,114,396,9193.1,25232229.19,NATIONAL_EDU_MINISTRY,RES_V3,2024-12-14
2012,IE,SI875,UPPER_SECONDARY,20.72,127.77,91.34,129.72,37.98,18.33,8.52,15.64,74,120,149,11131.28,177282274.87,SCHOOL_CENSUS,RES_V2,2025-03-07
2013,MT,EE328,LOWER_SECONDARY,12.13,104.29,111.75,103.71,32.75,37.28,15.81,28.33,211,145,533,17626.16,141378062.06,RRF_MONITORING,RES_V1,2025-10-06
2014,SK,RO969,PRIMARY,15.51,108.21,70.57,132.84,44.6,12.43,19.27,42.06,113,128,529,10728.34,143158111.06,EURYDICE_EXPORT,RES_V3,2026-01-15
2015,BE,ES40,MIXED,9.31,109.24,83.62,110.53,31.36,45.97,14.55,48.5,194,194,970,15329.26,277898154.75,NATIONAL_EDU_MINISTRY,RES_V2,2025-01-20
2016,DK,PT82,UPPER_SECONDARY,9.23,120.17,123.18,105.72,29.97,52.85,12.79,57.57,341,56,875,17979.16,64664765.79,SCHOOL_CENSUS,RES_V1,2025-04-14
2017,GR,LU21,LOWER_SECONDARY,20.23,81.88,82.06,73.02,67.46,78.53,16.27,55.36,311,275,136,7307.91,275284942.26,RRF_MONITORING,RES_V3,2025-09-24
2018,LT,FI468,PRIMARY,20.84,111.53,108.02,45.69,80.08,26.91,16.05,74.16,158,186,341,12566.64,69251837.36,EURYDICE_EXPORT,RES_V2,2025-01-26
2019,PT,FR275,MIXED,18.75,80.99,115.63,22.75,96.01,28.81,11.56,40.11,84,98,594,16780.56,326576842.94,NATIONAL_EDU_MINISTRY,RES_V1,2025-03-07
2020,SE,MT510,UPPER_SECONDARY,15.13,113.04,108.97,129.7,48.21,67.56,8.42,70.34,320,158,209,17928.61,333088487.04,SCHOOL_CENSUS,RES_V3,2025-09-27
2021,CY,HR567,LOWER_SECONDARY,12.82,124.35,99.37,90.61,94.72,38.55,7.16,85.86,110,257,293,7691.6,1739811554.56,RRF_MONITORING,RES_V2,2025-03-16
2022,FR,SE79,PRIMARY,13.05,120.76,117.69,108.5,50.9,28.58,1.47,86.34,133,207,650,13296.92,1232005676.38,EURYDICE_EXPORT,RES_V1,2025-10-28
2023,IT,DE375,MIXED,19.95,92.45,116.42,145.03,100.0,19.46,16.75,51.26,364,216,832,4914.2,1519410556.76,NATIONAL_EDU_MINISTRY,RES_V3,2025-04-05
2024,NL,CY8,UPPER_SECONDARY,11.16,96.08,78.88,168.67,49.78,53.45,7.11,36.24,279,272,961,6167.46,1044531385.51,SCHOOL_CENSUS,RES_V2,2024-08-25
2025,SI,LU242,LOWER_SECONDARY,9.41,110.38,75.26,92.35,79.69,75.79,3.53,83.74,203,50,294,6708.1,1902102408.81,RRF_MONITORING,RES_V1,2024-02-27
2006,BG,BG252,PRIMARY,14.16,107.39,71.41,95.77,61.99,11.72,4.16,27.7,146,91,103,15103.16,116094936.14,EURYDICE_EXPORT,RES_V3,2024-02-25
2007,EE,MT93,MIXED,15.71,123.93,94.51,108.78,42.34,59.44,11.42,25.34,25,173,617,11514.59,264157324.91,NATIONAL_EDU_MINISTRY,RES_V2,2024-08-30
2008,HU,SK752,UPPER_SECONDARY,13.9,90.98,76.09,68.08,64.07,38.63,14.0,73.78,252,120,328,10468.29,265002337.07,SCHOOL_CENSUS,RES_V1,2026-02-21
2009,LU,GR892,LOWER_SECONDARY,17.38,126.76,112.69,23.35,54.17,67.58,4.59,42.57,175,69,132,15342.55,34497314.34,RRF_MONITORING,RES_V3,2024-04-08
2010,RO,EE419,PRIMARY,22.1,107.15,113.68,113.41,42.62,65.19,2.58,54.49,183,105,74,4731.51,266760226.95,EURYDICE_EXPORT,RES_V2,2025-02-23
2011,AT,IT55,MIXED,17.27,110.34,71.56,43.25,55.62,46.82,6.05,44.54,149,117,314,15128.65,176741465.21,NATIONAL_EDU_MINISTRY,RES_V1,2025-07-18
2012,CZ,SE75,UPPER_SECONDARY,17.9,111.8,112.26,119.01,78.91,23.96,6.33,36.05,0,194,991,6260.34,200359252.2,SCHOOL_CENSUS,RES_V3,2024-05-07
2013,DE,DK53,LOWER_SECONDARY,18.08,123.79,82.14,88.28,43.62,27.15,6.34,40.09,97,144,531,6997.05,239361756.65,RRF_MONITORING,RES_V2,2024-03-03
2014,LV,ES831,PRIMARY,15.35,114.51,75.73,124.87,58.79,56.15,15.98,76.76,74,103,390,12158.69,393702778.17,EURYDICE_EXPORT,RES_V1,2024-06-20
2015,PL,GR3,MIXED,20.13,119.87,69.91,133.93,82.97,75.65,10.67,21.01,52,117,718,15149.28,2612781.47,NATIONAL_EDU_MINISTRY,RES_V3,2024-06-21
2016,ES,LU18,UPPER_SECONDARY,10.33,104.29,130.97,63.44,57.7,58.14,4.21,37.46,6,272,680,13521.9,165777378.58,SCHOOL_CENSUS,RES_V2,2026-01-03
2017,HR,CZ603,LOWER_SECONDARY,8.78,82.29,84.73,42.27,72.14,66.2,5.74,33.3,269,149,286,14204.8,265923311.69,RRF_MONITORING,RES_V1,2024-05-22
2018,FI,EE467,PRIMARY,15.47,119.22,119.14,103.83,80.46,22.56,10.76,30.34,356,123,218,13256.97,82332219.95,EURYDICE_EXPORT,RES_V3,2025-05-30
2019,IE,FI9,MIXED,14.54,115.2,124.76,110.19,99.31,45.57,7.74,34.93,195,145,778,6754.33,221899901.81,NATIONAL_EDU_MINISTRY,RES_V2,2025-02-21
2020,MT,RO90,UPPER_SECONDARY,19.03,82.02,112.46,100.47,61.2,21.52,2.55,18.26,110,6,930,16276.54,307252599.17,SCHOOL_CENSUS,RES_V1,2024-05-21
2021,SK,LT317,LOWER_SECONDARY,12.15,119.86,109.19,174.56,96.99,76.54,5.18,37.95,271,135,218,5889.92,473644803.87,RRF_MONITORING,RES_V3,2024-11-14
2022,BE,MT68,PRIMARY,11.48,89.74,126.25,147.66,68.4,17.81,2.81,32.55,128,40,567,6801.43,1974845614.43,EURYDICE_EXPORT,RES_V2,2026-02-05
2023,DK,PL9,MIXED,14.64,139.39,82.48,167.98,65.98,12.32,7.62,19.04,187,155,1057,14864.68,1712585895.72,NATIONAL_EDU_MINISTRY,RES_V1,2026-02-01
2024,GR,PT9,UPPER_SECONDARY,14.12,123.82,124.16,129.29,88.9,25.47,10.8,33.94,365,213,915,12150.12,1770976974.83,SCHOOL_CENSUS,RES_V3,2025-05-16
2025,LT,RO188,LOWER_SECONDARY,16.0,107.74,93.93,177.94,39.49,46.97,14.11,43.59,140,137,504,10373.96,399668642.04,RRF_MONITORING,RES_V2,2024-09-11
2006,PT,AT569,PRIMARY,19.36,113.42,68.67,68.84,52.12,28.02,19.07,31.33,108,75,65,8699.33,333621366.7,EURYDICE_EXPORT,RES_V1,2024-02-17
2007,SE,HU55,MIXED,11.13,121.48,79.53,42.63,48.99,65.05,5.82,74.51,111,199,1054,7824.2,153720469.0,NATIONAL_EDU_MINISTRY,RES_V3,2024-04-29
2008,CY,RO6,UPPER_SECONDARY,11.91,90.11,83.23,48.55,37.99,17.29,1.5,63.7,227,177,734,2121.73,194050045.22,SCHOOL_CENSUS,RES_V2,2024-03-16
2009,FR,BE97,LOWER_SECONDARY,11.63,96.55,111.62,64.06,81.11,41.98,4.35,77.73,7,33,155,6957.96,267560418.32,RRF_MONITORING,RES_V1,2024-02-04
2010,IT,SK54,PRIMARY,15.47,121.77,92.46,33.64,63.75,38.56,11.42,86.82,149,216,114,15559.49,382140468.94,EURYDICE_EXPORT,RES_V3,2024-08-10
2011,NL,CZ188,MIXED,20.21,113.38,94.36,71.76,36.58,23.01,9.03,74.35,149,184,237,3118.39,234415062.68,NATIONAL_EDU_MINISTRY,RES_V2,2025-09-23
2012,SI,NL5,UPPER_SECONDARY,17.43,94.16,118.51,41.72,58.76,18.76,14.85,33.09,99,206,1006,5350.81,244220537.1,SCHOOL_CENSUS,RES_V1,2024-10-01
2013,BG,LU66,LOWER_SECONDARY,12.97,125.63,72.75,40.0,30.05,30.89,6.24,82.51,19,0,599,2819.53,354659491.79,RRF_MONITORING,RES_V3,2025-03-30
2014,EE,HR8,PRIMARY,12.73,97.42,70.72,61.84,38.91,36.01,1.74,47.31,193,203,525,15333.7,402561523.32,EURYDICE_EXPORT,RES_V2,2025-09-18
2015,HU,EE31,MIXED,16.5,123.97,83.14,70.55,52.16,52.37,7.38,65.55,35,206,380,2385.37,355561954.67,NATIONAL_EDU_MINISTRY,RES_V1,2025-10-08
2016,LU,SI794,UPPER_SECONDARY,16.8,123.52,90.84,56.04,57.75,35.45,8.79,39.93,91,192,106,12334.97,195444562.88,SCHOOL_CENSUS,RES_V3,2025-09-27
2017,RO,MT86,LOWER_SECONDARY,19.26,86.97,77.59,80.5,67.86,10.92,10.17,28.29,154,2,194,6811.33,255848268.01,RRF_MONITORING,RES_V2,2026-01-20
2018,AT,ES419,PRIMARY,19.38,117.03,128.35,43.82,86.59,9.97,16.89,40.35,54,121,398,16951.29,244671719.56,EURYDICE_EXPORT,RES_V1,2024-08-12
2019,CZ,BG7,MIXED,16.57,122.02,76.75,109.61,74.83,75.11,15.44,44.28,152,0,384,5805.61,110632116.06,NATIONAL_EDU_MINISTRY,RES_V3,2025-03-24
2020,DE,SK75,UPPER_SECONDARY,19.99,86.68,131.21,35.87,94.07,32.8,0.95,37.59,80,35,693,6656.57,22014086.73,SCHOOL_CENSUS,RES_V2,2025-05-15
2021,LV,LV6,LOWER_SECONDARY,16.23,96.18,126.32,107.63,100.0,100.0,2.95,64.61,146,120,515,14732.79,405823514.73,RRF_MONITORING,RES_V1,2025-05-27
2022,PL,CY85,PRIMARY,18.21,117.42,105.29,173.99,92.49,63.56,11.4,27.0,279,127,489,3012.56,188931116.84,EURYDICE_EXPORT,RES_V3,2025-03-01
2023,ES,NL59,MIXED,9.82,93.09,126.78,58.81,68.2,85.17,14.24,46.32,333,22,154,7794.51,1091815315.23,NATIONAL_EDU_MINISTRY,RES_V2,2024-06-07
2024,HR,NL6,UPPER_SECONDARY,12.42,101.9,109.87,164.26,75.29,74.61,10.34,84.97,186,101,528,17139.52,1839837746.8,SCHOOL_CENSUS,RES_V1,2024-08-30
2025,FI,LT3,LOWER_SECONDARY,13.95,125.01,124.86,117.87,94.21,65.82,3.1,45.74,159,283,553,13896.56,1776540112.19,RRF_MONITORING,RES_V3,2025-09-25
2006,IE,BE34,PRIMARY,15.41,91.12,85.21,134.08,58.23,25.95,3.12,37.97,145,34,358,5534.69,298429322.16,EURYDICE_EXPORT,RES_V2,2025-06-26
2007,MT,RO24,MIXED,17.59,115.42,85.45,64.58,64.51,12.46,14.69,47.65,11,37,7,3506.72,158245335.25,NATIONAL_EDU_MINISTRY,RES_V1,2025-02-28
2008,SK,PT92,UPPER_SECONDARY,9.25,85.85,93.61,63.11,68.73,9.84,6.86,85.16,251,180,648,8207.96,51007064.43,SCHOOL_CENSUS,RES_V3,2025-04-23
2009,BE,BG915,LOWER_SECONDARY,16.87,128.08,104.82,21.64,34.65,30.66,1.53,36.68,26,118,432,6871.85,305449433.14,RRF_MONITORING,RES_V2,2025-07-29
2010,DK,HR9,PRIMARY,19.99,141.71,93.33,81.6,59.88,12.65,8.27,74.45,170,42,448,5883.57,291810949.23,EURYDICE_EXPORT,RES_V1,2026-02-12
2011,GR,HU51,MIXED,10.06,112.9,81.65,74.36,77.37,71.72,7.54,43.71,144,30,632,3387.13,258976159.29,NATIONAL_EDU_MINISTRY,RES_V3,2026-02-18
2012,LT,AT6,UPPER_SECONDARY,9.41,118.01,71.59,72.09,62.44,52.44,2.25,22.74,7,76,244,15186.55,17307951.16,SCHOOL_CENSUS,RES_V2,2025-01-16
2013,PT,CZ36,LOWER_SECONDARY,20.27,94.28,78.29,26.51,77.36,78.95,13.35,16.21,149,77,137,3635.55,186266624.47,RRF_MONITORING,RES_V1,2025-03-13
2014,SE,FI1,PRIMARY,21.77,108.0,85.82,127.2,74.83,36.14,4.98,36.74,236,113,200,13989.76,112052672.74,EURYDICE_EXPORT,RES_V3,2025-01-05
2015,CY,IE4,MIXED,12.59,97.17,79.32,72.82,78.42,33.45,10.78,39.83,324,266,169,13489.15,406693418.87,NATIONAL_EDU_MINISTRY,RES_V2,2024-02-13
2016,FR,IT144,UPPER_SECONDARY,9.06,114.75,93.6,113.83,34.78,71.63,15.53,54.43,319,83,314,13261.64,237196844.23,SCHOOL_CENSUS,RES_V1,2025-08-02
2017,IT,GR133,LOWER_SECONDARY,13.43,92.27,121.62,60.07,61.51,50.85,7.16,92.85,146,144,363,3883.43,294967763.16,RRF_MONITORING,RES_V3,2025-11-06
2018,NL,EE4,PRIMARY,20.09,142.54,107.18,88.98,38.64,44.0,7.49,87.0,25,97,715,5475.2,256884771.63,EURYDICE_EXPORT,RES_V2,2024-03-12
2019,SI,FR1,MIXED,13.25,83.94,108.13,69.72,86.3,85.6,7.78,67.08,359,244,452,9038.5,282438036.25,NATIONAL_EDU_MINISTRY,RES_V1,2026-01-22
2020,BG,DK24,UPPER_SECONDARY,12.83,126.86,126.8,123.25,92.23,20.54,11.02,68.1,77,168,755,16749.92,352918555.17,SCHOOL_CENSUS,RES_V3,2024-01-03
2021,EE,IT963,LOWER_SECONDARY,9.79,109.61,89.62,127.67,44.2,56.33,10.66,17.75,165,242,398,15174.19,1941716227.47,RRF_MONITORING,RES_V2,2025-01-08
2022,HU,SI45,PRIMARY,14.63,116.97,96.46,55.4,82.94,50.98,7.13,19.61,120,139,699,17456.0,912998546.52,EURYDICE_EXPORT,RES_V1,2024-04-17
2023,LU,HR88,MIXED,9.27,130.67,85.9,164.26,49.83,43.35,2.22,71.61,203,50,343,2354.91,725436692.81,NATIONAL_EDU_MINISTRY,RES_V3,2024-04-04
2024,RO,HU938,UPPER_SECONDARY,13.99,80.79,90.4,73.25,44.0,36.37,2.0,51.39,144,259,389,13612.65,2075398636.49,SCHOOL_CENSUS,RES_V2,2024-02-11
2025,AT,PT58,LOWER_SECONDARY,10.11,118.35,111.11,78.24,69.66,46.37,14.54,59.35,9,5,568,14825.27,833147418.87,RRF_MONITORING,RES_V1,2025-12-22
2006,CZ,HR38,PRIMARY,14.7,87.27,103.41,110.02,65.26,40.06,14.9,28.05,186,196,384,16687.85,258055639.12,EURYDICE_EXPORT,RES_V3,2025-05-10
2007,DE,CY2,MIXED,17.92,115.38,106.92,108.8,68.59,53.15,15.23,73.17,191,9,791,8253.63,344396449.02,NATIONAL_EDU_MINISTRY,RES_V2,2025-07-29
2008,LV,RO422,UPPER_SECONDARY,15.41,117.17,98.95,58.75,72.83,16.41,12.66,66.21,206,117,172,5853.16,356488870.25,SCHOOL_CENSUS,RES_V1,2026-02-11
2009,PL,AT54,LOWER_SECONDARY,14.14,117.83,68.05,107.7,65.57,63.61,14.55,59.06,184,185,505,10172.59,229434367.79,RRF_MONITORING,RES_V3,2024-04-07
2010,ES,LV448,PRIMARY,13.13,88.32,96.85,81.72,40.72,19.82,19.09,85.27,93,100,189,5604.84,105712445.33,EURYDICE_EXPORT,RES_V2,2024-07-27
2011,HR,BE1,MIXED,17.87,112.48,78.59,123.39,42.34,69.5,17.77,32.88,238,186,895,7203.68,182849839.56,NATIONAL_EDU_MINISTRY,RES_V1,2025-12-08
2012,FI,FR497,UPPER_SECONDARY,9.93,97.9,73.56,56.84,45.31,66.35,12.37,87.82,63,90,960,2365.23,11801937.41,SCHOOL_CENSUS,RES_V3,2025-07-06
2013,IE,RO97,LOWER_SECONDARY,9.17,84.08,106.22,92.96,33.26,61.75,12.49,45.88,23,131,86,17063.63,356063763.88,RRF_MONITORING,RES_V2,2025-04-06
2014,MT,CY34,PRIMARY,12.41,102.56,78.59,114.53,58.45,63.32,15.95,51.31,188,19,594,8584.23,103139070.72,EURYDICE_EXPORT,RES_V1,2024-04-03
2015,SK,CY251,MIXED,20.68,85.56,84.84,42.74,66.42,14.07,11.75,42.23,151,94,48,14494.82,59433876.62,NATIONAL_EDU_MINISTRY,RES_V3,2025-05-05
2016,BE,LV62,UPPER_SECONDARY,15.56,105.03,88.38,84.96,39.92,66.92,16.57,28.91,30,55,567,14396.51,202573511.18,SCHOOL_CENSUS,RES_V2,2025-06-21
2017,DK,IE3,LOWER_SECONDARY,12.91,128.08,123.51,84.04,79.55,22.34,12.2,50.15,185,142,715,3387.38,180191758.35,RRF_MONITORING,RES_V1,2024-04-12
2018,GR,SI67,PRIMARY,12.17,126.77,83.16,39.75,62.59,43.33,12.04,54.54,118,221,444,3798.78,13695665.05,EURYDICE_EXPORT,RES_V3,2025-12-05
2019,LT,SI6,MIXED,9.77,92.36,129.09,70.46,56.5,33.67,4.04,65.85,210,29,257,6071.81,354263864.93,NATIONAL_EDU_MINISTRY,RES_V2,2025-03-06
2020,PT,CY1,UPPER_SECONDARY,17.18,128.15,124.27,57.22,53.23,24.32,16.51,76.31,194,200,333,10469.2,100433858.67,SCHOOL_CENSUS,RES_V1,2025-03-21
2021,SE,DE528,LOWER_SECONDARY,10.54,112.35,92.34,176.41,40.68,100.0,5.71,78.27,169,253,231,14098.64,153873264.4,RRF_MONITORING,RES_V3,2025-09-17
2022,CY,FI5,PRIMARY,19.72,82.84,85.22,158.61,43.12,64.51,9.95,48.48,355,215,470,14873.64,1945111967.87,EURYDICE_EXPORT,RES_V2,2024-11-20
2023,FR,LV2,MIXED,20.27,97.22,101.39,124.97,56.04,27.06,13.6,82.38,304,52,439,8202.72,1495275000.7,NATIONAL_EDU_MINISTRY,RES_V1,2026-01-02
2024,IT,PT436,UPPER_SECONDARY,16.78,95.33,113.62,36.35,66.0,47.73,1.56,92.64,11,8,134,6142.96,464785361.61,SCHOOL_CENSUS,RES_V3,2024-02-12
2025,NL,DE356,LOWER_SECONDARY,19.64,148.0,106.79,168.58,57.89,71.51,9.93,83.01,348,119,659,3541.94,858058611.88,RRF_MONITORING,RES_V2,2024-12-15
2006,SI,RO95,PRIMARY,22.45,83.17,91.42,44.28,64.64,10.95,12.8,21.53,242,19,722,12134.43,417432886.9,EURYDICE_EXPORT,RES_V1,2025-05-10
2007,BG,IT58,MIXED,11.8,93.52,94.03,71.78,70.22,79.56,1.3,42.97,57,98,220,12678.03,100011599.89,NATIONAL_EDU_MINISTRY,RES_V3,2025-12-11
2008,EE,PL831,UPPER_SECONDARY,10.19,84.56,69.07,36.67,36.61,42.94,11.21,61.08,41,174,197,3861.13,218417622.09,SCHOOL_CENSUS,RES_V2,2025-06-04
2009,HU,DE6,LOWER_SECONDARY,12.98,93.67,112.89,49.79,67.77,71.79,9.2,34.59,262,105,655,16999.66,339111243.49,RRF_MONITORING,RES_V1,2025-01-25
