house_change_analysis_period_start,house_change_analysis_period_end,house_change_tract_geoid,house_change_median_rent_change_pct,house_change_median_value_change_pct,house_change_income_change_pct,house_change_education_ba_share_change,house_change_racial_composition_shift_index,house_change_business_turnover_rate,house_change_new_building_permits_rate,house_change_short_term_rental_density,house_change_property_tax_increase_pct,house_change_cost_burden_change_pct,house_change_eviction_rate_change,house_change_foreclosure_rate_change,house_change_transit_access_change_score,house_change_amenity_openings_count,house_change_anti_displacement_policy_flag,house_change_vulnerability_score,house_change_gentrification_stage_code
2041-03-01,2042-01-31,02152000351,-20.74,14.8,-14.68,-6.1,0.5979,24.16,13.39,13.99,27.71,9.02,3.766,-3.018,-2.36,114,1,0.1771,EARLY
2041-04-01,2042-02-28,02153000352,-11.49,21.16,16.86,4.96,0.3849,10.62,5.41,17.36,20.57,-8.85,2.743,-1.783,7.15,5,0,0.2979,STABLE
2041-05-01,2042-03-31,02154000353,34.61,3.45,-10.67,-0.36,0.3257,15.13,16.8,0.24,6.99,14.94,0.482,2.687,6.67,108,0,0.0366,STABLE
2041-06-01,2042-04-30,02155000354,46.52,32.77,5.55,11.68,0.4168,39.15,22.29,11.14,8.6,10.29,-4.185,-0.622,-1.9,38,0,0.2134,MID
2041-07-01,2042-05-31,02156000355,-17.91,63.05,-8.93,18.0,0.5817,2.64,14.47,12.78,39.48,-8.78,-4.156,1.122,5.6,37,1,0.9761,EARLY
2041-08-01,2042-06-30,02157000356,38.3,-5.57,2.75,9.73,0.2103,17.09,1.66,12.69,-2.94,11.79,-2.791,3.059,-3.22,67,0,0.5799,DECLINING
2041-09-01,2042-07-31,02158000357,52.55,11.01,15.87,9.82,0.8193,38.65,17.98,3.21,21.41,16.88,-3.624,0.056,13.06,8,0,0.9693,EARLY
2041-10-01,2042-08-31,02159000358,37.05,30.87,-13.63,13.05,0.6352,29.84,22.41,14.29,27.09,7.22,-5.625,-1.865,-10.68,78,0,0.1628,MID
2041-11-01,2042-09-30,02160000359,-21.85,40.39,-5.42,14.34,0.2476,10.55,26.25,15.61,43.5,10.75,0.91,4.377,-7.93,61,1,0.4067,MID
2041-12-01,2042-10-31,02161000360,26.92,-13.28,4.84,-11.61,0.7166,31.51,30.59,16.35,1.22,14.3,0.479,0.135,-2.25,109,0,0.9431,STABLE
2042-01-01,2042-11-30,02162000361,48.01,64.43,-10.49,9.79,0.0022,27.51,12.62,17.05,30.85,-6.3,1.931,-1.546,0.51,20,0,0.9505,STABLE
2042-02-01,2042-12-31,02163000362,-13.53,35.04,22.12,16.72,0.954,34.56,1.53,8.74,24.93,-4.74,3.84,2.476,-13.16,64,1,0.8726,DECLINING
2042-03-01,2043-01-31,02164000363,54.99,-18.82,-9.44,21.15,0.5715,1.9,8.88,10.7,21.29,9.81,-5.769,-1.813,9.78,116,1,0.0733,EARLY
2042-04-01,2043-02-28,02165000364,19.56,-7.24,-6.62,24.73,0.3949,13.11,0.23,14.19,10.7,-8.32,4.744,-2.047,-11.96,25,0,0.5647,UNCERTAIN
2042-05-01,2043-03-31,02166000365,48.57,-20.0,13.91,23.35,0.1681,14.06,26.0,3.05,23.04,9.55,5.883,0.922,-5.97,55,1,0.0717,STABLE
2042-06-01,2043-04-30,02167000366,48.12,7.88,-8.49,0.31,0.2024,26.04,9.64,14.08,26.76,14.88,2.359,2.736,-13.19,46,0,0.9035,STABLE
2042-07-01,2043-05-31,02168000367,30.79,67.89,14.89,13.98,0.9889,0.88,15.99,16.97,39.21,14.68,-4.478,-1.775,-10.39,118,0,0.0042,STABLE
2042-08-01,2043-06-30,02169000368,5.51,-18.61,12.75,18.75,0.8844,31.55,29.35,9.88,1.63,-9.62,0.244,-0.884,-7.42,56,1,0.0054,MID
2042-09-01,2043-07-31,02170000369,14.83,70.45,-2.39,4.88,0.3283,41.95,17.96,7.7,40.02,17.8,-4.069,2.061,-0.63,32,1,0.6529,DECLINING
2042-10-01,2043-08-31,02171000370,40.89,-13.25,40.69,15.75,0.4113,22.73,11.66,9.35,29.45,6.17,-0.375,-1.187,11.44,59,1,0.4857,MID
2042-11-01,2043-09-30,02172000371,6.53,-2.48,-6.51,-12.0,0.2948,7.46,10.75,17.56,16.65,10.81,-0.233,-2.032,-6.46,37,0,0.9849,STABLE
2042-12-01,2043-10-31,02173000372,-20.52,59.97,14.58,1.31,0.6709,42.78,4.59,8.04,20.63,10.38,3.394,-3.094,-11.49,14,1,0.9884,STABLE
2043-01-01,2043-11-30,02174000373,17.74,-5.89,-9.78,21.98,0.3413,42.27,25.52,2.31,-2.6,2.36,-1.776,2.469,9.27,15,0,0.529,EARLY
2043-02-01,2043-12-31,02175000374,-21.46,14.59,32.92,6.17,0.5123,11.95,15.09,3.87,5.28,2.73,-4.997,3.601,-1.51,79,1,0.6168,STABLE
2043-03-01,2044-01-31,02176000375,-12.15,20.38,28.74,-0.62,0.0202,14.91,11.22,0.47,4.64,17.11,-2.892,-1.017,-5.58,119,0,0.1032,EARLY
2043-04-01,2044-02-29,02177000376,18.38,18.09,13.19,-6.59,0.6006,26.11,33.42,5.39,23.73,8.11,0.576,-3.314,-5.21,48,1,0.4534,MID
2043-05-01,2044-03-31,02178000377,39.66,75.84,32.79,8.49,0.8756,13.93,8.94,17.82,18.27,12.34,5.953,3.057,1.23,73,1,0.5089,MID
2043-06-01,2044-04-30,02179000378,26.93,11.74,7.55,3.1,0.3188,13.39,16.66,17.02,-3.47,-8.47,1.397,-1.053,-4.16,83,0,0.427,EARLY
2043-07-01,2044-05-31,02180000379,22.83,-3.9,14.24,18.21,0.4497,8.5,24.18,9.0,20.88,17.81,-5.936,1.612,-14.05,35,1,0.8547,LATE
2043-08-01,2044-06-30,02181000380,0.04,64.68,-14.86,20.49,0.6573,6.12,2.42,15.33,29.47,12.85,2.82,-2.927,-5.13,22,0,0.5391,DECLINING
2043-09-01,2044-07-31,02182000381,12.06,36.63,12.91,11.29,0.5824,19.31,27.7,2.14,15.41,-1.41,1.3,-0.277,-9.0,56,0,0.3857,EARLY
2043-10-01,2044-08-31,02183000382,23.65,55.64,13.19,1.55,0.2655,36.16,18.57,13.57,43.4,14.77,4.124,4.802,-5.01,8,0,0.7468,UNCERTAIN
2043-11-01,2044-09-30,02184000383,4.09,79.58,13.44,-0.96,0.4555,24.4,18.7,6.79,9.79,17.91,-3.927,4.797,-8.92,108,0,0.3046,STABLE
2043-12-01,2044-10-31,02185000384,-18.47,12.76,15.82,7.55,0.3473,19.54,17.3,0.7,2.9,14.32,2.441,-0.331,-11.72,98,1,0.1923,STABLE
2044-01-01,2044-11-30,02186000385,28.33,79.6,-5.5,16.6,0.3043,17.17,34.29,2.48,15.17,-7.16,-1.451,-2.545,-10.28,25,0,0.0393,STABLE
2044-02-01,2044-12-31,02187000386,4.35,33.62,-14.41,17.3,0.9855,0.26,5.26,1.9,15.78,-9.43,-4.226,-3.399,13.44,8,1,0.8052,MID
2044-03-01,2045-01-31,02188000387,-20.85,25.74,35.28,4.55,0.7371,20.77,1.5,10.35,16.14,1.7,0.806,-1.4,2.59,74,0,0.9801,MID
2044-04-01,2045-02-28,02189000388,28.19,42.02,-5.59,10.32,0.982,1.77,32.42,1.03,38.9,17.03,5.309,-2.528,-3.84,33,0,0.7222,EARLY
2044-05-01,2045-03-31,02190000389,-15.24,-6.81,-7.69,-11.21,0.1044,15.91,26.23,10.31,1.41,13.25,2.982,-2.372,14.88,48,0,0.7688,MID
2044-06-01,2045-04-30,02191000390,-5.25,20.66,15.11,23.9,0.6775,12.8,7.17,7.13,9.87,15.64,-4.854,-2.576,-13.55,98,0,0.5661,EARLY
2044-07-01,2045-05-31,02192000391,-12.46,-15.84,6.85,22.24,0.2267,41.82,8.17,9.47,43.07,1.09,3.196,0.869,-12.98,4,0,0.4487,DECLINING
2044-08-01,2045-06-30,02193000392,-16.43,26.12,1.72,11.48,0.0771,42.81,27.71,15.98,39.4,-6.43,2.005,-3.948,4.97,44,0,0.1364,UNCERTAIN
2044-09-01,2045-07-31,02194000393,14.27,-4.25,20.46,18.67,0.8003,31.46,18.3,5.28,36.58,16.64,-5.402,-2.106,4.14,119,1,0.7105,DECLINING
2044-10-01,2045-08-31,02195000394,0.14,76.69,1.27,14.36,0.188,28.38,24.57,11.83,27.7,-4.73,-4.365,-1.158,-1.67,98,0,0.8296,UNCERTAIN
2044-11-01,2045-09-30,02196000395,1.9,-1.01,31.06,-11.61,0.2777,26.23,34.07,9.91,37.32,-6.79,4.937,-3.272,14.51,103,0,0.2285,MID
2044-12-01,2045-10-31,02197000396,-3.6,35.79,6.21,-8.57,0.0468,39.76,23.32,9.75,-4.72,3.62,-5.132,4.767,-13.35,107,0,0.6644,STABLE
2045-01-01,2045-11-30,02198000397,30.85,66.01,2.52,4.5,0.435,6.69,3.18,5.22,15.59,-4.16,3.633,0.095,8.16,45,0,0.8715,STABLE
2045-02-01,2045-12-31,02199000398,52.24,74.56,20.37,7.79,0.1082,31.23,20.39,8.98,31.87,2.21,-1.538,-0.125,-13.04,86,0,0.1596,LATE
2045-03-01,2046-01-31,02200000399,2.68,20.28,-11.37,11.18,0.9633,16.67,11.27,6.26,3.78,15.64,2.783,0.934,12.13,22,0,0.771,UNCERTAIN
2045-04-01,2046-02-28,03001000400,50.48,4.13,36.93,-1.78,0.8344,38.91,23.23,8.9,14.6,8.79,0.128,4.946,14.3,74,0,0.5697,EARLY
2045-05-01,2046-03-31,03002000401,22.71,48.98,-8.53,20.49,0.0406,29.84,15.62,10.18,10.74,16.32,5.59,-1.634,-3.28,0,0,0.0973,EARLY
2045-06-01,2046-04-30,03003000402,-18.84,54.33,15.76,-4.38,0.9459,3.58,18.1,16.14,-4.36,10.85,4.209,-1.74,13.12,85,0,0.8882,STABLE
2045-07-01,2046-05-31,03004000403,-13.25,33.86,-7.45,4.56,0.7543,39.71,14.57,1.94,40.08,-3.65,2.55,-1.818,-9.29,63,1,0.3431,DECLINING
2045-08-01,2046-06-30,03005000404,-3.15,-10.62,38.69,4.5,0.1272,42.41,11.93,0.78,15.03,-0.16,-2.692,-0.958,-3.81,46,0,0.1367,MID
2045-09-01,2046-07-31,03006000405,-13.94,44.68,12.17,-8.41,0.0369,7.7,7.16,17.2,44.84,-7.29,-0.752,1.492,4.07,111,0,0.9675,MID
2045-10-01,2046-08-31,03007000406,-15.84,49.56,3.14,-6.97,0.3118,29.45,33.25,17.64,35.42,9.46,0.305,-2.003,-12.01,34,1,0.0031,UNCERTAIN
2045-11-01,2046-09-30,03008000407,21.44,11.06,33.44,0.64,0.7211,15.55,14.9,7.95,10.33,4.87,5.696,3.218,-8.32,4,0,0.2249,MID
2045-12-01,2046-10-31,03009000408,6.48,-2.99,-16.92,-4.66,0.4109,7.01,30.86,14.27,-2.54,-0.55,-3.171,1.963,9.76,9,0,0.2131,STABLE
2046-01-01,2046-11-30,03010000409,-5.94,24.33,15.61,1.27,0.0747,6.91,20.75,2.61,40.27,0.52,-3.494,4.313,-1.69,115,0,0.9313,LATE
2046-02-01,2046-12-31,03011000410,-20.37,74.34,-1.11,1.73,0.4517,22.27,12.78,6.52,12.37,-5.56,2.995,-0.841,-5.89,22,0,0.8006,STABLE
2046-03-01,2047-01-31,03012000411,47.08,52.33,34.41,0.93,0.2381,23.29,14.8,9.77,20.89,15.19,0.523,2.977,6.92,93,0,0.7642,EARLY
2046-04-01,2047-02-28,03013000412,38.04,2.93,35.57,-4.29,0.8633,12.06,21.24,11.54,1.84,3.13,4.334,-1.331,-14.21,29,1,0.3855,STABLE
2046-05-01,2047-03-31,03014000413,31.09,28.41,11.14,-10.68,0.419,14.32,17.0,8.85,13.94,-7.77,3.198,-0.032,5.75,11,0,0.4887,STABLE
2046-06-01,2047-04-30,03015000414,20.87,-7.89,16.28,-6.82,0.0959,3.42,20.55,9.43,30.07,-8.16,-0.688,-2.13,-14.84,51,0,0.302,STABLE
2046-07-01,2047-05-31,03016000415,12.64,19.87,9.85,5.86,0.9012,24.75,9.6,2.54,14.42,-9.78,0.867,-3.282,2.7,26,1,0.3712,LATE
2046-08-01,2047-06-30,03017000416,46.64,3.66,-0.75,12.95,0.918,4.76,2.45,12.97,11.72,2.5,-2.787,1.504,-6.51,7,1,0.3301,DECLINING
2046-09-01,2047-07-31,03018000417,16.53,16.5,-4.29,-8.1,0.5271,9.81,28.92,9.04,30.22,-5.95,-3.365,-2.478,-1.82,82,0,0.5013,LATE
2046-10-01,2047-08-31,03019000418,16.88,53.62,18.71,20.15,0.7184,12.73,20.0,8.31,3.77,15.44,-3.981,1.975,-11.47,91,0,0.6998,EARLY
2046-11-01,2047-09-30,03020000419,-6.53,63.75,2.15,-2.47,0.2746,38.22,6.38,11.96,43.92,0.61,4.704,-0.774,-4.47,22,0,0.2874,UNCERTAIN
2046-12-01,2047-10-31,03021000420,1.14,13.53,-10.81,21.31,0.714,17.17,15.36,13.17,4.96,-4.82,2.93,-1.578,2.53,28,0,0.1553,EARLY
2047-01-01,2047-11-30,03022000421,-4.36,29.37,-0.93,-9.39,0.4617,44.54,7.26,14.38,2.47,-6.17,2.856,3.61,-11.91,44,1,0.2197,MID
2047-02-01,2047-12-31,03023000422,34.78,51.7,9.06,7.83,0.3434,41.93,27.2,14.8,43.66,-9.32,-0.189,2.779,14.62,8,0,0.4189,DECLINING
2047-03-01,2048-01-31,03024000423,4.1,-12.4,12.82,-8.24,0.0878,34.54,10.88,16.2,26.15,9.04,-3.066,-1.246,-1.57,72,1,0.6874,LATE
2047-04-01,2048-02-29,03025000424,11.3,2.25,-1.31,15.79,0.7708,33.07,1.55,9.77,31.39,7.79,-0.524,2.706,7.08,108,1,0.9161,EARLY
2047-05-01,2048-03-31,03026000425,-2.28,-1.92,-13.73,6.79,0.5508,6.68,29.31,2.84,24.31,-3.16,3.204,-3.609,-7.82,76,0,0.1719,LATE
2047-06-01,2048-04-30,03027000426,36.7,2.41,11.93,14.23,0.0086,5.44,18.34,0.32,38.29,1.09,1.357,3.412,-8.74,57,0,0.6675,STABLE
2047-07-01,2048-05-31,03028000427,45.24,23.33,42.89,-5.47,0.5874,36.88,25.64,17.65,3.96,12.47,1.2,2.898,-6.88,105,0,0.7617,LATE
2047-08-01,2048-06-30,03029000428,-11.58,56.17,16.34,4.32,0.4798,16.93,13.0,1.57,27.68,-1.78,3.748,-2.427,-13.2,115,0,0.0317,MID
2047-09-01,2048-07-31,03030000429,28.07,23.59,-16.24,22.89,0.8135,39.59,22.72,9.89,42.92,-9.15,0.589,1.38,7.79,51,0,0.198,LATE
2047-10-01,2048-08-31,03031000430,32.19,-7.89,-14.14,-0.9,0.5475,1.23,7.29,5.68,12.76,2.44,-5.763,2.197,3.01,50,0,0.0761,DECLINING
2047-11-01,2048-09-30,03032000431,-5.44,-4.75,43.36,-4.13,0.2537,34.84,20.38,6.33,25.95,7.02,-1.284,-2.719,-1.39,24,1,0.8882,STABLE
2047-12-01,2048-10-31,03033000432,30.88,57.66,-7.93,-1.57,0.4921,27.12,1.73,15.72,42.57,17.88,-0.979,3.284,-7.14,31,0,0.5211,DECLINING
2048-01-01,2048-11-30,03034000433,52.69,37.89,32.21,10.79,0.7023,28.76,10.67,11.13,12.65,3.01,2.296,-2.642,3.98,68,0,0.3727,LATE
2048-02-01,2048-12-31,03035000434,22.16,32.73,43.59,-6.22,0.2922,22.23,23.29,16.09,34.11,-3.49,2.832,3.027,9.09,102,0,0.0408,STABLE
2048-03-01,2049-01-31,03036000435,47.12,4.67,-15.63,14.3,0.9293,42.36,11.01,3.12,17.66,11.2,-1.87,-3.278,8.46,33,1,0.5161,EARLY
2048-04-01,2049-02-28,03037000436,19.41,27.73,40.83,-8.85,0.5973,16.33,15.73,3.49,15.48,-6.48,-2.488,1.617,0.03,113,0,0.9911,EARLY
2048-05-01,2049-03-31,03038000437,37.47,56.67,-5.88,-0.58,0.9215,44.1,21.18,15.51,24.14,-5.17,4.91,2.36,0.53,105,0,0.4018,EARLY
2048-06-01,2049-04-30,03039000438,-20.11,-18.76,36.87,8.72,0.9632,29.77,8.57,3.3,24.08,-4.46,3.807,3.834,1.17,115,0,0.7175,EARLY
2048-07-01,2049-05-31,03040000439,29.58,53.67,-9.3,19.38,0.8958,35.61,35.0,10.08,37.94,-8.65,1.872,-2.571,-12.46,76,0,0.1338,STABLE
2048-08-01,2049-06-30,03041000440,-24.5,5.67,-9.19,9.28,0.902,24.15,32.62,14.2,1.61,-9.92,-0.164,3.597,14.73,98,1,0.4983,MID
2048-09-01,2049-07-31,03042000441,19.71,-4.49,39.02,-0.98,0.9217,35.6,17.36,15.81,20.05,14.3,-5.559,-3.733,-7.95,108,0,0.4734,UNCERTAIN
2048-10-01,2049-08-31,03043000442,47.69,50.6,2.46,-4.54,0.5112,0.56,20.59,6.4,31.77,16.21,4.483,-1.891,-14.79,24,0,0.6322,STABLE
2048-11-01,2049-09-30,03044000443,15.73,28.03,26.69,21.0,0.7799,5.35,7.57,2.49,9.2,17.97,1.257,0.921,-4.89,11,0,0.7376,EARLY
2048-12-01,2049-10-31,03045000444,32.03,22.74,44.13,-6.49,0.0958,16.26,4.62,0.76,6.08,4.98,-5.667,4.409,5.88,42,1,0.9508,STABLE
2049-01-01,2049-11-30,03046000445,51.48,42.05,40.09,24.91,0.9861,33.4,15.0,7.38,9.31,3.65,-0.973,-2.675,12.66,83,1,0.8403,LATE
2049-02-01,2049-12-31,03047000446,34.64,68.94,-9.09,-5.05,0.527,17.77,15.07,11.37,5.14,3.48,5.886,-2.308,-10.94,14,1,0.5952,STABLE
2049-03-01,2050-01-31,03048000447,53.95,69.54,27.41,18.44,0.6428,23.4,13.64,0.39,5.54,2.82,0.434,0.68,-2.96,75,1,0.342,LATE
2049-04-01,2050-02-28,03049000448,3.45,33.79,17.89,-6.22,0.9716,40.06,21.25,12.55,23.22,-4.57,1.671,2.434,-8.93,117,1,0.2643,LATE
2049-05-01,2050-03-31,03050000449,21.28,-18.6,-12.09,20.34,0.688,15.14,10.62,9.73,2.59,14.15,4.186,-2.299,-8.01,93,0,0.9727,EARLY
2049-06-01,2050-04-30,03051000450,52.94,71.34,18.3,6.14,0.1175,24.76,34.18,8.4,19.87,6.99,4.877,0.351,-4.79,55,0,0.5474,EARLY
2049-07-01,2050-05-31,03052000451,38.76,27.57,43.83,16.81,0.0659,29.36,14.33,13.96,32.63,13.03,2.448,0.876,6.15,113,0,0.5075,MID
2049-08-01,2050-06-30,03053000452,32.18,20.63,27.23,-2.03,0.3913,38.99,11.87,13.25,13.32,11.42,0.914,2.268,2.06,73,0,0.64,MID
2049-09-01,2050-07-31,03054000453,49.53,54.19,7.24,-7.09,0.1886,5.17,26.63,5.22,24.61,1.03,4.423,-2.356,1.72,31,1,0.2635,UNCERTAIN
2049-10-01,2050-08-31,03055000454,7.92,27.81,-16.36,16.36,0.7201,4.63,5.27,8.36,10.06,3.54,-3.136,-3.237,-8.72,8,0,0.7981,EARLY
2049-11-01,2050-09-30,03056000455,-11.48,9.54,36.49,-11.5,0.7762,24.46,6.67,11.9,7.08,-7.35,4.692,-2.648,9.22,40,0,0.169,UNCERTAIN
2049-12-01,2050-10-31,03057000456,17.76,0.91,-11.27,5.19,0.2212,29.56,14.33,5.94,13.48,-6.35,5.198,1.047,-6.93,113,1,0.4822,UNCERTAIN
2050-01-01,2050-11-30,03058000457,20.24,-6.5,-12.82,-6.4,0.18,18.73,22.1,15.71,11.32,13.61,-5.924,0.377,14.72,98,0,0.0008,UNCERTAIN
2050-02-01,2050-12-31,03059000458,41.78,18.6,32.61,3.18,0.5211,11.42,1.75,6.45,2.65,-3.39,3.608,-3.303,-10.19,47,0,0.206,DECLINING
2050-03-01,2051-01-31,03060000459,20.78,2.21,-5.74,14.58,0.5873,7.06,25.25,14.68,18.76,14.56,-3.014,2.821,-5.0,109,1,0.9301,STABLE
2050-04-01,2051-02-28,03061000460,-23.53,43.24,7.55,2.28,0.746,6.06,31.25,5.96,17.02,-5.14,-0.852,-3.016,-6.56,29,0,0.4026,UNCERTAIN
2050-05-01,2051-03-31,03062000461,-14.28,25.12,-6.12,19.0,0.0081,5.17,13.88,15.76,25.41,-0.86,-2.245,-1.72,-13.2,113,1,0.2636,EARLY
2050-06-01,2051-04-30,03063000462,20.41,49.66,33.3,4.57,0.943,29.5,23.47,6.49,10.17,2.4,-3.615,2.798,2.82,81,0,0.9675,LATE
2050-07-01,2051-05-31,03064000463,35.89,25.52,-6.7,9.91,0.0108,1.66,22.14,17.36,34.03,-2.18,-0.01,3.932,3.15,5,0,0.8099,DECLINING
2050-08-01,2051-06-30,03065000464,44.5,21.44,-2.04,-2.3,0.534,35.58,27.91,10.99,6.01,14.18,-1.645,-2.042,6.17,107,0,0.3462,STABLE
2050-09-01,2051-07-31,03066000465,-15.35,-10.02,19.53,8.48,0.0278,3.99,15.56,4.1,-0.57,-5.11,0.278,4.841,4.47,106,0,0.658,STABLE
2050-10-01,2051-08-31,03067000466,42.11,-3.77,-17.41,-10.75,0.8547,31.48,3.17,7.19,25.06,-4.76,-4.807,-0.867,-10.35,86,1,0.2844,MID
2050-11-01,2051-09-30,03068000467,-1.93,68.88,-16.33,-6.15,0.8773,36.64,7.71,16.78,38.36,7.56,2.188,1.93,-4.76,10,1,0.7449,STABLE
2050-12-01,2051-10-31,03069000468,35.84,20.7,-1.28,12.8,0.3943,7.69,26.95,5.05,33.34,11.21,2.646,-3.239,-7.96,111,0,0.0301,MID
2051-01-01,2051-11-30,03070000469,-7.52,-5.67,19.56,22.57,0.0992,8.66,22.51,13.7,3.9,-3.97,5.684,-1.229,13.86,86,0,0.9003,MID
2051-02-01,2051-12-31,03071000470,-4.03,52.28,6.95,11.0,0.5335,17.21,33.76,12.46,26.69,9.43,-4.142,-3.236,-7.77,56,0,0.9391,STABLE
2051-03-01,2052-01-31,03072000471,-12.1,-14.42,25.13,24.47,0.9158,44.35,7.95,17.6,9.39,-9.78,-5.817,0.152,-0.72,61,0,0.6394,EARLY
2051-04-01,2052-02-29,03073000472,-24.55,58.1,35.71,-2.01,0.5683,14.99,22.99,15.46,25.11,13.46,-4.455,1.354,2.6,116,0,0.8088,EARLY
2051-05-01,2052-03-31,03074000473,51.18,36.9,8.74,-2.71,0.1091,11.53,28.44,8.94,-3.48,8.67,-4.648,-1.639,-7.17,114,0,0.4129,MID
2051-06-01,2052-04-30,03075000474,0.32,63.53,23.11,-5.44,0.4701,13.94,9.76,3.39,-3.17,-8.4,-4.523,-0.254,5.71,79,0,0.6519,STABLE
2051-07-01,2052-05-31,03076000475,-7.62,74.77,19.87,-5.89,0.8101,44.65,27.4,2.6,34.14,10.73,-4.938,4.502,5.29,72,0,0.2755,STABLE
2051-08-01,2052-06-30,03077000476,35.77,24.77,-0.59,17.03,0.3266,38.23,2.61,0.78,24.0,10.03,-1.846,2.851,12.36,33,0,0.0614,EARLY
2051-09-01,2052-07-31,03078000477,4.74,18.36,37.67,-10.55,0.9127,3.52,2.51,15.95,15.87,17.97,5.117,-2.137,-6.66,110,0,0.2389,LATE
2051-10-01,2052-08-31,03079000478,21.36,76.63,40.52,-7.48,0.6173,6.23,28.87,9.41,41.04,5.45,0.438,4.924,13.6,32,1,0.8859,LATE
2051-11-01,2052-09-30,03080000479,2.38,53.6,24.71,24.3,0.2145,10.37,23.35,17.45,20.27,-6.4,0.554,-2.412,9.83,56,1,0.289,UNCERTAIN
2051-12-01,2052-10-31,03081000480,-16.66,30.74,-4.8,22.69,0.5442,42.4,19.82,13.45,12.12,-2.92,4.273,0.595,-12.79,46,0,0.6626,DECLINING
2052-01-01,2052-11-30,03082000481,-4.62,65.36,26.17,13.39,0.5061,5.47,18.95,6.75,34.41,-6.33,-5.006,-3.043,0.51,54,1,0.5655,MID
2052-02-01,2052-12-31,03083000482,-14.12,1.9,28.75,21.5,0.5682,9.66,14.66,0.53,26.48,11.81,-2.806,0.23,12.49,86,0,0.2278,STABLE
2052-03-01,2053-01-31,03084000483,-12.11,49.22,20.1,7.7,0.1552,32.18,19.28,13.82,10.38,4.43,5.254,-2.634,7.19,100,0,0.9225,DECLINING
2052-04-01,2053-02-28,03085000484,3.6,53.13,18.05,23.0,0.4258,26.22,16.97,6.46,12.95,-3.03,5.423,2.848,7.35,16,0,0.6278,STABLE
2052-05-01,2053-03-31,03086000485,45.83,-14.15,37.56,-9.02,0.1069,8.26,19.81,12.32,4.8,-1.8,-5.216,-0.924,-7.51,20,1,0.8343,DECLINING
2052-06-01,2053-04-30,03087000486,37.46,4.91,0.84,12.62,0.5005,14.37,32.72,2.33,43.86,-4.78,2.86,4.014,5.28,18,1,0.406,LATE
2052-07-01,2053-05-31,03088000487,1.46,40.67,-15.48,20.91,0.9718,29.6,25.0,12.36,-3.39,17.14,-4.459,3.952,-3.31,49,0,0.1536,LATE
2052-08-01,2053-06-30,03089000488,-1.22,55.42,23.59,8.18,0.0156,29.51,24.12,3.7,7.23,8.04,1.004,3.819,-3.64,56,0,0.818,LATE
2052-09-01,2053-07-31,03090000489,49.47,-11.37,15.42,3.86,0.3944,1.04,0.85,9.96,4.33,0.83,1.719,0.254,0.59,35,0,0.7083,LATE
2052-10-01,2053-08-31,03091000490,53.96,79.14,44.85,-0.74,0.9163,28.27,5.56,12.51,13.53,2.62,1.172,3.417,-2.09,118,1,0.5119,STABLE
2052-11-01,2053-09-30,03092000491,29.88,13.4,-16.55,18.98,0.5196,7.96,9.1,8.94,16.54,16.58,1.419,3.359,-10.12,103,1,0.1149,MID
2052-12-01,2053-10-31,03093000492,11.18,44.61,43.53,-0.27,0.868,10.14,29.49,5.48,0.26,17.91,1.226,-0.189,14.93,98,0,0.9245,MID
2053-01-01,2053-11-30,03094000493,33.62,58.87,3.94,14.3,0.3468,16.52,17.31,6.72,3.88,-8.33,-4.438,-2.642,-13.66,78,0,0.2064,STABLE
2053-02-01,2053-12-31,03095000494,7.27,10.55,5.32,-7.95,0.882,37.01,28.98,9.4,9.23,13.36,-1.544,4.589,0.0,89,1,0.6034,MID
2053-03-01,2054-01-31,03096000495,-3.84,67.92,37.53,14.01,0.2098,1.79,10.19,15.76,18.43,5.61,5.108,-3.739,11.25,17,0,0.1455,MID
2053-04-01,2054-02-28,03097000496,36.77,73.31,9.27,11.57,0.1679,21.02,31.19,4.17,40.23,15.61,-5.287,-0.199,-0.65,21,0,0.1321,EARLY
2053-05-01,2054-03-31,03098000497,33.18,69.21,39.6,1.66,0.4016,28.75,11.74,12.81,31.86,-8.86,5.988,0.5,10.72,100,1,0.0284,STABLE
2053-06-01,2054-04-30,03099000498,30.47,-13.85,11.49,-5.05,0.6873,8.79,11.58,15.25,17.85,-5.66,1.779,0.718,-11.34,76,0,0.2733,UNCERTAIN
2053-07-01,2054-05-31,03100000499,-7.43,-16.7,15.97,-0.92,0.5321,23.47,20.92,16.12,29.33,-5.17,3.0,-3.881,-11.58,88,1,0.9872,EARLY
2053-08-01,2054-06-30,03101000500,-23.03,45.33,23.74,5.91,0.9354,24.32,24.72,17.45,17.89,5.56,2.771,-2.6,13.45,18,1,0.8825,UNCERTAIN
2053-09-01,2054-07-31,03102000501,26.98,19.79,10.62,-6.76,0.1998,16.5,30.94,5.21,35.33,-3.31,-2.3,-2.135,1.41,90,1,0.0639,UNCERTAIN
2053-10-01,2054-08-31,03103000502,2.1,72.48,1.36,2.15,0.9599,24.73,22.61,14.85,34.39,0.36,-5.971,-3.989,-4.47,91,0,0.1722,STABLE
2053-11-01,2054-09-30,03104000503,51.64,21.17,-1.58,3.18,0.5034,14.95,1.57,2.91,4.8,-8.5,-1.29,2.56,-0.03,49,0,0.8594,MID
2053-12-01,2054-10-31,03105000504,41.71,71.28,25.27,21.89,0.5083,1.94,22.56,12.04,35.3,-8.19,-3.152,-2.16,0.31,25,1,0.647,UNCERTAIN
