env_bio_reference_year,env_bio_member_state_iso2,env_bio_site_id,env_bio_natura2000_designation_code,env_bio_nuts_code,env_bio_habitat_code,env_bio_species_code,env_bio_site_area_ha,env_bio_conservation_status_code,env_bio_pressure_threat_code,env_bio_management_plan_flag,env_bio_restoration_actions_count,env_bio_invasive_species_presence_flag,env_bio_land_cover_corine_class,env_bio_water_body_status_code,env_bio_protected_area_connectivity_index,env_bio_ecosystem_services_index,env_bio_funding_eu_life_programme_eur,env_bio_data_source,env_bio_last_assessment_date
2013,IT,IT_N2K_000300,SPA,SI553,HAB_300,SP_0300,172330.18,XX,INVASIVE_SPECIES,0,26,0,231_PASTURES,GOOD,0.5145,0.3528,19389893.51,NATIONAL_HABITAT_REPORTING,2017-09-09
2014,PT,PT_N2K_000301,SPA,PT1,HAB_301,SP_0301,201926.69,FV,FORESTRY,1,25,0,311_BROADLEAVED,HIGH,0.2772,0.6094,12513005.24,EEA_NATURA2000,2017-09-22
2015,BE,BE_N2K_000302,SPA,FR43,HAB_302,SP_0302,237795.51,U1,WATER_ABSTRACTION,1,28,0,312_CONIFEROUS,UNKNOWN,0.2008,0.8659,11868769.64,LIFE_PROJECT_DATABASE,2017-10-05
2016,FI,FI_N2K_000303,SPA,IE38,HAB_303,SP_0303,112949.92,U2,TOURISM_PRESSURE,1,15,0,313_MIXED,BAD,0.2633,0.1781,25817837.56,NATIONAL_HABITAT_REPORTING,2017-10-18
2017,LV,LV_N2K_000304,SPA,ES797,HAB_304,SP_0304,21616.06,XX,CLIMATE_CHANGE,1,26,0,321_NATURAL_GRASS,POOR,0.3305,0.2368,30778699.26,EEA_NATURA2000,2017-10-31
2018,RO,RO_N2K_000305,SPA,LT490,HAB_305,SP_0305,68774.44,FV,AGRI_INTENSIFICATION,1,7,1,411_INLAND_WETLAND,MODERATE,0.3007,0.8455,25893144.21,LIFE_PROJECT_DATABASE,2017-11-13
2019,BG,BG_N2K_000306,SPA,SE652,HAB_306,SP_0306,155716.58,U1,URBANISATION,1,26,0,512_WATER,GOOD,0.2483,0.2313,30134648.39,NATIONAL_HABITAT_REPORTING,2017-11-26
2020,FR,FR_N2K_000307,SPA,DE9,HAB_307,SP_0307,6417.62,U2,POLLUTION,1,0,1,111_URBAN,HIGH,0.4841,0.7371,18630662.67,EEA_NATURA2000,2017-12-09
2021,LT,LT_N2K_000308,SPA,IE70,HAB_308,SP_0308,239440.63,XX,INVASIVE_SPECIES,1,21,0,211_ARABLE,UNKNOWN,0.2581,0.713,11502298.1,LIFE_PROJECT_DATABASE,2017-12-22
2022,SK,SK_N2K_000309,SPA,MT79,HAB_309,SP_0309,199433.32,FV,FORESTRY,1,9,0,231_PASTURES,BAD,0.3641,0.7581,15969871.68,NATIONAL_HABITAT_REPORTING,2018-01-04
2023,HR,HR_N2K_000310,SPA,FI9,HAB_310,SP_0310,196724.59,U1,WATER_ABSTRACTION,1,30,0,311_BROADLEAVED,POOR,0.2381,0.3932,25902665.38,EEA_NATURA2000,2018-01-17
2024,DE,DE_N2K_000311,SPA,HU184,HAB_311,SP_0311,34862.81,U2,TOURISM_PRESSURE,1,15,0,312_CONIFEROUS,MODERATE,0.5613,0.3513,31026295.26,LIFE_PROJECT_DATABASE,2018-01-30
2025,LU,LU_N2K_000312,SPA,ES36,HAB_312,SP_0312,178224.2,XX,CLIMATE_CHANGE,0,25,0,313_MIXED,GOOD,0.2315,0.1716,19249983.53,NATIONAL_HABITAT_REPORTING,2018-02-12
2000,SI,SI_N2K_000313,SPA,HR2,HAB_313,SP_0313,154717.21,FV,AGRI_INTENSIFICATION,0,26,0,321_NATURAL_GRASS,HIGH,0.8371,0.6948,9594880.75,EEA_NATURA2000,2018-02-25
2001,CY,CY_N2K_000314,SPA,DE182,HAB_314,SP_0314,131449.93,U1,URBANISATION,1,14,0,411_INLAND_WETLAND,UNKNOWN,0.2779,0.9354,30346797.78,LIFE_PROJECT_DATABASE,2018-03-10
2002,GR,GR_N2K_000315,SPA,AT121,HAB_315,SP_0315,6533.24,U2,POLLUTION,0,31,0,512_WATER,BAD,0.3839,0.152,1488895.86,NATIONAL_HABITAT_REPORTING,2018-03-23
2003,MT,MT_N2K_000316,SPA,SK119,HAB_316,SP_0316,94511.37,XX,INVASIVE_SPECIES,0,6,1,111_URBAN,POOR,0.8838,0.729,12553127.22,EEA_NATURA2000,2018-04-05
2004,ES,ES_N2K_000317,SPA,LU812,HAB_317,SP_0317,152923.95,FV,FORESTRY,1,20,1,211_ARABLE,MODERATE,0.1591,0.6111,197331.77,LIFE_PROJECT_DATABASE,2018-04-18
2005,CZ,CZ_N2K_000318,SPA,LV8,HAB_318,SP_0318,61573.05,U1,WATER_ABSTRACTION,1,5,1,231_PASTURES,GOOD,0.7215,0.7555,12283176.77,NATIONAL_HABITAT_REPORTING,2018-05-01
2006,HU,HU_N2K_000319,SPA,FI15,HAB_319,SP_0319,247902.91,U2,TOURISM_PRESSURE,1,6,0,311_BROADLEAVED,HIGH,0.6303,0.2628,11345757.34,EEA_NATURA2000,2018-05-14
2007,NL,NL_N2K_000320,SPA,CY75,HAB_320,SP_0320,9038.9,XX,CLIMATE_CHANGE,1,12,0,312_CONIFEROUS,UNKNOWN,0.4082,0.9059,5363217.63,LIFE_PROJECT_DATABASE,2018-05-27
2008,SE,SE_N2K_000321,SPA,DK4,HAB_001,SP_0321,191574.21,FV,AGRI_INTENSIFICATION,1,4,0,313_MIXED,BAD,0.2446,0.4882,28831323.5,NATIONAL_HABITAT_REPORTING,2018-06-09
2009,DK,DK_N2K_000322,SPA,HR655,HAB_002,SP_0322,36766.03,U1,URBANISATION,1,8,0,321_NATURAL_GRASS,POOR,0.9662,0.5011,7659466.75,EEA_NATURA2000,2018-06-22
2010,IE,IE_N2K_000323,SPA,IT893,HAB_003,SP_0323,58379.55,U2,POLLUTION,1,28,0,411_INLAND_WETLAND,MODERATE,0.9009,0.3292,9018856.24,LIFE_PROJECT_DATABASE,2018-07-05
2011,PL,PL_N2K_000324,SPA,EE73,HAB_004,SP_0324,112710.58,XX,INVASIVE_SPECIES,0,9,1,512_WATER,GOOD,0.8922,0.128,15102513.65,NATIONAL_HABITAT_REPORTING,2018-07-18
2012,AT,AT_N2K_000325,SPA,AT152,HAB_005,SP_0325,6128.73,FV,FORESTRY,1,7,1,111_URBAN,HIGH,0.7213,0.7076,30491034.05,EEA_NATURA2000,2018-07-31
2013,EE,EE_N2K_000326,SPA,ES865,HAB_006,SP_0326,191766.01,U1,WATER_ABSTRACTION,0,24,0,211_ARABLE,UNKNOWN,0.6517,0.3312,7564963.31,LIFE_PROJECT_DATABASE,2018-08-13
2014,IT,IT_N2K_000327,SPA,GR13,HAB_007,SP_0327,237695.72,U2,TOURISM_PRESSURE,1,0,1,231_PASTURES,BAD,0.1562,0.9246,4221979.11,NATIONAL_HABITAT_REPORTING,2018-08-26
2015,PT,PT_N2K_000328,SPA,MT372,HAB_008,SP_0328,192269.25,XX,CLIMATE_CHANGE,0,10,0,311_BROADLEAVED,POOR,0.4552,0.6362,18090060.12,EEA_NATURA2000,2018-09-08
2016,BE,BE_N2K_000329,SPA,PT29,HAB_009,SP_0329,122009.07,FV,AGRI_INTENSIFICATION,0,4,0,312_CONIFEROUS,MODERATE,0.4963,0.6314,16002849.25,LIFE_PROJECT_DATABASE,2018-09-21
2017,FI,FI_N2K_000330,SPA,BG14,HAB_010,SP_0330,29669.25,U1,URBANISATION,0,21,0,313_MIXED,GOOD,0.8261,0.4352,17484812.79,NATIONAL_HABITAT_REPORTING,2018-10-04
2018,LV,LV_N2K_000331,SPA,CY55,HAB_011,SP_0331,65806.61,U2,POLLUTION,0,26,0,321_NATURAL_GRASS,HIGH,0.3833,0.5835,3394391.9,EEA_NATURA2000,2018-10-17
2019,RO,RO_N2K_000332,SPA,ES47,HAB_012,SP_0332,103460.72,XX,INVASIVE_SPECIES,1,25,0,411_INLAND_WETLAND,UNKNOWN,0.8597,0.2432,14666097.32,LIFE_PROJECT_DATABASE,2018-10-30
2020,BG,BG_N2K_000333,SPA,PT61,HAB_013,SP_0333,173298.89,FV,FORESTRY,0,14,1,512_WATER,BAD,0.951,0.3183,13863626.39,NATIONAL_HABITAT_REPORTING,2018-11-12
2021,FR,FR_N2K_000334,SPA,SE62,HAB_014,SP_0334,24138.56,U1,WATER_ABSTRACTION,1,34,0,111_URBAN,POOR,0.3005,0.2503,3317607.51,EEA_NATURA2000,2018-11-25
2022,LT,LT_N2K_000335,SPA,HU45,HAB_015,SP_0335,243995.55,U2,TOURISM_PRESSURE,1,5,0,211_ARABLE,MODERATE,0.6552,0.1312,2169171.26,LIFE_PROJECT_DATABASE,2018-12-08
2023,SK,SK_N2K_000336,SPA,IT416,HAB_016,SP_0336,22357.7,XX,CLIMATE_CHANGE,1,28,0,231_PASTURES,GOOD,0.6585,0.5346,15768525.75,NATIONAL_HABITAT_REPORTING,2018-12-21
2024,HR,HR_N2K_000337,SPA,CZ48,HAB_017,SP_0337,63656.43,FV,AGRI_INTENSIFICATION,0,4,1,311_BROADLEAVED,HIGH,0.946,0.716,4389290.22,EEA_NATURA2000,2019-01-03
2025,DE,DE_N2K_000338,SPA,SE705,HAB_018,SP_0338,223356.57,U1,URBANISATION,0,13,0,312_CONIFEROUS,UNKNOWN,0.5858,0.4302,5784945.47,LIFE_PROJECT_DATABASE,2019-01-16
2000,LU,LU_N2K_000339,SPA,HR85,HAB_019,SP_0339,53100.68,U2,POLLUTION,0,11,0,313_MIXED,BAD,0.0992,0.3528,12332871.76,NATIONAL_HABITAT_REPORTING,2019-01-29
2001,SI,SI_N2K_000340,SPA,IT611,HAB_020,SP_0340,152626.79,XX,INVASIVE_SPECIES,1,2,0,321_NATURAL_GRASS,POOR,0.0657,0.8153,2321461.93,EEA_NATURA2000,2019-02-11
2002,CY,CY_N2K_000341,SPA,GR631,HAB_021,SP_0341,124701.37,FV,FORESTRY,1,22,0,411_INLAND_WETLAND,MODERATE,0.7689,0.8857,32371642.11,LIFE_PROJECT_DATABASE,2019-02-24
2003,GR,GR_N2K_000342,SPA,SE643,HAB_022,SP_0342,147773.99,U1,WATER_ABSTRACTION,0,8,0,512_WATER,GOOD,0.6506,0.3159,16818416.23,NATIONAL_HABITAT_REPORTING,2019-03-09
2004,MT,MT_N2K_000343,SPA,LV84,HAB_023,SP_0343,81341.17,U2,TOURISM_PRESSURE,0,15,0,111_URBAN,HIGH,0.3419,0.9129,8382060.25,EEA_NATURA2000,2019-03-22
2005,ES,ES_N2K_000344,SPA,RO1,HAB_024,SP_0344,65231.34,XX,CLIMATE_CHANGE,1,25,1,211_ARABLE,UNKNOWN,0.6699,0.6756,484014.92,LIFE_PROJECT_DATABASE,2019-04-04
2006,CZ,CZ_N2K_000345,SPA,SE735,HAB_025,SP_0345,248900.74,FV,AGRI_INTENSIFICATION,1,18,1,231_PASTURES,BAD,0.771,0.3965,23022034.15,NATIONAL_HABITAT_REPORTING,2019-04-17
2007,HU,HU_N2K_000346,SPA,DE1,HAB_026,SP_0346,176886.0,U1,URBANISATION,1,26,1,311_BROADLEAVED,POOR,0.2234,0.492,10909744.58,EEA_NATURA2000,2019-04-30
2008,NL,NL_N2K_000347,SPA,DK89,HAB_027,SP_0347,209018.68,U2,POLLUTION,0,24,1,312_CONIFEROUS,MODERATE,0.4796,0.3851,17150871.47,LIFE_PROJECT_DATABASE,2019-05-13
2009,SE,SE_N2K_000348,SPA,ES397,HAB_028,SP_0348,172269.76,XX,INVASIVE_SPECIES,1,13,0,313_MIXED,GOOD,0.8043,0.3504,33190247.78,NATIONAL_HABITAT_REPORTING,2019-05-26
2010,DK,DK_N2K_000349,SPA,ES1,HAB_029,SP_0349,31270.76,FV,FORESTRY,1,9,0,321_NATURAL_GRASS,HIGH,0.5661,0.41,10423989.81,EEA_NATURA2000,2019-06-08
2011,IE,IE_N2K_000350,SPA,NL63,HAB_030,SP_0350,145309.61,U1,WATER_ABSTRACTION,1,0,0,411_INLAND_WETLAND,UNKNOWN,0.686,0.1027,2911273.98,LIFE_PROJECT_DATABASE,2019-06-21
2012,PL,PL_N2K_000351,SPA,LU85,HAB_031,SP_0351,113969.85,U2,TOURISM_PRESSURE,1,13,0,512_WATER,BAD,0.9039,0.422,6767668.94,NATIONAL_HABITAT_REPORTING,2019-07-04
2013,AT,AT_N2K_000352,SPA,SE177,HAB_032,SP_0352,78525.12,XX,CLIMATE_CHANGE,0,20,0,111_URBAN,POOR,0.6593,0.9276,15703106.26,EEA_NATURA2000,2019-07-17
2014,EE,EE_N2K_000353,SPA,LT7,HAB_033,SP_0353,203159.08,FV,AGRI_INTENSIFICATION,1,21,0,211_ARABLE,MODERATE,0.5286,0.1057,32007548.02,LIFE_PROJECT_DATABASE,2019-07-30
2015,IT,IT_N2K_000354,SPA,LU69,HAB_034,SP_0354,28510.08,U1,URBANISATION,0,12,1,231_PASTURES,GOOD,0.5358,0.2458,8239508.33,NATIONAL_HABITAT_REPORTING,2019-08-12
2016,PT,PT_N2K_000355,SPA,IE19,HAB_035,SP_0355,93445.12,U2,POLLUTION,1,20,0,311_BROADLEAVED,HIGH,0.578,0.9359,5157428.17,EEA_NATURA2000,2019-08-25
2017,BE,BE_N2K_000356,SPA,LT6,HAB_036,SP_0356,188195.21,XX,INVASIVE_SPECIES,1,14,1,312_CONIFEROUS,UNKNOWN,0.6927,0.306,4367410.07,LIFE_PROJECT_DATABASE,2019-09-07
2018,FI,FI_N2K_000357,SPA,AT7,HAB_037,SP_0357,226881.83,FV,FORESTRY,1,17,0,313_MIXED,BAD,0.368,0.8712,17200332.25,NATIONAL_HABITAT_REPORTING,2019-09-20
2019,LV,LV_N2K_000358,SPA,LT62,HAB_038,SP_0358,129786.63,U1,WATER_ABSTRACTION,1,23,0,321_NATURAL_GRASS,POOR,0.0586,0.4095,5229037.62,EEA_NATURA2000,2019-10-03
2020,RO,RO_N2K_000359,SPA,NL212,HAB_039,SP_0359,92783.43,U2,TOURISM_PRESSURE,1,28,0,411_INLAND_WETLAND,MODERATE,0.5385,0.4448,25828409.53,LIFE_PROJECT_DATABASE,2019-10-16
2021,BG,BG_N2K_000360,SPA,RO424,HAB_040,SP_0360,162807.38,XX,CLIMATE_CHANGE,1,5,0,512_WATER,GOOD,0.8392,0.395,24404027.0,NATIONAL_HABITAT_REPORTING,2019-10-29
2022,FR,FR_N2K_000361,SPA,RO91,HAB_041,SP_0361,74591.75,FV,AGRI_INTENSIFICATION,0,26,0,111_URBAN,HIGH,0.7643,0.7061,11663272.42,EEA_NATURA2000,2019-11-11
2023,LT,LT_N2K_000362,SPA,DK72,HAB_042,SP_0362,44695.5,U1,URBANISATION,1,12,1,211_ARABLE,UNKNOWN,0.8497,0.6541,19512855.91,LIFE_PROJECT_DATABASE,2019-11-24
2024,SK,SK_N2K_000363,SPA,PL281,HAB_043,SP_0363,96244.22,U2,POLLUTION,1,15,0,231_PASTURES,BAD,0.2491,0.5504,21822041.58,NATIONAL_HABITAT_REPORTING,2019-12-07
2025,HR,HR_N2K_000364,SPA,AT103,HAB_044,SP_0364,65716.77,XX,INVASIVE_SPECIES,0,8,0,311_BROADLEAVED,POOR,0.8412,0.2051,1450432.9,EEA_NATURA2000,2019-12-20
2000,DE,DE_N2K_000365,SPA,GR5,HAB_045,SP_0365,108147.96,FV,FORESTRY,1,26,0,312_CONIFEROUS,MODERATE,0.3519,0.6326,30076729.68,LIFE_PROJECT_DATABASE,2020-01-02
2001,LU,LU_N2K_000366,SPA,IE577,HAB_046,SP_0366,37616.03,U1,WATER_ABSTRACTION,0,20,0,313_MIXED,GOOD,0.3899,0.2279,17778940.77,NATIONAL_HABITAT_REPORTING,2020-01-15
2002,SI,SI_N2K_000367,SPA,ES4,HAB_047,SP_0367,108449.89,U2,TOURISM_PRESSURE,1,21,0,321_NATURAL_GRASS,HIGH,0.6884,0.8131,17710571.33,EEA_NATURA2000,2020-01-28
2003,CY,CY_N2K_000368,SPA,RO4,HAB_048,SP_0368,33561.4,XX,CLIMATE_CHANGE,1,18,0,411_INLAND_WETLAND,UNKNOWN,0.6717,0.4714,23883907.3,LIFE_PROJECT_DATABASE,2020-02-10
2004,GR,GR_N2K_000369,SPA,SI1,HAB_049,SP_0369,214657.13,FV,AGRI_INTENSIFICATION,1,26,0,512_WATER,BAD,0.9417,0.9482,3392476.16,NATIONAL_HABITAT_REPORTING,2020-02-23
2005,MT,MT_N2K_000370,SPA,SK809,HAB_050,SP_0370,12008.24,U1,URBANISATION,0,24,1,111_URBAN,POOR,0.9054,0.6968,16173101.42,EEA_NATURA2000,2020-03-07
2006,ES,ES_N2K_000371,SPA,CY1,HAB_051,SP_0371,196864.55,U2,POLLUTION,1,21,1,211_ARABLE,MODERATE,0.8006,0.5438,31724180.79,LIFE_PROJECT_DATABASE,2020-03-20
2007,CZ,CZ_N2K_000372,SPA,PT523,HAB_052,SP_0372,195966.14,XX,INVASIVE_SPECIES,1,6,0,231_PASTURES,GOOD,0.31,0.198,24521291.15,NATIONAL_HABITAT_REPORTING,2020-04-02
2008,HU,HU_N2K_000373,SPA,MT59,HAB_053,SP_0373,174876.22,FV,FORESTRY,1,26,0,311_BROADLEAVED,HIGH,0.7045,0.3426,4616519.23,EEA_NATURA2000,2020-04-15
2009,NL,NL_N2K_000374,SPA,IT36,HAB_054,SP_0374,111899.91,U1,WATER_ABSTRACTION,1,13,1,312_CONIFEROUS,UNKNOWN,0.4353,0.894,33154893.01,LIFE_PROJECT_DATABASE,2020-04-28
2010,SE,SE_N2K_000375,SPA,CZ3,HAB_055,SP_0375,108346.2,U2,TOURISM_PRESSURE,1,32,0,313_MIXED,BAD,0.124,0.6499,22427813.73,NATIONAL_HABITAT_REPORTING,2020-05-11
2011,DK,DK_N2K_000376,SPA,RO84,HAB_056,SP_0376,160121.76,XX,CLIMATE_CHANGE,1,23,0,321_NATURAL_GRASS,POOR,0.7636,0.6269,8831493.66,EEA_NATURA2000,2020-05-24
2012,IE,IE_N2K_000377,SPA,EE72,HAB_057,SP_0377,185202.61,FV,AGRI_INTENSIFICATION,1,4,0,411_INLAND_WETLAND,MODERATE,0.9425,0.4168,6278125.4,LIFE_PROJECT_DATABASE,2020-06-06
2013,PL,PL_N2K_000378,SPA,LT5,HAB_058,SP_0378,6947.74,U1,URBANISATION,0,10,0,512_WATER,GOOD,0.7056,0.4027,18658898.21,NATIONAL_HABITAT_REPORTING,2020-06-19
2014,AT,AT_N2K_000379,SPA,DK926,HAB_059,SP_0379,183440.35,U2,POLLUTION,1,0,0,111_URBAN,HIGH,0.2614,0.3227,31078039.04,EEA_NATURA2000,2020-07-02
2015,EE,EE_N2K_000380,SPA,PT34,HAB_060,SP_0380,109162.95,XX,INVASIVE_SPECIES,1,6,0,211_ARABLE,UNKNOWN,0.852,0.7987,11378966.33,LIFE_PROJECT_DATABASE,2020-07-15
2016,IT,IT_N2K_000381,SPA,PL7,HAB_061,SP_0381,170502.37,FV,FORESTRY,1,20,0,231_PASTURES,BAD,0.8016,0.8528,16342282.94,NATIONAL_HABITAT_REPORTING,2020-07-28
2017,PT,PT_N2K_000382,SPA,LV413,HAB_062,SP_0382,151069.25,U1,WATER_ABSTRACTION,1,5,1,311_BROADLEAVED,POOR,0.2837,0.8488,13740155.07,EEA_NATURA2000,2020-08-10
2018,BE,BE_N2K_000383,SPA,IE987,HAB_063,SP_0383,161666.13,U2,TOURISM_PRESSURE,1,11,0,312_CONIFEROUS,MODERATE,0.9033,0.2415,18441043.14,LIFE_PROJECT_DATABASE,2020-08-23
2019,FI,FI_N2K_000384,SPA,LT94,HAB_064,SP_0384,108278.46,XX,CLIMATE_CHANGE,0,14,1,313_MIXED,GOOD,0.4717,0.4631,4374320.36,NATIONAL_HABITAT_REPORTING,2020-09-05
2020,LV,LV_N2K_000385,SPA,LT31,HAB_065,SP_0385,63591.33,FV,AGRI_INTENSIFICATION,1,9,0,321_NATURAL_GRASS,HIGH,0.0731,0.9018,23456388.44,EEA_NATURA2000,2020-09-18
2021,RO,RO_N2K_000386,SPA,FR880,HAB_066,SP_0386,31722.62,U1,URBANISATION,0,27,0,411_INLAND_WETLAND,UNKNOWN,0.0813,0.4876,17561002.41,LIFE_PROJECT_DATABASE,2020-10-01
2022,BG,BG_N2K_000387,SPA,SK6,HAB_067,SP_0387,155663.23,U2,POLLUTION,1,26,1,512_WATER,BAD,0.739,0.1842,22728784.54,NATIONAL_HABITAT_REPORTING,2020-10-14
2023,FR,FR_N2K_000388,SPA,FI58,HAB_068,SP_0388,37080.93,XX,INVASIVE_SPECIES,0,9,0,111_URBAN,POOR,0.7267,0.5506,3778302.65,EEA_NATURA2000,2020-10-27
2024,LT,LT_N2K_000389,SPA,CY289,HAB_069,SP_0389,120525.17,FV,FORESTRY,0,6,0,211_ARABLE,MODERATE,0.2678,0.4763,5899776.97,LIFE_PROJECT_DATABASE,2020-11-09
2025,SK,SK_N2K_000390,SPA,BE5,HAB_070,SP_0390,70220.34,U1,WATER_ABSTRACTION,0,20,0,231_PASTURES,GOOD,0.3352,0.85,14533805.26,NATIONAL_HABITAT_REPORTING,2020-11-22
2000,HR,HR_N2K_000391,SPA,EE2,HAB_071,SP_0391,118540.32,U2,TOURISM_PRESSURE,0,7,1,311_BROADLEAVED,HIGH,0.8359,0.2867,8271233.42,EEA_NATURA2000,2020-12-05
2001,DE,DE_N2K_000392,SPA,FI23,HAB_072,SP_0392,222970.5,XX,CLIMATE_CHANGE,0,20,0,312_CONIFEROUS,UNKNOWN,0.5917,0.373,9868253.37,LIFE_PROJECT_DATABASE,2020-12-18
2002,LU,LU_N2K_000393,SPA,SE25,HAB_073,SP_0393,147111.6,FV,AGRI_INTENSIFICATION,1,2,0,313_MIXED,BAD,0.5898,0.1527,26043260.96,NATIONAL_HABITAT_REPORTING,2020-12-31
2003,SI,SI_N2K_000394,SPA,HU32,HAB_074,SP_0394,137550.57,U1,URBANISATION,1,3,0,321_NATURAL_GRASS,POOR,0.9657,0.2138,18815792.62,EEA_NATURA2000,2021-01-13
2004,CY,CY_N2K_000395,SPA,DK27,HAB_075,SP_0395,110965.39,U2,POLLUTION,0,6,0,411_INLAND_WETLAND,MODERATE,0.9536,0.7022,4554814.94,LIFE_PROJECT_DATABASE,2021-01-26
2005,GR,GR_N2K_000396,SPA,LV1,HAB_076,SP_0396,133715.29,XX,INVASIVE_SPECIES,0,10,0,512_WATER,GOOD,0.7033,0.1131,8966829.31,NATIONAL_HABITAT_REPORTING,2021-02-08
2006,MT,MT_N2K_000397,SPA,SK356,HAB_077,SP_0397,161579.22,FV,FORESTRY,1,5,0,111_URBAN,HIGH,0.44,0.5419,12598807.63,EEA_NATURA2000,2021-02-21
2007,ES,ES_N2K_000398,SPA,DE83,HAB_078,SP_0398,120863.59,U1,WATER_ABSTRACTION,1,1,0,211_ARABLE,UNKNOWN,0.2386,0.2548,7666529.31,LIFE_PROJECT_DATABASE,2021-03-06
2008,CZ,CZ_N2K_000399,SPA,BG32,HAB_079,SP_0399,246503.38,U2,TOURISM_PRESSURE,1,27,0,231_PASTURES,BAD,0.881,0.2871,25987159.93,NATIONAL_HABITAT_REPORTING,2021-03-19
2009,HU,HU_N2K_000400,SPA,HR193,HAB_080,SP_0400,184570.11,XX,CLIMATE_CHANGE,1,1,0,311_BROADLEAVED,POOR,0.6369,0.4169,18197799.83,EEA_NATURA2000,2021-04-01
2010,NL,NL_N2K_000401,SPA,GR7,HAB_081,SP_0401,191470.05,FV,AGRI_INTENSIFICATION,0,14,0,312_CONIFEROUS,MODERATE,0.733,0.3824,5212311.57,LIFE_PROJECT_DATABASE,2021-04-14
2011,SE,SE_N2K_000402,SPA,SK830,HAB_082,SP_0402,142896.52,U1,URBANISATION,1,13,0,313_MIXED,GOOD,0.8992,0.8596,32329830.58,NATIONAL_HABITAT_REPORTING,2021-04-27
2012,DK,DK_N2K_000403,SPA,ES65,HAB_083,SP_0403,146665.73,U2,POLLUTION,1,0,0,321_NATURAL_GRASS,HIGH,0.1316,0.6218,25228174.68,EEA_NATURA2000,2021-05-10
2013,IE,IE_N2K_000404,SPA,CZ861,HAB_084,SP_0404,79899.09,XX,INVASIVE_SPECIES,1,14,0,411_INLAND_WETLAND,UNKNOWN,0.6679,0.186,10159740.75,LIFE_PROJECT_DATABASE,2021-05-23
2014,PL,PL_N2K_000405,SPA,IE529,HAB_085,SP_0405,233495.5,FV,FORESTRY,0,11,0,512_WATER,BAD,0.2413,0.3131,2838974.76,NATIONAL_HABITAT_REPORTING,2021-06-05
2015,AT,AT_N2K_000406,SPA,FI89,HAB_086,SP_0406,191238.02,U1,WATER_ABSTRACTION,1,10,0,111_URBAN,POOR,0.6895,0.6461,4101555.27,EEA_NATURA2000,2021-06-18
2016,EE,EE_N2K_000407,SPA,SE552,HAB_087,SP_0407,140291.61,U2,TOURISM_PRESSURE,1,5,0,211_ARABLE,MODERATE,0.4063,0.2016,32068268.7,LIFE_PROJECT_DATABASE,2021-07-01
2017,IT,IT_N2K_000408,SPA,LT683,HAB_088,SP_0408,248197.36,XX,CLIMATE_CHANGE,0,23,0,231_PASTURES,GOOD,0.2635,0.92,16666214.79,NATIONAL_HABITAT_REPORTING,2021-07-14
2018,PT,PT_N2K_000409,SPA,DE508,HAB_089,SP_0409,229754.56,FV,AGRI_INTENSIFICATION,1,0,0,311_BROADLEAVED,HIGH,0.9261,0.8279,6435214.39,EEA_NATURA2000,2021-07-27
2019,BE,BE_N2K_000410,SPA,FR128,HAB_090,SP_0410,164233.6,U1,URBANISATION,1,20,0,312_CONIFEROUS,UNKNOWN,0.7103,0.5248,32333249.84,LIFE_PROJECT_DATABASE,2021-08-09
2020,FI,FI_N2K_000411,SPA,NL687,HAB_091,SP_0411,151191.91,U2,POLLUTION,0,26,0,313_MIXED,BAD,0.4264,0.4285,6158435.21,NATIONAL_HABITAT_REPORTING,2021-08-22
2021,LV,LV_N2K_000412,SPA,GR970,HAB_092,SP_0412,216378.04,XX,INVASIVE_SPECIES,1,4,1,321_NATURAL_GRASS,POOR,0.3918,0.7355,17271784.43,EEA_NATURA2000,2021-09-04
2022,RO,RO_N2K_000413,SPA,MT950,HAB_093,SP_0413,35416.9,FV,FORESTRY,1,16,0,411_INLAND_WETLAND,MODERATE,0.168,0.53,23306876.38,LIFE_PROJECT_DATABASE,2021-09-17
2023,BG,BG_N2K_000414,SPA,FI92,HAB_094,SP_0414,62708.27,U1,WATER_ABSTRACTION,1,15,1,512_WATER,GOOD,0.1751,0.9432,3049602.97,NATIONAL_HABITAT_REPORTING,2021-09-30
2024,FR,FR_N2K_000415,SPA,HR55,HAB_095,SP_0415,194491.64,U2,TOURISM_PRESSURE,1,19,1,111_URBAN,HIGH,0.3076,0.8323,15948737.91,EEA_NATURA2000,2021-10-13
2025,LT,LT_N2K_000416,SPA,LU42,HAB_096,SP_0416,80007.67,XX,CLIMATE_CHANGE,0,21,0,211_ARABLE,UNKNOWN,0.5981,0.6955,8314626.8,LIFE_PROJECT_DATABASE,2021-10-26
2000,SK,SK_N2K_000417,SPA,IE49,HAB_097,SP_0417,47182.95,FV,AGRI_INTENSIFICATION,1,26,0,231_PASTURES,BAD,0.052,0.891,24611736.61,NATIONAL_HABITAT_REPORTING,2021-11-08
2001,HR,HR_N2K_000418,SPA,DK95,HAB_098,SP_0418,132920.99,U1,URBANISATION,1,30,1,311_BROADLEAVED,POOR,0.7502,0.5008,12863866.92,EEA_NATURA2000,2021-11-21
2002,DE,DE_N2K_000419,SPA,IE2,HAB_099,SP_0419,154115.94,U2,POLLUTION,1,8,0,312_CONIFEROUS,MODERATE,0.253,0.3345,6797722.43,LIFE_PROJECT_DATABASE,2021-12-04
