travel_tourism_reference_month,travel_tourism_destination_nuts_code,travel_tourism_country_iso2,travel_tourism_accommodation_type_code,travel_tourism_visitor_residency_country_iso2,travel_tourism_domestic_inbound_outbound_code,travel_tourism_nights_spent_count,travel_tourism_arrivals_count,travel_tourism_avg_length_of_stay_nights,travel_tourism_occupancy_rate_pct,travel_tourism_spend_total_eur,travel_tourism_spend_per_night_eur,travel_tourism_seasonality_index,travel_tourism_airbnb_like_listings_count,travel_tourism_short_term_rental_regulatory_flag,travel_tourism_sustainable_tourism_label_flag,travel_tourism_over_tourism_pressure_index,travel_tourism_eurostat_table_code,travel_tourism_data_collection_wave,travel_tourism_data_extract_date
2023-04,HR667,HR,HOSTEL,DE,DOMESTIC,5206,1046,4.98,39.11,934390.86,177.39,1.496,1316,0,0,0.8401,tour_occ_nim,2023W2,2024-08-20
2023-05,SE88,SE,CAMPING,PT,INBOUND,5549,1491,3.72,81.16,760449.13,152.45,1.148,1408,1,0,0.0924,tour_dem_ttac,2023W1,2024-07-09
2023-06,CY87,CY,APARTHOTEL,DZ,OUTBOUND,4909,865,5.68,46.63,923571.91,175.91,0.663,1170,1,0,0.9711,tour_occ_toor,2022W4,2024-05-10
2023-07,HR32,HR,HOTEL,MA,DOMESTIC,5373,1064,5.05,68.14,923101.72,166.16,0.917,1065,1,1,0.7485,tour_occ_arm,2022W3,2025-11-01
2023-08,BE71,BE,OTHER,TR,INBOUND,4497,1099,4.09,51.2,189462.6,43.62,0.722,1268,1,0,0.3007,tour_cap_nat,2022W2,2025-03-30
2023-09,SE65,SE,SHORT_TERM_RENTAL,EE,OUTBOUND,4617,762,6.06,44.92,227329.35,45.89,1.083,1132,1,0,0.8134,tour_occ_nim,2022W1,2024-04-11
2023-10,RO203,RO,HOSTEL,MT,DOMESTIC,5200,2225,2.34,71.31,471013.94,96.18,1.266,1216,1,1,0.6616,tour_dem_ttac,2026W4,2025-10-20
2023-11,ES267,ES,CAMPING,BY,INBOUND,5080,1337,3.8,58.8,519657.26,113.84,0.827,1344,1,1,0.2134,tour_occ_toor,2026W3,2025-12-20
2023-12,IE683,IE,APARTHOTEL,IS,OUTBOUND,4777,1622,2.95,75.63,368886.28,84.68,0.841,1427,0,1,0.6478,tour_occ_arm,2026W2,2024-05-23
2024-01,NL9,NL,HOTEL,RU,DOMESTIC,4837,1177,4.11,41.98,294847.88,63.21,0.75,1224,1,0,0.3144,tour_cap_nat,2026W1,2024-04-03
2024-02,NL21,NL,OTHER,CY,INBOUND,5265,2097,2.51,71.88,768337.46,139.88,1.095,1418,0,1,0.6526,tour_occ_nim,2025W4,2026-01-04
2024-03,PL961,PL,SHORT_TERM_RENTAL,LV,OUTBOUND,5701,1232,4.63,32.78,735113.74,140.26,0.794,1452,0,0,0.6932,tour_dem_ttac,2025W3,2025-08-20
2024-04,IT6,IT,HOSTEL,SE,DOMESTIC,5434,1058,5.14,29.5,899539.82,158.74,0.948,1402,0,0,0.4818,tour_occ_toor,2025W2,2026-01-04
2024-05,SK4,SK,CAMPING,IN,INBOUND,4898,1827,2.68,40.15,979354.42,213.77,1.39,1204,0,0,0.9717,tour_occ_arm,2025W1,2026-01-28
2024-06,EE3,EE,APARTHOTEL,NO,OUTBOUND,4707,1322,3.56,71.02,580563.35,111.06,1.264,1097,0,0,0.8178,tour_cap_nat,2024W4,2024-06-11
2024-07,FI97,FI,HOTEL,BE,DOMESTIC,5711,1848,3.09,24.64,1030141.41,165.12,1.323,1337,1,0,0.1604,tour_occ_nim,2024W3,2025-11-18
2024-08,NL13,NL,OTHER,HU,INBOUND,5145,945,5.44,86.35,967982.06,172.01,1.321,1443,1,0,0.2604,tour_dem_ttac,2024W2,2025-02-13
2024-09,MT83,MT,SHORT_TERM_RENTAL,SK,OUTBOUND,4963,1508,3.29,94.0,1161063.41,208.55,0.97,1194,0,0,0.8052,tour_occ_toor,2024W1,2025-07-17
2024-10,FI3,FI,HOSTEL,GB,DOMESTIC,5276,1566,3.37,37.22,1136685.41,251.92,1.45,1110,1,0,0.9433,tour_occ_arm,2023W4,2025-01-17
2024-11,EE213,EE,CAMPING,ME,INBOUND,4677,1580,2.96,69.13,797651.34,179.29,1.183,1157,0,1,0.4572,tour_cap_nat,2023W3,2024-02-15
2024-12,HR27,HR,APARTHOTEL,US,OUTBOUND,4933,955,5.17,29.98,265857.58,49.2,1.348,1462,1,0,0.4591,tour_occ_nim,2023W2,2025-07-17
2025-01,GR71,GR,HOTEL,FR,DOMESTIC,5600,1537,3.64,50.12,520756.35,104.48,1.285,1246,1,1,0.2149,tour_dem_ttac,2023W1,2025-06-29
2025-02,LV8,LV,OTHER,PL,INBOUND,4837,1036,4.67,47.92,1207955.0,243.87,0.777,1212,0,0,0.7665,tour_occ_toor,2022W4,2024-01-19
2025-03,CY887,CY,SHORT_TERM_RENTAL,CN,OUTBOUND,4690,1009,4.65,78.06,700173.88,152.95,1.309,1447,1,1,0.837,tour_occ_arm,2022W3,2024-10-04
2025-04,CZ81,CZ,HOSTEL,KE,DOMESTIC,5122,904,5.67,80.19,753075.89,132.85,0.919,1342,0,0,0.5155,tour_cap_nat,2022W2,2024-12-19
2025-05,PT620,PT,CAMPING,TN,INBOUND,5442,1002,5.43,27.24,277066.23,44.86,0.914,1408,1,1,0.863,tour_occ_nim,2022W1,2025-08-20
2025-06,ES7,ES,APARTHOTEL,DK,OUTBOUND,4980,1813,2.75,86.48,1129600.23,228.29,1.309,1268,0,0,0.428,tour_dem_ttac,2026W4,2025-02-20
2025-07,LT7,LT,HOTEL,LU,DOMESTIC,5687,1009,5.64,75.53,674957.8,112.68,1.408,1115,1,0,0.4654,tour_occ_toor,2026W3,2026-01-02
2025-08,CY3,CY,OTHER,BA,INBOUND,4846,1455,3.33,86.0,541293.12,98.14,1.447,1308,0,0,0.5921,tour_occ_arm,2026W2,2026-02-11
2025-09,IT9,IT,SHORT_TERM_RENTAL,IR,OUTBOUND,4808,889,5.41,34.55,518685.01,98.93,0.901,1230,1,0,0.6505,tour_cap_nat,2026W1,2025-01-17
2025-10,SK5,SK,HOSTEL,RS,DOMESTIC,5423,943,5.75,83.66,339947.37,69.49,1.137,1122,0,0,0.4478,tour_occ_nim,2025W4,2024-03-11
2025-11,DE5,DE,CAMPING,HR,INBOUND,5052,1181,4.28,20.67,138912.73,28.42,0.731,1191,1,0,0.2542,tour_dem_ttac,2025W3,2024-10-01
2025-12,NL8,NL,APARTHOTEL,IT,OUTBOUND,5566,1203,4.63,38.21,113284.62,21.94,0.947,1498,1,0,0.9403,tour_occ_toor,2025W2,2025-01-18
2026-01,BE229,BE,HOTEL,ES,DOMESTIC,5128,1777,2.89,21.86,603292.8,133.19,1.547,1472,0,0,0.2256,tour_occ_arm,2025W1,2024-11-01
2026-02,HU33,HU,OTHER,GH,INBOUND,4810,1131,4.25,57.86,996989.49,192.95,0.662,1122,0,0,0.1437,tour_cap_nat,2024W4,2024-08-07
2026-03,PL8,PL,SHORT_TERM_RENTAL,NG,OUTBOUND,4773,1163,4.1,44.28,566061.73,127.63,0.743,1441,1,0,0.849,tour_occ_nim,2024W3,2025-09-02
2026-04,AT96,AT,HOSTEL,AT,DOMESTIC,5086,1088,4.67,55.92,1076703.95,203.22,1.269,1336,1,1,0.3488,tour_dem_ttac,2024W2,2024-07-29
2026-05,HR3,HR,CAMPING,GR,INBOUND,4927,941,5.24,32.23,953872.94,211.32,1.32,1136,1,0,0.6998,tour_occ_toor,2024W1,2025-08-23
2026-06,SK125,SK,APARTHOTEL,RO,OUTBOUND,5177,1121,4.62,94.5,1188094.32,253.67,1.542,1267,1,1,0.1297,tour_occ_arm,2023W4,2024-02-23
2026-07,HU51,HU,HOTEL,EG,DOMESTIC,5851,1128,5.19,57.14,546751.75,102.62,1.075,1191,1,1,0.5381,tour_cap_nat,2023W3,2025-04-24
2026-08,LU67,LU,OTHER,MD,INBOUND,5484,906,6.05,76.12,971756.42,154.88,1.262,1505,1,0,0.388,tour_occ_nim,2023W2,2025-07-16
2026-09,LU535,LU,SHORT_TERM_RENTAL,UA,OUTBOUND,5715,1756,3.25,77.42,1117537.18,197.08,0.734,1336,0,0,0.3824,tour_dem_ttac,2023W1,2025-07-04
2026-10,FI525,FI,HOSTEL,FI,DOMESTIC,5918,1372,4.31,65.88,1120200.16,177.36,0.843,1430,0,0,0.1613,tour_occ_toor,2022W4,2025-08-27
2026-11,HR6,HR,CAMPING,NL,INBOUND,5751,1050,5.48,51.75,1253639.6,194.06,1.291,1127,1,0,0.2214,tour_occ_arm,2022W3,2024-09-09
2026-12,DE847,DE,APARTHOTEL,CH,OUTBOUND,4978,1026,4.85,31.67,1082818.07,232.99,0.97,1192,0,1,0.7357,tour_cap_nat,2022W2,2024-11-03
2018-01,LV288,LV,HOTEL,JP,DOMESTIC,5367,1160,4.63,52.33,169763.38,29.5,0.85,1162,1,0,0.3778,tour_occ_nim,2022W1,2024-06-24
2018-02,LT383,LT,OTHER,SY,INBOUND,5817,959,6.07,33.85,720042.18,142.89,1.347,1460,1,0,0.0996,tour_dem_ttac,2026W4,2025-07-04
2018-03,FI627,FI,SHORT_TERM_RENTAL,CZ,OUTBOUND,4956,2004,2.47,63.41,476169.09,104.28,0.684,1494,1,0,0.5947,tour_occ_toor,2026W3,2024-07-18
2018-04,HR55,HR,HOSTEL,LT,DOMESTIC,5277,1027,5.14,37.14,979166.67,167.35,1.138,1245,1,0,0.6702,tour_occ_arm,2026W2,2024-07-17
2018-05,LV4,LV,CAMPING,AL,INBOUND,5539,987,5.61,36.39,718699.2,136.38,0.973,1392,0,0,0.7768,tour_cap_nat,2026W1,2025-12-22
2018-06,LV845,LV,APARTHOTEL,IQ,OUTBOUND,5621,1392,4.04,63.18,1072794.38,216.69,1.29,1164,0,1,0.2686,tour_occ_nim,2025W4,2025-08-23
2018-07,SE244,SE,HOTEL,PK,DOMESTIC,6060,1275,4.75,30.67,377253.83,54.48,1.333,1197,1,0,0.1566,tour_dem_ttac,2025W3,2025-10-02
2018-08,HR624,HR,OTHER,BG,INBOUND,5960,988,6.03,72.82,542647.02,104.48,1.002,1288,0,0,0.9145,tour_occ_toor,2025W2,2024-09-26
2018-09,LT8,LT,SHORT_TERM_RENTAL,IE,OUTBOUND,5892,1568,3.76,90.72,703006.69,124.75,1.028,1214,1,0,0.0878,tour_occ_arm,2025W1,2024-09-29
2018-10,BG376,BG,HOSTEL,SI,DOMESTIC,5692,1818,3.13,52.35,1154083.1,187.77,0.887,1338,1,0,0.3397,tour_cap_nat,2024W4,2025-12-14
2018-11,RO917,RO,CAMPING,GE,INBOUND,5477,1622,3.38,47.72,251045.6,43.64,0.86,1323,1,0,0.705,tour_occ_nim,2024W3,2025-08-07
2018-12,BG928,BG,APARTHOTEL,MK,OUTBOUND,5744,2271,2.53,47.98,271248.71,45.99,1.535,1437,1,1,0.9512,tour_dem_ttac,2024W2,2025-03-03
2019-01,HU37,HU,HOTEL,VN,DOMESTIC,5893,1829,3.22,24.42,1600379.03,240.1,0.96,1311,1,0,0.9288,tour_occ_toor,2024W1,2025-12-29
2019-02,AT531,AT,OTHER,DE,INBOUND,5910,2384,2.48,37.45,1478263.88,257.19,0.898,1482,1,0,0.8235,tour_occ_arm,2023W4,2024-09-27
2019-03,LT811,LT,SHORT_TERM_RENTAL,PT,OUTBOUND,5497,2057,2.67,84.71,784439.52,145.33,0.767,1248,1,1,0.4923,tour_cap_nat,2023W3,2025-03-10
2019-04,SE81,SE,HOSTEL,DZ,DOMESTIC,5690,935,6.09,73.26,1345324.68,207.11,0.915,1224,1,1,0.1507,tour_occ_nim,2023W2,2025-07-30
2019-05,DE963,DE,CAMPING,MA,INBOUND,6033,1406,4.29,53.35,443806.98,78.24,1.434,1214,1,1,0.2931,tour_dem_ttac,2023W1,2025-01-28
2019-06,FR198,FR,APARTHOTEL,TR,OUTBOUND,5880,1347,4.37,23.9,899225.82,169.01,1.388,1495,1,0,0.3199,tour_occ_toor,2022W4,2026-01-17
2019-07,CZ77,CZ,HOTEL,EE,DOMESTIC,6082,1028,5.92,92.21,411604.8,69.58,0.72,1494,1,1,0.1058,tour_occ_arm,2022W3,2024-12-15
2019-08,FR2,FR,OTHER,MT,INBOUND,5507,1234,4.46,64.1,821405.41,137.15,0.658,1224,1,0,0.3265,tour_cap_nat,2022W2,2024-01-10
2019-09,AT861,AT,SHORT_TERM_RENTAL,BY,OUTBOUND,5851,1405,4.16,76.34,876277.22,174.18,1.163,1316,0,0,0.8184,tour_occ_nim,2022W1,2025-01-21
2019-10,DE53,DE,HOSTEL,IS,DOMESTIC,5445,1579,3.45,84.83,455180.43,87.02,0.832,1356,0,0,0.728,tour_dem_ttac,2026W4,2024-06-14
2019-11,HR403,HR,CAMPING,RU,INBOUND,5844,1190,4.91,92.0,111724.03,19.55,1.471,1505,1,0,0.6677,tour_occ_toor,2026W3,2024-04-26
2019-12,ES80,ES,APARTHOTEL,CY,OUTBOUND,5670,1627,3.48,57.55,809963.59,164.54,1.203,1275,1,0,0.8513,tour_occ_arm,2026W2,2024-04-16
2020-01,RO97,RO,HOTEL,LV,DOMESTIC,5920,1766,3.35,32.95,1372050.16,215.13,0.813,1376,1,0,0.7549,tour_cap_nat,2026W1,2024-07-22
2020-02,GR830,GR,OTHER,SE,INBOUND,5435,1105,4.92,49.53,160697.0,26.68,1.366,1567,1,1,0.1247,tour_occ_nim,2025W4,2024-02-15
2020-03,CZ501,CZ,SHORT_TERM_RENTAL,IN,OUTBOUND,6047,1244,4.86,88.89,568696.89,88.55,1.263,1451,0,0,0.7362,tour_dem_ttac,2025W3,2024-04-29
2020-04,RO8,RO,HOSTEL,NO,DOMESTIC,5606,1214,4.62,19.63,704927.13,121.0,1.381,1490,1,0,0.222,tour_occ_toor,2025W2,2024-05-10
2020-05,LV142,LV,CAMPING,BE,INBOUND,5790,1590,3.64,51.69,941696.08,168.27,1.252,1196,0,0,0.6813,tour_occ_arm,2025W1,2025-10-07
2020-06,HR88,HR,APARTHOTEL,HU,OUTBOUND,6058,2044,2.96,57.62,1691785.27,252.49,1.039,1400,1,0,0.1357,tour_cap_nat,2024W4,2025-07-13
2020-07,PL167,PL,HOTEL,SK,DOMESTIC,5835,1789,3.26,60.24,1117643.6,185.91,1.275,1522,0,0,0.5981,tour_occ_nim,2024W3,2024-08-13
2020-08,CZ33,CZ,OTHER,GB,INBOUND,5690,1024,5.56,41.82,1083457.39,197.12,1.1,1285,1,1,0.4999,tour_dem_ttac,2024W2,2025-07-05
2020-09,LU4,LU,SHORT_TERM_RENTAL,ME,OUTBOUND,5670,2001,2.83,40.34,1562581.01,254.2,0.668,1541,1,1,0.5485,tour_occ_toor,2024W1,2026-01-28
2020-10,HR510,HR,HOSTEL,US,DOMESTIC,5606,1780,3.15,73.27,680849.89,137.35,0.817,1591,1,1,0.1058,tour_occ_arm,2023W4,2024-02-27
2020-11,GR90,GR,CAMPING,FR,INBOUND,5510,1018,5.41,95.61,1122316.33,183.16,1.46,1410,0,1,0.5967,tour_cap_nat,2023W3,2026-01-22
2020-12,LV91,LV,APARTHOTEL,PL,OUTBOUND,5334,1126,4.74,33.47,129081.93,23.24,1.39,1312,0,1,0.9011,tour_occ_nim,2023W2,2025-12-28
2021-01,BG81,BG,HOTEL,CN,DOMESTIC,5746,1089,5.28,74.26,751516.28,139.38,1.056,1254,0,0,0.3959,tour_dem_ttac,2023W1,2024-01-26
2021-02,HR91,HR,OTHER,KE,INBOUND,5254,1903,2.76,59.57,1152936.42,234.09,1.245,1358,0,0,0.2272,tour_occ_toor,2022W4,2024-09-22
2021-03,SE83,SE,SHORT_TERM_RENTAL,TN,OUTBOUND,5873,2003,2.93,71.94,1259452.41,240.24,0.831,1350,1,1,0.3265,tour_occ_arm,2022W3,2025-07-24
2021-04,PL1,PL,HOSTEL,DK,DOMESTIC,5761,1151,5.01,55.54,767652.47,145.54,1.03,1500,1,1,0.9502,tour_cap_nat,2022W2,2024-04-22
2021-05,SE4,SE,CAMPING,LU,INBOUND,6208,1414,4.39,59.96,1659163.66,243.12,0.959,1506,0,1,0.8102,tour_occ_nim,2022W1,2026-02-19
2021-06,GR17,GR,APARTHOTEL,BA,OUTBOUND,5332,1499,3.56,82.2,828649.66,148.6,1.065,1307,1,0,0.6424,tour_dem_ttac,2026W4,2024-11-27
2021-07,BG224,BG,HOTEL,IR,DOMESTIC,6204,1593,3.89,76.55,190646.72,29.77,0.826,1526,1,1,0.7453,tour_occ_toor,2026W3,2024-07-07
2021-08,LU5,LU,OTHER,RS,INBOUND,6267,2397,2.61,29.29,883292.58,149.86,1.176,1559,1,1,0.7884,tour_occ_arm,2026W2,2024-03-16
2021-09,ES876,ES,SHORT_TERM_RENTAL,HR,OUTBOUND,6144,2567,2.39,45.36,1330720.19,227.68,1.226,1383,1,0,0.8944,tour_cap_nat,2026W1,2024-07-15
2021-10,NL844,NL,HOSTEL,IT,DOMESTIC,5851,1144,5.11,90.75,1061881.56,161.97,1.398,1473,1,0,0.6771,tour_occ_nim,2025W4,2025-07-25
2021-11,DK892,DK,CAMPING,ES,INBOUND,6333,1137,5.57,55.14,677459.81,114.0,1.53,1326,0,1,0.532,tour_dem_ttac,2025W3,2025-01-31
2021-12,HU751,HU,APARTHOTEL,GH,OUTBOUND,5450,930,5.86,66.55,504597.8,80.99,0.792,1429,0,0,0.0849,tour_occ_toor,2025W2,2025-10-02
2022-01,AT11,AT,HOTEL,NG,DOMESTIC,5550,2160,2.57,44.91,574044.07,110.53,0.919,1497,1,1,0.902,tour_occ_arm,2025W1,2024-03-20
2022-02,RO87,RO,OTHER,AT,INBOUND,5908,1020,5.79,92.5,515675.8,99.27,1.112,1537,1,1,0.5669,tour_cap_nat,2024W4,2024-02-28
2022-03,IE327,IE,SHORT_TERM_RENTAL,GR,OUTBOUND,6106,1069,5.71,94.85,624756.44,111.79,1.55,1430,1,0,0.4455,tour_occ_nim,2024W3,2024-11-22
2022-04,DE7,DE,HOSTEL,RO,DOMESTIC,6235,1287,4.84,48.82,897370.92,134.26,0.842,1284,1,0,0.5476,tour_dem_ttac,2024W2,2024-02-03
2022-05,AT4,AT,CAMPING,EG,INBOUND,6040,2013,3.0,75.53,239964.05,37.94,1.083,1275,0,1,0.4537,tour_occ_toor,2024W1,2025-11-24
2022-06,HR85,HR,APARTHOTEL,MD,OUTBOUND,5321,1272,4.18,63.68,422951.63,78.9,1.369,1405,0,0,0.4387,tour_occ_arm,2023W4,2025-05-02
2022-07,LV436,LV,HOTEL,UA,DOMESTIC,6392,1875,3.41,90.31,1556316.81,224.64,1.194,1444,1,0,0.1025,tour_cap_nat,2023W3,2024-04-13
2022-08,LU66,LU,OTHER,FI,INBOUND,6100,1016,6.0,67.35,851845.36,160.63,0.818,1565,0,0,0.7946,tour_occ_nim,2023W2,2024-02-05
2022-09,BG24,BG,SHORT_TERM_RENTAL,NL,OUTBOUND,6232,2146,2.9,80.16,1666194.25,257.71,1.182,1470,0,0,0.4214,tour_dem_ttac,2023W1,2026-01-03
2022-10,NL663,NL,HOSTEL,CH,DOMESTIC,5451,939,5.81,52.5,216469.85,43.45,1.346,1410,0,1,0.2471,tour_occ_toor,2022W4,2024-07-17
2022-11,FR3,FR,CAMPING,JP,INBOUND,5660,1065,5.31,38.62,1171141.73,214.61,1.513,1294,1,0,0.7632,tour_occ_arm,2022W3,2024-05-18
2022-12,MT717,MT,APARTHOTEL,SY,OUTBOUND,6098,2178,2.8,54.67,777301.91,137.63,1.307,1554,1,1,0.7136,tour_cap_nat,2022W2,2025-11-25
2023-01,IT8,IT,HOTEL,CZ,DOMESTIC,6436,2108,3.05,94.62,1337223.11,192.73,1.378,1461,1,0,0.1143,tour_occ_nim,2022W1,2025-08-15
2023-02,ES55,ES,OTHER,LT,INBOUND,6199,1664,3.73,46.35,930963.62,140.26,0.895,1497,1,1,0.3746,tour_dem_ttac,2026W4,2025-07-09
2023-03,HU57,HU,SHORT_TERM_RENTAL,AL,OUTBOUND,5861,1007,5.82,33.14,742692.73,122.68,1.14,1524,1,1,0.5578,tour_occ_toor,2026W3,2025-09-05
2023-04,LT5,LT,HOSTEL,IQ,DOMESTIC,5419,1118,4.85,30.9,438481.25,91.65,1.397,1263,1,0,0.4422,tour_occ_arm,2026W2,2025-03-02
2023-05,GR2,GR,CAMPING,PK,INBOUND,6313,1807,3.49,19.31,678319.84,104.22,1.255,1282,1,0,0.919,tour_cap_nat,2026W1,2025-01-02
2023-06,BG75,BG,APARTHOTEL,BG,OUTBOUND,5363,958,5.6,79.69,587797.22,103.01,1.025,1540,0,0,0.2565,tour_occ_nim,2025W4,2026-02-09
2023-07,ES16,ES,HOTEL,IE,DOMESTIC,6408,2551,2.51,82.86,1383867.7,225.75,0.669,1442,0,1,0.2373,tour_dem_ttac,2025W3,2025-08-21
2023-08,SI461,SI,OTHER,SI,INBOUND,5358,2022,2.65,66.24,1072196.91,176.3,0.845,1426,0,1,0.1982,tour_occ_toor,2025W2,2024-12-29
2023-09,SK830,SK,SHORT_TERM_RENTAL,GE,OUTBOUND,6236,1824,3.42,20.64,644411.75,112.17,1.483,1622,1,1,0.7521,tour_occ_arm,2025W1,2024-10-07
2023-10,FR272,FR,HOSTEL,MK,DOMESTIC,5431,907,5.99,88.86,1042104.71,219.74,1.312,1387,0,0,0.9395,tour_cap_nat,2024W4,2024-03-17
2023-11,HR2,HR,CAMPING,VN,INBOUND,6475,1095,5.91,70.31,302866.35,40.87,1.048,1353,1,1,0.0702,tour_occ_nim,2024W3,2024-05-06
2023-12,HU76,HU,APARTHOTEL,DE,OUTBOUND,5962,1286,4.64,83.92,1368979.01,259.09,1.161,1644,1,0,0.3953,tour_dem_ttac,2024W2,2025-10-06
2024-01,HR92,HR,HOTEL,PT,DOMESTIC,5715,1291,4.43,66.6,268123.15,43.75,0.952,1293,0,1,0.8256,tour_occ_toor,2024W1,2024-08-03
2024-02,BG8,BG,OTHER,DZ,INBOUND,6540,2591,2.52,36.22,489637.17,67.89,1.077,1460,0,1,0.0977,tour_occ_arm,2023W4,2024-10-07
2024-03,NL26,NL,SHORT_TERM_RENTAL,MA,OUTBOUND,6414,1846,3.47,54.17,729925.81,130.22,1.399,1508,1,0,0.4603,tour_cap_nat,2023W3,2026-02-25
2024-04,FR907,FR,HOSTEL,TR,DOMESTIC,6187,1016,6.09,49.38,560946.83,79.09,0.684,1350,1,1,0.7063,tour_occ_nim,2023W2,2024-02-21
2024-05,ES71,ES,CAMPING,EE,INBOUND,5832,1130,5.16,89.6,208410.04,33.49,1.536,1410,0,1,0.4728,tour_dem_ttac,2023W1,2025-05-01
2024-06,PT552,PT,APARTHOTEL,MT,OUTBOUND,6481,2787,2.33,36.18,317392.1,42.7,1.16,1656,1,1,0.053,tour_occ_toor,2022W4,2026-02-21
2024-07,LV853,LV,HOTEL,BY,DOMESTIC,6317,1138,5.55,73.68,131677.78,18.2,1.165,1643,0,1,0.9192,tour_occ_arm,2022W3,2025-01-10
2024-08,LV38,LV,OTHER,IS,INBOUND,5569,1577,3.53,62.99,1420352.75,237.88,1.461,1426,1,1,0.8949,tour_cap_nat,2022W2,2025-11-05
2024-09,IE3,IE,SHORT_TERM_RENTAL,RU,OUTBOUND,6099,1762,3.46,48.54,460945.28,84.52,1.23,1641,0,1,0.4,tour_occ_nim,2022W1,2025-09-23
2024-10,GR349,GR,HOSTEL,CY,DOMESTIC,5850,1233,4.74,36.6,297923.07,56.57,0.857,1614,1,0,0.792,tour_dem_ttac,2026W4,2025-02-18
2024-11,BE5,BE,CAMPING,LV,INBOUND,5977,2694,2.22,60.63,877336.82,133.92,0.908,1558,1,1,0.8867,tour_occ_toor,2026W3,2025-03-02
2024-12,NL62,NL,APARTHOTEL,SE,OUTBOUND,6316,1094,5.77,56.69,1161198.75,197.38,1.213,1587,1,1,0.4075,tour_occ_arm,2026W2,2025-02-27
2025-01,DE18,DE,HOTEL,IN,DOMESTIC,6348,2765,2.3,87.99,231522.6,41.52,1.318,1631,0,1,0.6861,tour_cap_nat,2026W1,2025-05-17
2025-02,AT45,AT,OTHER,NO,INBOUND,6098,1860,3.28,92.1,1173187.37,223.14,1.384,1381,0,0,0.4049,tour_occ_nim,2025W4,2024-01-01
2025-03,PT101,PT,SHORT_TERM_RENTAL,BE,OUTBOUND,5984,1481,4.04,94.48,1126389.58,204.21,0.682,1359,0,0,0.9385,tour_dem_ttac,2025W3,2024-08-16
2025-04,CY413,CY,HOSTEL,HU,DOMESTIC,5960,1306,4.56,89.08,980500.27,155.52,1.101,1390,0,1,0.4783,tour_occ_toor,2025W2,2024-07-17
2025-05,GR279,GR,CAMPING,SK,INBOUND,6596,1105,5.97,72.99,749567.72,102.74,1.329,1360,0,0,0.5171,tour_occ_arm,2025W1,2024-12-03
2025-06,IT49,IT,APARTHOTEL,GB,OUTBOUND,6259,1457,4.3,20.26,912578.29,152.03,1.066,1689,0,0,0.655,tour_cap_nat,2024W4,2024-05-03
2025-07,CY185,CY,HOTEL,ME,DOMESTIC,6221,1341,4.64,33.73,719868.23,105.48,1.545,1432,0,1,0.7794,tour_occ_nim,2024W3,2024-10-18
2025-08,DE8,DE,OTHER,US,INBOUND,6419,1699,3.78,77.56,1087427.31,171.37,0.667,1600,0,1,0.9471,tour_dem_ttac,2024W2,2025-08-03
2025-09,SI449,SI,SHORT_TERM_RENTAL,FR,OUTBOUND,6540,1198,5.46,36.14,1016741.4,168.04,1.505,1521,0,0,0.2202,tour_occ_toor,2024W1,2025-07-29
2025-10,SI639,SI,HOSTEL,PL,DOMESTIC,6450,1341,4.81,22.57,1354959.15,185.21,0.732,1563,1,0,0.37,tour_occ_arm,2023W4,2025-08-04
2025-11,DE72,DE,CAMPING,CN,INBOUND,5819,1534,3.79,36.44,555029.39,89.32,0.919,1680,1,1,0.778,tour_cap_nat,2023W3,2024-04-23
2025-12,SK607,SK,APARTHOTEL,KE,OUTBOUND,6768,1579,4.29,74.66,443169.44,69.03,0.938,1649,1,0,0.7772,tour_occ_nim,2023W2,2025-12-28
2026-01,LU220,LU,HOTEL,TN,DOMESTIC,6518,1842,3.54,86.8,652427.93,96.1,1.2,1555,1,1,0.7673,tour_dem_ttac,2023W1,2025-01-16
2026-02,DE54,DE,OTHER,DK,INBOUND,6456,2576,2.51,61.69,118797.81,21.46,0.868,1716,1,1,0.5182,tour_occ_toor,2022W4,2025-04-29
2026-03,ES8,ES,SHORT_TERM_RENTAL,LU,OUTBOUND,6775,1246,5.44,37.9,608188.29,98.29,0.739,1554,0,1,0.9519,tour_occ_arm,2022W3,2024-09-12
2026-04,LV894,LV,HOSTEL,BA,DOMESTIC,5684,1059,5.37,41.74,361215.21,73.51,1.51,1606,0,1,0.7159,tour_cap_nat,2022W2,2025-03-16
2026-05,MT20,MT,CAMPING,IR,INBOUND,6335,1798,3.52,72.29,1313616.77,226.47,1.154,1375,1,0,0.8427,tour_occ_nim,2022W1,2024-11-16
2026-06,FI6,FI,APARTHOTEL,RS,OUTBOUND,5880,1291,4.55,43.58,1480404.05,251.21,1.132,1612,0,0,0.3575,tour_dem_ttac,2026W4,2025-12-05
2026-07,SK15,SK,HOTEL,HR,DOMESTIC,5637,1566,3.6,54.65,1121589.6,187.98,1.273,1405,0,0,0.3043,tour_occ_toor,2026W3,2024-05-09
2026-08,PL4,PL,OTHER,IT,INBOUND,5883,2375,2.48,60.81,611745.52,103.83,0.858,1528,1,1,0.961,tour_occ_arm,2026W2,2024-07-20
2026-09,ES91,ES,SHORT_TERM_RENTAL,ES,OUTBOUND,6816,1468,4.64,49.17,1106092.95,182.17,1.389,1576,1,0,0.1944,tour_cap_nat,2026W1,2025-08-31
