house_sales_sale_month,house_sales_parcel_id_hash,house_sales_property_type_code,house_sales_sale_price_usd,house_sales_sale_price_per_sqft,house_sales_days_on_market,house_sales_list_to_sale_ratio,house_sales_mortgage_rate_at_sale,house_sales_loan_to_value_pct,house_sales_down_payment_pct,house_sales_buyer_type_code,house_sales_seller_type_code,house_sales_cash_sale_flag,house_sales_new_construction_flag,house_sales_renovation_flag,house_sales_assessed_value_usd,house_sales_taxable_value_usd,house_sales_school_quality_index,house_sales_neighborhood_walkscore,house_sales_recording_document_type
2039-05,PARC0000000377,CONDO,847049,315.71,127,111.79,4.432,72.06,27.94,FIRST_TIME,ESTATE,0,1,0,639319,635351,3.7,77.4,TRUST_DEED
2039-06,PARC0000000378,TOWNHOME,322977,129.35,116,86.93,4.933,63.74,36.26,INVESTOR,ESTATE,0,1,0,306951,302026,3.2,11.0,QUITCLAIM
2039-07,PARC0000000379,MULTIFAMILY_5P,600869,125.15,36,101.08,2.971,75.31,24.69,FIRST_TIME,BUILDER,0,1,0,605708,458184,8.6,53.2,TRUST_DEED
2039-08,PARC0000000380,MULTIFAMILY_5P,570984,180.86,154,109.66,6.321,85.01,14.99,INVESTOR,INDIVIDUAL,0,0,0,418622,343870,9.0,78.8,WARRANTY_DEED
2039-09,PARC0000000381,MANUFACTURED,226140,82.08,111,101.76,2.529,58.42,41.58,FIRST_TIME,BUILDER,0,0,0,214884,181793,4.0,79.5,FORECLOSURE_DEED
2039-10,PARC0000000382,SFH,1101816,377.08,174,93.33,5.889,81.19,18.81,INVESTOR,BANK_REO,0,1,0,1027122,926009,9.1,51.3,QUITCLAIM
2039-11,PARC0000000383,CONDO,238079,47.72,184,104.91,4.326,66.9,33.1,FIRST_TIME,BUILDER,0,1,0,246357,198477,5.3,73.3,TRUST_DEED
2039-12,PARC0000000384,SFH,313755,89.88,129,85.73,2.642,50.6,49.4,INVESTOR,ESTATE,0,0,0,284065,262525,5.7,24.2,SHERIFF_DEED
2040-01,PARC0000000385,MULTIFAMILY_2_4,149219,114.08,163,91.5,5.268,87.51,12.49,INSTITUTIONAL,INVESTOR,0,0,1,105530,99950,3.0,16.8,WARRANTY_DEED
2040-02,PARC0000000386,SFH,1075365,1204.22,85,96.05,7.611,60.55,39.45,FIRST_TIME,INVESTOR,0,0,0,854005,835477,6.7,9.5,TRUST_DEED
2040-03,PARC0000000387,MANUFACTURED,322917,117.34,26,108.77,6.729,50.02,49.98,OWNER_OCCUPANT,BANK_REO,0,0,0,263084,238422,3.1,75.1,TRUST_DEED
2040-04,PARC0000000388,MANUFACTURED,623414,228.78,177,87.17,4.55,72.1,27.9,OWNER_OCCUPANT,INDIVIDUAL,0,0,0,583538,505816,7.7,11.1,SHERIFF_DEED
2040-05,PARC0000000389,SFH,878772,216.98,53,91.31,6.796,73.01,26.99,RELOCATING,BUILDER,0,1,1,650593,537028,5.3,75.9,WARRANTY_DEED
2040-06,PARC0000000390,TOWNHOME,513339,112.21,62,89.1,7.459,74.73,25.27,OWNER_OCCUPANT,INVESTOR,0,0,0,496608,458709,8.5,43.0,WARRANTY_DEED
2040-07,PARC0000000391,MANUFACTURED,262118,79.14,178,90.77,4.01,83.57,16.43,INSTITUTIONAL,BANK_REO,0,0,0,209532,208082,9.7,34.6,TRUST_DEED
2040-08,PARC0000000392,CONDO,348553,77.18,196,89.67,5.867,64.54,35.46,FIRST_TIME,BANK_REO,0,1,0,269801,214263,4.2,33.8,QUITCLAIM
2040-09,PARC0000000393,MULTIFAMILY_2_4,528965,169.05,202,88.69,4.192,63.71,36.29,RELOCATING,BUILDER,0,0,0,380937,320718,2.1,33.9,SHERIFF_DEED
2040-10,PARC0000000394,MULTIFAMILY_2_4,734479,202.84,150,91.61,6.788,68.19,31.81,INSTITUTIONAL,INDIVIDUAL,0,0,0,608688,482273,4.5,32.9,TRUST_DEED
2040-11,PARC0000000395,SFH,226438,176.49,201,97.69,8.386,78.55,21.45,INVESTOR,BANK_REO,0,0,0,212959,187178,5.9,55.2,FORECLOSURE_DEED
2040-12,PARC0000000396,CONDO,479831,620.74,197,95.49,6.544,79.6,20.4,FIRST_TIME,ESTATE,0,0,0,480030,467586,4.4,37.1,WARRANTY_DEED
2041-01,PARC0000000397,MULTIFAMILY_2_4,101448,76.11,112,106.28,7.702,62.63,37.37,FIRST_TIME,BANK_REO,0,0,0,72546,62317,6.6,81.1,WARRANTY_DEED
2041-02,PARC0000000398,MULTIFAMILY_5P,729202,246.35,120,97.58,6.135,92.32,7.68,OWNER_OCCUPANT,BUILDER,0,0,1,524965,518013,4.9,69.4,WARRANTY_DEED
2041-03,PARC0000000399,MULTIFAMILY_5P,670343,731.82,120,101.21,2.988,68.34,31.66,INSTITUTIONAL,ESTATE,0,0,1,635757,616461,2.3,90.2,SHERIFF_DEED
2041-04,PARC0000000400,CONDO,376364,233.33,195,87.47,3.317,59.9,40.1,INSTITUTIONAL,BUILDER,0,0,0,327050,291271,1.2,19.2,WARRANTY_DEED
2041-05,PARC0000000401,CONDO,1382775,743.43,34,87.09,5.241,63.69,36.31,INVESTOR,INVESTOR,0,0,0,999790,770161,6.8,53.3,QUITCLAIM
2041-06,PARC0000000402,TOWNHOME,349976,69.15,81,98.9,3.892,59.95,40.05,INVESTOR,INDIVIDUAL,0,0,1,336670,254841,5.2,67.3,WARRANTY_DEED
2041-07,PARC0000000403,CONDO,450794,106.75,178,100.6,4.457,86.48,13.52,INSTITUTIONAL,INVESTOR,0,0,0,431884,385972,5.4,32.1,FORECLOSURE_DEED
2041-08,PARC0000000404,MULTIFAMILY_2_4,236088,47.11,49,102.02,6.736,53.0,47.0,FIRST_TIME,INVESTOR,0,0,1,188703,188035,3.6,31.2,SHERIFF_DEED
2041-09,PARC0000000405,TOWNHOME,318233,344.41,193,109.77,6.627,88.74,11.26,RELOCATING,INVESTOR,0,0,0,261207,231388,6.9,30.5,TRUST_DEED
2041-10,PARC0000000406,TOWNHOME,202900,77.21,2,96.13,8.4,50.65,49.35,RELOCATING,INVESTOR,0,1,0,180656,152315,6.1,8.3,SHERIFF_DEED
2041-11,PARC0000000407,TOWNHOME,575663,117.03,196,107.67,4.383,75.87,24.13,FIRST_TIME,INVESTOR,0,0,0,513918,425501,4.1,60.1,FORECLOSURE_DEED
2041-12,PARC0000000408,CONDO,464816,245.16,62,99.97,2.971,94.03,5.97,FIRST_TIME,INDIVIDUAL,0,0,0,418696,321848,6.9,32.0,FORECLOSURE_DEED
2042-01,PARC0000000409,MANUFACTURED,1265116,295.31,170,102.13,7.65,79.23,20.77,OWNER_OCCUPANT,BANK_REO,0,0,0,1036592,886050,4.1,73.6,QUITCLAIM
2042-02,PARC0000000410,MULTIFAMILY_2_4,322315,122.97,15,85.73,6.126,61.45,38.55,RELOCATING,ESTATE,0,1,0,332240,309097,2.1,12.5,TRUST_DEED
2042-03,PARC0000000411,SFH,227240,53.95,121,93.57,3.457,74.7,25.3,RELOCATING,ESTATE,0,0,0,163933,158575,2.4,25.2,TRUST_DEED
2042-04,PARC0000000412,MULTIFAMILY_5P,563206,208.44,122,100.14,4.174,94.35,5.65,INSTITUTIONAL,INVESTOR,1,0,0,554732,524913,2.7,5.8,WARRANTY_DEED
2042-05,PARC0000000413,MANUFACTURED,300771,153.38,66,85.59,4.056,54.23,45.77,INSTITUTIONAL,ESTATE,0,0,0,260021,243887,2.4,39.7,TRUST_DEED
2042-06,PARC0000000414,SFH,152789,35.47,206,96.88,8.679,61.27,38.73,OWNER_OCCUPANT,INDIVIDUAL,0,0,0,126987,111608,6.7,69.6,SHERIFF_DEED
2042-07,PARC0000000415,TOWNHOME,340341,475.34,159,89.33,6.983,54.44,45.56,INSTITUTIONAL,INDIVIDUAL,0,0,0,321132,320718,7.6,60.7,FORECLOSURE_DEED
2042-08,PARC0000000416,MULTIFAMILY_2_4,219497,124.79,200,94.51,3.935,54.03,45.97,FIRST_TIME,BUILDER,0,0,0,216776,182305,5.2,5.1,FORECLOSURE_DEED
2042-09,PARC0000000417,MULTIFAMILY_5P,753136,159.46,25,101.55,7.358,60.8,39.2,RELOCATING,INDIVIDUAL,1,0,0,651765,618430,6.9,41.0,FORECLOSURE_DEED
2042-10,PARC0000000418,MULTIFAMILY_5P,894138,421.56,171,100.77,3.237,86.15,13.85,RELOCATING,INDIVIDUAL,0,0,0,761069,579686,7.5,81.6,QUITCLAIM
2042-11,PARC0000000419,CONDO,226539,125.37,162,92.18,4.896,90.74,9.26,INSTITUTIONAL,INVESTOR,0,0,0,205408,163125,3.9,44.4,TRUST_DEED
2042-12,PARC0000000420,TOWNHOME,301647,76.83,92,109.11,8.408,55.86,44.14,INVESTOR,ESTATE,0,0,0,310457,267686,9.1,87.7,QUITCLAIM
2043-01,PARC0000000421,CONDO,262803,65.78,218,99.68,4.898,52.89,47.11,FIRST_TIME,ESTATE,0,0,1,184111,152381,3.2,97.2,TRUST_DEED
2043-02,PARC0000000422,SFH,404112,114.16,165,99.02,3.27,56.79,43.21,INSTITUTIONAL,BUILDER,0,0,0,412148,397292,10.0,19.4,SHERIFF_DEED
2043-03,PARC0000000423,SFH,459877,747.77,6,85.35,6.952,93.96,6.04,OWNER_OCCUPANT,INDIVIDUAL,0,1,0,345720,274471,6.0,13.0,QUITCLAIM
2043-04,PARC0000000424,SFH,92013,62.26,96,107.52,8.686,84.01,15.99,INSTITUTIONAL,INDIVIDUAL,0,0,0,72418,58522,5.4,52.1,QUITCLAIM
2043-05,PARC0000000425,MULTIFAMILY_2_4,238031,64.58,33,108.32,8.247,78.04,21.96,OWNER_OCCUPANT,INDIVIDUAL,1,1,0,231106,186994,7.5,74.6,SHERIFF_DEED
2043-06,PARC0000000426,CONDO,528320,189.91,134,103.46,5.0,58.56,41.44,OWNER_OCCUPANT,BANK_REO,0,0,0,511860,501195,1.3,86.1,FORECLOSURE_DEED
2043-07,PARC0000000427,MULTIFAMILY_2_4,231362,242.77,166,104.5,2.762,50.45,49.55,INSTITUTIONAL,INVESTOR,0,0,0,218509,190060,4.5,47.2,SHERIFF_DEED
2043-08,PARC0000000428,TOWNHOME,249157,49.59,212,92.88,4.773,81.75,18.25,RELOCATING,BANK_REO,0,0,0,187190,147380,4.9,54.0,FORECLOSURE_DEED
2043-09,PARC0000000429,MANUFACTURED,391039,105.52,51,108.62,4.982,81.2,18.8,RELOCATING,INDIVIDUAL,0,0,0,315761,243605,6.1,27.2,WARRANTY_DEED
2043-10,PARC0000000430,MANUFACTURED,393855,88.45,196,104.52,8.348,75.76,24.24,FIRST_TIME,INDIVIDUAL,0,0,0,277005,215906,1.6,56.1,QUITCLAIM
2043-11,PARC0000000431,MULTIFAMILY_2_4,594223,492.72,11,103.95,3.331,58.48,41.52,INSTITUTIONAL,INDIVIDUAL,1,1,0,509970,388574,6.9,47.1,FORECLOSURE_DEED
2043-12,PARC0000000432,MANUFACTURED,805871,347.51,138,97.28,6.73,62.81,37.19,RELOCATING,INVESTOR,0,0,0,748415,682956,9.4,12.9,FORECLOSURE_DEED
2044-01,PARC0000000433,MULTIFAMILY_2_4,686676,234.92,84,102.77,4.041,76.42,23.58,RELOCATING,BUILDER,0,0,0,664564,554706,1.2,51.8,WARRANTY_DEED
2044-02,PARC0000000434,SFH,171461,166.14,164,86.25,8.379,76.2,23.8,INSTITUTIONAL,INVESTOR,0,0,0,122584,116650,6.0,61.2,TRUST_DEED
2044-03,PARC0000000435,SFH,291413,94.16,207,91.94,3.852,79.55,20.45,INSTITUTIONAL,BUILDER,0,0,0,280787,244472,9.2,17.7,FORECLOSURE_DEED
2044-04,PARC0000000436,MULTIFAMILY_5P,453053,93.37,95,88.42,6.695,77.28,22.72,INSTITUTIONAL,BUILDER,1,0,0,400199,378377,6.9,63.2,TRUST_DEED
2044-05,PARC0000000437,CONDO,265362,55.35,219,107.88,7.966,66.14,33.86,RELOCATING,BUILDER,0,1,0,228778,223050,5.6,68.9,TRUST_DEED
2044-06,PARC0000000438,SFH,671320,545.79,100,88.25,5.702,51.02,48.98,OWNER_OCCUPANT,INVESTOR,0,1,0,595816,452704,7.3,65.7,FORECLOSURE_DEED
2044-07,PARC0000000439,MULTIFAMILY_2_4,255361,223.61,173,109.9,4.466,80.72,19.28,OWNER_OCCUPANT,INDIVIDUAL,0,0,0,250095,212969,2.9,48.2,FORECLOSURE_DEED
2044-08,PARC0000000440,MULTIFAMILY_2_4,614548,234.65,90,92.2,5.015,90.48,9.52,OWNER_OCCUPANT,ESTATE,0,1,0,566341,540981,3.5,30.5,WARRANTY_DEED
2044-09,PARC0000000441,CONDO,300837,136.68,210,93.12,4.77,96.47,3.53,FIRST_TIME,BUILDER,0,0,1,304454,294164,5.0,91.6,QUITCLAIM
2044-10,PARC0000000442,MULTIFAMILY_2_4,803105,213.08,60,92.02,7.066,59.19,40.81,RELOCATING,BUILDER,0,0,0,742086,653972,4.7,74.8,SHERIFF_DEED
2044-11,PARC0000000443,CONDO,629391,175.37,145,105.61,7.215,96.96,3.04,RELOCATING,BUILDER,0,0,0,546272,511516,3.4,12.9,FORECLOSURE_DEED
2044-12,PARC0000000444,SFH,493387,238.47,67,107.15,7.166,81.13,18.87,INSTITUTIONAL,INVESTOR,1,0,0,396682,376317,1.6,34.4,TRUST_DEED
2045-01,PARC0000000445,CONDO,219182,152.63,51,111.9,6.856,82.62,17.38,FIRST_TIME,INVESTOR,0,0,0,160074,130604,3.6,28.6,WARRANTY_DEED
2045-02,PARC0000000446,MULTIFAMILY_5P,442082,92.93,29,102.91,7.926,80.86,19.14,INVESTOR,INVESTOR,0,1,0,312557,282408,6.7,90.5,SHERIFF_DEED
2045-03,PARC0000000447,TOWNHOME,284413,139.21,149,106.26,3.802,91.08,8.92,RELOCATING,ESTATE,0,0,0,225294,202996,7.9,74.5,FORECLOSURE_DEED
2045-04,PARC0000000448,MULTIFAMILY_2_4,568631,202.43,114,109.47,6.026,65.75,34.25,INSTITUTIONAL,INVESTOR,0,0,0,496420,425045,8.4,67.8,TRUST_DEED
2045-05,PARC0000000449,TOWNHOME,370468,382.71,213,109.17,2.736,59.31,40.69,INSTITUTIONAL,BANK_REO,0,0,0,309837,241289,3.2,0.2,SHERIFF_DEED
2045-06,PARC0000000450,MULTIFAMILY_2_4,303083,64.47,155,104.0,3.423,81.58,18.42,RELOCATING,ESTATE,1,0,0,250963,200189,3.0,29.6,FORECLOSURE_DEED
2045-07,PARC0000000451,SFH,439945,118.36,125,92.09,8.187,92.47,7.53,INVESTOR,ESTATE,0,0,0,367706,367696,9.8,7.9,QUITCLAIM
2045-08,PARC0000000452,CONDO,213790,77.21,136,110.84,3.06,57.03,42.97,OWNER_OCCUPANT,INDIVIDUAL,0,0,0,157893,140698,7.2,63.9,FORECLOSURE_DEED
2045-09,PARC0000000453,TOWNHOME,264464,61.05,95,102.14,7.369,96.95,3.05,INVESTOR,INDIVIDUAL,0,0,0,221741,202689,5.3,67.1,TRUST_DEED
2045-10,PARC0000000454,MULTIFAMILY_2_4,366126,300.35,70,86.63,5.257,80.0,20.0,INVESTOR,BUILDER,0,0,0,380048,343798,5.7,23.7,SHERIFF_DEED
2045-11,PARC0000000455,MULTIFAMILY_5P,394383,177.49,76,97.48,6.873,63.01,36.99,INVESTOR,BUILDER,1,0,0,337296,332557,4.0,20.9,QUITCLAIM
2045-12,PARC0000000456,MULTIFAMILY_5P,392835,257.26,163,91.89,4.003,78.5,21.5,RELOCATING,ESTATE,0,0,0,282198,216944,6.1,16.3,QUITCLAIM
2046-01,PARC0000000457,SFH,247619,381.54,107,95.48,8.014,77.29,22.71,INVESTOR,ESTATE,1,1,0,213324,173319,7.2,41.5,WARRANTY_DEED
2046-02,PARC0000000458,CONDO,342864,145.34,153,102.28,7.189,57.44,42.56,RELOCATING,ESTATE,0,0,0,318582,244417,6.3,38.1,TRUST_DEED
2046-03,PARC0000000459,MULTIFAMILY_5P,375141,181.75,216,85.1,2.583,94.7,5.3,OWNER_OCCUPANT,INVESTOR,0,0,0,305706,248000,4.7,24.0,TRUST_DEED
2046-04,PARC0000000460,CONDO,252903,140.89,104,92.34,7.681,87.8,12.2,RELOCATING,BUILDER,0,0,0,256575,249467,7.3,57.7,SHERIFF_DEED
2046-05,PARC0000000461,CONDO,532669,279.32,137,87.0,2.557,56.15,43.85,RELOCATING,BANK_REO,0,1,0,471288,458488,7.1,3.8,QUITCLAIM
2046-06,PARC0000000462,SFH,325995,134.6,150,101.54,2.657,79.63,20.37,RELOCATING,INDIVIDUAL,0,0,0,229384,184507,4.2,99.4,WARRANTY_DEED
2046-07,PARC0000000463,SFH,81163,17.5,140,109.99,4.613,72.79,27.21,RELOCATING,INVESTOR,0,0,0,70941,56760,7.2,93.4,TRUST_DEED
2046-08,PARC0000000464,CONDO,266098,58.05,77,104.48,3.846,51.89,48.11,INSTITUTIONAL,BANK_REO,0,1,0,270774,235545,1.7,38.0,SHERIFF_DEED
2046-09,PARC0000000465,MULTIFAMILY_2_4,1008777,763.65,54,101.81,2.756,94.57,5.43,RELOCATING,INVESTOR,0,0,0,813399,637367,2.5,22.3,SHERIFF_DEED
2046-10,PARC0000000466,TOWNHOME,236808,48.01,201,103.93,3.82,54.33,45.67,FIRST_TIME,INVESTOR,1,1,0,236919,225305,2.4,8.4,FORECLOSURE_DEED
2046-11,PARC0000000467,MULTIFAMILY_5P,1030314,269.43,131,107.6,7.31,92.92,7.08,OWNER_OCCUPANT,BUILDER,0,0,0,1073975,887493,5.7,63.9,FORECLOSURE_DEED
2046-12,PARC0000000468,MULTIFAMILY_2_4,374451,113.13,184,103.38,7.693,58.49,41.51,INVESTOR,INVESTOR,1,0,0,379888,373044,3.0,97.0,QUITCLAIM
2047-01,PARC0000000469,SFH,192940,46.1,106,106.81,6.788,58.61,41.39,INVESTOR,BUILDER,0,0,1,198424,178811,2.0,12.7,TRUST_DEED
2047-02,PARC0000000470,MULTIFAMILY_5P,1051293,228.89,72,109.14,8.578,65.72,34.28,FIRST_TIME,BANK_REO,0,0,0,1060787,891984,8.3,48.4,QUITCLAIM
2047-03,PARC0000000471,CONDO,160804,43.43,152,91.43,4.122,90.18,9.82,RELOCATING,ESTATE,0,0,0,133056,116440,9.2,25.6,TRUST_DEED
2047-04,PARC0000000472,MULTIFAMILY_5P,215932,87.6,159,89.76,4.414,74.83,25.17,OWNER_OCCUPANT,INDIVIDUAL,1,0,0,161707,147096,5.4,7.9,FORECLOSURE_DEED
2047-05,PARC0000000473,MULTIFAMILY_5P,612370,778.11,190,105.94,6.751,95.52,4.48,INSTITUTIONAL,INVESTOR,0,0,1,536803,406598,3.5,26.6,QUITCLAIM
2047-06,PARC0000000474,TOWNHOME,677179,164.84,42,87.56,5.613,94.58,5.42,OWNER_OCCUPANT,ESTATE,0,0,0,585668,450726,4.9,29.1,QUITCLAIM
2047-07,PARC0000000475,CONDO,399197,79.27,44,89.99,7.196,68.88,31.12,OWNER_OCCUPANT,BANK_REO,1,0,0,397339,394893,7.7,18.3,TRUST_DEED
2047-08,PARC0000000476,MULTIFAMILY_2_4,486611,136.96,58,109.17,8.409,58.24,41.76,RELOCATING,BUILDER,1,0,0,383794,369515,9.4,92.8,TRUST_DEED
2047-09,PARC0000000477,MULTIFAMILY_5P,637712,173.57,220,106.6,8.725,61.43,38.57,INSTITUTIONAL,INVESTOR,0,1,0,655319,530186,5.7,96.9,WARRANTY_DEED
2047-10,PARC0000000478,MULTIFAMILY_5P,655565,143.95,108,101.95,4.808,58.77,41.23,RELOCATING,INDIVIDUAL,0,0,0,582314,442021,1.8,52.6,FORECLOSURE_DEED
2047-11,PARC0000000479,SFH,122810,29.85,39,107.2,6.855,51.76,48.24,OWNER_OCCUPANT,ESTATE,0,0,1,102438,84792,9.0,52.4,QUITCLAIM
2047-12,PARC0000000480,MULTIFAMILY_2_4,228343,61.73,30,97.86,3.762,72.0,28.0,OWNER_OCCUPANT,INDIVIDUAL,0,0,0,216487,167081,9.4,80.9,SHERIFF_DEED
2048-01,PARC0000000481,MULTIFAMILY_2_4,354283,243.83,31,110.88,5.42,88.74,11.26,OWNER_OCCUPANT,INDIVIDUAL,0,0,0,342542,290269,6.4,26.8,WARRANTY_DEED
2048-02,PARC0000000482,TOWNHOME,497763,99.53,193,88.81,3.772,74.79,25.21,RELOCATING,BUILDER,0,0,0,473186,441989,6.9,43.9,WARRANTY_DEED
2048-03,PARC0000000483,MANUFACTURED,461500,284.7,82,87.02,4.219,85.02,14.98,FIRST_TIME,ESTATE,1,0,0,450783,422199,2.7,11.2,FORECLOSURE_DEED
2048-04,PARC0000000484,CONDO,294017,135.49,211,100.98,3.884,90.85,9.15,FIRST_TIME,ESTATE,0,0,0,292757,257440,5.5,25.1,QUITCLAIM
2048-05,PARC0000000485,MULTIFAMILY_5P,361619,80.13,201,101.79,5.965,50.63,49.37,OWNER_OCCUPANT,ESTATE,1,0,1,327549,283016,8.7,88.1,FORECLOSURE_DEED
2048-06,PARC0000000486,MULTIFAMILY_5P,332990,120.26,68,101.46,4.721,87.87,12.13,OWNER_OCCUPANT,ESTATE,0,0,0,318771,283045,7.2,33.9,FORECLOSURE_DEED
2048-07,PARC0000000487,TOWNHOME,169627,40.57,133,106.7,7.08,66.45,33.55,INSTITUTIONAL,ESTATE,0,0,0,144866,127761,5.9,40.0,WARRANTY_DEED
2048-08,PARC0000000488,SFH,292819,144.25,92,105.77,8.68,64.94,35.06,INSTITUTIONAL,INVESTOR,0,0,0,208176,159686,4.3,58.9,FORECLOSURE_DEED
2048-09,PARC0000000489,SFH,478846,266.62,43,94.98,3.822,83.43,16.57,OWNER_OCCUPANT,ESTATE,1,0,0,380916,346223,9.7,37.3,FORECLOSURE_DEED
2048-10,PARC0000000490,CONDO,331915,76.58,135,104.02,5.002,68.04,31.96,RELOCATING,INDIVIDUAL,1,1,0,282479,269635,2.5,38.3,WARRANTY_DEED
2048-11,PARC0000000491,MANUFACTURED,357887,192.0,77,86.09,4.761,56.92,43.08,INVESTOR,ESTATE,0,0,0,327611,286632,2.9,12.5,WARRANTY_DEED
2048-12,PARC0000000492,TOWNHOME,500950,246.53,145,88.18,5.613,55.11,44.89,INVESTOR,BUILDER,0,0,0,414747,395820,7.1,51.2,FORECLOSURE_DEED
2049-01,PARC0000000493,CONDO,226516,80.75,142,88.32,6.973,82.18,17.82,FIRST_TIME,INVESTOR,0,0,0,177944,134204,5.0,36.2,SHERIFF_DEED
2049-02,PARC0000000494,MULTIFAMILY_5P,473405,93.28,120,92.91,6.732,59.95,40.05,INVESTOR,INVESTOR,0,1,0,406546,370182,8.4,20.0,FORECLOSURE_DEED
2049-03,PARC0000000495,CONDO,218377,58.2,143,98.93,2.871,82.25,17.75,RELOCATING,INDIVIDUAL,1,0,0,193638,173674,3.2,48.9,FORECLOSURE_DEED
2049-04,PARC0000000496,TOWNHOME,157305,96.62,192,100.63,7.884,73.62,26.38,RELOCATING,BANK_REO,0,0,0,130688,122465,9.7,11.9,QUITCLAIM
2049-05,PARC0000000497,MANUFACTURED,185686,52.42,171,104.61,6.536,94.01,5.99,INVESTOR,INDIVIDUAL,0,0,0,172931,169454,5.8,80.2,SHERIFF_DEED
2049-06,PARC0000000498,TOWNHOME,360589,73.01,50,103.56,8.35,78.26,21.74,INSTITUTIONAL,BANK_REO,0,0,0,285967,225300,2.6,17.7,QUITCLAIM
2049-07,PARC0000000499,MULTIFAMILY_5P,284791,77.37,62,97.97,4.042,76.87,23.13,INSTITUTIONAL,INVESTOR,0,1,0,290926,282971,5.7,27.1,QUITCLAIM
2049-08,PARC0000000500,MULTIFAMILY_2_4,204463,67.75,119,106.05,3.824,92.05,7.95,OWNER_OCCUPANT,BUILDER,1,0,0,199976,192438,9.9,53.7,SHERIFF_DEED
2049-09,PARC0000000501,MULTIFAMILY_2_4,310124,179.78,33,107.9,4.625,63.31,36.69,FIRST_TIME,INVESTOR,0,1,0,322938,253785,5.0,0.8,TRUST_DEED
2049-10,PARC0000000502,MANUFACTURED,1250007,457.71,13,90.57,5.089,67.37,32.63,OWNER_OCCUPANT,INDIVIDUAL,0,0,0,1143610,1137169,8.1,19.9,TRUST_DEED
2049-11,PARC0000000503,MULTIFAMILY_5P,379139,205.05,69,107.15,7.366,96.68,3.32,INVESTOR,BUILDER,0,1,1,380223,299246,9.5,97.4,QUITCLAIM
2049-12,PARC0000000504,MULTIFAMILY_5P,803524,633.69,165,86.7,3.531,59.46,40.54,INVESTOR,ESTATE,0,0,0,655467,516706,9.8,97.5,FORECLOSURE_DEED
2050-01,PARC0000000505,MULTIFAMILY_5P,247462,71.98,3,95.99,4.085,66.81,33.19,INSTITUTIONAL,ESTATE,0,0,0,238295,214275,5.4,0.4,FORECLOSURE_DEED
2050-02,PARC0000000506,MULTIFAMILY_2_4,422102,194.61,144,103.85,3.89,92.54,7.46,INVESTOR,BANK_REO,1,0,0,417269,339672,4.3,58.2,FORECLOSURE_DEED
2050-03,PARC0000000507,MANUFACTURED,372410,131.78,103,107.82,3.561,89.8,10.2,INSTITUTIONAL,BANK_REO,0,0,0,349136,264633,3.0,23.3,SHERIFF_DEED
2050-04,PARC0000000508,MULTIFAMILY_2_4,216832,117.59,198,107.53,5.665,59.03,40.97,INVESTOR,BUILDER,0,0,0,159676,147171,8.4,62.0,WARRANTY_DEED
2050-05,PARC0000000509,MULTIFAMILY_5P,222771,72.59,163,111.85,7.299,66.81,33.19,INVESTOR,BUILDER,1,0,0,163070,160140,4.8,44.4,QUITCLAIM
2050-06,PARC0000000510,SFH,351974,77.24,167,85.88,5.519,60.51,39.49,INSTITUTIONAL,ESTATE,0,0,0,306049,263455,5.5,29.7,SHERIFF_DEED
2050-07,PARC0000000511,SFH,391762,133.16,211,96.18,5.761,51.91,48.09,OWNER_OCCUPANT,ESTATE,0,0,0,280453,238733,4.7,16.7,TRUST_DEED
2050-08,PARC0000000512,SFH,222148,127.45,170,87.22,7.059,67.86,32.14,OWNER_OCCUPANT,INDIVIDUAL,0,0,0,160355,149249,2.2,41.9,QUITCLAIM
2050-09,PARC0000000513,MANUFACTURED,368457,417.75,33,102.94,2.865,84.73,15.27,RELOCATING,INVESTOR,1,0,0,277759,263288,8.6,86.0,SHERIFF_DEED
2050-10,PARC0000000514,TOWNHOME,392401,293.71,65,91.47,5.524,87.88,12.12,INVESTOR,BUILDER,0,0,0,305732,258079,4.6,57.3,FORECLOSURE_DEED
2050-11,PARC0000000515,MANUFACTURED,271351,62.15,166,99.82,4.233,93.71,6.29,INVESTOR,INVESTOR,0,0,0,268766,258190,7.9,33.7,FORECLOSURE_DEED
2050-12,PARC0000000516,MANUFACTURED,283472,258.41,110,110.13,5.758,78.46,21.54,OWNER_OCCUPANT,ESTATE,0,1,0,284372,218254,1.4,25.5,TRUST_DEED
2051-01,PARC0000000517,SFH,747796,487.48,151,110.89,4.426,94.7,5.3,RELOCATING,ESTATE,1,0,0,758903,676829,6.1,48.3,TRUST_DEED
2051-02,PARC0000000518,TOWNHOME,347966,107.0,105,94.99,3.065,50.05,49.95,FIRST_TIME,INDIVIDUAL,0,0,0,277553,263011,5.8,21.0,TRUST_DEED
2051-03,PARC0000000519,MULTIFAMILY_2_4,349418,107.18,143,104.09,7.575,60.0,40.0,INVESTOR,BUILDER,0,0,0,267890,211116,4.7,99.0,QUITCLAIM
2051-04,PARC0000000520,MULTIFAMILY_2_4,181191,41.79,21,90.83,3.724,51.33,48.67,OWNER_OCCUPANT,INDIVIDUAL,0,0,0,137688,125836,7.0,85.5,QUITCLAIM
2051-05,PARC0000000521,MANUFACTURED,455589,195.28,5,94.65,8.613,76.13,23.87,INSTITUTIONAL,INDIVIDUAL,0,0,0,333794,318609,8.1,78.1,QUITCLAIM
