biz_small_application_date,biz_small_entity_type_code,biz_small_founder_demographic_category,biz_small_home_based_business_flag,biz_small_industry_intent_nic,biz_small_expected_first_payroll_date,biz_small_expected_hiring_count,biz_small_expected_revenue_bracket,biz_small_financing_source_code,biz_small_loan_approval_flag,biz_small_loan_amount_inr,biz_small_credit_score_band,biz_small_business_license_required_flag,biz_small_permit_complexity_score,biz_small_incubator_participation_flag,biz_small_mentor_hours_received,biz_small_online_presence_score,biz_small_ecommerce_enablement_flag,biz_small_closure_within_1yr_flag,biz_small_growth_intent_score
2022-08-28,section8,st,1,6087,2023-04-30,1,0-10L,angel,0,0.0,300-599,0,27.48,0,4.12,97.78,0,0,58.48
2019-12-18,pvt_ltd,women,1,6410,2020-09-27,2,10L-50L,invoice_finance,1,1788234.05,650-699,0,56.01,1,113.47,34.65,1,0,36.9
2019-04-20,llp,first_time_founder,0,5661,2019-07-05,2,10L-50L,bank_loan,0,0.0,300-599,0,55.16,0,44.57,86.09,0,0,96.1
2019-10-27,llp,differently_abled,1,9028,2020-01-20,6,50L-2Cr,angel,1,416079.07,600-649,1,32.99,0,19.26,71.84,0,0,87.3
2025-03-20,section8,first_time_founder,1,1544,2025-06-24,26,2Cr-10Cr,angel,1,3429654.66,600-649,1,36.8,0,5.79,39.63,0,0,50.87
2021-02-01,section8,differently_abled,1,2092,2021-06-26,21,2Cr-10Cr,family_friends,0,0.0,300-599,1,58.65,0,34.08,81.4,0,0,71.98
2019-07-31,section8,first_time_founder,0,7414,2019-12-12,11,50L-2Cr,self_funded,0,0.0,300-599,1,30.58,0,19.54,74.64,1,0,45.43
2020-11-12,partnership,women,0,3727,2021-07-25,14,10Cr+,bank_loan,1,698524.52,300-599,1,40.47,0,7.61,41.68,0,0,50.5
2023-04-21,llp,minority,0,9289,2024-01-11,4,2Cr-10Cr,nbfc,0,0.0,300-599,0,56.01,0,45.84,28.69,1,0,44.87
2019-08-29,proprietorship,differently_abled,1,8891,2020-04-16,10,0-10L,nbfc,0,0.0,600-649,1,45.02,0,28.95,89.03,0,0,48.81
2021-01-08,proprietorship,first_time_founder,0,4343,2021-12-14,1,50L-2Cr,family_friends,1,3159754.3,700-749,0,36.39,1,84.55,51.89,0,0,88.41
2019-11-02,producer_company,first_time_founder,0,3638,2020-05-07,4,50L-2Cr,govt_grant,0,0.0,300-599,0,22.55,0,29.87,82.37,0,0,55.61
2023-03-11,proprietorship,general,0,4768,2024-02-25,2,10Cr+,nbfc,0,0.0,600-649,0,43.87,1,26.25,39.73,0,0,42.44
2022-12-09,pvt_ltd,veteran,0,5589,2023-08-25,5,10L-50L,invoice_finance,0,0.0,600-649,0,56.22,0,22.99,46.34,1,0,43.65
2024-01-05,llp,differently_abled,0,2858,2024-01-28,9,10L-50L,vc,0,0.0,NA,1,71.92,0,27.29,44.17,1,0,55.65
2026-01-26,proprietorship,first_time_founder,1,2480,2026-08-26,3,50L-2Cr,family_friends,0,0.0,600-649,0,39.53,0,11.49,38.07,0,0,26.33
2025-04-23,producer_company,st,0,4371,2026-03-14,9,10Cr+,vc,1,1843260.82,600-649,1,49.26,1,25.29,95.31,1,1,48.57
2021-12-17,proprietorship,first_time_founder,0,4657,2022-04-19,6,10Cr+,vc,1,3268493.92,750-900,1,32.66,0,27.82,81.67,1,0,66.08
2025-11-04,llp,st,0,2881,2026-03-21,21,0-10L,self_funded,1,6766732.47,750-900,1,71.76,0,4.89,41.35,1,0,41.53
2024-02-17,opc,general,1,7778,2024-11-24,11,10L-50L,vc,0,0.0,600-649,1,80.27,1,8.13,59.28,0,0,73.89
2019-03-16,pvt_ltd,first_time_founder,1,1269,2019-09-04,5,0-10L,self_funded,0,0.0,300-599,0,32.79,1,54.97,38.47,0,0,72.86
2022-02-07,llp,first_time_founder,1,3728,2022-11-19,3,50L-2Cr,bank_loan,0,0.0,NA,1,39.65,1,32.08,37.29,1,1,47.9
2025-05-14,section8,sc,0,7341,2026-01-04,7,2Cr-10Cr,vc,0,0.0,600-649,0,36.53,1,79.59,55.51,1,0,52.18
2025-01-09,producer_company,women,0,6673,2025-02-05,7,2Cr-10Cr,govt_grant,1,879518.88,600-649,1,51.34,0,69.86,43.36,0,1,53.83
2025-11-19,section8,first_time_founder,0,1313,2026-02-02,5,10Cr+,angel,1,2583540.01,650-699,1,60.22,0,25.81,61.26,1,0,56.98
2024-10-03,llp,general,1,2877,2024-11-28,3,10Cr+,nbfc,0,0.0,600-649,1,67.56,0,19.9,57.02,1,0,33.32
2024-04-16,pvt_ltd,first_time_founder,0,5118,2024-12-02,4,10L-50L,bank_loan,1,8796539.76,650-699,0,29.71,0,5.63,59.42,1,0,89.6
2024-10-09,opc,obc,1,4092,2025-07-19,4,50L-2Cr,invoice_finance,1,4347990.84,300-599,0,81.34,0,4.39,82.47,0,0,33.97
2025-02-03,partnership,differently_abled,0,9456,2026-01-18,2,2Cr-10Cr,bank_loan,0,0.0,NA,0,68.52,1,52.13,65.6,1,0,39.83
2023-10-06,proprietorship,differently_abled,0,9068,2024-03-15,4,10L-50L,invoice_finance,0,0.0,NA,1,84.36,0,80.47,14.42,1,0,84.75
2020-02-19,pvt_ltd,sc,0,3924,2020-03-23,14,50L-2Cr,family_friends,0,0.0,600-649,0,58.65,0,21.89,76.25,1,0,68.36
2024-10-23,opc,first_time_founder,0,1091,2025-01-17,3,2Cr-10Cr,vc,0,0.0,600-649,1,43.01,1,4.56,78.75,0,0,69.43
2021-12-05,pvt_ltd,differently_abled,0,1535,2022-07-09,2,2Cr-10Cr,invoice_finance,0,0.0,600-649,1,65.28,0,9.78,100.0,0,0,56.45
2022-02-20,pvt_ltd,st,0,3220,2022-05-12,6,10L-50L,nbfc,1,2408594.75,700-749,1,40.63,0,17.66,38.35,0,0,57.47
2024-09-02,producer_company,veteran,1,5892,2025-05-02,1,10L-50L,bank_loan,0,0.0,600-649,0,35.72,1,105.13,82.47,0,0,100.0
2021-05-07,partnership,veteran,0,2992,2021-11-02,4,2Cr-10Cr,self_funded,1,4027734.7,NA,1,26.87,0,38.57,73.04,0,0,69.6
2023-09-26,partnership,first_time_founder,0,3096,2024-04-12,14,50L-2Cr,bank_loan,1,4546894.8,750-900,0,36.8,0,66.3,39.26,0,0,87.6
2022-04-24,section8,differently_abled,0,3584,2022-12-09,3,0-10L,bank_loan,0,0.0,300-599,0,51.76,1,30.9,46.02,0,0,49.66
2025-10-13,opc,general,1,7688,2026-05-21,2,0-10L,nbfc,0,0.0,NA,1,60.89,1,18.97,36.08,0,0,45.5
2021-10-20,llp,general,0,1596,2022-09-21,9,50L-2Cr,vc,0,0.0,300-599,0,18.6,0,26.61,51.71,1,1,69.49
2021-03-14,pvt_ltd,women,1,9963,2021-05-03,1,10L-50L,nbfc,1,1534337.83,750-900,1,14.67,0,24.13,59.66,1,1,72.47
2025-01-20,pvt_ltd,women,0,8350,2025-11-12,9,50L-2Cr,vc,1,5439350.47,600-649,0,19.35,0,204.62,48.38,0,0,85.56
2019-02-09,partnership,veteran,0,3280,2019-03-08,6,0-10L,bank_loan,1,4204267.62,750-900,1,28.57,1,107.7,72.13,1,0,62.77
2021-03-29,llp,sc,0,3020,2022-03-07,1,0-10L,family_friends,0,0.0,300-599,0,34.2,1,45.91,23.13,0,0,80.88
2022-11-18,opc,general,0,7849,2023-03-25,1,10Cr+,invoice_finance,1,700005.28,650-699,0,60.95,0,9.48,93.46,0,0,65.69
2025-08-29,section8,differently_abled,1,1049,2026-05-18,7,2Cr-10Cr,nbfc,1,1370558.27,600-649,1,40.64,0,11.06,35.18,0,0,70.47
2019-08-05,opc,veteran,0,5179,2020-02-28,2,2Cr-10Cr,invoice_finance,0,0.0,NA,0,39.15,0,20.41,83.7,0,0,96.75
2020-06-07,section8,minority,0,7559,2020-11-27,9,0-10L,family_friends,0,0.0,300-599,1,47.53,0,31.74,54.16,1,0,75.78
2021-09-02,partnership,differently_abled,0,5961,2022-07-15,5,50L-2Cr,self_funded,1,966480.44,NA,0,40.13,0,47.26,51.23,0,0,65.58
2020-06-29,pvt_ltd,general,1,6839,2021-03-04,9,0-10L,nbfc,1,2983758.49,NA,1,42.18,0,16.02,79.74,1,0,38.72
2025-07-12,proprietorship,general,0,6200,2026-06-07,2,10Cr+,bank_loan,0,0.0,600-649,0,56.1,0,11.09,80.67,0,0,57.07
2021-09-25,opc,sc,0,3957,2022-08-22,2,10L-50L,self_funded,0,0.0,600-649,1,77.43,0,75.79,47.47,1,0,46.4
2020-09-18,opc,obc,1,6718,2021-04-09,11,2Cr-10Cr,self_funded,1,1111555.25,300-599,1,41.2,0,7.67,21.45,1,0,85.53
2022-08-28,producer_company,first_time_founder,0,2271,2023-07-25,5,10L-50L,self_funded,0,0.0,300-599,0,54.98,0,38.44,73.75,0,0,49.84
2020-12-23,section8,obc,0,7221,2021-03-17,8,10L-50L,invoice_finance,1,1772952.43,300-599,0,60.7,1,13.51,47.53,0,0,60.39
2021-12-08,section8,first_time_founder,0,3967,2022-07-03,7,10Cr+,govt_grant,0,0.0,300-599,0,60.72,0,25.38,50.02,0,0,44.88
2023-08-20,opc,women,0,6979,2024-01-06,2,2Cr-10Cr,self_funded,0,0.0,300-599,1,41.3,1,7.84,41.92,1,0,73.24
2020-04-22,pvt_ltd,st,0,5247,2020-09-02,9,2Cr-10Cr,self_funded,0,0.0,600-649,0,40.5,1,7.48,39.85,0,0,32.82
2021-06-10,llp,differently_abled,0,4737,2021-07-08,2,50L-2Cr,bank_loan,1,5875098.67,300-599,0,46.82,0,8.87,79.17,0,0,89.16
2021-05-07,proprietorship,first_time_founder,1,8267,2021-12-27,9,10L-50L,vc,1,615902.1,600-649,1,6.62,0,28.58,34.23,0,0,56.07
2020-03-17,partnership,general,1,3143,2020-12-27,3,0-10L,nbfc,0,0.0,300-599,1,24.74,0,6.71,56.05,1,0,58.54
2021-10-22,pvt_ltd,st,0,1604,2022-08-15,1,0-10L,govt_grant,0,0.0,NA,0,35.27,0,41.16,60.72,0,0,42.85
2019-03-06,proprietorship,women,0,2375,2019-05-03,9,50L-2Cr,family_friends,0,0.0,NA,0,40.71,0,14.52,100.0,0,0,58.8
2021-12-03,llp,st,0,9726,2022-11-06,2,2Cr-10Cr,govt_grant,0,0.0,300-599,0,34.28,1,5.78,57.77,1,0,37.84
2021-04-01,pvt_ltd,sc,1,9254,2022-02-12,1,0-10L,angel,1,4032473.31,600-649,1,42.02,0,12.24,56.75,0,0,86.57
2021-08-27,section8,obc,0,8784,2021-12-01,2,2Cr-10Cr,family_friends,0,0.0,NA,1,57.91,0,86.99,45.85,1,0,83.56
2025-03-20,llp,women,1,8766,2026-01-14,19,50L-2Cr,invoice_finance,0,0.0,600-649,1,17.58,0,28.0,59.8,0,0,63.82
2020-09-21,pvt_ltd,sc,1,2260,2021-07-21,5,2Cr-10Cr,self_funded,0,0.0,300-599,1,53.68,0,8.85,91.18,0,0,65.58
2024-12-31,producer_company,obc,0,5705,2025-12-28,19,0-10L,vc,0,0.0,600-649,0,59.3,0,6.83,28.24,0,0,62.61
2023-06-24,opc,sc,0,9433,2024-02-29,3,10L-50L,nbfc,0,0.0,300-599,0,42.44,0,20.68,21.89,0,0,67.14
2023-09-19,opc,differently_abled,0,4393,2023-11-23,49,2Cr-10Cr,bank_loan,1,1076654.37,NA,0,16.77,1,46.63,55.6,0,0,61.56
2024-06-13,opc,obc,0,5268,2025-02-23,3,10L-50L,govt_grant,1,4113992.14,750-900,1,48.98,0,140.43,29.4,0,0,61.89
2021-11-04,partnership,obc,1,4145,2022-01-10,12,10Cr+,family_friends,0,0.0,600-649,0,30.93,0,18.12,43.49,0,0,63.8
2023-05-20,pvt_ltd,women,0,5815,2023-11-04,1,0-10L,invoice_finance,0,0.0,600-649,1,64.26,0,17.68,27.37,1,0,44.91
2023-01-21,llp,st,0,4237,2024-01-04,2,0-10L,self_funded,1,5816519.55,700-749,1,53.47,0,53.88,31.67,1,0,87.48
2023-08-23,llp,general,0,6092,2024-04-25,2,2Cr-10Cr,govt_grant,0,0.0,600-649,1,0.0,0,16.17,57.57,0,0,82.81
2022-12-30,partnership,first_time_founder,0,6470,2023-02-27,2,50L-2Cr,self_funded,0,0.0,NA,1,73.42,0,1.51,52.85,0,0,27.3
2023-01-04,producer_company,first_time_founder,0,1300,2023-05-12,8,10Cr+,bank_loan,1,7071311.22,650-699,1,42.75,0,51.73,56.74,1,0,79.15
2022-01-27,proprietorship,differently_abled,0,3512,2022-10-24,21,0-10L,nbfc,1,9129565.82,NA,0,91.29,0,87.26,53.31,0,0,36.28
2021-03-08,opc,general,0,8727,2021-08-05,1,2Cr-10Cr,angel,0,0.0,600-649,0,46.5,0,21.25,72.09,0,0,49.57
2025-12-13,opc,minority,1,6404,2026-02-13,7,50L-2Cr,vc,0,0.0,600-649,1,30.21,0,16.91,76.88,0,0,75.48
2025-03-11,pvt_ltd,general,0,8257,2025-09-12,14,10L-50L,govt_grant,0,0.0,300-599,1,53.01,0,32.71,80.63,1,0,56.7
2023-05-06,partnership,veteran,1,5380,2023-08-04,3,10Cr+,govt_grant,0,0.0,NA,1,65.53,0,31.98,41.09,0,1,82.51
2024-08-31,producer_company,st,1,1067,2024-09-16,11,0-10L,invoice_finance,0,0.0,NA,0,50.58,0,13.82,43.32,0,0,60.89
2024-08-28,proprietorship,st,0,2136,2025-02-05,12,2Cr-10Cr,invoice_finance,0,0.0,300-599,1,50.18,0,42.3,64.12,0,0,71.58
2019-10-20,opc,sc,0,3239,2020-06-30,6,0-10L,self_funded,1,1794285.07,NA,1,30.16,0,4.74,94.41,0,0,49.27
2021-10-01,pvt_ltd,sc,0,9646,2022-05-12,13,50L-2Cr,family_friends,1,7515035.76,750-900,1,66.73,0,14.86,55.24,1,0,82.06
2025-03-11,llp,differently_abled,0,3647,2025-12-19,9,10L-50L,self_funded,1,460140.47,300-599,1,35.88,0,21.17,39.72,0,0,72.93
2023-01-24,pvt_ltd,minority,0,8234,2023-11-18,24,10L-50L,invoice_finance,1,2357085.02,300-599,0,75.97,0,4.12,38.21,1,0,37.51
2022-07-20,partnership,women,0,7288,2022-12-24,21,50L-2Cr,govt_grant,0,0.0,NA,0,62.13,0,45.71,47.42,0,1,52.44
2020-06-03,proprietorship,general,1,5207,2020-08-28,4,10L-50L,angel,1,3369331.91,700-749,0,29.29,1,32.98,65.7,0,0,67.87
2020-09-23,llp,women,1,2463,2021-09-01,4,50L-2Cr,invoice_finance,0,0.0,600-649,1,47.42,0,35.05,63.3,0,0,71.66
2020-10-05,producer_company,obc,0,5411,2021-03-11,19,0-10L,angel,1,8468639.52,NA,0,28.15,1,84.5,25.78,1,0,90.0
2021-03-02,pvt_ltd,sc,0,3577,2021-08-01,13,50L-2Cr,invoice_finance,0,0.0,NA,0,21.68,1,12.91,30.53,0,0,63.92
2024-04-16,opc,obc,0,2880,2025-03-18,1,10Cr+,nbfc,1,4297787.85,300-599,1,41.82,0,30.37,44.07,0,0,55.11
2023-01-31,opc,st,1,1169,2023-06-06,8,0-10L,nbfc,1,5188263.23,650-699,0,48.86,0,14.42,48.36,0,1,62.21
2022-06-16,opc,obc,0,2038,2023-03-01,4,10Cr+,vc,1,1120429.03,600-649,0,40.27,0,14.56,30.13,0,0,1.86
2021-03-07,section8,women,0,3894,2021-05-16,1,10Cr+,vc,0,0.0,600-649,1,55.39,1,55.23,50.27,0,0,80.61
2021-07-21,opc,veteran,0,8970,2022-07-11,1,0-10L,family_friends,1,914702.4,NA,0,59.55,0,16.78,89.88,0,0,74.64
2020-05-27,producer_company,women,0,2262,2020-08-02,22,50L-2Cr,family_friends,0,0.0,300-599,1,42.87,0,62.8,81.72,1,0,38.88
2019-12-13,llp,sc,0,8591,2020-05-29,8,10Cr+,invoice_finance,0,0.0,300-599,1,48.66,0,28.83,42.71,0,0,79.52
2022-12-01,llp,first_time_founder,0,9849,2023-11-29,11,0-10L,angel,1,3789329.29,300-599,0,78.44,0,33.96,82.16,0,0,47.18
2025-08-17,llp,differently_abled,1,5267,2026-04-11,19,10Cr+,invoice_finance,1,8376768.39,650-699,1,54.97,1,13.2,48.03,1,0,66.38
2022-03-04,proprietorship,differently_abled,1,2100,2022-11-21,1,10L-50L,govt_grant,1,3965815.75,300-599,1,61.54,1,10.45,56.85,0,1,78.36
2024-08-21,opc,women,0,1705,2025-07-08,2,10L-50L,family_friends,1,2163987.59,300-599,0,0.0,0,18.7,49.42,1,0,48.67
2021-11-06,partnership,obc,0,1066,2021-12-05,9,10L-50L,govt_grant,0,0.0,300-599,1,74.86,0,13.02,68.29,1,0,60.82
2019-04-09,proprietorship,sc,1,5940,2019-05-01,13,0-10L,invoice_finance,1,1888386.83,700-749,0,90.81,0,153.52,41.44,1,0,76.2
2021-04-15,section8,women,0,7451,2021-09-09,2,10Cr+,govt_grant,0,0.0,300-599,1,0.0,0,21.39,69.26,0,0,62.08
2023-11-08,partnership,sc,1,4485,2024-07-30,6,2Cr-10Cr,angel,0,0.0,300-599,0,30.5,1,30.4,97.39,0,0,47.53
2022-09-07,section8,women,0,9261,2023-06-29,3,50L-2Cr,angel,0,0.0,NA,0,73.39,0,6.39,61.8,0,0,40.63
2022-03-05,section8,veteran,0,2318,2023-02-02,10,0-10L,invoice_finance,0,0.0,600-649,1,44.89,1,11.29,53.16,1,0,57.17
2022-04-25,proprietorship,sc,0,1723,2022-11-01,11,0-10L,self_funded,0,0.0,300-599,0,50.46,0,4.85,38.12,0,0,63.24
2020-04-23,llp,sc,0,3395,2021-03-17,15,10L-50L,self_funded,0,0.0,300-599,1,38.45,0,25.64,66.26,0,0,36.65
2026-01-16,proprietorship,general,0,1951,2026-05-25,192,10Cr+,family_friends,1,967164.21,300-599,1,35.93,0,25.16,47.71,1,0,67.03
2022-09-21,proprietorship,women,1,2251,2023-08-18,4,10Cr+,self_funded,0,0.0,300-599,1,27.84,0,7.89,64.27,0,0,66.7
2024-12-26,section8,differently_abled,1,2938,2025-05-06,17,2Cr-10Cr,bank_loan,0,0.0,600-649,1,51.5,0,16.67,65.53,0,0,89.89
2022-02-19,section8,differently_abled,1,9216,2022-03-18,3,10L-50L,self_funded,0,0.0,300-599,1,76.02,0,9.41,70.4,0,0,36.68
2020-12-26,pvt_ltd,veteran,0,1545,2021-10-18,4,2Cr-10Cr,bank_loan,0,0.0,300-599,1,71.08,0,4.12,43.56,0,0,97.62
2022-12-04,producer_company,women,0,7474,2022-12-21,13,2Cr-10Cr,govt_grant,0,0.0,600-649,1,1.7,0,37.24,32.91,1,0,85.03
2023-06-18,partnership,sc,0,5663,2023-10-17,4,0-10L,self_funded,1,1259896.49,750-900,1,63.7,0,54.89,84.53,1,0,58.48
2019-07-06,producer_company,sc,1,3357,2020-03-18,4,10Cr+,angel,0,0.0,600-649,0,89.41,0,28.9,42.21,0,0,53.27
2019-08-16,partnership,first_time_founder,1,8430,2020-05-21,2,50L-2Cr,govt_grant,0,0.0,300-599,1,52.21,1,42.05,53.11,1,0,33.68
2021-08-02,pvt_ltd,veteran,0,9851,2022-05-10,13,10L-50L,angel,0,0.0,NA,1,49.65,0,23.38,48.54,0,0,58.45
2020-06-08,section8,women,0,1046,2020-08-14,3,0-10L,nbfc,1,1196585.32,650-699,0,23.05,0,21.45,91.56,0,0,56.7
2020-09-03,opc,differently_abled,0,2034,2020-12-12,10,10Cr+,govt_grant,0,0.0,300-599,0,61.72,1,24.74,71.62,1,0,13.66
2026-02-15,opc,first_time_founder,0,3377,2026-11-05,23,10L-50L,nbfc,1,246914.35,700-749,1,69.93,0,14.53,29.31,0,0,79.67
2021-12-17,llp,minority,1,3472,2022-07-21,7,50L-2Cr,govt_grant,1,5755561.13,300-599,1,45.65,0,21.93,61.5,0,0,78.84
2023-08-13,opc,st,0,8048,2023-10-18,7,0-10L,angel,0,0.0,600-649,1,44.67,1,11.08,45.42,0,0,53.43
2023-09-05,section8,first_time_founder,0,8034,2023-12-12,17,0-10L,family_friends,1,892843.89,650-699,1,34.28,0,29.68,59.42,1,0,42.91
2021-11-11,partnership,obc,0,3883,2022-04-22,3,10L-50L,bank_loan,1,3671012.26,650-699,1,62.67,0,48.13,43.51,0,0,40.81
2020-09-14,partnership,veteran,0,9404,2020-12-17,2,2Cr-10Cr,govt_grant,1,5256226.25,750-900,0,44.84,1,20.66,67.71,0,0,30.78
2023-04-21,opc,minority,0,3021,2023-11-27,5,10Cr+,vc,0,0.0,300-599,1,35.7,0,11.0,78.59,0,0,83.83
2025-12-08,llp,st,0,3390,2026-01-14,6,0-10L,invoice_finance,0,0.0,NA,1,62.98,0,16.28,76.97,0,0,69.46
2025-04-03,pvt_ltd,obc,0,1232,2026-03-29,1,0-10L,angel,0,0.0,600-649,0,23.85,0,10.44,29.34,0,0,56.02
2020-09-12,partnership,veteran,0,7618,2021-03-24,23,10Cr+,angel,0,0.0,NA,1,74.63,1,327.99,60.95,0,0,52.52
2022-07-10,pvt_ltd,minority,0,2675,2022-10-05,40,2Cr-10Cr,angel,0,0.0,300-599,0,81.58,0,15.92,74.25,1,0,64.94
2022-11-17,partnership,women,0,7742,2023-03-07,30,50L-2Cr,self_funded,0,0.0,NA,0,91.82,0,86.08,41.04,1,0,45.6
2020-01-02,llp,women,0,4884,2020-06-09,3,10Cr+,bank_loan,0,0.0,NA,1,95.21,0,93.06,79.29,1,0,62.27
2019-10-27,llp,veteran,1,6301,2020-09-14,2,10L-50L,govt_grant,0,0.0,NA,1,59.52,1,23.85,61.53,0,0,57.27
2025-08-04,proprietorship,obc,1,5751,2025-09-15,2,10L-50L,vc,0,0.0,NA,0,79.97,0,53.87,33.67,0,0,56.98
2023-04-20,partnership,general,0,2136,2024-01-22,9,10L-50L,govt_grant,1,5857480.74,750-900,1,9.55,1,234.23,54.44,0,0,69.15
2024-05-19,partnership,st,1,9453,2025-02-25,3,10L-50L,self_funded,0,0.0,NA,1,42.92,0,68.55,37.07,0,0,70.53
2022-08-06,section8,general,0,7934,2022-08-28,3,0-10L,self_funded,1,9668168.02,NA,1,53.84,0,26.91,79.94,1,0,34.37
2025-11-17,partnership,differently_abled,0,3593,2026-10-12,3,0-10L,govt_grant,0,0.0,NA,0,52.83,0,3.27,82.55,0,0,66.45
2026-02-13,llp,veteran,0,9058,2026-03-21,4,10L-50L,govt_grant,0,0.0,300-599,0,30.13,0,31.78,59.85,0,0,47.04
2022-09-07,producer_company,st,1,2539,2022-11-12,1,10Cr+,family_friends,1,1106074.95,NA,0,31.22,0,19.25,50.77,0,0,68.93
2020-01-19,proprietorship,sc,1,7662,2020-05-07,1,10L-50L,nbfc,0,0.0,NA,1,83.31,0,8.12,44.02,1,0,35.21
2023-01-19,partnership,first_time_founder,0,6982,2024-01-05,5,2Cr-10Cr,govt_grant,0,0.0,300-599,0,68.28,0,9.58,49.09,0,0,82.45
2020-08-14,opc,differently_abled,1,1375,2021-05-14,3,10L-50L,self_funded,0,0.0,600-649,0,60.02,0,123.03,57.33,1,0,62.21
2023-07-09,opc,obc,0,8221,2023-12-02,3,10Cr+,vc,1,1740230.28,600-649,1,38.28,0,40.77,65.89,0,0,72.57
2020-11-16,llp,obc,0,1279,2020-12-16,17,0-10L,vc,0,0.0,NA,1,37.47,0,20.22,57.5,0,0,75.38
2021-05-27,section8,first_time_founder,0,4273,2021-08-15,6,10Cr+,invoice_finance,1,5675683.92,600-649,1,45.62,0,58.57,0.0,0,0,81.77
2023-01-09,producer_company,sc,0,8029,2023-07-30,8,2Cr-10Cr,bank_loan,0,0.0,NA,1,68.26,0,32.87,57.59,0,0,73.77
2025-02-07,opc,differently_abled,0,2744,2025-06-21,7,10Cr+,govt_grant,0,0.0,300-599,1,47.21,0,15.04,67.75,0,0,5.58
2024-03-16,opc,veteran,0,7188,2024-06-27,3,10L-50L,govt_grant,0,0.0,600-649,1,55.32,0,14.54,14.47,0,0,70.04
2021-03-10,llp,first_time_founder,0,3827,2021-10-11,1,2Cr-10Cr,invoice_finance,1,859030.97,700-749,0,77.54,0,22.24,89.88,0,0,31.59
2019-06-11,llp,differently_abled,1,2506,2020-05-15,3,10Cr+,self_funded,0,0.0,NA,0,18.08,1,18.44,57.38,0,0,63.67
2023-11-08,partnership,obc,0,7030,2024-05-01,2,2Cr-10Cr,angel,0,0.0,300-599,1,21.65,1,22.09,54.63,0,0,70.68
2020-02-10,partnership,general,0,1130,2020-05-13,2,2Cr-10Cr,family_friends,0,0.0,600-649,0,33.65,1,77.24,49.73,0,0,80.31
2025-05-01,partnership,minority,0,7572,2025-09-19,16,50L-2Cr,bank_loan,1,3912950.26,600-649,0,71.09,0,10.07,49.83,0,0,54.66
2023-02-25,section8,sc,1,1004,2024-02-13,5,50L-2Cr,invoice_finance,0,0.0,600-649,1,26.18,0,14.49,37.71,1,0,42.22
2024-07-11,llp,obc,1,9326,2025-04-28,11,10Cr+,self_funded,1,9635526.34,700-749,1,43.79,0,38.23,46.56,1,0,42.77
2019-09-02,opc,minority,0,6925,2020-05-11,2,2Cr-10Cr,invoice_finance,1,7420260.83,700-749,1,29.47,0,19.18,72.24,1,0,45.28
2023-09-07,pvt_ltd,differently_abled,1,9461,2024-02-09,14,50L-2Cr,invoice_finance,1,2925577.87,650-699,0,20.6,0,26.6,38.58,0,0,84.72
2024-05-09,llp,differently_abled,0,1435,2025-04-10,10,0-10L,nbfc,0,0.0,300-599,1,44.09,1,37.76,54.94,1,0,51.63
2023-06-12,partnership,general,0,7668,2024-02-02,2,0-10L,govt_grant,0,0.0,NA,1,8.52,0,76.53,71.52,1,0,17.59
2020-10-11,llp,first_time_founder,0,8655,2020-11-14,2,10Cr+,bank_loan,0,0.0,300-599,1,65.66,0,13.85,66.09,0,0,46.25
2022-10-24,partnership,sc,0,8157,2023-08-24,9,0-10L,bank_loan,0,0.0,300-599,0,59.54,1,72.73,95.96,1,0,64.97
2024-03-27,proprietorship,first_time_founder,0,1699,2024-11-03,6,10L-50L,govt_grant,1,4040592.46,600-649,0,94.74,0,9.72,51.89,1,0,46.08
2020-04-16,producer_company,minority,0,4230,2020-05-24,9,50L-2Cr,vc,0,0.0,600-649,1,18.63,0,22.76,40.71,1,0,73.32
2022-05-01,section8,general,1,5840,2023-02-27,15,10L-50L,nbfc,0,0.0,600-649,0,30.21,0,11.93,81.75,1,1,47.68
2025-09-30,producer_company,first_time_founder,0,7295,2025-10-18,10,50L-2Cr,self_funded,0,0.0,300-599,0,64.38,0,49.29,89.86,0,0,51.83
2024-09-02,llp,minority,0,5071,2024-12-01,13,2Cr-10Cr,family_friends,0,0.0,600-649,1,57.85,0,37.55,38.61,1,1,74.53
2024-03-28,section8,women,0,3896,2025-01-09,6,2Cr-10Cr,nbfc,0,0.0,300-599,0,67.27,1,29.67,34.49,0,0,33.82
2023-03-09,partnership,obc,1,9545,2023-07-23,7,10L-50L,invoice_finance,0,0.0,NA,1,39.2,0,43.78,64.36,0,0,62.36
2019-11-26,opc,first_time_founder,0,3590,2020-09-14,8,2Cr-10Cr,invoice_finance,1,16172058.3,650-699,1,44.53,1,7.98,56.42,0,0,46.17
2025-10-28,section8,sc,1,1406,2026-10-09,10,50L-2Cr,angel,0,0.0,300-599,1,69.55,1,7.46,75.54,0,0,62.76
2023-04-28,section8,differently_abled,1,6680,2023-06-02,4,10L-50L,invoice_finance,1,6506542.55,700-749,1,29.95,0,8.14,61.69,1,1,84.26
2024-03-27,section8,first_time_founder,1,2405,2024-09-26,2,0-10L,govt_grant,1,2056515.77,600-649,1,64.3,0,9.62,61.64,0,0,52.18
2022-08-29,opc,st,0,5716,2022-09-21,1,50L-2Cr,self_funded,1,1239217.39,700-749,0,34.84,0,54.85,33.04,1,0,83.78
2024-08-22,section8,minority,0,4554,2024-10-10,39,50L-2Cr,angel,1,983794.49,700-749,0,74.5,0,14.08,51.93,1,0,72.34
