ag_econ_fiscal_year_farm,ag_econ_farm_business_type,ag_econ_gross_cash_income_inr,ag_econ_operating_expenses_inr,ag_econ_net_farm_income_inr,ag_econ_debt_to_asset_ratio,ag_econ_interest_paid_inr,ag_econ_land_rent_paid_inr,ag_econ_machinery_depreciation_inr,ag_econ_labor_hired_cost_inr,ag_econ_input_price_fuel_index,ag_econ_input_price_fertilizer_index,ag_econ_input_price_seed_index,ag_econ_input_price_feed_index,ag_econ_government_payments_inr,ag_econ_crop_insurance_indemnities_inr,ag_econ_working_capital_ratio,ag_econ_return_on_assets_pct,ag_econ_financial_stress_score,ag_econ_succession_plan_flag
2024,COOPERATIVE,19438679.88,17667439.09,1771244.28,0.719,1824015.16,1502468.46,1006853.2,473772.84,75.15,199.62,168.56,107.54,1415838.39,1931517.44,2.95,0.429,60.13,0
2020,FPO,9757206.46,8355472.04,1401737.92,0.519,996644.14,1020162.06,281736.26,4136430.16,144.25,200.85,163.95,203.92,1562031.53,685763.64,3.568,-0.141,75.83,0
2012,LARGE,14348891.84,9143928.39,5204966.96,0.195,333435.11,3496009.58,389522.44,2784619.82,174.79,167.07,169.84,95.33,2240164.28,1605489.67,0.478,0.26,7.38,0
2014,SMALLHOLDER,7705984.85,5301500.12,2404488.25,0.646,1954037.89,265804.32,324616.73,3849805.36,183.6,152.94,85.96,207.44,1231801.43,157112.0,2.727,0.063,68.76,1
2016,LARGE,11406240.27,7424456.96,3981786.84,0.381,372582.19,3220745.35,791395.45,3686751.03,70.37,82.01,156.07,217.51,2190520.64,1942150.43,4.06,-0.178,42.37,0
2025,SMALLHOLDER,12217824.88,9327335.36,2890493.06,0.866,709066.95,2237661.72,657112.24,4657267.57,84.13,205.34,166.4,212.02,2876704.96,83057.57,2.481,-0.021,9.24,0
2024,LEASED,13538002.23,6205311.68,7332694.1,0.806,29833.55,2403217.56,419329.28,2392155.83,77.28,111.29,135.21,214.06,182083.28,1253505.77,0.649,0.277,8.84,0
2016,AGRI_STARTUP,3515092.53,3207586.52,307509.57,0.674,154114.9,213628.45,505444.27,1927097.74,121.73,202.46,120.77,84.31,2108744.27,944512.51,2.453,-0.204,35.13,1
2026,AGRI_STARTUP,8548022.42,7741628.61,806397.38,0.716,788595.03,2222095.46,410357.81,1621039.98,188.95,150.82,173.57,112.86,2259105.74,532510.94,2.238,-0.03,5.89,1
2018,LEASED,16020223.85,9744223.16,6276004.27,0.852,1360637.96,3166155.25,311285.57,3868493.93,161.65,120.28,90.96,217.72,2516971.56,12792.47,1.524,-0.004,64.92,0
2012,FPO,18891965.39,10301765.32,8590203.66,0.053,1661270.76,1325590.27,644002.57,3742822.39,152.3,144.45,169.94,96.84,262271.81,1184711.58,1.052,0.106,49.55,0
2026,LEASED,6779799.58,3260924.67,3518878.51,0.748,300768.54,3052737.14,951488.87,2414920.77,76.14,86.43,80.18,77.76,1627758.13,1168279.44,0.743,0.286,73.38,1
2012,SMALLHOLDER,18919883.61,16440625.33,2479261.89,0.646,43092.92,2183858.94,140463.05,1547405.99,112.21,110.15,81.34,99.64,1755245.15,1115435.18,0.674,-0.169,33.54,0
2012,SMALLHOLDER,4825536.18,2763413.35,2062126.45,0.303,303702.48,3117547.76,478981.2,3495470.33,108.29,136.04,197.86,88.68,506004.69,245807.42,0.645,-0.075,18.67,0
2021,AGRI_STARTUP,23990967.76,20126725.66,3864245.73,0.846,3636.22,683113.05,279023.26,1884458.84,131.27,177.4,198.88,151.66,838816.13,110810.54,0.319,0.306,37.21,0
2022,FPO,5135218.14,4066674.68,1068547.1,0.702,1216546.77,866662.2,810371.65,1599534.66,109.76,181.78,199.6,121.51,240784.39,531842.67,2.593,-0.088,96.82,0
2016,MEDIUM,20563057.08,15964693.63,4598367.1,0.477,615888.27,1698425.48,873265.76,57359.16,79.7,183.89,144.48,117.05,2387543.1,581443.48,3.953,0.28,99.66,0
2013,SMALLHOLDER,3912995.26,2230508.34,1682490.58,0.337,1688760.31,1440000.35,112482.76,2986609.43,169.11,194.4,167.26,161.65,2233082.76,836622.64,1.78,0.337,46.79,1
2018,AGRI_STARTUP,15109678.87,9322065.74,5787616.8,0.372,22321.25,1795481.74,793656.41,1031525.88,71.8,189.18,103.37,155.18,646000.52,1830068.25,1.413,0.166,97.87,0
2023,MEDIUM,1371622.05,1164608.09,207017.64,0.477,1906157.32,1419380.3,93937.44,725214.83,131.51,139.87,146.55,217.31,2678557.0,135619.11,0.972,0.034,62.2,0
2026,FPO,1463360.19,1225976.34,237387.54,0.203,1513960.32,1058175.17,36123.12,866905.97,72.64,94.14,119.08,113.97,1459004.33,1698103.37,3.603,0.142,35.43,1
2022,LARGE,12747617.19,9633216.77,3114404.12,0.746,1544003.59,259512.08,1189908.21,4000678.96,168.3,109.73,138.86,139.26,2146505.84,1721709.7,3.5,-0.166,17.64,1
2023,LEASED,18494036.24,9900576.76,8593463.19,0.139,1563348.33,1948059.54,356671.21,2291095.88,117.29,90.98,139.1,85.02,2579582.3,1399535.46,1.478,0.083,63.72,1
2022,MEDIUM,3069593.06,2630543.05,439053.73,0.782,1867985.47,2363638.17,707372.55,2960875.2,144.93,115.99,66.4,102.88,666761.35,1674942.27,2.963,0.177,30.03,1
2015,LEASED,16198435.38,12008197.6,4190241.51,0.609,100404.93,3499989.36,1054231.0,3121574.65,181.9,73.95,183.14,98.32,2843711.92,434891.63,4.493,0.294,77.95,1
2025,FPO,5163917.6,2834432.1,2329489.24,0.131,834734.39,1797371.3,292112.88,2911270.95,152.24,148.44,181.38,170.59,1856759.22,1730432.98,1.818,0.254,38.91,0
2022,FPO,14451440.78,6789474.21,7661970.32,0.156,1399286.78,3108993.61,284980.81,801667.19,81.36,150.73,168.21,116.82,815932.91,1824638.29,2.839,0.234,27.77,0
2018,SMALLHOLDER,11406355.48,9859200.84,1547158.4,0.459,1468746.21,1094783.6,442331.74,3921404.63,128.15,170.68,110.85,173.73,1509672.62,854485.34,0.314,0.295,49.63,0
2026,FPO,1522657.97,1196181.19,326480.55,0.128,1932299.01,665127.55,950042.91,2665449.06,139.16,162.44,124.51,71.45,2658015.4,1787137.23,1.275,-0.119,11.76,0
2023,LARGE,14606830.65,8588730.13,6018104.3,0.389,779900.42,3409025.29,313938.95,3359067.64,139.48,131.13,139.2,200.54,1742525.01,782723.97,1.347,-0.185,66.69,0
2014,FPO,16743251.1,13339044.78,3404210.11,0.788,1262791.44,2211978.21,40059.37,3730971.0,109.61,69.02,78.77,77.42,2161335.94,1446312.54,3.725,0.232,41.85,0
2013,FPO,22252404.06,19233203.16,3019204.7,0.746,1846141.71,890534.71,241866.25,3308451.25,168.94,170.85,66.3,152.57,2483933.02,866392.4,2.296,0.331,55.85,1
2014,COOPERATIVE,4117990.0,1888267.38,2229726.43,0.253,1716250.9,1179114.27,739135.74,2378541.76,137.88,186.4,111.93,111.38,519803.37,1176935.58,3.466,0.036,14.17,0
2012,FPO,2195106.7,1641207.33,553903.19,0.177,796259.19,3283127.31,580106.28,443656.34,103.15,208.19,103.22,72.15,1182272.55,1374992.33,3.836,0.204,5.99,0
2019,AGRI_STARTUP,22185052.5,15915471.87,6269584.46,0.622,587629.28,2420305.15,337361.22,3966810.88,76.67,197.37,76.85,142.57,2457812.54,1155085.17,0.949,0.047,89.18,0
2026,LEASED,20341081.23,11336604.62,9004480.45,0.73,1952622.97,1334312.46,306012.43,2534108.78,119.84,124.41,162.65,64.98,494675.45,1482373.93,2.705,0.279,91.02,0
2015,LARGE,14843908.04,13329628.42,1514283.47,0.362,749981.32,945152.75,572617.69,295925.61,141.89,164.96,128.82,136.09,1827273.99,1776173.12,3.325,0.287,12.39,0
2014,SMALLHOLDER,14732327.39,10295852.8,4436478.45,0.389,1839650.08,3277588.74,592933.95,2338631.09,82.59,188.63,165.74,128.67,588143.36,1623483.65,1.501,-0.042,71.87,0
2013,MEDIUM,13927915.59,12756853.78,1171065.68,0.572,607314.31,2899806.53,313892.12,4975646.29,162.11,194.85,96.21,69.08,1006733.59,1203220.08,0.913,-0.007,31.44,1
2026,SMALLHOLDER,15195094.74,12185528.23,3009570.39,0.617,36912.0,1302162.88,47497.72,268846.62,188.81,131.33,131.81,202.86,2671041.18,1055077.18,3.248,0.119,42.88,0
2026,MEDIUM,19407215.58,10541557.67,8865661.8,0.166,1013919.3,1779608.82,741682.7,3632243.52,151.19,164.35,199.48,84.14,2823415.92,1940212.87,4.368,0.141,53.8,0
2025,SMALLHOLDER,4920984.86,3592953.1,1328035.66,0.595,1011703.54,343175.38,847191.87,117539.47,95.22,179.17,169.44,196.94,2503753.89,538082.45,0.488,-0.046,78.47,0
2013,COOPERATIVE,5306527.19,3667073.45,1639457.65,0.787,1509047.15,624344.22,734215.99,3047614.93,151.46,169.79,65.68,134.16,796253.84,1228483.54,3.684,-0.169,75.64,1
2020,SMALLHOLDER,10355299.52,8643308.6,1711994.84,0.838,1448209.68,1909749.45,662939.72,4379213.74,185.73,152.43,75.16,78.82,1525589.64,599143.0,2.279,-0.064,55.18,0
2012,SMALLHOLDER,19640084.01,9670792.07,9969295.87,0.784,566935.3,3177095.61,1099127.4,3841918.41,94.22,200.44,145.77,127.96,1750508.24,121310.41,3.956,-0.223,31.39,1
2018,MEDIUM,18310442.54,12084744.85,6225701.63,0.124,838784.58,1809743.95,645293.4,995640.91,83.35,136.7,84.72,68.53,2018955.77,1466960.34,0.827,0.252,47.98,0
2015,COOPERATIVE,15074843.24,12130542.09,2944305.1,0.411,1654629.55,1924914.7,478378.04,4627521.51,76.99,123.39,80.22,191.45,56843.68,237197.35,2.854,0.011,53.64,0
2015,SMALLHOLDER,6082209.51,3713302.21,2368911.26,0.075,429976.63,1344720.61,51680.21,898438.2,132.34,110.45,68.45,148.88,2963112.01,1356988.85,3.544,-0.194,97.61,0
2025,FPO,23678397.32,12808003.81,10870397.48,0.117,936247.14,1509336.23,1001624.41,4270279.7,87.88,165.89,68.14,167.7,2136397.79,1246332.58,4.179,0.335,57.73,0
2013,MEDIUM,958084.11,505721.74,452366.35,0.808,447205.63,2932552.77,97944.28,1001212.56,104.67,81.59,62.94,114.25,403558.73,925035.92,0.919,0.324,88.95,0
2024,COOPERATIVE,24109039.43,12803232.67,11305810.75,0.125,1209095.99,1860361.15,374659.04,1212004.31,116.44,166.55,195.34,90.42,1051208.17,716248.09,2.542,-0.147,19.48,0
2014,MEDIUM,13214355.83,11063691.8,2150668.03,0.822,1019069.53,1567661.89,1146229.83,842786.31,174.26,120.81,93.19,73.19,2148051.92,1563816.12,4.499,-0.013,0.2,0
2025,AGRI_STARTUP,18238873.58,16053253.69,2185623.9,0.359,1732708.45,1111362.84,908274.26,1683190.54,116.91,202.12,191.5,187.91,154780.79,1071676.7,1.885,0.33,34.99,0
2019,LEASED,3725882.78,2691036.72,1034850.08,0.789,1195675.29,514946.86,954507.03,1525686.16,98.72,200.05,163.1,87.52,1639962.25,1230203.84,0.96,-0.191,92.76,1
2022,COOPERATIVE,15589570.2,13796771.65,1792802.58,0.629,1854295.46,211325.55,495598.97,1325089.86,161.26,76.06,181.41,65.46,493767.25,108459.52,3.884,0.393,16.88,0
2024,MEDIUM,9010067.27,8215501.97,794569.34,0.755,1572253.08,1718869.57,187569.88,2618015.76,167.46,139.67,184.3,141.02,2700371.88,1772302.39,3.476,0.036,92.15,1
2014,MEDIUM,8533466.73,4025292.69,4508178.09,0.145,747136.54,3221869.44,563209.14,3298268.3,163.56,96.21,157.53,89.06,2475961.81,608799.2,0.538,0.275,2.27,0
2014,LEASED,3237256.91,2607519.35,629741.62,0.413,9542.2,2174084.71,714004.2,819806.81,84.33,68.54,101.75,106.48,2761312.38,1487945.39,1.974,0.24,81.38,0
2016,FPO,19542447.05,10627350.75,8915100.37,0.062,124618.05,808400.06,927166.67,4568318.33,181.82,79.64,144.44,196.98,2302356.0,1322809.88,2.154,-0.03,25.73,0
2014,MEDIUM,8034818.17,6459901.86,1574920.39,0.592,251126.94,2828934.47,441212.96,1752298.73,113.77,86.32,69.59,60.51,1460002.6,1732015.79,1.595,-0.243,83.18,0
2014,FPO,23317263.93,17861489.25,5455778.77,0.31,797199.68,2088642.35,195703.69,3597772.27,105.35,97.45,98.43,119.32,1814482.76,633467.93,1.004,-0.105,51.93,0
2026,LEASED,8527073.67,3868937.28,4658140.49,0.189,1368048.81,106421.95,872277.62,2307992.72,89.03,198.09,155.78,184.05,2629597.42,1083539.36,1.828,0.151,13.68,0
2021,SMALLHOLDER,6870065.89,4444104.94,2425965.06,0.098,1277584.53,3487196.41,266687.44,1412448.96,71.26,86.98,92.71,209.34,2856569.61,211839.09,3.051,-0.214,11.02,1
2014,COOPERATIVE,23696457.13,13415109.56,10281351.69,0.535,819586.58,1044816.41,492547.73,2083343.36,118.55,94.13,198.97,177.62,374805.31,711026.54,1.231,0.151,80.28,1
2014,SMALLHOLDER,15073591.88,8583257.6,6490338.41,0.679,1541295.91,3165949.55,43761.8,1583553.9,138.54,103.82,93.26,186.24,2104668.02,1397743.79,1.295,0.257,89.18,0
2024,FPO,6655951.22,3425816.8,3230138.56,0.11,152135.42,1435894.65,21972.32,3052178.31,75.37,117.19,148.65,66.01,513240.06,1548835.41,3.597,-0.187,33.85,0
2020,COOPERATIVE,2743336.27,1566203.94,1177136.48,0.659,611106.92,3254573.55,317653.22,3793235.94,178.16,123.1,134.38,149.5,454595.81,1034699.76,0.365,-0.204,30.79,1
2022,FPO,21494342.4,14574773.38,6919573.18,0.091,1293457.89,2303572.45,762697.08,4779854.89,96.32,138.44,106.53,214.59,807620.11,862398.81,0.65,0.172,16.0,0
2026,LARGE,1147198.24,517135.41,630067.0,0.643,1131420.28,3446429.95,1153941.69,513030.12,92.75,159.9,155.56,62.37,977520.86,47045.58,1.991,0.247,71.31,0
2024,FPO,23168331.37,17258028.53,5910307.02,0.737,1548893.61,2847305.56,738767.74,3772959.28,155.1,72.98,154.71,97.49,97904.18,481470.96,2.747,0.088,77.77,0
2023,FPO,2807703.5,1547033.4,1260674.29,0.051,199801.08,475862.73,553968.33,3053789.79,154.53,106.08,105.24,134.03,1617183.25,413289.12,0.69,-0.121,59.59,0
2026,COOPERATIVE,14268755.45,11977710.33,2291049.32,0.539,1844713.27,3336428.88,259314.5,4982965.85,76.85,137.4,125.62,123.38,1766379.01,962002.23,0.227,-0.023,52.89,1
2014,COOPERATIVE,20191121.2,13547785.67,6643339.74,0.268,1565468.18,1392609.54,786870.69,3565317.91,175.34,136.68,167.18,71.34,2357506.57,1470834.53,2.361,-0.047,40.93,0
2020,LEASED,10714887.94,5998672.37,4716219.79,0.949,1921784.4,1244310.29,156434.5,1586341.17,124.98,167.09,135.57,157.65,2827268.58,642586.48,3.386,0.396,12.28,1
2022,AGRI_STARTUP,24920408.5,18196835.9,6723576.83,0.134,1822671.93,725823.27,29839.5,3191175.35,179.34,85.96,102.56,127.92,2529437.25,1203496.38,2.875,0.213,58.59,0
2026,COOPERATIVE,10396780.84,6766208.92,3630576.16,0.758,1631623.21,178003.12,563495.09,873623.66,166.69,82.28,175.05,61.89,343123.68,487517.29,2.738,0.246,42.4,0
2016,FPO,24114632.2,20156477.96,3958158.49,0.088,1103238.33,1067427.74,8358.45,351056.27,82.1,118.59,127.86,162.02,1443301.12,139129.77,1.156,0.402,65.83,0
2021,SMALLHOLDER,12699058.51,10192413.39,2506649.38,0.943,754036.02,2393495.25,847940.86,1448288.56,97.73,87.06,76.7,91.49,132335.44,1578358.42,3.615,-0.16,57.01,0
2022,LARGE,6928865.36,3921023.6,3007846.03,0.456,466184.58,694216.69,674245.64,4823298.82,100.23,88.25,125.36,71.75,2389258.73,1191608.43,4.113,0.248,31.34,0
2024,AGRI_STARTUP,12110732.4,10135182.88,1975553.8,0.873,644125.32,3287672.75,1177899.62,1900308.43,150.67,127.85,122.67,218.61,1230267.99,969837.83,0.832,-0.104,73.09,0
2025,LEASED,14137883.64,8106154.76,6031733.17,0.344,1185582.35,1193253.99,824886.7,4182810.91,141.53,186.24,63.48,194.77,696012.81,844542.97,2.713,0.195,40.51,0
2026,MEDIUM,24265553.87,21195195.11,3070363.06,0.113,1673687.5,2124917.38,759716.29,4095172.69,80.86,70.93,107.13,88.41,1661861.1,486948.59,3.281,0.394,17.97,0
2023,AGRI_STARTUP,9508423.65,6785101.93,2723326.03,0.854,636502.54,264452.25,1014993.74,386042.21,76.67,184.67,108.42,110.18,281565.79,1030375.72,4.21,-0.13,41.53,0
2015,COOPERATIVE,19129293.17,13201900.88,5927396.61,0.256,548933.61,3063361.63,1110392.19,1932835.28,75.69,86.79,64.65,206.14,1640492.0,283193.85,1.562,0.016,67.78,0
2013,AGRI_STARTUP,4980539.94,3424965.29,1555578.98,0.387,709152.94,1404173.61,345626.87,189003.48,105.83,139.62,188.27,201.42,1585668.4,1599854.71,2.76,-0.193,46.69,1
2024,COOPERATIVE,22268163.8,14409458.54,7858709.6,0.884,508342.33,2462694.53,885991.58,4925742.25,184.05,126.96,188.61,130.58,81753.42,160930.29,1.124,-0.03,14.73,1
2018,MEDIUM,9153611.09,5813648.46,3339966.98,0.145,809749.68,2259479.84,223018.17,3421105.47,109.84,144.43,109.86,146.99,530489.91,202112.63,0.939,0.108,95.57,0
2015,LEASED,8168106.74,4640711.83,3527399.27,0.142,489658.95,331348.24,1102603.34,2880159.51,91.44,193.15,124.57,97.2,578417.77,297790.7,4.063,0.312,35.43,1
2023,LARGE,16246555.69,7486616.96,8759943.1,0.075,640953.31,312987.28,927698.54,853357.29,143.17,107.77,112.09,172.05,1441729.33,1194457.07,2.203,0.417,34.49,0
2022,FPO,24258772.19,22071703.47,2187073.1,0.792,1388945.22,1656539.71,612760.12,2365173.54,80.26,130.56,145.34,156.24,1467407.34,1577627.28,0.569,0.328,70.34,0
2015,LEASED,6134169.18,3369086.13,2765087.44,0.431,691062.76,2296899.4,1107198.66,3990942.63,162.53,75.07,109.81,80.96,416618.52,1395827.37,0.862,-0.16,84.01,0
2013,AGRI_STARTUP,12349968.17,11076352.38,1273620.19,0.075,174718.39,602547.39,59819.39,1721857.29,157.08,188.7,156.73,132.45,1950886.72,541719.46,2.554,0.168,24.71,0
2013,SMALLHOLDER,14172533.7,10187701.94,3984836.17,0.546,724967.9,117948.54,170275.56,1620534.98,117.59,101.84,163.84,121.81,1896967.21,792730.13,4.079,0.388,87.78,1
2020,FPO,15338050.48,13732475.31,1605579.59,0.773,138271.11,1748263.73,218401.63,4668251.96,70.38,176.98,158.42,204.87,1239012.68,304976.79,2.508,-0.126,76.8,0
2017,MEDIUM,12823472.88,7698115.23,5125362.08,0.222,258575.52,1106425.51,322563.42,3460351.24,88.46,73.84,97.08,143.78,886519.39,1956774.36,3.261,-0.14,77.41,1
2025,MEDIUM,7831552.47,7194876.82,636680.09,0.5,1751156.07,1639102.63,540283.0,3839648.74,165.81,195.85,179.46,211.69,2477646.09,175937.7,2.965,-0.227,99.52,0
2024,AGRI_STARTUP,19108560.84,10033049.35,9075515.94,0.582,1724601.89,1899466.14,552088.39,1071986.87,179.87,176.07,150.33,193.47,1824354.53,465440.2,0.784,-0.191,42.98,0
2013,LEASED,8070872.37,5020730.85,3050145.98,0.626,1934964.38,829267.87,231712.56,1879565.72,75.82,208.77,170.8,134.85,2192178.05,1748897.86,3.218,0.26,63.02,0
2023,FPO,24459807.15,13708976.52,10750835.1,0.312,53772.1,2321657.5,903032.31,3794173.9,111.94,193.52,156.96,75.22,410316.34,21004.18,3.548,0.108,87.42,0
2015,COOPERATIVE,17868610.37,15307755.24,2560859.61,0.346,130006.38,2695344.13,767331.01,1398355.92,148.02,183.89,109.46,175.92,1110595.26,1676841.42,0.834,0.369,91.35,0
2022,LEASED,6059344.74,3539688.84,2519660.39,0.323,356798.63,460793.78,197937.29,959805.53,169.85,185.06,190.11,61.28,2017921.21,420085.27,0.74,-0.229,30.29,0
2022,SMALLHOLDER,498941.38,307839.61,191106.27,0.32,548673.81,2846942.92,226063.58,846098.98,185.49,196.03,144.62,81.33,213899.88,307053.3,0.958,0.291,19.74,0
2014,AGRI_STARTUP,723287.43,619008.11,104283.83,0.529,1409901.22,1003901.46,1144026.14,2444957.9,116.02,181.7,149.32,190.92,1009427.07,735153.25,2.798,0.308,28.83,1
2024,COOPERATIVE,8863914.79,5601501.64,3262417.67,0.382,1102587.07,1517702.53,1056637.21,3156837.22,182.73,163.41,140.92,212.71,2895644.19,1872466.19,0.213,0.31,68.06,0
2013,SMALLHOLDER,10663146.92,5899838.21,4763313.24,0.741,1295780.24,1379930.0,259521.1,540430.34,92.06,188.42,164.22,188.42,829699.13,1525149.28,1.863,-0.049,32.22,0
2026,AGRI_STARTUP,9708512.12,7398871.81,2309644.85,0.351,1396042.44,39387.33,798793.53,2470306.99,147.65,105.56,162.71,72.72,2709525.33,1460518.12,2.701,-0.172,75.34,0
2015,LARGE,17724195.51,14941670.92,2782529.14,0.792,1610625.69,2687601.09,374575.35,3123852.99,78.97,145.73,156.37,86.53,960990.96,554566.3,2.94,-0.094,93.44,0
2026,LEASED,8915200.16,6604344.8,2310859.92,0.124,1024489.08,1074974.6,717638.05,1705037.08,71.42,85.39,162.28,112.68,2220845.32,1477614.78,3.047,0.144,43.86,0
2013,SMALLHOLDER,9624652.08,5758392.59,3866264.06,0.055,1798397.94,1826981.06,140005.23,2977624.98,171.5,128.98,144.73,78.8,1113520.38,557401.19,3.447,-0.229,30.22,0
2018,LEASED,24110269.62,11346699.67,12763574.53,0.647,1729767.68,542976.39,983691.06,3642187.32,87.29,101.97,62.18,187.31,2332306.69,474972.31,0.765,0.34,26.9,0
2020,LARGE,11540222.25,6118725.47,5421501.37,0.504,127368.68,1181216.54,382929.4,928463.56,146.48,154.06,92.77,138.31,1776694.66,631261.66,4.113,0.403,68.99,0
2014,SMALLHOLDER,6957155.83,3242337.25,3714823.18,0.414,576911.08,2913768.33,1029741.3,3742733.63,129.32,155.49,149.54,177.85,2072726.99,366116.72,2.658,0.105,39.05,0
2017,FPO,20232507.31,12354093.53,7878418.39,0.42,60323.85,60689.69,1155927.68,3948943.89,126.42,151.4,185.94,135.44,2133827.68,1471013.82,4.428,0.322,67.48,1
2020,LEASED,15708844.96,11877412.49,3831437.09,0.146,508031.47,1203979.13,603393.31,4207015.49,119.64,116.9,84.16,208.13,2107370.96,1068586.48,4.456,0.003,5.17,0
2015,SMALLHOLDER,11207815.33,9329458.26,1878361.7,0.173,1640828.3,3164201.79,305009.25,678829.75,72.84,173.89,98.58,172.98,279327.87,1435494.55,3.428,0.102,61.45,1
2019,LARGE,6382562.6,5273936.79,1108630.45,0.42,1890193.56,2527941.42,652285.81,170279.8,72.66,99.75,158.05,82.25,523814.97,648628.29,1.563,-0.234,30.65,0
2012,LARGE,12596140.75,9863316.69,2732828.71,0.913,1648743.61,2312026.33,520651.52,161401.69,176.01,69.77,60.41,163.96,2674875.1,513423.76,0.82,0.003,94.28,0
2018,AGRI_STARTUP,1291671.78,944039.08,347637.36,0.403,272771.79,565447.17,58033.57,835594.5,152.29,83.01,146.23,140.32,1008078.09,789443.11,2.306,0.111,69.46,0
2014,AGRI_STARTUP,9543681.4,4829802.82,4713883.25,0.386,254255.23,1539939.12,592542.49,2028956.56,70.54,71.6,123.15,145.27,2074114.16,422500.99,0.26,-0.168,4.96,0
2016,FPO,20870132.42,10828516.37,10041620.73,0.879,77789.75,30199.52,885537.06,1822214.0,177.03,203.41,75.7,166.23,1662086.39,1286646.35,3.978,-0.102,74.72,0
2025,LARGE,14191986.9,9338698.6,4853292.99,0.645,1837179.73,2173072.55,466852.79,3757858.11,157.44,156.75,71.66,164.32,2071964.75,158812.48,3.185,-0.069,38.2,0
2015,MEDIUM,10999523.78,6103722.64,4895805.84,0.686,161038.7,1900096.48,717927.48,2200569.08,168.58,189.83,124.34,146.89,2478831.7,585527.26,2.435,-0.038,84.37,1
2018,MEDIUM,23422075.41,15230762.59,8191317.53,0.359,1566745.54,1037340.16,614615.07,1466453.09,90.76,69.41,108.45,102.5,337262.89,1973778.12,1.047,-0.11,87.64,1
2022,AGRI_STARTUP,19276941.4,12909407.83,6367538.29,0.641,1599070.06,113094.86,232337.12,2252234.89,181.23,113.15,99.02,87.04,2836446.48,1817712.83,0.602,0.402,17.33,1
2012,LEASED,18530319.61,12942612.89,5587711.45,0.618,58627.78,2614056.29,733419.47,76544.01,101.3,86.72,190.65,196.38,1308722.09,1357042.93,1.252,0.205,41.59,1
2022,FPO,9179092.72,7949919.4,1229178.06,0.343,1911787.39,2130640.28,380851.99,2567654.14,94.91,164.28,190.16,64.11,681142.55,1822597.12,3.392,0.265,39.76,0
2024,FPO,20336664.72,12231351.02,8105318.45,0.191,1480165.36,1666888.51,590776.96,3601501.79,170.64,66.63,130.07,198.44,960544.76,1126854.02,4.376,0.173,80.41,1
2016,LEASED,17975241.94,11270262.7,6704984.0,0.65,43298.95,2615865.48,365303.74,929921.3,182.56,174.91,67.67,134.78,2686071.11,551701.28,0.632,0.073,66.95,0
2012,MEDIUM,3226561.01,1520702.84,1705862.94,0.542,677059.15,760253.19,762363.45,3440451.14,173.6,104.5,131.1,83.64,1861248.74,487457.12,4.053,0.298,78.09,1
2025,SMALLHOLDER,17171207.88,15035353.74,2135858.92,0.512,1879351.12,1692599.21,563959.72,869866.09,184.13,93.1,171.6,134.42,1297172.98,140180.67,2.057,-0.111,11.56,0
2026,COOPERATIVE,16261733.13,13432973.42,2828764.5,0.614,1800098.92,3171148.27,821549.1,3672197.31,125.01,73.74,136.5,114.78,1026160.7,785865.67,1.325,0.274,43.31,0
2013,COOPERATIVE,6794817.63,5125792.1,1669030.33,0.678,901643.09,2008504.23,1152082.0,268741.65,102.08,168.44,157.06,214.82,837454.46,1345154.73,2.845,0.312,42.85,0
2023,MEDIUM,11971292.26,10361319.78,1609977.29,0.73,1710218.12,906715.7,386165.15,1095308.29,79.96,157.22,193.45,138.94,2714974.69,1966180.95,0.623,0.329,85.46,0
2019,AGRI_STARTUP,12958216.32,9820794.63,3137426.51,0.788,1452404.23,1889797.92,547449.54,4759791.98,162.06,114.34,66.65,160.16,236243.38,342240.84,1.098,0.359,51.31,0
2015,COOPERATIVE,10647000.23,6384515.35,4262489.71,0.606,980750.93,1924808.35,256443.09,735294.4,95.85,112.59,60.75,71.31,1009827.39,697063.37,0.871,0.382,79.02,0
2025,MEDIUM,23460825.4,14288576.99,9172253.25,0.687,1324480.57,278134.44,46920.71,3485245.15,135.33,207.25,65.88,137.45,2348860.18,964830.69,0.738,0.106,10.13,0
2021,SMALLHOLDER,14038384.01,9648247.65,4390141.21,0.057,1034047.23,1955116.62,63041.12,4584559.95,96.48,144.34,148.25,76.04,2232781.47,442558.47,4.039,-0.088,2.19,0
2015,MEDIUM,12431464.92,8885720.02,3545749.76,0.411,143138.05,590101.73,700187.43,8882.38,85.88,170.1,68.44,135.24,747372.3,573546.11,1.456,0.32,60.56,0
2022,FPO,3003033.55,1572040.91,1430997.51,0.121,1525871.74,1549325.28,879003.06,3186987.0,157.56,138.18,174.27,103.3,2571520.83,4162.89,2.324,0.153,8.11,0
2016,FPO,4430882.74,2681844.7,1749042.92,0.673,1320687.15,210381.44,585349.44,1052150.72,150.09,207.72,170.6,196.54,1732597.25,1133714.52,2.477,-0.226,32.3,1
2016,LARGE,5636833.14,2797213.73,2839624.3,0.859,1252590.45,1502994.97,38211.27,1725957.02,82.62,164.47,68.01,110.16,2835034.68,395024.45,3.47,0.422,68.23,1
2015,COOPERATIVE,9381413.39,5149317.08,4232101.21,0.741,695656.6,1863563.11,730558.59,627209.87,135.97,120.66,175.55,89.36,1702334.0,537820.01,2.419,0.349,39.86,0
