ag_livestock_report_month,ag_livestock_operation_id_hash,ag_livestock_animal_type_code,ag_livestock_inventory_head_count,ag_livestock_births_count,ag_livestock_deaths_count,ag_livestock_slaughter_count,ag_livestock_milk_production_lbs,ag_livestock_milk_yield_per_cow,ag_livestock_feed_cost_index,ag_livestock_vet_cost_per_head,ag_livestock_antibiotic_use_indicator,ag_livestock_disease_outbreak_flag,ag_livestock_housing_system_code,ag_livestock_pasture_access_days_year,ag_livestock_manure_management_method,ag_livestock_methane_emissions_estimate,ag_livestock_organic_certification_flag,ag_livestock_animal_welfare_audit_score,ag_livestock_market_price_usd_cwt
2055-12,bb2215817d220f61,CATTLE_DAIRY,182543,89979,121559,129445,52558796.63,21823.1,202.63,125.97,0,0,FREE_STALL,343,LAGOON,67961.08,0,71.01,159.12
2056-01,bc2e0298402f5b94,HOGS,75015,94176,75015,76177,0.0,0.0,218.08,227.41,1,0,CAGE_FREE,164,FIELD_APPLIED,109303.62,0,62.16,242.22
2056-02,4b6ccdb57add5421,CATTLE_DAIRY,196952,668,41596,73156,241429553.2,26187.9,101.49,390.18,0,0,PASTURE,356,DIGESTER,177679.15,0,16.45,281.89
2056-03,5bf4a3ed60d5933a,HOGS,245770,78815,83720,19073,0.0,0.0,77.14,164.24,0,0,FEEDLOT,329,STACK,40715.43,0,79.36,308.6
2056-04,3cd8a4b13f913db5,POULTRY,84735,61650,65928,72652,0.0,0.0,134.08,335.58,0,0,OTHER,104,STACK,85023.06,0,35.38,257.68
2056-05,75def5a1edf5161b,CATTLE_DAIRY,167542,51049,59488,14699,114826306.96,16401.5,176.67,230.23,0,1,FREE_STALL,90,DIGESTER,85767.66,0,13.08,42.59
2056-06,df42a5f681d0c858,GOATS,25225,115489,25225,110311,0.0,0.0,93.6,253.2,0,1,OTHER,67,FIELD_APPLIED,71361.03,1,66.9,56.46
2056-07,2291257bdcbb6801,SHEEP,32032,38117,32032,79199,0.0,0.0,132.45,201.76,0,0,FEEDLOT,15,FIELD_APPLIED,119083.69,0,59.15,123.29
2056-08,eea5240b2699edda,POULTRY,2539,83003,2539,91215,0.0,0.0,122.48,30.0,0,0,FREE_STALL,278,COMPOST,145241.36,0,96.9,51.86
2056-09,491201d5f36b248b,CATTLE_BEEF,110722,11433,49749,76422,0.0,0.0,180.73,435.2,1,1,PASTURE,301,FIELD_APPLIED,225160.73,0,43.47,231.88
2056-10,96e9e8e8c6edba43,POULTRY,115179,118735,115179,136863,0.0,0.0,100.67,295.08,1,0,PASTURE,24,STACK,223328.91,0,91.61,282.52
2056-11,2f3250ee93995adf,CATTLE_DAIRY,115846,50434,50857,143608,62690368.45,20116.4,209.0,145.51,0,0,PASTURE,363,STACK,140533.74,0,66.61,158.15
2056-12,4d7a80b69b300d55,CATTLE_BEEF,194805,71567,117110,43478,0.0,0.0,176.04,218.94,0,0,BARN,54,FIELD_APPLIED,22894.32,0,45.18,261.38
2057-01,18cdf2cc2c941ae9,CATTLE_BEEF,74508,52152,74387,104777,0.0,0.0,211.86,347.88,1,0,CAGE_FREE,289,OTHER,70295.32,0,68.78,146.59
2057-02,87d1dc0995d6bf3c,HOGS,246339,86820,116617,133515,0.0,0.0,71.14,293.26,0,0,FEEDLOT,47,OTHER,1344.95,0,92.73,93.62
2057-03,cbc81b6ee8b35c38,HOGS,19892,49384,19892,21757,0.0,0.0,70.63,30.25,0,0,OTHER,281,FIELD_APPLIED,4363.6,0,93.87,75.74
2057-04,9edb05cb39213b44,CATTLE_DAIRY,90901,75196,81165,60252,95168193.48,19333.5,86.34,229.81,0,0,OTHER,21,FIELD_APPLIED,132511.8,0,60.94,190.64
2057-05,8d08b843b52b6d6a,HOGS,111178,27132,39279,73008,0.0,0.0,154.18,188.21,0,1,PASTURE,148,LAGOON,17190.91,0,26.26,277.37
2057-06,67a2c598f498d98c,CATTLE_DAIRY,49359,25383,49359,123456,53685949.11,25993.7,65.63,158.06,0,0,FEEDLOT,211,FIELD_APPLIED,37330.49,0,31.57,171.45
2057-07,154387bbd8ddf96c,CATTLE_BEEF,29285,27491,29285,138173,0.0,0.0,143.41,340.92,0,0,FEEDLOT,2,COMPOST,194871.29,0,52.42,172.59
2057-08,7b5da8f8974a9ee3,SHEEP,244461,68003,71067,17913,0.0,0.0,217.24,237.88,1,0,CAGE_FREE,152,LAGOON,12856.7,0,3.43,46.44
2057-09,92e070d84e66746d,SHEEP,27929,91263,27929,117654,0.0,0.0,116.6,191.13,0,0,PASTURE,316,STACK,73592.69,0,77.43,192.1
2057-10,2427e851dafc0805,HOGS,50797,7639,43401,118187,0.0,0.0,110.11,380.77,0,0,FEEDLOT,282,OTHER,40051.69,0,28.98,287.37
2057-11,15de7f19fa32b499,SHEEP,80353,36837,40379,7786,0.0,0.0,204.72,393.04,1,0,OTHER,143,STACK,44541.65,0,83.9,167.06
2057-12,e9204dd87ea7625e,POULTRY,232130,22795,42038,4256,0.0,0.0,165.36,238.72,1,0,PASTURE,18,LAGOON,248783.27,0,51.96,165.18
2058-01,8717bbb4f62fcae6,HOGS,21148,84271,21148,104067,0.0,0.0,71.39,291.98,0,0,PASTURE,49,FIELD_APPLIED,129880.76,0,40.71,196.39
2058-02,52905f3a5ebc6d65,POULTRY,202238,46442,60355,65054,0.0,0.0,134.3,104.12,1,1,FEEDLOT,245,FIELD_APPLIED,133331.21,0,26.68,57.91
2058-03,17057a4890d74af0,HOGS,237970,11760,14372,18094,0.0,0.0,94.5,277.89,1,0,PASTURE,117,LAGOON,17165.06,1,50.21,168.36
2058-04,c9e983a401e406dd,HOGS,132636,25131,43575,71732,0.0,0.0,106.69,193.84,0,0,FEEDLOT,231,FIELD_APPLIED,244091.31,0,73.99,275.88
2058-05,f2c12d2594ba6818,CATTLE_BEEF,133174,67630,83529,11057,0.0,0.0,142.91,322.96,0,0,PASTURE,322,DIGESTER,41215.39,0,4.58,90.55
2058-06,9697c1292e5286d1,POULTRY,83786,96574,83786,134128,0.0,0.0,79.0,294.38,0,1,CAGE_FREE,177,STACK,231781.07,0,42.55,99.87
2058-07,611ea9ae96119b03,POULTRY,127152,2126,28805,69892,0.0,0.0,113.07,12.38,0,1,PASTURE,92,LAGOON,247451.02,1,66.63,186.09
2058-08,f7e0a575279158ef,CATTLE_DAIRY,141882,68707,86068,15645,37599577.25,16222.7,79.71,342.08,0,0,BARN,61,DIGESTER,73048.87,1,29.89,280.74
2058-09,2349340367f7ad6f,HOGS,9076,47699,9076,28782,0.0,0.0,191.95,123.39,1,0,FEEDLOT,196,LAGOON,149432.77,0,60.76,294.64
2058-10,5553b149bbfa123a,POULTRY,105972,113604,105972,70146,0.0,0.0,124.94,64.59,1,0,BARN,52,DIGESTER,226297.07,0,43.24,306.14
2058-11,fad389f42e32f4ac,CATTLE_BEEF,27258,75298,27258,85785,0.0,0.0,183.79,64.49,0,0,FEEDLOT,163,STACK,174784.24,0,65.4,188.22
2058-12,cbd48b308c63d734,POULTRY,53779,77128,53779,128601,0.0,0.0,121.76,162.2,0,0,FEEDLOT,231,FIELD_APPLIED,106585.69,0,75.24,205.64
2059-01,e8a7b30bedadc886,CATTLE_BEEF,18376,26449,18376,9336,0.0,0.0,157.7,231.78,0,0,CAGE_FREE,145,FIELD_APPLIED,73519.82,0,97.69,215.22
2059-02,c797c096c3637dba,GOATS,190683,33019,48123,63441,0.0,0.0,110.97,115.3,1,0,FREE_STALL,317,OTHER,131597.28,0,45.06,118.12
2059-03,8f198d0cb774da96,POULTRY,133007,81761,122693,18541,0.0,0.0,178.52,359.71,0,0,OTHER,280,FIELD_APPLIED,55503.9,0,92.73,228.79
2059-04,75209344dacc315d,HOGS,155009,40684,54531,113948,0.0,0.0,113.37,158.02,0,0,PASTURE,229,COMPOST,150849.14,0,17.55,277.03
2059-05,94e7a67712c53c85,POULTRY,162343,25330,71216,17201,0.0,0.0,193.98,113.09,0,0,BARN,111,STACK,215313.07,1,76.07,120.52
2059-06,df47cf6f253113bd,CATTLE_DAIRY,152097,74174,94338,50616,171609866.24,27914.5,76.45,397.78,0,0,BARN,294,FIELD_APPLIED,95272.78,0,17.13,99.23
2059-07,124d23ab0ad3047d,HOGS,246104,68287,90021,76403,0.0,0.0,177.56,133.22,0,0,OTHER,334,LAGOON,169625.79,0,3.03,223.07
2059-08,381af7ffa933891f,HOGS,67959,36454,51743,91447,0.0,0.0,207.48,154.11,0,0,FEEDLOT,71,OTHER,1560.84,0,37.52,71.94
2059-09,a84fa3769cbe5679,POULTRY,125102,2655,26887,72611,0.0,0.0,106.94,122.15,0,0,FREE_STALL,66,COMPOST,61513.96,0,98.22,252.25
2059-10,2333ee7ffadc70de,HOGS,175254,3259,47486,42385,0.0,0.0,119.01,264.16,1,0,FREE_STALL,235,LAGOON,139099.62,0,44.22,73.14
2059-11,7bf85a72dc448a42,HOGS,33405,104105,33405,109860,0.0,0.0,173.0,258.14,0,0,OTHER,87,FIELD_APPLIED,147842.02,0,72.31,158.16
2059-12,bd8662778668fbb4,POULTRY,67667,109043,67667,101822,0.0,0.0,151.2,378.78,1,1,CAGE_FREE,36,FIELD_APPLIED,152041.47,0,99.1,64.95
2060-01,28d8a78372a33e67,CATTLE_BEEF,90697,5009,41453,142005,0.0,0.0,203.38,178.28,1,0,BARN,355,OTHER,146591.95,1,31.02,63.21
2060-02,de22253c7ce1d572,CATTLE_DAIRY,125307,48105,87236,63496,122761944.82,24753.5,79.59,72.42,1,0,OTHER,44,DIGESTER,194447.2,0,74.51,172.0
2060-03,06a06f4ffa3ca071,HOGS,217661,36020,42870,118373,0.0,0.0,181.35,257.04,0,1,FREE_STALL,173,FIELD_APPLIED,57619.29,0,61.05,247.12
2060-04,57fbf2be58812279,CATTLE_DAIRY,216173,40938,78169,31980,23521203.81,12242.6,124.7,381.89,1,0,BARN,223,FIELD_APPLIED,195208.17,0,29.78,134.35
2060-05,73559327f741295d,CATTLE_BEEF,149894,10123,34382,70542,0.0,0.0,96.96,214.87,0,0,FEEDLOT,143,DIGESTER,117941.13,0,92.45,209.12
2060-06,56070560157aa99d,HOGS,226203,9276,45153,120249,0.0,0.0,109.8,71.44,1,0,BARN,45,DIGESTER,23867.05,0,81.26,134.99
2060-07,6bd80df46b56c87b,CATTLE_BEEF,171458,24070,55398,77823,0.0,0.0,129.0,364.49,0,0,BARN,159,STACK,238633.22,0,90.45,97.99
2060-08,43a94aa89040c7b9,POULTRY,128202,95040,122708,136899,0.0,0.0,89.15,440.68,0,0,CAGE_FREE,223,COMPOST,205033.48,0,3.17,238.63
2060-09,063d9924140b9307,CATTLE_BEEF,213695,98037,147399,96656,0.0,0.0,114.69,214.81,0,0,FEEDLOT,219,FIELD_APPLIED,219064.78,1,3.16,309.89
2060-10,e2da7c55bf204c02,CATTLE_BEEF,11848,48522,11848,113487,0.0,0.0,168.2,156.13,1,0,PASTURE,95,DIGESTER,207147.44,0,2.99,203.43
2060-11,d52875677fa2ed27,POULTRY,230042,48458,63750,10194,0.0,0.0,194.4,250.97,0,0,PASTURE,28,OTHER,113748.04,0,36.78,150.05
2060-12,469f62004c4e91d5,POULTRY,148739,11605,19054,2017,0.0,0.0,206.91,33.47,1,0,FREE_STALL,97,FIELD_APPLIED,42868.91,0,54.47,144.83
2061-01,3c158d73e535f4da,HOGS,143641,113074,143641,38762,0.0,0.0,79.77,380.39,0,0,FEEDLOT,338,FIELD_APPLIED,115421.62,0,70.27,123.32
2061-02,17c2903622364b0e,CATTLE_BEEF,116663,14315,39030,136,0.0,0.0,123.29,151.47,0,0,CAGE_FREE,268,COMPOST,129950.09,0,36.54,232.73
2061-03,0d65d8985f0f345e,GOATS,107285,37350,78448,127217,0.0,0.0,99.63,219.2,1,0,BARN,359,FIELD_APPLIED,95346.29,0,52.63,198.71
2061-04,fcf6e9e954b59135,CATTLE_BEEF,198414,8564,45614,52000,0.0,0.0,146.27,317.51,0,0,BARN,333,FIELD_APPLIED,206720.28,0,97.97,163.28
2061-05,757bf22912c3a8a9,CATTLE_DAIRY,198057,19790,66951,147173,220121904.29,20721.4,212.05,301.51,1,0,BARN,172,COMPOST,233038.15,0,28.34,68.1
2061-06,56a4e356fc68c494,POULTRY,41932,16308,32453,110301,0.0,0.0,154.85,108.4,0,0,FREE_STALL,57,DIGESTER,246636.27,1,14.46,106.7
2061-07,e189780c79c435d7,CATTLE_DAIRY,43858,107346,43858,26249,205146325.84,17556.1,146.76,428.8,1,0,BARN,310,FIELD_APPLIED,62447.06,0,36.46,231.91
2061-08,b2518705398dccbb,HOGS,196036,71245,88260,15803,0.0,0.0,145.39,11.93,1,0,BARN,100,STACK,176558.85,0,9.72,148.82
2061-09,f9e5a67fa6e62ebf,POULTRY,33156,17686,18519,105146,0.0,0.0,212.08,309.53,0,0,CAGE_FREE,22,STACK,1724.03,0,90.84,213.46
2061-10,74fda68e61ee0d86,CATTLE_DAIRY,6393,75787,6393,110655,175670332.06,24027.1,81.94,118.97,1,0,FEEDLOT,5,OTHER,123287.41,0,30.04,49.12
2061-11,5d06986530649212,SHEEP,234623,2965,39342,5498,0.0,0.0,129.13,238.68,0,0,PASTURE,123,STACK,198871.37,0,5.9,217.96
2061-12,7d525f45477b15c2,POULTRY,19176,22634,19176,123936,0.0,0.0,166.88,73.59,1,0,FEEDLOT,3,OTHER,7410.18,1,77.41,155.45
2062-01,c103d912550e8ea1,HOGS,117666,86069,117666,109650,0.0,0.0,81.62,181.81,0,0,FREE_STALL,350,FIELD_APPLIED,192558.36,0,11.04,308.49
2062-02,d8eab0dd94a11f5d,POULTRY,186960,66743,100348,46067,0.0,0.0,60.24,34.0,0,0,BARN,276,LAGOON,241049.24,0,61.96,60.25
2062-03,2db4d379535342cf,CATTLE_BEEF,110165,103278,110165,34045,0.0,0.0,202.9,238.15,0,0,FEEDLOT,333,FIELD_APPLIED,158193.31,0,90.27,319.2
2062-04,02afe72fab47dd2e,CATTLE_BEEF,227454,16652,24111,143217,0.0,0.0,127.66,421.37,0,0,BARN,360,DIGESTER,169540.26,0,84.37,292.75
2062-05,e1fc4f2eee60cdb1,CATTLE_BEEF,163241,96851,142832,62508,0.0,0.0,118.29,14.77,0,0,FEEDLOT,197,FIELD_APPLIED,242951.73,0,64.88,218.76
2062-06,fe82ce87dcd9447f,POULTRY,239303,117815,147627,31469,0.0,0.0,79.47,149.54,0,0,PASTURE,62,COMPOST,204187.03,0,16.7,129.55
2062-07,439ec7728eaad92b,CATTLE_DAIRY,68241,7305,53709,78467,3081800.13,15581.4,114.44,302.71,0,0,CAGE_FREE,58,FIELD_APPLIED,23205.82,0,78.89,191.82
2062-08,e2507e12abc770e9,CATTLE_DAIRY,70566,19842,55147,17925,2989448.02,19784.4,126.88,131.02,0,0,FEEDLOT,115,FIELD_APPLIED,56683.12,0,91.66,171.5
2062-09,44e88a923d1cbd34,CATTLE_DAIRY,29165,119435,29165,99456,32683154.06,21996.7,61.03,3.83,0,0,BARN,103,DIGESTER,13297.37,0,11.77,170.22
2062-10,4dd95908c0659f87,POULTRY,188275,115368,124959,78913,0.0,0.0,176.35,9.31,0,0,FREE_STALL,251,LAGOON,58148.32,0,93.72,272.7
2062-11,2bac8191e0937c34,POULTRY,81631,73974,81631,44252,0.0,0.0,88.23,436.11,1,0,FEEDLOT,7,STACK,134249.25,1,83.69,173.75
2062-12,643bf88ae80a9774,HOGS,75699,9793,59609,43532,0.0,0.0,76.23,150.32,0,0,BARN,343,OTHER,227022.34,1,35.13,93.72
2063-01,ca3f623bc45a1aec,POULTRY,180289,50525,56421,109462,0.0,0.0,79.84,190.97,1,1,FREE_STALL,298,LAGOON,31623.59,0,35.58,44.08
2063-02,0b523e5452ce27e1,POULTRY,25322,21216,25322,114223,0.0,0.0,79.9,94.56,0,0,FEEDLOT,223,DIGESTER,46727.35,0,64.53,273.97
2063-03,d4eee3a8025e166d,HOGS,201923,35290,84102,128370,0.0,0.0,200.06,445.65,0,0,FREE_STALL,220,FIELD_APPLIED,111562.72,0,57.01,71.43
2063-04,7264d6a299d6a2b0,POULTRY,211566,15055,23611,133039,0.0,0.0,164.32,90.95,0,0,CAGE_FREE,332,LAGOON,81142.88,0,17.21,101.57
2063-05,d2b30d7504cbbe30,POULTRY,174266,2249,3940,120276,0.0,0.0,181.8,325.05,1,0,FREE_STALL,103,DIGESTER,169581.23,0,54.55,186.89
2063-06,a8a47f51f4078eba,HOGS,179794,51099,86665,50460,0.0,0.0,210.44,61.83,0,0,FREE_STALL,33,FIELD_APPLIED,211413.37,0,85.72,272.64
2063-07,60f5d88b77c881e6,SHEEP,117605,113380,117605,132785,0.0,0.0,151.25,52.14,0,0,PASTURE,119,OTHER,109155.6,0,77.72,91.9
2063-08,0eb6f67293b9d234,CATTLE_DAIRY,145066,94016,107369,22390,21293811.66,21110.6,182.39,345.08,0,0,CAGE_FREE,149,FIELD_APPLIED,202762.02,0,65.79,279.59
2063-09,6bb3f36d8734efcc,POULTRY,215748,106295,145831,35299,0.0,0.0,166.63,234.61,1,0,OTHER,297,FIELD_APPLIED,207651.71,0,36.47,60.7
2063-10,a657e6288227020f,CATTLE_BEEF,195165,13286,63176,6001,0.0,0.0,97.17,74.79,0,0,PASTURE,343,LAGOON,20705.58,0,77.82,153.25
2063-11,1f6e6ac03468b710,HOGS,247880,16797,59852,25321,0.0,0.0,111.28,216.77,0,0,FREE_STALL,210,FIELD_APPLIED,164911.26,0,54.08,173.66
2063-12,d3f19325dcc5a283,CATTLE_BEEF,91249,13923,48593,101209,0.0,0.0,206.88,297.61,1,0,CAGE_FREE,110,DIGESTER,78767.56,0,70.84,291.21
2064-01,5d836d91dfdea648,CATTLE_BEEF,91232,110166,91232,135709,0.0,0.0,113.06,75.58,0,0,OTHER,75,STACK,228717.7,0,82.74,260.84
2064-02,9e9267557f71fd88,POULTRY,17808,32086,17808,42806,0.0,0.0,124.53,417.1,0,0,FREE_STALL,165,FIELD_APPLIED,198455.89,0,35.81,111.49
2064-03,1223e235dc144773,CATTLE_BEEF,55133,90415,55133,8083,0.0,0.0,96.04,148.85,0,1,CAGE_FREE,118,COMPOST,4414.53,0,13.0,175.8
2064-04,925f8969298a49e2,CATTLE_BEEF,244676,110387,150510,132019,0.0,0.0,97.6,234.57,0,0,FEEDLOT,236,FIELD_APPLIED,10692.86,0,92.7,278.29
2064-05,0e04d04bc73459a5,HOGS,64523,83105,64523,106718,0.0,0.0,216.24,24.76,1,0,FREE_STALL,121,DIGESTER,107071.19,0,70.3,316.59
2064-06,7756f45b25ddc4cb,POULTRY,127615,54314,72501,65030,0.0,0.0,181.54,260.48,1,0,CAGE_FREE,319,OTHER,203373.1,0,34.06,184.36
2064-07,1ad6885a772be69c,HOGS,104207,99331,99862,107534,0.0,0.0,150.16,323.68,1,1,FREE_STALL,116,FIELD_APPLIED,203012.22,0,37.09,155.8
2064-08,aed244e704d17331,CATTLE_BEEF,23483,49773,23483,120118,0.0,0.0,212.08,180.86,0,0,BARN,45,FIELD_APPLIED,20817.0,0,95.86,255.04
2064-09,adb541f7e689770c,POULTRY,141691,79901,120437,140899,0.0,0.0,140.58,384.02,0,0,FEEDLOT,310,COMPOST,101761.73,0,84.89,75.47
2064-10,4593797daa6d8e95,CATTLE_DAIRY,21416,19688,21416,85703,173931949.21,13050.9,148.78,33.64,1,0,PASTURE,246,FIELD_APPLIED,232191.51,0,80.16,162.58
2064-11,74bd504def19ef96,CATTLE_DAIRY,249707,87294,99689,144317,58315412.13,24589.9,104.33,146.47,0,0,FEEDLOT,155,FIELD_APPLIED,240230.8,0,97.98,76.24
2064-12,f78d9aeb932d9333,POULTRY,218657,118624,124318,128497,0.0,0.0,212.43,125.92,0,0,BARN,200,STACK,123986.91,0,87.23,41.12
2065-01,c5d95b18f32c75be,POULTRY,125909,29137,59445,99019,0.0,0.0,123.16,142.96,0,0,PASTURE,298,DIGESTER,151582.42,0,66.47,145.19
2065-02,9c31ca4cca3b7883,SHEEP,127649,97208,127649,56430,0.0,0.0,139.38,148.47,0,0,OTHER,1,LAGOON,176135.4,0,75.83,233.61
2065-03,f1033a810bb7b078,POULTRY,82932,68392,82932,87805,0.0,0.0,81.55,428.88,0,0,OTHER,28,COMPOST,116972.48,0,98.61,280.76
2065-04,b87355b8c675e41f,CATTLE_DAIRY,57797,1034,10598,59644,45357630.75,23447.9,138.98,222.63,0,0,FEEDLOT,268,COMPOST,176278.03,0,86.51,154.48
2065-05,5ed8ab7d79c9b438,CATTLE_DAIRY,48366,5241,21357,15993,144626286.68,27732.2,138.71,70.87,0,0,FEEDLOT,45,OTHER,199112.8,0,7.16,196.37
2065-06,5b4ab368a90891ee,POULTRY,149782,9279,23667,126404,0.0,0.0,61.65,424.68,1,0,CAGE_FREE,83,FIELD_APPLIED,119982.03,0,74.52,164.28
2065-07,dd1939fd77cbc5cf,POULTRY,214390,22899,44314,145702,0.0,0.0,190.65,413.32,0,0,FEEDLOT,54,COMPOST,9726.91,0,18.12,300.87
2065-08,5a274536f451412a,CATTLE_BEEF,185144,115599,132638,132480,0.0,0.0,146.53,298.9,0,1,PASTURE,116,FIELD_APPLIED,41760.71,0,48.33,269.58
2065-09,b40fda8051616ab4,GOATS,28962,12110,28962,16488,0.0,0.0,94.98,191.9,1,0,PASTURE,198,OTHER,115740.44,0,97.79,237.63
2065-10,8017ced8a7f2fe12,HOGS,205609,84601,113294,85417,0.0,0.0,80.76,153.34,0,0,BARN,76,STACK,33001.8,0,62.09,133.55
2065-11,11b3f9986976ae7e,SHEEP,150550,119446,150550,138047,0.0,0.0,101.65,230.81,1,0,CAGE_FREE,327,COMPOST,145715.49,0,89.74,296.1
2065-12,c01abb3a65d99f5e,CATTLE_DAIRY,243669,31633,50829,114875,207664020.86,14313.7,72.78,212.09,0,0,BARN,14,FIELD_APPLIED,153668.98,0,84.77,315.72
2066-01,6525199a4b710391,HOGS,50038,115273,50038,70087,0.0,0.0,168.1,87.82,0,0,OTHER,78,DIGESTER,120244.12,0,89.31,177.3
2066-02,e3b82bb862b00773,GOATS,240473,20536,51176,135386,0.0,0.0,141.32,170.41,0,0,CAGE_FREE,226,DIGESTER,174076.72,1,89.37,152.81
2066-03,e4fc6127e981e061,POULTRY,14957,42496,14957,128812,0.0,0.0,161.21,121.91,1,0,PASTURE,162,STACK,218222.25,0,76.7,104.84
2066-04,ff3645757be11b5a,SHEEP,20273,89285,20273,101078,0.0,0.0,170.59,30.44,0,0,BARN,271,LAGOON,232911.47,0,0.08,251.38
2066-05,8f1cca310dc7fe54,HOGS,174454,106254,120662,8108,0.0,0.0,200.59,18.32,1,0,CAGE_FREE,76,FIELD_APPLIED,146481.13,0,17.98,298.3
2066-06,888e2a9c172a2911,HOGS,86255,48064,78536,53993,0.0,0.0,81.43,90.23,0,0,FREE_STALL,1,LAGOON,70268.01,0,73.03,246.74
2066-07,da33d877c81ea58f,GOATS,118544,2686,42834,73442,0.0,0.0,61.25,218.02,0,0,BARN,257,FIELD_APPLIED,9839.25,0,90.29,232.51
2066-08,b9479a729097103e,CATTLE_DAIRY,210198,70357,102343,85572,56275186.67,17802.5,184.03,170.65,0,0,FREE_STALL,99,DIGESTER,66011.42,0,70.85,78.35
2066-09,3d1347c7ac79e0f5,CATTLE_DAIRY,25067,114322,25067,130761,215769086.72,18085.4,155.9,290.41,1,0,PASTURE,108,COMPOST,86080.67,1,12.11,214.65
2066-10,f57f604888e467cd,HOGS,31120,71181,31120,82682,0.0,0.0,126.2,435.58,0,0,FREE_STALL,165,FIELD_APPLIED,191695.48,0,77.25,193.14
2066-11,b9e4e00701808e68,CATTLE_BEEF,230269,20334,53400,109588,0.0,0.0,131.13,235.2,1,0,BARN,306,OTHER,34753.52,0,26.37,67.72
2066-12,e712d2d45263152f,CATTLE_BEEF,135240,105719,118493,18019,0.0,0.0,209.6,383.76,0,0,CAGE_FREE,164,OTHER,54059.83,0,42.97,299.95
2067-01,8697a8911a2fe272,HOGS,161825,82951,119218,133426,0.0,0.0,203.24,74.75,0,0,BARN,279,DIGESTER,110261.62,0,95.13,78.12
2067-02,c2d6367afd6b23e0,CATTLE_DAIRY,152056,103206,112032,17068,455776.7,17963.4,134.38,61.98,0,0,PASTURE,341,OTHER,164895.95,0,59.6,246.64
2067-03,bf862de7f89b1535,CATTLE_BEEF,123946,55754,56356,74825,0.0,0.0,128.73,184.23,1,0,PASTURE,140,COMPOST,6134.04,0,22.06,65.45
2067-04,97e3dc3d742ea943,CATTLE_BEEF,142838,72205,103547,2395,0.0,0.0,91.22,297.21,1,0,PASTURE,45,LAGOON,94134.13,0,94.49,45.02
2067-05,3864cbadc743d108,CATTLE_BEEF,101503,13673,53012,134138,0.0,0.0,105.3,131.92,0,0,PASTURE,149,FIELD_APPLIED,34308.59,0,56.57,90.36
2067-06,09f8155578f1812b,CATTLE_BEEF,231184,27231,58574,66932,0.0,0.0,95.52,106.26,0,0,FREE_STALL,179,STACK,156838.96,0,14.21,187.69
2067-07,7dba8b9129c4536f,CATTLE_BEEF,222171,18396,57000,92500,0.0,0.0,199.24,160.96,0,0,BARN,217,LAGOON,203096.43,0,50.93,184.33
2067-08,e960ee57229710a5,CATTLE_DAIRY,81375,29002,36474,52471,147421242.13,21331.4,173.04,214.94,0,0,FEEDLOT,361,FIELD_APPLIED,220194.77,0,75.71,197.39
2067-09,b72c63348489177d,POULTRY,25870,26689,25870,148907,0.0,0.0,117.21,92.01,0,0,PASTURE,77,COMPOST,141787.8,0,1.21,77.03
2067-10,48cd363431dd4e8b,HOGS,206816,60321,96127,149617,0.0,0.0,179.98,290.13,1,0,CAGE_FREE,211,COMPOST,102747.43,1,92.05,289.65
2067-11,6cdf7bd75ed63219,POULTRY,179272,104615,141687,69142,0.0,0.0,163.5,199.75,0,0,FEEDLOT,122,FIELD_APPLIED,248109.46,0,70.3,271.8
2067-12,c99c90724d4a3c13,HOGS,211720,112812,154518,111612,0.0,0.0,141.26,126.64,0,0,FEEDLOT,116,DIGESTER,158652.27,0,18.63,172.32
2068-01,e459d590c876736a,HOGS,13204,95331,13204,32939,0.0,0.0,183.03,330.9,0,0,FREE_STALL,328,LAGOON,85861.41,0,30.66,312.57
2068-02,356e7485457bcb83,CATTLE_DAIRY,103733,23004,68564,57917,62183457.43,26648.8,96.46,70.04,0,0,PASTURE,47,STACK,124095.37,0,84.14,282.97
2068-03,5c046bcd55ecb432,POULTRY,130361,48673,88437,98297,0.0,0.0,150.02,293.92,0,1,PASTURE,161,OTHER,29207.35,0,58.93,198.1
2068-04,d9d13743ee7aa0bb,GOATS,27249,10193,27249,20454,0.0,0.0,131.62,178.17,1,0,CAGE_FREE,98,LAGOON,130546.6,0,70.66,301.75
2068-05,dafd39fbecffc1b4,POULTRY,103794,82496,103794,107186,0.0,0.0,180.69,124.27,0,0,CAGE_FREE,3,DIGESTER,133608.85,0,69.35,255.02
2068-06,34d31a60fb522398,CATTLE_BEEF,39178,117382,39178,111871,0.0,0.0,200.18,81.76,0,0,PASTURE,292,DIGESTER,199599.55,0,54.65,125.62
2068-07,cd13d82acae0cbb5,POULTRY,68605,82236,68605,680,0.0,0.0,203.29,235.55,1,1,PASTURE,115,STACK,216086.81,0,20.09,179.68
2068-08,2a6a268526b7e5f8,CATTLE_BEEF,60044,29952,47460,29541,0.0,0.0,213.38,26.58,0,0,FEEDLOT,191,FIELD_APPLIED,110800.06,0,80.99,130.86
2068-09,0beafca8b4fb42d1,HOGS,145630,47554,58926,19383,0.0,0.0,216.7,340.61,1,0,OTHER,274,COMPOST,145986.09,0,1.62,174.37
2068-10,895ef4c9542cbeeb,POULTRY,42515,67989,42515,107370,0.0,0.0,157.97,421.45,0,0,PASTURE,97,COMPOST,164249.75,0,65.24,163.78
