demo_nativity_estimate_year,demo_nativity_country_iso2,demo_nativity_region_nuts_code,demo_nativity_nativity_category,demo_nativity_country_of_birth_iso2,demo_nativity_year_of_arrival,demo_nativity_citizenship_class,demo_nativity_second_citizenship_iso2,demo_nativity_language_main_home,demo_nativity_language_secondary_home,demo_nativity_language_proficiency_level,demo_nativity_education_level_isc,demo_nativity_employment_status,demo_nativity_refugee_or_protection_flag,demo_nativity_family_reunification_flag,demo_nativity_remittance_sending_flag,demo_nativity_translation_need_indicator,demo_nativity_integration_policy_index_score,demo_nativity_eurostat_table_code,demo_nativity_cultural_linguistic_diversity_index
2021,LV,IT779,NATIVE_BORN,LV,,EU,,PT,,B1,ISCED7_8,UNEMPLOYED,0,0,0,0,81.24,migr_imm8,0.7092
2022,PL,HU103,FOREIGN_BORN,LU,2000,NON_EU,,PL,,A1,ISCED5_6,STUDENT,0,0,0,1,61.1,migr_pop1ctz,0.8067
2023,ES,SK32,SECOND_GEN,BE,2001,DUAL,,SK,,C2,ISCED3_4,INACTIVE,0,0,0,0,35.32,migr_pop3ctb,0.2667
2024,HR,AT25,NATIVE_BORN,HR,,NATIONAL,,BG,SL,B2,ISCED0_2,EMPLOYED,0,0,0,0,85.36,edat_lfse_03,0.6403
2025,FI,MT91,FOREIGN_BORN,SK,2003,EU,,RO,SV,A2,ISCED7_8,UNEMPLOYED,0,0,1,1,39.97,ilc_lvps08,0.1791
2026,IE,NL2,SECOND_GEN,EE,2004,NON_EU,,SL,,NATIVE,ISCED5_6,STUDENT,0,0,0,0,85.44,migr_imm8,0.6172
2018,MT,BG84,NATIVE_BORN,MT,,DUAL,,HR,MT,C1,ISCED3_4,INACTIVE,0,0,0,0,57.59,migr_pop1ctz,0.0873
2019,SK,NL967,FOREIGN_BORN,BG,2006,NATIONAL,,NL,RO,B1,ISCED0_2,EMPLOYED,0,0,1,1,85.64,migr_pop3ctb,0.3072
2020,BE,BE25,SECOND_GEN,IE,2007,EU,,CY,IT,A1,ISCED7_8,UNEMPLOYED,0,0,0,1,53.39,edat_lfse_03,0.889
2021,DK,FR75,NATIVE_BORN,DK,,NON_EU,,DA,,C2,ISCED5_6,STUDENT,0,0,0,0,82.91,ilc_lvps08,0.6275
2022,GR,SK351,FOREIGN_BORN,FI,2009,DUAL,,SV,PL,B2,ISCED3_4,INACTIVE,0,1,0,0,70.98,migr_imm8,0.2452
2023,LT,PT916,SECOND_GEN,NL,2010,NATIONAL,,EN,,A2,ISCED0_2,EMPLOYED,0,0,0,0,47.13,migr_pop1ctz,0.1403
2024,PT,CY2,NATIVE_BORN,PT,,EU,,ET,HU,NATIVE,ISCED7_8,UNEMPLOYED,0,0,0,0,60.35,migr_pop3ctb,0.3247
2025,SE,CY3,FOREIGN_BORN,IT,2012,NON_EU,,FI,FR,C1,ISCED5_6,STUDENT,0,0,0,0,78.94,edat_lfse_03,0.7716
2026,CY,LU5,SECOND_GEN,ES,2013,DUAL,SK,DE,CY,B1,ISCED3_4,INACTIVE,0,0,0,1,74.83,ilc_lvps08,0.6887
2018,FR,ES340,NATIVE_BORN,FR,,NATIONAL,,LV,FI,A1,ISCED0_2,EMPLOYED,0,0,0,0,74.02,migr_imm8,0.827
2019,IT,IT361,FOREIGN_BORN,PL,2015,EU,,EL,,C2,ISCED7_8,UNEMPLOYED,0,0,0,0,90.74,migr_pop1ctz,0.3706
2020,NL,BG40,SECOND_GEN,CY,2016,NON_EU,,FR,HU,B2,ISCED5_6,STUDENT,0,0,0,0,35.78,migr_pop3ctb,0.5115
2021,SI,AT1,NATIVE_BORN,SI,,DUAL,CY,LT,,A2,ISCED3_4,INACTIVE,0,0,0,0,66.51,edat_lfse_03,0.5798
2022,BG,IE811,FOREIGN_BORN,SE,2018,NATIONAL,,HU,LT,NATIVE,ISCED0_2,EMPLOYED,0,0,0,0,65.61,ilc_lvps08,0.5999
2023,EE,LU980,SECOND_GEN,DE,2019,EU,,ES,BG,C1,ISCED7_8,UNEMPLOYED,0,0,0,0,60.75,migr_imm8,0.7974
2024,HU,EE295,NATIVE_BORN,HU,,NON_EU,,GA,HU,B1,ISCED5_6,STUDENT,0,0,0,0,48.02,migr_pop1ctz,0.7431
2025,LU,BE58,FOREIGN_BORN,CZ,2021,DUAL,FR,CS,FI,A1,ISCED3_4,INACTIVE,0,0,0,1,39.91,migr_pop3ctb,0.1821
2026,RO,FI6,SECOND_GEN,LT,2022,NATIONAL,,IT,PL,C2,ISCED0_2,EMPLOYED,0,0,0,0,78.07,edat_lfse_03,0.2338
2018,AT,FI7,NATIVE_BORN,AT,,EU,,MT,ET,B2,ISCED7_8,UNEMPLOYED,0,0,0,0,39.28,ilc_lvps08,0.4867
2019,CZ,NL50,FOREIGN_BORN,GR,2024,NON_EU,,PT,SK,A2,ISCED5_6,STUDENT,0,0,0,1,61.27,migr_imm8,0.1331
2020,DE,GR19,SECOND_GEN,RO,2025,DUAL,DK,PL,FR,NATIVE,ISCED3_4,INACTIVE,0,0,0,0,32.18,migr_pop1ctz,0.8677
2021,LV,AT378,NATIVE_BORN,LV,,NATIONAL,,SK,RO,C1,ISCED0_2,EMPLOYED,0,0,0,0,32.63,migr_pop3ctb,0.824
2022,PL,CY8,FOREIGN_BORN,LU,1980,EU,,BG,HU,B1,ISCED7_8,UNEMPLOYED,0,0,0,1,48.58,edat_lfse_03,0.4489
2023,ES,RO358,SECOND_GEN,BE,1981,NON_EU,,RO,ES,A1,ISCED5_6,STUDENT,0,0,0,0,57.08,ilc_lvps08,0.3755
2024,HR,HU886,NATIVE_BORN,HR,,DUAL,PL,SL,NL,C2,ISCED3_4,INACTIVE,0,0,0,0,77.88,migr_imm8,0.2539
2025,FI,PL326,FOREIGN_BORN,SK,1983,NATIONAL,,HR,PL,B2,ISCED0_2,EMPLOYED,0,0,0,0,26.15,migr_pop1ctz,0.2352
2026,IE,DK942,SECOND_GEN,EE,1984,EU,,NL,FI,A2,ISCED7_8,UNEMPLOYED,0,0,0,1,76.91,migr_pop3ctb,0.6863
2018,MT,BE539,NATIVE_BORN,MT,,NON_EU,,CY,,NATIVE,ISCED5_6,STUDENT,0,0,0,0,42.45,edat_lfse_03,0.1202
2019,SK,BG127,FOREIGN_BORN,BG,1986,DUAL,,DA,,C1,ISCED3_4,INACTIVE,0,1,0,0,68.89,ilc_lvps08,0.1691
2020,BE,HR83,SECOND_GEN,IE,1987,NATIONAL,,SV,,B1,ISCED0_2,EMPLOYED,0,0,0,0,40.31,migr_imm8,0.7871
2021,DK,HU833,NATIVE_BORN,DK,,EU,,EN,IT,A1,ISCED7_8,UNEMPLOYED,0,0,0,0,67.26,migr_pop1ctz,0.7472
2022,GR,BE19,FOREIGN_BORN,FI,1989,NON_EU,,ET,,C2,ISCED5_6,STUDENT,0,0,0,0,83.37,migr_pop3ctb,0.5507
2023,LT,SE221,SECOND_GEN,NL,1990,DUAL,IE,FI,EN,B2,ISCED3_4,INACTIVE,0,0,0,0,75.25,edat_lfse_03,0.0648
2024,PT,BE3,NATIVE_BORN,PT,,NATIONAL,,DE,PT,A2,ISCED0_2,EMPLOYED,0,0,0,0,79.05,ilc_lvps08,0.5395
2025,SE,LT979,FOREIGN_BORN,IT,1992,EU,,LV,NL,NATIVE,ISCED7_8,UNEMPLOYED,0,0,0,0,55.35,migr_imm8,0.9087
2026,CY,PL723,SECOND_GEN,ES,1993,NON_EU,,EL,ES,C1,ISCED5_6,STUDENT,0,0,0,0,63.6,migr_pop1ctz,0.6125
2018,FR,SI802,NATIVE_BORN,FR,,DUAL,MT,FR,FR,B1,ISCED3_4,INACTIVE,0,0,0,0,30.79,migr_pop3ctb,0.0662
2019,IT,PT597,FOREIGN_BORN,PL,1995,NATIONAL,,LT,DA,A1,ISCED0_2,EMPLOYED,0,0,0,1,25.95,edat_lfse_03,0.5617
2020,NL,DE68,SECOND_GEN,CY,1996,EU,,HU,,C2,ISCED7_8,UNEMPLOYED,0,0,0,0,54.7,ilc_lvps08,0.2213
2021,SI,IT573,NATIVE_BORN,SI,,NON_EU,,ES,CS,B2,ISCED5_6,STUDENT,0,0,0,0,65.64,migr_imm8,0.8133
2022,BG,IE81,FOREIGN_BORN,SE,1998,DUAL,DK,GA,MT,A2,ISCED3_4,INACTIVE,0,0,1,1,87.87,migr_pop1ctz,0.0618
2023,EE,PL2,SECOND_GEN,DE,1999,NATIONAL,,CS,EL,NATIVE,ISCED0_2,EMPLOYED,0,0,0,0,77.29,migr_pop3ctb,0.2314
2024,HU,SK10,NATIVE_BORN,HU,,EU,,IT,,C1,ISCED7_8,UNEMPLOYED,0,0,0,0,71.3,edat_lfse_03,0.4028
2025,LU,CZ842,FOREIGN_BORN,CZ,2001,NON_EU,,MT,LT,B1,ISCED5_6,STUDENT,0,1,0,1,84.23,ilc_lvps08,0.7381
2026,RO,CY63,SECOND_GEN,LT,2002,DUAL,DE,PT,,A1,ISCED3_4,INACTIVE,0,0,0,0,44.66,migr_imm8,0.6815
2018,AT,RO1,NATIVE_BORN,AT,,NATIONAL,,PL,SV,C2,ISCED0_2,EMPLOYED,0,0,0,0,86.93,migr_pop1ctz,0.7673
2019,CZ,LV439,FOREIGN_BORN,GR,2004,EU,,SK,IT,B2,ISCED7_8,UNEMPLOYED,0,0,0,0,87.63,migr_pop3ctb,0.4752
2020,DE,RO818,SECOND_GEN,RO,2005,NON_EU,,BG,,A2,ISCED5_6,STUDENT,0,0,0,0,28.47,edat_lfse_03,0.0633
2021,LV,MT1,NATIVE_BORN,LV,,DUAL,,RO,,NATIVE,ISCED3_4,INACTIVE,0,0,0,0,37.55,ilc_lvps08,0.4246
2022,PL,GR86,FOREIGN_BORN,LU,2007,NATIONAL,,SL,DA,C1,ISCED0_2,EMPLOYED,0,0,0,0,87.66,migr_imm8,0.2208
2023,ES,SK1,SECOND_GEN,BE,2008,EU,,HR,RO,B1,ISCED7_8,UNEMPLOYED,0,0,0,0,42.92,migr_pop1ctz,0.4636
2024,HR,DK206,NATIVE_BORN,HR,,NON_EU,,NL,,A1,ISCED5_6,STUDENT,0,0,0,0,84.33,migr_pop3ctb,0.0693
2025,FI,HU48,FOREIGN_BORN,SK,2010,DUAL,LU,CY,GA,C2,ISCED3_4,INACTIVE,0,0,0,0,66.75,edat_lfse_03,0.0573
2026,IE,FR18,SECOND_GEN,EE,2011,NATIONAL,,DA,SL,B2,ISCED0_2,EMPLOYED,0,0,0,0,43.25,ilc_lvps08,0.5026
2018,MT,FR38,NATIVE_BORN,MT,,EU,,SV,IT,A2,ISCED7_8,UNEMPLOYED,0,0,0,0,40.96,migr_imm8,0.4288
2019,SK,EE45,FOREIGN_BORN,BG,2013,NON_EU,,EN,CY,NATIVE,ISCED5_6,STUDENT,0,0,0,0,57.97,migr_pop1ctz,0.7215
2020,BE,DK937,SECOND_GEN,IE,2014,DUAL,NL,ET,RO,C1,ISCED3_4,INACTIVE,0,0,0,0,72.73,migr_pop3ctb,0.2043
2021,DK,IT644,NATIVE_BORN,DK,,NATIONAL,,FI,,B1,ISCED0_2,EMPLOYED,0,0,0,0,75.04,edat_lfse_03,0.626
2022,GR,MT3,FOREIGN_BORN,FI,2016,EU,,DE,,A1,ISCED7_8,UNEMPLOYED,0,0,1,1,28.16,ilc_lvps08,0.7211
2023,LT,MT8,SECOND_GEN,NL,2017,NON_EU,,LV,DA,C2,ISCED5_6,STUDENT,0,0,0,0,45.27,migr_imm8,0.4839
2024,PT,PL9,NATIVE_BORN,PT,,DUAL,,EL,GA,B2,ISCED3_4,INACTIVE,0,0,0,0,35.35,migr_pop1ctz,0.0802
2025,SE,IT19,FOREIGN_BORN,IT,2019,NATIONAL,,FR,BG,A2,ISCED0_2,EMPLOYED,0,0,0,0,41.15,migr_pop3ctb,0.9245
2026,CY,HR333,SECOND_GEN,ES,2020,EU,,LT,,NATIVE,ISCED7_8,UNEMPLOYED,0,0,0,0,88.98,edat_lfse_03,0.3507
2018,FR,FR201,NATIVE_BORN,FR,,NON_EU,,HU,,C1,ISCED5_6,STUDENT,0,0,0,0,73.73,ilc_lvps08,0.761
2019,IT,LV69,FOREIGN_BORN,PL,2022,DUAL,FI,ES,,B1,ISCED3_4,INACTIVE,0,0,0,1,56.68,migr_imm8,0.2827
2020,NL,DE4,SECOND_GEN,CY,2023,NATIONAL,,GA,CY,A1,ISCED0_2,EMPLOYED,0,0,0,0,68.13,migr_pop1ctz,0.3615
2021,SI,SK11,NATIVE_BORN,SI,,EU,,CS,CS,C2,ISCED7_8,UNEMPLOYED,0,0,0,0,79.35,migr_pop3ctb,0.2264
2022,BG,BG531,FOREIGN_BORN,SE,2025,NON_EU,,IT,CY,B2,ISCED5_6,STUDENT,0,0,1,0,69.36,edat_lfse_03,0.8666
2023,EE,AT85,SECOND_GEN,DE,2026,DUAL,FI,MT,FR,A2,ISCED3_4,INACTIVE,0,0,0,1,86.81,ilc_lvps08,0.7641
2024,HU,GR299,NATIVE_BORN,HU,,NATIONAL,,PT,FI,NATIVE,ISCED0_2,EMPLOYED,0,0,0,0,75.05,migr_imm8,0.8393
2025,LU,CZ722,FOREIGN_BORN,CZ,1981,EU,,PL,,C1,ISCED7_8,UNEMPLOYED,0,0,1,0,30.47,migr_pop1ctz,0.6934
2026,RO,CY16,SECOND_GEN,LT,1982,NON_EU,,SK,SL,B1,ISCED5_6,STUDENT,0,0,0,0,72.67,migr_pop3ctb,0.2511
2018,AT,CZ64,NATIVE_BORN,AT,,DUAL,,BG,BG,A1,ISCED3_4,INACTIVE,0,0,0,0,35.9,edat_lfse_03,0.8067
2019,CZ,SK47,FOREIGN_BORN,GR,1984,NATIONAL,,RO,HR,C2,ISCED0_2,EMPLOYED,0,0,0,0,38.97,ilc_lvps08,0.1571
2020,DE,ES27,SECOND_GEN,RO,1985,EU,,SL,ES,B2,ISCED7_8,UNEMPLOYED,0,0,0,0,80.1,migr_imm8,0.7589
2021,LV,CZ196,NATIVE_BORN,LV,,NON_EU,,HR,ET,A2,ISCED5_6,STUDENT,0,0,0,0,31.83,migr_pop1ctz,0.1792
2022,PL,RO475,FOREIGN_BORN,LU,1987,DUAL,,NL,DA,NATIVE,ISCED3_4,INACTIVE,0,0,1,0,90.77,migr_pop3ctb,0.6598
2023,ES,HR354,SECOND_GEN,BE,1988,NATIONAL,,CY,EL,C1,ISCED0_2,EMPLOYED,0,0,0,0,60.5,edat_lfse_03,0.1727
2024,HR,FR2,NATIVE_BORN,HR,,EU,,DA,IT,B1,ISCED7_8,UNEMPLOYED,0,0,0,0,68.99,ilc_lvps08,0.2549
2025,FI,IE836,FOREIGN_BORN,SK,1990,NON_EU,,SV,CY,A1,ISCED5_6,STUDENT,0,0,1,1,67.61,migr_imm8,0.9077
2026,IE,SI291,SECOND_GEN,EE,1991,DUAL,,EN,HU,C2,ISCED3_4,INACTIVE,0,0,0,0,50.53,migr_pop1ctz,0.4014
2018,MT,NL796,NATIVE_BORN,MT,,NATIONAL,,ET,BG,B2,ISCED0_2,EMPLOYED,0,0,0,0,55.28,migr_pop3ctb,0.0613
2019,SK,HR441,FOREIGN_BORN,BG,1993,EU,,FI,ES,A2,ISCED7_8,UNEMPLOYED,0,1,0,1,40.95,edat_lfse_03,0.2052
2020,BE,LV928,SECOND_GEN,IE,1994,NON_EU,,DE,,NATIVE,ISCED5_6,STUDENT,0,0,0,0,45.85,ilc_lvps08,0.9454
2021,DK,LT867,NATIVE_BORN,DK,,DUAL,LT,LV,RO,C1,ISCED3_4,INACTIVE,0,0,0,0,71.77,migr_imm8,0.5604
2022,GR,FR379,FOREIGN_BORN,FI,1996,NATIONAL,,EL,,B1,ISCED0_2,EMPLOYED,0,0,0,1,59.64,migr_pop1ctz,0.7391
2023,LT,SI883,SECOND_GEN,NL,1997,EU,,FR,,A1,ISCED7_8,UNEMPLOYED,0,0,0,0,69.55,migr_pop3ctb,0.7082
2024,PT,SI439,NATIVE_BORN,PT,,NON_EU,,LT,SL,C2,ISCED5_6,STUDENT,0,0,0,0,62.48,edat_lfse_03,0.1498
2025,SE,LU598,FOREIGN_BORN,IT,1999,DUAL,IT,HU,PT,B2,ISCED3_4,INACTIVE,0,0,0,0,32.67,ilc_lvps08,0.3023
2026,CY,PL323,SECOND_GEN,ES,2000,NATIONAL,,ES,MT,A2,ISCED0_2,EMPLOYED,0,0,0,1,68.02,migr_imm8,0.5465
2018,FR,BG268,NATIVE_BORN,FR,,EU,,GA,LV,NATIVE,ISCED7_8,UNEMPLOYED,0,0,0,0,55.56,migr_pop1ctz,0.4332
2019,IT,BG963,FOREIGN_BORN,PL,2002,NON_EU,,CS,LV,C1,ISCED5_6,STUDENT,0,0,0,0,84.73,migr_pop3ctb,0.9226
2020,NL,ES600,SECOND_GEN,CY,2003,DUAL,,IT,HR,B1,ISCED3_4,INACTIVE,0,0,0,0,55.48,edat_lfse_03,0.3177
2021,SI,CZ515,NATIVE_BORN,SI,,NATIONAL,,MT,CY,A1,ISCED0_2,EMPLOYED,0,0,0,0,43.61,ilc_lvps08,0.6937
2022,BG,DK812,FOREIGN_BORN,SE,2005,EU,,PT,,C2,ISCED7_8,UNEMPLOYED,0,0,0,0,41.3,migr_imm8,0.3154
2023,EE,EE711,SECOND_GEN,DE,2006,NON_EU,,PL,ET,B2,ISCED5_6,STUDENT,0,0,0,0,91.82,migr_pop1ctz,0.0868
2024,HU,NL375,NATIVE_BORN,HU,,DUAL,,SK,CS,A2,ISCED3_4,INACTIVE,0,0,0,0,59.28,migr_pop3ctb,0.3758
2025,LU,SK756,FOREIGN_BORN,CZ,2008,NATIONAL,,BG,PL,NATIVE,ISCED0_2,EMPLOYED,0,0,0,0,40.71,edat_lfse_03,0.1662
2026,RO,DK998,SECOND_GEN,LT,2009,EU,,RO,CY,C1,ISCED7_8,UNEMPLOYED,0,0,0,0,28.1,ilc_lvps08,0.309
2018,AT,BG905,NATIVE_BORN,AT,,NON_EU,,SL,NL,B1,ISCED5_6,STUDENT,0,0,0,0,88.97,migr_imm8,0.3318
2019,CZ,MT204,FOREIGN_BORN,GR,2011,DUAL,,HR,DE,A1,ISCED3_4,INACTIVE,0,0,0,1,78.28,migr_pop1ctz,0.4591
2020,DE,LU341,SECOND_GEN,RO,2012,NATIONAL,,NL,DE,C2,ISCED0_2,EMPLOYED,0,0,0,0,79.07,migr_pop3ctb,0.0927
2021,LV,SK403,NATIVE_BORN,LV,,EU,,CY,DE,B2,ISCED7_8,UNEMPLOYED,0,0,0,0,37.89,edat_lfse_03,0.2916
2022,PL,CZ858,FOREIGN_BORN,LU,2014,NON_EU,,DA,,A2,ISCED5_6,STUDENT,0,0,0,1,26.87,ilc_lvps08,0.1329
2023,ES,BG591,SECOND_GEN,BE,2015,DUAL,SE,SV,RO,NATIVE,ISCED3_4,INACTIVE,0,0,0,0,37.09,migr_imm8,0.5024
2024,HR,PL1,NATIVE_BORN,HR,,NATIONAL,,EN,LV,C1,ISCED0_2,EMPLOYED,0,0,0,0,66.0,migr_pop1ctz,0.3834
2025,FI,BG4,FOREIGN_BORN,SK,2017,EU,,ET,,B1,ISCED7_8,UNEMPLOYED,0,0,0,0,28.4,migr_pop3ctb,0.2299
2026,IE,RO64,SECOND_GEN,EE,2018,NON_EU,,FI,HU,A1,ISCED5_6,STUDENT,0,0,0,1,74.97,edat_lfse_03,0.0985
2018,MT,FI8,NATIVE_BORN,MT,,DUAL,SK,DE,SK,C2,ISCED3_4,INACTIVE,0,0,0,0,89.83,ilc_lvps08,0.1762
2019,SK,BE441,FOREIGN_BORN,BG,2020,NATIONAL,,LV,MT,B2,ISCED0_2,EMPLOYED,0,0,0,0,72.76,migr_imm8,0.3403
2020,BE,RO292,SECOND_GEN,IE,2021,EU,,EL,FR,A2,ISCED7_8,UNEMPLOYED,0,0,0,1,51.88,migr_pop1ctz,0.8331
2021,DK,SE6,NATIVE_BORN,DK,,NON_EU,,FR,HR,NATIVE,ISCED5_6,STUDENT,0,0,0,0,81.36,migr_pop3ctb,0.4842
2022,GR,CY9,FOREIGN_BORN,FI,2023,DUAL,,LT,FR,C1,ISCED3_4,INACTIVE,0,1,1,0,62.18,edat_lfse_03,0.4447
2023,LT,HR3,SECOND_GEN,NL,2024,NATIONAL,,HU,DA,B1,ISCED0_2,EMPLOYED,0,0,0,1,28.98,ilc_lvps08,0.0742
2024,PT,SI61,NATIVE_BORN,PT,,EU,,ES,EL,A1,ISCED7_8,UNEMPLOYED,0,0,0,0,43.16,migr_imm8,0.3613
2025,SE,SE993,FOREIGN_BORN,IT,2026,NON_EU,,GA,LT,C2,ISCED5_6,STUDENT,0,0,0,0,41.09,migr_pop1ctz,0.2363
2026,CY,GR40,SECOND_GEN,ES,1980,DUAL,HR,CS,,B2,ISCED3_4,INACTIVE,0,0,0,0,84.46,migr_pop3ctb,0.7982
2018,FR,PT92,NATIVE_BORN,FR,,NATIONAL,,IT,RO,A2,ISCED0_2,EMPLOYED,0,0,0,0,89.96,edat_lfse_03,0.6374
2019,IT,IT4,FOREIGN_BORN,PL,1982,EU,,MT,CS,NATIVE,ISCED7_8,UNEMPLOYED,0,0,0,0,28.76,ilc_lvps08,0.6242
2020,NL,RO131,SECOND_GEN,CY,1983,NON_EU,,PT,,C1,ISCED5_6,STUDENT,0,0,0,0,58.37,migr_imm8,0.4511
2021,SI,EE73,NATIVE_BORN,SI,,DUAL,HU,PL,ET,B1,ISCED3_4,INACTIVE,0,0,0,0,27.9,migr_pop1ctz,0.1315
2022,BG,EE4,FOREIGN_BORN,SE,1985,NATIONAL,,SK,GA,A1,ISCED0_2,EMPLOYED,0,1,0,1,85.07,migr_pop3ctb,0.6296
2023,EE,BE901,SECOND_GEN,DE,1986,EU,,BG,,C2,ISCED7_8,UNEMPLOYED,0,0,0,0,47.56,edat_lfse_03,0.5826
2024,HU,FI56,NATIVE_BORN,HU,,NON_EU,,RO,,B2,ISCED5_6,STUDENT,0,0,0,0,29.34,ilc_lvps08,0.5714
2025,LU,BE8,FOREIGN_BORN,CZ,1988,DUAL,DK,SL,SV,A2,ISCED3_4,INACTIVE,0,0,0,1,49.39,migr_imm8,0.0893
2026,RO,HU4,SECOND_GEN,LT,1989,NATIONAL,,HR,BG,NATIVE,ISCED0_2,EMPLOYED,0,0,0,0,65.84,migr_pop1ctz,0.5552
2018,AT,HU5,NATIVE_BORN,AT,,EU,,NL,,C1,ISCED7_8,UNEMPLOYED,0,0,0,0,68.95,migr_pop3ctb,0.1755
2019,CZ,BG6,FOREIGN_BORN,GR,1991,NON_EU,,CY,EL,B1,ISCED5_6,STUDENT,0,0,0,0,42.48,edat_lfse_03,0.3603
2020,DE,CY21,SECOND_GEN,RO,1992,DUAL,BE,DA,LT,A1,ISCED3_4,INACTIVE,0,0,0,1,50.72,ilc_lvps08,0.2589
2021,LV,FI2,NATIVE_BORN,LV,,NATIONAL,,SV,,C2,ISCED0_2,EMPLOYED,0,0,0,0,25.88,migr_imm8,0.6306
2022,PL,LU2,FOREIGN_BORN,LU,1994,EU,,EN,CS,B2,ISCED7_8,UNEMPLOYED,0,1,0,0,39.62,migr_pop1ctz,0.2708
2023,ES,FR15,SECOND_GEN,BE,1995,NON_EU,,ET,RO,A2,ISCED5_6,STUDENT,0,0,0,1,38.45,migr_pop3ctb,0.3406
2024,HR,IE3,NATIVE_BORN,HR,,DUAL,LU,FI,,NATIVE,ISCED3_4,INACTIVE,0,0,0,0,69.62,edat_lfse_03,0.22
2025,FI,GR43,FOREIGN_BORN,SK,1997,NATIONAL,,DE,CS,C1,ISCED0_2,EMPLOYED,0,0,0,0,59.22,ilc_lvps08,0.4147
2026,IE,DE2,SECOND_GEN,EE,1998,EU,,LV,SV,B1,ISCED7_8,UNEMPLOYED,0,0,0,1,31.43,migr_imm8,0.3455
2018,MT,MT5,NATIVE_BORN,MT,,NON_EU,,EL,,A1,ISCED5_6,STUDENT,0,0,0,0,58.79,migr_pop1ctz,0.5464
2019,SK,PT5,FOREIGN_BORN,BG,2000,DUAL,,FR,ES,C2,ISCED3_4,INACTIVE,0,0,0,0,26.22,migr_pop3ctb,0.488
2020,BE,NL568,SECOND_GEN,IE,2001,NATIONAL,,LT,SV,B2,ISCED0_2,EMPLOYED,0,0,0,0,63.27,edat_lfse_03,0.445
2021,DK,IT487,NATIVE_BORN,DK,,EU,,HU,LT,A2,ISCED7_8,UNEMPLOYED,0,0,0,0,90.53,ilc_lvps08,0.0763
2022,GR,CY1,FOREIGN_BORN,FI,2003,NON_EU,,ES,,NATIVE,ISCED5_6,STUDENT,0,0,0,0,34.32,migr_imm8,0.4457
2023,LT,EE9,SECOND_GEN,NL,2004,DUAL,,GA,,C1,ISCED3_4,INACTIVE,0,0,0,0,71.64,migr_pop1ctz,0.5279
2024,PT,SE968,NATIVE_BORN,PT,,NATIONAL,,CS,,B1,ISCED0_2,EMPLOYED,0,0,0,0,34.91,migr_pop3ctb,0.8716
2025,SE,IT5,FOREIGN_BORN,IT,2006,EU,,IT,SK,A1,ISCED7_8,UNEMPLOYED,0,0,1,1,48.41,edat_lfse_03,0.4033
2026,CY,RO4,SECOND_GEN,ES,2007,NON_EU,,MT,EN,C2,ISCED5_6,STUDENT,0,0,0,0,76.94,ilc_lvps08,0.6428
2018,FR,RO7,NATIVE_BORN,FR,,DUAL,,PT,,B2,ISCED3_4,INACTIVE,0,0,0,0,63.14,migr_imm8,0.4557
2019,IT,LV5,FOREIGN_BORN,PL,2009,NATIONAL,,PL,CY,A2,ISCED0_2,EMPLOYED,0,0,0,1,68.65,migr_pop1ctz,0.6706
2020,NL,MT116,SECOND_GEN,CY,2010,EU,,SK,EN,NATIVE,ISCED7_8,UNEMPLOYED,0,0,0,0,30.5,migr_pop3ctb,0.3572
2021,SI,FI51,NATIVE_BORN,SI,,NON_EU,,BG,,C1,ISCED5_6,STUDENT,0,0,0,0,45.8,edat_lfse_03,0.4206
2022,BG,DK3,FOREIGN_BORN,SE,2012,DUAL,,RO,HU,B1,ISCED3_4,INACTIVE,1,0,1,0,82.93,ilc_lvps08,0.5017
2023,EE,HR149,SECOND_GEN,DE,2013,NATIONAL,,SL,PL,A1,ISCED0_2,EMPLOYED,0,0,0,1,32.32,migr_imm8,0.774
2024,HU,GR751,NATIVE_BORN,HU,,EU,,HR,PL,C2,ISCED7_8,UNEMPLOYED,0,0,0,0,86.52,migr_pop1ctz,0.7817
2025,LU,CZ949,FOREIGN_BORN,CZ,2015,NON_EU,,NL,MT,B2,ISCED5_6,STUDENT,0,0,0,0,59.94,migr_pop3ctb,0.8475
2026,RO,LV37,SECOND_GEN,LT,2016,DUAL,,CY,FR,A2,ISCED3_4,INACTIVE,0,0,0,0,85.27,edat_lfse_03,0.5357
2018,AT,EE778,NATIVE_BORN,AT,,NATIONAL,,DA,SV,NATIVE,ISCED0_2,EMPLOYED,0,0,0,0,74.17,ilc_lvps08,0.2588
2019,CZ,RO5,FOREIGN_BORN,GR,2018,EU,,SV,ET,C1,ISCED7_8,UNEMPLOYED,0,0,0,0,68.48,migr_imm8,0.8892
2020,DE,SK6,SECOND_GEN,RO,2019,NON_EU,,EN,IT,B1,ISCED5_6,STUDENT,0,0,0,0,54.92,migr_pop1ctz,0.29
2021,LV,FR6,NATIVE_BORN,LV,,DUAL,,ET,,A1,ISCED3_4,INACTIVE,0,0,0,0,37.1,migr_pop3ctb,0.0866
2022,PL,HR5,FOREIGN_BORN,LU,2021,NATIONAL,,FI,DA,C2,ISCED0_2,EMPLOYED,0,0,0,0,64.09,edat_lfse_03,0.2264
2023,ES,PL122,SECOND_GEN,BE,2022,EU,,DE,GA,B2,ISCED7_8,UNEMPLOYED,0,0,0,0,73.33,ilc_lvps08,0.2016
