labor_indmix_establishment_year,labor_indmix_district_business_pattern_code,labor_indmix_industry_nic_4,labor_indmix_establishment_size_class,labor_indmix_employment_march,labor_indmix_employment_annual_avg,labor_indmix_payroll_q1,labor_indmix_payroll_annual,labor_indmix_average_weekly_wage,labor_indmix_job_creation_count,labor_indmix_job_destruction_count,labor_indmix_churn_rate_pct,labor_indmix_new_establishment_count,labor_indmix_closures_count,labor_indmix_multiunit_share_pct,labor_indmix_women_owned_share_pct,labor_indmix_minority_owned_share_pct,labor_indmix_veteran_owned_share_pct,labor_indmix_rural_urban_class,labor_indmix_confidentiality_flag
2025,DBP100371,9391,250_499,2174,2630,1317911828.83,4802914100.4,35119.29,506,270,29.506,216,271,44.99,16.22,7.86,6.27,Rural,Y
2014,DBP100372,7660,5_9,369,233,145009729.45,537398152.72,44354.42,678,261,403.004,200,232,5.74,15.64,7.84,6.96,Metro,N
2018,DBP100373,9092,500_plus,4589,4967,1870693572.74,8338995966.6,32286.15,20,770,15.905,272,209,63.89,43.1,3.66,14.1,PeriUrban,N
2012,DBP100374,4711,250_499,4543,4925,1513036559.29,6725055389.0,26259.49,673,414,22.071,14,274,35.73,34.7,54.54,0.85,Urban,Y
2020,DBP100375,0660,5_9,1223,1435,452455561.35,1825877526.2,24469.01,49,256,21.254,34,101,24.5,54.02,54.76,11.14,Metro,N
2011,DBP100376,5374,5_9,2704,2654,217623651.66,877906150.16,6361.27,540,520,39.94,195,284,44.02,11.4,11.2,12.36,Metro,N
2013,DBP100377,2522,50_99,3732,4175,664679307.43,2694990389.0,12413.59,334,70,9.677,6,267,32.67,3.3,58.18,16.38,Rural,Y
2024,DBP100378,4251,5_9,4174,4554,1282158064.34,5713542394.56,24127.32,304,391,15.261,195,12,31.99,14.6,57.3,3.62,Urban,N
2021,DBP100379,8310,1_4,4343,4442,524218561.51,2245723461.28,9722.42,645,396,23.435,243,139,56.98,22.04,0.85,4.87,Urban,Y
2018,DBP100380,7732,10_19,2219,2202,606303068.09,2635015284.72,23012.43,572,273,38.374,220,261,14.45,22.81,53.19,9.87,PeriUrban,Y
2021,DBP100381,6735,250_499,3776,4270,706092734.48,2888367372.8,13008.32,72,351,9.906,207,18,9.15,10.37,52.56,11.73,Urban,N
2015,DBP100382,9980,10_19,3876,4280,491973934.59,2022149001.6,9085.86,119,761,20.561,228,16,42.7,39.84,19.13,1.26,Urban,Y
2015,DBP100383,1493,50_99,3541,3749,1096186708.02,4754541933.96,24388.77,589,611,32.009,271,288,21.44,38.27,20.01,10.74,Rural,N
2019,DBP100384,1664,100_249,1911,1739,1029201753.63,3903054240.28,43162.01,758,97,49.166,327,34,61.41,23.38,46.88,5.45,Rural,N
2014,DBP100385,0747,250_499,4233,4419,2555604758.74,10090822912.56,43913.62,623,520,25.866,295,208,17.54,41.87,45.99,18.78,Urban,Y
2020,DBP100386,7592,50_99,3810,3765,1751282581.11,7221212169.6,36884.32,593,121,18.964,230,199,67.24,4.76,13.25,9.21,Rural,Y
2010,DBP100387,6943,10_19,1833,1911,509948856.83,2231418134.4,22455.2,796,650,75.667,285,290,69.92,44.64,42.28,0.03,Metro,N
2017,DBP100388,4014,50_99,4889,5375,2830293623.82,10574737160.0,37834.48,88,289,7.014,209,153,25.75,28.74,66.6,2.16,Metro,N
2016,DBP100389,8820,20_49,439,645,397960798.27,1508513151.6,44976.54,202,46,38.45,107,234,51.46,12.33,60.64,8.64,Rural,N
2014,DBP100390,6994,10_19,1087,1481,382448216.17,1481339682.16,19235.18,536,84,41.864,125,193,53.3,8.43,20.74,15.62,Metro,Y
2017,DBP100391,9687,50_99,2752,2785,1063175291.4,3932776814.2,27156.31,83,382,16.697,336,156,34.05,51.25,6.76,2.34,Urban,N
2011,DBP100392,1524,500_plus,3056,3370,954865862.13,4183078686.8,23870.57,606,192,23.68,332,47,8.27,33.09,20.71,5.98,Urban,N
2025,DBP100393,6370,1_4,3179,3324,1578238308.98,6999384693.6,40494.45,392,453,25.421,309,106,59.58,32.55,21.8,8.96,PeriUrban,N
2017,DBP100394,8687,500_plus,4088,4180,1948132280.81,7623515099.2,35073.22,648,771,33.947,170,283,43.64,47.44,50.87,19.39,Urban,N
2015,DBP100395,0628,100_249,2137,2546,243612687.04,1103344336.64,8333.92,591,705,50.903,279,1,42.5,45.96,68.29,15.88,Rural,N
2011,DBP100396,8346,250_499,4194,4627,400550625.37,1558986399.88,6479.47,570,22,12.794,53,34,18.76,41.58,58.46,16.39,Rural,Y
2017,DBP100397,9747,50_99,1872,2252,1057689424.01,4687971735.2,40032.55,781,565,59.769,273,217,7.32,36.22,36.34,18.36,Rural,N
2015,DBP100398,8679,1_4,106,1,377065.2,1642677.4,31589.95,350,173,52300.0,289,206,34.85,22.33,67.07,8.48,Rural,N
2015,DBP100399,2546,50_99,1153,1140,698513598.97,2520135664.8,42512.41,228,259,42.719,195,37,34.32,28.26,25.21,16.83,Rural,Y
2017,DBP100400,8330,10_19,4792,5091,2717314084.87,11234842218.6,42438.55,125,378,9.88,239,262,43.11,51.98,28.02,11.43,Metro,N
2012,DBP100401,0011,250_499,4531,4552,1955783328.06,7897723641.6,33365.4,230,622,18.717,158,270,43.5,58.01,12.05,8.63,Rural,Y
2015,DBP100402,6275,250_499,4063,4230,1089675093.95,4429446699.6,20137.51,499,633,26.761,18,129,50.99,58.81,62.71,1.78,Rural,N
2015,DBP100403,4673,50_99,2251,2435,1070063275.22,4530985274.4,35784.12,164,72,9.692,343,163,33.44,51.42,51.39,1.2,Urban,N
2018,DBP100404,3745,100_249,4932,5158,1063244437.94,4811025260.08,17937.13,748,762,29.275,279,214,43.48,31.29,43.48,1.8,Rural,Y
2022,DBP100405,2969,20_49,588,862,376462024.34,1434677285.6,32006.9,562,699,146.288,233,130,65.35,18.59,9.53,0.06,Metro,Y
2012,DBP100406,5610,50_99,4325,4675,809626049.43,3489253196.0,14353.16,283,710,21.241,58,5,59.07,14.16,7.69,19.8,Metro,N
2023,DBP100407,6078,50_99,2608,3008,1130870600.68,4370119137.28,27939.08,786,361,38.132,219,224,48.57,51.74,9.64,18.48,PeriUrban,Y
2020,DBP100408,0188,50_99,1294,1573,791419497.67,3138712920.2,38372.45,730,419,73.045,203,176,56.66,34.98,14.75,15.87,Rural,N
2015,DBP100409,4498,5_9,2231,2401,348154883.12,1434750491.72,11491.61,539,603,47.564,294,2,3.64,31.03,4.85,0.22,Urban,Y
2014,DBP100410,4023,50_99,2486,2570,152284573.52,649285930.8,4858.47,212,796,39.222,136,248,45.55,8.29,1.48,4.34,PeriUrban,N
2015,DBP100411,4124,5_9,3575,3975,819502252.94,3437175027.0,16628.81,388,596,24.755,349,48,37.47,45.51,4.99,10.71,PeriUrban,N
2018,DBP100412,9557,20_49,105,468,164958295.53,735669735.84,30229.69,619,323,201.282,123,237,61.94,41.27,41.03,0.86,PeriUrban,N
2012,DBP100413,8824,500_plus,2123,2201,1171653324.0,4456971471.68,38941.84,412,35,20.309,71,189,62.22,50.1,66.89,4.45,Urban,N
2022,DBP100414,7179,20_49,4590,4961,810652973.37,2953320209.84,11448.22,600,339,18.928,294,207,68.02,23.97,67.07,4.99,PeriUrban,Y
2025,DBP100415,7273,10_19,4935,5159,266727906.25,959801202.36,3577.77,567,751,25.548,293,1,40.87,41.83,35.55,8.85,Metro,Y
2012,DBP100416,6670,10_19,3873,4259,577413079.34,2408750193.72,10876.29,348,384,17.187,321,279,14.66,26.18,60.64,3.06,Rural,N
2022,DBP100417,8439,1_4,2727,2656,1268825717.02,4651837282.56,33681.63,56,428,18.223,298,140,57.98,16.84,62.73,9.93,Urban,N
2016,DBP100418,1180,250_499,4995,5159,458479251.26,1764114271.92,6575.94,790,202,19.229,304,108,58.7,56.56,43.53,10.97,Rural,N
2016,DBP100419,7139,1_4,115,1,485174.75,1874547.48,36048.99,243,73,31600.0,340,75,32.69,8.48,13.87,12.67,Metro,Y
2014,DBP100420,5752,500_plus,2357,2735,1364313251.75,5672837227.2,39887.76,442,680,41.024,41,139,34.56,39.27,4.69,14.74,Metro,N
2016,DBP100421,8183,500_plus,2396,2615,224608285.53,1008102687.8,7413.61,494,447,35.985,105,35,55.28,50.52,14.18,0.41,PeriUrban,N
2013,DBP100422,4848,50_99,2650,3116,135637969.93,487884833.28,3011.04,403,769,37.612,327,185,52.17,33.2,34.14,6.51,Metro,N
2018,DBP100423,9457,10_19,1392,1534,824042556.25,3399854944.72,42621.79,97,714,52.868,211,195,29.82,2.61,64.9,7.62,Rural,Y
2012,DBP100424,8795,1_4,2331,2602,538811653.81,2374026394.48,17545.87,423,214,24.481,17,114,5.95,35.57,22.38,14.91,PeriUrban,Y
2010,DBP100425,0349,10_19,3215,3109,575969109.06,2439316301.24,15088.43,725,487,38.984,344,299,69.17,52.64,42.97,12.09,Urban,Y
2011,DBP100426,5551,250_499,478,792,148339533.75,641241057.6,15570.15,714,270,124.242,44,48,7.69,17.82,68.79,0.73,PeriUrban,Y
2022,DBP100427,4561,5_9,567,795,283733336.28,1289041143.0,31181.45,155,289,55.849,57,81,15.62,44.55,59.76,15.28,Rural,Y
2012,DBP100428,9735,10_19,783,896,355488886.45,1346330818.56,28896.18,123,720,94.085,77,183,61.16,54.38,54.9,16.01,Metro,Y
2010,DBP100429,5137,50_99,1872,2275,397141561.07,1479285899.0,12504.53,38,284,14.154,204,111,37.9,31.42,11.76,19.1,PeriUrban,N
2021,DBP100430,3957,100_249,4834,5144,1482466469.48,6703436521.6,25060.7,562,789,26.264,320,217,26.41,5.68,6.9,6.13,Metro,Y
2011,DBP100431,8649,250_499,385,674,292865863.9,1194045405.28,34068.86,711,418,167.507,139,61,63.34,25.04,62.38,11.79,PeriUrban,N
2012,DBP100432,2963,250_499,1075,1137,202029913.21,721885120.32,12209.68,23,351,32.894,286,239,40.9,47.05,65.73,10.38,PeriUrban,Y
2025,DBP100433,5852,100_249,936,1062,261675792.27,1091101433.76,19757.74,705,147,80.226,120,162,37.26,42.1,38.37,19.23,Urban,N
2010,DBP100434,4940,10_19,129,324,98107552.87,432802206.72,25688.64,512,90,185.802,295,258,26.63,42.76,26.13,4.51,Metro,Y
2019,DBP100435,3125,50_99,1824,1703,92509438.76,354499409.16,4003.11,744,199,55.373,336,195,17.55,44.91,37.53,19.03,Metro,Y
2013,DBP100436,0284,20_49,2450,2514,123873064.12,490954233.12,3755.54,142,63,8.154,191,71,49.12,35.27,67.52,19.41,Rural,N
2025,DBP100437,5112,1_4,2312,2361,1007699935.77,4280413859.28,34864.74,722,774,63.363,288,223,2.13,22.02,36.81,4.79,Metro,N
2021,DBP100438,1004,1_4,2726,2803,1254745686.73,5257156559.2,36068.2,357,627,35.105,261,130,28.1,19.67,18.82,6.35,PeriUrban,N
2025,DBP100439,2090,500_plus,4670,4912,2302215473.6,8516073704.32,33340.93,40,304,7.003,253,236,50.5,6.97,32.95,18.99,PeriUrban,Y
2012,DBP100440,6216,250_499,3312,3266,253009792.55,935115371.84,5506.12,5,570,17.606,60,250,38.58,56.65,29.15,14.01,Metro,Y
2022,DBP100441,4711,100_249,2297,2270,666830968.95,2982483628.8,25266.72,328,466,34.978,5,116,21.87,41.63,57.4,15.07,Urban,N
2012,DBP100442,7228,500_plus,2230,2685,1514487911.42,6247337389.8,44745.29,454,527,36.536,9,277,9.04,56.44,1.27,3.47,Urban,Y
2010,DBP100443,7494,100_249,3763,3644,1374103186.7,6205138902.56,32746.87,290,363,17.92,162,172,58.3,28.08,48.87,12.67,Rural,N
2016,DBP100444,3240,50_99,2209,2534,973583165.95,4229230998.72,32096.04,210,781,39.108,191,66,58.65,20.02,44.27,12.96,Urban,N
2020,DBP100445,0393,1_4,4351,4375,1426911250.3,6171139975.0,27125.89,516,108,14.263,57,167,64.46,2.57,49.94,19.64,PeriUrban,N
2011,DBP100446,3563,10_19,2306,2148,373594379.72,1600450656.48,14328.63,781,797,73.464,311,31,0.25,1.96,21.96,3.46,Metro,N
2013,DBP100447,6431,500_plus,4291,4221,2070357084.05,8679433613.76,39543.28,261,614,20.73,58,140,18.19,24.03,17.89,1.89,PeriUrban,Y
2016,DBP100448,5222,10_19,844,1336,657259058.92,2941256905.6,42337.3,414,687,82.41,244,106,51.86,18.51,7.63,17.18,Rural,Y
2013,DBP100449,7573,5_9,4258,4653,982737350.98,4416222044.52,18252.17,392,39,9.263,249,284,45.43,39.66,69.34,12.88,Rural,Y
2018,DBP100450,1750,1_4,1740,1809,72816866.43,326763070.92,3473.69,501,318,45.274,333,165,46.13,3.78,15.63,11.62,Urban,N
2025,DBP100451,2039,10_19,230,50,12942372.2,54499328.0,20961.28,682,105,1574.0,181,287,50.23,23.7,47.27,4.93,Urban,N
2016,DBP100452,8973,50_99,1564,1998,501191363.22,2198179620.0,21157.5,124,140,13.213,183,143,28.87,29.23,17.74,10.04,Metro,Y
2012,DBP100453,9333,20_49,23,511,95597531.3,433239453.92,16304.36,9,793,156.947,37,281,28.2,30.58,1.17,6.32,Urban,N
2015,DBP100454,6426,10_19,3887,4374,1784111787.84,6801234251.76,29902.37,647,465,25.423,114,191,58.98,47.94,21.35,6.8,Metro,Y
2024,DBP100455,9724,500_plus,3665,4082,586231875.01,2138330554.88,10073.92,769,573,32.876,260,81,50.5,58.44,69.15,8.8,Urban,N
2019,DBP100456,9664,1_4,3141,3451,388315167.18,1717500996.12,9570.81,472,478,27.528,67,123,36.57,28.87,32.81,0.38,PeriUrban,Y
2012,DBP100457,8495,20_49,1937,1851,265205390.58,1197544283.52,12441.76,71,617,37.169,314,150,21.35,53.52,19.89,15.31,Urban,N
2017,DBP100458,7620,1_4,1636,1605,748189299.93,3367765401.0,40351.85,664,775,89.657,196,226,15.89,24.8,17.21,2.58,PeriUrban,Y
2020,DBP100459,9303,500_plus,1858,2023,1104102744.86,4629822182.44,44011.39,765,685,71.676,269,266,8.69,17.4,56.74,10.14,Rural,Y
2021,DBP100460,3629,10_19,832,640,318756352.56,1190733440.0,35779.25,446,480,144.688,201,205,62.92,25.45,45.89,16.03,PeriUrban,N
2024,DBP100461,0733,500_plus,2440,2534,340929132.75,1251940944.8,9501.1,629,675,51.46,233,10,21.43,44.92,49.98,12.69,Rural,N
2019,DBP100462,1997,20_49,167,284,87637443.76,350001304.64,23699.98,598,340,330.282,192,133,15.28,1.63,0.39,0.03,Metro,Y
2016,DBP100463,1906,20_49,4016,4404,2213584696.29,9302195036.16,40619.52,527,790,29.905,222,101,28.73,40.99,25.73,15.87,Urban,Y
2023,DBP100464,7774,50_99,2035,2493,287183125.86,1212269015.88,9351.33,384,791,47.132,225,62,30.86,39.92,57.14,0.19,Urban,N
2020,DBP100465,8814,500_plus,595,467,268468248.27,1017586051.04,41903.56,408,470,188.009,64,8,31.74,9.84,52.91,18.07,Metro,Y
2020,DBP100466,8342,1_4,3262,3370,1008541950.58,4487428509.2,25607.33,716,392,32.878,238,172,25.0,48.87,66.62,8.18,Urban,N
2020,DBP100467,2256,1_4,1683,1845,463447467.84,1703569163.4,17756.61,155,93,13.442,125,186,56.29,1.55,63.24,8.17,Urban,Y
2018,DBP100468,3338,20_49,2624,2544,126542451.67,484515383.04,3662.58,241,531,30.346,328,100,69.96,28.48,42.47,9.96,PeriUrban,N
2016,DBP100469,9549,20_49,2793,2910,170493699.16,614103469.2,4058.31,698,645,46.151,159,277,49.46,56.61,63.5,10.19,Rural,N
2021,DBP100470,2139,250_499,1123,1151,372967323.38,1397520259.2,23349.6,49,234,24.587,147,164,26.03,10.04,31.61,17.89,Urban,N
2014,DBP100471,4010,10_19,4640,4597,2322788411.14,10193460064.84,42642.61,184,1,4.024,273,111,40.8,53.36,64.86,7.87,PeriUrban,Y
2015,DBP100472,3632,50_99,3137,3328,1548093946.48,6613290045.44,38214.74,598,788,41.647,232,216,31.42,10.65,60.55,17.85,Urban,Y
2020,DBP100473,1328,100_249,1678,1554,628701263.71,2829910705.44,35020.18,785,718,96.718,150,296,4.01,5.51,2.25,6.46,Urban,Y
2017,DBP100474,9852,1_4,4089,4080,524913613.01,2000989161.6,9431.51,405,274,16.642,26,217,7.6,27.95,42.38,12.04,Urban,N
2018,DBP100475,8385,250_499,4249,4319,2296487379.77,9375021801.6,41743.2,269,326,13.776,269,91,52.62,15.9,63.56,12.83,Rural,Y
2011,DBP100476,9117,250_499,2885,3173,1489994606.4,5668269284.08,34353.98,370,468,26.41,42,259,2.92,45.32,65.55,13.11,Urban,N
2020,DBP100477,1951,10_19,772,942,362744706.21,1408356618.24,28751.36,598,193,83.97,212,158,57.78,57.38,20.05,17.52,Rural,Y
2010,DBP100478,3654,20_49,1978,2132,93118367.89,387067243.68,3491.37,691,71,35.741,229,80,55.96,43.35,31.73,0.98,Rural,N
2012,DBP100479,7838,5_9,4783,4911,708314281.39,2874600025.44,11256.52,288,122,8.349,214,269,54.46,23.81,64.61,10.15,Metro,N
2021,DBP100480,6228,500_plus,4945,5296,2158263939.91,9270738455.68,33663.79,745,699,27.266,206,284,26.08,33.27,8.75,9.33,PeriUrban,N
2016,DBP100481,7634,20_49,4090,4040,2225309466.39,8221783315.2,39136.44,184,104,7.129,295,246,58.72,56.82,3.88,8.26,Rural,N
2016,DBP100482,3454,20_49,313,231,106388365.26,394698344.04,32858.67,285,726,437.662,194,94,38.44,47.77,49.55,9.31,PeriUrban,N
2025,DBP100483,6714,100_249,1617,1426,502365937.56,2246218316.16,30292.08,572,138,49.79,348,133,39.7,56.72,8.0,13.52,Metro,Y
2011,DBP100484,0384,100_249,1115,1574,76982433.79,310730202.64,3796.43,698,12,45.108,294,66,31.77,20.71,47.33,10.29,PeriUrban,N
2014,DBP100485,0306,20_49,1030,1049,283387233.9,1105651958.32,20269.34,51,543,56.625,81,284,64.15,28.8,69.06,10.55,PeriUrban,N
2016,DBP100486,6419,20_49,3806,3899,910564287.76,3331907917.52,16433.74,313,703,26.058,114,190,38.66,40.02,4.94,0.47,Urban,N
2024,DBP100487,3421,20_49,3114,2966,743282475.63,2694516325.28,17470.54,766,129,30.175,327,290,49.35,25.95,34.62,18.92,Rural,N
2012,DBP100488,2309,100_249,4897,4801,989752526.43,4128946994.12,16538.81,648,493,23.766,17,190,5.08,27.86,55.83,9.46,Urban,Y
2016,DBP100489,3620,250_499,1572,1642,1000296696.48,3706989052.0,43415.5,381,131,31.181,300,179,53.72,41.29,63.8,10.42,PeriUrban,N
2010,DBP100490,1002,50_99,1930,2244,862245580.0,3472993112.16,29763.07,301,536,37.299,84,8,7.67,3.58,69.81,7.8,Rural,N
2021,DBP100491,5332,100_249,3287,3354,556952149.19,2207307648.0,12656.0,489,30,15.474,28,10,13.56,52.31,66.21,19.82,Metro,N
2021,DBP100492,0968,250_499,3283,3773,1795198380.04,6431813027.64,32782.59,121,60,4.797,64,154,0.17,29.7,26.51,17.46,PeriUrban,N
2012,DBP100493,8146,500_plus,1641,1804,939544715.84,3614228057.44,38527.93,345,441,43.57,188,71,66.17,40.66,6.13,13.05,Rural,N
2021,DBP100494,7248,500_plus,2029,2382,312297902.57,1246935172.08,10066.97,441,551,41.646,122,139,47.47,28.67,46.81,10.51,Metro,N
2012,DBP100495,2633,100_249,1272,1214,522098687.78,1916115346.08,30352.86,653,176,68.287,180,117,38.64,23.06,23.55,6.49,Metro,N
2024,DBP100496,0072,100_249,4341,4351,1117852637.24,5047971722.56,22311.28,326,283,13.997,181,228,54.32,6.55,32.1,6.22,Rural,N
2020,DBP100497,0116,10_19,4849,5150,995589533.24,3886742080.0,14513.6,288,634,17.903,212,109,27.12,34.28,48.39,7.82,Rural,N
2021,DBP100498,1089,1_4,1486,1854,461969487.05,1911083250.96,19822.87,766,134,48.544,326,48,37.66,36.83,0.12,7.01,Rural,N
2019,DBP100499,5493,20_49,2858,3049,1092453248.16,3971126388.32,25046.84,705,778,48.639,344,160,9.86,44.01,36.67,17.05,Rural,Y
2019,DBP100500,0711,250_499,3537,3828,734097307.1,3067578365.28,15410.63,787,600,36.233,78,117,64.03,29.75,24.83,1.15,Metro,N
2011,DBP100501,9366,5_9,1269,1510,940358516.02,3490305868.4,44451.17,239,18,17.02,10,288,26.2,53.48,63.4,9.31,Metro,N
2017,DBP100502,3020,250_499,2769,3009,1439523689.62,5377798901.28,34369.96,321,515,27.783,160,42,14.4,28.37,8.45,4.15,Urban,N
2012,DBP100503,9553,10_19,3527,3792,598967948.86,2438071708.8,12364.45,101,351,11.92,215,99,6.15,34.43,31.71,14.02,Urban,Y
2015,DBP100504,5088,5_9,3553,3528,1331273239.85,6009343441.92,32756.32,434,521,27.069,303,285,57.54,30.5,65.65,18.24,Urban,Y
2021,DBP100505,8626,50_99,3617,3496,1741462433.46,7683391614.08,42264.74,613,390,28.69,314,183,4.81,8.19,63.87,3.92,Rural,Y
2014,DBP100506,1725,1_4,4589,4932,2509205829.17,10321947642.24,40247.16,753,126,17.822,57,9,46.67,45.36,52.88,14.34,Rural,N
2014,DBP100507,2039,1_4,3440,3639,479421713.26,2019590706.12,10672.79,374,512,24.347,299,171,23.75,45.05,55.79,5.37,Urban,Y
2025,DBP100508,5988,500_plus,2539,2741,1655180923.55,6201253749.6,43507.8,611,577,43.342,232,76,59.17,33.71,39.9,14.07,Metro,N
2020,DBP100509,9085,50_99,2552,2440,603376286.31,2625046964.8,20689.21,518,762,52.459,76,119,40.46,20.59,68.36,11.43,Urban,Y
2012,DBP100510,4745,5_9,236,583,177019104.45,691818699.0,22820.25,736,594,228.13,309,200,26.36,14.14,68.69,12.04,Urban,Y
2013,DBP100511,8248,10_19,4807,4856,2379875770.34,10713821547.52,42428.96,686,15,14.436,220,44,53.74,59.06,56.14,8.34,PeriUrban,N
2020,DBP100512,8247,50_99,3526,3337,177115579.19,792761746.4,4568.6,668,99,22.985,344,21,60.67,59.36,3.37,18.76,Urban,N
2015,DBP100513,6233,50_99,4497,4788,253738590.1,967082538.24,3884.24,159,501,13.784,242,220,43.82,39.02,10.09,6.33,Metro,Y
2021,DBP100514,1519,20_49,382,262,86063609.42,332735682.24,24422.76,394,238,241.221,138,12,28.57,47.63,57.96,14.9,Metro,N
2012,DBP100515,2766,20_49,4561,4770,775158051.78,3200941317.6,12904.94,14,510,10.985,265,70,60.26,19.34,13.59,0.04,Urban,Y
2017,DBP100516,4247,250_499,236,728,102600299.67,371384395.2,9810.45,580,377,131.456,49,202,69.19,7.83,13.26,8.32,PeriUrban,N
2017,DBP100517,7047,250_499,4374,4662,416655085.64,1600926883.92,6603.83,493,469,20.635,253,11,26.34,38.6,22.42,6.96,Urban,Y
2016,DBP100518,7677,100_249,1374,1635,154375478.88,579544781.4,6816.57,10,228,14.557,100,283,3.44,53.11,11.81,11.86,Rural,Y
2022,DBP100519,2546,10_19,3212,3412,1144800205.32,4468499732.32,25185.43,324,352,19.812,14,254,20.25,32.17,69.58,18.73,Rural,N
2020,DBP100520,3397,250_499,4428,4528,2592561580.28,9273900762.88,39386.98,190,482,14.841,215,222,38.79,28.52,69.82,4.89,PeriUrban,N
2010,DBP100521,3009,20_49,1841,2056,807213307.25,3001703007.68,28076.39,398,79,23.2,57,193,49.01,43.6,16.2,9.52,Rural,N
2016,DBP100522,2732,100_249,4739,4896,643813350.23,2543985100.8,9992.4,789,691,30.229,256,71,68.79,32.66,67.83,16.61,Metro,Y
2016,DBP100523,3867,50_99,4345,4343,888533870.65,4018162188.04,17792.39,93,768,19.825,40,246,63.1,32.33,3.38,8.7,Urban,Y
2016,DBP100524,0252,1_4,4800,4991,2325000776.65,10012518767.16,38579.13,327,724,21.058,86,287,8.84,56.57,23.38,13.41,Urban,Y
2025,DBP100525,0467,500_plus,4184,4537,2092811944.97,7985506007.96,33847.79,740,420,25.568,342,260,36.56,33.72,43.96,9.82,Urban,N
2012,DBP100526,1464,250_499,373,216,113570679.3,427994910.72,38104.96,462,524,456.481,177,79,49.62,47.51,56.0,3.12,Urban,Y
2013,DBP100527,3541,1_4,985,1331,346691343.46,1269305860.68,18339.39,687,160,63.636,91,262,49.31,29.68,62.53,13.77,PeriUrban,Y
2010,DBP100528,9624,1_4,4806,4735,1506895473.81,5410834694.2,21975.61,540,296,17.656,202,103,62.73,16.28,40.15,15.29,Urban,N
2013,DBP100529,6524,20_49,2839,3000,1235591556.75,4467933600.0,28640.6,172,152,10.8,55,297,55.14,5.14,24.94,2.38,Rural,N
2019,DBP100530,5361,1_4,242,181,94395544.54,406638683.36,43204.28,466,310,428.729,224,52,23.77,2.59,57.53,3.42,Urban,N
2023,DBP100531,0252,100_249,106,531,292991760.82,1099572795.36,39822.28,406,170,108.475,41,127,7.23,23.0,59.66,6.43,Metro,Y
2015,DBP100532,0521,50_99,4570,4969,2101146732.21,9436544222.04,36520.83,642,388,20.729,281,160,37.1,44.96,36.64,16.78,Rural,N
2019,DBP100533,5072,100_249,2622,2582,211162505.42,826974940.48,6159.32,170,719,34.431,348,14,50.65,16.19,20.32,4.91,PeriUrban,N
2016,DBP100534,4618,20_49,3168,3257,1845458023.83,6926769120.44,40898.71,683,106,24.225,74,228,1.64,0.16,63.82,4.04,Urban,N
2015,DBP100535,3448,20_49,4416,4658,336483934.26,1238951795.12,5115.07,623,563,25.462,223,96,67.88,9.71,38.28,10.3,Urban,Y
2021,DBP100536,8204,10_19,4290,4289,1417443309.55,5650599493.24,25335.83,446,32,11.145,164,213,49.22,29.63,53.37,14.69,PeriUrban,N
2018,DBP100537,2934,10_19,3323,3226,1007244359.77,3913063672.96,23326.48,608,72,21.079,296,137,4.32,0.09,51.09,5.27,Urban,Y
2022,DBP100538,1168,20_49,2536,2354,128440187.13,461981256.88,3774.11,627,436,45.157,265,286,22.52,27.16,55.79,14.16,PeriUrban,Y
2016,DBP100539,3893,5_9,2423,2899,1244759871.61,4520293348.48,29985.76,731,250,33.839,152,204,27.46,50.65,20.89,12.13,Rural,N
2017,DBP100540,2072,20_49,4425,4627,269235092.36,1103667390.28,4587.07,620,358,21.137,54,265,46.63,4.32,22.55,10.8,Rural,N
2013,DBP100541,2996,20_49,3396,3886,1545107267.9,6631970708.48,32819.84,527,264,20.355,4,252,3.82,34.56,0.91,8.76,Metro,Y
2015,DBP100542,7044,1_4,3705,3924,1685889471.66,7577973393.12,37138.19,438,708,29.205,136,67,20.99,50.0,2.88,18.86,Metro,N
2011,DBP100543,7988,100_249,1856,1904,412468928.77,1696907022.72,17139.09,700,39,38.813,328,279,36.68,17.7,27.95,13.0,PeriUrban,N
2025,DBP100544,0762,100_249,1733,1569,570041293.49,2422201677.48,29688.21,610,241,54.238,149,17,45.8,54.59,39.52,15.25,PeriUrban,Y
2025,DBP100545,8296,500_plus,3330,3462,628552853.06,2676278189.52,14866.23,749,236,28.452,333,92,64.65,11.4,38.09,4.0,Rural,N
2025,DBP100546,2641,1_4,2974,2914,1320479184.7,5209646286.0,34380.75,345,250,20.419,176,6,42.19,15.19,40.59,0.07,PeriUrban,N
2012,DBP100547,6099,5_9,2070,2449,97606483.03,389617385.56,3059.47,382,231,25.031,278,234,33.03,47.04,16.65,13.59,PeriUrban,N
2012,DBP100548,4644,20_49,27,231,30686377.07,123223780.68,10258.39,204,506,307.359,278,225,64.31,52.15,22.03,13.43,Metro,Y
2018,DBP100549,1733,1_4,1904,1719,154950934.01,634668208.2,7100.15,781,282,61.838,209,36,36.86,1.82,12.99,1.3,PeriUrban,Y
2022,DBP100550,5389,100_249,3931,3893,719748044.57,3131504751.96,15469.11,139,761,23.118,227,75,29.49,59.24,69.25,3.43,Urban,N
2024,DBP100551,4390,20_49,687,1000,342806569.94,1348396400.0,25930.7,462,737,119.9,325,135,28.61,27.21,37.95,15.06,Urban,N
2022,DBP100552,2490,250_499,1733,1944,1047632665.0,3951204416.64,39086.78,717,223,48.354,140,136,11.77,20.94,38.95,18.93,Urban,Y
