civic_district_plan_id,civic_district_plan_effective_year,civic_district_district_number,civic_district_district_type_code,civic_district_population_total_ideal,civic_district_population_deviation_pct,civic_district_voting_age_population,civic_district_citizen_vap,civic_district_minority_vap_share_pct,civic_district_compactness_polsby_popper,civic_district_compactness_reock,civic_district_contiguity_flag,civic_district_split_count_county,civic_district_split_count_tract,civic_district_incumbent_residence_flag,civic_district_communities_of_interest_index,civic_district_partisan_lean_metric,civic_district_election_competitiveness_score,civic_district_public_comment_count,civic_district_litigation_risk_flag
PLAN000000440,2000,52,STATE_SENATE,558354,-5.486,436591,345407,6.49,0.2561,0.2022,1,10,32,0,0.9398,1.003,57.12,218,0
PLAN000000441,2011,25,STATE_HOUSE,60680,5.21,44516,42189,91.73,0.7889,0.0917,1,10,7,0,0.4085,24.303,40.19,7640,0
PLAN000000442,2023,8,STATE_SENATE,183794,-2.373,130327,124961,44.3,0.3787,0.5598,1,16,12,0,0.8509,-3.72,75.39,14893,0
PLAN000000443,2013,35,STATE_HOUSE,552071,4.426,393780,376313,25.31,0.1392,0.059,1,4,67,0,0.0696,-30.468,9.9,6144,0
PLAN000000444,1991,3,STATE_HOUSE,166004,4.558,127629,107393,24.4,0.4745,0.5771,1,6,4,0,0.406,6.94,18.5,3539,0
PLAN000000445,1991,17,CONGRESSIONAL,764746,-4.511,587528,504239,81.28,0.204,0.0772,1,19,21,1,0.3694,0.948,73.83,12385,0
PLAN000000446,1990,33,CONGRESSIONAL,349938,5.852,285882,236051,42.97,0.5374,0.4703,0,8,35,0,0.8049,31.691,42.01,22163,0
PLAN000000447,2001,56,CITY,65904,1.052,52966,45481,94.36,0.3453,0.2457,1,17,51,0,0.9261,-8.525,52.06,15548,0
PLAN000000448,1990,27,CONGRESSIONAL,859117,-5.851,628493,564482,91.27,0.1913,0.6815,1,5,38,0,0.5222,-32.034,87.6,10080,0
PLAN000000449,2000,47,CITY,750285,3.87,560464,440635,44.2,0.5831,0.3167,1,8,14,1,0.114,-19.446,90.49,22629,0
PLAN000000450,1997,53,SCHOOL,181901,6.468,135723,123425,80.61,0.7974,0.7792,1,14,35,0,0.6411,-13.967,31.32,24837,0
PLAN000000451,2009,29,CITY,784572,3.34,599971,481403,43.79,0.7459,0.1219,1,6,28,0,0.5104,8.014,26.97,20877,0
PLAN000000452,2022,53,STATE_SENATE,268453,-3.233,190222,155020,6.82,0.6193,0.4739,1,11,11,1,0.5537,29.974,93.18,23272,0
PLAN000000453,2007,33,CONGRESSIONAL,289734,-7.147,204598,195543,58.48,0.0361,0.7321,1,17,68,0,0.19,-35.893,18.82,21997,0
PLAN000000454,1998,8,CITY,534881,-0.204,374216,332797,80.73,0.3033,0.193,1,4,6,0,0.5659,-39.76,19.85,21003,0
PLAN000000455,2000,30,STATE_HOUSE,37674,0.664,25658,23327,94.58,0.3418,0.0312,1,5,7,0,0.6636,-15.648,79.46,16437,0
PLAN000000456,2014,36,SCHOOL,30097,7.254,21405,17826,12.46,0.1923,0.6593,1,0,11,0,0.1537,-26.546,24.31,4766,0
PLAN000000457,2014,15,STATE_SENATE,129287,0.505,95724,82177,13.23,0.7006,0.3485,1,9,56,0,0.4413,-28.921,12.39,22365,1
PLAN000000458,1992,52,STATE_HOUSE,261589,1.784,188197,158943,49.75,0.1026,0.2863,1,14,37,0,0.7188,39.543,7.28,15291,0
PLAN000000459,2021,14,STATE_HOUSE,153427,-1.628,113982,95437,23.75,0.783,0.5486,1,5,46,0,0.4716,27.381,85.0,15513,0
PLAN000000460,2022,10,STATE_SENATE,838740,-3.207,654807,577439,47.38,0.3566,0.7051,1,20,68,0,0.1502,12.612,94.7,14094,0
PLAN000000461,2012,12,STATE_HOUSE,374539,7.658,256343,238311,78.61,0.6188,0.6212,1,11,2,0,0.2248,20.888,17.35,4970,0
PLAN000000462,2008,2,STATE_SENATE,277865,-0.957,214006,188316,62.38,0.6307,0.094,1,11,59,1,0.5796,-37.182,47.56,16836,0
PLAN000000463,1996,60,JUDICIAL,45249,-1.98,31200,27921,21.49,0.5243,0.1023,1,18,64,1,0.6959,7.226,86.32,22500,1
PLAN000000464,2018,17,CONGRESSIONAL,480545,-3.84,338972,298236,20.34,0.6681,0.1711,1,0,74,0,0.0253,-21.717,82.48,17432,1
PLAN000000465,2017,30,STATE_HOUSE,885663,7.146,722418,618006,25.85,0.5548,0.1473,1,13,62,0,0.5889,-38.586,33.43,6529,0
PLAN000000466,2017,42,JUDICIAL,443539,-4.394,362207,298515,32.11,0.7966,0.279,0,6,44,1,0.6018,-25.992,27.79,19128,1
PLAN000000467,2016,53,CONGRESSIONAL,898122,6.068,724832,689401,49.03,0.7849,0.2661,1,14,63,0,0.9115,13.115,77.28,2568,0
PLAN000000468,2023,22,CITY,72736,-0.065,58139,50311,70.84,0.7884,0.5455,1,10,3,1,0.776,-4.448,12.76,24782,0
PLAN000000469,2017,14,STATE_SENATE,59238,-1.016,44231,41125,13.06,0.3601,0.1556,1,20,64,0,0.9868,-6.995,58.6,7977,1
PLAN000000470,2014,40,CONGRESSIONAL,663532,-5.695,502547,447497,41.99,0.648,0.8131,1,12,13,1,0.1544,34.24,7.57,8877,0
PLAN000000471,1997,45,SCHOOL,243431,-1.365,192727,165287,60.26,0.2173,0.7919,1,1,56,1,0.9386,-27.831,82.24,24734,0
PLAN000000472,2025,56,STATE_HOUSE,940876,3.525,712679,584660,11.39,0.7539,0.4041,0,4,60,0,0.6766,28.107,37.38,14709,0
PLAN000000473,2015,47,STATE_HOUSE,893714,4.194,639833,589238,91.03,0.7753,0.7831,0,6,54,0,0.3154,-18.344,47.91,9208,1
PLAN000000474,2006,10,CITY,134539,2.902,93839,90030,10.4,0.1608,0.5177,1,12,48,1,0.2178,-32.33,46.53,4890,0
PLAN000000475,1991,37,STATE_SENATE,267892,7.373,207011,186837,70.73,0.6826,0.3168,1,5,34,0,0.7978,7.532,63.23,22214,0
PLAN000000476,2022,1,STATE_HOUSE,683703,7.804,518222,475416,80.45,0.4548,0.7279,1,14,38,0,0.1484,-32.271,43.28,18586,0
PLAN000000477,1991,32,STATE_HOUSE,473067,7.697,366646,298420,41.69,0.0206,0.2537,1,11,51,0,0.0416,-20.916,82.46,15864,0
PLAN000000478,1990,34,CONGRESSIONAL,301420,0.967,214197,173177,70.78,0.0511,0.8077,1,7,74,1,0.8431,-4.01,44.83,5941,0
PLAN000000479,2017,55,CONGRESSIONAL,484159,5.216,356879,302470,8.29,0.1422,0.5798,1,8,54,0,0.6591,10.504,38.87,16319,0
PLAN000000480,2005,13,STATE_SENATE,152638,1.107,104532,98516,47.68,0.4215,0.4373,1,4,5,0,0.9744,-27.992,7.97,3891,0
PLAN000000481,2001,2,CITY,128642,5.924,102982,88729,5.41,0.1655,0.3019,1,3,77,0,0.2343,-17.023,0.14,18479,0
PLAN000000482,1990,17,CITY,212606,-2.672,153003,145735,51.03,0.7312,0.1503,1,0,6,0,0.7555,-34.417,10.0,7144,1
PLAN000000483,2010,46,SCHOOL,396248,4.125,293888,244459,9.17,0.2306,0.5367,1,9,44,0,0.8907,28.786,97.75,10291,0
PLAN000000484,2002,32,CONGRESSIONAL,925396,-0.846,629516,516241,25.23,0.6226,0.7366,1,3,54,0,0.3923,-22.807,22.68,16211,1
PLAN000000485,1993,35,SCHOOL,491206,-3.753,378558,301828,53.4,0.6984,0.7759,1,9,78,0,0.6882,-7.688,9.52,3617,0
PLAN000000486,2013,21,STATE_SENATE,631228,-6.411,455357,362299,5.99,0.3396,0.8102,1,0,53,1,0.5817,4.502,19.62,22731,0
PLAN000000487,1994,32,JUDICIAL,210798,-1.576,144894,121966,45.06,0.4054,0.8134,1,17,5,0,0.167,-3.777,13.15,24938,0
PLAN000000488,1992,14,CITY,149944,-5.939,121652,99713,80.23,0.0488,0.3042,1,10,17,0,0.1285,19.116,75.11,20318,0
PLAN000000489,1997,18,CONGRESSIONAL,937500,-5.6,737821,681347,82.17,0.6989,0.5026,1,12,57,0,0.0217,-27.725,89.65,19405,1
PLAN000000490,1996,36,CONGRESSIONAL,521602,5.377,365646,339508,65.87,0.2528,0.5082,1,6,0,1,0.866,0.272,45.87,14906,0
PLAN000000491,1998,57,STATE_SENATE,874962,0.477,666564,613584,92.89,0.0696,0.0984,1,13,9,0,0.3623,4.916,39.05,11116,1
PLAN000000492,1996,35,STATE_HOUSE,847896,-1.233,637621,551769,44.08,0.4161,0.2113,1,0,40,0,0.1085,15.982,92.95,10823,1
PLAN000000493,1994,46,STATE_HOUSE,413732,-3.38,331779,283494,68.27,0.4958,0.5593,1,7,68,0,0.2016,-0.659,62.01,19989,0
PLAN000000494,2002,19,STATE_SENATE,383410,-4.692,299669,263762,92.13,0.3002,0.1856,1,6,15,1,0.4266,-26.086,17.23,1580,1
PLAN000000495,2013,43,CONGRESSIONAL,798970,3.89,597429,484353,60.45,0.0823,0.313,1,15,8,0,0.9669,13.528,56.36,17295,0
PLAN000000496,2024,12,SCHOOL,471365,1.787,331456,270033,33.53,0.346,0.6883,1,16,49,1,0.8918,26.65,23.03,22832,0
PLAN000000497,2003,45,SCHOOL,525017,0.545,375351,341465,90.67,0.1155,0.2482,1,3,19,0,0.1115,18.828,80.88,22632,0
PLAN000000498,1995,12,SCHOOL,566642,1.74,392462,344080,89.56,0.4755,0.6648,1,1,30,0,0.8996,-6.882,49.57,9702,0
PLAN000000499,2002,25,STATE_SENATE,280126,-7.56,213609,202653,60.62,0.3196,0.7928,1,11,18,1,0.0608,-33.878,20.72,10580,0
PLAN000000500,2006,3,STATE_HOUSE,565358,3.112,412700,389683,11.23,0.5004,0.1607,1,19,57,0,0.2734,-32.706,49.79,14091,0
PLAN000000501,2011,15,CONGRESSIONAL,663306,-5.562,499212,451944,41.41,0.5287,0.6016,1,4,35,0,0.6303,25.431,78.67,24260,1
PLAN000000502,1990,40,CONGRESSIONAL,144895,-3.241,104049,85441,28.85,0.3669,0.3404,1,10,32,0,0.1611,-23.627,91.28,3434,0
PLAN000000503,2022,55,STATE_SENATE,304322,-5.371,235384,217156,3.23,0.5191,0.194,1,8,55,1,0.9573,-15.352,39.07,7705,0
PLAN000000504,2002,46,JUDICIAL,404756,-6.029,326846,256053,20.14,0.4833,0.7796,1,10,27,1,0.9431,11.035,82.93,4286,1
PLAN000000505,2020,30,STATE_SENATE,356911,6.107,254979,235373,62.4,0.1785,0.0379,1,1,80,0,0.3581,-27.472,79.5,10809,0
PLAN000000506,2017,59,STATE_HOUSE,709548,-5.608,570741,504344,11.88,0.3691,0.1957,1,18,24,0,0.0831,-37.632,92.17,16709,0
PLAN000000507,2014,47,STATE_HOUSE,76940,-1.625,58512,52875,88.99,0.1432,0.2436,1,1,18,0,0.5198,27.034,81.7,1437,0
PLAN000000508,2021,59,SCHOOL,901431,-0.59,670577,547989,3.13,0.7382,0.1087,0,18,20,0,0.4201,-9.228,95.99,18344,0
PLAN000000509,2013,48,SCHOOL,843906,-1.11,607176,567822,68.39,0.5556,0.1087,1,7,32,0,0.4459,31.788,65.84,3403,0
PLAN000000510,1997,4,SCHOOL,623598,3.006,502470,462261,83.68,0.5752,0.8306,1,18,14,0,0.0669,-6.29,22.38,13086,0
PLAN000000511,2025,59,STATE_HOUSE,68843,-0.619,48973,39429,37.64,0.0285,0.7718,1,20,45,0,0.3461,0.944,86.15,7262,0
PLAN000000512,2008,36,STATE_SENATE,69240,4.569,50034,44771,76.51,0.2672,0.8073,1,17,75,0,0.4771,17.638,84.82,21946,0
PLAN000000513,1994,10,STATE_HOUSE,622859,-5.972,458181,373218,29.55,0.3038,0.3361,1,8,0,0,0.3678,1.887,48.02,24435,0
PLAN000000514,2022,21,CONGRESSIONAL,436568,4.074,320121,263052,30.31,0.5669,0.1624,1,15,25,1,0.4873,-39.999,66.01,11920,0
PLAN000000515,2005,10,CONGRESSIONAL,387724,0.792,298945,278400,76.67,0.6886,0.7851,1,2,13,1,0.9238,-0.618,18.31,23201,0
PLAN000000516,2025,53,CITY,749242,6.598,597467,477304,44.55,0.5209,0.6541,1,9,30,1,0.9959,29.682,34.0,3105,0
PLAN000000517,2002,2,STATE_SENATE,131149,3.054,97772,90041,94.45,0.471,0.4899,1,2,54,0,0.9745,-19.429,43.31,21263,0
PLAN000000518,1995,7,STATE_HOUSE,428177,2.67,346009,280827,51.14,0.451,0.4824,1,13,62,0,0.3124,39.238,41.43,18683,0
PLAN000000519,1993,2,CONGRESSIONAL,377840,-4.821,308385,293879,4.43,0.4706,0.0678,1,7,53,0,0.3341,16.486,21.45,8357,1
PLAN000000520,2016,53,STATE_HOUSE,787232,5.985,618820,497496,42.7,0.2287,0.1627,1,19,16,1,0.1972,38.502,49.52,14639,0
PLAN000000521,2012,40,STATE_HOUSE,886016,-3.921,710151,663303,44.91,0.3006,0.7833,1,12,39,0,0.2912,-21.496,71.99,20400,0
PLAN000000522,2008,4,SCHOOL,200981,-1.169,149734,135557,44.2,0.694,0.5111,1,2,49,1,0.0211,0.51,25.85,22764,1
PLAN000000523,2013,17,CITY,101109,-0.076,82238,75135,76.44,0.4221,0.6319,1,10,39,1,0.9817,-14.476,96.28,15885,0
PLAN000000524,1998,9,CITY,410690,-4.034,298472,283346,2.14,0.7438,0.0747,1,12,10,0,0.5787,10.079,89.76,13478,0
PLAN000000525,2010,57,STATE_HOUSE,330290,-4.621,227393,189160,55.92,0.5393,0.2171,1,6,38,1,0.694,10.973,53.62,9381,0
PLAN000000526,2007,13,JUDICIAL,661457,1.448,523769,438504,34.06,0.4616,0.7905,1,9,8,0,0.6695,4.094,60.07,8241,0
PLAN000000527,2013,51,JUDICIAL,242817,-6.125,176308,162882,63.82,0.0987,0.2917,1,12,73,0,0.8482,-26.694,5.9,6436,0
PLAN000000528,2007,25,STATE_SENATE,108998,0.975,75883,60521,94.82,0.4403,0.0972,1,11,26,0,0.8344,-22.505,55.2,18183,0
PLAN000000529,2012,36,SCHOOL,873980,3.159,676691,566695,57.33,0.5067,0.26,1,12,19,0,0.3552,-35.381,20.19,15626,0
PLAN000000530,1997,38,CONGRESSIONAL,944354,-0.402,724622,667441,91.52,0.5076,0.0573,1,14,11,0,0.3855,39.189,83.75,19815,0
PLAN000000531,2020,43,SCHOOL,806637,2.922,563056,440812,83.47,0.224,0.2026,1,16,53,0,0.1324,-13.631,37.19,17416,0
PLAN000000532,1993,42,STATE_HOUSE,163620,-3.67,129163,101355,29.04,0.0714,0.7879,1,14,49,0,0.7194,-29.446,33.56,24555,0
PLAN000000533,2010,3,STATE_SENATE,174596,1.473,130394,121648,57.69,0.4226,0.233,1,15,26,0,0.9454,24.284,3.7,17572,0
PLAN000000534,2011,14,STATE_HOUSE,101733,-2.322,83047,69044,38.36,0.2188,0.2161,1,2,10,0,0.3781,27.71,96.75,8726,0
PLAN000000535,2011,33,CONGRESSIONAL,526227,-4.341,377440,362022,39.44,0.651,0.7598,1,6,33,0,0.749,-8.39,55.23,10731,0
PLAN000000536,1998,7,STATE_HOUSE,77229,6.338,53270,49465,57.07,0.6386,0.7574,1,15,25,0,0.8369,18.972,52.37,21547,0
PLAN000000537,2024,40,STATE_SENATE,554253,7.15,383332,304936,11.78,0.5317,0.6174,1,2,42,0,0.5036,-35.122,21.07,13849,0
PLAN000000538,2023,34,STATE_SENATE,756641,-3.997,611487,524070,34.29,0.6586,0.3924,1,5,34,1,0.0891,22.547,51.74,9884,1
PLAN000000539,1990,7,CONGRESSIONAL,405800,-4.209,303632,239167,65.3,0.2077,0.6266,1,16,5,0,0.9561,31.441,0.16,11842,1
PLAN000000540,1992,18,STATE_SENATE,740443,-4.838,575022,547919,72.45,0.7198,0.5556,1,16,49,1,0.1219,-9.556,33.15,2161,1
PLAN000000541,2025,23,CONGRESSIONAL,660489,-1.827,459747,403660,87.63,0.1071,0.3591,1,8,7,0,0.5568,33.891,29.56,6775,0
PLAN000000542,1997,55,STATE_HOUSE,109563,6.83,84533,78309,47.14,0.5607,0.6139,1,15,68,1,0.1065,-19.265,2.49,1484,0
PLAN000000543,1993,47,JUDICIAL,361882,-5.772,280272,221963,53.25,0.6416,0.5923,1,1,0,0,0.5455,-24.11,35.45,2709,0
PLAN000000544,2025,3,STATE_HOUSE,571473,-0.104,459440,419550,28.65,0.2601,0.533,0,19,73,0,0.5205,-17.027,40.98,2474,0
PLAN000000545,1990,25,STATE_HOUSE,445106,-1.339,358646,326056,13.81,0.0351,0.6639,1,5,14,0,0.4568,-13.505,12.07,3677,0
PLAN000000546,2021,52,CITY,721146,3.929,582355,541663,6.52,0.1349,0.1686,1,11,48,0,0.1982,2.338,68.06,10498,0
PLAN000000547,2015,57,CONGRESSIONAL,915722,-5.197,625569,590777,63.11,0.2424,0.4487,1,8,77,0,0.186,-39.346,84.57,21900,0
PLAN000000548,1997,41,CITY,314563,1.851,233391,220540,91.9,0.7146,0.7481,1,9,55,0,0.6611,25.418,21.77,6877,0
PLAN000000549,2003,42,CONGRESSIONAL,441291,-4.539,324799,270605,24.84,0.18,0.6081,1,8,57,0,0.0706,-13.166,27.15,10285,0
PLAN000000550,2005,42,STATE_SENATE,39444,-7.618,31438,29236,63.26,0.0415,0.2664,1,1,64,1,0.3507,-10.421,53.63,1257,0
PLAN000000551,2008,54,SCHOOL,377378,7.439,305361,260126,22.75,0.5101,0.1444,1,10,31,1,0.1543,24.269,89.4,11246,1
PLAN000000552,2010,31,STATE_SENATE,449872,-6.079,321180,251900,82.25,0.5275,0.4967,1,4,71,0,0.9785,2.572,12.03,7543,0
PLAN000000553,2015,42,STATE_SENATE,210110,-0.126,152278,119317,53.89,0.7037,0.163,1,13,14,1,0.5869,-9.687,96.71,2115,0
PLAN000000554,2001,30,STATE_HOUSE,842941,-3.891,643515,503872,38.55,0.4782,0.036,1,16,52,1,0.3606,36.82,3.34,17464,0
PLAN000000555,1993,54,CONGRESSIONAL,699749,5.469,523538,429152,36.88,0.7886,0.7116,1,19,60,0,0.5799,-29.629,75.21,24130,1
PLAN000000556,2020,9,CONGRESSIONAL,851202,-3.83,603980,484696,29.4,0.7255,0.3188,0,13,10,1,0.7273,32.44,25.28,1786,0
PLAN000000557,2004,12,CONGRESSIONAL,385956,-2.22,297303,284070,71.13,0.6083,0.6886,1,8,5,1,0.719,-3.701,47.75,21072,1
PLAN000000558,2016,36,STATE_HOUSE,259846,-6.33,189624,174465,12.5,0.3695,0.0351,1,11,68,0,0.6305,30.453,2.1,19657,1
PLAN000000559,2015,15,STATE_HOUSE,492436,-0.689,400625,370059,13.75,0.4554,0.7658,1,13,8,0,0.542,-24.395,41.03,13476,0
PLAN000000560,2002,7,SCHOOL,163300,-0.836,118318,104197,79.07,0.1229,0.2594,1,19,56,0,0.3078,-9.415,4.08,19560,0
PLAN000000561,2007,28,STATE_HOUSE,104692,-6.703,77722,74350,76.5,0.7245,0.1888,1,12,53,1,0.7362,37.899,92.01,6593,0
PLAN000000562,2016,12,STATE_SENATE,762878,-2.888,522644,410672,55.55,0.5919,0.1627,1,0,22,0,0.4961,-16.786,38.6,24018,0
PLAN000000563,2001,21,CONGRESSIONAL,532269,-5.786,362788,283700,53.82,0.5343,0.6901,1,3,13,0,0.1848,-36.967,78.76,2299,1
PLAN000000564,2002,42,STATE_SENATE,820228,-7.748,591626,480526,57.07,0.341,0.3267,1,20,30,1,0.6297,-31.624,76.37,16516,0
PLAN000000565,1998,39,STATE_SENATE,88304,-4.31,69756,66818,35.99,0.3936,0.4315,1,5,3,0,0.3189,5.144,90.33,21687,0
PLAN000000566,1993,33,CITY,867397,5.234,618458,590319,43.2,0.5313,0.6146,1,13,68,0,0.0963,6.808,79.53,24400,0
PLAN000000567,2014,58,CONGRESSIONAL,519964,-6.74,377740,317736,93.55,0.2403,0.1042,1,13,28,0,0.9731,37.466,93.8,17187,0
PLAN000000568,2008,13,STATE_SENATE,836608,0.011,641390,543064,21.05,0.6029,0.7808,1,20,77,0,0.2937,25.257,45.47,8146,0
PLAN000000569,2009,29,CONGRESSIONAL,73214,1.769,56840,44859,34.0,0.2522,0.8219,1,7,75,1,0.5307,-18.705,10.42,13992,0
PLAN000000570,2004,4,STATE_HOUSE,619650,7.704,423490,399505,50.0,0.5562,0.7625,0,20,69,0,0.1378,-32.032,52.55,6839,0
PLAN000000571,2014,13,CITY,395184,5.138,302858,290671,57.41,0.7823,0.7914,1,11,66,0,0.9096,-31.732,83.4,12954,0
PLAN000000572,2021,25,JUDICIAL,218017,3.493,167108,144482,76.88,0.3482,0.5172,1,20,38,0,0.9837,-20.357,36.28,19411,0
PLAN000000573,2011,48,STATE_HOUSE,9469,-5.127,6751,5333,40.75,0.7275,0.6724,1,15,65,0,0.3661,-21.045,55.5,19597,0
PLAN000000574,2005,48,CITY,329952,2.354,246122,214324,32.33,0.3251,0.1991,1,19,73,0,0.255,6.368,84.07,17278,0
PLAN000000575,2018,52,STATE_SENATE,67931,0.18,53341,49647,76.21,0.0807,0.5428,1,9,3,0,0.3775,-19.944,52.65,23251,0
PLAN000000576,2022,4,STATE_SENATE,523004,-1.41,373421,300278,59.94,0.1459,0.0354,1,11,1,0,0.4953,21.956,81.13,19978,0
PLAN000000577,1991,6,STATE_SENATE,785669,-6.63,547562,454565,46.1,0.04,0.2381,1,14,52,0,0.8389,-20.966,29.79,7712,0
PLAN000000578,2010,27,CONGRESSIONAL,488152,1.933,374579,331192,88.18,0.2004,0.174,1,7,13,0,0.4323,33.902,28.2,15033,0
PLAN000000579,2012,44,CONGRESSIONAL,910995,-6.359,659560,557301,11.7,0.3944,0.5782,1,11,36,0,0.5154,-29.727,97.11,2517,0
PLAN000000580,2021,2,JUDICIAL,394142,-3.862,320386,285790,20.01,0.0406,0.1491,0,20,77,0,0.6891,-32.406,70.85,1142,0
PLAN000000581,2025,3,STATE_HOUSE,777032,-5.131,554672,466150,30.49,0.0387,0.1597,1,9,8,0,0.3913,-8.621,17.39,611,0
PLAN000000582,2002,57,CONGRESSIONAL,684683,-5.784,490721,466912,84.51,0.4296,0.642,1,7,29,1,0.382,10.457,13.66,9634,0
PLAN000000583,1994,16,STATE_HOUSE,892623,4.799,649618,614911,62.68,0.3661,0.3677,1,11,18,0,0.0411,1.667,38.39,13676,0
PLAN000000584,2020,26,STATE_HOUSE,156123,4.92,126662,101789,55.63,0.4394,0.0259,1,1,63,0,0.2034,-15.209,99.22,6925,0
PLAN000000585,2021,60,SCHOOL,629054,6.084,450347,416930,74.55,0.4915,0.5519,1,12,76,0,0.5486,-6.841,2.52,23288,0
PLAN000000586,1991,15,JUDICIAL,111312,6.01,84630,78972,34.03,0.4461,0.1998,1,14,9,0,0.5448,18.959,8.77,21820,1
PLAN000000587,2015,41,STATE_HOUSE,861544,-4.875,628888,500567,61.81,0.2328,0.1989,1,8,69,0,0.9303,-16.375,52.45,7060,1
PLAN000000588,2009,30,CONGRESSIONAL,616885,-2.609,421802,368269,79.98,0.779,0.4428,1,10,39,0,0.8504,26.835,20.23,11104,0
PLAN000000589,2025,2,CONGRESSIONAL,540563,1.824,419589,392788,69.33,0.536,0.4777,1,8,32,0,0.3587,39.747,81.48,11354,1
PLAN000000590,2018,8,STATE_SENATE,948076,0.622,749534,603266,68.08,0.516,0.3902,1,19,38,0,0.2371,-6.27,55.28,22318,1
PLAN000000591,1998,26,STATE_HOUSE,457263,-2.28,333965,300383,60.57,0.6223,0.7496,1,13,41,1,0.3174,-4.232,89.5,18964,1
PLAN000000592,2014,25,STATE_HOUSE,241742,-1.194,170903,156671,48.24,0.5946,0.1511,1,20,65,0,0.8325,-5.465,14.14,12054,0
PLAN000000593,2020,18,STATE_SENATE,152019,-3.25,115203,92503,38.91,0.59,0.1998,1,18,48,0,0.8897,30.204,75.13,18001,0
PLAN000000594,2005,43,CONGRESSIONAL,939765,-6.543,640398,549003,86.09,0.3659,0.6952,1,11,75,0,0.4665,-30.194,82.94,13558,0
PLAN000000595,2001,36,STATE_SENATE,370599,2.695,257281,234284,63.24,0.4987,0.4081,1,11,64,0,0.2954,-28.126,56.59,13145,0
PLAN000000596,2016,49,CITY,851008,4.839,632653,552509,37.97,0.7379,0.5606,1,4,33,0,0.7622,-22.144,10.34,10525,1
PLAN000000597,2006,11,SCHOOL,786621,-6.082,592633,556888,55.0,0.572,0.5386,1,6,29,0,0.3103,0.437,46.8,22719,0
PLAN000000598,2023,28,CONGRESSIONAL,703301,1.906,488825,424950,67.18,0.7003,0.7648,1,5,19,0,0.389,-2.608,59.45,14686,0
PLAN000000599,2009,13,CONGRESSIONAL,301165,7.963,237809,225799,88.01,0.1287,0.0333,0,11,33,1,0.3203,-24.976,78.5,19622,0
PLAN000000600,2011,60,CONGRESSIONAL,857294,1.774,688485,658848,39.44,0.385,0.7985,1,6,66,0,0.8531,11.438,64.24,9274,0
PLAN000000601,2009,50,STATE_SENATE,920901,-4.202,741127,695767,93.92,0.2873,0.7527,1,4,35,0,0.5301,-19.832,14.61,15367,0
PLAN000000602,1997,54,CITY,673433,-0.595,458075,395562,70.32,0.0555,0.1325,1,8,56,0,0.9782,23.83,60.48,4538,0
PLAN000000603,1996,28,CITY,28172,1.114,19806,15742,92.24,0.515,0.6011,1,10,75,0,0.2481,1.2,99.14,8424,0
PLAN000000604,2021,3,JUDICIAL,131449,-4.307,99175,79816,50.05,0.6707,0.3259,1,0,51,0,0.4902,-15.283,61.93,14839,0
PLAN000000605,1990,60,CONGRESSIONAL,331494,-5.794,268867,232338,56.9,0.7212,0.4697,1,20,71,0,0.1594,-15.497,97.19,8591,0
PLAN000000606,2008,19,STATE_SENATE,672749,1.178,515466,438944,27.76,0.6263,0.7555,1,2,58,0,0.2357,38.455,52.45,23766,0
PLAN000000607,1990,27,CONGRESSIONAL,9370,0.936,7384,6777,72.67,0.4909,0.7079,1,7,69,0,0.035,30.216,67.09,17833,0
PLAN000000608,1997,2,CONGRESSIONAL,341126,-5.271,245321,206952,52.28,0.4453,0.4283,1,9,47,0,0.1664,14.758,68.46,10887,0
PLAN000000609,2019,53,CITY,801631,5.329,606642,522131,84.08,0.3073,0.7174,1,7,45,0,0.3357,-17.62,67.14,18907,0
PLAN000000610,2015,43,JUDICIAL,222913,3.178,155296,122809,53.55,0.6274,0.3579,1,9,25,1,0.1243,-16.703,10.03,12090,0
PLAN000000611,2014,10,CONGRESSIONAL,180836,5.041,133203,119886,1.53,0.5565,0.3979,1,4,36,1,0.9981,1.332,91.77,22157,0
PLAN000000612,2023,56,CONGRESSIONAL,639201,-6.064,454611,395443,65.0,0.0335,0.3319,1,4,1,0,0.5918,2.166,51.64,7258,0
PLAN000000613,2010,42,STATE_HOUSE,690291,2.508,498731,440776,34.19,0.6511,0.7281,1,7,13,0,0.9879,-33.047,18.89,14537,0
PLAN000000614,2005,29,STATE_SENATE,537049,-5.629,374277,334107,69.77,0.528,0.5956,1,20,56,0,0.7448,7.895,73.06,10181,0
PLAN000000615,1991,11,STATE_HOUSE,870857,6.198,643939,552237,34.01,0.6382,0.5818,1,4,57,0,0.7363,26.171,7.52,7385,0
PLAN000000616,2019,58,CONGRESSIONAL,866536,-7.224,700590,668588,32.73,0.1315,0.2788,1,10,34,0,0.5532,31.054,15.65,6864,0
PLAN000000617,2013,56,SCHOOL,531485,5.804,426421,369357,3.95,0.1174,0.0871,1,9,45,0,0.3233,-35.463,41.28,13974,0
PLAN000000618,1999,32,CITY,104638,-2.054,79938,64172,2.62,0.0365,0.7697,1,3,30,0,0.3689,-34.056,1.87,20464,0
PLAN000000619,2003,23,STATE_HOUSE,232996,-4.107,178972,163625,90.81,0.5119,0.4451,1,12,0,0,0.044,-38.838,67.32,2679,1
PLAN000000620,2013,6,STATE_HOUSE,510555,-1.64,406596,384438,16.84,0.3441,0.5994,1,2,56,0,0.3238,8.509,38.99,22833,0
