trans_road_reference_year,trans_road_country_iso2,trans_road_region_nuts_code,trans_road_vehicle_type_code,trans_road_vehicle_stock_count,trans_road_new_registrations_count,trans_road_ev_share_new_registrations_pct,trans_road_avg_vehicle_age_years,trans_road_vkt_million_km,trans_road_congestion_index,trans_road_road_fatalities_count,trans_road_serious_injuries_count,trans_road_speeding_infractions_count,trans_road_alcohol_infractions_count,trans_road_seatbelt_noncompliance_count,trans_road_co2e_emissions_tonnes,trans_road_low_emission_zone_coverage_pct,trans_road_data_source,trans_road_revision_round,trans_road_data_extract_date
2019,LT,FI468,MOTORCYCLE,7786448,471792,5.53,12.79,24336.04,1.1428,800,8455,12817,6527,48830,2097334.89,15.79,CARE_ROAD_SAFETY_DB,FLASH,2025-08-03
2020,PT,FR275,BUS_COACH,876834,121081,51.57,16.97,32884.78,1.3303,1429,13058,68691,16374,17722,2241152.89,16.06,NATIONAL_TRANSPORT_MINISTRY,FIRST,2026-02-23
2021,SE,MT510,HEAVY_TRUCK,9308304,1018399,54.46,14.32,50323.73,0.214,650,2782,79690,8293,27214,11069202.0,36.84,EEA_TRANSPORT_EMISSIONS,SECOND,2024-01-05
2022,CY,HR567,LIGHT_COMMERCIAL,10153717,247638,2.14,7.91,28486.12,0.7733,1166,13295,78944,753,1463,9457934.57,1.33,POLICE_ADMIN_DATA,BENCHMARK,2025-10-31
2023,FR,SE79,PASSENGER_CAR,12185681,359493,87.94,13.59,45112.08,1.1723,56,556,36735,8191,71449,1967771.76,37.55,CARE_ROAD_SAFETY_DB,FLASH,2025-01-28
2024,IT,DE375,MOPED,4957985,159669,15.93,8.63,16862.22,0.7876,872,5044,68492,4652,49567,3725943.17,81.9,NATIONAL_TRANSPORT_MINISTRY,FIRST,2025-04-18
2025,NL,CY8,MOTORCYCLE,486839,82057,0.55,15.55,16711.72,0.5964,1068,8708,48564,2342,34390,4945316.01,76.89,EEA_TRANSPORT_EMISSIONS,SECOND,2025-05-19
2005,SI,LU242,BUS_COACH,2556837,141581,30.27,16.27,29275.65,1.6482,810,3174,155106,16421,10495,5900401.4,36.16,POLICE_ADMIN_DATA,BENCHMARK,2025-07-13
2006,BG,BG252,HEAVY_TRUCK,4149227,526596,37.9,11.7,59937.4,1.8045,3054,12698,7436,4618,167,11818729.85,21.64,CARE_ROAD_SAFETY_DB,FLASH,2024-09-15
2007,EE,MT93,LIGHT_COMMERCIAL,1591511,262976,18.35,15.35,61265.26,0.6919,2969,32359,23252,11215,2076,3927315.15,12.47,NATIONAL_TRANSPORT_MINISTRY,FIRST,2024-03-22
2008,HU,SK752,PASSENGER_CAR,8227263,1073901,39.6,10.03,21723.73,2.0965,544,3899,600,30723,49926,5146099.02,42.81,EEA_TRANSPORT_EMISSIONS,SECOND,2024-05-23
2009,LU,GR892,MOPED,10530279,1813778,17.47,13.67,50732.34,0.5003,1032,10828,46406,16576,38284,11876497.1,8.21,POLICE_ADMIN_DATA,BENCHMARK,2024-10-24
2010,RO,EE419,MOTORCYCLE,6222831,562085,28.23,12.51,50318.64,0.5693,1416,10611,54048,17866,25337,10475951.86,10.42,CARE_ROAD_SAFETY_DB,FLASH,2025-05-09
2011,AT,IT55,BUS_COACH,5948963,823740,27.72,12.68,54267.98,0.4112,144,487,16249,30474,51079,11838747.78,16.44,NATIONAL_TRANSPORT_MINISTRY,FIRST,2026-02-02
2012,CZ,SE75,HEAVY_TRUCK,8008361,283427,5.75,13.71,44930.4,2.358,1538,5261,141246,3340,6402,5920478.08,30.2,EEA_TRANSPORT_EMISSIONS,SECOND,2024-08-21
2013,DE,DK53,LIGHT_COMMERCIAL,62919,1280,4.44,16.32,27662.94,2.278,163,913,148270,19414,45025,8764958.9,38.46,POLICE_ADMIN_DATA,BENCHMARK,2024-10-30
2014,LV,ES831,PASSENGER_CAR,412647,9110,24.07,17.22,19747.27,0.3637,575,4352,61540,139,60314,3166172.76,48.02,CARE_ROAD_SAFETY_DB,FLASH,2025-07-07
2015,PL,GR3,MOPED,264409,40279,27.55,9.56,68031.55,2.2588,2114,17681,151458,15258,40490,17128020.66,46.42,NATIONAL_TRANSPORT_MINISTRY,FIRST,2024-04-20
2016,ES,LU18,MOTORCYCLE,7393051,798255,15.51,9.08,51467.18,0.1623,2509,10138,40570,17860,3766,12131166.72,53.22,EEA_TRANSPORT_EMISSIONS,SECOND,2024-11-09
2017,HR,CZ603,BUS_COACH,8140921,1375398,40.8,6.16,10916.66,2.1639,495,4409,44744,1492,38609,1368974.78,4.06,POLICE_ADMIN_DATA,BENCHMARK,2025-07-20
2018,FI,EE467,HEAVY_TRUCK,871975,31262,39.5,14.51,62110.79,2.0256,2903,12295,104838,13860,40451,15636639.9,59.57,CARE_ROAD_SAFETY_DB,FLASH,2024-08-01
2019,IE,FI9,LIGHT_COMMERCIAL,7540009,818213,15.06,13.12,39553.66,1.6833,787,8410,141807,1606,13409,6232524.06,71.72,NATIONAL_TRANSPORT_MINISTRY,FIRST,2025-08-22
2020,MT,RO90,PASSENGER_CAR,10408567,1544235,34.97,14.0,31757.74,0.8628,1550,6899,70242,5985,44381,3061192.61,12.97,EEA_TRANSPORT_EMISSIONS,SECOND,2025-09-24
2021,SK,LT317,MOPED,8941846,484133,0.8,13.33,29450.15,0.4673,428,1531,9208,2644,17271,7652805.35,20.79,POLICE_ADMIN_DATA,BENCHMARK,2024-07-04
2022,BE,MT68,MOTORCYCLE,8062028,1362455,60.57,17.18,34934.72,2.0649,1316,9106,47014,2066,24643,5901304.93,69.28,CARE_ROAD_SAFETY_DB,FLASH,2025-07-26
2023,DK,PL9,BUS_COACH,9608258,1006251,76.62,16.45,30157.26,2.0839,845,8227,58724,9461,30434,4877797.08,64.76,NATIONAL_TRANSPORT_MINISTRY,FIRST,2025-10-03
2024,GR,PT9,HEAVY_TRUCK,11132070,708376,14.68,15.12,39889.34,0.8152,71,761,24035,20679,38990,3729610.01,27.14,EEA_TRANSPORT_EMISSIONS,SECOND,2025-10-30
2025,LT,RO188,LIGHT_COMMERCIAL,11823837,1140906,43.85,16.65,10841.57,0.7685,96,600,78870,25722,77164,2310731.77,36.87,POLICE_ADMIN_DATA,BENCHMARK,2025-10-27
2005,PT,AT569,PASSENGER_CAR,7056842,1130438,18.19,7.66,32319.83,2.3284,1063,4536,104803,10423,48842,4475408.68,10.24,CARE_ROAD_SAFETY_DB,FLASH,2025-12-07
2006,SE,HU55,MOPED,480722,17444,40.31,7.78,4137.61,1.0175,281,2840,40356,11967,20086,255910.7,44.0,NATIONAL_TRANSPORT_MINISTRY,FIRST,2024-12-03
2007,CY,RO6,MOTORCYCLE,8504702,1468314,28.32,5.66,17368.61,1.0384,764,7758,47293,16679,43951,3461707.87,52.15,EEA_TRANSPORT_EMISSIONS,SECOND,2025-04-13
2008,FR,BE97,BUS_COACH,7491992,254906,39.75,6.67,31130.82,2.2447,378,2114,35838,9023,24222,2100657.99,46.68,POLICE_ADMIN_DATA,BENCHMARK,2024-10-16
2009,IT,SK54,HEAVY_TRUCK,8082695,615593,12.43,9.6,66628.72,1.3527,3341,17914,140081,6711,49763,19045004.14,44.03,CARE_ROAD_SAFETY_DB,FLASH,2024-12-05
2010,NL,CZ188,LIGHT_COMMERCIAL,11085059,1436027,30.12,5.05,23491.84,1.8016,509,4701,18321,2647,55843,1441705.55,46.86,NATIONAL_TRANSPORT_MINISTRY,FIRST,2025-05-08
2011,SI,NL5,PASSENGER_CAR,10808904,1234308,26.61,5.43,48134.86,0.591,1042,8892,90435,6954,35588,10031021.35,9.1,EEA_TRANSPORT_EMISSIONS,SECOND,2026-02-20
2012,BG,LU66,MOPED,2394152,399454,27.62,7.74,22390.32,1.0879,383,3291,20675,26211,15596,3238919.28,22.29,POLICE_ADMIN_DATA,BENCHMARK,2024-05-30
2013,EE,HR8,MOTORCYCLE,9349324,1041995,18.32,11.22,74793.93,0.5337,1855,21548,90633,15257,39957,7682942.48,15.69,CARE_ROAD_SAFETY_DB,FLASH,2024-12-09
2014,HU,EE31,BUS_COACH,6921448,705974,9.51,14.08,13494.89,1.3666,513,5291,28277,7792,48959,3143288.61,5.23,NATIONAL_TRANSPORT_MINISTRY,FIRST,2025-09-21
2015,LU,SI794,HEAVY_TRUCK,7271413,1156730,12.27,8.37,87698.75,1.0649,1405,6832,71960,26225,6638,6984952.29,8.96,EEA_TRANSPORT_EMISSIONS,SECOND,2024-07-31
2016,RO,MT86,LIGHT_COMMERCIAL,14897705,1227154,19.02,12.11,55626.37,1.3218,1177,5629,4944,1008,62758,4034339.05,36.8,POLICE_ADMIN_DATA,BENCHMARK,2025-11-13
2017,AT,ES419,PASSENGER_CAR,7797982,632395,26.15,10.75,76061.78,0.8662,3875,38891,36812,15661,41367,19426661.84,22.37,CARE_ROAD_SAFETY_DB,FLASH,2025-06-29
2018,CZ,BG7,MOPED,2342501,372549,24.78,13.55,22494.3,0.6224,352,3929,95647,12937,2657,3654215.27,57.33,NATIONAL_TRANSPORT_MINISTRY,FIRST,2024-03-02
2019,DE,SK75,MOTORCYCLE,10451676,1483558,32.97,8.8,9579.78,1.7203,303,3421,129468,4983,13001,1122155.8,70.94,EEA_TRANSPORT_EMISSIONS,SECOND,2024-11-23
2020,LV,LV6,BUS_COACH,8165703,1154312,74.93,6.56,20831.81,2.3859,552,6445,64599,12187,29269,2593311.31,3.96,POLICE_ADMIN_DATA,BENCHMARK,2025-09-30
2021,PL,CY85,HEAVY_TRUCK,8061117,1316408,65.45,8.33,1266.16,0.7761,39,226,34831,1676,15278,111823.89,29.65,CARE_ROAD_SAFETY_DB,FLASH,2025-11-19
2022,ES,NL59,LIGHT_COMMERCIAL,10422206,1374630,69.29,8.83,72878.06,2.1823,1944,20781,116635,11228,10473,5032765.38,0.28,NATIONAL_TRANSPORT_MINISTRY,FIRST,2025-12-06
2023,HR,NL6,PASSENGER_CAR,12489220,1728066,95.35,6.35,19554.83,1.3138,753,7847,86003,2056,33903,1447546.24,4.69,EEA_TRANSPORT_EMISSIONS,SECOND,2024-05-08
2024,FI,LT3,MOPED,12858923,2249200,42.28,7.44,7127.4,0.7397,463,4293,82523,27447,29352,871519.45,52.83,POLICE_ADMIN_DATA,BENCHMARK,2024-10-17
2025,IE,BE34,MOTORCYCLE,10925730,1560114,12.04,13.65,62339.92,1.3683,2022,17591,105439,27897,24692,17889740.09,27.84,CARE_ROAD_SAFETY_DB,FLASH,2025-05-05
2005,MT,RO24,BUS_COACH,10986574,798005,33.33,17.47,28481.67,1.5097,239,2652,32208,2030,40390,5731968.36,22.0,NATIONAL_TRANSPORT_MINISTRY,FIRST,2025-06-26
2006,SK,PT92,HEAVY_TRUCK,3606658,151613,2.42,10.63,24661.68,0.7704,167,1715,64953,4541,17792,6336210.21,36.44,EEA_TRANSPORT_EMISSIONS,SECOND,2024-02-23
2007,BE,BG915,LIGHT_COMMERCIAL,5272322,115472,6.11,9.95,42991.46,0.7154,1423,13165,13261,4913,76229,10371573.48,16.22,POLICE_ADMIN_DATA,BENCHMARK,2024-06-24
2008,DK,HR9,PASSENGER_CAR,148165,21174,21.25,7.97,48767.78,2.039,2368,10165,59746,20220,3373,8773298.96,6.26,CARE_ROAD_SAFETY_DB,FLASH,2024-11-27
2009,GR,HU51,MOPED,5025659,782356,16.19,5.43,25392.88,1.023,233,1661,64371,14833,36018,1625729.02,20.37,NATIONAL_TRANSPORT_MINISTRY,FIRST,2024-08-02
2010,LT,AT6,MOTORCYCLE,4927829,306306,30.14,12.85,28350.41,1.2847,1269,7679,10368,3752,30850,6844481.58,3.45,EEA_TRANSPORT_EMISSIONS,SECOND,2024-03-26
2011,PT,CZ36,BUS_COACH,1473520,217557,29.99,11.01,8182.73,2.2244,175,1870,55414,5313,44272,2133224.12,41.87,POLICE_ADMIN_DATA,BENCHMARK,2025-07-07
2012,SE,FI1,HEAVY_TRUCK,9191964,1608575,17.34,14.45,17041.63,1.8565,351,3775,24225,13433,35182,3609190.48,41.62,CARE_ROAD_SAFETY_DB,FLASH,2026-01-10
2013,CY,IE4,LIGHT_COMMERCIAL,8797711,671361,6.35,15.17,27274.4,2.1359,110,1034,152293,9069,60666,7810960.82,8.1,NATIONAL_TRANSPORT_MINISTRY,FIRST,2024-07-24
2014,FR,IT144,PASSENGER_CAR,8365638,625788,1.98,12.72,16853.37,1.2454,758,3579,22717,16635,15928,4052342.24,36.19,EEA_TRANSPORT_EMISSIONS,SECOND,2026-02-14
2015,IT,GR133,MOPED,2603480,64220,31.84,14.01,32217.71,0.1778,1870,15368,35866,6136,28989,4575816.07,34.88,POLICE_ADMIN_DATA,BENCHMARK,2025-10-25
2016,NL,EE4,MOTORCYCLE,10389465,255479,42.04,17.31,23760.05,0.4693,870,8811,38482,10259,46492,2603219.22,46.44,CARE_ROAD_SAFETY_DB,FLASH,2024-01-10
2017,SI,FR1,BUS_COACH,2279930,184940,36.88,5.52,55184.47,2.0032,157,1046,21565,22712,28653,4644693.05,52.51,NATIONAL_TRANSPORT_MINISTRY,FIRST,2024-07-22
2018,BG,DK24,HEAVY_TRUCK,1446448,148868,38.19,10.67,89826.97,1.8399,1806,17563,20742,4181,49310,11673505.09,80.45,EEA_TRANSPORT_EMISSIONS,SECOND,2025-03-29
2019,EE,IT963,LIGHT_COMMERCIAL,7247780,507824,12.44,6.05,51776.06,0.6722,2548,25034,23238,13809,71101,15456336.67,18.55,POLICE_ADMIN_DATA,BENCHMARK,2024-02-10
2020,HU,SI45,PASSENGER_CAR,8992738,616840,11.67,15.96,18306.27,1.7371,197,2140,155186,10972,74907,3972894.05,40.94,CARE_ROAD_SAFETY_DB,FLASH,2024-05-30
2021,LU,HR88,MOPED,96040,3640,44.74,9.47,21977.58,0.5903,962,10915,42354,20734,41231,5368152.83,13.68,NATIONAL_TRANSPORT_MINISTRY,FIRST,2024-05-26
2022,RO,HU938,MOTORCYCLE,7728386,691411,61.32,9.58,69372.62,0.2982,2320,11951,66420,17137,14233,13796698.65,56.43,EEA_TRANSPORT_EMISSIONS,SECOND,2025-11-14
2023,AT,PT58,BUS_COACH,11035399,333222,74.49,15.9,41952.4,2.2415,283,2869,100962,11227,45945,2084686.84,80.15,POLICE_ADMIN_DATA,BENCHMARK,2024-01-21
2024,CZ,HR38,HEAVY_TRUCK,7229942,1113254,47.32,9.9,58925.26,2.3771,2142,22800,25377,8441,3039,6367875.94,78.97,CARE_ROAD_SAFETY_DB,FLASH,2024-10-19
2025,DE,CY2,LIGHT_COMMERCIAL,2625172,160725,31.84,13.31,42005.45,0.8954,1331,9045,15847,5309,66270,4096749.07,10.77,NATIONAL_TRANSPORT_MINISTRY,FIRST,2025-08-03
2005,LV,RO422,PASSENGER_CAR,2895429,441472,35.37,8.54,40189.37,1.2253,191,2170,35913,30234,30291,5702729.55,47.94,EEA_TRANSPORT_EMISSIONS,SECOND,2025-06-06
2006,PL,AT54,MOPED,481371,69772,12.88,12.18,18714.11,1.8269,68,541,74072,6779,7615,4180622.9,4.89,POLICE_ADMIN_DATA,BENCHMARK,2025-05-09
2007,ES,LV448,MOTORCYCLE,10617724,662569,5.34,13.58,81173.54,0.2262,3875,45740,89581,5355,2752,14893174.79,53.86,CARE_ROAD_SAFETY_DB,FLASH,2025-10-18
2008,HR,BE1,BUS_COACH,11548544,1370620,32.38,13.8,1268.51,0.4577,31,205,67490,6722,40842,235319.68,47.81,NATIONAL_TRANSPORT_MINISTRY,FIRST,2024-06-08
2009,FI,FR497,HEAVY_TRUCK,4147683,338606,11.57,7.11,9682.8,0.3655,144,1437,99207,26904,27523,2484316.36,8.77,EEA_TRANSPORT_EMISSIONS,SECOND,2026-02-18
2010,IE,RO97,LIGHT_COMMERCIAL,8267589,537309,32.64,7.63,39753.44,2.118,1962,22554,94172,16434,52120,7271943.15,36.35,POLICE_ADMIN_DATA,BENCHMARK,2025-11-08
2011,MT,CY34,PASSENGER_CAR,9363024,1111890,23.4,7.53,54202.66,0.8155,2618,29950,36617,6466,34453,11782264.5,29.76,CARE_ROAD_SAFETY_DB,FLASH,2024-02-29
2012,SK,CY251,MOPED,9088907,1054951,27.57,17.23,29581.93,2.1423,1232,12197,95260,12481,18829,3016182.13,12.69,NATIONAL_TRANSPORT_MINISTRY,FIRST,2025-08-12
2013,BE,LV62,MOTORCYCLE,11554494,1234160,29.87,16.38,28429.4,0.6147,1124,6070,14504,4129,19414,3155074.39,0.02,EEA_TRANSPORT_EMISSIONS,SECOND,2026-01-02
2014,DK,IE3,BUS_COACH,10190898,1412460,35.82,6.01,11594.2,0.7772,309,3653,25836,1892,5411,2480258.38,18.21,POLICE_ADMIN_DATA,BENCHMARK,2025-12-04
2015,GR,SI67,HEAVY_TRUCK,2186468,110966,6.92,9.42,89106.77,1.1278,3791,27425,84348,13724,31747,25623995.12,26.71,CARE_ROAD_SAFETY_DB,FLASH,2025-09-16
2016,LT,SI6,LIGHT_COMMERCIAL,3039310,239596,2.27,12.48,21256.34,0.6491,164,713,90232,3458,19989,3235493.74,23.38,NATIONAL_TRANSPORT_MINISTRY,FIRST,2025-07-10
2017,PT,CY1,PASSENGER_CAR,12543360,1324777,38.86,15.29,93546.41,2.3883,1496,14874,85167,17176,16881,19969300.46,15.12,EEA_TRANSPORT_EMISSIONS,SECOND,2024-07-10
2018,SE,DE528,MOPED,7865557,1080135,40.85,15.7,11134.61,1.7243,483,1561,138678,12085,19006,2238006.12,41.22,POLICE_ADMIN_DATA,BENCHMARK,2025-10-30
2019,CY,FI5,MOTORCYCLE,2600263,164377,38.41,13.15,37507.01,1.706,1827,9993,73989,4766,6458,2090405.18,41.94,CARE_ROAD_SAFETY_DB,FLASH,2025-08-02
2020,FR,LV2,BUS_COACH,3373541,521488,2.84,8.53,24725.35,0.2255,274,2865,1093,30259,47857,7497456.74,20.43,NATIONAL_TRANSPORT_MINISTRY,FIRST,2025-07-23
2021,IT,PT436,HEAVY_TRUCK,5973574,719251,61.24,11.02,66524.5,0.3425,1998,7910,38470,9539,39703,3220570.4,53.25,EEA_TRANSPORT_EMISSIONS,SECOND,2025-06-15
2022,NL,DE356,LIGHT_COMMERCIAL,3537207,207156,86.83,15.06,12766.25,2.3972,128,1452,124841,10058,928,876934.57,46.15,POLICE_ADMIN_DATA,BENCHMARK,2025-01-27
2023,SI,RO95,PASSENGER_CAR,3809401,174860,86.67,9.28,74797.24,2.0802,3039,12340,50504,9892,31660,4564418.07,70.66,CARE_ROAD_SAFETY_DB,FLASH,2025-01-21
2024,BG,IT58,MOPED,9227003,966460,81.5,14.76,3555.22,0.7491,37,286,24597,14228,13607,157111.03,85.88,NATIONAL_TRANSPORT_MINISTRY,FIRST,2025-02-04
2025,EE,PL831,MOTORCYCLE,3788534,244339,47.96,11.65,84338.97,0.6489,5816,56646,24065,1557,25711,8001783.9,41.61,EEA_TRANSPORT_EMISSIONS,SECOND,2025-05-06
2005,HU,DE6,BUS_COACH,9043722,652220,16.32,16.25,51725.3,2.192,2508,13251,28122,11147,7070,5099197.2,27.94,POLICE_ADMIN_DATA,BENCHMARK,2024-03-15
2006,LU,HU14,HEAVY_TRUCK,577819,93076,2.28,10.8,1010.29,2.1356,6,48,144646,3217,22180,315504.13,36.33,CARE_ROAD_SAFETY_DB,FLASH,2025-03-11
2007,RO,MT374,LIGHT_COMMERCIAL,9972280,504826,15.12,16.72,29431.13,1.0834,631,2132,53537,1300,65067,4023799.95,56.1,NATIONAL_TRANSPORT_MINISTRY,FIRST,2024-11-17
2008,AT,GR85,PASSENGER_CAR,9001163,1565040,10.67,13.99,2824.21,1.1229,57,355,3401,6812,1050,759277.54,41.01,EEA_TRANSPORT_EMISSIONS,SECOND,2024-12-15
2009,CZ,MT2,MOPED,7861588,501257,34.81,5.38,71244.83,1.6152,1413,12236,96196,15044,27883,7293373.44,17.91,POLICE_ADMIN_DATA,BENCHMARK,2025-12-17
2010,DE,BE24,MOTORCYCLE,2816224,387127,9.41,5.17,3441.64,2.3737,87,396,109297,23495,31444,408914.37,13.2,CARE_ROAD_SAFETY_DB,FLASH,2025-12-16
2011,LV,SE131,BUS_COACH,6433411,839919,30.76,14.78,46008.68,0.9376,1909,14150,2293,15643,30720,5776760.29,0.15,NATIONAL_TRANSPORT_MINISTRY,FIRST,2024-11-04
2012,PL,EE472,HEAVY_TRUCK,6045417,414275,0.07,7.89,18124.59,0.529,250,1237,85046,4767,42650,2602996.45,35.69,EEA_TRANSPORT_EMISSIONS,SECOND,2024-11-28
2013,ES,DE26,LIGHT_COMMERCIAL,5022352,618283,23.81,5.51,49989.96,1.5894,707,5034,8139,18098,29405,10905237.78,16.1,POLICE_ADMIN_DATA,BENCHMARK,2026-01-14
2014,HR,BE3,PASSENGER_CAR,9490874,1624286,14.88,7.59,38630.13,1.6744,507,5058,98669,22003,43693,7440564.27,39.11,CARE_ROAD_SAFETY_DB,FLASH,2025-12-22
2015,FI,HR358,MOPED,5501460,852068,6.97,12.92,63734.68,1.5538,3617,26807,29355,11801,17328,19568871.76,21.31,NATIONAL_TRANSPORT_MINISTRY,FIRST,2025-05-23
2016,IE,SK399,MOTORCYCLE,8932052,307224,35.34,17.01,29991.95,2.371,1066,3305,138861,12026,35201,5273207.18,37.25,EEA_TRANSPORT_EMISSIONS,SECOND,2024-11-05
2017,MT,CY21,BUS_COACH,9433747,710698,6.49,7.78,10141.98,2.2867,223,1301,155162,8816,51623,3067760.2,49.08,POLICE_ADMIN_DATA,BENCHMARK,2025-11-18
2018,SK,SI2,HEAVY_TRUCK,5847857,733116,31.36,15.98,44868.13,0.2908,738,6585,79008,3798,35661,10045965.6,24.39,CARE_ROAD_SAFETY_DB,FLASH,2025-09-06
2019,BE,IT402,LIGHT_COMMERCIAL,7830747,242062,12.72,6.14,30535.7,1.9785,881,5219,44589,10293,8662,8506528.99,67.88,NATIONAL_TRANSPORT_MINISTRY,FIRST,2024-10-06
2020,DK,SK58,PASSENGER_CAR,1734010,261081,43.14,10.25,58943.89,1.8514,2180,23686,34459,12247,65964,13822076.16,71.57,EEA_TRANSPORT_EMISSIONS,SECOND,2026-02-17
2021,GR,FR217,MOPED,13864575,2319447,76.25,16.85,853.8,1.8721,34,240,149364,6751,14496,89931.35,2.29,POLICE_ADMIN_DATA,BENCHMARK,2025-04-25
2022,LT,IE84,MOTORCYCLE,5354905,268033,42.56,13.56,68018.86,2.3887,1423,8135,38764,29131,39446,13964306.13,49.39,CARE_ROAD_SAFETY_DB,FLASH,2024-12-06
2023,PT,NL925,BUS_COACH,1305854,70445,65.1,16.47,32181.19,1.8656,1320,8517,83053,15547,10173,2785999.68,69.75,NATIONAL_TRANSPORT_MINISTRY,FIRST,2024-05-05
2024,SE,BE32,HEAVY_TRUCK,2244850,78724,14.56,9.34,32488.86,2.0772,1483,7528,145612,15634,29610,3444847.63,81.42,EEA_TRANSPORT_EMISSIONS,SECOND,2025-05-23
2025,CY,RO552,LIGHT_COMMERCIAL,2968155,407610,18.13,7.42,23941.15,0.6208,536,5148,42409,4016,18063,7108859.85,22.14,POLICE_ADMIN_DATA,BENCHMARK,2025-01-28
2005,FR,BG43,PASSENGER_CAR,11647189,980614,19.73,7.83,54526.15,1.976,1718,20391,82149,2925,77059,14612870.71,28.48,CARE_ROAD_SAFETY_DB,FLASH,2024-06-27
2006,IT,FI2,MOPED,1860505,183847,38.02,13.36,51420.43,1.81,565,2435,115778,2699,21360,6475627.05,10.65,NATIONAL_TRANSPORT_MINISTRY,FIRST,2026-02-04
2007,NL,FI585,MOTORCYCLE,2148595,334776,18.13,8.96,33486.56,0.9885,1730,11687,44674,7182,7583,5277413.96,51.45,EEA_TRANSPORT_EMISSIONS,SECOND,2024-11-20
2008,SI,SE35,BUS_COACH,4969301,140085,4.82,7.19,6036.95,1.5913,133,435,117886,26125,33853,825745.91,15.04,POLICE_ADMIN_DATA,BENCHMARK,2025-06-19
2009,BG,PT612,HEAVY_TRUCK,13546024,1058408,3.96,12.19,45211.07,1.9489,731,4293,1505,16095,6060,9147338.37,26.15,CARE_ROAD_SAFETY_DB,FLASH,2024-02-28
2010,EE,BE169,LIGHT_COMMERCIAL,5299058,549441,42.14,14.34,18028.93,0.4396,642,2544,15641,1228,57019,2579156.63,52.37,NATIONAL_TRANSPORT_MINISTRY,FIRST,2024-05-10
2011,HU,FR746,PASSENGER_CAR,4254316,478051,11.11,15.12,20246.19,0.4382,850,4735,70503,1285,56998,4384126.89,44.8,EEA_TRANSPORT_EMISSIONS,SECOND,2025-10-20
2012,LU,HU300,MOPED,12206258,406501,26.13,13.75,2004.78,0.6055,41,413,12433,2282,7592,246475.05,15.17,POLICE_ADMIN_DATA,BENCHMARK,2024-04-14
2013,RO,SE714,MOTORCYCLE,8623386,507681,27.51,9.31,59163.7,2.249,419,2688,76974,18946,43121,6427867.98,30.6,CARE_ROAD_SAFETY_DB,FLASH,2025-11-23
2014,AT,ES36,BUS_COACH,5975963,223396,28.21,17.09,9479.13,0.4274,197,1905,4253,11348,26834,2020220.62,50.78,NATIONAL_TRANSPORT_MINISTRY,FIRST,2024-01-18
2015,CZ,HR65,HEAVY_TRUCK,15347936,1170719,26.76,9.99,52669.67,1.6117,1800,19914,23784,231,48105,13407757.27,39.2,EEA_TRANSPORT_EMISSIONS,SECOND,2024-12-08
2016,DE,CY845,LIGHT_COMMERCIAL,6010167,676436,18.01,6.7,25075.72,1.1185,519,4871,70945,14404,11234,3753560.01,45.1,POLICE_ADMIN_DATA,BENCHMARK,2026-01-17
2017,LV,LU653,PASSENGER_CAR,7123705,1275840,22.16,5.95,1763.69,1.3373,25,240,26160,11354,75160,171886.46,54.41,CARE_ROAD_SAFETY_DB,FLASH,2025-05-01
2018,PL,BE896,MOPED,2357623,372141,18.71,11.82,33885.99,2.2333,366,2410,145435,21202,2461,7362482.62,85.85,NATIONAL_TRANSPORT_MINISTRY,FIRST,2025-02-04
2019,ES,PL74,MOTORCYCLE,1629118,173274,11.84,6.34,28318.18,0.1925,367,1490,76059,8484,4449,7288356.63,11.54,EEA_TRANSPORT_EMISSIONS,SECOND,2024-09-12
2020,HR,EE997,BUS_COACH,11946350,762246,9.73,15.36,41385.04,0.4669,93,953,100508,2191,30574,12899379.67,33.59,POLICE_ADMIN_DATA,BENCHMARK,2025-08-07
2021,FI,CZ653,HEAVY_TRUCK,5792727,945375,89.02,16.75,48239.37,1.3869,1787,18865,131091,11659,6773,2480543.03,34.78,CARE_ROAD_SAFETY_DB,FLASH,2025-04-12
2022,IE,LT509,LIGHT_COMMERCIAL,8656430,935256,72.38,14.5,32012.13,1.5937,1449,5640,149212,15961,43870,4710345.07,10.22,NATIONAL_TRANSPORT_MINISTRY,FIRST,2025-08-28
2023,MT,LV312,PASSENGER_CAR,4803368,329550,50.53,8.04,51985.92,0.4209,1947,22184,77865,3233,62032,5468350.1,37.59,EEA_TRANSPORT_EMISSIONS,SECOND,2026-01-13
2024,SK,BG51,MOPED,8628883,1220394,25.39,6.25,28723.02,0.5168,305,2234,6204,1881,43886,2497184.3,8.53,POLICE_ADMIN_DATA,BENCHMARK,2024-12-01
2025,BE,DE40,MOTORCYCLE,10196646,1256688,15.45,7.53,1230.45,1.2235,48,459,1512,6504,51279,80324.82,84.75,CARE_ROAD_SAFETY_DB,FLASH,2025-10-17
2005,DK,CY261,BUS_COACH,8842537,1090863,14.75,12.64,30944.96,0.5593,1026,10360,51426,18773,48235,9496415.14,55.44,NATIONAL_TRANSPORT_MINISTRY,FIRST,2024-10-23
2006,GR,HR77,HEAVY_TRUCK,7302380,899536,40.57,11.87,27307.35,1.2713,262,1298,49665,10683,817,4642171.88,6.19,EEA_TRANSPORT_EMISSIONS,SECOND,2024-04-17
