lab_skills_reference_year,lab_skills_country_iso2,lab_skills_region_nuts_code,lab_skills_occupation_isco_code,lab_skills_vacancies_count,lab_skills_vacancy_rate_pct,lab_skills_hard_to_fill_share_pct,lab_skills_time_to_hire_days_median,lab_skills_skill_cluster_code,lab_skills_training_places_count,lab_skills_reskilling_participants_count,lab_skills_migration_for_work_share_pct,lab_skills_qualification_mismatch_rate_pct,lab_skills_green_jobs_share_pct,lab_skills_digital_jobs_share_pct,lab_skills_ai_jobs_share_pct,lab_skills_wage_premium_pct,lab_skills_eures_job_postings_count,lab_skills_data_source,lab_skills_data_extract_date
2007,PT,CY72,4_CLERICAL,242532,5.58,48.96,36.14,HEALTH_CARE,258482,68917,3.15,8.86,1.09,5.09,0.29,15.77,6170,PUBLIC_EMPLOYMENT_SERVICE,2024-09-19
2008,SE,LV309,6_AGRI,70800,1.19,41.9,69.25,MANUFACTURING,229338,25898,2.86,17.17,11.79,18.5,1.48,5.63,1493,SECTOR_SKILLS_COUNCIL,2024-02-11
2009,CY,HU97,8_PLANT_MACHINE,59920,0.49,18.25,56.18,LOGISTICS,234118,47096,17.36,23.69,8.92,7.25,0.99,6.31,33520,VACANCY_SCRAPE_AGGREGATE,2025-07-08
2010,FR,CZ78,1_MANAGERS,72065,0.7,49.58,17.87,FINANCE,64466,91913,15.19,21.02,4.49,3.36,3.12,12.3,75379,EURES_EXPORT,2024-11-15
2011,IT,LU709,3_TECHNICIANS,38013,1.57,16.94,40.77,PUBLIC_ADMIN,242552,39196,10.06,21.8,3.83,9.86,2.51,5.36,32759,PUBLIC_EMPLOYMENT_SERVICE,2024-10-16
2012,NL,EE919,5_SERVICE_SALES,180322,6.66,51.39,123.27,ICT,266524,87699,11.15,28.75,0.75,28.61,2.33,31.36,165908,SECTOR_SKILLS_COUNCIL,2025-05-03
2013,SI,NL81,7_CRAFT,76511,2.8,27.55,79.41,CONSTRUCTION,159155,210,6.34,21.23,1.74,18.07,2.3,1.95,54414,VACANCY_SCRAPE_AGGREGATE,2024-03-28
2014,BG,PT72,9_ELEMENTARY,108130,4.94,43.26,72.84,HOSPITALITY,30787,38287,10.3,9.92,4.98,6.64,3.21,5.02,89927,EURES_EXPORT,2025-12-21
2015,EE,AT85,2_PROFESSIONALS,13203,2.5,20.42,74.38,EDUCATION,157666,87853,4.87,22.04,11.36,19.67,0.33,11.93,29954,PUBLIC_EMPLOYMENT_SERVICE,2024-07-10
2016,HU,LT285,4_CLERICAL,79946,4.11,43.58,42.69,AGRI,4407,47251,16.47,8.54,12.81,14.97,1.73,17.07,145721,SECTOR_SKILLS_COUNCIL,2025-01-07
2017,LU,DK89,6_AGRI,77799,5.96,64.84,90.09,GREEN_ENERGY,24767,148102,16.5,14.48,10.08,14.32,2.01,4.99,92880,VACANCY_SCRAPE_AGGREGATE,2024-04-02
2018,RO,FR648,8_PLANT_MACHINE,170170,6.14,16.55,46.46,HEALTH_CARE,178198,56648,17.34,22.79,5.83,8.9,2.46,23.0,142152,EURES_EXPORT,2025-10-11
2019,AT,IE5,1_MANAGERS,107618,5.22,14.89,35.51,MANUFACTURING,23729,46219,7.21,22.85,21.56,24.57,0.95,6.32,32249,PUBLIC_EMPLOYMENT_SERVICE,2024-10-11
2020,CZ,FI705,3_TECHNICIANS,3521,4.06,24.06,72.05,LOGISTICS,221638,89727,10.75,22.14,20.69,8.37,5.11,12.84,191212,SECTOR_SKILLS_COUNCIL,2024-08-11
2021,DE,RO59,5_SERVICE_SALES,249763,4.61,24.92,67.11,FINANCE,145553,73078,9.39,21.31,3.48,13.92,17.41,9.36,45780,VACANCY_SCRAPE_AGGREGATE,2024-06-24
2022,LV,LV411,7_CRAFT,188365,3.43,55.98,42.77,PUBLIC_ADMIN,167540,169944,0.96,28.72,5.43,24.67,2.36,18.72,148019,EURES_EXPORT,2024-05-23
2023,PL,SI954,9_ELEMENTARY,3365,1.42,25.12,19.61,ICT,168912,49870,7.67,10.84,6.22,16.69,8.34,22.0,21550,PUBLIC_EMPLOYMENT_SERVICE,2024-02-01
2024,ES,IT94,2_PROFESSIONALS,353191,2.68,38.52,38.93,CONSTRUCTION,100345,185048,10.62,27.39,16.53,8.96,3.25,4.67,25694,SECTOR_SKILLS_COUNCIL,2025-07-28
2025,HR,LV72,4_CLERICAL,149209,1.38,29.36,59.75,HOSPITALITY,265194,120121,17.02,30.17,12.48,24.9,3.12,5.97,62414,VACANCY_SCRAPE_AGGREGATE,2024-05-06
2006,FI,SI96,6_AGRI,100494,2.23,47.84,20.6,EDUCATION,212993,128917,10.59,27.73,6.44,1.8,3.54,0.81,149336,EURES_EXPORT,2025-05-28
2007,IE,BE377,8_PLANT_MACHINE,18152,2.6,43.56,26.55,AGRI,115024,134431,8.62,25.46,1.66,4.77,0.75,3.02,23666,PUBLIC_EMPLOYMENT_SERVICE,2026-02-12
2008,MT,IT612,1_MANAGERS,34249,6.45,52.63,108.2,GREEN_ENERGY,47566,32272,5.28,19.58,16.13,2.8,2.51,31.23,3705,SECTOR_SKILLS_COUNCIL,2025-03-14
2009,SK,NL4,3_TECHNICIANS,127154,5.01,64.28,24.67,HEALTH_CARE,134090,102701,7.29,9.64,6.49,1.59,4.11,23.58,175302,VACANCY_SCRAPE_AGGREGATE,2025-05-01
2010,BE,PL349,5_SERVICE_SALES,225601,6.79,49.27,14.45,MANUFACTURING,117758,1914,4.54,17.44,7.99,3.43,1.11,17.95,63459,EURES_EXPORT,2025-01-18
2011,DK,HR76,7_CRAFT,91257,4.05,20.68,81.68,LOGISTICS,39445,6667,11.62,22.64,8.26,8.18,0.36,1.81,64337,PUBLIC_EMPLOYMENT_SERVICE,2025-09-29
2012,GR,CZ18,9_ELEMENTARY,175455,3.85,25.36,81.24,FINANCE,110407,61814,6.73,31.5,11.2,9.18,6.55,17.09,18564,SECTOR_SKILLS_COUNCIL,2026-01-04
2013,LT,AT453,2_PROFESSIONALS,176661,2.19,19.06,51.32,PUBLIC_ADMIN,232358,96549,8.95,27.84,9.35,8.01,3.98,16.51,134392,VACANCY_SCRAPE_AGGREGATE,2024-04-04
2014,PT,BE168,4_CLERICAL,158052,4.01,54.5,55.8,ICT,296727,116496,4.39,21.23,5.27,2.73,1.43,29.3,192121,EURES_EXPORT,2025-01-26
2015,SE,FR59,6_AGRI,243798,4.41,57.07,112.59,CONSTRUCTION,112408,35932,17.37,27.93,12.22,12.41,1.99,16.42,39206,PUBLIC_EMPLOYMENT_SERVICE,2024-08-23
2016,CY,SE66,8_PLANT_MACHINE,138417,1.03,29.72,27.43,HOSPITALITY,141732,11346,12.31,30.58,3.83,11.83,3.01,5.61,64727,SECTOR_SKILLS_COUNCIL,2024-01-22
2017,FR,GR660,1_MANAGERS,17607,4.76,10.44,35.71,EDUCATION,85003,30849,16.57,11.53,3.81,11.82,2.6,15.76,98547,VACANCY_SCRAPE_AGGREGATE,2024-09-05
2018,IT,GR31,3_TECHNICIANS,82772,0.6,36.89,63.95,AGRI,14260,102547,10.48,31.64,5.95,23.27,0.69,11.62,1417,EURES_EXPORT,2025-03-16
2019,NL,FR119,5_SERVICE_SALES,79837,3.94,45.82,94.02,GREEN_ENERGY,119760,58112,13.5,18.22,49.14,17.57,0.47,20.41,52583,PUBLIC_EMPLOYMENT_SERVICE,2025-09-19
2020,SI,PL8,7_CRAFT,270784,0.83,35.54,109.83,HEALTH_CARE,162690,20838,9.74,14.23,4.77,10.12,8.4,20.53,40921,SECTOR_SKILLS_COUNCIL,2024-03-10
2021,BG,DK727,9_ELEMENTARY,254148,7.81,45.75,75.34,MANUFACTURING,27136,170128,9.22,8.9,6.52,17.02,9.57,9.31,51085,VACANCY_SCRAPE_AGGREGATE,2025-10-12
2022,EE,MT586,2_PROFESSIONALS,179205,7.27,26.37,55.16,LOGISTICS,60083,139994,6.33,25.0,14.6,30.39,2.82,18.24,144957,EURES_EXPORT,2024-11-24
2023,HU,BE530,4_CLERICAL,30987,0.61,15.29,48.04,FINANCE,133092,128340,14.96,11.75,19.52,5.13,2.73,8.54,32242,PUBLIC_EMPLOYMENT_SERVICE,2024-06-11
2024,LU,HR822,6_AGRI,893,0.66,10.65,25.44,PUBLIC_ADMIN,135273,180659,12.04,30.0,22.77,7.0,2.5,11.33,39851,SECTOR_SKILLS_COUNCIL,2024-02-14
2025,RO,ES72,8_PLANT_MACHINE,375305,5.71,50.94,20.82,ICT,268138,178006,5.78,28.77,16.96,30.6,10.17,31.09,13512,VACANCY_SCRAPE_AGGREGATE,2024-02-24
2006,AT,ES916,1_MANAGERS,59838,4.27,22.2,53.13,CONSTRUCTION,44810,68650,18.29,29.14,8.86,5.26,2.15,10.38,29519,EURES_EXPORT,2024-08-10
2007,CZ,BE325,3_TECHNICIANS,119613,2.88,34.84,72.67,HOSPITALITY,55862,116695,2.73,11.75,7.83,12.54,1.56,14.37,48769,PUBLIC_EMPLOYMENT_SERVICE,2024-04-12
2008,DE,MT647,5_SERVICE_SALES,70410,1.43,32.3,84.84,EDUCATION,193423,83986,10.88,27.58,8.11,14.6,1.84,8.81,121001,SECTOR_SKILLS_COUNCIL,2026-02-01
2009,LV,SI576,7_CRAFT,70798,2.66,36.29,47.85,AGRI,104499,32019,11.67,29.18,0.99,17.01,2.98,7.81,145943,VACANCY_SCRAPE_AGGREGATE,2025-12-23
2010,PL,HU1,9_ELEMENTARY,337167,8.27,66.05,17.4,GREEN_ENERGY,40985,11068,10.56,13.95,2.78,14.13,2.65,6.63,139102,EURES_EXPORT,2026-01-12
2011,ES,AT47,2_PROFESSIONALS,154826,6.74,12.7,11.74,HEALTH_CARE,306841,16450,13.8,28.97,1.88,13.99,2.23,16.94,78940,PUBLIC_EMPLOYMENT_SERVICE,2025-11-29
2012,HR,HR7,4_CLERICAL,111868,2.14,46.76,93.52,MANUFACTURING,143554,36310,5.26,9.54,9.65,6.97,2.64,17.94,6101,SECTOR_SKILLS_COUNCIL,2025-09-24
2013,FI,HR59,6_AGRI,74896,1.43,40.87,53.87,LOGISTICS,76546,45022,10.11,13.88,2.97,9.04,1.34,17.15,86857,VACANCY_SCRAPE_AGGREGATE,2024-11-24
2014,IE,LU355,8_PLANT_MACHINE,182219,5.8,18.13,76.77,FINANCE,145607,70737,2.66,23.94,5.72,13.65,3.71,9.0,53532,EURES_EXPORT,2024-03-03
2015,MT,GR189,1_MANAGERS,159427,2.26,46.5,20.54,PUBLIC_ADMIN,263289,81166,10.74,23.35,9.01,8.58,1.17,11.59,73753,PUBLIC_EMPLOYMENT_SERVICE,2024-03-28
2016,SK,CY531,3_TECHNICIANS,297927,9.67,26.89,17.19,ICT,237453,70549,8.82,20.9,11.53,38.84,2.55,15.72,267,SECTOR_SKILLS_COUNCIL,2025-01-28
2017,BE,BE24,5_SERVICE_SALES,131662,3.99,40.39,83.51,CONSTRUCTION,3000,98355,15.34,28.23,3.34,17.06,0.08,8.88,81343,VACANCY_SCRAPE_AGGREGATE,2025-07-08
2018,DK,ES89,7_CRAFT,100433,3.55,41.34,112.08,HOSPITALITY,219413,135406,12.25,26.17,5.04,13.28,3.74,0.75,21348,EURES_EXPORT,2024-07-16
2019,GR,PL447,9_ELEMENTARY,203994,1.79,22.61,57.89,EDUCATION,52647,63850,8.08,24.63,17.67,6.33,1.52,18.28,143140,PUBLIC_EMPLOYMENT_SERVICE,2024-06-28
2020,LT,PL7,2_PROFESSIONALS,23550,4.82,51.62,113.95,AGRI,97612,251572,6.78,17.82,20.66,2.43,5.01,14.17,93369,SECTOR_SKILLS_COUNCIL,2024-04-12
2021,PT,RO40,4_CLERICAL,114682,3.48,62.09,53.85,GREEN_ENERGY,196869,227462,13.91,12.88,12.55,30.17,8.06,28.06,87399,VACANCY_SCRAPE_AGGREGATE,2025-12-25
2022,SE,MT67,6_AGRI,342103,2.27,17.33,17.87,HEALTH_CARE,167943,81110,3.29,10.24,22.92,6.66,3.9,23.59,21765,EURES_EXPORT,2025-08-14
2023,CY,IE464,8_PLANT_MACHINE,64379,6.52,46.05,102.11,MANUFACTURING,198718,248542,15.18,23.0,13.98,12.17,4.89,20.76,107522,PUBLIC_EMPLOYMENT_SERVICE,2024-01-24
2024,FR,HR4,1_MANAGERS,275900,2.49,46.95,112.66,LOGISTICS,72355,11357,19.74,13.57,20.74,4.88,9.45,12.37,132167,SECTOR_SKILLS_COUNCIL,2024-05-04
2025,IT,SE8,3_TECHNICIANS,141575,4.03,33.42,24.78,FINANCE,98464,99805,4.07,12.82,1.73,8.22,18.03,6.19,13175,VACANCY_SCRAPE_AGGREGATE,2025-10-27
2006,NL,RO2,5_SERVICE_SALES,140745,5.02,11.25,40.5,PUBLIC_ADMIN,161381,34115,13.79,16.79,3.8,7.3,3.37,6.18,135767,EURES_EXPORT,2024-09-18
2007,SI,FI79,7_CRAFT,198658,9.36,31.64,92.78,ICT,149930,21758,4.8,28.32,7.13,5.25,5.0,7.38,205262,PUBLIC_EMPLOYMENT_SERVICE,2024-01-28
2008,BG,LT55,9_ELEMENTARY,12076,0.56,28.45,41.14,CONSTRUCTION,248456,87528,7.71,16.68,10.16,12.76,2.6,0.47,133276,SECTOR_SKILLS_COUNCIL,2025-03-21
2009,EE,MT1,2_PROFESSIONALS,104402,5.35,29.45,32.96,HOSPITALITY,65846,42109,12.03,11.24,9.22,18.18,1.15,11.74,65541,VACANCY_SCRAPE_AGGREGATE,2024-11-04
2010,HU,FR540,4_CLERICAL,79160,1.8,14.13,75.38,EDUCATION,164906,68976,17.08,10.78,11.16,11.86,2.52,3.14,132523,EURES_EXPORT,2024-07-29
2011,LU,GR254,6_AGRI,14557,4.34,30.15,67.08,AGRI,238107,105120,12.98,15.81,10.75,5.55,1.45,5.14,55152,PUBLIC_EMPLOYMENT_SERVICE,2024-03-05
2012,RO,HU887,8_PLANT_MACHINE,294655,4.13,12.88,40.02,GREEN_ENERGY,107404,3223,16.4,12.79,24.95,5.92,0.67,18.84,152191,SECTOR_SKILLS_COUNCIL,2024-12-22
2013,AT,ES554,1_MANAGERS,221056,4.2,67.7,88.86,HEALTH_CARE,259373,50591,17.58,28.14,9.99,16.5,1.73,31.49,138789,VACANCY_SCRAPE_AGGREGATE,2024-01-18
2014,CZ,FR3,3_TECHNICIANS,130048,6.6,58.12,21.03,MANUFACTURING,182566,8268,1.0,19.28,6.06,9.34,0.76,9.32,35459,EURES_EXPORT,2024-11-22
2015,DE,BE3,5_SERVICE_SALES,218505,6.2,59.05,80.8,LOGISTICS,32193,94342,10.19,9.59,1.24,2.51,3.56,13.36,167811,PUBLIC_EMPLOYMENT_SERVICE,2024-07-04
2016,LV,PT17,7_CRAFT,157622,1.27,17.89,47.63,FINANCE,229862,47219,3.07,19.64,6.33,22.24,5.97,13.06,27909,SECTOR_SKILLS_COUNCIL,2025-01-16
2017,PL,LU737,9_ELEMENTARY,238360,3.0,14.63,46.47,PUBLIC_ADMIN,83263,111072,1.68,18.24,1.92,21.31,1.46,9.1,105335,VACANCY_SCRAPE_AGGREGATE,2026-01-27
2018,ES,GR82,2_PROFESSIONALS,108584,4.35,68.97,80.48,ICT,215669,119912,16.38,33.53,9.12,39.03,2.7,20.1,72521,EURES_EXPORT,2025-08-12
2019,HR,PT64,4_CLERICAL,105059,7.58,49.34,79.07,CONSTRUCTION,146939,70334,5.78,10.23,17.62,7.35,3.24,2.12,23503,PUBLIC_EMPLOYMENT_SERVICE,2025-08-05
2020,FI,RO172,6_AGRI,184796,2.25,38.78,38.71,HOSPITALITY,62102,77774,6.97,26.86,15.51,15.52,3.51,14.54,48068,SECTOR_SKILLS_COUNCIL,2024-01-12
2021,IE,MT109,8_PLANT_MACHINE,800,2.78,47.32,69.79,EDUCATION,116459,250927,16.62,12.25,22.17,28.92,9.44,17.5,60211,VACANCY_SCRAPE_AGGREGATE,2026-01-30
2022,MT,SK286,1_MANAGERS,22809,5.86,29.01,43.63,AGRI,255759,67430,11.27,14.07,15.26,29.18,6.85,15.01,107936,EURES_EXPORT,2025-04-28
2023,SK,HU4,3_TECHNICIANS,263855,2.02,12.12,81.51,GREEN_ENERGY,216061,262173,14.09,14.6,11.76,9.04,4.98,19.06,30589,PUBLIC_EMPLOYMENT_SERVICE,2026-02-25
2024,BE,PL95,5_SERVICE_SALES,58681,4.39,19.12,20.78,HEALTH_CARE,53350,158234,13.89,23.22,19.41,22.93,6.16,7.23,16435,SECTOR_SKILLS_COUNCIL,2025-04-23
2025,DK,AT50,7_CRAFT,55678,8.32,47.95,54.34,MANUFACTURING,3278,273176,12.0,11.52,4.0,29.67,1.3,4.13,123562,VACANCY_SCRAPE_AGGREGATE,2025-10-02
2006,GR,IE89,9_ELEMENTARY,177128,5.92,31.06,60.91,LOGISTICS,181847,59466,12.24,24.79,2.13,2.86,0.8,1.82,63820,EURES_EXPORT,2026-02-05
2007,LT,ES7,2_PROFESSIONALS,105194,5.17,28.94,83.59,FINANCE,142580,7610,10.81,31.32,12.26,10.69,6.81,8.57,93761,PUBLIC_EMPLOYMENT_SERVICE,2024-07-15
2008,PT,LV59,4_CLERICAL,89946,4.07,36.49,31.45,PUBLIC_ADMIN,202948,24812,15.01,12.06,2.75,7.89,3.03,17.12,2349,SECTOR_SKILLS_COUNCIL,2024-03-14
2009,SE,FI948,6_AGRI,109887,6.83,67.05,57.64,ICT,18293,22868,13.98,32.47,2.91,21.86,0.76,13.54,104899,VACANCY_SCRAPE_AGGREGATE,2025-03-04
2010,CY,BG78,8_PLANT_MACHINE,81480,2.66,10.8,74.53,CONSTRUCTION,219737,45829,5.77,27.28,11.98,4.69,2.47,0.59,76059,EURES_EXPORT,2025-05-20
2011,FR,HU465,1_MANAGERS,19327,5.24,19.19,85.25,HOSPITALITY,190728,66278,13.97,17.77,2.15,5.23,1.67,12.84,91417,PUBLIC_EMPLOYMENT_SERVICE,2024-11-22
2012,IT,SK551,3_TECHNICIANS,148371,2.98,46.35,65.88,EDUCATION,13680,73427,8.08,11.18,4.08,2.7,0.31,2.06,65657,SECTOR_SKILLS_COUNCIL,2024-02-05
2013,NL,NL188,5_SERVICE_SALES,20445,4.76,56.19,67.92,AGRI,198052,101805,1.93,16.67,9.15,2.77,2.5,14.33,122784,VACANCY_SCRAPE_AGGREGATE,2026-02-05
2014,SI,FR36,7_CRAFT,100063,8.37,52.97,55.57,GREEN_ENERGY,76765,28273,16.33,35.66,5.26,6.76,0.2,27.96,51129,EURES_EXPORT,2025-11-29
2015,BG,ES6,9_ELEMENTARY,216114,8.69,55.41,31.23,HEALTH_CARE,277942,45872,12.58,31.96,12.12,15.84,0.09,1.29,109763,PUBLIC_EMPLOYMENT_SERVICE,2024-07-01
2016,EE,AT431,2_PROFESSIONALS,68303,3.51,35.14,105.81,MANUFACTURING,137941,99297,8.3,16.44,10.54,11.92,3.33,6.55,1944,SECTOR_SKILLS_COUNCIL,2024-07-18
2017,HU,EE34,4_CLERICAL,41621,0.69,30.27,64.09,LOGISTICS,193572,72449,16.72,18.59,8.28,12.85,2.87,3.27,122131,VACANCY_SCRAPE_AGGREGATE,2025-09-30
2018,LU,ES4,6_AGRI,146818,1.11,32.45,80.19,FINANCE,122834,8659,11.23,17.88,1.61,9.98,2.69,10.1,119447,EURES_EXPORT,2024-05-09
2019,RO,NL618,8_PLANT_MACHINE,178163,4.43,38.42,28.69,PUBLIC_ADMIN,232020,60332,14.03,29.37,1.33,22.82,2.66,3.66,59356,PUBLIC_EMPLOYMENT_SERVICE,2024-06-12
2020,AT,NL10,1_MANAGERS,26590,7.51,67.67,122.85,ICT,317984,151752,15.9,16.8,11.56,48.03,14.05,15.58,28475,SECTOR_SKILLS_COUNCIL,2024-04-22
2021,CZ,BG365,3_TECHNICIANS,321798,6.5,50.72,54.08,CONSTRUCTION,52447,206497,3.14,9.48,12.11,9.18,3.64,0.66,100292,VACANCY_SCRAPE_AGGREGATE,2025-05-23
2022,DE,IT21,5_SERVICE_SALES,56859,3.36,36.13,54.62,HOSPITALITY,250136,223875,7.17,23.05,15.17,14.28,1.97,16.84,18669,EURES_EXPORT,2024-07-09
2023,LV,BG56,7_CRAFT,103283,4.31,44.78,84.36,EDUCATION,100930,99574,9.29,14.84,14.12,20.39,3.45,5.63,140335,PUBLIC_EMPLOYMENT_SERVICE,2025-02-26
2024,PL,DK458,9_ELEMENTARY,82644,4.83,50.01,28.49,AGRI,214118,259694,2.2,9.35,19.45,16.57,7.74,19.39,77554,SECTOR_SKILLS_COUNCIL,2025-11-29
2025,ES,SI387,2_PROFESSIONALS,448104,6.98,70.74,50.12,GREEN_ENERGY,215962,300616,16.5,22.34,27.03,11.14,2.33,5.55,68794,VACANCY_SCRAPE_AGGREGATE,2024-11-21
2006,HR,FR28,4_CLERICAL,659,4.53,21.49,75.52,HEALTH_CARE,147674,70964,5.95,17.97,9.58,8.04,2.15,27.63,12736,EURES_EXPORT,2024-10-16
2007,FI,CY4,6_AGRI,119242,3.92,53.9,112.68,MANUFACTURING,7331,34478,16.4,31.35,6.74,14.04,1.92,10.67,61180,PUBLIC_EMPLOYMENT_SERVICE,2025-10-28
2008,IE,LT39,8_PLANT_MACHINE,23972,1.09,33.75,23.33,LOGISTICS,31096,98748,12.69,18.25,1.61,6.93,0.21,11.8,95440,SECTOR_SKILLS_COUNCIL,2026-02-05
2009,MT,GR185,1_MANAGERS,193425,2.8,32.46,70.25,FINANCE,28539,96312,9.21,19.27,8.57,11.27,1.35,3.94,79373,VACANCY_SCRAPE_AGGREGATE,2024-12-14
2010,SK,FI14,3_TECHNICIANS,140976,2.05,18.33,70.2,PUBLIC_ADMIN,265439,517,13.05,10.59,1.45,17.69,2.75,18.75,78776,EURES_EXPORT,2025-08-26
2011,BE,LV729,5_SERVICE_SALES,299408,1.35,30.39,16.77,ICT,251193,50495,6.67,33.22,9.98,7.36,5.12,2.76,200413,PUBLIC_EMPLOYMENT_SERVICE,2024-10-31
2012,DK,LT38,7_CRAFT,94100,4.83,49.74,78.25,CONSTRUCTION,96053,46731,18.04,31.04,6.61,3.41,0.22,8.23,12008,SECTOR_SKILLS_COUNCIL,2025-08-16
2013,GR,FI388,9_ELEMENTARY,124321,2.71,49.44,60.32,HOSPITALITY,242176,75023,4.4,22.57,9.98,2.13,0.82,10.92,23295,VACANCY_SCRAPE_AGGREGATE,2024-12-28
2014,LT,PT23,2_PROFESSIONALS,182939,5.68,56.03,56.53,EDUCATION,54649,124546,13.4,26.6,0.86,2.79,1.18,10.72,75086,EURES_EXPORT,2024-01-04
2015,PT,SI142,4_CLERICAL,157187,3.85,48.36,60.79,AGRI,156198,43360,6.89,18.79,2.8,13.41,0.89,13.31,117369,PUBLIC_EMPLOYMENT_SERVICE,2024-01-27
2016,SE,DE7,6_AGRI,53256,4.17,23.62,30.6,GREEN_ENERGY,52128,64710,2.46,32.78,14.38,13.8,1.81,16.31,121544,SECTOR_SKILLS_COUNCIL,2024-10-09
2017,CY,PT740,8_PLANT_MACHINE,149284,7.74,13.83,43.0,HEALTH_CARE,21040,121682,8.66,24.87,12.74,13.96,0.64,6.8,140858,VACANCY_SCRAPE_AGGREGATE,2026-02-06
2018,FR,ES3,1_MANAGERS,246163,2.08,37.74,86.59,MANUFACTURING,179693,35215,5.3,11.8,5.36,17.43,3.78,2.97,93093,EURES_EXPORT,2025-10-27
2019,IT,FR37,3_TECHNICIANS,90632,1.1,47.05,38.15,LOGISTICS,11155,82321,12.68,20.81,13.17,14.26,1.6,4.65,201416,PUBLIC_EMPLOYMENT_SERVICE,2024-01-02
2020,NL,EE7,5_SERVICE_SALES,7040,3.91,43.52,103.96,FINANCE,223456,108319,13.36,30.38,14.18,18.96,15.2,1.38,75332,SECTOR_SKILLS_COUNCIL,2026-02-06
2021,SI,BG9,7_CRAFT,103063,4.65,15.21,82.58,PUBLIC_ADMIN,237479,66953,16.3,27.53,23.35,10.25,8.7,7.83,94853,VACANCY_SCRAPE_AGGREGATE,2025-10-07
2022,BG,CY881,9_ELEMENTARY,112486,12.04,70.15,120.06,ICT,77308,122604,3.43,25.68,21.94,15.06,13.22,13.38,7183,EURES_EXPORT,2024-02-19
2023,EE,PL289,2_PROFESSIONALS,68348,6.54,14.28,38.56,CONSTRUCTION,244055,74312,5.11,15.63,18.5,21.77,8.94,10.31,129250,PUBLIC_EMPLOYMENT_SERVICE,2025-02-19
2024,HU,BG697,4_CLERICAL,81407,7.17,24.78,47.4,HOSPITALITY,186506,16832,0.96,24.27,15.01,26.8,2.43,16.03,98822,SECTOR_SKILLS_COUNCIL,2024-11-26
2025,LU,LU647,6_AGRI,61983,2.97,27.74,73.49,EDUCATION,206033,60633,9.08,9.65,16.73,2.49,5.62,13.43,92704,VACANCY_SCRAPE_AGGREGATE,2024-12-22
2006,RO,BG76,8_PLANT_MACHINE,93132,2.77,24.51,66.94,AGRI,191878,65600,16.75,24.29,6.62,3.0,1.85,0.26,150850,EURES_EXPORT,2024-12-05
2007,AT,CZ560,1_MANAGERS,78433,8.65,56.28,102.71,GREEN_ENERGY,175241,60912,15.84,25.5,8.43,14.16,0.94,23.97,28170,PUBLIC_EMPLOYMENT_SERVICE,2025-07-13
2008,CZ,CY29,3_TECHNICIANS,165886,7.74,42.77,37.38,HEALTH_CARE,219610,2094,9.42,15.11,2.28,5.35,2.78,16.98,157299,SECTOR_SKILLS_COUNCIL,2025-03-30
2009,DE,MT727,5_SERVICE_SALES,210405,6.95,53.92,82.71,MANUFACTURING,143274,36189,8.02,21.24,6.67,19.25,0.64,11.42,63503,VACANCY_SCRAPE_AGGREGATE,2026-01-27
2010,LV,GR32,7_CRAFT,77569,4.58,54.81,30.09,LOGISTICS,31478,129006,5.09,17.05,12.66,16.13,3.68,19.83,173931,EURES_EXPORT,2025-04-15
2011,PL,DK195,9_ELEMENTARY,164832,3.58,41.67,84.05,FINANCE,29875,84308,15.73,14.37,9.01,14.02,6.05,3.53,18152,PUBLIC_EMPLOYMENT_SERVICE,2025-11-06
2012,ES,HR872,2_PROFESSIONALS,204870,2.19,24.51,56.05,PUBLIC_ADMIN,34789,31744,1.13,10.98,3.78,11.76,0.32,12.16,52116,SECTOR_SKILLS_COUNCIL,2024-03-22
2013,HR,RO76,4_CLERICAL,186886,3.09,60.33,108.59,ICT,304699,33701,1.8,10.67,8.43,3.0,0.86,18.05,94015,VACANCY_SCRAPE_AGGREGATE,2025-04-02
2014,FI,HR286,6_AGRI,38701,3.42,35.32,54.82,CONSTRUCTION,266487,57008,5.23,24.2,6.34,4.95,2.35,14.99,146529,EURES_EXPORT,2024-01-19
2015,IE,PT601,8_PLANT_MACHINE,27269,3.33,20.04,34.72,HOSPITALITY,4333,111290,13.82,17.67,12.14,16.38,2.77,4.94,123624,PUBLIC_EMPLOYMENT_SERVICE,2025-07-19
2016,MT,ES706,1_MANAGERS,82254,1.68,10.02,58.73,EDUCATION,108332,121410,16.51,21.08,4.46,23.87,2.01,6.27,22172,SECTOR_SKILLS_COUNCIL,2025-03-05
2017,SK,BG815,3_TECHNICIANS,4996,1.0,23.21,47.55,AGRI,3253,26428,16.14,23.51,3.95,5.53,3.31,15.64,107329,VACANCY_SCRAPE_AGGREGATE,2025-12-07
2018,BE,LU30,5_SERVICE_SALES,142667,7.73,65.71,115.65,GREEN_ENERGY,219226,94784,6.11,34.22,18.95,16.47,1.83,3.08,80342,EURES_EXPORT,2025-07-25
2019,DK,BG75,7_CRAFT,211976,1.21,31.05,42.95,HEALTH_CARE,347660,58305,8.99,22.09,11.93,7.88,0.41,8.18,176087,PUBLIC_EMPLOYMENT_SERVICE,2024-11-10
2020,GR,DE8,9_ELEMENTARY,64451,2.06,28.01,12.09,MANUFACTURING,136358,276657,11.65,29.66,4.56,27.4,0.38,16.08,101755,SECTOR_SKILLS_COUNCIL,2024-08-05
