tech_skills_reference_year,tech_skills_country_iso2,tech_skills_region_nuts_code,tech_skills_age_group,tech_skills_sex,tech_skills_basic_digital_skills_pct,tech_skills_above_basic_digital_skills_pct,tech_skills_ict_specialists_pct_employment,tech_skills_ict_graduates_per_1k,tech_skills_advanced_programming_skills_pct,tech_skills_ai_skills_training_participants,tech_skills_cybersecurity_skills_pct,tech_skills_remote_work_prevalence_pct,tech_skills_digital_public_services_usage_pct,tech_skills_enterprise_cloud_adoption_pct,tech_skills_enterprise_bigdata_adoption_pct,tech_skills_gender_gap_ict_specialists_pp,tech_skills_desi_component_score,tech_skills_survey_weight,tech_skills_data_extract_date
2018,SI,DE535,25-34,F,72.11,33.56,2.211,5.019,27.39,817,12.35,43.53,25.66,53.14,33.55,-0.4,75.73,0.4851,2024-09-24
2019,AT,FR95,16-24,M,85.46,53.79,4.002,6.527,23.73,844,8.64,44.0,14.32,47.8,50.56,-0.99,71.86,1.8565,2024-06-25
2020,HR,BE1,65-74,T,83.99,57.53,9.087,2.309,21.29,870,18.29,13.5,35.5,43.68,51.78,2.13,57.59,2.8157,2024-05-15
2021,DK,DK45,55-64,F,90.68,49.1,4.8,7.19,19.58,908,20.49,18.51,78.01,58.54,46.51,-0.7,74.1,3.6643,2025-04-24
2022,FR,LU9,45-54,M,42.49,17.19,7.309,8.001,20.82,705,16.57,17.04,86.56,31.19,40.98,-1.05,86.38,1.2743,2025-08-07
2023,HU,RO147,35-44,T,45.95,25.09,4.527,5.091,9.96,658,20.31,14.6,62.67,28.16,40.97,2.01,23.28,3.2984,2026-01-23
2024,LV,AT86,25-34,F,66.11,48.43,4.454,5.424,27.09,763,13.25,42.4,21.15,73.43,23.79,0.14,21.96,3.5802,2025-10-21
2025,MT,AT5,16-24,M,25.97,17.79,2.148,6.827,13.91,872,15.38,27.39,90.34,67.82,33.02,3.73,85.94,1.0729,2024-07-02
2026,PT,EE761,65-74,T,70.95,39.43,2.712,2.115,23.75,785,7.87,35.98,12.94,56.51,48.75,8.15,39.8,2.2998,2024-02-20
2014,SI,LU33,55-64,F,86.73,66.21,0.81,5.592,14.3,648,12.6,5.45,80.29,50.7,7.25,1.92,45.47,1.6648,2026-02-15
2015,AT,HR48,45-54,M,25.69,15.25,8.31,7.062,18.03,575,17.62,16.74,77.12,18.13,51.46,2.25,63.31,1.6429,2025-09-10
2016,HR,SE58,35-44,T,75.53,48.03,3.903,6.524,11.6,730,19.09,11.4,17.93,37.44,30.48,1.17,67.86,1.5524,2025-02-12
2017,DK,RO473,25-34,F,32.37,19.82,4.805,4.506,1.85,1095,8.41,11.72,80.63,52.26,29.41,4.19,50.31,1.2027,2024-10-16
2018,FR,MT40,16-24,M,69.75,30.22,2.985,4.942,12.47,1028,21.12,13.9,34.09,33.17,43.92,2.89,46.37,0.3358,2024-04-29
2019,HU,PL7,65-74,T,91.87,54.33,0.9,3.392,4.16,1101,4.39,43.83,49.99,24.37,32.15,0.52,27.0,3.2032,2025-05-07
2020,LV,SE74,55-64,F,90.45,66.51,2.64,7.183,3.06,694,21.31,17.1,17.62,49.41,27.56,0.17,46.25,3.6824,2024-05-10
2021,MT,SE31,45-54,M,81.44,35.29,9.386,6.395,27.43,991,11.47,4.49,69.19,20.0,6.88,-2.23,68.75,1.3112,2025-01-30
2022,PT,GR3,35-44,T,60.24,25.35,5.811,8.395,8.58,602,20.06,8.59,58.63,56.96,4.43,7.07,73.31,1.0262,2024-12-18
2023,SI,SI9,25-34,F,29.73,21.85,3.335,0.424,19.38,682,5.74,43.53,26.13,55.83,19.41,8.59,29.61,1.0883,2024-05-18
2024,AT,LT1,16-24,M,33.16,13.24,5.247,6.697,3.52,557,9.54,15.8,57.35,10.15,11.43,9.29,62.68,3.5002,2024-10-19
2025,HR,HR937,65-74,T,39.57,15.2,1.006,1.167,4.14,546,2.57,8.54,54.49,57.93,13.91,7.47,52.6,2.6865,2024-03-31
2026,DK,DK3,55-64,F,69.81,35.26,2.773,0.598,27.57,655,17.83,41.74,47.31,58.91,37.38,5.28,46.6,1.2253,2025-10-09
2014,FR,SE153,45-54,M,47.46,19.66,3.797,4.543,12.78,792,13.53,34.99,13.59,34.52,5.82,8.8,44.13,2.8942,2025-12-12
2015,HU,ES35,35-44,T,62.39,49.69,1.383,4.038,17.86,726,21.71,13.43,21.02,36.98,37.5,-1.43,59.88,1.3829,2024-04-23
2016,LV,LV137,25-34,F,44.51,26.29,9.112,3.454,18.0,1060,11.98,21.72,51.97,27.55,49.53,-2.68,69.77,2.2197,2024-01-12
2017,MT,SE494,16-24,M,36.85,13.04,1.315,6.41,13.57,635,5.44,4.88,88.63,52.47,5.92,-0.78,70.38,3.0468,2025-07-13
2018,PT,ES401,65-74,T,31.37,23.12,4.744,2.469,2.17,735,19.35,38.03,85.61,13.44,22.02,-2.05,74.5,3.4592,2025-02-16
2019,SI,LT94,55-64,F,28.02,11.86,5.419,0.882,19.32,1011,12.51,36.86,85.41,32.92,5.37,3.09,58.41,2.4502,2025-05-17
2020,AT,HU462,45-54,M,90.51,35.01,2.126,7.417,9.39,980,3.39,25.42,69.93,10.46,8.92,7.58,53.18,3.3941,2025-05-22
2021,HR,AT8,35-44,T,25.1,13.8,3.049,1.991,21.11,941,15.54,36.3,86.7,45.13,36.97,-1.25,51.53,2.4389,2026-01-29
2022,DK,RO39,25-34,F,29.31,19.02,3.046,0.531,1.87,1032,6.07,38.1,16.14,73.21,46.6,5.03,40.56,2.2018,2025-12-06
2023,FR,SE3,16-24,M,34.3,22.62,6.283,4.017,17.93,615,13.35,40.44,40.85,68.78,28.33,5.01,73.87,0.8917,2025-04-26
2024,HU,SE940,65-74,T,26.88,10.65,9.461,4.079,16.2,1100,17.26,38.51,38.66,47.73,31.91,-1.99,18.86,0.8471,2024-09-29
2025,LV,CZ897,55-64,F,83.37,32.22,5.066,0.425,21.52,1042,3.98,42.17,47.8,21.12,15.52,5.43,29.14,1.3037,2025-01-22
2026,MT,IE311,45-54,M,82.7,50.06,2.561,2.554,21.16,695,7.54,36.75,14.84,31.92,20.27,0.47,83.15,1.5181,2025-03-16
2014,PT,AT2,35-44,T,38.54,15.13,3.737,4.011,18.1,675,4.31,6.17,70.3,27.27,42.93,-0.52,56.16,2.1864,2025-09-06
2015,SI,EE16,25-34,F,46.72,36.47,6.491,8.264,13.26,1009,3.56,27.14,88.33,21.61,21.61,5.38,49.56,2.5021,2025-08-28
2016,AT,RO1,16-24,M,91.47,55.96,9.376,8.169,26.02,729,5.98,43.32,71.55,70.07,51.73,-3.02,43.44,1.0146,2024-02-28
2017,HR,IE29,65-74,T,48.68,20.36,4.755,2.425,11.88,1044,21.86,43.28,74.54,55.59,29.04,-3.34,57.41,1.7711,2025-01-16
2018,DK,FI79,55-64,F,61.44,30.78,6.74,5.974,14.54,569,12.52,31.01,76.94,66.86,34.29,-3.05,59.75,2.6211,2026-02-23
2019,FR,LT3,45-54,M,77.7,47.4,9.335,5.453,19.04,672,16.58,24.93,55.35,76.42,38.99,4.25,82.9,1.7393,2024-11-03
2020,HU,AT613,35-44,T,78.11,54.73,8.98,8.11,4.02,886,14.45,4.62,42.8,69.66,39.88,8.5,72.61,0.4244,2025-09-04
2021,LV,IT772,25-34,F,51.3,37.88,5.604,1.942,8.56,859,7.18,24.63,12.13,18.87,35.22,6.22,48.26,1.3513,2025-03-16
2022,MT,PL488,16-24,M,29.75,19.67,2.443,3.078,15.33,690,7.9,3.4,54.82,30.15,21.2,0.72,57.41,0.9388,2024-08-20
2023,PT,SK62,65-74,T,60.99,49.97,7.863,5.361,13.82,1130,11.23,25.31,17.21,22.28,18.56,5.54,40.0,3.2271,2025-04-12
2024,SI,ES287,55-64,F,39.4,24.84,5.559,3.532,24.6,840,8.12,7.55,54.58,29.73,43.89,9.44,80.9,1.0016,2025-12-18
2025,AT,HR45,45-54,M,39.85,15.82,8.52,5.293,27.95,1114,6.36,26.42,25.62,31.39,10.79,3.91,41.39,3.0078,2025-09-01
2026,HR,IE27,35-44,T,41.85,15.85,3.914,1.086,20.24,696,9.17,5.32,88.55,58.82,41.15,1.37,77.59,3.1852,2025-07-10
2014,DK,HR21,25-34,F,73.89,47.88,4.405,6.574,8.87,686,17.57,40.96,82.08,23.5,14.01,6.85,51.99,2.9877,2025-07-01
2015,FR,SK71,16-24,M,77.87,36.56,4.447,6.645,3.69,623,8.05,19.45,89.66,66.03,26.85,-1.83,78.99,0.6415,2025-08-21
2016,HU,DK56,65-74,T,75.16,32.12,8.342,5.842,5.21,1146,10.93,21.82,76.24,27.72,33.25,3.61,48.65,0.3931,2024-02-13
2017,LV,SI741,55-64,F,47.27,32.11,2.701,6.972,20.3,1040,21.14,29.06,78.07,32.56,13.87,8.06,59.94,0.4396,2025-08-27
2018,MT,RO590,45-54,M,44.15,19.25,1.718,4.564,14.35,682,7.72,25.62,51.78,64.86,12.06,8.2,38.97,3.6848,2024-05-29
2019,PT,HU9,35-44,T,49.08,17.98,7.96,6.681,5.25,1160,12.18,45.81,87.53,58.06,4.01,8.4,38.59,3.4948,2025-10-20
2020,SI,SK97,25-34,F,75.47,27.37,4.042,4.273,10.92,941,3.82,43.84,34.75,18.34,4.78,2.54,26.43,3.4348,2025-03-09
2021,AT,HR215,16-24,M,65.31,37.04,4.685,5.405,25.25,861,8.04,11.6,22.71,22.22,35.23,-2.24,60.87,2.6934,2025-07-28
2022,HR,IT792,65-74,T,75.42,29.17,3.668,2.401,4.86,906,8.68,18.59,87.14,71.85,49.2,1.08,42.1,3.482,2025-09-16
2023,DK,LU885,55-64,F,48.55,34.66,6.565,7.365,9.92,575,19.09,45.31,76.75,15.41,28.89,-2.46,32.42,1.9252,2025-11-04
2024,FR,RO505,45-54,M,50.61,32.71,4.803,4.705,26.51,913,21.86,39.32,80.43,71.39,10.24,-2.78,83.93,3.6328,2025-06-11
2025,HU,PT36,35-44,T,58.02,46.5,6.875,0.764,27.48,774,9.14,32.86,54.8,55.23,6.04,1.83,61.17,1.1651,2025-01-21
2026,LV,IE9,25-34,F,51.86,28.37,6.025,3.723,13.95,726,10.88,25.98,58.92,76.17,15.25,4.81,67.74,0.7606,2024-07-17
2014,MT,ES303,16-24,M,68.58,29.69,2.182,8.007,1.66,995,20.7,10.15,81.69,65.82,19.93,-3.17,43.1,2.224,2025-07-11
2015,PT,AT995,65-74,T,77.83,32.75,0.815,8.177,11.85,824,8.09,43.61,51.35,67.3,38.69,3.44,53.06,3.6812,2025-07-08
2016,SI,AT305,55-64,F,30.99,25.4,8.953,0.866,25.16,1163,2.84,21.01,54.65,64.04,38.6,-0.87,71.12,2.7057,2025-01-14
2017,AT,BE62,45-54,M,79.3,54.73,3.499,2.64,11.41,781,12.11,39.15,85.17,58.68,33.67,-0.37,73.59,3.3637,2025-01-11
2018,HR,ES884,35-44,T,80.34,63.61,9.259,5.016,15.5,672,13.08,33.97,33.93,30.36,34.51,1.42,63.1,0.9123,2025-12-28
2019,DK,RO5,25-34,F,43.16,25.05,7.857,7.762,3.89,813,13.22,35.41,78.02,41.39,33.61,1.57,61.72,3.3104,2025-11-28
2020,FR,DK1,16-24,M,91.98,76.31,1.612,4.987,17.93,1019,14.31,31.51,33.7,46.69,36.16,7.97,50.25,0.9692,2024-01-12
2021,HU,FR63,65-74,T,65.18,35.56,2.332,5.028,19.6,604,6.88,14.32,32.8,64.29,3.82,3.11,76.93,1.0515,2026-02-02
2022,LV,PL60,55-64,F,51.65,23.71,7.767,0.677,26.41,1122,17.0,36.8,37.21,46.7,11.31,6.28,56.34,2.2015,2025-08-22
2023,MT,DE47,45-54,M,84.34,38.12,5.992,4.719,8.89,673,8.66,30.74,89.83,59.58,9.27,0.74,31.69,2.8288,2025-01-11
2024,PT,HU813,35-44,T,48.16,35.71,4.746,6.22,17.33,715,8.65,15.52,69.14,46.88,26.88,3.49,32.15,3.6934,2025-07-12
2025,SI,CZ9,25-34,F,86.98,54.87,7.667,6.879,9.41,783,11.99,4.53,13.45,36.33,31.22,0.62,63.93,3.0931,2024-04-28
2026,AT,EE42,16-24,M,37.34,24.56,4.51,5.836,17.67,961,19.81,20.25,52.41,24.26,33.6,-2.98,18.5,0.6989,2025-09-27
2014,HR,GR679,65-74,T,74.07,40.39,6.311,4.954,24.4,718,10.55,18.29,71.89,45.49,11.75,8.5,58.11,1.0623,2025-05-03
2015,DK,IT2,55-64,F,88.97,31.55,7.988,3.284,3.74,664,9.28,20.84,36.34,22.45,28.23,4.82,75.73,1.4149,2024-06-30
2016,FR,HR611,45-54,M,50.15,38.43,5.098,5.351,14.58,944,9.36,18.02,87.41,47.34,12.06,-1.09,74.04,1.9094,2025-12-13
2017,HU,SK41,35-44,T,91.52,41.84,4.846,4.755,9.15,917,14.5,12.76,45.26,40.71,13.44,3.0,34.02,1.7252,2024-03-05
2018,LV,ES68,25-34,F,70.14,42.51,6.83,6.079,7.05,814,13.7,20.76,57.38,46.09,16.69,-0.3,25.71,3.1347,2025-08-19
2019,MT,CY93,16-24,M,68.47,31.18,5.451,4.214,12.33,885,21.12,37.73,38.23,61.61,43.82,9.2,49.4,1.9373,2026-01-27
2020,PT,IE981,65-74,T,48.2,18.24,5.908,5.936,23.91,842,20.77,17.46,88.96,29.0,47.59,4.32,31.98,1.3026,2025-03-26
2021,SI,ES5,55-64,F,32.32,12.93,5.054,1.304,4.7,989,2.03,13.87,43.32,14.46,8.92,6.07,68.74,1.6095,2025-03-13
2022,AT,SI978,45-54,M,60.2,47.14,7.508,5.702,27.07,614,21.22,42.12,43.81,60.44,17.79,-1.04,41.44,3.0803,2026-02-09
2023,HR,BG8,35-44,T,85.24,33.92,2.407,6.343,4.24,732,6.42,13.35,80.33,20.39,15.55,0.17,44.15,1.1747,2025-12-08
2024,DK,ES3,25-34,F,26.22,19.5,4.342,1.712,10.13,1180,5.87,9.92,75.53,23.52,47.52,3.34,60.77,2.4946,2025-08-11
2025,FR,IT18,16-24,M,77.21,43.17,2.34,3.684,23.99,896,18.21,39.54,26.3,52.1,3.19,8.9,55.79,3.6729,2025-04-18
2026,HU,FR90,65-74,T,57.74,31.15,5.614,0.712,1.95,731,16.94,12.82,45.24,33.55,20.29,2.07,85.24,2.493,2024-05-19
2014,LV,DE396,55-64,F,61.62,23.0,7.517,7.717,27.76,755,6.04,42.55,86.85,13.97,40.79,4.34,77.04,0.8093,2025-01-25
2015,MT,HR1,45-54,M,29.65,22.94,7.696,2.556,22.3,823,19.67,31.56,26.81,43.75,18.89,2.24,24.87,0.7086,2025-02-11
2016,PT,IT384,35-44,T,82.1,34.94,5.474,6.507,18.04,803,18.39,35.13,32.76,33.9,10.82,6.28,48.66,3.4474,2025-06-01
2017,SI,HR957,25-34,F,77.68,30.29,2.126,6.792,19.83,681,4.39,37.58,75.45,12.61,27.67,-2.31,35.29,3.709,2024-04-12
2018,AT,BE537,16-24,M,76.77,34.76,1.129,0.415,11.61,878,19.15,6.38,47.0,40.31,7.03,-2.54,21.43,0.6144,2024-10-29
2019,HR,CZ52,65-74,T,54.08,39.25,1.731,3.301,9.47,757,14.19,37.28,34.77,69.36,28.31,1.94,44.83,3.4929,2024-05-16
2020,DK,LV334,55-64,F,62.16,48.76,7.668,1.297,26.11,899,9.98,45.7,19.19,44.45,35.06,3.1,80.57,0.3286,2025-08-30
2021,FR,GR46,45-54,M,90.65,72.72,3.776,4.91,12.94,847,16.74,34.95,71.11,27.72,5.58,5.39,56.3,3.3933,2025-01-06
2022,HU,FR85,35-44,T,32.42,20.52,2.413,2.45,16.81,898,11.38,41.38,87.82,34.32,46.1,-2.89,72.11,3.0399,2024-03-18
2023,LV,FI756,25-34,F,77.96,54.17,0.923,1.255,11.88,1063,3.62,7.56,22.08,53.07,18.61,0.08,66.14,0.9397,2025-06-03
2024,MT,LV3,16-24,M,64.96,25.72,1.703,7.82,21.17,877,21.58,14.75,37.65,72.85,41.14,0.22,61.08,1.5742,2024-04-23
2025,PT,LU852,65-74,T,33.66,27.44,8.278,2.406,25.19,883,16.44,32.51,20.09,52.98,47.41,5.34,19.75,2.9878,2025-07-23
2026,SI,BE648,55-64,F,70.49,40.67,8.962,5.472,2.55,1005,15.27,30.31,13.18,36.82,30.46,2.24,85.13,3.5448,2026-02-21
2014,AT,SI5,45-54,M,34.74,17.53,3.278,6.763,8.12,848,12.71,3.21,18.66,10.07,25.26,7.54,80.98,3.4553,2025-09-11
2015,HR,EE656,35-44,T,87.35,41.66,1.797,1.444,14.25,954,9.09,11.6,50.61,62.16,23.78,-2.09,28.8,0.3435,2025-06-13
2016,DK,IE52,25-34,F,85.66,30.11,1.185,6.288,21.04,1124,14.36,37.47,30.89,35.51,7.48,4.64,44.15,2.6029,2024-10-28
2017,FR,PT66,16-24,M,48.8,36.39,3.018,7.479,24.48,630,21.99,13.33,38.32,30.39,33.77,-2.27,28.21,1.9258,2024-01-11
2018,HU,ES186,65-74,T,74.52,55.95,8.402,8.345,12.61,1056,2.42,45.13,47.73,52.65,40.57,1.48,54.27,2.0607,2026-01-13
2019,LV,SE850,55-64,F,71.96,34.12,6.633,5.101,24.74,816,2.14,30.76,52.31,65.01,27.25,0.63,60.42,3.6017,2026-01-12
2020,MT,GR908,45-54,M,77.69,45.19,2.131,4.49,12.17,691,5.82,20.76,47.29,62.41,22.67,5.98,30.15,3.4465,2025-10-24
2021,PT,LT871,35-44,T,49.9,38.34,4.279,8.333,22.66,1097,18.1,15.78,28.24,63.62,5.21,-0.05,71.93,3.4382,2024-06-10
2022,SI,FI96,25-34,F,84.62,41.46,9.389,8.175,20.78,815,16.57,22.79,66.12,18.5,35.9,-1.8,34.35,3.156,2026-01-07
2023,AT,BG69,16-24,M,57.61,23.08,5.293,7.874,12.57,1128,14.07,33.75,31.34,71.53,25.28,7.31,46.7,3.088,2024-12-14
2024,HR,ES504,65-74,T,70.03,34.34,8.822,4.145,11.11,1071,19.2,14.57,56.12,75.71,19.46,9.02,49.98,3.527,2025-05-31
2025,DK,FI25,55-64,F,78.29,29.02,6.339,4.711,19.07,1117,3.14,22.47,65.44,72.68,31.3,3.84,57.31,1.5304,2024-02-22
2026,FR,CZ817,45-54,M,65.17,25.51,1.402,2.231,6.27,644,14.39,21.71,50.37,48.13,43.66,3.84,30.79,2.3915,2024-04-12
2014,HU,HR54,35-44,T,88.3,45.42,7.512,0.416,26.57,833,8.56,15.34,35.22,66.05,39.64,8.77,52.39,3.7393,2024-05-14
2015,LV,ES6,25-34,F,87.86,48.96,4.037,1.963,11.87,1011,9.76,42.03,63.48,44.0,12.89,5.63,29.31,1.2387,2024-11-08
2016,MT,PT44,16-24,M,71.95,51.5,6.192,7.486,9.56,823,13.51,31.09,24.45,30.81,44.25,7.05,35.17,1.8001,2025-05-18
2017,PT,PT4,65-74,T,67.52,40.58,5.876,7.708,6.74,871,3.32,8.51,55.59,36.73,44.77,4.91,79.35,1.512,2025-11-06
2018,SI,LU638,55-64,F,26.98,19.45,2.513,4.685,6.26,1089,21.16,35.99,78.15,24.73,23.28,8.31,65.69,3.3383,2025-10-06
2019,AT,FI70,45-54,M,36.91,14.0,3.365,1.718,8.24,932,2.34,30.51,33.02,65.5,24.65,6.97,67.7,1.2963,2024-01-20
2020,HR,CY85,35-44,T,51.43,25.8,7.756,4.959,27.58,1018,16.68,21.12,62.13,43.86,49.44,5.6,76.16,1.3519,2024-02-04
2021,DK,CZ54,25-34,F,64.64,39.28,5.233,3.458,9.24,747,13.96,9.21,50.4,11.32,21.27,-1.88,45.01,1.0708,2025-11-04
2022,FR,BG62,16-24,M,57.24,35.15,0.925,7.276,25.9,651,19.12,37.08,64.52,45.51,13.07,5.46,24.33,1.9368,2025-12-07
2023,HU,NL96,65-74,T,87.66,67.64,1.33,3.015,15.26,676,5.25,11.48,74.81,60.63,47.99,8.95,35.84,0.5217,2024-08-22
2024,LV,LT320,55-64,F,57.46,39.7,3.902,2.892,19.54,830,11.11,33.36,18.86,51.76,9.21,7.59,56.45,0.7456,2025-03-08
2025,MT,CY956,45-54,M,67.77,44.21,8.276,4.207,8.56,819,10.94,14.09,53.19,70.15,38.32,9.03,57.02,0.4442,2024-02-02
2026,PT,BE214,35-44,T,47.89,27.62,3.874,5.356,13.62,1155,14.71,30.38,15.8,72.33,26.21,5.47,20.92,1.3827,2025-03-12
2014,SI,PL53,25-34,F,39.34,19.21,7.749,5.669,22.95,1151,2.11,36.02,71.75,55.4,40.59,1.15,73.96,1.585,2025-05-06
2015,AT,BG5,16-24,M,63.28,23.09,2.79,4.868,4.67,1050,12.87,30.35,23.94,64.35,45.58,7.08,20.16,2.4137,2024-08-27
2016,HR,NL698,65-74,T,72.88,38.3,1.179,4.698,23.27,723,21.44,6.12,91.75,19.73,49.74,5.79,82.67,0.4484,2024-04-21
2017,DK,AT78,55-64,F,78.03,42.53,3.068,7.079,17.94,1175,4.93,7.43,41.16,15.49,11.04,4.2,24.45,1.8667,2024-12-22
2018,FR,MT351,45-54,M,66.44,25.1,5.429,8.035,3.5,1061,6.37,20.76,42.42,47.2,43.8,8.14,53.94,0.8932,2024-04-21
2019,HU,BG132,35-44,T,91.56,59.36,2.137,2.249,15.81,1063,7.05,45.54,16.09,75.51,45.15,1.22,27.74,3.2032,2025-12-22
2020,LV,HR27,25-34,F,52.85,41.63,3.667,3.706,15.67,1091,18.36,37.97,79.11,61.63,3.23,2.04,85.33,3.0604,2025-11-24
2021,MT,NL97,16-24,M,34.18,15.93,4.499,7.123,13.07,690,18.05,7.03,32.44,11.34,16.01,0.81,25.41,0.6894,2025-09-03
2022,PT,GR72,65-74,T,75.21,47.19,5.662,3.015,19.25,838,18.4,37.29,51.41,32.0,24.62,8.69,28.89,0.5106,2025-10-23
2023,SI,RO56,55-64,F,62.83,23.33,3.675,1.36,2.85,1184,18.06,25.54,42.4,20.33,22.19,0.89,43.79,2.1436,2025-01-04
2024,AT,IT984,45-54,M,70.07,56.69,3.812,2.898,9.0,673,17.78,25.41,40.89,31.42,11.83,-2.94,54.23,0.881,2024-12-15
2025,HR,GR77,35-44,T,58.14,45.64,7.253,5.337,7.93,950,19.95,21.44,40.19,77.6,14.32,-0.68,46.51,1.7602,2025-11-22
2026,DK,ES667,25-34,F,50.5,30.09,5.172,6.864,5.0,662,8.54,19.03,68.67,55.59,33.53,-1.08,54.27,3.4876,2025-08-01
2014,FR,IE98,16-24,M,44.61,26.49,4.067,7.34,14.01,973,17.95,17.62,70.47,14.02,16.75,6.57,18.25,1.2102,2025-01-26
2015,HU,LU3,65-74,T,53.53,28.09,2.245,3.106,16.56,817,11.9,44.94,22.29,68.66,10.1,-0.19,74.17,0.8954,2025-06-12
2016,LV,IE70,55-64,F,29.26,11.38,3.996,8.12,12.67,780,13.78,39.51,45.11,47.96,29.18,7.69,21.56,3.2111,2024-02-20
2017,MT,FI2,45-54,M,62.46,50.3,5.855,3.861,18.22,1214,2.85,19.97,23.69,38.98,5.2,0.69,50.78,2.8504,2024-02-12
2018,PT,PL507,35-44,T,38.69,26.81,5.457,4.271,15.82,1070,17.17,33.66,17.61,73.44,47.3,-1.5,45.79,0.7443,2026-01-30
2019,SI,BG211,25-34,F,55.47,31.68,1.801,3.749,20.05,779,9.23,17.72,82.61,41.72,25.65,5.93,21.07,1.9614,2025-11-10
2020,AT,ES942,16-24,M,70.82,37.96,1.993,3.327,24.46,912,10.4,23.78,72.06,62.9,49.55,3.71,36.77,3.571,2024-01-13
2021,HR,FR65,65-74,T,89.4,47.86,1.026,2.196,27.57,859,15.34,11.27,58.36,8.8,43.15,5.78,39.31,3.1969,2024-10-15
2022,DK,DE620,55-64,F,57.26,36.12,5.609,5.741,13.65,1224,4.86,16.96,46.72,13.89,47.06,-2.73,70.86,0.563,2024-11-12
2023,FR,FI9,45-54,M,82.01,41.31,2.51,4.513,11.94,680,3.0,4.09,19.76,57.69,38.21,6.26,80.08,1.84,2024-01-05
2024,HU,LV390,35-44,T,58.07,41.35,1.913,6.616,9.35,916,9.18,32.75,70.82,49.54,27.33,2.55,49.92,2.7557,2025-12-25
2025,LV,GR93,25-34,F,79.99,28.63,2.133,1.767,5.26,1093,9.32,6.2,29.22,36.7,38.96,0.97,68.07,1.4833,2024-07-02
2026,MT,CY372,16-24,M,51.81,18.2,2.917,6.189,10.17,711,7.42,41.8,41.33,26.62,5.06,7.26,77.33,2.946,2025-06-17
2014,PT,LT921,65-74,T,30.17,10.68,4.646,3.225,12.96,705,8.99,25.45,28.64,74.86,42.26,-1.54,82.06,0.7066,2025-12-23
2015,SI,IT414,55-64,F,33.58,25.5,7.179,7.422,11.1,885,5.33,17.46,83.79,9.08,28.68,-1.66,51.31,2.0211,2025-03-01
2016,AT,CY71,45-54,M,68.78,50.52,4.413,5.162,22.14,1186,19.46,37.23,21.63,43.27,45.45,3.02,63.13,1.5101,2025-06-14
2017,HR,LU276,35-44,T,49.05,22.8,2.349,3.504,12.8,1066,16.6,28.2,53.77,26.53,48.5,3.69,31.31,0.9939,2025-07-23
2018,DK,SK79,25-34,F,37.59,27.47,1.971,5.456,22.37,860,16.88,44.21,29.12,56.51,14.49,3.12,69.3,3.0723,2024-08-18
2019,FR,LV30,16-24,M,66.77,24.05,3.782,6.395,7.62,741,19.83,33.09,65.64,38.4,43.77,1.72,87.48,0.3792,2024-07-11
2020,HU,DE54,65-74,T,53.91,37.49,2.68,5.605,6.55,914,14.45,8.7,67.23,36.73,28.19,-1.48,70.64,1.2728,2025-10-11
2021,LV,NL6,55-64,F,82.55,54.86,2.31,6.181,9.87,1017,11.7,19.87,28.96,60.01,34.02,-2.28,40.95,2.6221,2025-06-15
2022,MT,BE959,45-54,M,83.71,57.72,4.08,7.184,12.24,677,17.62,41.39,48.28,77.32,15.7,8.18,85.83,0.9205,2024-05-21
2023,PT,SE66,35-44,T,28.21,10.98,5.234,5.492,4.41,836,17.96,30.4,18.08,70.68,27.21,5.29,69.23,2.8556,2026-01-15
2024,SI,PL676,25-34,F,63.83,52.35,1.878,7.759,20.28,914,21.94,37.42,78.95,12.75,41.16,3.49,43.38,1.1858,2025-07-01
2025,AT,MT4,16-24,M,86.02,54.61,3.21,7.819,16.79,1032,14.07,45.22,77.71,64.01,29.12,-0.13,48.44,2.1116,2026-02-01
2026,HR,EE824,65-74,T,54.74,19.87,9.247,0.501,7.35,825,2.57,3.53,18.39,17.62,31.27,8.03,65.46,1.9193,2025-01-27
2014,DK,SI46,55-64,F,80.72,42.27,3.885,6.835,5.03,716,12.64,37.41,69.71,53.11,41.72,-0.67,27.66,2.6288,2024-08-05
2015,FR,HU938,45-54,M,56.1,34.24,6.551,4.608,5.57,1267,18.82,20.47,89.06,34.63,15.31,9.41,18.48,0.4617,2025-03-14
2016,HU,DE52,35-44,T,70.47,59.81,7.567,6.778,24.58,716,6.85,22.88,37.25,36.0,36.51,-0.61,52.08,0.4291,2025-10-03
2017,LV,SK714,25-34,F,30.15,11.39,6.133,3.847,1.57,936,9.41,43.99,51.37,73.01,32.85,-2.84,42.28,1.2858,2025-09-08
2018,MT,NL72,16-24,M,63.07,36.92,2.779,4.098,22.69,803,8.5,9.74,61.27,10.28,28.61,5.13,59.55,2.4994,2025-04-01
2019,PT,AT421,65-74,T,75.19,53.99,6.57,8.498,10.53,894,12.1,31.4,75.03,56.6,42.68,0.83,51.59,1.6255,2024-05-18
2020,SI,BE39,55-64,F,68.39,32.13,5.237,4.98,5.87,1017,7.46,36.48,30.35,54.21,14.81,6.14,82.3,3.1796,2025-10-15
2021,AT,CZ763,45-54,M,57.07,23.5,7.54,7.312,19.62,867,10.16,38.29,37.13,11.49,49.58,-0.57,86.47,2.2408,2024-11-04
2022,HR,MT122,35-44,T,42.64,19.6,6.338,0.726,8.71,816,9.7,8.98,75.38,33.14,23.82,3.74,56.77,0.4834,2024-12-30
