soc_esspros_reference_year,soc_esspros_country_iso2,soc_esspros_function_code,soc_esspros_benefit_type_code,soc_esspros_financing_source_code,soc_esspros_expenditure_total_eur,soc_esspros_expenditure_pct_gdp,soc_esspros_beneficiaries_count,soc_esspros_mean_benefit_eur,soc_esspros_admin_cost_eur,soc_esspros_in_kind_benefit_eur,soc_esspros_cash_benefit_eur,soc_esspros_means_tested_share_pct,soc_esspros_digital_application_rate_pct,soc_esspros_processing_time_days_median,soc_esspros_fraud_detected_amount_eur,soc_esspros_recovery_amount_eur,soc_esspros_eurostat_table_code,soc_esspros_methodology_version,soc_esspros_data_extract_date
2019,SE,SICKNESS_HEALTHCARE,CASH_LUMP_SUM,EMPLOYER,115420120295.82,29.705,87117,1324886.31,5943838067.45,59269212270.97,56150908024.85,18.09,76.93,75,269124275.01,89580273.03,spr_ben_sum,ESSPROS_2025B,2025-03-09
2020,DK,UNEMPLOYMENT,IN_KIND,HOUSEHOLD,62645803390.1,19.358,87417,716631.82,3564309544.02,15342332680.51,47303470709.59,59.64,33.5,70,171395861.37,56190878.76,spr_exp_oth,ESSPROS_2024A,2024-09-10
2021,IE,OLD_AGE,TAX_RELIEF,EU_FUNDS,13253809642.8,3.698,84907,156097.96,705876021.23,2541596172.41,10712213470.39,57.07,48.81,65,58210690.37,20943591.18,spr_exp_fnct,ESSPROS_2023,2024-05-31
2022,PL,SOCIAL_EXCLUSION,MIXED,OTHER,40954638057.07,12.628,85101,481247.44,2433291903.35,19605346215.69,21349291841.38,26.71,85.39,66,91866678.31,46301215.65,spr_finsum,ESSPROS_2021,2026-01-02
2023,AT,FAMILY_CHILDREN,CASH_PERIODIC,SOCIAL_CONTRIBUTIONS,97123320644.26,28.95,85950,1129997.91,1426085184.16,12181962178.34,84941358465.92,43.59,50.75,63,289299024.18,115346031.09,spr_exp_sum,ESSPROS_2019,2024-10-15
2024,EE,DISABILITY,CASH_LUMP_SUM,GENERAL_TAX,20731596786.56,5.238,85026,243826.56,355174519.91,7423263218.23,13308333568.33,4.9,35.57,69,14137359.02,4014512.77,spr_ben_sum,ESSPROS_2025B,2024-06-26
2025,IT,HOUSING,IN_KIND,EMPLOYER,56647358038.97,17.327,86181,657306.81,2502495255.06,30673742177.82,25973615861.15,48.27,37.1,74,122578513.16,87055779.05,spr_exp_oth,ESSPROS_2024A,2026-02-12
2026,PT,SURVIVORS,TAX_RELIEF,HOUSEHOLD,52438860138.24,12.124,87569,598829.04,2166583841.51,7786205923.34,44652654214.9,10.34,14.41,83,69678029.22,16382824.93,spr_exp_fnct,ESSPROS_2023,2024-02-17
2010,BE,SICKNESS_HEALTHCARE,MIXED,EU_FUNDS,17456860129.48,4.73,86901,200882.15,639762435.93,8157505338.25,9299354791.23,0.35,89.04,76,57072577.83,26563968.53,spr_finsum,ESSPROS_2021,2025-07-24
2011,FI,UNEMPLOYMENT,CASH_PERIODIC,OTHER,63741201232.39,17.589,85728,743528.38,2585801818.05,28395580300.88,35345620931.51,41.35,60.11,73,110450030.88,32929757.08,spr_exp_sum,ESSPROS_2019,2025-05-29
2012,LV,OLD_AGE,CASH_LUMP_SUM,SOCIAL_CONTRIBUTIONS,22555058909.94,6.219,86355,261189.96,995705480.61,7383008098.18,15172050811.76,43.7,75.9,84,14475154.86,6899813.73,spr_ben_sum,ESSPROS_2025B,2026-02-12
2013,RO,SOCIAL_EXCLUSION,IN_KIND,GENERAL_TAX,111550232195.35,24.985,86190,1294236.36,5933261326.8,44688623062.97,66861609132.38,2.03,59.59,70,217027645.76,35999281.6,spr_exp_oth,ESSPROS_2024A,2024-04-17
2014,BG,FAMILY_CHILDREN,TAX_RELIEF,EMPLOYER,51497793717.24,12.906,86860,592882.73,1323274020.98,19022827653.22,32474966064.02,60.89,63.45,79,228708717.53,126076560.81,spr_exp_fnct,ESSPROS_2023,2025-11-28
2015,FR,DISABILITY,MIXED,HOUSEHOLD,98009908069.63,23.474,88043,1113205.0,1846245292.93,23015260420.53,74994647649.1,25.38,29.05,72,36424649.14,27295979.24,spr_finsum,ESSPROS_2021,2025-01-18
2016,LT,HOUSING,CASH_PERIODIC,EU_FUNDS,87770451601.86,22.701,87684,1000985.95,2312672634.64,30103456466.11,57666995135.75,6.5,16.29,76,99576620.94,66891336.3,spr_exp_sum,ESSPROS_2019,2024-12-24
2017,SK,SURVIVORS,CASH_LUMP_SUM,OTHER,39280169395.49,10.861,88515,443768.51,736084756.77,10525196911.03,28754972484.46,34.85,41.62,84,54640990.02,23059339.1,spr_ben_sum,ESSPROS_2025B,2025-09-14
2018,HR,SICKNESS_HEALTHCARE,IN_KIND,SOCIAL_CONTRIBUTIONS,34928221466.54,8.77,88936,392734.34,370028502.23,17336479095.16,17591742371.38,53.22,21.79,89,120570736.78,23867282.02,spr_exp_oth,ESSPROS_2024A,2025-05-26
2019,DE,UNEMPLOYMENT,TAX_RELIEF,GENERAL_TAX,54292046131.05,13.568,88453,613795.42,2659513811.28,21108854776.22,33183191354.83,46.41,54.12,82,232606980.52,130559845.59,spr_exp_fnct,ESSPROS_2023,2025-10-19
2020,LU,OLD_AGE,MIXED,EMPLOYER,136555380096.44,30.004,88906,1535952.36,1988951864.78,31540984042.0,105014396054.44,57.77,84.94,90,44610437.58,25063651.16,spr_finsum,ESSPROS_2021,2025-01-05
2021,SI,SOCIAL_EXCLUSION,CASH_PERIODIC,HOUSEHOLD,99265931226.5,26.417,86930,1141906.49,3204024002.01,52836421313.08,46429509913.42,51.49,44.37,87,84952701.69,13409550.57,spr_exp_sum,ESSPROS_2019,2024-01-01
2022,CY,FAMILY_CHILDREN,CASH_LUMP_SUM,EU_FUNDS,55533270909.27,14.27,87305,636083.51,989253223.68,22272769876.92,33260501032.35,43.1,94.7,80,120682518.4,76905998.83,spr_ben_sum,ESSPROS_2025B,2024-07-08
2023,GR,DISABILITY,IN_KIND,OTHER,36261102917.86,10.139,89203,406500.94,562609249.32,14215684516.63,22045418401.23,50.44,93.65,88,97088709.01,68048367.26,spr_exp_oth,ESSPROS_2024A,2025-03-11
2024,MT,HOUSING,TAX_RELIEF,SOCIAL_CONTRIBUTIONS,137380799063.64,29.739,89427,1536234.01,2198428883.88,55374241204.05,82006557859.59,21.4,16.69,84,605489428.57,212479367.53,spr_exp_fnct,ESSPROS_2023,2024-04-09
2025,ES,SURVIVORS,MIXED,GENERAL_TAX,85156841255.05,21.28,88234,965125.02,3690644148.64,32612135330.64,52544705924.41,61.0,48.44,86,212144451.05,62355311.33,spr_finsum,ESSPROS_2021,2024-10-04
2026,CZ,SICKNESS_HEALTHCARE,CASH_PERIODIC,EMPLOYER,78782117661.83,19.286,87615,899185.27,4434345608.83,15903646784.16,62878470877.67,39.01,87.55,101,15086260.48,9549551.89,spr_exp_sum,ESSPROS_2019,2026-01-05
2010,HU,UNEMPLOYMENT,CASH_LUMP_SUM,HOUSEHOLD,138462383701.46,31.602,88303,1568037.14,3680658303.02,57397815904.33,81064567797.13,45.61,59.88,93,17022410.29,12268506.69,spr_ben_sum,ESSPROS_2025B,2025-03-04
2011,NL,OLD_AGE,IN_KIND,EU_FUNDS,101316836143.07,23.349,88157,1149277.27,1680091568.99,42658378059.45,58658458083.62,34.52,13.95,97,107692732.14,44710080.43,spr_exp_oth,ESSPROS_2024A,2024-02-07
2012,SE,SOCIAL_EXCLUSION,TAX_RELIEF,OTHER,33760414752.76,7.171,87916,384007.63,442247685.36,6815475442.32,26944939310.44,62.76,36.56,96,98363950.22,25831481.03,spr_exp_fnct,ESSPROS_2023,2025-12-04
2013,DK,FAMILY_CHILDREN,MIXED,SOCIAL_CONTRIBUTIONS,66287439481.61,17.668,88811,746387.72,1355748133.93,36093998623.89,30193440857.72,50.3,81.77,91,137399569.1,98990167.72,spr_finsum,ESSPROS_2021,2025-08-17
2014,IE,DISABILITY,CASH_PERIODIC,GENERAL_TAX,124769285890.66,26.497,90366,1380710.51,2659879439.94,22517133648.41,102252152242.25,49.0,9.65,92,178709853.92,48906563.14,spr_exp_sum,ESSPROS_2019,2025-10-19
2015,PL,HOUSING,CASH_LUMP_SUM,EMPLOYER,103728957658.55,26.279,89813,1154943.69,3071992305.78,54518307571.8,49210650086.75,2.89,67.81,96,216996014.41,99310800.91,spr_ben_sum,ESSPROS_2025B,2025-06-16
2016,AT,SURVIVORS,IN_KIND,HOUSEHOLD,89204363503.76,17.707,88682,1005890.3,4910392796.25,22370512897.31,66833850606.45,33.68,65.17,96,272640198.72,89238010.76,spr_exp_oth,ESSPROS_2024A,2025-10-03
2017,EE,SICKNESS_HEALTHCARE,TAX_RELIEF,EU_FUNDS,83372014371.41,17.412,90371,922552.75,2041277508.47,40411015940.13,42960998431.28,9.4,58.02,100,307863411.91,154666584.45,spr_exp_fnct,ESSPROS_2023,2026-01-19
2018,IT,UNEMPLOYMENT,MIXED,OTHER,68351038597.33,16.744,90721,753420.25,2133344583.27,26111741787.23,42239296810.1,40.1,81.13,104,120226854.52,53075422.63,spr_finsum,ESSPROS_2021,2025-01-17
2019,PT,OLD_AGE,CASH_PERIODIC,SOCIAL_CONTRIBUTIONS,60047821586.25,11.747,88658,677297.27,2376057568.42,21189045322.0,38858776264.25,39.56,48.35,99,155105454.69,109139000.92,spr_exp_sum,ESSPROS_2019,2024-05-12
2020,BE,SOCIAL_EXCLUSION,CASH_LUMP_SUM,GENERAL_TAX,138045075965.06,29.932,90203,1530382.32,4662919188.96,36518252805.94,101526823159.12,38.06,58.08,101,191023199.34,106769573.22,spr_ben_sum,ESSPROS_2025B,2024-03-03
2021,FI,FAMILY_CHILDREN,IN_KIND,EMPLOYER,175989647488.38,33.611,90258,1949850.95,5755174012.41,66509256293.48,109480391194.9,29.9,49.52,104,791804926.62,474985565.21,spr_exp_oth,ESSPROS_2024A,2025-02-20
2022,LV,DISABILITY,TAX_RELIEF,HOUSEHOLD,80744846586.64,19.924,89582,901351.24,3367275989.59,28211365526.16,52533481060.48,63.3,32.55,109,143234662.18,96717706.81,spr_exp_fnct,ESSPROS_2023,2024-04-22
2023,RO,HOUSING,MIXED,EU_FUNDS,59432459046.31,11.363,90567,656226.43,1477290246.11,22104812572.54,37327646473.77,45.0,55.84,102,244462708.61,41088906.96,spr_finsum,ESSPROS_2021,2024-09-09
2024,BG,SURVIVORS,CASH_PERIODIC,OTHER,26538477073.78,5.798,90676,292673.66,1498909696.06,7037264359.39,19501212714.39,23.99,57.02,108,112590716.43,25862302.97,spr_exp_sum,ESSPROS_2019,2025-09-12
2025,FR,SICKNESS_HEALTHCARE,CASH_LUMP_SUM,SOCIAL_CONTRIBUTIONS,117228972645.82,25.586,90084,1301329.57,5008782561.11,48612622658.35,68616349987.47,25.31,46.42,99,318397833.87,170144010.59,spr_ben_sum,ESSPROS_2025B,2024-11-20
2026,LT,UNEMPLOYMENT,IN_KIND,GENERAL_TAX,146898588258.68,30.758,90373,1625469.87,5151257494.11,78507442364.01,68391145894.67,46.67,48.26,102,652969246.08,285176947.82,spr_exp_oth,ESSPROS_2024A,2024-04-13
2010,SK,OLD_AGE,TAX_RELIEF,EMPLOYER,42802416528.16,10.625,90753,471636.38,582981756.91,10167559991.31,32634856536.85,46.11,66.61,117,158970902.09,101564964.48,spr_exp_fnct,ESSPROS_2023,2026-02-23
2011,HR,SOCIAL_EXCLUSION,MIXED,HOUSEHOLD,103210167203.82,20.317,90887,1135587.79,3700824203.42,37608981008.98,65601186194.84,32.07,44.06,104,39523118.08,24276558.87,spr_finsum,ESSPROS_2021,2025-08-21
2012,DE,FAMILY_CHILDREN,CASH_PERIODIC,EU_FUNDS,121217869859.14,24.032,90344,1341736.8,2153475898.94,31588601585.0,89629268274.14,29.99,89.48,119,135068574.05,81648775.29,spr_exp_sum,ESSPROS_2019,2026-01-12
2013,LU,DISABILITY,CASH_LUMP_SUM,OTHER,165794118722.44,31.764,92569,1791032.84,2322967061.51,52423920821.78,113370197900.66,39.58,41.83,115,151296436.54,29058006.47,spr_ben_sum,ESSPROS_2025B,2024-10-08
2014,SI,HOUSING,IN_KIND,SOCIAL_CONTRIBUTIONS,156939966216.47,32.78,91993,1705999.0,3282175678.49,51540417688.95,105399548527.52,27.32,55.58,108,608546325.15,133163887.02,spr_exp_oth,ESSPROS_2024A,2025-07-19
2015,CY,SURVIVORS,TAX_RELIEF,GENERAL_TAX,137542218679.06,25.851,89992,1528382.73,3681522937.98,41196595888.81,96345622790.25,24.18,61.11,121,272920179.31,183804302.38,spr_exp_fnct,ESSPROS_2023,2024-10-23
2016,GR,SICKNESS_HEALTHCARE,MIXED,EMPLOYER,173001706764.14,33.155,92995,1860333.42,7153608419.36,62147298141.84,110854408622.3,5.52,25.78,115,638401818.89,158642928.29,spr_finsum,ESSPROS_2021,2024-06-06
2017,MT,UNEMPLOYMENT,CASH_PERIODIC,HOUSEHOLD,161494959916.5,32.186,92269,1750262.38,4253588660.32,72914939844.0,88580020072.5,17.69,61.07,125,718200794.14,194514249.53,spr_exp_sum,ESSPROS_2019,2024-09-03
2018,ES,OLD_AGE,CASH_LUMP_SUM,EU_FUNDS,129317816247.35,23.306,92867,1392505.59,3248001595.99,65603274402.09,63714541845.26,12.39,58.41,117,17069105.66,12526676.04,spr_ben_sum,ESSPROS_2025B,2024-11-04
2019,CZ,SOCIAL_EXCLUSION,IN_KIND,OTHER,75228207147.17,14.437,91232,824581.37,3662720775.68,11788534935.91,63439672211.26,44.92,8.16,119,227505134.54,94829378.35,spr_exp_oth,ESSPROS_2024A,2025-07-25
2020,HU,FAMILY_CHILDREN,TAX_RELIEF,SOCIAL_CONTRIBUTIONS,142623633411.08,31.115,93542,1524701.56,5728297301.71,22721515532.2,119902117878.88,24.96,22.11,118,360941357.57,69854247.83,spr_exp_fnct,ESSPROS_2023,2025-08-30
2021,NL,DISABILITY,MIXED,GENERAL_TAX,75374023370.27,15.031,92219,817337.24,3850952984.87,40245752979.34,35128270390.93,2.48,77.39,113,189075648.74,34724910.63,spr_finsum,ESSPROS_2021,2024-08-23
2022,SE,HOUSING,CASH_PERIODIC,EMPLOYER,97963389173.17,19.626,93197,1051143.16,4404915371.91,52864754248.76,45098634924.41,21.25,85.84,125,157532752.68,36270754.72,spr_exp_sum,ESSPROS_2019,2024-02-03
2023,DK,SURVIVORS,CASH_LUMP_SUM,HOUSEHOLD,102957223342.82,22.308,91402,1126422.0,2937290146.01,56092885195.78,46864338147.04,60.7,18.5,125,165411434.58,63311845.28,spr_ben_sum,ESSPROS_2025B,2025-11-11
2024,IE,SICKNESS_HEALTHCARE,IN_KIND,EU_FUNDS,182608188112.1,33.1,92120,1982286.02,6857172281.58,86223376151.8,96384811960.3,58.84,22.31,123,185504813.04,115004110.87,spr_exp_oth,ESSPROS_2024A,2025-02-03
2025,PL,UNEMPLOYMENT,TAX_RELIEF,OTHER,145491160109.06,29.478,93372,1558188.32,5421979027.55,66966164363.4,78524995745.66,19.81,50.0,125,627926328.55,344782816.81,spr_exp_fnct,ESSPROS_2023,2025-04-28
2026,AT,OLD_AGE,MIXED,SOCIAL_CONTRIBUTIONS,155610482973.52,32.59,93266,1668458.85,4408262595.94,23003443485.28,132607039488.24,37.13,8.91,123,224539126.0,54214335.99,spr_finsum,ESSPROS_2021,2026-01-03
2010,EE,SOCIAL_EXCLUSION,CASH_PERIODIC,GENERAL_TAX,80594568818.82,15.29,92790,868569.55,4307608368.78,21165401483.44,59429167335.38,31.39,14.45,126,311647449.14,187283316.89,spr_exp_sum,ESSPROS_2019,2024-07-21
2011,IT,FAMILY_CHILDREN,CASH_LUMP_SUM,EMPLOYER,75688534224.95,13.312,92246,820507.49,1978497270.39,15837237996.78,59851296228.17,9.36,43.22,136,103109683.76,32611238.15,spr_ben_sum,ESSPROS_2025B,2025-12-18
2012,PT,DISABILITY,IN_KIND,HOUSEHOLD,136851288385.97,30.332,92526,1479057.65,3686208511.33,22600408833.36,114250879552.61,32.0,38.87,130,256197043.71,161364781.02,spr_exp_oth,ESSPROS_2024A,2024-09-10
2013,BE,HOUSING,TAX_RELIEF,EU_FUNDS,31363030914.92,5.524,92172,340266.36,449594384.89,17092717233.35,14270313681.57,10.68,75.09,136,91681644.06,33962970.48,spr_exp_fnct,ESSPROS_2023,2024-12-16
2014,FI,SURVIVORS,MIXED,OTHER,181240800528.87,31.069,93206,1944518.6,5012245694.96,99091485150.65,82149315378.22,61.09,50.06,124,188250564.56,68407985.71,spr_finsum,ESSPROS_2021,2024-01-17
2015,LV,SICKNESS_HEALTHCARE,CASH_PERIODIC,SOCIAL_CONTRIBUTIONS,199442027326.32,33.695,94002,2121678.55,3499245230.71,41647449200.77,157794578125.55,46.77,70.61,5,836394137.51,490006153.67,spr_exp_sum,ESSPROS_2019,2024-07-04
2016,RO,UNEMPLOYMENT,CASH_LUMP_SUM,GENERAL_TAX,130111168726.59,27.212,93366,1393560.49,5881580105.92,70051943196.45,60059225530.14,1.34,34.37,8,276868650.48,206942297.53,spr_ben_sum,ESSPROS_2025B,2024-10-04
2017,BG,OLD_AGE,IN_KIND,EMPLOYER,144323982088.4,28.965,92567,1559129.95,3427672648.48,40582286042.67,103741696045.73,53.73,75.37,12,392583989.01,165844680.89,spr_exp_oth,ESSPROS_2024A,2024-01-29
2018,FR,SOCIAL_EXCLUSION,TAX_RELIEF,HOUSEHOLD,61885079454.11,13.322,93463,662134.53,2059544256.3,16618310486.51,45266768967.6,52.82,83.91,8,56402030.78,14779884.46,spr_exp_fnct,ESSPROS_2023,2024-01-02
2019,LT,FAMILY_CHILDREN,MIXED,EU_FUNDS,167174889987.76,31.288,93730,1783579.32,7748462941.06,69060344993.91,98114544993.85,8.65,18.81,16,93985999.97,35876114.38,spr_finsum,ESSPROS_2021,2025-05-06
2020,SK,DISABILITY,CASH_PERIODIC,OTHER,42364045265.73,6.98,93492,453130.16,719513435.01,7452885112.79,34911160152.94,60.24,28.63,17,117068790.57,32921734.02,spr_exp_sum,ESSPROS_2019,2025-08-13
2021,HR,HOUSING,CASH_LUMP_SUM,SOCIAL_CONTRIBUTIONS,188464483277.97,30.431,93961,2005773.49,7927597901.28,58858159980.41,129606323297.56,48.09,65.18,16,267199392.3,41499613.83,spr_ben_sum,ESSPROS_2025B,2024-11-14
2022,DE,SURVIVORS,IN_KIND,GENERAL_TAX,135825497224.13,25.637,95680,1419580.87,7809242795.75,28060934398.18,107764562825.95,60.53,89.73,26,241855441.73,108767314.02,spr_exp_oth,ESSPROS_2024A,2025-10-13
2023,LU,SICKNESS_HEALTHCARE,TAX_RELIEF,EMPLOYER,40835321935.5,7.589,94524,432010.09,1368223208.78,15754778173.8,25080543761.7,1.79,57.07,25,152815039.91,109042850.72,spr_exp_fnct,ESSPROS_2023,2025-10-01
2024,SI,UNEMPLOYMENT,MIXED,HOUSEHOLD,186825256347.85,30.527,93625,1995463.35,5466806231.18,45669831949.05,141155424398.8,23.16,78.34,18,92868947.53,69147114.82,spr_finsum,ESSPROS_2021,2024-07-02
2025,CY,OLD_AGE,CASH_PERIODIC,EU_FUNDS,79048133350.76,16.063,94117,839892.19,4423021692.01,17288031903.95,61760101446.81,62.84,87.5,16,307122675.91,202340963.49,spr_exp_sum,ESSPROS_2019,2024-02-13
2026,GR,SOCIAL_EXCLUSION,CASH_LUMP_SUM,OTHER,25780306794.12,4.779,94199,273679.2,1363540233.45,11858162693.01,13922144101.11,23.47,42.34,25,70066872.54,52054772.75,spr_ben_sum,ESSPROS_2025B,2024-06-30
2010,MT,FAMILY_CHILDREN,IN_KIND,SOCIAL_CONTRIBUTIONS,110719102734.45,21.853,94515,1171444.77,1307745586.41,57665832995.06,53053269739.39,3.72,10.59,29,30936277.09,12209863.1,spr_exp_oth,ESSPROS_2024A,2025-04-17
2011,ES,DISABILITY,TAX_RELIEF,GENERAL_TAX,115330901384.04,21.265,93711,1230708.26,3669340157.34,57940717039.04,57390184345.0,24.29,10.7,27,410867957.65,109521352.92,spr_exp_fnct,ESSPROS_2023,2024-10-28
2012,CZ,HOUSING,MIXED,EMPLOYER,62375693172.88,9.625,96661,645303.62,971632456.28,10298431415.32,52077261757.56,17.81,25.57,20,169521956.22,48372705.28,spr_finsum,ESSPROS_2021,2025-08-17
2013,HU,SURVIVORS,CASH_PERIODIC,HOUSEHOLD,41576360808.1,7.011,96659,430134.4,2193883007.39,19020429393.42,22555931414.68,12.75,79.92,33,50014070.61,17340195.08,spr_exp_sum,ESSPROS_2019,2024-01-22
2014,NL,SICKNESS_HEALTHCARE,CASH_LUMP_SUM,EU_FUNDS,40831043336.91,7.667,94176,433561.03,1703185915.28,5611478045.39,35219565291.52,35.22,72.87,28,96081235.33,69126750.65,spr_ben_sum,ESSPROS_2025B,2024-08-24
2015,SE,UNEMPLOYMENT,IN_KIND,OTHER,84176564610.7,14.589,97003,867772.8,1505552485.6,31866211317.39,52310353293.31,28.93,85.87,23,226245854.83,35164383.01,spr_exp_oth,ESSPROS_2024A,2025-01-12
2016,DK,OLD_AGE,TAX_RELIEF,SOCIAL_CONTRIBUTIONS,80742160717.11,15.716,96795,834156.32,2637958131.02,24241817255.08,56500343462.03,7.57,58.41,35,342258248.39,197522566.45,spr_exp_fnct,ESSPROS_2023,2024-08-04
2017,IE,SOCIAL_EXCLUSION,MIXED,GENERAL_TAX,87566686930.32,16.833,97215,900752.84,4992817009.16,42871785736.18,44694901194.14,40.86,73.07,26,321420862.88,162092401.45,spr_finsum,ESSPROS_2021,2024-12-28
2018,PL,FAMILY_CHILDREN,CASH_PERIODIC,EMPLOYER,112624116344.6,18.807,95012,1185367.28,4951751828.91,36836193558.4,75787922786.2,36.95,93.26,24,378023871.68,123294897.38,spr_exp_sum,ESSPROS_2019,2024-08-17
2019,AT,DISABILITY,CASH_LUMP_SUM,HOUSEHOLD,64461390532.61,12.947,96512,667910.63,2663764497.76,24991920035.47,39469470497.14,5.63,40.99,31,104743239.37,39439532.82,spr_ben_sum,ESSPROS_2025B,2024-02-04
2020,EE,HOUSING,IN_KIND,EU_FUNDS,20627170100.81,3.624,94994,217141.82,1122734138.29,6055317879.69,14571852221.12,14.14,84.8,41,62750525.02,25157539.0,spr_exp_oth,ESSPROS_2024A,2025-04-04
2021,IT,SURVIVORS,TAX_RELIEF,OTHER,76152030098.9,13.97,97716,779319.97,2159068777.37,32852681401.94,43299348696.96,13.06,74.99,33,142942234.18,75438253.12,spr_exp_fnct,ESSPROS_2023,2025-02-10
2022,PT,SICKNESS_HEALTHCARE,MIXED,SOCIAL_CONTRIBUTIONS,164070008763.36,29.458,95362,1720496.73,6924437141.6,42959098627.12,121110910136.24,55.71,93.06,40,700863488.13,382701823.44,spr_finsum,ESSPROS_2021,2025-04-27
2023,BE,UNEMPLOYMENT,CASH_PERIODIC,GENERAL_TAX,41296562443.14,7.248,96999,425742.15,2203224227.9,9724898306.34,31571664136.8,63.61,32.63,37,102657462.21,59217503.92,spr_exp_sum,ESSPROS_2019,2024-05-20
2024,FI,OLD_AGE,CASH_LUMP_SUM,EMPLOYER,169867401947.48,32.816,95335,1781794.74,4532035727.93,86457545798.78,83409856148.7,9.86,12.49,39,357093523.36,78910945.35,spr_ben_sum,ESSPROS_2025B,2026-01-21
2025,LV,SOCIAL_EXCLUSION,IN_KIND,HOUSEHOLD,199980089269.06,30.506,96063,2081759.78,9667802212.51,69900324610.47,130079764658.59,37.8,8.34,38,51740834.32,7901875.58,spr_exp_oth,ESSPROS_2024A,2024-11-02
2026,RO,FAMILY_CHILDREN,TAX_RELIEF,EU_FUNDS,177597266771.1,28.839,96605,1838385.87,4111476751.02,31897488777.5,145699777993.6,42.6,36.94,39,777301747.78,322468057.88,spr_exp_fnct,ESSPROS_2023,2024-10-14
2010,BG,DISABILITY,MIXED,OTHER,128239993415.47,19.757,98115,1307037.59,1636990590.57,42556041024.7,85683952390.77,16.97,23.84,36,445508421.16,136365142.13,spr_finsum,ESSPROS_2021,2024-01-21
2011,FR,HOUSING,CASH_PERIODIC,SOCIAL_CONTRIBUTIONS,72108853966.39,13.404,98018,735669.51,2426456894.25,23399728947.22,48709125019.17,4.99,72.0,38,251017885.75,51048670.6,spr_exp_sum,ESSPROS_2019,2025-10-02
2012,LT,SURVIVORS,CASH_LUMP_SUM,GENERAL_TAX,183844826861.69,33.079,97394,1887640.17,2691633402.75,63087633599.26,120757193262.43,32.84,63.4,52,709889272.33,398301835.12,spr_ben_sum,ESSPROS_2025B,2024-08-13
2013,SK,SICKNESS_HEALTHCARE,IN_KIND,EMPLOYER,25452031931.13,3.908,96745,263083.69,930846151.26,12561037783.38,12890994147.75,12.53,27.31,40,93184843.82,33421496.49,spr_exp_oth,ESSPROS_2024A,2026-02-02
2014,HR,UNEMPLOYMENT,TAX_RELIEF,HOUSEHOLD,104710479061.55,17.402,96240,1088014.12,5541379935.99,51401497504.7,53308981556.85,35.66,75.05,41,170373661.42,84540269.38,spr_exp_fnct,ESSPROS_2023,2024-08-25
2015,DE,OLD_AGE,MIXED,EU_FUNDS,208690208353.12,32.81,98750,2113318.57,9468420605.84,88572236286.54,120117972066.58,13.43,28.8,52,302507315.61,70844890.08,spr_finsum,ESSPROS_2021,2024-08-24
2016,LU,SOCIAL_EXCLUSION,CASH_PERIODIC,OTHER,132557526611.03,23.127,96648,1371549.61,7460512737.36,52663446254.45,79894080356.58,14.48,36.45,49,494418843.01,304052121.55,spr_exp_sum,ESSPROS_2019,2025-05-17
2017,SI,FAMILY_CHILDREN,CASH_LUMP_SUM,SOCIAL_CONTRIBUTIONS,192759178730.87,29.342,98693,1953119.05,4234158470.09,76143146977.93,116616031752.94,48.64,87.22,53,650155443.68,122998046.66,spr_ben_sum,ESSPROS_2025B,2026-02-05
2018,CY,DISABILITY,IN_KIND,GENERAL_TAX,34369046053.03,5.412,98077,350429.21,1182561639.31,6062982392.93,28306063660.1,29.84,87.89,41,24605921.49,8280674.2,spr_exp_oth,ESSPROS_2024A,2024-06-02
2019,GR,HOUSING,TAX_RELIEF,EMPLOYER,196139169950.8,29.592,96914,2023847.64,6724147630.86,49452394850.59,146686775100.21,31.19,15.85,54,528211467.4,238340738.17,spr_exp_fnct,ESSPROS_2023,2025-11-18
2020,MT,SURVIVORS,MIXED,HOUSEHOLD,152971518899.79,27.313,96820,1579957.85,5192810847.46,35292811097.64,117678707802.15,6.03,60.38,53,371091758.88,160304817.05,spr_finsum,ESSPROS_2021,2026-01-02
2021,ES,SICKNESS_HEALTHCARE,CASH_PERIODIC,EU_FUNDS,197011472281.22,28.463,98873,1992571.0,5305183313.58,53902767240.73,143108705040.49,47.02,70.3,43,768130880.53,319517362.81,spr_exp_sum,ESSPROS_2019,2024-07-01
2022,CZ,UNEMPLOYMENT,CASH_LUMP_SUM,OTHER,164247923235.55,28.486,98551,1666628.68,5775846016.96,40677567402.95,123570355832.6,31.78,77.94,57,381258966.59,57429961.08,spr_ben_sum,ESSPROS_2025B,2025-09-14
2023,HU,OLD_AGE,IN_KIND,SOCIAL_CONTRIBUTIONS,160062613090.5,22.661,97771,1637117.48,7679178318.6,46726154948.47,113336458142.03,33.47,20.95,59,163440723.48,100987694.02,spr_exp_oth,ESSPROS_2024A,2024-11-21
2024,NL,SOCIAL_EXCLUSION,TAX_RELIEF,GENERAL_TAX,21437419096.64,3.47,97755,219297.42,908209991.03,5506544814.34,15930874282.3,8.55,66.59,51,7855335.94,2202847.0,spr_exp_fnct,ESSPROS_2023,2025-09-14
2025,SE,FAMILY_CHILDREN,MIXED,EMPLOYER,163936633735.17,24.614,98295,1667802.37,5002278438.99,53238141420.25,110698492314.92,37.15,70.62,56,280331909.89,84327756.78,spr_finsum,ESSPROS_2021,2025-03-02
