imm_legal_admission_fiscal_year,imm_legal_visa_category_code,imm_legal_country_of_chargeability,imm_legal_consulate_post_code,imm_legal_applications_received,imm_legal_applications_approved,imm_legal_applications_denied,imm_legal_processing_time_days_median,imm_legal_priority_date_backlog_months,imm_legal_adjustment_of_status_flag,imm_legal_principal_applicant_flag,imm_legal_derivative_count,imm_legal_employment_based_indicator,imm_legal_family_based_indicator,imm_legal_humanitarian_indicator,imm_legal_inadmissibility_ground_code,imm_legal_waiver_granted_flag,imm_legal_age_at_admission,imm_legal_intended_state_destination_code,imm_legal_data_extract_date
2016,U,NG,MNL,50184,1448,2737,113.5219,180.01,0,0,0,0,1,0,NONE,0,67,FL,2019-08-08
2020,ASYLEE,NG,GDL,142914,43971,55889,225.212,15.55,0,1,0,0,0,0,NONE,0,48,IL,2019-08-09
2023,H2A,VN,ABJ,148820,148820,0,235.3921,196.06,0,1,3,1,0,0,212A3,0,34,VA,2019-08-10
2025,B1B2,PK,PAR,34111,34111,0,296.2922,111.76,1,1,3,1,1,0,212A6,1,36,WA,2019-08-11
2010,CR1,IN,MUM,213589,68500,138623,119.7023,6.65,1,1,5,0,0,1,NONE,0,27,OH,2019-08-12
2011,IR1,FR,PAR,66262,66262,0,37.5424,205.7,0,1,6,1,0,0,NONE,0,7,CA,2019-08-13
2015,EB2,ET,BLR,186821,48005,114119,286.6825,45.5,0,1,4,1,1,0,NONE,0,61,MN,2019-08-14
2012,ASYLEE,EG,BLR,109307,36392,51933,23.3826,120.13,1,1,3,1,1,0,NONE,0,39,TN,2019-08-15
2016,H2B,ES,CDMX,176821,176821,0,68.8827,172.12,1,0,4,0,1,0,NONE,0,84,MI,2019-08-16
2015,PAROLE,IT,BLR,173519,100896,48862,333.5128,75.86,1,1,2,1,0,0,NONE,0,28,FL,2019-08-17
2012,H2B,MX,BJG,34030,34030,0,305.1129,118.67,1,1,0,0,0,0,NONE,0,43,MI,2019-08-18
2021,TPS,CO,HCM,95336,55416,20288,274.113,239.42,1,1,0,0,0,0,NONE,0,41,VA,2019-08-19
2024,EB3,GB,ROM,130084,130084,0,246.2831,49.55,1,1,2,1,0,0,NONE,0,7,NC,2019-08-20
2018,J1,PH,MAD,6207,6207,0,264.4432,193.64,1,0,4,0,0,0,212A6,1,79,AZ,2019-08-21
2019,PAROLE,DE,LAG,120045,120045,0,6.1633,191.42,0,0,4,1,0,0,212A8,1,8,OR,2019-08-22
2010,CR1,JP,SHG,47527,16493,22167,171.8634,137.84,0,1,4,0,0,0,NONE,0,1,MN,2019-08-23
2021,J1,ET,MNL,45384,45384,0,256.7235,166.44,0,1,2,1,1,0,NONE,0,88,OR,2019-08-24
2011,J1,ET,HCM,219248,142820,67485,313.4136,231.27,1,1,4,0,1,0,NONE,0,82,CO,2019-08-25
2021,IR1,CO,MNL,245767,202735,630,154.7537,135.44,1,0,0,1,1,0,212A6,0,18,OR,2019-08-26
2012,ASYLEE,ET,MNL,111362,111362,0,123.3138,191.86,0,1,4,1,1,0,NONE,1,63,MA,2019-08-27
2021,EB2,JP,ROM,198581,79715,89237,185.5939,76.38,1,0,3,0,1,0,NONE,0,7,MI,2019-08-28
2013,J1,DE,HCM,206486,128574,70916,203.804,116.13,0,1,1,1,0,0,212A4,0,41,OR,2019-08-29
2018,O1,KR,HAN,214343,57459,128680,285.3141,18.88,1,1,1,0,1,0,NONE,0,13,MI,2019-08-30
2024,L1,CN,BJG,194678,65191,110706,186.9042,99.67,0,1,4,1,1,0,NONE,0,47,NY,2019-08-31
2015,K1,CN,CHE,216731,111531,74183,310.9743,13.35,1,1,0,0,0,0,NONE,1,63,OH,2019-09-01
2011,K1,ES,LAG,224730,56893,137870,273.1644,227.63,1,1,5,0,0,1,NONE,1,75,MI,2019-09-02
2020,DV,DE,LAG,214754,104809,96992,130.5245,35.61,1,1,5,1,0,0,NONE,0,5,CA,2019-09-03
2017,TPS,BR,PAR,240618,59334,140590,270.9346,28.58,1,0,6,1,0,0,212A2,0,17,NC,2019-09-04
2018,PAROLE,VN,GDL,164107,164107,0,15.1247,102.54,0,1,3,0,0,0,212A6,0,58,OH,2019-09-05
2015,L1,PH,CHE,129308,129308,0,364.4648,138.53,0,1,4,0,0,0,NONE,0,35,IL,2019-09-06
2022,T,AR,BLR,140105,110286,0,10.8049,230.81,1,1,1,1,0,0,NONE,0,88,MD,2019-09-07
2014,K1,ET,HCM,184167,82089,72155,12.035,86.11,0,1,5,1,1,0,NONE,0,41,FL,2019-09-08
2023,TPS,BD,HYD,127976,55307,71220,193.6651,116.59,0,1,0,1,1,0,212A10,0,9,PA,2019-09-09
2022,CR1,JP,FRA,153170,115836,23079,328.1852,42.52,1,1,5,0,1,0,NONE,0,62,OH,2019-09-10
2010,DV,BR,SHG,35111,35111,0,165.6253,4.19,1,0,0,1,1,0,NONE,0,62,AZ,2019-09-11
2012,DV,PK,ROM,62621,39970,9194,25.2054,38.0,1,1,5,0,0,0,NONE,0,27,MA,2019-09-12
2024,U,NG,FRA,215183,215183,0,47.2955,5.11,1,0,4,0,0,0,NONE,0,24,IL,2019-09-13
2020,TPS,NG,ABJ,90078,90078,0,346.1556,24.04,0,0,1,1,1,0,212A3,0,10,OR,2019-09-14
2015,H2A,AR,FRA,50712,50712,0,74.0157,19.73,0,1,5,1,0,0,NONE,1,49,NC,2019-09-15
2018,U,ET,MUM,237926,237926,0,327.9358,146.96,1,0,0,0,1,0,212A10,0,18,VA,2019-09-16
2022,TPS,JP,CHE,157905,157905,0,147.6059,168.14,0,1,0,0,0,0,212A3,0,33,NJ,2019-09-17
2017,H2B,MX,HYD,134500,115277,1385,214.626,91.86,0,1,1,1,0,0,NONE,0,85,OR,2019-09-18
2016,F1,MX,MAD,136066,99055,618,141.0761,79.14,0,1,5,0,0,0,212A2,0,68,OH,2019-09-19
2023,H2A,IN,MUM,155616,84844,40174,301.0662,211.6,0,1,1,0,0,0,212A6,0,61,VA,2019-09-20
2010,PAROLE,IT,HAN,47611,32928,0,68.9763,192.47,1,1,1,0,1,0,NONE,0,56,PA,2019-09-21
2019,EB1,BD,HYD,168340,168340,0,354.2464,109.21,0,1,4,1,0,1,NONE,0,57,CA,2019-09-22
2018,CR1,EG,GZC,60489,11372,48999,317.1965,164.8,1,1,3,0,1,0,212A1,0,59,NY,2019-09-23
2010,ASYLEE,NG,BJG,90487,74081,0,312.8466,30.32,1,1,0,0,0,0,NONE,0,83,GA,2019-09-24
2014,ASYLEE,PK,FRA,47708,43716,0,177.4267,209.95,0,1,2,0,0,0,NONE,0,30,AZ,2019-09-25
2011,EB3,EG,LAG,176794,27203,105809,42.9568,59.98,1,1,3,1,0,0,NONE,0,3,CA,2019-09-26
2016,U,ET,ROM,241667,180643,56871,121.6869,57.34,1,1,6,1,1,0,NONE,0,26,VA,2019-09-27
2014,L1,IT,BJG,241164,241164,0,238.047,23.27,0,1,5,1,1,0,212A6,0,84,CO,2019-09-28
2013,T,IN,BJG,103743,92209,0,359.0471,6.57,1,1,5,0,1,0,NONE,0,39,VA,2019-09-29
2013,TPS,IT,DEL,83294,83294,0,138.9572,144.0,0,0,6,1,0,0,NONE,0,68,TX,2019-09-30
2017,H1B,PK,ROM,112763,112763,0,212.8073,178.07,1,0,1,0,0,0,NONE,0,26,GA,2019-10-01
2020,K1,DE,MNL,232867,10378,185197,274.8874,37.34,0,1,5,0,0,0,NONE,0,8,CO,2019-10-02
2025,EB3,CO,HCM,122328,39911,71138,359.1075,171.12,1,1,3,0,1,0,NONE,0,73,TX,2019-10-03
2024,H2B,DE,ROM,214566,82190,104403,24.4376,84.02,1,1,3,1,1,0,NONE,0,9,GA,2019-10-04
2025,F1,AR,GZC,192499,172518,0,265.8777,118.44,0,1,1,0,1,0,NONE,0,37,GA,2019-10-05
2018,EB3,BD,GZC,172801,97897,52645,344.6978,44.99,0,1,6,0,1,0,NONE,0,55,OR,2019-10-06
2017,H2A,MX,FRA,79694,23291,50199,220.9679,161.86,1,0,2,0,1,1,NONE,0,13,CO,2019-10-07
2010,EB2,JP,SHG,157240,117708,9448,193.318,54.79,1,0,3,1,1,0,NONE,1,54,CA,2019-10-08
2012,TPS,VN,HYD,226662,63246,160977,73.8381,12.98,0,1,1,0,0,0,NONE,0,65,GA,2019-10-09
2013,U,AR,GZC,28533,28533,0,341.2182,206.94,0,1,2,1,1,0,NONE,0,79,PA,2019-10-10
2017,K1,CN,MAD,167461,132885,10534,152.6883,52.94,1,1,6,1,0,0,NONE,0,35,MA,2019-10-11
2013,DV,MX,HYD,241840,22925,212139,99.7684,117.26,0,1,6,0,1,0,212A1,0,34,CA,2019-10-12
2022,K1,DE,PAR,134971,107785,15693,290.1885,230.57,1,1,5,0,1,0,212A3,0,56,MD,2019-10-13
2022,CR1,FR,LON,171195,52845,98288,89.6386,87.86,0,1,6,0,0,0,212A6,0,60,NY,2019-10-14
2023,TPS,EG,CDMX,137857,137271,0,21.6187,166.51,1,1,1,1,0,0,212A2,0,47,VA,2019-10-15
2011,CR1,CN,HYD,146973,146973,0,275.0488,144.33,1,0,3,1,1,0,NONE,0,77,AZ,2019-10-16
2020,ASYLEE,JP,BJG,16037,16037,0,77.2889,108.12,1,1,6,0,1,0,NONE,0,49,PA,2019-10-17
2010,F1,FR,CDMX,124227,120910,0,273.339,176.87,1,0,3,0,0,0,NONE,0,84,WA,2019-10-18
2020,EB2,BR,DEL,55711,55711,0,42.9891,143.99,1,1,4,1,1,0,212A3,0,36,PA,2019-10-19
2018,EB3,NG,GZC,177386,22442,118177,99.0092,0.92,1,1,1,0,0,0,NONE,0,89,WA,2019-10-20
2015,K1,DE,BJG,180965,180965,0,345.2893,122.47,0,0,3,0,0,0,NONE,0,74,TN,2019-10-21
2014,EB1,NG,CDMX,185071,185071,0,194.2694,119.39,1,1,4,0,0,0,NONE,0,45,OH,2019-10-22
2010,F1,PH,CDMX,38184,38184,0,339.4495,161.36,0,1,3,0,1,0,NONE,0,80,NC,2019-10-23
2013,H2B,DE,FRA,115945,115945,0,306.3096,177.89,0,1,4,1,1,0,NONE,1,50,TX,2019-10-24
2020,DV,BR,HAN,65238,58067,0,104.4197,143.91,0,1,6,1,1,0,NONE,0,67,NJ,2019-10-25
2021,O1,AR,HYD,110962,110962,0,155.8798,110.84,0,1,4,1,0,0,212A7,1,83,FL,2019-10-26
2012,EB2,VN,LAG,66872,66872,0,336.6499,202.0,1,0,4,1,1,0,NONE,0,62,OR,2019-10-27
2020,EB2,CN,SHG,53133,53133,0,17.74,114.31,0,1,0,0,1,0,NONE,0,65,OR,2019-10-28
2017,H2B,GB,LAG,145930,145930,0,308.1201,52.74,0,0,0,1,1,0,NONE,0,15,VA,2019-10-29
2022,EB1,GB,ABJ,95918,95918,0,195.6602,63.62,1,1,5,0,1,0,212A8,0,51,TX,2019-10-30
2024,DV,DE,MNL,73958,70480,0,105.1603,22.39,0,1,1,1,0,0,NONE,0,11,VA,2019-10-31
2018,ASYLEE,BR,DEL,181753,888,162849,172.9104,101.92,0,0,2,0,1,0,212A3,0,47,NJ,2019-11-01
2020,U,EG,PAR,89960,89960,0,68.2905,37.57,0,1,1,1,0,0,NONE,0,29,MN,2019-11-02
2020,DV,IN,MNL,239096,233835,0,350.9106,232.06,1,0,3,1,0,0,NONE,0,42,MD,2019-11-03
2023,ASYLEE,CO,CDMX,143517,143517,0,233.1407,21.87,0,1,0,1,0,0,212A4,0,18,IL,2019-11-04
2012,O1,NG,HYD,202570,162156,7658,99.0808,128.54,1,1,0,0,1,0,NONE,0,84,MI,2019-11-05
2019,PAROLE,KR,SHG,28421,28421,0,31.5409,1.69,0,1,6,0,1,0,NONE,0,83,NC,2019-11-06
2012,PAROLE,KR,SHG,207436,193686,0,134.881,179.07,1,0,1,0,1,0,NONE,0,49,CA,2019-11-07
2024,U,FR,MUM,249130,9656,214100,72.9111,229.21,0,1,5,1,0,0,NONE,0,21,MD,2019-11-08
2023,J1,KR,HCM,212850,141748,36450,181.3012,176.98,1,0,0,1,1,0,NONE,0,55,VA,2019-11-09
2022,H2A,BR,GDL,121552,121552,0,258.0313,123.06,1,0,0,1,0,0,212A7,0,82,NY,2019-11-10
2020,H2A,AR,MUM,126614,126614,0,309.7014,169.36,0,0,6,0,1,0,NONE,0,21,GA,2019-11-11
2021,PAROLE,FR,BJG,79697,79697,0,2.7215,187.13,0,0,6,1,0,0,212A1,0,0,OR,2019-11-12
2017,B1B2,ET,DEL,104287,9085,64471,157.6316,184.84,1,1,2,1,1,0,NONE,0,5,AZ,2019-11-13
2010,TPS,EG,ROM,170391,170391,0,323.6117,219.89,0,0,1,0,1,0,NONE,0,88,TN,2019-11-14
2011,B1B2,KR,BLR,28597,28597,0,350.8918,155.66,1,1,4,0,1,0,NONE,0,33,PA,2019-11-15
2012,T,AR,MAD,119864,68543,24136,73.0519,239.13,0,1,0,0,0,0,NONE,0,31,TX,2019-11-16
2013,DV,CO,HCM,33897,33897,0,109.352,150.95,1,0,2,1,1,0,NONE,0,18,VA,2019-11-17
2022,H2A,KR,HYD,74522,74522,0,290.9421,234.56,0,0,0,1,1,0,212A8,1,28,MI,2019-11-18
2018,EB3,IT,FRA,110657,4266,66140,146.2322,125.63,0,1,1,1,0,0,NONE,0,10,MD,2019-11-19
2019,H2A,CN,ABJ,29072,29072,0,12.7323,60.54,0,1,3,1,0,0,NONE,0,88,IL,2019-11-20
2010,ASYLEE,CN,ABJ,209803,105255,91622,247.0824,232.55,0,1,5,0,0,0,212A9,0,87,MA,2019-11-21
2016,IR1,CO,ABJ,180771,151083,0,317.7525,48.75,1,1,1,0,0,0,NONE,1,71,CO,2019-11-22
2019,O1,AR,CDMX,60325,60325,0,329.2126,38.27,0,1,1,1,1,0,212A5,0,21,MI,2019-11-23
2025,F1,DE,GZC,89611,66000,0,323.6227,57.08,0,0,3,1,0,0,NONE,0,18,CA,2019-11-24
2016,TPS,DE,FRA,168114,89646,35414,278.6128,58.03,0,0,5,0,1,0,NONE,0,85,AZ,2019-11-25
2019,CR1,IT,ROM,159742,159742,0,218.8229,124.65,1,1,3,1,1,0,NONE,0,63,OH,2019-11-26
2025,L1,IT,CHE,240749,27719,173379,299.133,143.15,0,1,2,0,1,0,212A1,0,75,AZ,2019-11-27
2012,TPS,NG,HAN,158514,39139,115197,190.6431,229.14,0,0,0,0,0,0,NONE,0,89,NY,2019-11-28
2023,H1B,ET,BJG,46197,46197,0,224.1532,161.21,0,0,2,0,0,0,NONE,0,35,VA,2019-11-29
2015,J1,KR,MAD,232715,165063,56223,84.0233,92.39,1,1,2,0,1,0,212A6,0,12,OH,2019-11-30
2018,EB3,EG,ROM,116407,116407,0,257.3234,151.4,1,0,4,0,0,0,212A8,0,44,NJ,2019-12-01
2011,ASYLEE,AR,PAR,83471,36263,3573,11.7335,238.75,0,1,1,0,0,0,NONE,0,77,CO,2019-12-02
2024,IR1,GB,HYD,8805,8805,0,216.2936,64.18,1,0,2,0,0,0,NONE,0,62,AZ,2019-12-03
2015,L1,CN,HYD,162154,97822,60647,59.5537,189.88,1,0,2,0,0,0,NONE,0,48,TX,2019-12-04
2021,EB1,BR,BLR,99870,41902,33306,172.5438,83.64,1,1,6,0,0,0,NONE,0,18,OH,2019-12-05
2024,CR1,JP,SHG,53142,53142,0,24.7939,157.3,1,0,5,0,1,0,212A7,0,48,TN,2019-12-06
2017,H1B,MX,ABJ,26416,26416,0,127.674,66.8,0,1,0,0,0,0,NONE,0,12,VA,2019-12-07
2012,H2B,DE,GZC,47086,47086,0,162.2541,69.46,0,1,2,1,0,0,212A1,0,64,CA,2019-12-08
2011,EB2,FR,LAG,77137,77137,0,163.6842,16.67,1,1,2,0,1,0,NONE,0,14,MN,2019-12-09
2015,H1B,BR,HCM,3489,3489,0,344.0343,186.74,1,0,4,0,1,0,NONE,1,60,AZ,2019-12-10
2024,TPS,MX,HAN,26481,26481,0,198.8044,76.83,1,0,2,0,0,0,NONE,0,61,TX,2019-12-11
2012,DV,PK,MNL,148375,148375,0,227.3445,219.27,1,1,3,1,0,0,NONE,0,44,MD,2019-12-12
2025,K1,DE,CDMX,63770,63770,0,223.1546,129.64,0,1,5,1,1,0,NONE,0,37,AZ,2019-12-13
2025,T,CO,ABJ,148269,13479,95521,316.3247,10.39,1,1,3,0,0,0,NONE,0,29,NJ,2019-12-14
2020,H1B,AR,BJG,185578,67593,92260,353.7348,181.01,0,1,5,0,1,1,NONE,0,26,CA,2019-12-15
2017,H2A,PH,ABJ,150018,67933,67019,6.1849,193.0,1,1,1,0,1,0,212A3,0,57,FL,2019-12-16
2016,PAROLE,DE,HCM,206871,110363,84520,36.725,104.4,0,1,1,1,0,0,NONE,0,73,PA,2019-12-17
2011,O1,CO,PAR,184463,176902,0,354.4551,228.92,1,1,0,1,0,0,NONE,0,50,CA,2019-12-18
2013,B1B2,KR,MUM,59632,59632,0,238.4852,15.9,1,1,4,1,0,0,NONE,0,32,MI,2019-12-19
2022,EB1,KR,HYD,7622,7622,0,146.2553,93.32,0,1,4,1,0,0,NONE,0,59,MD,2019-12-20
2011,DV,KR,MNL,90058,90058,0,314.3554,225.66,0,0,2,1,1,1,NONE,0,26,PA,2019-12-21
2013,F1,VN,MUM,66201,25360,33308,277.3055,181.92,0,1,2,1,0,0,212A9,0,45,IL,2019-12-22
2012,EB2,PH,CHE,13378,13378,0,2.3956,131.96,1,1,3,1,0,0,NONE,0,78,NY,2019-12-23
2024,O1,IN,DEL,110686,48389,39295,278.0957,25.76,1,1,5,0,0,1,212A7,0,50,AZ,2019-12-24
2015,H2B,PH,MUM,193387,193387,0,128.6858,213.99,0,1,2,1,0,0,NONE,0,71,TX,2019-12-25
2016,O1,ET,CHE,72702,69054,0,95.2359,7.38,1,1,1,0,0,0,NONE,0,44,MN,2019-12-26
2011,EB1,MX,BLR,228007,97810,98223,62.856,188.1,1,1,3,0,0,0,NONE,0,26,AZ,2019-12-27
2011,U,KR,GDL,65142,11884,26257,119.4661,55.93,0,0,5,0,0,0,NONE,0,65,TN,2019-12-28
2024,CR1,DE,ABJ,2194,2194,0,71.9062,72.77,0,1,5,0,1,0,212A6,0,77,TN,2019-12-29
2021,PAROLE,IT,DEL,102941,57233,0,354.5363,19.72,0,1,5,0,1,0,212A9,0,84,MD,2019-12-30
2021,H1B,BR,HCM,87653,87653,0,288.5064,138.56,0,1,5,1,0,0,NONE,0,70,VA,2019-12-31
2021,PAROLE,CN,MNL,57432,55887,0,3.9665,160.52,1,0,4,1,0,0,212A4,0,10,CA,2020-01-01
2023,DV,MX,ABJ,106456,95298,0,347.2166,14.15,0,0,1,0,0,0,NONE,0,54,MD,2020-01-02
2014,EB1,JP,CHE,133026,25542,71269,97.7567,67.52,0,0,1,0,0,0,212A5,0,48,TN,2020-01-03
2016,B1B2,JP,MUM,21170,21170,0,68.4068,117.45,1,1,6,0,0,0,212A1,0,85,OR,2020-01-04
2014,L1,IN,SHG,108392,108392,0,24.6169,177.15,0,0,1,1,0,0,212A10,0,71,CA,2020-01-05
2021,IR1,MX,CDMX,82071,82071,0,29.137,96.87,0,1,1,0,1,0,NONE,0,9,NJ,2020-01-06
2017,U,CN,CHE,126465,126465,0,140.7871,162.05,1,1,1,0,0,0,NONE,0,25,MN,2020-01-07
2025,EB3,ET,HAN,184170,184170,0,37.2172,123.45,0,1,5,0,1,1,NONE,1,4,CA,2020-01-08
2012,CR1,MX,FRA,43495,43495,0,3.2273,216.34,0,0,1,1,0,0,NONE,0,60,VA,2020-01-09
2013,L1,DE,LAG,220142,133318,62602,37.4774,206.75,0,0,5,0,0,0,NONE,0,17,WA,2020-01-10
2019,U,IN,LAG,200190,200190,0,348.7975,82.3,0,0,6,1,0,0,212A1,0,36,MA,2020-01-11
2018,EB2,JP,GDL,4957,4957,0,206.8176,178.63,0,1,1,1,0,0,NONE,0,14,VA,2020-01-12
2019,ASYLEE,KR,BJG,122919,122919,0,36.9877,20.42,0,1,2,1,0,0,NONE,0,82,CO,2020-01-13
2016,H2A,VN,PAR,212102,98582,70376,307.2978,49.07,0,1,2,0,0,0,NONE,0,22,AZ,2020-01-14
2022,O1,EG,ROM,14257,14257,0,115.7679,225.72,0,1,4,0,1,0,NONE,0,16,OH,2020-01-15
2020,EB2,ES,HYD,21438,13778,0,31.228,227.49,0,1,2,1,1,0,212A5,0,53,PA,2020-01-16
2022,L1,ET,LAG,83975,83975,0,182.1481,138.5,1,1,5,0,1,0,NONE,0,60,TX,2020-01-17
2015,TPS,CN,SHG,231886,175800,27399,259.0382,209.09,1,1,4,0,0,0,NONE,0,39,OR,2020-01-18
2023,F1,EG,CDMX,101050,3457,63732,278.8083,24.72,0,1,5,0,1,0,NONE,0,19,OH,2020-01-19
2023,T,KR,DEL,233458,8775,194738,326.3584,13.9,0,1,6,1,0,0,NONE,0,14,MI,2020-01-20
2011,EB2,GB,ABJ,87251,87251,0,123.7585,215.82,0,0,2,1,1,0,NONE,0,81,MN,2020-01-21
2010,H2A,CO,GDL,235950,116767,108463,97.6586,104.34,1,0,6,1,1,0,NONE,0,17,GA,2020-01-22
2017,U,GB,CHE,99884,86587,0,29.4887,231.87,0,1,6,0,1,0,NONE,0,88,AZ,2020-01-23
2013,IR1,DE,SHG,45583,45583,0,209.0988,208.57,0,0,4,0,1,1,NONE,0,78,IL,2020-01-24
2022,TPS,ET,DEL,143535,32550,88456,206.5589,114.24,1,1,4,0,0,1,NONE,0,81,VA,2020-01-25
2016,T,VN,FRA,235721,232820,0,20.459,184.12,1,0,5,0,0,0,NONE,1,58,WA,2020-01-26
2020,F1,FR,ROM,233397,81352,148323,331.6991,45.54,1,1,4,1,0,0,212A6,0,36,NY,2020-01-27
2013,K1,FR,GZC,96403,52637,33911,195.3592,23.43,0,1,6,0,1,0,212A2,0,68,FL,2020-01-28
2025,CR1,BD,MNL,128818,128818,0,182.4093,201.89,0,0,1,0,1,0,212A6,0,47,NC,2020-01-29
2021,PAROLE,PH,MNL,198139,56074,95737,306.9694,50.52,1,1,0,1,1,0,NONE,0,59,MD,2020-01-30
2017,IR1,CO,HAN,61623,61623,0,162.3695,217.02,0,1,0,1,1,0,NONE,1,86,AZ,2020-01-31
2014,EB2,GB,ABJ,91069,91069,0,62.0996,111.47,0,1,3,0,1,0,212A9,0,19,MI,2020-02-01
2021,IR1,JP,DEL,8512,8512,0,361.3097,10.35,0,1,4,0,0,0,212A9,0,67,WA,2020-02-02
2021,L1,KR,MNL,77796,77796,0,254.7898,155.1,1,0,6,0,1,1,NONE,0,87,WA,2020-02-03
2024,H1B,KR,LON,26508,26508,0,309.7499,213.19,1,1,4,0,1,0,NONE,0,42,IL,2020-02-04
2019,H2A,KR,GDL,130015,5115,109061,360.76,205.57,1,1,1,1,1,0,NONE,0,43,GA,2020-02-05
2022,DV,CN,CHE,243254,182084,15385,314.0201,184.03,1,1,3,0,0,0,NONE,0,39,CO,2020-02-06
2017,CR1,BD,SHG,50726,50726,0,261.4702,48.94,0,1,3,0,1,0,NONE,0,69,PA,2020-02-07
2017,CR1,IN,CHE,22758,22758,0,339.2503,11.61,0,1,5,0,0,0,NONE,0,46,NJ,2020-02-08
2022,IR1,BR,DEL,43340,43340,0,106.3904,177.24,1,1,5,0,1,0,NONE,0,44,OR,2020-02-09
2011,TPS,CO,HYD,131076,130417,0,148.7105,12.17,1,1,3,0,1,0,NONE,0,80,PA,2020-02-10
2013,F1,CO,MUM,137567,137567,0,171.3106,68.01,0,1,6,0,0,0,212A4,0,18,MA,2020-02-11
2012,H2B,AR,CDMX,18007,18007,0,45.1007,13.74,0,1,3,1,0,0,212A8,0,80,OH,2020-02-12
2014,CR1,ES,ABJ,137621,118498,14775,193.4308,237.24,0,1,1,0,1,0,NONE,0,21,MI,2020-02-13
2011,B1B2,CO,ABJ,103694,103694,0,186.1509,52.3,1,0,6,0,0,0,NONE,0,53,GA,2020-02-14
2017,PAROLE,CO,ABJ,212962,37213,175635,348.731,125.35,0,1,3,1,0,1,NONE,0,67,AZ,2020-02-15
2013,CR1,BR,ROM,43878,43878,0,145.3411,200.51,1,1,1,1,1,0,NONE,0,14,NJ,2020-02-16
2011,H1B,CO,SHG,19093,19093,0,217.2712,228.9,1,1,0,1,0,0,NONE,0,18,FL,2020-02-17
2014,K1,AR,LON,227666,181292,11112,295.7313,224.9,0,1,2,1,0,0,NONE,0,25,WA,2020-02-18
2015,T,ET,DEL,51292,45833,0,34.8814,19.2,0,0,6,1,0,1,NONE,0,72,NJ,2020-02-19
2020,K1,EG,DEL,171208,85739,82897,198.7715,65.75,0,1,0,1,0,0,NONE,0,47,GA,2020-02-20
2012,EB3,VN,GDL,92732,92732,0,38.3416,203.12,1,1,4,1,0,0,212A8,0,66,FL,2020-02-21
2025,DV,EG,SHG,186631,90823,85171,66.1317,207.24,1,1,0,0,1,0,212A4,0,34,VA,2020-02-22
2020,L1,CO,LAG,98012,98012,0,84.3418,210.96,1,0,3,1,1,0,NONE,0,25,NY,2020-02-23
2019,ASYLEE,PH,HCM,51428,51428,0,210.2019,149.47,0,1,5,0,0,0,NONE,0,54,AZ,2020-02-24
2019,EB2,NG,CHE,207829,37688,125638,106.802,200.14,0,1,4,1,1,0,NONE,0,35,MI,2020-02-25
2015,H2A,BD,CHE,93916,93916,0,185.3321,30.56,0,1,1,0,0,0,212A7,0,17,WA,2020-02-26
2012,ASYLEE,CN,SHG,18319,15481,0,135.3922,2.1,0,1,2,0,0,0,212A9,0,81,MA,2020-02-27
2020,H1B,EG,BJG,240553,114038,106624,181.6323,26.93,0,0,4,1,0,0,NONE,0,68,VA,2020-02-28
2013,H2B,MX,HYD,72780,72780,0,285.0924,118.06,0,1,4,0,0,0,212A4,0,47,WA,2020-02-29
2022,IR1,CN,CHE,176539,145331,19149,104.1425,214.33,1,0,0,0,0,0,212A7,0,41,AZ,2020-03-01
2016,EB3,IT,FRA,112244,112244,0,348.2026,130.78,1,0,1,0,1,0,NONE,0,62,OR,2020-03-02
2019,ASYLEE,IN,HYD,111756,111756,0,352.3027,141.59,0,1,0,1,1,0,NONE,0,72,MA,2020-03-03
2010,EB3,GB,BLR,97563,78059,0,319.0128,228.35,0,1,6,0,1,0,NONE,0,63,WA,2020-03-04
2019,H1B,CO,HCM,18493,18493,0,106.1929,143.78,1,1,0,0,1,0,NONE,0,14,CO,2020-03-05
2012,TPS,PK,PAR,195076,78779,79833,252.473,12.85,0,1,6,1,1,0,212A2,0,43,MA,2020-03-06
2014,ASYLEE,ET,ROM,186833,186833,0,10.7231,176.26,0,0,0,0,0,1,NONE,0,69,MI,2020-03-07
2019,H2B,EG,ABJ,100957,58162,8003,143.8932,73.15,0,1,6,1,1,0,NONE,0,76,MN,2020-03-08
2016,CR1,DE,MNL,70857,70857,0,204.4433,188.94,1,0,3,1,1,0,NONE,0,15,IL,2020-03-09
2020,H2A,CO,BJG,231360,27161,180467,59.5534,179.54,0,1,5,1,1,0,212A1,0,35,AZ,2020-03-10
2015,B1B2,KR,DEL,29305,29305,0,151.6035,66.3,1,1,4,0,1,0,212A1,0,16,NJ,2020-03-11
2012,PAROLE,MX,GDL,184398,184398,0,148.4836,57.47,0,1,3,0,0,0,212A6,0,29,FL,2020-03-12
2022,H1B,IT,BJG,54944,9074,38048,55.7837,171.27,0,1,4,0,1,0,NONE,0,42,CO,2020-03-13
2025,H1B,EG,MAD,82013,82013,0,112.3438,19.33,0,0,4,0,0,0,212A9,0,87,AZ,2020-03-14
2025,H2B,DE,ROM,234676,199320,16249,240.0339,160.56,1,1,4,0,1,0,212A2,0,28,NJ,2020-03-15
2021,EB2,IT,BLR,92510,77570,0,175.744,51.28,0,1,2,0,1,0,NONE,0,24,TN,2020-03-16
2011,H1B,CO,HYD,136245,136245,0,169.2141,79.41,1,0,6,1,0,0,212A2,0,8,CO,2020-03-17
