econ_output_bea_release_quarter,econ_output_cbsa_code,econ_output_industry_naics_2,econ_output_gross_output_current_dollars,econ_output_gross_output_real_chain,econ_output_value_added_current_dollars,econ_output_value_added_real_chain,econ_output_personal_income_total,econ_output_per_capita_income,econ_output_compensation_of_employees,econ_output_proprietors_income,econ_output_rental_income_persons,econ_output_dividends_interest_rent,econ_output_transfer_receipts,econ_output_contributions_social_insurance,econ_output_price_deflator_index,econ_output_employment_full_time_equiv,econ_output_productivity_index,econ_output_data_revision_indicator,econ_output_benchmark_year
2024Q3,10389,45,658983475,567160233,341864571,294228910,475965868,112755,266461500,32158476,19913668,57039529,51620236,29091770,116.19,1827182,82.11,3RD,2017
2016Q2,10390,32,685226859,582527297,253347084,215376251,351318010,64739,158303638,47017740,29612002,47490339,30381876,13662213,117.63,1404772,140.89,FINAL,2012
2018Q4,10391,22,958786503,768135317,580990219,465462441,651508690,85734,332140751,36303025,13901417,131000795,55767860,28810727,124.82,689350,94.83,FINAL,2022
2019Q1,10392,44,384026895,316175609,232776770,191648913,252146020,81193,100391632,32278802,9595891,32469088,36837689,8232967,121.46,162885,141.2,ADV,2022
2023Q4,10393,31,474165060,393792094,179758549,149288721,171465204,61251,97186463,28749802,17141463,24609950,22259946,8270698,120.41,438865,127.83,FINAL,2017
2025Q1,10394,51,417669338,347016731,195862398,162730474,241263778,96432,124207751,32182350,22024814,42368489,17375987,13218212,120.36,356500,80.68,ADV,2017
2018Q1,10395,49,249646339,240067640,118159762,113626081,160277651,30260,86397047,19912007,10759569,23989751,22523294,5858056,103.99,620603,139.1,3RD,2017
2023Q1,10396,49,411525903,362737684,274930144,242335958,349178574,111782,127455736,26264247,24413522,70483375,19341331,9221306,113.45,743252,80.7,FINAL,2017
2025Q2,10397,45,572984670,460450554,339119355,272516357,354777995,76022,203950115,54029605,11634991,76005342,22633981,28315009,124.44,1823463,94.97,2ND,2012
2023Q4,10398,32,513775507,526787150,202407708,207533793,181152017,35084,81374870,27759097,6067989,28198825,30940807,12844446,97.53,631901,130.93,3RD,2012
2017Q1,10399,54,990815681,967498956,364345618,355771524,433317097,96005,206286693,46886951,33775041,79352597,77122912,24591033,102.41,1622282,139.48,3RD,2012
2020Q3,10400,52,535838667,475076396,267940140,237556645,332679893,82871,136697715,48478427,16129954,42690785,53825904,11932887,112.79,2191492,122.77,BENCH,2022
2023Q4,10401,56,295653444,304420762,160569315,165330843,188991632,29279,108712201,32011976,16467936,19979544,26766264,5778622,97.12,1183534,90.42,3RD,2022
2020Q4,10402,72,374919885,347341009,241993314,224192435,205138758,86026,103098691,34218583,10856349,21523801,17694649,7145170,107.94,1884092,139.87,BENCH,2022
2023Q3,10403,45,322558585,291354516,127573237,115231900,141225788,61911,50331663,20097578,7872143,21804437,11304214,7331045,110.71,1742561,125.94,FINAL,2012
2024Q2,10404,45,359276385,384705413,156867965,167970837,198779554,31182,72630983,28538104,14731032,22322968,17796386,6271822,93.39,17923,137.46,3RD,2017
2016Q4,10405,52,464192438,478598245,312251895,321942360,325607599,41021,116735225,34847460,9994618,26968723,23157560,10655420,96.99,2094018,116.97,BENCH,2022
2018Q3,10406,71,710285973,762518490,278323084,298790214,267484364,59378,101291893,47150266,15288154,22657192,24850754,19791487,93.15,658256,93.02,ADV,2012
2023Q2,10407,31,747295263,614956602,279468578,229977434,275382824,111595,165462864,38561175,8577268,24670225,30052833,8738117,121.52,595960,79.61,BENCH,2022
2020Q2,10408,23,307349417,343330448,195115426,217957357,183223806,112675,104868950,19906837,17574677,37301563,24355337,7780390,89.52,496121,134.63,ADV,2017
2019Q3,10409,48,598668251,615597173,217004458,223140831,285054099,87278,129428135,33323393,14340943,60915605,38211835,19360336,97.25,987558,80.82,FINAL,2022
2023Q1,10410,92,468880453,387408455,307054313,253700994,354879922,105865,154252351,23728137,34209873,73113099,59226184,28306404,121.03,1066806,78.85,BENCH,2012
2019Q1,10411,71,407026139,310991854,183302100,140053561,231487845,112319,94477948,34649473,7251739,26341144,32389609,11593627,130.88,1103260,120.81,BENCH,2012
2023Q3,10412,62,347417779,355924371,191753237,196448353,171315807,33596,98200146,21856397,5865907,14688886,12518663,3628267,97.61,354182,118.45,ADV,2017
2016Q3,10413,22,335845018,258800199,250033038,192673991,266686247,80114,157184397,45151353,19511346,31628233,33650795,11197206,129.77,2173253,88.71,2ND,2017
2023Q1,10414,21,371881288,364804089,154739092,151794283,205805704,107518,121500238,22873033,11041364,16716456,26433922,7781659,101.94,965170,114.12,3RD,2022
2022Q4,10415,49,817494955,641424053,501811049,393731698,524929175,104538,252289908,56623446,29319873,103975684,80106141,31307924,127.45,1045100,98.19,FINAL,2022
2024Q1,10416,52,776439333,702024713,389270970,351962902,395621369,77248,215120140,46410298,32778084,83885125,78323284,24576042,110.6,1630511,123.61,FINAL,2022
2022Q1,10417,53,734646882,646354814,462791110,407171485,406742529,65213,210498220,68012446,26445791,86457818,60751119,23260127,113.66,128814,98.07,3RD,2017
2024Q3,10418,44,155575850,143480448,96925963,89390356,113854267,57750,50186156,10936629,7924835,16658276,11739934,7026860,108.43,586156,143.25,ADV,2012
2016Q4,10419,56,903514690,735641337,373089689,303769491,392855042,97148,171193615,62570716,18867149,49876809,58819889,10416395,122.82,1676339,75.34,ADV,2017
2021Q1,10420,81,564730948,540567577,302644418,289695049,322079736,101451,170589663,49160429,20849893,26922836,53839717,15275346,104.47,1879700,121.18,ADV,2022
2019Q2,10421,55,748031847,637490921,477206408,406686900,509604146,40766,205424086,88356396,17723884,104617697,49256641,25866739,117.34,1733617,123.78,ADV,2022
2018Q1,10422,49,445348718,387394501,287998191,250520347,328516805,57544,137843595,33648898,9355748,59875135,35421521,15898493,114.96,164558,110.12,BENCH,2022
2020Q3,10423,52,532118145,545594325,207304650,212554752,256374101,59857,150616787,42316383,22398287,25773585,31762826,17759842,97.53,1697128,105.9,BENCH,2012
2019Q1,10424,81,945538978,761487459,379500938,305630134,434618942,89326,173323693,55658195,34485166,77924039,74908922,14880345,124.17,1019208,99.1,ADV,2017
2019Q4,10425,53,805308119,736046174,462121634,422376048,371717740,54112,171084923,63153293,27238414,73263775,28133470,11715169,109.41,1570642,95.41,3RD,2022
2025Q3,10426,56,305189189,283527675,165713006,153951139,140996901,77813,71754335,10371456,7148724,28166491,12894205,10054508,107.64,693827,119.79,3RD,2017
2023Q3,10427,31,326056224,286189962,220459996,193504780,277898731,101956,101112432,15619579,7257168,42498371,44397587,20728377,113.93,1205380,135.95,2ND,2017
2017Q2,10428,49,607243030,474408617,388208508,303287897,494901144,48932,300488673,51350927,16242545,54691926,62293242,26925760,128.0,182345,108.77,3RD,2017
2024Q2,10429,11,535627552,536432200,317005038,317481260,298420497,75490,178557128,16209818,23223614,41884966,51444278,7297405,99.85,994491,104.68,2ND,2017
2016Q3,10430,92,311035807,306620472,163701310,161377474,163850317,51423,97737879,23564028,13622037,34728754,16013007,6484961,101.44,1741272,124.01,ADV,2012
2017Q2,10431,32,471277093,454812867,342549706,330582615,384926253,87371,143366603,53369873,25887522,36474175,44004610,22452004,103.62,1378930,118.03,2ND,2012
2020Q2,10432,72,345072118,365387673,206168468,218306298,274147327,96062,97066349,39334500,25176363,33258427,27155631,11117256,94.44,1259240,119.86,ADV,2022
2023Q2,10433,31,649645477,524881213,477670918,385934328,440248671,52542,171897966,52909898,42933056,47304303,32735118,26247366,123.77,1229484,120.64,3RD,2012
2018Q4,10434,22,1512987015,1392789299,774045822,712552538,1017430528,46512,494016601,119016344,73257954,170205675,57338818,62124851,108.63,1446562,94.96,BENCH,2012
2020Q3,10435,62,308171364,343213458,230248656,256430177,213529073,86720,94097684,18545256,5717814,39365444,36044643,5453464,89.79,882872,135.42,BENCH,2012
2024Q2,10436,23,605476515,505490495,448008220,374025897,364236835,105162,212246239,39227281,7795502,52813659,58523846,19142002,119.78,618667,132.89,ADV,2022
2019Q1,10437,53,598801516,655143891,360779451,394725876,452939679,57906,269144787,56797619,22932435,53040703,37811904,26653136,91.4,1784548,96.37,2ND,2012
2020Q4,10438,62,438851337,369310222,204048607,171714724,226661547,83860,105505531,30266645,17439953,44375331,45188172,6893756,118.83,2076311,88.92,BENCH,2017
2025Q1,10439,49,401866297,385372360,181219875,173782005,210395031,60909,116759728,36037510,19126827,18357279,20414121,5870265,104.28,676745,79.66,3RD,2017
2022Q2,10440,51,408269392,352838469,236281172,204201168,240687115,49329,105216907,40549361,8692342,24079554,41332418,10435209,115.71,1333248,108.79,3RD,2022
2018Q1,10441,62,233356643,241395100,87943851,90973261,111388433,59862,66502540,7016735,10116638,24079976,11341004,5977954,96.67,1209046,144.84,ADV,2012
2023Q4,10442,45,180700324,156031711,78302013,67612480,86526144,40818,33902559,11554760,6540193,18951089,9632275,5784265,115.81,1458756,138.67,ADV,2017
2023Q3,10443,72,315268967,351627222,173161590,193131374,168655654,46564,92329903,20303729,10636547,18511961,11675059,13145004,89.66,610327,143.41,2ND,2017
2023Q3,10444,55,358766455,269485807,249821690,187652437,323533227,71414,189143333,56943354,7942269,55933727,62979205,12439615,133.13,1942628,102.97,BENCH,2022
2020Q2,10445,42,704672716,550353574,357456241,279175446,316392045,91833,154128979,28359641,11180968,51624061,16957369,24689754,128.04,297441,92.89,ADV,2017
2023Q3,10446,55,279748650,284876426,178608035,181881909,248542452,35060,103649498,12999486,21713727,50352147,30173892,17514126,98.2,301555,119.94,FINAL,2022
2024Q2,10447,42,373413956,373900026,257761714,258097240,305834898,60789,178143254,18830080,9318490,29006379,55076955,24199099,99.87,767300,107.51,FINAL,2012
2020Q1,10448,52,829435102,632046866,579925438,441915292,700827796,35324,405769989,111174706,15690097,102672941,114958998,28661839,131.23,1038082,135.69,3RD,2022
2016Q4,10449,81,722251402,749534456,407360063,422748094,365034502,95717,216002370,37100165,13992901,33120618,40713457,24958680,96.36,1324916,97.2,FINAL,2022
2023Q2,10450,92,616211873,555846900,282831541,255124969,301213135,104369,181205982,39754075,19901342,50465200,25070246,18574971,110.86,228780,114.05,2ND,2022
2022Q4,10451,23,842756903,736160817,523443490,457235753,615988065,94400,287146768,69963433,45464363,71419043,91344660,36044145,114.48,2043739,137.56,BENCH,2022
2019Q2,10452,11,1829802085,1874221126,1037097672,1062273555,864939223,88858,371425379,102211853,30429640,103310307,142405763,67701847,97.63,806086,140.26,3RD,2017
2020Q3,10453,52,461451128,404675198,188271665,165107134,240428743,41442,94994812,35054068,15348513,33869366,42033760,18835415,114.03,357288,102.61,FINAL,2017
2017Q1,10454,72,658279942,554948526,465340870,392295456,477350584,99254,239666436,37030335,13799239,74341024,31027112,17410632,118.62,2003932,123.67,ADV,2012
2017Q4,10455,48,454856020,353725811,296544281,230612241,356306438,110334,128853506,34510346,16239188,73397313,60011894,16386746,128.59,9109,141.16,2ND,2017
2023Q3,10456,54,442723826,385950506,182198043,158833618,197740783,81840,71256549,20817192,6948029,38945733,29080775,5677929,114.71,839528,114.85,2ND,2017
2018Q3,10457,45,309615205,238128907,180426529,138768289,211092931,31192,93479440,28157140,4874390,19142981,17417120,4646442,130.02,484771,83.01,3RD,2022
2023Q1,10458,71,1130419046,998956386,785558938,694201960,918820878,35526,380690848,163411931,75619624,75501780,130659997,27038607,113.16,615743,88.21,2ND,2012
2024Q3,10459,92,534331026,456888436,227715887,194712174,299286174,44692,169884129,38815263,15808120,51025057,23623418,10635737,116.95,701499,87.95,2ND,2012
2025Q3,10460,48,1044688462,786071078,596068628,448509126,722381260,34881,259023434,124105444,19696527,149502941,133613520,41725917,132.9,806585,130.38,ADV,2017
2020Q1,10461,55,587755495,466843125,320970569,254940881,257935391,39165,148659323,13516002,20307221,32934909,37338410,16464329,125.9,1574609,141.36,BENCH,2017
2020Q1,10462,55,314718348,235110076,223035237,166618286,214097140,38785,115625810,16471349,11096062,24753272,31931509,5747271,133.86,1861991,87.29,ADV,2012
2020Q4,10463,55,489518982,433356039,277600171,245750860,241567292,81573,132529977,15673333,6368644,41766739,22112742,10841017,112.96,903028,111.69,FINAL,2012
2023Q2,10464,42,670812183,688931070,390251631,400792473,337747329,76776,119958256,37035833,6856578,34904238,37702340,14647531,97.37,1864822,123.79,ADV,2012
2023Q3,10465,53,541076289,419731820,225426760,174871430,224638769,76887,130555068,22876703,21780554,37788820,37844604,16630695,128.91,969397,131.59,BENCH,2022
2025Q3,10466,53,195653633,164622325,86335643,72642527,119562476,113827,62751739,9447222,3523233,19582064,13021966,2898601,118.85,1076889,85.51,2ND,2017
2025Q4,10467,22,489310690,368873494,268170118,202163677,251268057,60006,115388309,44085683,9371901,28643111,32263496,16165533,132.65,417804,110.49,3RD,2022
2020Q3,10468,33,399699036,394336066,166815206,164576959,211512174,65473,107114407,29854657,10736708,44146239,31853107,11221870,101.36,1109502,93.12,BENCH,2017
2017Q3,10469,71,394517266,323268818,241447159,197842641,292383524,76626,173653604,40799889,27937636,49665958,34565961,16024942,122.04,484373,121.49,3RD,2012
2021Q1,10470,52,244675842,230586978,166293155,156717703,201739943,76861,88264491,34523693,4608200,43646820,18217666,11985043,106.11,1744725,134.27,BENCH,2017
2021Q3,10471,33,1247532654,1328575776,621051344,661396532,692885938,77669,382840983,99196482,37247477,118418542,100193974,33315206,93.9,1622121,113.5,3RD,2017
2024Q3,10472,49,793319264,829918678,524359232,548550300,614322461,94871,348905329,100094721,48975994,129411897,102982304,38261687,95.59,1670288,130.91,3RD,2012
2025Q2,10473,21,320841425,328764653,239181330,245087950,311636576,112647,152274061,51190982,24275849,49561635,17174513,21831669,97.59,198017,123.42,BENCH,2012
2021Q1,10474,31,433909959,393176839,286932236,259996589,353744019,28084,214215787,20138079,34341896,55001266,70410751,14742438,110.36,610833,77.05,3RD,2017
2017Q1,10475,11,925568195,748478243,502325330,406214888,564842505,87830,320062312,62863105,38222647,120097299,77474124,43699331,123.66,582009,127.21,FINAL,2017
2016Q2,10476,51,215256099,163320257,149480479,113414627,149228623,93592,58900890,9570806,10395334,31368118,19693803,10765660,131.8,1861518,96.21,ADV,2012
2022Q3,10477,72,1067109073,1182916609,525269578,582274225,462879069,114658,240236865,57129462,44132405,96422058,45391442,9517400,90.21,1832244,99.28,3RD,2022
2016Q3,10478,33,581739891,462542650,348333397,276960640,440292433,87156,193130377,35700060,19097826,55358561,73239150,26968129,125.77,1195996,129.38,ADV,2017
2025Q2,10479,61,615265560,612021844,227920089,226718481,215419436,34473,119937202,36454785,18369513,27610746,36285070,4927901,100.53,2134666,142.63,ADV,2022
2020Q2,10480,62,447755389,427043766,199385038,190162173,214229804,66230,121684043,27634631,14151481,25247493,30218775,14982934,104.85,777387,117.81,BENCH,2017
2022Q3,10481,21,604811486,535658034,265278922,234947234,289936001,93556,134670729,43145606,7581088,39283292,14619514,11375449,112.91,405454,133.57,3RD,2022
2020Q4,10482,42,1291388204,1060775591,566134189,465035476,563235518,34914,330773253,48521901,15331355,111437687,63064026,29201939,121.74,1123099,126.23,FINAL,2012
2021Q3,10483,52,512642406,545712589,240244350,255742336,246626775,34756,112348292,32860321,19746050,52225347,45507158,13438730,93.94,1647231,135.8,FINAL,2017
2019Q3,10484,22,344167367,340220806,203280697,200949681,246141652,107093,145015276,22528962,7260895,46057308,33945820,14448622,101.16,1692529,117.57,BENCH,2012
2020Q4,10485,62,373546456,348165212,258556949,240988861,272680642,36486,126477501,20340552,25736504,28487117,45926568,19010619,107.29,1256018,139.46,FINAL,2012
2022Q1,10486,62,817823810,720676604,438221133,386165961,584025201,38227,228649791,31884064,54919604,109763488,100514704,27318422,113.48,963402,122.81,ADV,2022
2018Q4,10487,21,557563631,442054730,311362109,246858090,422972153,78198,167760909,36210610,37557999,41341695,48100701,12079565,126.13,2161746,108.58,2ND,2017
2021Q4,10488,56,546006845,495558944,395917755,359337225,440089304,56005,207198180,25184385,36921075,80341490,40900441,13040695,110.18,750654,102.6,2ND,2022
2018Q4,10489,71,368710738,388034875,213663172,224861263,202102627,114618,87336071,28859937,5879611,38588761,36116130,11134161,95.02,1615723,101.22,3RD,2022
2020Q2,10490,71,983401085,978119241,642739196,639287046,550145161,58079,291395577,61110021,46353120,102707504,50625622,23842939,100.54,1337839,104.61,2ND,2017
2019Q3,10491,51,517894209,441550182,187980281,160269657,155672628,48384,74320004,19672480,12176300,20389375,8365775,5083131,117.29,1486264,120.95,2ND,2022
2018Q1,10492,32,324101756,329037316,124667917,126566413,157757195,72541,85033425,19305824,4247277,29319971,24026859,9586623,98.5,1386582,89.15,BENCH,2017
2020Q1,10493,56,202264691,210824152,83776123,87321371,105077754,81369,39279029,15787892,2764477,21921779,10651247,6126618,95.94,2116670,103.7,BENCH,2022
2024Q1,10494,48,263019552,264181953,180581921,181379993,251069577,111808,106351537,32044375,15514592,33792834,32990058,18125215,99.56,866893,135.49,ADV,2012
2016Q4,10495,54,594836259,559477294,345360186,324830875,423386133,29557,229135643,73132864,34537551,43233311,65779680,26613504,106.32,1803015,105.17,FINAL,2012
2022Q3,10496,42,312350356,311664694,182531328,182130641,174086013,31183,94403222,18493356,11122242,16882728,25660655,5430232,100.22,1908210,139.78,ADV,2017
2024Q2,10497,45,175740769,144144332,120110968,98516214,155417817,29255,72552618,14562458,4168144,33419175,29563086,12114109,121.92,642735,83.6,ADV,2012
2024Q2,10498,55,318639789,254260923,216841187,173029993,175300870,48070,90391121,28147546,17226187,18517647,33353080,5085339,125.32,214789,90.28,ADV,2017
2021Q3,10499,48,450618643,517298408,273440834,313902920,340221615,63638,206732827,34912944,17942915,63589425,66960438,22081456,87.11,1836260,104.36,FINAL,2012
2022Q2,10500,49,652349871,604139536,482282433,446640520,546277047,89549,282731172,79842686,30680474,91537583,75137123,17735038,107.98,1752510,88.85,ADV,2012
2021Q4,10501,62,136757896,138657504,99788567,101174660,129406355,69897,49492127,11871989,10722122,12112268,9413309,9043062,98.63,910030,97.24,3RD,2017
2022Q1,10502,62,472981246,452570324,237866463,227601630,247099237,66217,124830544,31818242,7376648,24803171,35792017,12116722,104.51,1449444,82.84,ADV,2022
2016Q3,10503,92,760904146,806555169,335084918,355188592,274835057,84998,100177887,24527998,15198583,32692911,41923062,7089316,94.34,719599,110.78,FINAL,2012
2020Q3,10504,21,314387202,355842900,140622544,159165302,188816985,110850,85100026,32805875,12253056,29487032,15872170,8853731,88.35,368281,142.69,FINAL,2022
2025Q1,10505,21,363583726,311021151,236276723,202118668,281148142,91193,117816909,37806898,24024820,31147749,32706822,13029414,116.9,544919,118.55,2ND,2017
2016Q2,10506,31,536424355,402993280,244613713,183768096,339243061,40044,208164349,57303313,22454598,57132081,23678203,14318517,133.11,1840720,85.68,3RD,2012
2024Q3,10507,81,295400580,242648743,110473802,90745689,130919686,31226,47062772,9631015,4491557,17358758,14816447,5444111,121.74,504441,90.22,3RD,2012
2016Q3,10508,21,307101431,229231493,127188664,94938168,136186560,35050,67347449,16577631,12578969,16594775,11452576,5614717,133.97,190625,141.46,3RD,2017
2021Q1,10509,11,457780266,343524138,262773422,197188520,243835082,54231,141089700,29684282,14964350,40565886,48759232,12062656,133.26,777002,79.9,2ND,2022
2022Q1,10510,71,530052255,516217623,277345139,270106290,237437129,68306,107441312,12116509,15411092,44265280,35620867,10600792,102.68,1411905,96.54,ADV,2017
2022Q2,10511,53,646724136,530493098,482725834,395969021,585042378,94707,348665868,67168766,48744102,52731508,42289920,37455971,121.91,1175832,98.52,FINAL,2012
2024Q2,10512,51,489113130,389111480,198584413,157982827,222610374,32557,135163723,19166030,14331907,39251271,43867434,4516529,125.7,57551,104.17,FINAL,2012
2024Q4,10513,81,485817339,447881754,171385355,158002540,209561927,86349,124256415,27769489,18459515,31876539,15275182,15626378,108.47,133343,95.78,ADV,2012
2020Q2,10514,81,549595736,543723522,339536181,335908371,403466217,68081,244027968,67412645,9926274,75548542,57164776,11280540,101.08,652022,144.12,3RD,2022
2020Q2,10515,31,313404573,238004688,120253491,91322517,96270697,53200,44650520,14428436,5810522,7824304,11100479,3174090,131.68,1352554,141.76,ADV,2022
2016Q1,10516,45,169984934,194513027,112648540,128903238,138688191,106644,59538694,12569753,10990310,17233912,18591881,7195051,87.39,774742,83.07,ADV,2017
2017Q4,10517,23,309087053,294789750,134927485,128686204,165850618,68234,62125930,19176054,16024856,26246635,23518216,5223622,104.85,824124,107.04,BENCH,2022
2025Q4,10518,72,380381778,284142659,187930688,140382975,234255744,34918,132588594,27443179,11102584,23006724,16043607,12228080,133.87,424984,98.52,ADV,2022
2016Q3,10519,22,322232816,351782550,233233349,254621560,195926098,101956,83229466,15651696,13676845,40458301,21742644,9146504,91.6,2175321,105.45,3RD,2017
2023Q1,10520,23,274643776,314489610,123156227,141023963,143999852,94786,81426784,19201354,10788509,13296114,10359418,8864609,87.33,672588,86.58,ADV,2017
2021Q3,10521,62,825331902,808673233,329612457,322959491,387571476,103776,153846214,30372126,20782481,40187583,29300360,28752125,102.06,504910,81.27,BENCH,2012
2020Q2,10522,42,320207549,360026477,174052629,195696682,215643428,67636,77064275,30115036,19048407,32167127,27270223,8197541,88.94,622075,144.81,BENCH,2012
2023Q3,10523,21,403743572,352984413,180535239,157838118,154918157,55329,87187841,15476335,14284364,15770280,9370489,4945935,114.38,1570084,108.39,FINAL,2012
2018Q2,10524,44,646857317,558405833,266997177,230487895,281823751,49967,110215012,47915832,18980890,45560433,20425021,7317304,115.84,1110932,93.49,BENCH,2022
2019Q2,10525,31,604356867,480563667,291431290,231736077,306440306,48935,172629941,19356008,19147032,67150718,38552815,9483045,125.76,2137338,126.99,ADV,2017
2021Q4,10526,53,337111370,250119728,184426755,136835402,187256492,75783,110025923,23179654,18175670,19901013,29239911,13918966,134.78,116426,119.37,ADV,2022
2021Q4,10527,22,311134293,359776009,109677474,126824091,122185773,83514,48294159,18878136,7912960,19021041,22244088,3673787,86.48,1646675,92.06,ADV,2017
2020Q1,10528,23,469156589,408672987,176715204,153933105,151490661,52736,88463813,8651318,5599235,16692114,20092545,6527243,114.8,665063,139.85,3RD,2012
2018Q1,10529,92,343116200,271409745,144466349,114274916,137356699,106547,82990628,8173181,11137707,26805017,11386433,2792339,126.42,1235147,111.62,3RD,2012
2022Q3,10530,72,454427557,381583304,171901475,144345852,237415126,44043,86836536,33810473,18533905,40001687,38685882,17879970,119.09,509979,125.17,BENCH,2017
2025Q3,10531,49,315344165,340287218,127993629,138117653,104433923,35865,42336359,16944699,4900205,18700121,13777645,3300723,92.67,414774,99.37,BENCH,2022
2023Q2,10532,23,597283233,516011432,387065899,334398185,359612953,91767,201598236,63870970,25679340,70864742,25106131,8662072,115.75,1848764,87.6,ADV,2012
2025Q2,10533,31,239349677,253763440,132569910,140553340,133401075,45312,71141433,14569050,11096175,15930328,14986504,8375275,94.32,947606,137.94,ADV,2012
2020Q4,10534,48,436038272,332955308,206064151,157348924,200985795,54310,122020515,27732521,12721189,22784860,39314148,5427256,130.96,1225174,96.26,FINAL,2022
2025Q3,10535,81,561271503,420176301,293286067,219558367,399030002,57841,180044161,32375861,29744432,83080580,68686972,18849235,133.58,300634,113.37,3RD,2022
2022Q1,10536,49,561661586,476913973,325208311,276138500,371789792,62400,196198315,22110236,34780677,67304243,55216534,11110796,117.77,21266,114.1,2ND,2012
2021Q1,10537,54,1625231541,1444393478,1051020396,934074294,1125722974,94035,469210732,128251333,101414479,115569602,155118982,84393731,112.52,505317,75.65,3RD,2012
2023Q4,10538,81,432598083,471496548,318931475,347609237,324945750,58720,143698843,42909972,6626534,40099601,40992384,11565272,91.75,638144,121.86,2ND,2017
2019Q2,10539,72,521423531,420265601,390198042,314498301,427273775,35142,229428856,74650976,37358309,52382681,81104744,12375264,124.07,1387863,82.37,BENCH,2017
2025Q1,10540,11,463105996,368714965,171564193,136595695,147085445,77642,82976696,25591471,14058263,31638014,19980579,10703086,125.6,1534314,79.88,FINAL,2012
2017Q3,10541,55,1257763245,1223743184,798737205,777132910,863134323,89035,389082472,88718893,30630688,135074599,91487919,39842264,102.78,1415175,87.03,FINAL,2012
2019Q3,10542,55,802848781,684966113,298485240,254658510,385376521,35952,156731324,54064263,11195361,63997314,38852762,15828508,117.21,2143677,95.3,ADV,2012
2025Q2,10543,62,1274389622,1327765807,623740875,649865467,676838250,49017,287597212,85072042,13713791,114050377,131247913,19202671,95.98,597036,132.79,3RD,2017
2019Q4,10544,31,363865192,277294004,227376543,173278877,203459244,112653,72870842,25753804,19068099,22763776,12115624,11209943,131.22,254614,80.78,3RD,2022
2024Q1,10545,48,526991408,589871735,247538483,277074640,240025203,109807,124055431,29637407,18278051,50575638,18398446,9596362,89.34,1680253,82.94,BENCH,2012
2019Q2,10546,45,497755729,413281077,328018296,272349963,266666934,98146,137704201,43942826,22624342,46841231,47724110,16997860,120.44,772512,78.91,3RD,2017
2021Q3,10547,31,272791417,223197036,177734700,145421944,220173034,102061,87993618,37131661,19623461,44594598,12062088,17143576,122.22,1895611,76.93,2ND,2017
2022Q1,10548,21,576194857,478845556,360932949,299952588,374901576,40639,152153167,23868804,23098634,76196708,50604144,16560332,120.33,1049076,76.74,3RD,2022
2023Q2,10549,56,295978884,240301116,126095918,102375512,113399003,33146,55860638,8856400,8006468,12559894,19131871,2871983,123.17,161781,144.56,ADV,2017
2022Q4,10550,72,821767607,617731043,418750127,314778717,569603504,44170,329542474,40453282,49866837,100519397,83143601,14897854,133.03,1438893,80.88,3RD,2012
2021Q3,10551,72,437004007,412306828,272973693,257546649,351751386,73793,171617526,36568762,15563910,70849534,36867492,14980670,105.99,1731552,109.77,3RD,2012
2023Q1,10552,33,226808338,238645137,165491826,174128605,146721966,66319,51603825,16123165,9054627,29543137,22007649,3655755,95.04,1022360,116.76,3RD,2022
2017Q4,10553,71,366728144,400839593,216424968,236555873,221444874,87074,86722092,36040017,15819045,32771038,42008366,11052751,91.49,46271,112.88,FINAL,2017
2017Q1,10554,61,496704333,558534053,208356137,234292294,216049517,111575,105673618,23305917,20837148,44903561,16610589,5234339,88.93,508274,125.06,ADV,2012
2022Q1,10555,45,1161595319,1075053511,497305094,460254599,672097761,32699,241747380,118572527,35013651,57773522,104251859,16989945,108.05,1327619,112.5,BENCH,2017
2022Q1,10556,22,748646108,827965171,293411931,324498928,381205389,47307,141015266,25536155,37612815,75455153,53503969,29487668,90.42,605445,115.87,FINAL,2022
2020Q1,10557,55,508170313,402383651,254509024,201527456,277636259,109496,162581110,27312029,20302697,45842962,22523674,15279825,126.29,1162318,110.34,FINAL,2012
2025Q2,10558,23,751863534,687701028,558913451,511216913,545612611,31915,333959733,35249464,52278782,115310817,88183001,41251662,109.33,198464,131.39,2ND,2017
2016Q4,10559,45,528685502,419159202,356408233,282572134,421671975,56762,187101481,63409122,38575529,77645279,44970815,27278197,126.13,2014149,95.29,ADV,2012
2025Q4,10560,72,310928630,264462558,135399044,115164620,142324090,86093,59125276,16032766,11621217,15976094,24335121,9401108,117.57,364339,107.64,BENCH,2017
2019Q1,10561,23,596456379,455136497,358956864,273908328,297572632,90038,183288936,31849015,17536063,46538033,22744504,7729267,131.05,1337810,129.57,3RD,2012
2024Q3,10562,44,745940296,586984810,389483455,306486823,340693860,59424,181509290,38478625,7460255,30805185,32272175,10213962,127.08,505938,116.65,BENCH,2017
2021Q2,10563,31,2230245414,2255735222,1242974696,1257180839,1614754464,41479,698480333,282020791,53106336,308874443,271950800,75654906,98.87,674838,129.52,ADV,2012
2019Q2,10564,81,562710478,468456941,295462108,245972451,405476715,49824,154762287,64742691,24784619,64848369,28585191,20247193,120.12,962069,121.06,ADV,2012
2019Q4,10565,48,381292973,293528078,279241207,214966287,354328247,111797,213971860,20346151,13568535,46694845,51676878,19300476,129.9,309579,83.78,BENCH,2017
2024Q3,10566,21,772693683,695681717,273021579,245810371,244231898,31121,131509364,17264489,21353681,22782742,20590078,9716571,111.07,685553,87.9,3RD,2017
