gov_fedspend_obligation_date,gov_fedspend_program_cfda_number,gov_fedspend_awarding_agency_code,gov_fedspend_funding_subagency_code,gov_fedspend_recipient_uei_hash,gov_fedspend_recipient_type_code,gov_fedspend_award_amount_usd,gov_fedspend_award_type_code,gov_fedspend_assistance_listing_title,gov_fedspend_place_of_performance_geoid,gov_fedspend_primary_purpose_code,gov_fedspend_covid_relief_flag,gov_fedspend_infrastructure_act_flag,gov_fedspend_competition_indicator,gov_fedspend_matching_requirement_flag,gov_fedspend_period_of_performance_days,gov_fedspend_outlay_estimate_usd,gov_fedspend_deobligation_amount_usd,gov_fedspend_reporting_period_quarter,gov_fedspend_data_source_system
2016-01-22,84.753,AG06,SUBB,UEI000000000387,NONPROFIT,59845534.15,GRANT,WORKFORCE_TRAINING,1078662321,ECON_DEV,0,0,LIMITED,0,1391,57934438.73,3258831.8,Q4,SYSTEM_A
2016-01-23,29.856,AG03,SUBB,UEI000000000388,LOCAL_GOV,162830456.01,OTHER,ED_INNOVATION,4088906217,OTHER,0,0,FULL_AND_OPEN,1,1447,99129617.66,14556888.11,Q4,SYSTEM_C
2016-01-24,18.908,AG03,SUBA,UEI000000000389,STATE_GOV,240802331.4,LOAN,COMMUNITY_HEALTH,6508630104,EDU,0,1,FORMULA,0,2521,252771325.0,5536267.7,Q1,SYSTEM_B
2016-01-25,24.859,AG07,SUBD,UEI000000000390,UNIVERSITY,35704988.96,GRANT,TRANSPORT_IMPROVEMENTS,2432176192,TRANSPORT,0,0,FORMULA,0,1478,17648223.33,1959205.11,Q4,SYSTEM_D
2016-01-26,75.575,AG05,SUBF,UEI000000000391,NONPROFIT,144494112.67,GRANT,PUBLIC_SAFETY,3223115865,ECON_DEV,0,1,FORMULA,0,2496,136532224.46,7336317.1,Q2,SYSTEM_D
2016-01-27,98.771,AG03,SUBA,UEI000000000392,LOCAL_GOV,126919625.05,CONTRACT,ED_INNOVATION,5654204385,EDU,0,0,LIMITED,1,2071,83455050.43,7023250.62,Q1,SYSTEM_D
2016-01-28,76.644,AG03,SUBB,UEI000000000393,STATE_GOV,97953254.14,DIRECT_PAYMENT,ED_INNOVATION,8133314544,ENERGY,1,0,LIMITED,0,1488,78438413.53,10329972.48,Q2,SYSTEM_D
2016-01-29,90.939,AG07,SUBE,UEI000000000394,UNIVERSITY,195380161.67,GRANT,BROADBAND_ACCESS,5175648880,HOUSING,0,1,OTHER,0,2086,122916979.27,1646649.04,Q3,SYSTEM_A
2016-01-30,04.950,AG03,SUBD,UEI000000000395,LOCAL_GOV,36268835.84,DIRECT_PAYMENT,BROADBAND_ACCESS,5354914325,HOUSING,1,1,FULL_AND_OPEN,1,2252,20600676.25,3684952.51,Q2,SYSTEM_C
2016-01-31,74.484,AG07,SUBF,UEI000000000396,STATE_GOV,19697958.59,DIRECT_PAYMENT,HOUSING_SUPPORT,9042618024,HEALTH,0,0,LIMITED,1,677,15014624.09,1690414.64,Q4,SYSTEM_A
2016-02-01,35.231,AG01,SUBB,UEI000000000397,NONPROFIT,249496147.47,GRANT,WORKFORCE_TRAINING,3152360548,ENERGY,0,0,FULL_AND_OPEN,0,2494,227337326.33,11636627.0,Q1,SYSTEM_C
2016-02-02,65.635,AG07,SUBC,UEI000000000398,UNIVERSITY,103448982.58,COOP_AGREEMENT,COMMUNITY_HEALTH,8844709803,ENV,0,1,SOLE_SOURCE,0,1600,78096813.01,8439663.88,Q3,SYSTEM_B
2016-02-03,21.111,AG01,SUBE,UEI000000000399,UNIVERSITY,7131514.65,COOP_AGREEMENT,RESEARCH_INFRASTRUCTURE,1210789714,TRANSPORT,0,0,FORMULA,1,2297,4676606.08,31573.23,Q4,SYSTEM_A
2016-02-04,31.593,AG03,SUBE,UEI000000000400,LOCAL_GOV,175019054.96,GRANT,DISASTER_RELIEF,3981982682,OTHER,1,1,LIMITED,0,3276,100763573.49,1685783.15,Q2,SYSTEM_B
2016-02-05,87.575,AG06,SUBE,UEI000000000401,FOR_PROFIT,235184987.21,GRANT,COMMUNITY_HEALTH,8605399673,ENERGY,1,0,SOLE_SOURCE,1,634,92358628.34,24286215.31,Q1,SYSTEM_A
2016-02-06,31.014,AG07,SUBD,UEI000000000402,NONPROFIT,9634740.32,GRANT,PUBLIC_SAFETY,3385972154,ENERGY,0,0,LIMITED,0,2219,4187133.39,344960.08,Q1,SYSTEM_A
2016-02-07,54.336,AG03,SUBE,UEI000000000403,STATE_GOV,28239508.56,CONTRACT,PUBLIC_SAFETY,8595428474,SAFETY,0,0,FORMULA,1,1820,26034053.29,1221211.13,Q3,SYSTEM_A
2016-02-08,79.681,AG05,SUBE,UEI000000000404,STATE_GOV,146075242.64,GRANT,ED_INNOVATION,9985890499,SCI_TECH,0,1,FULL_AND_OPEN,0,666,79787281.96,4818664.43,Q3,SYSTEM_D
2016-02-09,96.584,AG03,SUBD,UEI000000000405,NONPROFIT,208759014.37,GRANT,PUBLIC_SAFETY,1603646766,HEALTH,0,1,FORMULA,0,1937,158731596.89,12078993.61,Q1,SYSTEM_C
2016-02-10,95.059,AG02,SUBC,UEI000000000406,LOCAL_GOV,83085318.54,GRANT,ED_INNOVATION,9690443292,SAFETY,0,0,OTHER,0,2116,76893795.2,8713367.48,Q3,SYSTEM_D
2016-02-11,26.589,AG03,SUBA,UEI000000000407,FOR_PROFIT,109044576.27,LOAN,WORKFORCE_TRAINING,7395284568,HOUSING,0,0,FORMULA,0,1010,74571050.81,9264476.39,Q3,SYSTEM_B
2016-02-12,66.428,AG02,SUBB,UEI000000000408,NONPROFIT,33024436.0,COOP_AGREEMENT,SMALL_BUSINESS_SUPPORT,3900722623,TRANSPORT,0,1,LIMITED,0,38,12570392.64,2814444.87,Q3,SYSTEM_A
2016-02-13,93.679,AG07,SUBE,UEI000000000409,LOCAL_GOV,81366395.16,GRANT,SMALL_BUSINESS_SUPPORT,3737020419,SCI_TECH,0,0,FORMULA,0,269,29656788.44,7747389.71,Q4,SYSTEM_B
2016-02-14,69.626,AG06,SUBC,UEI000000000410,LOCAL_GOV,184154942.08,GRANT,RESEARCH_INFRASTRUCTURE,4478142498,TRANSPORT,0,0,FORMULA,0,498,73470178.77,12347497.13,Q4,SYSTEM_B
2016-02-15,72.785,AG04,SUBC,UEI000000000411,NONPROFIT,219465993.43,GRANT,WORKFORCE_TRAINING,4945741025,ENERGY,0,0,FORMULA,0,153,211638433.91,7572386.16,Q1,SYSTEM_A
2016-02-16,58.526,AG04,SUBD,UEI000000000412,LOCAL_GOV,99875952.94,GRANT,PUBLIC_SAFETY,2676623338,SAFETY,0,0,FORMULA,0,370,50022847.39,1218652.01,Q1,SYSTEM_D
2016-02-17,68.170,AG07,SUBE,UEI000000000413,LOCAL_GOV,111924219.13,COOP_AGREEMENT,CLIMATE_RESILIENCE,2039451143,ENV,0,1,FULL_AND_OPEN,1,1930,116456345.48,8014210.25,Q3,SYSTEM_C
2016-02-18,58.499,AG03,SUBC,UEI000000000414,NONPROFIT,132962477.71,GRANT,COMMUNITY_HEALTH,1229371504,OTHER,0,0,FULL_AND_OPEN,0,2753,77668028.02,15701110.85,Q1,SYSTEM_B
2016-02-19,04.790,AG04,SUBB,UEI000000000415,LOCAL_GOV,126812387.46,CONTRACT,ED_INNOVATION,7415704822,ECON_DEV,0,0,FULL_AND_OPEN,0,1908,74707093.91,14798776.15,Q1,SYSTEM_B
2016-02-20,38.648,AG01,SUBD,UEI000000000416,NONPROFIT,184576643.64,CONTRACT,RESEARCH_INFRASTRUCTURE,9662844796,SCI_TECH,0,0,OTHER,0,1582,159299908.83,13981810.99,Q3,SYSTEM_B
2016-02-21,05.205,AG08,SUBF,UEI000000000417,FOR_PROFIT,89879323.09,GRANT,RESEARCH_INFRASTRUCTURE,2428485551,SAFETY,0,1,FULL_AND_OPEN,0,1533,55565957.52,2768674.47,Q2,SYSTEM_A
2016-02-22,49.613,AG07,SUBA,UEI000000000418,NONPROFIT,72555230.82,DIRECT_PAYMENT,TRANSPORT_IMPROVEMENTS,6667229036,TRANSPORT,0,0,FULL_AND_OPEN,0,409,69158835.18,94025.1,Q4,SYSTEM_C
2016-02-23,99.802,AG02,SUBA,UEI000000000419,STATE_GOV,38518123.5,GRANT,WORKFORCE_TRAINING,4831858337,HEALTH,0,0,OTHER,0,50,23554058.37,4038007.96,Q2,SYSTEM_C
2016-02-24,77.926,AG06,SUBF,UEI000000000420,UNIVERSITY,242080224.15,GRANT,DISASTER_RELIEF,9782047189,ENV,0,1,LIMITED,0,757,189741459.44,12785035.05,Q1,SYSTEM_C
2016-02-25,39.152,AG03,SUBC,UEI000000000421,STATE_GOV,25574083.16,COOP_AGREEMENT,WORKFORCE_TRAINING,4402617933,HOUSING,0,1,FULL_AND_OPEN,1,514,23184259.37,65897.54,Q1,SYSTEM_A
2016-02-26,62.950,AG03,SUBA,UEI000000000422,LOCAL_GOV,151100032.06,GRANT,SMALL_BUSINESS_SUPPORT,5489256515,HEALTH,0,0,FULL_AND_OPEN,1,1533,89214410.89,13832267.77,Q4,SYSTEM_A
2016-02-27,87.565,AG01,SUBA,UEI000000000423,STATE_GOV,124760688.54,GRANT,WORKFORCE_TRAINING,2277302500,OTHER,0,1,FORMULA,0,3420,99193170.39,934199.25,Q3,SYSTEM_C
2016-02-28,46.675,AG05,SUBF,UEI000000000424,NONPROFIT,209564202.16,GRANT,CLIMATE_RESILIENCE,2304552204,EDU,0,0,FULL_AND_OPEN,1,2108,74954857.44,21667721.15,Q3,SYSTEM_A
2016-02-29,47.290,AG05,SUBD,UEI000000000425,STATE_GOV,168463915.27,CONTRACT,BROADBAND_ACCESS,4705628515,SCI_TECH,0,1,FULL_AND_OPEN,1,3360,150460109.6,9794938.84,Q3,SYSTEM_B
2016-03-01,03.671,AG06,SUBC,UEI000000000426,LOCAL_GOV,101012301.96,GRANT,DISASTER_RELIEF,5615912372,ENERGY,0,0,FULL_AND_OPEN,0,1966,41437411.65,6463656.26,Q4,SYSTEM_A
2016-03-02,40.507,AG08,SUBC,UEI000000000427,NONPROFIT,125945711.05,GRANT,BROADBAND_ACCESS,7264381315,HEALTH,0,0,SOLE_SOURCE,1,708,58618672.72,908011.05,Q2,SYSTEM_A
2016-03-03,33.598,AG02,SUBE,UEI000000000428,UNIVERSITY,149580609.45,DIRECT_PAYMENT,HOUSING_SUPPORT,8960905294,HEALTH,0,0,FULL_AND_OPEN,1,300,62022901.54,2595659.35,Q2,SYSTEM_C
2016-03-04,67.279,AG06,SUBC,UEI000000000429,NONPROFIT,220549690.81,GRANT,TRANSPORT_IMPROVEMENTS,6048995375,HOUSING,0,0,FORMULA,1,1649,211333319.04,17547115.26,Q2,SYSTEM_B
2016-03-05,11.207,AG05,SUBA,UEI000000000430,LOCAL_GOV,225766483.8,GRANT,DISASTER_RELIEF,7020693278,OTHER,0,0,SOLE_SOURCE,1,2503,177107237.15,26138628.98,Q3,SYSTEM_B
2016-03-06,88.412,AG08,SUBC,UEI000000000431,LOCAL_GOV,237356423.15,COOP_AGREEMENT,COMMUNITY_HEALTH,3382533183,ENERGY,0,0,FULL_AND_OPEN,0,1509,83954138.13,5829945.64,Q1,SYSTEM_A
2016-03-07,69.538,AG08,SUBB,UEI000000000432,INDIVIDUAL,100476442.79,GRANT,WORKFORCE_TRAINING,7790747452,ENV,0,0,OTHER,0,3346,78180649.33,1418081.98,Q1,SYSTEM_A
2016-03-08,98.915,AG05,SUBC,UEI000000000433,NONPROFIT,94272982.62,CONTRACT,RESEARCH_INFRASTRUCTURE,6444327463,OTHER,0,0,OTHER,0,2204,63454819.53,10161198.56,Q4,SYSTEM_A
2016-03-09,25.855,AG03,SUBD,UEI000000000434,UNIVERSITY,187014428.38,OTHER,HOUSING_SUPPORT,3526573420,HOUSING,0,0,FORMULA,0,2742,161452341.47,7293808.18,Q3,SYSTEM_B
2016-03-10,67.418,AG03,SUBB,UEI000000000435,NONPROFIT,227712165.86,CONTRACT,ED_INNOVATION,3854495343,SAFETY,0,1,FULL_AND_OPEN,1,3320,203473716.24,25124576.97,Q1,SYSTEM_C
2016-03-11,72.322,AG03,SUBE,UEI000000000436,STATE_GOV,125361193.31,COOP_AGREEMENT,WORKFORCE_TRAINING,4991207683,EDU,0,0,FULL_AND_OPEN,0,3046,115570776.14,3716908.09,Q3,SYSTEM_A
2016-03-12,69.638,AG08,SUBF,UEI000000000437,FOR_PROFIT,125596965.97,CONTRACT,ED_INNOVATION,7717390691,EDU,1,0,FORMULA,0,2864,67387502.22,8125069.8,Q2,SYSTEM_C
2016-03-13,97.816,AG04,SUBF,UEI000000000438,STATE_GOV,231197912.99,LOAN,HOUSING_SUPPORT,9834592212,HEALTH,0,0,LIMITED,0,1379,171738669.86,1056444.02,Q3,SYSTEM_A
2016-03-14,67.036,AG02,SUBD,UEI000000000439,UNIVERSITY,218654826.99,GRANT,WORKFORCE_TRAINING,4590685573,ENV,1,1,FORMULA,0,824,168760794.52,10260613.4,Q3,SYSTEM_A
2016-03-15,35.188,AG01,SUBE,UEI000000000440,STATE_GOV,83185681.02,GRANT,RESEARCH_INFRASTRUCTURE,1456210549,ENV,0,0,OTHER,0,2619,49948108.86,6449744.04,Q4,SYSTEM_C
2016-03-16,57.128,AG08,SUBB,UEI000000000441,FOR_PROFIT,96048175.45,GRANT,CLIMATE_RESILIENCE,4169369378,EDU,1,0,SOLE_SOURCE,1,3117,47180557.96,7166071.6,Q4,SYSTEM_A
2016-03-17,60.497,AG04,SUBF,UEI000000000442,NONPROFIT,213900433.19,GRANT,CLIMATE_RESILIENCE,6798075069,ECON_DEV,0,1,FULL_AND_OPEN,0,2338,222581215.49,18188113.71,Q4,SYSTEM_B
2016-03-18,19.905,AG02,SUBD,UEI000000000443,UNIVERSITY,138786726.31,CONTRACT,WORKFORCE_TRAINING,6210821328,ENERGY,0,0,FORMULA,1,2475,50322608.36,7718005.42,Q4,SYSTEM_C
2016-03-19,55.303,AG03,SUBC,UEI000000000444,UNIVERSITY,190487827.43,LOAN,TRANSPORT_IMPROVEMENTS,5685191587,ECON_DEV,0,0,FULL_AND_OPEN,1,114,145743259.71,7590756.42,Q2,SYSTEM_A
2016-03-20,75.031,AG04,SUBB,UEI000000000445,FOR_PROFIT,50091040.42,GRANT,RESEARCH_INFRASTRUCTURE,7790757614,ENERGY,1,0,LIMITED,0,640,42900834.76,1023962.71,Q3,SYSTEM_A
2016-03-21,56.252,AG08,SUBE,UEI000000000446,NONPROFIT,50322146.73,GRANT,CLIMATE_RESILIENCE,5649847419,EDU,0,0,FULL_AND_OPEN,0,2615,19792811.74,280393.48,Q3,SYSTEM_A
2016-03-22,03.500,AG08,SUBB,UEI000000000447,LOCAL_GOV,129721799.14,LOAN,CLIMATE_RESILIENCE,3849126161,SCI_TECH,1,1,FULL_AND_OPEN,1,2066,65905590.5,7179178.67,Q4,SYSTEM_B
2016-03-23,21.950,AG04,SUBA,UEI000000000448,NONPROFIT,81442230.61,GRANT,RESEARCH_INFRASTRUCTURE,8292231631,ENV,0,0,OTHER,1,1624,82621910.45,23145.91,Q1,SYSTEM_C
2016-03-24,27.859,AG04,SUBB,UEI000000000449,STATE_GOV,64422794.6,GRANT,WORKFORCE_TRAINING,4693114571,SAFETY,1,0,SOLE_SOURCE,1,1888,57926676.12,443798.58,Q4,SYSTEM_D
2016-03-25,54.928,AG07,SUBF,UEI000000000450,FOR_PROFIT,100888701.12,GRANT,COMMUNITY_HEALTH,3902680774,EDU,0,1,FORMULA,0,3175,65157292.99,4164479.68,Q4,SYSTEM_B
2016-03-26,79.039,AG01,SUBE,UEI000000000451,TRIBAL_GOV,208402170.73,GRANT,COMMUNITY_HEALTH,3493285364,ENV,0,1,FORMULA,0,2927,131636889.68,22683760.92,Q3,SYSTEM_C
2016-03-27,01.066,AG08,SUBB,UEI000000000452,NONPROFIT,53173617.65,GRANT,WORKFORCE_TRAINING,4865232725,ECON_DEV,0,0,OTHER,1,759,45138849.13,5155506.75,Q3,SYSTEM_A
2016-03-28,83.430,AG04,SUBF,UEI000000000453,UNIVERSITY,62218536.05,GRANT,TRANSPORT_IMPROVEMENTS,4186804730,EDU,0,0,LIMITED,1,546,37842330.01,5264324.36,Q1,SYSTEM_A
2016-03-29,24.174,AG04,SUBC,UEI000000000454,LOCAL_GOV,92669415.93,GRANT,ED_INNOVATION,5188733020,HOUSING,0,0,FULL_AND_OPEN,0,3590,35143768.83,7148112.9,Q3,SYSTEM_D
2016-03-30,15.224,AG06,SUBB,UEI000000000455,NONPROFIT,94225635.14,GRANT,HOUSING_SUPPORT,2105207081,ECON_DEV,0,0,FORMULA,1,2554,41685631.98,9322559.53,Q1,SYSTEM_C
2016-03-31,20.504,AG02,SUBF,UEI000000000456,UNIVERSITY,163382399.31,GRANT,ED_INNOVATION,3424147622,SCI_TECH,0,1,LIMITED,0,3400,119277170.64,1939199.45,Q3,SYSTEM_A
2016-04-01,55.900,AG03,SUBA,UEI000000000457,STATE_GOV,208801657.38,COOP_AGREEMENT,DISASTER_RELIEF,3444488178,SAFETY,0,1,LIMITED,0,2382,120603935.19,2414857.91,Q4,SYSTEM_B
2016-04-02,67.348,AG05,SUBA,UEI000000000458,FOR_PROFIT,53521314.39,OTHER,COMMUNITY_HEALTH,7983151699,ENERGY,0,0,FULL_AND_OPEN,1,136,28683661.08,4679303.85,Q2,SYSTEM_A
2016-04-03,30.405,AG05,SUBF,UEI000000000459,UNIVERSITY,18835792.93,COOP_AGREEMENT,ED_INNOVATION,8619523414,ENV,0,0,FULL_AND_OPEN,1,532,17547496.03,144701.59,Q3,SYSTEM_C
2016-04-04,01.154,AG04,SUBB,UEI000000000460,STATE_GOV,119082095.61,GRANT,CLIMATE_RESILIENCE,3510023267,OTHER,0,0,FORMULA,1,1151,44082777.19,575615.96,Q2,SYSTEM_A
2016-04-05,44.569,AG04,SUBA,UEI000000000461,NONPROFIT,157572633.2,CONTRACT,CLIMATE_RESILIENCE,5293488785,SAFETY,1,0,FULL_AND_OPEN,1,2901,150963551.98,17540354.74,Q3,SYSTEM_A
2016-04-06,98.296,AG03,SUBD,UEI000000000462,UNIVERSITY,145801195.87,LOAN,CLIMATE_RESILIENCE,3603102621,SCI_TECH,0,0,SOLE_SOURCE,1,2976,81124540.68,9234696.08,Q4,SYSTEM_C
2016-04-07,37.834,AG01,SUBF,UEI000000000463,INDIVIDUAL,134114372.42,GRANT,PUBLIC_SAFETY,1598654919,ECON_DEV,1,0,FORMULA,0,692,97556544.37,5376630.51,Q1,SYSTEM_B
2016-04-08,53.282,AG08,SUBF,UEI000000000464,NONPROFIT,198205553.6,GRANT,CLIMATE_RESILIENCE,2235362356,SCI_TECH,0,0,FULL_AND_OPEN,0,2580,200796941.09,19858027.73,Q4,SYSTEM_C
2016-04-09,71.404,AG03,SUBF,UEI000000000465,NONPROFIT,93228250.89,GRANT,DISASTER_RELIEF,1440295511,SAFETY,0,0,FULL_AND_OPEN,0,952,37076360.72,10039507.14,Q1,SYSTEM_A
2016-04-10,89.955,AG02,SUBE,UEI000000000466,INDIVIDUAL,34278350.6,CONTRACT,HOUSING_SUPPORT,3742657877,ENERGY,0,0,FULL_AND_OPEN,0,1337,23062863.22,3902744.88,Q3,SYSTEM_A
2016-04-11,68.557,AG07,SUBA,UEI000000000467,NONPROFIT,18792910.53,OTHER,COMMUNITY_HEALTH,9866043994,SCI_TECH,1,0,FULL_AND_OPEN,1,658,11231873.01,1326648.18,Q2,SYSTEM_A
2016-04-12,16.169,AG08,SUBB,UEI000000000468,INDIVIDUAL,69953230.42,LOAN,PUBLIC_SAFETY,8909602184,ENV,0,1,FULL_AND_OPEN,0,2983,28049656.28,3536585.23,Q2,SYSTEM_B
2016-04-13,06.833,AG02,SUBD,UEI000000000469,UNIVERSITY,164667414.25,CONTRACT,CLIMATE_RESILIENCE,2955541819,ECON_DEV,1,0,LIMITED,0,429,119451223.9,9366573.28,Q1,SYSTEM_C
2016-04-14,83.358,AG05,SUBA,UEI000000000470,LOCAL_GOV,232995543.98,GRANT,SMALL_BUSINESS_SUPPORT,6768579972,HOUSING,0,0,FULL_AND_OPEN,1,2154,116988310.09,6083065.41,Q1,SYSTEM_A
2016-04-15,75.834,AG06,SUBD,UEI000000000471,STATE_GOV,193093567.62,OTHER,COMMUNITY_HEALTH,6141076522,SCI_TECH,0,0,FORMULA,0,2177,141001386.54,2641918.7,Q3,SYSTEM_A
2016-04-16,05.877,AG07,SUBF,UEI000000000472,NONPROFIT,232660525.55,GRANT,SMALL_BUSINESS_SUPPORT,5096759201,OTHER,0,1,FULL_AND_OPEN,0,2858,118741588.63,12607906.9,Q3,SYSTEM_D
2016-04-17,20.452,AG01,SUBD,UEI000000000473,UNIVERSITY,122274292.04,GRANT,DISASTER_RELIEF,2450215226,ECON_DEV,1,1,LIMITED,1,3373,50574127.29,11182547.78,Q2,SYSTEM_A
2016-04-18,13.241,AG08,SUBB,UEI000000000474,STATE_GOV,42686610.33,GRANT,ED_INNOVATION,1396837321,OTHER,0,0,LIMITED,0,1203,38273501.61,3045902.93,Q3,SYSTEM_A
2016-04-19,21.706,AG04,SUBD,UEI000000000475,FOR_PROFIT,90560510.53,GRANT,HOUSING_SUPPORT,2291765223,ECON_DEV,0,0,LIMITED,0,1809,49801000.8,6171956.48,Q3,SYSTEM_D
2016-04-20,17.242,AG03,SUBF,UEI000000000476,INDIVIDUAL,38795181.07,LOAN,ED_INNOVATION,2230968424,EDU,0,0,FULL_AND_OPEN,0,2591,34927645.65,4340738.7,Q2,SYSTEM_A
2016-04-21,27.153,AG06,SUBE,UEI000000000477,TRIBAL_GOV,209182967.79,GRANT,SMALL_BUSINESS_SUPPORT,6465637748,OTHER,0,0,FORMULA,0,709,153491774.74,9923284.27,Q1,SYSTEM_A
2016-04-22,80.218,AG07,SUBA,UEI000000000478,LOCAL_GOV,20520219.83,COOP_AGREEMENT,BROADBAND_ACCESS,7974732909,SAFETY,0,0,FORMULA,0,437,7947713.88,1127388.64,Q2,SYSTEM_A
2016-04-23,47.190,AG02,SUBC,UEI000000000479,NONPROFIT,202910359.99,GRANT,HOUSING_SUPPORT,4015543410,SAFETY,0,0,FULL_AND_OPEN,1,626,83597151.85,21902878.17,Q1,SYSTEM_A
2016-04-24,87.476,AG01,SUBB,UEI000000000480,LOCAL_GOV,135867305.04,GRANT,HOUSING_SUPPORT,1016114425,SAFETY,1,0,OTHER,0,127,81383397.08,7721697.25,Q1,SYSTEM_B
2016-04-25,14.966,AG06,SUBF,UEI000000000481,NONPROFIT,111356963.86,GRANT,RESEARCH_INFRASTRUCTURE,3853847420,EDU,0,0,FORMULA,0,2756,54354908.5,5488419.85,Q2,SYSTEM_C
2016-04-26,95.434,AG01,SUBA,UEI000000000482,FOR_PROFIT,141529850.06,CONTRACT,RESEARCH_INFRASTRUCTURE,9169718066,SCI_TECH,0,0,FULL_AND_OPEN,1,1803,132793741.21,3896342.08,Q1,SYSTEM_B
2016-04-27,80.496,AG08,SUBA,UEI000000000483,FOR_PROFIT,19236351.74,GRANT,RESEARCH_INFRASTRUCTURE,6247171258,SCI_TECH,0,0,FORMULA,1,1818,16687494.9,917465.47,Q2,SYSTEM_B
2016-04-28,28.673,AG01,SUBF,UEI000000000484,NONPROFIT,138749747.92,LOAN,RESEARCH_INFRASTRUCTURE,3354751441,HEALTH,0,0,FORMULA,1,2749,48576147.16,12984940.84,Q3,SYSTEM_B
2016-04-29,45.679,AG03,SUBD,UEI000000000485,UNIVERSITY,134395397.35,GRANT,DISASTER_RELIEF,3140099766,SAFETY,0,0,FULL_AND_OPEN,0,2985,116312159.83,15935837.49,Q1,SYSTEM_A
2016-04-30,08.427,AG05,SUBA,UEI000000000486,LOCAL_GOV,189626230.4,GRANT,RESEARCH_INFRASTRUCTURE,2527196281,ENV,0,0,LIMITED,0,1567,165553593.55,8394009.63,Q4,SYSTEM_B
2016-05-01,15.698,AG08,SUBD,UEI000000000487,NONPROFIT,38166637.64,GRANT,HOUSING_SUPPORT,3297457304,ENV,0,0,FORMULA,0,1150,30848204.28,878075.42,Q3,SYSTEM_B
2016-05-02,02.027,AG01,SUBC,UEI000000000488,LOCAL_GOV,116268618.29,COOP_AGREEMENT,BROADBAND_ACCESS,8068061009,ENV,0,0,OTHER,1,2088,95392801.2,1884519.7,Q4,SYSTEM_C
2016-05-03,42.054,AG07,SUBA,UEI000000000489,INDIVIDUAL,134724615.7,COOP_AGREEMENT,COMMUNITY_HEALTH,1603475231,ENERGY,0,0,FORMULA,0,1100,110397220.64,10391649.89,Q1,SYSTEM_B
2016-05-04,85.588,AG02,SUBF,UEI000000000490,STATE_GOV,34999725.19,DIRECT_PAYMENT,HOUSING_SUPPORT,5325698580,HEALTH,0,0,FULL_AND_OPEN,0,3650,15588639.96,851929.18,Q2,SYSTEM_A
2016-05-05,58.568,AG08,SUBB,UEI000000000491,NONPROFIT,156111220.78,GRANT,CLIMATE_RESILIENCE,8546358561,TRANSPORT,1,0,OTHER,0,2837,127195534.38,17857462.23,Q3,SYSTEM_D
2016-05-06,88.180,AG02,SUBB,UEI000000000492,INDIVIDUAL,123172256.45,COOP_AGREEMENT,SMALL_BUSINESS_SUPPORT,1472122340,ENERGY,1,0,FORMULA,0,3334,102910612.71,12470129.63,Q1,SYSTEM_A
2016-05-07,72.431,AG02,SUBA,UEI000000000493,STATE_GOV,141430799.03,DIRECT_PAYMENT,CLIMATE_RESILIENCE,8922003941,SCI_TECH,1,0,FULL_AND_OPEN,0,3631,80186413.29,15859762.82,Q2,SYSTEM_A
2016-05-08,97.346,AG01,SUBE,UEI000000000494,STATE_GOV,179478859.17,COOP_AGREEMENT,HOUSING_SUPPORT,6687314015,HOUSING,0,0,SOLE_SOURCE,1,481,181033882.0,13672941.45,Q4,SYSTEM_D
2016-05-09,74.694,AG02,SUBD,UEI000000000495,STATE_GOV,38141372.95,GRANT,TRANSPORT_IMPROVEMENTS,5391980477,HEALTH,1,1,LIMITED,0,1383,22542917.37,4576917.83,Q1,SYSTEM_B
2016-05-10,25.501,AG04,SUBD,UEI000000000496,STATE_GOV,44011983.95,GRANT,SMALL_BUSINESS_SUPPORT,6323437363,SAFETY,0,0,FULL_AND_OPEN,0,1142,38920413.28,835849.52,Q4,SYSTEM_A
2016-05-11,07.960,AG02,SUBE,UEI000000000497,UNIVERSITY,184630709.48,GRANT,BROADBAND_ACCESS,7513711074,HEALTH,0,0,LIMITED,1,1915,118184129.98,4384650.91,Q3,SYSTEM_B
2016-05-12,11.183,AG08,SUBD,UEI000000000498,STATE_GOV,220023033.59,GRANT,COMMUNITY_HEALTH,8012113954,EDU,0,0,FULL_AND_OPEN,0,653,101589009.93,16948025.22,Q1,SYSTEM_A
2016-05-13,02.193,AG07,SUBD,UEI000000000499,STATE_GOV,112520672.39,GRANT,WORKFORCE_TRAINING,2586551836,HEALTH,0,0,FULL_AND_OPEN,1,841,69093232.68,7360990.96,Q4,SYSTEM_B
2016-05-14,59.713,AG01,SUBA,UEI000000000500,NONPROFIT,117672585.22,GRANT,WORKFORCE_TRAINING,8948689137,HOUSING,0,0,FORMULA,1,3465,111648452.11,13150695.09,Q1,SYSTEM_B
2016-05-15,78.518,AG04,SUBE,UEI000000000501,FOR_PROFIT,16187688.76,GRANT,DISASTER_RELIEF,8478978446,ENV,0,0,FULL_AND_OPEN,0,1158,11784826.15,152629.44,Q1,SYSTEM_C
2016-05-16,94.417,AG07,SUBF,UEI000000000502,NONPROFIT,119389602.73,GRANT,HOUSING_SUPPORT,6378776986,ENV,0,0,FULL_AND_OPEN,0,2554,68559175.03,10229233.06,Q1,SYSTEM_B
