health_exp_reference_year,health_exp_country_iso2,health_exp_financing_scheme_code,health_exp_provider_type_code,health_exp_function_code,health_exp_total_expenditure_eur,health_exp_expenditure_pct_gdp,health_exp_public_share_pct,health_exp_out_of_pocket_share_pct,health_exp_per_capita_eur,health_exp_preventive_care_share_pct,health_exp_pharmaceuticals_share_pct,health_exp_long_term_care_share_pct,health_exp_admin_cost_share_pct,health_exp_unmet_need_rate_pct,health_exp_catastrophic_spending_rate_pct,health_exp_waiting_times_index,health_exp_eurostat_oecd_sha_table_code,health_exp_methodology_version,health_exp_data_extract_date
2016,DE,GOV_SCHEME,ADMINISTRATION,GOVERNANCE,4602792452.84,10.01,75.25,20.9,4747.47,7.44,16.14,21.33,3.8,4.06,4.28,1.1216,hlth_sha11_hc,SHA2011_V3,2026-01-13
2017,LU,COMPULSORY_HEALTH_INSURANCE,PREVENTIVE,LONG_TERM_CARE,208050626918.29,6.67,84.92,18.08,4161.09,5.85,11.94,15.84,3.15,3.22,6.59,0.8448,hlth_sha11_hp,SHA2011_V2,2024-12-28
2018,SI,VOLUNTARY_HEALTH_INSURANCE,LONG_TERM_CARE,PREVENTION,268729372837.21,9.64,72.84,21.88,7614.87,1.8,20.25,24.17,2.25,3.65,4.32,0.5889,hlth_sha11_hf,SHA2011_V1,2025-12-14
2019,CY,NPISH_SCHEME,RETAIL_MEDICAL_GOODS,REHABILITATION,199649729915.48,8.28,64.53,33.29,1269.63,1.63,9.69,12.98,5.05,2.73,4.87,0.7427,hlth_sha11_exp,SHA2011_V3,2025-10-16
2020,GR,HOUSEHOLD_OOP,AMBULATORY,MEDICAL_GOODS,237847061961.1,8.25,79.93,15.43,6576.94,5.07,10.39,25.4,5.75,2.93,0.86,1.6733,hlth_sha11_hc,SHA2011_V2,2025-07-28
2021,MT,GOV_SCHEME,HOSPITALS,CURATIVE_CARE,62741972854.22,6.2,58.86,36.12,7108.31,5.56,26.54,7.19,1.49,10.14,4.16,1.7932,hlth_sha11_hp,SHA2011_V1,2025-02-15
2022,ES,COMPULSORY_HEALTH_INSURANCE,OTHER,ANCILLARY_SERVICES,193880076820.72,12.54,69.44,39.3,4745.46,3.18,11.97,12.21,3.3,2.75,1.2,1.2597,hlth_sha11_hf,SHA2011_V3,2025-02-25
2023,CZ,VOLUNTARY_HEALTH_INSURANCE,ADMINISTRATION,GOVERNANCE,154687386955.62,13.76,59.43,38.97,949.04,5.71,15.97,7.07,1.43,2.71,7.01,0.4627,hlth_sha11_exp,SHA2011_V2,2025-04-12
2024,HU,NPISH_SCHEME,PREVENTIVE,LONG_TERM_CARE,66837054727.64,8.21,60.57,43.46,4462.85,6.73,21.01,27.85,6.08,0.75,6.02,1.2485,hlth_sha11_hc,SHA2011_V1,2024-06-10
2025,NL,HOUSEHOLD_OOP,LONG_TERM_CARE,PREVENTION,218759124077.75,12.85,66.96,32.79,8287.55,3.23,13.61,26.06,6.26,5.88,6.12,0.8049,hlth_sha11_hp,SHA2011_V3,2025-05-20
2006,SE,GOV_SCHEME,RETAIL_MEDICAL_GOODS,REHABILITATION,65493944873.69,12.31,85.06,8.98,2550.29,7.87,13.06,26.7,6.49,7.96,1.69,0.8952,hlth_sha11_hf,SHA2011_V2,2024-06-20
2007,DK,COMPULSORY_HEALTH_INSURANCE,AMBULATORY,MEDICAL_GOODS,64454213485.78,9.38,75.79,26.31,4395.17,2.47,16.0,18.47,1.23,3.9,1.88,1.6349,hlth_sha11_exp,SHA2011_V1,2025-06-27
2008,IE,VOLUNTARY_HEALTH_INSURANCE,HOSPITALS,CURATIVE_CARE,258725587427.21,12.56,64.76,31.27,1930.62,5.17,26.02,6.02,3.98,3.0,8.1,1.028,hlth_sha11_hc,SHA2011_V3,2026-02-25
2009,PL,NPISH_SCHEME,OTHER,ANCILLARY_SERVICES,163944052791.62,11.77,72.48,39.0,3554.81,4.99,22.3,19.33,6.25,6.42,1.51,1.4414,hlth_sha11_hp,SHA2011_V2,2025-11-23
2010,AT,HOUSEHOLD_OOP,ADMINISTRATION,GOVERNANCE,226179559792.05,10.32,81.01,21.15,6932.55,5.65,10.82,23.64,6.07,5.2,1.0,0.7527,hlth_sha11_hf,SHA2011_V1,2025-11-03
2011,EE,GOV_SCHEME,PREVENTIVE,LONG_TERM_CARE,161764398165.8,8.57,77.2,31.71,2106.94,6.55,17.7,20.75,1.34,6.7,6.72,1.5835,hlth_sha11_exp,SHA2011_V3,2024-02-24
2012,IT,COMPULSORY_HEALTH_INSURANCE,LONG_TERM_CARE,PREVENTION,295540691038.81,8.05,66.02,42.02,4077.81,3.71,19.64,15.49,6.38,3.36,4.23,1.332,hlth_sha11_hc,SHA2011_V2,2025-02-12
2013,PT,VOLUNTARY_HEALTH_INSURANCE,RETAIL_MEDICAL_GOODS,REHABILITATION,242965625103.41,9.32,81.53,28.61,748.98,1.52,22.88,17.71,1.4,4.53,4.82,0.9889,hlth_sha11_hp,SHA2011_V1,2025-08-04
2014,BE,NPISH_SCHEME,AMBULATORY,MEDICAL_GOODS,22241962616.9,6.19,77.19,23.92,5517.74,3.32,21.91,16.32,1.02,1.18,6.3,0.4986,hlth_sha11_hf,SHA2011_V3,2025-09-16
2015,FI,HOUSEHOLD_OOP,HOSPITALS,CURATIVE_CARE,237068094216.71,6.08,57.8,38.89,3192.39,2.4,21.77,9.68,3.73,4.54,6.87,1.4371,hlth_sha11_exp,SHA2011_V2,2024-05-18
2016,LV,GOV_SCHEME,OTHER,ANCILLARY_SERVICES,315108188052.01,13.34,55.18,39.41,4219.68,7.07,10.99,12.57,2.13,1.18,1.76,1.5711,hlth_sha11_hc,SHA2011_V1,2025-06-17
2017,RO,COMPULSORY_HEALTH_INSURANCE,ADMINISTRATION,GOVERNANCE,33172060221.68,7.67,69.16,36.64,5916.6,5.43,21.07,9.23,5.72,5.24,1.54,0.7419,hlth_sha11_hp,SHA2011_V3,2025-05-23
2018,BG,VOLUNTARY_HEALTH_INSURANCE,PREVENTIVE,LONG_TERM_CARE,274044237122.03,11.53,85.5,12.47,7601.91,1.55,13.32,27.69,2.56,6.96,6.13,1.6966,hlth_sha11_hf,SHA2011_V2,2024-10-03
2019,FR,NPISH_SCHEME,LONG_TERM_CARE,PREVENTION,277713261422.24,8.32,70.11,33.11,7494.12,6.75,26.5,19.48,1.11,1.64,7.01,0.9928,hlth_sha11_exp,SHA2011_V1,2026-01-04
2020,LT,HOUSEHOLD_OOP,RETAIL_MEDICAL_GOODS,REHABILITATION,208525658894.54,8.61,58.8,36.01,8282.36,5.88,24.34,20.99,5.13,10.67,7.0,1.83,hlth_sha11_hc,SHA2011_V3,2024-01-17
2021,SK,GOV_SCHEME,AMBULATORY,MEDICAL_GOODS,81123937102.66,11.94,67.54,30.95,12916.46,7.4,11.26,7.84,5.13,0.93,7.06,1.5522,hlth_sha11_hp,SHA2011_V2,2025-02-07
2022,HR,COMPULSORY_HEALTH_INSURANCE,HOSPITALS,CURATIVE_CARE,66472877746.51,12.55,71.87,24.13,6060.01,6.32,8.93,19.53,6.02,1.65,5.82,1.5742,hlth_sha11_hf,SHA2011_V1,2025-06-02
2023,DE,VOLUNTARY_HEALTH_INSURANCE,OTHER,ANCILLARY_SERVICES,11724145489.98,7.65,71.58,29.66,3223.13,7.33,16.76,17.15,4.4,4.73,4.69,0.4806,hlth_sha11_exp,SHA2011_V3,2025-08-23
2024,LU,NPISH_SCHEME,ADMINISTRATION,GOVERNANCE,96623537231.12,9.04,62.76,44.93,2226.62,2.67,18.52,17.85,3.03,7.01,3.72,0.7604,hlth_sha11_hc,SHA2011_V2,2024-07-09
2025,SI,HOUSEHOLD_OOP,PREVENTIVE,LONG_TERM_CARE,172030669490.99,8.84,87.59,7.71,10393.07,3.7,17.06,16.84,1.51,1.36,2.8,1.2409,hlth_sha11_hp,SHA2011_V1,2024-02-07
2006,CY,GOV_SCHEME,LONG_TERM_CARE,PREVENTION,182511233121.27,8.1,57.55,45.0,7171.71,5.9,16.22,16.23,2.06,0.85,4.11,1.6822,hlth_sha11_hf,SHA2011_V3,2025-07-14
2007,GR,COMPULSORY_HEALTH_INSURANCE,RETAIL_MEDICAL_GOODS,REHABILITATION,106762737131.31,11.9,69.24,36.28,5839.21,3.07,15.95,17.39,1.69,2.56,1.51,0.455,hlth_sha11_exp,SHA2011_V2,2025-05-28
2008,MT,VOLUNTARY_HEALTH_INSURANCE,AMBULATORY,MEDICAL_GOODS,148668995419.7,13.34,66.78,31.3,1464.59,7.55,16.84,8.63,5.85,7.28,8.15,1.2396,hlth_sha11_hc,SHA2011_V1,2025-12-07
2009,ES,NPISH_SCHEME,HOSPITALS,CURATIVE_CARE,235022357694.95,8.06,70.69,38.51,3888.73,3.98,22.78,3.19,2.61,1.62,7.62,1.5833,hlth_sha11_hp,SHA2011_V3,2026-01-03
2010,CZ,HOUSEHOLD_OOP,OTHER,ANCILLARY_SERVICES,178840990861.73,10.66,85.69,11.51,6942.3,2.46,16.94,13.52,3.99,1.09,5.73,0.5348,hlth_sha11_hf,SHA2011_V2,2025-01-18
2011,HU,GOV_SCHEME,ADMINISTRATION,GOVERNANCE,100026428215.53,12.5,68.61,43.18,2808.82,7.18,17.97,6.94,4.29,5.2,8.24,1.56,hlth_sha11_exp,SHA2011_V1,2024-12-02
2012,NL,COMPULSORY_HEALTH_INSURANCE,PREVENTIVE,LONG_TERM_CARE,226110105481.81,12.41,57.54,40.07,5475.71,7.33,18.68,4.15,5.47,6.62,7.65,0.986,hlth_sha11_hc,SHA2011_V3,2025-12-09
2013,SE,VOLUNTARY_HEALTH_INSURANCE,LONG_TERM_CARE,PREVENTION,203713248433.56,9.09,61.26,39.53,2526.57,6.18,11.99,11.18,2.2,2.38,5.86,1.7205,hlth_sha11_hp,SHA2011_V2,2026-02-12
2014,DK,NPISH_SCHEME,RETAIL_MEDICAL_GOODS,REHABILITATION,232314834716.68,8.05,69.27,25.69,7643.46,3.02,12.73,6.69,1.46,1.84,5.98,1.3043,hlth_sha11_hf,SHA2011_V1,2025-12-15
2015,IE,HOUSEHOLD_OOP,AMBULATORY,MEDICAL_GOODS,212829596264.08,6.52,60.41,45.0,8530.78,4.45,13.03,25.38,1.61,8.13,4.54,1.5227,hlth_sha11_exp,SHA2011_V3,2025-02-06
2016,PL,GOV_SCHEME,HOSPITALS,CURATIVE_CARE,66957502884.4,7.8,63.73,45.0,5034.54,4.12,8.48,19.97,3.11,2.11,5.72,0.4909,hlth_sha11_hc,SHA2011_V2,2025-12-09
2017,AT,COMPULSORY_HEALTH_INSURANCE,OTHER,ANCILLARY_SERVICES,239641493396.47,7.7,65.66,30.35,7184.77,3.75,21.3,3.15,2.71,2.04,3.04,1.3071,hlth_sha11_hp,SHA2011_V1,2024-06-09
2018,EE,VOLUNTARY_HEALTH_INSURANCE,ADMINISTRATION,GOVERNANCE,28680879597.67,10.89,66.43,34.21,9448.52,5.46,15.31,23.47,2.87,7.6,3.58,0.9245,hlth_sha11_hf,SHA2011_V3,2025-07-08
2019,IT,NPISH_SCHEME,PREVENTIVE,LONG_TERM_CARE,130260524126.94,11.45,78.13,17.47,2042.69,7.38,20.62,14.04,2.71,3.13,3.25,1.463,hlth_sha11_exp,SHA2011_V2,2024-04-10
2020,PT,HOUSEHOLD_OOP,LONG_TERM_CARE,PREVENTION,33465866908.43,10.24,66.39,34.26,5735.68,4.43,9.06,24.29,4.59,3.39,2.95,0.6479,hlth_sha11_hc,SHA2011_V1,2025-05-23
2021,BE,GOV_SCHEME,RETAIL_MEDICAL_GOODS,REHABILITATION,87476740826.56,12.25,64.62,34.08,9280.26,7.48,22.4,17.67,4.93,10.45,0.99,0.8213,hlth_sha11_hp,SHA2011_V3,2025-09-21
2022,FI,COMPULSORY_HEALTH_INSURANCE,AMBULATORY,MEDICAL_GOODS,215658490490.5,9.68,82.63,14.24,11545.6,6.45,18.44,15.84,4.62,7.82,2.26,0.8266,hlth_sha11_hf,SHA2011_V2,2024-04-23
2023,LV,VOLUNTARY_HEALTH_INSURANCE,HOSPITALS,CURATIVE_CARE,157705451283.63,7.74,69.05,36.45,6862.2,2.73,17.85,21.49,4.62,0.97,4.69,0.4706,hlth_sha11_exp,SHA2011_V1,2025-05-31
2024,RO,NPISH_SCHEME,OTHER,ANCILLARY_SERVICES,306346887474.55,12.59,65.26,43.74,6771.74,4.72,8.64,9.79,3.68,6.71,1.01,0.6601,hlth_sha11_hc,SHA2011_V3,2025-03-24
2025,BG,HOUSEHOLD_OOP,ADMINISTRATION,GOVERNANCE,68965505321.15,12.85,57.3,42.6,5810.34,3.83,16.33,18.03,6.49,6.8,1.94,1.7564,hlth_sha11_hp,SHA2011_V2,2025-11-05
2006,FR,GOV_SCHEME,PREVENTIVE,LONG_TERM_CARE,50993714365.04,5.61,83.59,27.46,3862.53,3.19,9.7,11.22,3.84,1.67,4.77,0.4512,hlth_sha11_hf,SHA2011_V1,2024-01-13
2007,LT,COMPULSORY_HEALTH_INSURANCE,LONG_TERM_CARE,PREVENTION,38442509894.91,8.44,59.39,42.59,2834.26,2.5,18.1,27.02,4.31,5.78,3.95,1.2362,hlth_sha11_exp,SHA2011_V3,2024-02-06
2008,SK,VOLUNTARY_HEALTH_INSURANCE,RETAIL_MEDICAL_GOODS,REHABILITATION,17451188657.33,5.9,87.19,17.05,6510.29,5.33,20.7,5.21,4.42,4.42,4.67,1.0449,hlth_sha11_hc,SHA2011_V2,2024-10-20
2009,HR,NPISH_SCHEME,AMBULATORY,MEDICAL_GOODS,17225720151.39,11.99,80.45,24.58,4895.14,4.84,11.14,14.44,3.17,8.49,0.95,1.325,hlth_sha11_hp,SHA2011_V1,2024-08-11
2010,DE,HOUSEHOLD_OOP,HOSPITALS,CURATIVE_CARE,206132109197.28,8.88,56.49,45.0,1849.8,6.5,17.96,8.75,3.85,2.07,2.72,1.0463,hlth_sha11_hf,SHA2011_V3,2024-02-11
2011,LU,GOV_SCHEME,OTHER,ANCILLARY_SERVICES,132441854879.68,9.83,69.29,26.7,5658.54,5.51,8.26,27.95,3.3,4.59,6.28,1.6102,hlth_sha11_exp,SHA2011_V2,2024-12-20
2012,SI,COMPULSORY_HEALTH_INSURANCE,ADMINISTRATION,GOVERNANCE,179446265940.76,9.73,55.71,45.0,6975.27,7.1,25.97,23.36,4.0,2.05,2.64,0.9498,hlth_sha11_hc,SHA2011_V1,2025-05-29
2013,CY,VOLUNTARY_HEALTH_INSURANCE,PREVENTIVE,LONG_TERM_CARE,14188822748.48,7.48,79.89,30.36,6517.87,7.11,9.59,16.68,1.45,4.39,4.32,1.0202,hlth_sha11_hp,SHA2011_V3,2024-09-10
2014,GR,NPISH_SCHEME,LONG_TERM_CARE,PREVENTION,24277725309.07,6.92,85.22,14.6,1700.92,7.53,16.14,5.11,1.18,0.75,1.82,1.1352,hlth_sha11_hf,SHA2011_V2,2025-01-20
2015,MT,HOUSEHOLD_OOP,RETAIL_MEDICAL_GOODS,REHABILITATION,136844982039.05,10.71,65.84,44.35,1678.33,7.39,24.49,14.17,3.38,5.68,6.68,1.0506,hlth_sha11_exp,SHA2011_V1,2025-06-06
2016,ES,GOV_SCHEME,AMBULATORY,MEDICAL_GOODS,192707291820.36,7.98,69.07,29.17,1440.51,4.92,10.86,9.96,3.08,1.1,0.96,0.6282,hlth_sha11_hc,SHA2011_V3,2025-12-09
2017,CZ,COMPULSORY_HEALTH_INSURANCE,HOSPITALS,CURATIVE_CARE,3950150220.14,8.38,71.55,32.47,1578.56,1.51,17.46,24.7,5.52,1.13,2.41,1.3986,hlth_sha11_hp,SHA2011_V2,2025-07-24
2018,HU,VOLUNTARY_HEALTH_INSURANCE,OTHER,ANCILLARY_SERVICES,15348498969.23,10.98,74.73,24.66,2225.29,7.91,23.34,16.85,1.31,2.02,2.16,1.6288,hlth_sha11_hf,SHA2011_V1,2025-03-25
2019,NL,NPISH_SCHEME,ADMINISTRATION,GOVERNANCE,24841665267.4,11.04,86.72,12.83,4774.28,2.42,9.94,11.16,3.18,5.35,3.69,1.3981,hlth_sha11_exp,SHA2011_V3,2026-02-17
2020,SE,HOUSEHOLD_OOP,PREVENTIVE,LONG_TERM_CARE,252173736980.36,9.44,61.49,37.62,1556.39,6.78,18.01,17.76,2.14,3.14,6.61,1.8728,hlth_sha11_hc,SHA2011_V2,2024-06-14
2021,DK,GOV_SCHEME,LONG_TERM_CARE,PREVENTION,102362269369.9,5.88,84.95,25.73,2304.82,6.88,12.93,24.8,4.36,5.04,1.04,1.7306,hlth_sha11_hp,SHA2011_V1,2024-04-13
2022,IE,COMPULSORY_HEALTH_INSURANCE,RETAIL_MEDICAL_GOODS,REHABILITATION,440659966706.67,9.81,70.21,31.57,1940.75,2.65,13.34,19.69,6.39,7.24,4.57,1.1458,hlth_sha11_hf,SHA2011_V3,2024-12-11
2023,PL,VOLUNTARY_HEALTH_INSURANCE,AMBULATORY,MEDICAL_GOODS,15286661993.2,9.83,86.33,17.63,3738.2,5.1,14.8,10.81,3.5,2.61,6.21,0.6007,hlth_sha11_exp,SHA2011_V2,2024-06-19
2024,AT,NPISH_SCHEME,HOSPITALS,CURATIVE_CARE,76800609700.94,13.8,76.65,30.55,2592.84,2.73,19.94,12.26,2.53,5.35,8.03,1.2256,hlth_sha11_hc,SHA2011_V1,2024-02-26
2025,EE,HOUSEHOLD_OOP,OTHER,ANCILLARY_SERVICES,316762360552.34,6.79,63.24,37.22,3262.04,2.1,16.7,24.24,3.45,2.06,3.26,1.1615,hlth_sha11_hp,SHA2011_V3,2025-05-11
2006,IT,GOV_SCHEME,ADMINISTRATION,GOVERNANCE,221801652042.04,6.33,71.76,34.42,4087.4,3.33,15.2,14.65,5.4,8.31,1.16,1.6623,hlth_sha11_hf,SHA2011_V2,2024-12-01
2007,PT,COMPULSORY_HEALTH_INSURANCE,PREVENTIVE,LONG_TERM_CARE,85691585792.31,11.83,79.34,18.4,4902.75,7.36,23.01,11.29,2.89,7.21,2.04,1.5717,hlth_sha11_exp,SHA2011_V1,2024-04-15
2008,BE,VOLUNTARY_HEALTH_INSURANCE,LONG_TERM_CARE,PREVENTION,99017937375.16,5.74,76.42,26.24,3663.79,4.43,14.73,15.76,2.72,2.83,7.37,0.5596,hlth_sha11_hc,SHA2011_V3,2025-06-26
2009,FI,NPISH_SCHEME,RETAIL_MEDICAL_GOODS,REHABILITATION,278532649849.68,8.06,69.05,26.29,8008.11,7.12,22.45,8.52,1.33,8.08,6.87,1.2791,hlth_sha11_hp,SHA2011_V2,2024-01-21
2010,LV,HOUSEHOLD_OOP,AMBULATORY,MEDICAL_GOODS,119316297644.99,7.25,75.08,27.73,7526.92,7.16,22.45,22.03,5.35,2.94,1.63,1.4087,hlth_sha11_hf,SHA2011_V1,2024-07-16
2011,RO,GOV_SCHEME,HOSPITALS,CURATIVE_CARE,266083382924.87,7.32,57.34,45.0,2659.74,4.7,12.37,9.18,1.55,7.89,6.87,0.9535,hlth_sha11_exp,SHA2011_V3,2024-12-03
2012,BG,COMPULSORY_HEALTH_INSURANCE,OTHER,ANCILLARY_SERVICES,249906521452.63,12.34,68.54,37.41,2086.29,4.23,20.85,16.0,1.95,3.99,1.19,0.8414,hlth_sha11_hc,SHA2011_V2,2024-02-04
2013,FR,VOLUNTARY_HEALTH_INSURANCE,ADMINISTRATION,GOVERNANCE,239106504661.65,13.45,80.3,30.71,7573.94,5.04,20.54,9.28,6.13,5.99,5.45,1.6323,hlth_sha11_hp,SHA2011_V1,2025-07-16
2014,LT,NPISH_SCHEME,PREVENTIVE,LONG_TERM_CARE,202793493217.91,9.86,78.18,17.72,8063.8,5.89,12.86,19.42,6.03,1.42,1.94,1.122,hlth_sha11_hf,SHA2011_V3,2024-01-01
2015,SK,HOUSEHOLD_OOP,LONG_TERM_CARE,PREVENTION,49046194919.72,12.57,64.67,33.54,8938.45,5.86,26.07,21.99,3.51,4.48,3.72,1.5886,hlth_sha11_exp,SHA2011_V2,2025-01-23
2016,HR,GOV_SCHEME,RETAIL_MEDICAL_GOODS,REHABILITATION,337276883016.31,12.26,60.91,34.85,3324.84,4.54,14.13,12.45,4.62,3.3,1.86,1.5866,hlth_sha11_hc,SHA2011_V1,2025-09-12
2017,DE,COMPULSORY_HEALTH_INSURANCE,AMBULATORY,MEDICAL_GOODS,157195211623.42,12.79,56.93,45.0,1136.38,2.44,11.14,21.72,6.16,8.2,3.67,1.396,hlth_sha11_hp,SHA2011_V3,2024-06-19
2018,LU,VOLUNTARY_HEALTH_INSURANCE,HOSPITALS,CURATIVE_CARE,99655525654.82,10.54,60.46,45.0,4462.81,6.36,18.32,11.2,6.16,3.86,1.89,0.8375,hlth_sha11_hf,SHA2011_V2,2025-07-03
2019,SI,NPISH_SCHEME,OTHER,ANCILLARY_SERVICES,173889221001.31,5.64,68.7,39.71,6525.17,3.63,20.14,25.61,5.91,7.37,6.63,0.4667,hlth_sha11_exp,SHA2011_V1,2024-11-10
2020,CY,HOUSEHOLD_OOP,ADMINISTRATION,GOVERNANCE,41186441634.52,10.55,86.95,11.31,12360.84,5.28,15.48,21.98,3.32,1.43,1.33,1.9561,hlth_sha11_hc,SHA2011_V3,2024-01-30
2021,GR,GOV_SCHEME,PREVENTIVE,LONG_TERM_CARE,36651763978.51,11.91,86.59,12.21,9206.14,7.82,10.62,27.98,3.24,7.92,3.82,1.8027,hlth_sha11_hp,SHA2011_V2,2024-01-20
2022,MT,COMPULSORY_HEALTH_INSURANCE,LONG_TERM_CARE,PREVENTION,165502556646.92,5.79,71.84,32.65,4587.29,5.37,16.37,16.61,2.87,2.09,0.99,1.3312,hlth_sha11_hf,SHA2011_V1,2024-09-07
2023,ES,VOLUNTARY_HEALTH_INSURANCE,RETAIL_MEDICAL_GOODS,REHABILITATION,313822381279.45,6.43,56.78,45.0,10931.6,1.81,18.73,17.19,3.58,4.74,6.54,1.4622,hlth_sha11_exp,SHA2011_V3,2025-02-27
2024,CZ,NPISH_SCHEME,AMBULATORY,MEDICAL_GOODS,275074790401.71,5.59,74.06,25.66,4594.26,3.34,25.24,20.59,4.99,0.72,4.31,0.7677,hlth_sha11_hc,SHA2011_V2,2024-05-26
2025,HU,HOUSEHOLD_OOP,HOSPITALS,CURATIVE_CARE,191307341791.88,9.6,82.16,23.24,5281.63,4.01,12.57,8.18,5.01,6.89,1.92,0.865,hlth_sha11_hp,SHA2011_V1,2025-01-06
2006,NL,GOV_SCHEME,OTHER,ANCILLARY_SERVICES,118773855818.37,5.74,61.26,45.0,5341.86,5.59,24.6,14.43,3.5,4.76,5.97,1.4415,hlth_sha11_hf,SHA2011_V3,2024-11-11
2007,SE,COMPULSORY_HEALTH_INSURANCE,ADMINISTRATION,GOVERNANCE,58530642919.75,6.99,76.28,26.0,4538.07,2.46,9.2,3.22,6.43,6.35,6.02,1.689,hlth_sha11_exp,SHA2011_V2,2024-01-11
2008,DK,VOLUNTARY_HEALTH_INSURANCE,PREVENTIVE,LONG_TERM_CARE,89254463691.99,8.18,61.29,40.17,9273.48,4.59,15.67,7.36,5.27,5.31,7.3,0.9929,hlth_sha11_hc,SHA2011_V1,2025-01-25
2009,IE,NPISH_SCHEME,LONG_TERM_CARE,PREVENTION,126268264439.25,11.17,86.56,12.89,2373.07,3.26,19.17,25.49,2.25,1.84,6.63,1.3707,hlth_sha11_hp,SHA2011_V3,2025-10-09
2010,PL,HOUSEHOLD_OOP,RETAIL_MEDICAL_GOODS,REHABILITATION,291716783151.98,8.89,77.3,24.42,1404.11,6.73,14.24,17.42,1.77,2.31,1.64,0.9091,hlth_sha11_hf,SHA2011_V2,2025-03-18
2011,AT,GOV_SCHEME,AMBULATORY,MEDICAL_GOODS,98665761525.01,9.8,55.28,43.98,7688.16,3.58,23.51,21.15,4.98,2.76,5.16,1.0867,hlth_sha11_exp,SHA2011_V1,2025-07-09
2012,EE,COMPULSORY_HEALTH_INSURANCE,HOSPITALS,CURATIVE_CARE,265309666148.32,6.77,72.83,32.2,3033.32,6.22,22.46,9.01,5.88,3.41,7.27,0.8928,hlth_sha11_hc,SHA2011_V3,2025-08-26
2013,IT,VOLUNTARY_HEALTH_INSURANCE,OTHER,ANCILLARY_SERVICES,82736496511.85,6.65,63.01,45.0,7500.76,5.46,22.74,22.12,3.74,8.47,6.78,1.4622,hlth_sha11_hp,SHA2011_V2,2026-02-21
2014,PT,NPISH_SCHEME,ADMINISTRATION,GOVERNANCE,203296315958.2,10.4,84.31,25.49,4231.2,3.72,12.64,20.02,4.41,6.23,6.67,1.4593,hlth_sha11_hf,SHA2011_V1,2025-11-17
2015,BE,HOUSEHOLD_OOP,PREVENTIVE,LONG_TERM_CARE,102849036872.62,12.6,83.53,20.44,3782.65,3.61,23.77,21.02,5.35,5.03,1.39,0.4312,hlth_sha11_exp,SHA2011_V3,2024-06-09
2016,FI,GOV_SCHEME,LONG_TERM_CARE,PREVENTION,115426941894.66,9.28,75.6,31.82,3338.32,5.96,13.93,15.95,2.91,1.22,4.21,1.1983,hlth_sha11_hc,SHA2011_V2,2025-08-19
2017,LV,COMPULSORY_HEALTH_INSURANCE,RETAIL_MEDICAL_GOODS,REHABILITATION,228437310361.6,5.59,87.52,16.99,6220.35,3.74,23.1,26.98,5.05,7.58,1.39,1.4766,hlth_sha11_hp,SHA2011_V1,2025-04-12
2018,RO,VOLUNTARY_HEALTH_INSURANCE,AMBULATORY,MEDICAL_GOODS,150456165802.37,13.18,84.8,23.54,9447.3,7.22,21.93,9.23,3.96,7.59,4.19,1.2404,hlth_sha11_hf,SHA2011_V3,2024-11-02
2019,BG,NPISH_SCHEME,HOSPITALS,CURATIVE_CARE,210647931148.7,12.18,57.15,36.95,12510.99,2.14,26.01,19.43,1.7,1.68,5.36,1.7327,hlth_sha11_exp,SHA2011_V2,2025-04-21
2020,FR,HOUSEHOLD_OOP,OTHER,ANCILLARY_SERVICES,170405044050.76,13.65,71.45,26.66,5621.1,5.64,9.96,5.06,2.02,3.49,3.96,1.8524,hlth_sha11_hc,SHA2011_V1,2026-01-10
2021,LT,GOV_SCHEME,ADMINISTRATION,GOVERNANCE,55341220426.81,11.26,84.11,24.77,5599.02,2.02,15.76,15.58,4.14,4.17,1.89,1.5052,hlth_sha11_hp,SHA2011_V3,2025-08-18
2022,SK,COMPULSORY_HEALTH_INSURANCE,PREVENTIVE,LONG_TERM_CARE,60682500569.6,6.37,81.94,13.27,10377.52,7.86,12.02,5.41,3.48,0.75,3.61,1.1795,hlth_sha11_hf,SHA2011_V2,2025-08-25
2023,HR,VOLUNTARY_HEALTH_INSURANCE,LONG_TERM_CARE,PREVENTION,150745489275.45,7.38,74.88,22.82,7768.53,6.01,18.15,25.11,5.0,8.1,4.87,0.8725,hlth_sha11_exp,SHA2011_V1,2024-11-29
2024,DE,NPISH_SCHEME,RETAIL_MEDICAL_GOODS,REHABILITATION,73619089796.36,6.43,60.48,43.05,2156.9,2.12,25.68,22.13,1.32,3.81,6.51,0.626,hlth_sha11_hc,SHA2011_V3,2025-02-02
2025,LU,HOUSEHOLD_OOP,AMBULATORY,MEDICAL_GOODS,325062157155.03,9.2,81.32,16.06,4220.63,4.49,9.76,13.71,4.24,6.65,2.16,1.098,hlth_sha11_hp,SHA2011_V2,2026-01-12
2006,SI,GOV_SCHEME,HOSPITALS,CURATIVE_CARE,193687095355.56,12.52,82.97,11.2,4960.95,3.94,11.15,17.52,5.21,5.34,6.21,0.4961,hlth_sha11_hf,SHA2011_V1,2025-06-21
2007,CY,COMPULSORY_HEALTH_INSURANCE,OTHER,ANCILLARY_SERVICES,172069381279.12,8.67,82.5,23.83,2898.77,1.87,24.84,14.54,5.88,3.09,4.49,1.2786,hlth_sha11_exp,SHA2011_V3,2024-03-26
