soc_pensions_reference_year,soc_pensions_country_iso2,soc_pensions_pension_pillar_code,soc_pensions_beneficiary_age_group,soc_pensions_beneficiary_sex,soc_pensions_pension_type_code,soc_pensions_beneficiaries_count,soc_pensions_mean_benefit_eur,soc_pensions_median_benefit_eur,soc_pensions_replacement_rate_pct,soc_pensions_effective_retirement_age_years,soc_pensions_contribution_years_median,soc_pensions_indexation_rule_code,soc_pensions_old_age_poverty_rate_pct,soc_pensions_long_term_care_benefit_flag,soc_pensions_survivor_benefit_flag,soc_pensions_funded_assets_total_eur,soc_pensions_eurostat_table_code,soc_pensions_projection_scenario,soc_pensions_data_extract_date
2014,FI,PILLAR2_OCCUPATIONAL,65-69,T,MINIMUM_PENSION,38002,6291.56,5045.26,39.77,61.04,21.25,WAGE,18.92,0,0,104100708272.63,ilc_pnp1,HIGH_LONGEVITY,2026-01-18
2015,LV,PILLAR3_PERSONAL,55-64,M,OLD_AGE,35674,25866.7,23192.21,75.02,60.49,31.74,CPI,14.99,0,0,104450153981.91,spr_pns_ben,BASELINE,2026-02-21
2016,RO,MIXED,85+,F,SURVIVOR,38941,21989.5,20559.81,37.92,67.65,16.58,NONE,17.73,0,1,104775685080.8,proj_pens,LOW_MIGRATION,2024-01-28
2017,BG,PILLAR1_PUBLIC_PAYG,80-84,T,EARLY_RETIREMENT,36990,15905.34,13544.57,87.02,60.28,32.84,DISCRETIONARY,14.9,0,0,104910837546.7,spr_pns_mean,HIGH_MIGRATION,2025-11-03
2018,FR,PILLAR2_OCCUPATIONAL,75-79,M,DISABILITY,35516,21938.88,20105.42,38.03,61.29,20.62,MIXED,21.34,1,1,105310877743.48,gov_10a_main,LOW_GROWTH,2024-10-24
2019,LT,PILLAR3_PERSONAL,70-74,F,MINIMUM_PENSION,36957,17407.4,12645.67,58.79,62.07,13.62,WAGE,6.96,1,0,105598474564.73,ilc_pnp1,HIGH_LONGEVITY,2024-11-14
2020,SK,MIXED,65-69,T,OLD_AGE,38580,16391.47,11963.89,49.29,68.06,25.59,CPI,17.14,0,1,105760780735.7,spr_pns_ben,BASELINE,2025-06-16
2021,HR,PILLAR1_PUBLIC_PAYG,55-64,M,SURVIVOR,38767,22458.0,16405.92,92.07,59.52,40.87,NONE,4.68,1,1,106018478425.17,proj_pens,LOW_MIGRATION,2026-02-07
2022,DE,PILLAR2_OCCUPATIONAL,85+,F,EARLY_RETIREMENT,37613,13849.86,10134.24,36.77,60.59,29.12,DISCRETIONARY,19.19,1,1,106311316526.42,spr_pns_mean,HIGH_MIGRATION,2024-02-14
2023,LU,PILLAR3_PERSONAL,80-84,T,DISABILITY,38965,24047.57,22374.19,46.18,67.15,25.56,MIXED,21.29,1,0,106681301565.45,gov_10a_main,LOW_GROWTH,2025-04-18
2024,SI,MIXED,75-79,M,MINIMUM_PENSION,39814,5753.02,4663.91,29.55,63.74,12.06,WAGE,15.8,0,0,106929023234.94,ilc_pnp1,HIGH_LONGEVITY,2024-04-20
2025,CY,PILLAR1_PUBLIC_PAYG,70-74,F,OLD_AGE,38932,20565.88,17417.32,89.23,63.55,13.92,CPI,8.29,1,0,107103889700.42,spr_pns_ben,BASELINE,2024-02-04
2026,GR,PILLAR2_OCCUPATIONAL,65-69,T,SURVIVOR,38717,11142.43,8667.62,44.12,64.48,14.89,NONE,17.99,0,1,107528833388.4,proj_pens,LOW_MIGRATION,2024-01-11
2008,MT,PILLAR3_PERSONAL,55-64,M,EARLY_RETIREMENT,40062,23853.23,21632.45,39.73,66.81,33.17,DISCRETIONARY,4.7,0,0,107711702846.9,spr_pns_mean,HIGH_MIGRATION,2024-08-22
2009,ES,MIXED,85+,F,DISABILITY,39662,14949.9,14149.13,88.74,60.61,20.93,MIXED,21.86,0,0,108050154139.67,gov_10a_main,LOW_GROWTH,2026-01-17
2010,CZ,PILLAR1_PUBLIC_PAYG,80-84,T,MINIMUM_PENSION,38642,8417.42,6864.23,27.67,60.97,40.5,WAGE,16.62,0,0,108309190258.3,ilc_pnp1,HIGH_LONGEVITY,2024-12-07
2011,HU,PILLAR2_OCCUPATIONAL,75-79,M,OLD_AGE,38038,7993.18,6732.49,78.23,58.46,32.45,CPI,8.54,0,0,108584971094.05,spr_pns_ben,BASELINE,2024-06-04
2012,NL,PILLAR3_PERSONAL,70-74,F,SURVIVOR,36746,16196.28,13439.74,76.79,68.02,34.99,NONE,22.26,0,1,108939012994.14,proj_pens,LOW_MIGRATION,2024-06-11
2013,SE,MIXED,65-69,T,EARLY_RETIREMENT,38385,21513.51,17174.33,44.76,58.85,38.37,DISCRETIONARY,10.63,0,0,109137945411.06,spr_pns_mean,HIGH_MIGRATION,2024-10-11
2014,DK,PILLAR1_PUBLIC_PAYG,55-64,M,DISABILITY,39031,20196.27,16392.93,52.17,59.51,33.61,MIXED,17.49,0,0,109365432245.07,gov_10a_main,LOW_GROWTH,2025-04-25
2015,IE,PILLAR2_OCCUPATIONAL,85+,F,MINIMUM_PENSION,38562,23883.4,18440.91,49.9,61.63,26.68,WAGE,20.46,1,0,109754953986.33,ilc_pnp1,HIGH_LONGEVITY,2024-05-20
2016,PL,PILLAR3_PERSONAL,80-84,T,OLD_AGE,37917,12884.91,10647.22,84.57,60.6,24.89,CPI,25.9,0,0,109962860677.43,spr_pns_ben,BASELINE,2025-10-15
2017,AT,MIXED,75-79,M,SURVIVOR,37601,18789.88,15145.77,49.15,59.79,18.07,NONE,15.36,0,1,110352819255.31,proj_pens,LOW_MIGRATION,2025-02-02
2018,EE,PILLAR1_PUBLIC_PAYG,70-74,F,EARLY_RETIREMENT,40166,22812.63,17826.73,34.95,63.26,34.17,DISCRETIONARY,14.34,0,0,110507760363.61,spr_pns_mean,HIGH_MIGRATION,2025-05-01
2019,IT,PILLAR2_OCCUPATIONAL,65-69,T,DISABILITY,35509,12325.91,9033.74,37.67,62.52,30.67,MIXED,23.95,0,1,110848534354.88,gov_10a_main,LOW_GROWTH,2024-03-22
2020,PT,PILLAR3_PERSONAL,55-64,M,MINIMUM_PENSION,38171,16716.83,13774.62,64.44,60.63,33.0,WAGE,12.52,0,0,111066267923.71,ilc_pnp1,HIGH_LONGEVITY,2025-08-02
2021,BE,MIXED,85+,F,OLD_AGE,35435,17909.57,13355.57,72.02,61.34,25.54,CPI,16.03,0,0,111446915397.96,spr_pns_ben,BASELINE,2024-11-07
2022,FI,PILLAR1_PUBLIC_PAYG,80-84,T,SURVIVOR,37705,8510.45,6547.92,65.67,58.26,23.22,NONE,11.05,0,1,111608141989.35,proj_pens,LOW_MIGRATION,2025-10-18
2023,LV,PILLAR2_OCCUPATIONAL,75-79,M,EARLY_RETIREMENT,37113,16271.36,14150.56,74.0,60.4,25.1,DISCRETIONARY,27.01,0,1,111929748082.51,spr_pns_mean,HIGH_MIGRATION,2025-07-20
2024,RO,PILLAR3_PERSONAL,70-74,F,DISABILITY,37145,14146.05,10725.67,91.29,58.56,14.81,MIXED,19.61,0,0,112271820926.77,gov_10a_main,LOW_GROWTH,2025-12-08
2025,BG,MIXED,65-69,T,MINIMUM_PENSION,38771,5903.38,5483.6,68.38,63.0,27.95,WAGE,23.14,0,0,112449372150.58,ilc_pnp1,HIGH_LONGEVITY,2024-12-02
2026,FR,PILLAR1_PUBLIC_PAYG,55-64,M,OLD_AGE,37695,15645.58,13346.34,72.68,63.61,25.26,CPI,18.92,0,1,112723368084.56,spr_pns_ben,BASELINE,2025-10-23
2008,LT,PILLAR2_OCCUPATIONAL,85+,F,SURVIVOR,38372,9380.78,6955.81,58.0,67.26,19.63,NONE,15.74,0,1,113172241641.39,proj_pens,LOW_MIGRATION,2024-11-30
2009,SK,PILLAR3_PERSONAL,80-84,T,EARLY_RETIREMENT,36466,7481.63,7094.29,89.59,65.38,22.8,DISCRETIONARY,14.66,0,0,113446496407.52,spr_pns_mean,HIGH_MIGRATION,2025-04-03
2010,HR,MIXED,75-79,M,DISABILITY,35586,10718.7,9019.02,70.28,64.66,36.36,MIXED,22.56,0,0,113646435530.58,gov_10a_main,LOW_GROWTH,2024-02-05
2011,DE,PILLAR1_PUBLIC_PAYG,70-74,F,MINIMUM_PENSION,35653,15071.4,12288.56,45.85,65.69,16.62,WAGE,7.83,1,0,113937683905.09,ilc_pnp1,HIGH_LONGEVITY,2024-02-26
2012,LU,PILLAR2_OCCUPATIONAL,65-69,T,OLD_AGE,39184,10324.82,7588.24,86.6,63.06,39.8,CPI,12.52,0,1,114199321840.04,spr_pns_ben,BASELINE,2024-03-09
2013,SI,PILLAR3_PERSONAL,55-64,M,SURVIVOR,38638,12088.44,9173.19,67.28,66.08,18.09,NONE,21.41,1,1,114542251698.56,proj_pens,LOW_MIGRATION,2025-05-31
2014,CY,MIXED,85+,F,EARLY_RETIREMENT,40483,6672.66,6062.3,90.53,62.13,26.91,DISCRETIONARY,21.57,0,0,114826326863.06,spr_pns_mean,HIGH_MIGRATION,2025-07-21
2015,GR,PILLAR1_PUBLIC_PAYG,80-84,T,DISABILITY,38009,22192.55,20162.65,32.81,59.45,18.26,MIXED,11.22,1,0,115101348501.87,gov_10a_main,LOW_GROWTH,2024-04-30
2016,MT,PILLAR2_OCCUPATIONAL,75-79,M,MINIMUM_PENSION,39669,22551.48,20883.57,80.43,59.46,22.58,WAGE,25.99,0,0,115414084960.66,ilc_pnp1,HIGH_LONGEVITY,2026-01-15
2017,ES,PILLAR3_PERSONAL,70-74,F,OLD_AGE,39208,14575.97,10726.77,36.3,62.58,41.72,CPI,11.07,0,0,115684609373.54,spr_pns_ben,BASELINE,2025-08-31
2018,CZ,MIXED,65-69,T,SURVIVOR,37672,22884.32,20237.08,67.35,61.41,30.39,NONE,21.13,0,1,115908503153.92,proj_pens,LOW_MIGRATION,2025-09-19
2019,HU,PILLAR1_PUBLIC_PAYG,55-64,M,EARLY_RETIREMENT,35756,22309.81,20764.34,62.54,63.56,13.69,DISCRETIONARY,7.85,0,0,116249146672.93,spr_pns_mean,HIGH_MIGRATION,2025-03-19
2020,NL,PILLAR2_OCCUPATIONAL,85+,F,DISABILITY,38735,25613.84,20791.04,30.52,62.5,29.34,MIXED,5.62,0,0,116465131067.04,gov_10a_main,LOW_GROWTH,2025-07-02
2021,SE,PILLAR3_PERSONAL,80-84,T,MINIMUM_PENSION,36459,23320.02,21719.32,58.65,63.51,25.49,WAGE,24.16,0,1,116816137256.49,ilc_pnp1,HIGH_LONGEVITY,2024-01-01
2022,DK,MIXED,75-79,M,OLD_AGE,38931,15024.22,11180.07,67.39,65.6,32.39,CPI,5.66,0,0,116951597711.85,spr_pns_ben,BASELINE,2026-01-04
2023,IE,PILLAR1_PUBLIC_PAYG,70-74,F,SURVIVOR,37039,12919.81,9968.42,74.8,63.79,24.78,NONE,27.08,1,1,117365333668.01,proj_pens,LOW_MIGRATION,2024-12-25
2024,PL,PILLAR2_OCCUPATIONAL,65-69,T,EARLY_RETIREMENT,40105,17331.48,16545.7,43.3,61.77,22.46,DISCRETIONARY,16.52,0,0,117510260123.94,spr_pns_mean,HIGH_MIGRATION,2025-04-20
2025,AT,PILLAR3_PERSONAL,55-64,M,DISABILITY,39684,21203.81,16930.0,65.64,59.45,31.54,MIXED,17.64,1,0,117792335771.2,gov_10a_main,LOW_GROWTH,2025-04-28
2026,EE,MIXED,85+,F,MINIMUM_PENSION,40459,18654.86,13584.44,88.13,61.3,19.01,WAGE,19.56,0,0,118184814512.77,ilc_pnp1,HIGH_LONGEVITY,2026-01-26
2008,IT,PILLAR1_PUBLIC_PAYG,80-84,T,OLD_AGE,38515,9715.21,8120.11,74.14,58.56,26.78,CPI,19.33,0,0,118467570575.87,spr_pns_ben,BASELINE,2024-09-05
2009,PT,PILLAR2_OCCUPATIONAL,75-79,M,SURVIVOR,37987,23683.91,19699.08,90.52,62.27,19.66,NONE,11.42,0,1,118750109762.51,proj_pens,LOW_MIGRATION,2025-09-10
2010,BE,PILLAR3_PERSONAL,70-74,F,EARLY_RETIREMENT,36464,6356.84,5942.69,76.46,66.71,26.76,DISCRETIONARY,25.52,0,0,118994072709.79,spr_pns_mean,HIGH_MIGRATION,2024-01-26
2011,FI,MIXED,65-69,T,DISABILITY,40155,19610.18,15653.14,54.94,64.86,17.63,MIXED,27.9,0,0,119253274458.49,gov_10a_main,LOW_GROWTH,2024-08-28
2012,LV,PILLAR1_PUBLIC_PAYG,55-64,M,MINIMUM_PENSION,38710,13467.96,10052.81,67.86,63.56,34.28,WAGE,24.05,0,0,119547593371.73,ilc_pnp1,HIGH_LONGEVITY,2024-07-29
2013,RO,PILLAR2_OCCUPATIONAL,85+,F,OLD_AGE,36168,20372.27,17312.79,29.0,58.27,31.52,CPI,4.23,1,0,119782358187.31,spr_pns_ben,BASELINE,2025-12-11
2014,BG,PILLAR3_PERSONAL,80-84,T,SURVIVOR,37214,17809.57,15333.08,79.68,62.66,32.01,NONE,21.49,0,1,120129523557.14,proj_pens,LOW_MIGRATION,2025-01-22
2015,FR,MIXED,75-79,M,EARLY_RETIREMENT,40012,19486.24,18196.25,26.02,60.4,19.24,DISCRETIONARY,10.33,0,0,120401629334.39,spr_pns_mean,HIGH_MIGRATION,2025-07-20
2016,LT,PILLAR1_PUBLIC_PAYG,70-74,F,DISABILITY,37078,6624.73,5006.48,86.5,63.39,41.66,MIXED,15.58,0,0,120597243865.32,gov_10a_main,LOW_GROWTH,2025-12-17
2017,SK,PILLAR2_OCCUPATIONAL,65-69,T,MINIMUM_PENSION,39127,15268.72,11121.19,39.03,60.02,38.5,WAGE,7.53,0,0,120972786653.94,ilc_pnp1,HIGH_LONGEVITY,2024-01-16
2018,HR,PILLAR3_PERSONAL,55-64,M,OLD_AGE,39901,9775.67,8377.09,84.91,65.74,17.85,CPI,11.46,0,0,121196517755.36,spr_pns_ben,BASELINE,2025-05-12
2019,DE,MIXED,85+,F,SURVIVOR,39110,12660.22,11461.27,31.47,63.92,31.01,NONE,17.96,1,1,121396075259.9,proj_pens,LOW_MIGRATION,2025-10-08
2020,LU,PILLAR1_PUBLIC_PAYG,80-84,T,EARLY_RETIREMENT,37685,25042.77,21407.42,42.06,61.82,18.08,DISCRETIONARY,12.28,0,0,121701592689.33,spr_pns_mean,HIGH_MIGRATION,2025-06-29
2021,SI,PILLAR2_OCCUPATIONAL,75-79,M,DISABILITY,39270,22170.07,16008.89,87.08,61.96,13.54,MIXED,18.7,0,0,122002790810.33,gov_10a_main,LOW_GROWTH,2024-05-12
2022,CY,PILLAR3_PERSONAL,70-74,F,MINIMUM_PENSION,38201,20571.66,16855.87,48.49,63.23,29.35,WAGE,16.48,0,0,122228513497.91,ilc_pnp1,HIGH_LONGEVITY,2025-09-08
2023,GR,MIXED,65-69,T,OLD_AGE,38876,17158.51,14410.0,73.76,60.54,34.94,CPI,19.46,0,0,122691040462.26,spr_pns_ben,BASELINE,2024-04-14
2024,MT,PILLAR1_PUBLIC_PAYG,55-64,M,SURVIVOR,40817,18993.47,16288.99,40.06,64.72,23.36,NONE,18.44,0,1,122782092584.54,proj_pens,LOW_MIGRATION,2024-10-06
2025,ES,PILLAR2_OCCUPATIONAL,85+,F,EARLY_RETIREMENT,36051,22111.32,16674.8,35.32,62.83,24.88,DISCRETIONARY,9.34,0,0,123184450718.25,spr_pns_mean,HIGH_MIGRATION,2024-02-14
2026,CZ,PILLAR3_PERSONAL,80-84,T,DISABILITY,39007,19271.74,18351.65,46.21,62.11,15.81,MIXED,25.57,1,0,123405235652.78,gov_10a_main,LOW_GROWTH,2025-07-18
2008,HU,MIXED,75-79,M,MINIMUM_PENSION,37801,7500.45,6638.5,60.35,64.23,41.97,WAGE,7.44,0,0,123634063701.53,ilc_pnp1,HIGH_LONGEVITY,2024-03-10
2009,NL,PILLAR1_PUBLIC_PAYG,70-74,F,OLD_AGE,39743,6644.78,6027.34,60.98,63.19,37.93,CPI,19.28,0,0,123984444641.88,spr_pns_ben,BASELINE,2025-09-24
2010,SE,PILLAR2_OCCUPATIONAL,65-69,T,SURVIVOR,39850,22775.66,21187.11,80.02,61.54,40.03,NONE,17.29,0,1,124271875565.6,proj_pens,LOW_MIGRATION,2024-08-23
2011,DK,PILLAR3_PERSONAL,55-64,M,EARLY_RETIREMENT,39058,16172.1,11844.64,58.0,64.17,32.62,DISCRETIONARY,18.84,0,0,124472773435.41,spr_pns_mean,HIGH_MIGRATION,2024-02-02
2012,IE,MIXED,85+,F,DISABILITY,36985,24976.6,22417.81,59.16,68.19,37.4,MIXED,16.38,0,0,124906659852.59,gov_10a_main,LOW_GROWTH,2025-09-08
2013,PL,PILLAR1_PUBLIC_PAYG,80-84,T,MINIMUM_PENSION,40825,13860.58,12622.05,60.63,68.18,35.55,WAGE,22.11,0,1,125072672419.0,ilc_pnp1,HIGH_LONGEVITY,2025-11-27
2014,AT,PILLAR2_OCCUPATIONAL,75-79,M,OLD_AGE,38854,13841.15,11653.83,65.36,58.45,12.93,CPI,16.74,0,0,125438928182.67,spr_pns_ben,BASELINE,2024-06-30
2015,EE,PILLAR3_PERSONAL,70-74,F,SURVIVOR,37995,18207.65,16060.49,82.34,64.6,14.85,NONE,25.04,1,1,125768690377.89,proj_pens,LOW_MIGRATION,2024-07-26
2016,IT,MIXED,65-69,T,EARLY_RETIREMENT,39448,18471.04,16745.56,36.34,62.89,30.22,DISCRETIONARY,26.66,1,0,125962167416.52,spr_pns_mean,HIGH_MIGRATION,2025-04-18
2017,PT,PILLAR1_PUBLIC_PAYG,55-64,M,DISABILITY,36206,26032.09,24382.7,82.24,58.47,35.87,MIXED,16.56,0,1,126185439945.26,gov_10a_main,LOW_GROWTH,2025-01-15
2018,BE,PILLAR2_OCCUPATIONAL,85+,F,MINIMUM_PENSION,36877,21747.06,20840.9,49.77,64.68,33.0,WAGE,19.26,1,0,126602256554.32,ilc_pnp1,HIGH_LONGEVITY,2025-07-17
2019,FI,PILLAR3_PERSONAL,80-84,T,OLD_AGE,39862,13462.64,11386.64,44.13,66.07,33.9,CPI,15.35,0,0,126874120901.46,spr_pns_ben,BASELINE,2024-09-14
2020,LV,MIXED,75-79,M,SURVIVOR,38932,11219.49,8581.55,64.54,59.51,32.47,NONE,16.14,0,1,127159404655.25,proj_pens,LOW_MIGRATION,2024-02-19
2021,RO,PILLAR1_PUBLIC_PAYG,70-74,F,EARLY_RETIREMENT,39442,14276.69,13095.88,64.64,58.23,39.75,DISCRETIONARY,19.64,0,0,127341678670.23,spr_pns_mean,HIGH_MIGRATION,2024-12-27
2022,BG,PILLAR2_OCCUPATIONAL,65-69,T,DISABILITY,40369,8957.53,6987.14,80.95,65.25,18.37,MIXED,21.53,0,0,127683710055.65,gov_10a_main,LOW_GROWTH,2025-08-01
2023,FR,PILLAR3_PERSONAL,55-64,M,MINIMUM_PENSION,37123,13415.24,11220.88,79.97,63.04,38.66,WAGE,24.16,1,0,127862257365.57,ilc_pnp1,HIGH_LONGEVITY,2026-02-02
2024,LT,MIXED,85+,F,OLD_AGE,36843,25126.26,22487.5,34.22,62.14,18.13,CPI,17.01,0,1,128238752740.48,spr_pns_ben,BASELINE,2024-01-03
2025,SK,PILLAR1_PUBLIC_PAYG,80-84,T,SURVIVOR,39586,21222.14,15647.53,75.42,65.04,36.5,NONE,25.39,1,1,128547660687.01,proj_pens,LOW_MIGRATION,2026-02-01
2026,HR,PILLAR2_OCCUPATIONAL,75-79,M,EARLY_RETIREMENT,37084,12608.93,10013.11,43.84,66.54,31.85,DISCRETIONARY,8.25,0,0,128843047706.2,spr_pns_mean,HIGH_MIGRATION,2025-10-28
2008,DE,PILLAR3_PERSONAL,70-74,F,DISABILITY,39993,7122.27,6330.18,45.34,65.76,14.5,MIXED,18.13,1,0,129002838791.0,gov_10a_main,LOW_GROWTH,2025-12-21
2009,LU,MIXED,65-69,T,MINIMUM_PENSION,38321,17013.85,14811.66,34.49,58.76,19.12,WAGE,21.7,1,0,129335868251.76,ilc_pnp1,HIGH_LONGEVITY,2024-02-20
2010,SI,PILLAR1_PUBLIC_PAYG,55-64,M,OLD_AGE,39160,13221.9,10488.3,25.63,62.51,27.49,CPI,16.6,0,0,129635566168.83,spr_pns_ben,BASELINE,2024-10-08
2011,CY,PILLAR2_OCCUPATIONAL,85+,F,SURVIVOR,37734,8325.82,6437.24,32.05,63.97,31.68,NONE,4.58,0,1,129979852091.33,proj_pens,LOW_MIGRATION,2024-11-19
2012,GR,PILLAR3_PERSONAL,80-84,T,EARLY_RETIREMENT,36605,8216.33,6626.81,67.35,58.35,25.61,DISCRETIONARY,27.07,0,1,130083087611.84,spr_pns_mean,HIGH_MIGRATION,2024-08-21
2013,MT,MIXED,75-79,M,DISABILITY,37096,17925.76,14037.11,75.31,65.73,29.27,MIXED,12.91,1,0,130366587797.17,gov_10a_main,LOW_GROWTH,2024-06-14
2014,ES,PILLAR1_PUBLIC_PAYG,70-74,F,MINIMUM_PENSION,41242,8120.52,7559.84,56.56,61.76,25.91,WAGE,7.09,1,1,130692677056.08,ilc_pnp1,HIGH_LONGEVITY,2024-10-16
2015,CZ,PILLAR2_OCCUPATIONAL,65-69,T,OLD_AGE,36995,26417.05,24808.19,76.56,63.3,19.32,CPI,18.84,0,0,131099333777.79,spr_pns_ben,BASELINE,2025-06-02
2016,HU,PILLAR3_PERSONAL,55-64,M,SURVIVOR,37516,6659.49,6068.65,57.28,65.15,27.37,NONE,26.98,0,1,131211443516.12,proj_pens,LOW_MIGRATION,2025-02-14
2017,NL,MIXED,85+,F,EARLY_RETIREMENT,37784,7019.01,6210.71,90.32,66.15,27.1,DISCRETIONARY,23.13,0,0,131463761157.67,spr_pns_mean,HIGH_MIGRATION,2025-03-20
2018,SE,PILLAR1_PUBLIC_PAYG,80-84,T,DISABILITY,40260,22701.97,17125.99,57.31,66.37,33.56,MIXED,13.84,0,1,131934497248.99,gov_10a_main,LOW_GROWTH,2024-09-04
2019,DK,PILLAR2_OCCUPATIONAL,75-79,M,MINIMUM_PENSION,39496,10205.98,8007.35,71.07,68.22,19.62,WAGE,4.82,1,0,132023184940.58,ilc_pnp1,HIGH_LONGEVITY,2024-01-18
2020,IE,PILLAR3_PERSONAL,70-74,F,OLD_AGE,40496,19607.91,17099.84,40.36,59.81,18.74,CPI,26.83,1,1,132335612460.5,spr_pns_ben,BASELINE,2024-01-06
2021,PL,MIXED,65-69,T,SURVIVOR,40719,6347.75,4736.68,42.33,60.18,29.42,NONE,13.83,1,1,132725709439.28,proj_pens,LOW_MIGRATION,2024-07-08
2022,AT,PILLAR1_PUBLIC_PAYG,55-64,M,EARLY_RETIREMENT,38914,23053.7,18649.58,66.64,67.69,28.52,DISCRETIONARY,18.79,0,1,132888310788.5,spr_pns_mean,HIGH_MIGRATION,2024-09-02
2023,EE,PILLAR2_OCCUPATIONAL,85+,F,DISABILITY,36927,16109.18,12455.88,78.3,58.74,38.35,MIXED,17.7,1,0,133148743948.28,gov_10a_main,LOW_GROWTH,2024-01-17
2024,IT,PILLAR3_PERSONAL,80-84,T,MINIMUM_PENSION,37633,24959.18,19756.26,40.91,66.38,33.36,WAGE,12.57,0,1,133542001946.3,ilc_pnp1,HIGH_LONGEVITY,2024-10-11
2025,PT,MIXED,75-79,M,OLD_AGE,39814,13748.91,11263.57,94.25,68.01,24.22,CPI,9.5,1,0,133843447509.62,spr_pns_ben,BASELINE,2024-07-11
2026,BE,PILLAR1_PUBLIC_PAYG,70-74,F,SURVIVOR,40024,21773.51,19633.15,91.17,66.08,29.3,NONE,11.95,0,1,134117209144.53,proj_pens,LOW_MIGRATION,2024-12-06
2008,FI,PILLAR2_OCCUPATIONAL,65-69,T,EARLY_RETIREMENT,37152,24112.62,17736.1,73.0,61.77,33.85,DISCRETIONARY,23.26,1,0,134341464285.15,spr_pns_mean,HIGH_MIGRATION,2025-06-22
2009,LV,PILLAR3_PERSONAL,55-64,M,DISABILITY,41535,22981.83,17932.69,41.46,58.25,24.1,MIXED,11.24,1,0,134712330425.38,gov_10a_main,LOW_GROWTH,2026-02-13
2010,RO,MIXED,85+,F,MINIMUM_PENSION,38980,18249.55,15016.89,60.45,61.63,15.76,WAGE,22.54,0,1,134865584838.0,ilc_pnp1,HIGH_LONGEVITY,2024-09-25
2011,BG,PILLAR1_PUBLIC_PAYG,80-84,T,OLD_AGE,39827,12334.93,10098.44,94.7,65.96,23.07,CPI,15.3,1,0,135267994496.45,spr_pns_ben,BASELINE,2026-01-21
2012,FR,PILLAR2_OCCUPATIONAL,75-79,M,SURVIVOR,39542,22658.83,20694.5,88.22,59.6,25.41,NONE,18.94,0,1,135392179243.68,proj_pens,LOW_MIGRATION,2024-12-06
2013,LT,PILLAR3_PERSONAL,70-74,F,EARLY_RETIREMENT,39210,23244.49,21751.19,79.48,65.08,21.18,DISCRETIONARY,18.11,0,0,135796941919.83,spr_pns_mean,HIGH_MIGRATION,2024-09-28
2014,SK,MIXED,65-69,T,DISABILITY,40003,24983.63,19692.44,32.1,62.79,13.04,MIXED,15.24,0,0,136134754140.33,gov_10a_main,LOW_GROWTH,2025-09-01
2015,HR,PILLAR1_PUBLIC_PAYG,55-64,M,MINIMUM_PENSION,37558,25722.55,21625.66,57.71,63.06,18.63,WAGE,24.46,0,0,136269463083.97,ilc_pnp1,HIGH_LONGEVITY,2024-02-29
2016,DE,PILLAR2_OCCUPATIONAL,85+,F,OLD_AGE,36959,11389.24,10457.89,88.06,63.55,25.57,CPI,9.98,0,0,136643057972.49,spr_pns_ben,BASELINE,2024-09-01
2017,LU,PILLAR3_PERSONAL,80-84,T,SURVIVOR,37722,19877.12,15818.19,79.0,59.35,35.23,NONE,5.01,1,1,136977405163.28,proj_pens,LOW_MIGRATION,2026-02-07
2018,SI,MIXED,75-79,M,EARLY_RETIREMENT,37063,21607.93,16581.0,29.84,63.6,36.98,DISCRETIONARY,5.85,0,0,137064687689.18,spr_pns_mean,HIGH_MIGRATION,2024-09-14
2019,CY,PILLAR1_PUBLIC_PAYG,70-74,F,DISABILITY,37432,16965.15,14035.65,78.13,68.35,30.05,MIXED,15.35,0,0,137526422059.03,gov_10a_main,LOW_GROWTH,2024-06-05
2020,GR,PILLAR2_OCCUPATIONAL,65-69,T,MINIMUM_PENSION,38139,13770.13,12392.5,51.94,66.97,37.57,WAGE,23.52,0,0,137791305809.44,ilc_pnp1,HIGH_LONGEVITY,2025-02-08
2021,MT,PILLAR3_PERSONAL,55-64,M,OLD_AGE,40423,10679.9,7747.04,66.41,63.82,31.05,CPI,8.1,0,1,137929889410.86,spr_pns_ben,BASELINE,2024-09-27
2022,ES,MIXED,85+,F,SURVIVOR,40663,25006.72,23393.2,72.56,68.25,13.59,NONE,17.87,1,1,138251533190.26,proj_pens,LOW_MIGRATION,2025-09-06
2023,CZ,PILLAR1_PUBLIC_PAYG,80-84,T,EARLY_RETIREMENT,40347,17978.01,15662.57,30.65,60.92,23.17,DISCRETIONARY,9.11,0,0,138467152708.57,spr_pns_mean,HIGH_MIGRATION,2026-01-06
2024,HU,PILLAR2_OCCUPATIONAL,75-79,M,DISABILITY,40981,24930.54,18119.98,84.27,61.66,22.02,MIXED,7.67,1,0,138827780665.86,gov_10a_main,LOW_GROWTH,2025-11-28
2025,NL,PILLAR3_PERSONAL,70-74,F,MINIMUM_PENSION,40095,22120.82,20327.17,55.15,64.06,33.55,WAGE,19.95,0,0,139034882898.52,ilc_pnp1,HIGH_LONGEVITY,2024-12-12
2026,SE,MIXED,65-69,T,OLD_AGE,37938,21955.99,18173.21,65.98,63.83,37.9,CPI,8.19,0,0,139428121235.64,spr_pns_ben,BASELINE,2024-11-01
2008,DK,PILLAR1_PUBLIC_PAYG,55-64,M,SURVIVOR,39481,17512.18,13825.66,94.26,67.66,34.92,NONE,6.55,0,1,139582054632.88,proj_pens,LOW_MIGRATION,2024-09-19
