soc_unemp_reference_month,soc_unemp_country_iso2,soc_unemp_region_nuts_code,soc_unemp_claimant_age_group,soc_unemp_claimant_sex,soc_unemp_benefit_scheme_code,soc_unemp_claims_open_count,soc_unemp_new_claims_count,soc_unemp_closed_claims_count,soc_unemp_average_duration_weeks,soc_unemp_replacement_rate_pct,soc_unemp_benefit_amount_mean_eur,soc_unemp_sanction_rate_pct,soc_unemp_active_labor_market_program_code,soc_unemp_participation_count,soc_unemp_training_completion_rate_pct,soc_unemp_job_placement_rate_pct,soc_unemp_digital_services_usage_rate_pct,soc_unemp_eurostat_table_code,soc_unemp_data_extract_date
2021-01,MT,RO77,15-24,M,UI_CONTRIBUTORY,2195,614,420,25.35,33.51,964.22,3.3,PUBLIC_WORKS,617,78.49,37.08,16.3,une_rt_m,2025-10-06
2021-02,SK,SK965,25-34,T,UI_ASSISTANCE,1739,582,344,17.08,32.19,1737.69,11.87,TRAINING,570,41.52,29.95,33.66,lfsi_long_q,2025-05-06
2021-03,BE,HU18,35-44,F,SHORT_TIME_WORK,2080,583,319,28.78,37.5,300.76,9.85,APPRENTICESHIP,774,58.05,32.49,79.4,lfsa_ugad,2024-02-25
2021-04,DK,FR422,45-54,M,YOUTH_GUARANTEE,1951,607,342,17.44,78.32,348.9,2.36,ENTREPRENEUR_SUPPORT,604,63.85,13.41,41.81,lfsq_urgaed,2024-06-12
2021-05,GR,LV710,55-64,T,SELF_EMP_SUPPORT,1833,574,285,53.68,58.02,1478.1,6.07,JOB_SEARCH_ASSIST,544,53.12,53.51,16.34,lfsq_urgaed,2025-10-08
2021-06,LT,EE758,65+,F,MIXED,1989,651,526,16.16,63.64,1473.08,5.79,MOBILITY_GRANT,570,91.51,43.39,27.55,une_rt_m,2024-09-28
2021-07,PT,SE87,15-24,M,UI_CONTRIBUTORY,1902,636,440,24.05,32.27,568.61,5.87,WAGE_SUBSIDY,648,63.5,59.54,69.35,lfsi_long_q,2025-01-27
2021-08,SE,LU691,25-34,T,UI_ASSISTANCE,1905,591,351,28.25,26.27,1515.39,10.43,PUBLIC_WORKS,548,38.49,26.3,23.02,lfsa_ugad,2025-05-17
2021-09,CY,EE19,35-44,F,SHORT_TIME_WORK,2057,559,389,34.48,56.63,994.87,2.19,TRAINING,720,59.95,17.35,83.96,lfsq_urgaed,2024-11-16
2021-10,FR,EE484,45-54,M,YOUTH_GUARANTEE,1781,635,605,28.56,47.46,1578.07,10.99,APPRENTICESHIP,624,75.41,8.79,42.38,lfsq_urgaed,2024-11-07
2021-11,IT,EE94,55-64,T,SELF_EMP_SUPPORT,1766,577,463,7.27,50.96,1270.93,6.33,ENTREPRENEUR_SUPPORT,642,57.56,26.75,50.68,une_rt_m,2024-04-04
2021-12,NL,MT53,65+,F,MIXED,2233,579,524,30.35,59.84,1229.59,1.11,JOB_SEARCH_ASSIST,724,80.84,14.61,55.16,lfsi_long_q,2024-05-12
2022-01,SI,DK563,15-24,M,UI_CONTRIBUTORY,2067,580,383,32.61,49.77,1647.16,0.61,MOBILITY_GRANT,684,43.18,42.0,68.58,lfsa_ugad,2025-02-04
2022-02,BG,FR7,25-34,T,UI_ASSISTANCE,2194,550,265,53.66,36.3,520.28,9.31,WAGE_SUBSIDY,702,56.43,14.09,35.75,lfsq_urgaed,2025-05-20
2022-03,EE,RO96,35-44,F,SHORT_TIME_WORK,1882,650,355,28.79,68.61,1008.59,9.01,PUBLIC_WORKS,555,88.23,12.58,18.14,lfsq_urgaed,2025-04-11
2022-04,HU,SK54,45-54,M,YOUTH_GUARANTEE,1966,638,334,32.64,36.26,265.6,6.48,TRAINING,830,58.5,45.08,17.19,une_rt_m,2024-06-15
2022-05,LU,FI192,55-64,T,SELF_EMP_SUPPORT,1920,616,278,14.01,45.54,1222.33,1.68,APPRENTICESHIP,578,93.23,22.87,26.58,lfsi_long_q,2026-01-02
2022-06,RO,IE173,65+,F,MIXED,2189,596,374,51.04,39.98,1686.36,3.45,ENTREPRENEUR_SUPPORT,717,72.59,59.59,78.53,lfsa_ugad,2025-08-31
2022-07,AT,BE6,15-24,M,UI_CONTRIBUTORY,2216,628,452,53.68,42.08,1299.71,4.74,JOB_SEARCH_ASSIST,822,42.47,19.77,17.29,lfsq_urgaed,2024-01-05
2022-08,CZ,DK234,25-34,T,UI_ASSISTANCE,2057,667,591,45.3,67.83,1314.74,5.07,MOBILITY_GRANT,745,57.67,41.08,40.91,lfsq_urgaed,2025-11-12
2022-09,DE,SI278,35-44,F,SHORT_TIME_WORK,2111,628,327,12.47,52.25,1152.81,8.89,WAGE_SUBSIDY,740,85.66,24.1,64.7,une_rt_m,2026-02-13
2022-10,LV,PT153,45-54,M,YOUTH_GUARANTEE,2104,561,292,54.29,68.52,304.47,10.06,PUBLIC_WORKS,627,70.04,25.8,27.24,lfsi_long_q,2024-09-02
2022-11,PL,CZ183,55-64,T,SELF_EMP_SUPPORT,2180,559,382,30.89,76.33,681.81,7.72,TRAINING,757,71.5,21.15,80.83,lfsa_ugad,2024-07-21
2022-12,ES,BE496,65+,F,MIXED,1975,554,342,46.33,52.07,996.77,3.09,APPRENTICESHIP,800,84.23,43.71,63.41,lfsq_urgaed,2025-04-03
2023-01,HR,ES62,15-24,M,UI_CONTRIBUTORY,1975,670,423,38.78,27.04,557.86,3.96,ENTREPRENEUR_SUPPORT,668,62.34,42.04,70.88,lfsq_urgaed,2025-11-17
2023-02,FI,LU23,25-34,T,UI_ASSISTANCE,2197,661,504,53.35,49.38,665.45,0.07,JOB_SEARCH_ASSIST,630,84.69,30.83,38.7,une_rt_m,2025-12-31
2023-03,IE,HR654,35-44,F,SHORT_TIME_WORK,1924,605,604,14.14,64.24,893.7,7.78,MOBILITY_GRANT,550,77.93,57.93,47.52,lfsi_long_q,2024-07-26
2023-04,MT,MT40,45-54,M,YOUTH_GUARANTEE,1885,671,545,47.98,49.91,318.43,2.55,WAGE_SUBSIDY,822,47.35,51.92,72.72,lfsa_ugad,2024-04-24
2023-05,SK,SI7,55-64,T,SELF_EMP_SUPPORT,1870,669,610,14.53,39.13,418.68,11.58,PUBLIC_WORKS,725,52.41,54.18,20.38,lfsq_urgaed,2024-11-05
2023-06,BE,SI164,65+,F,MIXED,1929,618,367,40.31,64.52,1239.34,10.9,TRAINING,847,44.45,46.21,94.28,lfsq_urgaed,2025-09-17
2023-07,DK,RO63,15-24,M,UI_CONTRIBUTORY,1923,652,576,47.0,61.63,1215.53,6.16,APPRENTICESHIP,645,39.92,29.26,42.85,une_rt_m,2024-12-23
2023-08,GR,BE50,25-34,T,UI_ASSISTANCE,1999,578,279,36.25,65.5,452.81,0.63,ENTREPRENEUR_SUPPORT,826,91.96,8.75,74.49,lfsi_long_q,2025-06-11
2023-09,LT,EE85,35-44,F,SHORT_TIME_WORK,1823,625,439,38.76,55.09,1226.17,10.1,JOB_SEARCH_ASSIST,758,54.8,19.26,16.39,lfsa_ugad,2024-08-18
2023-10,PT,ES6,45-54,M,YOUTH_GUARANTEE,2042,595,368,36.07,58.16,1033.32,6.21,MOBILITY_GRANT,612,67.26,37.1,25.88,lfsq_urgaed,2025-09-16
2023-11,SE,LU107,55-64,T,SELF_EMP_SUPPORT,2206,653,499,49.47,55.91,1299.21,3.95,WAGE_SUBSIDY,576,40.97,26.86,90.54,lfsq_urgaed,2025-05-23
2023-12,CY,RO860,65+,F,MIXED,2112,592,427,31.72,71.64,881.32,2.63,PUBLIC_WORKS,617,58.19,20.66,56.11,une_rt_m,2024-11-06
2024-01,FR,IT786,15-24,M,UI_CONTRIBUTORY,1963,584,403,35.64,42.95,853.5,4.79,TRAINING,821,48.28,23.84,52.08,lfsi_long_q,2024-05-23
2024-02,IT,FR18,25-34,T,UI_ASSISTANCE,1933,610,436,12.34,48.05,1697.53,8.6,APPRENTICESHIP,579,42.88,58.25,88.31,lfsa_ugad,2025-07-20
2024-03,NL,DK777,35-44,F,SHORT_TIME_WORK,2069,621,522,33.26,44.8,831.49,10.72,ENTREPRENEUR_SUPPORT,686,74.12,61.17,43.21,lfsq_urgaed,2024-07-17
2024-04,SI,DE875,45-54,M,YOUTH_GUARANTEE,2159,597,590,48.05,47.66,1323.93,8.07,JOB_SEARCH_ASSIST,779,54.03,27.89,60.79,lfsq_urgaed,2024-09-19
2024-05,BG,IT70,55-64,T,SELF_EMP_SUPPORT,2278,590,534,45.27,69.81,711.55,2.24,MOBILITY_GRANT,740,45.73,30.55,43.47,une_rt_m,2025-09-27
2024-06,EE,IT250,65+,F,MIXED,1871,653,346,14.85,29.8,1225.89,3.56,WAGE_SUBSIDY,811,61.28,52.35,71.4,lfsi_long_q,2024-11-19
2024-07,HU,LT302,15-24,M,UI_CONTRIBUTORY,2146,654,582,50.31,64.26,1351.58,10.52,PUBLIC_WORKS,674,38.15,18.34,57.56,lfsa_ugad,2025-04-18
2024-08,LU,EE757,25-34,T,UI_ASSISTANCE,1947,617,313,30.36,70.21,1123.87,4.35,TRAINING,746,38.65,22.21,14.34,lfsq_urgaed,2025-08-25
2024-09,RO,CZ21,35-44,F,SHORT_TIME_WORK,2198,574,451,54.3,78.09,986.02,9.57,APPRENTICESHIP,627,64.57,34.35,69.11,lfsq_urgaed,2024-09-25
2024-10,AT,NL567,45-54,M,YOUTH_GUARANTEE,2142,592,491,35.31,56.13,1694.41,3.46,ENTREPRENEUR_SUPPORT,699,38.78,8.68,28.98,une_rt_m,2024-03-16
2024-11,CZ,BG469,55-64,T,SELF_EMP_SUPPORT,1832,584,439,57.44,31.72,1291.33,8.11,JOB_SEARCH_ASSIST,811,52.79,54.64,71.9,lfsi_long_q,2024-03-25
2024-12,DE,LV464,65+,F,MIXED,2154,693,624,36.24,71.57,1845.78,2.99,MOBILITY_GRANT,755,67.59,9.15,77.85,lfsa_ugad,2024-10-31
2025-01,LV,FI471,15-24,M,UI_CONTRIBUTORY,2121,642,481,16.42,52.41,1659.98,10.88,WAGE_SUBSIDY,659,61.79,19.96,74.87,lfsq_urgaed,2024-09-02
2025-02,PL,SI51,25-34,T,UI_ASSISTANCE,2219,661,551,46.25,51.87,689.44,4.44,PUBLIC_WORKS,662,37.39,12.45,35.54,lfsq_urgaed,2025-04-25
2025-03,ES,PT4,35-44,F,SHORT_TIME_WORK,2025,657,579,53.71,32.83,587.32,4.09,TRAINING,826,58.51,29.2,79.51,une_rt_m,2025-10-25
2025-04,HR,BE545,45-54,M,YOUTH_GUARANTEE,1994,653,557,8.68,57.21,902.78,3.79,APPRENTICESHIP,589,47.41,30.48,61.23,lfsi_long_q,2025-09-05
2025-05,FI,DE2,55-64,T,SELF_EMP_SUPPORT,2108,598,493,53.37,56.63,1669.34,10.75,ENTREPRENEUR_SUPPORT,816,65.83,38.93,57.04,lfsa_ugad,2025-02-21
2025-06,IE,LT27,65+,F,MIXED,2298,651,610,46.16,41.6,1711.49,4.28,JOB_SEARCH_ASSIST,571,62.5,46.22,43.09,lfsq_urgaed,2025-10-05
2025-07,MT,NL2,15-24,M,UI_CONTRIBUTORY,1996,662,569,53.42,61.25,1655.19,2.41,MOBILITY_GRANT,796,50.36,32.57,80.38,lfsq_urgaed,2025-02-17
2025-08,SK,SE4,25-34,T,UI_ASSISTANCE,2042,676,479,30.36,43.86,695.58,5.51,WAGE_SUBSIDY,690,69.73,46.63,20.87,une_rt_m,2024-05-27
2025-09,BE,AT621,35-44,F,SHORT_TIME_WORK,2241,606,365,37.59,73.92,1028.46,2.67,PUBLIC_WORKS,671,81.54,11.5,31.24,lfsi_long_q,2025-02-26
2025-10,DK,BG7,45-54,M,YOUTH_GUARANTEE,2024,675,500,36.13,34.64,1753.39,11.02,TRAINING,824,36.29,39.33,72.94,lfsa_ugad,2025-07-31
2025-11,GR,IE9,55-64,T,SELF_EMP_SUPPORT,2078,628,453,48.63,63.83,1160.91,10.02,APPRENTICESHIP,634,86.95,60.77,33.71,lfsq_urgaed,2025-11-12
2025-12,LT,HR25,65+,F,MIXED,2266,592,522,19.06,28.7,1699.16,0.62,ENTREPRENEUR_SUPPORT,586,86.83,56.94,82.1,lfsq_urgaed,2025-09-16
2026-01,PT,MT665,15-24,M,UI_CONTRIBUTORY,1927,660,592,11.06,63.89,1547.7,1.39,JOB_SEARCH_ASSIST,825,49.3,11.82,48.51,une_rt_m,2025-10-21
2026-02,SE,NL6,25-34,T,UI_ASSISTANCE,1956,590,444,34.31,42.42,373.94,5.56,MOBILITY_GRANT,850,84.8,18.96,50.72,lfsi_long_q,2025-12-16
2026-03,CY,BG19,35-44,F,SHORT_TIME_WORK,2312,607,310,23.71,72.93,1544.3,2.94,WAGE_SUBSIDY,872,75.33,33.83,33.8,lfsa_ugad,2026-02-22
2026-04,FR,LV63,45-54,M,YOUTH_GUARANTEE,2258,669,480,15.84,65.43,1161.51,10.48,PUBLIC_WORKS,687,52.79,50.92,61.94,lfsq_urgaed,2025-10-30
2026-05,IT,IE2,55-64,T,SELF_EMP_SUPPORT,2194,601,443,15.5,42.18,1494.74,3.09,TRAINING,726,68.67,38.36,91.2,lfsq_urgaed,2025-06-08
2026-06,NL,RO676,65+,F,MIXED,1993,623,337,44.09,61.53,441.92,10.35,APPRENTICESHIP,619,82.03,38.94,80.48,une_rt_m,2024-08-23
2026-07,SI,RO56,15-24,M,UI_CONTRIBUTORY,1941,611,544,28.37,31.23,634.52,10.72,ENTREPRENEUR_SUPPORT,634,73.88,51.17,62.38,lfsi_long_q,2024-09-28
2026-08,BG,CZ706,25-34,T,UI_ASSISTANCE,2003,625,448,23.16,53.76,529.65,1.54,JOB_SEARCH_ASSIST,762,55.77,60.11,76.44,lfsa_ugad,2025-02-16
2026-09,EE,AT242,35-44,F,SHORT_TIME_WORK,1939,626,390,56.23,65.82,641.93,10.68,MOBILITY_GRANT,618,61.49,44.57,84.56,lfsq_urgaed,2025-12-30
2026-10,HU,HR32,45-54,M,YOUTH_GUARANTEE,2314,709,604,30.13,71.87,963.59,2.68,WAGE_SUBSIDY,822,41.54,28.86,92.77,lfsq_urgaed,2025-05-31
2026-11,LU,PT5,55-64,T,SELF_EMP_SUPPORT,2222,685,367,42.28,35.69,1163.48,0.48,PUBLIC_WORKS,709,42.78,10.99,28.25,une_rt_m,2026-01-21
2026-12,RO,PL30,65+,F,MIXED,2173,653,365,38.71,48.28,323.26,8.97,TRAINING,823,38.29,33.07,12.95,lfsi_long_q,2025-01-29
2018-01,AT,AT83,15-24,M,UI_CONTRIBUTORY,2217,617,426,17.81,29.05,434.56,1.14,APPRENTICESHIP,789,84.07,56.77,26.28,lfsa_ugad,2024-03-03
2018-02,CZ,DK69,25-34,T,UI_ASSISTANCE,2121,606,534,7.46,62.61,1525.78,7.44,ENTREPRENEUR_SUPPORT,667,50.46,49.43,73.31,lfsq_urgaed,2024-02-02
2018-03,DE,SE3,35-44,F,SHORT_TIME_WORK,2128,610,375,33.28,34.1,1432.89,7.46,JOB_SEARCH_ASSIST,835,54.56,47.5,50.63,lfsq_urgaed,2025-05-03
2018-04,LV,ES401,45-54,M,YOUTH_GUARANTEE,1992,615,487,10.24,36.93,1523.87,7.7,MOBILITY_GRANT,670,53.58,29.71,95.25,une_rt_m,2025-01-07
2018-05,PL,PL653,55-64,T,SELF_EMP_SUPPORT,1892,621,556,6.89,52.13,534.31,9.1,WAGE_SUBSIDY,802,93.42,14.24,85.95,lfsi_long_q,2024-08-05
2018-06,ES,SE742,65+,F,MIXED,1960,682,515,13.31,29.01,938.09,5.77,PUBLIC_WORKS,596,59.22,24.21,35.32,lfsa_ugad,2025-08-13
2018-07,HR,NL19,15-24,M,UI_CONTRIBUTORY,2230,679,633,46.55,58.89,531.51,0.49,TRAINING,858,53.3,14.66,27.38,lfsq_urgaed,2025-09-16
2018-08,FI,IE588,25-34,T,UI_ASSISTANCE,2202,717,453,49.23,78.42,1232.25,11.17,APPRENTICESHIP,765,91.48,28.21,33.69,lfsq_urgaed,2026-01-13
2018-09,IE,IE4,35-44,F,SHORT_TIME_WORK,2135,707,426,40.67,61.27,274.23,8.63,ENTREPRENEUR_SUPPORT,671,43.0,59.27,17.0,une_rt_m,2025-10-13
2018-10,MT,SI17,45-54,M,YOUTH_GUARANTEE,1986,630,426,26.17,75.75,567.26,9.5,JOB_SEARCH_ASSIST,718,65.28,9.63,34.67,lfsi_long_q,2025-11-12
2018-11,SK,SK53,55-64,T,SELF_EMP_SUPPORT,2108,611,356,30.85,41.61,339.94,2.23,MOBILITY_GRANT,784,61.12,45.61,60.26,lfsa_ugad,2025-01-14
2018-12,BE,GR490,65+,F,MIXED,2019,625,584,34.67,43.98,1270.01,8.82,WAGE_SUBSIDY,673,46.38,38.61,78.59,lfsq_urgaed,2025-06-22
2019-01,DK,PT683,15-24,M,UI_CONTRIBUTORY,1959,654,446,26.83,34.38,1615.46,3.08,PUBLIC_WORKS,791,68.36,60.53,22.56,lfsq_urgaed,2025-11-28
2019-02,GR,BE732,25-34,T,UI_ASSISTANCE,2226,692,670,28.02,71.46,262.63,2.51,TRAINING,836,83.25,35.39,58.85,une_rt_m,2025-04-24
2019-03,LT,DK866,35-44,F,SHORT_TIME_WORK,2212,699,510,32.0,57.34,439.74,0.4,APPRENTICESHIP,893,39.33,39.02,34.72,lfsi_long_q,2024-12-05
2019-04,PT,ES190,45-54,M,YOUTH_GUARANTEE,2409,724,409,20.49,64.11,913.64,9.98,ENTREPRENEUR_SUPPORT,709,62.16,40.87,23.21,lfsa_ugad,2024-06-12
2019-05,SE,BE2,55-64,T,SELF_EMP_SUPPORT,2335,671,454,26.38,27.49,626.61,2.41,JOB_SEARCH_ASSIST,904,67.72,34.73,91.04,lfsq_urgaed,2025-09-15
2019-06,CY,HR216,65+,F,MIXED,1961,649,599,9.34,72.81,1444.85,10.45,MOBILITY_GRANT,753,71.99,24.82,29.46,lfsq_urgaed,2025-02-23
2019-07,FR,GR645,15-24,M,UI_CONTRIBUTORY,1938,627,607,33.52,70.85,1100.95,3.64,WAGE_SUBSIDY,731,74.56,52.43,15.36,une_rt_m,2024-09-07
2019-08,IT,PT25,25-34,T,UI_ASSISTANCE,2356,655,480,43.14,39.98,1607.54,4.02,PUBLIC_WORKS,896,54.12,45.74,93.12,lfsi_long_q,2024-09-24
2019-09,NL,ES3,35-44,F,SHORT_TIME_WORK,2400,641,562,35.91,34.5,1575.15,11.74,TRAINING,651,76.45,24.11,73.87,lfsa_ugad,2025-11-24
2019-10,SI,HR683,45-54,M,YOUTH_GUARANTEE,2123,626,483,56.64,58.41,712.66,0.96,APPRENTICESHIP,626,82.9,39.84,30.49,lfsq_urgaed,2024-06-13
2019-11,BG,ES90,55-64,T,SELF_EMP_SUPPORT,2176,709,415,19.93,74.64,1250.03,4.07,ENTREPRENEUR_SUPPORT,674,69.21,51.28,33.62,lfsq_urgaed,2024-10-27
2019-12,EE,CZ29,65+,F,MIXED,2269,721,558,57.25,59.34,1385.57,0.93,JOB_SEARCH_ASSIST,800,71.33,14.96,91.43,une_rt_m,2025-09-13
2020-01,HU,LV258,15-24,M,UI_CONTRIBUTORY,1957,647,628,38.63,79.38,273.55,2.43,MOBILITY_GRANT,869,87.31,32.02,41.84,lfsi_long_q,2024-02-20
2020-02,LU,LU82,25-34,T,UI_ASSISTANCE,2036,729,448,13.13,60.5,593.15,11.42,WAGE_SUBSIDY,894,38.72,37.67,82.74,lfsa_ugad,2025-03-25
2020-03,RO,BG36,35-44,F,SHORT_TIME_WORK,2109,705,402,41.92,71.53,283.71,6.9,PUBLIC_WORKS,872,43.65,41.75,50.21,lfsq_urgaed,2024-12-05
2020-04,AT,LU61,45-54,M,YOUTH_GUARANTEE,2159,739,406,14.69,77.78,1157.74,0.16,TRAINING,807,54.03,57.84,81.57,lfsq_urgaed,2026-02-20
2020-05,CZ,RO77,55-64,T,SELF_EMP_SUPPORT,1992,693,460,52.45,61.44,1070.49,3.69,APPRENTICESHIP,896,48.75,17.33,21.8,une_rt_m,2024-01-25
2020-06,DE,SK965,65+,F,MIXED,2214,708,548,13.12,34.25,1403.95,4.08,ENTREPRENEUR_SUPPORT,882,70.6,56.21,51.05,lfsi_long_q,2025-10-05
2020-07,LV,HU18,15-24,M,UI_CONTRIBUTORY,1951,631,329,4.0,32.54,1729.36,3.98,JOB_SEARCH_ASSIST,816,73.23,47.95,93.99,lfsa_ugad,2024-10-13
2020-08,PL,FR422,25-34,T,UI_ASSISTANCE,2041,722,418,40.4,57.96,1730.24,8.08,MOBILITY_GRANT,629,56.49,25.58,63.02,lfsq_urgaed,2024-05-02
2020-09,ES,LV710,35-44,F,SHORT_TIME_WORK,2196,751,491,52.88,53.74,491.28,0.04,WAGE_SUBSIDY,859,81.13,26.07,27.18,lfsq_urgaed,2024-04-27
2020-10,HR,EE758,45-54,M,YOUTH_GUARANTEE,2126,700,569,28.15,42.52,982.36,11.35,PUBLIC_WORKS,885,39.86,59.68,92.67,une_rt_m,2025-07-06
2020-11,FI,SE87,55-64,T,SELF_EMP_SUPPORT,2163,677,529,20.88,69.12,1338.65,7.56,TRAINING,624,79.0,54.6,62.24,lfsi_long_q,2025-09-06
2020-12,IE,LU691,65+,F,MIXED,2233,659,636,36.72,41.92,760.59,4.27,APPRENTICESHIP,663,77.0,49.06,35.38,lfsa_ugad,2024-02-24
2021-01,MT,EE19,15-24,M,UI_CONTRIBUTORY,2407,698,531,30.54,28.67,1356.2,4.96,ENTREPRENEUR_SUPPORT,686,79.17,41.69,93.43,lfsq_urgaed,2026-01-17
2021-02,SK,EE484,25-34,T,UI_ASSISTANCE,2035,694,460,24.82,74.34,1400.89,0.59,JOB_SEARCH_ASSIST,665,50.06,33.03,43.44,lfsq_urgaed,2024-04-17
2021-03,BE,EE94,35-44,F,SHORT_TIME_WORK,2444,699,579,35.52,74.8,633.37,4.38,MOBILITY_GRANT,657,58.96,59.46,30.39,une_rt_m,2024-08-08
2021-04,DK,MT53,45-54,M,YOUTH_GUARANTEE,2273,696,370,51.73,25.78,487.45,5.66,WAGE_SUBSIDY,716,73.14,50.53,58.27,lfsi_long_q,2025-11-05
2021-05,GR,DK563,55-64,T,SELF_EMP_SUPPORT,2267,646,380,44.7,36.35,1728.46,7.86,PUBLIC_WORKS,903,70.89,37.01,40.41,lfsa_ugad,2024-05-06
2021-06,LT,FR7,65+,F,MIXED,2129,642,537,48.01,61.27,1434.53,11.56,TRAINING,694,56.23,57.09,88.89,lfsq_urgaed,2024-02-21
2021-07,PT,RO96,15-24,M,UI_CONTRIBUTORY,2143,644,372,51.28,38.05,1807.47,2.38,APPRENTICESHIP,682,64.54,8.28,34.98,lfsq_urgaed,2025-05-20
2021-08,SE,SK54,25-34,T,UI_ASSISTANCE,2128,649,309,33.3,67.03,1015.52,4.76,ENTREPRENEUR_SUPPORT,838,47.33,44.02,96.26,une_rt_m,2024-11-10
2021-09,CY,FI192,35-44,F,SHORT_TIME_WORK,2206,704,447,25.62,62.96,1043.93,8.26,JOB_SEARCH_ASSIST,904,38.3,14.41,35.12,lfsi_long_q,2024-12-22
2021-10,FR,IE173,45-54,M,YOUTH_GUARANTEE,2061,739,577,44.33,36.56,1264.47,7.53,MOBILITY_GRANT,753,53.82,53.95,76.37,lfsa_ugad,2024-01-28
2021-11,IT,BE6,55-64,T,SELF_EMP_SUPPORT,2358,761,549,6.05,57.42,817.8,6.81,WAGE_SUBSIDY,644,93.43,56.23,52.27,lfsq_urgaed,2025-09-29
2021-12,NL,DK234,65+,F,MIXED,2023,680,357,48.01,32.0,1168.99,5.53,PUBLIC_WORKS,736,63.22,14.05,55.62,lfsq_urgaed,2025-11-15
2022-01,SI,SI278,15-24,M,UI_CONTRIBUTORY,1987,740,714,55.14,64.58,833.12,7.13,TRAINING,697,74.47,27.31,94.47,une_rt_m,2024-04-02
2022-02,BG,PT153,25-34,T,UI_ASSISTANCE,2061,656,353,51.94,79.47,585.66,11.28,APPRENTICESHIP,835,37.03,32.18,84.94,lfsi_long_q,2024-08-15
2022-03,EE,CZ183,35-44,F,SHORT_TIME_WORK,2333,659,469,45.14,36.14,760.01,12.0,ENTREPRENEUR_SUPPORT,877,78.21,21.27,70.83,lfsa_ugad,2025-07-11
2022-04,HU,BE496,45-54,M,YOUTH_GUARANTEE,2094,671,641,44.91,52.59,725.86,10.17,JOB_SEARCH_ASSIST,803,58.85,48.29,16.15,lfsq_urgaed,2024-12-24
2022-05,LU,ES62,55-64,T,SELF_EMP_SUPPORT,2383,765,386,31.4,34.79,739.55,2.16,MOBILITY_GRANT,685,61.69,13.39,83.93,lfsq_urgaed,2025-10-30
2022-06,RO,LU23,65+,F,MIXED,2033,736,356,49.03,76.85,1501.79,2.3,WAGE_SUBSIDY,823,72.01,22.22,59.13,une_rt_m,2026-01-07
2022-07,AT,HR654,15-24,M,UI_CONTRIBUTORY,2461,729,710,10.45,73.15,472.53,10.22,PUBLIC_WORKS,792,86.67,60.49,31.04,lfsi_long_q,2025-10-07
2022-08,CZ,MT40,25-34,T,UI_ASSISTANCE,2151,698,546,8.89,55.8,319.22,10.13,TRAINING,763,41.29,19.97,40.3,lfsa_ugad,2026-01-13
2022-09,DE,SI7,35-44,F,SHORT_TIME_WORK,2362,729,727,24.1,29.09,1061.8,4.23,APPRENTICESHIP,680,52.45,61.88,61.75,lfsq_urgaed,2025-08-01
2022-10,LV,SI164,45-54,M,YOUTH_GUARANTEE,2132,701,392,23.9,37.57,1609.18,9.98,ENTREPRENEUR_SUPPORT,756,48.4,12.5,45.29,lfsq_urgaed,2024-04-09
2022-11,PL,RO63,55-64,T,SELF_EMP_SUPPORT,2140,764,625,31.06,40.26,1102.77,1.88,JOB_SEARCH_ASSIST,758,46.48,9.48,55.63,une_rt_m,2024-07-11
2022-12,ES,BE50,65+,F,MIXED,2232,661,348,37.61,35.28,1294.1,5.37,MOBILITY_GRANT,879,72.28,23.69,81.8,lfsi_long_q,2024-09-16
2023-01,HR,EE85,15-24,M,UI_CONTRIBUTORY,2040,707,631,52.85,36.59,349.16,3.13,WAGE_SUBSIDY,772,79.1,13.41,94.23,lfsa_ugad,2024-09-18
2023-02,FI,ES6,25-34,T,UI_ASSISTANCE,2105,759,592,56.22,51.65,730.43,11.76,PUBLIC_WORKS,839,55.68,39.46,94.62,lfsq_urgaed,2025-08-18
2023-03,IE,LU107,35-44,F,SHORT_TIME_WORK,2328,722,641,15.44,29.17,1793.85,4.01,TRAINING,849,75.33,47.86,95.15,lfsq_urgaed,2024-10-28
2023-04,MT,RO860,45-54,M,YOUTH_GUARANTEE,2481,745,640,7.17,37.51,474.72,11.27,APPRENTICESHIP,719,83.95,34.89,97.04,une_rt_m,2025-11-06
2023-05,SK,IT786,55-64,T,SELF_EMP_SUPPORT,2264,758,551,53.12,55.83,1299.85,3.54,ENTREPRENEUR_SUPPORT,777,80.71,48.44,32.5,lfsi_long_q,2024-08-22
2023-06,BE,FR18,65+,F,MIXED,2305,782,766,46.29,45.39,918.27,8.95,JOB_SEARCH_ASSIST,851,39.14,12.31,86.16,lfsa_ugad,2025-08-30
2023-07,DK,DK777,15-24,M,UI_CONTRIBUTORY,2501,754,743,45.9,36.09,1724.2,11.4,MOBILITY_GRANT,735,80.55,37.55,28.51,lfsq_urgaed,2024-02-09
2023-08,GR,DE875,25-34,T,UI_ASSISTANCE,2244,766,634,54.29,55.45,1131.38,0.64,WAGE_SUBSIDY,803,61.16,30.88,82.63,lfsq_urgaed,2025-05-29
2023-09,LT,IT70,35-44,F,SHORT_TIME_WORK,2361,763,387,52.54,35.25,885.34,7.08,PUBLIC_WORKS,867,87.51,27.18,92.71,une_rt_m,2024-11-04
2023-10,PT,IT250,45-54,M,YOUTH_GUARANTEE,2080,731,512,55.85,68.4,457.32,4.91,TRAINING,701,84.83,17.53,74.59,lfsi_long_q,2025-07-17
