ph_beh_reference_year,ph_beh_country_iso2,ph_beh_region_nuts_code,ph_beh_age_group,ph_beh_sex,ph_beh_smoking_rate_pct,ph_beh_alcohol_consumption_litres_per_capita,ph_beh_binge_drinking_rate_pct,ph_beh_physical_activity_rate_pct,ph_beh_sedentary_time_hours_day,ph_beh_healthy_diet_score,ph_beh_fruit_veg_daily_pct,ph_beh_ultra_processed_food_share_pct,ph_beh_sleep_quality_score,ph_beh_obesity_rate_pct,ph_beh_screen_time_hours_day,ph_beh_chronic_conditions_count_mean,ph_beh_ehis_table_code,ph_beh_survey_weight,ph_beh_data_extract_date
2021,NL,EE943,65_74,M,9.11,12.95,31.23,23.6,4.6,43.52,59.36,19.23,8.73,19.15,5.32,1.775,HLTH_EHIS_SMOK,2.0553,2024-11-14
2022,SE,FR26,35_44,X,28.77,12.43,7.93,34.16,10.19,41.61,47.3,58.77,5.73,19.65,6.66,0.401,HLTH_EHIS_DIET,1.0949,2024-02-14
2023,DK,PT62,75_PLUS,F,23.89,2.47,24.85,33.46,5.32,34.23,55.15,43.55,4.86,19.61,2.91,0.491,HLTH_EHIS_MH,2.9745,2024-09-13
2024,IE,IT42,45_54,M,20.51,6.11,16.0,54.06,7.54,42.18,42.2,43.59,7.39,30.58,5.47,0.44,HLTH_EHIS_ALCO,2.5199,2025-04-27
2025,PL,CY564,15_24,X,10.98,5.87,4.14,34.78,10.68,64.82,27.69,34.67,6.32,18.99,4.72,1.907,HLTH_EHIS_PA,0.3027,2025-11-13
2006,AT,PL9,55_64,F,16.48,9.36,13.1,40.66,10.04,56.09,28.16,18.78,6.71,10.83,3.6,2.316,HLTH_EHIS_SMOK,2.677,2025-01-12
2007,EE,RO78,25_34,M,12.93,10.02,29.6,40.07,5.41,48.89,22.07,12.12,6.7,16.77,10.38,0.19,HLTH_EHIS_DIET,3.4956,2024-01-30
2008,IT,CZ713,65_74,X,16.4,12.76,7.1,41.32,5.69,80.58,72.27,25.34,8.25,15.24,5.63,1.123,HLTH_EHIS_MH,1.3359,2026-01-03
2009,PT,FR535,35_44,F,11.96,4.12,12.58,56.93,6.62,83.35,45.44,43.35,6.33,31.62,4.03,0.644,HLTH_EHIS_ALCO,4.4131,2024-01-10
2010,BE,EE89,75_PLUS,M,27.24,10.05,27.95,39.53,7.51,68.51,53.34,18.61,6.82,28.46,3.48,0.509,HLTH_EHIS_PA,3.5046,2025-12-04
2011,FI,AT65,45_54,X,14.25,7.18,17.92,38.22,7.94,35.1,64.31,23.75,7.79,21.6,4.33,1.053,HLTH_EHIS_SMOK,2.8929,2025-05-20
2012,LV,CY29,15_24,F,10.94,2.04,23.64,74.94,9.53,34.3,24.13,22.37,6.28,21.24,8.79,1.83,HLTH_EHIS_DIET,3.4858,2025-12-08
2013,RO,ES713,55_64,M,9.26,10.81,39.81,26.98,5.0,51.81,26.76,25.28,8.74,30.4,5.0,0.434,HLTH_EHIS_MH,1.9388,2025-09-27
2014,BG,FI75,25_34,X,12.42,4.37,25.23,66.26,7.9,62.55,43.82,43.2,5.87,29.59,4.69,1.895,HLTH_EHIS_ALCO,4.6229,2025-02-05
2015,FR,CY27,65_74,F,15.08,3.82,7.66,48.62,5.11,69.53,75.29,28.54,8.5,30.17,5.09,0.75,HLTH_EHIS_PA,2.8393,2025-10-03
2016,LT,LT72,35_44,M,31.1,10.4,9.62,51.96,4.45,73.4,34.71,14.07,5.97,22.34,7.95,0.229,HLTH_EHIS_SMOK,0.5031,2024-07-22
2017,SK,DK23,75_PLUS,X,24.21,3.46,14.87,70.14,11.45,76.06,56.44,26.35,5.54,23.57,5.53,2.228,HLTH_EHIS_DIET,2.6863,2024-05-11
2018,HR,EE980,45_54,F,27.1,8.93,10.78,27.32,8.75,76.89,44.98,23.22,5.6,18.34,8.74,0.785,HLTH_EHIS_MH,3.9217,2024-08-03
2019,DE,HR4,15_24,M,29.46,12.36,14.18,80.0,9.76,54.64,26.28,37.89,4.14,26.6,6.91,1.451,HLTH_EHIS_ALCO,4.6931,2025-02-04
2020,LU,LV298,55_64,X,32.52,10.76,22.81,71.68,7.4,52.76,46.77,20.19,7.79,9.96,6.04,2.123,HLTH_EHIS_PA,0.7937,2025-08-25
2021,SI,ES88,25_34,F,17.38,11.94,18.12,71.49,6.21,69.01,64.94,32.06,8.45,24.02,5.43,2.226,HLTH_EHIS_SMOK,2.0979,2024-04-07
2022,CY,BG66,65_74,M,12.04,9.96,29.38,33.75,11.29,35.88,21.56,49.49,6.98,12.46,4.25,0.374,HLTH_EHIS_DIET,0.5729,2024-04-10
2023,GR,AT91,35_44,X,27.34,12.46,23.44,52.94,6.72,40.4,63.08,14.42,8.51,26.41,3.86,1.27,HLTH_EHIS_MH,2.7462,2024-12-15
2024,MT,CZ8,75_PLUS,F,18.13,10.7,13.99,52.29,6.17,52.8,52.06,43.25,8.89,25.88,6.52,2.49,HLTH_EHIS_ALCO,2.6548,2025-11-08
2025,ES,PL575,45_54,M,30.03,5.01,34.14,43.04,12.5,68.03,40.43,15.86,7.53,24.57,4.77,2.058,HLTH_EHIS_PA,4.3286,2025-09-25
2006,CZ,CY365,15_24,X,22.06,2.67,28.05,38.45,8.51,36.12,49.99,21.13,7.34,28.32,5.09,0.668,HLTH_EHIS_SMOK,2.6942,2025-12-11
2007,HU,FR998,55_64,F,29.53,4.38,27.7,64.12,4.97,54.52,29.69,33.13,5.34,12.81,7.31,0.651,HLTH_EHIS_DIET,4.6427,2024-06-18
2008,NL,BG205,25_34,M,28.2,7.32,17.16,40.33,7.59,36.98,39.44,31.58,5.8,24.35,8.61,0.392,HLTH_EHIS_MH,0.7336,2025-10-13
2009,SE,DE40,65_74,X,18.9,6.85,28.26,33.25,11.02,49.8,58.29,21.02,6.15,31.87,2.76,2.212,HLTH_EHIS_ALCO,1.4057,2025-07-25
2010,DK,DK542,35_44,F,17.55,4.65,14.31,50.44,6.45,49.85,33.93,60.37,8.55,17.33,6.1,1.58,HLTH_EHIS_PA,0.9857,2024-10-12
2011,IE,LT6,75_PLUS,M,14.84,14.4,15.4,69.23,6.62,54.98,46.01,35.32,7.33,36.0,6.2,2.092,HLTH_EHIS_SMOK,0.6025,2024-04-28
2012,PL,IT401,45_54,X,28.8,9.66,17.85,31.11,5.71,67.35,40.49,29.58,8.18,21.07,7.92,0.501,HLTH_EHIS_DIET,0.7876,2024-05-05
2013,AT,EE318,15_24,F,8.62,2.22,20.04,71.75,4.22,67.5,63.11,20.6,6.05,18.66,10.45,1.918,HLTH_EHIS_MH,0.6844,2024-02-07
2014,EE,GR36,55_64,M,24.59,6.6,27.61,41.77,12.25,64.56,49.29,32.94,5.36,13.44,6.36,2.339,HLTH_EHIS_ALCO,3.6587,2025-04-30
2015,IT,ES966,25_34,X,11.3,9.57,8.37,80.37,10.43,64.94,39.23,39.78,5.14,19.93,10.24,0.94,HLTH_EHIS_PA,2.867,2024-05-14
2016,PT,AT879,65_74,F,13.33,4.91,8.51,31.67,9.62,52.07,20.42,31.93,7.27,18.52,6.93,2.618,HLTH_EHIS_SMOK,3.0958,2025-05-28
2017,BE,SK9,35_44,M,19.15,9.49,36.01,67.96,5.56,77.3,70.31,17.5,7.07,20.07,8.44,1.755,HLTH_EHIS_DIET,0.8878,2026-02-04
2018,FI,CZ60,75_PLUS,X,18.95,7.32,15.2,68.72,6.63,37.24,37.86,27.83,6.0,23.79,6.87,2.809,HLTH_EHIS_MH,1.5917,2024-02-10
2019,LV,RO207,45_54,F,10.95,9.22,31.77,71.26,8.13,35.88,26.68,52.27,7.51,13.8,3.5,1.829,HLTH_EHIS_ALCO,0.6959,2024-07-09
2020,RO,LT84,15_24,M,23.49,4.05,15.79,35.86,4.23,56.97,37.48,26.57,8.69,18.29,10.51,0.18,HLTH_EHIS_PA,3.2753,2024-08-01
2021,BG,CZ1,55_64,X,14.88,11.72,23.16,62.06,6.65,59.42,55.77,51.51,8.91,22.7,4.02,1.037,HLTH_EHIS_SMOK,1.0685,2025-04-27
2022,FR,LT83,25_34,F,14.93,7.99,26.54,33.87,9.51,62.66,26.49,23.58,6.55,17.12,4.31,0.79,HLTH_EHIS_DIET,3.2455,2025-10-06
2023,LT,BG6,65_74,M,15.17,11.32,13.28,68.98,9.12,34.32,64.24,13.57,4.48,11.94,8.55,2.794,HLTH_EHIS_MH,2.2388,2024-02-27
2024,SK,HR22,35_44,X,21.94,9.78,6.61,49.72,7.05,74.11,26.66,41.61,5.12,27.88,8.2,0.183,HLTH_EHIS_ALCO,2.7773,2025-05-31
2025,HR,DK138,75_PLUS,F,29.03,7.82,22.61,53.03,5.96,57.04,43.0,35.77,5.28,21.2,8.06,1.885,HLTH_EHIS_PA,3.0486,2025-08-18
2006,DE,IT7,45_54,M,17.5,10.68,37.9,36.26,7.02,37.09,65.77,12.44,4.92,19.31,3.13,0.573,HLTH_EHIS_SMOK,0.8153,2025-02-05
2007,LU,LT4,15_24,X,25.86,5.33,4.68,48.32,8.62,75.3,72.64,45.38,4.21,17.53,4.23,1.386,HLTH_EHIS_DIET,2.7847,2025-10-25
2008,SI,RO77,55_64,F,8.72,10.72,9.62,43.5,7.11,65.64,68.34,36.62,5.17,31.87,4.61,0.609,HLTH_EHIS_MH,2.8826,2025-02-06
2009,CY,CZ64,25_34,M,12.58,9.97,14.19,68.87,5.57,62.22,41.97,18.68,5.15,19.33,8.39,2.07,HLTH_EHIS_ALCO,0.4415,2024-07-23
2010,GR,BE167,65_74,X,16.66,5.09,4.34,23.25,8.48,58.92,53.75,25.54,4.49,24.93,2.71,0.655,HLTH_EHIS_PA,2.7885,2024-04-19
2011,MT,RO8,35_44,F,21.11,2.4,13.13,35.83,7.64,74.12,61.43,48.74,6.76,14.59,2.16,0.581,HLTH_EHIS_SMOK,4.053,2025-01-20
2012,ES,HU99,75_PLUS,M,18.44,10.11,32.94,71.33,12.16,78.55,52.68,18.14,6.51,27.51,7.67,1.37,HLTH_EHIS_DIET,2.6529,2025-02-10
2013,CZ,SE45,45_54,X,9.76,6.2,23.89,57.73,6.11,49.52,46.35,42.51,6.34,24.67,4.07,1.621,HLTH_EHIS_MH,2.5617,2025-01-11
2014,HU,DE4,15_24,F,13.98,7.91,25.52,53.29,10.75,70.37,37.09,43.76,7.63,20.65,5.1,0.871,HLTH_EHIS_ALCO,0.8533,2024-02-18
2015,NL,IT808,55_64,M,16.12,10.15,13.02,39.59,10.05,42.81,36.39,18.88,6.28,13.25,4.99,1.943,HLTH_EHIS_PA,1.076,2024-11-21
2016,SE,IE107,25_34,X,12.39,7.13,17.13,80.92,9.92,68.66,41.72,47.33,7.54,19.45,8.39,1.325,HLTH_EHIS_SMOK,1.2215,2024-06-06
2017,DK,DK29,65_74,F,21.38,4.49,24.89,59.26,9.78,38.85,24.45,60.02,5.46,32.31,7.54,2.538,HLTH_EHIS_DIET,4.4293,2026-02-20
2018,IE,SK3,35_44,M,21.25,3.17,21.76,67.61,6.33,63.93,31.96,41.11,5.39,21.37,4.56,1.838,HLTH_EHIS_MH,4.6949,2025-04-09
2019,PL,IE5,75_PLUS,X,15.03,4.24,28.0,47.61,5.53,53.1,39.43,32.37,7.56,9.74,7.01,2.196,HLTH_EHIS_ALCO,0.6379,2024-09-19
2020,AT,DE88,45_54,F,20.33,13.37,31.91,54.3,11.53,37.97,27.92,36.47,4.31,25.68,7.15,1.411,HLTH_EHIS_PA,4.441,2025-04-28
2021,EE,EE32,15_24,M,25.59,6.81,29.55,61.64,4.77,50.28,39.09,23.08,8.38,19.63,8.26,1.509,HLTH_EHIS_SMOK,1.0316,2025-03-03
2022,IT,CY31,55_64,X,18.82,11.41,6.13,56.98,5.27,74.2,48.07,11.72,8.4,18.59,4.03,2.053,HLTH_EHIS_DIET,0.4913,2025-03-23
2023,PT,PT9,25_34,F,7.75,9.73,7.44,30.71,8.81,81.7,40.99,17.98,4.54,20.55,6.04,0.972,HLTH_EHIS_MH,3.9988,2026-01-20
2024,BE,SE4,65_74,M,33.43,1.88,13.43,58.81,8.27,35.17,22.93,46.19,4.33,27.73,7.12,1.619,HLTH_EHIS_ALCO,3.0371,2024-01-08
2025,FI,DK13,35_44,X,19.31,7.8,17.44,44.26,4.1,64.05,73.8,28.81,8.01,21.77,6.7,2.349,HLTH_EHIS_PA,4.2738,2025-03-07
2006,LV,LT174,75_PLUS,F,17.36,12.14,25.75,36.77,7.48,48.25,27.5,41.57,4.75,22.4,2.38,1.172,HLTH_EHIS_SMOK,4.3345,2024-08-19
2007,RO,CY36,45_54,M,14.25,15.32,35.6,67.36,10.63,43.67,50.97,21.95,4.65,27.61,4.34,2.366,HLTH_EHIS_DIET,1.4911,2024-11-19
2008,BG,IE457,15_24,X,15.03,1.94,8.4,59.5,6.9,64.7,52.89,11.9,8.23,10.97,4.12,0.767,HLTH_EHIS_MH,3.7637,2025-01-27
2009,FR,AT653,55_64,F,8.93,11.96,22.74,32.33,12.41,59.03,54.91,30.13,4.56,29.5,2.12,1.628,HLTH_EHIS_ALCO,0.8739,2026-02-08
2010,LT,FI91,25_34,M,32.2,6.57,30.67,52.93,6.15,74.66,24.62,19.52,8.32,18.54,5.99,1.777,HLTH_EHIS_PA,1.274,2025-01-05
2011,SK,LU815,65_74,X,28.77,11.77,27.03,41.4,5.7,48.11,23.97,12.86,8.6,9.88,4.22,0.632,HLTH_EHIS_SMOK,4.7573,2024-03-29
2012,HR,FI152,35_44,F,17.14,1.36,25.32,51.56,5.42,44.85,50.12,46.48,6.13,20.35,3.12,0.854,HLTH_EHIS_DIET,0.3129,2026-01-17
2013,DE,BG68,75_PLUS,M,18.89,12.05,10.06,27.09,12.61,48.0,51.45,29.13,4.19,21.84,8.03,3.028,HLTH_EHIS_MH,2.3859,2024-03-16
2014,LU,BG14,45_54,X,12.3,8.73,18.36,39.25,9.46,53.06,24.38,44.87,6.37,25.32,3.33,1.244,HLTH_EHIS_ALCO,1.7676,2024-08-29
2015,SI,RO5,15_24,F,8.78,4.65,12.5,62.61,4.32,39.7,43.95,31.66,5.51,21.77,10.21,0.684,HLTH_EHIS_PA,3.3085,2026-01-15
2016,CY,HR9,55_64,M,29.51,4.56,10.46,66.05,7.98,37.2,47.48,32.94,5.1,10.63,5.7,1.606,HLTH_EHIS_SMOK,0.7368,2024-01-05
2017,GR,RO701,25_34,X,21.61,11.94,19.21,49.15,4.77,81.72,62.39,45.16,6.62,16.64,5.85,0.277,HLTH_EHIS_DIET,3.6641,2024-02-06
2018,MT,ES781,65_74,F,31.89,6.53,12.07,44.47,11.81,74.98,43.37,49.47,5.85,35.52,7.53,1.244,HLTH_EHIS_MH,3.3312,2024-04-14
2019,ES,PT49,35_44,M,15.6,6.55,36.5,29.25,5.36,42.89,47.09,52.5,6.06,14.46,1.96,1.834,HLTH_EHIS_ALCO,4.0946,2025-08-14
2020,CZ,GR429,75_PLUS,X,26.78,6.83,11.35,59.24,6.75,36.62,42.11,52.4,7.77,13.06,6.97,1.817,HLTH_EHIS_PA,1.5098,2025-07-25
2021,HU,LV82,45_54,F,10.62,13.4,22.22,57.11,8.74,41.99,38.98,37.57,5.47,21.38,5.64,1.012,HLTH_EHIS_SMOK,3.2528,2025-06-02
2022,NL,PT99,15_24,M,23.09,3.15,24.38,71.49,3.89,59.33,31.11,46.62,5.14,13.19,7.94,1.607,HLTH_EHIS_DIET,3.2397,2024-11-25
2023,SE,NL72,55_64,X,11.56,3.59,21.57,50.16,4.93,72.05,66.32,36.2,5.69,25.16,4.49,1.128,HLTH_EHIS_MH,0.8874,2024-10-27
2024,DK,IE9,25_34,F,10.95,6.45,17.63,60.45,4.82,72.61,25.74,33.07,6.57,11.39,6.92,1.405,HLTH_EHIS_ALCO,2.7724,2025-11-24
2025,IE,LU675,65_74,M,22.15,3.87,38.52,66.47,7.19,40.86,57.61,35.5,5.91,22.39,8.2,2.456,HLTH_EHIS_PA,4.555,2025-11-27
2006,PL,SE3,35_44,X,13.18,12.11,17.08,51.16,8.35,39.94,59.6,20.63,5.91,20.69,4.26,0.501,HLTH_EHIS_SMOK,0.7453,2025-03-07
2007,AT,LV19,75_PLUS,F,19.59,2.92,13.59,24.26,7.92,68.71,27.18,46.16,5.85,29.83,7.81,1.316,HLTH_EHIS_DIET,4.3392,2024-08-25
2008,EE,SE97,45_54,M,28.19,5.1,21.42,30.12,6.64,40.29,27.66,39.68,4.99,11.91,6.54,0.747,HLTH_EHIS_MH,3.3337,2024-02-23
2009,IT,DK68,15_24,X,11.74,6.36,16.42,51.47,5.45,71.15,40.47,26.55,6.98,19.51,4.53,2.282,HLTH_EHIS_ALCO,2.0933,2026-01-25
2010,PT,LU83,55_64,F,13.9,9.04,29.79,37.06,6.06,65.71,54.56,23.24,5.19,17.45,2.07,1.321,HLTH_EHIS_PA,2.2433,2025-02-01
2011,BE,HU580,25_34,M,23.25,10.95,24.91,61.08,9.82,64.17,42.56,16.84,5.3,28.28,10.42,1.289,HLTH_EHIS_SMOK,3.8088,2025-02-23
2012,FI,SK723,65_74,X,9.24,1.87,29.89,27.42,9.72,63.74,65.6,32.37,4.64,18.24,2.14,2.664,HLTH_EHIS_DIET,2.0189,2024-06-15
2013,LV,LU41,35_44,F,7.62,8.59,22.41,51.13,5.09,51.84,55.17,31.0,6.37,16.61,4.14,0.379,HLTH_EHIS_MH,1.1796,2026-02-06
2014,RO,HU43,75_PLUS,M,18.55,14.49,28.38,31.23,8.01,47.69,63.87,50.24,7.25,22.2,7.87,0.689,HLTH_EHIS_ALCO,4.4164,2024-03-11
2015,BG,HR94,45_54,X,29.61,12.85,5.22,60.74,12.12,48.76,47.62,16.43,4.69,22.56,5.9,0.682,HLTH_EHIS_PA,3.5407,2024-10-23
2016,FR,DK5,15_24,F,11.28,4.91,11.75,65.54,7.34,38.72,23.91,24.9,7.21,27.96,6.83,0.378,HLTH_EHIS_SMOK,3.0641,2024-11-12
2017,LT,IT2,55_64,M,33.47,4.69,38.5,60.53,7.67,42.76,40.39,40.59,7.74,31.78,5.38,1.98,HLTH_EHIS_DIET,0.4057,2025-06-19
2018,SK,ES27,25_34,X,8.97,10.82,23.9,57.64,6.28,70.84,73.45,34.58,6.23,19.7,10.36,1.112,HLTH_EHIS_MH,2.4882,2025-04-12
2019,HR,CY2,65_74,F,20.06,5.93,29.17,71.37,7.66,39.29,45.67,44.8,6.56,29.98,2.75,2.518,HLTH_EHIS_ALCO,2.0764,2025-07-27
2020,DE,MT524,35_44,M,29.28,10.29,5.66,25.52,6.83,72.76,30.9,42.02,7.67,30.18,3.03,1.692,HLTH_EHIS_PA,2.4759,2026-02-02
2021,LU,LV13,75_PLUS,X,14.32,9.12,6.29,40.99,6.93,42.38,51.07,35.8,6.65,17.55,7.22,1.343,HLTH_EHIS_SMOK,2.177,2025-09-05
2022,SI,BG77,45_54,F,16.29,6.77,28.44,28.03,6.3,39.05,34.18,48.11,7.71,17.8,3.77,0.423,HLTH_EHIS_DIET,4.4182,2025-09-18
2023,CY,SE205,15_24,M,27.1,3.1,32.13,77.42,4.48,57.61,23.98,32.47,6.7,20.76,2.33,0.193,HLTH_EHIS_MH,3.3945,2025-06-18
2024,GR,LU965,55_64,X,28.65,12.09,29.39,59.75,7.64,39.46,62.72,47.01,6.43,33.1,5.95,1.06,HLTH_EHIS_ALCO,2.7121,2024-08-05
2025,MT,ES39,25_34,F,22.72,7.16,9.34,46.11,8.34,48.91,55.16,13.64,5.98,20.98,8.83,1.152,HLTH_EHIS_PA,0.535,2025-07-19
2006,ES,ES421,65_74,M,28.19,9.21,18.68,40.98,4.71,78.11,63.97,26.05,8.63,22.09,6.41,0.59,HLTH_EHIS_SMOK,1.8545,2025-08-27
2007,CZ,AT559,35_44,X,24.89,5.15,21.05,31.31,3.92,35.37,34.24,36.67,6.86,25.63,8.66,1.596,HLTH_EHIS_DIET,3.0489,2024-09-03
2008,HU,EE519,75_PLUS,F,14.12,10.58,8.55,59.63,12.2,55.4,32.78,27.47,7.33,24.71,7.52,1.317,HLTH_EHIS_MH,0.8559,2026-01-16
2009,NL,CZ4,45_54,M,27.04,14.02,5.81,30.18,12.09,41.95,64.42,53.07,4.5,13.62,3.37,0.417,HLTH_EHIS_ALCO,0.2491,2025-02-05
2010,SE,NL67,15_24,X,23.61,5.48,14.4,40.93,10.33,36.46,42.24,54.33,5.53,17.3,5.26,1.692,HLTH_EHIS_PA,0.617,2024-01-08
2011,DK,DE97,55_64,F,19.48,13.64,14.95,27.16,11.21,60.71,77.3,32.14,5.26,31.24,2.77,2.254,HLTH_EHIS_SMOK,3.1868,2024-09-15
2012,IE,HU34,25_34,M,29.59,3.86,20.7,27.48,7.08,75.01,76.3,21.66,6.27,21.68,5.62,2.134,HLTH_EHIS_DIET,2.8935,2025-01-16
2013,PL,DK113,65_74,X,25.67,9.37,13.93,60.27,9.28,70.91,68.68,29.17,6.82,28.7,7.41,2.358,HLTH_EHIS_MH,1.4523,2025-07-03
2014,AT,LT9,35_44,F,14.66,7.33,19.5,60.89,10.01,43.63,34.15,37.43,4.23,9.76,7.66,1.199,HLTH_EHIS_ALCO,3.2824,2025-02-12
2015,EE,GR1,75_PLUS,M,27.22,14.72,22.98,34.02,5.67,72.4,26.36,48.3,8.06,27.57,5.8,3.114,HLTH_EHIS_PA,1.7282,2024-05-02
2016,IT,HU344,45_54,X,18.89,6.94,24.94,69.32,4.5,47.18,32.15,17.88,6.32,24.56,3.18,1.936,HLTH_EHIS_SMOK,2.6917,2024-07-21
2017,PT,LT3,15_24,F,26.37,8.28,28.58,78.58,6.52,45.41,50.61,39.78,6.24,20.92,8.39,2.372,HLTH_EHIS_DIET,0.3949,2025-08-29
2018,BE,SK20,55_64,M,12.02,8.24,20.2,68.77,8.36,33.9,66.18,24.77,6.13,25.35,4.81,1.361,HLTH_EHIS_MH,1.0077,2024-10-10
2019,FI,FI92,25_34,X,12.1,4.26,21.09,42.82,4.91,65.08,59.53,45.56,7.94,12.07,5.47,1.17,HLTH_EHIS_ALCO,1.7328,2026-01-20
2020,LV,PL82,65_74,F,10.88,4.59,5.21,46.65,11.05,42.86,50.58,16.8,5.98,9.33,2.79,3.005,HLTH_EHIS_PA,1.7205,2026-01-20
2021,RO,IT558,35_44,M,19.93,14.59,26.83,57.78,10.79,67.34,59.63,50.19,4.21,10.34,7.77,1.209,HLTH_EHIS_SMOK,3.7715,2024-05-07
2022,BG,PL43,75_PLUS,X,25.48,1.38,18.59,26.9,5.65,35.76,46.83,41.62,5.33,14.79,4.93,1.701,HLTH_EHIS_DIET,2.2409,2025-05-21
2023,FR,FI90,45_54,F,30.59,5.13,31.44,71.07,9.11,54.16,38.56,51.53,4.37,31.32,4.55,1.357,HLTH_EHIS_MH,3.5499,2024-11-14
2024,LT,HU50,15_24,M,20.15,3.61,28.33,33.85,8.19,64.51,58.92,39.5,5.09,27.56,8.05,1.388,HLTH_EHIS_ALCO,1.9048,2025-03-26
2025,SK,DE993,55_64,X,13.11,13.81,6.95,34.7,8.95,49.73,61.98,23.31,7.19,31.21,6.18,1.407,HLTH_EHIS_PA,4.3486,2025-04-20
2006,HR,PL15,25_34,F,9.72,1.19,17.29,72.18,9.85,45.75,31.42,11.8,7.63,22.21,7.19,1.34,HLTH_EHIS_SMOK,4.5976,2026-02-06
2007,DE,FR89,65_74,M,34.54,13.19,25.5,58.57,5.48,70.57,65.75,51.01,6.92,24.03,4.36,1.093,HLTH_EHIS_DIET,0.2177,2026-02-03
2008,LU,CZ54,35_44,X,10.89,2.42,25.63,51.5,3.93,46.41,49.52,43.96,7.04,30.36,5.96,0.419,HLTH_EHIS_MH,4.4007,2025-07-24
2009,SI,LV2,75_PLUS,F,13.98,2.64,3.82,48.39,11.41,55.46,49.1,32.77,7.42,9.58,8.25,0.811,HLTH_EHIS_ALCO,2.1782,2025-02-17
2010,CY,PL6,45_54,M,16.76,8.1,19.96,50.38,9.04,56.37,41.5,51.22,5.97,25.32,2.11,1.556,HLTH_EHIS_PA,0.6189,2024-04-05
2011,GR,SE19,15_24,X,13.35,2.05,5.68,49.81,6.91,48.17,41.76,43.11,4.83,28.88,8.33,1.566,HLTH_EHIS_SMOK,4.0123,2025-03-31
2012,MT,CY38,55_64,F,27.37,2.47,17.14,29.94,9.45,53.57,65.51,15.17,6.14,10.0,6.63,0.19,HLTH_EHIS_DIET,2.199,2024-03-23
2013,ES,HU677,25_34,M,23.78,10.8,13.94,39.29,7.61,53.38,50.78,45.56,4.84,14.23,7.32,2.276,HLTH_EHIS_MH,3.6253,2024-05-22
2014,CZ,BE3,65_74,X,31.0,12.91,18.7,42.21,4.72,54.84,49.93,39.79,7.18,26.8,8.47,3.19,HLTH_EHIS_ALCO,2.0713,2025-04-02
2015,HU,GR901,35_44,F,18.8,7.03,20.95,47.74,7.9,57.42,41.26,26.05,7.57,11.59,2.15,0.888,HLTH_EHIS_PA,2.86,2024-05-20
2016,NL,LU5,75_PLUS,M,21.03,4.07,9.53,42.01,8.12,75.69,64.68,13.58,5.96,9.93,2.17,0.873,HLTH_EHIS_SMOK,2.4381,2024-10-22
2017,SE,SE2,45_54,X,9.57,11.04,4.23,48.64,7.39,47.2,30.36,38.52,4.33,26.58,2.63,0.552,HLTH_EHIS_DIET,0.5474,2024-11-27
2018,DK,LT183,15_24,F,9.12,12.02,21.38,74.42,9.4,68.61,40.92,48.6,4.58,13.59,4.19,1.406,HLTH_EHIS_MH,3.8035,2026-01-22
2019,IE,LT760,55_64,M,22.28,16.35,38.55,28.72,5.95,56.98,55.97,57.72,6.85,23.53,8.01,0.377,HLTH_EHIS_ALCO,4.5762,2024-01-28
2020,PL,CZ46,25_34,X,29.47,4.88,7.85,55.5,8.07,58.13,56.54,13.16,7.69,11.98,5.81,1.213,HLTH_EHIS_PA,1.4397,2024-07-10
2021,AT,DK898,65_74,F,28.03,6.61,30.42,54.25,9.27,37.07,63.71,26.11,6.13,30.88,5.44,1.064,HLTH_EHIS_SMOK,4.2445,2024-07-21
2022,EE,BG387,35_44,M,19.59,11.23,8.92,39.44,4.87,67.9,67.29,19.96,8.22,14.25,7.9,0.614,HLTH_EHIS_DIET,1.8336,2025-05-11
2023,IT,DE9,75_PLUS,X,13.64,4.62,15.74,49.95,10.55,78.47,75.22,45.7,4.36,28.36,6.63,2.488,HLTH_EHIS_MH,1.5644,2024-05-29
2024,PT,AT87,45_54,F,19.65,2.34,16.74,38.69,9.34,76.99,36.5,18.35,7.1,16.16,8.48,0.241,HLTH_EHIS_ALCO,1.8989,2024-11-10
2025,BE,DK35,15_24,M,17.31,6.05,10.74,62.62,5.92,68.79,44.05,30.59,5.5,12.65,5.65,0.832,HLTH_EHIS_PA,3.712,2024-12-27
2006,FI,SE357,55_64,X,30.04,1.52,21.31,33.52,5.57,35.98,62.24,53.91,5.17,19.8,3.86,0.371,HLTH_EHIS_SMOK,1.4911,2024-04-08
2007,LV,BE28,25_34,F,23.24,6.7,21.34,68.83,4.33,75.16,36.0,53.41,8.18,17.12,7.16,1.073,HLTH_EHIS_DIET,3.1442,2024-04-09
2008,RO,DE305,65_74,M,10.09,2.15,22.54,56.98,6.3,42.04,64.84,11.78,5.44,20.14,8.6,1.007,HLTH_EHIS_MH,2.4355,2025-09-08
2009,BG,GR6,35_44,X,9.19,8.13,17.64,67.35,4.55,50.52,38.82,50.95,7.81,15.17,2.07,1.687,HLTH_EHIS_ALCO,4.2676,2025-09-07
2010,FR,CZ146,75_PLUS,F,14.81,3.01,9.96,64.82,7.98,52.52,55.14,13.36,7.16,29.65,2.52,1.803,HLTH_EHIS_PA,3.6865,2026-02-21
2011,LT,ES388,45_54,M,24.84,12.04,20.08,26.65,10.39,40.83,44.28,52.81,5.72,31.21,3.66,0.842,HLTH_EHIS_SMOK,4.0716,2025-05-27
