gov_contract_contract_award_date,gov_contract_contracting_office_code,gov_contract_nic_code_contract,gov_contract_psc_code,gov_contract_vendor_duns_hash,gov_contract_contract_vehicle_type,gov_contract_competition_type,gov_contract_contract_value_inr,gov_contract_ceiling_value_inr,gov_contract_obligated_amount_inr,gov_contract_period_of_performance_start,gov_contract_period_of_performance_end,gov_contract_small_business_set_aside,gov_contract_ncoioeconomic_category,gov_contract_subcontracting_plan_flag,gov_contract_labor_standards_clause_flag,gov_contract_buy_american_clause_flag,gov_contract_performance_based_flag,gov_contract_termination_for_default_flag,gov_contract_past_performance_score
2025-08-09,GOVNR31J,GOVYLZZ2,GOVATIHB,GOV3e40c4a182d2,GOVXEEE6,GOVHH9KP,82557,401585292,56303216,val_eb89_00417,val_eb89_00417,GOVeb800417,GOVRWH7K,1,1,1,1,1,24.99
2025-08-15,GOV81WZY,GOVXX180,GOVLBPLF,GOV8426bb11483e,GOVEWS1Q,GOVSWXRN,51512,24547,326317234,val_eb89_00418,val_eb89_00418,GOVeb800418,GOVIPH01,0,0,1,1,1,60.81
2022-05-04,GOV1VV7L,GOVDJAPX,GOVCP91Q,GOV8c6b5e9198d4,GOVLM6PT,GOV9KWKC,50287027,657619,569338868,val_eb89_00419,val_eb89_00419,GOVeb800419,GOVJ5DQD,1,1,1,1,1,62.84
2026-02-18,GOVSIQKI,GOV6CURP,GOVUW4CU,GOV90eec789a294,GOV0ZK1S,GOV9F8X5,64840,524858,5471740,val_eb89_00420,val_eb89_00420,GOVeb800420,GOV6C4IV,1,0,0,0,1,9.81
2022-10-09,GOVYFBY1,GOV9ZZ69,GOV6Q1G7,GOV24e9c189ef02,GOVGAJCE,GOVMOAZ9,64026973,3180448,377839349,val_eb89_00421,val_eb89_00421,GOVeb800421,GOVTESIB,1,1,1,0,1,12.35
2018-11-20,GOV25CZW,GOVDA7RW,GOVZ7ICG,GOV2dca001cc8fc,GOVM0Y9A,GOVWTZFG,71961,2594181,38330,val_eb89_00422,val_eb89_00422,GOVeb800422,GOVXRVZA,1,1,0,0,0,34.97
2025-12-11,GOVZCNW4,GOV7DWGS,GOVV34MO,GOV317dff0729bd,GOVSMAWR,GOVU9OJN,2028482,692849267,2851691,val_eb89_00423,val_eb89_00423,GOVeb800423,GOVOTMXK,1,0,1,0,0,31.32
2024-04-25,GOVIPLGT,GOV5JCSN,GOV5GMQA,GOVd682542b343a,GOVIQE35,GOV66XR8,38458386,382738871,2896913,val_eb89_00424,val_eb89_00424,GOVeb800424,GOV3XGLT,1,0,1,0,1,2.63
2020-01-04,GOV1GJKV,GOV5NCRT,GOVJD7B3,GOV10709639d033,GOVZ21KF,GOVXSFHP,617338528,5622674,531845092,val_eb89_00425,val_eb89_00425,GOVeb800425,GOVM3JDX,1,1,1,1,1,3.18
2020-03-25,GOVENTUC,GOVAGTJC,GOVRUUYB,GOVa6f47d2e1ef8,GOVQOQQS,GOV3IOGV,7228666,4093693,62794389,val_eb89_00426,val_eb89_00426,GOVeb800426,GOV5VBEM,1,0,1,1,0,81.29
2024-12-10,GOVBS9MV,GOVHM6GE,GOVNN7DT,GOV4a99745fe64c,GOVUUO3B,GOV7GBO2,198439729,6882684,43224526,val_eb89_00427,val_eb89_00427,GOVeb800427,GOVXSTBY,0,1,1,1,0,46.36
2024-03-16,GOVJ3BK3,GOVVYRNL,GOVTUK3K,GOV7801e6e13934,GOV2NPR1,GOVTBPTP,51364,25016,6136642,val_eb89_00428,val_eb89_00428,GOVeb800428,GOV4HNDM,0,1,1,0,1,13.56
2019-01-16,GOV2064H,GOVMQE65,GOVF7XKY,GOV6d6fa43ababa,GOVM5XD7,GOV004XI,4597391,2066608,41675822,val_eb89_00429,val_eb89_00429,GOVeb800429,GOVOQSIG,0,0,0,1,0,16.39
2019-05-02,GOVWFSRF,GOVV7889,GOVGN48R,GOV4b9fb85f2b7f,GOVAN7I4,GOVNYC8X,5571427,841222244,56400685,val_eb89_00430,val_eb89_00430,GOVeb800430,GOV3HRYP,1,0,0,1,1,33.09
2024-04-23,GOVH2PXU,GOV7U7AX,GOV2ICYD,GOVb97efb310428,GOV6NB9V,GOV8YN14,74604,67072947,468823,val_eb89_00431,val_eb89_00431,GOVeb800431,GOVP3OSH,1,0,0,0,1,80.49
2019-11-06,GOV6JSCN,GOVDQOLD,GOVU2H6V,GOV5e86766b70dc,GOVMGY4R,GOVL0PP6,559928464,520423,538286,val_eb89_00432,val_eb89_00432,GOVeb800432,GOV0XNHT,1,0,0,1,0,76.11
2020-12-14,GOVWBB85,GOVSV80O,GOV8QLF6,GOVfca811176fc7,GOVB3TVD,GOVX09VT,7008165,311626,3456011,val_eb89_00433,val_eb89_00433,GOVeb800433,GOVAF5KR,0,0,1,1,0,26.03
2024-12-16,GOVGU1U5,GOVSV2EV,GOV8RU7F,GOV46431ce12b8e,GOV2SIO9,GOVDFM3T,716658,85936266,3431198,val_eb89_00434,val_eb89_00434,GOVeb800434,GOVK22JQ,1,1,0,1,1,59.06
2020-06-07,GOVBSYBH,GOV6NK9G,GOVXRCA7,GOV77c9f4951b8d,GOV8MLFK,GOV2GARM,161099,57078,55562843,val_eb89_00435,val_eb89_00435,GOVeb800435,GOVJ5Y9T,0,1,1,0,0,12.7
2020-08-29,GOVHUS63,GOV7W0E4,GOVTA5EE,GOV8f42faae77c6,GOVZSUUG,GOVQJKRA,6262193,535437897,60880841,val_eb89_00436,val_eb89_00436,GOVeb800436,GOVBBMLT,1,1,1,1,1,59.88
2020-05-29,GOVHA9WD,GOVF020L,GOVV4VKN,GOV160475b44436,GOVSKCHQ,GOVYFZRB,255966,48534,45371,val_eb89_00437,val_eb89_00437,GOVeb800437,GOVEIDIP,1,1,1,1,1,97.23
2025-09-30,GOV0OA49,GOV8DF5R,GOVNR3BS,GOVda4384372434,GOVI11P7,GOVN5Q8K,532106,400281768,403552,val_eb89_00438,val_eb89_00438,GOVeb800438,GOV94F2B,0,0,0,0,0,19.78
2020-07-25,GOVV0721,GOVYCHP3,GOVBU2B1,GOVf1244205dda7,GOVNKID5,GOV7HNO8,249144550,482239120,716295,val_eb89_00439,val_eb89_00439,GOVeb800439,GOV0VSFU,1,1,0,0,0,71.05
2021-10-31,GOV7597J,GOV4CK8D,GOVJ11FQ,GOV44dc6cbc93c5,GOVC2SYC,GOV76MKA,351457,648594138,5130783,val_eb89_00440,val_eb89_00440,GOVeb800440,GOVUVLY7,1,0,1,1,1,29.27
2022-10-18,GOVG4OA3,GOVYZW97,GOV0GDP7,GOVa86af8085bed,GOVZS5WR,GOVITJQT,490987257,47069580,350282,val_eb89_00441,val_eb89_00441,GOVeb800441,GOVOZ3ZE,1,0,1,0,0,86.31
2025-05-24,GOVV7KWK,GOVBCB8A,GOVJKZ00,GOVd309f387161e,GOVHQFOY,GOVD0TPU,82013636,699185,547106,val_eb89_00442,val_eb89_00442,GOVeb800442,GOVDVMMQ,1,0,1,1,1,84.43
2018-11-22,GOV2ELEO,GOVX6EV9,GOVCBOMH,GOV43e1bad65f08,GOV1XEY1,GOVOV13L,9078599,431471356,698523169,val_eb89_00443,val_eb89_00443,GOVeb800443,GOV1BR7B,0,0,1,1,0,18.63
2020-05-05,GOVE25X9,GOV5EZL1,GOVA2FFE,GOVa9a21c419364,GOV7E7Z9,GOVW1FTV,66116,74818243,747468,val_eb89_00444,val_eb89_00444,GOVeb800444,GOV4GBTT,0,1,1,0,1,52.07
2022-05-10,GOV2LCRT,GOVBR000,GOVG840N,GOV8e0c5b16f8c8,GOV718N9,GOV8L19U,381558,583755280,595091211,val_eb89_00445,val_eb89_00445,GOVeb800445,GOVXIMN1,1,0,0,0,1,30.16
2024-07-22,GOVNREPT,GOV4LWPB,GOVEI8JP,GOV7b03234da2a2,GOVPWHTV,GOVE4R03,42809,4273989,6143285,val_eb89_00446,val_eb89_00446,GOVeb800446,GOV5H3CD,0,1,1,1,1,98.44
2023-08-13,GOV8V9JM,GOVBZYU4,GOV05GJC,GOVfc1e68853962,GOVIJOLM,GOV8EECM,839015,222450607,4306703,val_eb89_00447,val_eb89_00447,GOVeb800447,GOVIA9L6,0,1,0,1,1,28.08
2021-04-02,GOVHS9RO,GOVYP5U1,GOVRFOC3,GOV80c3f3d0f099,GOVDKS56,GOVKI18K,4428823,734498,53880,val_eb89_00448,val_eb89_00448,GOVeb800448,GOV736UD,0,0,0,0,1,18.38
2021-01-15,GOVPCIQG,GOVPAOVR,GOVAU1WF,GOV91db4d0d1c25,GOVRM5DV,GOV80ED8,439969597,80890,573666,val_eb89_00449,val_eb89_00449,GOVeb800449,GOVXIU8G,1,0,0,1,1,90.89
2023-12-09,GOVR1PQ0,GOVISXSF,GOVQ9N90,GOVe407d04ef7fd,GOVDEUPU,GOVL6111,5954156,5736504,673612,val_eb89_00450,val_eb89_00450,GOVeb800450,GOV29MR3,1,0,0,1,0,87.4
2020-04-10,GOVUC53L,GOV4JVQD,GOVAD53Q,GOV88350821f0ef,GOVWYSTD,GOV7OLAE,15052,40457994,269791973,val_eb89_00451,val_eb89_00451,GOVeb800451,GOV4GGID,0,1,0,1,0,22.02
2023-06-14,GOV92O82,GOVPTFB2,GOVETK3U,GOV0e3880b80209,GOVU8N1A,GOVJS3M9,57349109,476537870,190190,val_eb89_00452,val_eb89_00452,GOVeb800452,GOVEAFDL,0,1,0,0,1,18.04
2024-04-19,GOV7HW2Y,GOV7TWRO,GOVRMFM5,GOVb584fcdd634a,GOVSX1MU,GOVCMHMK,73649,68632709,52224,val_eb89_00453,val_eb89_00453,GOVeb800453,GOV1C4O2,1,1,1,0,1,51.71
2022-06-15,GOV5PMCU,GOV3XWKA,GOV5087O,GOV2501516e4802,GOVPY7KZ,GOVFXQ5A,592622,3314264,4111570,val_eb89_00454,val_eb89_00454,GOVeb800454,GOVC8HJH,1,1,1,0,0,91.59
2021-08-08,GOVIPT43,GOVEFQWP,GOVGSFAS,GOV0ee7c75344a0,GOVT2EFL,GOVED0JN,6178598,52307,4628347,val_eb89_00455,val_eb89_00455,GOVeb800455,GOVGCF8B,0,0,0,1,1,33.78
2019-08-22,GOVQH3HV,GOVRH8DC,GOV17NSH,GOV0d686ddf9c8c,GOV4QM11,GOVOUHEP,8919587,638344033,42110,val_eb89_00456,val_eb89_00456,GOVeb800456,GOVTUDST,1,1,0,1,0,77.07
2021-01-27,GOVMJ97N,GOVKT3H5,GOVY0E0M,GOV9a53e64f93b8,GOVIWX53,GOVYEYEB,704659655,7578025,5172526,val_eb89_00457,val_eb89_00457,GOVeb800457,GOVP2SJZ,1,0,1,1,0,96.68
2020-11-24,GOVZR8CV,GOVG813U,GOV1SI97,GOV8fbedd9c2abb,GOVGHTEX,GOV7S789,43208638,506685615,388568,val_eb89_00458,val_eb89_00458,GOVeb800458,GOVCAJ0F,1,0,1,0,1,55.84
2021-04-10,GOVA5P6I,GOVDROZG,GOV6UPLH,GOVb1d8782f0140,GOVO07Z7,GOVZPOMW,2187446,2321006,5323827,val_eb89_00459,val_eb89_00459,GOVeb800459,GOVE9PSO,0,0,0,1,0,22.19
2024-05-04,GOV9NQ11,GOVEL4WH,GOVD874M,GOV3da098b4bc1a,GOVLGL37,GOVJE2I2,62125358,74584493,53632,val_eb89_00460,val_eb89_00460,GOVeb800460,GOVLTH6L,1,0,1,0,1,87.34
2020-09-07,GOVQK3ZJ,GOVGY8TT,GOVGJQ6T,GOV23dc86798a6d,GOV3PACV,GOVCNRW5,6874454,554001112,41652148,val_eb89_00461,val_eb89_00461,GOVeb800461,GOV3XMIM,1,1,0,0,0,28.79
2025-08-01,GOV4RAML,GOVI2PTG,GOVDEMJO,GOV8de8deb15bdb,GOVPH3GF,GOVMPUO6,41960180,37629,166526343,val_eb89_00462,val_eb89_00462,GOVeb800462,GOV813KF,1,0,0,0,1,35.23
2021-03-01,GOV50R4Q,GOVSQSMU,GOVTGQKV,GOV5329a89ffcd9,GOV0EMYL,GOV0FTRC,313893842,152725993,722934,val_eb89_00463,val_eb89_00463,GOVeb800463,GOVWMRBK,0,0,0,1,1,17.31
2025-06-10,GOV7X9PO,GOVBZYF9,GOVKLAL9,GOVbdb0458d7972,GOV3G1I5,GOVCKIGS,638721397,4264537,800645029,val_eb89_00464,val_eb89_00464,GOVeb800464,GOVWDVJC,1,1,1,1,1,90.33
2021-04-02,GOV6BMR4,GOV90SRK,GOV42D1T,GOV7d8f83e48f23,GOVSKPZD,GOVOA91U,41850939,35672,83843498,val_eb89_00465,val_eb89_00465,GOVeb800465,GOVWSZJD,1,1,0,0,0,49.2
2021-05-29,GOVY702E,GOV3XXGJ,GOVL694C,GOVa1f4f3b8ba48,GOV2RGUW,GOVGTQD8,353589428,305527223,537870,val_eb89_00466,val_eb89_00466,GOVeb800466,GOV6UK3P,0,0,0,1,0,62.45
2018-06-09,GOVA1C6Z,GOVZ4V68,GOVK25FC,GOV0189cedac8b1,GOVYIEOB,GOV7XHBK,6616702,602489,431550,val_eb89_00467,val_eb89_00467,GOVeb800467,GOV69VYX,1,1,1,1,1,80.21
2018-05-23,GOVLPP2C,GOVCAYQY,GOVBZ9KR,GOVcaca7b9885a7,GOVI9ECY,GOVOH9E2,391573,7846781,47196,val_eb89_00468,val_eb89_00468,GOVeb800468,GOVRALIW,0,0,1,0,1,93.42
2020-05-04,GOVMKCL3,GOVNV79W,GOVSPOZN,GOV4264f925c1d1,GOV82GUY,GOVICU97,7218974,92457738,64980,val_eb89_00469,val_eb89_00469,GOVeb800469,GOVHKMXD,1,0,0,1,0,9.85
2024-03-04,GOV045KT,GOVIOUB3,GOVUF912,GOV998091733487,GOVNDRRV,GOVF2LT6,157532,3196086,4024791,val_eb89_00470,val_eb89_00470,GOVeb800470,GOVFUBIR,0,1,1,0,0,36.37
2024-12-31,GOVZBB98,GOVPWMJF,GOV3BTWV,GOV083d33390c2e,GOVKS5AK,GOVFQUGN,2072153,47894768,6996078,val_eb89_00471,val_eb89_00471,GOVeb800471,GOVO5SAC,0,0,0,1,1,9.2
2022-01-24,GOV0O42Q,GOVN59N5,GOVG87SH,GOV078384257a63,GOVKHRLF,GOVP22S2,61627568,3572572,933235,val_eb89_00472,val_eb89_00472,GOVeb800472,GOVKQ7J0,0,0,0,1,0,77.62
2024-06-23,GOVBXI78,GOV3JN88,GOVLECRF,GOV0ff23d452130,GOVOI3LH,GOVWL1MY,46169,737680,651572,val_eb89_00473,val_eb89_00473,GOVeb800473,GOVGTTFV,1,1,0,1,0,28.04
2018-08-29,GOVJ2NJ8,GOVWVGGC,GOVFW9H0,GOV6d1062497f3f,GOV047H5,GOVKKKV8,5291870,513879,53847441,val_eb89_00474,val_eb89_00474,GOVeb800474,GOVLXBHE,0,0,1,0,0,51.97
2023-02-06,GOV2HNTV,GOVD826S,GOVWAZSS,GOV35b3a72b344b,GOVQVBHE,GOV79CYE,24421,545856030,4111027,val_eb89_00475,val_eb89_00475,GOVeb800475,GOV6JCSD,0,1,0,1,0,53.9
2023-04-25,GOVRN52B,GOVRA56F,GOVCAAV6,GOV9dfd7424360d,GOVVGKL2,GOVL7MLX,18267,329648,546336,val_eb89_00476,val_eb89_00476,GOVeb800476,GOVGMIEP,0,1,1,0,1,98.55
2025-10-23,GOVFNXRQ,GOVIIS8D,GOVEVXNF,GOVe6546e156881,GOVUDU8G,GOVEB1BJ,228200,39113397,83277,val_eb89_00477,val_eb89_00477,GOVeb800477,GOVHC9FY,1,0,1,0,1,83.17
2024-10-01,GOVU5JBY,GOVP4XHC,GOVOFCFM,GOV5d215cd4a753,GOVT6L54,GOVNVMCX,775315754,2980536,531857,val_eb89_00478,val_eb89_00478,GOVeb800478,GOV4JXJO,1,0,1,1,1,76.6
2021-06-21,GOVSFYDR,GOVVMHFV,GOV4DGN3,GOV63b63b3b7d37,GOVAEJWV,GOVMLO9E,261234123,52215,44910056,val_eb89_00479,val_eb89_00479,GOVeb800479,GOVFT3JB,0,0,1,0,1,7.64
2018-11-09,GOVHSMZU,GOVD0VJA,GOVLSOOV,GOVf90fe4933a77,GOVKQ9LC,GOVGI4XO,712870527,74390,68813,val_eb89_00480,val_eb89_00480,GOVeb800480,GOVAE7JV,0,0,0,0,0,19.11
2018-02-22,GOVVGQVY,GOVRUQJZ,GOV60YXQ,GOV6f77d74142a6,GOVTB377,GOVQKVKO,485543,714137535,5564463,val_eb89_00481,val_eb89_00481,GOVeb800481,GOVURGQF,1,1,1,0,0,86.33
2025-01-30,GOVPBYTH,GOV859J7,GOVAUSSM,GOVa18d1eeaa119,GOVFRU9R,GOVR91UF,48176,23191238,183363264,val_eb89_00482,val_eb89_00482,GOVeb800482,GOV1AD7P,0,0,1,1,1,74.05
2021-04-05,GOVYLU1S,GOVBSBFL,GOVQRF93,GOV58b42191a3a4,GOVEV4SQ,GOV4U3K6,109879142,755800444,9637511,val_eb89_00483,val_eb89_00483,GOVeb800483,GOVF5YLV,0,0,1,0,0,28.58
2021-05-30,GOV4BTNI,GOV7V8EI,GOVBH318,GOV2e9062850cd3,GOVMX8E9,GOV115C2,63161,484047506,512690842,val_eb89_00484,val_eb89_00484,GOVeb800484,GOVQL8XZ,0,1,0,1,0,7.34
2026-01-21,GOVBR9Z2,GOVBEQ7Z,GOVG5N0I,GOV45b24c989e3b,GOV75KES,GOVQ24JW,46484908,23708403,646584,val_eb89_00485,val_eb89_00485,GOVeb800485,GOVJ13TL,0,1,0,0,0,60.12
2022-08-15,GOVCFHL8,GOVZUKHR,GOVNPS44,GOVfe20dce8ce75,GOV2GQBU,GOVO3S2S,624126270,339058,6495532,val_eb89_00486,val_eb89_00486,GOVeb800486,GOVE19K6,1,0,1,1,0,1.35
2018-04-13,GOVZZKIJ,GOVRTDY8,GOVWU1QI,GOVe46c3e5db82a,GOVQ1T81,GOVWDIUW,85832,475509911,74341468,val_eb89_00487,val_eb89_00487,GOVeb800487,GOVJRWYY,1,1,0,0,0,80.76
2019-01-23,GOV6K3FU,GOVEN5OZ,GOVAUR5R,GOVa31bb85d70b4,GOVDJ31X,GOVF0RHG,5589576,6748187,33459307,val_eb89_00488,val_eb89_00488,GOVeb800488,GOV8VB75,1,0,1,1,1,52.66
2022-05-27,GOVQS6WV,GOV4I4PY,GOV27O7N,GOVf38ad8a5ec06,GOVYWCSI,GOVKIJK3,352995,68143,317195,val_eb89_00489,val_eb89_00489,GOVeb800489,GOVHZP4G,0,0,0,0,0,30.58
2020-09-26,GOVM5LEW,GOVFPAZJ,GOV505AX,GOVcb6510cddff1,GOVOB9PX,GOVATEQV,36317719,22325,37156471,val_eb89_00490,val_eb89_00490,GOVeb800490,GOVXM14D,1,1,1,1,1,6.8
2021-12-16,GOVDZN3E,GOVGMVF4,GOV93W11,GOV18c3c1f5298e,GOVV7FYW,GOV2KLOE,3153800,40535380,465936048,val_eb89_00491,val_eb89_00491,GOVeb800491,GOVI16XO,0,1,0,1,0,86.5
2023-09-11,GOVRUZK8,GOV4NFWA,GOVD8Z2U,GOV94d34d7f88f9,GOVJ4YBK,GOVKKCFJ,3510118,4257013,30602608,val_eb89_00492,val_eb89_00492,GOVeb800492,GOV8VCWW,0,1,0,0,0,92.97
2024-05-04,GOV9JWP9,GOVXSQFF,GOV80DOE,GOVdc20ec6a8c41,GOVAN1V6,GOVQI63Q,732928274,670136942,37858,val_eb89_00493,val_eb89_00493,GOVeb800493,GOVXKP25,1,0,1,1,1,52.45
2024-06-22,GOVMDWEK,GOVLR71X,GOVWN4KL,GOVde58601ed1e3,GOVQWJX9,GOVSSYR0,515737,63371938,479072777,val_eb89_00494,val_eb89_00494,GOVeb800494,GOVAYO2Q,1,0,0,1,1,26.56
2024-01-10,GOVR2AX8,GOV1788K,GOVSZX7M,GOVbeb2d88239ba,GOVE4V4E,GOVKQ6HI,693484687,66885630,6080374,val_eb89_00495,val_eb89_00495,GOVeb800495,GOVVZTL0,1,1,0,1,0,38.73
2025-05-24,GOVOBIHP,GOV9BZZS,GOVYM89G,GOV2248e933b36b,GOVD7A47,GOV6I9RU,409293,5542556,4707591,val_eb89_00496,val_eb89_00496,GOVeb800496,GOV9A3AB,0,0,0,1,1,98.59
2018-07-16,GOV1XYCG,GOVGJ1L7,GOVTC3S5,GOV723562c182cb,GOV2U985,GOV3DB9O,1798722,7165792,64812897,val_eb89_00497,val_eb89_00497,GOVeb800497,GOVY3LA6,1,0,0,1,1,94.75
2025-03-02,GOV8WZ4H,GOVNMXWA,GOV4WQPU,GOV1eee8e514dac,GOVLG6TS,GOV1IVX6,9537368,620582,46637,val_eb89_00498,val_eb89_00498,GOVeb800498,GOVLVGG3,0,0,0,1,1,98.03
2020-08-11,GOVJA3AL,GOVXTO7H,GOV4ZYDS,GOVe0edd539a444,GOV0RPOE,GOVRE8DJ,1493837,41883511,407214,val_eb89_00499,val_eb89_00499,GOVeb800499,GOVM7UZ6,0,1,1,0,1,48.54
2022-03-12,GOVRMZJ5,GOVERWE9,GOVY4GHS,GOV56212d16e33c,GOVIFPLO,GOV4T85E,681710,8193317,45518,val_eb89_00500,val_eb89_00500,GOVeb800500,GOVTV8SA,0,0,1,1,0,62.91
2021-07-03,GOVLMREV,GOV62LZ2,GOVIFW9B,GOVe666275687b2,GOV5YPGT,GOV8USB0,39138233,297199,43921,val_eb89_00501,val_eb89_00501,GOVeb800501,GOVKUVQ9,1,0,1,1,1,23.31
2019-10-09,GOVE62RR,GOVOPZOK,GOVXZJPB,GOVd4b6586475a7,GOV5LEHX,GOVUOSMU,39035679,562807880,43119218,val_eb89_00502,val_eb89_00502,GOVeb800502,GOVNN0W6,1,0,0,1,0,10.33
2021-07-10,GOVWISIT,GOVOS1Q6,GOVWDYIC,GOV745bab113a93,GOV97E4V,GOVO5IXP,521045611,122789,44158927,val_eb89_00503,val_eb89_00503,GOVeb800503,GOVI50BT,1,0,0,1,0,51.74
2019-08-17,GOVY67MM,GOV5B8SZ,GOVD9SXV,GOV4d7936d73739,GOVLRDC9,GOVAZBI3,39322,4992948,50890420,val_eb89_00504,val_eb89_00504,GOVeb800504,GOVJT17V,1,0,0,1,0,14.2
2021-01-03,GOV57QVC,GOVH1JCC,GOVID9BH,GOVb7ba4039f701,GOV3VLL4,GOVILSFW,18327238,63107969,475954,val_eb89_00505,val_eb89_00505,GOVeb800505,GOVVLQKS,0,0,1,1,1,24.48
2025-04-16,GOVBWUY5,GOV1JWLG,GOVBR0HN,GOV5866b6d27c3b,GOVSRD8J,GOVXJ1LO,399168,62017,336807,val_eb89_00506,val_eb89_00506,GOVeb800506,GOVS5SXA,0,1,0,0,1,58.95
2018-02-01,GOVBG47N,GOVJAPY0,GOVZIYP1,GOVeb381ce88da5,GOVUEJWC,GOVFY2DQ,4254339,43382,55399,val_eb89_00507,val_eb89_00507,GOVeb800507,GOVAV4PM,1,1,1,1,1,69.03
2018-05-26,GOVNA7WW,GOVSB9WT,GOVIUBNG,GOV8a2637ebcda0,GOVMKWJN,GOVOK0Y2,613454564,52995212,5349593,val_eb89_00508,val_eb89_00508,GOVeb800508,GOVRXJ8R,0,0,1,1,0,55.0
2025-09-08,GOVVWX0Y,GOV8SRKG,GOVWAXCZ,GOV9c45b9ebf17e,GOVOZGOH,GOVZXL8U,32840,51445327,7154,val_eb89_00509,val_eb89_00509,GOVeb800509,GOVZ9YS0,0,1,0,1,1,71.5
2021-12-07,GOVJG872,GOVWMGKS,GOVIDMK9,GOVfa33c8a77be0,GOVO9MWK,GOVM2KYS,513773955,352019,572851,val_eb89_00510,val_eb89_00510,GOVeb800510,GOVYR33Y,1,0,0,1,1,57.87
2018-10-26,GOVHFGQ3,GOVFVIT1,GOVVNY19,GOV2dcbf3195cde,GOV9LB51,GOV4QYJR,72116,475835819,15333000,val_eb89_00511,val_eb89_00511,GOVeb800511,GOVD84LZ,1,1,0,1,1,19.82
2018-10-07,GOVROT03,GOVP7E6Y,GOVPQOCG,GOVccbaa4aba19e,GOVSFPUB,GOVXE3ZU,64921,21915,564234405,val_eb89_00512,val_eb89_00512,GOVeb800512,GOVAJJPI,1,1,1,1,0,38.87
2022-11-10,GOV4V544,GOV14N1L,GOVFZJKK,GOVa48017c7ddb6,GOVQ3324,GOVCS7EK,354899049,41747,38249,val_eb89_00513,val_eb89_00513,GOVeb800513,GOV0CRPY,0,0,1,1,0,86.6
2018-09-04,GOVM1JB3,GOVJ5TOX,GOV81YAS,GOV7ed63a5e8cdd,GOVT8IM5,GOVIOAUW,636881,62198815,780117772,val_eb89_00514,val_eb89_00514,GOVeb800514,GOVJ361P,1,1,0,1,1,99.16
2024-04-21,GOVZDBDA,GOVBO0B6,GOVYGVPV,GOVa8ed5e1d4abf,GOVKWNKL,GOVPOCYK,479671756,16503,53644309,val_eb89_00515,val_eb89_00515,GOVeb800515,GOVUSKFV,0,0,1,0,1,90.44
2018-09-20,GOVMS9OM,GOVZ4RDC,GOVB6UZW,GOV9a8b9eee5fa8,GOVNC3VZ,GOV3QXPF,521954,8010071,857494972,val_eb89_00516,val_eb89_00516,GOVeb800516,GOVY1XWJ,1,0,0,1,0,91.54
2019-04-19,GOV4T2SA,GOVMYOT3,GOVIT1NQ,GOV2c88c5dbf538,GOVH7FIM,GOVWDUX7,567919,225593,6788648,val_eb89_00517,val_eb89_00517,GOVeb800517,GOVT8Y04,1,1,1,0,1,51.15
2019-09-03,GOVODD18,GOV0VPK0,GOV3QZM6,GOVab30d852b550,GOVYUJ60,GOVTQIIJ,239670994,401459762,575661,val_eb89_00518,val_eb89_00518,GOVeb800518,GOVB2O74,1,1,1,1,1,19.79
2018-02-20,GOV98E6C,GOV08FY6,GOVHGVDS,GOV1443787caa98,GOVWMYB1,GOVGLVFU,3410341,68261918,47410693,val_eb89_00519,val_eb89_00519,GOVeb800519,GOV4YWJJ,1,1,0,1,0,9.64
2025-03-04,GOVLVBY5,GOV8BEFD,GOVWVGDR,GOV2bd27dd78e12,GOV2VK5F,GOVWPEK6,39463,2767700,658437929,val_eb89_00520,val_eb89_00520,GOVeb800520,GOVY17WK,0,1,0,0,1,91.63
2023-12-25,GOVIM1UH,GOVYZH8L,GOVBG0Q0,GOVf69a21f1c81b,GOVFVWRM,GOVAGK8V,166062953,561860232,87332,val_eb89_00521,val_eb89_00521,GOVeb800521,GOV2W8BS,1,0,0,1,0,64.05
2018-03-07,GOVTPWWP,GOV9QBO4,GOVZDPJZ,GOVfae86f604298,GOVLQ5CS,GOVP1D2H,63496,638485,4894429,val_eb89_00522,val_eb89_00522,GOVeb800522,GOVK5OJG,0,1,1,1,0,48.72
2020-10-24,GOVY59PM,GOVC2GJ4,GOVYNUPU,GOV136b4dcd5955,GOVYTNGC,GOVZLT4J,597710681,9925806,380828068,val_eb89_00523,val_eb89_00523,GOVeb800523,GOV93G8E,1,1,0,1,0,66.72
2018-09-03,GOVNMDUB,GOVI6OEZ,GOVMRXDV,GOVcfb00b435b1e,GOVZQOM1,GOV8DCNF,566555,874488,5651161,val_eb89_00524,val_eb89_00524,GOVeb800524,GOVGE23Z,1,1,1,0,0,21.54
2025-03-09,GOVU0CZH,GOVKVE0A,GOVTSZ19,GOV7a120d978bae,GOVYX20L,GOVZMTIE,70421578,7083052,68262240,val_eb89_00525,val_eb89_00525,GOVeb800525,GOVJY899,0,0,1,0,0,71.34
2023-04-13,GOVFBJJC,GOVZF2CV,GOVAG577,GOVe9e547ab79b2,GOVSZDKX,GOV7M0DJ,717274430,68318,397268,val_eb89_00526,val_eb89_00526,GOVeb800526,GOV1ISDL,1,0,1,0,1,51.52
2019-04-28,GOVZTBMO,GOVEGXKP,GOVEVA45,GOVdc692e2feaea,GOV600YU,GOVJYNGZ,49456,63412,4619200,val_eb89_00527,val_eb89_00527,GOVeb800527,GOV1SYTI,1,0,1,0,0,27.62
