edu_hiedpath_term_code,edu_hiedpath_institution_ipeds_id,edu_hiedpath_program_cip_code,edu_hiedpath_student_level,edu_hiedpath_entry_status,edu_hiedpath_credits_attempted,edu_hiedpath_credits_completed,edu_hiedpath_gpa_term,edu_hiedpath_retention_next_term_flag,edu_hiedpath_transfer_out_flag,edu_hiedpath_completion_award_type,edu_hiedpath_time_to_degree_months,edu_hiedpath_student_debt_at_completion,edu_hiedpath_pell_grant_recipient_flag,edu_hiedpath_first_generation_flag,edu_hiedpath_online_course_load_pct,edu_hiedpath_internship_participation_flag,edu_hiedpath_postgrad_employment_rate,edu_hiedpath_median_earnings_1yr,edu_hiedpath_median_earnings_5yr
2021WI,100481,40.0793,UNDERGRAD,FIRST_TIME,13,11,3.81,1,0,CERTIFICATE,27,48675,1,0,71.28,0,78.16,87366,133410
2015WI,100482,22.6293,UNDERGRAD,TRANSFER_IN,10,10,1.65,1,0,ASSOCIATE,72,78475,0,1,84.11,0,58.38,30694,72747
2024FA,100483,25.3647,UNDERGRAD,FIRST_TIME,8,6,3.41,1,0,BACHELOR,8,3134,0,1,24.15,0,82.74,19487,34112
2013SU,100484,08.3006,UNDERGRAD,FIRST_TIME,12,10,2.65,1,0,BACHELOR,89,31796,1,1,90.78,1,77.93,81162,112288
2025SP,100485,08.3134,UNDERGRAD,FIRST_TIME,7,6,3.85,1,0,CERTIFICATE,66,57058,1,0,65.03,0,88.02,23987,75546
2017FA,100486,37.5507,UNDERGRAD,FIRST_TIME,15,14,2.94,1,0,BACHELOR,69,34762,1,1,38.88,1,92.81,78849,115596
2012FA,100487,14.7474,CERT,FIRST_TIME,11,9,2.23,1,0,DOCTORAL,24,87502,1,0,23.45,0,48.92,21598,46160
2014WI,100488,40.3446,UNDERGRAD,CONTINUING,6,6,3.5,1,0,MASTER,64,4952,1,0,24.18,0,67.19,76510,109101
2012WI,100489,30.1521,UNDERGRAD,CONTINUING,9,6,3.12,1,0,BACHELOR,83,482,0,0,71.1,0,81.32,20955,69959
2020WI,100490,02.7021,UNDERGRAD,FIRST_TIME,7,5,2.63,1,0,CERTIFICATE,62,49109,0,0,66.55,0,60.51,54353,83796
2018FA,100491,03.9467,UNDERGRAD,TRANSFER_IN,4,4,1.78,1,0,CERTIFICATE,16,15339,1,0,73.87,0,49.96,34382,55768
2018WI,100492,16.2761,CERT,TRANSFER_IN,17,12,3.19,1,0,MASTER,6,34474,1,0,7.03,1,60.43,81788,114857
2014SP,100493,39.4339,UNDERGRAD,REENTRY,11,8,2.8,1,0,DOCTORAL,8,78770,1,1,83.71,1,45.69,91143,118674
2012SP,100494,31.3274,UNDERGRAD,TRANSFER_IN,3,2,2.83,1,0,BACHELOR,96,5556,0,1,27.8,1,89.69,28791,89113
2023FA,100495,04.9471,UNDERGRAD,TRANSFER_IN,11,10,2.37,1,0,BACHELOR,19,22086,0,0,25.56,0,93.45,37576,46187
2018SU,100496,21.1590,UNDERGRAD,CONTINUING,5,4,2.15,1,0,BACHELOR,54,44220,1,0,35.9,0,55.45,87337,115963
2023SU,100497,10.8192,UNDERGRAD,TRANSFER_IN,15,11,1.96,0,0,MASTER,21,29645,1,0,61.67,0,71.31,58725,116959
2018WI,100498,22.3299,UNDERGRAD,CONTINUING,18,15,3.26,1,0,NONE,17,4484,1,0,96.13,0,96.88,67684,132054
2014WI,100499,41.9775,UNDERGRAD,TRANSFER_IN,4,3,1.82,0,1,BACHELOR,83,79150,0,1,39.21,0,72.42,43273,64118
2015FA,100500,03.5228,GRAD,CONTINUING,15,12,1.61,1,0,NONE,31,15676,0,0,1.56,1,65.05,36253,93628
2014WI,100501,44.7231,UNDERGRAD,CONTINUING,9,7,3.38,0,0,ASSOCIATE,62,21906,1,0,59.99,0,72.88,53532,92048
2018FA,100502,14.6724,UNDERGRAD,FIRST_TIME,17,16,2.39,1,0,ASSOCIATE,19,55491,0,1,65.06,0,89.58,91891,156494
2024SU,100503,34.0832,UNDERGRAD,FIRST_TIME,12,9,1.97,0,0,ASSOCIATE,84,8266,0,0,46.6,1,89.21,88884,113668
2018SP,100504,07.3236,UNDERGRAD,CONTINUING,5,4,1.53,1,0,BACHELOR,32,37294,1,0,41.23,1,53.38,35287,77482
2023SU,100505,42.6354,UNDERGRAD,CONTINUING,15,14,2.93,1,0,ASSOCIATE,93,61137,1,0,80.21,0,69.85,76562,105104
2020SP,100506,39.2999,UNDERGRAD,CONTINUING,13,10,3.36,1,0,MASTER,21,8327,1,0,39.05,0,54.07,55943,74416
2013FA,100507,29.9650,CERT,FIRST_TIME,7,7,3.22,1,0,CERTIFICATE,48,48095,1,0,63.31,0,49.16,73956,109265
2019FA,100508,04.7377,GRAD,FIRST_TIME,14,13,3.9,0,1,MASTER,18,33691,1,0,96.58,0,85.34,34177,81458
2021SU,100509,54.1860,UNDERGRAD,TRANSFER_IN,12,9,2.99,1,0,MASTER,81,11982,1,0,17.22,1,50.65,81567,87403
2012WI,100510,36.0110,UNDERGRAD,CONTINUING,4,3,2.9,1,0,BACHELOR,68,54666,0,1,23.45,0,49.35,80217,139353
2024WI,100511,10.8696,GRAD,TRANSFER_IN,7,6,2.33,0,0,ASSOCIATE,24,73434,0,1,99.26,1,73.59,91783,126293
2013WI,100512,08.7683,UNDERGRAD,FIRST_TIME,7,5,3.31,1,0,NONE,15,40099,0,0,85.97,0,72.62,70656,109200
2019SP,100513,26.3882,UNDERGRAD,FIRST_TIME,17,14,2.85,1,1,MASTER,81,16723,1,1,77.82,0,66.19,63941,128615
2015SP,100514,32.1814,UNDERGRAD,TRANSFER_IN,10,8,1.83,0,1,BACHELOR,52,42205,0,0,85.27,0,49.07,73821,88171
2014WI,100515,38.8466,GRAD,CONTINUING,10,8,3.67,1,0,BACHELOR,89,31171,1,0,50.91,1,52.77,58884,94508
2013SP,100516,17.7642,GRAD,FIRST_TIME,16,14,2.04,1,0,BACHELOR,71,33980,0,1,8.09,1,55.02,90874,124187
2020SU,100517,33.5049,GRAD,FIRST_TIME,12,10,3.98,1,0,CERTIFICATE,34,48587,1,1,51.32,0,60.12,33155,43113
2021FA,100518,17.8383,CERT,FIRST_TIME,4,3,2.48,0,0,MASTER,26,6388,1,0,23.26,1,81.96,85544,118887
2024FA,100519,31.4104,UNDERGRAD,CONTINUING,16,16,1.67,1,0,ASSOCIATE,85,24339,1,1,43.82,0,49.56,48898,64133
2022FA,100520,13.7308,UNDERGRAD,REENTRY,15,13,3.61,1,0,BACHELOR,25,72559,0,0,3.05,0,97.4,56000,110767
2012SU,100521,49.7625,UNDERGRAD,TRANSFER_IN,18,16,2.58,1,0,BACHELOR,23,71734,1,0,2.77,1,97.84,42709,80569
2019SP,100522,11.0752,CERT,FIRST_TIME,7,6,1.75,0,0,BACHELOR,89,36422,0,0,83.98,1,50.95,72333,113495
2018SP,100523,52.5189,UNDERGRAD,TRANSFER_IN,7,5,3.53,1,0,CERTIFICATE,13,29611,1,1,81.79,0,87.32,38181,87686
2025SP,100524,48.2813,UNDERGRAD,TRANSFER_IN,17,16,1.71,1,0,BACHELOR,92,75791,0,0,79.32,1,71.16,91666,146010
2020FA,100525,31.6753,GRAD,CONTINUING,10,7,2.77,1,0,BACHELOR,68,59291,0,0,52.72,1,81.76,48082,110816
2012SU,100526,35.0407,CERT,FIRST_TIME,12,10,3.8,1,0,BACHELOR,40,49539,1,0,29.99,0,53.49,77346,142193
2012SU,100527,15.0340,GRAD,CONTINUING,8,7,2.69,1,0,BACHELOR,23,44106,0,1,33.55,0,81.99,70435,119196
2025FA,100528,16.5281,UNDERGRAD,CONTINUING,16,11,3.07,0,1,MASTER,62,52339,0,0,68.22,1,76.08,85769,96839
2022FA,100529,15.0947,UNDERGRAD,FIRST_TIME,14,12,2.82,0,0,ASSOCIATE,40,8215,0,0,46.51,1,93.53,62455,95200
2024SU,100530,14.7754,UNDERGRAD,TRANSFER_IN,15,14,3.8,1,1,MASTER,22,74810,0,1,34.85,1,76.82,37916,58236
2016WI,100531,49.1824,UNDERGRAD,FIRST_TIME,10,9,2.06,1,0,CERTIFICATE,83,9725,0,0,98.27,0,48.03,83753,104029
2022SU,100532,53.2832,UNDERGRAD,REENTRY,9,8,3.96,1,1,MASTER,83,80183,0,1,48.94,0,95.21,48551,60374
2024SU,100533,26.2924,CERT,TRANSFER_IN,13,12,3.84,1,0,BACHELOR,50,13828,1,1,39.28,1,48.99,47757,60351
2021FA,100534,05.7158,UNDERGRAD,CONTINUING,14,10,2.83,1,1,BACHELOR,91,53087,0,0,46.46,0,96.26,23121,63810
2024SU,100535,30.1482,UNDERGRAD,REENTRY,12,9,2.82,1,0,ASSOCIATE,75,9973,0,0,5.68,1,92.77,86726,126445
2024SP,100536,48.8377,UNDERGRAD,CONTINUING,9,7,1.6,1,1,ASSOCIATE,41,22441,1,1,45.06,0,91.8,71713,94237
2021SU,100537,27.9679,UNDERGRAD,FIRST_TIME,12,9,3.11,1,0,BACHELOR,74,62638,0,1,42.58,1,51.59,66162,92369
2024SU,100538,10.5576,GRAD,CONTINUING,9,7,3.04,1,0,BACHELOR,71,53428,0,0,1.28,0,78.0,93141,132514
2018SU,100539,22.7582,GRAD,FIRST_TIME,9,8,1.89,1,0,BACHELOR,45,17261,0,1,56.74,1,86.83,82119,91213
2015WI,100540,17.0885,CERT,FIRST_TIME,13,12,3.99,0,0,CERTIFICATE,60,78139,1,1,34.51,1,49.12,90900,127876
2024SP,100541,07.9364,UNDERGRAD,FIRST_TIME,14,14,2.19,1,0,CERTIFICATE,34,66635,0,1,35.96,1,73.53,62444,109094
2022WI,100542,50.4346,UNDERGRAD,CONTINUING,17,12,3.11,1,0,CERTIFICATE,59,459,0,1,90.11,1,54.91,27892,42592
2012SU,100543,54.5395,CERT,FIRST_TIME,4,4,3.0,1,1,CERTIFICATE,80,41933,0,0,46.75,1,54.18,75444,116364
2018SP,100544,54.0221,UNDERGRAD,FIRST_TIME,3,2,3.37,0,0,ASSOCIATE,43,27656,1,0,8.46,1,51.62,21165,63666
2018SU,100545,40.0921,CERT,CONTINUING,14,12,1.84,1,0,BACHELOR,50,81412,1,0,1.8,0,63.87,46301,88801
2023FA,100546,43.7652,UNDERGRAD,TRANSFER_IN,11,9,3.74,1,0,DOCTORAL,14,73159,1,0,33.99,0,71.24,18025,60926
2013WI,100547,01.4664,GRAD,FIRST_TIME,8,6,2.77,0,0,DOCTORAL,33,60319,0,1,69.58,1,87.82,79714,96931
2021FA,100548,07.3475,UNDERGRAD,CONTINUING,4,4,2.07,1,0,BACHELOR,53,769,0,0,84.1,1,64.83,75140,89040
2024SU,100549,04.6943,UNDERGRAD,FIRST_TIME,17,15,3.83,1,1,BACHELOR,21,88795,0,0,46.36,0,58.39,42356,79055
2013SU,100550,05.6953,UNDERGRAD,REENTRY,5,4,3.34,0,0,MASTER,48,83803,0,0,8.65,0,51.21,20601,30321
2022SU,100551,23.1176,UNDERGRAD,CONTINUING,3,2,2.75,1,0,DOCTORAL,64,35636,1,0,85.81,1,68.78,62324,115480
2025SP,100552,13.2688,GRAD,TRANSFER_IN,4,3,1.72,1,0,MASTER,26,29421,0,1,61.24,0,79.08,94282,105394
2019FA,100553,34.5972,CERT,CONTINUING,7,6,2.47,1,1,CERTIFICATE,32,49139,0,0,7.67,1,68.79,56843,89268
2024SP,100554,43.7422,UNDERGRAD,CONTINUING,5,5,3.09,1,0,ASSOCIATE,32,18657,1,0,84.09,1,59.4,79031,117081
2017FA,100555,41.2117,UNDERGRAD,FIRST_TIME,14,13,3.58,1,0,NONE,53,68008,1,0,72.91,0,65.97,79799,117600
2016SP,100556,27.9446,UNDERGRAD,TRANSFER_IN,7,5,2.77,1,0,MASTER,85,50191,0,0,40.61,0,73.28,53818,93046
2021SP,100557,25.1679,GRAD,CONTINUING,9,8,2.25,0,0,CERTIFICATE,87,12941,0,0,1.71,0,55.05,78754,131268
2014WI,100558,17.3690,GRAD,TRANSFER_IN,3,3,2.21,1,0,CERTIFICATE,41,81022,0,0,37.86,1,45.66,38444,62405
2012FA,100559,14.8884,UNDERGRAD,CONTINUING,10,8,2.11,0,1,MASTER,55,56424,0,0,25.93,0,61.62,41905,54554
2015SU,100560,23.7072,UNDERGRAD,CONTINUING,13,10,1.88,0,0,CERTIFICATE,22,77159,1,1,66.33,1,81.96,73679,99351
2025SU,100561,32.2599,UNDERGRAD,REENTRY,10,10,3.15,1,1,ASSOCIATE,62,89192,0,1,65.25,0,55.91,76311,78387
2023SU,100562,41.3331,UNDERGRAD,TRANSFER_IN,5,4,2.5,1,0,NONE,91,85151,0,1,16.99,0,48.81,20037,71977
2013FA,100563,12.9228,UNDERGRAD,FIRST_TIME,13,10,3.82,0,1,ASSOCIATE,42,63130,1,0,28.11,1,51.65,23151,68993
2014SU,100564,25.9300,GRAD,TRANSFER_IN,10,9,2.65,0,0,NONE,15,81061,0,0,64.42,0,56.07,49698,71677
2025SP,100565,53.2755,UNDERGRAD,FIRST_TIME,9,7,2.23,1,0,ASSOCIATE,11,89780,0,0,57.4,1,68.08,55121,118023
2017WI,100566,10.9703,CERT,REENTRY,13,12,3.01,0,0,DOCTORAL,55,29717,1,0,54.11,0,63.84,69336,105912
2021SU,100567,32.7021,UNDERGRAD,TRANSFER_IN,6,5,3.29,1,0,ASSOCIATE,46,84413,0,0,46.09,0,96.01,22389,60528
2023WI,100568,17.4023,CERT,FIRST_TIME,3,3,2.35,1,0,BACHELOR,50,26429,1,1,83.96,1,51.69,58871,111008
2012FA,100569,44.0614,UNDERGRAD,FIRST_TIME,11,9,2.34,1,0,ASSOCIATE,21,60128,1,0,83.78,1,96.46,34680,56410
2025SU,100570,39.0679,UNDERGRAD,FIRST_TIME,10,10,3.43,1,0,CERTIFICATE,80,36756,1,0,2.59,0,95.85,60203,108244
2025SP,100571,01.5597,UNDERGRAD,FIRST_TIME,4,3,1.95,1,1,ASSOCIATE,7,60803,1,0,66.35,1,55.06,27699,75564
2018SU,100572,32.8714,GRAD,TRANSFER_IN,9,6,3.15,1,0,ASSOCIATE,51,79968,0,0,13.43,1,65.79,88891,127566
2020SU,100573,08.5738,CERT,FIRST_TIME,10,9,3.49,0,0,NONE,46,80032,1,0,3.45,0,74.22,25227,30229
2018WI,100574,26.6115,CERT,REENTRY,3,3,2.33,0,0,BACHELOR,37,64292,0,1,35.63,1,55.88,52547,67501
2012WI,100575,48.9253,UNDERGRAD,TRANSFER_IN,8,6,3.76,0,0,ASSOCIATE,54,47171,0,0,41.37,0,59.44,19320,52439
2015WI,100576,21.6151,UNDERGRAD,CONTINUING,8,8,1.64,0,0,BACHELOR,88,59617,1,0,39.22,0,97.14,30490,63963
2018FA,100577,28.7477,UNDERGRAD,FIRST_TIME,18,18,1.82,1,0,CERTIFICATE,56,40367,0,0,12.98,1,53.67,52050,96404
2019SP,100578,27.4157,UNDERGRAD,CONTINUING,6,6,2.05,1,0,ASSOCIATE,41,65251,1,0,80.85,0,82.39,93030,134440
2015WI,100579,09.6195,GRAD,FIRST_TIME,9,7,3.94,1,1,DOCTORAL,75,43550,1,1,55.9,1,68.66,38464,90395
2016SP,100580,15.7854,GRAD,FIRST_TIME,14,11,3.55,1,1,DOCTORAL,38,79225,1,0,66.83,1,50.13,68796,78282
2016WI,100581,42.9859,UNDERGRAD,TRANSFER_IN,11,10,3.82,1,0,CERTIFICATE,45,87367,0,0,33.35,1,94.51,82124,85139
2020FA,100582,06.9974,GRAD,FIRST_TIME,4,3,2.03,1,0,MASTER,23,6184,0,1,97.22,1,82.08,49779,91311
2017WI,100583,51.2629,CERT,TRANSFER_IN,8,6,1.53,0,1,BACHELOR,73,154,0,1,0.91,0,56.1,55384,100958
2016FA,100584,13.1207,GRAD,REENTRY,15,13,3.12,1,0,CERTIFICATE,82,85223,1,1,45.57,0,64.68,54152,73401
2022WI,100585,09.2192,GRAD,REENTRY,4,3,2.17,0,0,CERTIFICATE,43,438,0,1,78.15,1,65.54,64211,86491
2021WI,100586,13.2670,UNDERGRAD,FIRST_TIME,8,8,1.97,1,0,NONE,39,75006,1,1,71.05,0,75.72,40337,44133
2017WI,100587,26.8753,UNDERGRAD,CONTINUING,5,5,3.85,1,1,ASSOCIATE,67,31026,0,0,43.8,0,57.33,33931,53631
2019WI,100588,45.4166,CERT,REENTRY,13,12,3.1,1,0,DOCTORAL,90,47485,1,1,63.48,0,89.08,37475,100609
2017WI,100589,27.2863,UNDERGRAD,FIRST_TIME,7,6,2.89,0,1,NONE,45,41613,0,1,44.56,1,48.66,84050,134084
2023SU,100590,13.8168,UNDERGRAD,CONTINUING,17,16,2.7,1,0,CERTIFICATE,76,76357,0,0,44.24,0,71.98,33622,58646
2012FA,100591,41.2243,UNDERGRAD,TRANSFER_IN,4,3,2.05,1,0,MASTER,11,59339,0,0,23.59,1,88.81,60002,120907
2019WI,100592,09.8769,UNDERGRAD,TRANSFER_IN,7,6,3.96,0,0,MASTER,43,21232,0,0,4.53,1,48.77,67448,121850
2025SU,100593,51.6565,GRAD,CONTINUING,16,14,2.77,1,0,ASSOCIATE,20,45622,1,0,97.4,1,67.08,18371,72607
2023FA,100594,27.6833,GRAD,CONTINUING,18,17,2.42,0,0,CERTIFICATE,78,39299,1,1,41.08,0,56.34,36800,48799
2022SP,100595,50.0380,GRAD,TRANSFER_IN,11,10,2.78,0,0,ASSOCIATE,37,83033,0,0,29.33,1,46.56,84078,111753
2019SP,100596,14.2863,CERT,FIRST_TIME,15,12,1.85,0,0,CERTIFICATE,45,68698,0,1,18.99,1,52.89,40748,102847
2025FA,100597,31.3363,UNDERGRAD,FIRST_TIME,11,10,2.76,1,0,MASTER,93,1603,0,1,93.35,1,48.1,62362,122634
2013SU,100598,31.7030,UNDERGRAD,TRANSFER_IN,5,4,3.1,1,0,ASSOCIATE,8,85213,0,0,46.62,1,68.58,19117,42107
2019SP,100599,18.9019,UNDERGRAD,TRANSFER_IN,9,8,2.76,1,0,ASSOCIATE,95,41767,0,1,73.66,0,89.19,22519,60985
2020WI,100600,41.1987,UNDERGRAD,TRANSFER_IN,16,12,3.94,1,0,NONE,40,80223,1,0,22.94,0,61.03,92136,105493
2016SP,100601,51.9905,GRAD,TRANSFER_IN,10,8,3.32,1,0,CERTIFICATE,69,89288,0,0,42.57,0,62.31,73280,78186
2015SU,100602,46.3071,GRAD,CONTINUING,15,11,2.8,1,0,DOCTORAL,17,9003,0,0,42.47,0,61.23,42721,80663
2014WI,100603,48.7838,GRAD,TRANSFER_IN,16,15,2.11,1,0,MASTER,46,7144,1,0,66.33,0,61.74,84317,134102
2017SP,100604,41.5894,UNDERGRAD,CONTINUING,10,8,3.76,1,0,ASSOCIATE,18,89628,1,0,66.81,1,92.94,58801,71964
2017SP,100605,46.5422,UNDERGRAD,FIRST_TIME,3,2,2.54,1,0,BACHELOR,49,29042,1,0,37.59,0,63.81,38353,90143
2024FA,100606,46.7088,UNDERGRAD,REENTRY,17,15,2.02,1,0,ASSOCIATE,75,39634,0,1,4.19,1,59.7,91493,129894
2024SU,100607,33.5944,UNDERGRAD,FIRST_TIME,15,15,2.87,1,0,ASSOCIATE,44,3804,0,0,46.26,1,46.3,65429,108574
2012WI,100608,45.4198,GRAD,CONTINUING,11,10,3.51,1,0,CERTIFICATE,24,14190,1,0,16.31,0,61.73,21325,57167
2020SP,100609,20.5941,GRAD,FIRST_TIME,8,7,1.74,1,0,NONE,82,29405,1,0,29.81,0,92.42,41561,101970
2025SP,100610,07.6494,GRAD,CONTINUING,12,10,2.25,1,1,CERTIFICATE,68,18752,1,1,95.82,0,91.32,75474,111513
2015FA,100611,27.7011,UNDERGRAD,FIRST_TIME,18,15,1.73,1,0,CERTIFICATE,84,86532,0,1,5.45,1,86.41,47360,102161
2025SP,100612,23.6847,UNDERGRAD,REENTRY,15,13,1.7,1,0,CERTIFICATE,59,32114,0,0,65.3,0,72.05,50350,65348
2014SP,100613,15.9561,UNDERGRAD,TRANSFER_IN,15,13,2.09,1,0,ASSOCIATE,18,30422,0,0,66.65,0,65.47,35758,100255
2018FA,100614,26.6546,UNDERGRAD,FIRST_TIME,7,6,2.92,1,0,NONE,73,49179,1,0,70.23,1,52.31,93353,154293
2013SP,100615,38.5074,UNDERGRAD,REENTRY,11,9,1.73,1,0,ASSOCIATE,36,78978,0,0,2.07,0,74.47,50905,90872
2017SU,100616,51.9833,UNDERGRAD,CONTINUING,6,4,3.48,1,0,ASSOCIATE,54,48317,0,0,12.95,1,75.24,79074,83476
2021WI,100617,49.6347,GRAD,FIRST_TIME,13,10,2.81,1,0,BACHELOR,88,20629,1,0,65.05,0,66.66,45037,52102
2016FA,100618,15.7652,GRAD,FIRST_TIME,3,3,1.58,1,0,MASTER,89,62164,0,0,57.86,0,63.14,47956,89399
2012FA,100619,14.2982,UNDERGRAD,CONTINUING,14,10,2.08,1,1,MASTER,84,50936,1,0,25.24,0,54.43,19377,34115
2025SU,100620,29.4141,UNDERGRAD,FIRST_TIME,16,15,1.54,1,0,ASSOCIATE,82,19441,0,0,35.22,1,62.51,36431,85072
2016SU,100621,18.9020,GRAD,FIRST_TIME,3,2,1.94,1,0,NONE,6,58669,0,1,17.41,0,52.83,33942,36831
2015WI,100622,09.8423,GRAD,REENTRY,7,5,2.03,1,0,MASTER,74,48143,0,1,28.15,0,82.89,92018,110327
2017SP,100623,46.6882,UNDERGRAD,CONTINUING,15,11,2.68,0,0,NONE,38,10146,1,0,99.58,0,68.64,56086,58262
2021WI,100624,12.5499,GRAD,FIRST_TIME,15,14,2.03,0,0,MASTER,92,51855,1,0,25.31,0,59.43,52971,57695
2021FA,100625,32.6397,UNDERGRAD,FIRST_TIME,17,13,1.52,0,1,DOCTORAL,60,255,0,0,45.59,0,64.85,25584,90489
2023WI,100626,28.9336,UNDERGRAD,TRANSFER_IN,3,3,1.91,0,0,CERTIFICATE,84,82771,0,1,67.29,0,56.49,59151,104872
2022SU,100627,53.9340,UNDERGRAD,TRANSFER_IN,13,11,2.06,1,0,BACHELOR,68,75836,0,0,97.31,1,45.82,53892,58391
2025SU,100628,52.8956,UNDERGRAD,TRANSFER_IN,4,3,1.61,1,1,ASSOCIATE,6,25238,1,0,91.75,0,64.49,19869,40188
2017WI,100629,31.1252,UNDERGRAD,CONTINUING,12,10,3.56,1,1,CERTIFICATE,39,21271,1,0,65.24,0,90.61,20445,56105
2016SU,100630,20.5027,GRAD,FIRST_TIME,9,6,2.34,1,0,NONE,21,23857,0,0,84.4,1,72.33,35719,57143
2014FA,100631,24.5847,UNDERGRAD,FIRST_TIME,3,2,3.42,1,0,MASTER,53,18513,0,0,54.1,0,60.21,26940,56046
2021SP,100632,35.7331,UNDERGRAD,TRANSFER_IN,8,7,2.9,1,0,BACHELOR,77,59221,1,1,25.93,1,58.6,18402,21478
2021SU,100633,29.6760,UNDERGRAD,FIRST_TIME,8,6,2.17,0,0,NONE,33,75016,0,1,49.99,1,77.17,62149,76297
2020SU,100634,43.3372,CERT,CONTINUING,18,15,1.76,1,0,ASSOCIATE,72,7192,1,0,3.44,1,52.16,65182,99208
2021FA,100635,34.0736,UNDERGRAD,CONTINUING,16,13,3.69,0,0,DOCTORAL,63,51966,1,0,44.6,0,61.16,51240,88116
2016SP,100636,24.0494,GRAD,TRANSFER_IN,18,18,3.43,1,1,NONE,22,80993,1,0,86.98,0,55.23,54830,79668
2017WI,100637,08.5995,UNDERGRAD,FIRST_TIME,9,6,1.81,1,0,ASSOCIATE,77,3290,0,0,41.38,1,51.12,79639,142282
2022WI,100638,13.1038,UNDERGRAD,FIRST_TIME,9,8,2.1,1,1,CERTIFICATE,95,59742,1,0,1.68,1,96.53,87547,99693
2018SU,100639,27.1354,GRAD,CONTINUING,15,11,2.97,1,0,ASSOCIATE,60,51905,0,1,93.56,0,48.04,70755,72858
2019SP,100640,21.7282,UNDERGRAD,FIRST_TIME,10,9,1.8,1,0,BACHELOR,16,43244,0,0,49.57,1,51.51,69129,109574
2025SU,100641,03.1540,UNDERGRAD,CONTINUING,5,5,3.26,0,0,MASTER,76,18952,0,0,93.81,1,91.56,47228,55795
2013WI,100642,35.0580,UNDERGRAD,TRANSFER_IN,8,6,3.39,0,0,ASSOCIATE,83,86869,0,0,65.79,0,78.89,45254,71265
2022FA,100643,20.8556,GRAD,TRANSFER_IN,12,9,1.87,1,0,MASTER,59,86828,1,1,75.97,1,65.69,61444,86181
2012SU,100644,52.8520,UNDERGRAD,REENTRY,18,16,2.45,1,0,NONE,64,36869,1,1,70.86,1,80.8,69939,122185
2022SU,100645,01.3360,GRAD,TRANSFER_IN,3,3,3.91,1,0,BACHELOR,87,35353,1,1,66.36,1,75.07,25552,46344
2012SP,100646,02.1631,UNDERGRAD,FIRST_TIME,3,3,2.31,1,0,MASTER,8,47913,0,0,56.7,0,67.7,63958,68779
2019SP,100647,06.4695,UNDERGRAD,TRANSFER_IN,14,14,1.58,1,0,BACHELOR,53,30620,1,0,75.22,1,69.55,60956,113089
2014FA,100648,26.1617,UNDERGRAD,TRANSFER_IN,18,13,2.91,0,0,ASSOCIATE,57,15595,0,1,58.34,0,47.77,35985,94471
2020SU,100649,54.9337,UNDERGRAD,CONTINUING,3,2,1.86,0,0,NONE,75,6298,1,0,6.56,0,85.57,78517,92301
2024WI,100650,04.6181,UNDERGRAD,TRANSFER_IN,7,6,2.5,1,0,BACHELOR,66,85912,1,0,36.81,1,54.93,33457,42551
2018FA,100651,50.7415,UNDERGRAD,FIRST_TIME,16,14,2.62,0,0,BACHELOR,62,33791,0,0,32.19,1,83.33,73872,103377
2017SU,100652,10.0060,CERT,TRANSFER_IN,5,5,1.75,0,0,BACHELOR,69,37922,1,0,19.33,0,59.18,56496,81136
2022SU,100653,24.7318,UNDERGRAD,TRANSFER_IN,12,8,2.75,1,0,MASTER,95,27194,1,1,36.08,1,61.23,52585,93583
2014SP,100654,40.3719,UNDERGRAD,FIRST_TIME,9,8,1.84,1,1,DOCTORAL,50,50575,1,0,74.3,1,67.45,60226,73081
2022SP,100655,17.5048,UNDERGRAD,CONTINUING,5,4,1.67,1,0,BACHELOR,41,79803,0,0,46.9,0,86.15,74678,103120
2015SU,100656,41.1607,UNDERGRAD,FIRST_TIME,13,10,2.38,1,1,CERTIFICATE,61,78173,0,1,61.03,0,78.6,47112,71282
2012WI,100657,03.4690,GRAD,TRANSFER_IN,14,14,2.95,0,0,NONE,22,81885,0,1,82.31,1,60.85,59921,120124
2022SU,100658,15.7580,CERT,FIRST_TIME,8,7,3.26,1,0,DOCTORAL,51,78313,1,1,38.25,0,56.78,73637,82928
2016WI,100659,42.2098,UNDERGRAD,CONTINUING,7,7,3.81,0,0,MASTER,40,63890,1,0,7.06,1,77.78,71658,116455
2014WI,100660,11.3343,GRAD,CONTINUING,9,8,2.97,1,0,MASTER,82,30018,0,1,12.77,1,51.8,71528,93608
2019SP,100661,23.1453,UNDERGRAD,FIRST_TIME,4,4,3.17,1,0,BACHELOR,51,3294,1,0,99.28,0,85.99,81300,141501
2015SU,100662,37.8741,UNDERGRAD,REENTRY,8,6,3.65,1,0,MASTER,15,60223,0,0,20.42,1,78.64,81272,108933
2021WI,100663,14.3490,CERT,CONTINUING,7,7,3.62,1,0,DOCTORAL,19,52055,1,0,98.68,0,60.58,83198,115237
2020SP,100664,08.8253,CERT,FIRST_TIME,7,6,2.3,1,0,MASTER,29,42631,0,0,88.56,0,46.22,62626,100906
2015WI,100665,53.5315,UNDERGRAD,FIRST_TIME,13,11,3.98,1,0,BACHELOR,83,66420,0,0,3.32,0,78.06,70371,84630
2024SP,100666,20.7286,UNDERGRAD,CONTINUING,14,12,3.79,1,0,DOCTORAL,96,12705,1,1,21.4,1,60.52,87343,141059
