soc_family_reference_year,soc_family_country_iso2,soc_family_region_nuts_code,soc_family_household_type_code,soc_family_children_count,soc_family_benefit_program_code,soc_family_beneficiaries_count,soc_family_mean_benefit_monthly_eur,soc_family_childcare_subsidy_flag,soc_family_parental_leave_weeks_entitled,soc_family_parental_leave_takeup_rate_pct,soc_family_birth_grant_flag,soc_family_housing_support_flag,soc_family_income_test_threshold_eur,soc_family_digital_application_rate_pct,soc_family_processing_time_days_median,soc_family_fertility_policy_index_score,soc_family_child_poverty_rate_pct,soc_family_eurostat_table_code,soc_family_data_extract_date
2022,HU,AT90,EXTENDED_FAMILY,4,HOUSING_TOPUP,6702,349.82,0,14,19.21,0,1,12343.3,34.68,19,1.422,31.21,lfso_14a,2024-04-21
2023,LV,ES629,SINGLE_PARENT,5,IN_WORK_FAMILY_BONUS,6553,398.49,1,0,63.67,0,0,20327.45,34.22,10,1.158,9.66,spr_fam_sum,2024-08-19
2024,MT,LV38,COUPLE_WITH_CHILDREN,0,CHILD_ALLOWANCE,7613,115.27,0,40,25.55,0,0,17278.78,61.38,16,1.966,31.98,ilc_di07,2025-10-03
2025,PT,FI887,OTHER,1,CHILDCARE_SUBSIDY,7806,495.95,1,18,70.86,0,0,46321.48,88.72,18,1.013,26.07,spr_fam_ben,2024-10-09
2026,SI,HR409,FOSTER,2,PARENTAL_LEAVE_BENEFIT,6581,670.21,0,8,53.51,0,0,78760.4,30.64,24,1.977,33.63,ilc_lvho14,2024-09-04
2010,AT,HR216,GUARDIANSHIP,3,BIRTH_GRANT,7863,440.31,0,52,30.2,1,0,54680.78,94.98,19,1.021,29.24,lfso_14a,2025-12-15
2011,HR,IE753,EXTENDED_FAMILY,4,HOUSING_TOPUP,6701,78.11,1,26,23.14,1,1,48068.66,79.95,21,1.185,28.12,spr_fam_sum,2026-01-16
2012,DK,BE257,SINGLE_PARENT,5,IN_WORK_FAMILY_BONUS,7796,553.26,0,14,17.75,0,0,28290.55,44.64,30,1.318,19.16,ilc_di07,2024-07-17
2013,FR,CZ9,COUPLE_WITH_CHILDREN,0,CHILD_ALLOWANCE,6876,557.54,1,0,79.98,0,0,79388.44,51.5,28,1.946,11.37,spr_fam_ben,2024-04-14
2014,HU,CY3,OTHER,1,CHILDCARE_SUBSIDY,7208,632.72,1,40,63.34,0,0,65857.9,91.24,16,1.117,18.31,ilc_lvho14,2025-11-29
2015,LV,BE5,FOSTER,2,PARENTAL_LEAVE_BENEFIT,6734,531.91,0,18,76.42,0,1,78432.4,90.82,17,1.406,24.74,lfso_14a,2025-01-01
2016,MT,LV71,GUARDIANSHIP,3,BIRTH_GRANT,7455,122.9,0,8,39.97,1,0,24649.98,67.3,28,2.03,13.31,spr_fam_sum,2024-02-20
2017,PT,CY369,EXTENDED_FAMILY,4,HOUSING_TOPUP,7778,80.92,0,52,32.82,0,1,81735.07,37.24,23,2.11,33.97,ilc_di07,2025-11-18
2018,SI,IT8,SINGLE_PARENT,5,IN_WORK_FAMILY_BONUS,7394,733.33,0,26,86.55,0,0,36614.16,40.61,35,1.734,28.31,spr_fam_ben,2025-08-13
2019,AT,LV258,COUPLE_WITH_CHILDREN,0,CHILD_ALLOWANCE,6415,707.39,1,14,43.05,0,1,19502.43,88.87,22,0.843,10.65,ilc_lvho14,2025-07-06
2020,HR,GR276,OTHER,1,CHILDCARE_SUBSIDY,7901,216.35,1,0,77.2,0,0,37705.6,85.59,35,1.393,24.99,lfso_14a,2025-05-14
2021,DK,PL96,FOSTER,2,PARENTAL_LEAVE_BENEFIT,7123,761.07,0,40,32.07,0,0,18027.06,20.89,23,1.316,14.89,spr_fam_sum,2025-12-10
2022,FR,FR746,GUARDIANSHIP,3,BIRTH_GRANT,7011,372.03,0,18,55.32,1,0,20364.93,17.66,30,1.661,21.42,ilc_di07,2025-02-11
2023,HU,LV318,EXTENDED_FAMILY,4,HOUSING_TOPUP,6860,101.48,0,8,71.83,0,1,56471.04,42.9,26,1.243,32.86,spr_fam_ben,2024-06-04
2024,LV,NL80,SINGLE_PARENT,5,IN_WORK_FAMILY_BONUS,7377,426.87,1,52,35.22,0,0,64689.78,21.11,43,1.789,11.06,ilc_lvho14,2024-07-13
2025,MT,SE182,COUPLE_WITH_CHILDREN,0,CHILD_ALLOWANCE,7534,71.57,0,26,31.29,0,0,57159.23,74.35,41,1.044,30.54,lfso_14a,2024-03-14
2026,PT,DK37,OTHER,1,CHILDCARE_SUBSIDY,7545,613.45,1,14,90.23,0,0,76575.5,72.13,42,0.839,25.65,spr_fam_sum,2026-01-21
2010,SI,BE28,FOSTER,2,PARENTAL_LEAVE_BENEFIT,7210,729.95,0,0,13.67,0,0,44107.44,80.2,30,0.886,6.38,ilc_di07,2025-07-18
2011,AT,FR422,GUARDIANSHIP,3,BIRTH_GRANT,7137,162.89,0,40,42.82,1,0,68951.3,34.07,33,1.48,14.67,spr_fam_ben,2025-04-08
2012,HR,GR54,EXTENDED_FAMILY,4,HOUSING_TOPUP,7316,476.34,0,18,75.29,0,1,22194.15,77.54,39,0.886,29.26,ilc_lvho14,2024-08-28
2013,DK,IT67,SINGLE_PARENT,5,IN_WORK_FAMILY_BONUS,6584,554.19,0,8,76.73,0,1,73147.26,76.6,36,0.846,9.8,lfso_14a,2024-06-01
2014,FR,LU6,COUPLE_WITH_CHILDREN,0,CHILD_ALLOWANCE,6949,479.62,0,52,53.92,0,0,54422.49,34.51,37,1.501,29.46,spr_fam_sum,2026-02-07
2015,HU,LV225,OTHER,1,CHILDCARE_SUBSIDY,7404,106.13,1,26,23.65,0,0,61541.08,94.4,34,0.82,10.64,ilc_di07,2025-04-01
2016,LV,BG69,FOSTER,2,PARENTAL_LEAVE_BENEFIT,7247,363.0,1,14,24.55,0,1,21977.59,32.05,50,1.465,6.92,spr_fam_ben,2025-12-24
2017,MT,NL87,GUARDIANSHIP,3,BIRTH_GRANT,7144,609.12,1,0,82.45,1,0,15392.45,35.18,44,1.11,14.3,ilc_lvho14,2025-03-20
2018,PT,CZ18,EXTENDED_FAMILY,4,HOUSING_TOPUP,7419,614.5,0,40,18.61,0,1,25212.34,86.44,52,1.43,23.69,lfso_14a,2025-01-30
2019,SI,AT611,SINGLE_PARENT,5,IN_WORK_FAMILY_BONUS,6562,65.67,1,18,32.34,0,1,46515.57,16.64,56,1.524,21.27,spr_fam_sum,2026-02-05
2020,AT,EE94,COUPLE_WITH_CHILDREN,0,CHILD_ALLOWANCE,7025,459.06,0,8,27.51,0,0,38151.85,51.57,47,1.937,9.23,ilc_di07,2025-04-24
2021,HR,LU55,OTHER,1,CHILDCARE_SUBSIDY,7533,756.01,1,52,49.98,0,0,13952.9,74.03,43,2.139,6.19,spr_fam_ben,2026-01-06
2022,DK,CZ24,FOSTER,2,PARENTAL_LEAVE_BENEFIT,6896,94.87,0,26,60.99,0,0,79623.54,59.72,43,0.8,27.96,ilc_lvho14,2025-01-08
2023,FR,BG61,GUARDIANSHIP,3,BIRTH_GRANT,7647,416.87,0,14,76.96,1,0,43182.82,91.5,46,2.097,12.02,lfso_14a,2024-11-30
2024,HU,CZ510,EXTENDED_FAMILY,4,HOUSING_TOPUP,7001,609.85,0,0,48.78,0,1,52715.56,54.42,43,1.437,27.61,spr_fam_sum,2025-02-18
2025,LV,AT5,SINGLE_PARENT,5,IN_WORK_FAMILY_BONUS,7429,545.48,0,40,86.19,0,0,37348.56,59.95,45,1.826,9.62,ilc_di07,2025-03-16
2026,MT,IE48,COUPLE_WITH_CHILDREN,0,CHILD_ALLOWANCE,7692,416.09,0,18,39.18,0,0,72860.84,73.47,52,1.246,15.12,spr_fam_ben,2024-06-30
2010,PT,LV355,OTHER,1,CHILDCARE_SUBSIDY,7796,768.52,1,8,51.03,1,0,78820.24,89.38,54,2.128,30.53,ilc_lvho14,2025-01-05
2011,SI,LU39,FOSTER,2,PARENTAL_LEAVE_BENEFIT,7203,409.86,1,52,21.7,0,1,60717.43,30.37,63,2.155,31.22,lfso_14a,2025-04-16
2012,AT,IE173,GUARDIANSHIP,3,BIRTH_GRANT,7784,428.38,0,26,64.88,1,0,24444.11,44.12,48,1.725,7.44,spr_fam_sum,2025-12-21
2013,HR,NL34,EXTENDED_FAMILY,4,HOUSING_TOPUP,7329,436.97,0,14,78.01,0,1,23096.72,73.3,64,2.172,22.66,ilc_di07,2025-10-02
2014,DK,HU498,SINGLE_PARENT,5,IN_WORK_FAMILY_BONUS,6795,583.04,0,0,23.81,0,0,73648.84,49.54,55,1.018,18.46,spr_fam_ben,2025-01-27
2015,FR,LV280,COUPLE_WITH_CHILDREN,0,CHILD_ALLOWANCE,7248,468.32,0,40,70.29,0,0,63217.05,54.13,68,2.148,33.35,ilc_lvho14,2024-03-09
2016,HU,IE56,OTHER,1,CHILDCARE_SUBSIDY,7932,62.04,1,18,36.74,1,0,72297.29,21.29,70,1.235,24.08,lfso_14a,2025-06-21
2017,LV,SK76,FOSTER,2,PARENTAL_LEAVE_BENEFIT,7513,624.32,0,8,28.23,0,0,81502.59,94.05,58,1.631,14.09,spr_fam_sum,2025-08-10
2018,MT,HR9,GUARDIANSHIP,3,BIRTH_GRANT,7003,696.38,0,52,86.4,1,0,47230.86,58.13,67,0.987,27.58,ilc_di07,2025-06-02
2019,PT,NL96,EXTENDED_FAMILY,4,HOUSING_TOPUP,7514,776.62,0,26,60.1,0,1,19690.96,64.5,61,1.8,28.3,spr_fam_ben,2025-11-21
2020,SI,CZ35,SINGLE_PARENT,5,IN_WORK_FAMILY_BONUS,7781,291.41,0,14,12.16,0,0,33010.59,64.62,62,1.122,10.45,ilc_lvho14,2025-01-04
2021,AT,ES62,COUPLE_WITH_CHILDREN,0,CHILD_ALLOWANCE,7419,306.65,1,0,24.99,0,0,75995.36,23.12,56,1.177,33.06,lfso_14a,2024-06-29
2022,HR,BE191,OTHER,1,CHILDCARE_SUBSIDY,6890,499.06,1,40,18.35,0,1,37013.31,31.31,57,2.178,26.67,spr_fam_sum,2025-04-13
2023,DK,PL942,FOSTER,2,PARENTAL_LEAVE_BENEFIT,6966,54.47,0,18,20.44,1,1,68215.38,36.86,76,1.025,17.75,ilc_di07,2024-08-04
2024,FR,MT78,GUARDIANSHIP,3,BIRTH_GRANT,7621,273.09,0,8,70.42,1,1,54693.8,40.86,74,1.988,18.68,spr_fam_ben,2024-10-01
2025,HU,LV726,EXTENDED_FAMILY,4,HOUSING_TOPUP,7574,387.39,0,52,85.79,0,1,77607.19,77.28,80,1.377,23.5,ilc_lvho14,2025-02-02
2026,LV,ES8,SINGLE_PARENT,5,IN_WORK_FAMILY_BONUS,7888,203.81,1,26,54.23,0,0,20321.3,53.99,66,1.564,13.89,lfso_14a,2024-11-20
2010,MT,RO20,COUPLE_WITH_CHILDREN,0,CHILD_ALLOWANCE,7233,290.23,0,14,50.14,0,0,28791.3,91.04,66,2.038,9.69,spr_fam_sum,2024-07-30
2011,PT,CZ139,OTHER,1,CHILDCARE_SUBSIDY,7528,752.36,1,0,85.31,1,0,19102.95,29.74,65,0.978,14.43,ilc_di07,2024-03-31
2012,SI,SI68,FOSTER,2,PARENTAL_LEAVE_BENEFIT,6740,58.51,0,40,24.55,1,0,59956.73,93.73,76,0.866,32.75,spr_fam_ben,2024-03-29
2013,AT,BE50,GUARDIANSHIP,3,BIRTH_GRANT,6759,383.52,1,18,60.79,1,0,16762.43,73.01,70,1.042,26.46,ilc_lvho14,2025-08-21
2014,HR,FI9,EXTENDED_FAMILY,4,HOUSING_TOPUP,7503,265.2,0,8,53.12,0,1,69361.23,59.85,77,0.988,32.21,lfso_14a,2025-11-07
2015,DK,RO6,SINGLE_PARENT,5,IN_WORK_FAMILY_BONUS,7062,219.16,0,52,68.75,0,0,12030.36,36.3,84,1.368,20.84,spr_fam_sum,2024-01-17
2016,FR,HR820,COUPLE_WITH_CHILDREN,0,CHILD_ALLOWANCE,7801,485.73,0,26,79.4,0,0,31412.73,25.65,80,1.77,33.27,ilc_di07,2025-04-04
2017,HU,MT50,OTHER,1,CHILDCARE_SUBSIDY,6634,560.08,1,14,74.43,0,0,61729.9,53.14,71,0.823,8.32,spr_fam_ben,2025-08-25
2018,LV,SE724,FOSTER,2,PARENTAL_LEAVE_BENEFIT,7214,636.12,1,0,33.84,0,0,61591.51,43.36,70,2.111,22.34,ilc_lvho14,2025-05-02
2019,MT,BG25,GUARDIANSHIP,3,BIRTH_GRANT,7687,114.45,0,40,53.18,1,0,20498.12,28.05,78,2.017,13.16,lfso_14a,2024-12-27
2020,PT,PT7,EXTENDED_FAMILY,4,HOUSING_TOPUP,6673,489.18,0,18,14.14,0,1,71374.45,93.84,77,1.071,31.8,spr_fam_sum,2024-10-24
2021,SI,EE730,SINGLE_PARENT,5,IN_WORK_FAMILY_BONUS,7564,686.62,1,8,58.68,0,0,53056.43,36.47,78,1.75,29.5,ilc_di07,2025-01-24
2022,AT,DK777,COUPLE_WITH_CHILDREN,0,CHILD_ALLOWANCE,6999,589.59,0,52,60.98,0,0,63552.98,73.37,91,1.75,16.21,spr_fam_ben,2025-03-01
2023,HR,SI517,OTHER,1,CHILDCARE_SUBSIDY,7645,304.78,1,26,72.47,0,0,17877.11,47.0,94,1.147,27.88,ilc_lvho14,2025-06-22
2024,DK,LV698,FOSTER,2,PARENTAL_LEAVE_BENEFIT,7902,182.23,1,14,39.82,0,0,29923.74,36.26,85,2.152,33.65,lfso_14a,2024-06-06
2025,FR,HU5,GUARDIANSHIP,3,BIRTH_GRANT,7592,467.57,0,0,67.8,1,0,43433.16,53.76,8,1.599,8.85,spr_fam_sum,2025-08-07
2026,HU,LU641,EXTENDED_FAMILY,4,HOUSING_TOPUP,6863,437.69,0,40,55.89,0,1,33213.04,91.39,14,1.848,16.44,ilc_di07,2025-03-04
2010,LV,BE66,SINGLE_PARENT,5,IN_WORK_FAMILY_BONUS,7299,511.53,1,18,16.56,0,0,77864.92,52.95,4,1.863,25.72,spr_fam_ben,2025-05-25
2011,MT,CY854,COUPLE_WITH_CHILDREN,0,CHILD_ALLOWANCE,7089,333.35,1,8,91.3,0,0,77519.05,65.38,18,1.225,27.53,ilc_lvho14,2025-03-15
2012,PT,RO5,OTHER,1,CHILDCARE_SUBSIDY,8019,105.44,1,52,64.05,0,1,59763.93,32.98,22,0.834,23.66,lfso_14a,2026-01-09
2013,SI,CZ3,FOSTER,2,PARENTAL_LEAVE_BENEFIT,6719,649.77,0,26,55.58,0,0,48457.77,33.46,11,1.692,6.69,spr_fam_sum,2024-11-17
2014,AT,NL567,GUARDIANSHIP,3,BIRTH_GRANT,7324,434.41,0,14,18.29,1,1,20827.6,76.76,24,1.411,31.59,ilc_di07,2024-02-01
2015,HR,NL46,EXTENDED_FAMILY,4,HOUSING_TOPUP,6838,50.36,0,0,62.45,0,1,41831.45,43.35,21,2.126,9.33,spr_fam_ben,2025-07-23
2016,DK,DK485,SINGLE_PARENT,5,IN_WORK_FAMILY_BONUS,7851,361.25,1,40,72.55,1,0,58106.23,29.03,29,1.778,19.69,ilc_lvho14,2025-06-13
2017,FR,RO866,COUPLE_WITH_CHILDREN,0,CHILD_ALLOWANCE,7583,732.99,0,18,58.01,0,0,20017.07,61.13,29,2.098,24.66,lfso_14a,2024-10-28
2018,HU,PL6,OTHER,1,CHILDCARE_SUBSIDY,6768,722.97,1,8,87.8,0,0,38881.6,77.7,29,0.965,32.94,spr_fam_sum,2024-10-03
2019,LV,IE677,FOSTER,2,PARENTAL_LEAVE_BENEFIT,8073,433.18,0,52,12.82,1,0,69302.08,96.35,28,1.782,11.34,ilc_di07,2024-01-26
2020,MT,LT842,GUARDIANSHIP,3,BIRTH_GRANT,8093,362.87,0,26,37.51,1,0,20518.03,85.42,15,0.895,12.46,spr_fam_ben,2025-11-17
2021,PT,PL918,EXTENDED_FAMILY,4,HOUSING_TOPUP,6832,451.38,1,14,14.61,0,1,40745.44,53.96,23,1.405,9.25,ilc_lvho14,2024-12-05
2022,SI,HU861,SINGLE_PARENT,5,IN_WORK_FAMILY_BONUS,7344,209.96,0,0,81.35,1,0,61373.9,61.21,27,1.334,29.18,lfso_14a,2024-12-07
2023,AT,DE2,COUPLE_WITH_CHILDREN,0,CHILD_ALLOWANCE,7421,630.99,0,40,18.26,0,0,49022.5,77.45,33,2.046,21.45,spr_fam_sum,2025-03-12
2024,HR,DK143,OTHER,1,CHILDCARE_SUBSIDY,7842,456.89,1,18,26.55,0,1,17372.92,55.37,21,1.924,13.15,ilc_di07,2024-10-15
2025,DK,RO2,FOSTER,2,PARENTAL_LEAVE_BENEFIT,7806,499.68,0,8,19.82,0,1,33186.82,74.16,34,0.828,25.72,spr_fam_ben,2025-08-21
2026,FR,LT7,GUARDIANSHIP,3,BIRTH_GRANT,7074,524.27,0,52,25.84,1,0,25616.54,28.2,21,1.111,19.4,ilc_lvho14,2025-06-28
2010,HU,CY6,EXTENDED_FAMILY,4,HOUSING_TOPUP,7984,41.72,0,26,65.22,1,1,54742.19,68.78,35,1.502,32.22,lfso_14a,2025-09-04
2011,LV,SI21,SINGLE_PARENT,5,IN_WORK_FAMILY_BONUS,7375,482.28,0,14,58.95,0,1,32917.07,80.64,22,2.022,20.42,spr_fam_sum,2025-11-20
2012,MT,LU482,COUPLE_WITH_CHILDREN,0,CHILD_ALLOWANCE,7810,160.14,0,0,70.02,0,0,30934.2,43.14,35,1.344,31.35,ilc_di07,2024-06-23
2013,PT,PL9,OTHER,1,CHILDCARE_SUBSIDY,7699,170.35,1,40,40.48,0,0,62789.67,83.5,27,1.409,32.33,spr_fam_ben,2025-07-30
2014,SI,IE690,FOSTER,2,PARENTAL_LEAVE_BENEFIT,6694,190.3,0,18,50.39,0,0,36798.82,15.64,34,0.931,13.38,ilc_lvho14,2024-12-15
2015,AT,HR25,GUARDIANSHIP,3,BIRTH_GRANT,7801,363.86,0,8,88.47,1,0,71932.65,31.02,29,1.55,7.8,lfso_14a,2024-06-05
2016,HR,FR5,EXTENDED_FAMILY,4,HOUSING_TOPUP,7191,315.96,0,52,43.87,0,1,27807.6,42.72,30,1.191,6.88,spr_fam_sum,2025-12-20
2017,DK,HR181,SINGLE_PARENT,5,IN_WORK_FAMILY_BONUS,8146,210.5,0,26,12.15,0,0,56214.92,95.66,29,1.725,19.9,ilc_di07,2025-01-30
2018,FR,LU1,COUPLE_WITH_CHILDREN,0,CHILD_ALLOWANCE,7349,617.06,1,14,70.38,0,0,13249.73,75.71,38,1.629,33.58,spr_fam_ben,2026-02-15
2019,HU,IT303,OTHER,1,CHILDCARE_SUBSIDY,7061,215.72,1,0,91.09,0,0,32053.83,63.61,47,1.876,13.74,ilc_lvho14,2025-06-13
2020,LV,FI926,FOSTER,2,PARENTAL_LEAVE_BENEFIT,8110,388.89,0,40,20.96,0,0,30019.23,96.46,50,1.857,30.48,lfso_14a,2024-11-05
2021,MT,BE404,GUARDIANSHIP,3,BIRTH_GRANT,7224,702.52,1,18,34.17,1,0,46800.71,16.39,41,0.903,17.12,spr_fam_sum,2025-08-26
2022,PT,AT7,EXTENDED_FAMILY,4,HOUSING_TOPUP,7928,245.05,0,8,26.29,0,1,49669.13,49.26,35,1.892,27.98,ilc_di07,2024-02-07
2023,SI,FR475,SINGLE_PARENT,5,IN_WORK_FAMILY_BONUS,7540,334.38,0,52,35.91,0,0,76817.55,72.41,34,1.468,20.11,spr_fam_ben,2024-02-07
2024,AT,RO56,COUPLE_WITH_CHILDREN,0,CHILD_ALLOWANCE,7863,720.43,1,26,75.6,1,0,14433.18,79.62,51,2.175,17.43,ilc_lvho14,2024-03-12
2025,HR,DE182,OTHER,1,CHILDCARE_SUBSIDY,6869,625.4,1,14,42.73,0,1,48917.02,17.03,50,2.059,30.32,lfso_14a,2024-02-26
2026,DK,CZ59,FOSTER,2,PARENTAL_LEAVE_BENEFIT,8078,654.85,0,0,76.98,0,0,50402.75,71.18,49,1.644,32.66,spr_fam_sum,2025-02-07
2010,FR,LV790,GUARDIANSHIP,3,BIRTH_GRANT,8162,749.62,0,40,15.2,1,1,29922.29,52.61,43,1.179,7.62,ilc_di07,2024-11-21
2011,HU,CZ92,EXTENDED_FAMILY,4,HOUSING_TOPUP,6870,640.37,1,18,68.59,0,1,45055.87,39.87,52,1.176,14.15,spr_fam_ben,2026-01-05
2012,LV,MT882,SINGLE_PARENT,5,IN_WORK_FAMILY_BONUS,7859,183.96,0,8,64.4,0,0,61186.43,29.48,51,2.127,20.23,ilc_lvho14,2025-05-08
2013,MT,LU515,COUPLE_WITH_CHILDREN,0,CHILD_ALLOWANCE,6938,732.18,0,52,51.64,1,1,69610.9,43.35,60,0.92,7.86,lfso_14a,2025-03-14
2014,PT,RO71,OTHER,1,CHILDCARE_SUBSIDY,7489,302.45,1,26,68.23,0,0,68738.58,73.26,62,1.099,25.79,spr_fam_sum,2024-02-12
2015,SI,FR70,FOSTER,2,PARENTAL_LEAVE_BENEFIT,7547,44.62,0,14,29.38,0,0,66349.41,53.16,47,1.361,23.7,ilc_di07,2024-10-12
2016,AT,DK69,GUARDIANSHIP,3,BIRTH_GRANT,8178,160.14,0,0,21.11,1,0,36602.17,74.39,53,1.6,11.9,spr_fam_ben,2025-01-12
2017,HR,LU389,EXTENDED_FAMILY,4,HOUSING_TOPUP,7996,426.03,0,40,60.37,0,1,12768.33,80.42,64,1.353,10.73,ilc_lvho14,2024-11-18
2018,DK,FR19,SINGLE_PARENT,5,IN_WORK_FAMILY_BONUS,7624,269.21,0,18,49.48,0,0,76313.7,91.7,53,1.283,10.01,lfso_14a,2025-01-13
2019,FR,EE787,COUPLE_WITH_CHILDREN,0,CHILD_ALLOWANCE,8075,169.88,0,8,82.11,0,1,37492.08,25.78,63,0.915,12.88,spr_fam_sum,2024-10-10
2020,HU,LT851,OTHER,1,CHILDCARE_SUBSIDY,6736,302.38,1,52,17.39,0,1,79655.13,94.36,53,2.145,19.34,ilc_di07,2025-03-20
2021,LV,BG3,FOSTER,2,PARENTAL_LEAVE_BENEFIT,6938,368.23,0,26,51.76,0,0,16526.18,64.55,64,1.863,7.61,spr_fam_ben,2026-02-20
2022,MT,SI229,GUARDIANSHIP,3,BIRTH_GRANT,8029,165.62,1,14,57.68,1,0,70367.97,79.07,61,0.948,7.79,ilc_lvho14,2025-04-10
2023,PT,DK523,EXTENDED_FAMILY,4,HOUSING_TOPUP,8221,719.51,1,0,46.87,0,1,47951.97,81.96,66,1.872,24.65,lfso_14a,2025-09-11
2024,SI,RO69,SINGLE_PARENT,5,IN_WORK_FAMILY_BONUS,7561,401.4,1,40,88.8,0,0,62615.07,38.42,62,1.429,29.15,spr_fam_sum,2025-05-10
2025,AT,IE4,COUPLE_WITH_CHILDREN,0,CHILD_ALLOWANCE,7769,304.03,1,18,33.3,1,0,30816.63,73.42,71,1.791,26.78,ilc_di07,2025-01-24
2026,HR,PL612,OTHER,1,CHILDCARE_SUBSIDY,7645,451.36,1,8,28.55,1,0,34385.81,35.81,60,1.812,18.42,spr_fam_ben,2024-03-23
2010,DK,DK55,FOSTER,2,PARENTAL_LEAVE_BENEFIT,7787,229.89,0,52,27.63,0,0,72790.13,35.8,66,1.616,19.95,ilc_lvho14,2026-01-03
2011,FR,HR987,GUARDIANSHIP,3,BIRTH_GRANT,8162,596.03,0,26,68.89,1,0,78755.81,50.97,74,1.103,6.99,lfso_14a,2024-08-30
2012,HU,DK27,EXTENDED_FAMILY,4,HOUSING_TOPUP,6854,172.13,0,14,87.21,0,1,41254.34,40.33,76,2.042,7.09,spr_fam_sum,2024-10-08
2013,LV,CZ184,SINGLE_PARENT,5,IN_WORK_FAMILY_BONUS,6819,388.21,1,0,34.4,0,0,20562.66,88.23,61,1.198,29.96,ilc_di07,2024-11-28
2014,MT,SI759,COUPLE_WITH_CHILDREN,0,CHILD_ALLOWANCE,7687,777.43,1,40,36.76,1,0,29885.13,60.91,67,0.84,32.8,spr_fam_ben,2025-04-07
2015,PT,PT75,OTHER,1,CHILDCARE_SUBSIDY,7789,106.75,1,18,45.55,0,0,47231.44,25.34,63,0.933,28.84,ilc_lvho14,2024-11-02
2016,SI,EE913,FOSTER,2,PARENTAL_LEAVE_BENEFIT,8221,152.57,1,8,88.74,0,0,58068.52,61.23,66,1.885,25.65,lfso_14a,2026-01-27
2017,AT,ES190,GUARDIANSHIP,3,BIRTH_GRANT,7739,499.75,0,52,75.52,1,0,64789.01,43.59,69,1.803,21.75,spr_fam_sum,2025-03-27
2018,HR,LV2,EXTENDED_FAMILY,4,HOUSING_TOPUP,7710,515.09,0,26,24.81,0,1,22789.74,84.92,78,1.283,9.65,ilc_di07,2025-12-23
2019,DK,DK9,SINGLE_PARENT,5,IN_WORK_FAMILY_BONUS,7585,434.32,0,14,24.36,0,1,41231.03,54.99,66,1.351,30.43,spr_fam_ben,2025-11-19
2020,FR,DE32,COUPLE_WITH_CHILDREN,0,CHILD_ALLOWANCE,7933,108.37,0,0,27.73,0,0,47287.08,55.53,84,0.82,25.41,ilc_lvho14,2025-10-28
2021,HU,LU770,OTHER,1,CHILDCARE_SUBSIDY,7473,708.44,1,40,33.65,0,0,62057.53,84.25,75,1.391,13.89,lfso_14a,2024-02-13
2022,LV,IE953,FOSTER,2,PARENTAL_LEAVE_BENEFIT,6997,60.84,0,18,79.14,0,0,80036.87,49.32,74,1.282,31.81,spr_fam_sum,2025-05-11
2023,MT,LU9,GUARDIANSHIP,3,BIRTH_GRANT,7544,378.67,1,8,86.74,1,0,78678.51,43.31,77,1.471,6.02,ilc_di07,2025-07-11
2024,PT,SE984,EXTENDED_FAMILY,4,HOUSING_TOPUP,7518,93.96,0,52,13.09,0,1,72657.43,48.16,76,0.838,25.57,spr_fam_ben,2025-07-17
2025,SI,SI91,SINGLE_PARENT,5,IN_WORK_FAMILY_BONUS,6963,281.57,1,26,21.29,0,0,38026.44,82.24,80,0.992,33.94,ilc_lvho14,2024-12-23
2026,AT,ES90,COUPLE_WITH_CHILDREN,0,CHILD_ALLOWANCE,7217,660.43,0,14,67.74,0,0,70693.15,15.42,89,1.401,13.42,lfso_14a,2025-03-04
2010,HR,MT870,OTHER,1,CHILDCARE_SUBSIDY,7658,113.68,1,0,21.29,0,0,60829.87,83.02,80,1.239,31.94,spr_fam_sum,2025-11-21
2011,DK,RO8,FOSTER,2,PARENTAL_LEAVE_BENEFIT,7408,282.1,0,40,37.55,0,0,30911.24,91.43,89,1.205,13.0,ilc_di07,2025-05-30
2012,FR,NL78,GUARDIANSHIP,3,BIRTH_GRANT,6876,660.86,0,18,30.4,1,0,78616.28,54.39,85,1.286,13.51,spr_fam_ben,2024-05-10
2013,HU,RO467,EXTENDED_FAMILY,4,HOUSING_TOPUP,7247,595.07,0,8,88.88,0,1,59945.87,88.83,84,0.893,7.26,ilc_lvho14,2025-03-08
2014,LV,SE98,SINGLE_PARENT,5,IN_WORK_FAMILY_BONUS,7068,376.8,0,52,77.49,1,0,65679.82,21.58,84,1.323,30.98,lfso_14a,2025-11-16
2015,MT,NL82,COUPLE_WITH_CHILDREN,0,CHILD_ALLOWANCE,7647,497.2,0,26,36.83,0,0,56139.39,79.81,15,2.009,11.1,spr_fam_sum,2025-05-16
2016,PT,PT100,OTHER,1,CHILDCARE_SUBSIDY,7194,109.7,1,14,80.8,1,0,49370.72,85.95,19,1.252,7.69,ilc_di07,2025-01-28
2017,SI,BE225,FOSTER,2,PARENTAL_LEAVE_BENEFIT,6817,250.72,0,0,22.93,0,0,60362.21,56.88,16,1.971,17.29,spr_fam_ben,2025-04-24
2018,AT,SK965,GUARDIANSHIP,3,BIRTH_GRANT,7487,354.28,1,40,26.29,1,0,81771.75,48.96,23,1.132,21.51,ilc_lvho14,2024-06-04
