house_homeless_reference_year,house_homeless_country_iso2,house_homeless_region_nuts_code,house_homeless_measurement_method_code,house_homeless_total_count,house_homeless_sheltered_count,house_homeless_unsheltered_count,house_homeless_temporary_accommodation_count,house_homeless_youth_share_pct,house_homeless_women_share_pct,house_homeless_migrant_share_pct,house_homeless_duration_long_term_share_pct,house_homeless_health_needs_share_pct,house_homeless_housing_first_programme_flag,house_homeless_support_service_capacity,house_homeless_evictions_count,house_homeless_rent_arrears_share_pct,house_homeless_data_source,house_homeless_revision_round,house_homeless_data_extract_date
2018,CZ,PL42,SURVEY_ESTIMATE,101075,66105,29234,52335,8.85,32.18,28.35,27.55,48.99,1,112737,21723,18.02,FEANTSA_REPORTING,FLASH,2026-02-24
2019,HU,BG365,SERVICE_USE_ADMIN,63413,49571,8830,8312,19.87,15.96,30.11,28.46,50.05,1,26578,5018,4.19,NATIONAL_SOCIAL_SERVICE_ADMIN,FIRST,2024-01-09
2020,NL,CZ5,MODELLED_ESTIMATE,30418,20668,9681,6341,16.8,44.4,41.93,16.82,8.11,1,26572,12586,19.5,CITY_HOMELESSNESS_CENSUS,SECOND,2025-12-30
2021,SE,LV533,POINT_IN_TIME,25291,12946,8254,12532,10.89,44.24,39.16,36.95,37.96,1,23608,11745,2.09,SURVEY_ESTIMATE,BENCHMARK,2025-02-04
2022,DK,IT885,ADMIN_REGISTER,35470,23660,8615,9702,6.11,34.5,14.8,10.22,9.18,0,20404,2835,6.34,FEANTSA_REPORTING,FLASH,2026-02-16
2023,IE,PT359,SURVEY_ESTIMATE,38315,25786,13044,5774,6.19,24.05,20.41,48.96,33.92,0,15657,7369,11.93,NATIONAL_SOCIAL_SERVICE_ADMIN,FIRST,2025-01-21
2024,PL,HR19,SERVICE_USE_ADMIN,69104,51072,16058,11034,22.5,23.9,33.97,28.01,38.61,0,24986,2936,4.68,CITY_HOMELESSNESS_CENSUS,SECOND,2025-07-01
2025,AT,CZ1,MODELLED_ESTIMATE,4735,2975,1360,1465,7.54,12.58,15.27,22.01,12.78,1,3476,2497,5.14,SURVEY_ESTIMATE,BENCHMARK,2025-07-15
2006,EE,FR28,POINT_IN_TIME,31011,16648,10209,13811,23.84,32.49,26.61,48.64,24.34,0,23907,2738,6.08,FEANTSA_REPORTING,FLASH,2024-09-04
2007,IT,LU3,ADMIN_REGISTER,9090,6154,2233,1095,20.1,24.98,14.32,52.89,45.62,1,7592,6445,7.16,NATIONAL_SOCIAL_SERVICE_ADMIN,FIRST,2025-02-14
2008,PT,CY864,SURVEY_ESTIMATE,106245,59951,28575,32197,13.63,20.59,56.4,57.11,16.85,1,79148,1050,19.78,CITY_HOMELESSNESS_CENSUS,SECOND,2025-10-29
2009,BE,AT662,SERVICE_USE_ADMIN,28797,21057,7739,10030,20.89,26.1,21.55,15.14,28.17,0,31400,4560,14.14,SURVEY_ESTIMATE,BENCHMARK,2026-02-08
2010,FI,EE73,MODELLED_ESTIMATE,44154,34380,7784,11624,16.75,15.86,11.21,53.44,36.93,1,32406,15536,1.88,FEANTSA_REPORTING,FLASH,2024-11-16
2011,LV,PL73,POINT_IN_TIME,31736,22269,7007,8855,17.45,30.18,27.02,24.07,45.94,1,14015,329,18.75,NATIONAL_SOCIAL_SERVICE_ADMIN,FIRST,2024-07-10
2012,RO,LV61,ADMIN_REGISTER,51578,41687,6963,10857,21.12,36.47,38.68,27.43,36.43,1,48033,1942,3.44,CITY_HOMELESSNESS_CENSUS,SECOND,2024-02-03
2013,BG,LV729,SURVEY_ESTIMATE,6985,3149,3394,1838,6.36,26.37,36.95,33.84,49.79,1,7799,10902,4.7,SURVEY_ESTIMATE,BENCHMARK,2025-06-01
2014,FR,SK36,SERVICE_USE_ADMIN,23892,18406,4992,5537,18.2,30.88,10.16,25.26,37.71,0,11508,12985,12.73,FEANTSA_REPORTING,FLASH,2024-11-23
2015,LT,MT37,MODELLED_ESTIMATE,63714,38707,14559,13619,23.66,12.14,45.25,59.69,6.13,0,43156,1622,14.14,NATIONAL_SOCIAL_SERVICE_ADMIN,FIRST,2024-10-12
2016,SK,ES67,POINT_IN_TIME,33708,17700,10277,6704,23.19,19.29,32.44,57.17,37.72,1,14067,994,5.44,CITY_HOMELESSNESS_CENSUS,SECOND,2024-10-29
2017,HR,FR4,ADMIN_REGISTER,50133,42050,5969,23777,11.64,25.39,36.57,20.6,29.24,0,37400,12406,17.0,SURVEY_ESTIMATE,BENCHMARK,2025-01-13
2018,DE,MT773,SURVEY_ESTIMATE,37982,21436,11913,19377,7.72,43.81,18.77,33.33,14.91,1,37041,22384,6.37,FEANTSA_REPORTING,FLASH,2024-04-19
2019,LU,BG1,SERVICE_USE_ADMIN,53180,30255,23527,18582,22.18,19.19,45.95,34.71,14.06,0,52019,21450,8.92,NATIONAL_SOCIAL_SERVICE_ADMIN,FIRST,2025-02-24
2020,SI,DE7,MODELLED_ESTIMATE,11080,5999,4444,6026,25.44,16.52,27.38,18.76,37.17,0,7295,11229,8.57,CITY_HOMELESSNESS_CENSUS,SECOND,2024-12-21
2021,CY,IE8,POINT_IN_TIME,17408,13519,3660,5076,7.32,24.74,53.02,46.92,38.42,0,13901,1113,12.93,SURVEY_ESTIMATE,BENCHMARK,2025-12-03
2022,GR,SE59,ADMIN_REGISTER,40421,33730,5380,4095,11.87,20.57,48.14,47.93,8.84,0,46424,6005,19.98,FEANTSA_REPORTING,FLASH,2025-11-26
2023,MT,HR51,SURVEY_ESTIMATE,1451,988,276,483,14.6,46.59,16.93,44.76,26.1,1,1465,5062,9.31,NATIONAL_SOCIAL_SERVICE_ADMIN,FIRST,2025-05-30
2024,ES,PT53,SERVICE_USE_ADMIN,12588,9347,3058,3478,19.16,12.88,43.22,35.29,45.17,0,12110,18939,18.63,CITY_HOMELESSNESS_CENSUS,SECOND,2025-08-23
2025,CZ,PT125,MODELLED_ESTIMATE,22672,11983,7719,8675,19.52,18.11,35.86,55.4,44.65,0,23706,8208,20.4,SURVEY_ESTIMATE,BENCHMARK,2024-07-10
2006,HU,IE80,POINT_IN_TIME,52597,38283,12555,19647,13.48,29.58,53.56,20.11,42.92,1,23046,2792,16.05,FEANTSA_REPORTING,FLASH,2026-02-24
2007,NL,BG9,ADMIN_REGISTER,62801,53930,8524,12334,8.78,14.71,36.73,34.98,39.83,1,28490,5437,16.37,NATIONAL_SOCIAL_SERVICE_ADMIN,FIRST,2024-07-26
2008,SE,HR844,SURVEY_ESTIMATE,65321,47773,13154,9855,13.89,37.02,37.48,31.64,42.84,1,49562,3324,3.87,CITY_HOMELESSNESS_CENSUS,SECOND,2025-04-25
2009,DK,DK95,SERVICE_USE_ADMIN,11701,7492,4263,2696,25.83,13.4,40.62,25.22,25.62,1,11760,16407,5.07,SURVEY_ESTIMATE,BENCHMARK,2024-06-30
2010,IE,EE6,MODELLED_ESTIMATE,25086,11607,10490,6537,7.28,21.25,18.32,48.49,16.01,0,20639,1401,8.65,FEANTSA_REPORTING,FLASH,2024-04-25
2011,PL,BE6,POINT_IN_TIME,78064,50241,22394,27456,24.52,18.71,52.62,46.55,49.94,0,49669,18705,4.45,NATIONAL_SOCIAL_SERVICE_ADMIN,FIRST,2024-04-05
2012,AT,NL89,ADMIN_REGISTER,28807,14483,13006,8483,11.8,35.8,28.59,56.09,12.11,1,20483,15291,10.63,CITY_HOMELESSNESS_CENSUS,SECOND,2025-07-17
2013,EE,BE542,SURVEY_ESTIMATE,78035,53854,22144,26816,26.08,46.89,14.43,44.34,49.47,1,28552,5656,15.71,SURVEY_ESTIMATE,BENCHMARK,2024-10-01
2014,IT,BG76,SERVICE_USE_ADMIN,66502,46446,18717,24343,10.37,20.71,53.13,24.67,8.59,1,54579,16240,3.66,FEANTSA_REPORTING,FLASH,2024-06-20
2015,PT,FI7,MODELLED_ESTIMATE,52172,37582,14673,19386,14.0,29.82,22.79,47.22,49.0,0,40016,13594,2.85,NATIONAL_SOCIAL_SERVICE_ADMIN,FIRST,2025-06-19
2016,BE,PL21,POINT_IN_TIME,19954,13523,6517,2967,19.65,18.45,15.33,34.42,48.47,1,21411,13509,21.23,CITY_HOMELESSNESS_CENSUS,SECOND,2024-01-19
2017,FI,BE423,ADMIN_REGISTER,63388,37477,24865,27332,7.06,25.22,14.75,39.77,9.2,0,29013,6198,17.01,SURVEY_ESTIMATE,BENCHMARK,2025-04-10
2018,LV,PT607,SURVEY_ESTIMATE,42866,35338,7634,17368,21.4,36.85,49.03,61.08,37.71,0,44929,12902,19.09,FEANTSA_REPORTING,FLASH,2024-12-08
2019,RO,DK32,SERVICE_USE_ADMIN,22275,12933,8184,5057,24.12,42.62,47.53,42.18,11.09,1,10386,18357,4.27,NATIONAL_SOCIAL_SERVICE_ADMIN,FIRST,2026-01-07
2020,BG,IT23,MODELLED_ESTIMATE,56744,43246,11791,18222,11.39,24.84,12.97,14.51,51.56,0,33108,15424,21.83,CITY_HOMELESSNESS_CENSUS,SECOND,2024-07-14
2021,FR,DK195,POINT_IN_TIME,33615,21684,11123,10708,16.38,12.43,37.22,25.93,32.75,1,21452,2687,10.78,SURVEY_ESTIMATE,BENCHMARK,2025-06-07
2022,LT,RO478,ADMIN_REGISTER,29000,17584,11096,8499,27.59,31.72,16.41,32.42,11.72,1,30693,7875,2.66,FEANTSA_REPORTING,FLASH,2024-11-19
2023,SK,RO375,SURVEY_ESTIMATE,33908,19824,10502,9210,18.65,22.1,23.14,48.62,32.3,0,18692,14771,9.29,NATIONAL_SOCIAL_SERVICE_ADMIN,FIRST,2024-11-30
2024,HR,AT677,SERVICE_USE_ADMIN,43443,25237,17275,9161,27.94,24.83,42.66,51.49,22.98,0,37365,8970,7.14,CITY_HOMELESSNESS_CENSUS,SECOND,2024-10-13
2025,DE,LV58,MODELLED_ESTIMATE,9160,7582,1005,2485,13.83,38.34,55.22,16.69,45.21,0,4599,1593,14.72,SURVEY_ESTIMATE,BENCHMARK,2025-02-26
2006,LU,FR90,POINT_IN_TIME,2597,1948,452,893,16.6,41.82,13.38,18.44,34.75,1,1329,6812,11.38,FEANTSA_REPORTING,FLASH,2025-08-29
2007,SI,SI409,ADMIN_REGISTER,14817,7107,7864,6199,18.74,13.81,35.53,54.87,12.44,0,13068,10909,15.33,NATIONAL_SOCIAL_SERVICE_ADMIN,FIRST,2025-05-19
2008,CY,ES706,SURVEY_ESTIMATE,28655,16890,8090,15406,7.35,36.5,29.36,43.97,24.09,0,18565,5491,4.43,CITY_HOMELESSNESS_CENSUS,SECOND,2024-01-13
2009,GR,RO189,SERVICE_USE_ADMIN,37571,26336,10263,4173,24.07,21.93,23.3,38.6,40.93,0,38511,4651,21.69,SURVEY_ESTIMATE,BENCHMARK,2025-03-23
2010,MT,NL1,MODELLED_ESTIMATE,68440,31434,28039,13683,7.89,21.53,36.56,30.43,45.15,1,72332,14543,16.8,FEANTSA_REPORTING,FLASH,2025-01-29
2011,ES,FI71,POINT_IN_TIME,11788,8371,2521,5577,13.01,28.12,17.75,55.92,8.78,0,7161,19526,7.75,NATIONAL_SOCIAL_SERVICE_ADMIN,FIRST,2024-03-22
2012,CZ,IT917,ADMIN_REGISTER,89853,44019,38558,48828,25.45,20.37,16.35,37.53,10.81,0,97358,4149,8.06,CITY_HOMELESSNESS_CENSUS,SECOND,2024-01-15
2013,HU,LU33,SURVEY_ESTIMATE,4070,3340,467,1445,23.27,45.25,52.69,21.28,25.5,0,2057,10440,12.11,SURVEY_ESTIMATE,BENCHMARK,2024-03-28
2014,NL,DK71,SERVICE_USE_ADMIN,49726,32726,15286,13828,26.94,21.88,19.79,56.62,17.9,0,47587,1073,3.7,FEANTSA_REPORTING,FLASH,2024-06-12
2015,SE,SK85,MODELLED_ESTIMATE,32821,16267,10397,14078,14.32,14.5,20.61,29.62,23.16,0,27351,3690,4.26,NATIONAL_SOCIAL_SERVICE_ADMIN,FIRST,2025-04-11
2016,DK,HU78,POINT_IN_TIME,12197,6290,4288,1640,17.62,21.95,37.3,59.17,6.27,1,9485,4846,19.78,CITY_HOMELESSNESS_CENSUS,SECOND,2024-06-05
2017,IE,FI81,ADMIN_REGISTER,62819,33232,29300,14287,12.11,12.64,11.92,54.27,18.76,0,59547,4658,1.15,SURVEY_ESTIMATE,BENCHMARK,2026-01-27
2018,PL,BG950,SURVEY_ESTIMATE,57052,42137,14820,25271,24.64,12.42,23.38,57.52,6.09,0,29479,6877,19.55,FEANTSA_REPORTING,FLASH,2025-02-09
2019,AT,MT485,SERVICE_USE_ADMIN,56714,30158,19909,25288,18.47,39.26,20.08,52.05,23.33,1,55982,803,1.66,NATIONAL_SOCIAL_SERVICE_ADMIN,FIRST,2025-10-28
2020,EE,PT697,MODELLED_ESTIMATE,14207,11135,2101,6139,19.68,22.97,47.84,15.33,16.84,1,10709,14347,7.28,CITY_HOMELESSNESS_CENSUS,SECOND,2024-04-10
2021,IT,IT5,POINT_IN_TIME,32772,22003,7160,6478,15.19,37.45,28.09,10.05,23.2,1,19909,9155,9.74,SURVEY_ESTIMATE,BENCHMARK,2026-01-26
2022,PT,DE77,ADMIN_REGISTER,44513,38505,3547,19980,6.71,38.49,48.96,21.29,6.19,1,18451,468,4.45,FEANTSA_REPORTING,FLASH,2026-01-29
2023,BE,LU709,SURVEY_ESTIMATE,47060,40001,4223,24967,7.96,47.55,50.11,19.64,41.14,1,20305,4463,17.14,NATIONAL_SOCIAL_SERVICE_ADMIN,FIRST,2025-05-19
2024,FI,LV9,SERVICE_USE_ADMIN,46397,23710,17811,9438,25.09,23.88,8.72,28.97,39.77,1,51894,1222,21.15,CITY_HOMELESSNESS_CENSUS,SECOND,2024-07-03
2025,LV,CZ23,MODELLED_ESTIMATE,53364,37223,13730,21340,18.84,13.23,38.87,29.97,25.64,0,57216,7119,18.61,SURVEY_ESTIMATE,BENCHMARK,2026-01-16
2006,RO,IT950,POINT_IN_TIME,45866,26566,15993,9702,7.64,33.76,24.56,49.36,29.01,0,51165,78,2.03,FEANTSA_REPORTING,FLASH,2024-02-12
2007,BG,HU100,ADMIN_REGISTER,10351,7501,1616,1799,11.08,33.99,13.57,60.45,38.4,0,4713,16903,15.38,NATIONAL_SOCIAL_SERVICE_ADMIN,FIRST,2025-08-30
2008,FR,CY555,SURVEY_ESTIMATE,44869,36273,5788,8568,14.51,25.52,26.88,59.9,36.86,0,32143,11437,17.34,CITY_HOMELESSNESS_CENSUS,SECOND,2024-07-31
2009,LT,EE1,SERVICE_USE_ADMIN,99703,52923,45734,19170,13.92,32.82,24.55,15.75,23.35,0,100399,8276,6.69,SURVEY_ESTIMATE,BENCHMARK,2025-08-03
2010,SK,LT285,MODELLED_ESTIMATE,63992,33952,17661,32544,8.67,14.06,45.33,32.89,8.84,0,39426,6999,11.18,FEANTSA_REPORTING,FLASH,2024-09-03
2011,HR,FR89,POINT_IN_TIME,58691,34079,23393,17852,9.61,46.42,18.97,43.1,27.08,1,41793,10570,18.15,NATIONAL_SOCIAL_SERVICE_ADMIN,FIRST,2024-12-15
2012,DE,FI837,ADMIN_REGISTER,70718,31841,32569,17154,6.78,47.07,27.6,43.45,51.28,0,66300,4046,6.14,CITY_HOMELESSNESS_CENSUS,SECOND,2025-05-04
2013,LU,EE163,SURVEY_ESTIMATE,47601,21547,20720,5608,21.42,39.89,16.46,53.37,38.64,1,27740,9531,6.27,SURVEY_ESTIMATE,BENCHMARK,2025-10-23
2014,SI,BG52,SERVICE_USE_ADMIN,47164,37655,8787,10127,13.31,24.9,35.15,26.8,27.42,1,36382,11538,20.35,FEANTSA_REPORTING,FLASH,2025-08-12
2015,CY,IT27,MODELLED_ESTIMATE,14881,8461,4250,5486,5.45,14.09,40.44,25.59,14.8,1,7939,11319,12.97,NATIONAL_SOCIAL_SERVICE_ADMIN,FIRST,2024-11-13
2016,GR,EE692,POINT_IN_TIME,44904,38151,6380,10215,13.06,14.59,19.65,58.84,33.92,1,25104,5440,18.62,CITY_HOMELESSNESS_CENSUS,SECOND,2025-02-15
2017,MT,RO59,ADMIN_REGISTER,40927,29586,10735,8097,12.13,22.81,26.13,43.33,31.58,1,42529,17143,19.57,SURVEY_ESTIMATE,BENCHMARK,2025-07-22
2018,ES,LU99,SURVEY_ESTIMATE,69379,46735,16603,34441,9.22,22.15,50.05,42.3,14.16,0,49465,925,12.62,FEANTSA_REPORTING,FLASH,2024-05-11
2019,CZ,CZ3,SERVICE_USE_ADMIN,48109,26857,20761,16547,21.39,36.99,21.06,15.54,10.8,1,51420,11942,6.05,NATIONAL_SOCIAL_SERVICE_ADMIN,FIRST,2025-01-16
2020,HU,AT97,MODELLED_ESTIMATE,18610,15189,3293,7116,20.27,26.02,15.22,58.49,21.24,1,18894,1150,8.55,CITY_HOMELESSNESS_CENSUS,SECOND,2025-10-22
2021,NL,FI64,POINT_IN_TIME,87985,47126,39309,12738,16.69,18.42,12.07,38.69,12.01,1,48513,10146,8.14,SURVEY_ESTIMATE,BENCHMARK,2025-03-07
2022,SE,ES934,ADMIN_REGISTER,24131,13986,8486,12359,15.8,23.05,29.97,52.12,41.19,1,26759,5236,4.57,FEANTSA_REPORTING,FLASH,2024-06-26
2023,DK,IE252,SURVEY_ESTIMATE,70527,43631,18456,31270,22.67,23.97,51.93,24.38,30.36,1,50426,3651,8.36,NATIONAL_SOCIAL_SERVICE_ADMIN,FIRST,2024-12-26
2024,IE,SI96,SERVICE_USE_ADMIN,11066,9100,1547,5493,15.18,17.0,41.27,28.23,10.66,1,10428,7579,7.64,CITY_HOMELESSNESS_CENSUS,SECOND,2025-11-06
2025,PL,ES73,MODELLED_ESTIMATE,37811,29694,7557,5836,18.97,37.45,42.27,58.92,46.56,0,18142,15170,16.32,SURVEY_ESTIMATE,BENCHMARK,2026-01-09
2006,AT,RO77,POINT_IN_TIME,30816,15246,9413,7151,23.59,28.57,25.54,49.84,19.79,0,34829,18356,19.27,FEANTSA_REPORTING,FLASH,2026-01-12
2007,EE,GR4,ADMIN_REGISTER,61915,44090,16004,26007,24.48,23.25,43.3,23.17,15.41,1,22837,5045,0.97,NATIONAL_SOCIAL_SERVICE_ADMIN,FIRST,2025-05-26
2008,IT,SE43,SURVEY_ESTIMATE,68080,50765,10124,11667,20.87,14.07,36.91,25.84,24.78,1,59806,7962,7.43,CITY_HOMELESSNESS_CENSUS,SECOND,2024-01-25
2009,PT,EE96,SERVICE_USE_ADMIN,4640,3768,616,623,6.71,39.28,28.01,57.74,31.2,1,5257,23150,18.29,SURVEY_ESTIMATE,BENCHMARK,2026-01-07
2010,BE,CY783,MODELLED_ESTIMATE,85213,58962,19977,40822,7.5,30.17,42.54,32.14,49.88,0,43280,5298,13.84,FEANTSA_REPORTING,FLASH,2024-08-10
2011,FI,HR76,POINT_IN_TIME,64091,53585,10968,7579,10.38,39.04,15.29,27.67,16.75,1,31824,14493,19.99,NATIONAL_SOCIAL_SERVICE_ADMIN,FIRST,2025-01-21
2012,LV,LU595,ADMIN_REGISTER,18161,8775,8994,8575,11.25,39.74,38.78,57.06,12.42,0,13145,14243,12.04,CITY_HOMELESSNESS_CENSUS,SECOND,2025-05-26
2013,RO,RO9,SURVEY_ESTIMATE,19367,12674,5414,9599,8.54,33.81,11.39,15.58,13.62,1,13286,6281,10.31,SURVEY_ESTIMATE,BENCHMARK,2025-02-20
2014,BG,LT13,SERVICE_USE_ADMIN,2762,2264,305,573,6.86,29.78,52.08,33.46,24.07,1,2542,763,13.73,FEANTSA_REPORTING,FLASH,2024-06-26
2015,FR,RO486,MODELLED_ESTIMATE,46298,28432,13976,22203,20.8,27.31,52.87,26.84,49.57,1,50591,18069,5.18,NATIONAL_SOCIAL_SERVICE_ADMIN,FIRST,2024-07-09
2016,LT,PL168,POINT_IN_TIME,91300,61755,26705,50055,21.85,45.05,41.02,36.56,46.53,1,76678,7858,14.17,CITY_HOMELESSNESS_CENSUS,SECOND,2025-07-14
2017,SK,FR794,ADMIN_REGISTER,2518,1725,552,513,23.1,29.94,35.42,15.63,18.62,0,2049,1256,12.58,SURVEY_ESTIMATE,BENCHMARK,2025-07-13
2018,HR,SE66,SURVEY_ESTIMATE,106068,75495,23631,50441,8.0,19.63,24.32,50.99,49.08,1,91238,8757,8.07,FEANTSA_REPORTING,FLASH,2026-01-10
2019,DE,DK642,SERVICE_USE_ADMIN,42860,30125,7381,12523,16.43,29.8,12.13,34.08,25.66,0,37049,2655,15.6,NATIONAL_SOCIAL_SERVICE_ADMIN,FIRST,2025-05-12
2020,LU,RO534,MODELLED_ESTIMATE,60513,35838,23506,20537,9.0,23.68,45.07,37.88,50.84,0,30883,4108,11.7,CITY_HOMELESSNESS_CENSUS,SECOND,2025-09-20
2021,SI,BG32,POINT_IN_TIME,29383,21176,8469,12235,8.0,15.76,28.32,31.14,37.19,1,31196,9050,21.44,SURVEY_ESTIMATE,BENCHMARK,2024-01-16
2022,CY,CY31,ADMIN_REGISTER,38342,23246,12339,11718,19.22,12.59,40.5,10.2,20.71,1,20053,1981,3.43,FEANTSA_REPORTING,FLASH,2024-11-30
2023,GR,GR778,SURVEY_ESTIMATE,12391,10613,1716,6263,22.98,46.84,29.26,55.83,30.8,1,10175,3786,15.43,NATIONAL_SOCIAL_SERVICE_ADMIN,FIRST,2024-08-05
2024,MT,LU468,SERVICE_USE_ADMIN,21840,10839,9941,4566,12.15,40.81,20.04,10.75,27.98,0,12763,6109,6.26,CITY_HOMELESSNESS_CENSUS,SECOND,2026-02-10
2025,ES,DK727,MODELLED_ESTIMATE,90859,75182,12721,19072,14.74,40.07,50.72,16.24,36.96,1,57369,6821,9.02,SURVEY_ESTIMATE,BENCHMARK,2024-03-08
2006,CZ,CZ453,POINT_IN_TIME,10105,6844,3219,4951,21.62,21.4,51.48,19.21,14.93,0,8889,11169,11.15,FEANTSA_REPORTING,FLASH,2024-06-20
2007,HU,PT76,ADMIN_REGISTER,57576,49284,8430,27413,17.21,41.21,33.46,30.81,19.91,0,56826,11839,2.14,NATIONAL_SOCIAL_SERVICE_ADMIN,FIRST,2025-03-19
2008,NL,DK936,SURVEY_ESTIMATE,88219,77265,9282,45180,20.22,15.81,41.09,48.72,38.17,0,97748,10533,13.82,CITY_HOMELESSNESS_CENSUS,SECOND,2024-12-12
2009,SE,CY653,SERVICE_USE_ADMIN,4186,2296,1075,1240,15.02,41.64,45.71,44.76,39.21,1,4111,18365,9.43,SURVEY_ESTIMATE,BENCHMARK,2025-01-16
2010,DK,BG93,MODELLED_ESTIMATE,95050,44587,35536,10976,7.15,22.64,36.69,36.99,18.93,0,87277,7728,3.25,FEANTSA_REPORTING,FLASH,2026-01-31
2011,IE,PT22,POINT_IN_TIME,42559,23947,19264,17811,17.52,24.09,50.44,37.62,25.99,0,18607,12559,3.7,NATIONAL_SOCIAL_SERVICE_ADMIN,FIRST,2026-02-06
2012,PL,ES916,ADMIN_REGISTER,61975,32518,28236,29585,11.69,33.13,36.15,11.63,25.06,0,63987,10582,3.81,CITY_HOMELESSNESS_CENSUS,SECOND,2025-09-16
2013,AT,DE330,SURVEY_ESTIMATE,77789,47581,30357,25968,11.73,45.86,41.14,11.13,46.24,1,38988,11757,5.69,SURVEY_ESTIMATE,BENCHMARK,2024-11-14
2014,EE,LU762,SERVICE_USE_ADMIN,78832,68911,7448,25489,21.9,37.11,43.4,41.29,39.28,1,55504,15407,9.54,FEANTSA_REPORTING,FLASH,2025-03-01
2015,IT,BE281,MODELLED_ESTIMATE,16712,12834,4001,2356,26.56,35.87,49.65,22.74,51.4,1,7189,3862,15.6,NATIONAL_SOCIAL_SERVICE_ADMIN,FIRST,2025-07-27
2016,PT,FI898,POINT_IN_TIME,13993,12203,1477,5110,11.46,39.74,27.23,24.68,47.84,0,7008,3912,17.98,CITY_HOMELESSNESS_CENSUS,SECOND,2024-05-23
2017,BE,LV377,ADMIN_REGISTER,304,157,103,74,13.32,22.36,50.39,54.56,24.03,1,131,4167,4.77,SURVEY_ESTIMATE,BENCHMARK,2025-07-02
2018,FI,NL849,SURVEY_ESTIMATE,61362,52141,5242,31775,18.37,17.98,33.68,37.9,42.86,1,47392,20622,3.49,FEANTSA_REPORTING,FLASH,2024-08-19
2019,LV,AT47,SERVICE_USE_ADMIN,22160,13222,6482,11729,20.75,31.04,14.12,36.76,9.18,1,7767,10626,21.93,NATIONAL_SOCIAL_SERVICE_ADMIN,FIRST,2025-05-19
2020,RO,CY19,MODELLED_ESTIMATE,37250,27427,6977,16412,12.24,29.5,31.49,36.74,10.94,0,14771,7877,5.62,CITY_HOMELESSNESS_CENSUS,SECOND,2024-12-21
2021,BG,AT3,POINT_IN_TIME,81848,54871,25804,36243,12.87,20.83,52.44,38.8,25.84,0,64026,2301,10.23,SURVEY_ESTIMATE,BENCHMARK,2025-01-20
2022,FR,AT5,ADMIN_REGISTER,44417,35106,6714,7351,12.05,40.87,9.8,34.69,19.75,0,17120,5233,21.41,FEANTSA_REPORTING,FLASH,2024-03-02
2023,LT,ES121,SURVEY_ESTIMATE,36597,25225,9202,13336,18.19,26.33,13.44,56.68,14.7,0,37443,4463,5.72,NATIONAL_SOCIAL_SERVICE_ADMIN,FIRST,2025-09-15
2024,SK,GR5,SERVICE_USE_ADMIN,93372,56795,22685,48484,12.99,18.11,51.54,40.71,25.06,0,100907,12874,11.97,CITY_HOMELESSNESS_CENSUS,SECOND,2025-08-08
2025,HR,BE505,MODELLED_ESTIMATE,50259,23598,26395,6228,19.71,27.59,18.8,31.04,25.06,0,43952,4742,7.86,SURVEY_ESTIMATE,BENCHMARK,2024-03-29
2006,DE,CY531,POINT_IN_TIME,21745,13179,8385,11333,18.75,26.82,57.26,45.95,26.84,0,19026,7937,13.36,FEANTSA_REPORTING,FLASH,2025-04-10
2007,LU,IT454,ADMIN_REGISTER,41870,20734,20852,5074,22.73,41.14,36.79,56.94,30.25,1,39774,13052,2.62,NATIONAL_SOCIAL_SERVICE_ADMIN,FIRST,2024-06-28
2008,SI,FR8,SURVEY_ESTIMATE,45961,36611,6569,13660,26.35,29.03,15.5,45.99,25.36,0,16608,5186,15.49,CITY_HOMELESSNESS_CENSUS,SECOND,2025-02-10
2009,CY,NL6,SERVICE_USE_ADMIN,30290,22162,7278,4579,17.19,31.23,27.74,23.55,35.78,1,25508,6863,5.11,SURVEY_ESTIMATE,BENCHMARK,2024-12-09
2010,GR,RO893,MODELLED_ESTIMATE,10431,9170,773,3237,17.8,40.95,12.81,12.91,45.43,0,8581,23275,3.15,FEANTSA_REPORTING,FLASH,2024-02-19
2011,MT,AT149,POINT_IN_TIME,435,216,198,71,14.67,44.62,34.51,45.71,46.17,0,328,5884,13.38,NATIONAL_SOCIAL_SERVICE_ADMIN,FIRST,2024-02-02
2012,ES,PL4,ADMIN_REGISTER,111403,63904,42058,25631,15.8,30.45,19.09,48.87,50.61,0,100146,15075,3.63,CITY_HOMELESSNESS_CENSUS,SECOND,2024-11-05
2013,CZ,RO40,SURVEY_ESTIMATE,16631,7867,5341,8441,24.28,32.97,43.9,29.25,44.38,1,17515,5643,1.89,SURVEY_ESTIMATE,BENCHMARK,2024-03-17
2014,HU,SI163,SERVICE_USE_ADMIN,40455,21302,14552,6040,13.27,33.62,28.74,51.58,30.32,0,19586,15665,16.36,FEANTSA_REPORTING,FLASH,2024-11-04
2015,NL,AT463,MODELLED_ESTIMATE,114233,67627,27690,20788,22.48,46.68,36.31,50.51,40.03,0,93651,1773,9.04,NATIONAL_SOCIAL_SERVICE_ADMIN,FIRST,2024-08-18
2016,SE,DK531,POINT_IN_TIME,76241,47977,19047,16618,21.83,18.6,16.32,45.26,47.86,1,75484,17827,20.96,CITY_HOMELESSNESS_CENSUS,SECOND,2026-02-01
