energy_price_rate_effective_date,energy_price_utility_id,energy_price_tariff_code,energy_price_customer_class,energy_price_fixed_charge_inr,energy_price_energy_charge_cents_kwh,energy_price_demand_charge_inr_kw,energy_price_fuel_adjustment_cents_kwh,energy_price_riders_surcharges_inr,energy_price_bill_amount_avg_inr,energy_price_bill_amount_p95_inr,energy_price_arrears_rate_pct,energy_price_disconnection_rate_pct,energy_price_reconnection_rate_pct,energy_price_payment_plan_enrollment,energy_price_assistance_program_uptake,energy_price_net_metering_credit_rate,energy_price_time_variant_pricing_flag,energy_price_low_income_discount_flag,energy_price_regulatory_docket_id
2022-11-03,DISCOMNE03,TEMP,residential,255.3,74.38,127.78,19.768,176.0,19083.3,54418.55,6.7,0.7,0.7,21468,0.315,1.706,0,1,ERC202211-00500
2019-10-03,DISCOMNE01,EV1,industrial,64.73,99.204,388.68,23.743,159.1,9360.44,14592.4,6.3,0.85,0.69,95869,0.349,1.577,0,1,ERC201910-00501
2023-12-23,DISCOMWR02,TEMP,industrial,416.91,39.11,557.17,8.152,236.44,4632.5,11509.95,7.75,1.85,1.76,116226,0.146,4.252,1,1,ERC202312-00502
2023-01-08,DISCOMSR02,HT2,residential,132.45,97.288,343.75,18.092,149.22,7620.87,21550.53,9.36,0.0,0.0,106862,0.52,6.135,0,1,ERC202301-00503
2021-09-14,DISCOMWR03,EV1,agriculture,353.04,82.752,463.97,19.303,82.96,5413.76,8741.78,8.06,1.99,2.23,79858,0.186,8.484,0,1,ERC202109-00504
2024-07-13,DISCOMER04,TEMP,industrial,274.75,109.556,165.44,1.322,37.06,17498.64,49118.69,2.12,0.49,0.44,26550,0.263,0.871,0,1,ERC202407-00505
2020-01-20,DISCOMNE03,TEMP,residential,114.15,53.866,6.22,1.767,80.82,16348.13,36855.15,10.15,0.45,0.28,49983,0.322,7.471,1,1,ERC202001-00506
2020-06-14,DISCOMNE05,TEMP,industrial,206.96,110.454,607.33,7.566,149.57,13558.61,36846.37,5.36,0.72,0.84,62251,0.113,3.48,0,1,ERC202006-00507
2024-12-04,DISCOMNR03,HT2,agriculture,446.7,78.465,348.63,0.174,267.68,24332.6,50959.25,5.74,1.24,0.94,11924,0.062,4.893,0,1,ERC202412-00508
2023-07-22,DISCOMER06,GOV,agriculture,430.73,37.166,49.25,8.386,221.76,15670.11,26141.5,7.44,0.14,0.14,65664,0.002,8.362,1,0,ERC202307-00509
2025-03-10,DISCOMSR06,AG1,agriculture,168.84,77.515,376.47,13.681,263.68,17801.97,34195.49,8.11,0.04,0.04,17635,0.0,7.056,1,0,ERC202503-00510
2020-11-14,DISCOMER02,EV1,residential,444.91,111.049,647.76,33.176,277.39,16425.74,29976.05,7.53,1.48,1.14,49829,0.336,4.689,1,1,ERC202011-00511
2019-06-30,DISCOMER04,EV1,residential,167.95,109.379,54.22,19.377,182.95,6234.2,13347.02,7.42,0.5,0.48,115496,0.232,3.974,1,0,ERC201906-00512
2022-09-10,DISCOMNR03,AG1,industrial,283.3,28.307,511.26,32.131,162.35,11003.79,20525.48,3.53,0.7,0.54,37595,0.186,3.303,0,1,ERC202209-00513
2019-09-14,DISCOMNR02,AG1,agriculture,60.89,104.969,113.75,25.699,50.71,15962.81,30845.08,1.43,1.1,0.98,34512,0.303,1.95,1,0,ERC201909-00514
2022-11-30,DISCOMNR03,GOV,residential,47.12,73.859,422.66,33.234,86.36,970.51,2214.27,3.06,1.63,1.65,78472,0.39,5.995,0,0,ERC202211-00515
2023-03-22,DISCOMNR01,HT1,residential,336.93,65.723,223.35,34.909,199.27,18489.59,53952.86,10.76,0.45,0.47,10994,0.21,6.501,1,1,ERC202303-00516
2022-08-22,DISCOMER05,LT2,residential,369.15,63.181,624.86,11.237,229.42,6325.34,8857.13,14.98,0.55,0.54,30998,0.332,5.95,0,0,ERC202208-00517
2021-06-03,DISCOMNR02,LT2,residential,62.01,30.209,423.82,21.863,161.19,6157.97,16402.83,6.62,0.76,0.76,73507,0.325,3.826,1,1,ERC202106-00518
2023-07-28,DISCOMSR01,LT2,commercial,302.76,50.784,30.76,7.076,265.89,10013.63,27844.02,9.82,1.13,1.03,86771,0.198,2.185,0,1,ERC202307-00519
2019-08-15,DISCOMNE06,LT2,agriculture,305.07,26.527,91.73,14.949,299.85,23747.99,58236.78,6.35,0.68,0.64,51372,0.314,0.284,1,0,ERC201908-00520
2019-07-16,DISCOMNE03,LT1A,agriculture,353.75,80.952,560.53,23.311,223.62,1184.11,3537.08,2.93,1.71,1.99,81591,0.56,6.286,0,0,ERC201907-00521
2023-01-16,DISCOMER05,AG1,industrial,249.79,27.02,306.54,6.917,210.43,12065.15,20233.31,5.71,0.49,0.53,73947,0.42,8.132,1,1,ERC202301-00522
2022-08-27,DISCOMWR04,AG1,commercial,393.24,113.086,329.14,12.382,27.52,14745.24,42025.08,7.73,1.29,1.01,44576,0.415,6.838,0,0,ERC202208-00523
2024-12-01,DISCOMSR06,GOV,residential,200.73,48.963,415.47,19.308,63.8,9700.59,21517.99,6.63,1.27,1.04,17116,0.244,0.099,1,1,ERC202412-00524
2025-02-02,DISCOMNR01,TEMP,industrial,201.81,35.994,458.94,6.975,127.39,717.0,1689.35,4.83,1.25,0.88,44183,0.255,5.07,0,1,ERC202502-00525
2020-11-19,DISCOMWR03,LT2,commercial,40.15,37.025,544.61,22.123,260.63,8965.6,21690.7,7.17,0.86,1.0,14327,0.0,0.157,0,0,ERC202011-00526
2022-07-27,DISCOMWR06,GOV,industrial,20.01,53.84,249.39,30.81,38.34,22798.92,50831.53,10.38,1.47,0.89,68191,0.204,3.891,1,0,ERC202207-00527
2022-11-27,DISCOMWR06,AG1,industrial,119.73,73.816,565.29,14.049,207.18,7026.6,18294.91,7.54,0.98,1.12,62429,0.275,6.897,1,1,ERC202211-00528
2022-04-25,DISCOMSR04,AG1,industrial,232.28,105.318,50.26,33.426,232.79,603.51,1440.44,9.01,0.05,0.06,58144,0.18,4.378,1,1,ERC202204-00529
2024-02-07,DISCOMNE01,LT2,agriculture,372.87,107.602,333.97,16.375,199.67,5008.51,9613.02,7.58,1.0,0.99,56700,0.184,2.458,1,1,ERC202402-00530
2021-02-06,DISCOMER02,HT1,industrial,194.89,36.422,121.57,34.559,76.12,567.43,1155.28,6.43,0.79,0.72,80315,0.281,1.314,1,0,ERC202102-00531
2022-10-07,DISCOMER01,TEMP,agriculture,360.8,75.884,551.52,18.554,73.19,5978.61,12905.74,8.74,1.16,1.14,62708,0.109,6.563,0,1,ERC202210-00532
2023-12-07,DISCOMWR02,LT2,industrial,327.02,63.237,359.57,20.133,155.11,20738.83,35497.66,4.65,0.24,0.22,15003,0.033,0.501,1,1,ERC202312-00533
2021-09-03,DISCOMER06,TEMP,agriculture,327.55,106.649,578.59,28.224,162.57,9307.3,19222.56,5.53,0.53,0.32,64294,0.058,0.81,0,1,ERC202109-00534
2020-12-04,DISCOMNE01,HT2,agriculture,325.93,77.34,25.77,34.864,197.64,21210.71,43312.44,4.54,1.54,1.68,21111,0.102,6.678,0,1,ERC202012-00535
2022-12-11,DISCOMER04,LT2,residential,217.65,45.61,88.12,4.44,195.16,16389.81,28451.28,5.01,0.44,0.37,27357,0.231,5.669,1,0,ERC202212-00536
2019-01-26,DISCOMNE05,AG1,industrial,32.75,100.423,502.33,0.598,189.8,8613.65,18290.67,1.91,0.0,0.0,67772,0.169,7.202,0,0,ERC201901-00537
2020-01-23,DISCOMWR03,LT1A,industrial,81.85,109.774,506.45,5.6,286.35,22446.51,45693.86,7.01,0.77,0.77,11735,0.409,2.641,0,1,ERC202001-00538
2025-01-19,DISCOMER01,LT2,agriculture,137.59,119.73,274.7,23.925,126.49,15127.5,28711.86,5.58,0.89,0.6,84442,0.408,0.288,1,0,ERC202501-00539
2024-05-15,DISCOMNE05,LT1A,industrial,372.56,90.811,636.81,19.167,216.12,8164.89,23973.05,8.31,1.84,1.15,32202,0.274,5.522,1,0,ERC202405-00540
2024-12-04,DISCOMNR01,HT1,industrial,206.66,100.952,27.1,29.152,209.09,7403.98,12305.16,5.34,0.63,0.75,27174,0.279,0.121,1,1,ERC202412-00541
2020-09-16,DISCOMWR06,LT1A,commercial,321.71,65.784,238.06,31.597,166.3,7769.43,17529.28,7.37,1.45,1.1,66077,0.282,2.838,1,1,ERC202009-00542
2023-09-13,DISCOMNR05,GOV,residential,81.66,118.919,63.74,2.326,285.79,20126.0,33255.6,8.14,1.41,0.94,83670,0.377,6.075,0,0,ERC202309-00543
2020-10-07,DISCOMNR04,LT1A,residential,204.38,61.17,144.57,9.918,12.35,22307.51,55514.67,11.19,0.19,0.21,82083,0.331,3.155,1,1,ERC202010-00544
2021-10-10,DISCOMSR01,LT1A,residential,56.01,41.596,521.55,2.642,104.85,17145.6,24033.79,4.94,0.0,0.0,59682,0.05,1.45,1,0,ERC202110-00545
2020-07-07,DISCOMWR05,HT1,industrial,251.86,88.331,520.07,14.74,71.79,7812.58,20321.14,9.48,1.05,1.16,55069,0.193,5.231,0,0,ERC202007-00546
2023-08-26,DISCOMNE05,AG1,residential,153.5,62.522,343.42,11.524,176.54,24277.01,57050.3,1.09,0.12,0.07,46294,0.105,4.263,1,0,ERC202308-00547
2024-07-16,DISCOMNR06,LT2,agriculture,284.25,52.766,153.2,19.674,249.49,23277.83,55445.64,6.55,0.86,0.94,108067,0.117,7.87,1,0,ERC202407-00548
2024-04-09,DISCOMNE02,EV1,residential,441.66,74.19,112.0,0.611,255.46,5816.33,12239.56,3.2,0.0,0.0,66032,0.345,3.932,0,0,ERC202404-00549
2023-06-27,DISCOMER06,GOV,agriculture,280.5,100.45,112.51,9.344,143.88,2373.18,6935.72,5.87,1.68,1.48,118962,0.48,1.358,0,0,ERC202306-00550
2024-04-28,DISCOMNR01,EV1,industrial,445.19,113.785,512.51,12.716,170.57,13390.83,21220.5,9.12,0.92,0.58,50646,0.275,6.441,0,1,ERC202404-00551
2020-05-12,DISCOMWR01,HT1,agriculture,302.67,119.196,450.55,10.218,59.19,9327.14,14094.84,3.14,0.18,0.15,27308,0.366,7.007,0,1,ERC202005-00552
2024-01-23,DISCOMSR02,LT2,residential,123.03,85.318,240.46,23.408,290.02,9511.17,24629.12,9.7,0.51,0.51,114330,0.0,0.328,1,1,ERC202401-00553
2025-03-10,DISCOMNR06,GOV,industrial,340.16,116.202,319.89,34.089,215.32,4007.09,6963.87,3.98,0.48,0.38,16617,0.23,4.163,0,0,ERC202503-00554
2022-01-24,DISCOMER03,LT1A,residential,412.09,25.704,467.88,6.35,192.87,17117.95,28605.78,7.72,0.0,0.0,100876,0.37,5.268,1,1,ERC202201-00555
2022-10-08,DISCOMNR02,EV1,residential,61.2,67.28,233.31,25.601,59.87,2014.27,3056.05,6.31,0.0,0.0,102808,0.12,0.625,0,0,ERC202210-00556
2020-09-02,DISCOMER03,LT2,agriculture,219.2,49.435,638.04,25.856,34.18,8011.85,20685.6,8.92,0.5,0.4,81167,0.295,3.596,0,1,ERC202009-00557
2020-12-07,DISCOMWR02,HT2,industrial,394.08,94.148,196.61,3.967,41.27,12096.17,31759.81,5.86,1.19,1.26,110898,0.324,1.037,1,0,ERC202012-00558
2025-07-07,DISCOMNR06,TEMP,industrial,419.6,99.959,579.08,2.049,106.19,550.43,1069.67,16.58,0.0,0.0,16835,0.0,7.554,0,0,ERC202507-00559
2021-09-05,DISCOMWR01,LT2,residential,287.45,111.717,447.71,20.21,167.14,16239.89,34400.97,4.61,1.51,0.95,45391,0.196,4.277,0,0,ERC202109-00560
2025-01-12,DISCOMSR01,HT1,industrial,91.34,112.062,409.06,25.937,59.71,24473.23,66400.66,6.75,1.48,1.48,114489,0.084,7.025,1,1,ERC202501-00561
2021-07-16,DISCOMWR01,AG1,commercial,438.35,70.959,249.62,5.74,161.66,17231.48,41177.04,3.46,1.29,1.08,46494,0.454,6.843,1,1,ERC202107-00562
2021-08-23,DISCOMER01,LT2,residential,188.59,52.493,149.8,33.6,105.3,20733.06,50045.07,6.07,0.84,0.79,98498,0.161,2.049,1,1,ERC202108-00563
2020-07-03,DISCOMNE01,HT1,commercial,35.88,43.208,157.29,7.412,197.24,21429.01,51608.91,4.32,0.85,0.97,29434,0.05,7.312,1,1,ERC202007-00564
2024-12-23,DISCOMNR05,HT2,residential,358.69,81.62,407.76,31.305,40.35,7962.08,19300.08,2.85,0.57,0.57,95740,0.037,5.845,1,0,ERC202412-00565
2023-09-16,DISCOMNR04,TEMP,commercial,203.81,60.537,177.53,17.766,245.83,1712.88,3831.44,4.83,1.14,0.96,85875,0.288,5.389,0,1,ERC202309-00566
2022-08-13,DISCOMWR05,LT2,commercial,83.57,43.313,315.29,8.924,91.86,6825.95,10599.48,7.34,1.02,0.71,107980,0.275,3.994,1,0,ERC202208-00567
2023-09-20,DISCOMNE06,HT2,agriculture,227.45,48.297,538.1,34.505,109.93,22425.14,32649.51,5.39,2.35,2.22,74430,0.1,2.651,0,0,ERC202309-00568
2024-04-23,DISCOMSR02,LT1A,residential,85.88,31.362,433.62,3.576,261.84,19054.44,28373.01,2.95,0.78,0.47,108635,0.279,5.609,0,1,ERC202404-00569
2024-05-19,DISCOMSR01,HT2,agriculture,87.2,69.889,348.38,8.34,67.76,3776.51,5822.77,1.37,0.0,0.0,11348,0.145,8.086,0,0,ERC202405-00570
2024-12-31,DISCOMNE02,TEMP,agriculture,286.18,30.873,307.98,30.196,152.34,11845.08,20962.17,1.56,1.21,1.1,38489,0.221,7.297,0,0,ERC202412-00571
2021-11-29,DISCOMWR02,HT1,residential,347.34,86.829,463.38,10.528,279.74,16426.65,42130.11,9.15,0.94,0.96,112215,0.052,5.831,0,0,ERC202111-00572
2022-06-05,DISCOMSR01,LT2,industrial,162.5,53.644,487.08,13.681,234.62,22446.46,32717.8,6.51,0.49,0.55,50675,0.495,2.92,1,1,ERC202206-00573
2025-06-18,DISCOMNR01,AG1,commercial,155.65,54.983,180.33,7.394,169.73,16112.41,40471.63,5.53,0.15,0.15,17464,0.108,2.382,0,0,ERC202506-00574
2024-07-31,DISCOMNR05,LT1A,commercial,415.99,50.543,46.22,33.886,242.71,2150.8,6104.3,5.9,1.06,0.78,53879,0.245,2.55,1,0,ERC202407-00575
2023-02-24,DISCOMNR03,HT2,industrial,169.07,25.403,489.73,17.31,278.87,20961.72,46979.32,7.3,0.0,0.0,35261,0.028,7.974,0,1,ERC202302-00576
2022-02-07,DISCOMER06,EV1,industrial,280.8,108.999,169.59,26.918,203.61,1105.41,2658.93,11.11,0.98,0.68,37714,0.395,5.007,1,1,ERC202202-00577
2019-06-25,DISCOMSR03,HT2,residential,125.49,103.858,353.22,0.324,229.77,24753.62,71659.52,1.5,1.12,0.89,77706,0.387,5.189,1,1,ERC201906-00578
2023-12-30,DISCOMNE03,LT2,industrial,449.01,58.907,268.06,13.833,252.62,15289.54,35038.45,2.62,1.98,1.99,49928,0.245,3.67,0,0,ERC202312-00579
2019-12-12,DISCOMWR06,LT1A,residential,84.33,87.187,448.7,1.67,47.41,20298.88,29534.99,3.89,0.0,0.0,92091,0.353,5.98,0,1,ERC201912-00580
2021-09-22,DISCOMWR03,LT1A,agriculture,420.09,87.141,603.51,18.414,199.4,23590.75,42048.57,7.93,0.6,0.43,46986,0.375,3.297,1,0,ERC202109-00581
2021-06-08,DISCOMNR03,TEMP,agriculture,376.65,103.177,400.59,11.012,61.74,5806.47,12707.2,6.24,1.22,1.31,5620,0.225,2.592,1,1,ERC202106-00582
2019-10-03,DISCOMWR06,HT2,agriculture,397.23,88.785,441.2,9.556,281.6,8513.47,17569.11,9.5,1.62,1.24,18759,0.045,1.729,1,0,ERC201910-00583
2022-09-18,DISCOMSR01,LT1A,industrial,276.88,104.774,134.53,25.905,202.62,24849.09,51402.13,6.67,1.2,0.8,79064,0.351,4.953,0,1,ERC202209-00584
2022-01-27,DISCOMER05,TEMP,commercial,425.1,27.598,618.61,17.307,93.61,19546.14,55072.32,2.36,1.06,1.18,91156,0.413,0.944,0,1,ERC202201-00585
2019-11-29,DISCOMWR05,AG1,agriculture,393.57,87.647,490.77,3.058,51.5,18742.9,47490.79,0.0,1.22,1.46,70457,0.381,5.821,0,1,ERC201911-00586
2025-04-12,DISCOMWR02,LT2,residential,398.39,54.281,193.74,14.181,75.47,14195.06,29956.74,9.12,0.6,0.48,35011,0.21,1.902,0,1,ERC202504-00587
2022-06-10,DISCOMNE04,HT1,agriculture,79.0,118.371,336.78,2.997,191.52,17697.9,26331.57,4.98,0.74,0.84,119136,0.177,7.279,0,1,ERC202206-00588
2022-02-28,DISCOMNE03,HT2,commercial,38.82,93.558,72.45,28.824,118.22,1734.3,5201.23,2.59,0.95,1.13,105322,0.19,3.898,0,0,ERC202202-00589
2025-07-17,DISCOMER03,HT2,agriculture,35.99,86.255,87.09,30.885,115.2,20211.66,47034.38,10.45,0.84,0.89,113134,0.083,5.935,0,0,ERC202507-00590
2021-06-11,DISCOMWR05,HT2,industrial,47.25,75.832,90.54,23.081,164.38,4369.93,12612.97,7.78,0.78,0.68,65669,0.218,2.107,0,1,ERC202106-00591
2023-06-17,DISCOMNR04,HT1,residential,310.73,92.135,548.78,9.951,254.9,3775.92,8376.1,7.9,1.11,1.06,38767,0.22,3.099,0,1,ERC202306-00592
2021-10-25,DISCOMSR03,LT1A,commercial,304.37,73.735,242.06,13.32,208.94,16677.44,42943.44,0.0,1.16,0.7,52248,0.278,5.124,0,0,ERC202110-00593
2023-04-13,DISCOMSR03,AG1,agriculture,390.93,31.446,137.65,7.705,165.21,24038.81,61942.53,6.92,0.0,0.0,45942,0.301,0.906,1,0,ERC202304-00594
2025-07-08,DISCOMNR05,HT2,industrial,358.77,93.488,155.89,11.653,49.27,24141.58,37406.22,2.48,1.47,1.28,26163,0.4,5.841,0,0,ERC202507-00595
2020-10-29,DISCOMWR02,GOV,industrial,22.99,118.333,195.04,5.058,207.08,2000.51,5749.42,6.87,1.51,1.61,13709,0.138,0.389,1,0,ERC202010-00596
2024-06-04,DISCOMNR01,AG1,residential,415.26,106.565,188.26,0.644,158.82,5691.52,17024.78,5.04,0.0,0.0,6646,0.191,6.672,0,1,ERC202406-00597
2019-11-12,DISCOMWR05,TEMP,commercial,240.71,46.565,200.68,9.949,137.2,2178.74,4202.77,6.38,0.06,0.06,11845,0.337,2.445,0,1,ERC201911-00598
2023-03-10,DISCOMNE04,TEMP,residential,410.81,102.235,479.72,15.075,12.29,16432.21,38100.08,9.32,0.55,0.59,3491,0.282,3.347,1,0,ERC202303-00599
2022-09-21,DISCOMSR01,GOV,residential,364.64,107.914,265.64,5.114,2.4,9032.24,19082.73,6.18,0.85,0.8,112724,0.305,6.892,0,1,ERC202209-00600
2022-08-11,DISCOMWR05,LT1A,industrial,179.86,61.523,643.78,9.944,162.35,8411.7,19959.1,3.6,0.97,1.04,92026,0.179,0.502,1,0,ERC202208-00601
2022-03-25,DISCOMNR03,TEMP,agriculture,449.83,47.939,190.27,5.915,53.44,13369.17,32016.44,2.71,1.43,1.22,8492,0.126,5.575,1,0,ERC202203-00602
2021-06-20,DISCOMSR04,TEMP,agriculture,442.06,54.731,583.51,26.896,64.63,20433.87,52370.29,8.81,0.75,0.83,57536,0.41,0.569,0,1,ERC202106-00603
2023-10-04,DISCOMER02,EV1,industrial,134.09,62.069,471.49,24.478,195.95,2746.16,7642.45,5.36,0.01,0.01,26811,0.321,4.476,0,1,ERC202310-00604
2020-07-31,DISCOMWR02,HT1,industrial,356.44,65.539,480.03,28.368,272.31,3257.64,6937.13,4.09,0.57,0.66,43595,0.23,2.869,0,0,ERC202007-00605
2025-07-13,DISCOMSR06,LT2,industrial,387.44,74.963,169.32,9.781,224.71,7654.38,15604.56,2.27,0.02,0.02,76140,0.141,0.705,1,0,ERC202507-00606
2019-05-18,DISCOMSR01,HT2,commercial,168.7,58.943,290.41,14.135,290.75,16554.84,29250.11,2.78,0.39,0.45,18707,0.334,6.498,0,1,ERC201905-00607
2022-01-21,DISCOMSR02,HT2,agriculture,168.26,100.922,191.61,4.291,199.16,13935.51,34383.01,2.81,0.83,0.85,16731,0.276,5.649,0,1,ERC202201-00608
2021-06-24,DISCOMSR05,GOV,agriculture,76.56,104.155,495.7,12.236,187.73,3023.0,8242.74,3.45,0.0,0.0,47137,0.513,4.704,0,0,ERC202106-00609
2019-06-30,DISCOMNR01,HT1,residential,363.29,101.685,426.41,33.257,231.64,15941.78,34163.47,6.29,0.86,0.92,22234,0.037,6.314,0,1,ERC201906-00610
2019-01-03,DISCOMSR03,LT2,industrial,94.7,58.349,240.78,17.914,115.4,12353.17,22152.59,4.38,0.0,0.0,531,0.483,5.012,0,0,ERC201901-00611
2023-12-02,DISCOMER06,HT2,commercial,37.09,31.217,152.39,3.31,53.87,19513.26,49563.68,9.61,1.24,0.95,67413,0.378,1.516,0,1,ERC202312-00612
2025-01-23,DISCOMWR06,GOV,agriculture,384.55,118.758,276.69,0.503,40.74,20446.33,28772.5,3.78,0.31,0.23,117874,0.058,0.157,0,1,ERC202501-00613
2019-04-11,DISCOMNE01,HT2,commercial,253.43,51.862,49.5,32.152,278.0,9113.38,23642.69,5.75,0.98,0.97,28417,0.117,3.709,0,0,ERC201904-00614
2025-06-26,DISCOMWR02,HT1,industrial,107.5,90.395,33.65,16.779,1.14,20444.87,34789.55,7.24,0.0,0.0,114364,0.413,2.927,1,1,ERC202506-00615
2020-04-18,DISCOMNE06,LT1A,commercial,29.61,31.585,101.63,22.549,75.19,19711.45,58788.03,0.0,0.46,0.47,64052,0.0,1.389,1,1,ERC202004-00616
2022-01-27,DISCOMNE06,AG1,commercial,177.72,79.416,217.32,34.813,131.97,8770.3,20136.06,14.96,1.96,1.28,70847,0.573,1.839,1,0,ERC202201-00617
2024-06-19,DISCOMER04,EV1,agriculture,267.8,81.781,421.53,6.905,138.06,7934.96,11187.79,7.91,0.63,0.49,26835,0.329,5.312,0,0,ERC202406-00618
2024-01-20,DISCOMWR01,HT1,industrial,349.62,83.145,393.21,12.58,221.88,5615.45,7962.69,7.2,0.0,0.0,96861,0.447,1.747,0,0,ERC202401-00619
2025-05-23,DISCOMER02,HT2,industrial,76.27,96.271,7.5,17.461,163.52,10424.2,23815.6,6.04,0.31,0.32,108043,0.206,8.217,0,0,ERC202505-00620
2021-09-29,DISCOMER01,LT1A,agriculture,233.06,69.281,321.21,32.895,125.29,14087.55,34127.87,4.76,0.84,0.6,34446,0.049,3.728,0,1,ERC202109-00621
2020-04-04,DISCOMWR02,LT1A,commercial,406.26,32.581,44.99,8.859,247.71,21386.99,59447.74,3.8,0.4,0.28,88289,0.123,5.782,0,1,ERC202004-00622
2025-06-30,DISCOMER03,AG1,agriculture,242.52,37.935,103.87,23.979,154.93,19578.38,31661.22,4.83,0.6,0.4,61502,0.156,1.125,1,1,ERC202506-00623
2020-10-03,DISCOMSR05,TEMP,agriculture,23.59,38.166,389.41,19.942,163.64,15811.35,46435.94,5.41,0.81,0.61,88587,0.483,4.682,1,1,ERC202010-00624
2021-09-23,DISCOMWR04,GOV,commercial,157.07,94.111,621.58,14.491,69.68,9175.09,19615.9,12.17,0.08,0.06,1827,0.11,5.57,1,1,ERC202109-00625
2025-03-04,DISCOMER04,AG1,industrial,280.61,61.734,24.71,29.823,76.16,14719.64,42123.59,5.52,0.0,0.0,106593,0.094,1.089,1,1,ERC202503-00626
2025-02-01,DISCOMER01,GOV,industrial,423.81,43.236,381.87,13.985,186.01,5454.16,8443.15,12.32,0.14,0.11,97514,0.442,7.244,0,0,ERC202502-00627
2022-10-07,DISCOMER02,EV1,industrial,405.84,77.177,156.78,6.869,178.14,10857.92,29704.94,5.05,0.0,0.0,41760,0.08,4.789,0,1,ERC202210-00628
2021-06-21,DISCOMNR03,EV1,residential,331.44,82.902,237.33,4.455,271.21,21080.05,42042.47,6.52,0.21,0.2,28228,0.148,5.152,1,1,ERC202106-00629
2024-08-17,DISCOMSR04,TEMP,agriculture,154.81,74.981,334.54,27.257,239.8,13644.08,23213.42,0.56,0.55,0.59,48977,0.276,3.92,0,0,ERC202408-00630
2022-11-10,DISCOMER06,EV1,commercial,246.04,80.066,576.68,9.45,113.95,8260.68,18873.6,7.75,1.53,1.83,77125,0.18,3.052,0,0,ERC202211-00631
2024-08-02,DISCOMSR01,AG1,agriculture,286.45,45.884,517.9,2.829,96.61,9300.64,14395.58,7.53,0.64,0.74,76254,0.0,6.482,1,1,ERC202408-00632
2019-12-27,DISCOMNE01,HT2,agriculture,294.64,87.851,413.16,24.221,270.14,3268.78,7638.73,8.14,0.79,0.65,35435,0.386,6.044,0,0,ERC201912-00633
2019-09-20,DISCOMER01,HT2,residential,300.7,73.776,40.31,16.244,91.12,6761.37,19017.12,6.7,1.2,1.02,20448,0.165,7.452,1,0,ERC201909-00634
2025-05-04,DISCOMSR01,HT1,agriculture,442.88,30.9,457.93,14.06,15.36,2734.78,3940.72,3.78,0.47,0.4,60830,0.0,5.553,0,0,ERC202505-00635
2023-03-15,DISCOMNE04,HT2,industrial,204.63,90.888,419.5,4.644,262.63,19081.31,43492.55,6.65,0.41,0.28,98944,0.151,2.378,0,1,ERC202303-00636
2024-01-16,DISCOMNE05,AG1,industrial,231.12,100.604,473.54,8.082,61.18,1103.92,1892.23,1.68,0.0,0.0,69159,0.0,5.775,0,1,ERC202401-00637
2024-07-14,DISCOMWR02,AG1,industrial,352.46,61.077,134.53,7.748,163.22,22083.43,55289.69,4.26,0.88,0.66,19563,0.004,5.57,1,0,ERC202407-00638
2021-09-17,DISCOMER06,HT1,agriculture,32.77,119.246,483.21,6.988,127.68,17325.84,47360.5,5.51,1.06,0.74,101361,0.159,5.562,0,0,ERC202109-00639
2023-05-16,DISCOMER01,LT1A,residential,415.77,117.416,176.3,22.358,112.98,11297.23,25647.76,8.59,1.02,0.88,16529,0.344,0.428,1,0,ERC202305-00640
2024-02-18,DISCOMWR05,HT1,residential,205.77,93.998,537.39,3.85,275.33,8786.41,19100.56,6.13,1.44,1.64,38196,0.227,5.639,0,0,ERC202402-00641
2023-02-25,DISCOMER04,LT2,residential,314.3,37.051,102.05,18.771,216.25,5375.17,8131.59,5.95,1.46,1.45,81499,0.279,6.234,1,0,ERC202302-00642
2025-03-12,DISCOMER04,AG1,commercial,356.86,78.042,550.06,8.485,59.16,19236.92,29926.25,12.98,0.0,0.0,88189,0.323,0.621,1,1,ERC202503-00643
2021-10-14,DISCOMNR02,GOV,residential,424.39,106.447,640.78,17.885,133.14,11076.29,19652.96,6.23,0.83,0.97,79071,0.34,7.47,0,0,ERC202110-00644
2022-09-02,DISCOMNE06,EV1,agriculture,299.98,103.992,441.11,17.764,43.15,4829.02,9746.23,4.32,1.05,0.95,64363,0.171,7.128,1,1,ERC202209-00645
2021-08-07,DISCOMNE02,GOV,industrial,201.89,50.0,8.94,8.87,158.29,4935.56,6927.71,5.78,0.4,0.45,5816,0.232,7.644,0,1,ERC202108-00646
2020-01-01,DISCOMNE04,GOV,industrial,185.85,39.442,381.72,9.795,231.64,13964.01,22553.71,4.54,1.0,0.79,84538,0.338,8.299,1,1,ERC202001-00647
2023-03-19,DISCOMWR05,GOV,agriculture,235.74,97.949,615.3,13.674,96.26,23611.31,42218.77,9.64,0.62,0.63,17124,0.301,1.972,0,0,ERC202303-00648
2022-10-01,DISCOMWR02,TEMP,industrial,111.7,98.495,157.75,31.926,295.43,3274.37,6665.48,0.36,1.29,0.84,35731,0.464,1.798,0,1,ERC202210-00649
2019-09-24,DISCOMER01,LT1A,industrial,350.07,30.982,350.72,3.005,180.11,18487.32,35280.14,7.51,1.28,1.3,17709,0.238,1.202,0,1,ERC201909-00650
2019-03-05,DISCOMER06,AG1,agriculture,209.41,87.221,104.61,27.22,151.13,23937.67,65000.25,6.26,1.22,1.05,43573,0.346,5.973,1,0,ERC201903-00651
