env_land_mapping_year,env_land_landcover_class_code,env_land_protected_area_id,env_land_management_designation,env_land_habitat_type_code,env_land_biodiversity_richness_index,env_land_species_observation_count,env_land_invasive_species_presence_flag,env_land_wetland_area_acres,env_land_forest_canopy_pct,env_land_impervious_surface_pct,env_land_soil_erosion_risk_score,env_land_carbon_stock_estimate_tons,env_land_restoration_project_flag,env_land_prescribed_burn_acres,env_land_trail_density_mi_sqmi,env_land_public_access_score,env_land_conservation_easement_flag,env_land_land_parcel_fragmentation_index,env_land_remote_sensing_sensor
2016,forest,IN-PA-0000427,unprotected,montane,26,34,0,104.7,20.4,19.4,31,26280,0,81.3,1.61,62,0,29,VIIRS
2005,cropland,IN-PA-0000428,unprotected,tropical_dry,52,38,0,39.9,43.4,13.3,60,10091,0,42.6,0.52,63,0,43,Cartosat_3
2017,cropland,IN-PA-0000429,unprotected,mixed,51,38,0,48.1,69.5,27.3,32,43544,0,92.4,0.0,62,0,44,Landsat_8
2010,cropland,IN-PA-0000430,national_park,coastal,48,32,0,31.2,19.2,17.4,67,6595,0,141.0,2.96,62,0,32,Sentinel_2
2022,wetland,IN-PA-0000431,reserved_forest,grassland,67,35,0,40.7,14.9,9.3,45,6318,0,153.6,0.0,50,0,46,Sentinel_2
2016,wetland,IN-PA-0000432,unprotected,montane,17,43,0,141.5,33.7,15.4,25,21437,0,35.8,3.48,74,0,33,Resourcesat_2
2014,plantation,IN-PA-0000433,unprotected,coastal,25,48,0,43.2,31.5,0.0,61,4798,0,3.6,1.59,56,0,49,Sentinel_2
2023,grassland,IN-PA-0000434,unprotected,mangrove,61,29,0,40.3,31.5,14.1,53,3973,1,102.2,0.04,46,0,58,Landsat_8
2019,urban,IN-PA-0000435,unprotected,mixed,60,38,0,70.9,47.7,23.3,34,8452,0,29.0,1.1,56,0,47,Resourcesat_2
2005,forest,IN-PA-0000436,reserved_forest,tropical_dry,59,41,0,30.4,66.1,14.1,21,3933,0,126.8,2.83,46,0,42,Sentinel_2
2006,wetland,IN-PA-0000437,reserved_forest,riverine,51,29,0,43.9,43.3,32.3,39,9224,0,8.2,1.56,61,1,46,Sentinel_2
2023,cropland,IN-PA-0000438,reserved_forest,mixed,63,34,1,38.0,48.3,18.5,42,11433,0,32.5,0.95,63,0,30,Landsat_9
2012,urban,IN-PA-0000439,unprotected,mixed,52,31,0,50.4,55.0,40.8,26,31394,0,10.9,1.17,42,0,60,Sentinel_2
2019,water,IN-PA-0000440,unprotected,mixed,70,30,0,1330.8,66.0,4.1,21,1963,0,50.4,0.87,64,0,45,Sentinel_2
2013,cropland,IN-PA-0000441,wildlife_sanctuary,mixed,11,28,0,102.8,44.4,12.3,37,52814,0,22.3,1.39,16,0,69,MODIS
2024,forest,IN-PA-0000442,unprotected,mixed,58,38,0,233.4,17.7,0.0,2,4852,0,41.6,0.2,71,0,78,Sentinel_2
2006,grassland,IN-PA-0000443,reserved_forest,mangrove,60,42,0,91.9,55.8,32.7,46,56233,0,297.7,1.61,65,0,20,Sentinel_2
2014,cropland,IN-PA-0000444,national_park,riverine,32,32,1,22.6,78.3,4.2,36,5540,0,43.6,1.45,48,0,56,Resourcesat_2
2019,wetland,IN-PA-0000445,unprotected,mixed,23,33,0,192.3,22.0,42.1,11,6628,0,70.2,2.24,36,0,40,Resourcesat_2
2020,forest,IN-PA-0000446,unprotected,coastal,57,32,0,70.1,41.9,0.0,26,20471,0,8.1,1.28,52,0,49,Landsat_9
2022,wetland,IN-PA-0000447,reserved_forest,tropical_moist,38,40,0,66.7,46.5,7.0,41,1811,0,34.5,1.12,45,0,44,VIIRS
2017,grassland,IN-PA-0000448,reserved_forest,tropical_dry,44,48,0,108.7,42.1,41.3,29,3217,0,29.2,0.69,63,0,25,Sentinel_2
2021,cropland,IN-PA-0000449,unprotected,tropical_dry,67,38,1,123.8,46.5,32.2,38,2089,0,35.9,2.7,94,0,56,VIIRS
2023,grassland,IN-PA-0000450,reserved_forest,tropical_moist,64,33,0,397.9,14.1,0.0,56,23523,0,223.2,1.98,63,0,34,Sentinel_2
2008,shrubland,IN-PA-0000451,national_park,riverine,72,37,0,85.5,54.1,24.3,34,12710,0,0.1,4.1,56,0,71,VIIRS
2018,water,IN-PA-0000452,national_park,tropical_dry,95,44,0,28.3,62.9,3.6,66,24347,0,5.2,1.73,75,0,41,MODIS
2010,water,IN-PA-0000453,national_park,tropical_dry,66,33,0,96.4,18.2,30.7,37,8904,0,53.6,1.67,57,0,49,Landsat_8
2017,forest,IN-PA-0000454,wildlife_sanctuary,tropical_dry,83,25,0,303.4,12.6,10.8,53,2632,0,149.3,2.38,49,0,55,Sentinel_2
2006,cropland,IN-PA-0000455,unprotected,tropical_dry,48,35,0,122.8,32.2,29.6,59,7719,0,3.3,1.78,33,0,54,MODIS
2021,forest,IN-PA-0000456,unprotected,coastal,29,25,0,94.5,41.0,0.0,30,6406,0,116.0,2.16,34,0,56,Landsat_8
2010,forest,IN-PA-0000457,reserved_forest,tropical_moist,33,33,1,21.6,33.5,14.7,75,3371,0,286.9,1.28,50,0,57,VIIRS
2024,forest,IN-PA-0000458,unprotected,montane,30,31,0,258.5,35.2,23.2,44,9557,1,151.0,0.01,35,0,43,MODIS
2015,water,IN-PA-0000459,unprotected,riverine,70,37,0,525.6,27.6,3.2,16,9995,0,249.5,0.0,66,0,39,Landsat_8
2014,forest,IN-PA-0000460,unprotected,tropical_dry,96,37,0,131.4,42.4,12.9,24,10192,0,81.8,2.2,57,0,57,Resourcesat_2
2012,cropland,IN-PA-0000461,unprotected,tropical_moist,47,42,0,136.6,0.0,42.9,26,14055,0,76.5,1.41,43,0,47,Landsat_8
2020,forest,IN-PA-0000462,wildlife_sanctuary,mixed,20,36,0,145.1,16.5,24.7,35,6520,1,332.7,0.81,78,1,33,Sentinel_2
2017,cropland,IN-PA-0000463,unprotected,mangrove,57,25,0,120.0,27.9,0.0,34,15726,0,34.9,1.23,61,0,46,Cartosat_3
2018,urban,IN-PA-0000464,wildlife_sanctuary,tropical_dry,53,43,0,31.3,45.7,14.3,10,4180,1,52.0,0.0,68,0,23,Landsat_9
2025,shrubland,IN-PA-0000465,conservation_reserve,mangrove,40,29,0,40.1,57.6,31.9,43,16769,0,9.3,3.49,65,0,43,Resourcesat_2
2019,cropland,IN-PA-0000466,reserved_forest,mixed,71,46,0,106.9,62.5,10.1,67,14904,0,52.2,2.16,45,0,43,Landsat_8
2012,cropland,IN-PA-0000467,wildlife_sanctuary,tropical_moist,48,32,1,21.8,12.5,27.0,53,30536,1,165.3,1.85,52,0,45,Sentinel_2
2005,grassland,IN-PA-0000468,reserved_forest,grassland,62,35,0,259.4,0.0,34.0,60,16453,0,75.1,1.18,88,0,46,Sentinel_2
2012,forest,IN-PA-0000469,reserved_forest,coastal,65,37,0,27.8,4.2,0.0,21,12805,0,75.3,2.26,27,0,58,MODIS
2020,cropland,IN-PA-0000470,conservation_reserve,grassland,59,35,0,425.6,6.8,25.1,25,24982,0,29.6,0.78,69,0,68,MODIS
2025,urban,IN-PA-0000471,reserved_forest,desert,52,35,0,141.5,3.1,22.4,22,7354,1,2.7,0.21,40,0,37,MODIS
2009,forest,IN-PA-0000472,wildlife_sanctuary,montane,58,30,1,33.1,13.2,35.6,52,2028,0,70.2,3.01,59,0,36,Cartosat_3
2005,cropland,IN-PA-0000473,national_park,tropical_moist,44,25,0,18.4,27.5,12.9,7,16680,0,37.7,1.1,67,0,48,Landsat_9
2020,forest,IN-PA-0000474,unprotected,desert,61,33,0,277.6,74.1,24.2,71,2732,0,219.1,1.25,53,0,29,MODIS
2020,cropland,IN-PA-0000475,reserved_forest,riverine,65,36,0,79.7,0.0,41.5,8,18947,1,22.2,0.61,63,0,77,Cartosat_3
2010,forest,IN-PA-0000476,wildlife_sanctuary,coastal,37,38,0,34.1,35.0,34.5,0,1583,0,3.3,0.0,12,0,47,Landsat_8
2022,cropland,IN-PA-0000477,unprotected,desert,43,28,0,1172.1,16.2,10.5,15,21930,0,259.4,2.22,56,0,31,Sentinel_2
2024,cropland,IN-PA-0000478,unprotected,riverine,54,45,0,175.4,6.6,18.2,32,49704,0,95.6,1.69,67,0,35,Sentinel_2
2011,forest,IN-PA-0000479,wildlife_sanctuary,tropical_dry,48,28,0,118.4,70.2,46.7,6,10191,0,21.7,1.61,34,0,33,Landsat_8
2019,urban,IN-PA-0000480,national_park,grassland,41,29,0,36.2,22.0,0.0,4,4738,0,45.1,1.08,48,0,61,Sentinel_2
2008,urban,IN-PA-0000481,unprotected,grassland,58,32,0,204.8,31.0,0.0,58,7863,0,208.5,0.29,66,0,50,VIIRS
2007,cropland,IN-PA-0000482,unprotected,riverine,66,38,0,102.2,50.8,36.0,29,14928,0,40.3,2.82,57,0,80,Landsat_8
2017,forest,IN-PA-0000483,unprotected,coastal,19,36,0,72.2,24.1,22.4,11,13409,0,95.4,0.0,76,0,0,Sentinel_2
2013,plantation,IN-PA-0000484,national_park,riverine,62,33,0,238.8,0.0,35.5,35,3136,0,10.4,0.0,41,0,67,Cartosat_3
2017,forest,IN-PA-0000485,wildlife_sanctuary,riverine,74,39,0,53.8,63.2,20.2,22,34939,0,34.4,0.0,59,0,5,Resourcesat_2
2016,cropland,IN-PA-0000486,unprotected,tropical_dry,37,33,0,65.3,17.5,28.3,51,3684,0,27.3,5.37,50,0,30,Resourcesat_2
2019,urban,IN-PA-0000487,unprotected,tropical_dry,78,35,0,250.8,43.5,36.0,49,3263,1,28.2,1.38,73,0,44,Landsat_8
2011,shrubland,IN-PA-0000488,reserved_forest,tropical_dry,68,37,0,161.7,24.6,24.7,57,4395,0,41.7,1.11,47,0,33,VIIRS
2011,grassland,IN-PA-0000489,unprotected,tropical_dry,41,41,1,59.5,32.8,17.0,59,10387,0,207.8,0.01,52,0,33,Landsat_9
2020,grassland,IN-PA-0000490,unprotected,mangrove,39,36,0,860.8,42.3,39.8,19,10095,0,38.7,1.06,65,0,58,Sentinel_2
2017,water,IN-PA-0000491,unprotected,tropical_moist,58,35,1,234.5,43.0,24.2,19,6518,0,10.2,3.47,32,0,67,Landsat_8
2009,cropland,IN-PA-0000492,national_park,desert,50,36,1,37.7,41.1,21.3,33,14273,0,141.1,2.98,76,0,61,Landsat_9
2013,cropland,IN-PA-0000493,reserved_forest,tropical_moist,46,35,0,53.7,21.5,48.9,26,6358,0,45.2,0.0,22,0,51,Resourcesat_2
2025,water,IN-PA-0000494,unprotected,tropical_dry,91,45,0,60.4,7.8,0.3,25,7003,0,252.7,0.95,36,0,48,Resourcesat_2
2022,urban,IN-PA-0000495,unprotected,montane,74,39,0,144.0,2.7,0.0,25,5360,0,8.0,3.84,50,0,16,Landsat_9
2007,wetland,IN-PA-0000496,national_park,desert,48,33,0,270.0,36.3,49.8,28,10150,0,38.5,1.56,19,1,37,Sentinel_2
2025,forest,IN-PA-0000497,unprotected,mixed,63,26,0,404.9,37.9,0.0,42,4053,0,48.5,0.02,35,0,29,Landsat_8
2015,cropland,IN-PA-0000498,unprotected,riverine,60,45,0,16.5,27.0,48.2,58,6255,0,88.3,1.1,70,0,66,Cartosat_3
2012,cropland,IN-PA-0000499,reserved_forest,mixed,70,35,1,115.1,31.7,19.7,62,12142,0,2.0,1.83,41,0,66,Landsat_9
2024,water,IN-PA-0000500,unprotected,tropical_dry,55,35,0,91.0,24.8,0.0,23,29859,0,134.0,4.19,37,0,30,Landsat_8
2024,forest,IN-PA-0000501,reserved_forest,grassland,81,35,0,225.2,74.1,24.8,63,1058,1,35.9,0.69,55,0,19,Landsat_8
2023,plantation,IN-PA-0000502,conservation_reserve,riverine,84,37,0,225.7,9.8,1.9,71,8393,0,308.8,2.01,63,0,79,MODIS
2014,water,IN-PA-0000503,unprotected,grassland,57,37,0,260.4,7.2,8.2,11,8573,0,22.6,0.25,44,0,85,Sentinel_2
2010,grassland,IN-PA-0000504,unprotected,desert,66,34,0,83.3,37.4,25.5,58,3216,0,25.5,1.33,63,0,27,Landsat_8
2006,cropland,IN-PA-0000505,reserved_forest,tropical_dry,70,33,0,450.6,30.3,4.3,40,3913,0,99.4,2.37,72,0,23,Landsat_8
2011,urban,IN-PA-0000506,reserved_forest,coastal,57,33,0,47.1,14.4,3.9,11,2758,0,266.1,0.1,41,1,38,Sentinel_2
2006,urban,IN-PA-0000507,wildlife_sanctuary,mixed,54,40,0,489.9,14.4,31.4,48,21278,0,80.4,2.32,75,0,55,Resourcesat_2
2018,forest,IN-PA-0000508,unprotected,riverine,67,42,0,292.0,31.1,7.7,64,1619,0,81.3,3.93,72,0,60,Landsat_8
2009,water,IN-PA-0000509,conservation_reserve,desert,61,28,1,35.1,26.9,2.1,46,2995,0,351.2,1.98,79,0,28,Resourcesat_2
2025,forest,IN-PA-0000510,wildlife_sanctuary,tropical_dry,83,32,0,16.9,1.4,0.0,33,3758,0,9.6,2.93,50,0,75,Resourcesat_2
2021,cropland,IN-PA-0000511,unprotected,coastal,64,37,0,75.3,38.5,3.2,41,4179,0,7.3,0.0,68,0,34,Sentinel_2
2010,forest,IN-PA-0000512,unprotected,tropical_dry,87,33,0,18.7,38.1,4.0,76,7042,0,85.7,1.13,82,0,46,Cartosat_3
2007,grassland,IN-PA-0000513,unprotected,grassland,39,39,0,36.0,70.1,2.0,41,4509,0,10.5,0.0,50,0,41,Resourcesat_2
2008,shrubland,IN-PA-0000514,wildlife_sanctuary,grassland,50,25,1,65.1,40.8,42.2,44,6885,0,8.4,1.89,85,0,38,MODIS
2020,cropland,IN-PA-0000515,wildlife_sanctuary,grassland,49,40,0,19.3,47.0,40.1,29,2547,0,51.6,2.0,57,0,78,Landsat_8
2021,urban,IN-PA-0000516,wildlife_sanctuary,tropical_moist,54,39,0,11.1,46.4,20.5,70,1727,0,259.9,1.36,53,0,9,Landsat_8
2013,cropland,IN-PA-0000517,unprotected,desert,53,46,0,114.9,57.2,8.9,11,9016,1,85.3,1.58,32,0,48,Sentinel_2
2005,urban,IN-PA-0000518,conservation_reserve,tropical_dry,31,34,0,484.2,10.3,6.7,59,21392,0,13.6,2.72,67,0,70,Sentinel_2
2014,water,IN-PA-0000519,unprotected,tropical_moist,78,29,0,271.3,32.5,19.4,12,8165,0,48.0,1.21,88,0,13,Landsat_8
2017,cropland,IN-PA-0000520,reserved_forest,grassland,58,33,0,5.0,28.8,18.7,48,6909,0,77.2,2.51,30,0,42,Sentinel_2
2020,cropland,IN-PA-0000521,reserved_forest,mangrove,55,40,0,56.7,45.3,0.5,33,7049,0,119.4,1.65,64,0,57,MODIS
2015,forest,IN-PA-0000522,national_park,mangrove,57,33,1,94.1,23.1,34.3,17,5275,0,130.0,2.35,71,0,65,MODIS
2019,water,IN-PA-0000523,unprotected,tropical_moist,58,37,0,315.6,72.8,8.1,73,25347,0,42.2,1.47,44,0,49,Landsat_9
2015,urban,IN-PA-0000524,national_park,tropical_moist,52,35,0,109.8,43.9,20.3,40,28530,0,72.3,3.83,53,0,25,Sentinel_2
2025,cropland,IN-PA-0000525,unprotected,grassland,32,36,0,103.4,50.6,3.3,7,23341,0,43.9,0.27,64,0,55,Resourcesat_2
2007,cropland,IN-PA-0000526,reserved_forest,mixed,64,33,0,127.6,17.3,0.0,38,34635,0,7.5,2.93,27,0,33,MODIS
2022,forest,IN-PA-0000527,unprotected,tropical_moist,60,33,0,9.7,30.6,0.0,0,14228,0,33.5,1.27,55,0,51,Sentinel_2
2005,forest,IN-PA-0000528,conservation_reserve,grassland,62,32,1,41.9,23.9,21.1,27,10025,0,101.9,1.8,32,0,14,Landsat_8
2024,cropland,IN-PA-0000529,reserved_forest,riverine,41,34,0,151.9,27.7,16.1,60,6269,0,23.5,1.93,74,0,43,MODIS
2008,water,IN-PA-0000530,unprotected,montane,63,33,0,122.5,55.5,1.7,32,9317,0,328.3,1.55,68,0,46,VIIRS
2015,wetland,IN-PA-0000531,reserved_forest,grassland,13,34,0,16.2,39.2,17.0,18,8652,0,41.6,3.25,45,0,40,Landsat_8
2008,forest,IN-PA-0000532,unprotected,mangrove,93,32,0,60.4,5.1,14.7,30,26487,0,6.0,0.57,58,0,53,Landsat_8
2015,cropland,IN-PA-0000533,unprotected,grassland,71,39,0,152.7,0.0,30.0,54,13478,1,44.1,2.57,6,0,53,VIIRS
2017,forest,IN-PA-0000534,unprotected,riverine,46,47,0,57.3,66.2,0.0,59,32718,0,11.7,2.98,66,0,77,Resourcesat_2
2016,cropland,IN-PA-0000535,reserved_forest,tropical_dry,95,28,0,93.7,1.7,26.3,39,3516,0,302.1,2.36,65,1,33,Resourcesat_2
2019,forest,IN-PA-0000536,reserved_forest,tropical_moist,54,33,1,14.6,20.8,4.3,29,51744,0,126.0,3.18,47,0,62,Resourcesat_2
2019,urban,IN-PA-0000537,reserved_forest,tropical_dry,32,29,0,160.0,63.5,17.4,46,6582,0,138.3,0.03,87,0,46,Cartosat_3
2021,forest,IN-PA-0000538,reserved_forest,tropical_dry,30,46,0,143.8,21.6,0.0,21,36055,0,3.0,1.87,62,0,57,MODIS
2020,cropland,IN-PA-0000539,reserved_forest,montane,39,27,0,54.6,24.0,2.4,51,5957,0,16.7,2.07,60,0,55,Landsat_8
2025,cropland,IN-PA-0000540,unprotected,tropical_dry,72,36,0,93.2,28.6,12.1,20,12912,0,37.4,1.34,79,0,46,Landsat_8
2007,cropland,IN-PA-0000541,unprotected,montane,62,36,0,41.3,30.0,15.9,21,7127,1,129.2,1.19,74,0,58,Landsat_8
2009,water,IN-PA-0000542,unprotected,mixed,81,25,0,27.9,21.3,15.6,47,10487,0,80.7,2.2,49,0,31,Cartosat_3
2024,cropland,IN-PA-0000543,conservation_reserve,montane,79,26,0,117.8,22.1,0.0,58,11417,0,34.7,0.36,64,0,57,Landsat_8
2022,cropland,IN-PA-0000544,unprotected,tropical_dry,83,40,0,35.4,59.1,32.3,32,6506,0,55.6,2.79,78,0,22,Cartosat_3
2025,cropland,IN-PA-0000545,reserved_forest,montane,48,32,0,124.0,40.4,0.0,70,3456,1,154.8,2.33,72,0,55,Resourcesat_2
2010,forest,IN-PA-0000546,unprotected,desert,56,28,0,1260.4,13.2,26.5,61,14016,0,169.4,0.96,62,0,58,MODIS
2005,grassland,IN-PA-0000547,unprotected,mangrove,42,36,1,94.2,76.9,3.6,36,22115,0,14.7,1.06,50,0,16,Sentinel_2
2016,cropland,IN-PA-0000548,reserved_forest,tropical_dry,70,37,0,129.9,65.9,31.2,31,5502,0,75.3,0.22,60,0,26,Sentinel_2
2019,grassland,IN-PA-0000549,reserved_forest,grassland,36,37,0,97.6,47.0,21.6,45,5997,0,84.8,1.26,46,0,34,Landsat_8
2007,wetland,IN-PA-0000550,unprotected,tropical_moist,67,35,0,13.6,34.0,33.3,22,19187,0,7.6,1.35,54,0,64,Resourcesat_2
2012,urban,IN-PA-0000551,unprotected,riverine,42,25,0,51.7,25.0,24.2,80,9402,0,7.4,2.3,48,0,64,Landsat_8
2024,wetland,IN-PA-0000552,unprotected,mangrove,64,31,0,8.3,54.0,15.5,50,8824,0,110.6,1.44,48,0,40,Resourcesat_2
2009,grassland,IN-PA-0000553,reserved_forest,tropical_dry,28,50,0,188.4,87.1,19.8,71,55364,0,39.9,3.57,52,0,52,Sentinel_2
2024,urban,IN-PA-0000554,unprotected,riverine,52,48,0,42.9,83.5,8.3,25,1854,0,44.4,0.0,79,0,28,MODIS
2011,wetland,IN-PA-0000555,reserved_forest,mixed,39,26,0,64.9,16.3,28.5,74,3953,1,98.6,1.7,43,0,43,Landsat_8
2016,cropland,IN-PA-0000556,unprotected,tropical_moist,42,57,0,67.5,62.6,30.0,41,13655,0,198.7,2.13,70,0,62,MODIS
2018,forest,IN-PA-0000557,wildlife_sanctuary,mangrove,57,35,0,84.3,17.4,0.0,63,5588,0,38.0,0.11,53,0,64,Landsat_9
2022,urban,IN-PA-0000558,national_park,grassland,29,41,0,344.9,65.3,0.3,63,4474,0,118.4,1.92,87,0,72,Sentinel_2
2010,forest,IN-PA-0000559,wildlife_sanctuary,tropical_dry,38,34,0,20.6,28.5,37.2,70,1297,0,21.2,1.14,85,0,33,VIIRS
2014,water,IN-PA-0000560,unprotected,grassland,46,40,0,70.0,43.5,41.2,58,3372,0,42.6,3.44,50,0,44,Sentinel_2
2010,wetland,IN-PA-0000561,reserved_forest,desert,69,33,0,13.1,15.0,0.0,39,3838,0,4.1,0.84,32,0,30,Landsat_8
2006,cropland,IN-PA-0000562,reserved_forest,grassland,47,30,0,192.1,0.0,3.6,53,6532,0,189.2,1.53,40,0,49,Sentinel_2
2005,barren,IN-PA-0000563,unprotected,mangrove,54,35,1,19.4,41.6,0.6,34,14728,0,463.0,1.7,92,0,41,Sentinel_2
2009,urban,IN-PA-0000564,wildlife_sanctuary,tropical_dry,44,33,1,182.7,31.4,1.9,37,10622,0,101.6,0.0,60,0,50,Landsat_8
2013,cropland,IN-PA-0000565,unprotected,mixed,47,28,0,118.5,0.0,33.7,48,26600,0,223.5,2.8,93,0,41,Landsat_8
2020,cropland,IN-PA-0000566,reserved_forest,tropical_dry,67,40,0,49.2,46.9,38.4,7,6597,0,35.6,0.76,88,0,91,MODIS
2011,cropland,IN-PA-0000567,unprotected,tropical_dry,70,26,1,298.1,16.9,23.0,63,12789,0,97.0,1.07,84,0,54,MODIS
2024,cropland,IN-PA-0000568,community_reserve,tropical_dry,69,35,0,293.1,0.0,43.0,30,6965,0,4.4,0.91,47,0,35,Resourcesat_2
2021,cropland,IN-PA-0000569,unprotected,desert,91,33,0,73.5,16.2,31.3,14,3041,0,52.6,0.0,77,0,41,Cartosat_3
2021,forest,IN-PA-0000570,reserved_forest,tropical_moist,71,30,0,88.2,72.7,11.3,35,21914,0,132.5,1.08,67,0,51,Sentinel_2
2008,wetland,IN-PA-0000571,conservation_reserve,tropical_dry,68,24,0,28.2,50.2,66.0,61,3421,0,4.1,2.45,81,0,32,Sentinel_2
2010,urban,IN-PA-0000572,unprotected,montane,40,47,1,392.5,44.9,17.2,41,18112,0,15.6,2.09,40,0,41,Sentinel_2
2013,forest,IN-PA-0000573,unprotected,tropical_dry,52,35,1,94.5,51.1,17.7,9,7873,0,28.5,4.18,56,0,23,Resourcesat_2
2012,urban,IN-PA-0000574,unprotected,mixed,65,30,0,510.8,17.8,44.6,78,13518,1,168.2,1.54,72,1,38,VIIRS
2013,cropland,IN-PA-0000575,unprotected,tropical_moist,70,24,0,426.9,0.0,14.4,35,6582,1,3.1,1.37,86,0,32,VIIRS
2013,forest,IN-PA-0000576,national_park,tropical_moist,77,32,0,82.7,23.3,14.2,12,12194,0,41.3,2.45,26,0,14,Resourcesat_2
2012,cropland,IN-PA-0000577,unprotected,montane,50,41,0,20.3,42.9,26.0,22,20421,0,11.3,1.72,95,0,44,VIIRS
2014,water,IN-PA-0000578,national_park,tropical_moist,75,45,0,107.3,36.1,27.0,6,8262,0,0.5,1.72,52,0,33,Landsat_8
2013,wetland,IN-PA-0000579,unprotected,coastal,54,29,0,44.6,27.4,18.7,59,17187,0,74.6,0.36,30,0,11,MODIS
2013,cropland,IN-PA-0000580,community_reserve,tropical_moist,69,43,0,83.8,40.2,12.6,18,7715,0,81.7,2.43,31,0,62,Sentinel_2
2009,wetland,IN-PA-0000581,reserved_forest,mixed,28,28,0,230.0,50.2,3.4,21,60120,0,256.8,4.1,0,0,62,MODIS
2014,cropland,IN-PA-0000582,wildlife_sanctuary,tropical_dry,84,40,0,464.6,21.0,14.5,94,5813,0,70.7,3.06,35,0,34,MODIS
2020,forest,IN-PA-0000583,wildlife_sanctuary,tropical_dry,72,35,0,62.8,45.3,29.4,34,6495,0,86.5,4.07,48,0,58,VIIRS
2005,water,IN-PA-0000584,unprotected,montane,51,29,0,1461.9,65.4,17.9,31,13346,0,72.7,1.06,78,0,30,Landsat_9
2021,cropland,IN-PA-0000585,wildlife_sanctuary,tropical_dry,68,43,0,33.9,64.3,55.8,50,11966,0,33.4,0.21,76,0,35,Resourcesat_2
2011,forest,IN-PA-0000586,reserved_forest,tropical_dry,70,34,0,59.2,15.0,9.2,1,5380,0,11.6,1.04,66,0,41,Landsat_8
2014,grassland,IN-PA-0000587,unprotected,mangrove,84,24,0,329.5,58.8,0.0,67,8584,1,15.5,0.29,71,0,69,VIIRS
2022,water,IN-PA-0000588,reserved_forest,mixed,53,35,0,37.2,21.5,11.9,36,9277,0,185.6,3.85,75,0,47,Sentinel_2
2017,urban,IN-PA-0000589,reserved_forest,tropical_moist,43,32,0,305.8,42.1,13.3,53,30861,0,57.5,1.75,77,0,60,MODIS
2024,cropland,IN-PA-0000590,unprotected,tropical_dry,67,39,1,123.1,62.0,35.6,41,3438,0,115.3,0.0,72,0,18,MODIS
2008,grassland,IN-PA-0000591,unprotected,coastal,52,28,0,63.7,0.0,17.6,58,12876,0,25.3,1.39,37,0,38,Sentinel_2
2016,forest,IN-PA-0000592,unprotected,mixed,84,35,1,366.3,3.0,24.3,30,20992,0,227.5,2.25,59,0,60,Sentinel_2
2021,cropland,IN-PA-0000593,unprotected,mixed,53,29,1,45.0,20.9,33.8,47,5898,0,84.8,1.34,76,0,45,Sentinel_2
2005,urban,IN-PA-0000594,reserved_forest,grassland,63,41,0,141.6,19.2,49.1,82,32129,0,219.6,1.18,16,0,43,VIIRS
2020,shrubland,IN-PA-0000595,wildlife_sanctuary,montane,49,38,0,518.5,7.9,0.0,7,4321,0,21.7,2.15,61,0,40,Sentinel_2
2025,urban,IN-PA-0000596,national_park,mixed,61,31,0,18.5,32.5,31.6,96,24747,0,17.4,0.05,50,0,62,MODIS
2018,cropland,IN-PA-0000597,unprotected,riverine,59,23,0,91.5,21.7,15.8,62,47060,0,39.2,1.45,37,1,47,Sentinel_2
2018,cropland,IN-PA-0000598,conservation_reserve,tropical_moist,39,35,0,568.9,38.9,17.2,35,46366,0,242.6,0.0,59,0,25,Landsat_8
2024,cropland,IN-PA-0000599,reserved_forest,tropical_dry,61,34,0,89.0,21.3,12.0,13,7057,0,115.5,2.32,54,0,35,Cartosat_3
2018,urban,IN-PA-0000600,conservation_reserve,mixed,35,43,1,34.5,76.8,0.0,7,8268,0,134.5,2.34,40,0,85,Landsat_8
2011,forest,IN-PA-0000601,unprotected,mixed,73,25,0,746.1,27.0,5.1,17,5926,0,226.9,1.76,59,0,45,MODIS
2005,cropland,IN-PA-0000602,wildlife_sanctuary,mangrove,79,33,0,246.5,44.3,7.7,51,14435,0,23.7,2.02,44,1,12,Landsat_9
2014,barren,IN-PA-0000603,unprotected,tropical_dry,47,39,0,113.3,67.9,36.2,33,15171,0,226.8,1.05,64,0,52,Sentinel_2
2020,water,IN-PA-0000604,unprotected,mangrove,72,38,0,117.7,9.4,49.9,49,7110,0,67.4,1.98,76,0,59,Landsat_8
2025,water,IN-PA-0000605,wildlife_sanctuary,tropical_moist,56,27,0,38.1,28.5,18.8,56,24076,0,125.1,2.33,57,0,69,Resourcesat_2
2022,forest,IN-PA-0000606,unprotected,grassland,68,33,0,146.6,7.2,33.8,49,7905,0,174.4,2.01,79,0,42,Landsat_9
2016,shrubland,IN-PA-0000607,unprotected,mixed,62,33,0,661.5,3.0,0.0,11,14610,1,44.7,2.1,71,0,82,Resourcesat_2
2011,forest,IN-PA-0000608,unprotected,tropical_dry,51,33,0,61.0,0.0,23.5,45,6547,0,18.5,3.17,54,0,56,Landsat_8
2025,urban,IN-PA-0000609,wildlife_sanctuary,tropical_moist,38,37,0,143.1,7.7,5.3,44,7715,0,78.1,1.43,67,0,84,Landsat_8
2014,forest,IN-PA-0000610,unprotected,grassland,81,22,1,276.1,65.8,17.6,13,3221,1,5.5,0.97,34,0,45,Landsat_9
2014,cropland,IN-PA-0000611,unprotected,tropical_dry,80,30,0,99.8,10.8,34.8,0,9747,0,87.2,1.17,66,0,67,Landsat_8
