demo_migflow_move_year,demo_migflow_origin_geoid,demo_migflow_destination_geoid,demo_migflow_move_type_code,demo_migflow_age_at_move,demo_migflow_household_size_at_move,demo_migflow_primary_reason_for_move,demo_migflow_housing_tenure_before_move,demo_migflow_housing_tenure_after_move,demo_migflow_distance_miles_estimate,demo_migflow_commute_change_minutes,demo_migflow_income_bracket_before_move,demo_migflow_income_bracket_after_move,demo_migflow_education_level,demo_migflow_citizenship_status,demo_migflow_foreign_born_indicator,demo_migflow_interstate_flow_count,demo_migflow_intrastate_flow_count,demo_migflow_survey_weight,demo_migflow_data_collection_wave
2016,18001,03001,INTERSTATE,73,4,OTHER,OTHER,OTHER,2236.6,55,75_100K,75_100K,GRAD,NATURALIZED,0,79,124,0.8488,W1
2025,18002,03002,INTERNATIONAL_OUT,49,2,HEALTH,OWN,OTHER,2129.6,-29,LT25K,LT25K,GRAD,NATURALIZED,1,77,121,1.7278,W4
2020,18003,03003,INTERNATIONAL_IN,29,7,RETIREMENT,OWN,OTHER,2440.3,-39,75_100K,75_100K,LT_HS,NATURALIZED,0,88,110,2.5065,W4
2023,18004,03004,INTERNATIONAL_OUT,72,3,SCHOOL,OWN,OTHER,604.4,32,100_150K,LT25K,HS,NATURALIZED,1,68,120,0.256,W2
2016,18005,03005,INTERNATIONAL_OUT,15,2,FAMILY,OTHER,OWN,2578.6,-6,150K_PLUS,25_50K,SOME_COLLEGE,NATURALIZED,1,96,136,2.7749,W2
2018,18006,03006,INTERNATIONAL_OUT,51,6,SCHOOL,OTHER,OTHER,3104.5,47,50_75K,LT25K,SOME_COLLEGE,NATURALIZED,0,82,113,3.3273,W1
2016,18007,03007,INTERSTATE,3,5,SCHOOL,OTHER,RENT,1957.5,16,50_75K,50_75K,SOME_COLLEGE,NONCITIZEN,1,96,113,0.4689,W2
2021,18008,03008,INTRASTATE,25,5,HEALTH,RENT,OWN,40.0,0,25_50K,50_75K,SOME_COLLEGE,NATURALIZED,1,72,122,3.1638,W3
2025,18009,03009,INTRASTATE,28,3,FAMILY,OWN,RENT,231.2,61,50_75K,25_50K,GRAD,NONCITIZEN,0,94,131,1.7327,W4
2016,18010,03010,INTRASTATE,10,7,RETIREMENT,OWN,OWN,751.4,31,100_150K,LT25K,GRAD,NONCITIZEN,1,91,128,1.9015,W3
2025,18011,03011,INTERNATIONAL_OUT,23,5,OTHER,RENT,OWN,1571.8,6,100_150K,LT25K,LT_HS,NONCITIZEN,0,84,115,2.9724,W5
2018,18012,03012,INTERNATIONAL_IN,50,7,SCHOOL,RENT,OWN,1324.3,69,150K_PLUS,50_75K,LT_HS,NATURALIZED,0,87,121,2.1459,W2
2020,18013,03013,INTERNATIONAL_OUT,41,5,HOUSING_COST,RENT,RENT,3133.5,53,50_75K,25_50K,LT_HS,NATURALIZED,1,98,132,1.3597,W1
2020,18014,03014,INTERNATIONAL_OUT,38,7,RETIREMENT,RENT,RENT,3025.9,60,150K_PLUS,50_75K,BACH,NONCITIZEN,1,83,98,2.6176,W5
2017,18015,03015,INTERNATIONAL_IN,6,5,HEALTH,OWN,OTHER,1257.0,100,75_100K,25_50K,ASSOC,NONCITIZEN,1,92,94,0.6565,W5
2018,18016,03016,INTRASTATE,17,1,FAMILY,RENT,RENT,2541.9,2,100_150K,50_75K,SOME_COLLEGE,NATURALIZED,1,83,130,2.3987,W1
2024,18017,03017,INTRASTATE,2,3,JOB,RENT,OTHER,2036.5,83,50_75K,100_150K,ASSOC,CITIZEN,0,81,106,2.7563,W5
2016,18018,03018,INTRASTATE,62,7,MILITARY,OWN,OWN,778.4,68,50_75K,LT25K,SOME_COLLEGE,CITIZEN,1,79,100,1.3047,W3
2016,18019,03019,INTERNATIONAL_OUT,19,3,HOUSING_COST,OWN,OTHER,2979.8,24,75_100K,75_100K,SOME_COLLEGE,CITIZEN,1,73,105,3.4018,W5
2017,18020,03020,INTERNATIONAL_OUT,72,2,RETIREMENT,OWN,RENT,830.8,3,150K_PLUS,100_150K,SOME_COLLEGE,NATURALIZED,1,76,115,2.314,W1
2023,18021,03021,INTERSTATE,73,6,MILITARY,OWN,OWN,2785.2,59,50_75K,50_75K,LT_HS,NONCITIZEN,0,88,116,0.5157,W4
2021,18022,03022,INTRASTATE,69,3,FAMILY,OTHER,OWN,2040.6,8,LT25K,25_50K,GRAD,CITIZEN,0,90,125,3.3887,W2
2019,18023,03023,INTERNATIONAL_OUT,16,7,HOUSING_COST,OTHER,OTHER,1987.8,63,25_50K,75_100K,BACH,NONCITIZEN,0,85,106,2.6552,W1
2022,18024,03024,INTERSTATE,78,4,RETIREMENT,OTHER,OTHER,2683.0,60,100_150K,25_50K,SOME_COLLEGE,NATURALIZED,1,92,137,2.4956,W3
2021,18025,03025,INTERNATIONAL_OUT,58,3,MILITARY,OTHER,RENT,1582.0,84,75_100K,150K_PLUS,SOME_COLLEGE,NONCITIZEN,0,83,153,1.0357,W3
2024,18026,03026,INTERNATIONAL_OUT,53,7,OTHER,OWN,OWN,2730.9,-21,75_100K,25_50K,SOME_COLLEGE,CITIZEN,0,84,104,1.7614,W4
2021,18027,03027,INTRASTATE,12,4,JOB,OTHER,OTHER,1761.0,41,25_50K,150K_PLUS,HS,NATURALIZED,1,77,120,3.1735,W3
2017,18028,03028,INTERNATIONAL_IN,41,5,RETIREMENT,RENT,OWN,3150.9,68,LT25K,150K_PLUS,SOME_COLLEGE,NONCITIZEN,1,77,118,1.2169,W1
2018,18029,03029,INTERNATIONAL_OUT,43,6,OTHER,RENT,RENT,2111.9,-48,25_50K,LT25K,LT_HS,NATURALIZED,0,102,116,1.597,W3
2024,18030,03030,INTERNATIONAL_OUT,85,7,JOB,RENT,OWN,1197.3,-43,50_75K,50_75K,LT_HS,CITIZEN,0,78,101,1.0473,W4
2022,18031,03031,INTERNATIONAL_OUT,79,4,JOB,OTHER,OTHER,2442.9,7,150K_PLUS,LT25K,ASSOC,CITIZEN,1,79,138,0.9125,W4
2021,18032,03032,INTRASTATE,66,6,SCHOOL,OTHER,RENT,1631.9,50,75_100K,150K_PLUS,GRAD,CITIZEN,1,90,122,0.3443,W5
2020,18033,03033,INTERNATIONAL_OUT,71,6,HEALTH,RENT,RENT,2579.4,-47,150K_PLUS,25_50K,GRAD,NATURALIZED,0,75,103,2.6318,W5
2018,18034,03034,INTERSTATE,19,1,FAMILY,OTHER,OWN,2667.2,72,150K_PLUS,LT25K,LT_HS,NATURALIZED,0,88,125,0.4995,W3
2019,18035,03035,INTRASTATE,46,7,SCHOOL,OWN,OTHER,1974.3,1,150K_PLUS,100_150K,ASSOC,CITIZEN,0,76,119,1.9534,W3
2016,18036,03036,INTERSTATE,23,6,JOB,OTHER,OWN,2791.1,100,150K_PLUS,150K_PLUS,BACH,NATURALIZED,0,84,119,0.3643,W3
2020,18037,03037,INTRASTATE,50,5,FAMILY,RENT,OWN,1291.3,-35,50_75K,25_50K,HS,NATURALIZED,0,80,114,3.4468,W3
2022,18038,03038,INTERNATIONAL_OUT,17,7,FAMILY,RENT,OWN,184.1,-31,75_100K,25_50K,LT_HS,CITIZEN,1,77,128,2.5412,W5
2017,18039,03039,INTERNATIONAL_OUT,22,7,FAMILY,OTHER,OTHER,2120.6,1,150K_PLUS,100_150K,SOME_COLLEGE,CITIZEN,1,89,112,2.2803,W1
2023,18040,03040,INTERSTATE,0,4,HOUSING_COST,OTHER,OWN,2446.4,20,75_100K,25_50K,BACH,NONCITIZEN,0,98,123,0.8151,W1
2025,18041,03041,INTERSTATE,65,6,RETIREMENT,RENT,OWN,233.4,9,150K_PLUS,75_100K,SOME_COLLEGE,CITIZEN,1,75,107,1.9426,W1
2021,18042,03042,INTRASTATE,4,5,JOB,RENT,RENT,2467.0,30,50_75K,75_100K,ASSOC,NATURALIZED,1,95,118,1.8617,W5
2025,18043,03043,INTRASTATE,17,1,FAMILY,OTHER,RENT,2045.5,-25,25_50K,50_75K,ASSOC,NONCITIZEN,1,74,130,1.3835,W1
2018,18044,03044,INTERNATIONAL_IN,79,5,MILITARY,OTHER,RENT,373.0,-54,150K_PLUS,50_75K,HS,NATURALIZED,1,84,120,0.7152,W1
2017,18045,03045,INTERNATIONAL_IN,73,5,HOUSING_COST,RENT,OTHER,1728.0,4,100_150K,LT25K,BACH,NONCITIZEN,1,82,117,1.4115,W5
2023,18046,03046,INTERNATIONAL_IN,34,3,HOUSING_COST,RENT,OWN,348.4,16,100_150K,LT25K,ASSOC,NATURALIZED,0,81,118,2.21,W2
2019,18047,03047,INTERNATIONAL_OUT,24,2,MILITARY,RENT,OWN,1029.5,-20,25_50K,100_150K,SOME_COLLEGE,NONCITIZEN,0,79,120,1.8083,W3
2022,18048,03048,INTERSTATE,23,4,JOB,RENT,RENT,2572.8,-29,LT25K,100_150K,GRAD,NONCITIZEN,1,88,132,2.0811,W3
2022,18049,03049,INTERSTATE,12,2,SCHOOL,RENT,OWN,323.0,81,25_50K,150K_PLUS,LT_HS,NATURALIZED,0,90,121,2.0877,W2
2025,18050,03050,INTERNATIONAL_IN,20,1,HOUSING_COST,RENT,OTHER,1470.3,100,25_50K,25_50K,LT_HS,NONCITIZEN,1,86,132,1.0074,W4
2024,18051,03051,INTERNATIONAL_IN,38,1,JOB,RENT,OWN,1938.5,-31,25_50K,50_75K,GRAD,NATURALIZED,1,72,125,0.5662,W1
2025,18052,03052,INTRASTATE,33,5,HOUSING_COST,OTHER,RENT,3009.7,-55,100_150K,150K_PLUS,BACH,NATURALIZED,0,71,126,1.9218,W2
2023,18053,03053,INTERNATIONAL_IN,18,2,JOB,OWN,OTHER,2359.4,-51,75_100K,50_75K,BACH,NONCITIZEN,1,81,111,3.1448,W1
2023,18054,03054,INTERSTATE,27,4,FAMILY,OWN,OWN,446.0,42,LT25K,50_75K,ASSOC,CITIZEN,0,96,139,3.4847,W2
2022,18055,03055,INTRASTATE,89,7,HEALTH,OTHER,OWN,3100.4,-41,LT25K,50_75K,LT_HS,CITIZEN,1,86,138,2.7935,W3
2025,18056,03056,INTERNATIONAL_IN,10,4,SCHOOL,OWN,OWN,1529.7,28,LT25K,LT25K,GRAD,CITIZEN,1,67,94,0.9297,W1
2020,18057,03057,INTERNATIONAL_OUT,48,7,MILITARY,OTHER,OTHER,1183.4,63,50_75K,75_100K,HS,NATURALIZED,1,71,110,2.2801,W5
2024,18058,03058,INTERNATIONAL_IN,34,5,HOUSING_COST,OTHER,OWN,412.3,57,150K_PLUS,150K_PLUS,GRAD,NATURALIZED,0,83,146,0.9883,W3
2022,18059,03059,INTERNATIONAL_OUT,83,4,MILITARY,OTHER,RENT,2987.2,-49,25_50K,100_150K,HS,CITIZEN,0,66,136,2.1023,W3
2018,18060,03060,INTERNATIONAL_IN,75,3,OTHER,OTHER,RENT,1876.1,-39,75_100K,100_150K,GRAD,NATURALIZED,1,94,103,1.7863,W3
2021,18061,03061,INTRASTATE,56,7,HOUSING_COST,OWN,RENT,3161.6,15,75_100K,50_75K,GRAD,CITIZEN,0,92,111,1.4591,W1
2018,18062,03062,INTERNATIONAL_OUT,27,2,HOUSING_COST,OTHER,RENT,556.8,-47,50_75K,50_75K,GRAD,NATURALIZED,1,83,119,2.3174,W4
2021,18063,03063,INTERNATIONAL_OUT,65,1,HEALTH,RENT,OTHER,1746.9,45,100_150K,LT25K,GRAD,NATURALIZED,0,85,119,3.0304,W2
2023,18064,03064,INTRASTATE,64,4,RETIREMENT,OTHER,RENT,352.1,115,50_75K,LT25K,GRAD,NATURALIZED,1,91,133,1.3137,W2
2024,18065,03065,INTERNATIONAL_OUT,72,7,RETIREMENT,OWN,RENT,1677.9,-25,50_75K,100_150K,GRAD,CITIZEN,1,82,110,1.8046,W5
2017,18066,03066,INTRASTATE,21,4,HEALTH,OWN,RENT,2847.4,-6,25_50K,50_75K,HS,NONCITIZEN,1,72,115,1.7042,W4
2021,18067,03067,INTERNATIONAL_IN,50,4,MILITARY,OWN,OTHER,350.3,-47,100_150K,50_75K,HS,NATURALIZED,0,69,122,1.0224,W3
2018,18068,03068,INTRASTATE,8,5,FAMILY,OWN,OTHER,863.2,-59,150K_PLUS,150K_PLUS,ASSOC,NATURALIZED,1,82,115,1.5897,W2
2022,18069,03069,INTRASTATE,70,1,HOUSING_COST,RENT,OWN,2183.8,-59,150K_PLUS,100_150K,GRAD,CITIZEN,0,80,135,0.2712,W1
2019,18070,03070,INTRASTATE,35,7,OTHER,OTHER,RENT,244.6,0,50_75K,LT25K,SOME_COLLEGE,CITIZEN,0,85,116,1.9075,W3
2020,18071,03071,INTRASTATE,53,2,SCHOOL,RENT,OWN,1453.0,46,150K_PLUS,150K_PLUS,HS,NATURALIZED,0,67,121,2.5786,W3
2025,18072,03072,INTERSTATE,37,4,OTHER,OTHER,OTHER,1066.1,46,75_100K,100_150K,ASSOC,NATURALIZED,0,65,122,1.4131,W4
2021,18073,03073,INTERNATIONAL_OUT,65,3,RETIREMENT,OTHER,OWN,2682.2,73,25_50K,LT25K,HS,NONCITIZEN,0,81,114,2.6637,W4
2023,18074,03074,INTERNATIONAL_IN,42,6,JOB,RENT,OTHER,157.5,92,150K_PLUS,LT25K,HS,NATURALIZED,1,64,121,2.6772,W2
2017,18075,03075,INTRASTATE,4,7,JOB,RENT,OWN,2762.9,-38,100_150K,150K_PLUS,GRAD,NATURALIZED,1,76,128,3.4476,W2
2019,18076,03076,INTERSTATE,80,5,JOB,OWN,RENT,2251.8,12,75_100K,150K_PLUS,SOME_COLLEGE,NATURALIZED,0,79,122,2.0016,W3
2019,18077,03077,INTERSTATE,36,2,FAMILY,OTHER,OTHER,951.4,34,LT25K,LT25K,HS,NONCITIZEN,0,71,116,1.5334,W5
2021,18078,03078,INTERNATIONAL_IN,57,4,HEALTH,OTHER,OTHER,633.3,-33,25_50K,50_75K,ASSOC,NATURALIZED,1,69,131,2.3104,W3
2019,18079,03079,INTERNATIONAL_OUT,62,2,HOUSING_COST,OTHER,OTHER,3040.6,-36,75_100K,100_150K,GRAD,NONCITIZEN,1,81,92,2.2677,W1
2020,18080,03080,INTERNATIONAL_IN,50,5,HOUSING_COST,OTHER,RENT,1772.7,38,50_75K,LT25K,ASSOC,CITIZEN,0,106,111,3.4582,W5
2020,18081,03081,INTRASTATE,71,7,MILITARY,OTHER,RENT,1103.6,4,50_75K,75_100K,LT_HS,NATURALIZED,0,71,118,2.5354,W2
2023,18082,03082,INTERNATIONAL_OUT,42,6,OTHER,OTHER,OTHER,142.8,-18,25_50K,LT25K,BACH,NATURALIZED,0,81,106,1.2117,W5
2019,18083,03083,INTERNATIONAL_OUT,66,3,OTHER,OWN,OTHER,530.9,-21,100_150K,LT25K,HS,NATURALIZED,0,81,109,0.8188,W5
2021,18084,03084,INTERNATIONAL_IN,66,7,RETIREMENT,OTHER,RENT,1914.3,-38,50_75K,150K_PLUS,GRAD,NATURALIZED,1,73,138,2.816,W2
2022,18085,03085,INTERNATIONAL_IN,64,4,JOB,OWN,RENT,1642.2,116,75_100K,LT25K,HS,NONCITIZEN,1,91,133,0.7932,W1
2023,18086,03086,INTERNATIONAL_OUT,61,3,FAMILY,OTHER,RENT,2424.5,-53,LT25K,25_50K,ASSOC,CITIZEN,0,84,126,2.2706,W1
2024,18087,03087,INTERNATIONAL_IN,87,5,MILITARY,OTHER,RENT,2671.6,67,100_150K,150K_PLUS,HS,CITIZEN,0,80,116,0.6366,W4
2025,18088,03088,INTERNATIONAL_OUT,62,3,SCHOOL,RENT,RENT,1271.3,-54,25_50K,75_100K,GRAD,NONCITIZEN,0,79,152,2.5717,W4
2023,18089,03089,INTERNATIONAL_IN,29,5,HOUSING_COST,OTHER,RENT,323.4,-40,50_75K,50_75K,ASSOC,NONCITIZEN,0,104,125,2.7836,W1
2019,18090,03090,INTERNATIONAL_OUT,89,6,HOUSING_COST,RENT,OWN,2533.0,-26,100_150K,150K_PLUS,LT_HS,NONCITIZEN,1,93,104,3.4688,W1
2019,18091,03091,INTRASTATE,37,3,FAMILY,RENT,RENT,1772.2,40,LT25K,100_150K,GRAD,NONCITIZEN,0,87,109,3.3489,W4
2025,18092,03092,INTERSTATE,50,2,MILITARY,RENT,RENT,3135.3,38,100_150K,100_150K,HS,NATURALIZED,1,81,128,2.5556,W4
2020,18093,03093,INTERNATIONAL_IN,37,7,MILITARY,OWN,OTHER,2548.4,21,100_150K,150K_PLUS,GRAD,NATURALIZED,0,86,140,1.1158,W1
2018,18094,03094,INTERNATIONAL_OUT,66,2,RETIREMENT,RENT,OTHER,1053.4,0,25_50K,100_150K,GRAD,NONCITIZEN,1,81,108,0.3443,W2
2017,18095,03095,INTERSTATE,76,5,HEALTH,RENT,OWN,1371.5,13,LT25K,150K_PLUS,LT_HS,NATURALIZED,0,95,134,2.0323,W1
2017,18096,03096,INTERSTATE,47,2,FAMILY,RENT,RENT,754.2,97,LT25K,50_75K,LT_HS,NATURALIZED,0,77,117,2.7277,W2
2024,18097,03097,INTERSTATE,11,6,MILITARY,OTHER,OTHER,1638.6,48,100_150K,LT25K,BACH,CITIZEN,1,94,102,0.2351,W2
2023,18098,03098,INTERNATIONAL_IN,19,3,RETIREMENT,OWN,OTHER,2274.5,7,50_75K,75_100K,ASSOC,NATURALIZED,1,85,107,1.9318,W2
2021,18099,03099,INTERNATIONAL_IN,71,7,MILITARY,OWN,OWN,1960.2,76,100_150K,100_150K,LT_HS,CITIZEN,1,86,134,3.1135,W4
2024,18100,03100,INTRASTATE,1,3,HOUSING_COST,OWN,RENT,1095.0,-44,75_100K,25_50K,ASSOC,NATURALIZED,0,87,135,2.3028,W3
2020,18101,03101,INTERNATIONAL_IN,74,7,RETIREMENT,OWN,OTHER,2634.6,-18,50_75K,25_50K,BACH,CITIZEN,1,89,126,2.4565,W1
2025,18102,03102,INTERNATIONAL_IN,84,4,MILITARY,OTHER,RENT,336.6,42,25_50K,75_100K,ASSOC,CITIZEN,0,100,124,1.7653,W5
2016,18103,03103,INTERNATIONAL_IN,54,5,HEALTH,RENT,OWN,456.6,27,LT25K,100_150K,GRAD,CITIZEN,0,87,112,3.3124,W5
2023,18104,03104,INTERSTATE,5,2,HEALTH,OTHER,OWN,1293.6,42,150K_PLUS,LT25K,BACH,CITIZEN,1,75,118,1.4363,W1
2018,18105,03105,INTRASTATE,82,6,RETIREMENT,OWN,RENT,2247.3,80,50_75K,100_150K,HS,NONCITIZEN,1,75,113,1.451,W2
2024,18106,03106,INTERSTATE,61,5,HEALTH,OTHER,OWN,2221.5,93,25_50K,LT25K,BACH,NATURALIZED,1,88,107,1.9085,W4
2016,18107,03107,INTRASTATE,48,2,RETIREMENT,OTHER,OTHER,1173.2,1,100_150K,100_150K,BACH,NONCITIZEN,0,68,146,2.1336,W4
2018,18108,03108,INTERNATIONAL_IN,83,4,HEALTH,OWN,OWN,2229.3,-42,25_50K,25_50K,BACH,NATURALIZED,0,79,121,1.9735,W2
2016,18109,03109,INTERNATIONAL_OUT,53,3,MILITARY,RENT,OWN,194.3,20,75_100K,50_75K,SOME_COLLEGE,NONCITIZEN,0,76,121,2.9015,W1
2016,18110,03110,INTERNATIONAL_IN,9,7,RETIREMENT,OTHER,RENT,928.4,-31,150K_PLUS,150K_PLUS,LT_HS,NATURALIZED,1,95,130,2.9539,W5
2021,18111,03111,INTERSTATE,23,3,HEALTH,OWN,OTHER,2220.2,66,25_50K,75_100K,ASSOC,NONCITIZEN,1,86,111,0.6345,W4
2019,18112,03112,INTERSTATE,28,6,JOB,OTHER,RENT,589.3,-48,150K_PLUS,LT25K,GRAD,NONCITIZEN,0,73,108,2.1673,W2
2025,18113,03113,INTERSTATE,5,1,HEALTH,OTHER,RENT,681.1,116,150K_PLUS,50_75K,ASSOC,CITIZEN,1,69,110,3.4469,W4
2019,18114,03114,INTRASTATE,57,5,JOB,OTHER,RENT,278.5,21,50_75K,LT25K,SOME_COLLEGE,NONCITIZEN,0,83,107,2.1789,W2
2020,18115,03115,INTERSTATE,77,2,MILITARY,RENT,OWN,1166.6,60,LT25K,75_100K,HS,CITIZEN,1,67,113,2.4709,W4
2018,18116,03116,INTERNATIONAL_OUT,56,1,JOB,OTHER,OWN,2639.9,55,50_75K,50_75K,GRAD,CITIZEN,1,69,141,3.0425,W5
2017,18117,03117,INTERNATIONAL_OUT,2,5,JOB,OTHER,RENT,2676.4,118,50_75K,50_75K,LT_HS,NONCITIZEN,1,91,121,3.0598,W4
2025,18118,03118,INTERNATIONAL_IN,23,7,FAMILY,RENT,OWN,2759.6,50,LT25K,150K_PLUS,LT_HS,NATURALIZED,0,85,124,0.2567,W1
2023,18119,03119,INTRASTATE,18,2,HEALTH,OTHER,OWN,117.9,-52,75_100K,150K_PLUS,LT_HS,NONCITIZEN,1,79,124,0.9901,W3
2022,18120,03120,INTRASTATE,8,4,SCHOOL,OTHER,RENT,3179.2,-32,50_75K,75_100K,LT_HS,CITIZEN,0,78,146,3.0475,W2
2025,18121,03121,INTERNATIONAL_IN,29,5,MILITARY,RENT,OTHER,1608.7,32,LT25K,75_100K,SOME_COLLEGE,CITIZEN,0,84,120,2.4014,W3
2019,18122,03122,INTERSTATE,76,2,RETIREMENT,OWN,OTHER,2792.8,49,LT25K,LT25K,ASSOC,NONCITIZEN,0,89,128,2.2846,W5
2017,18123,03123,INTERSTATE,81,7,FAMILY,OTHER,OWN,2896.4,75,50_75K,50_75K,HS,NONCITIZEN,0,88,118,3.0378,W5
2024,18124,03124,INTERNATIONAL_IN,43,3,MILITARY,OWN,OTHER,1646.6,47,150K_PLUS,75_100K,GRAD,NONCITIZEN,1,71,111,2.8616,W3
2023,18125,03125,INTERNATIONAL_IN,52,5,JOB,OWN,OTHER,164.0,20,LT25K,150K_PLUS,GRAD,NONCITIZEN,0,84,137,2.6795,W5
2019,18126,03126,INTERNATIONAL_IN,85,2,RETIREMENT,OWN,OWN,1912.1,-46,150K_PLUS,LT25K,HS,NATURALIZED,1,102,115,0.3563,W5
2020,18127,03127,INTERNATIONAL_IN,67,6,SCHOOL,RENT,OTHER,1069.4,101,100_150K,100_150K,HS,CITIZEN,0,77,117,2.7795,W2
2025,18128,03128,INTRASTATE,59,3,MILITARY,RENT,OWN,662.0,119,50_75K,150K_PLUS,SOME_COLLEGE,NONCITIZEN,1,88,121,0.862,W2
2021,18129,03129,INTRASTATE,22,7,RETIREMENT,OTHER,RENT,584.4,117,150K_PLUS,75_100K,SOME_COLLEGE,NONCITIZEN,0,74,123,0.2858,W2
2019,18130,03130,INTERSTATE,60,3,HEALTH,OWN,OTHER,1789.9,-56,75_100K,150K_PLUS,BACH,NONCITIZEN,1,83,124,1.8232,W1
2017,18131,03131,INTRASTATE,6,1,HEALTH,RENT,RENT,334.8,37,100_150K,150K_PLUS,SOME_COLLEGE,CITIZEN,0,82,110,3.3098,W1
2020,18132,03132,INTRASTATE,43,2,HOUSING_COST,RENT,RENT,2629.4,-52,75_100K,50_75K,LT_HS,CITIZEN,0,80,137,3.1253,W1
2016,18133,03133,INTRASTATE,54,1,HOUSING_COST,OWN,OWN,727.7,-56,150K_PLUS,100_150K,ASSOC,CITIZEN,1,77,115,3.4408,W1
2022,18134,03134,INTERNATIONAL_IN,74,6,MILITARY,RENT,OTHER,1758.0,94,50_75K,75_100K,HS,NONCITIZEN,1,71,130,1.0136,W3
2024,18135,03135,INTRASTATE,38,7,FAMILY,OWN,OTHER,401.9,52,25_50K,25_50K,SOME_COLLEGE,CITIZEN,1,82,102,2.4948,W2
2018,18136,03136,INTERSTATE,58,1,SCHOOL,RENT,OTHER,2750.9,56,LT25K,50_75K,ASSOC,NONCITIZEN,1,80,134,0.3843,W5
2021,18137,03137,INTRASTATE,4,4,FAMILY,OWN,OTHER,2214.8,23,100_150K,150K_PLUS,LT_HS,NONCITIZEN,0,80,137,2.8514,W4
2024,18138,03138,INTERNATIONAL_IN,41,1,RETIREMENT,RENT,OWN,661.3,-14,50_75K,50_75K,SOME_COLLEGE,NATURALIZED,1,90,128,1.9284,W1
2019,18139,03139,INTRASTATE,88,1,SCHOOL,RENT,RENT,2290.5,1,LT25K,LT25K,SOME_COLLEGE,NATURALIZED,0,71,142,3.4877,W5
2021,18140,03140,INTERNATIONAL_OUT,13,7,MILITARY,RENT,OTHER,265.7,-16,150K_PLUS,25_50K,ASSOC,NATURALIZED,1,76,123,0.992,W2
2018,18141,03141,INTERSTATE,26,4,FAMILY,RENT,OTHER,2471.2,5,25_50K,75_100K,GRAD,CITIZEN,1,84,120,2.7893,W3
2024,18142,03142,INTRASTATE,15,4,RETIREMENT,OWN,OWN,1569.4,-38,75_100K,25_50K,GRAD,NATURALIZED,0,63,103,0.7642,W5
2022,18143,03143,INTERSTATE,1,5,JOB,OTHER,OTHER,385.0,37,50_75K,150K_PLUS,LT_HS,CITIZEN,1,77,124,1.1477,W4
2022,18144,03144,INTERNATIONAL_IN,18,1,RETIREMENT,OTHER,OTHER,1761.8,32,50_75K,75_100K,SOME_COLLEGE,NONCITIZEN,1,78,114,1.1754,W5
2019,18145,03145,INTERSTATE,22,3,HEALTH,RENT,RENT,643.2,-18,150K_PLUS,LT25K,ASSOC,NATURALIZED,1,66,132,2.107,W2
2021,18146,03146,INTERNATIONAL_OUT,40,4,FAMILY,OTHER,OTHER,2153.0,102,25_50K,150K_PLUS,LT_HS,NATURALIZED,1,82,121,1.4049,W5
2023,18147,03147,INTERNATIONAL_OUT,13,2,MILITARY,RENT,OTHER,2267.7,97,75_100K,150K_PLUS,SOME_COLLEGE,CITIZEN,1,87,113,1.6478,W3
2021,18148,03148,INTERSTATE,46,5,MILITARY,OTHER,RENT,2434.8,6,50_75K,100_150K,GRAD,CITIZEN,1,72,114,1.922,W2
2021,18149,03149,INTERNATIONAL_IN,62,7,SCHOOL,RENT,OTHER,2863.6,77,150K_PLUS,25_50K,SOME_COLLEGE,NATURALIZED,1,98,128,0.3855,W1
2019,18150,03150,INTERSTATE,89,5,OTHER,OTHER,RENT,2096.0,67,LT25K,50_75K,HS,CITIZEN,1,79,131,2.3957,W2
2023,18151,03151,INTRASTATE,7,1,SCHOOL,OTHER,OWN,1573.9,-5,150K_PLUS,75_100K,BACH,CITIZEN,1,65,124,2.3426,W5
2025,18152,03152,INTRASTATE,26,6,OTHER,RENT,RENT,2733.6,-27,25_50K,25_50K,LT_HS,CITIZEN,1,78,120,3.3838,W4
2023,18153,03153,INTERSTATE,39,3,OTHER,OTHER,RENT,2879.6,4,50_75K,75_100K,ASSOC,NONCITIZEN,0,87,103,0.6402,W2
2024,18154,03154,INTRASTATE,27,6,JOB,RENT,OTHER,2501.7,-55,150K_PLUS,25_50K,HS,NATURALIZED,1,87,123,0.3022,W2
2021,18155,03155,INTRASTATE,67,6,OTHER,OTHER,OTHER,3015.8,110,75_100K,50_75K,SOME_COLLEGE,CITIZEN,1,88,111,0.6396,W2
2017,18156,03156,INTERNATIONAL_IN,60,7,FAMILY,OWN,OTHER,3134.2,-45,100_150K,75_100K,ASSOC,CITIZEN,1,85,129,1.5941,W2
2019,18157,03157,INTERSTATE,37,4,HEALTH,OWN,OTHER,804.6,72,50_75K,75_100K,HS,NONCITIZEN,1,67,118,0.906,W5
2019,18158,03158,INTRASTATE,74,2,MILITARY,OWN,RENT,588.2,-36,75_100K,100_150K,HS,NONCITIZEN,0,92,112,0.9138,W1
2023,18159,03159,INTERSTATE,23,1,MILITARY,RENT,OWN,1435.8,-34,25_50K,LT25K,GRAD,NONCITIZEN,1,78,99,3.069,W4
2020,18160,03160,INTERSTATE,27,7,JOB,RENT,OTHER,3190.2,109,75_100K,25_50K,GRAD,NONCITIZEN,1,70,127,1.2686,W2
2019,18161,03161,INTRASTATE,40,3,HOUSING_COST,RENT,RENT,283.6,56,75_100K,50_75K,BACH,NATURALIZED,0,77,123,1.5754,W4
