health_mch_birth_cohort_year,health_mch_prenatal_visit_adequacy_index,health_mch_maternal_mortality_ratio,health_mch_severe_maternal_morbidity_rate,health_mch_preterm_birth_rate,health_mch_low_birthweight_rate,health_mch_breastfeeding_initiation_rate,health_mch_breastfeeding_6mo_rate,health_mch_postpartum_care_rate,health_mch_infant_sleep_safe_rate,health_mch_immunization_series_completion,health_mch_well_child_visit_rate,health_mch_teen_birth_rate,health_mch_fertility_rate_age_specific,health_mch_nicu_admission_rate,health_mch_postnatal_depression_screen_rate,health_mch_substance_exposure_flag_rate,health_mch_doula_support_rate,health_mch_medicaid_eligibility_category,health_mch_home_visiting_program_uptake
2021,3.43,6.64,47.0,13.02,6.74,71.1,51.94,90.48,67.93,43.34,54.73,9.19,69.59,9.77,86.38,5.47,6.0,OTHER,1.5
2017,1.69,44.07,257.09,11.42,7.49,64.56,29.38,70.89,75.95,74.85,47.89,43.07,40.07,11.92,27.92,5.77,22.73,FAMILY,32.94
2023,1.1,31.0,73.4,8.56,13.28,89.86,36.79,45.42,94.77,50.6,73.31,7.97,41.79,11.43,63.73,10.36,2.42,OTHER,23.08
2020,3.73,44.46,41.5,9.42,4.76,70.68,58.85,72.5,71.21,37.21,82.27,42.56,91.37,6.25,27.7,17.07,7.84,PREGNANCY,30.69
2016,5.1,41.91,144.45,7.69,7.3,57.3,23.18,70.31,79.98,69.49,48.35,25.17,137.88,6.46,41.36,13.03,0.81,FAMILY,2.7
2017,8.97,22.42,189.43,6.22,5.45,60.43,50.61,89.04,68.26,87.65,59.57,11.58,25.14,11.21,24.63,5.64,6.73,OTHER,0.37
2025,5.82,18.66,241.06,9.96,9.03,76.06,64.25,51.42,93.29,79.79,86.09,3.78,116.86,7.94,71.34,1.14,7.34,EXPANSION,32.94
2010,0.82,22.56,192.56,12.18,4.68,82.5,62.88,35.46,50.06,84.27,90.31,39.83,106.7,8.0,66.22,1.77,7.4,PREGNANCY,23.84
2022,3.84,9.27,244.03,13.02,10.0,87.17,41.81,84.27,77.1,46.43,49.93,37.19,105.48,11.21,77.36,3.23,27.6,EXPANSION,31.69
2019,8.79,41.71,202.34,6.42,7.53,53.08,52.39,88.82,50.41,67.5,80.35,42.01,54.6,2.88,24.63,10.38,3.94,OTHER,18.06
2023,3.21,36.98,79.2,9.6,9.01,87.52,36.02,52.63,40.24,35.72,58.33,5.82,122.58,9.49,64.11,4.45,13.88,EXPANSION,38.77
2013,7.01,17.56,85.77,8.69,10.3,70.1,31.84,40.99,44.81,56.24,58.86,33.2,98.92,4.47,68.83,4.35,12.5,OTHER,52.54
2025,6.06,25.03,185.5,10.3,6.55,70.54,39.45,75.68,70.42,46.03,40.85,39.11,80.75,4.89,42.51,5.59,2.92,FAMILY,25.85
2021,2.88,12.55,240.73,10.17,10.59,54.87,45.68,53.69,68.71,67.89,62.54,30.61,95.98,3.76,60.67,10.22,28.37,POSTPARTUM,38.65
2024,6.05,33.71,133.74,15.69,7.25,83.84,35.5,41.53,49.38,47.43,55.42,10.18,105.5,14.63,34.35,17.1,4.31,PREGNANCY,34.46
2014,7.61,19.05,43.65,12.59,4.51,70.58,33.3,86.9,43.15,60.95,71.57,18.13,98.04,17.76,33.67,12.21,21.41,POSTPARTUM,24.02
2019,6.27,15.63,159.17,15.44,10.47,52.31,35.11,64.43,51.97,63.44,46.54,22.21,50.85,13.66,62.13,13.07,21.37,EXPANSION,25.68
2015,4.69,38.98,158.74,13.75,6.08,60.26,37.49,81.1,94.41,67.65,91.35,14.61,114.72,10.99,48.6,13.84,9.99,PREGNANCY,0.29
2019,8.23,21.79,221.02,13.07,10.19,61.56,55.68,50.32,94.87,68.67,62.98,30.42,90.93,11.2,74.67,2.05,26.87,FAMILY,0.0
2019,8.71,29.81,121.96,15.63,9.68,64.73,20.48,41.66,73.02,62.81,43.08,14.14,34.35,12.55,45.84,8.67,17.6,FAMILY,49.17
2007,5.65,44.91,259.0,10.38,9.29,72.8,54.94,72.85,41.52,71.94,85.42,27.33,55.51,5.82,84.9,0.67,15.13,FAMILY,13.74
2023,5.1,18.89,182.35,13.6,9.0,64.86,28.93,80.16,69.85,43.27,44.9,39.93,13.74,2.35,76.94,13.44,13.54,EXPANSION,45.3
2019,8.46,30.13,84.22,10.25,13.9,54.32,30.92,60.51,53.28,68.21,40.16,44.39,19.03,15.39,65.25,5.11,0.62,EXPANSION,8.52
2015,9.26,37.62,200.63,7.94,12.94,63.85,27.07,80.73,79.24,58.69,65.32,4.19,36.48,15.61,43.9,7.32,3.98,OTHER,3.68
2022,4.14,8.45,208.76,12.63,9.99,50.16,59.28,51.32,44.89,44.25,72.58,28.43,64.72,13.74,41.34,14.81,16.27,PREGNANCY,5.79
2008,6.56,18.17,126.19,7.58,10.25,68.07,40.66,88.8,83.52,75.45,79.85,13.87,112.53,8.22,69.87,11.44,28.76,FAMILY,23.8
2020,0.55,16.69,178.57,12.78,6.88,51.56,47.72,54.16,55.72,44.03,64.12,38.57,78.49,12.42,21.91,16.47,9.45,EXPANSION,51.84
2005,1.74,9.47,78.07,11.9,7.53,58.31,43.53,89.63,85.61,60.85,66.74,30.1,25.61,17.71,89.13,1.64,19.99,EXPANSION,7.16
2022,6.86,13.96,190.56,12.37,10.73,74.03,59.87,88.05,48.78,40.45,56.02,33.97,55.75,9.63,82.06,5.31,11.72,CHILD,15.83
2020,2.68,34.31,87.87,11.41,10.77,57.24,48.28,53.43,60.49,75.01,53.35,15.39,99.98,12.21,55.36,0.3,9.07,POSTPARTUM,0.77
2015,3.91,18.82,250.44,9.45,10.97,67.35,64.94,79.48,53.76,41.42,45.87,24.55,40.53,16.52,65.35,10.38,7.92,OTHER,38.8
2021,6.99,24.78,161.6,8.56,10.3,64.64,63.56,65.27,52.42,58.77,73.73,19.27,64.17,6.27,30.55,4.88,26.53,FAMILY,47.62
2010,6.87,24.33,128.84,9.18,9.69,79.07,25.34,71.91,40.98,90.19,61.04,3.28,50.8,9.1,34.77,12.66,21.29,PREGNANCY,42.71
2012,0.82,35.81,49.26,11.14,8.33,87.59,54.99,55.38,87.6,87.71,68.66,5.58,106.56,5.4,35.43,2.39,16.51,EXPANSION,44.96
2007,9.5,41.12,127.99,12.52,10.98,86.63,53.08,50.23,63.12,36.03,62.96,16.81,17.08,4.58,79.67,6.9,28.01,EXPANSION,48.88
2008,0.89,24.78,211.31,10.94,12.32,70.51,16.6,66.93,60.28,68.02,56.02,42.77,88.08,10.4,78.46,1.01,23.08,FAMILY,5.24
2010,1.25,25.16,52.79,15.14,6.52,83.14,60.6,86.0,55.03,59.46,50.19,10.75,117.15,15.89,46.85,17.46,10.55,CHILD,31.45
2012,7.13,17.04,55.51,10.5,6.3,66.54,34.18,44.48,91.29,79.22,70.41,41.09,75.87,3.33,70.37,6.25,3.17,FAMILY,6.06
2015,2.05,32.24,226.74,10.8,7.94,54.05,16.68,59.9,68.83,91.79,75.06,15.26,125.28,2.96,38.36,15.26,23.94,CHILD,16.75
2012,5.85,18.85,216.59,10.88,4.71,67.13,43.83,65.79,50.77,37.02,63.52,15.77,46.86,4.83,38.73,1.68,16.67,OTHER,1.59
2018,8.69,24.55,145.39,5.44,7.55,69.27,33.39,40.09,78.36,43.58,63.17,41.04,108.41,15.05,84.09,8.05,16.77,EXPANSION,43.19
2019,2.7,33.93,218.81,5.91,10.77,71.33,61.28,36.51,84.99,64.23,64.54,15.04,72.48,5.75,86.67,3.35,26.45,PREGNANCY,11.53
2015,2.4,38.87,224.34,7.87,8.53,51.52,32.21,69.02,77.38,52.46,58.09,16.76,41.0,6.51,46.4,2.38,16.97,OTHER,9.39
2007,1.87,40.32,102.89,5.84,12.81,76.91,36.43,73.76,63.63,62.44,42.56,34.87,115.9,3.76,76.53,11.45,18.34,FAMILY,26.08
2019,5.72,11.49,141.71,15.24,5.44,54.54,57.84,79.53,50.04,41.36,92.34,5.1,24.79,13.22,26.36,7.54,7.23,CHILD,51.57
2005,1.72,26.33,71.7,5.93,6.71,78.61,23.44,36.06,51.77,47.87,56.73,30.46,56.23,2.68,27.17,5.62,13.19,POSTPARTUM,16.45
2019,7.33,22.22,131.1,12.17,6.28,57.64,33.33,89.31,55.03,71.59,42.65,26.54,102.15,13.62,35.57,6.08,25.03,EXPANSION,48.95
2005,0.61,11.94,206.25,15.79,10.95,52.74,39.82,60.58,53.63,46.68,68.11,3.47,31.98,14.94,84.3,10.48,26.15,FAMILY,51.73
2011,4.79,15.48,58.1,10.16,12.04,83.66,20.01,70.86,78.06,50.49,48.55,35.52,117.88,4.75,35.77,1.93,15.23,POSTPARTUM,33.37
2013,0.85,12.83,171.44,12.68,6.88,86.07,64.59,35.9,44.48,61.03,94.68,38.53,137.81,11.78,79.48,1.97,16.46,PREGNANCY,6.07
2023,9.15,30.23,97.42,15.64,13.1,68.88,60.46,55.65,41.82,76.0,68.74,18.8,110.26,15.71,20.67,1.53,28.87,EXPANSION,12.61
2010,5.94,32.27,54.75,7.31,5.83,84.72,25.24,71.65,41.19,45.04,83.55,25.41,40.77,7.44,24.67,4.82,23.73,OTHER,0.94
2024,1.71,42.59,58.49,8.63,7.83,76.93,15.56,71.48,68.57,47.45,91.39,39.82,117.94,13.0,40.63,12.89,23.67,CHILD,10.3
2007,6.26,21.09,214.2,15.05,4.78,57.08,55.91,69.81,73.27,57.09,75.49,10.65,139.17,6.52,31.29,5.28,4.78,PREGNANCY,24.09
2009,9.0,26.34,104.26,12.84,9.04,62.54,55.98,49.64,88.03,90.64,61.41,5.57,39.6,6.99,20.37,17.31,2.63,EXPANSION,2.25
2010,5.12,8.71,193.7,6.09,5.06,86.53,24.09,83.29,90.02,62.05,58.57,9.61,24.22,11.32,35.05,12.45,14.8,POSTPARTUM,5.38
2020,7.89,27.12,160.13,9.78,4.95,85.33,41.57,35.11,49.95,89.99,42.17,26.19,59.94,5.27,30.36,13.94,15.55,POSTPARTUM,54.28
2015,4.52,13.55,116.07,9.92,9.62,54.41,40.0,71.93,70.68,35.66,72.23,34.22,106.02,16.48,66.22,4.21,3.25,FAMILY,8.43
2018,5.31,30.12,209.0,7.49,8.67,50.21,30.55,64.57,69.62,87.27,94.52,5.26,19.04,5.4,85.27,14.2,7.41,CHILD,35.0
2015,5.97,11.61,54.92,9.01,11.3,56.55,55.43,82.6,92.52,77.63,40.68,15.02,49.68,3.56,32.86,6.87,1.45,PREGNANCY,41.12
2015,1.08,37.44,159.47,7.66,9.15,90.55,59.97,83.09,81.88,38.69,75.36,2.49,91.73,11.56,71.57,2.94,12.53,FAMILY,26.98
2013,0.9,34.37,196.55,7.18,10.2,74.73,25.79,91.46,76.6,47.71,52.56,34.24,78.78,13.08,52.26,10.64,18.2,EXPANSION,12.83
2020,4.14,14.24,151.62,14.76,13.39,83.21,36.63,58.55,60.79,43.3,94.65,10.29,50.99,11.1,50.64,7.92,3.75,CHILD,15.22
2016,1.32,43.68,57.3,8.78,13.49,73.96,50.62,78.95,46.76,68.85,46.96,31.51,87.38,12.3,26.4,10.45,29.14,POSTPARTUM,29.09
2016,7.36,21.93,164.76,10.08,8.0,89.76,30.69,90.96,78.33,41.06,88.77,8.33,133.98,12.69,65.52,8.76,19.45,OTHER,11.85
2023,6.24,22.93,147.72,7.18,9.11,50.41,41.28,46.9,85.87,57.23,61.14,38.93,109.28,10.68,61.28,6.24,22.12,OTHER,28.8
2022,5.35,18.73,156.74,7.92,10.09,91.54,27.82,69.17,45.3,59.66,80.0,41.19,88.19,3.8,80.82,15.21,27.58,OTHER,6.2
2017,6.3,14.06,96.13,13.41,6.68,55.48,40.91,83.67,61.7,57.64,70.26,5.67,14.87,7.58,52.48,9.37,17.22,PREGNANCY,32.75
2018,4.61,24.53,143.76,14.73,9.87,83.0,35.87,45.02,49.49,75.97,63.66,2.36,68.59,17.84,56.22,1.83,4.24,CHILD,51.43
2012,3.06,5.01,115.93,6.06,8.23,71.14,61.86,59.54,72.29,37.18,66.73,24.17,18.61,4.5,20.88,12.14,11.71,POSTPARTUM,2.88
2016,6.77,29.07,169.06,6.55,10.51,79.15,15.48,52.45,74.42,91.74,87.13,6.93,104.84,3.48,38.65,9.8,16.33,PREGNANCY,13.37
2025,1.01,36.5,137.07,10.7,9.48,80.61,60.47,61.58,52.04,51.93,42.25,40.33,74.11,3.71,45.1,13.49,16.73,EXPANSION,21.15
2021,9.19,44.49,249.48,14.71,11.24,83.77,39.06,71.65,63.9,61.17,86.07,17.54,105.96,12.7,42.11,8.76,4.33,POSTPARTUM,28.28
2025,7.3,37.25,130.51,13.09,6.0,52.4,63.69,91.44,94.98,51.87,49.17,26.93,25.07,11.13,49.3,2.39,17.16,POSTPARTUM,23.62
2021,1.0,41.34,55.14,15.58,7.25,91.29,57.97,50.1,78.25,47.13,56.5,18.8,61.09,5.95,81.36,10.18,19.26,EXPANSION,51.96
2010,3.86,41.81,56.72,11.84,9.87,88.1,44.39,48.41,85.16,55.43,58.59,8.32,56.38,7.27,74.0,13.65,25.78,PREGNANCY,43.3
2013,0.99,10.64,223.1,7.2,6.55,72.99,21.98,43.22,58.57,41.28,75.15,8.46,100.81,10.98,65.18,14.24,5.36,PREGNANCY,12.07
2018,8.6,30.25,107.19,15.62,13.7,58.88,18.09,86.66,92.43,81.11,60.36,14.21,106.48,8.45,72.99,6.82,1.43,CHILD,14.17
2019,5.19,11.94,246.2,9.3,13.37,63.83,48.71,62.82,93.71,43.25,57.13,15.21,67.01,2.21,60.98,9.05,3.02,POSTPARTUM,54.11
2018,7.36,18.13,181.84,14.44,8.83,57.54,39.1,46.87,58.87,41.34,54.86,35.44,66.25,4.8,63.49,14.75,3.72,POSTPARTUM,37.65
2006,7.92,27.83,117.19,7.21,5.92,59.61,17.86,58.46,82.41,45.37,68.62,35.06,22.48,10.04,35.86,8.96,13.51,CHILD,49.86
2015,2.47,32.17,70.52,5.54,8.1,77.05,31.78,55.91,63.84,49.56,82.4,35.13,63.97,11.52,51.36,3.36,7.57,FAMILY,48.17
2007,3.51,16.94,107.75,14.72,13.1,56.77,18.65,66.68,40.94,69.41,72.92,24.32,50.82,14.57,87.16,4.26,10.77,POSTPARTUM,13.39
2018,9.3,38.75,243.12,13.5,4.7,68.01,49.78,38.85,60.78,47.48,60.75,29.19,39.78,14.19,37.74,17.48,15.87,FAMILY,33.46
2007,0.36,6.88,116.17,5.88,12.18,76.88,49.11,83.12,70.79,43.49,46.27,18.3,16.8,8.01,46.53,11.45,8.7,PREGNANCY,48.25
2014,0.82,37.73,122.32,8.69,13.24,64.21,43.74,63.43,59.49,72.07,80.28,14.24,10.3,13.55,74.12,7.28,7.0,EXPANSION,15.4
2018,7.41,15.34,118.45,15.38,8.73,56.89,33.16,81.94,56.76,68.59,70.27,44.08,54.81,2.57,71.32,13.31,17.71,PREGNANCY,14.35
2006,9.87,17.6,126.29,13.73,4.8,78.51,37.18,73.16,58.96,86.53,60.88,30.26,35.52,9.17,69.66,5.08,10.21,EXPANSION,51.42
2009,3.67,15.25,219.48,13.95,11.4,63.48,50.8,41.77,43.28,73.85,62.58,39.42,62.57,5.4,21.92,6.56,29.63,EXPANSION,18.62
2009,3.45,28.9,180.82,15.35,10.99,50.23,25.72,61.37,59.21,37.33,52.67,30.07,132.55,11.92,23.6,16.05,10.75,POSTPARTUM,9.91
2011,8.89,33.75,196.49,12.09,5.7,85.88,58.92,82.13,46.44,41.84,53.33,6.51,137.77,7.92,38.16,1.86,7.43,CHILD,22.53
2015,1.64,40.81,217.74,6.22,9.93,84.08,53.36,39.98,77.71,71.08,51.83,16.48,129.47,6.45,50.77,14.63,6.41,OTHER,13.75
2007,4.93,42.1,136.2,9.49,6.41,82.97,25.05,45.29,70.35,37.23,57.36,25.97,118.38,5.02,40.8,15.52,27.6,EXPANSION,21.25
2007,7.7,32.44,221.86,10.89,8.48,77.69,44.23,40.28,67.81,78.02,76.79,22.83,12.13,2.99,71.22,2.32,16.54,EXPANSION,53.32
2012,7.73,12.66,183.72,10.97,9.15,78.11,45.27,56.76,41.3,58.79,57.87,6.8,77.65,12.42,84.08,11.36,17.67,OTHER,26.12
2022,0.49,20.89,65.91,15.95,10.82,64.81,38.55,53.66,81.04,76.94,76.09,12.41,13.77,8.73,72.26,2.83,28.26,EXPANSION,20.69
2009,3.84,30.52,194.3,8.94,13.15,65.49,25.2,78.7,42.59,40.67,63.53,27.57,20.79,6.43,84.52,3.91,8.12,FAMILY,53.96
2016,9.68,35.02,162.81,12.2,5.98,57.01,64.33,46.15,81.69,70.5,92.45,5.38,40.06,4.13,28.08,1.53,12.9,CHILD,52.93
2021,9.56,16.76,85.18,7.11,11.85,79.1,23.54,49.36,87.24,40.08,77.31,22.59,129.58,2.56,79.47,15.25,21.94,CHILD,38.14
2023,1.68,22.03,161.46,12.0,7.5,59.73,49.31,91.57,48.07,91.36,85.96,23.95,28.7,9.48,65.66,14.93,8.26,CHILD,52.44
2021,6.71,27.77,140.01,15.27,6.77,58.01,43.73,52.85,60.2,52.4,65.89,39.9,42.93,8.75,42.98,5.4,3.74,EXPANSION,31.31
2024,7.61,8.64,240.79,12.72,8.84,90.16,57.16,35.87,82.83,63.59,86.21,22.05,18.39,17.14,83.86,6.48,20.64,PREGNANCY,45.26
2011,6.32,41.52,61.37,7.51,12.06,73.3,47.25,66.24,67.55,63.68,52.52,29.81,19.96,13.95,54.67,14.92,23.13,FAMILY,40.08
2015,3.55,20.54,176.33,11.8,7.29,90.84,64.77,75.44,43.38,68.69,68.85,26.13,46.78,8.73,80.45,2.08,4.37,FAMILY,12.98
2021,8.4,35.18,111.56,15.5,8.15,53.79,51.82,80.64,83.23,49.8,60.8,34.99,58.01,17.2,49.65,15.14,10.3,OTHER,53.18
2005,6.03,11.83,159.67,6.13,12.32,75.57,41.96,56.72,59.13,53.47,44.49,24.64,119.54,17.44,52.74,5.33,29.8,EXPANSION,15.15
2006,8.21,13.71,153.79,13.64,10.6,64.1,44.39,55.77,47.51,83.27,75.89,29.04,66.82,7.77,57.31,15.64,23.3,OTHER,36.37
2022,7.11,22.72,130.91,13.41,13.9,82.75,58.75,86.67,51.34,42.06,54.32,12.87,27.95,3.16,38.92,14.58,0.25,FAMILY,37.11
2015,8.73,25.56,245.96,7.57,12.87,89.35,56.46,66.46,42.31,45.88,74.95,15.2,103.78,15.34,49.27,4.96,8.65,EXPANSION,5.19
2007,0.88,22.06,178.06,7.02,13.44,81.8,61.77,87.45,41.65,41.31,44.7,38.95,52.6,14.89,32.51,9.85,7.24,FAMILY,51.46
2019,3.61,13.77,73.59,14.83,13.25,63.59,42.61,45.6,92.29,71.4,84.1,5.58,99.96,10.6,30.23,7.39,1.96,OTHER,0.11
2014,7.54,26.44,178.42,12.6,12.8,60.78,45.64,68.56,83.47,80.45,64.08,5.15,66.56,3.37,82.44,0.49,3.28,OTHER,0.34
2018,4.16,42.69,190.94,7.11,9.62,57.6,18.96,56.46,90.42,41.36,40.52,24.86,27.38,15.69,22.7,13.62,23.34,PREGNANCY,53.6
2010,4.44,38.19,211.91,8.41,6.14,88.3,55.31,44.22,53.39,64.52,48.6,41.0,18.97,16.35,59.89,3.79,0.35,POSTPARTUM,44.53
2016,3.31,5.06,157.04,13.34,7.37,71.81,47.28,40.97,70.99,79.21,43.11,43.04,122.48,16.41,65.96,3.85,17.51,PREGNANCY,23.45
2012,7.92,24.31,213.44,13.44,8.55,82.51,54.53,44.48,74.2,42.18,67.0,3.07,73.6,8.9,87.45,3.16,16.44,EXPANSION,9.88
2022,2.66,35.18,64.9,8.4,6.33,72.87,39.21,90.41,65.13,62.18,74.38,10.82,50.06,4.28,79.49,17.4,1.84,EXPANSION,10.03
2007,2.16,44.89,174.47,6.73,9.49,64.83,34.56,79.67,72.67,35.73,67.39,43.02,107.66,10.35,86.03,10.91,12.79,POSTPARTUM,28.56
2012,6.64,40.43,247.18,15.3,7.26,62.08,37.37,65.67,51.94,87.44,57.46,25.29,9.7,13.82,56.93,11.34,7.67,CHILD,13.39
2025,8.52,16.06,235.48,12.99,7.63,70.65,51.4,81.95,63.98,65.23,62.23,35.24,10.13,9.37,30.46,3.92,16.35,EXPANSION,52.83
2009,6.64,37.05,77.08,14.71,13.29,70.08,48.06,73.06,64.38,39.0,63.62,7.24,87.52,2.04,47.27,4.12,7.69,EXPANSION,5.96
2015,8.93,19.43,76.84,14.79,12.63,58.94,22.35,75.01,51.98,75.77,83.11,44.03,19.35,8.57,61.66,14.54,12.72,OTHER,23.48
2016,7.73,36.24,99.8,12.27,12.91,63.67,59.92,90.76,79.05,71.69,89.96,27.73,27.93,17.03,55.4,10.88,17.03,OTHER,37.3
2006,4.81,32.75,239.24,8.52,10.16,73.74,25.34,85.69,82.05,45.28,86.03,33.91,90.67,14.66,73.93,16.08,1.21,POSTPARTUM,1.5
2008,7.87,14.33,221.96,12.37,4.56,58.31,43.23,83.64,76.24,53.98,78.22,12.09,11.35,2.59,58.53,15.5,27.88,CHILD,13.39
2020,2.37,39.35,237.54,7.51,9.46,73.05,31.21,68.82,42.54,59.23,72.08,30.09,42.18,11.97,75.05,4.88,28.71,OTHER,28.09
2010,9.15,12.93,198.61,10.07,10.83,63.43,44.1,60.58,88.56,40.39,47.87,40.79,93.1,14.13,38.35,3.18,13.56,EXPANSION,24.27
2023,5.56,29.94,58.94,13.23,8.12,83.04,30.35,45.14,44.5,51.59,85.11,14.8,123.46,7.51,46.54,7.36,16.16,CHILD,5.4
2025,8.19,10.74,152.2,7.89,9.74,88.76,21.97,72.05,61.04,64.01,55.33,7.46,33.92,12.93,82.86,6.7,4.8,CHILD,39.27
2023,9.14,7.58,154.98,8.4,6.84,65.83,36.87,67.93,50.59,72.8,44.94,33.54,48.56,9.0,84.87,1.39,28.39,FAMILY,24.97
2006,4.42,24.05,198.92,11.95,13.03,75.85,37.78,78.81,66.49,85.91,85.02,8.76,138.27,13.77,75.94,2.19,0.73,OTHER,10.21
2025,2.97,34.77,202.89,9.47,6.78,84.61,28.53,73.88,66.66,88.05,88.49,15.61,23.3,13.98,71.23,0.51,12.08,EXPANSION,30.31
2016,6.53,37.13,61.36,11.28,10.47,72.29,59.43,44.16,46.64,91.81,61.24,10.37,19.52,16.5,62.01,16.09,24.13,FAMILY,37.07
2005,2.57,17.11,90.69,12.14,12.08,60.66,51.38,83.27,76.72,44.75,66.01,24.04,15.62,14.26,72.56,7.14,0.71,FAMILY,19.55
2017,1.52,41.38,191.76,15.08,9.42,55.24,15.49,67.6,73.21,75.62,46.04,29.52,16.67,17.59,20.66,8.96,11.18,EXPANSION,27.63
2020,2.65,37.34,150.05,11.52,9.48,78.76,34.31,64.91,50.24,47.21,76.98,29.95,130.66,9.31,65.2,11.27,11.74,EXPANSION,21.5
2022,9.02,16.84,91.87,13.81,11.31,74.66,24.94,66.79,79.25,63.26,43.7,33.95,103.96,10.6,84.2,1.65,5.95,PREGNANCY,46.86
2022,0.52,30.08,95.08,6.04,11.76,65.48,35.35,59.0,47.55,66.34,52.84,17.55,64.22,8.24,25.29,0.81,3.53,EXPANSION,27.18
2023,2.45,5.17,60.7,7.43,8.63,53.3,43.97,49.71,65.34,72.47,58.06,41.55,70.25,16.13,89.48,4.57,17.59,FAMILY,54.88
2007,7.56,14.43,236.81,6.22,4.86,84.86,61.03,76.0,67.06,49.1,68.15,39.63,65.15,6.79,70.77,0.96,23.64,EXPANSION,30.34
2013,2.15,14.64,238.7,5.55,5.37,55.77,30.26,87.46,42.98,35.94,49.84,17.47,105.25,14.32,65.6,3.19,25.04,POSTPARTUM,51.0
2023,4.2,15.78,111.87,14.04,13.54,81.74,44.36,50.83,71.13,54.99,50.67,22.92,71.95,5.63,49.1,12.6,9.3,OTHER,24.74
2009,5.8,34.7,202.77,12.27,9.83,57.16,27.24,48.39,67.84,60.57,91.76,15.55,138.67,6.75,56.65,7.71,22.57,CHILD,18.3
2014,3.82,38.19,56.59,8.74,4.96,63.37,52.11,43.06,76.51,45.5,71.79,2.89,52.16,13.53,85.69,5.29,3.55,CHILD,52.62
2012,0.24,39.21,244.98,5.07,7.62,56.97,29.25,68.58,48.24,54.19,51.95,24.31,122.72,4.64,34.56,0.48,7.43,PREGNANCY,4.71
2008,7.8,6.71,251.18,13.06,11.17,50.34,15.81,53.03,46.83,52.17,93.3,21.51,58.83,13.36,41.79,7.11,18.28,OTHER,47.77
2007,5.89,17.2,59.93,5.38,13.36,52.53,19.67,70.1,49.83,87.54,78.3,21.16,107.26,12.25,78.61,12.62,15.34,POSTPARTUM,48.22
2023,7.83,42.1,65.63,15.97,7.8,71.41,26.34,57.81,54.4,73.08,51.33,20.7,111.96,10.97,33.34,8.85,23.69,POSTPARTUM,16.17
2021,6.85,23.61,131.45,13.9,6.97,85.23,42.05,44.08,65.63,60.69,78.52,20.24,95.92,13.82,43.75,11.23,27.68,OTHER,41.65
2022,4.75,20.67,144.59,10.5,9.96,78.9,18.35,47.83,51.46,85.22,63.05,22.5,44.23,8.9,48.83,1.81,0.15,EXPANSION,16.85
2023,9.34,39.71,149.49,12.24,13.68,59.1,63.28,66.35,90.67,80.77,58.24,36.89,97.08,5.2,28.8,6.42,3.9,EXPANSION,5.94
2020,6.4,5.73,230.52,6.7,10.55,69.64,35.14,66.5,74.43,90.35,82.7,30.71,72.78,13.85,88.66,2.76,5.73,EXPANSION,40.2
2009,5.79,9.97,190.82,5.93,9.7,56.31,15.75,83.79,70.45,73.13,49.91,12.32,138.04,15.25,66.15,14.98,0.81,FAMILY,10.8
2023,3.54,42.44,137.6,6.32,5.28,62.73,47.85,44.1,84.71,78.57,47.47,13.23,66.83,9.77,40.98,5.28,27.44,OTHER,37.79
2016,0.12,29.17,78.57,10.57,6.96,84.84,19.04,47.18,71.21,42.13,76.74,28.26,121.9,3.5,72.85,4.39,20.41,CHILD,13.68
2009,8.93,36.58,207.64,8.38,11.93,82.95,34.07,58.36,55.56,63.8,92.49,26.73,8.66,5.28,49.11,17.68,28.96,PREGNANCY,52.45
2019,0.8,41.26,192.71,8.28,6.14,78.12,21.39,59.75,92.92,66.89,67.44,44.15,106.95,15.92,44.36,17.92,14.02,PREGNANCY,9.52
2005,3.43,9.08,51.52,13.51,5.87,72.22,30.07,52.6,63.51,56.57,79.67,17.32,126.61,17.09,79.62,0.21,26.03,POSTPARTUM,31.72
2009,3.99,37.37,240.53,9.28,9.04,61.29,64.26,40.69,85.79,45.41,59.06,31.66,52.71,14.79,84.08,17.76,17.99,FAMILY,34.36
2007,0.73,37.11,130.59,6.49,13.19,69.33,35.62,65.45,92.86,61.9,66.08,9.7,89.19,13.09,48.36,14.29,11.27,PREGNANCY,45.07
2023,9.1,31.04,69.33,15.4,11.66,71.4,29.0,45.71,44.59,59.3,77.06,13.49,107.69,15.57,58.03,11.25,10.75,CHILD,3.42
2015,6.54,10.37,240.45,8.9,13.01,86.46,15.0,70.81,83.04,71.09,79.89,33.32,117.93,12.29,72.45,6.99,9.78,EXPANSION,45.37
2011,6.68,26.94,134.07,9.72,11.57,79.38,22.07,63.56,53.25,79.42,52.78,22.76,12.16,17.45,38.17,14.82,21.91,FAMILY,33.57
2018,6.06,22.73,90.36,12.16,10.2,82.52,25.74,77.24,58.63,79.77,77.7,21.63,120.94,7.13,20.09,8.51,29.81,CHILD,51.5
2017,9.38,32.92,232.38,12.74,11.55,59.29,29.91,91.65,88.4,53.33,42.78,3.76,85.15,12.97,20.06,14.82,8.07,EXPANSION,20.53
2007,7.17,23.62,100.52,13.71,6.96,61.46,22.66,35.03,70.69,60.45,94.42,31.01,116.3,12.64,45.03,3.68,9.46,POSTPARTUM,16.83
2014,2.68,19.37,83.67,8.84,8.69,85.93,53.72,67.76,76.48,79.15,89.05,8.07,78.75,17.32,87.53,17.46,25.79,FAMILY,2.25
