tech_infra_project_start_date,tech_infra_project_id,tech_infra_project_type_code,tech_infra_funding_source_code,tech_infra_total_budget_usd,tech_infra_matching_funds_usd,tech_infra_miles_fiber_planned,tech_infra_miles_fiber_completed,tech_infra_locations_planned,tech_infra_locations_connected,tech_infra_construction_status_code,tech_infra_permits_issued_count,tech_infra_right_of_way_delay_days,tech_infra_contractor_id,tech_infra_workforce_local_hire_pct,tech_infra_equipment_supply_risk_score,tech_infra_open_access_policy_flag,tech_infra_community_anchor_sites_connected,tech_infra_performance_milestone_met_flag,tech_infra_project_closeout_date
2016-10-15,PRJ0000000289,MIDDLE_MILE,STATE_MATCH,3821433855.96,740301219.17,721.093,675.161,266987,87411,COMPLETE,2037,497,CTR000000289,64.27,0.2535,1,7113,0,2022-02-27
2016-10-16,PRJ0000000290,FIBER_BUILD,LOCAL_BOND,3769362422.83,1396458251.61,776.686,306.702,286656,103292,PAUSED,3566,196,CTR000000290,19.61,0.0729,0,9323,1,2021-11-22
2016-10-17,PRJ0000000291,PUBLIC_WIFI,FEDERAL_GRANT,766753686.8,456819628.75,1576.13,1369.211,623150,300292,PERMITTING,2730,186,CTR000000291,46.48,0.2446,1,14150,1,2021-01-01
2016-10-18,PRJ0000000292,SAT_BACKHAUL,PHILANTHROPY,4286742070.51,795549459.88,1569.731,42.448,175679,82120,COMPLETE,2349,702,CTR000000292,86.77,0.7341,0,4983,1,2019-05-01
2016-10-19,PRJ0000000293,TOWER_BUILD,LOCAL_BOND,4459234665.24,1298454824.96,330.197,124.806,647934,31226,CONSTRUCTION,579,658,CTR000000293,77.36,0.939,1,11635,1,2018-08-26
2016-10-20,PRJ0000000294,SAT_BACKHAUL,FEDERAL_GRANT,2726668904.76,210576120.87,730.529,484.549,206532,46346,PLANNING,1307,93,CTR000000294,11.05,0.0916,0,13400,1,2022-02-28
2016-10-21,PRJ0000000295,MIDDLE_MILE,PHILANTHROPY,2656653121.79,1203366420.89,1359.89,826.236,38215,2744,PERMITTING,3445,7,CTR000000295,89.89,0.2982,1,9897,0,2017-05-18
2016-10-22,PRJ0000000296,FIBER_BUILD,FEDERAL_GRANT,3879270568.21,2003901202.24,2877.393,1081.391,346606,13008,CONSTRUCTION,1108,496,CTR000000296,6.11,0.7592,1,10621,1,2017-11-15
2016-10-23,PRJ0000000297,TOWER_BUILD,STATE_MATCH,540868573.33,231973854.81,2977.402,2700.099,196934,94295,PLANNING,3134,51,CTR000000297,46.59,0.6141,0,7001,0,2018-01-14
2016-10-24,PRJ0000000298,MIDDLE_MILE,PRIVATE_PARTNER,2645289044.69,764989090.64,627.155,501.707,528247,519579,PLANNING,2479,307,CTR000000298,77.12,0.492,0,6389,1,2022-06-16
2016-10-25,PRJ0000000299,FIBER_BUILD,STATE_MATCH,3908244383.39,1607567280.94,3504.223,539.265,569101,372067,PERMITTING,4292,226,CTR000000299,28.84,0.3676,1,10580,0,2018-05-13
2016-10-26,PRJ0000000300,DIGITAL_EQUITY,STATE_MATCH,321337071.28,120793275.07,219.509,227.359,480203,422932,CONSTRUCTION,5190,579,CTR000000300,53.8,0.5621,1,14478,0,2018-11-12
2016-10-27,PRJ0000000301,PUBLIC_WIFI,STATE_MATCH,3404575713.51,1394782390.05,1074.782,168.898,493445,429112,PERMITTING,5096,598,CTR000000301,62.17,0.6341,0,8880,0,2020-01-08
2016-10-28,PRJ0000000302,DATA_CENTER,FEDERAL_GRANT,3598044586.38,2081351539.97,2263.554,734.979,799340,308826,CONSTRUCTION,4073,63,CTR000000302,93.66,0.8971,0,7712,1,2022-03-08
2016-10-29,PRJ0000000303,DIGITAL_EQUITY,PHILANTHROPY,4427406723.36,1205078515.94,604.641,28.222,378323,261553,PERMITTING,4157,543,CTR000000303,40.89,0.299,1,13923,1,2020-10-26
2016-10-30,PRJ0000000304,MIDDLE_MILE,FEDERAL_GRANT,2520622540.33,1331336702.6,632.688,75.992,96573,69891,COMPLETE,2044,611,CTR000000304,77.72,0.1399,0,13306,1,2019-11-07
2016-10-31,PRJ0000000305,MIDDLE_MILE,ARPA,2475330245.47,985864203.25,3492.492,2315.114,173868,63252,COMPLETE,5130,14,CTR000000305,63.13,0.4825,0,2611,0,2017-07-22
2016-11-01,PRJ0000000306,DATA_CENTER,FEDERAL_GRANT,3746972194.47,687982952.49,2214.939,1591.734,746768,395084,COMPLETE,5229,274,CTR000000306,65.83,0.0154,1,14743,1,2019-10-20
2016-11-02,PRJ0000000307,MIDDLE_MILE,STATE_MATCH,1242773223.16,313555310.87,537.029,424.836,759706,276825,COMPLETE,1249,362,CTR000000307,56.99,0.5735,0,5427,1,2018-03-26
2016-11-03,PRJ0000000308,DIGITAL_EQUITY,PRIVATE_PARTNER,2729765860.92,907243107.76,52.795,49.531,488793,149377,PAUSED,184,5,CTR000000308,11.43,0.3175,0,8253,1,2018-02-05
2016-11-04,PRJ0000000309,MIDDLE_MILE,PHILANTHROPY,2068999945.65,1164526104.88,2209.034,949.328,329836,232738,CONSTRUCTION,3039,272,CTR000000309,13.91,0.6366,0,12183,1,2022-01-16
2016-11-05,PRJ0000000310,PUBLIC_WIFI,PRIVATE_PARTNER,1317696224.26,453222919.7,2696.259,2675.333,518719,460184,COMPLETE,523,140,CTR000000310,39.61,0.223,1,1129,0,2022-01-21
2016-11-06,PRJ0000000311,PUBLIC_WIFI,STATE_MATCH,5335815945.56,685121059.21,2181.773,1169.097,361779,202643,PLANNING,95,239,CTR000000311,82.06,0.7975,1,2260,0,2022-01-20
2016-11-07,PRJ0000000312,DIGITAL_EQUITY,STATE_MATCH,1843669843.57,43072734.78,3589.455,3483.525,132918,70413,PLANNING,5322,361,CTR000000312,31.92,0.1512,1,8006,1,2018-12-20
2016-11-08,PRJ0000000313,PUBLIC_WIFI,FEDERAL_GRANT,829664836.51,375450646.74,3134.982,1164.419,556701,141181,PLANNING,1207,30,CTR000000313,3.7,0.1463,0,8469,1,2018-09-04
2016-11-09,PRJ0000000314,TOWER_BUILD,ARPA,3819984913.9,355895944.3,3947.996,3736.165,678825,434603,PERMITTING,3236,479,CTR000000314,91.96,0.9338,1,3612,1,2020-11-18
2016-11-10,PRJ0000000315,MIDDLE_MILE,PRIVATE_PARTNER,5958667401.94,2933437295.18,653.837,285.542,381497,302549,CONSTRUCTION,3409,260,CTR000000315,20.18,0.3991,0,13523,1,2020-11-19
2016-11-11,PRJ0000000316,DATA_CENTER,FEDERAL_GRANT,212419098.27,66671784.6,2159.432,1318.897,331424,329149,PERMITTING,3387,128,CTR000000316,79.08,0.0117,1,11768,1,2022-04-19
2016-11-12,PRJ0000000317,FIBER_BUILD,FEDERAL_GRANT,5405856805.97,1924063388.58,1306.99,1090.034,645470,180627,PERMITTING,3921,329,CTR000000317,5.16,0.3017,1,1725,1,2021-05-06
2016-11-13,PRJ0000000318,PUBLIC_WIFI,STATE_MATCH,3136404859.58,868699022.83,2940.727,2571.248,499168,451330,COMPLETE,3709,243,CTR000000318,43.05,0.1851,0,11358,1,2021-06-12
2016-11-14,PRJ0000000319,DIGITAL_EQUITY,FEDERAL_GRANT,2724552326.61,1136900900.13,3357.718,940.658,495443,381003,COMPLETE,2833,467,CTR000000319,59.5,0.7914,0,3113,0,2018-09-05
2016-11-15,PRJ0000000320,FIBER_BUILD,FEDERAL_GRANT,284916560.8,10263271.88,2211.568,112.563,646075,87544,CLOSED_OUT,2371,275,CTR000000320,60.58,0.734,1,4424,1,2018-09-21
2016-11-16,PRJ0000000321,FIBER_BUILD,LOCAL_BOND,3693087195.28,1813553803.78,2982.972,19.848,523582,155546,PAUSED,880,333,CTR000000321,26.31,0.6703,0,10468,1,2022-08-24
2016-11-17,PRJ0000000322,MIDDLE_MILE,FEDERAL_GRANT,239663367.47,124568051.01,3492.02,346.436,33812,29625,PLANNING,4845,82,CTR000000322,22.23,0.2801,1,11647,0,2021-07-01
2016-11-18,PRJ0000000323,PUBLIC_WIFI,LOCAL_BOND,3584275444.7,1767806835.33,1504.397,1191.249,85451,18944,PERMITTING,2335,280,CTR000000323,69.68,0.1978,0,7599,1,2022-04-20
2016-11-19,PRJ0000000324,TOWER_BUILD,PHILANTHROPY,1352051060.56,219845820.02,3531.044,1625.815,552961,24876,CONSTRUCTION,3389,206,CTR000000324,93.91,0.6853,1,12071,1,2019-09-17
2016-11-20,PRJ0000000325,MIDDLE_MILE,FEDERAL_GRANT,2799449243.34,905360791.93,1666.225,1701.339,654700,534912,CONSTRUCTION,5961,483,CTR000000325,50.14,0.8979,0,3258,1,2019-05-31
2016-11-21,PRJ0000000326,MIDDLE_MILE,PRIVATE_PARTNER,4443211045.95,1826623905.67,2270.519,1191.25,341412,116011,COMPLETE,4301,548,CTR000000326,4.89,0.4143,0,9701,0,2019-08-02
2016-11-22,PRJ0000000327,FIBER_BUILD,FEDERAL_GRANT,5942319613.75,2870296196.51,2617.844,1784.465,782385,590939,CONSTRUCTION,821,225,CTR000000327,57.05,0.4591,0,2781,1,2021-02-12
2016-11-23,PRJ0000000328,FIBER_BUILD,ARPA,2751922537.17,1411402248.83,967.489,730.83,20971,16389,PERMITTING,4518,140,CTR000000328,44.57,0.7951,0,4024,0,2018-03-30
2016-11-24,PRJ0000000329,MIDDLE_MILE,FEDERAL_GRANT,1801807293.58,921217965.08,2400.811,1994.62,12517,4965,CLOSED_OUT,1088,424,CTR000000329,78.39,0.9504,0,12593,1,2020-02-17
2016-11-25,PRJ0000000330,MIDDLE_MILE,FEDERAL_GRANT,1483116145.16,199877561.0,2857.29,2686.62,799480,614462,COMPLETE,1766,43,CTR000000330,70.2,0.2958,1,3187,1,2022-09-03
2016-11-26,PRJ0000000331,PUBLIC_WIFI,FEDERAL_GRANT,3589064817.9,1228854823.18,622.604,433.844,483215,307655,PLANNING,1131,211,CTR000000331,73.57,0.8217,0,12917,1,2017-06-28
2016-11-27,PRJ0000000332,DIGITAL_EQUITY,PRIVATE_PARTNER,4324541506.81,1709969681.84,2846.986,201.104,649570,597836,PERMITTING,2385,671,CTR000000332,54.13,0.2718,0,2331,1,2021-09-19
2016-11-28,PRJ0000000333,SAT_BACKHAUL,PHILANTHROPY,688427335.73,410550410.14,2485.363,288.273,525206,261783,COMPLETE,3677,550,CTR000000333,43.0,0.0605,0,8167,1,2022-05-10
2016-11-29,PRJ0000000334,DIGITAL_EQUITY,LOCAL_BOND,2410496528.39,1116154661.74,1708.96,715.639,197620,55943,PLANNING,5864,385,CTR000000334,16.29,0.4397,1,8269,0,2022-02-27
2016-11-30,PRJ0000000335,MIDDLE_MILE,FEDERAL_GRANT,878887080.4,304444020.38,2495.49,2251.707,11216,5262,CLOSED_OUT,4456,605,CTR000000335,51.62,0.588,1,11559,1,2020-02-06
2016-12-01,PRJ0000000336,DIGITAL_EQUITY,STATE_MATCH,3836787356.66,992424848.18,3768.317,2551.768,490216,422022,PERMITTING,5608,202,CTR000000336,19.01,0.4118,0,7905,0,2019-10-24
2016-12-02,PRJ0000000337,DIGITAL_EQUITY,PHILANTHROPY,5797461125.82,2647862013.81,2850.642,1521.745,605029,149475,PERMITTING,1177,429,CTR000000337,88.39,0.2247,1,9646,1,2019-03-25
2016-12-03,PRJ0000000338,DIGITAL_EQUITY,FEDERAL_GRANT,180116310.8,102893702.17,2259.046,1614.117,788975,471716,CONSTRUCTION,1449,136,CTR000000338,10.68,0.0202,0,11731,0,2017-06-14
2016-12-04,PRJ0000000339,TOWER_BUILD,ARPA,4275670584.68,2007052238.64,2942.261,1929.93,292742,250410,CONSTRUCTION,3792,433,CTR000000339,49.22,0.5437,0,3771,0,2020-11-27
2016-12-05,PRJ0000000340,SAT_BACKHAUL,STATE_MATCH,5452955186.67,23704917.02,896.84,67.251,519440,450655,PAUSED,947,693,CTR000000340,47.7,0.3245,1,12957,0,2017-03-11
2016-12-06,PRJ0000000341,TOWER_BUILD,FEDERAL_GRANT,5812405226.87,3449326077.71,1465.067,712.628,295122,5320,PAUSED,57,574,CTR000000341,54.04,0.3161,1,7503,1,2017-04-14
2016-12-07,PRJ0000000342,FIBER_BUILD,PRIVATE_PARTNER,5396729727.44,154308559.0,3434.598,2520.016,253273,32818,COMPLETE,1435,485,CTR000000342,98.53,0.0419,1,13620,0,2017-08-05
2016-12-08,PRJ0000000343,MIDDLE_MILE,PHILANTHROPY,5421118997.79,880327504.68,3043.077,1519.618,714574,406334,COMPLETE,2404,336,CTR000000343,39.16,0.8576,1,10721,0,2017-08-22
2016-12-09,PRJ0000000344,DIGITAL_EQUITY,FEDERAL_GRANT,4046972090.93,588713329.83,341.546,66.519,404042,186770,PERMITTING,2134,107,CTR000000344,72.16,0.3514,1,9749,1,2018-05-21
2016-12-10,PRJ0000000345,FIBER_BUILD,PHILANTHROPY,3779612367.27,2216719956.35,3507.256,2355.573,372914,80879,PLANNING,3994,304,CTR000000345,51.67,0.3913,0,2811,0,2017-06-21
2016-12-11,PRJ0000000346,MIDDLE_MILE,PRIVATE_PARTNER,2165116224.66,618527260.69,1624.346,873.109,162022,9064,COMPLETE,3271,524,CTR000000346,53.3,0.1633,0,7535,1,2017-01-11
2016-12-12,PRJ0000000347,MIDDLE_MILE,FEDERAL_GRANT,545467709.27,296983822.06,1535.762,189.554,712983,94811,PLANNING,4721,648,CTR000000347,52.63,0.6903,1,8505,1,2022-09-25
2016-12-13,PRJ0000000348,PUBLIC_WIFI,STATE_MATCH,4515661963.65,737990263.52,1742.639,251.218,377915,228569,CLOSED_OUT,5969,635,CTR000000348,16.99,0.5083,1,4258,1,2022-09-04
2016-12-14,PRJ0000000349,TOWER_BUILD,LOCAL_BOND,5372209710.61,198597474.58,3758.815,1439.864,283180,214428,PERMITTING,4918,617,CTR000000349,27.32,0.033,1,8003,1,2020-08-17
2016-12-15,PRJ0000000350,FIBER_BUILD,LOCAL_BOND,5069354878.47,35566167.1,1002.646,933.386,170112,148572,PAUSED,3993,594,CTR000000350,88.09,0.352,0,14228,1,2020-06-15
2016-12-16,PRJ0000000351,MIDDLE_MILE,FEDERAL_GRANT,5703327411.13,13294281.0,3594.679,996.529,88753,27718,PERMITTING,3935,242,CTR000000351,9.66,0.5381,0,6762,1,2020-07-17
2016-12-17,PRJ0000000352,SAT_BACKHAUL,FEDERAL_GRANT,3336936826.4,905750880.25,2173.122,1010.549,212223,204944,COMPLETE,4739,163,CTR000000352,53.73,0.0729,0,12884,0,2020-04-01
2016-12-18,PRJ0000000353,FIBER_BUILD,FEDERAL_GRANT,477678837.88,83971430.96,281.668,241.753,741623,132552,PERMITTING,2391,571,CTR000000353,0.47,0.0672,0,4333,0,2017-07-10
2016-12-19,PRJ0000000354,FIBER_BUILD,PRIVATE_PARTNER,4542028700.78,1979439876.43,2999.132,2420.454,503133,298876,PERMITTING,2647,324,CTR000000354,75.77,0.1624,0,1711,1,2019-10-08
2016-12-20,PRJ0000000355,MIDDLE_MILE,STATE_MATCH,531018694.32,73340280.83,651.363,451.203,206237,131158,PERMITTING,876,349,CTR000000355,17.3,0.9471,0,5340,0,2021-06-23
2016-12-21,PRJ0000000356,MIDDLE_MILE,PRIVATE_PARTNER,4843093838.32,4448807.65,126.008,90.662,625451,22187,CONSTRUCTION,2846,644,CTR000000356,9.55,0.3999,1,11815,1,2021-08-24
2016-12-22,PRJ0000000357,DIGITAL_EQUITY,STATE_MATCH,383393761.87,60377384.52,3523.716,927.612,639683,130895,COMPLETE,1850,660,CTR000000357,90.79,0.6649,1,9568,0,2017-10-13
2016-12-23,PRJ0000000358,FIBER_BUILD,FEDERAL_GRANT,1434390828.15,180263090.46,2397.683,1318.955,591357,552264,PERMITTING,423,360,CTR000000358,26.33,0.233,1,8216,0,2022-11-21
2016-12-24,PRJ0000000359,MIDDLE_MILE,STATE_MATCH,2213446150.71,468047759.22,722.432,177.014,493205,5607,CONSTRUCTION,879,9,CTR000000359,43.46,0.0199,0,2568,1,2017-03-06
2016-12-25,PRJ0000000360,FIBER_BUILD,PRIVATE_PARTNER,3252601005.64,556739205.98,385.007,271.873,647139,209862,COMPLETE,5743,659,CTR000000360,81.53,0.1501,0,13843,1,2022-12-15
2016-12-26,PRJ0000000361,PUBLIC_WIFI,STATE_MATCH,2254361751.27,211711621.94,2664.609,1678.654,219814,189149,PLANNING,157,453,CTR000000361,92.99,0.8317,1,7018,0,2017-08-10
2016-12-27,PRJ0000000362,FIBER_BUILD,STATE_MATCH,3390196387.2,443014519.72,1388.601,1244.583,758496,744732,PLANNING,3681,575,CTR000000362,83.45,0.1086,0,7209,1,2020-11-07
2016-12-28,PRJ0000000363,DATA_CENTER,PRIVATE_PARTNER,5574814437.06,1479269050.0,269.432,206.394,260220,24267,PLANNING,1815,122,CTR000000363,35.31,0.6409,1,10973,1,2017-12-24
2016-12-29,PRJ0000000364,MIDDLE_MILE,PRIVATE_PARTNER,5747017928.55,3087046535.0,2457.11,1192.279,126342,81978,CONSTRUCTION,1689,675,CTR000000364,86.96,0.3665,0,483,1,2021-11-09
2016-12-30,PRJ0000000365,PUBLIC_WIFI,PHILANTHROPY,5622856011.49,1903569887.22,3695.313,1071.895,499075,43594,COMPLETE,2776,54,CTR000000365,33.88,0.9215,0,6151,1,2018-01-31
2016-12-31,PRJ0000000366,PUBLIC_WIFI,LOCAL_BOND,4884561136.15,2759592107.75,1839.946,1188.856,464418,376838,CONSTRUCTION,142,522,CTR000000366,43.51,0.4067,0,1159,1,2017-11-18
2017-01-01,PRJ0000000367,FIBER_BUILD,LOCAL_BOND,618616435.71,263867150.95,2061.464,238.361,730848,45757,PLANNING,2778,224,CTR000000367,4.74,0.3708,1,8792,1,2022-03-30
2017-01-02,PRJ0000000368,SAT_BACKHAUL,STATE_MATCH,2020280459.76,365326839.81,3056.078,443.627,343785,175246,CONSTRUCTION,2158,55,CTR000000368,52.06,0.1817,1,4836,1,2020-04-28
2017-01-03,PRJ0000000369,TOWER_BUILD,STATE_MATCH,3254827036.91,1935510167.78,2654.747,1146.139,308362,276752,PERMITTING,2116,562,CTR000000369,16.86,0.7158,0,4395,1,2018-01-17
2017-01-04,PRJ0000000370,FIBER_BUILD,ARPA,719328179.75,127414834.49,52.695,27.729,783365,670352,PLANNING,5151,110,CTR000000370,64.18,0.1547,0,14215,1,2018-02-08
2017-01-05,PRJ0000000371,TOWER_BUILD,FEDERAL_GRANT,3330189895.22,1773447198.22,2928.475,2049.852,677938,385454,PLANNING,3098,47,CTR000000371,85.19,0.7868,0,197,1,2017-10-01
2017-01-06,PRJ0000000372,DIGITAL_EQUITY,FEDERAL_GRANT,5681141969.34,3189314857.62,3157.839,3087.964,210127,29961,PERMITTING,4640,40,CTR000000372,59.07,0.9286,0,8365,0,2022-01-11
2017-01-07,PRJ0000000373,MIDDLE_MILE,ARPA,4678917596.72,2329919666.27,3752.71,1328.699,65339,4471,PLANNING,5316,719,CTR000000373,18.91,0.4233,0,2365,1,2022-04-08
2017-01-08,PRJ0000000374,SAT_BACKHAUL,STATE_MATCH,3788324888.16,819463790.31,90.735,56.996,412819,172144,CONSTRUCTION,5956,258,CTR000000374,31.89,0.3218,0,12269,1,2017-07-27
2017-01-09,PRJ0000000375,FIBER_BUILD,PRIVATE_PARTNER,2940641229.57,468743953.9,590.261,29.003,650482,634158,CLOSED_OUT,4538,210,CTR000000375,81.36,0.6444,1,8789,0,2020-06-10
2017-01-10,PRJ0000000376,DIGITAL_EQUITY,FEDERAL_GRANT,1281377446.96,431751350.12,1507.881,177.841,193273,82864,PLANNING,2522,706,CTR000000376,7.85,0.3191,0,7847,1,2019-03-14
2017-01-11,PRJ0000000377,DATA_CENTER,ARPA,2347850084.94,231902711.36,2063.584,756.169,636338,36463,COMPLETE,1164,303,CTR000000377,89.46,0.4645,1,10458,0,2017-10-14
2017-01-12,PRJ0000000378,MIDDLE_MILE,FEDERAL_GRANT,4904755366.95,269517275.54,1888.682,143.299,207302,201460,PERMITTING,5218,73,CTR000000378,94.19,0.5366,0,2273,1,2023-01-16
2017-01-13,PRJ0000000379,PUBLIC_WIFI,STATE_MATCH,3586750510.89,1891915845.55,849.555,46.082,503877,114581,PERMITTING,5043,54,CTR000000379,78.46,0.4202,1,9735,1,2020-12-04
2017-01-14,PRJ0000000380,PUBLIC_WIFI,PRIVATE_PARTNER,3827802552.34,1444825119.26,347.882,27.494,338587,267153,CONSTRUCTION,3806,293,CTR000000380,53.18,0.5284,0,10563,1,2020-04-02
2017-01-15,PRJ0000000381,PUBLIC_WIFI,FEDERAL_GRANT,357866280.92,33628822.72,2803.545,2401.736,562111,37861,PERMITTING,5363,244,CTR000000381,5.92,0.3996,1,10067,1,2017-10-08
2017-01-16,PRJ0000000382,FIBER_BUILD,LOCAL_BOND,2343237787.71,1029508154.66,1460.411,1451.805,712717,303898,CLOSED_OUT,1251,547,CTR000000382,31.29,0.6905,0,4219,1,2017-05-20
2017-01-17,PRJ0000000383,PUBLIC_WIFI,FEDERAL_GRANT,4086439708.87,438568183.47,1014.056,301.702,576292,108671,CONSTRUCTION,1647,61,CTR000000383,70.9,0.2074,0,12944,1,2019-03-14
2017-01-18,PRJ0000000384,FIBER_BUILD,FEDERAL_GRANT,3302896182.73,1446450965.54,3086.321,523.886,329824,295047,COMPLETE,388,9,CTR000000384,93.07,0.7484,0,11878,1,2020-07-10
2017-01-19,PRJ0000000385,FIBER_BUILD,FEDERAL_GRANT,3326154363.23,1833871146.83,1391.265,807.616,555195,267231,PERMITTING,85,45,CTR000000385,52.73,0.987,0,2519,0,2022-09-24
2017-01-20,PRJ0000000386,MIDDLE_MILE,FEDERAL_GRANT,263928084.69,79822497.36,3011.284,1367.321,269370,236546,PERMITTING,184,73,CTR000000386,88.01,0.1944,1,3747,0,2019-03-09
2017-01-21,PRJ0000000387,DATA_CENTER,FEDERAL_GRANT,3916438150.71,2018645570.71,3955.312,552.983,417220,113683,CONSTRUCTION,1837,504,CTR000000387,20.43,0.5363,1,14841,1,2018-11-24
2017-01-22,PRJ0000000388,FIBER_BUILD,FEDERAL_GRANT,1617970221.82,295574167.14,1324.329,805.951,565083,292443,PERMITTING,974,631,CTR000000388,35.63,0.1701,0,3279,0,2020-08-28
2017-01-23,PRJ0000000389,DATA_CENTER,STATE_MATCH,2989004139.49,1538302586.8,3629.586,1392.571,626350,158008,COMPLETE,898,202,CTR000000389,59.71,0.5431,1,3438,0,2018-08-25
2017-01-24,PRJ0000000390,DIGITAL_EQUITY,FEDERAL_GRANT,180328072.51,13781314.38,642.819,185.494,94206,34775,CONSTRUCTION,4057,491,CTR000000390,1.43,0.008,0,5096,1,2018-12-14
2017-01-25,PRJ0000000391,DATA_CENTER,LOCAL_BOND,3339882733.71,1007880301.39,3867.929,1001.595,513625,33318,PAUSED,5826,128,CTR000000391,4.24,0.0973,0,2490,1,2017-04-29
2017-01-26,PRJ0000000392,PUBLIC_WIFI,STATE_MATCH,2073519481.05,514089252.42,2756.083,131.565,732437,450371,PAUSED,199,9,CTR000000392,10.39,0.8179,0,12541,1,2019-09-07
2017-01-27,PRJ0000000393,MIDDLE_MILE,FEDERAL_GRANT,3135180501.51,988342278.64,3507.481,1726.217,30972,27789,PLANNING,5251,579,CTR000000393,32.21,0.2256,1,5495,1,2019-10-03
2017-01-28,PRJ0000000394,PUBLIC_WIFI,FEDERAL_GRANT,520766335.21,171185168.88,1604.825,135.449,202319,7762,PLANNING,3066,421,CTR000000394,44.52,0.8099,0,3719,1,2018-03-10
2017-01-29,PRJ0000000395,FIBER_BUILD,ARPA,868538022.86,292054236.09,748.387,514.736,82356,16007,PAUSED,3481,381,CTR000000395,74.39,0.1806,0,8987,0,2022-10-01
2017-01-30,PRJ0000000396,TOWER_BUILD,LOCAL_BOND,237317111.38,124602351.88,3006.092,1128.898,155464,42145,PAUSED,2885,559,CTR000000396,94.78,0.3073,0,10485,0,2018-12-29
2017-01-31,PRJ0000000397,TOWER_BUILD,FEDERAL_GRANT,4169907834.07,782469474.13,3045.068,2475.451,741371,207254,CONSTRUCTION,272,64,CTR000000397,0.53,0.7629,0,13404,0,2019-06-16
2017-02-01,PRJ0000000398,FIBER_BUILD,PRIVATE_PARTNER,1363591465.95,181465057.9,3985.584,3906.914,60090,2802,COMPLETE,3671,507,CTR000000398,6.79,0.466,1,9514,1,2019-07-11
2017-02-02,PRJ0000000399,PUBLIC_WIFI,FEDERAL_GRANT,4045250629.59,1383288783.89,526.534,223.187,527995,425178,CONSTRUCTION,3487,124,CTR000000399,48.75,0.7904,0,7760,1,2018-03-22
2017-02-03,PRJ0000000400,FIBER_BUILD,FEDERAL_GRANT,5892502363.12,1261882091.4,3140.295,1339.507,386712,292977,PERMITTING,1537,47,CTR000000400,60.09,0.1971,1,9620,1,2018-07-21
2017-02-04,PRJ0000000401,FIBER_BUILD,STATE_MATCH,5254374068.28,41072798.59,2120.043,865.239,781695,83993,PLANNING,2048,714,CTR000000401,73.2,0.7772,0,12295,1,2019-09-04
2017-02-05,PRJ0000000402,FIBER_BUILD,LOCAL_BOND,4382237400.99,1391737419.5,2565.534,579.642,519563,440382,PAUSED,4722,454,CTR000000402,77.81,0.1139,0,4824,1,2021-11-12
2017-02-06,PRJ0000000403,MIDDLE_MILE,PRIVATE_PARTNER,2942241660.96,422739734.19,441.068,321.389,395593,72122,CONSTRUCTION,4387,323,CTR000000403,30.69,0.0921,0,1191,1,2021-08-26
2017-02-07,PRJ0000000404,FIBER_BUILD,FEDERAL_GRANT,2304896118.55,81591064.64,684.762,203.324,646314,178257,COMPLETE,4497,683,CTR000000404,57.29,0.5792,0,2189,1,2019-03-15
2017-02-08,PRJ0000000405,DATA_CENTER,FEDERAL_GRANT,4347453509.05,1741274258.34,2134.372,1722.626,204701,134579,CONSTRUCTION,2050,600,CTR000000405,15.47,0.9986,1,2835,1,2019-05-13
2017-02-09,PRJ0000000406,MIDDLE_MILE,PHILANTHROPY,610365792.02,237552835.0,2716.605,2640.356,49039,5232,PAUSED,4322,690,CTR000000406,35.4,0.2883,1,12577,1,2019-12-12
2017-02-10,PRJ0000000407,MIDDLE_MILE,STATE_MATCH,5327159741.87,1903438666.97,1794.59,936.264,110896,16445,PERMITTING,858,336,CTR000000407,65.86,0.9877,1,13579,0,2020-09-22
2017-02-11,PRJ0000000408,DIGITAL_EQUITY,PRIVATE_PARTNER,1807838720.89,969922421.12,2072.468,366.64,80869,65597,COMPLETE,5491,26,CTR000000408,25.06,0.3041,1,10519,1,2017-12-08
2017-02-12,PRJ0000000409,MIDDLE_MILE,FEDERAL_GRANT,2520984123.06,1437770343.82,2503.807,877.242,241777,176496,CONSTRUCTION,4639,2,CTR000000409,83.01,0.1856,0,7715,0,2020-12-22
2017-02-13,PRJ0000000410,FIBER_BUILD,STATE_MATCH,5667759710.49,1019293868.92,274.072,141.21,633775,99840,PAUSED,866,514,CTR000000410,35.75,0.9755,0,8615,0,2018-03-21
2017-02-14,PRJ0000000411,FIBER_BUILD,ARPA,4683349199.11,2388231553.73,299.005,210.569,45245,28866,COMPLETE,5040,520,CTR000000411,86.62,0.3458,0,3180,1,2021-03-31
2017-02-15,PRJ0000000412,PUBLIC_WIFI,PRIVATE_PARTNER,1941537178.96,1006860687.57,2968.844,1945.21,386619,293611,CLOSED_OUT,3491,564,CTR000000412,22.95,0.9409,1,12104,1,2022-07-26
2017-02-16,PRJ0000000413,DIGITAL_EQUITY,FEDERAL_GRANT,5384657025.51,1830512604.3,1959.249,2052.398,333800,260726,PAUSED,5377,599,CTR000000413,0.71,0.9537,0,8308,0,2020-10-01
2017-02-17,PRJ0000000414,PUBLIC_WIFI,PRIVATE_PARTNER,5046096378.95,1483222890.62,1442.679,276.129,631156,553159,PAUSED,3016,517,CTR000000414,11.43,0.6202,0,1294,1,2022-11-28
