imm_legal_admission_fiscal_year,imm_legal_visa_category_code,imm_legal_country_of_chargeability,imm_legal_consulate_post_code,imm_legal_applications_received,imm_legal_applications_approved,imm_legal_applications_denied,imm_legal_processing_time_days_median,imm_legal_priority_date_backlog_months,imm_legal_adjustment_of_status_flag,imm_legal_principal_applicant_flag,imm_legal_derivative_count,imm_legal_employment_based_indicator,imm_legal_family_based_indicator,imm_legal_humanitarian_indicator,imm_legal_inadmissibility_ground_code,imm_legal_waiver_granted_flag,imm_legal_age_at_admission,imm_legal_intended_state_destination_code,imm_legal_data_extract_date
2012,B2,IND,INLKO,12241,672,3756,470,71,1,1,4,0,1,0,212F,1,14,RJ,2025-12-12
2014,SIV,PAK,INHYD,18101,16202,1758,140,17,0,0,2,0,0,1,NONE,1,81,DL,2025-02-21
2021,REF,ARE,INHYD,10787,8832,2599,177,40,0,1,5,0,1,0,NONE,1,12,PB,2025-11-04
2023,B1,PAK,INAMD,18257,3810,1520,219,69,1,1,5,0,0,0,212C,0,23,SK,2025-05-17
2019,O1,IND,INAMD,5197,15679,1717,536,26,1,0,5,1,1,0,212B,0,12,MP,2025-07-14
2022,F1,JPN,INDEL,17790,1665,2550,508,99,1,1,0,0,1,0,NONE,1,64,KA,2025-04-05
2017,E1,DEU,INKOL,19506,10455,3853,33,14,1,1,2,0,1,0,NONE,1,35,NL,2025-09-15
2019,REF,MDV,INLKO,19693,20916,2746,74,36,1,0,2,1,0,1,212F,1,48,CH,2025-01-25
2020,F1,SGP,INKOL,6249,21163,2292,414,57,0,1,1,0,0,0,212E,1,81,DL,2025-08-20
2015,EB2,PAK,INAMD,596,3708,1501,115,4,1,1,3,1,0,0,212E,0,47,AS,2025-11-28
2012,H1B,BGD,INMUM,5281,7709,308,80,102,1,0,5,1,1,0,212F,1,42,AP,2025-04-04
2025,L1,SAU,INMUM,8015,1399,230,268,72,1,0,3,0,1,0,212A,0,5,LD,2025-12-16
2012,K1,MMR,INBLR,18517,4263,3454,374,6,0,1,1,0,0,1,212F,1,80,GA,2025-08-09
2021,DV,LKA,INBLR,2090,10257,154,243,40,1,0,2,1,1,0,212B,0,67,PY,2025-10-24
2015,B1,IND,INMUM,20968,16350,1198,372,83,1,0,1,1,1,0,NONE,0,13,AN,2025-07-22
2023,J1,AUS,INAMD,1802,19057,2895,292,9,0,1,4,0,1,0,212E,0,29,KA,2025-12-09
2025,K1,MMR,INAMD,1899,5631,114,384,61,1,0,1,1,1,0,212F,0,83,MP,2025-03-22
2018,SIV,SAU,INBLR,2692,12536,1413,382,25,1,1,1,0,0,1,212E,1,7,KA,2025-07-24
2013,DV,ARE,INCHN,1650,13906,310,82,67,1,0,6,0,1,1,212E,0,53,TR,2025-03-18
2014,REF,SGP,INAMD,14001,20327,992,15,101,0,0,4,0,0,1,212A,0,65,MN,2025-02-07
2012,O1,JPN,INMUM,20836,13736,2347,202,23,0,1,6,0,1,0,212B,1,3,MP,2025-07-14
2016,J1,USA,INKOL,11847,5932,1041,296,77,1,1,3,1,1,1,212D,1,73,DL,2025-02-11
2012,H4,MDV,INAMD,20233,21534,2831,67,40,1,1,4,1,0,1,212E,1,83,MP,2025-07-01
2019,J1,BTN,INLKO,17052,21843,11,395,64,1,0,0,0,1,1,212B,1,59,TS,2025-09-02
2012,H4,USA,INAMD,1182,6469,1427,14,16,0,1,1,0,0,1,212C,0,52,PB,2025-07-14
2022,EB2,FRA,INCHN,5541,1745,3884,375,108,0,1,1,1,0,1,212A,1,73,MZ,2025-03-19
2012,H4,BGD,INBLR,5845,15890,3775,51,23,0,0,6,1,0,0,212D,0,14,TS,2025-11-16
2013,J1,AFG,INAMD,10581,9324,2279,350,26,0,0,3,1,0,1,212E,1,0,UP,2025-05-05
2013,B2,PAK,INHYD,10981,7542,3002,381,6,0,0,6,1,0,1,212F,0,21,DD,2025-05-21
2023,L1,MDV,INDEL,7683,13683,3676,33,72,0,1,2,1,0,1,212E,1,14,AN,2025-01-27
2017,E1,PAK,INMUM,17921,4804,2013,199,106,1,0,4,0,0,0,212A,1,73,MH,2025-11-11
2018,REF,JPN,INLKO,24282,9492,729,363,98,0,0,2,0,1,0,212A,1,83,PY,2025-11-17
2016,REF,MDV,INLKO,5059,17636,1301,68,11,1,1,0,0,0,1,NONE,1,21,SK,2025-10-08
2012,K1,FRA,INLKO,2163,10075,1376,68,84,0,0,4,0,1,0,212E,0,49,JK,2025-10-20
2012,F1,FRA,INHYD,1094,12696,3065,428,2,1,0,0,1,1,0,212B,1,47,UK,2025-08-30
2014,IR1,GBR,INLKO,13973,7466,2036,386,78,0,1,0,1,1,1,212A,0,72,WB,2025-08-24
2025,SIV,MMR,INLKO,2481,21020,3046,283,84,1,0,0,0,0,0,212A,0,50,SK,2025-07-22
2013,L2,NPL,INBLR,24413,4745,2350,437,9,1,1,5,0,0,1,212C,1,16,AS,2025-11-23
2016,EB2,USA,INKOL,13976,20081,540,121,32,1,1,4,1,1,1,212C,1,82,SK,2025-05-22
2023,H1B,BGD,INDEL,1632,14789,2517,127,45,0,1,4,0,0,1,212C,0,50,RJ,2025-04-04
2021,F1,NPL,INHYD,14424,1429,2860,531,58,0,1,5,0,1,0,212A,0,36,ML,2025-06-01
2017,L2,DEU,INDEL,1358,8225,76,422,51,0,1,3,1,1,1,212D,0,48,HP,2025-09-10
2018,J1,BGD,INMUM,21351,16385,3067,169,5,1,0,5,1,1,1,212B,0,58,MP,2025-03-08
2015,EB3,USA,INBLR,8843,276,3592,343,1,1,1,1,1,0,0,212A,0,9,JH,2025-06-25
2018,E1,AFG,INAMD,1670,18125,23,385,28,1,1,2,0,1,1,212F,1,29,RJ,2025-04-13
2022,K1,CAN,INKOL,23937,15724,1038,330,118,0,1,2,1,0,0,212F,1,84,GJ,2025-04-01
2019,CR1,MMR,INBLR,4816,17827,675,179,39,0,1,0,1,1,0,NONE,0,20,SK,2025-07-12
2022,CR1,SAU,INDEL,21796,21357,2572,70,96,1,0,4,0,0,1,212F,1,33,NL,2025-06-15
2012,H4,AFG,INHYD,5242,3010,2394,107,60,0,0,4,1,1,0,212E,0,72,RJ,2025-03-31
2017,B1,MDV,INMUM,6672,1215,171,328,67,0,0,0,0,0,1,212D,1,49,MH,2025-11-22
2019,B1,GBR,INMUM,6143,20963,1892,72,67,0,1,1,0,1,0,212D,0,75,JH,2025-11-11
2016,B2,SGP,INBLR,23138,20769,3398,464,28,0,0,2,0,0,0,212B,1,46,DL,2025-09-25
2015,IR1,NPL,INAMD,16534,1264,2759,459,100,1,0,5,0,0,0,212D,1,84,HP,2025-02-20
2013,O1,SAU,INHYD,23091,11435,3556,265,61,0,1,3,1,0,0,212B,0,83,NL,2025-06-15
2017,EB2,BGD,INAMD,22309,6786,488,432,59,0,1,6,0,1,1,212F,1,5,MP,2025-06-23
2017,CR1,BGD,INAMD,20705,21706,1485,184,83,1,0,1,1,1,1,212D,0,49,MZ,2025-08-15
2022,L1,NPL,INLKO,287,11682,2425,286,40,1,0,4,1,1,0,212E,0,62,TN,2025-09-23
2012,H4,AFG,INHYD,23660,16230,3659,350,86,0,0,6,1,0,1,212B,1,11,TR,2025-01-09
2020,L1,SAU,INDEL,24466,17710,3235,23,108,0,0,0,1,0,1,212C,0,40,ML,2025-03-28
2023,B2,USA,INBLR,21652,10333,2419,302,81,0,1,2,1,1,1,212C,1,30,TS,2025-04-04
2022,DV,MDV,INBLR,20459,2422,3644,208,112,0,1,6,0,1,1,212D,1,1,DN,2025-02-21
2017,H4,IND,INLKO,11160,16900,3047,200,88,1,1,0,1,0,1,212D,0,15,KA,2025-06-28
2024,F1,DEU,INCHN,6123,19803,3024,155,64,1,1,4,0,1,1,212F,1,0,TN,2025-10-05
2014,B1,AFG,INBLR,2592,13295,3495,381,117,1,1,0,0,0,1,212B,0,3,SK,2025-08-27
2015,B1,MDV,INMUM,15332,14935,756,41,63,0,0,5,0,0,0,212F,0,46,DL,2025-03-14
2023,H1B,LKA,INDEL,10245,929,2524,375,78,0,1,6,1,0,1,212B,1,64,NL,2025-12-05
2022,L2,BGD,INHYD,1587,15826,2429,35,62,1,1,6,1,1,0,212E,0,51,MH,2025-03-13
2015,K1,LKA,INBLR,17188,392,154,227,97,0,0,2,1,0,0,212A,1,46,WB,2025-03-09
2014,J1,IND,INDEL,11610,1364,256,59,47,1,1,0,1,1,0,212C,1,76,KA,2025-01-05
2021,IR1,SGP,INLKO,13484,8535,1779,359,19,1,0,2,0,0,1,212A,0,49,TS,2025-12-05
2014,EB2,USA,INBLR,7446,2451,673,398,117,1,1,6,1,1,1,212A,1,44,LD,2025-08-26
2014,E2,SAU,INHYD,24257,21074,2115,82,36,1,1,0,1,1,0,NONE,0,41,OD,2025-05-01
2015,E1,SGP,INKOL,21941,19188,2391,500,63,1,1,0,0,0,0,212B,0,83,MP,2025-07-30
2018,F1,DEU,INHYD,20669,10605,3348,528,90,1,0,2,0,0,1,NONE,0,55,DL,2025-09-19
2015,CR1,LKA,INHYD,16974,15482,672,123,85,1,1,5,0,0,1,NONE,0,70,OD,2025-11-21
2020,EB3,BGD,INHYD,21944,1715,2438,286,114,0,0,0,0,0,1,212A,1,56,DD,2025-02-27
2012,E1,AUS,INBLR,24895,1927,1472,181,4,1,1,5,0,1,0,NONE,0,32,MN,2025-02-12
2019,E1,IND,INCHN,24360,21218,258,301,33,1,1,1,0,1,0,212E,0,27,KA,2025-07-16
2018,K1,FRA,INHYD,5181,17184,306,457,38,0,0,3,0,1,1,212B,0,43,TN,2025-03-13
2013,O1,AUS,INLKO,8747,1039,3918,524,66,1,0,1,1,1,1,212A,1,55,CG,2025-04-01
2019,H1B,LKA,INMUM,17563,11477,1118,27,80,0,1,3,1,1,0,212B,1,43,SK,2025-02-06
2012,B1,MMR,INMUM,10321,1423,2997,79,61,1,0,1,0,0,1,212E,0,83,NL,2025-11-10
2022,L2,FRA,INLKO,3195,17830,3535,42,87,0,1,3,0,0,1,212D,1,72,GJ,2025-08-25
2023,E2,MDV,INDEL,13150,8875,3017,513,23,0,1,0,1,1,0,NONE,1,33,DL,2025-10-20
2020,K1,LKA,INCHN,24987,5888,245,239,2,0,0,2,0,0,0,212A,0,13,AS,2025-06-03
2020,H1B,SGP,INDEL,20154,10859,2780,503,108,1,0,2,0,0,0,212C,0,67,WB,2025-06-19
2013,E2,IND,INLKO,4117,30,1658,212,70,0,0,4,0,0,0,212B,1,28,AP,2025-09-29
2018,B1,USA,INMUM,4245,6350,186,432,88,1,1,3,0,0,1,212F,1,78,PY,2025-04-20
2025,EB2,LKA,INAMD,9294,15081,1797,50,119,1,0,4,0,0,0,212E,1,16,SK,2025-05-31
2021,B1,MDV,INMUM,7331,9250,924,97,66,1,1,5,1,0,1,NONE,0,82,OD,2025-05-11
2014,K1,AUS,INKOL,2559,19229,784,476,78,1,0,5,0,1,1,212B,1,8,MH,2025-09-25
2018,B1,ARE,INHYD,21450,7484,3444,473,92,1,0,4,0,0,1,212E,1,26,AS,2025-01-23
2023,DV,USA,INAMD,15552,14766,1595,460,49,1,0,3,0,0,0,212B,1,48,OD,2025-05-19
2021,DV,AFG,INMUM,6583,3023,3477,339,28,1,0,2,1,1,0,212D,1,78,DL,2025-11-04
2020,K1,DEU,INBLR,21161,7215,2455,513,73,0,0,3,1,1,1,212F,0,36,RJ,2025-08-27
2015,EB2,AFG,INBLR,17115,19492,3196,476,31,1,1,5,0,1,1,212E,0,27,AP,2025-07-11
2023,EB2,FRA,INDEL,14720,13682,1360,27,86,1,0,0,0,0,0,212B,0,49,UP,2025-05-07
2012,B2,USA,INAMD,3982,13759,340,234,38,0,0,4,0,1,1,212F,1,54,JH,2025-01-29
2013,K1,JPN,INDEL,14645,15608,562,382,8,1,1,4,0,0,1,212D,0,3,LA,2025-05-01
2012,SIV,JPN,INHYD,13091,1809,3249,136,100,0,1,5,1,1,1,212D,1,84,MP,2025-07-17
2025,CR1,NPL,INHYD,5610,19440,650,420,115,0,1,3,1,0,1,212D,1,18,GA,2025-06-23
2023,H4,SAU,INKOL,4066,7618,2999,77,103,1,1,4,0,0,1,NONE,0,36,GA,2025-05-24
2016,O1,SAU,INLKO,23773,4858,3910,410,13,1,0,2,0,1,1,212E,1,3,LA,2025-06-28
2016,B1,LKA,INLKO,769,5892,1193,403,67,0,0,4,1,0,1,212B,1,36,ML,2025-12-23
2022,H1B,MDV,INCHN,124,20057,3110,343,63,1,1,3,1,0,1,212B,1,50,HR,2025-01-11
2018,F1,SGP,INDEL,20591,11387,68,511,19,0,0,5,0,0,0,212F,0,31,AS,2025-05-19
2020,B2,FRA,INHYD,13211,4319,3307,282,27,0,1,2,0,0,0,212F,0,44,CG,2025-09-10
2020,B1,CAN,INLKO,24945,17377,1583,19,13,1,1,2,0,1,1,212E,0,11,RJ,2025-12-11
2014,B1,MDV,INDEL,2199,7103,2428,9,43,0,0,4,1,1,1,212D,0,40,DN,2025-11-10
2014,H1B,USA,INHYD,14083,5514,2104,230,97,1,0,3,1,1,0,212B,0,55,MH,2025-01-19
2014,DV,JPN,INMUM,23147,11337,1300,181,76,1,1,4,1,0,0,212B,0,79,PY,2025-06-09
2015,REF,AUS,INDEL,4257,19810,2897,391,94,0,0,6,1,1,0,212D,0,13,OD,2025-11-02
2019,CR1,BTN,INMUM,23575,21554,1122,247,96,0,1,0,0,1,1,212C,0,53,PY,2025-05-02
2017,K1,MMR,INDEL,15093,3149,915,20,115,1,1,5,1,0,0,212C,0,62,PB,2025-03-13
2019,E1,FRA,INCHN,9128,124,3598,201,38,1,1,6,1,1,0,212D,0,64,AR,2025-02-24
2012,SIV,SAU,INKOL,11775,7453,2372,403,27,1,1,0,1,1,1,212F,1,57,GJ,2025-06-18
2019,E2,SAU,INBLR,3986,7709,460,437,63,0,0,2,0,1,0,NONE,0,20,DL,2025-04-09
2015,H4,IND,INLKO,9357,3587,2226,312,88,1,1,4,1,0,1,212F,1,3,GA,2025-03-11
2022,SIV,ARE,INBLR,17509,20752,843,340,31,0,1,0,1,1,0,212F,1,72,GJ,2025-05-29
2012,L1,PAK,INBLR,20310,20794,573,416,8,0,1,1,1,1,0,212B,0,45,NL,2025-04-27
2019,EB2,CAN,INMUM,4665,17585,118,9,27,0,0,0,0,1,0,212F,0,85,AN,2025-01-26
2015,E2,DEU,INAMD,7315,4664,3540,458,94,1,1,4,1,0,0,212B,1,11,OD,2025-09-05
2017,SIV,BGD,INHYD,22813,14986,2596,501,16,0,1,4,0,0,0,212C,0,29,TR,2025-07-28
2019,K1,BTN,INBLR,10166,11350,645,423,116,1,0,5,0,1,1,212F,0,59,BR,2025-08-15
2015,B2,CAN,INCHN,15783,4414,1478,397,86,0,1,0,1,1,1,212D,1,70,MP,2025-04-24
2025,IR1,JPN,INBLR,13942,3554,2073,379,76,1,1,4,0,1,0,212E,0,80,DD,2025-07-13
2014,EB3,NPL,INDEL,4702,12408,1513,58,54,1,1,4,1,0,1,212E,0,64,UK,2025-11-17
2025,SIV,IND,INMUM,23226,11339,2031,382,9,0,1,6,0,0,0,212F,1,13,JK,2025-01-10
2020,E1,CAN,INAMD,10523,6495,1031,401,79,1,0,5,0,1,0,NONE,1,43,WB,2025-04-05
2014,L2,DEU,INDEL,9297,18178,968,148,5,0,0,6,1,1,0,212F,1,25,HP,2025-05-01
2020,SIV,JPN,INAMD,23890,14748,2010,92,47,0,0,5,1,0,0,212D,0,15,HR,2025-05-06
2024,H1B,DEU,INDEL,21108,12026,1539,470,74,0,1,5,0,0,0,212C,1,6,RJ,2025-02-06
2013,L2,USA,INDEL,16975,16170,2580,52,115,0,0,6,0,1,1,212C,0,31,CH,2025-03-10
2025,B2,JPN,INLKO,2211,466,3998,244,66,0,0,5,0,0,1,212F,0,15,AN,2025-10-24
2013,B1,AFG,INKOL,18685,128,2196,16,91,0,1,1,0,1,1,212B,0,77,HP,2025-06-23
2013,EB2,SGP,INKOL,21003,3259,1511,536,40,0,0,2,1,1,1,212A,1,61,MP,2025-02-14
2017,EB2,LKA,INHYD,19178,5951,1048,184,78,1,0,4,0,0,0,NONE,0,29,NL,2025-05-03
2014,H4,AUS,INMUM,14638,4073,654,12,59,0,0,3,0,1,1,NONE,0,70,SK,2025-01-27
2024,H1B,ARE,INCHN,12111,13766,3828,313,76,0,1,5,1,1,0,212A,1,11,DN,2025-07-12
2020,E2,NPL,INCHN,6091,20941,1954,333,41,1,1,2,0,1,0,212E,1,66,LA,2025-12-06
2015,E1,USA,INCHN,12723,1265,2992,362,115,1,0,5,1,1,1,212E,0,45,JH,2025-05-16
2012,SIV,AFG,INLKO,21109,19124,554,401,119,0,0,2,1,1,1,212E,1,82,HP,2025-07-14
2015,SIV,IND,INDEL,1610,13859,424,306,108,0,1,3,1,1,0,212C,0,42,DN,2025-02-18
2012,DV,ARE,INKOL,12004,12876,292,532,80,0,1,0,0,1,0,212D,0,54,TS,2025-04-06
2025,L2,BTN,INMUM,17598,5125,1208,291,70,1,1,1,1,0,0,NONE,0,44,HR,2025-05-01
2016,EB2,SGP,INDEL,15128,2942,2601,336,27,0,1,4,1,0,1,212A,1,59,PB,2025-09-06
2015,L2,ARE,INAMD,5469,2533,430,56,101,1,0,0,1,1,0,212B,1,70,MZ,2025-08-05
2019,DV,USA,INKOL,2772,2821,2651,384,12,0,1,6,0,0,0,212F,0,79,WB,2025-04-24
2019,K1,FRA,INKOL,10600,13915,316,150,80,0,0,3,0,1,0,212B,0,31,GA,2025-01-14
2018,L2,MDV,INBLR,16904,7001,397,66,14,1,1,1,0,1,0,212F,0,7,DL,2025-03-03
2014,CR1,AFG,INBLR,1518,8241,1347,81,35,0,1,1,0,0,1,212C,0,76,WB,2025-02-12
2012,J1,CAN,INLKO,24359,6058,1588,9,91,0,1,1,1,1,1,NONE,1,61,AP,2025-08-28
2012,H1B,MMR,INMUM,858,15102,595,454,14,0,1,3,1,1,0,212D,1,74,LA,2025-04-06
2023,H1B,FRA,INAMD,24797,14668,2593,281,109,1,0,5,1,0,1,NONE,1,19,TS,2025-01-27
2022,REF,IND,INMUM,6769,384,2123,536,116,0,0,5,0,0,0,212F,1,17,GA,2025-11-20
2014,EB3,PAK,INMUM,16413,1820,2912,221,74,0,0,6,1,0,1,212E,1,5,GJ,2025-08-30
2017,CR1,MDV,INLKO,10641,14130,1943,491,55,1,1,5,0,0,1,212B,0,83,HP,2025-08-28
2018,EB3,JPN,INLKO,5123,5978,915,335,94,1,0,0,0,0,1,NONE,1,28,PY,2025-10-31
2017,B1,BGD,INDEL,8062,9116,2756,261,3,0,1,4,0,0,1,212B,0,3,ML,2025-03-08
2025,O1,CAN,INHYD,18079,7456,2533,393,98,0,1,1,1,1,0,212A,0,70,JK,2025-10-08
2025,H4,AFG,INLKO,13942,21197,3869,132,97,1,0,6,1,0,0,212A,1,42,LA,2025-07-11
2017,SIV,BTN,INMUM,8299,12658,3159,330,51,0,1,6,0,0,0,212B,1,83,LA,2025-04-29
2017,B2,LKA,INBLR,17563,199,2794,210,90,0,1,1,1,1,1,212D,0,33,PB,2025-06-01
2024,O1,JPN,INHYD,15197,3893,1255,178,9,1,0,0,0,1,1,212D,0,70,TN,2025-09-22
2014,H1B,CAN,INDEL,17787,20364,3078,223,93,0,1,5,1,0,0,NONE,0,32,LA,2025-08-19
2017,O1,PAK,INHYD,817,17590,3875,251,44,0,1,1,0,1,1,212B,1,14,TN,2025-12-17
2019,EB3,SAU,INCHN,3945,15475,2597,342,83,1,0,1,0,1,1,212C,1,85,BR,2025-09-06
2022,IR1,JPN,INAMD,19888,17177,975,304,28,0,0,3,0,1,0,212D,1,39,JH,2025-02-28
2022,O1,BGD,INHYD,10250,12817,1075,188,52,0,1,2,1,1,1,212F,1,4,KA,2025-01-17
2013,IR1,CAN,INMUM,7379,4480,3726,340,28,0,0,6,1,1,0,212D,0,77,HP,2025-06-20
2016,O1,AUS,INDEL,15382,15336,2989,517,22,1,1,0,1,1,1,212E,1,49,KL,2025-12-17
2025,E2,LKA,INAMD,14671,372,2966,389,56,0,0,0,1,1,0,212A,0,65,MZ,2025-05-12
2012,J1,MMR,INMUM,11384,21606,3467,205,49,1,1,5,1,0,1,212D,1,53,DD,2025-12-23
2023,H4,CAN,INAMD,18224,5364,1244,338,20,1,0,0,0,1,1,212F,1,79,TN,2025-05-16
2012,B2,LKA,INBLR,935,4527,1451,171,111,0,0,5,1,0,1,212D,1,45,MN,2025-02-11
2016,CR1,SAU,INCHN,7784,4850,3823,248,42,1,1,3,0,1,1,212F,0,79,WB,2025-11-01
2023,J1,IND,INBLR,3956,11240,1166,233,9,0,0,3,1,1,1,212E,0,10,CG,2025-01-06
2024,B2,NPL,INMUM,4542,137,3932,457,104,0,0,4,1,0,0,212F,1,48,NL,2025-11-25
2014,REF,ARE,INMUM,9780,16885,2028,202,75,0,1,5,1,1,1,212D,0,22,RJ,2025-06-19
2015,B2,AFG,INMUM,2123,4307,362,210,29,1,0,6,0,1,0,212E,0,54,MN,2025-10-15
2014,H4,JPN,INKOL,16746,4497,2429,464,50,0,0,3,1,0,0,212B,1,4,AS,2025-12-04
2012,SIV,IND,INCHN,6319,6553,3632,263,32,0,0,5,0,1,0,212B,1,63,UP,2025-08-03
2012,IR1,AFG,INAMD,21751,16647,3348,535,17,0,1,6,1,1,1,212A,0,34,MN,2025-03-10
2023,O1,AFG,INLKO,17244,12775,2318,278,77,1,0,6,0,0,0,NONE,1,68,PB,2025-01-27
2023,REF,DEU,INMUM,6891,885,3085,15,21,1,1,0,0,0,1,212E,0,53,RJ,2025-08-13
2025,IR1,PAK,INMUM,11005,11193,2345,207,63,0,1,4,0,1,1,212D,0,2,UP,2025-11-18
2024,E2,FRA,INAMD,2082,5349,3051,65,20,0,0,2,0,0,1,NONE,1,5,TN,2025-08-22
2025,H1B,USA,INLKO,9749,623,3535,399,0,0,1,1,1,1,0,212B,0,55,TR,2025-02-20
2016,L1,JPN,INBLR,12787,5776,3598,125,112,0,1,1,1,1,1,212D,1,1,BR,2025-05-29
2017,EB2,MMR,INBLR,10812,11274,233,405,106,1,1,4,0,0,1,NONE,0,81,JH,2025-03-16
2014,H1B,NPL,INMUM,7179,4038,2622,337,115,1,1,5,1,0,1,212E,0,37,SK,2025-11-02
2023,K1,AUS,INDEL,19139,5212,1731,273,14,1,0,5,0,0,0,212E,0,55,AS,2025-04-02
2020,L1,SAU,INKOL,8838,2035,26,526,35,1,0,5,1,0,0,NONE,0,4,OD,2025-03-09
2016,EB2,SGP,INBLR,2197,9870,1494,486,46,1,0,2,1,1,0,212F,0,45,DN,2025-08-23
2019,REF,NPL,INDEL,665,3400,92,140,53,1,1,6,1,0,0,212E,0,10,HP,2025-12-28
2024,H1B,LKA,INKOL,997,3790,2664,361,85,1,1,1,0,0,1,212C,1,64,AN,2025-05-24
2012,DV,PAK,INMUM,5727,5849,308,504,31,0,0,4,1,1,0,212B,0,9,PY,2025-03-17
2025,DV,IND,INCHN,21085,1633,51,113,57,0,1,5,0,1,1,212A,0,40,GJ,2025-03-27
2016,F1,LKA,INHYD,7916,13167,318,296,45,0,0,3,1,1,0,212A,0,43,TS,2025-08-15
2014,K1,GBR,INHYD,2063,15565,1992,153,53,0,1,0,0,1,1,212C,1,32,HR,2025-12-29
2023,B2,USA,INMUM,20131,18283,180,333,32,0,0,2,1,1,0,NONE,0,55,JK,2025-02-25
2012,E2,AUS,INBLR,16924,5392,1592,421,104,0,0,5,0,1,0,212E,0,11,UP,2025-03-21
2015,F1,ARE,INDEL,20784,20512,3191,216,38,1,0,1,0,1,0,212C,0,1,WB,2025-01-24
2024,L2,PAK,INCHN,18862,10558,3891,302,22,0,1,0,0,1,1,212C,1,0,WB,2025-08-15
2016,CR1,LKA,INAMD,5037,168,2922,404,42,1,0,4,1,1,1,212E,1,64,GJ,2025-01-28
2018,CR1,ARE,INKOL,8783,1774,3114,109,54,0,1,5,0,0,0,212B,1,32,AS,2025-05-01
2012,E1,USA,INMUM,9529,7398,646,514,1,1,1,1,1,0,0,212E,0,85,SK,2025-04-03
2014,H4,FRA,INCHN,9875,13611,3956,215,65,1,0,0,0,1,0,212E,0,75,NL,2025-12-07
2013,CR1,USA,INLKO,21354,20160,1961,434,37,0,0,3,0,0,0,212F,0,35,KL,2025-04-22
2020,O1,MMR,INCHN,2976,9391,1283,399,118,0,1,2,0,1,0,212D,1,20,DN,2025-12-11
2021,F1,DEU,INBLR,7332,12799,2244,115,114,0,1,4,1,1,0,NONE,0,83,CG,2025-01-31
2017,L2,IND,INLKO,15685,21796,2692,354,28,0,0,1,1,1,1,212A,1,35,AN,2025-05-23
2021,EB3,FRA,INKOL,15897,9815,3018,56,115,0,0,6,1,1,1,212A,1,25,LD,2025-10-25
2014,H4,MDV,INLKO,20810,19456,2302,111,109,1,1,3,1,0,1,212C,0,46,MH,2025-08-15
2019,B2,AFG,INCHN,9540,5712,2024,426,66,0,0,2,1,0,1,212F,0,0,NL,2025-12-24
2025,K1,SGP,INBLR,21302,4238,2779,379,102,1,0,2,1,1,1,212C,1,37,GJ,2025-09-07
2019,B1,AUS,INLKO,7036,4823,335,33,70,1,0,6,1,0,1,212C,0,13,TN,2025-02-19
2013,H4,NPL,INDEL,6912,18781,1576,279,35,1,0,3,0,0,0,NONE,1,45,DL,2025-08-02
2017,EB3,MMR,INBLR,12209,11692,1525,346,28,0,1,1,0,1,0,212C,1,41,ML,2025-09-26
2018,B1,MDV,INDEL,4473,21490,989,307,118,0,1,2,1,1,0,212C,0,6,PY,2025-10-15
2013,EB2,PAK,INDEL,10500,3202,2947,486,36,0,0,4,1,0,0,212D,0,54,TR,2025-07-14
2022,K1,USA,INLKO,23304,11029,1278,271,112,0,0,0,1,0,0,NONE,0,55,HP,2025-09-11
2021,J1,FRA,INLKO,8209,14348,513,172,99,0,1,4,1,1,1,212B,0,75,WB,2025-03-20
2013,EB2,GBR,INAMD,2123,19564,2029,322,86,0,1,5,1,1,1,212F,0,62,HP,2025-09-01
2021,E2,DEU,INAMD,22604,2606,3778,7,44,1,1,2,0,0,1,212B,0,23,KL,2025-04-01
2012,EB3,NPL,INCHN,17135,2668,241,267,15,0,1,0,1,1,1,212E,0,82,NL,2025-01-06
2019,B2,MDV,INBLR,10161,7333,2196,69,111,1,1,3,1,1,1,212D,1,72,UK,2025-10-08
2012,CR1,SAU,INAMD,24547,18121,1733,489,30,1,0,0,1,1,0,212A,0,3,UP,2025-05-30
2020,SIV,PAK,INDEL,6875,12564,3370,327,33,0,0,0,0,0,1,212E,0,41,UP,2025-11-20
2022,K1,AUS,INAMD,10702,21712,2804,207,49,0,1,6,0,0,1,212B,0,69,JH,2025-10-09
2017,E2,ARE,INKOL,12504,7427,3921,228,64,0,1,0,0,1,1,NONE,0,27,MZ,2025-07-10
2018,IR1,SAU,INCHN,24301,17274,2667,158,81,0,0,2,0,0,0,212A,1,39,DD,2025-10-01
2024,E2,DEU,INBLR,20698,15254,2500,468,61,0,1,6,1,1,0,212C,0,50,TS,2025-03-14
2021,EB3,AUS,INBLR,8018,19978,3464,223,103,0,1,6,0,0,0,NONE,1,28,HR,2025-11-14
2018,EB2,FRA,INHYD,24580,15032,2259,202,42,1,0,5,0,0,0,212A,1,41,CH,2025-03-09
2021,EB2,BTN,INBLR,12566,9755,667,208,55,1,0,5,0,0,0,212B,1,68,UP,2025-10-31
2014,J1,BGD,INCHN,14340,13445,3609,240,119,1,0,6,0,1,0,212E,1,4,TS,2025-03-04
2013,E2,PAK,INKOL,7826,15718,593,147,14,1,0,6,0,1,1,212C,1,40,UK,2025-05-14
2020,REF,AFG,INBLR,8608,15341,3666,504,47,1,1,1,1,1,1,212C,0,60,MN,2025-11-03
2019,EB2,GBR,INHYD,8769,12666,2178,63,48,1,0,5,0,0,1,212F,1,54,WB,2025-09-25
