qol_infra_inspection_date,qol_infra_asset_type_code,qol_infra_asset_id_hash,qol_infra_condition_rating,qol_infra_work_order_count,qol_infra_mean_time_to_repair_days,qol_infra_preventive_maintenance_pct,qol_infra_pothole_reports_count,qol_infra_street_sweeping_completion_pct,qol_infra_water_main_break_count,qol_infra_sewer_overflow_count,qol_infra_signal_outage_minutes,qol_infra_graffiti_removal_days_avg,qol_infra_snow_plow_cycle_hours,qol_infra_leaf_pickup_completion_pct,qol_infra_permit_backlog_days,qol_infra_capital_project_status_code,qol_infra_service_request_backlog,qol_infra_operational_cost_usd,qol_infra_resident_report_accuracy_score
2021-05-11,SIGNAL,0adbf1c84ab5dc7e,3,63,58.28,3.72,16593,5.95,1988,419,40133.0,37.36,62.09,12.88,213.28,CONSTRUCTION,36933,25108697.6,0.101
2021-05-12,SEWER,0b6bb7e8855389ca,3,154,104.17,89.12,1585,86.05,31,789,12018.1,11.79,30.1,14.73,17.87,PROCUREMENT,33928,8467168.88,0.6303
2021-05-13,SIGNAL,fe9cd1159d4d8c3c,1,1858,15.79,97.88,8288,23.94,755,226,22675.02,2.51,80.31,56.83,8.82,CONSTRUCTION,34559,38695579.46,0.2776
2021-05-14,SEWER,04a8c20aae5fe1fc,2,33,52.92,73.05,7980,57.85,1537,705,47089.7,40.7,11.52,79.78,301.16,PLANNED,19546,30489475.85,0.7229
2021-05-15,STORMWATER,3fb8eb251a8147f0,5,1971,92.35,28.05,8293,23.55,1919,180,35559.76,58.02,7.91,60.62,221.09,DESIGN,42196,4039841.86,0.1796
2021-05-16,SIDEWALK,ac7e2f825d8470e5,4,535,68.84,81.03,19969,65.08,810,10,30097.15,28.18,46.83,90.72,360.39,ON_HOLD,10891,17448561.39,0.1542
2021-05-17,SEWER,ead9b9cd425d6a9b,2,1781,1.81,78.67,4911,62.15,1656,47,30314.1,36.12,44.7,91.98,326.06,CONSTRUCTION,27799,7762591.92,0.0747
2021-05-18,BRIDGE,cb8012fb199adb96,3,249,105.81,36.29,10644,53.72,1092,577,18432.06,9.3,2.33,91.95,29.71,PLANNED,4445,16752104.99,0.4197
2021-05-19,WATER_MAIN,c647909eb3af047f,2,1615,49.43,28.35,2332,46.41,1728,31,7.24,46.73,51.78,75.7,348.46,PROCUREMENT,26774,722951.43,0.8275
2021-05-20,BRIDGE,c34a35440298ccca,3,1454,65.53,55.67,15107,39.62,190,598,26123.5,21.69,20.97,8.35,142.59,ON_HOLD,42568,8259067.67,0.3556
2021-05-21,SIDEWALK,09e92e7b9e6f25bb,2,1487,67.87,67.98,5187,67.84,1181,288,45797.1,25.85,68.49,5.59,315.75,DESIGN,25339,36348654.95,0.8066
2021-05-22,PUBLIC_BUILDING,53668dd4f3185fa2,2,1474,10.53,68.7,6265,44.82,333,586,24171.57,35.47,4.76,95.97,239.67,PROCUREMENT,19448,3320699.26,0.3236
2021-05-23,SIGNAL,30282ef1bf506356,4,961,19.19,29.08,16056,18.77,122,477,16386.46,59.22,17.47,5.54,104.9,COMPLETE,19669,41953347.24,0.8995
2021-05-24,SIDEWALK,cb7195b30511e213,4,588,28.67,28.67,6739,14.95,1452,132,12276.76,20.0,2.37,78.78,285.47,PLANNED,2267,17690358.08,0.5203
2021-05-25,STREETLIGHT,2a07105d9972d1c3,4,1628,20.49,32.47,10424,27.19,461,519,42408.88,58.08,44.23,23.82,9.68,CONSTRUCTION,2408,5346784.26,0.5573
2021-05-26,STREETLIGHT,bd51bea118fcff8b,3,210,56.51,62.22,6901,0.0,1731,341,44014.69,29.08,50.26,99.05,102.6,PROCUREMENT,17394,48405714.25,0.2077
2021-05-27,SIDEWALK,1e7cf1e38254a4ab,1,1470,23.18,6.02,90,7.33,150,38,35616.2,24.28,58.47,53.31,141.7,COMPLETE,18846,43308363.95,0.9247
2021-05-28,SEWER,178a2768b9f974fd,2,1693,61.68,55.4,4938,30.28,24,760,29946.49,22.61,37.88,84.45,256.76,PLANNED,45294,1911808.33,0.9903
2021-05-29,PUBLIC_BUILDING,4869ab305d45b343,4,1757,28.49,70.75,9619,3.54,254,552,23000.59,52.61,19.19,75.95,127.84,DESIGN,49544,12057054.83,0.2797
2021-05-30,ROAD,c828e54e48d46563,3,246,17.3,45.47,2639,97.06,534,600,14793.3,46.35,51.41,31.54,50.05,ON_HOLD,33015,46180555.35,0.4817
2021-05-31,SEWER,b9298ae80af13dbe,4,831,86.23,82.45,7464,23.19,1393,542,10429.03,53.44,61.76,79.73,303.33,COMPLETE,10479,42242520.22,0.1939
2021-06-01,WATER_MAIN,13dccbdb24a39ec4,4,687,41.6,93.72,558,35.92,964,67,1089.69,34.15,23.42,68.25,32.64,DESIGN,23948,5539417.47,0.2316
2021-06-02,SIGNAL,12a7b0f0d060ec37,3,206,37.0,8.46,12679,84.06,720,421,21497.76,33.42,44.58,90.24,205.14,COMPLETE,13105,36015356.36,0.4226
2021-06-03,WATER_MAIN,4790751994bf311d,4,891,57.07,72.87,5400,35.11,269,183,10598.33,38.21,20.29,78.87,109.8,CONSTRUCTION,11637,3022197.4,0.6542
2021-06-04,SIGNAL,a4f7b9231cd36303,2,1801,54.29,56.26,4185,9.43,1972,514,34810.85,18.13,20.86,42.05,200.81,PROCUREMENT,39811,27491995.82,0.1336
2021-06-05,PARK,900dc4de4483d38a,3,1338,15.07,50.09,9955,1.82,249,457,47429.63,43.04,81.82,5.34,147.17,COMPLETE,31193,2952347.98,0.9507
2021-06-06,BRIDGE,eb8bad1298be7652,5,477,39.99,2.8,10334,2.9,396,187,34819.37,22.32,16.78,95.83,143.13,CONSTRUCTION,7578,27698789.22,0.6501
2021-06-07,SIDEWALK,a1a484dc708910fd,1,109,117.91,87.41,5916,6.51,1409,441,47743.38,13.02,83.51,36.37,252.23,COMPLETE,45379,10636322.41,0.1547
2021-06-08,SEWER,75a5e2599eaf4aba,3,640,97.82,96.4,8385,52.66,646,357,705.98,26.19,56.6,48.44,84.45,CONSTRUCTION,8860,31343711.47,0.4059
2021-06-09,SEWER,5a85864baf5a7931,5,1702,91.63,82.07,2729,55.81,1266,417,1799.92,27.21,52.19,95.45,83.45,DESIGN,35960,2749405.02,0.2295
2021-06-10,SIGNAL,14b58d45b0cfc68a,2,737,45.11,51.4,10379,32.23,1246,510,40524.11,35.59,69.98,29.51,256.19,CONSTRUCTION,9112,22631301.4,0.8288
2021-06-11,SIGNAL,77e29d347d140f28,1,418,77.23,95.6,12504,94.65,1924,738,980.01,18.47,64.48,46.15,219.06,CONSTRUCTION,33739,5766692.59,0.279
2021-06-12,PUBLIC_BUILDING,f7278c093771ba87,2,1289,47.41,71.23,15128,18.17,1553,316,437.43,59.91,76.8,24.3,261.84,PROCUREMENT,3998,8421613.41,0.6574
2021-06-13,ROAD,ce3a891608025b70,2,425,43.9,2.79,19873,17.48,679,438,26136.08,23.83,12.72,4.12,335.33,CONSTRUCTION,41007,45648738.23,0.85
2021-06-14,PUBLIC_BUILDING,0d6245a5b006e2b0,5,740,63.18,61.61,7225,23.18,1599,397,22727.5,50.21,16.81,39.89,127.44,PLANNED,16059,15638772.28,0.3447
2021-06-15,SEWER,665abfaaae7ecef3,2,648,77.63,85.62,16214,14.91,762,177,19502.65,57.17,44.42,46.21,356.86,COMPLETE,17544,29681347.65,0.9695
2021-06-16,ROAD,6872ca8bddedbdaf,4,1628,8.16,88.03,18327,69.98,73,617,48536.29,19.43,11.9,90.79,356.03,PLANNED,32061,19498752.44,0.7087
2021-06-17,ROAD,a203e5a88daa28e2,3,1699,109.36,41.87,10009,93.95,930,444,20669.47,48.55,26.68,25.08,130.66,DESIGN,33314,46665705.45,0.1767
2021-06-18,ROAD,fde396ab4519951a,2,987,48.55,99.96,8200,96.95,690,648,26936.13,36.57,88.74,83.56,220.98,CONSTRUCTION,29831,37845580.54,0.6988
2021-06-19,BRIDGE,d86c7f0b7dde7f24,3,1349,8.0,71.04,15757,89.65,976,163,2421.0,59.97,8.2,68.89,77.94,DESIGN,13218,37944503.32,0.8807
2021-06-20,PUBLIC_BUILDING,c9fa9c2cfafdc844,1,651,53.39,46.21,7402,24.37,913,128,12957.94,56.04,70.51,55.62,175.55,PLANNED,32139,39415495.04,0.9615
2021-06-21,ROAD,ed8c3d8e81533d95,3,1520,49.47,43.01,781,91.81,816,686,11301.05,57.34,43.68,77.55,111.76,ON_HOLD,34751,42832653.26,0.8078
2021-06-22,WATER_MAIN,d4b2e82cacc213b8,5,1018,119.23,62.51,9599,2.61,818,256,35760.92,43.7,48.08,42.69,126.1,CONSTRUCTION,6918,14677036.11,0.4288
2021-06-23,SIDEWALK,bacffdd356a33ac8,4,744,105.67,76.44,604,16.07,674,69,41521.95,15.99,33.96,91.45,342.15,PLANNED,20623,3707320.59,0.3173
2021-06-24,ROAD,5b8875751f721ac2,4,1525,47.75,40.53,7778,35.93,1759,465,31381.73,15.11,95.92,66.65,364.99,CONSTRUCTION,6256,22235002.24,0.6687
2021-06-25,STREETLIGHT,cc86716ff6ae13c6,4,727,2.01,81.67,5781,89.12,1985,179,36343.49,5.84,72.43,48.63,201.05,COMPLETE,32579,2052568.89,0.0939
2021-06-26,WATER_MAIN,30ac4c0edb63bb7c,3,1508,113.87,89.73,622,21.62,960,89,31025.15,17.86,53.94,60.27,181.02,CONSTRUCTION,43994,41191577.69,0.1366
2021-06-27,SIGNAL,9369c907f5c559e4,4,1664,14.25,25.02,13893,18.0,908,275,49447.2,49.69,48.52,96.86,132.75,COMPLETE,24309,38014109.17,0.5336
2021-06-28,PUBLIC_BUILDING,bf53b77b7b2b93c7,4,733,38.85,85.62,3364,97.23,1926,617,8586.48,20.07,77.35,84.84,116.15,DESIGN,16991,45128490.8,0.4484
2021-06-29,PARK,706e35a9ddac35cd,2,785,37.57,76.44,700,38.75,1615,473,20662.09,36.78,36.96,78.26,340.11,COMPLETE,39567,25667594.2,0.6428
2021-06-30,PUBLIC_BUILDING,ddcce50d13977b82,2,1224,113.43,21.93,1696,50.23,1512,404,3081.09,33.79,86.69,12.69,270.36,COMPLETE,6526,6501831.57,0.1072
2021-07-01,STORMWATER,c548f37b4fb68749,5,862,15.6,12.63,7522,96.08,1010,247,9476.33,2.69,34.24,59.96,170.71,PLANNED,16658,4085402.17,0.6741
2021-07-02,PARK,29ffd053686ddee0,5,665,112.05,10.21,13503,71.1,290,703,28416.89,34.72,25.97,79.31,156.21,CONSTRUCTION,10638,41930724.49,0.2071
2021-07-03,STORMWATER,c49e82d60db426a2,1,1546,21.68,62.23,3775,13.63,1742,724,23074.12,49.39,13.67,72.86,74.13,DESIGN,31295,18684568.97,0.1591
2021-07-04,BRIDGE,d03facc83d867b6e,1,799,82.86,7.34,18617,53.21,1640,30,20161.91,42.33,6.27,59.02,49.93,COMPLETE,29341,20895596.23,0.034
2021-07-05,BRIDGE,673cc5cf386451b0,2,1943,19.87,95.96,12963,46.47,1085,730,8318.02,10.25,41.23,56.07,32.69,COMPLETE,1714,39865595.05,0.889
2021-07-06,PARK,f26a0604cb5a2716,3,80,24.13,46.68,11109,8.85,1333,556,11638.1,57.79,48.47,94.78,66.7,CONSTRUCTION,27842,27087862.34,0.695
2021-07-07,PUBLIC_BUILDING,594c6ded2c8de186,4,144,21.35,85.52,10515,46.71,358,438,38988.77,8.12,4.8,64.12,12.3,CONSTRUCTION,30388,42976257.22,0.9115
2021-07-08,WATER_MAIN,0710d1450d45bcad,5,366,52.23,39.38,11557,68.64,38,282,33663.25,37.52,11.39,53.03,313.16,DESIGN,31009,25189407.31,0.261
2021-07-09,STORMWATER,11fce8d625156566,4,1805,104.26,20.01,9154,71.37,1775,597,935.85,35.79,52.38,65.68,305.69,COMPLETE,11898,7761344.49,0.3106
2021-07-10,WATER_MAIN,c7856d1bc20abd01,3,1505,54.43,22.77,10962,8.83,1647,528,13676.14,25.15,53.94,3.7,193.71,PROCUREMENT,45065,43497300.19,0.2529
2021-07-11,PARK,82f423a3686af742,4,685,103.01,19.5,5363,38.55,1758,548,16777.56,23.74,41.42,37.01,28.55,ON_HOLD,24989,39209088.29,0.6507
2021-07-12,PUBLIC_BUILDING,50a5d9890bb76869,4,1239,85.0,44.37,12627,12.35,1968,570,19183.44,25.61,35.04,7.76,8.51,ON_HOLD,49321,32996907.21,0.8394
2021-07-13,SIGNAL,41be3d1868288e90,1,1447,40.19,42.79,19642,24.96,16,11,32125.11,37.81,81.06,15.76,112.3,PLANNED,38702,44615946.97,0.8577
2021-07-14,SEWER,8d24618e7c871dd4,3,29,61.51,82.75,8562,28.96,1880,230,25254.95,19.85,58.32,11.05,134.14,DESIGN,4927,15763116.99,0.2321
2021-07-15,PUBLIC_BUILDING,97ea6c93aea1dd53,3,746,53.56,19.56,2834,25.94,1334,665,39060.92,52.45,43.54,23.88,337.64,PLANNED,31991,19443660.55,0.3206
2021-07-16,SIDEWALK,a7acf5b6cd4d038d,3,1112,38.43,68.54,17934,90.34,1778,368,2495.94,55.19,25.61,83.93,268.09,COMPLETE,30278,15117521.12,0.256
2021-07-17,WATER_MAIN,6b9338a40150e9a2,4,135,90.58,94.19,17834,7.67,1301,606,37742.68,48.9,54.8,64.56,38.09,PLANNED,27772,23783290.57,0.8855
2021-07-18,SEWER,4ef31bf80e8e40a0,3,146,105.39,52.43,9929,72.43,1003,77,47338.09,3.97,30.1,43.15,156.45,PLANNED,33152,14752529.44,0.3883
2021-07-19,PUBLIC_BUILDING,330b4f62ac62f7ad,3,637,66.27,61.54,12917,15.3,1511,779,23956.6,20.47,91.53,8.97,89.03,DESIGN,12145,195609.9,0.7307
2021-07-20,ROAD,3ffebae023b671f5,1,1906,15.96,78.3,5419,59.74,441,718,38494.83,13.07,53.39,41.44,87.75,COMPLETE,49241,1123798.97,0.1421
2021-07-21,BRIDGE,6c9c47901bb16b22,1,293,71.29,97.32,16157,4.35,30,623,16115.64,21.09,28.38,36.3,217.14,CONSTRUCTION,27787,36351419.92,0.9712
2021-07-22,SEWER,128d6e96a1942c7b,3,559,84.84,30.99,9872,36.0,1743,215,16524.13,12.2,39.6,16.84,115.03,COMPLETE,31532,7925268.66,0.2524
2021-07-23,SIDEWALK,8aaa2ac5972bf3ce,3,1958,18.13,24.8,2619,1.25,1710,543,19296.53,4.46,13.2,18.62,307.13,COMPLETE,39526,21450785.7,0.5136
2021-07-24,BRIDGE,5db13a8fb5628fa6,1,1973,78.92,55.09,15070,69.02,178,670,25252.26,36.93,69.16,1.27,344.01,DESIGN,1894,33033143.2,0.0932
2021-07-25,STREETLIGHT,65fa385ee34bce93,5,979,113.52,4.7,4711,22.54,1872,337,47328.73,16.73,60.24,76.83,237.57,CONSTRUCTION,11776,6966683.44,0.988
2021-07-26,BRIDGE,39572c53c700d2d7,4,263,78.54,5.09,12107,47.84,267,479,25198.08,34.31,45.01,18.17,357.73,DESIGN,15422,42060337.56,0.8282
2021-07-27,PARK,a07c4792a03fcec9,2,510,105.03,55.9,4659,11.64,1370,219,10749.03,15.18,56.87,93.89,327.29,COMPLETE,1303,34664059.09,0.782
2021-07-28,STORMWATER,f1e19c02e2cdb98e,5,1533,63.91,49.67,14168,58.92,1687,300,6653.09,26.61,33.16,30.83,311.55,DESIGN,41127,21322093.64,0.9606
2021-07-29,SEWER,1d42768dbfd32054,4,716,2.88,16.05,11910,96.1,1202,627,25364.69,19.89,22.86,78.4,166.42,DESIGN,40813,7321762.77,0.6804
2021-07-30,PARK,8be044c3e3e00932,1,1509,87.71,50.02,17935,89.16,398,679,41653.13,53.33,74.1,65.39,160.86,DESIGN,12558,37993766.98,0.5376
2021-07-31,ROAD,42c9370292d96009,1,1065,83.43,34.2,19135,20.17,1934,85,12477.63,47.62,1.64,1.43,259.62,ON_HOLD,31520,34235784.86,0.5461
2021-08-01,WATER_MAIN,da5db788b70c1a4b,1,671,38.23,50.97,18708,42.69,1859,97,31731.13,41.03,72.52,7.53,36.1,PLANNED,5662,16952845.25,0.0859
2021-08-02,BRIDGE,a9717ed9b94b429a,2,744,5.32,38.88,7461,93.98,158,663,10535.17,2.94,69.27,95.45,23.08,DESIGN,29485,26749805.54,0.8677
2021-08-03,STORMWATER,9690aac99e432bf0,2,657,58.24,64.2,6520,70.22,381,483,23682.68,12.01,50.33,96.95,331.52,PLANNED,35341,10490091.05,0.712
2021-08-04,WATER_MAIN,d50e3bc127fe739f,5,1672,43.73,81.1,10558,11.74,598,579,49491.82,12.88,58.92,69.69,161.34,COMPLETE,40181,48961263.87,0.0276
2021-08-05,PUBLIC_BUILDING,f49217005f634b57,2,806,23.76,44.08,2897,56.17,954,732,5486.39,11.16,23.15,88.45,236.1,CONSTRUCTION,2454,41110564.5,0.6515
2021-08-06,STREETLIGHT,b5f0256a76bd2894,2,142,32.35,4.68,14728,32.62,1425,482,19074.48,56.35,81.08,89.33,117.39,CONSTRUCTION,18007,31299894.9,0.6616
2021-08-07,PARK,cd9a13771ce7b2ff,5,600,71.21,69.08,8949,83.23,1761,520,12475.45,37.72,10.62,41.35,327.53,COMPLETE,32473,27283008.19,0.3459
2021-08-08,BRIDGE,8da945a9b33e6c43,1,1910,9.43,67.76,13951,71.97,107,311,8954.14,24.74,0.92,57.59,143.3,CONSTRUCTION,9871,34184967.35,0.3089
2021-08-09,PARK,9b1a89a7675b3a77,5,1320,36.73,26.21,10243,63.03,1537,213,10391.82,26.2,76.59,67.71,91.52,ON_HOLD,19722,37793152.63,0.1838
2021-08-10,PUBLIC_BUILDING,e37d28935da737d2,1,1650,62.95,83.7,17005,63.3,124,58,7691.57,7.29,72.2,42.55,200.48,ON_HOLD,3461,20082043.56,0.2203
2021-08-11,SIGNAL,e7053d0d4059634b,2,1701,1.27,44.47,8366,50.27,859,125,16268.13,2.93,51.0,49.36,149.14,DESIGN,13812,1130547.36,0.5284
2021-08-12,SIDEWALK,6925a49747133f87,2,490,4.08,84.95,12135,1.73,1842,62,15175.16,4.68,56.97,25.9,222.01,CONSTRUCTION,38634,10725483.87,0.802
2021-08-13,WATER_MAIN,f43d39a265225ea5,5,34,101.99,25.68,14328,59.54,1498,109,42710.96,35.2,27.13,54.83,116.25,DESIGN,25663,15963993.61,0.692
2021-08-14,SIDEWALK,08123010011ad30c,2,1623,100.97,41.36,5413,80.4,468,582,24613.47,28.89,52.41,3.73,239.52,PLANNED,12114,49777579.71,0.4114
2021-08-15,ROAD,bae742247516adfa,4,846,104.2,73.87,5064,22.6,158,791,11656.8,32.36,93.88,85.09,298.84,PROCUREMENT,33833,31280288.15,0.8761
2021-08-16,SIGNAL,3820b439a2c571ab,4,604,26.52,24.23,19278,40.8,1945,720,44699.94,15.31,43.64,54.37,46.6,CONSTRUCTION,46746,34635296.42,0.0577
2021-08-17,WATER_MAIN,a47b2b7a6f81a48a,5,555,8.92,88.15,15944,23.05,772,76,4128.43,53.0,57.09,63.37,324.66,DESIGN,43649,40711685.43,0.6546
2021-08-18,SIGNAL,bf23e76322ec1125,4,352,88.3,11.95,5871,18.77,1978,518,33701.68,58.12,10.91,54.89,212.68,COMPLETE,34904,47163484.47,0.4687
2021-08-19,STREETLIGHT,80ad2f71ca8a3b9b,2,533,110.02,20.43,10851,17.74,587,508,22099.51,25.46,31.93,8.05,281.28,CONSTRUCTION,19849,46730843.25,0.7259
2021-08-20,BRIDGE,e8f3a4f29b9f48a4,1,1978,80.89,71.3,17580,59.02,249,180,39615.34,36.11,93.54,17.73,116.33,CONSTRUCTION,21191,12466057.39,0.9798
2021-08-21,PARK,3ba03531187eeab6,3,1898,12.03,73.86,8904,49.54,600,796,23479.79,50.28,25.79,96.51,94.84,DESIGN,34442,42790408.01,0.1728
2021-08-22,PARK,5f43a45b5dbe662f,5,1813,3.46,45.65,1541,90.67,137,549,16291.56,10.43,64.76,40.62,221.1,COMPLETE,11391,22300375.99,0.1606
2021-08-23,WATER_MAIN,aafe2634c3b84911,2,1387,64.35,58.03,7711,98.2,787,174,14958.34,12.44,61.47,75.43,192.3,PLANNED,46494,13015886.6,0.745
2021-08-24,SIGNAL,027a944779abf348,1,265,49.8,59.22,18295,63.41,1254,623,38858.99,37.61,39.68,32.31,152.67,CONSTRUCTION,49143,31182224.2,0.1607
2021-08-25,STORMWATER,da206604b32f78c5,3,1040,109.19,11.16,19239,85.37,1751,129,39285.78,50.72,47.71,98.03,182.1,CONSTRUCTION,33698,25425391.73,0.8616
2021-08-26,STREETLIGHT,d91746f3b248e272,1,137,4.35,27.38,14606,18.33,1286,22,29993.73,20.01,28.59,3.02,82.15,CONSTRUCTION,7342,40672000.9,0.7995
2021-08-27,PARK,b6ff4d9ae4df953a,2,212,86.75,99.58,18528,37.52,322,225,49069.89,42.34,88.94,22.99,276.57,PROCUREMENT,38599,42231874.35,0.6467
2021-08-28,PARK,f58a03dfc3ae6fda,5,68,22.87,76.12,2440,35.53,928,238,36777.16,57.24,46.19,43.8,264.3,PLANNED,41717,7836992.55,0.1073
2021-08-29,SIDEWALK,8bd497169bc4992b,2,1269,22.73,47.89,9247,75.17,617,209,3631.77,13.29,21.56,36.88,108.83,COMPLETE,13961,47256540.08,0.218
2021-08-30,WATER_MAIN,4cb470e54db328f1,3,841,73.9,36.58,12336,47.15,159,344,32674.11,41.68,44.0,20.25,185.51,PLANNED,42559,5518286.4,0.5563
2021-08-31,BRIDGE,7ea5b8431a8f7bd3,4,296,64.31,33.2,6427,46.58,1659,311,5476.24,42.78,59.49,14.55,134.85,PROCUREMENT,24094,8917772.25,0.0424
2021-09-01,BRIDGE,3bc8f31799cee2ca,1,519,41.47,14.57,18200,85.91,1746,361,1381.85,57.93,72.71,40.31,205.3,CONSTRUCTION,39533,390625.55,0.5613
2021-09-02,SIDEWALK,d6d40f389d651f19,2,975,68.48,49.34,11180,9.13,703,200,26913.02,50.74,58.99,68.29,110.7,PROCUREMENT,38550,10051223.6,0.7918
2021-09-03,STREETLIGHT,8dadc73a47093a89,5,884,34.19,52.31,10741,67.31,787,250,4574.99,58.6,53.67,93.92,96.21,COMPLETE,47604,8237797.68,0.6293
2021-09-04,PUBLIC_BUILDING,3df67da846f59ffa,4,1527,115.17,12.52,19866,44.13,1264,228,13331.09,53.57,33.26,62.54,152.27,PROCUREMENT,15270,1065709.6,0.5944
2021-09-05,WATER_MAIN,e0cfd748b8cacd62,2,967,12.01,74.25,4972,47.22,1953,427,27920.11,59.48,80.97,9.99,72.22,COMPLETE,31075,7995734.89,0.6495
2021-09-06,SEWER,a7c9aea34a89c077,1,169,9.94,33.1,14247,98.17,530,192,1894.86,51.81,91.5,98.37,330.74,CONSTRUCTION,14648,32192222.51,0.0685
2021-09-07,STREETLIGHT,f01951d043a8bf1f,5,1211,65.99,66.41,14950,45.5,290,157,3266.69,11.26,65.39,44.34,137.25,PROCUREMENT,13968,8949332.6,0.7631
2021-09-08,ROAD,0c991f1514a6d418,5,1766,90.57,91.87,3460,6.13,893,350,29120.7,28.05,67.71,52.16,102.94,CONSTRUCTION,33960,26818305.41,0.688
2021-09-09,SIDEWALK,99affba30c0c7ba5,1,622,108.78,21.47,8654,33.47,636,408,36944.99,45.87,22.3,8.95,341.47,COMPLETE,12826,13962580.42,0.9854
2021-09-10,SIGNAL,182133c260591b6b,1,375,107.69,56.7,7733,92.14,337,734,45445.93,34.2,92.46,76.0,228.28,PLANNED,8259,43809520.66,0.7233
2021-09-11,ROAD,e8ace3611766d5c5,4,1730,107.42,12.49,699,40.49,209,491,31848.62,47.09,82.01,62.77,255.02,COMPLETE,36948,31924347.42,0.7747
2021-09-12,STREETLIGHT,a96398198240c9c0,1,1165,29.15,99.5,15564,9.41,1398,576,34212.27,7.61,10.86,91.41,279.14,DESIGN,9297,32341434.39,0.5831
2021-09-13,BRIDGE,9acf41abc902a18d,2,498,11.96,98.5,10588,83.8,146,596,34583.59,0.09,7.17,62.35,358.59,DESIGN,49438,29076256.6,0.1022
2021-09-14,ROAD,fa83fadf912e5346,4,39,41.62,5.46,7477,58.45,234,552,48958.19,7.98,64.53,21.36,38.06,DESIGN,42330,23918137.88,0.804
2021-09-15,SIDEWALK,9420dc2a73fd70db,2,231,30.34,69.71,1222,29.86,537,74,20853.08,56.01,22.43,89.23,260.2,COMPLETE,43398,11072389.08,0.3123
2021-09-16,PUBLIC_BUILDING,e103420829a7ddd8,3,1203,39.09,63.89,2272,12.37,1499,633,11520.71,15.94,69.64,34.77,168.05,CONSTRUCTION,362,25473773.24,0.03
2021-09-17,ROAD,04ba9b3fe0eaca7e,4,1478,43.31,76.78,1052,46.66,33,203,41813.88,46.3,91.08,94.57,320.95,COMPLETE,9285,1880346.51,0.4975
2021-09-18,BRIDGE,d542d4d17e2ca160,2,1909,35.65,98.53,11582,92.62,1579,679,32466.46,6.17,49.78,64.8,3.8,DESIGN,23705,2538729.9,0.6247
2021-09-19,WATER_MAIN,71c6290f9f3eac12,3,456,53.39,53.08,4330,0.2,1796,304,41093.7,24.93,59.01,59.09,318.55,CONSTRUCTION,22326,7938921.14,0.3283
2021-09-20,SIGNAL,c9c14119e84c7b21,1,987,28.98,26.26,15460,7.1,797,458,20763.12,26.55,64.54,39.2,92.05,PLANNED,29308,10558278.68,0.2872
2021-09-21,PUBLIC_BUILDING,5ca3640c725c83ad,4,1474,92.89,55.89,8610,4.07,1721,253,41614.37,24.02,22.45,25.21,163.73,CONSTRUCTION,33725,19869452.86,0.6749
2021-09-22,STREETLIGHT,372772423d33335f,1,1677,53.61,50.95,12061,33.24,393,424,13283.32,14.59,18.04,44.87,184.05,DESIGN,31470,19764029.48,0.47
2021-09-23,SIGNAL,fbde4bc43984dbc1,1,286,10.35,42.63,14884,5.37,1453,207,47618.15,43.74,47.41,56.73,319.61,COMPLETE,39399,47412180.22,0.9064
2021-09-24,ROAD,8360569b3c24710c,2,961,33.38,30.8,130,18.94,679,315,28164.95,22.53,93.07,11.39,86.72,PROCUREMENT,28073,41766862.86,0.3443
2021-09-25,PARK,dea89841d13e8468,1,1092,3.44,15.8,3035,70.92,1697,619,27252.64,32.62,80.46,42.35,215.31,PLANNED,43868,31458631.55,0.964
2021-09-26,SIDEWALK,db8e8bae1d029c8b,4,116,106.84,31.04,2969,70.0,398,489,12231.97,11.25,7.56,55.36,316.78,PROCUREMENT,16354,11972588.94,0.8717
2021-09-27,PUBLIC_BUILDING,48e3c02b94caa599,2,1359,21.95,0.22,825,55.29,528,174,35641.19,52.79,24.22,84.6,293.21,CONSTRUCTION,6907,41913967.01,0.7771
2021-09-28,BRIDGE,24811bd0889edeaf,2,761,14.82,0.36,15801,93.72,1400,669,33840.47,37.22,55.46,25.09,331.25,CONSTRUCTION,23841,4630251.7,0.8213
2021-09-29,SEWER,88a15fa9a4e245dd,4,56,35.71,13.32,667,29.76,159,491,48759.68,36.81,5.7,98.89,76.26,COMPLETE,24129,27366987.32,0.9245
2021-09-30,WATER_MAIN,edaf92969b249e52,4,479,81.18,63.21,18434,99.63,1723,61,1109.54,37.89,81.71,61.94,155.48,CONSTRUCTION,38567,34185380.68,0.964
2021-10-01,STREETLIGHT,cd26c38a725e5a0c,1,14,17.31,71.8,2111,64.03,1274,292,45164.82,22.67,31.06,46.36,101.58,PLANNED,2174,10006881.36,0.235
2021-10-02,SIGNAL,1980004f54184163,4,95,116.13,46.17,8187,96.02,1911,308,7325.61,45.46,87.0,7.22,175.48,COMPLETE,38771,10614331.78,0.5104
2021-10-03,WATER_MAIN,73528c45ea132822,4,1037,54.29,77.36,13200,53.92,1213,107,18807.08,16.27,13.63,77.92,270.89,DESIGN,7279,27550795.33,0.9704
2021-10-04,ROAD,d4b9e06005889d73,1,492,26.6,82.61,3718,14.75,1198,104,30131.63,43.55,78.5,88.53,103.73,COMPLETE,34117,4121681.82,0.7475
